context: Here he comes! response:	The one we've been waiting for!
context: Rocket Stomp!\I know there's another one of you in the area.\Tell me where they are or continue to suffer until you die.\Choose one.\Next up, we have Jakumen from Giga Pro Wrestling\versus Sourface from Sourface-Style Kenpo!\They are both competing here for the first time!\Do your best out there, Sourface! response:	Shut up! I used to be Master Bang's second-best student!
context: I know there's another one of you in the area.\Tell me where they are or continue to suffer until you die.\Choose one.\Next up, we have Jakumen from Giga Pro Wrestling\versus Sourface from Sourface-Style Kenpo!\They are both competing here for the first time!\Do your best out there, Sourface!\Shut up! I used to be Master Bang's second-best student! response:	This guy's pretty huge.
context: Tell me where they are or continue to suffer until you die.\Choose one.\Next up, we have Jakumen from Giga Pro Wrestling\versus Sourface from Sourface-Style Kenpo!\They are both competing here for the first time!\Do your best out there, Sourface!\Shut up! I used to be Master Bang's second-best student!\This guy's pretty huge. response:	No, wait. I'm stronger!
context: Choose one.\Next up, we have Jakumen from Giga Pro Wrestling\versus Sourface from Sourface-Style Kenpo!\They are both competing here for the first time!\Do your best out there, Sourface!\Shut up! I used to be Master Bang's second-best student!\This guy's pretty huge.\No, wait. I'm stronger! response:	I think...
context: Next up, we have Jakumen from Giga Pro Wrestling\versus Sourface from Sourface-Style Kenpo!\They are both competing here for the first time!\Do your best out there, Sourface!\Shut up! I used to be Master Bang's second-best student!\This guy's pretty huge.\No, wait. I'm stronger!\I think... response:	Think back on all of your rigorous training!
context: versus Sourface from Sourface-Style Kenpo!\They are both competing here for the first time!\Do your best out there, Sourface!\Shut up! I used to be Master Bang's second-best student!\This guy's pretty huge.\No, wait. I'm stronger!\I think...\Think back on all of your rigorous training! response:	This guy's face is pretty scary...
context: They are both competing here for the first time!\Do your best out there, Sourface!\Shut up! I used to be Master Bang's second-best student!\This guy's pretty huge.\No, wait. I'm stronger!\I think...\Think back on all of your rigorous training!\This guy's face is pretty scary... response:	Lemme have your face.
context: Do your best out there, Sourface!\Shut up! I used to be Master Bang's second-best student!\This guy's pretty huge.\No, wait. I'm stronger!\I think...\Think back on all of your rigorous training!\This guy's face is pretty scary...\Lemme have your face. response:	There you are. I'm going to eliminate you.
context: Shut up! I used to be Master Bang's second-best student!\This guy's pretty huge.\No, wait. I'm stronger!\I think...\Think back on all of your rigorous training!\This guy's face is pretty scary...\Lemme have your face.\There you are. I'm going to eliminate you. response:	Oh, hey. If it isn't a celebrity.
context: This guy's pretty huge.\No, wait. I'm stronger!\I think...\Think back on all of your rigorous training!\This guy's face is pretty scary...\Lemme have your face.\There you are. I'm going to eliminate you.\Oh, hey. If it isn't a celebrity. response:	Can I rip off your face, too?
context: No, wait. I'm stronger!\I think...\Think back on all of your rigorous training!\This guy's face is pretty scary...\Lemme have your face.\There you are. I'm going to eliminate you.\Oh, hey. If it isn't a celebrity.\Can I rip off your face, too? response:	How do you like my knifework?
context: I think...\Think back on all of your rigorous training!\This guy's face is pretty scary...\Lemme have your face.\There you are. I'm going to eliminate you.\Oh, hey. If it isn't a celebrity.\Can I rip off your face, too?\How do you like my knifework? response:	I had you hit my hard head on purpose.
context: Think back on all of your rigorous training!\This guy's face is pretty scary...\Lemme have your face.\There you are. I'm going to eliminate you.\Oh, hey. If it isn't a celebrity.\Can I rip off your face, too?\How do you like my knifework?\I had you hit my hard head on purpose. response:	High Voltage Fist!
context: This guy's face is pretty scary...\Lemme have your face.\There you are. I'm going to eliminate you.\Oh, hey. If it isn't a celebrity.\Can I rip off your face, too?\How do you like my knifework?\I had you hit my hard head on purpose.\High Voltage Fist! response:	Begone.
context: Lemme have your face.\There you are. I'm going to eliminate you.\Oh, hey. If it isn't a celebrity.\Can I rip off your face, too?\How do you like my knifework?\I had you hit my hard head on purpose.\High Voltage Fist!\Begone. response:	He's taking care of them in seconds.
context: There you are. I'm going to eliminate you.\Oh, hey. If it isn't a celebrity.\Can I rip off your face, too?\How do you like my knifework?\I had you hit my hard head on purpose.\High Voltage Fist!\Begone.\He's taking care of them in seconds. response:	The Class S hero, Genos... He's incredibly powerful.
context: Oh, hey. If it isn't a celebrity.\Can I rip off your face, too?\How do you like my knifework?\I had you hit my hard head on purpose.\High Voltage Fist!\Begone.\He's taking care of them in seconds.\The Class S hero, Genos... He's incredibly powerful. response:	Demon Cyborg... The last one is two kilometers northwest from there.
context: Can I rip off your face, too?\How do you like my knifework?\I had you hit my hard head on purpose.\High Voltage Fist!\Begone.\He's taking care of them in seconds.\The Class S hero, Genos... He's incredibly powerful.\Demon Cyborg... The last one is two kilometers northwest from there. response:	There are already others engaged in battle there.
context: How do you like my knifework?\I had you hit my hard head on purpose.\High Voltage Fist!\Begone.\He's taking care of them in seconds.\The Class S hero, Genos... He's incredibly powerful.\Demon Cyborg... The last one is two kilometers northwest from there.\There are already others engaged in battle there. response:	Can you speak?
context: I had you hit my hard head on purpose.\High Voltage Fist!\Begone.\He's taking care of them in seconds.\The Class S hero, Genos... He's incredibly powerful.\Demon Cyborg... The last one is two kilometers northwest from there.\There are already others engaged in battle there.\Can you speak? response:	Wh-When you're fighting him, make sure you don't lose sight of him.
context: High Voltage Fist!\Begone.\He's taking care of them in seconds.\The Class S hero, Genos... He's incredibly powerful.\Demon Cyborg... The last one is two kilometers northwest from there.\There are already others engaged in battle there.\Can you speak?\Wh-When you're fighting him, make sure you don't lose sight of him. response:	He'll be behind you before you know it.
context: Begone.\He's taking care of them in seconds.\The Class S hero, Genos... He's incredibly powerful.\Demon Cyborg... The last one is two kilometers northwest from there.\There are already others engaged in battle there.\Can you speak?\Wh-When you're fighting him, make sure you don't lose sight of him.\He'll be behind you before you know it. response:	Are you a Class S hero?
context: He's taking care of them in seconds.\The Class S hero, Genos... He's incredibly powerful.\Demon Cyborg... The last one is two kilometers northwest from there.\There are already others engaged in battle there.\Can you speak?\Wh-When you're fighting him, make sure you don't lose sight of him.\He'll be behind you before you know it.\Are you a Class S hero? response:	Do you hate cockroaches, too?
context: The Class S hero, Genos... He's incredibly powerful.\Demon Cyborg... The last one is two kilometers northwest from there.\There are already others engaged in battle there.\Can you speak?\Wh-When you're fighting him, make sure you don't lose sight of him.\He'll be behind you before you know it.\Are you a Class S hero?\Do you hate cockroaches, too? response:	Not cockroaches in particular, but I have a long-running feud with bug monsters.
context: Demon Cyborg... The last one is two kilometers northwest from there.\There are already others engaged in battle there.\Can you speak?\Wh-When you're fighting him, make sure you don't lose sight of him.\He'll be behind you before you know it.\Are you a Class S hero?\Do you hate cockroaches, too?\Not cockroaches in particular, but I have a long-running feud with bug monsters. response:	The last one.
context: There are already others engaged in battle there.\Can you speak?\Wh-When you're fighting him, make sure you don't lose sight of him.\He'll be behind you before you know it.\Are you a Class S hero?\Do you hate cockroaches, too?\Not cockroaches in particular, but I have a long-running feud with bug monsters.\The last one. response:	If I can take care of this one with no issues,
context: Can you speak?\Wh-When you're fighting him, make sure you don't lose sight of him.\He'll be behind you before you know it.\Are you a Class S hero?\Do you hate cockroaches, too?\Not cockroaches in particular, but I have a long-running feud with bug monsters.\The last one.\If I can take care of this one with no issues, response:	I might make it to Master's match in time.
context: Wh-When you're fighting him, make sure you don't lose sight of him.\He'll be behind you before you know it.\Are you a Class S hero?\Do you hate cockroaches, too?\Not cockroaches in particular, but I have a long-running feud with bug monsters.\The last one.\If I can take care of this one with no issues,\I might make it to Master's match in time. response:	Just so you know, I'm strong.
context: He'll be behind you before you know it.\Are you a Class S hero?\Do you hate cockroaches, too?\Not cockroaches in particular, but I have a long-running feud with bug monsters.\The last one.\If I can take care of this one with no issues,\I might make it to Master's match in time.\Just so you know, I'm strong. response:	Jakumen ends up tapping out!
context: Are you a Class S hero?\Do you hate cockroaches, too?\Not cockroaches in particular, but I have a long-running feud with bug monsters.\The last one.\If I can take care of this one with no issues,\I might make it to Master's match in time.\Just so you know, I'm strong.\Jakumen ends up tapping out! response:	That was an excellent finishing move on Sourface's part!
context: Do you hate cockroaches, too?\Not cockroaches in particular, but I have a long-running feud with bug monsters.\The last one.\If I can take care of this one with no issues,\I might make it to Master's match in time.\Just so you know, I'm strong.\Jakumen ends up tapping out!\That was an excellent finishing move on Sourface's part! response:	And they're holding each other up!
context: Not cockroaches in particular, but I have a long-running feud with bug monsters.\The last one.\If I can take care of this one with no issues,\I might make it to Master's match in time.\Just so you know, I'm strong.\Jakumen ends up tapping out!\That was an excellent finishing move on Sourface's part!\And they're holding each other up! response:	What beautiful sportsmanship!
context: The last one.\If I can take care of this one with no issues,\I might make it to Master's match in time.\Just so you know, I'm strong.\Jakumen ends up tapping out!\That was an excellent finishing move on Sourface's part!\And they're holding each other up!\What beautiful sportsmanship! response:	Did you win, Sourface?
context: If I can take care of this one with no issues,\I might make it to Master's match in time.\Just so you know, I'm strong.\Jakumen ends up tapping out!\That was an excellent finishing move on Sourface's part!\And they're holding each other up!\What beautiful sportsmanship!\Did you win, Sourface? response:	What?! Weren't you watching, Charanko?
context: I might make it to Master's match in time.\Just so you know, I'm strong.\Jakumen ends up tapping out!\That was an excellent finishing move on Sourface's part!\And they're holding each other up!\What beautiful sportsmanship!\Did you win, Sourface?\What?! Weren't you watching, Charanko? response:	Didn't you see how awesome I was?
context: Just so you know, I'm strong.\Jakumen ends up tapping out!\That was an excellent finishing move on Sourface's part!\And they're holding each other up!\What beautiful sportsmanship!\Did you win, Sourface?\What?! Weren't you watching, Charanko?\Didn't you see how awesome I was? response:	I was in the bathroom.
context: Jakumen ends up tapping out!\That was an excellent finishing move on Sourface's part!\And they're holding each other up!\What beautiful sportsmanship!\Did you win, Sourface?\What?! Weren't you watching, Charanko?\Didn't you see how awesome I was?\I was in the bathroom. response:	You jerk...
context: That was an excellent finishing move on Sourface's part!\And they're holding each other up!\What beautiful sportsmanship!\Did you win, Sourface?\What?! Weren't you watching, Charanko?\Didn't you see how awesome I was?\I was in the bathroom.\You jerk... response:	Hey! The guy you're up against next...
context: And they're holding each other up!\What beautiful sportsmanship!\Did you win, Sourface?\What?! Weren't you watching, Charanko?\Didn't you see how awesome I was?\I was in the bathroom.\You jerk...\Hey! The guy you're up against next... response:	Be careful with him.
context: What beautiful sportsmanship!\Did you win, Sourface?\What?! Weren't you watching, Charanko?\Didn't you see how awesome I was?\I was in the bathroom.\You jerk...\Hey! The guy you're up against next...\Be careful with him. response:	I've seen Bakuzan in action before.
context: Did you win, Sourface?\What?! Weren't you watching, Charanko?\Didn't you see how awesome I was?\I was in the bathroom.\You jerk...\Hey! The guy you're up against next...\Be careful with him.\I've seen Bakuzan in action before. response:	Crap... I undid my obi in the bathroom,
context: What?! Weren't you watching, Charanko?\Didn't you see how awesome I was?\I was in the bathroom.\You jerk...\Hey! The guy you're up against next...\Be careful with him.\I've seen Bakuzan in action before.\Crap... I undid my obi in the bathroom, response:	He shows no mercy to inferior opponents...
context: Didn't you see how awesome I was?\I was in the bathroom.\You jerk...\Hey! The guy you're up against next...\Be careful with him.\I've seen Bakuzan in action before.\Crap... I undid my obi in the bathroom,\He shows no mercy to inferior opponents... response:	Hey!
context: I was in the bathroom.\You jerk...\Hey! The guy you're up against next...\Be careful with him.\I've seen Bakuzan in action before.\Crap... I undid my obi in the bathroom,\He shows no mercy to inferior opponents...\Hey! response:	and I don't know how to retie it.
context: You jerk...\Hey! The guy you're up against next...\Be careful with him.\I've seen Bakuzan in action before.\Crap... I undid my obi in the bathroom,\He shows no mercy to inferior opponents...\Hey!\and I don't know how to retie it. response:	Are you listening?!
context: Hey! The guy you're up against next...\Be careful with him.\I've seen Bakuzan in action before.\Crap... I undid my obi in the bathroom,\He shows no mercy to inferior opponents...\Hey!\and I don't know how to retie it.\Are you listening?! response:	Next up, we have Charanko, fresh off a victory over Zakkos,
context: Be careful with him.\I've seen Bakuzan in action before.\Crap... I undid my obi in the bathroom,\He shows no mercy to inferior opponents...\Hey!\and I don't know how to retie it.\Are you listening?!\Next up, we have Charanko, fresh off a victory over Zakkos, response:	versus Bakuzan, a former two-time consecutive winner!
context: I've seen Bakuzan in action before.\Crap... I undid my obi in the bathroom,\He shows no mercy to inferior opponents...\Hey!\and I don't know how to retie it.\Are you listening?!\Next up, we have Charanko, fresh off a victory over Zakkos,\versus Bakuzan, a former two-time consecutive winner! response:	He is the master of Darkness Hellkill, which has left many fighters bloody!
context: Crap... I undid my obi in the bathroom,\He shows no mercy to inferior opponents...\Hey!\and I don't know how to retie it.\Are you listening?!\Next up, we have Charanko, fresh off a victory over Zakkos,\versus Bakuzan, a former two-time consecutive winner!\He is the master of Darkness Hellkill, which has left many fighters bloody! response:	Will he be sending even more of his opponents to the hospital this time around?
context: He shows no mercy to inferior opponents...\Hey!\and I don't know how to retie it.\Are you listening?!\Next up, we have Charanko, fresh off a victory over Zakkos,\versus Bakuzan, a former two-time consecutive winner!\He is the master of Darkness Hellkill, which has left many fighters bloody!\Will he be sending even more of his opponents to the hospital this time around? response:	I'm just teaching those who lack resolve a lesson.
context: Hey!\and I don't know how to retie it.\Are you listening?!\Next up, we have Charanko, fresh off a victory over Zakkos,\versus Bakuzan, a former two-time consecutive winner!\He is the master of Darkness Hellkill, which has left many fighters bloody!\Will he be sending even more of his opponents to the hospital this time around?\I'm just teaching those who lack resolve a lesson. response:	Listen up. When two martial artists fight, it's not a sport.
context: and I don't know how to retie it.\Are you listening?!\Next up, we have Charanko, fresh off a victory over Zakkos,\versus Bakuzan, a former two-time consecutive winner!\He is the master of Darkness Hellkill, which has left many fighters bloody!\Will he be sending even more of his opponents to the hospital this time around?\I'm just teaching those who lack resolve a lesson.\Listen up. When two martial artists fight, it's not a sport. response:	Lives are at stake...
context: Are you listening?!\Next up, we have Charanko, fresh off a victory over Zakkos,\versus Bakuzan, a former two-time consecutive winner!\He is the master of Darkness Hellkill, which has left many fighters bloody!\Will he be sending even more of his opponents to the hospital this time around?\I'm just teaching those who lack resolve a lesson.\Listen up. When two martial artists fight, it's not a sport.\Lives are at stake... response:	Hey!
context: Next up, we have Charanko, fresh off a victory over Zakkos,\versus Bakuzan, a former two-time consecutive winner!\He is the master of Darkness Hellkill, which has left many fighters bloody!\Will he be sending even more of his opponents to the hospital this time around?\I'm just teaching those who lack resolve a lesson.\Listen up. When two martial artists fight, it's not a sport.\Lives are at stake...\Hey! response:	Well, whatever. This should work.
context: versus Bakuzan, a former two-time consecutive winner!\He is the master of Darkness Hellkill, which has left many fighters bloody!\Will he be sending even more of his opponents to the hospital this time around?\I'm just teaching those who lack resolve a lesson.\Listen up. When two martial artists fight, it's not a sport.\Lives are at stake...\Hey!\Well, whatever. This should work. response:	I'm going to kill you.
context: He is the master of Darkness Hellkill, which has left many fighters bloody!\Will he be sending even more of his opponents to the hospital this time around?\I'm just teaching those who lack resolve a lesson.\Listen up. When two martial artists fight, it's not a sport.\Lives are at stake...\Hey!\Well, whatever. This should work.\I'm going to kill you. response:	Begin!
context: Will he be sending even more of his opponents to the hospital this time around?\I'm just teaching those who lack resolve a lesson.\Listen up. When two martial artists fight, it's not a sport.\Lives are at stake...\Hey!\Well, whatever. This should work.\I'm going to kill you.\Begin! response:	And it's begun! How does Charanko plan to fight against Bakuzan?
context: I'm just teaching those who lack resolve a lesson.\Listen up. When two martial artists fight, it's not a sport.\Lives are at stake...\Hey!\Well, whatever. This should work.\I'm going to kill you.\Begin!\And it's begun! How does Charanko plan to fight against Bakuzan? response:	He's wide open. What's with this guy?
context: Listen up. When two martial artists fight, it's not a sport.\Lives are at stake...\Hey!\Well, whatever. This should work.\I'm going to kill you.\Begin!\And it's begun! How does Charanko plan to fight against Bakuzan?\He's wide open. What's with this guy? response:	Does he even have the will to fight?
context: Lives are at stake...\Hey!\Well, whatever. This should work.\I'm going to kill you.\Begin!\And it's begun! How does Charanko plan to fight against Bakuzan?\He's wide open. What's with this guy?\Does he even have the will to fight? response:	Uh-oh! Bakuzan is closing the gap between them!
context: Hey!\Well, whatever. This should work.\I'm going to kill you.\Begin!\And it's begun! How does Charanko plan to fight against Bakuzan?\He's wide open. What's with this guy?\Does he even have the will to fight?\Uh-oh! Bakuzan is closing the gap between them! response:	Hey, you.
context: Well, whatever. This should work.\I'm going to kill you.\Begin!\And it's begun! How does Charanko plan to fight against Bakuzan?\He's wide open. What's with this guy?\Does he even have the will to fight?\Uh-oh! Bakuzan is closing the gap between them!\Hey, you. response:	Are you an amateur?
context: I'm going to kill you.\Begin!\And it's begun! How does Charanko plan to fight against Bakuzan?\He's wide open. What's with this guy?\Does he even have the will to fight?\Uh-oh! Bakuzan is closing the gap between them!\Hey, you.\Are you an amateur? response:	Yeah. This is actually my first time doing one of these things.
context: Begin!\And it's begun! How does Charanko plan to fight against Bakuzan?\He's wide open. What's with this guy?\Does he even have the will to fight?\Uh-oh! Bakuzan is closing the gap between them!\Hey, you.\Are you an amateur?\Yeah. This is actually my first time doing one of these things. response:	Let me experience your martial arts technique.
context: And it's begun! How does Charanko plan to fight against Bakuzan?\He's wide open. What's with this guy?\Does he even have the will to fight?\Uh-oh! Bakuzan is closing the gap between them!\Hey, you.\Are you an amateur?\Yeah. This is actually my first time doing one of these things.\Let me experience your martial arts technique. response:	Very well.
context: He's wide open. What's with this guy?\Does he even have the will to fight?\Uh-oh! Bakuzan is closing the gap between them!\Hey, you.\Are you an amateur?\Yeah. This is actually my first time doing one of these things.\Let me experience your martial arts technique.\Very well. response:	As you wish, I'll give you my full course before executing you.
context: Does he even have the will to fight?\Uh-oh! Bakuzan is closing the gap between them!\Hey, you.\Are you an amateur?\Yeah. This is actually my first time doing one of these things.\Let me experience your martial arts technique.\Very well.\As you wish, I'll give you my full course before executing you. response:	First, your leg.
context: Uh-oh! Bakuzan is closing the gap between them!\Hey, you.\Are you an amateur?\Yeah. This is actually my first time doing one of these things.\Let me experience your martial arts technique.\Very well.\As you wish, I'll give you my full course before executing you.\First, your leg. response:	My Demon-Sweeper Low Kick crushes bone, so you'll never be able to stand again.
context: Hey, you.\Are you an amateur?\Yeah. This is actually my first time doing one of these things.\Let me experience your martial arts technique.\Very well.\As you wish, I'll give you my full course before executing you.\First, your leg.\My Demon-Sweeper Low Kick crushes bone, so you'll never be able to stand again. response:	Next, your torso.
context: Are you an amateur?\Yeah. This is actually my first time doing one of these things.\Let me experience your martial arts technique.\Very well.\As you wish, I'll give you my full course before executing you.\First, your leg.\My Demon-Sweeper Low Kick crushes bone, so you'll never be able to stand again.\Next, your torso. response:	After my Bear-Killer Mid Kick and Carnage Punch...
context: Yeah. This is actually my first time doing one of these things.\Let me experience your martial arts technique.\Very well.\As you wish, I'll give you my full course before executing you.\First, your leg.\My Demon-Sweeper Low Kick crushes bone, so you'll never be able to stand again.\Next, your torso.\After my Bear-Killer Mid Kick and Carnage Punch... response:	your arm will break, and your guts will go flying.
context: Let me experience your martial arts technique.\Very well.\As you wish, I'll give you my full course before executing you.\First, your leg.\My Demon-Sweeper Low Kick crushes bone, so you'll never be able to stand again.\Next, your torso.\After my Bear-Killer Mid Kick and Carnage Punch...\your arm will break, and your guts will go flying. response:	Lastly, your head...
context: Very well.\As you wish, I'll give you my full course before executing you.\First, your leg.\My Demon-Sweeper Low Kick crushes bone, so you'll never be able to stand again.\Next, your torso.\After my Bear-Killer Mid Kick and Carnage Punch...\your arm will break, and your guts will go flying.\Lastly, your head... response:	My Hell-Bringin' Hand Chop will split your skull,
context: As you wish, I'll give you my full course before executing you.\First, your leg.\My Demon-Sweeper Low Kick crushes bone, so you'll never be able to stand again.\Next, your torso.\After my Bear-Killer Mid Kick and Carnage Punch...\your arm will break, and your guts will go flying.\Lastly, your head...\My Hell-Bringin' Hand Chop will split your skull, response:	so you can kiss this world goodb
context: First, your leg.\My Demon-Sweeper Low Kick crushes bone, so you'll never be able to stand again.\Next, your torso.\After my Bear-Killer Mid Kick and Carnage Punch...\your arm will break, and your guts will go flying.\Lastly, your head...\My Hell-Bringin' Hand Chop will split your skull,\so you can kiss this world goodb response:	Don't touch my head!
context: My Demon-Sweeper Low Kick crushes bone, so you'll never be able to stand again.\Next, your torso.\After my Bear-Killer Mid Kick and Carnage Punch...\your arm will break, and your guts will go flying.\Lastly, your head...\My Hell-Bringin' Hand Chop will split your skull,\so you can kiss this world goodb\Don't touch my head! response:	Uh... Out of bounds...
context: Next, your torso.\After my Bear-Killer Mid Kick and Carnage Punch...\your arm will break, and your guts will go flying.\Lastly, your head...\My Hell-Bringin' Hand Chop will split your skull,\so you can kiss this world goodb\Don't touch my head!\Uh... Out of bounds... response:	Crap. I missed out on the actual fighting part again.
context: After my Bear-Killer Mid Kick and Carnage Punch...\your arm will break, and your guts will go flying.\Lastly, your head...\My Hell-Bringin' Hand Chop will split your skull,\so you can kiss this world goodb\Don't touch my head!\Uh... Out of bounds...\Crap. I missed out on the actual fighting part again. response:	The match is over! Someone get a stretcher!
context: your arm will break, and your guts will go flying.\Lastly, your head...\My Hell-Bringin' Hand Chop will split your skull,\so you can kiss this world goodb\Don't touch my head!\Uh... Out of bounds...\Crap. I missed out on the actual fighting part again.\The match is over! Someone get a stretcher! response:	What an absolutely stunning upset!
context: Lastly, your head...\My Hell-Bringin' Hand Chop will split your skull,\so you can kiss this world goodb\Don't touch my head!\Uh... Out of bounds...\Crap. I missed out on the actual fighting part again.\The match is over! Someone get a stretcher!\What an absolutely stunning upset! response:	The one who defeated Bakuzan, who was favored to win this tournament,
context: My Hell-Bringin' Hand Chop will split your skull,\so you can kiss this world goodb\Don't touch my head!\Uh... Out of bounds...\Crap. I missed out on the actual fighting part again.\The match is over! Someone get a stretcher!\What an absolutely stunning upset!\The one who defeated Bakuzan, who was favored to win this tournament, response:	was Charanko, who is competing here for the first time!
context: so you can kiss this world goodb\Don't touch my head!\Uh... Out of bounds...\Crap. I missed out on the actual fighting part again.\The match is over! Someone get a stretcher!\What an absolutely stunning upset!\The one who defeated Bakuzan, who was favored to win this tournament,\was Charanko, who is competing here for the first time! response:	He finished him in one punch again.
context: Don't touch my head!\Uh... Out of bounds...\Crap. I missed out on the actual fighting part again.\The match is over! Someone get a stretcher!\What an absolutely stunning upset!\The one who defeated Bakuzan, who was favored to win this tournament,\was Charanko, who is competing here for the first time!\He finished him in one punch again. response:	Okay, then. I guess I'll do that, too.
context: Uh... Out of bounds...\Crap. I missed out on the actual fighting part again.\The match is over! Someone get a stretcher!\What an absolutely stunning upset!\The one who defeated Bakuzan, who was favored to win this tournament,\was Charanko, who is competing here for the first time!\He finished him in one punch again.\Okay, then. I guess I'll do that, too. response:	Mr. Ignoramus is here to explain the recent monster outbreak.
context: Crap. I missed out on the actual fighting part again.\The match is over! Someone get a stretcher!\What an absolutely stunning upset!\The one who defeated Bakuzan, who was favored to win this tournament,\was Charanko, who is competing here for the first time!\He finished him in one punch again.\Okay, then. I guess I'll do that, too.\Mr. Ignoramus is here to explain the recent monster outbreak. response:	Mr. Ignoramus, what are your thoughts on the recent outbreak of monsters?
context: The match is over! Someone get a stretcher!\What an absolutely stunning upset!\The one who defeated Bakuzan, who was favored to win this tournament,\was Charanko, who is competing here for the first time!\He finished him in one punch again.\Okay, then. I guess I'll do that, too.\Mr. Ignoramus is here to explain the recent monster outbreak.\Mr. Ignoramus, what are your thoughts on the recent outbreak of monsters? response:	Monster Expert Ignoramus
context: What an absolutely stunning upset!\The one who defeated Bakuzan, who was favored to win this tournament,\was Charanko, who is competing here for the first time!\He finished him in one punch again.\Okay, then. I guess I'll do that, too.\Mr. Ignoramus is here to explain the recent monster outbreak.\Mr. Ignoramus, what are your thoughts on the recent outbreak of monsters?\Monster Expert Ignoramus response:	Nothing?
context: The one who defeated Bakuzan, who was favored to win this tournament,\was Charanko, who is competing here for the first time!\He finished him in one punch again.\Okay, then. I guess I'll do that, too.\Mr. Ignoramus is here to explain the recent monster outbreak.\Mr. Ignoramus, what are your thoughts on the recent outbreak of monsters?\Monster Expert Ignoramus\Nothing? response:	Oh, we've just received new information.
context: was Charanko, who is competing here for the first time!\He finished him in one punch again.\Okay, then. I guess I'll do that, too.\Mr. Ignoramus is here to explain the recent monster outbreak.\Mr. Ignoramus, what are your thoughts on the recent outbreak of monsters?\Monster Expert Ignoramus\Nothing?\Oh, we've just received new information. response:	The Class A hero Lightning Genji was critically injured and has collapsed.
context: He finished him in one punch again.\Okay, then. I guess I'll do that, too.\Mr. Ignoramus is here to explain the recent monster outbreak.\Mr. Ignoramus, what are your thoughts on the recent outbreak of monsters?\Monster Expert Ignoramus\Nothing?\Oh, we've just received new information.\The Class A hero Lightning Genji was critically injured and has collapsed. response:	Hero Guide
context: Okay, then. I guess I'll do that, too.\Mr. Ignoramus is here to explain the recent monster outbreak.\Mr. Ignoramus, what are your thoughts on the recent outbreak of monsters?\Monster Expert Ignoramus\Nothing?\Oh, we've just received new information.\The Class A hero Lightning Genji was critically injured and has collapsed.\Hero Guide response:	What do you think about this?
context: Mr. Ignoramus is here to explain the recent monster outbreak.\Mr. Ignoramus, what are your thoughts on the recent outbreak of monsters?\Monster Expert Ignoramus\Nothing?\Oh, we've just received new information.\The Class A hero Lightning Genji was critically injured and has collapsed.\Hero Guide\What do you think about this? response:	I see that you're speechless.
context: Mr. Ignoramus, what are your thoughts on the recent outbreak of monsters?\Monster Expert Ignoramus\Nothing?\Oh, we've just received new information.\The Class A hero Lightning Genji was critically injured and has collapsed.\Hero Guide\What do you think about this?\I see that you're speechless. response:	Critically Injured
context: Monster Expert Ignoramus\Nothing?\Oh, we've just received new information.\The Class A hero Lightning Genji was critically injured and has collapsed.\Hero Guide\What do you think about this?\I see that you're speechless.\Critically Injured response:	Hey!
context: Nothing?\Oh, we've just received new information.\The Class A hero Lightning Genji was critically injured and has collapsed.\Hero Guide\What do you think about this?\I see that you're speechless.\Critically Injured\Hey! response:	Hey, wake up!
context: Oh, we've just received new information.\The Class A hero Lightning Genji was critically injured and has collapsed.\Hero Guide\What do you think about this?\I see that you're speechless.\Critically Injured\Hey!\Hey, wake up! response:	Ow...
context: The Class A hero Lightning Genji was critically injured and has collapsed.\Hero Guide\What do you think about this?\I see that you're speechless.\Critically Injured\Hey!\Hey, wake up!\Ow... response:	Are you all right, Mohican?
context: Hero Guide\What do you think about this?\I see that you're speechless.\Critically Injured\Hey!\Hey, wake up!\Ow...\Are you all right, Mohican? response:	There should have been a father and a son here.
context: What do you think about this?\I see that you're speechless.\Critically Injured\Hey!\Hey, wake up!\Ow...\Are you all right, Mohican?\There should have been a father and a son here. response:	Do you know where the son went?
context: I see that you're speechless.\Critically Injured\Hey!\Hey, wake up!\Ow...\Are you all right, Mohican?\There should have been a father and a son here.\Do you know where the son went? response:	Waganma
context: Critically Injured\Hey!\Hey, wake up!\Ow...\Are you all right, Mohican?\There should have been a father and a son here.\Do you know where the son went?\Waganma response:	Narinki
context: Hey!\Hey, wake up!\Ow...\Are you all right, Mohican?\There should have been a father and a son here.\Do you know where the son went?\Waganma\Narinki response:	Mr. Narinki's son, Wanganma, was kidnapped by monsters.
context: Hey, wake up!\Ow...\Are you all right, Mohican?\There should have been a father and a son here.\Do you know where the son went?\Waganma\Narinki\Mr. Narinki's son, Wanganma, was kidnapped by monsters. response:	What?! But why?
context: Ow...\Are you all right, Mohican?\There should have been a father and a son here.\Do you know where the son went?\Waganma\Narinki\Mr. Narinki's son, Wanganma, was kidnapped by monsters.\What?! But why? response:	We're not sure, but Mr. Narinki's contributions cover 7 of our expenses,
context: Are you all right, Mohican?\There should have been a father and a son here.\Do you know where the son went?\Waganma\Narinki\Mr. Narinki's son, Wanganma, was kidnapped by monsters.\What?! But why?\We're not sure, but Mr. Narinki's contributions cover 7 of our expenses, response:	so we cannot lose his trust.
context: There should have been a father and a son here.\Do you know where the son went?\Waganma\Narinki\Mr. Narinki's son, Wanganma, was kidnapped by monsters.\What?! But why?\We're not sure, but Mr. Narinki's contributions cover 7 of our expenses,\so we cannot lose his trust. response:	Right. Getting Waganma back safely takes top priority.
