context: May BLAST have their professional debut response:	May BLAST have their professional debut Back then, the one thing I had plenty of was my countless number of wishes.
context: Do you seriously not know?\- What? - What's the matter?\Well, Shin says he's never seen Tanabata decorations.\Can you believe it? He just asked me, What is a tanzaku?\Like I asked before, what kind of life have you been living?\Didn't you do stuff back in kindergarten?\I wanna write a wish on a tanzaku too.\Then should we go to our place to write some? response:	We have some tanzaku left.
context: - What? - What's the matter?\Well, Shin says he's never seen Tanabata decorations.\Can you believe it? He just asked me, What is a tanzaku?\Like I asked before, what kind of life have you been living?\Didn't you do stuff back in kindergarten?\I wanna write a wish on a tanzaku too.\Then should we go to our place to write some?\We have some tanzaku left. response:	All right!
context: Well, Shin says he's never seen Tanabata decorations.\Can you believe it? He just asked me, What is a tanzaku?\Like I asked before, what kind of life have you been living?\Didn't you do stuff back in kindergarten?\I wanna write a wish on a tanzaku too.\Then should we go to our place to write some?\We have some tanzaku left.\All right! response:	She did some Tanabata decorations?
context: Can you believe it? He just asked me, What is a tanzaku?\Like I asked before, what kind of life have you been living?\Didn't you do stuff back in kindergarten?\I wanna write a wish on a tanzaku too.\Then should we go to our place to write some?\We have some tanzaku left.\All right!\She did some Tanabata decorations? response:	I told her not to, since it's embarrassing at her age, but...
context: Like I asked before, what kind of life have you been living?\Didn't you do stuff back in kindergarten?\I wanna write a wish on a tanzaku too.\Then should we go to our place to write some?\We have some tanzaku left.\All right!\She did some Tanabata decorations?\I told her not to, since it's embarrassing at her age, but... response:	All right.
context: Didn't you do stuff back in kindergarten?\I wanna write a wish on a tanzaku too.\Then should we go to our place to write some?\We have some tanzaku left.\All right!\She did some Tanabata decorations?\I told her not to, since it's embarrassing at her age, but...\All right. response:	Defeat Trapnest!
context: I wanna write a wish on a tanzaku too.\Then should we go to our place to write some?\We have some tanzaku left.\All right!\She did some Tanabata decorations?\I told her not to, since it's embarrassing at her age, but...\All right.\Defeat Trapnest! response:	Defeat Trapnest! Defeat Trapnest?
context: Then should we go to our place to write some?\We have some tanzaku left.\All right!\She did some Tanabata decorations?\I told her not to, since it's embarrassing at her age, but...\All right.\Defeat Trapnest!\Defeat Trapnest! Defeat Trapnest? response:	Defeat Trapnest!
context: We have some tanzaku left.\All right!\She did some Tanabata decorations?\I told her not to, since it's embarrassing at her age, but...\All right.\Defeat Trapnest!\Defeat Trapnest! Defeat Trapnest?\Defeat Trapnest! response:	Nobu, that's not a wish! That's a resolution!
context: All right!\She did some Tanabata decorations?\I told her not to, since it's embarrassing at her age, but...\All right.\Defeat Trapnest!\Defeat Trapnest! Defeat Trapnest?\Defeat Trapnest!\Nobu, that's not a wish! That's a resolution! response:	Yeah, I guess.
context: She did some Tanabata decorations?\I told her not to, since it's embarrassing at her age, but...\All right.\Defeat Trapnest!\Defeat Trapnest! Defeat Trapnest?\Defeat Trapnest!\Nobu, that's not a wish! That's a resolution!\Yeah, I guess. response:	I'll write a wish for Nobu. I want to become taller. Nobuo.
context: I told her not to, since it's embarrassing at her age, but...\All right.\Defeat Trapnest!\Defeat Trapnest! Defeat Trapnest?\Defeat Trapnest!\Nobu, that's not a wish! That's a resolution!\Yeah, I guess.\I'll write a wish for Nobu. I want to become taller. Nobuo. response:	None of your business!
context: All right.\Defeat Trapnest!\Defeat Trapnest! Defeat Trapnest?\Defeat Trapnest!\Nobu, that's not a wish! That's a resolution!\Yeah, I guess.\I'll write a wish for Nobu. I want to become taller. Nobuo.\None of your business! response:	Besides, you're smaller than me!
context: Defeat Trapnest!\Defeat Trapnest! Defeat Trapnest?\Defeat Trapnest!\Nobu, that's not a wish! That's a resolution!\Yeah, I guess.\I'll write a wish for Nobu. I want to become taller. Nobuo.\None of your business!\Besides, you're smaller than me! response:	But I'm still growing. Sorry to say this, but I'll surpass your height in no time.
context: Defeat Trapnest! Defeat Trapnest?\Defeat Trapnest!\Nobu, that's not a wish! That's a resolution!\Yeah, I guess.\I'll write a wish for Nobu. I want to become taller. Nobuo.\None of your business!\Besides, you're smaller than me!\But I'm still growing. Sorry to say this, but I'll surpass your height in no time. response:	I think I'll wish for that.
context: Defeat Trapnest!\Nobu, that's not a wish! That's a resolution!\Yeah, I guess.\I'll write a wish for Nobu. I want to become taller. Nobuo.\None of your business!\Besides, you're smaller than me!\But I'm still growing. Sorry to say this, but I'll surpass your height in no time.\I think I'll wish for that. response:	I wish that we can get an air conditioner.
context: Nobu, that's not a wish! That's a resolution!\Yeah, I guess.\I'll write a wish for Nobu. I want to become taller. Nobuo.\None of your business!\Besides, you're smaller than me!\But I'm still growing. Sorry to say this, but I'll surpass your height in no time.\I think I'll wish for that.\I wish that we can get an air conditioner. response:	I wish that I get back the car I sold.
context: Yeah, I guess.\I'll write a wish for Nobu. I want to become taller. Nobuo.\None of your business!\Besides, you're smaller than me!\But I'm still growing. Sorry to say this, but I'll surpass your height in no time.\I think I'll wish for that.\I wish that we can get an air conditioner.\I wish that I get back the car I sold. response:	I'd like a veranda where I can decorate some bamboo branches.
context: I'll write a wish for Nobu. I want to become taller. Nobuo.\None of your business!\Besides, you're smaller than me!\But I'm still growing. Sorry to say this, but I'll surpass your height in no time.\I think I'll wish for that.\I wish that we can get an air conditioner.\I wish that I get back the car I sold.\I'd like a veranda where I can decorate some bamboo branches. response:	I want money.
context: None of your business!\Besides, you're smaller than me!\But I'm still growing. Sorry to say this, but I'll surpass your height in no time.\I think I'll wish for that.\I wish that we can get an air conditioner.\I wish that I get back the car I sold.\I'd like a veranda where I can decorate some bamboo branches.\I want money. response:	You guys, can't you write down some real dreams?
context: Besides, you're smaller than me!\But I'm still growing. Sorry to say this, but I'll surpass your height in no time.\I think I'll wish for that.\I wish that we can get an air conditioner.\I wish that I get back the car I sold.\I'd like a veranda where I can decorate some bamboo branches.\I want money.\You guys, can't you write down some real dreams? response:	But this room is so damn hot!
context: But I'm still growing. Sorry to say this, but I'll surpass your height in no time.\I think I'll wish for that.\I wish that we can get an air conditioner.\I wish that I get back the car I sold.\I'd like a veranda where I can decorate some bamboo branches.\I want money.\You guys, can't you write down some real dreams?\But this room is so damn hot! response:	Indeed.
context: I think I'll wish for that.\I wish that we can get an air conditioner.\I wish that I get back the car I sold.\I'd like a veranda where I can decorate some bamboo branches.\I want money.\You guys, can't you write down some real dreams?\But this room is so damn hot!\Indeed. response:	My dreams will wither in this heat.
context: I wish that we can get an air conditioner.\I wish that I get back the car I sold.\I'd like a veranda where I can decorate some bamboo branches.\I want money.\You guys, can't you write down some real dreams?\But this room is so damn hot!\Indeed.\My dreams will wither in this heat. response:	Nana!
context: I wish that I get back the car I sold.\I'd like a veranda where I can decorate some bamboo branches.\I want money.\You guys, can't you write down some real dreams?\But this room is so damn hot!\Indeed.\My dreams will wither in this heat.\Nana! response:	The tanzakus are being blown away.
context: I'd like a veranda where I can decorate some bamboo branches.\I want money.\You guys, can't you write down some real dreams?\But this room is so damn hot!\Indeed.\My dreams will wither in this heat.\Nana!\The tanzakus are being blown away. response:	That day the clear skies of Tokyo filled up with clouds in the evening
context: I want money.\You guys, can't you write down some real dreams?\But this room is so damn hot!\Indeed.\My dreams will wither in this heat.\Nana!\The tanzakus are being blown away.\That day the clear skies of Tokyo filled up with clouds in the evening response:	and we never got to see the Milky Way.
context: You guys, can't you write down some real dreams?\But this room is so damn hot!\Indeed.\My dreams will wither in this heat.\Nana!\The tanzakus are being blown away.\That day the clear skies of Tokyo filled up with clouds in the evening\and we never got to see the Milky Way. response:	However we ended up staying up all night chatting.
context: But this room is so damn hot!\Indeed.\My dreams will wither in this heat.\Nana!\The tanzakus are being blown away.\That day the clear skies of Tokyo filled up with clouds in the evening\and we never got to see the Milky Way.\However we ended up staying up all night chatting. response:	I already knew that wishing alone won't make dreams come true,
context: Indeed.\My dreams will wither in this heat.\Nana!\The tanzakus are being blown away.\That day the clear skies of Tokyo filled up with clouds in the evening\and we never got to see the Milky Way.\However we ended up staying up all night chatting.\I already knew that wishing alone won't make dreams come true, response:	but I did feel that each time a dream came true,
context: My dreams will wither in this heat.\Nana!\The tanzakus are being blown away.\That day the clear skies of Tokyo filled up with clouds in the evening\and we never got to see the Milky Way.\However we ended up staying up all night chatting.\I already knew that wishing alone won't make dreams come true,\but I did feel that each time a dream came true, response:	I would become that much happier.
context: Nana!\The tanzakus are being blown away.\That day the clear skies of Tokyo filled up with clouds in the evening\and we never got to see the Milky Way.\However we ended up staying up all night chatting.\I already knew that wishing alone won't make dreams come true,\but I did feel that each time a dream came true,\I would become that much happier. response:	May Hachiko find a boyfriend. (long haired) Nana
context: The tanzakus are being blown away.\That day the clear skies of Tokyo filled up with clouds in the evening\and we never got to see the Milky Way.\However we ended up staying up all night chatting.\I already knew that wishing alone won't make dreams come true,\but I did feel that each time a dream came true,\I would become that much happier.\May Hachiko find a boyfriend. (long haired) Nana response:	Today, we will once again bring you a wide range of special melodies,
context: That day the clear skies of Tokyo filled up with clouds in the evening\and we never got to see the Milky Way.\However we ended up staying up all night chatting.\I already knew that wishing alone won't make dreams come true,\but I did feel that each time a dream came true,\I would become that much happier.\May Hachiko find a boyfriend. (long haired) Nana\Today, we will once again bring you a wide range of special melodies, response:	from the latest hit songs to nostalgic songs from the past.
context: and we never got to see the Milky Way.\However we ended up staying up all night chatting.\I already knew that wishing alone won't make dreams come true,\but I did feel that each time a dream came true,\I would become that much happier.\May Hachiko find a boyfriend. (long haired) Nana\Today, we will once again bring you a wide range of special melodies,\from the latest hit songs to nostalgic songs from the past. response:	We will kick off with a video clip of a group who will be performing
context: However we ended up staying up all night chatting.\I already knew that wishing alone won't make dreams come true,\but I did feel that each time a dream came true,\I would become that much happier.\May Hachiko find a boyfriend. (long haired) Nana\Today, we will once again bring you a wide range of special melodies,\from the latest hit songs to nostalgic songs from the past.\We will kick off with a video clip of a group who will be performing response:	the finale to their first nationwide tour tonight. Trapnest.
context: I already knew that wishing alone won't make dreams come true,\but I did feel that each time a dream came true,\I would become that much happier.\May Hachiko find a boyfriend. (long haired) Nana\Today, we will once again bring you a wide range of special melodies,\from the latest hit songs to nostalgic songs from the past.\We will kick off with a video clip of a group who will be performing\the finale to their first nationwide tour tonight. Trapnest. response:	Once the tour is over,.,
context: but I did feel that each time a dream came true,\I would become that much happier.\May Hachiko find a boyfriend. (long haired) Nana\Today, we will once again bring you a wide range of special melodies,\from the latest hit songs to nostalgic songs from the past.\We will kick off with a video clip of a group who will be performing\the finale to their first nationwide tour tonight. Trapnest.\Once the tour is over,., response:	I'll come directly to see you.
context: I would become that much happier.\May Hachiko find a boyfriend. (long haired) Nana\Today, we will once again bring you a wide range of special melodies,\from the latest hit songs to nostalgic songs from the past.\We will kick off with a video clip of a group who will be performing\the finale to their first nationwide tour tonight. Trapnest.\Once the tour is over,.,\I'll come directly to see you. response:	When I do, would you mind cooking for me again?
context: May Hachiko find a boyfriend. (long haired) Nana\Today, we will once again bring you a wide range of special melodies,\from the latest hit songs to nostalgic songs from the past.\We will kick off with a video clip of a group who will be performing\the finale to their first nationwide tour tonight. Trapnest.\Once the tour is over,.,\I'll come directly to see you.\When I do, would you mind cooking for me again? response:	He will come. He won't come.
context: Today, we will once again bring you a wide range of special melodies,\from the latest hit songs to nostalgic songs from the past.\We will kick off with a video clip of a group who will be performing\the finale to their first nationwide tour tonight. Trapnest.\Once the tour is over,.,\I'll come directly to see you.\When I do, would you mind cooking for me again?\He will come. He won't come. response:	He will come. He won't come.
context: from the latest hit songs to nostalgic songs from the past.\We will kick off with a video clip of a group who will be performing\the finale to their first nationwide tour tonight. Trapnest.\Once the tour is over,.,\I'll come directly to see you.\When I do, would you mind cooking for me again?\He will come. He won't come.\He will come. He won't come. response:	He will come.
context: We will kick off with a video clip of a group who will be performing\the finale to their first nationwide tour tonight. Trapnest.\Once the tour is over,.,\I'll come directly to see you.\When I do, would you mind cooking for me again?\He will come. He won't come.\He will come. He won't come.\He will come. response:	He won't come.
context: the finale to their first nationwide tour tonight. Trapnest.\Once the tour is over,.,\I'll come directly to see you.\When I do, would you mind cooking for me again?\He will come. He won't come.\He will come. He won't come.\He will come.\He won't come. response:	Oh, no! Nobody in today's age uses flowers to make predictions anymore!
context: Once the tour is over,.,\I'll come directly to see you.\When I do, would you mind cooking for me again?\He will come. He won't come.\He will come. He won't come.\He will come.\He won't come.\Oh, no! Nobody in today's age uses flowers to make predictions anymore! response:	I may be insane!
context: I'll come directly to see you.\When I do, would you mind cooking for me again?\He will come. He won't come.\He will come. He won't come.\He will come.\He won't come.\Oh, no! Nobody in today's age uses flowers to make predictions anymore!\I may be insane! response:	I shouldn't hafta use flowers! I know the answer!
context: When I do, would you mind cooking for me again?\He will come. He won't come.\He will come. He won't come.\He will come.\He won't come.\Oh, no! Nobody in today's age uses flowers to make predictions anymore!\I may be insane!\I shouldn't hafta use flowers! I know the answer! response:	There's no way he's coming.
context: He will come. He won't come.\He will come. He won't come.\He will come.\He won't come.\Oh, no! Nobody in today's age uses flowers to make predictions anymore!\I may be insane!\I shouldn't hafta use flowers! I know the answer!\There's no way he's coming. response:	He didn't even reply to my email. He's probably forgotten all about me.
context: He will come. He won't come.\He will come.\He won't come.\Oh, no! Nobody in today's age uses flowers to make predictions anymore!\I may be insane!\I shouldn't hafta use flowers! I know the answer!\There's no way he's coming.\He didn't even reply to my email. He's probably forgotten all about me. response:	But just in case...
context: He will come.\He won't come.\Oh, no! Nobody in today's age uses flowers to make predictions anymore!\I may be insane!\I shouldn't hafta use flowers! I know the answer!\There's no way he's coming.\He didn't even reply to my email. He's probably forgotten all about me.\But just in case... response:	Even if Takumi doesn't come, I'm positive Ren will come.
context: He won't come.\Oh, no! Nobody in today's age uses flowers to make predictions anymore!\I may be insane!\I shouldn't hafta use flowers! I know the answer!\There's no way he's coming.\He didn't even reply to my email. He's probably forgotten all about me.\But just in case...\Even if Takumi doesn't come, I'm positive Ren will come. response:	There's no big difference in cooking for three people or four people.
context: Oh, no! Nobody in today's age uses flowers to make predictions anymore!\I may be insane!\I shouldn't hafta use flowers! I know the answer!\There's no way he's coming.\He didn't even reply to my email. He's probably forgotten all about me.\But just in case...\Even if Takumi doesn't come, I'm positive Ren will come.\There's no big difference in cooking for three people or four people. response:	I don't know what time they'll show up,
context: I may be insane!\I shouldn't hafta use flowers! I know the answer!\There's no way he's coming.\He didn't even reply to my email. He's probably forgotten all about me.\But just in case...\Even if Takumi doesn't come, I'm positive Ren will come.\There's no big difference in cooking for three people or four people.\I don't know what time they'll show up, response:	so it's gotta be food that's tasty even after it's cooled down.
context: I shouldn't hafta use flowers! I know the answer!\There's no way he's coming.\He didn't even reply to my email. He's probably forgotten all about me.\But just in case...\Even if Takumi doesn't come, I'm positive Ren will come.\There's no big difference in cooking for three people or four people.\I don't know what time they'll show up,\so it's gotta be food that's tasty even after it's cooled down. response:	These tomatoes are really delicious.
context: There's no way he's coming.\He didn't even reply to my email. He's probably forgotten all about me.\But just in case...\Even if Takumi doesn't come, I'm positive Ren will come.\There's no big difference in cooking for three people or four people.\I don't know what time they'll show up,\so it's gotta be food that's tasty even after it's cooled down.\These tomatoes are really delicious. response:	Where did you get them from?
context: He didn't even reply to my email. He's probably forgotten all about me.\But just in case...\Even if Takumi doesn't come, I'm positive Ren will come.\There's no big difference in cooking for three people or four people.\I don't know what time they'll show up,\so it's gotta be food that's tasty even after it's cooled down.\These tomatoes are really delicious.\Where did you get them from? response:	Is this really okay? Thank you, Jun-chan.
context: But just in case...\Even if Takumi doesn't come, I'm positive Ren will come.\There's no big difference in cooking for three people or four people.\I don't know what time they'll show up,\so it's gotta be food that's tasty even after it's cooled down.\These tomatoes are really delicious.\Where did you get them from?\Is this really okay? Thank you, Jun-chan. response:	The two of us can't eat all this.
context: Even if Takumi doesn't come, I'm positive Ren will come.\There's no big difference in cooking for three people or four people.\I don't know what time they'll show up,\so it's gotta be food that's tasty even after it's cooled down.\These tomatoes are really delicious.\Where did you get them from?\Is this really okay? Thank you, Jun-chan.\The two of us can't eat all this. response:	They just arrived, so they're really fresh.
context: There's no big difference in cooking for three people or four people.\I don't know what time they'll show up,\so it's gotta be food that's tasty even after it's cooled down.\These tomatoes are really delicious.\Where did you get them from?\Is this really okay? Thank you, Jun-chan.\The two of us can't eat all this.\They just arrived, so they're really fresh. response:	Lucky!
context: I don't know what time they'll show up,\so it's gotta be food that's tasty even after it's cooled down.\These tomatoes are really delicious.\Where did you get them from?\Is this really okay? Thank you, Jun-chan.\The two of us can't eat all this.\They just arrived, so they're really fresh.\Lucky! response:	Well then, thank you so much, Jun-chan.
context: so it's gotta be food that's tasty even after it's cooled down.\These tomatoes are really delicious.\Where did you get them from?\Is this really okay? Thank you, Jun-chan.\The two of us can't eat all this.\They just arrived, so they're really fresh.\Lucky!\Well then, thank you so much, Jun-chan. response:	Come by again.
context: These tomatoes are really delicious.\Where did you get them from?\Is this really okay? Thank you, Jun-chan.\The two of us can't eat all this.\They just arrived, so they're really fresh.\Lucky!\Well then, thank you so much, Jun-chan.\Come by again. response:	- Kyosuke said he'd love to see you. - Mhm.
context: Where did you get them from?\Is this really okay? Thank you, Jun-chan.\The two of us can't eat all this.\They just arrived, so they're really fresh.\Lucky!\Well then, thank you so much, Jun-chan.\Come by again.\- Kyosuke said he'd love to see you. - Mhm. response:	But look at all the stuff you bought. Are you expecting someone?
context: Is this really okay? Thank you, Jun-chan.\The two of us can't eat all this.\They just arrived, so they're really fresh.\Lucky!\Well then, thank you so much, Jun-chan.\Come by again.\- Kyosuke said he'd love to see you. - Mhm.\But look at all the stuff you bought. Are you expecting someone? response:	N-Not really. N-No one's coming.
context: The two of us can't eat all this.\They just arrived, so they're really fresh.\Lucky!\Well then, thank you so much, Jun-chan.\Come by again.\- Kyosuke said he'd love to see you. - Mhm.\But look at all the stuff you bought. Are you expecting someone?\N-Not really. N-No one's coming. response:	It's probably for the best for him not to come.
context: They just arrived, so they're really fresh.\Lucky!\Well then, thank you so much, Jun-chan.\Come by again.\- Kyosuke said he'd love to see you. - Mhm.\But look at all the stuff you bought. Are you expecting someone?\N-Not really. N-No one's coming.\It's probably for the best for him not to come. response:	Then I can easily give up on him.
context: Lucky!\Well then, thank you so much, Jun-chan.\Come by again.\- Kyosuke said he'd love to see you. - Mhm.\But look at all the stuff you bought. Are you expecting someone?\N-Not really. N-No one's coming.\It's probably for the best for him not to come.\Then I can easily give up on him. response:	Besides, if Takumi comes over,
context: Well then, thank you so much, Jun-chan.\Come by again.\- Kyosuke said he'd love to see you. - Mhm.\But look at all the stuff you bought. Are you expecting someone?\N-Not really. N-No one's coming.\It's probably for the best for him not to come.\Then I can easily give up on him.\Besides, if Takumi comes over, response:	I would hafta explain everything to Nana.
context: Come by again.\- Kyosuke said he'd love to see you. - Mhm.\But look at all the stuff you bought. Are you expecting someone?\N-Not really. N-No one's coming.\It's probably for the best for him not to come.\Then I can easily give up on him.\Besides, if Takumi comes over,\I would hafta explain everything to Nana. response:	There's no way I could hide things any longer.
context: - Kyosuke said he'd love to see you. - Mhm.\But look at all the stuff you bought. Are you expecting someone?\N-Not really. N-No one's coming.\It's probably for the best for him not to come.\Then I can easily give up on him.\Besides, if Takumi comes over,\I would hafta explain everything to Nana.\There's no way I could hide things any longer. response:	But if that happens, there'd no longer be a reason to hide things.
context: But look at all the stuff you bought. Are you expecting someone?\N-Not really. N-No one's coming.\It's probably for the best for him not to come.\Then I can easily give up on him.\Besides, if Takumi comes over,\I would hafta explain everything to Nana.\There's no way I could hide things any longer.\But if that happens, there'd no longer be a reason to hide things. response:	If Takumi is the kind of guy who would come to see me as he promised,
context: N-Not really. N-No one's coming.\It's probably for the best for him not to come.\Then I can easily give up on him.\Besides, if Takumi comes over,\I would hafta explain everything to Nana.\There's no way I could hide things any longer.\But if that happens, there'd no longer be a reason to hide things.\If Takumi is the kind of guy who would come to see me as he promised, response:	I would feel less guilty about the situation.
context: It's probably for the best for him not to come.\Then I can easily give up on him.\Besides, if Takumi comes over,\I would hafta explain everything to Nana.\There's no way I could hide things any longer.\But if that happens, there'd no longer be a reason to hide things.\If Takumi is the kind of guy who would come to see me as he promised,\I would feel less guilty about the situation. response:	Hey, Hachiko! Who's gonna eat all this?
context: Then I can easily give up on him.\Besides, if Takumi comes over,\I would hafta explain everything to Nana.\There's no way I could hide things any longer.\But if that happens, there'd no longer be a reason to hide things.\If Takumi is the kind of guy who would come to see me as he promised,\I would feel less guilty about the situation.\Hey, Hachiko! Who's gonna eat all this? response:	There's easily enough here for at least five people!
context: Besides, if Takumi comes over,\I would hafta explain everything to Nana.\There's no way I could hide things any longer.\But if that happens, there'd no longer be a reason to hide things.\If Takumi is the kind of guy who would come to see me as he promised,\I would feel less guilty about the situation.\Hey, Hachiko! Who's gonna eat all this?\There's easily enough here for at least five people! response:	I guess I got a bit carried away.
context: I would hafta explain everything to Nana.\There's no way I could hide things any longer.\But if that happens, there'd no longer be a reason to hide things.\If Takumi is the kind of guy who would come to see me as he promised,\I would feel less guilty about the situation.\Hey, Hachiko! Who's gonna eat all this?\There's easily enough here for at least five people!\I guess I got a bit carried away. response:	But I figured he'd be hungry after the live performance.
context: There's no way I could hide things any longer.\But if that happens, there'd no longer be a reason to hide things.\If Takumi is the kind of guy who would come to see me as he promised,\I would feel less guilty about the situation.\Hey, Hachiko! Who's gonna eat all this?\There's easily enough here for at least five people!\I guess I got a bit carried away.\But I figured he'd be hungry after the live performance. response:	I wonder what time Ren will be here.
context: But if that happens, there'd no longer be a reason to hide things.\If Takumi is the kind of guy who would come to see me as he promised,\I would feel less guilty about the situation.\Hey, Hachiko! Who's gonna eat all this?\There's easily enough here for at least five people!\I guess I got a bit carried away.\But I figured he'd be hungry after the live performance.\I wonder what time Ren will be here. response:	Huh? He's coming? Did he say he is?
context: If Takumi is the kind of guy who would come to see me as he promised,\I would feel less guilty about the situation.\Hey, Hachiko! Who's gonna eat all this?\There's easily enough here for at least five people!\I guess I got a bit carried away.\But I figured he'd be hungry after the live performance.\I wonder what time Ren will be here.\Huh? He's coming? Did he say he is? response:	What? I don't know, but I assumed he'd be coming. Isn't he?
context: I would feel less guilty about the situation.\Hey, Hachiko! Who's gonna eat all this?\There's easily enough here for at least five people!\I guess I got a bit carried away.\But I figured he'd be hungry after the live performance.\I wonder what time Ren will be here.\Huh? He's coming? Did he say he is?\What? I don't know, but I assumed he'd be coming. Isn't he? response:	I doubt he is. He never made any such promise.
context: Hey, Hachiko! Who's gonna eat all this?\There's easily enough here for at least five people!\I guess I got a bit carried away.\But I figured he'd be hungry after the live performance.\I wonder what time Ren will be here.\Huh? He's coming? Did he say he is?\What? I don't know, but I assumed he'd be coming. Isn't he?\I doubt he is. He never made any such promise. response:	Why not?!
context: There's easily enough here for at least five people!\I guess I got a bit carried away.\But I figured he'd be hungry after the live performance.\I wonder what time Ren will be here.\Huh? He's coming? Did he say he is?\What? I don't know, but I assumed he'd be coming. Isn't he?\I doubt he is. He never made any such promise.\Why not?! response:	What do you mean, why not?
context: I guess I got a bit carried away.\But I figured he'd be hungry after the live performance.\I wonder what time Ren will be here.\Huh? He's coming? Did he say he is?\What? I don't know, but I assumed he'd be coming. Isn't he?\I doubt he is. He never made any such promise.\Why not?!\What do you mean, why not? response:	His tour ends today,
context: But I figured he'd be hungry after the live performance.\I wonder what time Ren will be here.\Huh? He's coming? Did he say he is?\What? I don't know, but I assumed he'd be coming. Isn't he?\I doubt he is. He never made any such promise.\Why not?!\What do you mean, why not?\His tour ends today, response:	so wouldn't he come to see you first thing after the concert's over?!
context: I wonder what time Ren will be here.\Huh? He's coming? Did he say he is?\What? I don't know, but I assumed he'd be coming. Isn't he?\I doubt he is. He never made any such promise.\Why not?!\What do you mean, why not?\His tour ends today,\so wouldn't he come to see you first thing after the concert's over?! response:	He hasn't seen you in a month!
context: Huh? He's coming? Did he say he is?\What? I don't know, but I assumed he'd be coming. Isn't he?\I doubt he is. He never made any such promise.\Why not?!\What do you mean, why not?\His tour ends today,\so wouldn't he come to see you first thing after the concert's over?!\He hasn't seen you in a month! response:	He will definitely come!
context: What? I don't know, but I assumed he'd be coming. Isn't he?\I doubt he is. He never made any such promise.\Why not?!\What do you mean, why not?\His tour ends today,\so wouldn't he come to see you first thing after the concert's over?!\He hasn't seen you in a month!\He will definitely come! response:	But tonight they're partying until late to celebrate the end of the tour.
context: I doubt he is. He never made any such promise.\Why not?!\What do you mean, why not?\His tour ends today,\so wouldn't he come to see you first thing after the concert's over?!\He hasn't seen you in a month!\He will definitely come!\But tonight they're partying until late to celebrate the end of the tour. response:	It's not likely he'll be able to come here.
context: Why not?!\What do you mean, why not?\His tour ends today,\so wouldn't he come to see you first thing after the concert's over?!\He hasn't seen you in a month!\He will definitely come!\But tonight they're partying until late to celebrate the end of the tour.\It's not likely he'll be able to come here. response:	Partying until late...
context: What do you mean, why not?\His tour ends today,\so wouldn't he come to see you first thing after the concert's over?!\He hasn't seen you in a month!\He will definitely come!\But tonight they're partying until late to celebrate the end of the tour.\It's not likely he'll be able to come here.\Partying until late... response:	I see.
context: His tour ends today,\so wouldn't he come to see you first thing after the concert's over?!\He hasn't seen you in a month!\He will definitely come!\But tonight they're partying until late to celebrate the end of the tour.\It's not likely he'll be able to come here.\Partying until late...\I see. response:	But he may come after that.
context: so wouldn't he come to see you first thing after the concert's over?!\He hasn't seen you in a month!\He will definitely come!\But tonight they're partying until late to celebrate the end of the tour.\It's not likely he'll be able to come here.\Partying until late...\I see.\But he may come after that. response:	No. If Ren comes over and stays the night,
context: He hasn't seen you in a month!\He will definitely come!\But tonight they're partying until late to celebrate the end of the tour.\It's not likely he'll be able to come here.\Partying until late...\I see.\But he may come after that.\No. If Ren comes over and stays the night, response:	you'd feel obligated to be hospitable.
context: He will definitely come!\But tonight they're partying until late to celebrate the end of the tour.\It's not likely he'll be able to come here.\Partying until late...\I see.\But he may come after that.\No. If Ren comes over and stays the night,\you'd feel obligated to be hospitable. response:	So we decided that from now on, whenever we wanna meet,
context: But tonight they're partying until late to celebrate the end of the tour.\It's not likely he'll be able to come here.\Partying until late...\I see.\But he may come after that.\No. If Ren comes over and stays the night,\you'd feel obligated to be hospitable.\So we decided that from now on, whenever we wanna meet, response:	I'll go to Ren's place.
context: It's not likely he'll be able to come here.\Partying until late...\I see.\But he may come after that.\No. If Ren comes over and stays the night,\you'd feel obligated to be hospitable.\So we decided that from now on, whenever we wanna meet,\I'll go to Ren's place. response:	He's not gonna suddenly show up late at night without my knowledge.
context: Partying until late...\I see.\But he may come after that.\No. If Ren comes over and stays the night,\you'd feel obligated to be hospitable.\So we decided that from now on, whenever we wanna meet,\I'll go to Ren's place.\He's not gonna suddenly show up late at night without my knowledge. response:	No way. I was faintly hoping that...
context: I see.\But he may come after that.\No. If Ren comes over and stays the night,\you'd feel obligated to be hospitable.\So we decided that from now on, whenever we wanna meet,\I'll go to Ren's place.\He's not gonna suddenly show up late at night without my knowledge.\No way. I was faintly hoping that... response:	Hoping that Ren would come to see Nana,
context: But he may come after that.\No. If Ren comes over and stays the night,\you'd feel obligated to be hospitable.\So we decided that from now on, whenever we wanna meet,\I'll go to Ren's place.\He's not gonna suddenly show up late at night without my knowledge.\No way. I was faintly hoping that...\Hoping that Ren would come to see Nana, response:	and Takumi would tag along
context: No. If Ren comes over and stays the night,\you'd feel obligated to be hospitable.\So we decided that from now on, whenever we wanna meet,\I'll go to Ren's place.\He's not gonna suddenly show up late at night without my knowledge.\No way. I was faintly hoping that...\Hoping that Ren would come to see Nana,\and Takumi would tag along response:	with his casual, maybe I'll come along too attitude.
context: you'd feel obligated to be hospitable.\So we decided that from now on, whenever we wanna meet,\I'll go to Ren's place.\He's not gonna suddenly show up late at night without my knowledge.\No way. I was faintly hoping that...\Hoping that Ren would come to see Nana,\and Takumi would tag along\with his casual, maybe I'll come along too attitude. response:	H-Hey...
