context: Once, there was a Hero King response:	who brought peace to the world.
context: I want to save them.\This is just a hypothetical, but...\Right now the demons are a big threat,\and the different countries don't really come into contact with each other.\Right now, there's neither the opportunity nor the time for humans to fight each other.\But if the demons were wiped out and the world\was at peace, what do you think would happen?\Then humans would start fighting each other. response:	Peaceful areas. Fertile areas. The best roads.
context: This is just a hypothetical, but...\Right now the demons are a big threat,\and the different countries don't really come into contact with each other.\Right now, there's neither the opportunity nor the time for humans to fight each other.\But if the demons were wiped out and the world\was at peace, what do you think would happen?\Then humans would start fighting each other.\Peaceful areas. Fertile areas. The best roads. response:	They would start fighting over who controls them.
context: Right now the demons are a big threat,\and the different countries don't really come into contact with each other.\Right now, there's neither the opportunity nor the time for humans to fight each other.\But if the demons were wiped out and the world\was at peace, what do you think would happen?\Then humans would start fighting each other.\Peaceful areas. Fertile areas. The best roads.\They would start fighting over who controls them. response:	That's why I think we're best off the way things are now.
context: and the different countries don't really come into contact with each other.\Right now, there's neither the opportunity nor the time for humans to fight each other.\But if the demons were wiped out and the world\was at peace, what do you think would happen?\Then humans would start fighting each other.\Peaceful areas. Fertile areas. The best roads.\They would start fighting over who controls them.\That's why I think we're best off the way things are now. response:	I think we might be better off
context: Right now, there's neither the opportunity nor the time for humans to fight each other.\But if the demons were wiped out and the world\was at peace, what do you think would happen?\Then humans would start fighting each other.\Peaceful areas. Fertile areas. The best roads.\They would start fighting over who controls them.\That's why I think we're best off the way things are now.\I think we might be better off response:	just protecting our own.
context: But if the demons were wiped out and the world\was at peace, what do you think would happen?\Then humans would start fighting each other.\Peaceful areas. Fertile areas. The best roads.\They would start fighting over who controls them.\That's why I think we're best off the way things are now.\I think we might be better off\just protecting our own. response:	That might be true.
context: was at peace, what do you think would happen?\Then humans would start fighting each other.\Peaceful areas. Fertile areas. The best roads.\They would start fighting over who controls them.\That's why I think we're best off the way things are now.\I think we might be better off\just protecting our own.\That might be true. response:	It's the job of a king or a ruler to
context: Then humans would start fighting each other.\Peaceful areas. Fertile areas. The best roads.\They would start fighting over who controls them.\That's why I think we're best off the way things are now.\I think we might be better off\just protecting our own.\That might be true.\It's the job of a king or a ruler to response:	keep the people from fighting.
context: Peaceful areas. Fertile areas. The best roads.\They would start fighting over who controls them.\That's why I think we're best off the way things are now.\I think we might be better off\just protecting our own.\That might be true.\It's the job of a king or a ruler to\keep the people from fighting. response:	Either way, we have to
context: They would start fighting over who controls them.\That's why I think we're best off the way things are now.\I think we might be better off\just protecting our own.\That might be true.\It's the job of a king or a ruler to\keep the people from fighting.\Either way, we have to response:	keep finding the cursed blades.
context: That's why I think we're best off the way things are now.\I think we might be better off\just protecting our own.\That might be true.\It's the job of a king or a ruler to\keep the people from fighting.\Either way, we have to\keep finding the cursed blades. response:	Fi and Adel are going to continue their journey to fight the demons.
context: I think we might be better off\just protecting our own.\That might be true.\It's the job of a king or a ruler to\keep the people from fighting.\Either way, we have to\keep finding the cursed blades.\Fi and Adel are going to continue their journey to fight the demons. response:	So it would make sense for us to go together.
context: just protecting our own.\That might be true.\It's the job of a king or a ruler to\keep the people from fighting.\Either way, we have to\keep finding the cursed blades.\Fi and Adel are going to continue their journey to fight the demons.\So it would make sense for us to go together. response:	So it would be really helpful if you told us more about
context: That might be true.\It's the job of a king or a ruler to\keep the people from fighting.\Either way, we have to\keep finding the cursed blades.\Fi and Adel are going to continue their journey to fight the demons.\So it would make sense for us to go together.\So it would be really helpful if you told us more about response:	the cursed blades and the demons.
context: It's the job of a king or a ruler to\keep the people from fighting.\Either way, we have to\keep finding the cursed blades.\Fi and Adel are going to continue their journey to fight the demons.\So it would make sense for us to go together.\So it would be really helpful if you told us more about\the cursed blades and the demons. response:	You're a really simplistic kid.
context: keep the people from fighting.\Either way, we have to\keep finding the cursed blades.\Fi and Adel are going to continue their journey to fight the demons.\So it would make sense for us to go together.\So it would be really helpful if you told us more about\the cursed blades and the demons.\You're a really simplistic kid. response:	I'm not a kid! My name's Hina!
context: Either way, we have to\keep finding the cursed blades.\Fi and Adel are going to continue their journey to fight the demons.\So it would make sense for us to go together.\So it would be really helpful if you told us more about\the cursed blades and the demons.\You're a really simplistic kid.\I'm not a kid! My name's Hina! response:	And you didn't listen to what I just said.
context: keep finding the cursed blades.\Fi and Adel are going to continue their journey to fight the demons.\So it would make sense for us to go together.\So it would be really helpful if you told us more about\the cursed blades and the demons.\You're a really simplistic kid.\I'm not a kid! My name's Hina!\And you didn't listen to what I just said. response:	I did so!
context: Fi and Adel are going to continue their journey to fight the demons.\So it would make sense for us to go together.\So it would be really helpful if you told us more about\the cursed blades and the demons.\You're a really simplistic kid.\I'm not a kid! My name's Hina!\And you didn't listen to what I just said.\I did so! response:	Would you come with us, Valerie?
context: So it would make sense for us to go together.\So it would be really helpful if you told us more about\the cursed blades and the demons.\You're a really simplistic kid.\I'm not a kid! My name's Hina!\And you didn't listen to what I just said.\I did so!\Would you come with us, Valerie? response:	No.
context: So it would be really helpful if you told us more about\the cursed blades and the demons.\You're a really simplistic kid.\I'm not a kid! My name's Hina!\And you didn't listen to what I just said.\I did so!\Would you come with us, Valerie?\No. response:	I'm actually a little opposed to his coming with us.
context: the cursed blades and the demons.\You're a really simplistic kid.\I'm not a kid! My name's Hina!\And you didn't listen to what I just said.\I did so!\Would you come with us, Valerie?\No.\I'm actually a little opposed to his coming with us. response:	Hina and I lost our home to demons.
context: You're a really simplistic kid.\I'm not a kid! My name's Hina!\And you didn't listen to what I just said.\I did so!\Would you come with us, Valerie?\No.\I'm actually a little opposed to his coming with us.\Hina and I lost our home to demons. response:	When that happened, we both were soaked in demon blood.
context: I'm not a kid! My name's Hina!\And you didn't listen to what I just said.\I did so!\Would you come with us, Valerie?\No.\I'm actually a little opposed to his coming with us.\Hina and I lost our home to demons.\When that happened, we both were soaked in demon blood. response:	That's probably why
context: And you didn't listen to what I just said.\I did so!\Would you come with us, Valerie?\No.\I'm actually a little opposed to his coming with us.\Hina and I lost our home to demons.\When that happened, we both were soaked in demon blood.\That's probably why response:	she and I both can't die.
context: I did so!\Would you come with us, Valerie?\No.\I'm actually a little opposed to his coming with us.\Hina and I lost our home to demons.\When that happened, we both were soaked in demon blood.\That's probably why\she and I both can't die. response:	Hina hasn't grown at all since then.
context: Would you come with us, Valerie?\No.\I'm actually a little opposed to his coming with us.\Hina and I lost our home to demons.\When that happened, we both were soaked in demon blood.\That's probably why\she and I both can't die.\Hina hasn't grown at all since then. response:	Not yet, anyway.
context: No.\I'm actually a little opposed to his coming with us.\Hina and I lost our home to demons.\When that happened, we both were soaked in demon blood.\That's probably why\she and I both can't die.\Hina hasn't grown at all since then.\Not yet, anyway. response:	There's so much we don't know about the demons.
context: I'm actually a little opposed to his coming with us.\Hina and I lost our home to demons.\When that happened, we both were soaked in demon blood.\That's probably why\she and I both can't die.\Hina hasn't grown at all since then.\Not yet, anyway.\There's so much we don't know about the demons. response:	We don't know what might happen.
context: Hina and I lost our home to demons.\When that happened, we both were soaked in demon blood.\That's probably why\she and I both can't die.\Hina hasn't grown at all since then.\Not yet, anyway.\There's so much we don't know about the demons.\We don't know what might happen. response:	Do the princess and the Hero
context: When that happened, we both were soaked in demon blood.\That's probably why\she and I both can't die.\Hina hasn't grown at all since then.\Not yet, anyway.\There's so much we don't know about the demons.\We don't know what might happen.\Do the princess and the Hero response:	still want to continue their journey anyway?
context: That's probably why\she and I both can't die.\Hina hasn't grown at all since then.\Not yet, anyway.\There's so much we don't know about the demons.\We don't know what might happen.\Do the princess and the Hero\still want to continue their journey anyway? response:	I do.
context: she and I both can't die.\Hina hasn't grown at all since then.\Not yet, anyway.\There's so much we don't know about the demons.\We don't know what might happen.\Do the princess and the Hero\still want to continue their journey anyway?\I do. response:	I want to get rid of the threat of the demons so we can broaden our horizons.
context: Hina hasn't grown at all since then.\Not yet, anyway.\There's so much we don't know about the demons.\We don't know what might happen.\Do the princess and the Hero\still want to continue their journey anyway?\I do.\I want to get rid of the threat of the demons so we can broaden our horizons. response:	I want to make everyone in the world smile!
context: Not yet, anyway.\There's so much we don't know about the demons.\We don't know what might happen.\Do the princess and the Hero\still want to continue their journey anyway?\I do.\I want to get rid of the threat of the demons so we can broaden our horizons.\I want to make everyone in the world smile! response:	What about you, Adel?
context: There's so much we don't know about the demons.\We don't know what might happen.\Do the princess and the Hero\still want to continue their journey anyway?\I do.\I want to get rid of the threat of the demons so we can broaden our horizons.\I want to make everyone in the world smile!\What about you, Adel? response:	I don't really know much about
context: We don't know what might happen.\Do the princess and the Hero\still want to continue their journey anyway?\I do.\I want to get rid of the threat of the demons so we can broaden our horizons.\I want to make everyone in the world smile!\What about you, Adel?\I don't really know much about response:	this world, or the demons,
context: Do the princess and the Hero\still want to continue their journey anyway?\I do.\I want to get rid of the threat of the demons so we can broaden our horizons.\I want to make everyone in the world smile!\What about you, Adel?\I don't really know much about\this world, or the demons, response:	but I love the people who live on this continent.
context: still want to continue their journey anyway?\I do.\I want to get rid of the threat of the demons so we can broaden our horizons.\I want to make everyone in the world smile!\What about you, Adel?\I don't really know much about\this world, or the demons,\but I love the people who live on this continent. response:	And more than anything I love Fi-sama,
context: I do.\I want to get rid of the threat of the demons so we can broaden our horizons.\I want to make everyone in the world smile!\What about you, Adel?\I don't really know much about\this world, or the demons,\but I love the people who live on this continent.\And more than anything I love Fi-sama, response:	the princess who called me here!
context: I want to get rid of the threat of the demons so we can broaden our horizons.\I want to make everyone in the world smile!\What about you, Adel?\I don't really know much about\this world, or the demons,\but I love the people who live on this continent.\And more than anything I love Fi-sama,\the princess who called me here! response:	I want to help her wish come true!
context: I want to make everyone in the world smile!\What about you, Adel?\I don't really know much about\this world, or the demons,\but I love the people who live on this continent.\And more than anything I love Fi-sama,\the princess who called me here!\I want to help her wish come true! response:	I'm
context: What about you, Adel?\I don't really know much about\this world, or the demons,\but I love the people who live on this continent.\And more than anything I love Fi-sama,\the princess who called me here!\I want to help her wish come true!\I'm response:	satisfied with being her gun.
context: I don't really know much about\this world, or the demons,\but I love the people who live on this continent.\And more than anything I love Fi-sama,\the princess who called me here!\I want to help her wish come true!\I'm\satisfied with being her gun. response:	So I'm going to do whatever she decides.
context: this world, or the demons,\but I love the people who live on this continent.\And more than anything I love Fi-sama,\the princess who called me here!\I want to help her wish come true!\I'm\satisfied with being her gun.\So I'm going to do whatever she decides. response:	Hero...
context: but I love the people who live on this continent.\And more than anything I love Fi-sama,\the princess who called me here!\I want to help her wish come true!\I'm\satisfied with being her gun.\So I'm going to do whatever she decides.\Hero... response:	Of course, if there's anything dangerous or bad she tries to do,
context: And more than anything I love Fi-sama,\the princess who called me here!\I want to help her wish come true!\I'm\satisfied with being her gun.\So I'm going to do whatever she decides.\Hero...\Of course, if there's anything dangerous or bad she tries to do, response:	I'll make sure to stop her.
context: the princess who called me here!\I want to help her wish come true!\I'm\satisfied with being her gun.\So I'm going to do whatever she decides.\Hero...\Of course, if there's anything dangerous or bad she tries to do,\I'll make sure to stop her. response:	Yeah.
context: I want to help her wish come true!\I'm\satisfied with being her gun.\So I'm going to do whatever she decides.\Hero...\Of course, if there's anything dangerous or bad she tries to do,\I'll make sure to stop her.\Yeah. response:	You heard her.
context: I'm\satisfied with being her gun.\So I'm going to do whatever she decides.\Hero...\Of course, if there's anything dangerous or bad she tries to do,\I'll make sure to stop her.\Yeah.\You heard her. response:	What will you do, Valerie?
context: satisfied with being her gun.\So I'm going to do whatever she decides.\Hero...\Of course, if there's anything dangerous or bad she tries to do,\I'll make sure to stop her.\Yeah.\You heard her.\What will you do, Valerie? response:	You've made it sound like I don't have a choice, you stupid kid.
context: So I'm going to do whatever she decides.\Hero...\Of course, if there's anything dangerous or bad she tries to do,\I'll make sure to stop her.\Yeah.\You heard her.\What will you do, Valerie?\You've made it sound like I don't have a choice, you stupid kid. response:	My name is Hina!
context: Hero...\Of course, if there's anything dangerous or bad she tries to do,\I'll make sure to stop her.\Yeah.\You heard her.\What will you do, Valerie?\You've made it sound like I don't have a choice, you stupid kid.\My name is Hina! response:	The traveling swordsmith and anti-magic user, Isuca,
context: Of course, if there's anything dangerous or bad she tries to do,\I'll make sure to stop her.\Yeah.\You heard her.\What will you do, Valerie?\You've made it sound like I don't have a choice, you stupid kid.\My name is Hina!\The traveling swordsmith and anti-magic user, Isuca, response:	and the sword master, Hina.
context: I'll make sure to stop her.\Yeah.\You heard her.\What will you do, Valerie?\You've made it sound like I don't have a choice, you stupid kid.\My name is Hina!\The traveling swordsmith and anti-magic user, Isuca,\and the sword master, Hina. response:	Valerie, the demon researcher, and the princess, Fi,
context: Yeah.\You heard her.\What will you do, Valerie?\You've made it sound like I don't have a choice, you stupid kid.\My name is Hina!\The traveling swordsmith and anti-magic user, Isuca,\and the sword master, Hina.\Valerie, the demon researcher, and the princess, Fi, response:	and the Hero, Adel.
context: You heard her.\What will you do, Valerie?\You've made it sound like I don't have a choice, you stupid kid.\My name is Hina!\The traveling swordsmith and anti-magic user, Isuca,\and the sword master, Hina.\Valerie, the demon researcher, and the princess, Fi,\and the Hero, Adel. response:	We would defeat the demons to liberate towns and roads,
context: What will you do, Valerie?\You've made it sound like I don't have a choice, you stupid kid.\My name is Hina!\The traveling swordsmith and anti-magic user, Isuca,\and the sword master, Hina.\Valerie, the demon researcher, and the princess, Fi,\and the Hero, Adel.\We would defeat the demons to liberate towns and roads, response:	and help countries that were hurt by the demons,
context: You've made it sound like I don't have a choice, you stupid kid.\My name is Hina!\The traveling swordsmith and anti-magic user, Isuca,\and the sword master, Hina.\Valerie, the demon researcher, and the princess, Fi,\and the Hero, Adel.\We would defeat the demons to liberate towns and roads,\and help countries that were hurt by the demons, response:	bringing nation and nation together.
context: My name is Hina!\The traveling swordsmith and anti-magic user, Isuca,\and the sword master, Hina.\Valerie, the demon researcher, and the princess, Fi,\and the Hero, Adel.\We would defeat the demons to liberate towns and roads,\and help countries that were hurt by the demons,\bringing nation and nation together. response:	We spent a long time traveling over deserts, volcanoes,
context: The traveling swordsmith and anti-magic user, Isuca,\and the sword master, Hina.\Valerie, the demon researcher, and the princess, Fi,\and the Hero, Adel.\We would defeat the demons to liberate towns and roads,\and help countries that were hurt by the demons,\bringing nation and nation together.\We spent a long time traveling over deserts, volcanoes, response:	and the ends of glaciers, all over the world.
context: and the sword master, Hina.\Valerie, the demon researcher, and the princess, Fi,\and the Hero, Adel.\We would defeat the demons to liberate towns and roads,\and help countries that were hurt by the demons,\bringing nation and nation together.\We spent a long time traveling over deserts, volcanoes,\and the ends of glaciers, all over the world. response:	We fought Kleitos, the descendant of the True Dragons,
context: Valerie, the demon researcher, and the princess, Fi,\and the Hero, Adel.\We would defeat the demons to liberate towns and roads,\and help countries that were hurt by the demons,\bringing nation and nation together.\We spent a long time traveling over deserts, volcanoes,\and the ends of glaciers, all over the world.\We fought Kleitos, the descendant of the True Dragons, response:	and afterwards became his friend.
context: and the Hero, Adel.\We would defeat the demons to liberate towns and roads,\and help countries that were hurt by the demons,\bringing nation and nation together.\We spent a long time traveling over deserts, volcanoes,\and the ends of glaciers, all over the world.\We fought Kleitos, the descendant of the True Dragons,\and afterwards became his friend. response:	And we became stronger after
context: We would defeat the demons to liberate towns and roads,\and help countries that were hurt by the demons,\bringing nation and nation together.\We spent a long time traveling over deserts, volcanoes,\and the ends of glaciers, all over the world.\We fought Kleitos, the descendant of the True Dragons,\and afterwards became his friend.\And we became stronger after response:	the creation of my Hero Crystal and Fi's spirit crystal.
context: and help countries that were hurt by the demons,\bringing nation and nation together.\We spent a long time traveling over deserts, volcanoes,\and the ends of glaciers, all over the world.\We fought Kleitos, the descendant of the True Dragons,\and afterwards became his friend.\And we became stronger after\the creation of my Hero Crystal and Fi's spirit crystal. response:	We went all the way above the clouds to find
context: bringing nation and nation together.\We spent a long time traveling over deserts, volcanoes,\and the ends of glaciers, all over the world.\We fought Kleitos, the descendant of the True Dragons,\and afterwards became his friend.\And we became stronger after\the creation of my Hero Crystal and Fi's spirit crystal.\We went all the way above the clouds to find response:	a legendary blade that could seal demons.
context: We spent a long time traveling over deserts, volcanoes,\and the ends of glaciers, all over the world.\We fought Kleitos, the descendant of the True Dragons,\and afterwards became his friend.\And we became stronger after\the creation of my Hero Crystal and Fi's spirit crystal.\We went all the way above the clouds to find\a legendary blade that could seal demons. response:	This is a big one!
context: and the ends of glaciers, all over the world.\We fought Kleitos, the descendant of the True Dragons,\and afterwards became his friend.\And we became stronger after\the creation of my Hero Crystal and Fi's spirit crystal.\We went all the way above the clouds to find\a legendary blade that could seal demons.\This is a big one! response:	Yeah! Let's go, Adel!
context: We fought Kleitos, the descendant of the True Dragons,\and afterwards became his friend.\And we became stronger after\the creation of my Hero Crystal and Fi's spirit crystal.\We went all the way above the clouds to find\a legendary blade that could seal demons.\This is a big one!\Yeah! Let's go, Adel! response:	Right, Valerie!
context: and afterwards became his friend.\And we became stronger after\the creation of my Hero Crystal and Fi's spirit crystal.\We went all the way above the clouds to find\a legendary blade that could seal demons.\This is a big one!\Yeah! Let's go, Adel!\Right, Valerie! response:	At some point, we became famous enough
context: And we became stronger after\the creation of my Hero Crystal and Fi's spirit crystal.\We went all the way above the clouds to find\a legendary blade that could seal demons.\This is a big one!\Yeah! Let's go, Adel!\Right, Valerie!\At some point, we became famous enough response:	that we were known all around the world.
context: the creation of my Hero Crystal and Fi's spirit crystal.\We went all the way above the clouds to find\a legendary blade that could seal demons.\This is a big one!\Yeah! Let's go, Adel!\Right, Valerie!\At some point, we became famous enough\that we were known all around the world. response:	We defeated over 2,000 demons,
context: We went all the way above the clouds to find\a legendary blade that could seal demons.\This is a big one!\Yeah! Let's go, Adel!\Right, Valerie!\At some point, we became famous enough\that we were known all around the world.\We defeated over 2,000 demons, response:	and Valerie's research advanced.
context: a legendary blade that could seal demons.\This is a big one!\Yeah! Let's go, Adel!\Right, Valerie!\At some point, we became famous enough\that we were known all around the world.\We defeated over 2,000 demons,\and Valerie's research advanced. response:	Many roads were opened,
context: This is a big one!\Yeah! Let's go, Adel!\Right, Valerie!\At some point, we became famous enough\that we were known all around the world.\We defeated over 2,000 demons,\and Valerie's research advanced.\Many roads were opened, response:	and the various nations began to interact with one another.
context: Yeah! Let's go, Adel!\Right, Valerie!\At some point, we became famous enough\that we were known all around the world.\We defeated over 2,000 demons,\and Valerie's research advanced.\Many roads were opened,\and the various nations began to interact with one another. response:	The people's lives became much better.
context: Right, Valerie!\At some point, we became famous enough\that we were known all around the world.\We defeated over 2,000 demons,\and Valerie's research advanced.\Many roads were opened,\and the various nations began to interact with one another.\The people's lives became much better. response:	Around this time,
context: At some point, we became famous enough\that we were known all around the world.\We defeated over 2,000 demons,\and Valerie's research advanced.\Many roads were opened,\and the various nations began to interact with one another.\The people's lives became much better.\Around this time, response:	wars between humans began to start,
context: that we were known all around the world.\We defeated over 2,000 demons,\and Valerie's research advanced.\Many roads were opened,\and the various nations began to interact with one another.\The people's lives became much better.\Around this time,\wars between humans began to start, response:	but the princess put together an organization.
context: We defeated over 2,000 demons,\and Valerie's research advanced.\Many roads were opened,\and the various nations began to interact with one another.\The people's lives became much better.\Around this time,\wars between humans began to start,\but the princess put together an organization. response:	the Continental Treaty Committee.
context: and Valerie's research advanced.\Many roads were opened,\and the various nations began to interact with one another.\The people's lives became much better.\Around this time,\wars between humans began to start,\but the princess put together an organization.\the Continental Treaty Committee. response:	It's a symbol of Flognarde's peace
context: Many roads were opened,\and the various nations began to interact with one another.\The people's lives became much better.\Around this time,\wars between humans began to start,\but the princess put together an organization.\the Continental Treaty Committee.\It's a symbol of Flognarde's peace response:	that continues to this day.
context: and the various nations began to interact with one another.\The people's lives became much better.\Around this time,\wars between humans began to start,\but the princess put together an organization.\the Continental Treaty Committee.\It's a symbol of Flognarde's peace\that continues to this day. response:	That's a wonderful story.
context: The people's lives became much better.\Around this time,\wars between humans began to start,\but the princess put together an organization.\the Continental Treaty Committee.\It's a symbol of Flognarde's peace\that continues to this day.\That's a wonderful story. response:	Yeah.
context: Around this time,\wars between humans began to start,\but the princess put together an organization.\the Continental Treaty Committee.\It's a symbol of Flognarde's peace\that continues to this day.\That's a wonderful story.\Yeah. response:	So our ancestors lived through a time like that, huh?
context: wars between humans began to start,\but the princess put together an organization.\the Continental Treaty Committee.\It's a symbol of Flognarde's peace\that continues to this day.\That's a wonderful story.\Yeah.\So our ancestors lived through a time like that, huh? response:	Come to think of it, that was when people
context: but the princess put together an organization.\the Continental Treaty Committee.\It's a symbol of Flognarde's peace\that continues to this day.\That's a wonderful story.\Yeah.\So our ancestors lived through a time like that, huh?\Come to think of it, that was when people response:	stopped seeing the researcher, Valerie.
context: the Continental Treaty Committee.\It's a symbol of Flognarde's peace\that continues to this day.\That's a wonderful story.\Yeah.\So our ancestors lived through a time like that, huh?\Come to think of it, that was when people\stopped seeing the researcher, Valerie. response:	Why was that?
context: It's a symbol of Flognarde's peace\that continues to this day.\That's a wonderful story.\Yeah.\So our ancestors lived through a time like that, huh?\Come to think of it, that was when people\stopped seeing the researcher, Valerie.\Why was that? response:	I had to continue my research into demons.
context: that continues to this day.\That's a wonderful story.\Yeah.\So our ancestors lived through a time like that, huh?\Come to think of it, that was when people\stopped seeing the researcher, Valerie.\Why was that?\I had to continue my research into demons. response:	For research purposes,
context: That's a wonderful story.\Yeah.\So our ancestors lived through a time like that, huh?\Come to think of it, that was when people\stopped seeing the researcher, Valerie.\Why was that?\I had to continue my research into demons.\For research purposes, response:	I raised and kept lots of demons.
context: Yeah.\So our ancestors lived through a time like that, huh?\Come to think of it, that was when people\stopped seeing the researcher, Valerie.\Why was that?\I had to continue my research into demons.\For research purposes,\I raised and kept lots of demons. response:	And so I decided it would be more convenient to
context: So our ancestors lived through a time like that, huh?\Come to think of it, that was when people\stopped seeing the researcher, Valerie.\Why was that?\I had to continue my research into demons.\For research purposes,\I raised and kept lots of demons.\And so I decided it would be more convenient to response:	call myself a Demon King and go underground.
context: Come to think of it, that was when people\stopped seeing the researcher, Valerie.\Why was that?\I had to continue my research into demons.\For research purposes,\I raised and kept lots of demons.\And so I decided it would be more convenient to\call myself a Demon King and go underground. response:	I'd started being a Demon King as a joke,
context: stopped seeing the researcher, Valerie.\Why was that?\I had to continue my research into demons.\For research purposes,\I raised and kept lots of demons.\And so I decided it would be more convenient to\call myself a Demon King and go underground.\I'd started being a Demon King as a joke, response:	but eventually I started to get really into it.
context: Why was that?\I had to continue my research into demons.\For research purposes,\I raised and kept lots of demons.\And so I decided it would be more convenient to\call myself a Demon King and go underground.\I'd started being a Demon King as a joke,\but eventually I started to get really into it. response:	Playing with people who'd heard the rumors of the Demon King and come to defeat him
context: I had to continue my research into demons.\For research purposes,\I raised and kept lots of demons.\And so I decided it would be more convenient to\call myself a Demon King and go underground.\I'd started being a Demon King as a joke,\but eventually I started to get really into it.\Playing with people who'd heard the rumors of the Demon King and come to defeat him response:	and teaching rulers who'd forgotten about the threat of
context: For research purposes,\I raised and kept lots of demons.\And so I decided it would be more convenient to\call myself a Demon King and go underground.\I'd started being a Demon King as a joke,\but eventually I started to get really into it.\Playing with people who'd heard the rumors of the Demon King and come to defeat him\and teaching rulers who'd forgotten about the threat of response:	the demons and dragons and gotten a little too cocky.
context: I raised and kept lots of demons.\And so I decided it would be more convenient to\call myself a Demon King and go underground.\I'd started being a Demon King as a joke,\but eventually I started to get really into it.\Playing with people who'd heard the rumors of the Demon King and come to defeat him\and teaching rulers who'd forgotten about the threat of\the demons and dragons and gotten a little too cocky. response:	Thanks to the research of the Demon King Valerie,
context: And so I decided it would be more convenient to\call myself a Demon King and go underground.\I'd started being a Demon King as a joke,\but eventually I started to get really into it.\Playing with people who'd heard the rumors of the Demon King and come to defeat him\and teaching rulers who'd forgotten about the threat of\the demons and dragons and gotten a little too cocky.\Thanks to the research of the Demon King Valerie, response:	I um...
context: call myself a Demon King and go underground.\I'd started being a Demon King as a joke,\but eventually I started to get really into it.\Playing with people who'd heard the rumors of the Demon King and come to defeat him\and teaching rulers who'd forgotten about the threat of\the demons and dragons and gotten a little too cocky.\Thanks to the research of the Demon King Valerie,\I um... response:	I was able to grow up,
context: I'd started being a Demon King as a joke,\but eventually I started to get really into it.\Playing with people who'd heard the rumors of the Demon King and come to defeat him\and teaching rulers who'd forgotten about the threat of\the demons and dragons and gotten a little too cocky.\Thanks to the research of the Demon King Valerie,\I um...\I was able to grow up, response:	little by little.
context: but eventually I started to get really into it.\Playing with people who'd heard the rumors of the Demon King and come to defeat him\and teaching rulers who'd forgotten about the threat of\the demons and dragons and gotten a little too cocky.\Thanks to the research of the Demon King Valerie,\I um...\I was able to grow up,\little by little. response:	But even after the world was at peace,
context: Playing with people who'd heard the rumors of the Demon King and come to defeat him\and teaching rulers who'd forgotten about the threat of\the demons and dragons and gotten a little too cocky.\Thanks to the research of the Demon King Valerie,\I um...\I was able to grow up,\little by little.\But even after the world was at peace, response:	Fi kept up her journey to defeat the demons.
context: and teaching rulers who'd forgotten about the threat of\the demons and dragons and gotten a little too cocky.\Thanks to the research of the Demon King Valerie,\I um...\I was able to grow up,\little by little.\But even after the world was at peace,\Fi kept up her journey to defeat the demons. response:	Let's retire from demon hunting.
context: the demons and dragons and gotten a little too cocky.\Thanks to the research of the Demon King Valerie,\I um...\I was able to grow up,\little by little.\But even after the world was at peace,\Fi kept up her journey to defeat the demons.\Let's retire from demon hunting. response:	You have your job as a king to do.
context: Thanks to the research of the Demon King Valerie,\I um...\I was able to grow up,\little by little.\But even after the world was at peace,\Fi kept up her journey to defeat the demons.\Let's retire from demon hunting.\You have your job as a king to do. response:	You've had me handle all your government duties lately...
context: I um...\I was able to grow up,\little by little.\But even after the world was at peace,\Fi kept up her journey to defeat the demons.\Let's retire from demon hunting.\You have your job as a king to do.\You've had me handle all your government duties lately... response:	That's fine.
context: I was able to grow up,\little by little.\But even after the world was at peace,\Fi kept up her journey to defeat the demons.\Let's retire from demon hunting.\You have your job as a king to do.\You've had me handle all your government duties lately...\That's fine. response:	If something happens to me,
context: little by little.\But even after the world was at peace,\Fi kept up her journey to defeat the demons.\Let's retire from demon hunting.\You have your job as a king to do.\You've had me handle all your government duties lately...\That's fine.\If something happens to me, response:	I want you to take care of Pastillage!
context: But even after the world was at peace,\Fi kept up her journey to defeat the demons.\Let's retire from demon hunting.\You have your job as a king to do.\You've had me handle all your government duties lately...\That's fine.\If something happens to me,\I want you to take care of Pastillage! response:	Don't even say that!
context: Fi kept up her journey to defeat the demons.\Let's retire from demon hunting.\You have your job as a king to do.\You've had me handle all your government duties lately...\That's fine.\If something happens to me,\I want you to take care of Pastillage!\Don't even say that! response:	I called you here for my own selfish reasons,
context: Let's retire from demon hunting.\You have your job as a king to do.\You've had me handle all your government duties lately...\That's fine.\If something happens to me,\I want you to take care of Pastillage!\Don't even say that!\I called you here for my own selfish reasons, response:	and I can't even send you back home.
context: You have your job as a king to do.\You've had me handle all your government duties lately...\That's fine.\If something happens to me,\I want you to take care of Pastillage!\Don't even say that!\I called you here for my own selfish reasons,\and I can't even send you back home. response:	I've always regretted that.
context: You've had me handle all your government duties lately...\That's fine.\If something happens to me,\I want you to take care of Pastillage!\Don't even say that!\I called you here for my own selfish reasons,\and I can't even send you back home.\I've always regretted that. response:	I've told you this many times before...
context: That's fine.\If something happens to me,\I want you to take care of Pastillage!\Don't even say that!\I called you here for my own selfish reasons,\and I can't even send you back home.\I've always regretted that.\I've told you this many times before... response:	There's nobody back home
context: If something happens to me,\I want you to take care of Pastillage!\Don't even say that!\I called you here for my own selfish reasons,\and I can't even send you back home.\I've always regretted that.\I've told you this many times before...\There's nobody back home response:	who'll be sad or bothered if I'm gone.
