context: Yeah, it's finished. response:	I'll mail it within the week, so make sure you get it.
context: It's pretty much all the villagers from back then.\I was thinkin' it was'bout time we got it rewritten.\Here, take this.\It's the village register.\I'd thought of askin' someone in town to handle the job,\but you'd do it better, right?\Take this.\Wow, this is amazing. response:	It's an antique.
context: I was thinkin' it was'bout time we got it rewritten.\Here, take this.\It's the village register.\I'd thought of askin' someone in town to handle the job,\but you'd do it better, right?\Take this.\Wow, this is amazing.\It's an antique. response:	It won't be much,
context: Here, take this.\It's the village register.\I'd thought of askin' someone in town to handle the job,\but you'd do it better, right?\Take this.\Wow, this is amazing.\It's an antique.\It won't be much, response:	but we'll give ya a little somethin' as thanks.
context: It's the village register.\I'd thought of askin' someone in town to handle the job,\but you'd do it better, right?\Take this.\Wow, this is amazing.\It's an antique.\It won't be much,\but we'll give ya a little somethin' as thanks. response:	I don't need any money.
context: I'd thought of askin' someone in town to handle the job,\but you'd do it better, right?\Take this.\Wow, this is amazing.\It's an antique.\It won't be much,\but we'll give ya a little somethin' as thanks.\I don't need any money. response:	Ain't up for it?
context: but you'd do it better, right?\Take this.\Wow, this is amazing.\It's an antique.\It won't be much,\but we'll give ya a little somethin' as thanks.\I don't need any money.\Ain't up for it? response:	It's not that.
context: Take this.\Wow, this is amazing.\It's an antique.\It won't be much,\but we'll give ya a little somethin' as thanks.\I don't need any money.\Ain't up for it?\It's not that. response:	I was just thinking that it's been a while
context: Wow, this is amazing.\It's an antique.\It won't be much,\but we'll give ya a little somethin' as thanks.\I don't need any money.\Ain't up for it?\It's not that.\I was just thinking that it's been a while response:	since I wrote such orderly calligraphy.
context: It's an antique.\It won't be much,\but we'll give ya a little somethin' as thanks.\I don't need any money.\Ain't up for it?\It's not that.\I was just thinking that it's been a while\since I wrote such orderly calligraphy. response:	Write some good calligraphy again.
context: It won't be much,\but we'll give ya a little somethin' as thanks.\I don't need any money.\Ain't up for it?\It's not that.\I was just thinking that it's been a while\since I wrote such orderly calligraphy.\Write some good calligraphy again. response:	There's room for one more name here.
context: but we'll give ya a little somethin' as thanks.\I don't need any money.\Ain't up for it?\It's not that.\I was just thinking that it's been a while\since I wrote such orderly calligraphy.\Write some good calligraphy again.\There's room for one more name here. response:	So that people know who wrote it,
context: I don't need any money.\Ain't up for it?\It's not that.\I was just thinking that it's been a while\since I wrote such orderly calligraphy.\Write some good calligraphy again.\There's room for one more name here.\So that people know who wrote it, response:	how'bout you add yer name, Sensei?
context: Ain't up for it?\It's not that.\I was just thinking that it's been a while\since I wrote such orderly calligraphy.\Write some good calligraphy again.\There's room for one more name here.\So that people know who wrote it,\how'bout you add yer name, Sensei? response:	Should I?
context: It's not that.\I was just thinking that it's been a while\since I wrote such orderly calligraphy.\Write some good calligraphy again.\There's room for one more name here.\So that people know who wrote it,\how'bout you add yer name, Sensei?\Should I? response:	I didn't donate anything.
context: I was just thinking that it's been a while\since I wrote such orderly calligraphy.\Write some good calligraphy again.\There's room for one more name here.\So that people know who wrote it,\how'bout you add yer name, Sensei?\Should I?\I didn't donate anything. response:	Shh!
context: since I wrote such orderly calligraphy.\Write some good calligraphy again.\There's room for one more name here.\So that people know who wrote it,\how'bout you add yer name, Sensei?\Should I?\I didn't donate anything.\Shh! response:	That'll be just between us.
context: Write some good calligraphy again.\There's room for one more name here.\So that people know who wrote it,\how'bout you add yer name, Sensei?\Should I?\I didn't donate anything.\Shh!\That'll be just between us. response:	Then I shouldn't...
context: There's room for one more name here.\So that people know who wrote it,\how'bout you add yer name, Sensei?\Should I?\I didn't donate anything.\Shh!\That'll be just between us.\Then I shouldn't... response:	Sensei!
context: So that people know who wrote it,\how'bout you add yer name, Sensei?\Should I?\I didn't donate anything.\Shh!\That'll be just between us.\Then I shouldn't...\Sensei! response:	There's a phone call for you at the store.
context: how'bout you add yer name, Sensei?\Should I?\I didn't donate anything.\Shh!\That'll be just between us.\Then I shouldn't...\Sensei!\There's a phone call for you at the store. response:	It's from Kawafuji-san.
context: Should I?\I didn't donate anything.\Shh!\That'll be just between us.\Then I shouldn't...\Sensei!\There's a phone call for you at the store.\It's from Kawafuji-san. response:	That guy, after ignoring me earlier...
context: I didn't donate anything.\Shh!\That'll be just between us.\Then I shouldn't...\Sensei!\There's a phone call for you at the store.\It's from Kawafuji-san.\That guy, after ignoring me earlier... response:	Here, take these to the house.
context: Shh!\That'll be just between us.\Then I shouldn't...\Sensei!\There's a phone call for you at the store.\It's from Kawafuji-san.\That guy, after ignoring me earlier...\Here, take these to the house. response:	Sure.
context: That'll be just between us.\Then I shouldn't...\Sensei!\There's a phone call for you at the store.\It's from Kawafuji-san.\That guy, after ignoring me earlier...\Here, take these to the house.\Sure. response:	Why'd Kawafuji call?
context: Then I shouldn't...\Sensei!\There's a phone call for you at the store.\It's from Kawafuji-san.\That guy, after ignoring me earlier...\Here, take these to the house.\Sure.\Why'd Kawafuji call? response:	He said it was an important discussion.
context: Sensei!\There's a phone call for you at the store.\It's from Kawafuji-san.\That guy, after ignoring me earlier...\Here, take these to the house.\Sure.\Why'd Kawafuji call?\He said it was an important discussion. response:	What's an important discussion?
context: There's a phone call for you at the store.\It's from Kawafuji-san.\That guy, after ignoring me earlier...\Here, take these to the house.\Sure.\Why'd Kawafuji call?\He said it was an important discussion.\What's an important discussion? response:	Grown-up talk.
context: It's from Kawafuji-san.\That guy, after ignoring me earlier...\Here, take these to the house.\Sure.\Why'd Kawafuji call?\He said it was an important discussion.\What's an important discussion?\Grown-up talk. response:	What's wrong, Naru?
context: That guy, after ignoring me earlier...\Here, take these to the house.\Sure.\Why'd Kawafuji call?\He said it was an important discussion.\What's an important discussion?\Grown-up talk.\What's wrong, Naru? response:	My ticket to make him do anythin' I say...
context: Here, take these to the house.\Sure.\Why'd Kawafuji call?\He said it was an important discussion.\What's an important discussion?\Grown-up talk.\What's wrong, Naru?\My ticket to make him do anythin' I say... response:	I hadn't asked him anythin' yet,
context: Sure.\Why'd Kawafuji call?\He said it was an important discussion.\What's an important discussion?\Grown-up talk.\What's wrong, Naru?\My ticket to make him do anythin' I say...\I hadn't asked him anythin' yet, response:	but then Grampa used it!
context: Why'd Kawafuji call?\He said it was an important discussion.\What's an important discussion?\Grown-up talk.\What's wrong, Naru?\My ticket to make him do anythin' I say...\I hadn't asked him anythin' yet,\but then Grampa used it! response:	That's too bad.
context: He said it was an important discussion.\What's an important discussion?\Grown-up talk.\What's wrong, Naru?\My ticket to make him do anythin' I say...\I hadn't asked him anythin' yet,\but then Grampa used it!\That's too bad. response:	What were you planning to ask him to do?
context: What's an important discussion?\Grown-up talk.\What's wrong, Naru?\My ticket to make him do anythin' I say...\I hadn't asked him anythin' yet,\but then Grampa used it!\That's too bad.\What were you planning to ask him to do? response:	Lessee...
context: Grown-up talk.\What's wrong, Naru?\My ticket to make him do anythin' I say...\I hadn't asked him anythin' yet,\but then Grampa used it!\That's too bad.\What were you planning to ask him to do?\Lessee... response:	I wanna go with Sensei to the festival,
context: What's wrong, Naru?\My ticket to make him do anythin' I say...\I hadn't asked him anythin' yet,\but then Grampa used it!\That's too bad.\What were you planning to ask him to do?\Lessee...\I wanna go with Sensei to the festival, response:	and to the beach again,
context: My ticket to make him do anythin' I say...\I hadn't asked him anythin' yet,\but then Grampa used it!\That's too bad.\What were you planning to ask him to do?\Lessee...\I wanna go with Sensei to the festival,\and to the beach again, response:	and to the sports meet, too!
context: I hadn't asked him anythin' yet,\but then Grampa used it!\That's too bad.\What were you planning to ask him to do?\Lessee...\I wanna go with Sensei to the festival,\and to the beach again,\and to the sports meet, too! response:	Oh, and hiking, too.
context: but then Grampa used it!\That's too bad.\What were you planning to ask him to do?\Lessee...\I wanna go with Sensei to the festival,\and to the beach again,\and to the sports meet, too!\Oh, and hiking, too. response:	And then...
context: That's too bad.\What were you planning to ask him to do?\Lessee...\I wanna go with Sensei to the festival,\and to the beach again,\and to the sports meet, too!\Oh, and hiking, too.\And then... response:	For things like that,
context: What were you planning to ask him to do?\Lessee...\I wanna go with Sensei to the festival,\and to the beach again,\and to the sports meet, too!\Oh, and hiking, too.\And then...\For things like that, response:	I think he'd agree even if you didn't use a ticket.
context: Lessee...\I wanna go with Sensei to the festival,\and to the beach again,\and to the sports meet, too!\Oh, and hiking, too.\And then...\For things like that,\I think he'd agree even if you didn't use a ticket. response:	Oh, yeah!
context: I wanna go with Sensei to the festival,\and to the beach again,\and to the sports meet, too!\Oh, and hiking, too.\And then...\For things like that,\I think he'd agree even if you didn't use a ticket.\Oh, yeah! response:	That'll be fun!
context: and to the beach again,\and to the sports meet, too!\Oh, and hiking, too.\And then...\For things like that,\I think he'd agree even if you didn't use a ticket.\Oh, yeah!\That'll be fun! response:	In that case, let's plan on goin' to the festival!
context: and to the sports meet, too!\Oh, and hiking, too.\And then...\For things like that,\I think he'd agree even if you didn't use a ticket.\Oh, yeah!\That'll be fun!\In that case, let's plan on goin' to the festival! response:	I wanna wear a kimono!
context: Oh, and hiking, too.\And then...\For things like that,\I think he'd agree even if you didn't use a ticket.\Oh, yeah!\That'll be fun!\In that case, let's plan on goin' to the festival!\I wanna wear a kimono! response:	Okay, let's invite Miwa-nee and Tama, too!
context: And then...\For things like that,\I think he'd agree even if you didn't use a ticket.\Oh, yeah!\That'll be fun!\In that case, let's plan on goin' to the festival!\I wanna wear a kimono!\Okay, let's invite Miwa-nee and Tama, too! response:	It'll be a pain with those two around.
context: For things like that,\I think he'd agree even if you didn't use a ticket.\Oh, yeah!\That'll be fun!\In that case, let's plan on goin' to the festival!\I wanna wear a kimono!\Okay, let's invite Miwa-nee and Tama, too!\It'll be a pain with those two around. response:	Yer goin' too, right, Akki?
context: I think he'd agree even if you didn't use a ticket.\Oh, yeah!\That'll be fun!\In that case, let's plan on goin' to the festival!\I wanna wear a kimono!\Okay, let's invite Miwa-nee and Tama, too!\It'll be a pain with those two around.\Yer goin' too, right, Akki? response:	Yeah!
context: Oh, yeah!\That'll be fun!\In that case, let's plan on goin' to the festival!\I wanna wear a kimono!\Okay, let's invite Miwa-nee and Tama, too!\It'll be a pain with those two around.\Yer goin' too, right, Akki?\Yeah! response:	Yeah.
context: That'll be fun!\In that case, let's plan on goin' to the festival!\I wanna wear a kimono!\Okay, let's invite Miwa-nee and Tama, too!\It'll be a pain with those two around.\Yer goin' too, right, Akki?\Yeah!\Yeah. response:	I see.
context: In that case, let's plan on goin' to the festival!\I wanna wear a kimono!\Okay, let's invite Miwa-nee and Tama, too!\It'll be a pain with those two around.\Yer goin' too, right, Akki?\Yeah!\Yeah.\I see. response:	Yeah, got it.
context: I wanna wear a kimono!\Okay, let's invite Miwa-nee and Tama, too!\It'll be a pain with those two around.\Yer goin' too, right, Akki?\Yeah!\Yeah.\I see.\Yeah, got it. response:	I'll come home.
context: Okay, let's invite Miwa-nee and Tama, too!\It'll be a pain with those two around.\Yer goin' too, right, Akki?\Yeah!\Yeah.\I see.\Yeah, got it.\I'll come home. response:	All right!
context: It'll be a pain with those two around.\Yer goin' too, right, Akki?\Yeah!\Yeah.\I see.\Yeah, got it.\I'll come home.\All right! response:	Learning From The Past
context: Yer goin' too, right, Akki?\Yeah!\Yeah.\I see.\Yeah, got it.\I'll come home.\All right!\Learning From The Past response:	I'm going with this one!
context: Yeah!\Yeah.\I see.\Yeah, got it.\I'll come home.\All right!\Learning From The Past\I'm going with this one! response:	Learning From The Past
context: Yeah.\I see.\Yeah, got it.\I'll come home.\All right!\Learning From The Past\I'm going with this one!\Learning From The Past response:	I'll use this!
context: I see.\Yeah, got it.\I'll come home.\All right!\Learning From The Past\I'm going with this one!\Learning From The Past\I'll use this! response:	Indeed.
context: Yeah, got it.\I'll come home.\All right!\Learning From The Past\I'm going with this one!\Learning From The Past\I'll use this!\Indeed. response:	You've done well to endure my long training and come this far.
context: I'll come home.\All right!\Learning From The Past\I'm going with this one!\Learning From The Past\I'll use this!\Indeed.\You've done well to endure my long training and come this far. response:	I have nothing left to teach you.
context: All right!\Learning From The Past\I'm going with this one!\Learning From The Past\I'll use this!\Indeed.\You've done well to endure my long training and come this far.\I have nothing left to teach you. response:	You both are certain to get gold prizes!
context: Learning From The Past\I'm going with this one!\Learning From The Past\I'll use this!\Indeed.\You've done well to endure my long training and come this far.\I have nothing left to teach you.\You both are certain to get gold prizes! response:	Yeah!
context: I'm going with this one!\Learning From The Past\I'll use this!\Indeed.\You've done well to endure my long training and come this far.\I have nothing left to teach you.\You both are certain to get gold prizes!\Yeah! response:	I tried to sound enthusiastic,
context: Learning From The Past\I'll use this!\Indeed.\You've done well to endure my long training and come this far.\I have nothing left to teach you.\You both are certain to get gold prizes!\Yeah!\I tried to sound enthusiastic, response:	but will I really be okay?
context: I'll use this!\Indeed.\You've done well to endure my long training and come this far.\I have nothing left to teach you.\You both are certain to get gold prizes!\Yeah!\I tried to sound enthusiastic,\but will I really be okay? response:	After I wrote it with so much fighting spirit,
context: Indeed.\You've done well to endure my long training and come this far.\I have nothing left to teach you.\You both are certain to get gold prizes!\Yeah!\I tried to sound enthusiastic,\but will I really be okay?\After I wrote it with so much fighting spirit, response:	what if I don't get any prize at all?
context: You've done well to endure my long training and come this far.\I have nothing left to teach you.\You both are certain to get gold prizes!\Yeah!\I tried to sound enthusiastic,\but will I really be okay?\After I wrote it with so much fighting spirit,\what if I don't get any prize at all? response:	Now I don't want to turn it in.
context: I have nothing left to teach you.\You both are certain to get gold prizes!\Yeah!\I tried to sound enthusiastic,\but will I really be okay?\After I wrote it with so much fighting spirit,\what if I don't get any prize at all?\Now I don't want to turn it in. response:	You dummies!
context: You both are certain to get gold prizes!\Yeah!\I tried to sound enthusiastic,\but will I really be okay?\After I wrote it with so much fighting spirit,\what if I don't get any prize at all?\Now I don't want to turn it in.\You dummies! response:	I taught you!
context: Yeah!\I tried to sound enthusiastic,\but will I really be okay?\After I wrote it with so much fighting spirit,\what if I don't get any prize at all?\Now I don't want to turn it in.\You dummies!\I taught you! response:	Your calligraphy is as good as anyone's!
context: I tried to sound enthusiastic,\but will I really be okay?\After I wrote it with so much fighting spirit,\what if I don't get any prize at all?\Now I don't want to turn it in.\You dummies!\I taught you!\Your calligraphy is as good as anyone's! response:	Ya really think so, Sensei?
context: but will I really be okay?\After I wrote it with so much fighting spirit,\what if I don't get any prize at all?\Now I don't want to turn it in.\You dummies!\I taught you!\Your calligraphy is as good as anyone's!\Ya really think so, Sensei? response:	In fact, I'm more worried about myself.
context: After I wrote it with so much fighting spirit,\what if I don't get any prize at all?\Now I don't want to turn it in.\You dummies!\I taught you!\Your calligraphy is as good as anyone's!\Ya really think so, Sensei?\In fact, I'm more worried about myself. response:	I don't really know if the work I chose to exhibit is good or not...
context: what if I don't get any prize at all?\Now I don't want to turn it in.\You dummies!\I taught you!\Your calligraphy is as good as anyone's!\Ya really think so, Sensei?\In fact, I'm more worried about myself.\I don't really know if the work I chose to exhibit is good or not... response:	Sensei!
context: Now I don't want to turn it in.\You dummies!\I taught you!\Your calligraphy is as good as anyone's!\Ya really think so, Sensei?\In fact, I'm more worried about myself.\I don't really know if the work I chose to exhibit is good or not...\Sensei! response:	Sensei, take us to the festival!
context: You dummies!\I taught you!\Your calligraphy is as good as anyone's!\Ya really think so, Sensei?\In fact, I'm more worried about myself.\I don't really know if the work I chose to exhibit is good or not...\Sensei!\Sensei, take us to the festival! response:	You promised!
context: I taught you!\Your calligraphy is as good as anyone's!\Ya really think so, Sensei?\In fact, I'm more worried about myself.\I don't really know if the work I chose to exhibit is good or not...\Sensei!\Sensei, take us to the festival!\You promised! response:	There, all set.
context: Your calligraphy is as good as anyone's!\Ya really think so, Sensei?\In fact, I'm more worried about myself.\I don't really know if the work I chose to exhibit is good or not...\Sensei!\Sensei, take us to the festival!\You promised!\There, all set. response:	You actually know how to dress someone in a yukata? I'm impressed.
context: Ya really think so, Sensei?\In fact, I'm more worried about myself.\I don't really know if the work I chose to exhibit is good or not...\Sensei!\Sensei, take us to the festival!\You promised!\There, all set.\You actually know how to dress someone in a yukata? I'm impressed. response:	It's so cute!
context: In fact, I'm more worried about myself.\I don't really know if the work I chose to exhibit is good or not...\Sensei!\Sensei, take us to the festival!\You promised!\There, all set.\You actually know how to dress someone in a yukata? I'm impressed.\It's so cute! response:	This stuff is easy.
context: I don't really know if the work I chose to exhibit is good or not...\Sensei!\Sensei, take us to the festival!\You promised!\There, all set.\You actually know how to dress someone in a yukata? I'm impressed.\It's so cute!\This stuff is easy. response:	I could even dress you in a real kimono.
context: Sensei!\Sensei, take us to the festival!\You promised!\There, all set.\You actually know how to dress someone in a yukata? I'm impressed.\It's so cute!\This stuff is easy.\I could even dress you in a real kimono. response:	Wow...
context: Sensei, take us to the festival!\You promised!\There, all set.\You actually know how to dress someone in a yukata? I'm impressed.\It's so cute!\This stuff is easy.\I could even dress you in a real kimono.\Wow... response:	You're coming to the festival too, right?
context: You promised!\There, all set.\You actually know how to dress someone in a yukata? I'm impressed.\It's so cute!\This stuff is easy.\I could even dress you in a real kimono.\Wow...\You're coming to the festival too, right? response:	Yeah.
context: There, all set.\You actually know how to dress someone in a yukata? I'm impressed.\It's so cute!\This stuff is easy.\I could even dress you in a real kimono.\Wow...\You're coming to the festival too, right?\Yeah. response:	C'mon! Let's get goin'!
context: You actually know how to dress someone in a yukata? I'm impressed.\It's so cute!\This stuff is easy.\I could even dress you in a real kimono.\Wow...\You're coming to the festival too, right?\Yeah.\C'mon! Let's get goin'! response:	Festival, festival!
context: It's so cute!\This stuff is easy.\I could even dress you in a real kimono.\Wow...\You're coming to the festival too, right?\Yeah.\C'mon! Let's get goin'!\Festival, festival! response:	Okay, we're goin' too, so see ya there!
context: This stuff is easy.\I could even dress you in a real kimono.\Wow...\You're coming to the festival too, right?\Yeah.\C'mon! Let's get goin'!\Festival, festival!\Okay, we're goin' too, so see ya there! response:	Thanks for the lessons!
context: I could even dress you in a real kimono.\Wow...\You're coming to the festival too, right?\Yeah.\C'mon! Let's get goin'!\Festival, festival!\Okay, we're goin' too, so see ya there!\Thanks for the lessons! response:	Sure.
context: Wow...\You're coming to the festival too, right?\Yeah.\C'mon! Let's get goin'!\Festival, festival!\Okay, we're goin' too, so see ya there!\Thanks for the lessons!\Sure. response:	C'mon, Sensei!
context: You're coming to the festival too, right?\Yeah.\C'mon! Let's get goin'!\Festival, festival!\Okay, we're goin' too, so see ya there!\Thanks for the lessons!\Sure.\C'mon, Sensei! response:	Hurry up!
context: Yeah.\C'mon! Let's get goin'!\Festival, festival!\Okay, we're goin' too, so see ya there!\Thanks for the lessons!\Sure.\C'mon, Sensei!\Hurry up! response:	All right, already!
context: C'mon! Let's get goin'!\Festival, festival!\Okay, we're goin' too, so see ya there!\Thanks for the lessons!\Sure.\C'mon, Sensei!\Hurry up!\All right, already! response:	A festival, huh...
context: Festival, festival!\Okay, we're goin' too, so see ya there!\Thanks for the lessons!\Sure.\C'mon, Sensei!\Hurry up!\All right, already!\A festival, huh... response:	I guess I'll go for a change of pace.
context: Okay, we're goin' too, so see ya there!\Thanks for the lessons!\Sure.\C'mon, Sensei!\Hurry up!\All right, already!\A festival, huh...\I guess I'll go for a change of pace. response:	Ya look happy, Sensei.
context: Thanks for the lessons!\Sure.\C'mon, Sensei!\Hurry up!\All right, already!\A festival, huh...\I guess I'll go for a change of pace.\Ya look happy, Sensei. response:	I-I'm not happy about this or anything!
context: Sure.\C'mon, Sensei!\Hurry up!\All right, already!\A festival, huh...\I guess I'll go for a change of pace.\Ya look happy, Sensei.\I-I'm not happy about this or anything! response:	Hey!
context: C'mon, Sensei!\Hurry up!\All right, already!\A festival, huh...\I guess I'll go for a change of pace.\Ya look happy, Sensei.\I-I'm not happy about this or anything!\Hey! response:	Festival!
context: Hurry up!\All right, already!\A festival, huh...\I guess I'll go for a change of pace.\Ya look happy, Sensei.\I-I'm not happy about this or anything!\Hey!\Festival! response:	Well, why not?
context: All right, already!\A festival, huh...\I guess I'll go for a change of pace.\Ya look happy, Sensei.\I-I'm not happy about this or anything!\Hey!\Festival!\Well, why not? response:	After all, it's my last day here.
context: A festival, huh...\I guess I'll go for a change of pace.\Ya look happy, Sensei.\I-I'm not happy about this or anything!\Hey!\Festival!\Well, why not?\After all, it's my last day here. response:	Gotou Bus Business Office
context: I guess I'll go for a change of pace.\Ya look happy, Sensei.\I-I'm not happy about this or anything!\Hey!\Festival!\Well, why not?\After all, it's my last day here.\Gotou Bus Business Office response:	Gotou Bus Business Office
context: Ya look happy, Sensei.\I-I'm not happy about this or anything!\Hey!\Festival!\Well, why not?\After all, it's my last day here.\Gotou Bus Business Office\Gotou Bus Business Office response:	Yay! Festival, festival!
context: I-I'm not happy about this or anything!\Hey!\Festival!\Well, why not?\After all, it's my last day here.\Gotou Bus Business Office\Gotou Bus Business Office\Yay! Festival, festival! response:	Heya! What'll ya have?
context: Hey!\Festival!\Well, why not?\After all, it's my last day here.\Gotou Bus Business Office\Gotou Bus Business Office\Yay! Festival, festival!\Heya! What'll ya have? response:	Tonme Festival
context: Festival!\Well, why not?\After all, it's my last day here.\Gotou Bus Business Office\Gotou Bus Business Office\Yay! Festival, festival!\Heya! What'll ya have?\Tonme Festival response:	Sensei! This way!
context: Well, why not?\After all, it's my last day here.\Gotou Bus Business Office\Gotou Bus Business Office\Yay! Festival, festival!\Heya! What'll ya have?\Tonme Festival\Sensei! This way! response:	So this is a festival...
context: After all, it's my last day here.\Gotou Bus Business Office\Gotou Bus Business Office\Yay! Festival, festival!\Heya! What'll ya have?\Tonme Festival\Sensei! This way!\So this is a festival... response:	I hardly ever went to any while I was in Tokyo.
context: Gotou Bus Business Office\Gotou Bus Business Office\Yay! Festival, festival!\Heya! What'll ya have?\Tonme Festival\Sensei! This way!\So this is a festival...\I hardly ever went to any while I was in Tokyo. response:	Grade School
context: Gotou Bus Business Office\Yay! Festival, festival!\Heya! What'll ya have?\Tonme Festival\Sensei! This way!\So this is a festival...\I hardly ever went to any while I was in Tokyo.\Grade School response:	Sei-san, let's go to the festival!
context: Yay! Festival, festival!\Heya! What'll ya have?\Tonme Festival\Sensei! This way!\So this is a festival...\I hardly ever went to any while I was in Tokyo.\Grade School\Sei-san, let's go to the festival! response:	No. He has a calligraphy exhibition.
context: Heya! What'll ya have?\Tonme Festival\Sensei! This way!\So this is a festival...\I hardly ever went to any while I was in Tokyo.\Grade School\Sei-san, let's go to the festival!\No. He has a calligraphy exhibition. response:	High School
context: Tonme Festival\Sensei! This way!\So this is a festival...\I hardly ever went to any while I was in Tokyo.\Grade School\Sei-san, let's go to the festival!\No. He has a calligraphy exhibition.\High School response:	Handa, let's go to the festival!
context: Sensei! This way!\So this is a festival...\I hardly ever went to any while I was in Tokyo.\Grade School\Sei-san, let's go to the festival!\No. He has a calligraphy exhibition.\High School\Handa, let's go to the festival! response:	Sei-san has a calligraphy exhibition. Sorry.
context: So this is a festival...\I hardly ever went to any while I was in Tokyo.\Grade School\Sei-san, let's go to the festival!\No. He has a calligraphy exhibition.\High School\Handa, let's go to the festival!\Sei-san has a calligraphy exhibition. Sorry. response:	University
context: I hardly ever went to any while I was in Tokyo.\Grade School\Sei-san, let's go to the festival!\No. He has a calligraphy exhibition.\High School\Handa, let's go to the festival!\Sei-san has a calligraphy exhibition. Sorry.\University response:	Handa-kyun, let's go to the festival!
context: Grade School\Sei-san, let's go to the festival!\No. He has a calligraphy exhibition.\High School\Handa, let's go to the festival!\Sei-san has a calligraphy exhibition. Sorry.\University\Handa-kyun, let's go to the festival! response:	Handa has a calligraphy exhibition.
context: Sei-san, let's go to the festival!\No. He has a calligraphy exhibition.\High School\Handa, let's go to the festival!\Sei-san has a calligraphy exhibition. Sorry.\University\Handa-kyun, let's go to the festival!\Handa has a calligraphy exhibition. response:	I'll go instead.
context: No. He has a calligraphy exhibition.\High School\Handa, let's go to the festival!\Sei-san has a calligraphy exhibition. Sorry.\University\Handa-kyun, let's go to the festival!\Handa has a calligraphy exhibition.\I'll go instead. response:	It hurts to remember.
context: High School\Handa, let's go to the festival!\Sei-san has a calligraphy exhibition. Sorry.\University\Handa-kyun, let's go to the festival!\Handa has a calligraphy exhibition.\I'll go instead.\It hurts to remember. response:	Especially since it's right before another exhibition...
context: Handa, let's go to the festival!\Sei-san has a calligraphy exhibition. Sorry.\University\Handa-kyun, let's go to the festival!\Handa has a calligraphy exhibition.\I'll go instead.\It hurts to remember.\Especially since it's right before another exhibition... response:	Sensei!
context: Sei-san has a calligraphy exhibition. Sorry.\University\Handa-kyun, let's go to the festival!\Handa has a calligraphy exhibition.\I'll go instead.\It hurts to remember.\Especially since it's right before another exhibition...\Sensei! response:	Hot Dogs
context: University\Handa-kyun, let's go to the festival!\Handa has a calligraphy exhibition.\I'll go instead.\It hurts to remember.\Especially since it's right before another exhibition...\Sensei!\Hot Dogs response:	Goldfish Scooping
context: Handa-kyun, let's go to the festival!\Handa has a calligraphy exhibition.\I'll go instead.\It hurts to remember.\Especially since it's right before another exhibition...\Sensei!\Hot Dogs\Goldfish Scooping response:	Sensei! Goldfish! Goldfish!
context: Handa has a calligraphy exhibition.\I'll go instead.\It hurts to remember.\Especially since it's right before another exhibition...\Sensei!\Hot Dogs\Goldfish Scooping\Sensei! Goldfish! Goldfish! response:	That's the Goldfish Scooping I've heard about!
context: I'll go instead.\It hurts to remember.\Especially since it's right before another exhibition...\Sensei!\Hot Dogs\Goldfish Scooping\Sensei! Goldfish! Goldfish!\That's the Goldfish Scooping I've heard about! response:	Oho, yer here, Sensei!
context: It hurts to remember.\Especially since it's right before another exhibition...\Sensei!\Hot Dogs\Goldfish Scooping\Sensei! Goldfish! Goldfish!\That's the Goldfish Scooping I've heard about!\Oho, yer here, Sensei! response:	Crayfish Goldfish
context: Especially since it's right before another exhibition...\Sensei!\Hot Dogs\Goldfish Scooping\Sensei! Goldfish! Goldfish!\That's the Goldfish Scooping I've heard about!\Oho, yer here, Sensei!\Crayfish Goldfish response:	It's the gangst er, I mean, Miwa's dad.
context: Sensei!\Hot Dogs\Goldfish Scooping\Sensei! Goldfish! Goldfish!\That's the Goldfish Scooping I've heard about!\Oho, yer here, Sensei!\Crayfish Goldfish\It's the gangst er, I mean, Miwa's dad. response:	I'm helpin' out the commerce and industry association.
context: Hot Dogs\Goldfish Scooping\Sensei! Goldfish! Goldfish!\That's the Goldfish Scooping I've heard about!\Oho, yer here, Sensei!\Crayfish Goldfish\It's the gangst er, I mean, Miwa's dad.\I'm helpin' out the commerce and industry association. response:	Huh, sounds like a lot of work.
context: Goldfish Scooping\Sensei! Goldfish! Goldfish!\That's the Goldfish Scooping I've heard about!\Oho, yer here, Sensei!\Crayfish Goldfish\It's the gangst er, I mean, Miwa's dad.\I'm helpin' out the commerce and industry association.\Huh, sounds like a lot of work. response:	Okay, one hundred yen!
context: Sensei! Goldfish! Goldfish!\That's the Goldfish Scooping I've heard about!\Oho, yer here, Sensei!\Crayfish Goldfish\It's the gangst er, I mean, Miwa's dad.\I'm helpin' out the commerce and industry association.\Huh, sounds like a lot of work.\Okay, one hundred yen! response:	Seriously?
context: That's the Goldfish Scooping I've heard about!\Oho, yer here, Sensei!\Crayfish Goldfish\It's the gangst er, I mean, Miwa's dad.\I'm helpin' out the commerce and industry association.\Huh, sounds like a lot of work.\Okay, one hundred yen!\Seriously? response:	Can you really scoop with this?
context: Oho, yer here, Sensei!\Crayfish Goldfish\It's the gangst er, I mean, Miwa's dad.\I'm helpin' out the commerce and industry association.\Huh, sounds like a lot of work.\Okay, one hundred yen!\Seriously?\Can you really scoop with this? response:	Do yer best, Sensei!
context: Crayfish Goldfish\It's the gangst er, I mean, Miwa's dad.\I'm helpin' out the commerce and industry association.\Huh, sounds like a lot of work.\Okay, one hundred yen!\Seriously?\Can you really scoop with this?\Do yer best, Sensei! response:	Yeah!
