context: Science Fell in Love, So I Tried to Prove It response:	Proof 10 Science-types Fell in Love, So They Tried Giving Presentations.
context: Yikes! I don't even understand the title!\First, I'll start by explaining Nash equilibrium.\When the number of players in a non-cooperative game is n,\we will call player 1's strategy P.\At this point, there are many ways to construct strategy P.\The probability of any given action is p1, p2...\Nash Equilibrium\When the number of players in a non-cooperative game is n, response:	Player 1's strategy (probability distribution) p
context: First, I'll start by explaining Nash equilibrium.\When the number of players in a non-cooperative game is n,\we will call player 1's strategy P.\At this point, there are many ways to construct strategy P.\The probability of any given action is p1, p2...\Nash Equilibrium\When the number of players in a non-cooperative game is n,\Player 1's strategy (probability distribution) p response:	Player 2's strategy (probability distribution) q
context: When the number of players in a non-cooperative game is n,\we will call player 1's strategy P.\At this point, there are many ways to construct strategy P.\The probability of any given action is p1, p2...\Nash Equilibrium\When the number of players in a non-cooperative game is n,\Player 1's strategy (probability distribution) p\Player 2's strategy (probability distribution) q response:	continuing to pm.
context: we will call player 1's strategy P.\At this point, there are many ways to construct strategy P.\The probability of any given action is p1, p2...\Nash Equilibrium\When the number of players in a non-cooperative game is n,\Player 1's strategy (probability distribution) p\Player 2's strategy (probability distribution) q\continuing to pm. response:	The value of p1 is greater than 0,
context: At this point, there are many ways to construct strategy P.\The probability of any given action is p1, p2...\Nash Equilibrium\When the number of players in a non-cooperative game is n,\Player 1's strategy (probability distribution) p\Player 2's strategy (probability distribution) q\continuing to pm.\The value of p1 is greater than 0, response:	Wh-Wh-What do I do? I have no idea what he's talking about!
context: The probability of any given action is p1, p2...\Nash Equilibrium\When the number of players in a non-cooperative game is n,\Player 1's strategy (probability distribution) p\Player 2's strategy (probability distribution) q\continuing to pm.\The value of p1 is greater than 0,\Wh-Wh-What do I do? I have no idea what he's talking about! response:	and adding all values from p1 through pm equals 1.
context: Nash Equilibrium\When the number of players in a non-cooperative game is n,\Player 1's strategy (probability distribution) p\Player 2's strategy (probability distribution) q\continuing to pm.\The value of p1 is greater than 0,\Wh-Wh-What do I do? I have no idea what he's talking about!\and adding all values from p1 through pm equals 1. response:	Himuro-senpai, do you understand this?
context: When the number of players in a non-cooperative game is n,\Player 1's strategy (probability distribution) p\Player 2's strategy (probability distribution) q\continuing to pm.\The value of p1 is greater than 0,\Wh-Wh-What do I do? I have no idea what he's talking about!\and adding all values from p1 through pm equals 1.\Himuro-senpai, do you understand this? response:	In the same way, let us consider player 2's strategy q.
context: Player 1's strategy (probability distribution) p\Player 2's strategy (probability distribution) q\continuing to pm.\The value of p1 is greater than 0,\Wh-Wh-What do I do? I have no idea what he's talking about!\and adding all values from p1 through pm equals 1.\Himuro-senpai, do you understand this?\In the same way, let us consider player 2's strategy q. response:	I understand the gist. But this is...
context: Player 2's strategy (probability distribution) q\continuing to pm.\The value of p1 is greater than 0,\Wh-Wh-What do I do? I have no idea what he's talking about!\and adding all values from p1 through pm equals 1.\Himuro-senpai, do you understand this?\In the same way, let us consider player 2's strategy q.\I understand the gist. But this is... response:	With strategy q
context: continuing to pm.\The value of p1 is greater than 0,\Wh-Wh-What do I do? I have no idea what he's talking about!\and adding all values from p1 through pm equals 1.\Himuro-senpai, do you understand this?\In the same way, let us consider player 2's strategy q.\I understand the gist. But this is...\With strategy q response:	Excuse me.
context: The value of p1 is greater than 0,\Wh-Wh-What do I do? I have no idea what he's talking about!\and adding all values from p1 through pm equals 1.\Himuro-senpai, do you understand this?\In the same way, let us consider player 2's strategy q.\I understand the gist. But this is...\With strategy q\Excuse me. response:	May I ask a question?
context: Wh-Wh-What do I do? I have no idea what he's talking about!\and adding all values from p1 through pm equals 1.\Himuro-senpai, do you understand this?\In the same way, let us consider player 2's strategy q.\I understand the gist. But this is...\With strategy q\Excuse me.\May I ask a question? response:	Oh... Please do.
context: and adding all values from p1 through pm equals 1.\Himuro-senpai, do you understand this?\In the same way, let us consider player 2's strategy q.\I understand the gist. But this is...\With strategy q\Excuse me.\May I ask a question?\Oh... Please do. response:	It's about using a tabu search when what you're looking for is Nash equilibrium...
context: Himuro-senpai, do you understand this?\In the same way, let us consider player 2's strategy q.\I understand the gist. But this is...\With strategy q\Excuse me.\May I ask a question?\Oh... Please do.\It's about using a tabu search when what you're looking for is Nash equilibrium... response:	The tabu search is a commonly used method, correct?
context: In the same way, let us consider player 2's strategy q.\I understand the gist. But this is...\With strategy q\Excuse me.\May I ask a question?\Oh... Please do.\It's about using a tabu search when what you're looking for is Nash equilibrium...\The tabu search is a commonly used method, correct? response:	Was there no similar research?
context: I understand the gist. But this is...\With strategy q\Excuse me.\May I ask a question?\Oh... Please do.\It's about using a tabu search when what you're looking for is Nash equilibrium...\The tabu search is a commonly used method, correct?\Was there no similar research? response:	Um, probably...
context: With strategy q\Excuse me.\May I ask a question?\Oh... Please do.\It's about using a tabu search when what you're looking for is Nash equilibrium...\The tabu search is a commonly used method, correct?\Was there no similar research?\Um, probably... response:	Yes. With regards to games with large numbers of players.
context: Excuse me.\May I ask a question?\Oh... Please do.\It's about using a tabu search when what you're looking for is Nash equilibrium...\The tabu search is a commonly used method, correct?\Was there no similar research?\Um, probably...\Yes. With regards to games with large numbers of players. response:	Then, why choose to go with a tabu search?
context: May I ask a question?\Oh... Please do.\It's about using a tabu search when what you're looking for is Nash equilibrium...\The tabu search is a commonly used method, correct?\Was there no similar research?\Um, probably...\Yes. With regards to games with large numbers of players.\Then, why choose to go with a tabu search? response:	What? That's...
context: Oh... Please do.\It's about using a tabu search when what you're looking for is Nash equilibrium...\The tabu search is a commonly used method, correct?\Was there no similar research?\Um, probably...\Yes. With regards to games with large numbers of players.\Then, why choose to go with a tabu search?\What? That's... response:	There are many instances where multiple Nash equilibriums exist.
context: It's about using a tabu search when what you're looking for is Nash equilibrium...\The tabu search is a commonly used method, correct?\Was there no similar research?\Um, probably...\Yes. With regards to games with large numbers of players.\Then, why choose to go with a tabu search?\What? That's...\There are many instances where multiple Nash equilibriums exist. response:	A genetic search type algorithm, which can run simultaneous searches,
context: The tabu search is a commonly used method, correct?\Was there no similar research?\Um, probably...\Yes. With regards to games with large numbers of players.\Then, why choose to go with a tabu search?\What? That's...\There are many instances where multiple Nash equilibriums exist.\A genetic search type algorithm, which can run simultaneous searches, response:	would seem to be more effective here.
context: Was there no similar research?\Um, probably...\Yes. With regards to games with large numbers of players.\Then, why choose to go with a tabu search?\What? That's...\There are many instances where multiple Nash equilibriums exist.\A genetic search type algorithm, which can run simultaneous searches,\would seem to be more effective here. response:	What merit does a tabu search present?
context: Um, probably...\Yes. With regards to games with large numbers of players.\Then, why choose to go with a tabu search?\What? That's...\There are many instances where multiple Nash equilibriums exist.\A genetic search type algorithm, which can run simultaneous searches,\would seem to be more effective here.\What merit does a tabu search present? response:	Well... it's...
context: Yes. With regards to games with large numbers of players.\Then, why choose to go with a tabu search?\What? That's...\There are many instances where multiple Nash equilibriums exist.\A genetic search type algorithm, which can run simultaneous searches,\would seem to be more effective here.\What merit does a tabu search present?\Well... it's... response:	I can't understand any of this conversation.
context: Then, why choose to go with a tabu search?\What? That's...\There are many instances where multiple Nash equilibriums exist.\A genetic search type algorithm, which can run simultaneous searches,\would seem to be more effective here.\What merit does a tabu search present?\Well... it's...\I can't understand any of this conversation. response:	May I ask a question, too?
context: What? That's...\There are many instances where multiple Nash equilibriums exist.\A genetic search type algorithm, which can run simultaneous searches,\would seem to be more effective here.\What merit does a tabu search present?\Well... it's...\I can't understand any of this conversation.\May I ask a question, too? response:	Yes.
context: There are many instances where multiple Nash equilibriums exist.\A genetic search type algorithm, which can run simultaneous searches,\would seem to be more effective here.\What merit does a tabu search present?\Well... it's...\I can't understand any of this conversation.\May I ask a question, too?\Yes. response:	I'm not familiar with this field, so I apologize for asking a layman's question.
context: A genetic search type algorithm, which can run simultaneous searches,\would seem to be more effective here.\What merit does a tabu search present?\Well... it's...\I can't understand any of this conversation.\May I ask a question, too?\Yes.\I'm not familiar with this field, so I apologize for asking a layman's question. response:	In what way does seeking Nash equilibrium prove useful?
context: would seem to be more effective here.\What merit does a tabu search present?\Well... it's...\I can't understand any of this conversation.\May I ask a question, too?\Yes.\I'm not familiar with this field, so I apologize for asking a layman's question.\In what way does seeking Nash equilibrium prove useful? response:	Shikijou-kun.
context: What merit does a tabu search present?\Well... it's...\I can't understand any of this conversation.\May I ask a question, too?\Yes.\I'm not familiar with this field, so I apologize for asking a layman's question.\In what way does seeking Nash equilibrium prove useful?\Shikijou-kun. response:	If you can't answer, then you must clearly say that you don't know.
context: Well... it's...\I can't understand any of this conversation.\May I ask a question, too?\Yes.\I'm not familiar with this field, so I apologize for asking a layman's question.\In what way does seeking Nash equilibrium prove useful?\Shikijou-kun.\If you can't answer, then you must clearly say that you don't know. response:	Height: 182 cm Weight: 83 kg
context: I can't understand any of this conversation.\May I ask a question, too?\Yes.\I'm not familiar with this field, so I apologize for asking a layman's question.\In what way does seeking Nash equilibrium prove useful?\Shikijou-kun.\If you can't answer, then you must clearly say that you don't know.\Height: 182 cm Weight: 83 kg response:	Blood type: O
context: May I ask a question, too?\Yes.\I'm not familiar with this field, so I apologize for asking a layman's question.\In what way does seeking Nash equilibrium prove useful?\Shikijou-kun.\If you can't answer, then you must clearly say that you don't know.\Height: 182 cm Weight: 83 kg\Blood type: O response:	Hobbies: Kendo
context: Yes.\I'm not familiar with this field, so I apologize for asking a layman's question.\In what way does seeking Nash equilibrium prove useful?\Shikijou-kun.\If you can't answer, then you must clearly say that you don't know.\Height: 182 cm Weight: 83 kg\Blood type: O\Hobbies: Kendo response:	Favorite foods: Chilled tofu Favorite phrase: Look carefully where your own footsteps fall Looks up to: Sakamoto Ryoma
context: I'm not familiar with this field, so I apologize for asking a layman's question.\In what way does seeking Nash equilibrium prove useful?\Shikijou-kun.\If you can't answer, then you must clearly say that you don't know.\Height: 182 cm Weight: 83 kg\Blood type: O\Hobbies: Kendo\Favorite foods: Chilled tofu Favorite phrase: Look carefully where your own footsteps fall Looks up to: Sakamoto Ryoma response:	Tokyo University of Science Technology, Dean of Mathematical Information Science and Engineering Kanou Seijuushi
context: In what way does seeking Nash equilibrium prove useful?\Shikijou-kun.\If you can't answer, then you must clearly say that you don't know.\Height: 182 cm Weight: 83 kg\Blood type: O\Hobbies: Kendo\Favorite foods: Chilled tofu Favorite phrase: Look carefully where your own footsteps fall Looks up to: Sakamoto Ryoma\Tokyo University of Science Technology, Dean of Mathematical Information Science and Engineering Kanou Seijuushi response:	Consuming time with your silence is despicable.
context: Shikijou-kun.\If you can't answer, then you must clearly say that you don't know.\Height: 182 cm Weight: 83 kg\Blood type: O\Hobbies: Kendo\Favorite foods: Chilled tofu Favorite phrase: Look carefully where your own footsteps fall Looks up to: Sakamoto Ryoma\Tokyo University of Science Technology, Dean of Mathematical Information Science and Engineering Kanou Seijuushi\Consuming time with your silence is despicable. response:	I'm sorry. I don't know.
context: If you can't answer, then you must clearly say that you don't know.\Height: 182 cm Weight: 83 kg\Blood type: O\Hobbies: Kendo\Favorite foods: Chilled tofu Favorite phrase: Look carefully where your own footsteps fall Looks up to: Sakamoto Ryoma\Tokyo University of Science Technology, Dean of Mathematical Information Science and Engineering Kanou Seijuushi\Consuming time with your silence is despicable.\I'm sorry. I don't know. response:	I did say, didn't I?
context: Height: 182 cm Weight: 83 kg\Blood type: O\Hobbies: Kendo\Favorite foods: Chilled tofu Favorite phrase: Look carefully where your own footsteps fall Looks up to: Sakamoto Ryoma\Tokyo University of Science Technology, Dean of Mathematical Information Science and Engineering Kanou Seijuushi\Consuming time with your silence is despicable.\I'm sorry. I don't know.\I did say, didn't I? response:	That you should investigate and become familiar with the points just raised...
context: Blood type: O\Hobbies: Kendo\Favorite foods: Chilled tofu Favorite phrase: Look carefully where your own footsteps fall Looks up to: Sakamoto Ryoma\Tokyo University of Science Technology, Dean of Mathematical Information Science and Engineering Kanou Seijuushi\Consuming time with your silence is despicable.\I'm sorry. I don't know.\I did say, didn't I?\That you should investigate and become familiar with the points just raised... response:	That if you didn't understand, you should come ask me...
context: Hobbies: Kendo\Favorite foods: Chilled tofu Favorite phrase: Look carefully where your own footsteps fall Looks up to: Sakamoto Ryoma\Tokyo University of Science Technology, Dean of Mathematical Information Science and Engineering Kanou Seijuushi\Consuming time with your silence is despicable.\I'm sorry. I don't know.\I did say, didn't I?\That you should investigate and become familiar with the points just raised...\That if you didn't understand, you should come ask me... response:	That you should understand and prepare before presenting...
context: Favorite foods: Chilled tofu Favorite phrase: Look carefully where your own footsteps fall Looks up to: Sakamoto Ryoma\Tokyo University of Science Technology, Dean of Mathematical Information Science and Engineering Kanou Seijuushi\Consuming time with your silence is despicable.\I'm sorry. I don't know.\I did say, didn't I?\That you should investigate and become familiar with the points just raised...\That if you didn't understand, you should come ask me...\That you should understand and prepare before presenting... response:	You have been negligent.
context: Tokyo University of Science Technology, Dean of Mathematical Information Science and Engineering Kanou Seijuushi\Consuming time with your silence is despicable.\I'm sorry. I don't know.\I did say, didn't I?\That you should investigate and become familiar with the points just raised...\That if you didn't understand, you should come ask me...\That you should understand and prepare before presenting...\You have been negligent. response:	What have you been researching? For what purpose?
context: Consuming time with your silence is despicable.\I'm sorry. I don't know.\I did say, didn't I?\That you should investigate and become familiar with the points just raised...\That if you didn't understand, you should come ask me...\That you should understand and prepare before presenting...\You have been negligent.\What have you been researching? For what purpose? response:	If you can't even explain that basic essence,
context: I'm sorry. I don't know.\I did say, didn't I?\That you should investigate and become familiar with the points just raised...\That if you didn't understand, you should come ask me...\That you should understand and prepare before presenting...\You have been negligent.\What have you been researching? For what purpose?\If you can't even explain that basic essence, response:	then you have been entirely too lax in your studies.
context: I did say, didn't I?\That you should investigate and become familiar with the points just raised...\That if you didn't understand, you should come ask me...\That you should understand and prepare before presenting...\You have been negligent.\What have you been researching? For what purpose?\If you can't even explain that basic essence,\then you have been entirely too lax in your studies. response:	It is disrespectful to those here in attendance.
context: That you should investigate and become familiar with the points just raised...\That if you didn't understand, you should come ask me...\That you should understand and prepare before presenting...\You have been negligent.\What have you been researching? For what purpose?\If you can't even explain that basic essence,\then you have been entirely too lax in your studies.\It is disrespectful to those here in attendance. response:	We'll call this an end to your presentation.
context: That if you didn't understand, you should come ask me...\That you should understand and prepare before presenting...\You have been negligent.\What have you been researching? For what purpose?\If you can't even explain that basic essence,\then you have been entirely too lax in your studies.\It is disrespectful to those here in attendance.\We'll call this an end to your presentation. response:	That's terrifying!
context: That you should understand and prepare before presenting...\You have been negligent.\What have you been researching? For what purpose?\If you can't even explain that basic essence,\then you have been entirely too lax in your studies.\It is disrespectful to those here in attendance.\We'll call this an end to your presentation.\That's terrifying! response:	They punch you that full of holes at presentations?
context: You have been negligent.\What have you been researching? For what purpose?\If you can't even explain that basic essence,\then you have been entirely too lax in your studies.\It is disrespectful to those here in attendance.\We'll call this an end to your presentation.\That's terrifying!\They punch you that full of holes at presentations? response:	Well, when you're not prepared, that kind of stuff happens.
context: What have you been researching? For what purpose?\If you can't even explain that basic essence,\then you have been entirely too lax in your studies.\It is disrespectful to those here in attendance.\We'll call this an end to your presentation.\That's terrifying!\They punch you that full of holes at presentations?\Well, when you're not prepared, that kind of stuff happens. response:	Don't worry, Kanade-chan.
context: If you can't even explain that basic essence,\then you have been entirely too lax in your studies.\It is disrespectful to those here in attendance.\We'll call this an end to your presentation.\That's terrifying!\They punch you that full of holes at presentations?\Well, when you're not prepared, that kind of stuff happens.\Don't worry, Kanade-chan. response:	You practiced a lot yesterday, right?
context: then you have been entirely too lax in your studies.\It is disrespectful to those here in attendance.\We'll call this an end to your presentation.\That's terrifying!\They punch you that full of holes at presentations?\Well, when you're not prepared, that kind of stuff happens.\Don't worry, Kanade-chan.\You practiced a lot yesterday, right? response:	But...
context: It is disrespectful to those here in attendance.\We'll call this an end to your presentation.\That's terrifying!\They punch you that full of holes at presentations?\Well, when you're not prepared, that kind of stuff happens.\Don't worry, Kanade-chan.\You practiced a lot yesterday, right?\But... response:	Now, the next presenter, Inukai Kosuke-kun. If you would, please.
context: We'll call this an end to your presentation.\That's terrifying!\They punch you that full of holes at presentations?\Well, when you're not prepared, that kind of stuff happens.\Don't worry, Kanade-chan.\You practiced a lot yesterday, right?\But...\Now, the next presenter, Inukai Kosuke-kun. If you would, please. response:	Now that it's come to this...
context: That's terrifying!\They punch you that full of holes at presentations?\Well, when you're not prepared, that kind of stuff happens.\Don't worry, Kanade-chan.\You practiced a lot yesterday, right?\But...\Now, the next presenter, Inukai Kosuke-kun. If you would, please.\Now that it's come to this... response:	I've just gotta go for it!
context: They punch you that full of holes at presentations?\Well, when you're not prepared, that kind of stuff happens.\Don't worry, Kanade-chan.\You practiced a lot yesterday, right?\But...\Now, the next presenter, Inukai Kosuke-kun. If you would, please.\Now that it's come to this...\I've just gotta go for it! response:	The man's man, Inukai Kosuke...
context: Well, when you're not prepared, that kind of stuff happens.\Don't worry, Kanade-chan.\You practiced a lot yesterday, right?\But...\Now, the next presenter, Inukai Kosuke-kun. If you would, please.\Now that it's come to this...\I've just gotta go for it!\The man's man, Inukai Kosuke... response:	is gonna blast his way right through this!
context: Don't worry, Kanade-chan.\You practiced a lot yesterday, right?\But...\Now, the next presenter, Inukai Kosuke-kun. If you would, please.\Now that it's come to this...\I've just gotta go for it!\The man's man, Inukai Kosuke...\is gonna blast his way right through this! response:	Romance Visual Novel Games with Choices NP-hardness Saitama University Science Engineering Graduate Course, Department of Mathematics, Electronics, and Information Inukai Kosuke Ikeda Kashin
context: You practiced a lot yesterday, right?\But...\Now, the next presenter, Inukai Kosuke-kun. If you would, please.\Now that it's come to this...\I've just gotta go for it!\The man's man, Inukai Kosuke...\is gonna blast his way right through this!\Romance Visual Novel Games with Choices NP-hardness Saitama University Science Engineering Graduate Course, Department of Mathematics, Electronics, and Information Inukai Kosuke Ikeda Kashin response:	Ikeda Lab, 4th year student, Inukai Kosuke.
context: But...\Now, the next presenter, Inukai Kosuke-kun. If you would, please.\Now that it's come to this...\I've just gotta go for it!\The man's man, Inukai Kosuke...\is gonna blast his way right through this!\Romance Visual Novel Games with Choices NP-hardness Saitama University Science Engineering Graduate Course, Department of Mathematics, Electronics, and Information Inukai Kosuke Ikeda Kashin\Ikeda Lab, 4th year student, Inukai Kosuke. response:	The title of my presentation is,
context: Now, the next presenter, Inukai Kosuke-kun. If you would, please.\Now that it's come to this...\I've just gotta go for it!\The man's man, Inukai Kosuke...\is gonna blast his way right through this!\Romance Visual Novel Games with Choices NP-hardness Saitama University Science Engineering Graduate Course, Department of Mathematics, Electronics, and Information Inukai Kosuke Ikeda Kashin\Ikeda Lab, 4th year student, Inukai Kosuke.\The title of my presentation is, response:	Romance Visual Novel Games with Choices NP-hardness.
context: Now that it's come to this...\I've just gotta go for it!\The man's man, Inukai Kosuke...\is gonna blast his way right through this!\Romance Visual Novel Games with Choices NP-hardness Saitama University Science Engineering Graduate Course, Department of Mathematics, Electronics, and Information Inukai Kosuke Ikeda Kashin\Ikeda Lab, 4th year student, Inukai Kosuke.\The title of my presentation is,\Romance Visual Novel Games with Choices NP-hardness. response:	So, that being that...
context: I've just gotta go for it!\The man's man, Inukai Kosuke...\is gonna blast his way right through this!\Romance Visual Novel Games with Choices NP-hardness Saitama University Science Engineering Graduate Course, Department of Mathematics, Electronics, and Information Inukai Kosuke Ikeda Kashin\Ikeda Lab, 4th year student, Inukai Kosuke.\The title of my presentation is,\Romance Visual Novel Games with Choices NP-hardness.\So, that being that... response:	Sure
context: The man's man, Inukai Kosuke...\is gonna blast his way right through this!\Romance Visual Novel Games with Choices NP-hardness Saitama University Science Engineering Graduate Course, Department of Mathematics, Electronics, and Information Inukai Kosuke Ikeda Kashin\Ikeda Lab, 4th year student, Inukai Kosuke.\The title of my presentation is,\Romance Visual Novel Games with Choices NP-hardness.\So, that being that...\Sure response:	Maybe not today...
context: is gonna blast his way right through this!\Romance Visual Novel Games with Choices NP-hardness Saitama University Science Engineering Graduate Course, Department of Mathematics, Electronics, and Information Inukai Kosuke Ikeda Kashin\Ikeda Lab, 4th year student, Inukai Kosuke.\The title of my presentation is,\Romance Visual Novel Games with Choices NP-hardness.\So, that being that...\Sure\Maybe not today... response:	Dieee
context: Romance Visual Novel Games with Choices NP-hardness Saitama University Science Engineering Graduate Course, Department of Mathematics, Electronics, and Information Inukai Kosuke Ikeda Kashin\Ikeda Lab, 4th year student, Inukai Kosuke.\The title of my presentation is,\Romance Visual Novel Games with Choices NP-hardness.\So, that being that...\Sure\Maybe not today...\Dieee response:	When you pick something that makes Aika happy, like this...
context: Ikeda Lab, 4th year student, Inukai Kosuke.\The title of my presentation is,\Romance Visual Novel Games with Choices NP-hardness.\So, that being that...\Sure\Maybe not today...\Dieee\When you pick something that makes Aika happy, like this... response:	Then, let's go!
context: The title of my presentation is,\Romance Visual Novel Games with Choices NP-hardness.\So, that being that...\Sure\Maybe not today...\Dieee\When you pick something that makes Aika happy, like this...\Then, let's go! response:	No dawdling now!
context: Romance Visual Novel Games with Choices NP-hardness.\So, that being that...\Sure\Maybe not today...\Dieee\When you pick something that makes Aika happy, like this...\Then, let's go!\No dawdling now! response:	Your likability level, an in-game barometer, increases.
context: So, that being that...\Sure\Maybe not today...\Dieee\When you pick something that makes Aika happy, like this...\Then, let's go!\No dawdling now!\Your likability level, an in-game barometer, increases. response:	Likability +5
context: Sure\Maybe not today...\Dieee\When you pick something that makes Aika happy, like this...\Then, let's go!\No dawdling now!\Your likability level, an in-game barometer, increases.\Likability +5 response:	And...
context: Maybe not today...\Dieee\When you pick something that makes Aika happy, like this...\Then, let's go!\No dawdling now!\Your likability level, an in-game barometer, increases.\Likability +5\And... response:	if, in this branching story, you want to pick the route with the highest likability value,
context: Dieee\When you pick something that makes Aika happy, like this...\Then, let's go!\No dawdling now!\Your likability level, an in-game barometer, increases.\Likability +5\And...\if, in this branching story, you want to pick the route with the highest likability value, response:	Game Start
context: When you pick something that makes Aika happy, like this...\Then, let's go!\No dawdling now!\Your likability level, an in-game barometer, increases.\Likability +5\And...\if, in this branching story, you want to pick the route with the highest likability value,\Game Start response:	Choice 1
context: Then, let's go!\No dawdling now!\Your likability level, an in-game barometer, increases.\Likability +5\And...\if, in this branching story, you want to pick the route with the highest likability value,\Game Start\Choice 1 response:	Yes
context: No dawdling now!\Your likability level, an in-game barometer, increases.\Likability +5\And...\if, in this branching story, you want to pick the route with the highest likability value,\Game Start\Choice 1\Yes response:	No
context: Your likability level, an in-game barometer, increases.\Likability +5\And...\if, in this branching story, you want to pick the route with the highest likability value,\Game Start\Choice 1\Yes\No response:	Ignore and Pass By
context: Likability +5\And...\if, in this branching story, you want to pick the route with the highest likability value,\Game Start\Choice 1\Yes\No\Ignore and Pass By response:	Choice 2
context: And...\if, in this branching story, you want to pick the route with the highest likability value,\Game Start\Choice 1\Yes\No\Ignore and Pass By\Choice 2 response:	Go to the Park
context: if, in this branching story, you want to pick the route with the highest likability value,\Game Start\Choice 1\Yes\No\Ignore and Pass By\Choice 2\Go to the Park response:	Go to School
context: Game Start\Choice 1\Yes\No\Ignore and Pass By\Choice 2\Go to the Park\Go to School response:	Choice 3
context: Choice 1\Yes\No\Ignore and Pass By\Choice 2\Go to the Park\Go to School\Choice 3 response:	Choice 4
context: Yes\No\Ignore and Pass By\Choice 2\Go to the Park\Go to School\Choice 3\Choice 4 response:	Go to Roof
context: No\Ignore and Pass By\Choice 2\Go to the Park\Go to School\Choice 3\Choice 4\Go to Roof response:	Go to Class
context: Ignore and Pass By\Choice 2\Go to the Park\Go to School\Choice 3\Choice 4\Go to Roof\Go to Class response:	Choice 5
context: Choice 2\Go to the Park\Go to School\Choice 3\Choice 4\Go to Roof\Go to Class\Choice 5 response:	Help Her
context: Go to the Park\Go to School\Choice 3\Choice 4\Go to Roof\Go to Class\Choice 5\Help Her response:	Happy End
context: Go to School\Choice 3\Choice 4\Go to Roof\Go to Class\Choice 5\Help Her\Happy End response:	Choice 6
context: Choice 3\Choice 4\Go to Roof\Go to Class\Choice 5\Help Her\Happy End\Choice 6 response:	Leave it to Teacher; Return to Classroom
context: Choice 4\Go to Roof\Go to Class\Choice 5\Help Her\Happy End\Choice 6\Leave it to Teacher; Return to Classroom response:	Stay a Little Longer
context: Go to Roof\Go to Class\Choice 5\Help Her\Happy End\Choice 6\Leave it to Teacher; Return to Classroom\Stay a Little Longer response:	Abandon Her
context: Go to Class\Choice 5\Help Her\Happy End\Choice 6\Leave it to Teacher; Return to Classroom\Stay a Little Longer\Abandon Her response:	Choice 7
context: Choice 5\Help Her\Happy End\Choice 6\Leave it to Teacher; Return to Classroom\Stay a Little Longer\Abandon Her\Choice 7 response:	and successfully arrive at Aika's True Ending, then...
context: Help Her\Happy End\Choice 6\Leave it to Teacher; Return to Classroom\Stay a Little Longer\Abandon Her\Choice 7\and successfully arrive at Aika's True Ending, then... response:	Start
context: Happy End\Choice 6\Leave it to Teacher; Return to Classroom\Stay a Little Longer\Abandon Her\Choice 7\and successfully arrive at Aika's True Ending, then...\Start response:	Goal
context: Choice 6\Leave it to Teacher; Return to Classroom\Stay a Little Longer\Abandon Her\Choice 7\and successfully arrive at Aika's True Ending, then...\Start\Goal response:	Critical Path Problem
context: Leave it to Teacher; Return to Classroom\Stay a Little Longer\Abandon Her\Choice 7\and successfully arrive at Aika's True Ending, then...\Start\Goal\Critical Path Problem response:	this game is the same as what's known as a longest path problem.
context: Stay a Little Longer\Abandon Her\Choice 7\and successfully arrive at Aika's True Ending, then...\Start\Goal\Critical Path Problem\this game is the same as what's known as a longest path problem. response:	This type of problem has been proven to be NP-hard.
context: Abandon Her\Choice 7\and successfully arrive at Aika's True Ending, then...\Start\Goal\Critical Path Problem\this game is the same as what's known as a longest path problem.\This type of problem has been proven to be NP-hard. response:	Longest Path Problems
context: Choice 7\and successfully arrive at Aika's True Ending, then...\Start\Goal\Critical Path Problem\this game is the same as what's known as a longest path problem.\This type of problem has been proven to be NP-hard.\Longest Path Problems response:	Longest path problems!
context: and successfully arrive at Aika's True Ending, then...\Start\Goal\Critical Path Problem\this game is the same as what's known as a longest path problem.\This type of problem has been proven to be NP-hard.\Longest Path Problems\Longest path problems! response:	Shortest Path Problems
context: Start\Goal\Critical Path Problem\this game is the same as what's known as a longest path problem.\This type of problem has been proven to be NP-hard.\Longest Path Problems\Longest path problems!\Shortest Path Problems response:	Shortest path problems!
context: Goal\Critical Path Problem\this game is the same as what's known as a longest path problem.\This type of problem has been proven to be NP-hard.\Longest Path Problems\Longest path problems!\Shortest Path Problems\Shortest path problems! response:	Tokyo
context: Critical Path Problem\this game is the same as what's known as a longest path problem.\This type of problem has been proven to be NP-hard.\Longest Path Problems\Longest path problems!\Shortest Path Problems\Shortest path problems!\Tokyo response:	Akabane
context: this game is the same as what's known as a longest path problem.\This type of problem has been proven to be NP-hard.\Longest Path Problems\Longest path problems!\Shortest Path Problems\Shortest path problems!\Tokyo\Akabane response:	It's a problem where you calculate the shortest path from start to goal, bear.
context: This type of problem has been proven to be NP-hard.\Longest Path Problems\Longest path problems!\Shortest Path Problems\Shortest path problems!\Tokyo\Akabane\It's a problem where you calculate the shortest path from start to goal, bear. response:	See? It's like that thing you stupid humans use on the Internet all the time, bear
context: Longest Path Problems\Longest path problems!\Shortest Path Problems\Shortest path problems!\Tokyo\Akabane\It's a problem where you calculate the shortest path from start to goal, bear.\See? It's like that thing you stupid humans use on the Internet all the time, bear response:	It's super easy for a computer, bear.
context: Longest path problems!\Shortest Path Problems\Shortest path problems!\Tokyo\Akabane\It's a problem where you calculate the shortest path from start to goal, bear.\See? It's like that thing you stupid humans use on the Internet all the time, bear\It's super easy for a computer, bear. response:	Then, what if, instead, you looked for the longest route?
