context: Were you just singing? response:	I was on my way to pick up the uniform I ordered,
context: Well, I'm not allowed to sing.\I have enough members,\and it won't be like the other choir.\I want to perform at the recital with a completely new concept.\I'm sure it'll create a big\I'm sure the vice principal has her own ideas.\Performing at the joint recital with a random group is...\Club Application Choir Club Sakai Wakana Invited by a friend response:	This could be interesting.
context: I have enough members,\and it won't be like the other choir.\I want to perform at the recital with a completely new concept.\I'm sure it'll create a big\I'm sure the vice principal has her own ideas.\Performing at the joint recital with a random group is...\Club Application Choir Club Sakai Wakana Invited by a friend\This could be interesting. response:	It might also be a good incentive for some of the top hitters in the music program.
context: and it won't be like the other choir.\I want to perform at the recital with a completely new concept.\I'm sure it'll create a big\I'm sure the vice principal has her own ideas.\Performing at the joint recital with a random group is...\Club Application Choir Club Sakai Wakana Invited by a friend\This could be interesting.\It might also be a good incentive for some of the top hitters in the music program. response:	Would I be acceptable as advisor?
context: I want to perform at the recital with a completely new concept.\I'm sure it'll create a big\I'm sure the vice principal has her own ideas.\Performing at the joint recital with a random group is...\Club Application Choir Club Sakai Wakana Invited by a friend\This could be interesting.\It might also be a good incentive for some of the top hitters in the music program.\Would I be acceptable as advisor? response:	Of course.
context: I'm sure it'll create a big\I'm sure the vice principal has her own ideas.\Performing at the joint recital with a random group is...\Club Application Choir Club Sakai Wakana Invited by a friend\This could be interesting.\It might also be a good incentive for some of the top hitters in the music program.\Would I be acceptable as advisor?\Of course. response:	I have always had faith in the potential of my young students.
context: I'm sure the vice principal has her own ideas.\Performing at the joint recital with a random group is...\Club Application Choir Club Sakai Wakana Invited by a friend\This could be interesting.\It might also be a good incentive for some of the top hitters in the music program.\Would I be acceptable as advisor?\Of course.\I have always had faith in the potential of my young students. response:	That's the kind of man I am.
context: Performing at the joint recital with a random group is...\Club Application Choir Club Sakai Wakana Invited by a friend\This could be interesting.\It might also be a good incentive for some of the top hitters in the music program.\Would I be acceptable as advisor?\Of course.\I have always had faith in the potential of my young students.\That's the kind of man I am. response:	Thank you so much!
context: Club Application Choir Club Sakai Wakana Invited by a friend\This could be interesting.\It might also be a good incentive for some of the top hitters in the music program.\Would I be acceptable as advisor?\Of course.\I have always had faith in the potential of my young students.\That's the kind of man I am.\Thank you so much! response:	I did it!
context: This could be interesting.\It might also be a good incentive for some of the top hitters in the music program.\Would I be acceptable as advisor?\Of course.\I have always had faith in the potential of my young students.\That's the kind of man I am.\Thank you so much!\I did it! response:	Mwah! Mwah!
context: It might also be a good incentive for some of the top hitters in the music program.\Would I be acceptable as advisor?\Of course.\I have always had faith in the potential of my young students.\That's the kind of man I am.\Thank you so much!\I did it!\Mwah! Mwah! response:	Very interested in...
context: Would I be acceptable as advisor?\Of course.\I have always had faith in the potential of my young students.\That's the kind of man I am.\Thank you so much!\I did it!\Mwah! Mwah!\Very interested in... response:	Miyamoto-san, is something wrong?
context: Of course.\I have always had faith in the potential of my young students.\That's the kind of man I am.\Thank you so much!\I did it!\Mwah! Mwah!\Very interested in...\Miyamoto-san, is something wrong? response:	Hey!
context: I have always had faith in the potential of my young students.\That's the kind of man I am.\Thank you so much!\I did it!\Mwah! Mwah!\Very interested in...\Miyamoto-san, is something wrong?\Hey! response:	Each and every arrow is important, you know.
context: That's the kind of man I am.\Thank you so much!\I did it!\Mwah! Mwah!\Very interested in...\Miyamoto-san, is something wrong?\Hey!\Each and every arrow is important, you know. response:	Right.
context: Thank you so much!\I did it!\Mwah! Mwah!\Very interested in...\Miyamoto-san, is something wrong?\Hey!\Each and every arrow is important, you know.\Right. response:	When does the new choir club start up?
context: I did it!\Mwah! Mwah!\Very interested in...\Miyamoto-san, is something wrong?\Hey!\Each and every arrow is important, you know.\Right.\When does the new choir club start up? response:	Tomorrow, during lunch break.
context: Mwah! Mwah!\Very interested in...\Miyamoto-san, is something wrong?\Hey!\Each and every arrow is important, you know.\Right.\When does the new choir club start up?\Tomorrow, during lunch break. response:	Really? That's good.
context: Very interested in...\Miyamoto-san, is something wrong?\Hey!\Each and every arrow is important, you know.\Right.\When does the new choir club start up?\Tomorrow, during lunch break.\Really? That's good. response:	So, I want to choose our song right away,
context: Miyamoto-san, is something wrong?\Hey!\Each and every arrow is important, you know.\Right.\When does the new choir club start up?\Tomorrow, during lunch break.\Really? That's good.\So, I want to choose our song right away, response:	but looking at sheet music isn't giving me any ideas.
context: Hey!\Each and every arrow is important, you know.\Right.\When does the new choir club start up?\Tomorrow, during lunch break.\Really? That's good.\So, I want to choose our song right away,\but looking at sheet music isn't giving me any ideas. response:	I also can't choose a song that only I know.
context: Each and every arrow is important, you know.\Right.\When does the new choir club start up?\Tomorrow, during lunch break.\Really? That's good.\So, I want to choose our song right away,\but looking at sheet music isn't giving me any ideas.\I also can't choose a song that only I know. response:	But I was hoping to have a song we could start practicing tomorrow...
context: Right.\When does the new choir club start up?\Tomorrow, during lunch break.\Really? That's good.\So, I want to choose our song right away,\but looking at sheet music isn't giving me any ideas.\I also can't choose a song that only I know.\But I was hoping to have a song we could start practicing tomorrow... response:	You can play piano?!
context: When does the new choir club start up?\Tomorrow, during lunch break.\Really? That's good.\So, I want to choose our song right away,\but looking at sheet music isn't giving me any ideas.\I also can't choose a song that only I know.\But I was hoping to have a song we could start practicing tomorrow...\You can play piano?! response:	It's a mandatory part of the music curriculum.
context: Tomorrow, during lunch break.\Really? That's good.\So, I want to choose our song right away,\but looking at sheet music isn't giving me any ideas.\I also can't choose a song that only I know.\But I was hoping to have a song we could start practicing tomorrow...\You can play piano?!\It's a mandatory part of the music curriculum. response:	Although, I'm not as good as the piano majors.
context: Really? That's good.\So, I want to choose our song right away,\but looking at sheet music isn't giving me any ideas.\I also can't choose a song that only I know.\But I was hoping to have a song we could start practicing tomorrow...\You can play piano?!\It's a mandatory part of the music curriculum.\Although, I'm not as good as the piano majors. response:	Sakai-san, I know we said you'd be a member in name only,
context: So, I want to choose our song right away,\but looking at sheet music isn't giving me any ideas.\I also can't choose a song that only I know.\But I was hoping to have a song we could start practicing tomorrow...\You can play piano?!\It's a mandatory part of the music curriculum.\Although, I'm not as good as the piano majors.\Sakai-san, I know we said you'd be a member in name only, response:	but could you help us out the next two days, while we choose a song?
context: but looking at sheet music isn't giving me any ideas.\I also can't choose a song that only I know.\But I was hoping to have a song we could start practicing tomorrow...\You can play piano?!\It's a mandatory part of the music curriculum.\Although, I'm not as good as the piano majors.\Sakai-san, I know we said you'd be a member in name only,\but could you help us out the next two days, while we choose a song? response:	What about the actual recital, and your rehearsals?
context: I also can't choose a song that only I know.\But I was hoping to have a song we could start practicing tomorrow...\You can play piano?!\It's a mandatory part of the music curriculum.\Although, I'm not as good as the piano majors.\Sakai-san, I know we said you'd be a member in name only,\but could you help us out the next two days, while we choose a song?\What about the actual recital, and your rehearsals? response:	My brother's asking a friend of his, who plays the electone, as we speak,
context: But I was hoping to have a song we could start practicing tomorrow...\You can play piano?!\It's a mandatory part of the music curriculum.\Although, I'm not as good as the piano majors.\Sakai-san, I know we said you'd be a member in name only,\but could you help us out the next two days, while we choose a song?\What about the actual recital, and your rehearsals?\My brother's asking a friend of his, who plays the electone, as we speak, response:	but I want to pick a song and start practicing, as soon as possible!
context: You can play piano?!\It's a mandatory part of the music curriculum.\Although, I'm not as good as the piano majors.\Sakai-san, I know we said you'd be a member in name only,\but could you help us out the next two days, while we choose a song?\What about the actual recital, and your rehearsals?\My brother's asking a friend of his, who plays the electone, as we speak,\but I want to pick a song and start practicing, as soon as possible! response:	Please!
context: It's a mandatory part of the music curriculum.\Although, I'm not as good as the piano majors.\Sakai-san, I know we said you'd be a member in name only,\but could you help us out the next two days, while we choose a song?\What about the actual recital, and your rehearsals?\My brother's asking a friend of his, who plays the electone, as we speak,\but I want to pick a song and start practicing, as soon as possible!\Please! response:	I'll buy you a cake!
context: Although, I'm not as good as the piano majors.\Sakai-san, I know we said you'd be a member in name only,\but could you help us out the next two days, while we choose a song?\What about the actual recital, and your rehearsals?\My brother's asking a friend of his, who plays the electone, as we speak,\but I want to pick a song and start practicing, as soon as possible!\Please!\I'll buy you a cake! response:	Two cakes!
context: Sakai-san, I know we said you'd be a member in name only,\but could you help us out the next two days, while we choose a song?\What about the actual recital, and your rehearsals?\My brother's asking a friend of his, who plays the electone, as we speak,\but I want to pick a song and start practicing, as soon as possible!\Please!\I'll buy you a cake!\Two cakes! response:	One is enough.
context: but could you help us out the next two days, while we choose a song?\What about the actual recital, and your rehearsals?\My brother's asking a friend of his, who plays the electone, as we speak,\but I want to pick a song and start practicing, as soon as possible!\Please!\I'll buy you a cake!\Two cakes!\One is enough. response:	Oh, thank you!
context: What about the actual recital, and your rehearsals?\My brother's asking a friend of his, who plays the electone, as we speak,\but I want to pick a song and start practicing, as soon as possible!\Please!\I'll buy you a cake!\Two cakes!\One is enough.\Oh, thank you! response:	All right, can you play through these in order?
context: My brother's asking a friend of his, who plays the electone, as we speak,\but I want to pick a song and start practicing, as soon as possible!\Please!\I'll buy you a cake!\Two cakes!\One is enough.\Oh, thank you!\All right, can you play through these in order? response:	You just want to get the feel of them, right?
context: but I want to pick a song and start practicing, as soon as possible!\Please!\I'll buy you a cake!\Two cakes!\One is enough.\Oh, thank you!\All right, can you play through these in order?\You just want to get the feel of them, right? response:	Yeah.
context: Please!\I'll buy you a cake!\Two cakes!\One is enough.\Oh, thank you!\All right, can you play through these in order?\You just want to get the feel of them, right?\Yeah. response:	Start with this one.
context: I'll buy you a cake!\Two cakes!\One is enough.\Oh, thank you!\All right, can you play through these in order?\You just want to get the feel of them, right?\Yeah.\Start with this one. response:	It's kind of strange, huh?
context: Two cakes!\One is enough.\Oh, thank you!\All right, can you play through these in order?\You just want to get the feel of them, right?\Yeah.\Start with this one.\It's kind of strange, huh? response:	There are scribbles all over it.
context: One is enough.\Oh, thank you!\All right, can you play through these in order?\You just want to get the feel of them, right?\Yeah.\Start with this one.\It's kind of strange, huh?\There are scribbles all over it. response:	I've never heard it before, and the music was even written by hand.
context: Oh, thank you!\All right, can you play through these in order?\You just want to get the feel of them, right?\Yeah.\Start with this one.\It's kind of strange, huh?\There are scribbles all over it.\I've never heard it before, and the music was even written by hand. response:	I like this song. It reminds me of the Condor Queens.
context: All right, can you play through these in order?\You just want to get the feel of them, right?\Yeah.\Start with this one.\It's kind of strange, huh?\There are scribbles all over it.\I've never heard it before, and the music was even written by hand.\I like this song. It reminds me of the Condor Queens. response:	Do you know them?
context: You just want to get the feel of them, right?\Yeah.\Start with this one.\It's kind of strange, huh?\There are scribbles all over it.\I've never heard it before, and the music was even written by hand.\I like this song. It reminds me of the Condor Queens.\Do you know them? response:	They're a pretty old band. I'll lend you one of their CDs some time.
context: Yeah.\Start with this one.\It's kind of strange, huh?\There are scribbles all over it.\I've never heard it before, and the music was even written by hand.\I like this song. It reminds me of the Condor Queens.\Do you know them?\They're a pretty old band. I'll lend you one of their CDs some time. response:	Okay.
context: Start with this one.\It's kind of strange, huh?\There are scribbles all over it.\I've never heard it before, and the music was even written by hand.\I like this song. It reminds me of the Condor Queens.\Do you know them?\They're a pretty old band. I'll lend you one of their CDs some time.\Okay. response:	This song might work!
context: It's kind of strange, huh?\There are scribbles all over it.\I've never heard it before, and the music was even written by hand.\I like this song. It reminds me of the Condor Queens.\Do you know them?\They're a pretty old band. I'll lend you one of their CDs some time.\Okay.\This song might work! response:	Play it again, right from the beginning.
context: There are scribbles all over it.\I've never heard it before, and the music was even written by hand.\I like this song. It reminds me of the Condor Queens.\Do you know them?\They're a pretty old band. I'll lend you one of their CDs some time.\Okay.\This song might work!\Play it again, right from the beginning. response:	Melody of the Heart
context: I've never heard it before, and the music was even written by hand.\I like this song. It reminds me of the Condor Queens.\Do you know them?\They're a pretty old band. I'll lend you one of their CDs some time.\Okay.\This song might work!\Play it again, right from the beginning.\Melody of the Heart response:	Sure.
context: I like this song. It reminds me of the Condor Queens.\Do you know them?\They're a pretty old band. I'll lend you one of their CDs some time.\Okay.\This song might work!\Play it again, right from the beginning.\Melody of the Heart\Sure. response:	If there are no objections,
context: Do you know them?\They're a pretty old band. I'll lend you one of their CDs some time.\Okay.\This song might work!\Play it again, right from the beginning.\Melody of the Heart\Sure.\If there are no objections, response:	this is the song I'd like us to perform at the recital.
context: They're a pretty old band. I'll lend you one of their CDs some time.\Okay.\This song might work!\Play it again, right from the beginning.\Melody of the Heart\Sure.\If there are no objections,\this is the song I'd like us to perform at the recital. response:	What time will rehearsals start?
context: Okay.\This song might work!\Play it again, right from the beginning.\Melody of the Heart\Sure.\If there are no objections,\this is the song I'd like us to perform at the recital.\What time will rehearsals start? response:	I've got cram school, so I can't stay too late.
context: This song might work!\Play it again, right from the beginning.\Melody of the Heart\Sure.\If there are no objections,\this is the song I'd like us to perform at the recital.\What time will rehearsals start?\I've got cram school, so I can't stay too late. response:	Same.
context: Play it again, right from the beginning.\Melody of the Heart\Sure.\If there are no objections,\this is the song I'd like us to perform at the recital.\What time will rehearsals start?\I've got cram school, so I can't stay too late.\Same. response:	Well...
context: Melody of the Heart\Sure.\If there are no objections,\this is the song I'd like us to perform at the recital.\What time will rehearsals start?\I've got cram school, so I can't stay too late.\Same.\Well... response:	Miyamoto-san, I'm heading out.
context: Sure.\If there are no objections,\this is the song I'd like us to perform at the recital.\What time will rehearsals start?\I've got cram school, so I can't stay too late.\Same.\Well...\Miyamoto-san, I'm heading out. response:	Sure, thanks!
context: If there are no objections,\this is the song I'd like us to perform at the recital.\What time will rehearsals start?\I've got cram school, so I can't stay too late.\Same.\Well...\Miyamoto-san, I'm heading out.\Sure, thanks! response:	Why don't you all submit the times that are good for you to me?
context: this is the song I'd like us to perform at the recital.\What time will rehearsals start?\I've got cram school, so I can't stay too late.\Same.\Well...\Miyamoto-san, I'm heading out.\Sure, thanks!\Why don't you all submit the times that are good for you to me? response:	Okay.
context: What time will rehearsals start?\I've got cram school, so I can't stay too late.\Same.\Well...\Miyamoto-san, I'm heading out.\Sure, thanks!\Why don't you all submit the times that are good for you to me?\Okay. response:	The recital's coming up fast,
context: I've got cram school, so I can't stay too late.\Same.\Well...\Miyamoto-san, I'm heading out.\Sure, thanks!\Why don't you all submit the times that are good for you to me?\Okay.\The recital's coming up fast, response:	but we'll rehearse as hard as we can, so we can blow them away!
context: Same.\Well...\Miyamoto-san, I'm heading out.\Sure, thanks!\Why don't you all submit the times that are good for you to me?\Okay.\The recital's coming up fast,\but we'll rehearse as hard as we can, so we can blow them away! response:	35th Joint Recital
context: Well...\Miyamoto-san, I'm heading out.\Sure, thanks!\Why don't you all submit the times that are good for you to me?\Okay.\The recital's coming up fast,\but we'll rehearse as hard as we can, so we can blow them away!\35th Joint Recital response:	I got the principal's permission.
context: Miyamoto-san, I'm heading out.\Sure, thanks!\Why don't you all submit the times that are good for you to me?\Okay.\The recital's coming up fast,\but we'll rehearse as hard as we can, so we can blow them away!\35th Joint Recital\I got the principal's permission. response:	I know.
context: Sure, thanks!\Why don't you all submit the times that are good for you to me?\Okay.\The recital's coming up fast,\but we'll rehearse as hard as we can, so we can blow them away!\35th Joint Recital\I got the principal's permission.\I know. response:	What are you singing?
context: Why don't you all submit the times that are good for you to me?\Okay.\The recital's coming up fast,\but we'll rehearse as hard as we can, so we can blow them away!\35th Joint Recital\I got the principal's permission.\I know.\What are you singing? response:	I can't allow you to sing this song.
context: Okay.\The recital's coming up fast,\but we'll rehearse as hard as we can, so we can blow them away!\35th Joint Recital\I got the principal's permission.\I know.\What are you singing?\I can't allow you to sing this song. response:	You'll have to select something else.
context: The recital's coming up fast,\but we'll rehearse as hard as we can, so we can blow them away!\35th Joint Recital\I got the principal's permission.\I know.\What are you singing?\I can't allow you to sing this song.\You'll have to select something else. response:	You can't
context: but we'll rehearse as hard as we can, so we can blow them away!\35th Joint Recital\I got the principal's permission.\I know.\What are you singing?\I can't allow you to sing this song.\You'll have to select something else.\You can't response:	Why?
context: 35th Joint Recital\I got the principal's permission.\I know.\What are you singing?\I can't allow you to sing this song.\You'll have to select something else.\You can't\Why? response:	This isn't a song you can sing for the fun of it.
context: I got the principal's permission.\I know.\What are you singing?\I can't allow you to sing this song.\You'll have to select something else.\You can't\Why?\This isn't a song you can sing for the fun of it. response:	But I like it.
context: I know.\What are you singing?\I can't allow you to sing this song.\You'll have to select something else.\You can't\Why?\This isn't a song you can sing for the fun of it.\But I like it. response:	It's new to me,
context: What are you singing?\I can't allow you to sing this song.\You'll have to select something else.\You can't\Why?\This isn't a song you can sing for the fun of it.\But I like it.\It's new to me, response:	but it's like I can feel how much the composer enjoyed writing it.
context: I can't allow you to sing this song.\You'll have to select something else.\You can't\Why?\This isn't a song you can sing for the fun of it.\But I like it.\It's new to me,\but it's like I can feel how much the composer enjoyed writing it. response:	It's very straightforward and sincere.
context: You'll have to select something else.\You can't\Why?\This isn't a song you can sing for the fun of it.\But I like it.\It's new to me,\but it's like I can feel how much the composer enjoyed writing it.\It's very straightforward and sincere. response:	You can tell the composer loves to sing, and yet there's also joy...
context: You can't\Why?\This isn't a song you can sing for the fun of it.\But I like it.\It's new to me,\but it's like I can feel how much the composer enjoyed writing it.\It's very straightforward and sincere.\You can tell the composer loves to sing, and yet there's also joy... response:	I feel like it incorporates everything I'm feeling right now.
context: Why?\This isn't a song you can sing for the fun of it.\But I like it.\It's new to me,\but it's like I can feel how much the composer enjoyed writing it.\It's very straightforward and sincere.\You can tell the composer loves to sing, and yet there's also joy...\I feel like it incorporates everything I'm feeling right now. response:	And that's why I want to sing it.
context: This isn't a song you can sing for the fun of it.\But I like it.\It's new to me,\but it's like I can feel how much the composer enjoyed writing it.\It's very straightforward and sincere.\You can tell the composer loves to sing, and yet there's also joy...\I feel like it incorporates everything I'm feeling right now.\And that's why I want to sing it. response:	Enjoying something and bringing joy are different things.
context: But I like it.\It's new to me,\but it's like I can feel how much the composer enjoyed writing it.\It's very straightforward and sincere.\You can tell the composer loves to sing, and yet there's also joy...\I feel like it incorporates everything I'm feeling right now.\And that's why I want to sing it.\Enjoying something and bringing joy are different things. response:	You are incapable of bringing those two together.
context: It's new to me,\but it's like I can feel how much the composer enjoyed writing it.\It's very straightforward and sincere.\You can tell the composer loves to sing, and yet there's also joy...\I feel like it incorporates everything I'm feeling right now.\And that's why I want to sing it.\Enjoying something and bringing joy are different things.\You are incapable of bringing those two together. response:	A fresh wind races through the grass and leaves.
context: but it's like I can feel how much the composer enjoyed writing it.\It's very straightforward and sincere.\You can tell the composer loves to sing, and yet there's also joy...\I feel like it incorporates everything I'm feeling right now.\And that's why I want to sing it.\Enjoying something and bringing joy are different things.\You are incapable of bringing those two together.\A fresh wind races through the grass and leaves. response:	The view is clear, as far as the eye can see.
context: It's very straightforward and sincere.\You can tell the composer loves to sing, and yet there's also joy...\I feel like it incorporates everything I'm feeling right now.\And that's why I want to sing it.\Enjoying something and bringing joy are different things.\You are incapable of bringing those two together.\A fresh wind races through the grass and leaves.\The view is clear, as far as the eye can see. response:	And now, a graceful light is flooding...
context: You can tell the composer loves to sing, and yet there's also joy...\I feel like it incorporates everything I'm feeling right now.\And that's why I want to sing it.\Enjoying something and bringing joy are different things.\You are incapable of bringing those two together.\A fresh wind races through the grass and leaves.\The view is clear, as far as the eye can see.\And now, a graceful light is flooding... response:	Sawa!
context: I feel like it incorporates everything I'm feeling right now.\And that's why I want to sing it.\Enjoying something and bringing joy are different things.\You are incapable of bringing those two together.\A fresh wind races through the grass and leaves.\The view is clear, as far as the eye can see.\And now, a graceful light is flooding...\Sawa! response:	Is the principal here?
context: And that's why I want to sing it.\Enjoying something and bringing joy are different things.\You are incapable of bringing those two together.\A fresh wind races through the grass and leaves.\The view is clear, as far as the eye can see.\And now, a graceful light is flooding...\Sawa!\Is the principal here? response:	Not yet. And nobody's heard from him.
context: Enjoying something and bringing joy are different things.\You are incapable of bringing those two together.\A fresh wind races through the grass and leaves.\The view is clear, as far as the eye can see.\And now, a graceful light is flooding...\Sawa!\Is the principal here?\Not yet. And nobody's heard from him. response:	Can someone else drive us?
context: You are incapable of bringing those two together.\A fresh wind races through the grass and leaves.\The view is clear, as far as the eye can see.\And now, a graceful light is flooding...\Sawa!\Is the principal here?\Not yet. And nobody's heard from him.\Can someone else drive us? response:	If you don't have anyone supervising you, you'll need to go back to your classes.
context: A fresh wind races through the grass and leaves.\The view is clear, as far as the eye can see.\And now, a graceful light is flooding...\Sawa!\Is the principal here?\Not yet. And nobody's heard from him.\Can someone else drive us?\If you don't have anyone supervising you, you'll need to go back to your classes. response:	Participation in club activities without an advisor's
context: The view is clear, as far as the eye can see.\And now, a graceful light is flooding...\Sawa!\Is the principal here?\Not yet. And nobody's heard from him.\Can someone else drive us?\If you don't have anyone supervising you, you'll need to go back to your classes.\Participation in club activities without an advisor's response:	or assistant advisor's supervision is prohibited.
context: And now, a graceful light is flooding...\Sawa!\Is the principal here?\Not yet. And nobody's heard from him.\Can someone else drive us?\If you don't have anyone supervising you, you'll need to go back to your classes.\Participation in club activities without an advisor's\or assistant advisor's supervision is prohibited. response:	As club president, I'm sure you know this rule.
context: Sawa!\Is the principal here?\Not yet. And nobody's heard from him.\Can someone else drive us?\If you don't have anyone supervising you, you'll need to go back to your classes.\Participation in club activities without an advisor's\or assistant advisor's supervision is prohibited.\As club president, I'm sure you know this rule. response:	But...
context: Is the principal here?\Not yet. And nobody's heard from him.\Can someone else drive us?\If you don't have anyone supervising you, you'll need to go back to your classes.\Participation in club activities without an advisor's\or assistant advisor's supervision is prohibited.\As club president, I'm sure you know this rule.\But... response:	Who's your assistant advisor?
context: Not yet. And nobody's heard from him.\Can someone else drive us?\If you don't have anyone supervising you, you'll need to go back to your classes.\Participation in club activities without an advisor's\or assistant advisor's supervision is prohibited.\As club president, I'm sure you know this rule.\But...\Who's your assistant advisor? response:	Ms. Takahashi.
context: Can someone else drive us?\If you don't have anyone supervising you, you'll need to go back to your classes.\Participation in club activities without an advisor's\or assistant advisor's supervision is prohibited.\As club president, I'm sure you know this rule.\But...\Who's your assistant advisor?\Ms. Takahashi. response:	I'll try to get in touch with her.
context: If you don't have anyone supervising you, you'll need to go back to your classes.\Participation in club activities without an advisor's\or assistant advisor's supervision is prohibited.\As club president, I'm sure you know this rule.\But...\Who's your assistant advisor?\Ms. Takahashi.\I'll try to get in touch with her. response:	Since you'll need to stay here with your club to await further news,
context: Participation in club activities without an advisor's\or assistant advisor's supervision is prohibited.\As club president, I'm sure you know this rule.\But...\Who's your assistant advisor?\Ms. Takahashi.\I'll try to get in touch with her.\Since you'll need to stay here with your club to await further news, response:	you'll have to appoint someone to lead the afternoon rehearsal in your place.
context: or assistant advisor's supervision is prohibited.\As club president, I'm sure you know this rule.\But...\Who's your assistant advisor?\Ms. Takahashi.\I'll try to get in touch with her.\Since you'll need to stay here with your club to await further news,\you'll have to appoint someone to lead the afternoon rehearsal in your place. response:	Okay. Makoto!
context: As club president, I'm sure you know this rule.\But...\Who's your assistant advisor?\Ms. Takahashi.\I'll try to get in touch with her.\Since you'll need to stay here with your club to await further news,\you'll have to appoint someone to lead the afternoon rehearsal in your place.\Okay. Makoto! response:	Me?!
context: But...\Who's your assistant advisor?\Ms. Takahashi.\I'll try to get in touch with her.\Since you'll need to stay here with your club to await further news,\you'll have to appoint someone to lead the afternoon rehearsal in your place.\Okay. Makoto!\Me?! response:	Can you read music?
context: Who's your assistant advisor?\Ms. Takahashi.\I'll try to get in touch with her.\Since you'll need to stay here with your club to await further news,\you'll have to appoint someone to lead the afternoon rehearsal in your place.\Okay. Makoto!\Me?!\Can you read music? response:	Where's Sakai-san?
context: Ms. Takahashi.\I'll try to get in touch with her.\Since you'll need to stay here with your club to await further news,\you'll have to appoint someone to lead the afternoon rehearsal in your place.\Okay. Makoto!\Me?!\Can you read music?\Where's Sakai-san? response:	What? Right now?
context: I'll try to get in touch with her.\Since you'll need to stay here with your club to await further news,\you'll have to appoint someone to lead the afternoon rehearsal in your place.\Okay. Makoto!\Me?!\Can you read music?\Where's Sakai-san?\What? Right now? response:	She said you're the only one who can do it.
context: Since you'll need to stay here with your club to await further news,\you'll have to appoint someone to lead the afternoon rehearsal in your place.\Okay. Makoto!\Me?!\Can you read music?\Where's Sakai-san?\What? Right now?\She said you're the only one who can do it. response:	I'm sorry...
context: you'll have to appoint someone to lead the afternoon rehearsal in your place.\Okay. Makoto!\Me?!\Can you read music?\Where's Sakai-san?\What? Right now?\She said you're the only one who can do it.\I'm sorry... response:	I wrote down everyone's parts and their positions.
context: Okay. Makoto!\Me?!\Can you read music?\Where's Sakai-san?\What? Right now?\She said you're the only one who can do it.\I'm sorry...\I wrote down everyone's parts and their positions. response:	The music is here.
context: Me?!\Can you read music?\Where's Sakai-san?\What? Right now?\She said you're the only one who can do it.\I'm sorry...\I wrote down everyone's parts and their positions.\The music is here. response:	Call me if you have any problems.
context: Can you read music?\Where's Sakai-san?\What? Right now?\She said you're the only one who can do it.\I'm sorry...\I wrote down everyone's parts and their positions.\The music is here.\Call me if you have any problems. response:	I'll let you know how things are going on our side, too.
context: Where's Sakai-san?\What? Right now?\She said you're the only one who can do it.\I'm sorry...\I wrote down everyone's parts and their positions.\The music is here.\Call me if you have any problems.\I'll let you know how things are going on our side, too. response:	I really am sorry...
context: What? Right now?\She said you're the only one who can do it.\I'm sorry...\I wrote down everyone's parts and their positions.\The music is here.\Call me if you have any problems.\I'll let you know how things are going on our side, too.\I really am sorry... response:	Two cakes.
context: She said you're the only one who can do it.\I'm sorry...\I wrote down everyone's parts and their positions.\The music is here.\Call me if you have any problems.\I'll let you know how things are going on our side, too.\I really am sorry...\Two cakes. response:	Ms. Takahashi isn't answering. I'll go to her house.
context: I'm sorry...\I wrote down everyone's parts and their positions.\The music is here.\Call me if you have any problems.\I'll let you know how things are going on our side, too.\I really am sorry...\Two cakes.\Ms. Takahashi isn't answering. I'll go to her house. response:	What? Are you sure?
context: I wrote down everyone's parts and their positions.\The music is here.\Call me if you have any problems.\I'll let you know how things are going on our side, too.\I really am sorry...\Two cakes.\Ms. Takahashi isn't answering. I'll go to her house.\What? Are you sure? response:	Sure, it's close by.
context: The music is here.\Call me if you have any problems.\I'll let you know how things are going on our side, too.\I really am sorry...\Two cakes.\Ms. Takahashi isn't answering. I'll go to her house.\What? Are you sure?\Sure, it's close by. response:	If the principal shows up, pick me up on the way with the bus.
context: Call me if you have any problems.\I'll let you know how things are going on our side, too.\I really am sorry...\Two cakes.\Ms. Takahashi isn't answering. I'll go to her house.\What? Are you sure?\Sure, it's close by.\If the principal shows up, pick me up on the way with the bus. response:	I'm starting to feel a little nervous.
context: I'll let you know how things are going on our side, too.\I really am sorry...\Two cakes.\Ms. Takahashi isn't answering. I'll go to her house.\What? Are you sure?\Sure, it's close by.\If the principal shows up, pick me up on the way with the bus.\I'm starting to feel a little nervous. response:	Yes?
context: I really am sorry...\Two cakes.\Ms. Takahashi isn't answering. I'll go to her house.\What? Are you sure?\Sure, it's close by.\If the principal shows up, pick me up on the way with the bus.\I'm starting to feel a little nervous.\Yes? response:	Um...
context: Two cakes.\Ms. Takahashi isn't answering. I'll go to her house.\What? Are you sure?\Sure, it's close by.\If the principal shows up, pick me up on the way with the bus.\I'm starting to feel a little nervous.\Yes?\Um... response:	You must be one of Tomoko's students.
context: Ms. Takahashi isn't answering. I'll go to her house.\What? Are you sure?\Sure, it's close by.\If the principal shows up, pick me up on the way with the bus.\I'm starting to feel a little nervous.\Yes?\Um...\You must be one of Tomoko's students. response:	Yes!
context: What? Are you sure?\Sure, it's close by.\If the principal shows up, pick me up on the way with the bus.\I'm starting to feel a little nervous.\Yes?\Um...\You must be one of Tomoko's students.\Yes! response:	Is she in right now?
