context: Spring... response:	A warm breeze stirs the cherry tree branches, and tickles my hair.
context: Uh, yes! Um... And you?\You are an upperclassman, aren't you?\I'm a second-year. If you have any questions, ask me anything.\You know... I think he looks like the guy from this morning...\But... No way, right?\The way she's acting, looks like she doesn't remember me at all.\Oh, well, whatever. No need to make her feel like she owes me anything.\I'm gonna keep my mouth shut. response:	But to be honest, you really saved me!
context: You are an upperclassman, aren't you?\I'm a second-year. If you have any questions, ask me anything.\You know... I think he looks like the guy from this morning...\But... No way, right?\The way she's acting, looks like she doesn't remember me at all.\Oh, well, whatever. No need to make her feel like she owes me anything.\I'm gonna keep my mouth shut.\But to be honest, you really saved me! response:	I'm still not really sure where the faculty room is and all... And besides...
context: I'm a second-year. If you have any questions, ask me anything.\You know... I think he looks like the guy from this morning...\But... No way, right?\The way she's acting, looks like she doesn't remember me at all.\Oh, well, whatever. No need to make her feel like she owes me anything.\I'm gonna keep my mouth shut.\But to be honest, you really saved me!\I'm still not really sure where the faculty room is and all... And besides... response:	You've set my mind at ease a little.
context: You know... I think he looks like the guy from this morning...\But... No way, right?\The way she's acting, looks like she doesn't remember me at all.\Oh, well, whatever. No need to make her feel like she owes me anything.\I'm gonna keep my mouth shut.\But to be honest, you really saved me!\I'm still not really sure where the faculty room is and all... And besides...\You've set my mind at ease a little. response:	See, I went to an all-girls' school for junior high, so I was a little nervous about going to a co-ed school.
context: But... No way, right?\The way she's acting, looks like she doesn't remember me at all.\Oh, well, whatever. No need to make her feel like she owes me anything.\I'm gonna keep my mouth shut.\But to be honest, you really saved me!\I'm still not really sure where the faculty room is and all... And besides...\You've set my mind at ease a little.\See, I went to an all-girls' school for junior high, so I was a little nervous about going to a co-ed school. response:	But now I know that there are kind and gentle guys like you.
context: The way she's acting, looks like she doesn't remember me at all.\Oh, well, whatever. No need to make her feel like she owes me anything.\I'm gonna keep my mouth shut.\But to be honest, you really saved me!\I'm still not really sure where the faculty room is and all... And besides...\You've set my mind at ease a little.\See, I went to an all-girls' school for junior high, so I was a little nervous about going to a co-ed school.\But now I know that there are kind and gentle guys like you. response:	Actually, this morning, as well! A guy from this school came to my rescue...
context: Oh, well, whatever. No need to make her feel like she owes me anything.\I'm gonna keep my mouth shut.\But to be honest, you really saved me!\I'm still not really sure where the faculty room is and all... And besides...\You've set my mind at ease a little.\See, I went to an all-girls' school for junior high, so I was a little nervous about going to a co-ed school.\But now I know that there are kind and gentle guys like you.\Actually, this morning, as well! A guy from this school came to my rescue... response:	Oh, really? Well, I'm glad to hear that...
context: I'm gonna keep my mouth shut.\But to be honest, you really saved me!\I'm still not really sure where the faculty room is and all... And besides...\You've set my mind at ease a little.\See, I went to an all-girls' school for junior high, so I was a little nervous about going to a co-ed school.\But now I know that there are kind and gentle guys like you.\Actually, this morning, as well! A guy from this school came to my rescue...\Oh, really? Well, I'm glad to hear that... response:	What I'd really like is to thank him in person,
context: But to be honest, you really saved me!\I'm still not really sure where the faculty room is and all... And besides...\You've set my mind at ease a little.\See, I went to an all-girls' school for junior high, so I was a little nervous about going to a co-ed school.\But now I know that there are kind and gentle guys like you.\Actually, this morning, as well! A guy from this school came to my rescue...\Oh, really? Well, I'm glad to hear that...\What I'd really like is to thank him in person, response:	but the thing is, I don't know what he looks like or what his name is...
context: I'm still not really sure where the faculty room is and all... And besides...\You've set my mind at ease a little.\See, I went to an all-girls' school for junior high, so I was a little nervous about going to a co-ed school.\But now I know that there are kind and gentle guys like you.\Actually, this morning, as well! A guy from this school came to my rescue...\Oh, really? Well, I'm glad to hear that...\What I'd really like is to thank him in person,\but the thing is, I don't know what he looks like or what his name is... response:	Hey, I know!
context: You've set my mind at ease a little.\See, I went to an all-girls' school for junior high, so I was a little nervous about going to a co-ed school.\But now I know that there are kind and gentle guys like you.\Actually, this morning, as well! A guy from this school came to my rescue...\Oh, really? Well, I'm glad to hear that...\What I'd really like is to thank him in person,\but the thing is, I don't know what he looks like or what his name is...\Hey, I know! response:	You said you were a second-year, right?
context: See, I went to an all-girls' school for junior high, so I was a little nervous about going to a co-ed school.\But now I know that there are kind and gentle guys like you.\Actually, this morning, as well! A guy from this school came to my rescue...\Oh, really? Well, I'm glad to hear that...\What I'd really like is to thank him in person,\but the thing is, I don't know what he looks like or what his name is...\Hey, I know!\You said you were a second-year, right? response:	Huh? Yeah.
context: But now I know that there are kind and gentle guys like you.\Actually, this morning, as well! A guy from this school came to my rescue...\Oh, really? Well, I'm glad to hear that...\What I'd really like is to thank him in person,\but the thing is, I don't know what he looks like or what his name is...\Hey, I know!\You said you were a second-year, right?\Huh? Yeah. response:	Well, actually, it's both him and one other person...
context: Actually, this morning, as well! A guy from this school came to my rescue...\Oh, really? Well, I'm glad to hear that...\What I'd really like is to thank him in person,\but the thing is, I don't know what he looks like or what his name is...\Hey, I know!\You said you were a second-year, right?\Huh? Yeah.\Well, actually, it's both him and one other person... response:	There's another second-year student that I have to find... would you happen to know him?
context: Oh, really? Well, I'm glad to hear that...\What I'd really like is to thank him in person,\but the thing is, I don't know what he looks like or what his name is...\Hey, I know!\You said you were a second-year, right?\Huh? Yeah.\Well, actually, it's both him and one other person...\There's another second-year student that I have to find... would you happen to know him? response:	I've heard rumors that he's famous at this school...
context: What I'd really like is to thank him in person,\but the thing is, I don't know what he looks like or what his name is...\Hey, I know!\You said you were a second-year, right?\Huh? Yeah.\Well, actually, it's both him and one other person...\There's another second-year student that I have to find... would you happen to know him?\I've heard rumors that he's famous at this school... response:	Famous? Well, what's his name?
context: but the thing is, I don't know what he looks like or what his name is...\Hey, I know!\You said you were a second-year, right?\Huh? Yeah.\Well, actually, it's both him and one other person...\There's another second-year student that I have to find... would you happen to know him?\I've heard rumors that he's famous at this school...\Famous? Well, what's his name? response:	Hey, Ichijo! Kyoko's been looking for you!
context: Hey, I know!\You said you were a second-year, right?\Huh? Yeah.\Well, actually, it's both him and one other person...\There's another second-year student that I have to find... would you happen to know him?\I've heard rumors that he's famous at this school...\Famous? Well, what's his name?\Hey, Ichijo! Kyoko's been looking for you! response:	Thanks! I'll be right there!
context: You said you were a second-year, right?\Huh? Yeah.\Well, actually, it's both him and one other person...\There's another second-year student that I have to find... would you happen to know him?\I've heard rumors that he's famous at this school...\Famous? Well, what's his name?\Hey, Ichijo! Kyoko's been looking for you!\Thanks! I'll be right there! response:	So? What was his name?
context: Huh? Yeah.\Well, actually, it's both him and one other person...\There's another second-year student that I have to find... would you happen to know him?\I've heard rumors that he's famous at this school...\Famous? Well, what's his name?\Hey, Ichijo! Kyoko's been looking for you!\Thanks! I'll be right there!\So? What was his name? response:	Ichijo...?
context: Well, actually, it's both him and one other person...\There's another second-year student that I have to find... would you happen to know him?\I've heard rumors that he's famous at this school...\Famous? Well, what's his name?\Hey, Ichijo! Kyoko's been looking for you!\Thanks! I'll be right there!\So? What was his name?\Ichijo...? response:	Huh?
context: There's another second-year student that I have to find... would you happen to know him?\I've heard rumors that he's famous at this school...\Famous? Well, what's his name?\Hey, Ichijo! Kyoko's been looking for you!\Thanks! I'll be right there!\So? What was his name?\Ichijo...?\Huh? response:	Excuse me, but are there any other people at this school named Ichijo?
context: I've heard rumors that he's famous at this school...\Famous? Well, what's his name?\Hey, Ichijo! Kyoko's been looking for you!\Thanks! I'll be right there!\So? What was his name?\Ichijo...?\Huh?\Excuse me, but are there any other people at this school named Ichijo? response:	No, I'm pretty sure I'm the only one.
context: Famous? Well, what's his name?\Hey, Ichijo! Kyoko's been looking for you!\Thanks! I'll be right there!\So? What was his name?\Ichijo...?\Huh?\Excuse me, but are there any other people at this school named Ichijo?\No, I'm pretty sure I'm the only one. response:	Then are you that Raku Ichijo?
context: Hey, Ichijo! Kyoko's been looking for you!\Thanks! I'll be right there!\So? What was his name?\Ichijo...?\Huh?\Excuse me, but are there any other people at this school named Ichijo?\No, I'm pretty sure I'm the only one.\Then are you that Raku Ichijo? response:	That...?
context: Thanks! I'll be right there!\So? What was his name?\Ichijo...?\Huh?\Excuse me, but are there any other people at this school named Ichijo?\No, I'm pretty sure I'm the only one.\Then are you that Raku Ichijo?\That...? response:	The son of the leader of the Shuei-gumi yakuzas!
context: So? What was his name?\Ichijo...?\Huh?\Excuse me, but are there any other people at this school named Ichijo?\No, I'm pretty sure I'm the only one.\Then are you that Raku Ichijo?\That...?\The son of the leader of the Shuei-gumi yakuzas! response:	Who, despite having a drop-dead gorgeous girlfriend,
context: Ichijo...?\Huh?\Excuse me, but are there any other people at this school named Ichijo?\No, I'm pretty sure I'm the only one.\Then are you that Raku Ichijo?\That...?\The son of the leader of the Shuei-gumi yakuzas!\Who, despite having a drop-dead gorgeous girlfriend, response:	has a whole entourage of pretty girls at his beck and call,
context: Huh?\Excuse me, but are there any other people at this school named Ichijo?\No, I'm pretty sure I'm the only one.\Then are you that Raku Ichijo?\That...?\The son of the leader of the Shuei-gumi yakuzas!\Who, despite having a drop-dead gorgeous girlfriend,\has a whole entourage of pretty girls at his beck and call, response:	and who's rumored to be running the whole school behind-the-scenes, thanks to his father's authority?
context: Excuse me, but are there any other people at this school named Ichijo?\No, I'm pretty sure I'm the only one.\Then are you that Raku Ichijo?\That...?\The son of the leader of the Shuei-gumi yakuzas!\Who, despite having a drop-dead gorgeous girlfriend,\has a whole entourage of pretty girls at his beck and call,\and who's rumored to be running the whole school behind-the-scenes, thanks to his father's authority? response:	Are you that Raku Ichijo?
context: No, I'm pretty sure I'm the only one.\Then are you that Raku Ichijo?\That...?\The son of the leader of the Shuei-gumi yakuzas!\Who, despite having a drop-dead gorgeous girlfriend,\has a whole entourage of pretty girls at his beck and call,\and who's rumored to be running the whole school behind-the-scenes, thanks to his father's authority?\Are you that Raku Ichijo? response:	Hold up, hold up, hold up! What kind of rumors are those?
context: Then are you that Raku Ichijo?\That...?\The son of the leader of the Shuei-gumi yakuzas!\Who, despite having a drop-dead gorgeous girlfriend,\has a whole entourage of pretty girls at his beck and call,\and who's rumored to be running the whole school behind-the-scenes, thanks to his father's authority?\Are you that Raku Ichijo?\Hold up, hold up, hold up! What kind of rumors are those? response:	Please don't come near me!
context: That...?\The son of the leader of the Shuei-gumi yakuzas!\Who, despite having a drop-dead gorgeous girlfriend,\has a whole entourage of pretty girls at his beck and call,\and who's rumored to be running the whole school behind-the-scenes, thanks to his father's authority?\Are you that Raku Ichijo?\Hold up, hold up, hold up! What kind of rumors are those?\Please don't come near me! response:	Hey! Then don't tell me that just now...
context: The son of the leader of the Shuei-gumi yakuzas!\Who, despite having a drop-dead gorgeous girlfriend,\has a whole entourage of pretty girls at his beck and call,\and who's rumored to be running the whole school behind-the-scenes, thanks to his father's authority?\Are you that Raku Ichijo?\Hold up, hold up, hold up! What kind of rumors are those?\Please don't come near me!\Hey! Then don't tell me that just now... response:	Just now, the reason you were so nice to me...
context: Who, despite having a drop-dead gorgeous girlfriend,\has a whole entourage of pretty girls at his beck and call,\and who's rumored to be running the whole school behind-the-scenes, thanks to his father's authority?\Are you that Raku Ichijo?\Hold up, hold up, hold up! What kind of rumors are those?\Please don't come near me!\Hey! Then don't tell me that just now...\Just now, the reason you were so nice to me... response:	That was one of your ploys to worm yourself into a girl's favor, wasn't it?
context: has a whole entourage of pretty girls at his beck and call,\and who's rumored to be running the whole school behind-the-scenes, thanks to his father's authority?\Are you that Raku Ichijo?\Hold up, hold up, hold up! What kind of rumors are those?\Please don't come near me!\Hey! Then don't tell me that just now...\Just now, the reason you were so nice to me...\That was one of your ploys to worm yourself into a girl's favor, wasn't it? response:	How could you!? I thought you were so nice...
context: and who's rumored to be running the whole school behind-the-scenes, thanks to his father's authority?\Are you that Raku Ichijo?\Hold up, hold up, hold up! What kind of rumors are those?\Please don't come near me!\Hey! Then don't tell me that just now...\Just now, the reason you were so nice to me...\That was one of your ploys to worm yourself into a girl's favor, wasn't it?\How could you!? I thought you were so nice... response:	Hang on, hang on! At least hear a person out...
context: Are you that Raku Ichijo?\Hold up, hold up, hold up! What kind of rumors are those?\Please don't come near me!\Hey! Then don't tell me that just now...\Just now, the reason you were so nice to me...\That was one of your ploys to worm yourself into a girl's favor, wasn't it?\How could you!? I thought you were so nice...\Hang on, hang on! At least hear a person out... response:	I have just one thing to say to you!
context: Hold up, hold up, hold up! What kind of rumors are those?\Please don't come near me!\Hey! Then don't tell me that just now...\Just now, the reason you were so nice to me...\That was one of your ploys to worm yourself into a girl's favor, wasn't it?\How could you!? I thought you were so nice...\Hang on, hang on! At least hear a person out...\I have just one thing to say to you! response:	Don't you dare...
context: Please don't come near me!\Hey! Then don't tell me that just now...\Just now, the reason you were so nice to me...\That was one of your ploys to worm yourself into a girl's favor, wasn't it?\How could you!? I thought you were so nice...\Hang on, hang on! At least hear a person out...\I have just one thing to say to you!\Don't you dare... response:	Did you see?
context: Hey! Then don't tell me that just now...\Just now, the reason you were so nice to me...\That was one of your ploys to worm yourself into a girl's favor, wasn't it?\How could you!? I thought you were so nice...\Hang on, hang on! At least hear a person out...\I have just one thing to say to you!\Don't you dare...\Did you see? response:	N-No...
context: Just now, the reason you were so nice to me...\That was one of your ploys to worm yourself into a girl's favor, wasn't it?\How could you!? I thought you were so nice...\Hang on, hang on! At least hear a person out...\I have just one thing to say to you!\Don't you dare...\Did you see?\N-No... response:	You'd think you'd have outgrown bears in high school...
context: That was one of your ploys to worm yourself into a girl's favor, wasn't it?\How could you!? I thought you were so nice...\Hang on, hang on! At least hear a person out...\I have just one thing to say to you!\Don't you dare...\Did you see?\N-No...\You'd think you'd have outgrown bears in high school... response:	You're so heinous! Heinous, heinous!
context: How could you!? I thought you were so nice...\Hang on, hang on! At least hear a person out...\I have just one thing to say to you!\Don't you dare...\Did you see?\N-No...\You'd think you'd have outgrown bears in high school...\You're so heinous! Heinous, heinous! response:	You're the enemy of all women!
context: Hang on, hang on! At least hear a person out...\I have just one thing to say to you!\Don't you dare...\Did you see?\N-No...\You'd think you'd have outgrown bears in high school...\You're so heinous! Heinous, heinous!\You're the enemy of all women! response:	How was that my fault...?
context: I have just one thing to say to you!\Don't you dare...\Did you see?\N-No...\You'd think you'd have outgrown bears in high school...\You're so heinous! Heinous, heinous!\You're the enemy of all women!\How was that my fault...? response:	What's going on, Ichijo? What was that sound?
context: Don't you dare...\Did you see?\N-No...\You'd think you'd have outgrown bears in high school...\You're so heinous! Heinous, heinous!\You're the enemy of all women!\How was that my fault...?\What's going on, Ichijo? What was that sound? response:	Hey, Onodera. Actually...
context: Did you see?\N-No...\You'd think you'd have outgrown bears in high school...\You're so heinous! Heinous, heinous!\You're the enemy of all women!\How was that my fault...?\What's going on, Ichijo? What was that sound?\Hey, Onodera. Actually... response:	Sister!
context: N-No...\You'd think you'd have outgrown bears in high school...\You're so heinous! Heinous, heinous!\You're the enemy of all women!\How was that my fault...?\What's going on, Ichijo? What was that sound?\Hey, Onodera. Actually...\Sister! response:	Huh? Haru? What are you doing here?
context: You'd think you'd have outgrown bears in high school...\You're so heinous! Heinous, heinous!\You're the enemy of all women!\How was that my fault...?\What's going on, Ichijo? What was that sound?\Hey, Onodera. Actually...\Sister!\Huh? Haru? What are you doing here? response:	Sister, don't you worry about a thing!
context: You're so heinous! Heinous, heinous!\You're the enemy of all women!\How was that my fault...?\What's going on, Ichijo? What was that sound?\Hey, Onodera. Actually...\Sister!\Huh? Haru? What are you doing here?\Sister, don't you worry about a thing! response:	Now that I'm here, you're safe, all right? Right? Right?
context: You're the enemy of all women!\How was that my fault...?\What's going on, Ichijo? What was that sound?\Hey, Onodera. Actually...\Sister!\Huh? Haru? What are you doing here?\Sister, don't you worry about a thing!\Now that I'm here, you're safe, all right? Right? Right? response:	Huh? Huh?
context: How was that my fault...?\What's going on, Ichijo? What was that sound?\Hey, Onodera. Actually...\Sister!\Huh? Haru? What are you doing here?\Sister, don't you worry about a thing!\Now that I'm here, you're safe, all right? Right? Right?\Huh? Huh? response:	S-Sister?
context: What's going on, Ichijo? What was that sound?\Hey, Onodera. Actually...\Sister!\Huh? Haru? What are you doing here?\Sister, don't you worry about a thing!\Now that I'm here, you're safe, all right? Right? Right?\Huh? Huh?\S-Sister? response:	My name is Haru Onodera. I'm Kosaki Onodera's younger sister!
context: Hey, Onodera. Actually...\Sister!\Huh? Haru? What are you doing here?\Sister, don't you worry about a thing!\Now that I'm here, you're safe, all right? Right? Right?\Huh? Huh?\S-Sister?\My name is Haru Onodera. I'm Kosaki Onodera's younger sister! response:	Y-Younger sister?
context: Sister!\Huh? Haru? What are you doing here?\Sister, don't you worry about a thing!\Now that I'm here, you're safe, all right? Right? Right?\Huh? Huh?\S-Sister?\My name is Haru Onodera. I'm Kosaki Onodera's younger sister!\Y-Younger sister? response:	Yes. So now we're going to be second-years, huh, Ruri?
context: Huh? Haru? What are you doing here?\Sister, don't you worry about a thing!\Now that I'm here, you're safe, all right? Right? Right?\Huh? Huh?\S-Sister?\My name is Haru Onodera. I'm Kosaki Onodera's younger sister!\Y-Younger sister?\Yes. So now we're going to be second-years, huh, Ruri? response:	I hope I get to be in the same class as Ichijo again...
context: Sister, don't you worry about a thing!\Now that I'm here, you're safe, all right? Right? Right?\Huh? Huh?\S-Sister?\My name is Haru Onodera. I'm Kosaki Onodera's younger sister!\Y-Younger sister?\Yes. So now we're going to be second-years, huh, Ruri?\I hope I get to be in the same class as Ichijo again... response:	Hmm, so the guy she has a crush on is named Ichijo?
context: Now that I'm here, you're safe, all right? Right? Right?\Huh? Huh?\S-Sister?\My name is Haru Onodera. I'm Kosaki Onodera's younger sister!\Y-Younger sister?\Yes. So now we're going to be second-years, huh, Ruri?\I hope I get to be in the same class as Ichijo again...\Hmm, so the guy she has a crush on is named Ichijo? response:	What? Come on... that's really mean, Ruri!
context: Huh? Huh?\S-Sister?\My name is Haru Onodera. I'm Kosaki Onodera's younger sister!\Y-Younger sister?\Yes. So now we're going to be second-years, huh, Ruri?\I hope I get to be in the same class as Ichijo again...\Hmm, so the guy she has a crush on is named Ichijo?\What? Come on... that's really mean, Ruri! response:	Sorry to keep you waiting! What were we talking about again?
context: S-Sister?\My name is Haru Onodera. I'm Kosaki Onodera's younger sister!\Y-Younger sister?\Yes. So now we're going to be second-years, huh, Ruri?\I hope I get to be in the same class as Ichijo again...\Hmm, so the guy she has a crush on is named Ichijo?\What? Come on... that's really mean, Ruri!\Sorry to keep you waiting! What were we talking about again? response:	Huh? Oh, so anyway...
context: My name is Haru Onodera. I'm Kosaki Onodera's younger sister!\Y-Younger sister?\Yes. So now we're going to be second-years, huh, Ruri?\I hope I get to be in the same class as Ichijo again...\Hmm, so the guy she has a crush on is named Ichijo?\What? Come on... that's really mean, Ruri!\Sorry to keep you waiting! What were we talking about again?\Huh? Oh, so anyway... response:	I hear that there's a really scary upperclassman at your high school, Haru!
context: Y-Younger sister?\Yes. So now we're going to be second-years, huh, Ruri?\I hope I get to be in the same class as Ichijo again...\Hmm, so the guy she has a crush on is named Ichijo?\What? Come on... that's really mean, Ruri!\Sorry to keep you waiting! What were we talking about again?\Huh? Oh, so anyway...\I hear that there's a really scary upperclassman at your high school, Haru! response:	They say he's the son of a yakuza... And his name is Ichijo...
context: Yes. So now we're going to be second-years, huh, Ruri?\I hope I get to be in the same class as Ichijo again...\Hmm, so the guy she has a crush on is named Ichijo?\What? Come on... that's really mean, Ruri!\Sorry to keep you waiting! What were we talking about again?\Huh? Oh, so anyway...\I hear that there's a really scary upperclassman at your high school, Haru!\They say he's the son of a yakuza... And his name is Ichijo... response:	Oh, no, that's terrible!
context: I hope I get to be in the same class as Ichijo again...\Hmm, so the guy she has a crush on is named Ichijo?\What? Come on... that's really mean, Ruri!\Sorry to keep you waiting! What were we talking about again?\Huh? Oh, so anyway...\I hear that there's a really scary upperclassman at your high school, Haru!\They say he's the son of a yakuza... And his name is Ichijo...\Oh, no, that's terrible! response:	Wait, what?
context: Hmm, so the guy she has a crush on is named Ichijo?\What? Come on... that's really mean, Ruri!\Sorry to keep you waiting! What were we talking about again?\Huh? Oh, so anyway...\I hear that there's a really scary upperclassman at your high school, Haru!\They say he's the son of a yakuza... And his name is Ichijo...\Oh, no, that's terrible!\Wait, what? response:	Ichijo!? Tell me more about him, will you!?
context: What? Come on... that's really mean, Ruri!\Sorry to keep you waiting! What were we talking about again?\Huh? Oh, so anyway...\I hear that there's a really scary upperclassman at your high school, Haru!\They say he's the son of a yakuza... And his name is Ichijo...\Oh, no, that's terrible!\Wait, what?\Ichijo!? Tell me more about him, will you!? response:	Now that I've actually met him, I can see it clearly.
context: Sorry to keep you waiting! What were we talking about again?\Huh? Oh, so anyway...\I hear that there's a really scary upperclassman at your high school, Haru!\They say he's the son of a yakuza... And his name is Ichijo...\Oh, no, that's terrible!\Wait, what?\Ichijo!? Tell me more about him, will you!?\Now that I've actually met him, I can see it clearly. response:	Just as I thought, this guy is dangerous!
context: Huh? Oh, so anyway...\I hear that there's a really scary upperclassman at your high school, Haru!\They say he's the son of a yakuza... And his name is Ichijo...\Oh, no, that's terrible!\Wait, what?\Ichijo!? Tell me more about him, will you!?\Now that I've actually met him, I can see it clearly.\Just as I thought, this guy is dangerous! response:	I'll bet he's totally playing my sister...
context: I hear that there's a really scary upperclassman at your high school, Haru!\They say he's the son of a yakuza... And his name is Ichijo...\Oh, no, that's terrible!\Wait, what?\Ichijo!? Tell me more about him, will you!?\Now that I've actually met him, I can see it clearly.\Just as I thought, this guy is dangerous!\I'll bet he's totally playing my sister... response:	I've got to protect her!
context: They say he's the son of a yakuza... And his name is Ichijo...\Oh, no, that's terrible!\Wait, what?\Ichijo!? Tell me more about him, will you!?\Now that I've actually met him, I can see it clearly.\Just as I thought, this guy is dangerous!\I'll bet he's totally playing my sister...\I've got to protect her! response:	Hey, that's right. You did mention having a kid sister the other day...
context: Oh, no, that's terrible!\Wait, what?\Ichijo!? Tell me more about him, will you!?\Now that I've actually met him, I can see it clearly.\Just as I thought, this guy is dangerous!\I'll bet he's totally playing my sister...\I've got to protect her!\Hey, that's right. You did mention having a kid sister the other day... response:	Please stay away from her!
context: Wait, what?\Ichijo!? Tell me more about him, will you!?\Now that I've actually met him, I can see it clearly.\Just as I thought, this guy is dangerous!\I'll bet he's totally playing my sister...\I've got to protect her!\Hey, that's right. You did mention having a kid sister the other day...\Please stay away from her! response:	I'm never going to let you get your hands on my sister, understand?
context: Ichijo!? Tell me more about him, will you!?\Now that I've actually met him, I can see it clearly.\Just as I thought, this guy is dangerous!\I'll bet he's totally playing my sister...\I've got to protect her!\Hey, that's right. You did mention having a kid sister the other day...\Please stay away from her!\I'm never going to let you get your hands on my sister, understand? response:	Hey! Haru, what are you talking about!?
context: Now that I've actually met him, I can see it clearly.\Just as I thought, this guy is dangerous!\I'll bet he's totally playing my sister...\I've got to protect her!\Hey, that's right. You did mention having a kid sister the other day...\Please stay away from her!\I'm never going to let you get your hands on my sister, understand?\Hey! Haru, what are you talking about!? response:	Sister, open your eyes!
context: Just as I thought, this guy is dangerous!\I'll bet he's totally playing my sister...\I've got to protect her!\Hey, that's right. You did mention having a kid sister the other day...\Please stay away from her!\I'm never going to let you get your hands on my sister, understand?\Hey! Haru, what are you talking about!?\Sister, open your eyes! response:	Sister...
context: I'll bet he's totally playing my sister...\I've got to protect her!\Hey, that's right. You did mention having a kid sister the other day...\Please stay away from her!\I'm never going to let you get your hands on my sister, understand?\Hey! Haru, what are you talking about!?\Sister, open your eyes!\Sister... response:	You're being deceived!
context: I've got to protect her!\Hey, that's right. You did mention having a kid sister the other day...\Please stay away from her!\I'm never going to let you get your hands on my sister, understand?\Hey! Haru, what are you talking about!?\Sister, open your eyes!\Sister...\You're being deceived! response:	What's going on? I've been hearing this commotion...
context: Hey, that's right. You did mention having a kid sister the other day...\Please stay away from her!\I'm never going to let you get your hands on my sister, understand?\Hey! Haru, what are you talking about!?\Sister, open your eyes!\Sister...\You're being deceived!\What's going on? I've been hearing this commotion... response:	Huh? Who's this? This girl...
context: Please stay away from her!\I'm never going to let you get your hands on my sister, understand?\Hey! Haru, what are you talking about!?\Sister, open your eyes!\Sister...\You're being deceived!\What's going on? I've been hearing this commotion...\Huh? Who's this? This girl... response:	Chitoge...
context: I'm never going to let you get your hands on my sister, understand?\Hey! Haru, what are you talking about!?\Sister, open your eyes!\Sister...\You're being deceived!\What's going on? I've been hearing this commotion...\Huh? Who's this? This girl...\Chitoge... response:	Wow!
context: Hey! Haru, what are you talking about!?\Sister, open your eyes!\Sister...\You're being deceived!\What's going on? I've been hearing this commotion...\Huh? Who's this? This girl...\Chitoge...\Wow! response:	Who is this gorgeous girl? Is she half-foreign?
context: Sister, open your eyes!\Sister...\You're being deceived!\What's going on? I've been hearing this commotion...\Huh? Who's this? This girl...\Chitoge...\Wow!\Who is this gorgeous girl? Is she half-foreign? response:	Amazing... she looks just like a model!
context: Sister...\You're being deceived!\What's going on? I've been hearing this commotion...\Huh? Who's this? This girl...\Chitoge...\Wow!\Who is this gorgeous girl? Is she half-foreign?\Amazing... she looks just like a model! response:	Hey... could she be the drop-dead gorgeous girlfriend?
context: You're being deceived!\What's going on? I've been hearing this commotion...\Huh? Who's this? This girl...\Chitoge...\Wow!\Who is this gorgeous girl? Is she half-foreign?\Amazing... she looks just like a model!\Hey... could she be the drop-dead gorgeous girlfriend? response:	The rumors were all true, after all!
context: What's going on? I've been hearing this commotion...\Huh? Who's this? This girl...\Chitoge...\Wow!\Who is this gorgeous girl? Is she half-foreign?\Amazing... she looks just like a model!\Hey... could she be the drop-dead gorgeous girlfriend?\The rumors were all true, after all! response:	Huh? Kosaki's little sister?
context: Huh? Who's this? This girl...\Chitoge...\Wow!\Who is this gorgeous girl? Is she half-foreign?\Amazing... she looks just like a model!\Hey... could she be the drop-dead gorgeous girlfriend?\The rumors were all true, after all!\Huh? Kosaki's little sister? response:	Really? So you have a little sister, Kosaki!
context: Chitoge...\Wow!\Who is this gorgeous girl? Is she half-foreign?\Amazing... she looks just like a model!\Hey... could she be the drop-dead gorgeous girlfriend?\The rumors were all true, after all!\Huh? Kosaki's little sister?\Really? So you have a little sister, Kosaki! response:	Nice to meet you! What's your name?
context: Wow!\Who is this gorgeous girl? Is she half-foreign?\Amazing... she looks just like a model!\Hey... could she be the drop-dead gorgeous girlfriend?\The rumors were all true, after all!\Huh? Kosaki's little sister?\Really? So you have a little sister, Kosaki!\Nice to meet you! What's your name? response:	Does he have something on you!?
context: Who is this gorgeous girl? Is she half-foreign?\Amazing... she looks just like a model!\Hey... could she be the drop-dead gorgeous girlfriend?\The rumors were all true, after all!\Huh? Kosaki's little sister?\Really? So you have a little sister, Kosaki!\Nice to meet you! What's your name?\Does he have something on you!? response:	Huh? Something on me? Um, what are you talking...
context: Amazing... she looks just like a model!\Hey... could she be the drop-dead gorgeous girlfriend?\The rumors were all true, after all!\Huh? Kosaki's little sister?\Really? So you have a little sister, Kosaki!\Nice to meet you! What's your name?\Does he have something on you!?\Huh? Something on me? Um, what are you talking... response:	Because otherwise, it doesn't make sense!
context: Hey... could she be the drop-dead gorgeous girlfriend?\The rumors were all true, after all!\Huh? Kosaki's little sister?\Really? So you have a little sister, Kosaki!\Nice to meet you! What's your name?\Does he have something on you!?\Huh? Something on me? Um, what are you talking...\Because otherwise, it doesn't make sense! response:	A person like you, so drop-dead gorgeous, so stylish, who seems so likable...
context: The rumors were all true, after all!\Huh? Kosaki's little sister?\Really? So you have a little sister, Kosaki!\Nice to meet you! What's your name?\Does he have something on you!?\Huh? Something on me? Um, what are you talking...\Because otherwise, it doesn't make sense!\A person like you, so drop-dead gorgeous, so stylish, who seems so likable... response:	With someone who's so obviously a loser?
