context: What's that? response:	Is this like the entrance exam where the lessors already started?
context: Huh?\Don't you think they are trying so hard because they have a way to kill him?\Guys that strong just told us they would torture us to death, you know.\I wonder if we'll be able to hold out until All Might arrives...\Even if All Might comes, I wonder if we will all make it out in one piece...\M-M-Midoriya!\What the heck is that?\Ribbit! response:	You bastard!
context: Don't you think they are trying so hard because they have a way to kill him?\Guys that strong just told us they would torture us to death, you know.\I wonder if we'll be able to hold out until All Might arrives...\Even if All Might comes, I wonder if we will all make it out in one piece...\M-M-Midoriya!\What the heck is that?\Ribbit!\You bastard! response:	I'll kill you!
context: Guys that strong just told us they would torture us to death, you know.\I wonder if we'll be able to hold out until All Might arrives...\Even if All Might comes, I wonder if we will all make it out in one piece...\M-M-Midoriya!\What the heck is that?\Ribbit!\You bastard!\I'll kill you! response:	There's a ton of them!
context: I wonder if we'll be able to hold out until All Might arrives...\Even if All Might comes, I wonder if we will all make it out in one piece...\M-M-Midoriya!\What the heck is that?\Ribbit!\You bastard!\I'll kill you!\There's a ton of them! response:	Those guys have a way to defeat All Might.
context: Even if All Might comes, I wonder if we will all make it out in one piece...\M-M-Midoriya!\What the heck is that?\Ribbit!\You bastard!\I'll kill you!\There's a ton of them!\Those guys have a way to defeat All Might. response:	She's probably right about that.
context: M-M-Midoriya!\What the heck is that?\Ribbit!\You bastard!\I'll kill you!\There's a ton of them!\Those guys have a way to defeat All Might.\She's probably right about that. response:	I can't think of any other possibility.
context: What the heck is that?\Ribbit!\You bastard!\I'll kill you!\There's a ton of them!\Those guys have a way to defeat All Might.\She's probably right about that.\I can't think of any other possibility. response:	Why do they want to kill him?
context: Ribbit!\You bastard!\I'll kill you!\There's a ton of them!\Those guys have a way to defeat All Might.\She's probably right about that.\I can't think of any other possibility.\Why do they want to kill him? response:	Because he's become a person who deters villains and evil?
context: You bastard!\I'll kill you!\There's a ton of them!\Those guys have a way to defeat All Might.\She's probably right about that.\I can't think of any other possibility.\Why do they want to kill him?\Because he's become a person who deters villains and evil? response:	Because he's the one and only Symbol of Peace?
context: I'll kill you!\There's a ton of them!\Those guys have a way to defeat All Might.\She's probably right about that.\I can't think of any other possibility.\Why do they want to kill him?\Because he's become a person who deters villains and evil?\Because he's the one and only Symbol of Peace? response:	No.
context: There's a ton of them!\Those guys have a way to defeat All Might.\She's probably right about that.\I can't think of any other possibility.\Why do they want to kill him?\Because he's become a person who deters villains and evil?\Because he's the one and only Symbol of Peace?\No. response:	I mean...
context: Those guys have a way to defeat All Might.\She's probably right about that.\I can't think of any other possibility.\Why do they want to kill him?\Because he's become a person who deters villains and evil?\Because he's the one and only Symbol of Peace?\No.\I mean... response:	You...
context: She's probably right about that.\I can't think of any other possibility.\Why do they want to kill him?\Because he's become a person who deters villains and evil?\Because he's the one and only Symbol of Peace?\No.\I mean...\You... response:	I like that!
context: I can't think of any other possibility.\Why do they want to kill him?\Because he's become a person who deters villains and evil?\Because he's the one and only Symbol of Peace?\No.\I mean...\You...\I like that! response:	Right now... I don't...
context: Why do they want to kill him?\Because he's become a person who deters villains and evil?\Because he's the one and only Symbol of Peace?\No.\I mean...\You...\I like that!\Right now... I don't... response:	Come, young Midoriya.
context: Because he's become a person who deters villains and evil?\Because he's the one and only Symbol of Peace?\No.\I mean...\You...\I like that!\Right now... I don't...\Come, young Midoriya. response:	Congrats on getting accepted.
context: Because he's the one and only Symbol of Peace?\No.\I mean...\You...\I like that!\Right now... I don't...\Come, young Midoriya.\Congrats on getting accepted. response:	I don't...
context: No.\I mean...\You...\I like that!\Right now... I don't...\Come, young Midoriya.\Congrats on getting accepted.\I don't... response:	It's fine now.
context: I mean...\You...\I like that!\Right now... I don't...\Come, young Midoriya.\Congrats on getting accepted.\I don't...\It's fine now. response:	Why?
context: You...\I like that!\Right now... I don't...\Come, young Midoriya.\Congrats on getting accepted.\I don't...\It's fine now.\Why? response:	Because I am here.
context: I like that!\Right now... I don't...\Come, young Midoriya.\Congrats on getting accepted.\I don't...\It's fine now.\Why?\Because I am here. response:	I don't...
context: Right now... I don't...\Come, young Midoriya.\Congrats on getting accepted.\I don't...\It's fine now.\Why?\Because I am here.\I don't... response:	If those guys...
context: Come, young Midoriya.\Congrats on getting accepted.\I don't...\It's fine now.\Why?\Because I am here.\I don't...\If those guys... response:	Ribbit.
context: Congrats on getting accepted.\I don't...\It's fine now.\Why?\Because I am here.\I don't...\If those guys...\Ribbit. response:	By fighting... and winning!
context: I don't...\It's fine now.\Why?\Because I am here.\I don't...\If those guys...\Ribbit.\By fighting... and winning! response:	It's pathetic to lose against a single child
context: It's fine now.\Why?\Because I am here.\I don't...\If those guys...\Ribbit.\By fighting... and winning!\It's pathetic to lose against a single child response:	Get a hold of yourself.
context: Why?\Because I am here.\I don't...\If those guys...\Ribbit.\By fighting... and winning!\It's pathetic to lose against a single child\Get a hold of yourself. response:	You're an adult, aren't you?
context: Because I am here.\I don't...\If those guys...\Ribbit.\By fighting... and winning!\It's pathetic to lose against a single child\Get a hold of yourself.\You're an adult, aren't you? response:	The number you have dialed is not in service, or has been temporarily disconnected.
context: I don't...\If those guys...\Ribbit.\By fighting... and winning!\It's pathetic to lose against a single child\Get a hold of yourself.\You're an adult, aren't you?\The number you have dialed is not in service, or has been temporarily disconnected. response:	I can't reach Thirteen or Aizawa...
context: If those guys...\Ribbit.\By fighting... and winning!\It's pathetic to lose against a single child\Get a hold of yourself.\You're an adult, aren't you?\The number you have dialed is not in service, or has been temporarily disconnected.\I can't reach Thirteen or Aizawa... response:	Whatever the reason,
context: Ribbit.\By fighting... and winning!\It's pathetic to lose against a single child\Get a hold of yourself.\You're an adult, aren't you?\The number you have dialed is not in service, or has been temporarily disconnected.\I can't reach Thirteen or Aizawa...\Whatever the reason, response:	I am neglecting my teaching duties because of what happened outside of work hours.
context: By fighting... and winning!\It's pathetic to lose against a single child\Get a hold of yourself.\You're an adult, aren't you?\The number you have dialed is not in service, or has been temporarily disconnected.\I can't reach Thirteen or Aizawa...\Whatever the reason,\I am neglecting my teaching duties because of what happened outside of work hours. response:	I did something very foolish.
context: It's pathetic to lose against a single child\Get a hold of yourself.\You're an adult, aren't you?\The number you have dialed is not in service, or has been temporarily disconnected.\I can't reach Thirteen or Aizawa...\Whatever the reason,\I am neglecting my teaching duties because of what happened outside of work hours.\I did something very foolish. response:	What if I go say something at the end?
context: Get a hold of yourself.\You're an adult, aren't you?\The number you have dialed is not in service, or has been temporarily disconnected.\I can't reach Thirteen or Aizawa...\Whatever the reason,\I am neglecting my teaching duties because of what happened outside of work hours.\I did something very foolish.\What if I go say something at the end? response:	My body will last for another ten minutes or so.
context: You're an adult, aren't you?\The number you have dialed is not in service, or has been temporarily disconnected.\I can't reach Thirteen or Aizawa...\Whatever the reason,\I am neglecting my teaching duties because of what happened outside of work hours.\I did something very foolish.\What if I go say something at the end?\My body will last for another ten minutes or so. response:	I will g
context: The number you have dialed is not in service, or has been temporarily disconnected.\I can't reach Thirteen or Aizawa...\Whatever the reason,\I am neglecting my teaching duties because of what happened outside of work hours.\I did something very foolish.\What if I go say something at the end?\My body will last for another ten minutes or so.\I will g response:	Hold your horses.
context: I can't reach Thirteen or Aizawa...\Whatever the reason,\I am neglecting my teaching duties because of what happened outside of work hours.\I did something very foolish.\What if I go say something at the end?\My body will last for another ten minutes or so.\I will g\Hold your horses. response:	Principal Nezu!
context: Whatever the reason,\I am neglecting my teaching duties because of what happened outside of work hours.\I did something very foolish.\What if I go say something at the end?\My body will last for another ten minutes or so.\I will g\Hold your horses.\Principal Nezu! response:	Yes!
context: I am neglecting my teaching duties because of what happened outside of work hours.\I did something very foolish.\What if I go say something at the end?\My body will last for another ten minutes or so.\I will g\Hold your horses.\Principal Nezu!\Yes! response:	Am I a mouse? A dog? A bear?
context: I did something very foolish.\What if I go say something at the end?\My body will last for another ten minutes or so.\I will g\Hold your horses.\Principal Nezu!\Yes!\Am I a mouse? A dog? A bear? response:	My real identity is...
context: What if I go say something at the end?\My body will last for another ten minutes or so.\I will g\Hold your horses.\Principal Nezu!\Yes!\Am I a mouse? A dog? A bear?\My real identity is... response:	Your fur is well-groomed today, as usual.
context: My body will last for another ten minutes or so.\I will g\Hold your horses.\Principal Nezu!\Yes!\Am I a mouse? A dog? A bear?\My real identity is...\Your fur is well-groomed today, as usual. response:	The secret is keratin.
context: I will g\Hold your horses.\Principal Nezu!\Yes!\Am I a mouse? A dog? A bear?\My real identity is...\Your fur is well-groomed today, as usual.\The secret is keratin. response:	Humans can't get this kind of color and luster.
context: Hold your horses.\Principal Nezu!\Yes!\Am I a mouse? A dog? A bear?\My real identity is...\Your fur is well-groomed today, as usual.\The secret is keratin.\Humans can't get this kind of color and luster. response:	But let's talk about that later.
context: Principal Nezu!\Yes!\Am I a mouse? A dog? A bear?\My real identity is...\Your fur is well-groomed today, as usual.\The secret is keratin.\Humans can't get this kind of color and luster.\But let's talk about that later. response:	Look at this!
context: Yes!\Am I a mouse? A dog? A bear?\My real identity is...\Your fur is well-groomed today, as usual.\The secret is keratin.\Humans can't get this kind of color and luster.\But let's talk about that later.\Look at this! response:	All Might Resolves Three Incidents in Only One Hour!
context: Am I a mouse? A dog? A bear?\My real identity is...\Your fur is well-groomed today, as usual.\The secret is keratin.\Humans can't get this kind of color and luster.\But let's talk about that later.\Look at this!\All Might Resolves Three Incidents in Only One Hour! response:	The fault mainly lies with the ruffians who still cause trouble in this town even with you here...
context: My real identity is...\Your fur is well-groomed today, as usual.\The secret is keratin.\Humans can't get this kind of color and luster.\But let's talk about that later.\Look at this!\All Might Resolves Three Incidents in Only One Hour!\The fault mainly lies with the ruffians who still cause trouble in this town even with you here... response:	You really haven't changed at all, have you?
context: Your fur is well-groomed today, as usual.\The secret is keratin.\Humans can't get this kind of color and luster.\But let's talk about that later.\Look at this!\All Might Resolves Three Incidents in Only One Hour!\The fault mainly lies with the ruffians who still cause trouble in this town even with you here...\You really haven't changed at all, have you? response:	Your hero activities are limited because of your injury and its aftereffects.
context: The secret is keratin.\Humans can't get this kind of color and luster.\But let's talk about that later.\Look at this!\All Might Resolves Three Incidents in Only One Hour!\The fault mainly lies with the ruffians who still cause trouble in this town even with you here...\You really haven't changed at all, have you?\Your hero activities are limited because of your injury and its aftereffects. response:	Along with that, you need to train your One For All successor.
context: Humans can't get this kind of color and luster.\But let's talk about that later.\Look at this!\All Might Resolves Three Incidents in Only One Hour!\The fault mainly lies with the ruffians who still cause trouble in this town even with you here...\You really haven't changed at all, have you?\Your hero activities are limited because of your injury and its aftereffects.\Along with that, you need to train your One For All successor. response:	Since you insist on remaining the Symbol of Peace,
context: But let's talk about that later.\Look at this!\All Might Resolves Three Incidents in Only One Hour!\The fault mainly lies with the ruffians who still cause trouble in this town even with you here...\You really haven't changed at all, have you?\Your hero activities are limited because of your injury and its aftereffects.\Along with that, you need to train your One For All successor.\Since you insist on remaining the Symbol of Peace, response:	the only way you can keep the world from finding out about both of those
context: Look at this!\All Might Resolves Three Incidents in Only One Hour!\The fault mainly lies with the ruffians who still cause trouble in this town even with you here...\You really haven't changed at all, have you?\Your hero activities are limited because of your injury and its aftereffects.\Along with that, you need to train your One For All successor.\Since you insist on remaining the Symbol of Peace,\the only way you can keep the world from finding out about both of those response:	is for you to come here.
context: All Might Resolves Three Incidents in Only One Hour!\The fault mainly lies with the ruffians who still cause trouble in this town even with you here...\You really haven't changed at all, have you?\Your hero activities are limited because of your injury and its aftereffects.\Along with that, you need to train your One For All successor.\Since you insist on remaining the Symbol of Peace,\the only way you can keep the world from finding out about both of those\is for you to come here. response:	That's why I suggested you become a teacher.
context: The fault mainly lies with the ruffians who still cause trouble in this town even with you here...\You really haven't changed at all, have you?\Your hero activities are limited because of your injury and its aftereffects.\Along with that, you need to train your One For All successor.\Since you insist on remaining the Symbol of Peace,\the only way you can keep the world from finding out about both of those\is for you to come here.\That's why I suggested you become a teacher. response:	I think you can stay here and relax for a little longer.
context: You really haven't changed at all, have you?\Your hero activities are limited because of your injury and its aftereffects.\Along with that, you need to train your One For All successor.\Since you insist on remaining the Symbol of Peace,\the only way you can keep the world from finding out about both of those\is for you to come here.\That's why I suggested you become a teacher.\I think you can stay here and relax for a little longer. response:	In actuality, you can only teach this next class for a little bit, right?
context: Your hero activities are limited because of your injury and its aftereffects.\Along with that, you need to train your One For All successor.\Since you insist on remaining the Symbol of Peace,\the only way you can keep the world from finding out about both of those\is for you to come here.\That's why I suggested you become a teacher.\I think you can stay here and relax for a little longer.\In actuality, you can only teach this next class for a little bit, right? response:	I'm the one who suggested it,
context: Along with that, you need to train your One For All successor.\Since you insist on remaining the Symbol of Peace,\the only way you can keep the world from finding out about both of those\is for you to come here.\That's why I suggested you become a teacher.\I think you can stay here and relax for a little longer.\In actuality, you can only teach this next class for a little bit, right?\I'm the one who suggested it, response:	but since you have accepted the position, I wish you'd prioritize your teaching duties.
context: Since you insist on remaining the Symbol of Peace,\the only way you can keep the world from finding out about both of those\is for you to come here.\That's why I suggested you become a teacher.\I think you can stay here and relax for a little longer.\In actuality, you can only teach this next class for a little bit, right?\I'm the one who suggested it,\but since you have accepted the position, I wish you'd prioritize your teaching duties. response:	I mean, there are a lot of hero agencies in this town.
context: the only way you can keep the world from finding out about both of those\is for you to come here.\That's why I suggested you become a teacher.\I think you can stay here and relax for a little longer.\In actuality, you can only teach this next class for a little bit, right?\I'm the one who suggested it,\but since you have accepted the position, I wish you'd prioritize your teaching duties.\I mean, there are a lot of hero agencies in this town. response:	It is as you say.
context: is for you to come here.\That's why I suggested you become a teacher.\I think you can stay here and relax for a little longer.\In actuality, you can only teach this next class for a little bit, right?\I'm the one who suggested it,\but since you have accepted the position, I wish you'd prioritize your teaching duties.\I mean, there are a lot of hero agencies in this town.\It is as you say. response:	But that is why I was preparing to go to USJ.
context: That's why I suggested you become a teacher.\I think you can stay here and relax for a little longer.\In actuality, you can only teach this next class for a little bit, right?\I'm the one who suggested it,\but since you have accepted the position, I wish you'd prioritize your teaching duties.\I mean, there are a lot of hero agencies in this town.\It is as you say.\But that is why I was preparing to go to USJ. response:	Even if you went now, you would be forced to return right away, right?
context: I think you can stay here and relax for a little longer.\In actuality, you can only teach this next class for a little bit, right?\I'm the one who suggested it,\but since you have accepted the position, I wish you'd prioritize your teaching duties.\I mean, there are a lot of hero agencies in this town.\It is as you say.\But that is why I was preparing to go to USJ.\Even if you went now, you would be forced to return right away, right? response:	if that's the case, then you might as well listen to my theories on teaching
context: In actuality, you can only teach this next class for a little bit, right?\I'm the one who suggested it,\but since you have accepted the position, I wish you'd prioritize your teaching duties.\I mean, there are a lot of hero agencies in this town.\It is as you say.\But that is why I was preparing to go to USJ.\Even if you went now, you would be forced to return right away, right?\if that's the case, then you might as well listen to my theories on teaching response:	and use that to help you in the future.
context: I'm the one who suggested it,\but since you have accepted the position, I wish you'd prioritize your teaching duties.\I mean, there are a lot of hero agencies in this town.\It is as you say.\But that is why I was preparing to go to USJ.\Even if you went now, you would be forced to return right away, right?\if that's the case, then you might as well listen to my theories on teaching\and use that to help you in the future. response:	He's pouring tea...
context: but since you have accepted the position, I wish you'd prioritize your teaching duties.\I mean, there are a lot of hero agencies in this town.\It is as you say.\But that is why I was preparing to go to USJ.\Even if you went now, you would be forced to return right away, right?\if that's the case, then you might as well listen to my theories on teaching\and use that to help you in the future.\He's pouring tea... response:	Have a drink.
context: I mean, there are a lot of hero agencies in this town.\It is as you say.\But that is why I was preparing to go to USJ.\Even if you went now, you would be forced to return right away, right?\if that's the case, then you might as well listen to my theories on teaching\and use that to help you in the future.\He's pouring tea...\Have a drink. response:	He's always been long-winded.
context: It is as you say.\But that is why I was preparing to go to USJ.\Even if you went now, you would be forced to return right away, right?\if that's the case, then you might as well listen to my theories on teaching\and use that to help you in the future.\He's pouring tea...\Have a drink.\He's always been long-winded. response:	What bothers me most is that I didn't get a voicemail and couldn't connect at all...
context: But that is why I was preparing to go to USJ.\Even if you went now, you would be forced to return right away, right?\if that's the case, then you might as well listen to my theories on teaching\and use that to help you in the future.\He's pouring tea...\Have a drink.\He's always been long-winded.\What bothers me most is that I didn't get a voicemail and couldn't connect at all... response:	First of all, regarding the vulnerability and responsibility of being both hero and teacher...
context: Even if you went now, you would be forced to return right away, right?\if that's the case, then you might as well listen to my theories on teaching\and use that to help you in the future.\He's pouring tea...\Have a drink.\He's always been long-winded.\What bothers me most is that I didn't get a voicemail and couldn't connect at all...\First of all, regarding the vulnerability and responsibility of being both hero and teacher... response:	You haven't changed at all either, sir.
context: if that's the case, then you might as well listen to my theories on teaching\and use that to help you in the future.\He's pouring tea...\Have a drink.\He's always been long-winded.\What bothers me most is that I didn't get a voicemail and couldn't connect at all...\First of all, regarding the vulnerability and responsibility of being both hero and teacher...\You haven't changed at all either, sir. response:	Shouji!
context: and use that to help you in the future.\He's pouring tea...\Have a drink.\He's always been long-winded.\What bothers me most is that I didn't get a voicemail and couldn't connect at all...\First of all, regarding the vulnerability and responsibility of being both hero and teacher...\You haven't changed at all either, sir.\Shouji! response:	Is everyone here?
context: He's pouring tea...\Have a drink.\He's always been long-winded.\What bothers me most is that I didn't get a voicemail and couldn't connect at all...\First of all, regarding the vulnerability and responsibility of being both hero and teacher...\You haven't changed at all either, sir.\Shouji!\Is everyone here? response:	Can you check?
context: Have a drink.\He's always been long-winded.\What bothers me most is that I didn't get a voicemail and couldn't connect at all...\First of all, regarding the vulnerability and responsibility of being both hero and teacher...\You haven't changed at all either, sir.\Shouji!\Is everyone here?\Can you check? response:	Everyone's scattered, but they're all in this building.
context: He's always been long-winded.\What bothers me most is that I didn't get a voicemail and couldn't connect at all...\First of all, regarding the vulnerability and responsibility of being both hero and teacher...\You haven't changed at all either, sir.\Shouji!\Is everyone here?\Can you check?\Everyone's scattered, but they're all in this building. response:	Damn it, physical attacks can't hit him, and he can warp things...
context: What bothers me most is that I didn't get a voicemail and couldn't connect at all...\First of all, regarding the vulnerability and responsibility of being both hero and teacher...\You haven't changed at all either, sir.\Shouji!\Is everyone here?\Can you check?\Everyone's scattered, but they're all in this building.\Damn it, physical attacks can't hit him, and he can warp things... response:	His Quirk's the worst!
context: First of all, regarding the vulnerability and responsibility of being both hero and teacher...\You haven't changed at all either, sir.\Shouji!\Is everyone here?\Can you check?\Everyone's scattered, but they're all in this building.\Damn it, physical attacks can't hit him, and he can warp things...\His Quirk's the worst! response:	Class rep!
context: You haven't changed at all either, sir.\Shouji!\Is everyone here?\Can you check?\Everyone's scattered, but they're all in this building.\Damn it, physical attacks can't hit him, and he can warp things...\His Quirk's the worst!\Class rep! response:	Yes?
context: Shouji!\Is everyone here?\Can you check?\Everyone's scattered, but they're all in this building.\Damn it, physical attacks can't hit him, and he can warp things...\His Quirk's the worst!\Class rep!\Yes? response:	I entrust this duty to you.
context: Is everyone here?\Can you check?\Everyone's scattered, but they're all in this building.\Damn it, physical attacks can't hit him, and he can warp things...\His Quirk's the worst!\Class rep!\Yes?\I entrust this duty to you. response:	Run to the school and tell them about what is happening here.
context: Can you check?\Everyone's scattered, but they're all in this building.\Damn it, physical attacks can't hit him, and he can warp things...\His Quirk's the worst!\Class rep!\Yes?\I entrust this duty to you.\Run to the school and tell them about what is happening here. response:	The alarms are not sounding, and our phones don't have signal.
context: Everyone's scattered, but they're all in this building.\Damn it, physical attacks can't hit him, and he can warp things...\His Quirk's the worst!\Class rep!\Yes?\I entrust this duty to you.\Run to the school and tell them about what is happening here.\The alarms are not sounding, and our phones don't have signal. response:	The alarm system is based on infrared rays.
context: Damn it, physical attacks can't hit him, and he can warp things...\His Quirk's the worst!\Class rep!\Yes?\I entrust this duty to you.\Run to the school and tell them about what is happening here.\The alarms are not sounding, and our phones don't have signal.\The alarm system is based on infrared rays. response:	Even though Eraser Head is erasing people's Quirks left and right,
context: His Quirk's the worst!\Class rep!\Yes?\I entrust this duty to you.\Run to the school and tell them about what is happening here.\The alarms are not sounding, and our phones don't have signal.\The alarm system is based on infrared rays.\Even though Eraser Head is erasing people's Quirks left and right, response:	they are still not working...
context: Class rep!\Yes?\I entrust this duty to you.\Run to the school and tell them about what is happening here.\The alarms are not sounding, and our phones don't have signal.\The alarm system is based on infrared rays.\Even though Eraser Head is erasing people's Quirks left and right,\they are still not working... response:	It would be faster for you to run than for us to find that person.
context: Yes?\I entrust this duty to you.\Run to the school and tell them about what is happening here.\The alarms are not sounding, and our phones don't have signal.\The alarm system is based on infrared rays.\Even though Eraser Head is erasing people's Quirks left and right,\they are still not working...\It would be faster for you to run than for us to find that person. response:	But it would be a disgrace as class rep to leave everyone behind
context: I entrust this duty to you.\Run to the school and tell them about what is happening here.\The alarms are not sounding, and our phones don't have signal.\The alarm system is based on infrared rays.\Even though Eraser Head is erasing people's Quirks left and right,\they are still not working...\It would be faster for you to run than for us to find that person.\But it would be a disgrace as class rep to leave everyone behind response:	Go, Emergency Exit!
context: Run to the school and tell them about what is happening here.\The alarms are not sounding, and our phones don't have signal.\The alarm system is based on infrared rays.\Even though Eraser Head is erasing people's Quirks left and right,\they are still not working...\It would be faster for you to run than for us to find that person.\But it would be a disgrace as class rep to leave everyone behind\Go, Emergency Exit! response:	If you can get outside, there are alarms.
context: The alarms are not sounding, and our phones don't have signal.\The alarm system is based on infrared rays.\Even though Eraser Head is erasing people's Quirks left and right,\they are still not working...\It would be faster for you to run than for us to find that person.\But it would be a disgrace as class rep to leave everyone behind\Go, Emergency Exit!\If you can get outside, there are alarms. response:	That's why these guys are only doing this inside, right?
context: The alarm system is based on infrared rays.\Even though Eraser Head is erasing people's Quirks left and right,\they are still not working...\It would be faster for you to run than for us to find that person.\But it would be a disgrace as class rep to leave everyone behind\Go, Emergency Exit!\If you can get outside, there are alarms.\That's why these guys are only doing this inside, right? response:	As long as you go outside, they won't follow you!
context: Even though Eraser Head is erasing people's Quirks left and right,\they are still not working...\It would be faster for you to run than for us to find that person.\But it would be a disgrace as class rep to leave everyone behind\Go, Emergency Exit!\If you can get outside, there are alarms.\That's why these guys are only doing this inside, right?\As long as you go outside, they won't follow you! response:	Blow away this fog with your legs!
context: they are still not working...\It would be faster for you to run than for us to find that person.\But it would be a disgrace as class rep to leave everyone behind\Go, Emergency Exit!\If you can get outside, there are alarms.\That's why these guys are only doing this inside, right?\As long as you go outside, they won't follow you!\Blow away this fog with your legs! response:	Use your Quirk in order to save others!
context: It would be faster for you to run than for us to find that person.\But it would be a disgrace as class rep to leave everyone behind\Go, Emergency Exit!\If you can get outside, there are alarms.\That's why these guys are only doing this inside, right?\As long as you go outside, they won't follow you!\Blow away this fog with your legs!\Use your Quirk in order to save others! response:	I can totally support you like I did in the cafeteria!
context: But it would be a disgrace as class rep to leave everyone behind\Go, Emergency Exit!\If you can get outside, there are alarms.\That's why these guys are only doing this inside, right?\As long as you go outside, they won't follow you!\Blow away this fog with your legs!\Use your Quirk in order to save others!\I can totally support you like I did in the cafeteria! response:	I will!
context: Go, Emergency Exit!\If you can get outside, there are alarms.\That's why these guys are only doing this inside, right?\As long as you go outside, they won't follow you!\Blow away this fog with your legs!\Use your Quirk in order to save others!\I can totally support you like I did in the cafeteria!\I will! response:	Please, class rep!
context: If you can get outside, there are alarms.\That's why these guys are only doing this inside, right?\As long as you go outside, they won't follow you!\Blow away this fog with your legs!\Use your Quirk in order to save others!\I can totally support you like I did in the cafeteria!\I will!\Please, class rep! response:	Even if you have no other choice,
context: That's why these guys are only doing this inside, right?\As long as you go outside, they won't follow you!\Blow away this fog with your legs!\Use your Quirk in order to save others!\I can totally support you like I did in the cafeteria!\I will!\Please, class rep!\Even if you have no other choice, response:	are there really idiots who talk about their plans in front of the enemy?!
context: As long as you go outside, they won't follow you!\Blow away this fog with your legs!\Use your Quirk in order to save others!\I can totally support you like I did in the cafeteria!\I will!\Please, class rep!\Even if you have no other choice,\are there really idiots who talk about their plans in front of the enemy?! response:	We did it because it doesn't matter if we're found out!
context: Blow away this fog with your legs!\Use your Quirk in order to save others!\I can totally support you like I did in the cafeteria!\I will!\Please, class rep!\Even if you have no other choice,\are there really idiots who talk about their plans in front of the enemy?!\We did it because it doesn't matter if we're found out! response:	Black Hole!
context: Use your Quirk in order to save others!\I can totally support you like I did in the cafeteria!\I will!\Please, class rep!\Even if you have no other choice,\are there really idiots who talk about their plans in front of the enemy?!\We did it because it doesn't matter if we're found out!\Black Hole! response:	What do you mean, fight?
context: I can totally support you like I did in the cafeteria!\I will!\Please, class rep!\Even if you have no other choice,\are there really idiots who talk about their plans in front of the enemy?!\We did it because it doesn't matter if we're found out!\Black Hole!\What do you mean, fight? response:	Are you stupid?!
context: I will!\Please, class rep!\Even if you have no other choice,\are there really idiots who talk about their plans in front of the enemy?!\We did it because it doesn't matter if we're found out!\Black Hole!\What do you mean, fight?\Are you stupid?! response:	These guys might kill All Might, right?
context: Please, class rep!\Even if you have no other choice,\are there really idiots who talk about their plans in front of the enemy?!\We did it because it doesn't matter if we're found out!\Black Hole!\What do you mean, fight?\Are you stupid?!\These guys might kill All Might, right? response:	You're contradicting yourself, Midoriya!
context: Even if you have no other choice,\are there really idiots who talk about their plans in front of the enemy?!\We did it because it doesn't matter if we're found out!\Black Hole!\What do you mean, fight?\Are you stupid?!\These guys might kill All Might, right?\You're contradicting yourself, Midoriya! response:	The best plan would be to sit tight and wait for the U.A. heroes to come save us, of course!
context: are there really idiots who talk about their plans in front of the enemy?!\We did it because it doesn't matter if we're found out!\Black Hole!\What do you mean, fight?\Are you stupid?!\These guys might kill All Might, right?\You're contradicting yourself, Midoriya!\The best plan would be to sit tight and wait for the U.A. heroes to come save us, of course! response:	Mineta...
context: We did it because it doesn't matter if we're found out!\Black Hole!\What do you mean, fight?\Are you stupid?!\These guys might kill All Might, right?\You're contradicting yourself, Midoriya!\The best plan would be to sit tight and wait for the U.A. heroes to come save us, of course!\Mineta... response:	Are you ignoring me?!
context: Black Hole!\What do you mean, fight?\Are you stupid?!\These guys might kill All Might, right?\You're contradicting yourself, Midoriya!\The best plan would be to sit tight and wait for the U.A. heroes to come save us, of course!\Mineta...\Are you ignoring me?! response:	Does that mean they knew what was in these facilities before they gathered people?
context: What do you mean, fight?\Are you stupid?!\These guys might kill All Might, right?\You're contradicting yourself, Midoriya!\The best plan would be to sit tight and wait for the U.A. heroes to come save us, of course!\Mineta...\Are you ignoring me?!\Does that mean they knew what was in these facilities before they gathered people? response:	Yeah.
context: Are you stupid?!\These guys might kill All Might, right?\You're contradicting yourself, Midoriya!\The best plan would be to sit tight and wait for the U.A. heroes to come save us, of course!\Mineta...\Are you ignoring me?!\Does that mean they knew what was in these facilities before they gathered people?\Yeah. response:	For people who gathered that much intel so meticulously,
context: These guys might kill All Might, right?\You're contradicting yourself, Midoriya!\The best plan would be to sit tight and wait for the U.A. heroes to come save us, of course!\Mineta...\Are you ignoring me?!\Does that mean they knew what was in these facilities before they gathered people?\Yeah.\For people who gathered that much intel so meticulously, response:	there's something strange.
context: You're contradicting yourself, Midoriya!\The best plan would be to sit tight and wait for the U.A. heroes to come save us, of course!\Mineta...\Are you ignoring me?!\Does that mean they knew what was in these facilities before they gathered people?\Yeah.\For people who gathered that much intel so meticulously,\there's something strange. response:	They sent you, Asu
context: The best plan would be to sit tight and wait for the U.A. heroes to come save us, of course!\Mineta...\Are you ignoring me?!\Does that mean they knew what was in these facilities before they gathered people?\Yeah.\For people who gathered that much intel so meticulously,\there's something strange.\They sent you, Asu response:	Ribbit?
context: Mineta...\Are you ignoring me?!\Does that mean they knew what was in these facilities before they gathered people?\Yeah.\For people who gathered that much intel so meticulously,\there's something strange.\They sent you, Asu\Ribbit? response:	I mean, T-Tsu to the shipwreck zone.
