context: Hyakkimaru got injured due to the sudden return of his hearing. response:	A girl named Mio took him in.
context: Hyogo, Mutsu, help him down!\Mother, look at me!\-Please, Young Master! -Do come down!\Young Master!\Please, you mustn't be up there!\Do you hear me?\There is something else that Mother cares for much more in this world.\She will never say it, but she is hiding something. response:	Not just Mother. It's the same for Father, too.
context: Mother, look at me!\-Please, Young Master! -Do come down!\Young Master!\Please, you mustn't be up there!\Do you hear me?\There is something else that Mother cares for much more in this world.\She will never say it, but she is hiding something.\Not just Mother. It's the same for Father, too. response:	You, I, this domain. We all sit atop a small cornerstone.
context: -Please, Young Master! -Do come down!\Young Master!\Please, you mustn't be up there!\Do you hear me?\There is something else that Mother cares for much more in this world.\She will never say it, but she is hiding something.\Not just Mother. It's the same for Father, too.\You, I, this domain. We all sit atop a small cornerstone. response:	Please do not forget that.
context: Young Master!\Please, you mustn't be up there!\Do you hear me?\There is something else that Mother cares for much more in this world.\She will never say it, but she is hiding something.\Not just Mother. It's the same for Father, too.\You, I, this domain. We all sit atop a small cornerstone.\Please do not forget that. response:	What can they be hiding?
context: Please, you mustn't be up there!\Do you hear me?\There is something else that Mother cares for much more in this world.\She will never say it, but she is hiding something.\Not just Mother. It's the same for Father, too.\You, I, this domain. We all sit atop a small cornerstone.\Please do not forget that.\What can they be hiding? response:	Hyakkimaru!
context: Do you hear me?\There is something else that Mother cares for much more in this world.\She will never say it, but she is hiding something.\Not just Mother. It's the same for Father, too.\You, I, this domain. We all sit atop a small cornerstone.\Please do not forget that.\What can they be hiding?\Hyakkimaru! response:	You must stay put.
context: There is something else that Mother cares for much more in this world.\She will never say it, but she is hiding something.\Not just Mother. It's the same for Father, too.\You, I, this domain. We all sit atop a small cornerstone.\Please do not forget that.\What can they be hiding?\Hyakkimaru!\You must stay put. response:	You mustn't go. I understand that you're frustrated, but what if you die?
context: She will never say it, but she is hiding something.\Not just Mother. It's the same for Father, too.\You, I, this domain. We all sit atop a small cornerstone.\Please do not forget that.\What can they be hiding?\Hyakkimaru!\You must stay put.\You mustn't go. I understand that you're frustrated, but what if you die? response:	I pushed myself too hard as well, so I get it.
context: Not just Mother. It's the same for Father, too.\You, I, this domain. We all sit atop a small cornerstone.\Please do not forget that.\What can they be hiding?\Hyakkimaru!\You must stay put.\You mustn't go. I understand that you're frustrated, but what if you die?\I pushed myself too hard as well, so I get it. response:	I'm so stupid.
context: You, I, this domain. We all sit atop a small cornerstone.\Please do not forget that.\What can they be hiding?\Hyakkimaru!\You must stay put.\You mustn't go. I understand that you're frustrated, but what if you die?\I pushed myself too hard as well, so I get it.\I'm so stupid. response:	I knew it wasn't easy to make money.
context: Please do not forget that.\What can they be hiding?\Hyakkimaru!\You must stay put.\You mustn't go. I understand that you're frustrated, but what if you die?\I pushed myself too hard as well, so I get it.\I'm so stupid.\I knew it wasn't easy to make money. response:	No, no.
context: What can they be hiding?\Hyakkimaru!\You must stay put.\You mustn't go. I understand that you're frustrated, but what if you die?\I pushed myself too hard as well, so I get it.\I'm so stupid.\I knew it wasn't easy to make money.\No, no. response:	I'd already promised I'd never cry because of a samurai ever again.
context: Hyakkimaru!\You must stay put.\You mustn't go. I understand that you're frustrated, but what if you die?\I pushed myself too hard as well, so I get it.\I'm so stupid.\I knew it wasn't easy to make money.\No, no.\I'd already promised I'd never cry because of a samurai ever again. response:	You too. If you try too hard and die, you lose.
context: You must stay put.\You mustn't go. I understand that you're frustrated, but what if you die?\I pushed myself too hard as well, so I get it.\I'm so stupid.\I knew it wasn't easy to make money.\No, no.\I'd already promised I'd never cry because of a samurai ever again.\You too. If you try too hard and die, you lose. response:	Anyways, I heard you found your voice.
context: You mustn't go. I understand that you're frustrated, but what if you die?\I pushed myself too hard as well, so I get it.\I'm so stupid.\I knew it wasn't easy to make money.\No, no.\I'd already promised I'd never cry because of a samurai ever again.\You too. If you try too hard and die, you lose.\Anyways, I heard you found your voice. response:	That's amazing. Try to say something.
context: I pushed myself too hard as well, so I get it.\I'm so stupid.\I knew it wasn't easy to make money.\No, no.\I'd already promised I'd never cry because of a samurai ever again.\You too. If you try too hard and die, you lose.\Anyways, I heard you found your voice.\That's amazing. Try to say something. response:	Is your voice too loud for you?
context: I'm so stupid.\I knew it wasn't easy to make money.\No, no.\I'd already promised I'd never cry because of a samurai ever again.\You too. If you try too hard and die, you lose.\Anyways, I heard you found your voice.\That's amazing. Try to say something.\Is your voice too loud for you? response:	Really.
context: I knew it wasn't easy to make money.\No, no.\I'd already promised I'd never cry because of a samurai ever again.\You too. If you try too hard and die, you lose.\Anyways, I heard you found your voice.\That's amazing. Try to say something.\Is your voice too loud for you?\Really. response:	You'll get used to it.
context: No, no.\I'd already promised I'd never cry because of a samurai ever again.\You too. If you try too hard and die, you lose.\Anyways, I heard you found your voice.\That's amazing. Try to say something.\Is your voice too loud for you?\Really.\You'll get used to it. response:	Dororo said you were like a beast in a cave the way you are now.
context: I'd already promised I'd never cry because of a samurai ever again.\You too. If you try too hard and die, you lose.\Anyways, I heard you found your voice.\That's amazing. Try to say something.\Is your voice too loud for you?\Really.\You'll get used to it.\Dororo said you were like a beast in a cave the way you are now. response:	How about a song? You like songs, right?
context: You too. If you try too hard and die, you lose.\Anyways, I heard you found your voice.\That's amazing. Try to say something.\Is your voice too loud for you?\Really.\You'll get used to it.\Dororo said you were like a beast in a cave the way you are now.\How about a song? You like songs, right? response:	Pick a red flower
context: Anyways, I heard you found your voice.\That's amazing. Try to say something.\Is your voice too loud for you?\Really.\You'll get used to it.\Dororo said you were like a beast in a cave the way you are now.\How about a song? You like songs, right?\Pick a red flower response:	I sing whenever I feel sad.
context: That's amazing. Try to say something.\Is your voice too loud for you?\Really.\You'll get used to it.\Dororo said you were like a beast in a cave the way you are now.\How about a song? You like songs, right?\Pick a red flower\I sing whenever I feel sad. response:	Instead of crying.
context: Is your voice too loud for you?\Really.\You'll get used to it.\Dororo said you were like a beast in a cave the way you are now.\How about a song? You like songs, right?\Pick a red flower\I sing whenever I feel sad.\Instead of crying. response:	Pick a red flower
context: Really.\You'll get used to it.\Dororo said you were like a beast in a cave the way you are now.\How about a song? You like songs, right?\Pick a red flower\I sing whenever I feel sad.\Instead of crying.\Pick a red flower response:	To give to her
context: You'll get used to it.\Dororo said you were like a beast in a cave the way you are now.\How about a song? You like songs, right?\Pick a red flower\I sing whenever I feel sad.\Instead of crying.\Pick a red flower\To give to her response:	In her hair
context: Dororo said you were like a beast in a cave the way you are now.\How about a song? You like songs, right?\Pick a red flower\I sing whenever I feel sad.\Instead of crying.\Pick a red flower\To give to her\In her hair response:	I will put the flower
context: How about a song? You like songs, right?\Pick a red flower\I sing whenever I feel sad.\Instead of crying.\Pick a red flower\To give to her\In her hair\I will put the flower response:	You're leaving?
context: Pick a red flower\I sing whenever I feel sad.\Instead of crying.\Pick a red flower\To give to her\In her hair\I will put the flower\You're leaving? response:	Yes, just like that girl says, I'll take it slowly.
context: I sing whenever I feel sad.\Instead of crying.\Pick a red flower\To give to her\In her hair\I will put the flower\You're leaving?\Yes, just like that girl says, I'll take it slowly. response:	I'll just go around the place the monster is. I'm in no hurry anyway.
context: Instead of crying.\Pick a red flower\To give to her\In her hair\I will put the flower\You're leaving?\Yes, just like that girl says, I'll take it slowly.\I'll just go around the place the monster is. I'm in no hurry anyway. response:	Although it'd be useless to try and tell Hyakkimaru that.
context: Pick a red flower\To give to her\In her hair\I will put the flower\You're leaving?\Yes, just like that girl says, I'll take it slowly.\I'll just go around the place the monster is. I'm in no hurry anyway.\Although it'd be useless to try and tell Hyakkimaru that. response:	Why's that?
context: To give to her\In her hair\I will put the flower\You're leaving?\Yes, just like that girl says, I'll take it slowly.\I'll just go around the place the monster is. I'm in no hurry anyway.\Although it'd be useless to try and tell Hyakkimaru that.\Why's that? response:	If you take a toy from a baby, it'll get mad and take it back.
context: In her hair\I will put the flower\You're leaving?\Yes, just like that girl says, I'll take it slowly.\I'll just go around the place the monster is. I'm in no hurry anyway.\Although it'd be useless to try and tell Hyakkimaru that.\Why's that?\If you take a toy from a baby, it'll get mad and take it back. response:	Same as that.
context: I will put the flower\You're leaving?\Yes, just like that girl says, I'll take it slowly.\I'll just go around the place the monster is. I'm in no hurry anyway.\Although it'd be useless to try and tell Hyakkimaru that.\Why's that?\If you take a toy from a baby, it'll get mad and take it back.\Same as that. response:	Especially since what they took from him is his own body.
context: You're leaving?\Yes, just like that girl says, I'll take it slowly.\I'll just go around the place the monster is. I'm in no hurry anyway.\Although it'd be useless to try and tell Hyakkimaru that.\Why's that?\If you take a toy from a baby, it'll get mad and take it back.\Same as that.\Especially since what they took from him is his own body. response:	He's calm when he's listening to that song.
context: Yes, just like that girl says, I'll take it slowly.\I'll just go around the place the monster is. I'm in no hurry anyway.\Although it'd be useless to try and tell Hyakkimaru that.\Why's that?\If you take a toy from a baby, it'll get mad and take it back.\Same as that.\Especially since what they took from him is his own body.\He's calm when he's listening to that song. response:	What do you mean?
context: I'll just go around the place the monster is. I'm in no hurry anyway.\Although it'd be useless to try and tell Hyakkimaru that.\Why's that?\If you take a toy from a baby, it'll get mad and take it back.\Same as that.\Especially since what they took from him is his own body.\He's calm when he's listening to that song.\What do you mean? response:	The demon flames Hyakkimaru has had since he was a baby.
context: Although it'd be useless to try and tell Hyakkimaru that.\Why's that?\If you take a toy from a baby, it'll get mad and take it back.\Same as that.\Especially since what they took from him is his own body.\He's calm when he's listening to that song.\What do you mean?\The demon flames Hyakkimaru has had since he was a baby. response:	You could say they're the embers left from when they took his body.
context: Why's that?\If you take a toy from a baby, it'll get mad and take it back.\Same as that.\Especially since what they took from him is his own body.\He's calm when he's listening to that song.\What do you mean?\The demon flames Hyakkimaru has had since he was a baby.\You could say they're the embers left from when they took his body. response:	You better hope the beast that comes out of the cave isn't a monster.
context: If you take a toy from a baby, it'll get mad and take it back.\Same as that.\Especially since what they took from him is his own body.\He's calm when he's listening to that song.\What do you mean?\The demon flames Hyakkimaru has had since he was a baby.\You could say they're the embers left from when they took his body.\You better hope the beast that comes out of the cave isn't a monster. response:	Bye now.
context: Same as that.\Especially since what they took from him is his own body.\He's calm when he's listening to that song.\What do you mean?\The demon flames Hyakkimaru has had since he was a baby.\You could say they're the embers left from when they took his body.\You better hope the beast that comes out of the cave isn't a monster.\Bye now. response:	Don't look at me so much.
context: Especially since what they took from him is his own body.\He's calm when he's listening to that song.\What do you mean?\The demon flames Hyakkimaru has had since he was a baby.\You could say they're the embers left from when they took his body.\You better hope the beast that comes out of the cave isn't a monster.\Bye now.\Don't look at me so much. response:	You can see people's souls, right? The colors of them.
context: He's calm when he's listening to that song.\What do you mean?\The demon flames Hyakkimaru has had since he was a baby.\You could say they're the embers left from when they took his body.\You better hope the beast that comes out of the cave isn't a monster.\Bye now.\Don't look at me so much.\You can see people's souls, right? The colors of them. response:	Please don't look at mine.
context: What do you mean?\The demon flames Hyakkimaru has had since he was a baby.\You could say they're the embers left from when they took his body.\You better hope the beast that comes out of the cave isn't a monster.\Bye now.\Don't look at me so much.\You can see people's souls, right? The colors of them.\Please don't look at mine. response:	It's probably filthy. Really filthy.
context: The demon flames Hyakkimaru has had since he was a baby.\You could say they're the embers left from when they took his body.\You better hope the beast that comes out of the cave isn't a monster.\Bye now.\Don't look at me so much.\You can see people's souls, right? The colors of them.\Please don't look at mine.\It's probably filthy. Really filthy. response:	How strange. I don't loathe these hands.
context: You could say they're the embers left from when they took his body.\You better hope the beast that comes out of the cave isn't a monster.\Bye now.\Don't look at me so much.\You can see people's souls, right? The colors of them.\Please don't look at mine.\It's probably filthy. Really filthy.\How strange. I don't loathe these hands. response:	Lord Daigo is angry.
context: You better hope the beast that comes out of the cave isn't a monster.\Bye now.\Don't look at me so much.\You can see people's souls, right? The colors of them.\Please don't look at mine.\It's probably filthy. Really filthy.\How strange. I don't loathe these hands.\Lord Daigo is angry. response:	So no provisions?
context: Bye now.\Don't look at me so much.\You can see people's souls, right? The colors of them.\Please don't look at mine.\It's probably filthy. Really filthy.\How strange. I don't loathe these hands.\Lord Daigo is angry.\So no provisions? response:	He'll send them. Reinforcements, too.
context: Don't look at me so much.\You can see people's souls, right? The colors of them.\Please don't look at mine.\It's probably filthy. Really filthy.\How strange. I don't loathe these hands.\Lord Daigo is angry.\So no provisions?\He'll send them. Reinforcements, too. response:	But it would be an embarrassment to wait.
context: You can see people's souls, right? The colors of them.\Please don't look at mine.\It's probably filthy. Really filthy.\How strange. I don't loathe these hands.\Lord Daigo is angry.\So no provisions?\He'll send them. Reinforcements, too.\But it would be an embarrassment to wait. response:	We will plan a surprise attack. Don't let them sense it.
context: Please don't look at mine.\It's probably filthy. Really filthy.\How strange. I don't loathe these hands.\Lord Daigo is angry.\So no provisions?\He'll send them. Reinforcements, too.\But it would be an embarrassment to wait.\We will plan a surprise attack. Don't let them sense it. response:	Tell everyone to be on the watch for Sakai spies.
context: It's probably filthy. Really filthy.\How strange. I don't loathe these hands.\Lord Daigo is angry.\So no provisions?\He'll send them. Reinforcements, too.\But it would be an embarrassment to wait.\We will plan a surprise attack. Don't let them sense it.\Tell everyone to be on the watch for Sakai spies. response:	Yes, sir!
context: How strange. I don't loathe these hands.\Lord Daigo is angry.\So no provisions?\He'll send them. Reinforcements, too.\But it would be an embarrassment to wait.\We will plan a surprise attack. Don't let them sense it.\Tell everyone to be on the watch for Sakai spies.\Yes, sir! response:	Going to work?
context: Lord Daigo is angry.\So no provisions?\He'll send them. Reinforcements, too.\But it would be an embarrassment to wait.\We will plan a surprise attack. Don't let them sense it.\Tell everyone to be on the watch for Sakai spies.\Yes, sir!\Going to work? response:	Oh, you know what my job is...
context: So no provisions?\He'll send them. Reinforcements, too.\But it would be an embarrassment to wait.\We will plan a surprise attack. Don't let them sense it.\Tell everyone to be on the watch for Sakai spies.\Yes, sir!\Going to work?\Oh, you know what my job is... response:	I didn't look on purpose!
context: He'll send them. Reinforcements, too.\But it would be an embarrassment to wait.\We will plan a surprise attack. Don't let them sense it.\Tell everyone to be on the watch for Sakai spies.\Yes, sir!\Going to work?\Oh, you know what my job is...\I didn't look on purpose! response:	It's okay, I'm not ashamed about it.
context: But it would be an embarrassment to wait.\We will plan a surprise attack. Don't let them sense it.\Tell everyone to be on the watch for Sakai spies.\Yes, sir!\Going to work?\Oh, you know what my job is...\I didn't look on purpose!\It's okay, I'm not ashamed about it. response:	It's to survive.
context: We will plan a surprise attack. Don't let them sense it.\Tell everyone to be on the watch for Sakai spies.\Yes, sir!\Going to work?\Oh, you know what my job is...\I didn't look on purpose!\It's okay, I'm not ashamed about it.\It's to survive. response:	But I understand if you want to keep your distance.
context: Tell everyone to be on the watch for Sakai spies.\Yes, sir!\Going to work?\Oh, you know what my job is...\I didn't look on purpose!\It's okay, I'm not ashamed about it.\It's to survive.\But I understand if you want to keep your distance. response:	It's not a nice job.
context: Yes, sir!\Going to work?\Oh, you know what my job is...\I didn't look on purpose!\It's okay, I'm not ashamed about it.\It's to survive.\But I understand if you want to keep your distance.\It's not a nice job. response:	But I'm amazed at how a boy your age understood what my job was.
context: Going to work?\Oh, you know what my job is...\I didn't look on purpose!\It's okay, I'm not ashamed about it.\It's to survive.\But I understand if you want to keep your distance.\It's not a nice job.\But I'm amazed at how a boy your age understood what my job was. response:	I traveled around with my mama a lot.
context: Oh, you know what my job is...\I didn't look on purpose!\It's okay, I'm not ashamed about it.\It's to survive.\But I understand if you want to keep your distance.\It's not a nice job.\But I'm amazed at how a boy your age understood what my job was.\I traveled around with my mama a lot. response:	And that's the only job Mama didn't do no matter how hungry we got.
context: I didn't look on purpose!\It's okay, I'm not ashamed about it.\It's to survive.\But I understand if you want to keep your distance.\It's not a nice job.\But I'm amazed at how a boy your age understood what my job was.\I traveled around with my mama a lot.\And that's the only job Mama didn't do no matter how hungry we got. response:	What an admirable mama.
context: It's okay, I'm not ashamed about it.\It's to survive.\But I understand if you want to keep your distance.\It's not a nice job.\But I'm amazed at how a boy your age understood what my job was.\I traveled around with my mama a lot.\And that's the only job Mama didn't do no matter how hungry we got.\What an admirable mama. response:	But Mama...
context: It's to survive.\But I understand if you want to keep your distance.\It's not a nice job.\But I'm amazed at how a boy your age understood what my job was.\I traveled around with my mama a lot.\And that's the only job Mama didn't do no matter how hungry we got.\What an admirable mama.\But Mama... response:	That's how she died...
context: But I understand if you want to keep your distance.\It's not a nice job.\But I'm amazed at how a boy your age understood what my job was.\I traveled around with my mama a lot.\And that's the only job Mama didn't do no matter how hungry we got.\What an admirable mama.\But Mama...\That's how she died... response:	Mama was admirable, but so are you for staying alive.
context: It's not a nice job.\But I'm amazed at how a boy your age understood what my job was.\I traveled around with my mama a lot.\And that's the only job Mama didn't do no matter how hungry we got.\What an admirable mama.\But Mama...\That's how she died...\Mama was admirable, but so are you for staying alive. response:	You are, darn it!
context: But I'm amazed at how a boy your age understood what my job was.\I traveled around with my mama a lot.\And that's the only job Mama didn't do no matter how hungry we got.\What an admirable mama.\But Mama...\That's how she died...\Mama was admirable, but so are you for staying alive.\You are, darn it! response:	You're gonna take back what war took from you, right?
context: I traveled around with my mama a lot.\And that's the only job Mama didn't do no matter how hungry we got.\What an admirable mama.\But Mama...\That's how she died...\Mama was admirable, but so are you for staying alive.\You are, darn it!\You're gonna take back what war took from you, right? response:	Then take it all! Rice paddies, farms, everything!
context: And that's the only job Mama didn't do no matter how hungry we got.\What an admirable mama.\But Mama...\That's how she died...\Mama was admirable, but so are you for staying alive.\You are, darn it!\You're gonna take back what war took from you, right?\Then take it all! Rice paddies, farms, everything! response:	I will. Thanks.
context: What an admirable mama.\But Mama...\That's how she died...\Mama was admirable, but so are you for staying alive.\You are, darn it!\You're gonna take back what war took from you, right?\Then take it all! Rice paddies, farms, everything!\I will. Thanks. response:	Here, eat up.
context: But Mama...\That's how she died...\Mama was admirable, but so are you for staying alive.\You are, darn it!\You're gonna take back what war took from you, right?\Then take it all! Rice paddies, farms, everything!\I will. Thanks.\Here, eat up. response:	Come on, it'll make you stronger.
context: That's how she died...\Mama was admirable, but so are you for staying alive.\You are, darn it!\You're gonna take back what war took from you, right?\Then take it all! Rice paddies, farms, everything!\I will. Thanks.\Here, eat up.\Come on, it'll make you stronger. response:	So what if you lost a leg?
context: Mama was admirable, but so are you for staying alive.\You are, darn it!\You're gonna take back what war took from you, right?\Then take it all! Rice paddies, farms, everything!\I will. Thanks.\Here, eat up.\Come on, it'll make you stronger.\So what if you lost a leg? response:	You got your voice back, so say something.
context: You are, darn it!\You're gonna take back what war took from you, right?\Then take it all! Rice paddies, farms, everything!\I will. Thanks.\Here, eat up.\Come on, it'll make you stronger.\So what if you lost a leg?\You got your voice back, so say something. response:	Come on, you need to eat if you want to use that voice.
context: You're gonna take back what war took from you, right?\Then take it all! Rice paddies, farms, everything!\I will. Thanks.\Here, eat up.\Come on, it'll make you stronger.\So what if you lost a leg?\You got your voice back, so say something.\Come on, you need to eat if you want to use that voice. response:	Here, have some water.
context: Then take it all! Rice paddies, farms, everything!\I will. Thanks.\Here, eat up.\Come on, it'll make you stronger.\So what if you lost a leg?\You got your voice back, so say something.\Come on, you need to eat if you want to use that voice.\Here, have some water. response:	Sorry.
context: I will. Thanks.\Here, eat up.\Come on, it'll make you stronger.\So what if you lost a leg?\You got your voice back, so say something.\Come on, you need to eat if you want to use that voice.\Here, have some water.\Sorry. response:	Hey, Hyakkimaru?
context: Here, eat up.\Come on, it'll make you stronger.\So what if you lost a leg?\You got your voice back, so say something.\Come on, you need to eat if you want to use that voice.\Here, have some water.\Sorry.\Hey, Hyakkimaru? response:	You won't lose to it, will you?
context: Come on, it'll make you stronger.\So what if you lost a leg?\You got your voice back, so say something.\Come on, you need to eat if you want to use that voice.\Here, have some water.\Sorry.\Hey, Hyakkimaru?\You won't lose to it, will you? response:	You'll never become a monster, right?
context: So what if you lost a leg?\You got your voice back, so say something.\Come on, you need to eat if you want to use that voice.\Here, have some water.\Sorry.\Hey, Hyakkimaru?\You won't lose to it, will you?\You'll never become a monster, right? response:	Anyways, eat up now.
context: You got your voice back, so say something.\Come on, you need to eat if you want to use that voice.\Here, have some water.\Sorry.\Hey, Hyakkimaru?\You won't lose to it, will you?\You'll never become a monster, right?\Anyways, eat up now. response:	Pick a red flower
context: Come on, you need to eat if you want to use that voice.\Here, have some water.\Sorry.\Hey, Hyakkimaru?\You won't lose to it, will you?\You'll never become a monster, right?\Anyways, eat up now.\Pick a red flower response:	To give to her
context: Here, have some water.\Sorry.\Hey, Hyakkimaru?\You won't lose to it, will you?\You'll never become a monster, right?\Anyways, eat up now.\Pick a red flower\To give to her response:	In her...
context: Sorry.\Hey, Hyakkimaru?\You won't lose to it, will you?\You'll never become a monster, right?\Anyways, eat up now.\Pick a red flower\To give to her\In her... response:	Oh, wow!
context: Hey, Hyakkimaru?\You won't lose to it, will you?\You'll never become a monster, right?\Anyways, eat up now.\Pick a red flower\To give to her\In her...\Oh, wow! response:	That's so cool.
context: You won't lose to it, will you?\You'll never become a monster, right?\Anyways, eat up now.\Pick a red flower\To give to her\In her...\Oh, wow!\That's so cool. response:	I'm going to work, but don't let Hyakkimaru go to fight it.
context: You'll never become a monster, right?\Anyways, eat up now.\Pick a red flower\To give to her\In her...\Oh, wow!\That's so cool.\I'm going to work, but don't let Hyakkimaru go to fight it. response:	His body isn't ready for it.
context: Anyways, eat up now.\Pick a red flower\To give to her\In her...\Oh, wow!\That's so cool.\I'm going to work, but don't let Hyakkimaru go to fight it.\His body isn't ready for it. response:	I know.
context: Pick a red flower\To give to her\In her...\Oh, wow!\That's so cool.\I'm going to work, but don't let Hyakkimaru go to fight it.\His body isn't ready for it.\I know. response:	That's so cool. It's stuck on your arm?
context: To give to her\In her...\Oh, wow!\That's so cool.\I'm going to work, but don't let Hyakkimaru go to fight it.\His body isn't ready for it.\I know.\That's so cool. It's stuck on your arm? response:	But we've got something cool, too.
context: In her...\Oh, wow!\That's so cool.\I'm going to work, but don't let Hyakkimaru go to fight it.\His body isn't ready for it.\I know.\That's so cool. It's stuck on your arm?\But we've got something cool, too. response:	We found them at the battlefield.
context: Oh, wow!\That's so cool.\I'm going to work, but don't let Hyakkimaru go to fight it.\His body isn't ready for it.\I know.\That's so cool. It's stuck on your arm?\But we've got something cool, too.\We found them at the battlefield. response:	Look, pretty nice, huh?
context: That's so cool.\I'm going to work, but don't let Hyakkimaru go to fight it.\His body isn't ready for it.\I know.\That's so cool. It's stuck on your arm?\But we've got something cool, too.\We found them at the battlefield.\Look, pretty nice, huh? response:	Mama...
context: I'm going to work, but don't let Hyakkimaru go to fight it.\His body isn't ready for it.\I know.\That's so cool. It's stuck on your arm?\But we've got something cool, too.\We found them at the battlefield.\Look, pretty nice, huh?\Mama... response:	Hyakkimaru!
context: His body isn't ready for it.\I know.\That's so cool. It's stuck on your arm?\But we've got something cool, too.\We found them at the battlefield.\Look, pretty nice, huh?\Mama...\Hyakkimaru! response:	Seems like the rain's coming. Finally!
context: I know.\That's so cool. It's stuck on your arm?\But we've got something cool, too.\We found them at the battlefield.\Look, pretty nice, huh?\Mama...\Hyakkimaru!\Seems like the rain's coming. Finally! response:	Mio, we're in trouble!
context: That's so cool. It's stuck on your arm?\But we've got something cool, too.\We found them at the battlefield.\Look, pretty nice, huh?\Mama...\Hyakkimaru!\Seems like the rain's coming. Finally!\Mio, we're in trouble! response:	Hyakkimaru went to beat the monster!
context: But we've got something cool, too.\We found them at the battlefield.\Look, pretty nice, huh?\Mama...\Hyakkimaru!\Seems like the rain's coming. Finally!\Mio, we're in trouble!\Hyakkimaru went to beat the monster! response:	Dororo went after him!
context: We found them at the battlefield.\Look, pretty nice, huh?\Mama...\Hyakkimaru!\Seems like the rain's coming. Finally!\Mio, we're in trouble!\Hyakkimaru went to beat the monster!\Dororo went after him! response:	Hyakkimaru!
context: Look, pretty nice, huh?\Mama...\Hyakkimaru!\Seems like the rain's coming. Finally!\Mio, we're in trouble!\Hyakkimaru went to beat the monster!\Dororo went after him!\Hyakkimaru! response:	That's it? Give me a break!
context: Mama...\Hyakkimaru!\Seems like the rain's coming. Finally!\Mio, we're in trouble!\Hyakkimaru went to beat the monster!\Dororo went after him!\Hyakkimaru!\That's it? Give me a break! response:	Jeez, how could you go without telling me?
context: Hyakkimaru!\Seems like the rain's coming. Finally!\Mio, we're in trouble!\Hyakkimaru went to beat the monster!\Dororo went after him!\Hyakkimaru!\That's it? Give me a break!\Jeez, how could you go without telling me? response:	Mio is worried, too!
context: Seems like the rain's coming. Finally!\Mio, we're in trouble!\Hyakkimaru went to beat the monster!\Dororo went after him!\Hyakkimaru!\That's it? Give me a break!\Jeez, how could you go without telling me?\Mio is worried, too! response:	But good thing your leg grew back.
context: Mio, we're in trouble!\Hyakkimaru went to beat the monster!\Dororo went after him!\Hyakkimaru!\That's it? Give me a break!\Jeez, how could you go without telling me?\Mio is worried, too!\But good thing your leg grew back. response:	What's wrong?
context: Hyakkimaru went to beat the monster!\Dororo went after him!\Hyakkimaru!\That's it? Give me a break!\Jeez, how could you go without telling me?\Mio is worried, too!\But good thing your leg grew back.\What's wrong? response:	The temple...!
context: Dororo went after him!\Hyakkimaru!\That's it? Give me a break!\Jeez, how could you go without telling me?\Mio is worried, too!\But good thing your leg grew back.\What's wrong?\The temple...! response:	Check for any more survivors.
context: Hyakkimaru!\That's it? Give me a break!\Jeez, how could you go without telling me?\Mio is worried, too!\But good thing your leg grew back.\What's wrong?\The temple...!\Check for any more survivors. response:	What the heck...?
context: That's it? Give me a break!\Jeez, how could you go without telling me?\Mio is worried, too!\But good thing your leg grew back.\What's wrong?\The temple...!\Check for any more survivors.\What the heck...? response:	What's going on?
context: Jeez, how could you go without telling me?\Mio is worried, too!\But good thing your leg grew back.\What's wrong?\The temple...!\Check for any more survivors.\What the heck...?\What's going on? response:	Who are you? Are you one of them too?
context: Mio is worried, too!\But good thing your leg grew back.\What's wrong?\The temple...!\Check for any more survivors.\What the heck...?\What's going on?\Who are you? Are you one of them too? response:	This girl came to do lewd business at our camp.
context: But good thing your leg grew back.\What's wrong?\The temple...!\Check for any more survivors.\What the heck...?\What's going on?\Who are you? Are you one of them too?\This girl came to do lewd business at our camp. response:	But we saw her enter the Sakai camp last night.
context: What's wrong?\The temple...!\Check for any more survivors.\What the heck...?\What's going on?\Who are you? Are you one of them too?\This girl came to do lewd business at our camp.\But we saw her enter the Sakai camp last night. response:	She's been disposed of for being a suspected spy.
context: The temple...!\Check for any more survivors.\What the heck...?\What's going on?\Who are you? Are you one of them too?\This girl came to do lewd business at our camp.\But we saw her enter the Sakai camp last night.\She's been disposed of for being a suspected spy. response:	Mio, Take!
context: Check for any more survivors.\What the heck...?\What's going on?\Who are you? Are you one of them too?\This girl came to do lewd business at our camp.\But we saw her enter the Sakai camp last night.\She's been disposed of for being a suspected spy.\Mio, Take! response:	Let go, idiot! How could you...!
context: What the heck...?\What's going on?\Who are you? Are you one of them too?\This girl came to do lewd business at our camp.\But we saw her enter the Sakai camp last night.\She's been disposed of for being a suspected spy.\Mio, Take!\Let go, idiot! How could you...! response:	I see you're one of them, too.
context: What's going on?\Who are you? Are you one of them too?\This girl came to do lewd business at our camp.\But we saw her enter the Sakai camp last night.\She's been disposed of for being a suspected spy.\Mio, Take!\Let go, idiot! How could you...!\I see you're one of them, too. response:	Who are you?
context: Who are you? Are you one of them too?\This girl came to do lewd business at our camp.\But we saw her enter the Sakai camp last night.\She's been disposed of for being a suspected spy.\Mio, Take!\Let go, idiot! How could you...!\I see you're one of them, too.\Who are you? response:	His arms...
context: This girl came to do lewd business at our camp.\But we saw her enter the Sakai camp last night.\She's been disposed of for being a suspected spy.\Mio, Take!\Let go, idiot! How could you...!\I see you're one of them, too.\Who are you?\His arms... response:	Mio, wake up! Take!
