context: Master. response:	I cleaned up the elixir cauldron chamber.
context: They have no manners!\How dare they bully our young master at the Academy?\Exactly! We've tolerated them for more than 10 days.\Let's go and teach them a lesson!\Don't bother.\The Heavenly Lord is so cruel to his own grandson.\He even made him lose his arm in the Mortal Realm as well.\Kind people always suffer. response:	Young Master is so kind but why would the gods make him lose an arm?
context: How dare they bully our young master at the Academy?\Exactly! We've tolerated them for more than 10 days.\Let's go and teach them a lesson!\Don't bother.\The Heavenly Lord is so cruel to his own grandson.\He even made him lose his arm in the Mortal Realm as well.\Kind people always suffer.\Young Master is so kind but why would the gods make him lose an arm? response:	- What happened? - What happened?
context: Exactly! We've tolerated them for more than 10 days.\Let's go and teach them a lesson!\Don't bother.\The Heavenly Lord is so cruel to his own grandson.\He even made him lose his arm in the Mortal Realm as well.\Kind people always suffer.\Young Master is so kind but why would the gods make him lose an arm?\- What happened? - What happened? response:	This is just a dream.
context: Let's go and teach them a lesson!\Don't bother.\The Heavenly Lord is so cruel to his own grandson.\He even made him lose his arm in the Mortal Realm as well.\Kind people always suffer.\Young Master is so kind but why would the gods make him lose an arm?\- What happened? - What happened?\This is just a dream. response:	Hey...
context: Don't bother.\The Heavenly Lord is so cruel to his own grandson.\He even made him lose his arm in the Mortal Realm as well.\Kind people always suffer.\Young Master is so kind but why would the gods make him lose an arm?\- What happened? - What happened?\This is just a dream.\Hey... response:	This isn't a dream?
context: The Heavenly Lord is so cruel to his own grandson.\He even made him lose his arm in the Mortal Realm as well.\Kind people always suffer.\Young Master is so kind but why would the gods make him lose an arm?\- What happened? - What happened?\This is just a dream.\Hey...\This isn't a dream? response:	Do you recognize me?
context: He even made him lose his arm in the Mortal Realm as well.\Kind people always suffer.\Young Master is so kind but why would the gods make him lose an arm?\- What happened? - What happened?\This is just a dream.\Hey...\This isn't a dream?\Do you recognize me? response:	No.
context: Kind people always suffer.\Young Master is so kind but why would the gods make him lose an arm?\- What happened? - What happened?\This is just a dream.\Hey...\This isn't a dream?\Do you recognize me?\No. response:	Who are you?
context: Young Master is so kind but why would the gods make him lose an arm?\- What happened? - What happened?\This is just a dream.\Hey...\This isn't a dream?\Do you recognize me?\No.\Who are you? response:	How did you get into my room?
context: - What happened? - What happened?\This is just a dream.\Hey...\This isn't a dream?\Do you recognize me?\No.\Who are you?\How did you get into my room? response:	Listen up.
context: This is just a dream.\Hey...\This isn't a dream?\Do you recognize me?\No.\Who are you?\How did you get into my room?\Listen up. response:	I'm a deity in Qing Qiu.
context: Hey...\This isn't a dream?\Do you recognize me?\No.\Who are you?\How did you get into my room?\Listen up.\I'm a deity in Qing Qiu. response:	I snuck a peek into my fate and learned that
context: This isn't a dream?\Do you recognize me?\No.\Who are you?\How did you get into my room?\Listen up.\I'm a deity in Qing Qiu.\I snuck a peek into my fate and learned that response:	we're destined to be married in 10 years.
context: Do you recognize me?\No.\Who are you?\How did you get into my room?\Listen up.\I'm a deity in Qing Qiu.\I snuck a peek into my fate and learned that\we're destined to be married in 10 years. response:	So, I'm here today to take a look at my future husband.
context: No.\Who are you?\How did you get into my room?\Listen up.\I'm a deity in Qing Qiu.\I snuck a peek into my fate and learned that\we're destined to be married in 10 years.\So, I'm here today to take a look at my future husband. response:	I'm your future husband?
context: Who are you?\How did you get into my room?\Listen up.\I'm a deity in Qing Qiu.\I snuck a peek into my fate and learned that\we're destined to be married in 10 years.\So, I'm here today to take a look at my future husband.\I'm your future husband? response:	Judging by your expression, you dislike the way I look?
context: How did you get into my room?\Listen up.\I'm a deity in Qing Qiu.\I snuck a peek into my fate and learned that\we're destined to be married in 10 years.\So, I'm here today to take a look at my future husband.\I'm your future husband?\Judging by your expression, you dislike the way I look? response:	You're... very pretty.
context: Listen up.\I'm a deity in Qing Qiu.\I snuck a peek into my fate and learned that\we're destined to be married in 10 years.\So, I'm here today to take a look at my future husband.\I'm your future husband?\Judging by your expression, you dislike the way I look?\You're... very pretty. response:	Do you mean it?
context: I'm a deity in Qing Qiu.\I snuck a peek into my fate and learned that\we're destined to be married in 10 years.\So, I'm here today to take a look at my future husband.\I'm your future husband?\Judging by your expression, you dislike the way I look?\You're... very pretty.\Do you mean it? response:	I haven't met many ladies
context: I snuck a peek into my fate and learned that\we're destined to be married in 10 years.\So, I'm here today to take a look at my future husband.\I'm your future husband?\Judging by your expression, you dislike the way I look?\You're... very pretty.\Do you mean it?\I haven't met many ladies response:	but even the ones in paintings aren't as beautiful as you are.
context: we're destined to be married in 10 years.\So, I'm here today to take a look at my future husband.\I'm your future husband?\Judging by your expression, you dislike the way I look?\You're... very pretty.\Do you mean it?\I haven't met many ladies\but even the ones in paintings aren't as beautiful as you are. response:	Do you believe what I said?
context: So, I'm here today to take a look at my future husband.\I'm your future husband?\Judging by your expression, you dislike the way I look?\You're... very pretty.\Do you mean it?\I haven't met many ladies\but even the ones in paintings aren't as beautiful as you are.\Do you believe what I said? response:	That we're destined to be married?
context: I'm your future husband?\Judging by your expression, you dislike the way I look?\You're... very pretty.\Do you mean it?\I haven't met many ladies\but even the ones in paintings aren't as beautiful as you are.\Do you believe what I said?\That we're destined to be married? response:	I have a string of beads here.
context: Judging by your expression, you dislike the way I look?\You're... very pretty.\Do you mean it?\I haven't met many ladies\but even the ones in paintings aren't as beautiful as you are.\Do you believe what I said?\That we're destined to be married?\I have a string of beads here. response:	When I'm not by your side, will you keep it with you?
context: You're... very pretty.\Do you mean it?\I haven't met many ladies\but even the ones in paintings aren't as beautiful as you are.\Do you believe what I said?\That we're destined to be married?\I have a string of beads here.\When I'm not by your side, will you keep it with you? response:	I have a jade pendant here.
context: Do you mean it?\I haven't met many ladies\but even the ones in paintings aren't as beautiful as you are.\Do you believe what I said?\That we're destined to be married?\I have a string of beads here.\When I'm not by your side, will you keep it with you?\I have a jade pendant here. response:	It's for you.
context: I haven't met many ladies\but even the ones in paintings aren't as beautiful as you are.\Do you believe what I said?\That we're destined to be married?\I have a string of beads here.\When I'm not by your side, will you keep it with you?\I have a jade pendant here.\It's for you. response:	This is for me?
context: but even the ones in paintings aren't as beautiful as you are.\Do you believe what I said?\That we're destined to be married?\I have a string of beads here.\When I'm not by your side, will you keep it with you?\I have a jade pendant here.\It's for you.\This is for me? response:	Thank you. I'll wear it every day.
context: Do you believe what I said?\That we're destined to be married?\I have a string of beads here.\When I'm not by your side, will you keep it with you?\I have a jade pendant here.\It's for you.\This is for me?\Thank you. I'll wear it every day. response:	Yes, I'll wear the beads every day as well.
context: That we're destined to be married?\I have a string of beads here.\When I'm not by your side, will you keep it with you?\I have a jade pendant here.\It's for you.\This is for me?\Thank you. I'll wear it every day.\Yes, I'll wear the beads every day as well. response:	We've made a promise then.
context: I have a string of beads here.\When I'm not by your side, will you keep it with you?\I have a jade pendant here.\It's for you.\This is for me?\Thank you. I'll wear it every day.\Yes, I'll wear the beads every day as well.\We've made a promise then. response:	You can't marry anyone else.
context: When I'm not by your side, will you keep it with you?\I have a jade pendant here.\It's for you.\This is for me?\Thank you. I'll wear it every day.\Yes, I'll wear the beads every day as well.\We've made a promise then.\You can't marry anyone else. response:	I'll come and visit you whenever I have the time.
context: I have a jade pendant here.\It's for you.\This is for me?\Thank you. I'll wear it every day.\Yes, I'll wear the beads every day as well.\We've made a promise then.\You can't marry anyone else.\I'll come and visit you whenever I have the time. response:	When you grow up, I'll marry you.
context: It's for you.\This is for me?\Thank you. I'll wear it every day.\Yes, I'll wear the beads every day as well.\We've made a promise then.\You can't marry anyone else.\I'll come and visit you whenever I have the time.\When you grow up, I'll marry you. response:	I only tagged along for some fun.
context: This is for me?\Thank you. I'll wear it every day.\Yes, I'll wear the beads every day as well.\We've made a promise then.\You can't marry anyone else.\I'll come and visit you whenever I have the time.\When you grow up, I'll marry you.\I only tagged along for some fun. response:	Who knew...
context: Thank you. I'll wear it every day.\Yes, I'll wear the beads every day as well.\We've made a promise then.\You can't marry anyone else.\I'll come and visit you whenever I have the time.\When you grow up, I'll marry you.\I only tagged along for some fun.\Who knew... response:	Who knew that you'd plan so meticulously?
context: Yes, I'll wear the beads every day as well.\We've made a promise then.\You can't marry anyone else.\I'll come and visit you whenever I have the time.\When you grow up, I'll marry you.\I only tagged along for some fun.\Who knew...\Who knew that you'd plan so meticulously? response:	You wouldn't even spare a young boy.
context: We've made a promise then.\You can't marry anyone else.\I'll come and visit you whenever I have the time.\When you grow up, I'll marry you.\I only tagged along for some fun.\Who knew...\Who knew that you'd plan so meticulously?\You wouldn't even spare a young boy. response:	I'm just concerned that he might get caught up in unnecessary romances.
context: You can't marry anyone else.\I'll come and visit you whenever I have the time.\When you grow up, I'll marry you.\I only tagged along for some fun.\Who knew...\Who knew that you'd plan so meticulously?\You wouldn't even spare a young boy.\I'm just concerned that he might get caught up in unnecessary romances. response:	It's said that Second Sister-in-law is the most jealous of all.
context: I'll come and visit you whenever I have the time.\When you grow up, I'll marry you.\I only tagged along for some fun.\Who knew...\Who knew that you'd plan so meticulously?\You wouldn't even spare a young boy.\I'm just concerned that he might get caught up in unnecessary romances.\It's said that Second Sister-in-law is the most jealous of all. response:	Why do I think that you're even worse?
context: When you grow up, I'll marry you.\I only tagged along for some fun.\Who knew...\Who knew that you'd plan so meticulously?\You wouldn't even spare a young boy.\I'm just concerned that he might get caught up in unnecessary romances.\It's said that Second Sister-in-law is the most jealous of all.\Why do I think that you're even worse? response:	Fourth Brother!
context: I only tagged along for some fun.\Who knew...\Who knew that you'd plan so meticulously?\You wouldn't even spare a young boy.\I'm just concerned that he might get caught up in unnecessary romances.\It's said that Second Sister-in-law is the most jealous of all.\Why do I think that you're even worse?\Fourth Brother! response:	You wouldn't understand even if I explained it to you.
context: Who knew...\Who knew that you'd plan so meticulously?\You wouldn't even spare a young boy.\I'm just concerned that he might get caught up in unnecessary romances.\It's said that Second Sister-in-law is the most jealous of all.\Why do I think that you're even worse?\Fourth Brother!\You wouldn't understand even if I explained it to you. response:	In the entire world, you're the last one to know anything about women.
context: Who knew that you'd plan so meticulously?\You wouldn't even spare a young boy.\I'm just concerned that he might get caught up in unnecessary romances.\It's said that Second Sister-in-law is the most jealous of all.\Why do I think that you're even worse?\Fourth Brother!\You wouldn't understand even if I explained it to you.\In the entire world, you're the last one to know anything about women. response:	Young Master, you're awake?
context: You wouldn't even spare a young boy.\I'm just concerned that he might get caught up in unnecessary romances.\It's said that Second Sister-in-law is the most jealous of all.\Why do I think that you're even worse?\Fourth Brother!\You wouldn't understand even if I explained it to you.\In the entire world, you're the last one to know anything about women.\Young Master, you're awake? response:	Qing Qiu?
context: I'm just concerned that he might get caught up in unnecessary romances.\It's said that Second Sister-in-law is the most jealous of all.\Why do I think that you're even worse?\Fourth Brother!\You wouldn't understand even if I explained it to you.\In the entire world, you're the last one to know anything about women.\Young Master, you're awake?\Qing Qiu? response:	Young Master, what are you looking for?
context: It's said that Second Sister-in-law is the most jealous of all.\Why do I think that you're even worse?\Fourth Brother!\You wouldn't understand even if I explained it to you.\In the entire world, you're the last one to know anything about women.\Young Master, you're awake?\Qing Qiu?\Young Master, what are you looking for? response:	I'm looking up a place called Qing Qiu.
context: Why do I think that you're even worse?\Fourth Brother!\You wouldn't understand even if I explained it to you.\In the entire world, you're the last one to know anything about women.\Young Master, you're awake?\Qing Qiu?\Young Master, what are you looking for?\I'm looking up a place called Qing Qiu. response:	Qing Qiu?
context: Fourth Brother!\You wouldn't understand even if I explained it to you.\In the entire world, you're the last one to know anything about women.\Young Master, you're awake?\Qing Qiu?\Young Master, what are you looking for?\I'm looking up a place called Qing Qiu.\Qing Qiu? response:	What a strange name.
context: You wouldn't understand even if I explained it to you.\In the entire world, you're the last one to know anything about women.\Young Master, you're awake?\Qing Qiu?\Young Master, what are you looking for?\I'm looking up a place called Qing Qiu.\Qing Qiu?\What a strange name. response:	I have accompanied Young Master to school every day but I've never heard of it.
context: In the entire world, you're the last one to know anything about women.\Young Master, you're awake?\Qing Qiu?\Young Master, what are you looking for?\I'm looking up a place called Qing Qiu.\Qing Qiu?\What a strange name.\I have accompanied Young Master to school every day but I've never heard of it. response:	Young Master, stop looking it up.
context: Young Master, you're awake?\Qing Qiu?\Young Master, what are you looking for?\I'm looking up a place called Qing Qiu.\Qing Qiu?\What a strange name.\I have accompanied Young Master to school every day but I've never heard of it.\Young Master, stop looking it up. response:	Let's ask your teacher later.
context: Qing Qiu?\Young Master, what are you looking for?\I'm looking up a place called Qing Qiu.\Qing Qiu?\What a strange name.\I have accompanied Young Master to school every day but I've never heard of it.\Young Master, stop looking it up.\Let's ask your teacher later. response:	You're right. I can ask my teacher about it.
context: Young Master, what are you looking for?\I'm looking up a place called Qing Qiu.\Qing Qiu?\What a strange name.\I have accompanied Young Master to school every day but I've never heard of it.\Young Master, stop looking it up.\Let's ask your teacher later.\You're right. I can ask my teacher about it. response:	You haven't heard of it either?
context: I'm looking up a place called Qing Qiu.\Qing Qiu?\What a strange name.\I have accompanied Young Master to school every day but I've never heard of it.\Young Master, stop looking it up.\Let's ask your teacher later.\You're right. I can ask my teacher about it.\You haven't heard of it either? response:	No.
context: Qing Qiu?\What a strange name.\I have accompanied Young Master to school every day but I've never heard of it.\Young Master, stop looking it up.\Let's ask your teacher later.\You're right. I can ask my teacher about it.\You haven't heard of it either?\No. response:	I've read thousands of books, but I've never seen Qing Qiu in any book.
context: What a strange name.\I have accompanied Young Master to school every day but I've never heard of it.\Young Master, stop looking it up.\Let's ask your teacher later.\You're right. I can ask my teacher about it.\You haven't heard of it either?\No.\I've read thousands of books, but I've never seen Qing Qiu in any book. response:	My dear, what brings you here?
context: I have accompanied Young Master to school every day but I've never heard of it.\Young Master, stop looking it up.\Let's ask your teacher later.\You're right. I can ask my teacher about it.\You haven't heard of it either?\No.\I've read thousands of books, but I've never seen Qing Qiu in any book.\My dear, what brings you here? response:	Aren't you afraid to be beaten up by your father?
context: Young Master, stop looking it up.\Let's ask your teacher later.\You're right. I can ask my teacher about it.\You haven't heard of it either?\No.\I've read thousands of books, but I've never seen Qing Qiu in any book.\My dear, what brings you here?\Aren't you afraid to be beaten up by your father? response:	My father's given up on me.
context: Let's ask your teacher later.\You're right. I can ask my teacher about it.\You haven't heard of it either?\No.\I've read thousands of books, but I've never seen Qing Qiu in any book.\My dear, what brings you here?\Aren't you afraid to be beaten up by your father?\My father's given up on me. response:	Has my second brother gotten over it already?
context: You're right. I can ask my teacher about it.\You haven't heard of it either?\No.\I've read thousands of books, but I've never seen Qing Qiu in any book.\My dear, what brings you here?\Aren't you afraid to be beaten up by your father?\My father's given up on me.\Has my second brother gotten over it already? response:	He won't try to hinder you anymore?
context: You haven't heard of it either?\No.\I've read thousands of books, but I've never seen Qing Qiu in any book.\My dear, what brings you here?\Aren't you afraid to be beaten up by your father?\My father's given up on me.\Has my second brother gotten over it already?\He won't try to hinder you anymore? response:	No, it's not that.
context: No.\I've read thousands of books, but I've never seen Qing Qiu in any book.\My dear, what brings you here?\Aren't you afraid to be beaten up by your father?\My father's given up on me.\Has my second brother gotten over it already?\He won't try to hinder you anymore?\No, it's not that. response:	It's just that my father knew
context: I've read thousands of books, but I've never seen Qing Qiu in any book.\My dear, what brings you here?\Aren't you afraid to be beaten up by your father?\My father's given up on me.\Has my second brother gotten over it already?\He won't try to hinder you anymore?\No, it's not that.\It's just that my father knew response:	Lord Dong Hua wouldn't have me, no matter what I did.
context: My dear, what brings you here?\Aren't you afraid to be beaten up by your father?\My father's given up on me.\Has my second brother gotten over it already?\He won't try to hinder you anymore?\No, it's not that.\It's just that my father knew\Lord Dong Hua wouldn't have me, no matter what I did. response:	It doesn't matter if he tries to stop me or not.
context: Aren't you afraid to be beaten up by your father?\My father's given up on me.\Has my second brother gotten over it already?\He won't try to hinder you anymore?\No, it's not that.\It's just that my father knew\Lord Dong Hua wouldn't have me, no matter what I did.\It doesn't matter if he tries to stop me or not. response:	Silly girl.
context: My father's given up on me.\Has my second brother gotten over it already?\He won't try to hinder you anymore?\No, it's not that.\It's just that my father knew\Lord Dong Hua wouldn't have me, no matter what I did.\It doesn't matter if he tries to stop me or not.\Silly girl. response:	I thought that you'd feel better after you cried.
context: Has my second brother gotten over it already?\He won't try to hinder you anymore?\No, it's not that.\It's just that my father knew\Lord Dong Hua wouldn't have me, no matter what I did.\It doesn't matter if he tries to stop me or not.\Silly girl.\I thought that you'd feel better after you cried. response:	But you still can't forget him?
context: He won't try to hinder you anymore?\No, it's not that.\It's just that my father knew\Lord Dong Hua wouldn't have me, no matter what I did.\It doesn't matter if he tries to stop me or not.\Silly girl.\I thought that you'd feel better after you cried.\But you still can't forget him? response:	There's no way I could forget him.
context: No, it's not that.\It's just that my father knew\Lord Dong Hua wouldn't have me, no matter what I did.\It doesn't matter if he tries to stop me or not.\Silly girl.\I thought that you'd feel better after you cried.\But you still can't forget him?\There's no way I could forget him. response:	Even if he speaks to me cruelly or bullies me
context: It's just that my father knew\Lord Dong Hua wouldn't have me, no matter what I did.\It doesn't matter if he tries to stop me or not.\Silly girl.\I thought that you'd feel better after you cried.\But you still can't forget him?\There's no way I could forget him.\Even if he speaks to me cruelly or bullies me response:	I just can't forget him.
context: Lord Dong Hua wouldn't have me, no matter what I did.\It doesn't matter if he tries to stop me or not.\Silly girl.\I thought that you'd feel better after you cried.\But you still can't forget him?\There's no way I could forget him.\Even if he speaks to me cruelly or bullies me\I just can't forget him. response:	If you were told to forget the Crown Prince, could you?
context: It doesn't matter if he tries to stop me or not.\Silly girl.\I thought that you'd feel better after you cried.\But you still can't forget him?\There's no way I could forget him.\Even if he speaks to me cruelly or bullies me\I just can't forget him.\If you were told to forget the Crown Prince, could you? response:	I should be more empathetic.
context: Silly girl.\I thought that you'd feel better after you cried.\But you still can't forget him?\There's no way I could forget him.\Even if he speaks to me cruelly or bullies me\I just can't forget him.\If you were told to forget the Crown Prince, could you?\I should be more empathetic. response:	You still haven't answered me.
context: I thought that you'd feel better after you cried.\But you still can't forget him?\There's no way I could forget him.\Even if he speaks to me cruelly or bullies me\I just can't forget him.\If you were told to forget the Crown Prince, could you?\I should be more empathetic.\You still haven't answered me. response:	Could you do it?
context: But you still can't forget him?\There's no way I could forget him.\Even if he speaks to me cruelly or bullies me\I just can't forget him.\If you were told to forget the Crown Prince, could you?\I should be more empathetic.\You still haven't answered me.\Could you do it? response:	I couldn't.
context: There's no way I could forget him.\Even if he speaks to me cruelly or bullies me\I just can't forget him.\If you were told to forget the Crown Prince, could you?\I should be more empathetic.\You still haven't answered me.\Could you do it?\I couldn't. response:	Old Phoenix, why are you eavesdropping on us?
context: Even if he speaks to me cruelly or bullies me\I just can't forget him.\If you were told to forget the Crown Prince, could you?\I should be more empathetic.\You still haven't answered me.\Could you do it?\I couldn't.\Old Phoenix, why are you eavesdropping on us? response:	Little Princess.
context: I just can't forget him.\If you were told to forget the Crown Prince, could you?\I should be more empathetic.\You still haven't answered me.\Could you do it?\I couldn't.\Old Phoenix, why are you eavesdropping on us?\Little Princess. response:	High God Mo Yuan and I have been standing here for quite some time.
context: If you were told to forget the Crown Prince, could you?\I should be more empathetic.\You still haven't answered me.\Could you do it?\I couldn't.\Old Phoenix, why are you eavesdropping on us?\Little Princess.\High God Mo Yuan and I have been standing here for quite some time. response:	You should have stepped aside.
context: I should be more empathetic.\You still haven't answered me.\Could you do it?\I couldn't.\Old Phoenix, why are you eavesdropping on us?\Little Princess.\High God Mo Yuan and I have been standing here for quite some time.\You should have stepped aside. response:	How could you eavesdrop on women?
context: You still haven't answered me.\Could you do it?\I couldn't.\Old Phoenix, why are you eavesdropping on us?\Little Princess.\High God Mo Yuan and I have been standing here for quite some time.\You should have stepped aside.\How could you eavesdrop on women? response:	How rude!
context: Could you do it?\I couldn't.\Old Phoenix, why are you eavesdropping on us?\Little Princess.\High God Mo Yuan and I have been standing here for quite some time.\You should have stepped aside.\How could you eavesdrop on women?\How rude! response:	You're finally awake?
context: I couldn't.\Old Phoenix, why are you eavesdropping on us?\Little Princess.\High God Mo Yuan and I have been standing here for quite some time.\You should have stepped aside.\How could you eavesdrop on women?\How rude!\You're finally awake? response:	Feng Jiu!
context: Old Phoenix, why are you eavesdropping on us?\Little Princess.\High God Mo Yuan and I have been standing here for quite some time.\You should have stepped aside.\How could you eavesdrop on women?\How rude!\You're finally awake?\Feng Jiu! response:	How can you be so rude to my mentor?
context: Little Princess.\High God Mo Yuan and I have been standing here for quite some time.\You should have stepped aside.\How could you eavesdrop on women?\How rude!\You're finally awake?\Feng Jiu!\How can you be so rude to my mentor? response:	My apologies, High God.
context: High God Mo Yuan and I have been standing here for quite some time.\You should have stepped aside.\How could you eavesdrop on women?\How rude!\You're finally awake?\Feng Jiu!\How can you be so rude to my mentor?\My apologies, High God. response:	When I saw you standing there...
context: You should have stepped aside.\How could you eavesdrop on women?\How rude!\You're finally awake?\Feng Jiu!\How can you be so rude to my mentor?\My apologies, High God.\When I saw you standing there... response:	I haven't recovered from my surprise.
context: How could you eavesdrop on women?\How rude!\You're finally awake?\Feng Jiu!\How can you be so rude to my mentor?\My apologies, High God.\When I saw you standing there...\I haven't recovered from my surprise. response:	After all, I've seen you asleep in Yan Hua Cave for 70,000 years
context: How rude!\You're finally awake?\Feng Jiu!\How can you be so rude to my mentor?\My apologies, High God.\When I saw you standing there...\I haven't recovered from my surprise.\After all, I've seen you asleep in Yan Hua Cave for 70,000 years response:	so now, seeing you awake, I...
context: You're finally awake?\Feng Jiu!\How can you be so rude to my mentor?\My apologies, High God.\When I saw you standing there...\I haven't recovered from my surprise.\After all, I've seen you asleep in Yan Hua Cave for 70,000 years\so now, seeing you awake, I... response:	No, I mean, now that I see you so energetic and awe-inspiring
context: Feng Jiu!\How can you be so rude to my mentor?\My apologies, High God.\When I saw you standing there...\I haven't recovered from my surprise.\After all, I've seen you asleep in Yan Hua Cave for 70,000 years\so now, seeing you awake, I...\No, I mean, now that I see you so energetic and awe-inspiring response:	I couldn't adapt quickly enough.
context: How can you be so rude to my mentor?\My apologies, High God.\When I saw you standing there...\I haven't recovered from my surprise.\After all, I've seen you asleep in Yan Hua Cave for 70,000 years\so now, seeing you awake, I...\No, I mean, now that I see you so energetic and awe-inspiring\I couldn't adapt quickly enough. response:	Please forgive me, High God.
context: My apologies, High God.\When I saw you standing there...\I haven't recovered from my surprise.\After all, I've seen you asleep in Yan Hua Cave for 70,000 years\so now, seeing you awake, I...\No, I mean, now that I see you so energetic and awe-inspiring\I couldn't adapt quickly enough.\Please forgive me, High God. response:	It's fine.
context: When I saw you standing there...\I haven't recovered from my surprise.\After all, I've seen you asleep in Yan Hua Cave for 70,000 years\so now, seeing you awake, I...\No, I mean, now that I see you so energetic and awe-inspiring\I couldn't adapt quickly enough.\Please forgive me, High God.\It's fine. response:	You happen to be here today, so why don't you join us for some wine?
context: I haven't recovered from my surprise.\After all, I've seen you asleep in Yan Hua Cave for 70,000 years\so now, seeing you awake, I...\No, I mean, now that I see you so energetic and awe-inspiring\I couldn't adapt quickly enough.\Please forgive me, High God.\It's fine.\You happen to be here today, so why don't you join us for some wine? response:	Mo Yuan once took a few urns of my thousand-year-old wine.
context: After all, I've seen you asleep in Yan Hua Cave for 70,000 years\so now, seeing you awake, I...\No, I mean, now that I see you so energetic and awe-inspiring\I couldn't adapt quickly enough.\Please forgive me, High God.\It's fine.\You happen to be here today, so why don't you join us for some wine?\Mo Yuan once took a few urns of my thousand-year-old wine. response:	We can enjoy them today.
context: so now, seeing you awake, I...\No, I mean, now that I see you so energetic and awe-inspiring\I couldn't adapt quickly enough.\Please forgive me, High God.\It's fine.\You happen to be here today, so why don't you join us for some wine?\Mo Yuan once took a few urns of my thousand-year-old wine.\We can enjoy them today. response:	Good. Wine can drown one's sorrow.
context: No, I mean, now that I see you so energetic and awe-inspiring\I couldn't adapt quickly enough.\Please forgive me, High God.\It's fine.\You happen to be here today, so why don't you join us for some wine?\Mo Yuan once took a few urns of my thousand-year-old wine.\We can enjoy them today.\Good. Wine can drown one's sorrow. response:	And make you feel even worse.
context: I couldn't adapt quickly enough.\Please forgive me, High God.\It's fine.\You happen to be here today, so why don't you join us for some wine?\Mo Yuan once took a few urns of my thousand-year-old wine.\We can enjoy them today.\Good. Wine can drown one's sorrow.\And make you feel even worse. response:	I'll leave the sorrows for tomorrow then.
context: Please forgive me, High God.\It's fine.\You happen to be here today, so why don't you join us for some wine?\Mo Yuan once took a few urns of my thousand-year-old wine.\We can enjoy them today.\Good. Wine can drown one's sorrow.\And make you feel even worse.\I'll leave the sorrows for tomorrow then. response:	I still remember that you asked me for this wine as Qian Qian's birthday gift.
context: It's fine.\You happen to be here today, so why don't you join us for some wine?\Mo Yuan once took a few urns of my thousand-year-old wine.\We can enjoy them today.\Good. Wine can drown one's sorrow.\And make you feel even worse.\I'll leave the sorrows for tomorrow then.\I still remember that you asked me for this wine as Qian Qian's birthday gift. response:	Exactly.
context: You happen to be here today, so why don't you join us for some wine?\Mo Yuan once took a few urns of my thousand-year-old wine.\We can enjoy them today.\Good. Wine can drown one's sorrow.\And make you feel even worse.\I'll leave the sorrows for tomorrow then.\I still remember that you asked me for this wine as Qian Qian's birthday gift.\Exactly. response:	I also remember that.
context: Mo Yuan once took a few urns of my thousand-year-old wine.\We can enjoy them today.\Good. Wine can drown one's sorrow.\And make you feel even worse.\I'll leave the sorrows for tomorrow then.\I still remember that you asked me for this wine as Qian Qian's birthday gift.\Exactly.\I also remember that. response:	It's a pity that I was captured by Master's admirer, Goddess Yao Guang
context: We can enjoy them today.\Good. Wine can drown one's sorrow.\And make you feel even worse.\I'll leave the sorrows for tomorrow then.\I still remember that you asked me for this wine as Qian Qian's birthday gift.\Exactly.\I also remember that.\It's a pity that I was captured by Master's admirer, Goddess Yao Guang response:	before I could even take a sip.
context: Good. Wine can drown one's sorrow.\And make you feel even worse.\I'll leave the sorrows for tomorrow then.\I still remember that you asked me for this wine as Qian Qian's birthday gift.\Exactly.\I also remember that.\It's a pity that I was captured by Master's admirer, Goddess Yao Guang\before I could even take a sip. response:	She had me locked me in a water cell
context: And make you feel even worse.\I'll leave the sorrows for tomorrow then.\I still remember that you asked me for this wine as Qian Qian's birthday gift.\Exactly.\I also remember that.\It's a pity that I was captured by Master's admirer, Goddess Yao Guang\before I could even take a sip.\She had me locked me in a water cell response:	so I spent my birthday in there that year.
context: I'll leave the sorrows for tomorrow then.\I still remember that you asked me for this wine as Qian Qian's birthday gift.\Exactly.\I also remember that.\It's a pity that I was captured by Master's admirer, Goddess Yao Guang\before I could even take a sip.\She had me locked me in a water cell\so I spent my birthday in there that year. response:	How unforgettable.
context: I still remember that you asked me for this wine as Qian Qian's birthday gift.\Exactly.\I also remember that.\It's a pity that I was captured by Master's admirer, Goddess Yao Guang\before I could even take a sip.\She had me locked me in a water cell\so I spent my birthday in there that year.\How unforgettable. response:	Really? Did that happen?
context: Exactly.\I also remember that.\It's a pity that I was captured by Master's admirer, Goddess Yao Guang\before I could even take a sip.\She had me locked me in a water cell\so I spent my birthday in there that year.\How unforgettable.\Really? Did that happen? response:	Let's not talk about someone
context: I also remember that.\It's a pity that I was captured by Master's admirer, Goddess Yao Guang\before I could even take a sip.\She had me locked me in a water cell\so I spent my birthday in there that year.\How unforgettable.\Really? Did that happen?\Let's not talk about someone response:	who's already in the realm of nothingness.
context: It's a pity that I was captured by Master's admirer, Goddess Yao Guang\before I could even take a sip.\She had me locked me in a water cell\so I spent my birthday in there that year.\How unforgettable.\Really? Did that happen?\Let's not talk about someone\who's already in the realm of nothingness. response:	I was wrong to bring her up.
context: before I could even take a sip.\She had me locked me in a water cell\so I spent my birthday in there that year.\How unforgettable.\Really? Did that happen?\Let's not talk about someone\who's already in the realm of nothingness.\I was wrong to bring her up. response:	I'll punish myself with a cup of wine.
