context: Thou Who Hast Gathered the Seven Balls... Now Speak Forth the Password response:	I wonder if I look any stronger.
context: Oh, really? So, what is it were supposed to say?\The password must be spoken in the Namekian language, or else the wish will not be granted.\Namekian, huh? That makes sense.\The Grand Elder-san isn't very good with people, or else he could have told us that while we were there.\He must not have thought you were going to be able to get all the Dragonballs together, or he would have.\Maybe so.\Never mind that, we must hurry! The Grand Elder-sama's life is nearly at an end.\Freeza might be on his way, as well. response:	Yeah, you're right.
context: The password must be spoken in the Namekian language, or else the wish will not be granted.\Namekian, huh? That makes sense.\The Grand Elder-san isn't very good with people, or else he could have told us that while we were there.\He must not have thought you were going to be able to get all the Dragonballs together, or he would have.\Maybe so.\Never mind that, we must hurry! The Grand Elder-sama's life is nearly at an end.\Freeza might be on his way, as well.\Yeah, you're right. response:	Something's coming...
context: Namekian, huh? That makes sense.\The Grand Elder-san isn't very good with people, or else he could have told us that while we were there.\He must not have thought you were going to be able to get all the Dragonballs together, or he would have.\Maybe so.\Never mind that, we must hurry! The Grand Elder-sama's life is nearly at an end.\Freeza might be on his way, as well.\Yeah, you're right.\Something's coming... response:	It's Kuririn-san... But I can feel two Ki...
context: The Grand Elder-san isn't very good with people, or else he could have told us that while we were there.\He must not have thought you were going to be able to get all the Dragonballs together, or he would have.\Maybe so.\Never mind that, we must hurry! The Grand Elder-sama's life is nearly at an end.\Freeza might be on his way, as well.\Yeah, you're right.\Something's coming...\It's Kuririn-san... But I can feel two Ki... response:	He's hidden his Ki!
context: He must not have thought you were going to be able to get all the Dragonballs together, or he would have.\Maybe so.\Never mind that, we must hurry! The Grand Elder-sama's life is nearly at an end.\Freeza might be on his way, as well.\Yeah, you're right.\Something's coming...\It's Kuririn-san... But I can feel two Ki...\He's hidden his Ki! response:	It really is Kuririn-san. But who's with him?
context: Maybe so.\Never mind that, we must hurry! The Grand Elder-sama's life is nearly at an end.\Freeza might be on his way, as well.\Yeah, you're right.\Something's coming...\It's Kuririn-san... But I can feel two Ki...\He's hidden his Ki!\It really is Kuririn-san. But who's with him? response:	It's Dende-kun. Yea!
context: Never mind that, we must hurry! The Grand Elder-sama's life is nearly at an end.\Freeza might be on his way, as well.\Yeah, you're right.\Something's coming...\It's Kuririn-san... But I can feel two Ki...\He's hidden his Ki!\It really is Kuririn-san. But who's with him?\It's Dende-kun. Yea! response:	-We made it! It's Gohan! -Thank goodness!
context: Freeza might be on his way, as well.\Yeah, you're right.\Something's coming...\It's Kuririn-san... But I can feel two Ki...\He's hidden his Ki!\It really is Kuririn-san. But who's with him?\It's Dende-kun. Yea!\-We made it! It's Gohan! -Thank goodness! response:	That was incredibly fast! How did you manage it?
context: Yeah, you're right.\Something's coming...\It's Kuririn-san... But I can feel two Ki...\He's hidden his Ki!\It really is Kuririn-san. But who's with him?\It's Dende-kun. Yea!\-We made it! It's Gohan! -Thank goodness!\That was incredibly fast! How did you manage it? response:	Easy. Dende here was asked by the Grand Elder-san to come to us.
context: Something's coming...\It's Kuririn-san... But I can feel two Ki...\He's hidden his Ki!\It really is Kuririn-san. But who's with him?\It's Dende-kun. Yea!\-We made it! It's Gohan! -Thank goodness!\That was incredibly fast! How did you manage it?\Easy. Dende here was asked by the Grand Elder-san to come to us. response:	You mean, to tell us how to use the Dragonballs and get our wish granted?
context: It's Kuririn-san... But I can feel two Ki...\He's hidden his Ki!\It really is Kuririn-san. But who's with him?\It's Dende-kun. Yea!\-We made it! It's Gohan! -Thank goodness!\That was incredibly fast! How did you manage it?\Easy. Dende here was asked by the Grand Elder-san to come to us.\You mean, to tell us how to use the Dragonballs and get our wish granted? response:	Right!
context: He's hidden his Ki!\It really is Kuririn-san. But who's with him?\It's Dende-kun. Yea!\-We made it! It's Gohan! -Thank goodness!\That was incredibly fast! How did you manage it?\Easy. Dende here was asked by the Grand Elder-san to come to us.\You mean, to tell us how to use the Dragonballs and get our wish granted?\Right! response:	Now then, what's Vegeta up to? I've been holding my Ki since before we got here so he wouldn't realize we're back.
context: It really is Kuririn-san. But who's with him?\It's Dende-kun. Yea!\-We made it! It's Gohan! -Thank goodness!\That was incredibly fast! How did you manage it?\Easy. Dende here was asked by the Grand Elder-san to come to us.\You mean, to tell us how to use the Dragonballs and get our wish granted?\Right!\Now then, what's Vegeta up to? I've been holding my Ki since before we got here so he wouldn't realize we're back. response:	I don't think he's noticed. He said something about not having slept recently, and is napping inside the spaceship.
context: It's Dende-kun. Yea!\-We made it! It's Gohan! -Thank goodness!\That was incredibly fast! How did you manage it?\Easy. Dende here was asked by the Grand Elder-san to come to us.\You mean, to tell us how to use the Dragonballs and get our wish granted?\Right!\Now then, what's Vegeta up to? I've been holding my Ki since before we got here so he wouldn't realize we're back.\I don't think he's noticed. He said something about not having slept recently, and is napping inside the spaceship. response:	Great! This is working out nicely.
context: -We made it! It's Gohan! -Thank goodness!\That was incredibly fast! How did you manage it?\Easy. Dende here was asked by the Grand Elder-san to come to us.\You mean, to tell us how to use the Dragonballs and get our wish granted?\Right!\Now then, what's Vegeta up to? I've been holding my Ki since before we got here so he wouldn't realize we're back.\I don't think he's noticed. He said something about not having slept recently, and is napping inside the spaceship.\Great! This is working out nicely. response:	Okay, then. Very quietly, so Vegeta doesn't notice, we'll carry the Dragonballs over to this area.
context: That was incredibly fast! How did you manage it?\Easy. Dende here was asked by the Grand Elder-san to come to us.\You mean, to tell us how to use the Dragonballs and get our wish granted?\Right!\Now then, what's Vegeta up to? I've been holding my Ki since before we got here so he wouldn't realize we're back.\I don't think he's noticed. He said something about not having slept recently, and is napping inside the spaceship.\Great! This is working out nicely.\Okay, then. Very quietly, so Vegeta doesn't notice, we'll carry the Dragonballs over to this area. response:	That way, even if he realizes that Shenlong has appeared, well have bought some time.
context: Easy. Dende here was asked by the Grand Elder-san to come to us.\You mean, to tell us how to use the Dragonballs and get our wish granted?\Right!\Now then, what's Vegeta up to? I've been holding my Ki since before we got here so he wouldn't realize we're back.\I don't think he's noticed. He said something about not having slept recently, and is napping inside the spaceship.\Great! This is working out nicely.\Okay, then. Very quietly, so Vegeta doesn't notice, we'll carry the Dragonballs over to this area.\That way, even if he realizes that Shenlong has appeared, well have bought some time. response:	Yahoo! We did it!
context: You mean, to tell us how to use the Dragonballs and get our wish granted?\Right!\Now then, what's Vegeta up to? I've been holding my Ki since before we got here so he wouldn't realize we're back.\I don't think he's noticed. He said something about not having slept recently, and is napping inside the spaceship.\Great! This is working out nicely.\Okay, then. Very quietly, so Vegeta doesn't notice, we'll carry the Dragonballs over to this area.\That way, even if he realizes that Shenlong has appeared, well have bought some time.\Yahoo! We did it! response:	Okay, it's up to you now, Dende.
context: Right!\Now then, what's Vegeta up to? I've been holding my Ki since before we got here so he wouldn't realize we're back.\I don't think he's noticed. He said something about not having slept recently, and is napping inside the spaceship.\Great! This is working out nicely.\Okay, then. Very quietly, so Vegeta doesn't notice, we'll carry the Dragonballs over to this area.\That way, even if he realizes that Shenlong has appeared, well have bought some time.\Yahoo! We did it!\Okay, it's up to you now, Dende. response:	Right!
context: Now then, what's Vegeta up to? I've been holding my Ki since before we got here so he wouldn't realize we're back.\I don't think he's noticed. He said something about not having slept recently, and is napping inside the spaceship.\Great! This is working out nicely.\Okay, then. Very quietly, so Vegeta doesn't notice, we'll carry the Dragonballs over to this area.\That way, even if he realizes that Shenlong has appeared, well have bought some time.\Yahoo! We did it!\Okay, it's up to you now, Dende.\Right! response:	Kuririn-san, Something's coming this way. Very fast.
context: I don't think he's noticed. He said something about not having slept recently, and is napping inside the spaceship.\Great! This is working out nicely.\Okay, then. Very quietly, so Vegeta doesn't notice, we'll carry the Dragonballs over to this area.\That way, even if he realizes that Shenlong has appeared, well have bought some time.\Yahoo! We did it!\Okay, it's up to you now, Dende.\Right!\Kuririn-san, Something's coming this way. Very fast. response:	It's Freeza!
context: Great! This is working out nicely.\Okay, then. Very quietly, so Vegeta doesn't notice, we'll carry the Dragonballs over to this area.\That way, even if he realizes that Shenlong has appeared, well have bought some time.\Yahoo! We did it!\Okay, it's up to you now, Dende.\Right!\Kuririn-san, Something's coming this way. Very fast.\It's Freeza! response:	Hurry, Dende! Hurry and get our wish granted!
context: Okay, then. Very quietly, so Vegeta doesn't notice, we'll carry the Dragonballs over to this area.\That way, even if he realizes that Shenlong has appeared, well have bought some time.\Yahoo! We did it!\Okay, it's up to you now, Dende.\Right!\Kuririn-san, Something's coming this way. Very fast.\It's Freeza!\Hurry, Dende! Hurry and get our wish granted! response:	Nothing's happening.
context: That way, even if he realizes that Shenlong has appeared, well have bought some time.\Yahoo! We did it!\Okay, it's up to you now, Dende.\Right!\Kuririn-san, Something's coming this way. Very fast.\It's Freeza!\Hurry, Dende! Hurry and get our wish granted!\Nothing's happening. response:	Hey, Dende, are you sure you didn't goof up the password?
context: Yahoo! We did it!\Okay, it's up to you now, Dende.\Right!\Kuririn-san, Something's coming this way. Very fast.\It's Freeza!\Hurry, Dende! Hurry and get our wish granted!\Nothing's happening.\Hey, Dende, are you sure you didn't goof up the password? response:	They're glowing!
context: Okay, it's up to you now, Dende.\Right!\Kuririn-san, Something's coming this way. Very fast.\It's Freeza!\Hurry, Dende! Hurry and get our wish granted!\Nothing's happening.\Hey, Dende, are you sure you didn't goof up the password?\They're glowing! response:	The sky is getting dark!
context: Right!\Kuririn-san, Something's coming this way. Very fast.\It's Freeza!\Hurry, Dende! Hurry and get our wish granted!\Nothing's happening.\Hey, Dende, are you sure you didn't goof up the password?\They're glowing!\The sky is getting dark! response:	Just like the Dragonballs on Earth!
context: Kuririn-san, Something's coming this way. Very fast.\It's Freeza!\Hurry, Dende! Hurry and get our wish granted!\Nothing's happening.\Hey, Dende, are you sure you didn't goof up the password?\They're glowing!\The sky is getting dark!\Just like the Dragonballs on Earth! response:	What's this? Why has it suddenly become night?
context: It's Freeza!\Hurry, Dende! Hurry and get our wish granted!\Nothing's happening.\Hey, Dende, are you sure you didn't goof up the password?\They're glowing!\The sky is getting dark!\Just like the Dragonballs on Earth!\What's this? Why has it suddenly become night? response:	It looks like the wish will soon be granted!
context: Hurry, Dende! Hurry and get our wish granted!\Nothing's happening.\Hey, Dende, are you sure you didn't goof up the password?\They're glowing!\The sky is getting dark!\Just like the Dragonballs on Earth!\What's this? Why has it suddenly become night?\It looks like the wish will soon be granted! response:	-They did it! -Yeah!
context: Nothing's happening.\Hey, Dende, are you sure you didn't goof up the password?\They're glowing!\The sky is getting dark!\Just like the Dragonballs on Earth!\What's this? Why has it suddenly become night?\It looks like the wish will soon be granted!\-They did it! -Yeah! response:	We can finally return to life!
context: Hey, Dende, are you sure you didn't goof up the password?\They're glowing!\The sky is getting dark!\Just like the Dragonballs on Earth!\What's this? Why has it suddenly become night?\It looks like the wish will soon be granted!\-They did it! -Yeah!\We can finally return to life! response:	Isn't this great, Ten-san?
context: They're glowing!\The sky is getting dark!\Just like the Dragonballs on Earth!\What's this? Why has it suddenly become night?\It looks like the wish will soon be granted!\-They did it! -Yeah!\We can finally return to life!\Isn't this great, Ten-san? response:	He- he's huge! Far bigger than the one on Earth.
context: The sky is getting dark!\Just like the Dragonballs on Earth!\What's this? Why has it suddenly become night?\It looks like the wish will soon be granted!\-They did it! -Yeah!\We can finally return to life!\Isn't this great, Ten-san?\He- he's huge! Far bigger than the one on Earth. response:	Is-is that Shenlong?
context: Just like the Dragonballs on Earth!\What's this? Why has it suddenly become night?\It looks like the wish will soon be granted!\-They did it! -Yeah!\We can finally return to life!\Isn't this great, Ten-san?\He- he's huge! Far bigger than the one on Earth.\Is-is that Shenlong? response:	Here, he is called Porunga. It means God of Dreams'.
context: What's this? Why has it suddenly become night?\It looks like the wish will soon be granted!\-They did it! -Yeah!\We can finally return to life!\Isn't this great, Ten-san?\He- he's huge! Far bigger than the one on Earth.\Is-is that Shenlong?\Here, he is called Porunga. It means God of Dreams'. response:	This is the first time I've seen him, too.
context: It looks like the wish will soon be granted!\-They did it! -Yeah!\We can finally return to life!\Isn't this great, Ten-san?\He- he's huge! Far bigger than the one on Earth.\Is-is that Shenlong?\Here, he is called Porunga. It means God of Dreams'.\This is the first time I've seen him, too. response:	Thou who hast gathered the Dragonballs, now speak thy wishes.
context: -They did it! -Yeah!\We can finally return to life!\Isn't this great, Ten-san?\He- he's huge! Far bigger than the one on Earth.\Is-is that Shenlong?\Here, he is called Porunga. It means God of Dreams'.\This is the first time I've seen him, too.\Thou who hast gathered the Dragonballs, now speak thy wishes. response:	I shall grant thee any three wishes, whichsoever art within my ability.
context: We can finally return to life!\Isn't this great, Ten-san?\He- he's huge! Far bigger than the one on Earth.\Is-is that Shenlong?\Here, he is called Porunga. It means God of Dreams'.\This is the first time I've seen him, too.\Thou who hast gathered the Dragonballs, now speak thy wishes.\I shall grant thee any three wishes, whichsoever art within my ability. response:	Three? Did he just say three?
context: Isn't this great, Ten-san?\He- he's huge! Far bigger than the one on Earth.\Is-is that Shenlong?\Here, he is called Porunga. It means God of Dreams'.\This is the first time I've seen him, too.\Thou who hast gathered the Dragonballs, now speak thy wishes.\I shall grant thee any three wishes, whichsoever art within my ability.\Three? Did he just say three? response:	That's right. You can have three wishes granted.
context: He- he's huge! Far bigger than the one on Earth.\Is-is that Shenlong?\Here, he is called Porunga. It means God of Dreams'.\This is the first time I've seen him, too.\Thou who hast gathered the Dragonballs, now speak thy wishes.\I shall grant thee any three wishes, whichsoever art within my ability.\Three? Did he just say three?\That's right. You can have three wishes granted. response:	Really!? Looks like Nail-san was right!
context: Is-is that Shenlong?\Here, he is called Porunga. It means God of Dreams'.\This is the first time I've seen him, too.\Thou who hast gathered the Dragonballs, now speak thy wishes.\I shall grant thee any three wishes, whichsoever art within my ability.\Three? Did he just say three?\That's right. You can have three wishes granted.\Really!? Looks like Nail-san was right! response:	What should we do? We have three wishes, three!
context: Here, he is called Porunga. It means God of Dreams'.\This is the first time I've seen him, too.\Thou who hast gathered the Dragonballs, now speak thy wishes.\I shall grant thee any three wishes, whichsoever art within my ability.\Three? Did he just say three?\That's right. You can have three wishes granted.\Really!? Looks like Nail-san was right!\What should we do? We have three wishes, three! response:	Porunga, the Super Shenlong finally appears.
context: This is the first time I've seen him, too.\Thou who hast gathered the Dragonballs, now speak thy wishes.\I shall grant thee any three wishes, whichsoever art within my ability.\Three? Did he just say three?\That's right. You can have three wishes granted.\Really!? Looks like Nail-san was right!\What should we do? We have three wishes, three!\Porunga, the Super Shenlong finally appears. response:	What will Kuririn and the others ask for with their three wishes?
