context: Huh?! response:	Come out. I've known you were there for some time now.
context: He's toying with me! He can read my mind!\Sango, are you able to move now?\I can manage...\Don't push yourself!\Would you like a little more medicine for the pain?\I'm okay. Besides, isn't it dangerous to stay here?\Kagura was nearby...\I'm all right. Kagome, go tend to Inuyasha. response:	Never mind him! It seems he can walk.
context: Sango, are you able to move now?\I can manage...\Don't push yourself!\Would you like a little more medicine for the pain?\I'm okay. Besides, isn't it dangerous to stay here?\Kagura was nearby...\I'm all right. Kagome, go tend to Inuyasha.\Never mind him! It seems he can walk. response:	Apologize to Kagome, Inuyasha!
context: I can manage...\Don't push yourself!\Would you like a little more medicine for the pain?\I'm okay. Besides, isn't it dangerous to stay here?\Kagura was nearby...\I'm all right. Kagome, go tend to Inuyasha.\Never mind him! It seems he can walk.\Apologize to Kagome, Inuyasha! response:	I'm caught in between and I don't like it!
context: Don't push yourself!\Would you like a little more medicine for the pain?\I'm okay. Besides, isn't it dangerous to stay here?\Kagura was nearby...\I'm all right. Kagome, go tend to Inuyasha.\Never mind him! It seems he can walk.\Apologize to Kagome, Inuyasha!\I'm caught in between and I don't like it! response:	I'd much rather stroke Sango's white skin...
context: Would you like a little more medicine for the pain?\I'm okay. Besides, isn't it dangerous to stay here?\Kagura was nearby...\I'm all right. Kagome, go tend to Inuyasha.\Never mind him! It seems he can walk.\Apologize to Kagome, Inuyasha!\I'm caught in between and I don't like it!\I'd much rather stroke Sango's white skin... response:	No thanks!
context: I'm okay. Besides, isn't it dangerous to stay here?\Kagura was nearby...\I'm all right. Kagome, go tend to Inuyasha.\Never mind him! It seems he can walk.\Apologize to Kagome, Inuyasha!\I'm caught in between and I don't like it!\I'd much rather stroke Sango's white skin...\No thanks! response:	What's the matter, Inuyasha?!
context: Kagura was nearby...\I'm all right. Kagome, go tend to Inuyasha.\Never mind him! It seems he can walk.\Apologize to Kagome, Inuyasha!\I'm caught in between and I don't like it!\I'd much rather stroke Sango's white skin...\No thanks!\What's the matter, Inuyasha?! response:	I smell a dead man.
context: I'm all right. Kagome, go tend to Inuyasha.\Never mind him! It seems he can walk.\Apologize to Kagome, Inuyasha!\I'm caught in between and I don't like it!\I'd much rather stroke Sango's white skin...\No thanks!\What's the matter, Inuyasha?!\I smell a dead man. response:	Huh? Dead man?
context: Never mind him! It seems he can walk.\Apologize to Kagome, Inuyasha!\I'm caught in between and I don't like it!\I'd much rather stroke Sango's white skin...\No thanks!\What's the matter, Inuyasha?!\I smell a dead man.\Huh? Dead man? response:	A demon came!
context: Apologize to Kagome, Inuyasha!\I'm caught in between and I don't like it!\I'd much rather stroke Sango's white skin...\No thanks!\What's the matter, Inuyasha?!\I smell a dead man.\Huh? Dead man?\A demon came! response:	All the villagers have been devoured.
context: I'm caught in between and I don't like it!\I'd much rather stroke Sango's white skin...\No thanks!\What's the matter, Inuyasha?!\I smell a dead man.\Huh? Dead man?\A demon came!\All the villagers have been devoured. response:	Demon?
context: I'd much rather stroke Sango's white skin...\No thanks!\What's the matter, Inuyasha?!\I smell a dead man.\Huh? Dead man?\A demon came!\All the villagers have been devoured.\Demon? response:	With a spider scar on its back!
context: No thanks!\What's the matter, Inuyasha?!\I smell a dead man.\Huh? Dead man?\A demon came!\All the villagers have been devoured.\Demon?\With a spider scar on its back! response:	Spider scar on his back?!
context: What's the matter, Inuyasha?!\I smell a dead man.\Huh? Dead man?\A demon came!\All the villagers have been devoured.\Demon?\With a spider scar on its back!\Spider scar on his back?! response:	Another one of Naraku's incarnations!
context: I smell a dead man.\Huh? Dead man?\A demon came!\All the villagers have been devoured.\Demon?\With a spider scar on its back!\Spider scar on his back?!\Another one of Naraku's incarnations! response:	H-help!
context: Huh? Dead man?\A demon came!\All the villagers have been devoured.\Demon?\With a spider scar on its back!\Spider scar on his back?!\Another one of Naraku's incarnations!\H-help! response:	H-he was dead all along!
context: A demon came!\All the villagers have been devoured.\Demon?\With a spider scar on its back!\Spider scar on his back?!\Another one of Naraku's incarnations!\H-help!\H-he was dead all along! response:	He was probably being controlled by Kagura with her fan.
context: All the villagers have been devoured.\Demon?\With a spider scar on its back!\Spider scar on his back?!\Another one of Naraku's incarnations!\H-help!\H-he was dead all along!\He was probably being controlled by Kagura with her fan. response:	This is a trap.
context: Demon?\With a spider scar on its back!\Spider scar on his back?!\Another one of Naraku's incarnations!\H-help!\H-he was dead all along!\He was probably being controlled by Kagura with her fan.\This is a trap. response:	A lure to meet the three demons.
context: With a spider scar on its back!\Spider scar on his back?!\Another one of Naraku's incarnations!\H-help!\H-he was dead all along!\He was probably being controlled by Kagura with her fan.\This is a trap.\A lure to meet the three demons. response:	Will you go?
context: Spider scar on his back?!\Another one of Naraku's incarnations!\H-help!\H-he was dead all along!\He was probably being controlled by Kagura with her fan.\This is a trap.\A lure to meet the three demons.\Will you go? response:	You can't, Inuyasha! Your wounds aren't healed yet!
context: Another one of Naraku's incarnations!\H-help!\H-he was dead all along!\He was probably being controlled by Kagura with her fan.\This is a trap.\A lure to meet the three demons.\Will you go?\You can't, Inuyasha! Your wounds aren't healed yet! response:	I have no choice!
context: H-help!\H-he was dead all along!\He was probably being controlled by Kagura with her fan.\This is a trap.\A lure to meet the three demons.\Will you go?\You can't, Inuyasha! Your wounds aren't healed yet!\I have no choice! response:	Sending a dead man here means they know our whereabouts.
context: H-he was dead all along!\He was probably being controlled by Kagura with her fan.\This is a trap.\A lure to meet the three demons.\Will you go?\You can't, Inuyasha! Your wounds aren't healed yet!\I have no choice!\Sending a dead man here means they know our whereabouts. response:	Yes... which means it's useless to try and escape.
context: He was probably being controlled by Kagura with her fan.\This is a trap.\A lure to meet the three demons.\Will you go?\You can't, Inuyasha! Your wounds aren't healed yet!\I have no choice!\Sending a dead man here means they know our whereabouts.\Yes... which means it's useless to try and escape. response:	Well then, I'm going!
context: This is a trap.\A lure to meet the three demons.\Will you go?\You can't, Inuyasha! Your wounds aren't healed yet!\I have no choice!\Sending a dead man here means they know our whereabouts.\Yes... which means it's useless to try and escape.\Well then, I'm going! response:	Sooner or later, they are gonna attack!
context: A lure to meet the three demons.\Will you go?\You can't, Inuyasha! Your wounds aren't healed yet!\I have no choice!\Sending a dead man here means they know our whereabouts.\Yes... which means it's useless to try and escape.\Well then, I'm going!\Sooner or later, they are gonna attack! response:	One or two kids, just let them go!
context: Will you go?\You can't, Inuyasha! Your wounds aren't healed yet!\I have no choice!\Sending a dead man here means they know our whereabouts.\Yes... which means it's useless to try and escape.\Well then, I'm going!\Sooner or later, they are gonna attack!\One or two kids, just let them go! response:	I told Naraku I'd annihilate the entire village.
context: You can't, Inuyasha! Your wounds aren't healed yet!\I have no choice!\Sending a dead man here means they know our whereabouts.\Yes... which means it's useless to try and escape.\Well then, I'm going!\Sooner or later, they are gonna attack!\One or two kids, just let them go!\I told Naraku I'd annihilate the entire village. response:	So I'll kill every human!
context: I have no choice!\Sending a dead man here means they know our whereabouts.\Yes... which means it's useless to try and escape.\Well then, I'm going!\Sooner or later, they are gonna attack!\One or two kids, just let them go!\I told Naraku I'd annihilate the entire village.\So I'll kill every human! response:	And every horse, dog and fowl!
context: Sending a dead man here means they know our whereabouts.\Yes... which means it's useless to try and escape.\Well then, I'm going!\Sooner or later, they are gonna attack!\One or two kids, just let them go!\I told Naraku I'd annihilate the entire village.\So I'll kill every human!\And every horse, dog and fowl! response:	I'm not interested in keeping you company. Do as you please.
context: Yes... which means it's useless to try and escape.\Well then, I'm going!\Sooner or later, they are gonna attack!\One or two kids, just let them go!\I told Naraku I'd annihilate the entire village.\So I'll kill every human!\And every horse, dog and fowl!\I'm not interested in keeping you company. Do as you please. response:	Don't cry, Yuki.
context: Well then, I'm going!\Sooner or later, they are gonna attack!\One or two kids, just let them go!\I told Naraku I'd annihilate the entire village.\So I'll kill every human!\And every horse, dog and fowl!\I'm not interested in keeping you company. Do as you please.\Don't cry, Yuki. response:	If we hide under the hay, it won't find us!
context: Sooner or later, they are gonna attack!\One or two kids, just let them go!\I told Naraku I'd annihilate the entire village.\So I'll kill every human!\And every horse, dog and fowl!\I'm not interested in keeping you company. Do as you please.\Don't cry, Yuki.\If we hide under the hay, it won't find us! response:	Brother!
context: One or two kids, just let them go!\I told Naraku I'd annihilate the entire village.\So I'll kill every human!\And every horse, dog and fowl!\I'm not interested in keeping you company. Do as you please.\Don't cry, Yuki.\If we hide under the hay, it won't find us!\Brother! response:	So you thought that hiding in the hay would protect you?
context: I told Naraku I'd annihilate the entire village.\So I'll kill every human!\And every horse, dog and fowl!\I'm not interested in keeping you company. Do as you please.\Don't cry, Yuki.\If we hide under the hay, it won't find us!\Brother!\So you thought that hiding in the hay would protect you? response:	You cried to your ma and pa to save you, huh?
context: So I'll kill every human!\And every horse, dog and fowl!\I'm not interested in keeping you company. Do as you please.\Don't cry, Yuki.\If we hide under the hay, it won't find us!\Brother!\So you thought that hiding in the hay would protect you?\You cried to your ma and pa to save you, huh? response:	I ate them up a while ago.
context: And every horse, dog and fowl!\I'm not interested in keeping you company. Do as you please.\Don't cry, Yuki.\If we hide under the hay, it won't find us!\Brother!\So you thought that hiding in the hay would protect you?\You cried to your ma and pa to save you, huh?\I ate them up a while ago. response:	I'm not lying. Look inside my belly!
context: I'm not interested in keeping you company. Do as you please.\Don't cry, Yuki.\If we hide under the hay, it won't find us!\Brother!\So you thought that hiding in the hay would protect you?\You cried to your ma and pa to save you, huh?\I ate them up a while ago.\I'm not lying. Look inside my belly! response:	Iron-Reaver, Soul-Stealer!
context: Don't cry, Yuki.\If we hide under the hay, it won't find us!\Brother!\So you thought that hiding in the hay would protect you?\You cried to your ma and pa to save you, huh?\I ate them up a while ago.\I'm not lying. Look inside my belly!\Iron-Reaver, Soul-Stealer! response:	Run away!
context: If we hide under the hay, it won't find us!\Brother!\So you thought that hiding in the hay would protect you?\You cried to your ma and pa to save you, huh?\I ate them up a while ago.\I'm not lying. Look inside my belly!\Iron-Reaver, Soul-Stealer!\Run away! response:	W-what?!
context: Brother!\So you thought that hiding in the hay would protect you?\You cried to your ma and pa to save you, huh?\I ate them up a while ago.\I'm not lying. Look inside my belly!\Iron-Reaver, Soul-Stealer!\Run away!\W-what?! response:	That demon...
context: So you thought that hiding in the hay would protect you?\You cried to your ma and pa to save you, huh?\I ate them up a while ago.\I'm not lying. Look inside my belly!\Iron-Reaver, Soul-Stealer!\Run away!\W-what?!\That demon... response:	Has the spider scar on its back!
context: You cried to your ma and pa to save you, huh?\I ate them up a while ago.\I'm not lying. Look inside my belly!\Iron-Reaver, Soul-Stealer!\Run away!\W-what?!\That demon...\Has the spider scar on its back! response:	So you're the third incarnation of Naraku?
context: I ate them up a while ago.\I'm not lying. Look inside my belly!\Iron-Reaver, Soul-Stealer!\Run away!\W-what?!\That demon...\Has the spider scar on its back!\So you're the third incarnation of Naraku? response:	So you've drawn the Tetsusaiga.
context: I'm not lying. Look inside my belly!\Iron-Reaver, Soul-Stealer!\Run away!\W-what?!\That demon...\Has the spider scar on its back!\So you're the third incarnation of Naraku?\So you've drawn the Tetsusaiga. response:	You thought I was big in body and small in power, huh?
context: Iron-Reaver, Soul-Stealer!\Run away!\W-what?!\That demon...\Has the spider scar on its back!\So you're the third incarnation of Naraku?\So you've drawn the Tetsusaiga.\You thought I was big in body and small in power, huh? response:	W- what?!
context: Run away!\W-what?!\That demon...\Has the spider scar on its back!\So you're the third incarnation of Naraku?\So you've drawn the Tetsusaiga.\You thought I was big in body and small in power, huh?\W- what?! response:	He can read my mind!
context: W-what?!\That demon...\Has the spider scar on its back!\So you're the third incarnation of Naraku?\So you've drawn the Tetsusaiga.\You thought I was big in body and small in power, huh?\W- what?!\He can read my mind! response:	Yes, Inuyasha.
context: That demon...\Has the spider scar on its back!\So you're the third incarnation of Naraku?\So you've drawn the Tetsusaiga.\You thought I was big in body and small in power, huh?\W- what?!\He can read my mind!\Yes, Inuyasha. response:	I am able to read my opponent's mind.
context: Has the spider scar on its back!\So you're the third incarnation of Naraku?\So you've drawn the Tetsusaiga.\You thought I was big in body and small in power, huh?\W- what?!\He can read my mind!\Yes, Inuyasha.\I am able to read my opponent's mind. response:	My sisters, Kagura and Kanna, were simply the opening acts...
context: So you're the third incarnation of Naraku?\So you've drawn the Tetsusaiga.\You thought I was big in body and small in power, huh?\W- what?!\He can read my mind!\Yes, Inuyasha.\I am able to read my opponent's mind.\My sisters, Kagura and Kanna, were simply the opening acts... response:	until I, Goshinki, made my debut!
context: So you've drawn the Tetsusaiga.\You thought I was big in body and small in power, huh?\W- what?!\He can read my mind!\Yes, Inuyasha.\I am able to read my opponent's mind.\My sisters, Kagura and Kanna, were simply the opening acts...\until I, Goshinki, made my debut! response:	You're nothing!
context: You thought I was big in body and small in power, huh?\W- what?!\He can read my mind!\Yes, Inuyasha.\I am able to read my opponent's mind.\My sisters, Kagura and Kanna, were simply the opening acts...\until I, Goshinki, made my debut!\You're nothing! response:	Didn't I tell you? I can read minds.
context: W- what?!\He can read my mind!\Yes, Inuyasha.\I am able to read my opponent's mind.\My sisters, Kagura and Kanna, were simply the opening acts...\until I, Goshinki, made my debut!\You're nothing!\Didn't I tell you? I can read minds. response:	You seem to be in pain.
context: He can read my mind!\Yes, Inuyasha.\I am able to read my opponent's mind.\My sisters, Kagura and Kanna, were simply the opening acts...\until I, Goshinki, made my debut!\You're nothing!\Didn't I tell you? I can read minds.\You seem to be in pain. response:	What? Have you reached your limit?
context: Yes, Inuyasha.\I am able to read my opponent's mind.\My sisters, Kagura and Kanna, were simply the opening acts...\until I, Goshinki, made my debut!\You're nothing!\Didn't I tell you? I can read minds.\You seem to be in pain.\What? Have you reached your limit? response:	Damn you! I've had just about enough!
context: I am able to read my opponent's mind.\My sisters, Kagura and Kanna, were simply the opening acts...\until I, Goshinki, made my debut!\You're nothing!\Didn't I tell you? I can read minds.\You seem to be in pain.\What? Have you reached your limit?\Damn you! I've had just about enough! response:	Take this!
context: My sisters, Kagura and Kanna, were simply the opening acts...\until I, Goshinki, made my debut!\You're nothing!\Didn't I tell you? I can read minds.\You seem to be in pain.\What? Have you reached your limit?\Damn you! I've had just about enough!\Take this! response:	W-what?!
context: until I, Goshinki, made my debut!\You're nothing!\Didn't I tell you? I can read minds.\You seem to be in pain.\What? Have you reached your limit?\Damn you! I've had just about enough!\Take this!\W-what?! response:	I can see right through your swordplay!
context: You're nothing!\Didn't I tell you? I can read minds.\You seem to be in pain.\What? Have you reached your limit?\Damn you! I've had just about enough!\Take this!\W-what?!\I can see right through your swordplay! response:	Inuyasha!
context: Didn't I tell you? I can read minds.\You seem to be in pain.\What? Have you reached your limit?\Damn you! I've had just about enough!\Take this!\W-what?!\I can see right through your swordplay!\Inuyasha! response:	No! He's not in shape to fight!
context: You seem to be in pain.\What? Have you reached your limit?\Damn you! I've had just about enough!\Take this!\W-what?!\I can see right through your swordplay!\Inuyasha!\No! He's not in shape to fight! response:	- Wind Tunnel! - No!
context: What? Have you reached your limit?\Damn you! I've had just about enough!\Take this!\W-what?!\I can see right through your swordplay!\Inuyasha!\No! He's not in shape to fight!\- Wind Tunnel! - No! response:	Naraku's poison insects!
context: Damn you! I've had just about enough!\Take this!\W-what?!\I can see right through your swordplay!\Inuyasha!\No! He's not in shape to fight!\- Wind Tunnel! - No!\Naraku's poison insects! response:	Monk, thought you could suck me up into that Wind Tunnel?
context: Take this!\W-what?!\I can see right through your swordplay!\Inuyasha!\No! He's not in shape to fight!\- Wind Tunnel! - No!\Naraku's poison insects!\Monk, thought you could suck me up into that Wind Tunnel? response:	Too bad I know all of your weaknesses.
context: W-what?!\I can see right through your swordplay!\Inuyasha!\No! He's not in shape to fight!\- Wind Tunnel! - No!\Naraku's poison insects!\Monk, thought you could suck me up into that Wind Tunnel?\Too bad I know all of your weaknesses. response:	Kagome...
context: I can see right through your swordplay!\Inuyasha!\No! He's not in shape to fight!\- Wind Tunnel! - No!\Naraku's poison insects!\Monk, thought you could suck me up into that Wind Tunnel?\Too bad I know all of your weaknesses.\Kagome... response:	forget about shooting your arrow at me.
context: Inuyasha!\No! He's not in shape to fight!\- Wind Tunnel! - No!\Naraku's poison insects!\Monk, thought you could suck me up into that Wind Tunnel?\Too bad I know all of your weaknesses.\Kagome...\forget about shooting your arrow at me. response:	Before you draw your arrow, I'll kill you.
context: No! He's not in shape to fight!\- Wind Tunnel! - No!\Naraku's poison insects!\Monk, thought you could suck me up into that Wind Tunnel?\Too bad I know all of your weaknesses.\Kagome...\forget about shooting your arrow at me.\Before you draw your arrow, I'll kill you. response:	Sango, you can't fight.
context: - Wind Tunnel! - No!\Naraku's poison insects!\Monk, thought you could suck me up into that Wind Tunnel?\Too bad I know all of your weaknesses.\Kagome...\forget about shooting your arrow at me.\Before you draw your arrow, I'll kill you.\Sango, you can't fight. response:	You still can't move due to that blow you received...
context: Naraku's poison insects!\Monk, thought you could suck me up into that Wind Tunnel?\Too bad I know all of your weaknesses.\Kagome...\forget about shooting your arrow at me.\Before you draw your arrow, I'll kill you.\Sango, you can't fight.\You still can't move due to that blow you received... response:	from your Hiraikotsu!
context: Monk, thought you could suck me up into that Wind Tunnel?\Too bad I know all of your weaknesses.\Kagome...\forget about shooting your arrow at me.\Before you draw your arrow, I'll kill you.\Sango, you can't fight.\You still can't move due to that blow you received...\from your Hiraikotsu! response:	What about me?!
context: Too bad I know all of your weaknesses.\Kagome...\forget about shooting your arrow at me.\Before you draw your arrow, I'll kill you.\Sango, you can't fight.\You still can't move due to that blow you received...\from your Hiraikotsu!\What about me?! response:	Hey! Why do you ignore only me?!
context: Kagome...\forget about shooting your arrow at me.\Before you draw your arrow, I'll kill you.\Sango, you can't fight.\You still can't move due to that blow you received...\from your Hiraikotsu!\What about me?!\Hey! Why do you ignore only me?! response:	Don't worry, Shippo. He's just playing with you.
context: forget about shooting your arrow at me.\Before you draw your arrow, I'll kill you.\Sango, you can't fight.\You still can't move due to that blow you received...\from your Hiraikotsu!\What about me?!\Hey! Why do you ignore only me?!\Don't worry, Shippo. He's just playing with you. response:	You're those kids...
context: Before you draw your arrow, I'll kill you.\Sango, you can't fight.\You still can't move due to that blow you received...\from your Hiraikotsu!\What about me?!\Hey! Why do you ignore only me?!\Don't worry, Shippo. He's just playing with you.\You're those kids... response:	I told you to run! Why are you still?
context: Sango, you can't fight.\You still can't move due to that blow you received...\from your Hiraikotsu!\What about me?!\Hey! Why do you ignore only me?!\Don't worry, Shippo. He's just playing with you.\You're those kids...\I told you to run! Why are you still? response:	Did those...
context: You still can't move due to that blow you received...\from your Hiraikotsu!\What about me?!\Hey! Why do you ignore only me?!\Don't worry, Shippo. He's just playing with you.\You're those kids...\I told you to run! Why are you still?\Did those... response:	belong to your ma and pa?
context: from your Hiraikotsu!\What about me?!\Hey! Why do you ignore only me?!\Don't worry, Shippo. He's just playing with you.\You're those kids...\I told you to run! Why are you still?\Did those...\belong to your ma and pa? response:	Unforgivable... I'll kill him......
context: What about me?!\Hey! Why do you ignore only me?!\Don't worry, Shippo. He's just playing with you.\You're those kids...\I told you to run! Why are you still?\Did those...\belong to your ma and pa?\Unforgivable... I'll kill him...... response:	Isn't that what you're thinking, Inuyasha?
context: Hey! Why do you ignore only me?!\Don't worry, Shippo. He's just playing with you.\You're those kids...\I told you to run! Why are you still?\Did those...\belong to your ma and pa?\Unforgivable... I'll kill him......\Isn't that what you're thinking, Inuyasha? response:	Don't make me laugh.
context: Don't worry, Shippo. He's just playing with you.\You're those kids...\I told you to run! Why are you still?\Did those...\belong to your ma and pa?\Unforgivable... I'll kill him......\Isn't that what you're thinking, Inuyasha?\Don't make me laugh. response:	You're merely a half-demon, Inuyasha.
context: You're those kids...\I told you to run! Why are you still?\Did those...\belong to your ma and pa?\Unforgivable... I'll kill him......\Isn't that what you're thinking, Inuyasha?\Don't make me laugh.\You're merely a half-demon, Inuyasha. response:	Demon blood courses through half of you...
context: I told you to run! Why are you still?\Did those...\belong to your ma and pa?\Unforgivable... I'll kill him......\Isn't that what you're thinking, Inuyasha?\Don't make me laugh.\You're merely a half-demon, Inuyasha.\Demon blood courses through half of you... response:	yet you still take pity on humans?
context: Did those...\belong to your ma and pa?\Unforgivable... I'll kill him......\Isn't that what you're thinking, Inuyasha?\Don't make me laugh.\You're merely a half-demon, Inuyasha.\Demon blood courses through half of you...\yet you still take pity on humans? response:	Shaddup!
context: belong to your ma and pa?\Unforgivable... I'll kill him......\Isn't that what you're thinking, Inuyasha?\Don't make me laugh.\You're merely a half-demon, Inuyasha.\Demon blood courses through half of you...\yet you still take pity on humans?\Shaddup! response:	I'll kill you!
context: Unforgivable... I'll kill him......\Isn't that what you're thinking, Inuyasha?\Don't make me laugh.\You're merely a half-demon, Inuyasha.\Demon blood courses through half of you...\yet you still take pity on humans?\Shaddup!\I'll kill you! response:	The line which brings out the ultimate power of the Tetsusaiga...
context: Isn't that what you're thinking, Inuyasha?\Don't make me laugh.\You're merely a half-demon, Inuyasha.\Demon blood courses through half of you...\yet you still take pity on humans?\Shaddup!\I'll kill you!\The line which brings out the ultimate power of the Tetsusaiga... response:	the Wind Scar!
context: Don't make me laugh.\You're merely a half-demon, Inuyasha.\Demon blood courses through half of you...\yet you still take pity on humans?\Shaddup!\I'll kill you!\The line which brings out the ultimate power of the Tetsusaiga...\the Wind Scar! response:	Inuyasha, you're trying to cut through the Wind Scar and blast me away.
context: You're merely a half-demon, Inuyasha.\Demon blood courses through half of you...\yet you still take pity on humans?\Shaddup!\I'll kill you!\The line which brings out the ultimate power of the Tetsusaiga...\the Wind Scar!\Inuyasha, you're trying to cut through the Wind Scar and blast me away. response:	If you already know...
context: Demon blood courses through half of you...\yet you still take pity on humans?\Shaddup!\I'll kill you!\The line which brings out the ultimate power of the Tetsusaiga...\the Wind Scar!\Inuyasha, you're trying to cut through the Wind Scar and blast me away.\If you already know... response:	prepare to die!
context: yet you still take pity on humans?\Shaddup!\I'll kill you!\The line which brings out the ultimate power of the Tetsusaiga...\the Wind Scar!\Inuyasha, you're trying to cut through the Wind Scar and blast me away.\If you already know...\prepare to die! response:	He cast away the Wind Scar!
context: Shaddup!\I'll kill you!\The line which brings out the ultimate power of the Tetsusaiga...\the Wind Scar!\Inuyasha, you're trying to cut through the Wind Scar and blast me away.\If you already know...\prepare to die!\He cast away the Wind Scar! response:	Stupid!
context: I'll kill you!\The line which brings out the ultimate power of the Tetsusaiga...\the Wind Scar!\Inuyasha, you're trying to cut through the Wind Scar and blast me away.\If you already know...\prepare to die!\He cast away the Wind Scar!\Stupid! response:	Then I'll just deliver a direct blow to your head!
context: The line which brings out the ultimate power of the Tetsusaiga...\the Wind Scar!\Inuyasha, you're trying to cut through the Wind Scar and blast me away.\If you already know...\prepare to die!\He cast away the Wind Scar!\Stupid!\Then I'll just deliver a direct blow to your head! response:	The Tetsusaiga is just another dog's fang!
context: the Wind Scar!\Inuyasha, you're trying to cut through the Wind Scar and blast me away.\If you already know...\prepare to die!\He cast away the Wind Scar!\Stupid!\Then I'll just deliver a direct blow to your head!\The Tetsusaiga is just another dog's fang! response:	The Tetsusaiga has been broken!
context: Inuyasha, you're trying to cut through the Wind Scar and blast me away.\If you already know...\prepare to die!\He cast away the Wind Scar!\Stupid!\Then I'll just deliver a direct blow to your head!\The Tetsusaiga is just another dog's fang!\The Tetsusaiga has been broken! response:	I guess this proves that a demon's fangs are stronger.
context: If you already know...\prepare to die!\He cast away the Wind Scar!\Stupid!\Then I'll just deliver a direct blow to your head!\The Tetsusaiga is just another dog's fang!\The Tetsusaiga has been broken!\I guess this proves that a demon's fangs are stronger. response:	He bit apart my Tetsusaiga!
context: prepare to die!\He cast away the Wind Scar!\Stupid!\Then I'll just deliver a direct blow to your head!\The Tetsusaiga is just another dog's fang!\The Tetsusaiga has been broken!\I guess this proves that a demon's fangs are stronger.\He bit apart my Tetsusaiga! response:	Inuyasha!
context: He cast away the Wind Scar!\Stupid!\Then I'll just deliver a direct blow to your head!\The Tetsusaiga is just another dog's fang!\The Tetsusaiga has been broken!\I guess this proves that a demon's fangs are stronger.\He bit apart my Tetsusaiga!\Inuyasha! response:	Inuyasha...
context: Stupid!\Then I'll just deliver a direct blow to your head!\The Tetsusaiga is just another dog's fang!\The Tetsusaiga has been broken!\I guess this proves that a demon's fangs are stronger.\He bit apart my Tetsusaiga!\Inuyasha!\Inuyasha... response:	your mind is a total blank now.
context: Then I'll just deliver a direct blow to your head!\The Tetsusaiga is just another dog's fang!\The Tetsusaiga has been broken!\I guess this proves that a demon's fangs are stronger.\He bit apart my Tetsusaiga!\Inuyasha!\Inuyasha...\your mind is a total blank now. response:	Your sword is broken and so is your spirit, huh?
context: The Tetsusaiga is just another dog's fang!\The Tetsusaiga has been broken!\I guess this proves that a demon's fangs are stronger.\He bit apart my Tetsusaiga!\Inuyasha!\Inuyasha...\your mind is a total blank now.\Your sword is broken and so is your spirit, huh? response:	Or, are you dead?
context: The Tetsusaiga has been broken!\I guess this proves that a demon's fangs are stronger.\He bit apart my Tetsusaiga!\Inuyasha!\Inuyasha...\your mind is a total blank now.\Your sword is broken and so is your spirit, huh?\Or, are you dead? response:	Inuyasha!
context: I guess this proves that a demon's fangs are stronger.\He bit apart my Tetsusaiga!\Inuyasha!\Inuyasha...\your mind is a total blank now.\Your sword is broken and so is your spirit, huh?\Or, are you dead?\Inuyasha! response:	Kagome!
context: He bit apart my Tetsusaiga!\Inuyasha!\Inuyasha...\your mind is a total blank now.\Your sword is broken and so is your spirit, huh?\Or, are you dead?\Inuyasha!\Kagome! response:	Get back, Kagome!
context: Inuyasha!\Inuyasha...\your mind is a total blank now.\Your sword is broken and so is your spirit, huh?\Or, are you dead?\Inuyasha!\Kagome!\Get back, Kagome! response:	Miroku!
context: Inuyasha...\your mind is a total blank now.\Your sword is broken and so is your spirit, huh?\Or, are you dead?\Inuyasha!\Kagome!\Get back, Kagome!\Miroku! response:	Monk... even if you lost your life from deadly poison...
context: your mind is a total blank now.\Your sword is broken and so is your spirit, huh?\Or, are you dead?\Inuyasha!\Kagome!\Get back, Kagome!\Miroku!\Monk... even if you lost your life from deadly poison... response:	you would try to suck me into your Wind Tunnel?
context: Your sword is broken and so is your spirit, huh?\Or, are you dead?\Inuyasha!\Kagome!\Get back, Kagome!\Miroku!\Monk... even if you lost your life from deadly poison...\you would try to suck me into your Wind Tunnel? response:	Miroku!
context: Or, are you dead?\Inuyasha!\Kagome!\Get back, Kagome!\Miroku!\Monk... even if you lost your life from deadly poison...\you would try to suck me into your Wind Tunnel?\Miroku! response:	Monk!
context: Inuyasha!\Kagome!\Get back, Kagome!\Miroku!\Monk... even if you lost your life from deadly poison...\you would try to suck me into your Wind Tunnel?\Miroku!\Monk! response:	Don't rush to your death...
context: Kagome!\Get back, Kagome!\Miroku!\Monk... even if you lost your life from deadly poison...\you would try to suck me into your Wind Tunnel?\Miroku!\Monk!\Don't rush to your death... response:	I'm going to devour you one by one anyway.
context: Get back, Kagome!\Miroku!\Monk... even if you lost your life from deadly poison...\you would try to suck me into your Wind Tunnel?\Miroku!\Monk!\Don't rush to your death...\I'm going to devour you one by one anyway. response:	And I'll start with you, Kagome.
context: Miroku!\Monk... even if you lost your life from deadly poison...\you would try to suck me into your Wind Tunnel?\Miroku!\Monk!\Don't rush to your death...\I'm going to devour you one by one anyway.\And I'll start with you, Kagome. response:	Inuyasha...lnuyasha...
context: Monk... even if you lost your life from deadly poison...\you would try to suck me into your Wind Tunnel?\Miroku!\Monk!\Don't rush to your death...\I'm going to devour you one by one anyway.\And I'll start with you, Kagome.\Inuyasha...lnuyasha... response:	Fool!
context: you would try to suck me into your Wind Tunnel?\Miroku!\Monk!\Don't rush to your death...\I'm going to devour you one by one anyway.\And I'll start with you, Kagome.\Inuyasha...lnuyasha...\Fool! response:	Inuyasha is already...
