context: We're going to be third-years starting next week. response:	We're the most senior people at school.
context: You're in my way. Move.\What's wrong with him?\What an ass.\He walked right past us.\Business as usual.\Uesugi-kun's been like that since second year.\He seems to be deliberately trying not to involve himself with his classmates.\Oh, yeah, he tried to do his duties at school camp on his own. response:	That's just how he is.
context: What's wrong with him?\What an ass.\He walked right past us.\Business as usual.\Uesugi-kun's been like that since second year.\He seems to be deliberately trying not to involve himself with his classmates.\Oh, yeah, he tried to do his duties at school camp on his own.\That's just how he is. response:	I wish people could know that he's a good person at heart.
context: What an ass.\He walked right past us.\Business as usual.\Uesugi-kun's been like that since second year.\He seems to be deliberately trying not to involve himself with his classmates.\Oh, yeah, he tried to do his duties at school camp on his own.\That's just how he is.\I wish people could know that he's a good person at heart. response:	You're all third-years starting today.
context: He walked right past us.\Business as usual.\Uesugi-kun's been like that since second year.\He seems to be deliberately trying not to involve himself with his classmates.\Oh, yeah, he tried to do his duties at school camp on his own.\That's just how he is.\I wish people could know that he's a good person at heart.\You're all third-years starting today. response:	As seniors, you need to behave in a way that inspires your underclassmen to...
context: Business as usual.\Uesugi-kun's been like that since second year.\He seems to be deliberately trying not to involve himself with his classmates.\Oh, yeah, he tried to do his duties at school camp on his own.\That's just how he is.\I wish people could know that he's a good person at heart.\You're all third-years starting today.\As seniors, you need to behave in a way that inspires your underclassmen to... response:	Yes?
context: Uesugi-kun's been like that since second year.\He seems to be deliberately trying not to involve himself with his classmates.\Oh, yeah, he tried to do his duties at school camp on his own.\That's just how he is.\I wish people could know that he's a good person at heart.\You're all third-years starting today.\As seniors, you need to behave in a way that inspires your underclassmen to...\Yes? response:	I'm announcing my bid for the position of class representative.
context: He seems to be deliberately trying not to involve himself with his classmates.\Oh, yeah, he tried to do his duties at school camp on his own.\That's just how he is.\I wish people could know that he's a good person at heart.\You're all third-years starting today.\As seniors, you need to behave in a way that inspires your underclassmen to...\Yes?\I'm announcing my bid for the position of class representative. response:	What?
context: Oh, yeah, he tried to do his duties at school camp on his own.\That's just how he is.\I wish people could know that he's a good person at heart.\You're all third-years starting today.\As seniors, you need to behave in a way that inspires your underclassmen to...\Yes?\I'm announcing my bid for the position of class representative.\What? response:	No one asked yet.
context: That's just how he is.\I wish people could know that he's a good person at heart.\You're all third-years starting today.\As seniors, you need to behave in a way that inspires your underclassmen to...\Yes?\I'm announcing my bid for the position of class representative.\What?\No one asked yet. response:	I'm begging!
context: I wish people could know that he's a good person at heart.\You're all third-years starting today.\As seniors, you need to behave in a way that inspires your underclassmen to...\Yes?\I'm announcing my bid for the position of class representative.\What?\No one asked yet.\I'm begging! response:	Please let me do it!
context: You're all third-years starting today.\As seniors, you need to behave in a way that inspires your underclassmen to...\Yes?\I'm announcing my bid for the position of class representative.\What?\No one asked yet.\I'm begging!\Please let me do it! response:	I never said no, either.
context: As seniors, you need to behave in a way that inspires your underclassmen to...\Yes?\I'm announcing my bid for the position of class representative.\What?\No one asked yet.\I'm begging!\Please let me do it!\I never said no, either. response:	I mean, if no one else wants to...
context: Yes?\I'm announcing my bid for the position of class representative.\What?\No one asked yet.\I'm begging!\Please let me do it!\I never said no, either.\I mean, if no one else wants to... response:	If you all ever need anything, just let me know.
context: I'm announcing my bid for the position of class representative.\What?\No one asked yet.\I'm begging!\Please let me do it!\I never said no, either.\I mean, if no one else wants to...\If you all ever need anything, just let me know. response:	Why don't we choose our male representative, too, then?
context: What?\No one asked yet.\I'm begging!\Please let me do it!\I never said no, either.\I mean, if no one else wants to...\If you all ever need anything, just let me know.\Why don't we choose our male representative, too, then? response:	Does anyone want to run?
context: No one asked yet.\I'm begging!\Please let me do it!\I never said no, either.\I mean, if no one else wants to...\If you all ever need anything, just let me know.\Why don't we choose our male representative, too, then?\Does anyone want to run? response:	Anyone?
context: I'm begging!\Please let me do it!\I never said no, either.\I mean, if no one else wants to...\If you all ever need anything, just let me know.\Why don't we choose our male representative, too, then?\Does anyone want to run?\Anyone? response:	You can nominate someone, too.
context: Please let me do it!\I never said no, either.\I mean, if no one else wants to...\If you all ever need anything, just let me know.\Why don't we choose our male representative, too, then?\Does anyone want to run?\Anyone?\You can nominate someone, too. response:	Go ahead.
context: I never said no, either.\I mean, if no one else wants to...\If you all ever need anything, just let me know.\Why don't we choose our male representative, too, then?\Does anyone want to run?\Anyone?\You can nominate someone, too.\Go ahead. response:	Yotsuba's so embarrassing.
context: I mean, if no one else wants to...\If you all ever need anything, just let me know.\Why don't we choose our male representative, too, then?\Does anyone want to run?\Anyone?\You can nominate someone, too.\Go ahead.\Yotsuba's so embarrassing. response:	It's obvious who's going to be the male class rep.
context: If you all ever need anything, just let me know.\Why don't we choose our male representative, too, then?\Does anyone want to run?\Anyone?\You can nominate someone, too.\Go ahead.\Yotsuba's so embarrassing.\It's obvious who's going to be the male class rep. response:	It's definitely going to be Takeda.
context: Why don't we choose our male representative, too, then?\Does anyone want to run?\Anyone?\You can nominate someone, too.\Go ahead.\Yotsuba's so embarrassing.\It's obvious who's going to be the male class rep.\It's definitely going to be Takeda. response:	He had the highest grade on the finals, too.
context: Does anyone want to run?\Anyone?\You can nominate someone, too.\Go ahead.\Yotsuba's so embarrassing.\It's obvious who's going to be the male class rep.\It's definitely going to be Takeda.\He had the highest grade on the finals, too. response:	Sheesh, you guys.
context: Anyone?\You can nominate someone, too.\Go ahead.\Yotsuba's so embarrassing.\It's obvious who's going to be the male class rep.\It's definitely going to be Takeda.\He had the highest grade on the finals, too.\Sheesh, you guys. response:	Sensei, I know someone perfectly suited for the role.
context: You can nominate someone, too.\Go ahead.\Yotsuba's so embarrassing.\It's obvious who's going to be the male class rep.\It's definitely going to be Takeda.\He had the highest grade on the finals, too.\Sheesh, you guys.\Sensei, I know someone perfectly suited for the role. response:	Oh?
context: Go ahead.\Yotsuba's so embarrassing.\It's obvious who's going to be the male class rep.\It's definitely going to be Takeda.\He had the highest grade on the finals, too.\Sheesh, you guys.\Sensei, I know someone perfectly suited for the role.\Oh? response:	Uesugi Futaro-san!
context: Yotsuba's so embarrassing.\It's obvious who's going to be the male class rep.\It's definitely going to be Takeda.\He had the highest grade on the finals, too.\Sheesh, you guys.\Sensei, I know someone perfectly suited for the role.\Oh?\Uesugi Futaro-san! response:	Huh?!
context: It's obvious who's going to be the male class rep.\It's definitely going to be Takeda.\He had the highest grade on the finals, too.\Sheesh, you guys.\Sensei, I know someone perfectly suited for the role.\Oh?\Uesugi Futaro-san!\Huh?! response:	Is Uesugi-kun really cut out for it?
context: It's definitely going to be Takeda.\He had the highest grade on the finals, too.\Sheesh, you guys.\Sensei, I know someone perfectly suited for the role.\Oh?\Uesugi Futaro-san!\Huh?!\Is Uesugi-kun really cut out for it? response:	She's not going to even consider Takeda-kun?
context: He had the highest grade on the finals, too.\Sheesh, you guys.\Sensei, I know someone perfectly suited for the role.\Oh?\Uesugi Futaro-san!\Huh?!\Is Uesugi-kun really cut out for it?\She's not going to even consider Takeda-kun? response:	Yotsuba... What have you done?!
context: Sheesh, you guys.\Sensei, I know someone perfectly suited for the role.\Oh?\Uesugi Futaro-san!\Huh?!\Is Uesugi-kun really cut out for it?\She's not going to even consider Takeda-kun?\Yotsuba... What have you done?! response:	All right, shall we move on to our next role?
context: Sensei, I know someone perfectly suited for the role.\Oh?\Uesugi Futaro-san!\Huh?!\Is Uesugi-kun really cut out for it?\She's not going to even consider Takeda-kun?\Yotsuba... What have you done?!\All right, shall we move on to our next role? response:	Sensei, I never said I'd do it.
context: Oh?\Uesugi Futaro-san!\Huh?!\Is Uesugi-kun really cut out for it?\She's not going to even consider Takeda-kun?\Yotsuba... What have you done?!\All right, shall we move on to our next role?\Sensei, I never said I'd do it. response:	Damn that Yotsuba! Who asked her?!
context: Uesugi Futaro-san!\Huh?!\Is Uesugi-kun really cut out for it?\She's not going to even consider Takeda-kun?\Yotsuba... What have you done?!\All right, shall we move on to our next role?\Sensei, I never said I'd do it.\Damn that Yotsuba! Who asked her?! response:	Futaro, do you have a minute? I want to ask you something.
context: Huh?!\Is Uesugi-kun really cut out for it?\She's not going to even consider Takeda-kun?\Yotsuba... What have you done?!\All right, shall we move on to our next role?\Sensei, I never said I'd do it.\Damn that Yotsuba! Who asked her?!\Futaro, do you have a minute? I want to ask you something. response:	There's a magic lamp here.
context: Is Uesugi-kun really cut out for it?\She's not going to even consider Takeda-kun?\Yotsuba... What have you done?!\All right, shall we move on to our next role?\Sensei, I never said I'd do it.\Damn that Yotsuba! Who asked her?!\Futaro, do you have a minute? I want to ask you something.\There's a magic lamp here. response:	There isn't.
context: She's not going to even consider Takeda-kun?\Yotsuba... What have you done?!\All right, shall we move on to our next role?\Sensei, I never said I'd do it.\Damn that Yotsuba! Who asked her?!\Futaro, do you have a minute? I want to ask you something.\There's a magic lamp here.\There isn't. response:	There is.
context: Yotsuba... What have you done?!\All right, shall we move on to our next role?\Sensei, I never said I'd do it.\Damn that Yotsuba! Who asked her?!\Futaro, do you have a minute? I want to ask you something.\There's a magic lamp here.\There isn't.\There is. response:	Is this a psychological test?
context: All right, shall we move on to our next role?\Sensei, I never said I'd do it.\Damn that Yotsuba! Who asked her?!\Futaro, do you have a minute? I want to ask you something.\There's a magic lamp here.\There isn't.\There is.\Is this a psychological test? response:	If it could grant you five wishes, what would they be?
context: Sensei, I never said I'd do it.\Damn that Yotsuba! Who asked her?!\Futaro, do you have a minute? I want to ask you something.\There's a magic lamp here.\There isn't.\There is.\Is this a psychological test?\If it could grant you five wishes, what would they be? response:	Where's this coming from?
context: Damn that Yotsuba! Who asked her?!\Futaro, do you have a minute? I want to ask you something.\There's a magic lamp here.\There isn't.\There is.\Is this a psychological test?\If it could grant you five wishes, what would they be?\Where's this coming from? response:	This is a psychological test, isn't it?
context: Futaro, do you have a minute? I want to ask you something.\There's a magic lamp here.\There isn't.\There is.\Is this a psychological test?\If it could grant you five wishes, what would they be?\Where's this coming from?\This is a psychological test, isn't it? response:	Would anyone answer anything other than to become rich?
context: There's a magic lamp here.\There isn't.\There is.\Is this a psychological test?\If it could grant you five wishes, what would they be?\Where's this coming from?\This is a psychological test, isn't it?\Would anyone answer anything other than to become rich? response:	Money...
context: There isn't.\There is.\Is this a psychological test?\If it could grant you five wishes, what would they be?\Where's this coming from?\This is a psychological test, isn't it?\Would anyone answer anything other than to become rich?\Money... response:	Will that do?
context: There is.\Is this a psychological test?\If it could grant you five wishes, what would they be?\Where's this coming from?\This is a psychological test, isn't it?\Would anyone answer anything other than to become rich?\Money...\Will that do? response:	Four more.
context: Is this a psychological test?\If it could grant you five wishes, what would they be?\Where's this coming from?\This is a psychological test, isn't it?\Would anyone answer anything other than to become rich?\Money...\Will that do?\Four more. response:	Why isn't it three in total?!
context: If it could grant you five wishes, what would they be?\Where's this coming from?\This is a psychological test, isn't it?\Would anyone answer anything other than to become rich?\Money...\Will that do?\Four more.\Why isn't it three in total?! response:	You can ask for anything.
context: Where's this coming from?\This is a psychological test, isn't it?\Would anyone answer anything other than to become rich?\Money...\Will that do?\Four more.\Why isn't it three in total?!\You can ask for anything. response:	You can use magic, you know?
context: This is a psychological test, isn't it?\Would anyone answer anything other than to become rich?\Money...\Will that do?\Four more.\Why isn't it three in total?!\You can ask for anything.\You can use magic, you know? response:	I've thought about wanting more stamina,
context: Would anyone answer anything other than to become rich?\Money...\Will that do?\Four more.\Why isn't it three in total?!\You can ask for anything.\You can use magic, you know?\I've thought about wanting more stamina, response:	but working more would only wear me out more,
context: Money...\Will that do?\Four more.\Why isn't it three in total?!\You can ask for anything.\You can use magic, you know?\I've thought about wanting more stamina,\but working more would only wear me out more, response:	so faster recovery times would be nice.
context: Will that do?\Four more.\Why isn't it three in total?!\You can ask for anything.\You can use magic, you know?\I've thought about wanting more stamina,\but working more would only wear me out more,\so faster recovery times would be nice. response:	I don't sleep well these days, either.
context: Four more.\Why isn't it three in total?!\You can ask for anything.\You can use magic, you know?\I've thought about wanting more stamina,\but working more would only wear me out more,\so faster recovery times would be nice.\I don't sleep well these days, either. response:	And I could do with some better luck, too.
context: Why isn't it three in total?!\You can ask for anything.\You can use magic, you know?\I've thought about wanting more stamina,\but working more would only wear me out more,\so faster recovery times would be nice.\I don't sleep well these days, either.\And I could do with some better luck, too. response:	Got it.
context: You can ask for anything.\You can use magic, you know?\I've thought about wanting more stamina,\but working more would only wear me out more,\so faster recovery times would be nice.\I don't sleep well these days, either.\And I could do with some better luck, too.\Got it. response:	What did you get?
context: You can use magic, you know?\I've thought about wanting more stamina,\but working more would only wear me out more,\so faster recovery times would be nice.\I don't sleep well these days, either.\And I could do with some better luck, too.\Got it.\What did you get? response:	Huh?
context: I've thought about wanting more stamina,\but working more would only wear me out more,\so faster recovery times would be nice.\I don't sleep well these days, either.\And I could do with some better luck, too.\Got it.\What did you get?\Huh? response:	Why won't you tell me?
context: but working more would only wear me out more,\so faster recovery times would be nice.\I don't sleep well these days, either.\And I could do with some better luck, too.\Got it.\What did you get?\Huh?\Why won't you tell me? response:	There you are!
context: so faster recovery times would be nice.\I don't sleep well these days, either.\And I could do with some better luck, too.\Got it.\What did you get?\Huh?\Why won't you tell me?\There you are! response:	Yotsuba-chan!
context: I don't sleep well these days, either.\And I could do with some better luck, too.\Got it.\What did you get?\Huh?\Why won't you tell me?\There you are!\Yotsuba-chan! response:	Sensei was calling you.
context: And I could do with some better luck, too.\Got it.\What did you get?\Huh?\Why won't you tell me?\There you are!\Yotsuba-chan!\Sensei was calling you. response:	Come on!
context: Got it.\What did you get?\Huh?\Why won't you tell me?\There you are!\Yotsuba-chan!\Sensei was calling you.\Come on! response:	Uh...
context: What did you get?\Huh?\Why won't you tell me?\There you are!\Yotsuba-chan!\Sensei was calling you.\Come on!\Uh... response:	That's not Yotsuba.
context: Huh?\Why won't you tell me?\There you are!\Yotsuba-chan!\Sensei was calling you.\Come on!\Uh...\That's not Yotsuba. response:	That's Miku, the middle sister.
context: Why won't you tell me?\There you are!\Yotsuba-chan!\Sensei was calling you.\Come on!\Uh...\That's not Yotsuba.\That's Miku, the middle sister. response:	Really?
context: There you are!\Yotsuba-chan!\Sensei was calling you.\Come on!\Uh...\That's not Yotsuba.\That's Miku, the middle sister.\Really? response:	Sorry. We're still learning who's who.
context: Yotsuba-chan!\Sensei was calling you.\Come on!\Uh...\That's not Yotsuba.\That's Miku, the middle sister.\Really?\Sorry. We're still learning who's who. response:	It's okay, I'm used to it.
context: Sensei was calling you.\Come on!\Uh...\That's not Yotsuba.\That's Miku, the middle sister.\Really?\Sorry. We're still learning who's who.\It's okay, I'm used to it. response:	Hey, Yotsuba-chan, Sensei's calling.
context: Come on!\Uh...\That's not Yotsuba.\That's Miku, the middle sister.\Really?\Sorry. We're still learning who's who.\It's okay, I'm used to it.\Hey, Yotsuba-chan, Sensei's calling. response:	They get it wrong without fail!
context: Uh...\That's not Yotsuba.\That's Miku, the middle sister.\Really?\Sorry. We're still learning who's who.\It's okay, I'm used to it.\Hey, Yotsuba-chan, Sensei's calling.\They get it wrong without fail! response:	Listen, to make it easy, just remember who they are by their accessories.
context: That's not Yotsuba.\That's Miku, the middle sister.\Really?\Sorry. We're still learning who's who.\It's okay, I'm used to it.\Hey, Yotsuba-chan, Sensei's calling.\They get it wrong without fail!\Listen, to make it easy, just remember who they are by their accessories. response:	This utterly tacky hairpin is the fifth sister, Itsuki.
context: That's Miku, the middle sister.\Really?\Sorry. We're still learning who's who.\It's okay, I'm used to it.\Hey, Yotsuba-chan, Sensei's calling.\They get it wrong without fail!\Listen, to make it easy, just remember who they are by their accessories.\This utterly tacky hairpin is the fifth sister, Itsuki. response:	That was completely uncalled for.
context: Really?\Sorry. We're still learning who's who.\It's okay, I'm used to it.\Hey, Yotsuba-chan, Sensei's calling.\They get it wrong without fail!\Listen, to make it easy, just remember who they are by their accessories.\This utterly tacky hairpin is the fifth sister, Itsuki.\That was completely uncalled for. response:	Yotsuba is the one with the gaudy ribbon.
context: Sorry. We're still learning who's who.\It's okay, I'm used to it.\Hey, Yotsuba-chan, Sensei's calling.\They get it wrong without fail!\Listen, to make it easy, just remember who they are by their accessories.\This utterly tacky hairpin is the fifth sister, Itsuki.\That was completely uncalled for.\Yotsuba is the one with the gaudy ribbon. response:	Keep that in mind, and you'll be fine.
context: It's okay, I'm used to it.\Hey, Yotsuba-chan, Sensei's calling.\They get it wrong without fail!\Listen, to make it easy, just remember who they are by their accessories.\This utterly tacky hairpin is the fifth sister, Itsuki.\That was completely uncalled for.\Yotsuba is the one with the gaudy ribbon.\Keep that in mind, and you'll be fine. response:	Not that I'm in any position to lecture them...
context: Hey, Yotsuba-chan, Sensei's calling.\They get it wrong without fail!\Listen, to make it easy, just remember who they are by their accessories.\This utterly tacky hairpin is the fifth sister, Itsuki.\That was completely uncalled for.\Yotsuba is the one with the gaudy ribbon.\Keep that in mind, and you'll be fine.\Not that I'm in any position to lecture them... response:	Wow, Uesugi-kun.
context: They get it wrong without fail!\Listen, to make it easy, just remember who they are by their accessories.\This utterly tacky hairpin is the fifth sister, Itsuki.\That was completely uncalled for.\Yotsuba is the one with the gaudy ribbon.\Keep that in mind, and you'll be fine.\Not that I'm in any position to lecture them...\Wow, Uesugi-kun. response:	Thanks.
context: Listen, to make it easy, just remember who they are by their accessories.\This utterly tacky hairpin is the fifth sister, Itsuki.\That was completely uncalled for.\Yotsuba is the one with the gaudy ribbon.\Keep that in mind, and you'll be fine.\Not that I'm in any position to lecture them...\Wow, Uesugi-kun.\Thanks. response:	No wonder you're the class rep.
context: This utterly tacky hairpin is the fifth sister, Itsuki.\That was completely uncalled for.\Yotsuba is the one with the gaudy ribbon.\Keep that in mind, and you'll be fine.\Not that I'm in any position to lecture them...\Wow, Uesugi-kun.\Thanks.\No wonder you're the class rep. response:	Teach us more about the five!
context: That was completely uncalled for.\Yotsuba is the one with the gaudy ribbon.\Keep that in mind, and you'll be fine.\Not that I'm in any position to lecture them...\Wow, Uesugi-kun.\Thanks.\No wonder you're the class rep.\Teach us more about the five! response:	Look, there's another one over there.
context: Yotsuba is the one with the gaudy ribbon.\Keep that in mind, and you'll be fine.\Not that I'm in any position to lecture them...\Wow, Uesugi-kun.\Thanks.\No wonder you're the class rep.\Teach us more about the five!\Look, there's another one over there. response:	Hey!
context: Keep that in mind, and you'll be fine.\Not that I'm in any position to lecture them...\Wow, Uesugi-kun.\Thanks.\No wonder you're the class rep.\Teach us more about the five!\Look, there's another one over there.\Hey! response:	Yotsuba-chan!
context: Not that I'm in any position to lecture them...\Wow, Uesugi-kun.\Thanks.\No wonder you're the class rep.\Teach us more about the five!\Look, there's another one over there.\Hey!\Yotsuba-chan! response:	No, that one is Nino!
context: Wow, Uesugi-kun.\Thanks.\No wonder you're the class rep.\Teach us more about the five!\Look, there's another one over there.\Hey!\Yotsuba-chan!\No, that one is Nino! response:	Those girls...
context: Thanks.\No wonder you're the class rep.\Teach us more about the five!\Look, there's another one over there.\Hey!\Yotsuba-chan!\No, that one is Nino!\Those girls... response:	They're being too clingy with Futaro...
context: No wonder you're the class rep.\Teach us more about the five!\Look, there's another one over there.\Hey!\Yotsuba-chan!\No, that one is Nino!\Those girls...\They're being too clingy with Futaro... response:	It's not a bad thing.
context: Teach us more about the five!\Look, there's another one over there.\Hey!\Yotsuba-chan!\No, that one is Nino!\Those girls...\They're being too clingy with Futaro...\It's not a bad thing. response:	I think he's changing, too.
context: Look, there's another one over there.\Hey!\Yotsuba-chan!\No, that one is Nino!\Those girls...\They're being too clingy with Futaro...\It's not a bad thing.\I think he's changing, too. response:	I understand getting a little jealous, though.
context: Hey!\Yotsuba-chan!\No, that one is Nino!\Those girls...\They're being too clingy with Futaro...\It's not a bad thing.\I think he's changing, too.\I understand getting a little jealous, though. response:	A-As a friend, I mean.
context: Yotsuba-chan!\No, that one is Nino!\Those girls...\They're being too clingy with Futaro...\It's not a bad thing.\I think he's changing, too.\I understand getting a little jealous, though.\A-As a friend, I mean. response:	It still makes no sense to me, though.
context: No, that one is Nino!\Those girls...\They're being too clingy with Futaro...\It's not a bad thing.\I think he's changing, too.\I understand getting a little jealous, though.\A-As a friend, I mean.\It still makes no sense to me, though. response:	How could anyone fall in love with him?
context: Those girls...\They're being too clingy with Futaro...\It's not a bad thing.\I think he's changing, too.\I understand getting a little jealous, though.\A-As a friend, I mean.\It still makes no sense to me, though.\How could anyone fall in love with him? response:	I asked Futaro what his five wishes would be.
context: They're being too clingy with Futaro...\It's not a bad thing.\I think he's changing, too.\I understand getting a little jealous, though.\A-As a friend, I mean.\It still makes no sense to me, though.\How could anyone fall in love with him?\I asked Futaro what his five wishes would be. response:	Futaro's wishes Money Stamina Better Sleep Faster Recovery Better luck
context: It's not a bad thing.\I think he's changing, too.\I understand getting a little jealous, though.\A-As a friend, I mean.\It still makes no sense to me, though.\How could anyone fall in love with him?\I asked Futaro what his five wishes would be.\Futaro's wishes Money Stamina Better Sleep Faster Recovery Better luck response:	None of these work.
context: I think he's changing, too.\I understand getting a little jealous, though.\A-As a friend, I mean.\It still makes no sense to me, though.\How could anyone fall in love with him?\I asked Futaro what his five wishes would be.\Futaro's wishes Money Stamina Better Sleep Faster Recovery Better luck\None of these work. response:	What should we do?
context: I understand getting a little jealous, though.\A-As a friend, I mean.\It still makes no sense to me, though.\How could anyone fall in love with him?\I asked Futaro what his five wishes would be.\Futaro's wishes Money Stamina Better Sleep Faster Recovery Better luck\None of these work.\What should we do? response:	In any case, we should hurry.
context: A-As a friend, I mean.\It still makes no sense to me, though.\How could anyone fall in love with him?\I asked Futaro what his five wishes would be.\Futaro's wishes Money Stamina Better Sleep Faster Recovery Better luck\None of these work.\What should we do?\In any case, we should hurry. response:	Yeah, it's coming up.
context: It still makes no sense to me, though.\How could anyone fall in love with him?\I asked Futaro what his five wishes would be.\Futaro's wishes Money Stamina Better Sleep Faster Recovery Better luck\None of these work.\What should we do?\In any case, we should hurry.\Yeah, it's coming up. response:	Futaro's birthday's almost here.
context: How could anyone fall in love with him?\I asked Futaro what his five wishes would be.\Futaro's wishes Money Stamina Better Sleep Faster Recovery Better luck\None of these work.\What should we do?\In any case, we should hurry.\Yeah, it's coming up.\Futaro's birthday's almost here. response:	Class Rep Uesugi!
context: I asked Futaro what his five wishes would be.\Futaro's wishes Money Stamina Better Sleep Faster Recovery Better luck\None of these work.\What should we do?\In any case, we should hurry.\Yeah, it's coming up.\Futaro's birthday's almost here.\Class Rep Uesugi! response:	I want to talk to Miku-chan.
context: Futaro's wishes Money Stamina Better Sleep Faster Recovery Better luck\None of these work.\What should we do?\In any case, we should hurry.\Yeah, it's coming up.\Futaro's birthday's almost here.\Class Rep Uesugi!\I want to talk to Miku-chan. response:	Class Rep!
context: None of these work.\What should we do?\In any case, we should hurry.\Yeah, it's coming up.\Futaro's birthday's almost here.\Class Rep Uesugi!\I want to talk to Miku-chan.\Class Rep! response:	Could you hand this to Ichika-chan?
context: What should we do?\In any case, we should hurry.\Yeah, it's coming up.\Futaro's birthday's almost here.\Class Rep Uesugi!\I want to talk to Miku-chan.\Class Rep!\Could you hand this to Ichika-chan? response:	For Nino-chan.
context: In any case, we should hurry.\Yeah, it's coming up.\Futaro's birthday's almost here.\Class Rep Uesugi!\I want to talk to Miku-chan.\Class Rep!\Could you hand this to Ichika-chan?\For Nino-chan. response:	For Itsuki-chan.
context: Yeah, it's coming up.\Futaro's birthday's almost here.\Class Rep Uesugi!\I want to talk to Miku-chan.\Class Rep!\Could you hand this to Ichika-chan?\For Nino-chan.\For Itsuki-chan. response:	For Yotsuba-chan.
context: Futaro's birthday's almost here.\Class Rep Uesugi!\I want to talk to Miku-chan.\Class Rep!\Could you hand this to Ichika-chan?\For Nino-chan.\For Itsuki-chan.\For Yotsuba-chan. response:	This is such a pain!
context: Class Rep Uesugi!\I want to talk to Miku-chan.\Class Rep!\Could you hand this to Ichika-chan?\For Nino-chan.\For Itsuki-chan.\For Yotsuba-chan.\This is such a pain! response:	Uh, now that we are third-years...
context: I want to talk to Miku-chan.\Class Rep!\Could you hand this to Ichika-chan?\For Nino-chan.\For Itsuki-chan.\For Yotsuba-chan.\This is such a pain!\Uh, now that we are third-years... response:	Pardon me.
context: Class Rep!\Could you hand this to Ichika-chan?\For Nino-chan.\For Itsuki-chan.\For Yotsuba-chan.\This is such a pain!\Uh, now that we are third-years...\Pardon me. response:	Class Rep Uesugi, you're talking too quietly. I can't hear you.
context: Could you hand this to Ichika-chan?\For Nino-chan.\For Itsuki-chan.\For Yotsuba-chan.\This is such a pain!\Uh, now that we are third-years...\Pardon me.\Class Rep Uesugi, you're talking too quietly. I can't hear you. response:	Could you be a little louder?
context: For Nino-chan.\For Itsuki-chan.\For Yotsuba-chan.\This is such a pain!\Uh, now that we are third-years...\Pardon me.\Class Rep Uesugi, you're talking too quietly. I can't hear you.\Could you be a little louder? response:	I'd like to discuss what's arguably the biggest event of the first term.
context: For Itsuki-chan.\For Yotsuba-chan.\This is such a pain!\Uh, now that we are third-years...\Pardon me.\Class Rep Uesugi, you're talking too quietly. I can't hear you.\Could you be a little louder?\I'd like to discuss what's arguably the biggest event of the first term. response:	It begins!
context: For Yotsuba-chan.\This is such a pain!\Uh, now that we are third-years...\Pardon me.\Class Rep Uesugi, you're talking too quietly. I can't hear you.\Could you be a little louder?\I'd like to discuss what's arguably the biggest event of the first term.\It begins! response:	The national mock exams!
context: This is such a pain!\Uh, now that we are third-years...\Pardon me.\Class Rep Uesugi, you're talking too quietly. I can't hear you.\Could you be a little louder?\I'd like to discuss what's arguably the biggest event of the first term.\It begins!\The national mock exams! response:	The school trip!
context: Uh, now that we are third-years...\Pardon me.\Class Rep Uesugi, you're talking too quietly. I can't hear you.\Could you be a little louder?\I'd like to discuss what's arguably the biggest event of the first term.\It begins!\The national mock exams!\The school trip! response:	Let's all have fun!
context: Pardon me.\Class Rep Uesugi, you're talking too quietly. I can't hear you.\Could you be a little louder?\I'd like to discuss what's arguably the biggest event of the first term.\It begins!\The national mock exams!\The school trip!\Let's all have fun! response:	Whoo!
context: Class Rep Uesugi, you're talking too quietly. I can't hear you.\Could you be a little louder?\I'd like to discuss what's arguably the biggest event of the first term.\It begins!\The national mock exams!\The school trip!\Let's all have fun!\Whoo! response:	Really? That?
context: Could you be a little louder?\I'd like to discuss what's arguably the biggest event of the first term.\It begins!\The national mock exams!\The school trip!\Let's all have fun!\Whoo!\Really? That? response:	Nino, are you going to work?
context: I'd like to discuss what's arguably the biggest event of the first term.\It begins!\The national mock exams!\The school trip!\Let's all have fun!\Whoo!\Really? That?\Nino, are you going to work? response:	Yes.
context: It begins!\The national mock exams!\The school trip!\Let's all have fun!\Whoo!\Really? That?\Nino, are you going to work?\Yes. response:	Today's the first day.
context: The national mock exams!\The school trip!\Let's all have fun!\Whoo!\Really? That?\Nino, are you going to work?\Yes.\Today's the first day. response:	Can I ask you for a favor, then?
context: The school trip!\Let's all have fun!\Whoo!\Really? That?\Nino, are you going to work?\Yes.\Today's the first day.\Can I ask you for a favor, then? response:	What do you want now?
context: Let's all have fun!\Whoo!\Really? That?\Nino, are you going to work?\Yes.\Today's the first day.\Can I ask you for a favor, then?\What do you want now? response:	I'm not switching with you.
context: Whoo!\Really? That?\Nino, are you going to work?\Yes.\Today's the first day.\Can I ask you for a favor, then?\What do you want now?\I'm not switching with you. response:	If you're going to be with Futaro,
context: Really? That?\Nino, are you going to work?\Yes.\Today's the first day.\Can I ask you for a favor, then?\What do you want now?\I'm not switching with you.\If you're going to be with Futaro, response:	could you find some information for his gift?
context: Nino, are you going to work?\Yes.\Today's the first day.\Can I ask you for a favor, then?\What do you want now?\I'm not switching with you.\If you're going to be with Futaro,\could you find some information for his gift? response:	Huh? Me?
