context: Big Brother... response:	Mm-hmm, this one's dead.
context: What's the matter? Need to pee?\What are you doing?\Standing watch. We've been causing trouble all over, after all.\Sometimes there are people that come after us at night here.\What is it, if you didn't come out here to pee?\I'm not an orphan. I have a mother, and I was actually on my way home to her.\Oh, so the little boy has a home, huh?\I'm sorry, I just couldn't say anything. response:	There's nothing you have to apologize for.
context: What are you doing?\Standing watch. We've been causing trouble all over, after all.\Sometimes there are people that come after us at night here.\What is it, if you didn't come out here to pee?\I'm not an orphan. I have a mother, and I was actually on my way home to her.\Oh, so the little boy has a home, huh?\I'm sorry, I just couldn't say anything.\There's nothing you have to apologize for. response:	I guess I jumped to the wrong conclusion.
context: Standing watch. We've been causing trouble all over, after all.\Sometimes there are people that come after us at night here.\What is it, if you didn't come out here to pee?\I'm not an orphan. I have a mother, and I was actually on my way home to her.\Oh, so the little boy has a home, huh?\I'm sorry, I just couldn't say anything.\There's nothing you have to apologize for.\I guess I jumped to the wrong conclusion. response:	Where is your home?
context: Sometimes there are people that come after us at night here.\What is it, if you didn't come out here to pee?\I'm not an orphan. I have a mother, and I was actually on my way home to her.\Oh, so the little boy has a home, huh?\I'm sorry, I just couldn't say anything.\There's nothing you have to apologize for.\I guess I jumped to the wrong conclusion.\Where is your home? response:	In a bamboo grove on Mount Paozu.
context: What is it, if you didn't come out here to pee?\I'm not an orphan. I have a mother, and I was actually on my way home to her.\Oh, so the little boy has a home, huh?\I'm sorry, I just couldn't say anything.\There's nothing you have to apologize for.\I guess I jumped to the wrong conclusion.\Where is your home?\In a bamboo grove on Mount Paozu. response:	Mount Paozu? That's pretty far, huh?
context: I'm not an orphan. I have a mother, and I was actually on my way home to her.\Oh, so the little boy has a home, huh?\I'm sorry, I just couldn't say anything.\There's nothing you have to apologize for.\I guess I jumped to the wrong conclusion.\Where is your home?\In a bamboo grove on Mount Paozu.\Mount Paozu? That's pretty far, huh? response:	-You know it? -Yeah.
context: Oh, so the little boy has a home, huh?\I'm sorry, I just couldn't say anything.\There's nothing you have to apologize for.\I guess I jumped to the wrong conclusion.\Where is your home?\In a bamboo grove on Mount Paozu.\Mount Paozu? That's pretty far, huh?\-You know it? -Yeah. response:	Please tell me the way, if you would!
context: I'm sorry, I just couldn't say anything.\There's nothing you have to apologize for.\I guess I jumped to the wrong conclusion.\Where is your home?\In a bamboo grove on Mount Paozu.\Mount Paozu? That's pretty far, huh?\-You know it? -Yeah.\Please tell me the way, if you would! response:	You got it. I'll show you tomorrow.
context: There's nothing you have to apologize for.\I guess I jumped to the wrong conclusion.\Where is your home?\In a bamboo grove on Mount Paozu.\Mount Paozu? That's pretty far, huh?\-You know it? -Yeah.\Please tell me the way, if you would!\You got it. I'll show you tomorrow. response:	Thanks!
context: I guess I jumped to the wrong conclusion.\Where is your home?\In a bamboo grove on Mount Paozu.\Mount Paozu? That's pretty far, huh?\-You know it? -Yeah.\Please tell me the way, if you would!\You got it. I'll show you tomorrow.\Thanks! response:	Say, is your mom nice?
context: Where is your home?\In a bamboo grove on Mount Paozu.\Mount Paozu? That's pretty far, huh?\-You know it? -Yeah.\Please tell me the way, if you would!\You got it. I'll show you tomorrow.\Thanks!\Say, is your mom nice? response:	I wouldn't say that.
context: In a bamboo grove on Mount Paozu.\Mount Paozu? That's pretty far, huh?\-You know it? -Yeah.\Please tell me the way, if you would!\You got it. I'll show you tomorrow.\Thanks!\Say, is your mom nice?\I wouldn't say that. response:	Everyday, she tells me to study, study, and it gets annoying.
context: Mount Paozu? That's pretty far, huh?\-You know it? -Yeah.\Please tell me the way, if you would!\You got it. I'll show you tomorrow.\Thanks!\Say, is your mom nice?\I wouldn't say that.\Everyday, she tells me to study, study, and it gets annoying. response:	Being annoying is okay, as long as she's around.
context: -You know it? -Yeah.\Please tell me the way, if you would!\You got it. I'll show you tomorrow.\Thanks!\Say, is your mom nice?\I wouldn't say that.\Everyday, she tells me to study, study, and it gets annoying.\Being annoying is okay, as long as she's around. response:	Yeah, yeah!
context: Please tell me the way, if you would!\You got it. I'll show you tomorrow.\Thanks!\Say, is your mom nice?\I wouldn't say that.\Everyday, she tells me to study, study, and it gets annoying.\Being annoying is okay, as long as she's around.\Yeah, yeah! response:	Do you go to school?
context: You got it. I'll show you tomorrow.\Thanks!\Say, is your mom nice?\I wouldn't say that.\Everyday, she tells me to study, study, and it gets annoying.\Being annoying is okay, as long as she's around.\Yeah, yeah!\Do you go to school? response:	I go to a cram school.
context: Thanks!\Say, is your mom nice?\I wouldn't say that.\Everyday, she tells me to study, study, and it gets annoying.\Being annoying is okay, as long as she's around.\Yeah, yeah!\Do you go to school?\I go to a cram school. response:	Do you like to study?
context: Say, is your mom nice?\I wouldn't say that.\Everyday, she tells me to study, study, and it gets annoying.\Being annoying is okay, as long as she's around.\Yeah, yeah!\Do you go to school?\I go to a cram school.\Do you like to study? response:	There's stuff I like, and stuff I don't like.
context: I wouldn't say that.\Everyday, she tells me to study, study, and it gets annoying.\Being annoying is okay, as long as she's around.\Yeah, yeah!\Do you go to school?\I go to a cram school.\Do you like to study?\There's stuff I like, and stuff I don't like. response:	Yeah, yeah, that's right, huh? I hate gym and math, but art is my best subject!
context: Everyday, she tells me to study, study, and it gets annoying.\Being annoying is okay, as long as she's around.\Yeah, yeah!\Do you go to school?\I go to a cram school.\Do you like to study?\There's stuff I like, and stuff I don't like.\Yeah, yeah, that's right, huh? I hate gym and math, but art is my best subject! response:	For me, it's science.
context: Being annoying is okay, as long as she's around.\Yeah, yeah!\Do you go to school?\I go to a cram school.\Do you like to study?\There's stuff I like, and stuff I don't like.\Yeah, yeah, that's right, huh? I hate gym and math, but art is my best subject!\For me, it's science. response:	-What about you, Ena? -I've never been to school.
context: Yeah, yeah!\Do you go to school?\I go to a cram school.\Do you like to study?\There's stuff I like, and stuff I don't like.\Yeah, yeah, that's right, huh? I hate gym and math, but art is my best subject!\For me, it's science.\-What about you, Ena? -I've never been to school. response:	Oh, that's right. The tsunami happened before Ena started school.
context: Do you go to school?\I go to a cram school.\Do you like to study?\There's stuff I like, and stuff I don't like.\Yeah, yeah, that's right, huh? I hate gym and math, but art is my best subject!\For me, it's science.\-What about you, Ena? -I've never been to school.\Oh, that's right. The tsunami happened before Ena started school. response:	Do you guys... want to go to school?
context: I go to a cram school.\Do you like to study?\There's stuff I like, and stuff I don't like.\Yeah, yeah, that's right, huh? I hate gym and math, but art is my best subject!\For me, it's science.\-What about you, Ena? -I've never been to school.\Oh, that's right. The tsunami happened before Ena started school.\Do you guys... want to go to school? response:	Not especially. Who needs studying?
context: Do you like to study?\There's stuff I like, and stuff I don't like.\Yeah, yeah, that's right, huh? I hate gym and math, but art is my best subject!\For me, it's science.\-What about you, Ena? -I've never been to school.\Oh, that's right. The tsunami happened before Ena started school.\Do you guys... want to go to school?\Not especially. Who needs studying? response:	If you go to the institution, you can do all you like.
context: There's stuff I like, and stuff I don't like.\Yeah, yeah, that's right, huh? I hate gym and math, but art is my best subject!\For me, it's science.\-What about you, Ena? -I've never been to school.\Oh, that's right. The tsunami happened before Ena started school.\Do you guys... want to go to school?\Not especially. Who needs studying?\If you go to the institution, you can do all you like. response:	No way, that place smells like medicine!
context: Yeah, yeah, that's right, huh? I hate gym and math, but art is my best subject!\For me, it's science.\-What about you, Ena? -I've never been to school.\Oh, that's right. The tsunami happened before Ena started school.\Do you guys... want to go to school?\Not especially. Who needs studying?\If you go to the institution, you can do all you like.\No way, that place smells like medicine! response:	Yeah, that goes for me, too. No way.
context: For me, it's science.\-What about you, Ena? -I've never been to school.\Oh, that's right. The tsunami happened before Ena started school.\Do you guys... want to go to school?\Not especially. Who needs studying?\If you go to the institution, you can do all you like.\No way, that place smells like medicine!\Yeah, that goes for me, too. No way. response:	And someone who's escaped from there ought to know!
context: -What about you, Ena? -I've never been to school.\Oh, that's right. The tsunami happened before Ena started school.\Do you guys... want to go to school?\Not especially. Who needs studying?\If you go to the institution, you can do all you like.\No way, that place smells like medicine!\Yeah, that goes for me, too. No way.\And someone who's escaped from there ought to know! response:	I know! How about we all drive to Gohan's house tomorrow?
context: Oh, that's right. The tsunami happened before Ena started school.\Do you guys... want to go to school?\Not especially. Who needs studying?\If you go to the institution, you can do all you like.\No way, that place smells like medicine!\Yeah, that goes for me, too. No way.\And someone who's escaped from there ought to know!\I know! How about we all drive to Gohan's house tomorrow? response:	Cool!
context: Do you guys... want to go to school?\Not especially. Who needs studying?\If you go to the institution, you can do all you like.\No way, that place smells like medicine!\Yeah, that goes for me, too. No way.\And someone who's escaped from there ought to know!\I know! How about we all drive to Gohan's house tomorrow?\Cool! response:	That will be fun! Let's go, let's go!
context: Not especially. Who needs studying?\If you go to the institution, you can do all you like.\No way, that place smells like medicine!\Yeah, that goes for me, too. No way.\And someone who's escaped from there ought to know!\I know! How about we all drive to Gohan's house tomorrow?\Cool!\That will be fun! Let's go, let's go! response:	Not yet?
context: If you go to the institution, you can do all you like.\No way, that place smells like medicine!\Yeah, that goes for me, too. No way.\And someone who's escaped from there ought to know!\I know! How about we all drive to Gohan's house tomorrow?\Cool!\That will be fun! Let's go, let's go!\Not yet? response:	Not yet.
context: No way, that place smells like medicine!\Yeah, that goes for me, too. No way.\And someone who's escaped from there ought to know!\I know! How about we all drive to Gohan's house tomorrow?\Cool!\That will be fun! Let's go, let's go!\Not yet?\Not yet. response:	They're late today.
context: Yeah, that goes for me, too. No way.\And someone who's escaped from there ought to know!\I know! How about we all drive to Gohan's house tomorrow?\Cool!\That will be fun! Let's go, let's go!\Not yet?\Not yet.\They're late today. response:	Maybe they've given up.
context: And someone who's escaped from there ought to know!\I know! How about we all drive to Gohan's house tomorrow?\Cool!\That will be fun! Let's go, let's go!\Not yet?\Not yet.\They're late today.\Maybe they've given up. response:	They're coming, they're coming! Here they come!
context: I know! How about we all drive to Gohan's house tomorrow?\Cool!\That will be fun! Let's go, let's go!\Not yet?\Not yet.\They're late today.\Maybe they've given up.\They're coming, they're coming! Here they come! response:	Hey, wait!
context: Cool!\That will be fun! Let's go, let's go!\Not yet?\Not yet.\They're late today.\Maybe they've given up.\They're coming, they're coming! Here they come!\Hey, wait! response:	Hurry up!
context: That will be fun! Let's go, let's go!\Not yet?\Not yet.\They're late today.\Maybe they've given up.\They're coming, they're coming! Here they come!\Hey, wait!\Hurry up! response:	O- oh, no!
context: Not yet?\Not yet.\They're late today.\Maybe they've given up.\They're coming, they're coming! Here they come!\Hey, wait!\Hurry up!\O- oh, no! response:	Hey, get out!
context: Not yet.\They're late today.\Maybe they've given up.\They're coming, they're coming! Here they come!\Hey, wait!\Hurry up!\O- oh, no!\Hey, get out! response:	Ow! Ow!
context: They're late today.\Maybe they've given up.\They're coming, they're coming! Here they come!\Hey, wait!\Hurry up!\O- oh, no!\Hey, get out!\Ow! Ow! response:	Chiko!
context: Maybe they've given up.\They're coming, they're coming! Here they come!\Hey, wait!\Hurry up!\O- oh, no!\Hey, get out!\Ow! Ow!\Chiko! response:	Come quietly!
context: They're coming, they're coming! Here they come!\Hey, wait!\Hurry up!\O- oh, no!\Hey, get out!\Ow! Ow!\Chiko!\Come quietly! response:	Damn!
context: Hey, wait!\Hurry up!\O- oh, no!\Hey, get out!\Ow! Ow!\Chiko!\Come quietly!\Damn! response:	Gohan, this way!
context: Hurry up!\O- oh, no!\Hey, get out!\Ow! Ow!\Chiko!\Come quietly!\Damn!\Gohan, this way! response:	But everyone else is-!
context: O- oh, no!\Hey, get out!\Ow! Ow!\Chiko!\Come quietly!\Damn!\Gohan, this way!\But everyone else is-! response:	Just come on!
context: Hey, get out!\Ow! Ow!\Chiko!\Come quietly!\Damn!\Gohan, this way!\But everyone else is-!\Just come on! response:	-Piegero! -Gohan!
context: Ow! Ow!\Chiko!\Come quietly!\Damn!\Gohan, this way!\But everyone else is-!\Just come on!\-Piegero! -Gohan! response:	Piegero!
context: Chiko!\Come quietly!\Damn!\Gohan, this way!\But everyone else is-!\Just come on!\-Piegero! -Gohan!\Piegero! response:	What are you doing!?
context: Come quietly!\Damn!\Gohan, this way!\But everyone else is-!\Just come on!\-Piegero! -Gohan!\Piegero!\What are you doing!? response:	Hey, you!
context: Damn!\Gohan, this way!\But everyone else is-!\Just come on!\-Piegero! -Gohan!\Piegero!\What are you doing!?\Hey, you! response:	Piegero!
context: Gohan, this way!\But everyone else is-!\Just come on!\-Piegero! -Gohan!\Piegero!\What are you doing!?\Hey, you!\Piegero! response:	Why!? Huh?
context: But everyone else is-!\Just come on!\-Piegero! -Gohan!\Piegero!\What are you doing!?\Hey, you!\Piegero!\Why!? Huh? response:	Why!? Why did you do that!?
context: Just come on!\-Piegero! -Gohan!\Piegero!\What are you doing!?\Hey, you!\Piegero!\Why!? Huh?\Why!? Why did you do that!? response:	Why!?
context: -Piegero! -Gohan!\Piegero!\What are you doing!?\Hey, you!\Piegero!\Why!? Huh?\Why!? Why did you do that!?\Why!? response:	It's for the best! They're still...
context: Piegero!\What are you doing!?\Hey, you!\Piegero!\Why!? Huh?\Why!? Why did you do that!?\Why!?\It's for the best! They're still... response:	They're too young for that!
context: What are you doing!?\Hey, you!\Piegero!\Why!? Huh?\Why!? Why did you do that!?\Why!?\It's for the best! They're still...\They're too young for that! response:	You're no ordinary kid, huh? You're incredibly strong.
context: Hey, you!\Piegero!\Why!? Huh?\Why!? Why did you do that!?\Why!?\It's for the best! They're still...\They're too young for that!\You're no ordinary kid, huh? You're incredibly strong. response:	Are you going back there?
context: Piegero!\Why!? Huh?\Why!? Why did you do that!?\Why!?\It's for the best! They're still...\They're too young for that!\You're no ordinary kid, huh? You're incredibly strong.\Are you going back there? response:	No. There's nobody there, even if I did go back. See ya. Respect your mom.
context: Why!? Huh?\Why!? Why did you do that!?\Why!?\It's for the best! They're still...\They're too young for that!\You're no ordinary kid, huh? You're incredibly strong.\Are you going back there?\No. There's nobody there, even if I did go back. See ya. Respect your mom. response:	Thanks, Piegero- san.
context: Why!? Why did you do that!?\Why!?\It's for the best! They're still...\They're too young for that!\You're no ordinary kid, huh? You're incredibly strong.\Are you going back there?\No. There's nobody there, even if I did go back. See ya. Respect your mom.\Thanks, Piegero- san. response:	Say, is your mom nice?
context: Why!?\It's for the best! They're still...\They're too young for that!\You're no ordinary kid, huh? You're incredibly strong.\Are you going back there?\No. There's nobody there, even if I did go back. See ya. Respect your mom.\Thanks, Piegero- san.\Say, is your mom nice? response:	l've never been to school.
context: It's for the best! They're still...\They're too young for that!\You're no ordinary kid, huh? You're incredibly strong.\Are you going back there?\No. There's nobody there, even if I did go back. See ya. Respect your mom.\Thanks, Piegero- san.\Say, is your mom nice?\l've never been to school. response:	Respect your mom.
context: They're too young for that!\You're no ordinary kid, huh? You're incredibly strong.\Are you going back there?\No. There's nobody there, even if I did go back. See ya. Respect your mom.\Thanks, Piegero- san.\Say, is your mom nice?\l've never been to school.\Respect your mom. response:	What is your mission!?
context: You're no ordinary kid, huh? You're incredibly strong.\Are you going back there?\No. There's nobody there, even if I did go back. See ya. Respect your mom.\Thanks, Piegero- san.\Say, is your mom nice?\l've never been to school.\Respect your mom.\What is your mission!? response:	Say it!
context: Are you going back there?\No. There's nobody there, even if I did go back. See ya. Respect your mom.\Thanks, Piegero- san.\Say, is your mom nice?\l've never been to school.\Respect your mom.\What is your mission!?\Say it! response:	To defeat the Saiyans, and to save...
context: No. There's nobody there, even if I did go back. See ya. Respect your mom.\Thanks, Piegero- san.\Say, is your mom nice?\l've never been to school.\Respect your mom.\What is your mission!?\Say it!\To defeat the Saiyans, and to save... response:	We're going back!
