context: Looks like we managed to break through the blockade. response:	I wish he'd hurry up and fill us in on the next part of the plan.
context: will I be able to remember anything?\You're pretty as a picture, Highness!\Why don't you get a little exercise yourself, Q-vier?\Thanks, but I'll pass!\Where did H-neun go?\He's been playing hooky all day!\He's this total straight-arrow with bobbed hair.\That guy is so uptight! response:	And the kid is obnoxious.
context: You're pretty as a picture, Highness!\Why don't you get a little exercise yourself, Q-vier?\Thanks, but I'll pass!\Where did H-neun go?\He's been playing hooky all day!\He's this total straight-arrow with bobbed hair.\That guy is so uptight!\And the kid is obnoxious. response:	You always sound like you're having fun!
context: Why don't you get a little exercise yourself, Q-vier?\Thanks, but I'll pass!\Where did H-neun go?\He's been playing hooky all day!\He's this total straight-arrow with bobbed hair.\That guy is so uptight!\And the kid is obnoxious.\You always sound like you're having fun! response:	How has that boy with glasses been lately?
context: Thanks, but I'll pass!\Where did H-neun go?\He's been playing hooky all day!\He's this total straight-arrow with bobbed hair.\That guy is so uptight!\And the kid is obnoxious.\You always sound like you're having fun!\How has that boy with glasses been lately? response:	Well, about him...
context: Where did H-neun go?\He's been playing hooky all day!\He's this total straight-arrow with bobbed hair.\That guy is so uptight!\And the kid is obnoxious.\You always sound like you're having fun!\How has that boy with glasses been lately?\Well, about him... response:	He's okay, I guess.
context: He's been playing hooky all day!\He's this total straight-arrow with bobbed hair.\That guy is so uptight!\And the kid is obnoxious.\You always sound like you're having fun!\How has that boy with glasses been lately?\Well, about him...\He's okay, I guess. response:	But enough about me.
context: He's this total straight-arrow with bobbed hair.\That guy is so uptight!\And the kid is obnoxious.\You always sound like you're having fun!\How has that boy with glasses been lately?\Well, about him...\He's okay, I guess.\But enough about me. response:	What was the title of that movie you were talking about?
context: That guy is so uptight!\And the kid is obnoxious.\You always sound like you're having fun!\How has that boy with glasses been lately?\Well, about him...\He's okay, I guess.\But enough about me.\What was the title of that movie you were talking about? response:	Can you take me someplace with a view of the ocean?
context: And the kid is obnoxious.\You always sound like you're having fun!\How has that boy with glasses been lately?\Well, about him...\He's okay, I guess.\But enough about me.\What was the title of that movie you were talking about?\Can you take me someplace with a view of the ocean? response:	I'm not a taxi.
context: You always sound like you're having fun!\How has that boy with glasses been lately?\Well, about him...\He's okay, I guess.\But enough about me.\What was the title of that movie you were talking about?\Can you take me someplace with a view of the ocean?\I'm not a taxi. response:	Would the beach be too public?
context: How has that boy with glasses been lately?\Well, about him...\He's okay, I guess.\But enough about me.\What was the title of that movie you were talking about?\Can you take me someplace with a view of the ocean?\I'm not a taxi.\Would the beach be too public? response:	Or would a secluded place be better?
context: Well, about him...\He's okay, I guess.\But enough about me.\What was the title of that movie you were talking about?\Can you take me someplace with a view of the ocean?\I'm not a taxi.\Would the beach be too public?\Or would a secluded place be better? response:	To have a private conversation, I mean.
context: He's okay, I guess.\But enough about me.\What was the title of that movie you were talking about?\Can you take me someplace with a view of the ocean?\I'm not a taxi.\Would the beach be too public?\Or would a secluded place be better?\To have a private conversation, I mean. response:	What are you talking about?
context: But enough about me.\What was the title of that movie you were talking about?\Can you take me someplace with a view of the ocean?\I'm not a taxi.\Would the beach be too public?\Or would a secluded place be better?\To have a private conversation, I mean.\What are you talking about? response:	Isn't that why you've been tailing me since this morning?
context: What was the title of that movie you were talking about?\Can you take me someplace with a view of the ocean?\I'm not a taxi.\Would the beach be too public?\Or would a secluded place be better?\To have a private conversation, I mean.\What are you talking about?\Isn't that why you've been tailing me since this morning? response:	Why don't I call in that rain check?
context: Can you take me someplace with a view of the ocean?\I'm not a taxi.\Would the beach be too public?\Or would a secluded place be better?\To have a private conversation, I mean.\What are you talking about?\Isn't that why you've been tailing me since this morning?\Why don't I call in that rain check? response:	Why don't we get some tea?
context: I'm not a taxi.\Would the beach be too public?\Or would a secluded place be better?\To have a private conversation, I mean.\What are you talking about?\Isn't that why you've been tailing me since this morning?\Why don't I call in that rain check?\Why don't we get some tea? response:	Docking with shuttle complete.
context: Would the beach be too public?\Or would a secluded place be better?\To have a private conversation, I mean.\What are you talking about?\Isn't that why you've been tailing me since this morning?\Why don't I call in that rain check?\Why don't we get some tea?\Docking with shuttle complete. response:	Handing off to Follow Ring guidance.
context: Or would a secluded place be better?\To have a private conversation, I mean.\What are you talking about?\Isn't that why you've been tailing me since this morning?\Why don't I call in that rain check?\Why don't we get some tea?\Docking with shuttle complete.\Handing off to Follow Ring guidance. response:	Please begin transfer.
context: To have a private conversation, I mean.\What are you talking about?\Isn't that why you've been tailing me since this morning?\Why don't I call in that rain check?\Why don't we get some tea?\Docking with shuttle complete.\Handing off to Follow Ring guidance.\Please begin transfer. response:	Pass validity confirmed.
context: What are you talking about?\Isn't that why you've been tailing me since this morning?\Why don't I call in that rain check?\Why don't we get some tea?\Docking with shuttle complete.\Handing off to Follow Ring guidance.\Please begin transfer.\Pass validity confirmed. response:	You are cleared to enter port.
context: Isn't that why you've been tailing me since this morning?\Why don't I call in that rain check?\Why don't we get some tea?\Docking with shuttle complete.\Handing off to Follow Ring guidance.\Please begin transfer.\Pass validity confirmed.\You are cleared to enter port. response:	Customs inspection complete.
context: Why don't I call in that rain check?\Why don't we get some tea?\Docking with shuttle complete.\Handing off to Follow Ring guidance.\Please begin transfer.\Pass validity confirmed.\You are cleared to enter port.\Customs inspection complete. response:	Opening Follow Gauge.
context: Why don't we get some tea?\Docking with shuttle complete.\Handing off to Follow Ring guidance.\Please begin transfer.\Pass validity confirmed.\You are cleared to enter port.\Customs inspection complete.\Opening Follow Gauge. response:	Have a pleasant flight.
context: Docking with shuttle complete.\Handing off to Follow Ring guidance.\Please begin transfer.\Pass validity confirmed.\You are cleared to enter port.\Customs inspection complete.\Opening Follow Gauge.\Have a pleasant flight. response:	Let's see, this one's an unscheduled.
context: Handing off to Follow Ring guidance.\Please begin transfer.\Pass validity confirmed.\You are cleared to enter port.\Customs inspection complete.\Opening Follow Gauge.\Have a pleasant flight.\Let's see, this one's an unscheduled. response:	You're
context: Please begin transfer.\Pass validity confirmed.\You are cleared to enter port.\Customs inspection complete.\Opening Follow Gauge.\Have a pleasant flight.\Let's see, this one's an unscheduled.\You're response:	L-elf?
context: Pass validity confirmed.\You are cleared to enter port.\Customs inspection complete.\Opening Follow Gauge.\Have a pleasant flight.\Let's see, this one's an unscheduled.\You're\L-elf? response:	I'm L-elf.
context: You are cleared to enter port.\Customs inspection complete.\Opening Follow Gauge.\Have a pleasant flight.\Let's see, this one's an unscheduled.\You're\L-elf?\I'm L-elf. response:	What was the story with those unscheduled passengers?
context: Customs inspection complete.\Opening Follow Gauge.\Have a pleasant flight.\Let's see, this one's an unscheduled.\You're\L-elf?\I'm L-elf.\What was the story with those unscheduled passengers? response:	The usual line-cutters. Special clearance from the authorities.
context: Opening Follow Gauge.\Have a pleasant flight.\Let's see, this one's an unscheduled.\You're\L-elf?\I'm L-elf.\What was the story with those unscheduled passengers?\The usual line-cutters. Special clearance from the authorities. response:	Sheesh, again? Understood.
context: Have a pleasant flight.\Let's see, this one's an unscheduled.\You're\L-elf?\I'm L-elf.\What was the story with those unscheduled passengers?\The usual line-cutters. Special clearance from the authorities.\Sheesh, again? Understood. response:	It looks like it went according to plan.
context: Let's see, this one's an unscheduled.\You're\L-elf?\I'm L-elf.\What was the story with those unscheduled passengers?\The usual line-cutters. Special clearance from the authorities.\Sheesh, again? Understood.\It looks like it went according to plan. response:	A passenger liner bound for New Guinea
context: You're\L-elf?\I'm L-elf.\What was the story with those unscheduled passengers?\The usual line-cutters. Special clearance from the authorities.\Sheesh, again? Understood.\It looks like it went according to plan.\A passenger liner bound for New Guinea response:	and three JIOR Mail Steamer cargo ships...
context: L-elf?\I'm L-elf.\What was the story with those unscheduled passengers?\The usual line-cutters. Special clearance from the authorities.\Sheesh, again? Understood.\It looks like it went according to plan.\A passenger liner bound for New Guinea\and three JIOR Mail Steamer cargo ships... response:	This one is a private jet, huh?
context: I'm L-elf.\What was the story with those unscheduled passengers?\The usual line-cutters. Special clearance from the authorities.\Sheesh, again? Understood.\It looks like it went according to plan.\A passenger liner bound for New Guinea\and three JIOR Mail Steamer cargo ships...\This one is a private jet, huh? response:	To disguise our landing time, the cargo ships would be best.
context: What was the story with those unscheduled passengers?\The usual line-cutters. Special clearance from the authorities.\Sheesh, again? Understood.\It looks like it went according to plan.\A passenger liner bound for New Guinea\and three JIOR Mail Steamer cargo ships...\This one is a private jet, huh?\To disguise our landing time, the cargo ships would be best. response:	You can make out all of that? That's amazing.
context: The usual line-cutters. Special clearance from the authorities.\Sheesh, again? Understood.\It looks like it went according to plan.\A passenger liner bound for New Guinea\and three JIOR Mail Steamer cargo ships...\This one is a private jet, huh?\To disguise our landing time, the cargo ships would be best.\You can make out all of that? That's amazing. response:	That's always been your field of expertise, hasn't it?
context: Sheesh, again? Understood.\It looks like it went according to plan.\A passenger liner bound for New Guinea\and three JIOR Mail Steamer cargo ships...\This one is a private jet, huh?\To disguise our landing time, the cargo ships would be best.\You can make out all of that? That's amazing.\That's always been your field of expertise, hasn't it? response:	What's this channel?
context: It looks like it went according to plan.\A passenger liner bound for New Guinea\and three JIOR Mail Steamer cargo ships...\This one is a private jet, huh?\To disguise our landing time, the cargo ships would be best.\You can make out all of that? That's amazing.\That's always been your field of expertise, hasn't it?\What's this channel? response:	Don't touch that!
context: A passenger liner bound for New Guinea\and three JIOR Mail Steamer cargo ships...\This one is a private jet, huh?\To disguise our landing time, the cargo ships would be best.\You can make out all of that? That's amazing.\That's always been your field of expertise, hasn't it?\What's this channel?\Don't touch that! response:	Communications frequency match!
context: and three JIOR Mail Steamer cargo ships...\This one is a private jet, huh?\To disguise our landing time, the cargo ships would be best.\You can make out all of that? That's amazing.\That's always been your field of expertise, hasn't it?\What's this channel?\Don't touch that!\Communications frequency match! response:	It's a match for the spacecraft that launched from Module 77!
context: This one is a private jet, huh?\To disguise our landing time, the cargo ships would be best.\You can make out all of that? That's amazing.\That's always been your field of expertise, hasn't it?\What's this channel?\Don't touch that!\Communications frequency match!\It's a match for the spacecraft that launched from Module 77! response:	You're absolutely certain?
context: To disguise our landing time, the cargo ships would be best.\You can make out all of that? That's amazing.\That's always been your field of expertise, hasn't it?\What's this channel?\Don't touch that!\Communications frequency match!\It's a match for the spacecraft that launched from Module 77!\You're absolutely certain? response:	All hands to battle stations!
context: You can make out all of that? That's amazing.\That's always been your field of expertise, hasn't it?\What's this channel?\Don't touch that!\Communications frequency match!\It's a match for the spacecraft that launched from Module 77!\You're absolutely certain?\All hands to battle stations! response:	Don't let them land on Earth!
context: That's always been your field of expertise, hasn't it?\What's this channel?\Don't touch that!\Communications frequency match!\It's a match for the spacecraft that launched from Module 77!\You're absolutely certain?\All hands to battle stations!\Don't let them land on Earth! response:	It's the Dorssian navy!
context: What's this channel?\Don't touch that!\Communications frequency match!\It's a match for the spacecraft that launched from Module 77!\You're absolutely certain?\All hands to battle stations!\Don't let them land on Earth!\It's the Dorssian navy! response:	How did they find us?
context: Don't touch that!\Communications frequency match!\It's a match for the spacecraft that launched from Module 77!\You're absolutely certain?\All hands to battle stations!\Don't let them land on Earth!\It's the Dorssian navy!\How did they find us? response:	If our communications frequency is detected,
context: Communications frequency match!\It's a match for the spacecraft that launched from Module 77!\You're absolutely certain?\All hands to battle stations!\Don't let them land on Earth!\It's the Dorssian navy!\How did they find us?\If our communications frequency is detected, response:	it's the obvious outcome.
context: It's a match for the spacecraft that launched from Module 77!\You're absolutely certain?\All hands to battle stations!\Don't let them land on Earth!\It's the Dorssian navy!\How did they find us?\If our communications frequency is detected,\it's the obvious outcome. response:	You're... You're saying that I did this?
context: You're absolutely certain?\All hands to battle stations!\Don't let them land on Earth!\It's the Dorssian navy!\How did they find us?\If our communications frequency is detected,\it's the obvious outcome.\You're... You're saying that I did this? response:	I thought you said there wouldn't be any combat!
context: All hands to battle stations!\Don't let them land on Earth!\It's the Dorssian navy!\How did they find us?\If our communications frequency is detected,\it's the obvious outcome.\You're... You're saying that I did this?\I thought you said there wouldn't be any combat! response:	Securing the ship's flight path has top priority.
context: Don't let them land on Earth!\It's the Dorssian navy!\How did they find us?\If our communications frequency is detected,\it's the obvious outcome.\You're... You're saying that I did this?\I thought you said there wouldn't be any combat!\Securing the ship's flight path has top priority. response:	If we leave the rings, our descent will fail!
context: It's the Dorssian navy!\How did they find us?\If our communications frequency is detected,\it's the obvious outcome.\You're... You're saying that I did this?\I thought you said there wouldn't be any combat!\Securing the ship's flight path has top priority.\If we leave the rings, our descent will fail! response:	A holding action until we begin reentry, huh?
context: How did they find us?\If our communications frequency is detected,\it's the obvious outcome.\You're... You're saying that I did this?\I thought you said there wouldn't be any combat!\Securing the ship's flight path has top priority.\If we leave the rings, our descent will fail!\A holding action until we begin reentry, huh? response:	Don't let them near the ship.
context: If our communications frequency is detected,\it's the obvious outcome.\You're... You're saying that I did this?\I thought you said there wouldn't be any combat!\Securing the ship's flight path has top priority.\If we leave the rings, our descent will fail!\A holding action until we begin reentry, huh?\Don't let them near the ship. response:	Assume that if we take a single hit, it's all over.
context: it's the obvious outcome.\You're... You're saying that I did this?\I thought you said there wouldn't be any combat!\Securing the ship's flight path has top priority.\If we leave the rings, our descent will fail!\A holding action until we begin reentry, huh?\Don't let them near the ship.\Assume that if we take a single hit, it's all over. response:	All units, don't stray too far from the ship!
context: You're... You're saying that I did this?\I thought you said there wouldn't be any combat!\Securing the ship's flight path has top priority.\If we leave the rings, our descent will fail!\A holding action until we begin reentry, huh?\Don't let them near the ship.\Assume that if we take a single hit, it's all over.\All units, don't stray too far from the ship! response:	That's a whole lot of warnings!
context: I thought you said there wouldn't be any combat!\Securing the ship's flight path has top priority.\If we leave the rings, our descent will fail!\A holding action until we begin reentry, huh?\Don't let them near the ship.\Assume that if we take a single hit, it's all over.\All units, don't stray too far from the ship!\That's a whole lot of warnings! response:	Hey, one came at us from underneath!
context: Securing the ship's flight path has top priority.\If we leave the rings, our descent will fail!\A holding action until we begin reentry, huh?\Don't let them near the ship.\Assume that if we take a single hit, it's all over.\All units, don't stray too far from the ship!\That's a whole lot of warnings!\Hey, one came at us from underneath! response:	Which do we attack?
context: If we leave the rings, our descent will fail!\A holding action until we begin reentry, huh?\Don't let them near the ship.\Assume that if we take a single hit, it's all over.\All units, don't stray too far from the ship!\That's a whole lot of warnings!\Hey, one came at us from underneath!\Which do we attack? response:	Both of them, obviously!
context: A holding action until we begin reentry, huh?\Don't let them near the ship.\Assume that if we take a single hit, it's all over.\All units, don't stray too far from the ship!\That's a whole lot of warnings!\Hey, one came at us from underneath!\Which do we attack?\Both of them, obviously! response:	The one below us is a special-spec Ideal.
context: Don't let them near the ship.\Assume that if we take a single hit, it's all over.\All units, don't stray too far from the ship!\That's a whole lot of warnings!\Hey, one came at us from underneath!\Which do we attack?\Both of them, obviously!\The one below us is a special-spec Ideal. response:	Shoot it down.
context: Assume that if we take a single hit, it's all over.\All units, don't stray too far from the ship!\That's a whole lot of warnings!\Hey, one came at us from underneath!\Which do we attack?\Both of them, obviously!\The one below us is a special-spec Ideal.\Shoot it down. response:	Brother, I brought you some rice porridge.
context: All units, don't stray too far from the ship!\That's a whole lot of warnings!\Hey, one came at us from underneath!\Which do we attack?\Both of them, obviously!\The one below us is a special-spec Ideal.\Shoot it down.\Brother, I brought you some rice porridge. response:	What are you doing?!
context: That's a whole lot of warnings!\Hey, one came at us from underneath!\Which do we attack?\Both of them, obviously!\The one below us is a special-spec Ideal.\Shoot it down.\Brother, I brought you some rice porridge.\What are you doing?! response:	I'm okay. I'm okay...
context: Hey, one came at us from underneath!\Which do we attack?\Both of them, obviously!\The one below us is a special-spec Ideal.\Shoot it down.\Brother, I brought you some rice porridge.\What are you doing?!\I'm okay. I'm okay... response:	But you have a terrible fever!
context: Which do we attack?\Both of them, obviously!\The one below us is a special-spec Ideal.\Shoot it down.\Brother, I brought you some rice porridge.\What are you doing?!\I'm okay. I'm okay...\But you have a terrible fever! response:	Whether or not I get into the best school
context: Both of them, obviously!\The one below us is a special-spec Ideal.\Shoot it down.\Brother, I brought you some rice porridge.\What are you doing?!\I'm okay. I'm okay...\But you have a terrible fever!\Whether or not I get into the best school response:	hinges on this one test.
context: The one below us is a special-spec Ideal.\Shoot it down.\Brother, I brought you some rice porridge.\What are you doing?!\I'm okay. I'm okay...\But you have a terrible fever!\Whether or not I get into the best school\hinges on this one test. response:	I can't take any time off.
context: Shoot it down.\Brother, I brought you some rice porridge.\What are you doing?!\I'm okay. I'm okay...\But you have a terrible fever!\Whether or not I get into the best school\hinges on this one test.\I can't take any time off. response:	Brother...
context: Brother, I brought you some rice porridge.\What are you doing?!\I'm okay. I'm okay...\But you have a terrible fever!\Whether or not I get into the best school\hinges on this one test.\I can't take any time off.\Brother... response:	I have to do this... I have to...
context: What are you doing?!\I'm okay. I'm okay...\But you have a terrible fever!\Whether or not I get into the best school\hinges on this one test.\I can't take any time off.\Brother...\I have to do this... I have to... response:	Anything other than a national school is unthinkable!
context: I'm okay. I'm okay...\But you have a terrible fever!\Whether or not I get into the best school\hinges on this one test.\I can't take any time off.\Brother...\I have to do this... I have to...\Anything other than a national school is unthinkable! response:	Is that clear, Satomi?
context: But you have a terrible fever!\Whether or not I get into the best school\hinges on this one test.\I can't take any time off.\Brother...\I have to do this... I have to...\Anything other than a national school is unthinkable!\Is that clear, Satomi? response:	Will you be one of the winners?
context: Whether or not I get into the best school\hinges on this one test.\I can't take any time off.\Brother...\I have to do this... I have to...\Anything other than a national school is unthinkable!\Is that clear, Satomi?\Will you be one of the winners? response:	Or will you end up a loser?
context: hinges on this one test.\I can't take any time off.\Brother...\I have to do this... I have to...\Anything other than a national school is unthinkable!\Is that clear, Satomi?\Will you be one of the winners?\Or will you end up a loser? response:	It's all decided here.
context: I can't take any time off.\Brother...\I have to do this... I have to...\Anything other than a national school is unthinkable!\Is that clear, Satomi?\Will you be one of the winners?\Or will you end up a loser?\It's all decided here. response:	I have to pass... I have to!
context: Brother...\I have to do this... I have to...\Anything other than a national school is unthinkable!\Is that clear, Satomi?\Will you be one of the winners?\Or will you end up a loser?\It's all decided here.\I have to pass... I have to! response:	I did this!
context: I have to do this... I have to...\Anything other than a national school is unthinkable!\Is that clear, Satomi?\Will you be one of the winners?\Or will you end up a loser?\It's all decided here.\I have to pass... I have to!\I did this! response:	It's no use, my heat levels are almost critical!
context: Anything other than a national school is unthinkable!\Is that clear, Satomi?\Will you be one of the winners?\Or will you end up a loser?\It's all decided here.\I have to pass... I have to!\I did this!\It's no use, my heat levels are almost critical! response:	What are we supposed to do?!
context: Is that clear, Satomi?\Will you be one of the winners?\Or will you end up a loser?\It's all decided here.\I have to pass... I have to!\I did this!\It's no use, my heat levels are almost critical!\What are we supposed to do?! response:	I can't take much more of this!
context: Will you be one of the winners?\Or will you end up a loser?\It's all decided here.\I have to pass... I have to!\I did this!\It's no use, my heat levels are almost critical!\What are we supposed to do?!\I can't take much more of this! response:	Now I'm pissed!
context: Or will you end up a loser?\It's all decided here.\I have to pass... I have to!\I did this!\It's no use, my heat levels are almost critical!\What are we supposed to do?!\I can't take much more of this!\Now I'm pissed! response:	I'll go down there and beat the crap out of him!
context: It's all decided here.\I have to pass... I have to!\I did this!\It's no use, my heat levels are almost critical!\What are we supposed to do?!\I can't take much more of this!\Now I'm pissed!\I'll go down there and beat the crap out of him! response:	Don't.
context: I have to pass... I have to!\I did this!\It's no use, my heat levels are almost critical!\What are we supposed to do?!\I can't take much more of this!\Now I'm pissed!\I'll go down there and beat the crap out of him!\Don't. response:	Why not?!
context: I did this!\It's no use, my heat levels are almost critical!\What are we supposed to do?!\I can't take much more of this!\Now I'm pissed!\I'll go down there and beat the crap out of him!\Don't.\Why not?! response:	There's no time.
context: It's no use, my heat levels are almost critical!\What are we supposed to do?!\I can't take much more of this!\Now I'm pissed!\I'll go down there and beat the crap out of him!\Don't.\Why not?!\There's no time. response:	If you go any further from the ship and can't return,
context: What are we supposed to do?!\I can't take much more of this!\Now I'm pissed!\I'll go down there and beat the crap out of him!\Don't.\Why not?!\There's no time.\If you go any further from the ship and can't return, response:	your heat levels will max out in no time.
context: I can't take much more of this!\Now I'm pissed!\I'll go down there and beat the crap out of him!\Don't.\Why not?!\There's no time.\If you go any further from the ship and can't return,\your heat levels will max out in no time. response:	Why is that guy working just fine?!
context: Now I'm pissed!\I'll go down there and beat the crap out of him!\Don't.\Why not?!\There's no time.\If you go any further from the ship and can't return,\your heat levels will max out in no time.\Why is that guy working just fine?! response:	They're modified versions that have been attached
context: I'll go down there and beat the crap out of him!\Don't.\Why not?!\There's no time.\If you go any further from the ship and can't return,\your heat levels will max out in no time.\Why is that guy working just fine?!\They're modified versions that have been attached response:	to in-atmosphere shuttles.
context: Don't.\Why not?!\There's no time.\If you go any further from the ship and can't return,\your heat levels will max out in no time.\Why is that guy working just fine?!\They're modified versions that have been attached\to in-atmosphere shuttles. response:	As long as that is not destroyed, they are capable of unassisted reentry.
context: Why not?!\There's no time.\If you go any further from the ship and can't return,\your heat levels will max out in no time.\Why is that guy working just fine?!\They're modified versions that have been attached\to in-atmosphere shuttles.\As long as that is not destroyed, they are capable of unassisted reentry. response:	Move closer to the ship. You're all nearly maxed out.
context: There's no time.\If you go any further from the ship and can't return,\your heat levels will max out in no time.\Why is that guy working just fine?!\They're modified versions that have been attached\to in-atmosphere shuttles.\As long as that is not destroyed, they are capable of unassisted reentry.\Move closer to the ship. You're all nearly maxed out. response:	Yamada! Get back here!
context: If you go any further from the ship and can't return,\your heat levels will max out in no time.\Why is that guy working just fine?!\They're modified versions that have been attached\to in-atmosphere shuttles.\As long as that is not destroyed, they are capable of unassisted reentry.\Move closer to the ship. You're all nearly maxed out.\Yamada! Get back here! response:	Even if I do, we're history if we take one hit, remember?!
context: your heat levels will max out in no time.\Why is that guy working just fine?!\They're modified versions that have been attached\to in-atmosphere shuttles.\As long as that is not destroyed, they are capable of unassisted reentry.\Move closer to the ship. You're all nearly maxed out.\Yamada! Get back here!\Even if I do, we're history if we take one hit, remember?! response:	Yamada! Come back!
context: Why is that guy working just fine?!\They're modified versions that have been attached\to in-atmosphere shuttles.\As long as that is not destroyed, they are capable of unassisted reentry.\Move closer to the ship. You're all nearly maxed out.\Yamada! Get back here!\Even if I do, we're history if we take one hit, remember?!\Yamada! Come back! response:	Sure, once I take this guy out!
context: They're modified versions that have been attached\to in-atmosphere shuttles.\As long as that is not destroyed, they are capable of unassisted reentry.\Move closer to the ship. You're all nearly maxed out.\Yamada! Get back here!\Even if I do, we're history if we take one hit, remember?!\Yamada! Come back!\Sure, once I take this guy out! response:	Oh no!
context: to in-atmosphere shuttles.\As long as that is not destroyed, they are capable of unassisted reentry.\Move closer to the ship. You're all nearly maxed out.\Yamada! Get back here!\Even if I do, we're history if we take one hit, remember?!\Yamada! Come back!\Sure, once I take this guy out!\Oh no! response:	Crap!
context: As long as that is not destroyed, they are capable of unassisted reentry.\Move closer to the ship. You're all nearly maxed out.\Yamada! Get back here!\Even if I do, we're history if we take one hit, remember?!\Yamada! Come back!\Sure, once I take this guy out!\Oh no!\Crap! response:	Yamada!
context: Move closer to the ship. You're all nearly maxed out.\Yamada! Get back here!\Even if I do, we're history if we take one hit, remember?!\Yamada! Come back!\Sure, once I take this guy out!\Oh no!\Crap!\Yamada! response:	You okay?
context: Yamada! Get back here!\Even if I do, we're history if we take one hit, remember?!\Yamada! Come back!\Sure, once I take this guy out!\Oh no!\Crap!\Yamada!\You okay? response:	It's about to fire!
context: Even if I do, we're history if we take one hit, remember?!\Yamada! Come back!\Sure, once I take this guy out!\Oh no!\Crap!\Yamada!\You okay?\It's about to fire! response:	We're done for!
context: Yamada! Come back!\Sure, once I take this guy out!\Oh no!\Crap!\Yamada!\You okay?\It's about to fire!\We're done for! response:	All because of me...
context: Sure, once I take this guy out!\Oh no!\Crap!\Yamada!\You okay?\It's about to fire!\We're done for!\All because of me... response:	We're sitting ducks!
context: Oh no!\Crap!\Yamada!\You okay?\It's about to fire!\We're done for!\All because of me...\We're sitting ducks! response:	Akira-chan?
context: Crap!\Yamada!\You okay?\It's about to fire!\We're done for!\All because of me...\We're sitting ducks!\Akira-chan? response:	Akira?
context: Yamada!\You okay?\It's about to fire!\We're done for!\All because of me...\We're sitting ducks!\Akira-chan?\Akira? response:	Akira!
context: You okay?\It's about to fire!\We're done for!\All because of me...\We're sitting ducks!\Akira-chan?\Akira?\Akira! response:	The other one's coming in for another pass!
context: It's about to fire!\We're done for!\All because of me...\We're sitting ducks!\Akira-chan?\Akira?\Akira!\The other one's coming in for another pass! response:	What do we do?!
context: We're done for!\All because of me...\We're sitting ducks!\Akira-chan?\Akira?\Akira!\The other one's coming in for another pass!\What do we do?! response:	Professor! It's just this one, but it's good to go!
context: All because of me...\We're sitting ducks!\Akira-chan?\Akira?\Akira!\The other one's coming in for another pass!\What do we do?!\Professor! It's just this one, but it's good to go! response:	Perfect! Nice work!
context: We're sitting ducks!\Akira-chan?\Akira?\Akira!\The other one's coming in for another pass!\What do we do?!\Professor! It's just this one, but it's good to go!\Perfect! Nice work! response:	Tokishima, do you read me?
context: Akira-chan?\Akira?\Akira!\The other one's coming in for another pass!\What do we do?!\Professor! It's just this one, but it's good to go!\Perfect! Nice work!\Tokishima, do you read me? response:	Yes!
context: Akira?\Akira!\The other one's coming in for another pass!\What do we do?!\Professor! It's just this one, but it's good to go!\Perfect! Nice work!\Tokishima, do you read me?\Yes! response:	Care to try out a Familiar?
context: Akira!\The other one's coming in for another pass!\What do we do?!\Professor! It's just this one, but it's good to go!\Perfect! Nice work!\Tokishima, do you read me?\Yes!\Care to try out a Familiar? response:	They're ready?!
context: The other one's coming in for another pass!\What do we do?!\Professor! It's just this one, but it's good to go!\Perfect! Nice work!\Tokishima, do you read me?\Yes!\Care to try out a Familiar?\They're ready?! response:	Impact Booster, docking sequence engage!
context: What do we do?!\Professor! It's just this one, but it's good to go!\Perfect! Nice work!\Tokishima, do you read me?\Yes!\Care to try out a Familiar?\They're ready?!\Impact Booster, docking sequence engage! response:	Heat dump complete!
context: Professor! It's just this one, but it's good to go!\Perfect! Nice work!\Tokishima, do you read me?\Yes!\Care to try out a Familiar?\They're ready?!\Impact Booster, docking sequence engage!\Heat dump complete! response:	Amazing! He destroyed it in one blow!
context: Perfect! Nice work!\Tokishima, do you read me?\Yes!\Care to try out a Familiar?\They're ready?!\Impact Booster, docking sequence engage!\Heat dump complete!\Amazing! He destroyed it in one blow! response:	Recall Tokishima immediately.
context: Tokishima, do you read me?\Yes!\Care to try out a Familiar?\They're ready?!\Impact Booster, docking sequence engage!\Heat dump complete!\Amazing! He destroyed it in one blow!\Recall Tokishima immediately. response:	We'll begin reentry any moment.
context: Yes!\Care to try out a Familiar?\They're ready?!\Impact Booster, docking sequence engage!\Heat dump complete!\Amazing! He destroyed it in one blow!\Recall Tokishima immediately.\We'll begin reentry any moment. response:	Wait, grab Akira! Retrieve Akira!
context: Care to try out a Familiar?\They're ready?!\Impact Booster, docking sequence engage!\Heat dump complete!\Amazing! He destroyed it in one blow!\Recall Tokishima immediately.\We'll begin reentry any moment.\Wait, grab Akira! Retrieve Akira! response:	Unit 6 is too far away from the ship.
context: They're ready?!\Impact Booster, docking sequence engage!\Heat dump complete!\Amazing! He destroyed it in one blow!\Recall Tokishima immediately.\We'll begin reentry any moment.\Wait, grab Akira! Retrieve Akira!\Unit 6 is too far away from the ship. response:	It's too late to save her.
context: Impact Booster, docking sequence engage!\Heat dump complete!\Amazing! He destroyed it in one blow!\Recall Tokishima immediately.\We'll begin reentry any moment.\Wait, grab Akira! Retrieve Akira!\Unit 6 is too far away from the ship.\It's too late to save her. response:	It's like that other time all over again!
