context: This castle was built about 450 years ago. response:	The castle is now a museum,
context: Thank you very much.\Not at all.\That's right. I brought a cake.\It is in Sakura's room. I will go get it.\I feel dizzy'\I am fine now.\You deserve an Oscar award.\I was nervous. response:	Then, I'll go look for Sakura.
context: Not at all.\That's right. I brought a cake.\It is in Sakura's room. I will go get it.\I feel dizzy'\I am fine now.\You deserve an Oscar award.\I was nervous.\Then, I'll go look for Sakura. response:	Be careful, and make sure you do not let them see you.
context: That's right. I brought a cake.\It is in Sakura's room. I will go get it.\I feel dizzy'\I am fine now.\You deserve an Oscar award.\I was nervous.\Then, I'll go look for Sakura.\Be careful, and make sure you do not let them see you. response:	Okay.
context: It is in Sakura's room. I will go get it.\I feel dizzy'\I am fine now.\You deserve an Oscar award.\I was nervous.\Then, I'll go look for Sakura.\Be careful, and make sure you do not let them see you.\Okay. response:	Our bathtub was huge.
context: I feel dizzy'\I am fine now.\You deserve an Oscar award.\I was nervous.\Then, I'll go look for Sakura.\Be careful, and make sure you do not let them see you.\Okay.\Our bathtub was huge. response:	All right!
context: I am fine now.\You deserve an Oscar award.\I was nervous.\Then, I'll go look for Sakura.\Be careful, and make sure you do not let them see you.\Okay.\Our bathtub was huge.\All right! response:	What's so funny!
context: You deserve an Oscar award.\I was nervous.\Then, I'll go look for Sakura.\Be careful, and make sure you do not let them see you.\Okay.\Our bathtub was huge.\All right!\What's so funny! response:	Wait!
context: I was nervous.\Then, I'll go look for Sakura.\Be careful, and make sure you do not let them see you.\Okay.\Our bathtub was huge.\All right!\What's so funny!\Wait! response:	Hold on!
context: Then, I'll go look for Sakura.\Be careful, and make sure you do not let them see you.\Okay.\Our bathtub was huge.\All right!\What's so funny!\Wait!\Hold on! response:	Where are you going already?!
context: Be careful, and make sure you do not let them see you.\Okay.\Our bathtub was huge.\All right!\What's so funny!\Wait!\Hold on!\Where are you going already?! response:	Geez'
context: Okay.\Our bathtub was huge.\All right!\What's so funny!\Wait!\Hold on!\Where are you going already?!\Geez' response:	Where the heck did Sakura go to buy stuff?
context: Our bathtub was huge.\All right!\What's so funny!\Wait!\Hold on!\Where are you going already?!\Geez'\Where the heck did Sakura go to buy stuff? response:	Touya looks like a monster.
context: All right!\What's so funny!\Wait!\Hold on!\Where are you going already?!\Geez'\Where the heck did Sakura go to buy stuff?\Touya looks like a monster. response:	That's right! He looks so much more like a monster than I do!
context: What's so funny!\Wait!\Hold on!\Where are you going already?!\Geez'\Where the heck did Sakura go to buy stuff?\Touya looks like a monster.\That's right! He looks so much more like a monster than I do! response:	Where did the Clow Card go?
context: Wait!\Hold on!\Where are you going already?!\Geez'\Where the heck did Sakura go to buy stuff?\Touya looks like a monster.\That's right! He looks so much more like a monster than I do!\Where did the Clow Card go? response:	Touya's here, and I can't get out'
context: Hold on!\Where are you going already?!\Geez'\Where the heck did Sakura go to buy stuff?\Touya looks like a monster.\That's right! He looks so much more like a monster than I do!\Where did the Clow Card go?\Touya's here, and I can't get out' response:	What should I do?
context: Where are you going already?!\Geez'\Where the heck did Sakura go to buy stuff?\Touya looks like a monster.\That's right! He looks so much more like a monster than I do!\Where did the Clow Card go?\Touya's here, and I can't get out'\What should I do? response:	Touya, watch out!!
context: Geez'\Where the heck did Sakura go to buy stuff?\Touya looks like a monster.\That's right! He looks so much more like a monster than I do!\Where did the Clow Card go?\Touya's here, and I can't get out'\What should I do?\Touya, watch out!! response:	Just now' I'm sure I heard Sakura's voice.
context: Where the heck did Sakura go to buy stuff?\Touya looks like a monster.\That's right! He looks so much more like a monster than I do!\Where did the Clow Card go?\Touya's here, and I can't get out'\What should I do?\Touya, watch out!!\Just now' I'm sure I heard Sakura's voice. response:	That's strange.
context: Touya looks like a monster.\That's right! He looks so much more like a monster than I do!\Where did the Clow Card go?\Touya's here, and I can't get out'\What should I do?\Touya, watch out!!\Just now' I'm sure I heard Sakura's voice.\That's strange. response:	That's impossible. It's too high for me.
context: That's right! He looks so much more like a monster than I do!\Where did the Clow Card go?\Touya's here, and I can't get out'\What should I do?\Touya, watch out!!\Just now' I'm sure I heard Sakura's voice.\That's strange.\That's impossible. It's too high for me. response:	What should I do?
context: Where did the Clow Card go?\Touya's here, and I can't get out'\What should I do?\Touya, watch out!!\Just now' I'm sure I heard Sakura's voice.\That's strange.\That's impossible. It's too high for me.\What should I do? response:	If only Kero is around at a time like this'
context: Touya's here, and I can't get out'\What should I do?\Touya, watch out!!\Just now' I'm sure I heard Sakura's voice.\That's strange.\That's impossible. It's too high for me.\What should I do?\If only Kero is around at a time like this' response:	Kero!
context: What should I do?\Touya, watch out!!\Just now' I'm sure I heard Sakura's voice.\That's strange.\That's impossible. It's too high for me.\What should I do?\If only Kero is around at a time like this'\Kero! response:	That's the act of Little.
context: Touya, watch out!!\Just now' I'm sure I heard Sakura's voice.\That's strange.\That's impossible. It's too high for me.\What should I do?\If only Kero is around at a time like this'\Kero!\That's the act of Little. response:	Little? As in small?
context: Just now' I'm sure I heard Sakura's voice.\That's strange.\That's impossible. It's too high for me.\What should I do?\If only Kero is around at a time like this'\Kero!\That's the act of Little.\Little? As in small? response:	Even the wand returned to the key shape.
context: That's strange.\That's impossible. It's too high for me.\What should I do?\If only Kero is around at a time like this'\Kero!\That's the act of Little.\Little? As in small?\Even the wand returned to the key shape. response:	Little not only made you small,
context: That's impossible. It's too high for me.\What should I do?\If only Kero is around at a time like this'\Kero!\That's the act of Little.\Little? As in small?\Even the wand returned to the key shape.\Little not only made you small, response:	it weakened your magical power too.
context: What should I do?\If only Kero is around at a time like this'\Kero!\That's the act of Little.\Little? As in small?\Even the wand returned to the key shape.\Little not only made you small,\it weakened your magical power too. response:	How can I turn back to my original size?
context: If only Kero is around at a time like this'\Kero!\That's the act of Little.\Little? As in small?\Even the wand returned to the key shape.\Little not only made you small,\it weakened your magical power too.\How can I turn back to my original size? response:	If you bump into Little once again
context: Kero!\That's the act of Little.\Little? As in small?\Even the wand returned to the key shape.\Little not only made you small,\it weakened your magical power too.\How can I turn back to my original size?\If you bump into Little once again response:	you should turn back to your original size.
context: That's the act of Little.\Little? As in small?\Even the wand returned to the key shape.\Little not only made you small,\it weakened your magical power too.\How can I turn back to my original size?\If you bump into Little once again\you should turn back to your original size. response:	I see. All right. I gotta find Little as soon as possible!
context: Little? As in small?\Even the wand returned to the key shape.\Little not only made you small,\it weakened your magical power too.\How can I turn back to my original size?\If you bump into Little once again\you should turn back to your original size.\I see. All right. I gotta find Little as soon as possible! response:	But even if I found Little, I don't have the Key'
context: Even the wand returned to the key shape.\Little not only made you small,\it weakened your magical power too.\How can I turn back to my original size?\If you bump into Little once again\you should turn back to your original size.\I see. All right. I gotta find Little as soon as possible!\But even if I found Little, I don't have the Key' response:	Tomoyo has it.
context: Little not only made you small,\it weakened your magical power too.\How can I turn back to my original size?\If you bump into Little once again\you should turn back to your original size.\I see. All right. I gotta find Little as soon as possible!\But even if I found Little, I don't have the Key'\Tomoyo has it. response:	Tomoyo does?
context: it weakened your magical power too.\How can I turn back to my original size?\If you bump into Little once again\you should turn back to your original size.\I see. All right. I gotta find Little as soon as possible!\But even if I found Little, I don't have the Key'\Tomoyo has it.\Tomoyo does? response:	I hope Sakura is all right'
context: How can I turn back to my original size?\If you bump into Little once again\you should turn back to your original size.\I see. All right. I gotta find Little as soon as possible!\But even if I found Little, I don't have the Key'\Tomoyo has it.\Tomoyo does?\I hope Sakura is all right' response:	Don't!!
context: If you bump into Little once again\you should turn back to your original size.\I see. All right. I gotta find Little as soon as possible!\But even if I found Little, I don't have the Key'\Tomoyo has it.\Tomoyo does?\I hope Sakura is all right'\Don't!! response:	Sakura!
context: you should turn back to your original size.\I see. All right. I gotta find Little as soon as possible!\But even if I found Little, I don't have the Key'\Tomoyo has it.\Tomoyo does?\I hope Sakura is all right'\Don't!!\Sakura! response:	Tomoyo, the Key!
context: I see. All right. I gotta find Little as soon as possible!\But even if I found Little, I don't have the Key'\Tomoyo has it.\Tomoyo does?\I hope Sakura is all right'\Don't!!\Sakura!\Tomoyo, the Key! response:	Ye' Yes!
context: But even if I found Little, I don't have the Key'\Tomoyo has it.\Tomoyo does?\I hope Sakura is all right'\Don't!!\Sakura!\Tomoyo, the Key!\Ye' Yes! response:	Key which hides the forces of darkness,
context: Tomoyo has it.\Tomoyo does?\I hope Sakura is all right'\Don't!!\Sakura!\Tomoyo, the Key!\Ye' Yes!\Key which hides the forces of darkness, response:	reveal thy true form before me.
context: Tomoyo does?\I hope Sakura is all right'\Don't!!\Sakura!\Tomoyo, the Key!\Ye' Yes!\Key which hides the forces of darkness,\reveal thy true form before me. response:	I, Sakura, command thee under contract.
context: I hope Sakura is all right'\Don't!!\Sakura!\Tomoyo, the Key!\Ye' Yes!\Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract. response:	Release!
context: Don't!!\Sakura!\Tomoyo, the Key!\Ye' Yes!\Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release! response:	Return to thy form which thou should be!
context: Sakura!\Tomoyo, the Key!\Ye' Yes!\Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Return to thy form which thou should be! response:	Clow Card!
context: Tomoyo, the Key!\Ye' Yes!\Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Return to thy form which thou should be!\Clow Card! response:	I did it! I turn back to my original size!
context: Ye' Yes!\Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Return to thy form which thou should be!\Clow Card!\I did it! I turn back to my original size! response:	Kero! I' I'm so sorry!
context: Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Return to thy form which thou should be!\Clow Card!\I did it! I turn back to my original size!\Kero! I' I'm so sorry! response:	Hang in there, Kero! Kero!
context: reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Return to thy form which thou should be!\Clow Card!\I did it! I turn back to my original size!\Kero! I' I'm so sorry!\Hang in there, Kero! Kero! response:	Here, please help yourselves.
context: I, Sakura, command thee under contract.\Release!\Return to thy form which thou should be!\Clow Card!\I did it! I turn back to my original size!\Kero! I' I'm so sorry!\Hang in there, Kero! Kero!\Here, please help yourselves. response:	Let's eat!
context: Release!\Return to thy form which thou should be!\Clow Card!\I did it! I turn back to my original size!\Kero! I' I'm so sorry!\Hang in there, Kero! Kero!\Here, please help yourselves.\Let's eat! response:	This is good!
context: Return to thy form which thou should be!\Clow Card!\I did it! I turn back to my original size!\Kero! I' I'm so sorry!\Hang in there, Kero! Kero!\Here, please help yourselves.\Let's eat!\This is good! response:	Delicious!
context: Clow Card!\I did it! I turn back to my original size!\Kero! I' I'm so sorry!\Hang in there, Kero! Kero!\Here, please help yourselves.\Let's eat!\This is good!\Delicious! response:	I am glad.
context: I did it! I turn back to my original size!\Kero! I' I'm so sorry!\Hang in there, Kero! Kero!\Here, please help yourselves.\Let's eat!\This is good!\Delicious!\I am glad. response:	Tomoyo, you're good at cooking.
context: Kero! I' I'm so sorry!\Hang in there, Kero! Kero!\Here, please help yourselves.\Let's eat!\This is good!\Delicious!\I am glad.\Tomoyo, you're good at cooking. response:	Thank you very much.
context: Hang in there, Kero! Kero!\Here, please help yourselves.\Let's eat!\This is good!\Delicious!\I am glad.\Tomoyo, you're good at cooking.\Thank you very much. response:	Sakura could never make anything this delicious.
context: Here, please help yourselves.\Let's eat!\This is good!\Delicious!\I am glad.\Tomoyo, you're good at cooking.\Thank you very much.\Sakura could never make anything this delicious. response:	I can! If I learn how to make it'
context: Let's eat!\This is good!\Delicious!\I am glad.\Tomoyo, you're good at cooking.\Thank you very much.\Sakura could never make anything this delicious.\I can! If I learn how to make it' response:	It is simple.
context: This is good!\Delicious!\I am glad.\Tomoyo, you're good at cooking.\Thank you very much.\Sakura could never make anything this delicious.\I can! If I learn how to make it'\It is simple. response:	Really?
context: Delicious!\I am glad.\Tomoyo, you're good at cooking.\Thank you very much.\Sakura could never make anything this delicious.\I can! If I learn how to make it'\It is simple.\Really? response:	Yes. Let us make one together next time.
context: I am glad.\Tomoyo, you're good at cooking.\Thank you very much.\Sakura could never make anything this delicious.\I can! If I learn how to make it'\It is simple.\Really?\Yes. Let us make one together next time. response:	But it's really delicious.
context: Tomoyo, you're good at cooking.\Thank you very much.\Sakura could never make anything this delicious.\I can! If I learn how to make it'\It is simple.\Really?\Yes. Let us make one together next time.\But it's really delicious. response:	We have two slices left.
context: Thank you very much.\Sakura could never make anything this delicious.\I can! If I learn how to make it'\It is simple.\Really?\Yes. Let us make one together next time.\But it's really delicious.\We have two slices left. response:	Kero's share'
context: Sakura could never make anything this delicious.\I can! If I learn how to make it'\It is simple.\Really?\Yes. Let us make one together next time.\But it's really delicious.\We have two slices left.\Kero's share' response:	Father's share.
context: I can! If I learn how to make it'\It is simple.\Really?\Yes. Let us make one together next time.\But it's really delicious.\We have two slices left.\Kero's share'\Father's share. response:	And there's one more left.
context: It is simple.\Really?\Yes. Let us make one together next time.\But it's really delicious.\We have two slices left.\Kero's share'\Father's share.\And there's one more left. response:	Um' Um' I'm eating it.
context: Really?\Yes. Let us make one together next time.\But it's really delicious.\We have two slices left.\Kero's share'\Father's share.\And there's one more left.\Um' Um' I'm eating it. response:	On' Only this much?
context: Yes. Let us make one together next time.\But it's really delicious.\We have two slices left.\Kero's share'\Father's share.\And there's one more left.\Um' Um' I'm eating it.\On' Only this much? response:	I'm sorry' Many things happened'
context: But it's really delicious.\We have two slices left.\Kero's share'\Father's share.\And there's one more left.\Um' Um' I'm eating it.\On' Only this much?\I'm sorry' Many things happened' response:	My cake' That's right! Little!
context: We have two slices left.\Kero's share'\Father's share.\And there's one more left.\Um' Um' I'm eating it.\On' Only this much?\I'm sorry' Many things happened'\My cake' That's right! Little! response:	Huh? Little?
context: Kero's share'\Father's share.\And there's one more left.\Um' Um' I'm eating it.\On' Only this much?\I'm sorry' Many things happened'\My cake' That's right! Little!\Huh? Little? response:	Lucky me!
context: Father's share.\And there's one more left.\Um' Um' I'm eating it.\On' Only this much?\I'm sorry' Many things happened'\My cake' That's right! Little!\Huh? Little?\Lucky me! response:	I guess one can use it like this too'
context: And there's one more left.\Um' Um' I'm eating it.\On' Only this much?\I'm sorry' Many things happened'\My cake' That's right! Little!\Huh? Little?\Lucky me!\I guess one can use it like this too' response:	This castle is built about 300 years ago.
context: Um' Um' I'm eating it.\On' Only this much?\I'm sorry' Many things happened'\My cake' That's right! Little!\Huh? Little?\Lucky me!\I guess one can use it like this too'\This castle is built about 300 years ago. response:	You couldn't say it, right?
context: On' Only this much?\I'm sorry' Many things happened'\My cake' That's right! Little!\Huh? Little?\Lucky me!\I guess one can use it like this too'\This castle is built about 300 years ago.\You couldn't say it, right? response:	Really.
context: I'm sorry' Many things happened'\My cake' That's right! Little!\Huh? Little?\Lucky me!\I guess one can use it like this too'\This castle is built about 300 years ago.\You couldn't say it, right?\Really. response:	What's wrong, Sakura?
context: My cake' That's right! Little!\Huh? Little?\Lucky me!\I guess one can use it like this too'\This castle is built about 300 years ago.\You couldn't say it, right?\Really.\What's wrong, Sakura? response:	You've always like the program about European castles.
context: Huh? Little?\Lucky me!\I guess one can use it like this too'\This castle is built about 300 years ago.\You couldn't say it, right?\Really.\What's wrong, Sakura?\You've always like the program about European castles. response:	You like big houses, don't you?
context: Lucky me!\I guess one can use it like this too'\This castle is built about 300 years ago.\You couldn't say it, right?\Really.\What's wrong, Sakura?\You've always like the program about European castles.\You like big houses, don't you? response:	I've had enough already.
