context: When Elder Tale was a game, one goal was to make response:	the game world a one-half-scale model of Earth.
context: If they're letting us leave, then we just go.\That makes things easier...\B-But if we leave...\They might attack us, right?\Not might. They will.\Once we're outside the no-PvP zone, their plan is to surround and PK us.\Their first priority will probably be your confederate, Chief Nyanta.\That will destroy your will and put you under their control. response:	I'm almost certain of that.
context: That makes things easier...\B-But if we leave...\They might attack us, right?\Not might. They will.\Once we're outside the no-PvP zone, their plan is to surround and PK us.\Their first priority will probably be your confederate, Chief Nyanta.\That will destroy your will and put you under their control.\I'm almost certain of that. response:	N-No...
context: B-But if we leave...\They might attack us, right?\Not might. They will.\Once we're outside the no-PvP zone, their plan is to surround and PK us.\Their first priority will probably be your confederate, Chief Nyanta.\That will destroy your will and put you under their control.\I'm almost certain of that.\N-No... response:	There are so many of them...
context: They might attack us, right?\Not might. They will.\Once we're outside the no-PvP zone, their plan is to surround and PK us.\Their first priority will probably be your confederate, Chief Nyanta.\That will destroy your will and put you under their control.\I'm almost certain of that.\N-No...\There are so many of them... response:	They might kill us!
context: Not might. They will.\Once we're outside the no-PvP zone, their plan is to surround and PK us.\Their first priority will probably be your confederate, Chief Nyanta.\That will destroy your will and put you under their control.\I'm almost certain of that.\N-No...\There are so many of them...\They might kill us! response:	You can't...
context: Once we're outside the no-PvP zone, their plan is to surround and PK us.\Their first priority will probably be your confederate, Chief Nyanta.\That will destroy your will and put you under their control.\I'm almost certain of that.\N-No...\There are so many of them...\They might kill us!\You can't... response:	Now, now, Serara...
context: Their first priority will probably be your confederate, Chief Nyanta.\That will destroy your will and put you under their control.\I'm almost certain of that.\N-No...\There are so many of them...\They might kill us!\You can't...\Now, now, Serara... response:	Just leave this to Shiroe, and you'll be fine.
context: That will destroy your will and put you under their control.\I'm almost certain of that.\N-No...\There are so many of them...\They might kill us!\You can't...\Now, now, Serara...\Just leave this to Shiroe, and you'll be fine. response:	B-But...
context: I'm almost certain of that.\N-No...\There are so many of them...\They might kill us!\You can't...\Now, now, Serara...\Just leave this to Shiroe, and you'll be fine.\B-But... response:	We've been looking for you.
context: N-No...\There are so many of them...\They might kill us!\You can't...\Now, now, Serara...\Just leave this to Shiroe, and you'll be fine.\B-But...\We've been looking for you. response:	Serara...
context: There are so many of them...\They might kill us!\You can't...\Now, now, Serara...\Just leave this to Shiroe, and you'll be fine.\B-But...\We've been looking for you.\Serara... response:	Chief Nyanta?
context: They might kill us!\You can't...\Now, now, Serara...\Just leave this to Shiroe, and you'll be fine.\B-But...\We've been looking for you.\Serara...\Chief Nyanta? response:	What?
context: You can't...\Now, now, Serara...\Just leave this to Shiroe, and you'll be fine.\B-But...\We've been looking for you.\Serara...\Chief Nyanta?\What? response:	If you went one-on-one with the enemy leader...
context: Now, now, Serara...\Just leave this to Shiroe, and you'll be fine.\B-But...\We've been looking for you.\Serara...\Chief Nyanta?\What?\If you went one-on-one with the enemy leader... response:	A foolish question.
context: Just leave this to Shiroe, and you'll be fine.\B-But...\We've been looking for you.\Serara...\Chief Nyanta?\What?\If you went one-on-one with the enemy leader...\A foolish question. response:	Don't worry.
context: B-But...\We've been looking for you.\Serara...\Chief Nyanta?\What?\If you went one-on-one with the enemy leader...\A foolish question.\Don't worry. response:	I won't let them touch you, Serara.
context: We've been looking for you.\Serara...\Chief Nyanta?\What?\If you went one-on-one with the enemy leader...\A foolish question.\Don't worry.\I won't let them touch you, Serara. response:	Which of you is Brigandia's Demi-glace?
context: Serara...\Chief Nyanta?\What?\If you went one-on-one with the enemy leader...\A foolish question.\Don't worry.\I won't let them touch you, Serara.\Which of you is Brigandia's Demi-glace? response:	Now, Shiroe...
context: Chief Nyanta?\What?\If you went one-on-one with the enemy leader...\A foolish question.\Don't worry.\I won't let them touch you, Serara.\Which of you is Brigandia's Demi-glace?\Now, Shiroe... response:	Asking something so loudly is rude.
context: What?\If you went one-on-one with the enemy leader...\A foolish question.\Don't worry.\I won't let them touch you, Serara.\Which of you is Brigandia's Demi-glace?\Now, Shiroe...\Asking something so loudly is rude. response:	I know which one he is.
context: If you went one-on-one with the enemy leader...\A foolish question.\Don't worry.\I won't let them touch you, Serara.\Which of you is Brigandia's Demi-glace?\Now, Shiroe...\Asking something so loudly is rude.\I know which one he is. response:	It's the excessively huge guy sitting over there.
context: A foolish question.\Don't worry.\I won't let them touch you, Serara.\Which of you is Brigandia's Demi-glace?\Now, Shiroe...\Asking something so loudly is rude.\I know which one he is.\It's the excessively huge guy sitting over there. response:	Hey, Demikas!
context: Don't worry.\I won't let them touch you, Serara.\Which of you is Brigandia's Demi-glace?\Now, Shiroe...\Asking something so loudly is rude.\I know which one he is.\It's the excessively huge guy sitting over there.\Hey, Demikas! response:	It's been a long time, Serara.
context: I won't let them touch you, Serara.\Which of you is Brigandia's Demi-glace?\Now, Shiroe...\Asking something so loudly is rude.\I know which one he is.\It's the excessively huge guy sitting over there.\Hey, Demikas!\It's been a long time, Serara. response:	You didn't think you could disobey me and get away with it, did you?
context: Which of you is Brigandia's Demi-glace?\Now, Shiroe...\Asking something so loudly is rude.\I know which one he is.\It's the excessively huge guy sitting over there.\Hey, Demikas!\It's been a long time, Serara.\You didn't think you could disobey me and get away with it, did you? response:	Londark Race/ Elf Sorcerer, Lv. 90
context: Now, Shiroe...\Asking something so loudly is rude.\I know which one he is.\It's the excessively huge guy sitting over there.\Hey, Demikas!\It's been a long time, Serara.\You didn't think you could disobey me and get away with it, did you?\Londark Race/ Elf Sorcerer, Lv. 90 response:	If you come back now, I'll forgive you.
context: Asking something so loudly is rude.\I know which one he is.\It's the excessively huge guy sitting over there.\Hey, Demikas!\It's been a long time, Serara.\You didn't think you could disobey me and get away with it, did you?\Londark Race/ Elf Sorcerer, Lv. 90\If you come back now, I'll forgive you. response:	Of course, I'll send you to the Cathedral ten times first!
context: I know which one he is.\It's the excessively huge guy sitting over there.\Hey, Demikas!\It's been a long time, Serara.\You didn't think you could disobey me and get away with it, did you?\Londark Race/ Elf Sorcerer, Lv. 90\If you come back now, I'll forgive you.\Of course, I'll send you to the Cathedral ten times first! response:	Demikas Race/ Human Monk, Lv. 90
context: It's the excessively huge guy sitting over there.\Hey, Demikas!\It's been a long time, Serara.\You didn't think you could disobey me and get away with it, did you?\Londark Race/ Elf Sorcerer, Lv. 90\If you come back now, I'll forgive you.\Of course, I'll send you to the Cathedral ten times first!\Demikas Race/ Human Monk, Lv. 90 response:	Recklessness is the way of the young.
context: Hey, Demikas!\It's been a long time, Serara.\You didn't think you could disobey me and get away with it, did you?\Londark Race/ Elf Sorcerer, Lv. 90\If you come back now, I'll forgive you.\Of course, I'll send you to the Cathedral ten times first!\Demikas Race/ Human Monk, Lv. 90\Recklessness is the way of the young. response:	And tolerance is the beauty of adulthood.
context: It's been a long time, Serara.\You didn't think you could disobey me and get away with it, did you?\Londark Race/ Elf Sorcerer, Lv. 90\If you come back now, I'll forgive you.\Of course, I'll send you to the Cathedral ten times first!\Demikas Race/ Human Monk, Lv. 90\Recklessness is the way of the young.\And tolerance is the beauty of adulthood. response:	But...
context: You didn't think you could disobey me and get away with it, did you?\Londark Race/ Elf Sorcerer, Lv. 90\If you come back now, I'll forgive you.\Of course, I'll send you to the Cathedral ten times first!\Demikas Race/ Human Monk, Lv. 90\Recklessness is the way of the young.\And tolerance is the beauty of adulthood.\But... response:	There is such a thing as going too far.
context: Londark Race/ Elf Sorcerer, Lv. 90\If you come back now, I'll forgive you.\Of course, I'll send you to the Cathedral ten times first!\Demikas Race/ Human Monk, Lv. 90\Recklessness is the way of the young.\And tolerance is the beauty of adulthood.\But...\There is such a thing as going too far. response:	Huh?
context: If you come back now, I'll forgive you.\Of course, I'll send you to the Cathedral ten times first!\Demikas Race/ Human Monk, Lv. 90\Recklessness is the way of the young.\And tolerance is the beauty of adulthood.\But...\There is such a thing as going too far.\Huh? response:	You've gone too far.
context: Of course, I'll send you to the Cathedral ten times first!\Demikas Race/ Human Monk, Lv. 90\Recklessness is the way of the young.\And tolerance is the beauty of adulthood.\But...\There is such a thing as going too far.\Huh?\You've gone too far. response:	Reigning in children who stray too far
context: Demikas Race/ Human Monk, Lv. 90\Recklessness is the way of the young.\And tolerance is the beauty of adulthood.\But...\There is such a thing as going too far.\Huh?\You've gone too far.\Reigning in children who stray too far response:	beyond the lines is also an adult's job.
context: Recklessness is the way of the young.\And tolerance is the beauty of adulthood.\But...\There is such a thing as going too far.\Huh?\You've gone too far.\Reigning in children who stray too far\beyond the lines is also an adult's job. response:	Come on, I'll fight you one-on-one.
context: And tolerance is the beauty of adulthood.\But...\There is such a thing as going too far.\Huh?\You've gone too far.\Reigning in children who stray too far\beyond the lines is also an adult's job.\Come on, I'll fight you one-on-one. response:	Ridiculous.
context: But...\There is such a thing as going too far.\Huh?\You've gone too far.\Reigning in children who stray too far\beyond the lines is also an adult's job.\Come on, I'll fight you one-on-one.\Ridiculous. response:	Why should I fight you?
context: There is such a thing as going too far.\Huh?\You've gone too far.\Reigning in children who stray too far\beyond the lines is also an adult's job.\Come on, I'll fight you one-on-one.\Ridiculous.\Why should I fight you? response:	Are you afraid to face me alone?
context: Huh?\You've gone too far.\Reigning in children who stray too far\beyond the lines is also an adult's job.\Come on, I'll fight you one-on-one.\Ridiculous.\Why should I fight you?\Are you afraid to face me alone? response:	What?!
context: You've gone too far.\Reigning in children who stray too far\beyond the lines is also an adult's job.\Come on, I'll fight you one-on-one.\Ridiculous.\Why should I fight you?\Are you afraid to face me alone?\What?! response:	Sorry to interrupt, Mister, uh...
context: Reigning in children who stray too far\beyond the lines is also an adult's job.\Come on, I'll fight you one-on-one.\Ridiculous.\Why should I fight you?\Are you afraid to face me alone?\What?!\Sorry to interrupt, Mister, uh... response:	Delicious.
context: beyond the lines is also an adult's job.\Come on, I'll fight you one-on-one.\Ridiculous.\Why should I fight you?\Are you afraid to face me alone?\What?!\Sorry to interrupt, Mister, uh...\Delicious. response:	But it doesn't have to be you.
context: Come on, I'll fight you one-on-one.\Ridiculous.\Why should I fight you?\Are you afraid to face me alone?\What?!\Sorry to interrupt, Mister, uh...\Delicious.\But it doesn't have to be you. response:	I'd prefer the one in the gray robe.
context: Ridiculous.\Why should I fight you?\Are you afraid to face me alone?\What?!\Sorry to interrupt, Mister, uh...\Delicious.\But it doesn't have to be you.\I'd prefer the one in the gray robe. response:	Isn't that an artifact drop from the Fire Lizard's Cave?
context: Why should I fight you?\Are you afraid to face me alone?\What?!\Sorry to interrupt, Mister, uh...\Delicious.\But it doesn't have to be you.\I'd prefer the one in the gray robe.\Isn't that an artifact drop from the Fire Lizard's Cave? response:	You seem stronger.
context: Are you afraid to face me alone?\What?!\Sorry to interrupt, Mister, uh...\Delicious.\But it doesn't have to be you.\I'd prefer the one in the gray robe.\Isn't that an artifact drop from the Fire Lizard's Cave?\You seem stronger. response:	Have you heard my name, Londark of Gray Steel?
context: What?!\Sorry to interrupt, Mister, uh...\Delicious.\But it doesn't have to be you.\I'd prefer the one in the gray robe.\Isn't that an artifact drop from the Fire Lizard's Cave?\You seem stronger.\Have you heard my name, Londark of Gray Steel? response:	So you have a nickname...
context: Sorry to interrupt, Mister, uh...\Delicious.\But it doesn't have to be you.\I'd prefer the one in the gray robe.\Isn't that an artifact drop from the Fire Lizard's Cave?\You seem stronger.\Have you heard my name, Londark of Gray Steel?\So you have a nickname... response:	No wonder.
context: Delicious.\But it doesn't have to be you.\I'd prefer the one in the gray robe.\Isn't that an artifact drop from the Fire Lizard's Cave?\You seem stronger.\Have you heard my name, Londark of Gray Steel?\So you have a nickname...\No wonder. response:	It would be more satisfying for both of us
context: But it doesn't have to be you.\I'd prefer the one in the gray robe.\Isn't that an artifact drop from the Fire Lizard's Cave?\You seem stronger.\Have you heard my name, Londark of Gray Steel?\So you have a nickname...\No wonder.\It would be more satisfying for both of us response:	if the strongest fighters settled things.
context: I'd prefer the one in the gray robe.\Isn't that an artifact drop from the Fire Lizard's Cave?\You seem stronger.\Have you heard my name, Londark of Gray Steel?\So you have a nickname...\No wonder.\It would be more satisfying for both of us\if the strongest fighters settled things. response:	We'll have our Chief Nyanta fight you.
context: Isn't that an artifact drop from the Fire Lizard's Cave?\You seem stronger.\Have you heard my name, Londark of Gray Steel?\So you have a nickname...\No wonder.\It would be more satisfying for both of us\if the strongest fighters settled things.\We'll have our Chief Nyanta fight you. response:	Let us finish this.
context: You seem stronger.\Have you heard my name, Londark of Gray Steel?\So you have a nickname...\No wonder.\It would be more satisfying for both of us\if the strongest fighters settled things.\We'll have our Chief Nyanta fight you.\Let us finish this. response:	We can ignore the cowardly meatball here, as he's too scared to fight himself.
context: Have you heard my name, Londark of Gray Steel?\So you have a nickname...\No wonder.\It would be more satisfying for both of us\if the strongest fighters settled things.\We'll have our Chief Nyanta fight you.\Let us finish this.\We can ignore the cowardly meatball here, as he's too scared to fight himself. response:	Very well...
context: So you have a nickname...\No wonder.\It would be more satisfying for both of us\if the strongest fighters settled things.\We'll have our Chief Nyanta fight you.\Let us finish this.\We can ignore the cowardly meatball here, as he's too scared to fight himself.\Very well... response:	If you want to fight that much...
context: No wonder.\It would be more satisfying for both of us\if the strongest fighters settled things.\We'll have our Chief Nyanta fight you.\Let us finish this.\We can ignore the cowardly meatball here, as he's too scared to fight himself.\Very well...\If you want to fight that much... response:	I'll fight you!
context: It would be more satisfying for both of us\if the strongest fighters settled things.\We'll have our Chief Nyanta fight you.\Let us finish this.\We can ignore the cowardly meatball here, as he's too scared to fight himself.\Very well...\If you want to fight that much...\I'll fight you! response:	It's been a long time...
context: if the strongest fighters settled things.\We'll have our Chief Nyanta fight you.\Let us finish this.\We can ignore the cowardly meatball here, as he's too scared to fight himself.\Very well...\If you want to fight that much...\I'll fight you!\It's been a long time... response:	since I've gotten to devour someone.
context: We'll have our Chief Nyanta fight you.\Let us finish this.\We can ignore the cowardly meatball here, as he's too scared to fight himself.\Very well...\If you want to fight that much...\I'll fight you!\It's been a long time...\since I've gotten to devour someone. response:	Nyanta!
context: Let us finish this.\We can ignore the cowardly meatball here, as he's too scared to fight himself.\Very well...\If you want to fight that much...\I'll fight you!\It's been a long time...\since I've gotten to devour someone.\Nyanta! response:	I'd rather the lady didn't see anything too gory.
context: We can ignore the cowardly meatball here, as he's too scared to fight himself.\Very well...\If you want to fight that much...\I'll fight you!\It's been a long time...\since I've gotten to devour someone.\Nyanta!\I'd rather the lady didn't see anything too gory. response:	If you want me to go easy, tell me quickly.
context: Very well...\If you want to fight that much...\I'll fight you!\It's been a long time...\since I've gotten to devour someone.\Nyanta!\I'd rather the lady didn't see anything too gory.\If you want me to go easy, tell me quickly. response:	Just keep talking.
context: If you want to fight that much...\I'll fight you!\It's been a long time...\since I've gotten to devour someone.\Nyanta!\I'd rather the lady didn't see anything too gory.\If you want me to go easy, tell me quickly.\Just keep talking. response:	Demikas is in the monk class.
context: I'll fight you!\It's been a long time...\since I've gotten to devour someone.\Nyanta!\I'd rather the lady didn't see anything too gory.\If you want me to go easy, tell me quickly.\Just keep talking.\Demikas is in the monk class. response:	One of the three warrior classes,
context: It's been a long time...\since I've gotten to devour someone.\Nyanta!\I'd rather the lady didn't see anything too gory.\If you want me to go easy, tell me quickly.\Just keep talking.\Demikas is in the monk class.\One of the three warrior classes, response:	alongside guardian and samurai.
context: since I've gotten to devour someone.\Nyanta!\I'd rather the lady didn't see anything too gory.\If you want me to go easy, tell me quickly.\Just keep talking.\Demikas is in the monk class.\One of the three warrior classes,\alongside guardian and samurai. response:	Many Elder Tale techniques have both
context: Nyanta!\I'd rather the lady didn't see anything too gory.\If you want me to go easy, tell me quickly.\Just keep talking.\Demikas is in the monk class.\One of the three warrior classes,\alongside guardian and samurai.\Many Elder Tale techniques have both response:	Status/ In Combat
context: I'd rather the lady didn't see anything too gory.\If you want me to go easy, tell me quickly.\Just keep talking.\Demikas is in the monk class.\One of the three warrior classes,\alongside guardian and samurai.\Many Elder Tale techniques have both\Status/ In Combat response:	Techniques Quests
context: If you want me to go easy, tell me quickly.\Just keep talking.\Demikas is in the monk class.\One of the three warrior classes,\alongside guardian and samurai.\Many Elder Tale techniques have both\Status/ In Combat\Techniques Quests response:	Equipment Items
context: Just keep talking.\Demikas is in the monk class.\One of the three warrior classes,\alongside guardian and samurai.\Many Elder Tale techniques have both\Status/ In Combat\Techniques Quests\Equipment Items response:	what are known as cast times and cool down times.
context: Demikas is in the monk class.\One of the three warrior classes,\alongside guardian and samurai.\Many Elder Tale techniques have both\Status/ In Combat\Techniques Quests\Equipment Items\what are known as cast times and cool down times. response:	Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist
context: One of the three warrior classes,\alongside guardian and samurai.\Many Elder Tale techniques have both\Status/ In Combat\Techniques Quests\Equipment Items\what are known as cast times and cool down times.\Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist response:	Cast time is how long it takes a spell to have effect, once it's cast.
context: alongside guardian and samurai.\Many Elder Tale techniques have both\Status/ In Combat\Techniques Quests\Equipment Items\what are known as cast times and cool down times.\Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist\Cast time is how long it takes a spell to have effect, once it's cast. response:	Cool down time is how long it takes before
context: Many Elder Tale techniques have both\Status/ In Combat\Techniques Quests\Equipment Items\what are known as cast times and cool down times.\Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist\Cast time is how long it takes a spell to have effect, once it's cast.\Cool down time is how long it takes before response:	you can reuse a spell.
context: Status/ In Combat\Techniques Quests\Equipment Items\what are known as cast times and cool down times.\Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist\Cast time is how long it takes a spell to have effect, once it's cast.\Cool down time is how long it takes before\you can reuse a spell. response:	Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist
context: Techniques Quests\Equipment Items\what are known as cast times and cool down times.\Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist\Cast time is how long it takes a spell to have effect, once it's cast.\Cool down time is how long it takes before\you can reuse a spell.\Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist response:	Aura Saber!
context: Equipment Items\what are known as cast times and cool down times.\Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist\Cast time is how long it takes a spell to have effect, once it's cast.\Cool down time is how long it takes before\you can reuse a spell.\Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist\Aura Saber! response:	Monk-class techniques have short cool downs.
context: what are known as cast times and cool down times.\Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist\Cast time is how long it takes a spell to have effect, once it's cast.\Cool down time is how long it takes before\you can reuse a spell.\Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist\Aura Saber!\Monk-class techniques have short cool downs. response:	They chain techniques, giving opponents no recovery time.
context: Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist\Cast time is how long it takes a spell to have effect, once it's cast.\Cool down time is how long it takes before\you can reuse a spell.\Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist\Aura Saber!\Monk-class techniques have short cool downs.\They chain techniques, giving opponents no recovery time. response:	Phantom Step!
context: Cast time is how long it takes a spell to have effect, once it's cast.\Cool down time is how long it takes before\you can reuse a spell.\Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist\Aura Saber!\Monk-class techniques have short cool downs.\They chain techniques, giving opponents no recovery time.\Phantom Step! response:	Did you think you could defeat me with those little toy swords?
context: Cool down time is how long it takes before\you can reuse a spell.\Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist\Aura Saber!\Monk-class techniques have short cool downs.\They chain techniques, giving opponents no recovery time.\Phantom Step!\Did you think you could defeat me with those little toy swords? response:	How rude.
context: you can reuse a spell.\Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist\Aura Saber!\Monk-class techniques have short cool downs.\They chain techniques, giving opponents no recovery time.\Phantom Step!\Did you think you could defeat me with those little toy swords?\How rude. response:	A rapier is a gentleman's weapon.
context: Shadow Kick Tiger Echo Fist Aura Saber Triple Blow Dual Fist\Aura Saber!\Monk-class techniques have short cool downs.\They chain techniques, giving opponents no recovery time.\Phantom Step!\Did you think you could defeat me with those little toy swords?\How rude.\A rapier is a gentleman's weapon. response:	Demikas Nyanta
context: Aura Saber!\Monk-class techniques have short cool downs.\They chain techniques, giving opponents no recovery time.\Phantom Step!\Did you think you could defeat me with those little toy swords?\How rude.\A rapier is a gentleman's weapon.\Demikas Nyanta response:	Nyanta's hit points...
context: Monk-class techniques have short cool downs.\They chain techniques, giving opponents no recovery time.\Phantom Step!\Did you think you could defeat me with those little toy swords?\How rude.\A rapier is a gentleman's weapon.\Demikas Nyanta\Nyanta's hit points... response:	Demikas has more HP.
context: They chain techniques, giving opponents no recovery time.\Phantom Step!\Did you think you could defeat me with those little toy swords?\How rude.\A rapier is a gentleman's weapon.\Demikas Nyanta\Nyanta's hit points...\Demikas has more HP. response:	Demikas Nyanta
context: Phantom Step!\Did you think you could defeat me with those little toy swords?\How rude.\A rapier is a gentleman's weapon.\Demikas Nyanta\Nyanta's hit points...\Demikas has more HP.\Demikas Nyanta response:	But...
context: Did you think you could defeat me with those little toy swords?\How rude.\A rapier is a gentleman's weapon.\Demikas Nyanta\Nyanta's hit points...\Demikas has more HP.\Demikas Nyanta\But... response:	The swashbuckler...
context: How rude.\A rapier is a gentleman's weapon.\Demikas Nyanta\Nyanta's hit points...\Demikas has more HP.\Demikas Nyanta\But...\The swashbuckler... response:	It's one of the specialized weapon classes, and one of the few that can dual wield.
context: A rapier is a gentleman's weapon.\Demikas Nyanta\Nyanta's hit points...\Demikas has more HP.\Demikas Nyanta\But...\The swashbuckler...\It's one of the specialized weapon classes, and one of the few that can dual wield. response:	What sets it apart are the bad statuses their weapons can inflict.
context: Demikas Nyanta\Nyanta's hit points...\Demikas has more HP.\Demikas Nyanta\But...\The swashbuckler...\It's one of the specialized weapon classes, and one of the few that can dual wield.\What sets it apart are the bad statuses their weapons can inflict. response:	Lowered attack, lowered dodge, lowered defense.
context: Nyanta's hit points...\Demikas has more HP.\Demikas Nyanta\But...\The swashbuckler...\It's one of the specialized weapon classes, and one of the few that can dual wield.\What sets it apart are the bad statuses their weapons can inflict.\Lowered attack, lowered dodge, lowered defense. response:	They can negate an opponent's strengths...
context: Demikas has more HP.\Demikas Nyanta\But...\The swashbuckler...\It's one of the specialized weapon classes, and one of the few that can dual wield.\What sets it apart are the bad statuses their weapons can inflict.\Lowered attack, lowered dodge, lowered defense.\They can negate an opponent's strengths... response:	Or worsen their weaknesses.
context: Demikas Nyanta\But...\The swashbuckler...\It's one of the specialized weapon classes, and one of the few that can dual wield.\What sets it apart are the bad statuses their weapons can inflict.\Lowered attack, lowered dodge, lowered defense.\They can negate an opponent's strengths...\Or worsen their weaknesses. response:	H-Hey...
context: But...\The swashbuckler...\It's one of the specialized weapon classes, and one of the few that can dual wield.\What sets it apart are the bad statuses their weapons can inflict.\Lowered attack, lowered dodge, lowered defense.\They can negate an opponent's strengths...\Or worsen their weaknesses.\H-Hey... response:	Doesn't it look like Demikas is losing?
context: The swashbuckler...\It's one of the specialized weapon classes, and one of the few that can dual wield.\What sets it apart are the bad statuses their weapons can inflict.\Lowered attack, lowered dodge, lowered defense.\They can negate an opponent's strengths...\Or worsen their weaknesses.\H-Hey...\Doesn't it look like Demikas is losing? response:	Stop jumping around, and fight fair and square!
context: It's one of the specialized weapon classes, and one of the few that can dual wield.\What sets it apart are the bad statuses their weapons can inflict.\Lowered attack, lowered dodge, lowered defense.\They can negate an opponent's strengths...\Or worsen their weaknesses.\H-Hey...\Doesn't it look like Demikas is losing?\Stop jumping around, and fight fair and square! response:	Coming from you, fair and square sounds like a bastardization of our fair language.
context: What sets it apart are the bad statuses their weapons can inflict.\Lowered attack, lowered dodge, lowered defense.\They can negate an opponent's strengths...\Or worsen their weaknesses.\H-Hey...\Doesn't it look like Demikas is losing?\Stop jumping around, and fight fair and square!\Coming from you, fair and square sounds like a bastardization of our fair language. response:	Serara...
context: Lowered attack, lowered dodge, lowered defense.\They can negate an opponent's strengths...\Or worsen their weaknesses.\H-Hey...\Doesn't it look like Demikas is losing?\Stop jumping around, and fight fair and square!\Coming from you, fair and square sounds like a bastardization of our fair language.\Serara... response:	When I give the signal, I want you to cast a healing pulse on everyone.
context: They can negate an opponent's strengths...\Or worsen their weaknesses.\H-Hey...\Doesn't it look like Demikas is losing?\Stop jumping around, and fight fair and square!\Coming from you, fair and square sounds like a bastardization of our fair language.\Serara...\When I give the signal, I want you to cast a healing pulse on everyone. response:	Everyone?
context: Or worsen their weaknesses.\H-Hey...\Doesn't it look like Demikas is losing?\Stop jumping around, and fight fair and square!\Coming from you, fair and square sounds like a bastardization of our fair language.\Serara...\When I give the signal, I want you to cast a healing pulse on everyone.\Everyone? response:	I'm done playing around!
context: H-Hey...\Doesn't it look like Demikas is losing?\Stop jumping around, and fight fair and square!\Coming from you, fair and square sounds like a bastardization of our fair language.\Serara...\When I give the signal, I want you to cast a healing pulse on everyone.\Everyone?\I'm done playing around! response:	You guys, heal me!
context: Doesn't it look like Demikas is losing?\Stop jumping around, and fight fair and square!\Coming from you, fair and square sounds like a bastardization of our fair language.\Serara...\When I give the signal, I want you to cast a healing pulse on everyone.\Everyone?\I'm done playing around!\You guys, heal me! response:	Surround the cat and kill him!
context: Stop jumping around, and fight fair and square!\Coming from you, fair and square sounds like a bastardization of our fair language.\Serara...\When I give the signal, I want you to cast a healing pulse on everyone.\Everyone?\I'm done playing around!\You guys, heal me!\Surround the cat and kill him! response:	Step on it.
context: Coming from you, fair and square sounds like a bastardization of our fair language.\Serara...\When I give the signal, I want you to cast a healing pulse on everyone.\Everyone?\I'm done playing around!\You guys, heal me!\Surround the cat and kill him!\Step on it. response:	R-Right.
context: Serara...\When I give the signal, I want you to cast a healing pulse on everyone.\Everyone?\I'm done playing around!\You guys, heal me!\Surround the cat and kill him!\Step on it.\R-Right. response:	Anchor Howl!
context: When I give the signal, I want you to cast a healing pulse on everyone.\Everyone?\I'm done playing around!\You guys, heal me!\Surround the cat and kill him!\Step on it.\R-Right.\Anchor Howl! response:	That isn't fair...
context: Everyone?\I'm done playing around!\You guys, heal me!\Surround the cat and kill him!\Step on it.\R-Right.\Anchor Howl!\That isn't fair... response:	Healer teams, heal Demikas.
context: I'm done playing around!\You guys, heal me!\Surround the cat and kill him!\Step on it.\R-Right.\Anchor Howl!\That isn't fair...\Healer teams, heal Demikas. response:	Right.
context: You guys, heal me!\Surround the cat and kill him!\Step on it.\R-Right.\Anchor Howl!\That isn't fair...\Healer teams, heal Demikas.\Right. response:	Demikas Race/ Human Monk, Lv. 90
context: Surround the cat and kill him!\Step on it.\R-Right.\Anchor Howl!\That isn't fair...\Healer teams, heal Demikas.\Right.\Demikas Race/ Human Monk, Lv. 90 response:	It's fine...
context: Step on it.\R-Right.\Anchor Howl!\That isn't fair...\Healer teams, heal Demikas.\Right.\Demikas Race/ Human Monk, Lv. 90\It's fine... response:	Take out the guardian first.
context: R-Right.\Anchor Howl!\That isn't fair...\Healer teams, heal Demikas.\Right.\Demikas Race/ Human Monk, Lv. 90\It's fine...\Take out the guardian first. response:	Right!
context: Anchor Howl!\That isn't fair...\Healer teams, heal Demikas.\Right.\Demikas Race/ Human Monk, Lv. 90\It's fine...\Take out the guardian first.\Right! response:	Die!
context: That isn't fair...\Healer teams, heal Demikas.\Right.\Demikas Race/ Human Monk, Lv. 90\It's fine...\Take out the guardian first.\Right!\Die! response:	No... They'll kill him!
context: Healer teams, heal Demikas.\Right.\Demikas Race/ Human Monk, Lv. 90\It's fine...\Take out the guardian first.\Right!\Die!\No... They'll kill him! response:	Heal everyone! Now!
