context: Polishing my body and soul... response:	I want you...
context: I can't believe I'm in the same class\at the two most popular girls in our grade!\I'm probably using up my lifetime's worth of good luck.\Umm...\Sorry to drag you all this way.\They're a noisy bunch, aren't they?\But they're all nice. Please let it slide.\So she was saving me from them... response:	Th-Thank you.
context: at the two most popular girls in our grade!\I'm probably using up my lifetime's worth of good luck.\Umm...\Sorry to drag you all this way.\They're a noisy bunch, aren't they?\But they're all nice. Please let it slide.\So she was saving me from them...\Th-Thank you. response:	You're also not from around here?
context: I'm probably using up my lifetime's worth of good luck.\Umm...\Sorry to drag you all this way.\They're a noisy bunch, aren't they?\But they're all nice. Please let it slide.\So she was saving me from them...\Th-Thank you.\You're also not from around here? response:	Huh?
context: Umm...\Sorry to drag you all this way.\They're a noisy bunch, aren't they?\But they're all nice. Please let it slide.\So she was saving me from them...\Th-Thank you.\You're also not from around here?\Huh? response:	Oh, my dialect?
context: Sorry to drag you all this way.\They're a noisy bunch, aren't they?\But they're all nice. Please let it slide.\So she was saving me from them...\Th-Thank you.\You're also not from around here?\Huh?\Oh, my dialect? response:	It's just that I felt like speaking in a fake Kansai dialect today!
context: They're a noisy bunch, aren't they?\But they're all nice. Please let it slide.\So she was saving me from them...\Th-Thank you.\You're also not from around here?\Huh?\Oh, my dialect?\It's just that I felt like speaking in a fake Kansai dialect today! response:	Isn't that a little... no.
context: But they're all nice. Please let it slide.\So she was saving me from them...\Th-Thank you.\You're also not from around here?\Huh?\Oh, my dialect?\It's just that I felt like speaking in a fake Kansai dialect today!\Isn't that a little... no. response:	Isn't that really odd?
context: So she was saving me from them...\Th-Thank you.\You're also not from around here?\Huh?\Oh, my dialect?\It's just that I felt like speaking in a fake Kansai dialect today!\Isn't that a little... no.\Isn't that really odd? response:	You're the granddaughter of the manager of Kissuiso, right?
context: Th-Thank you.\You're also not from around here?\Huh?\Oh, my dialect?\It's just that I felt like speaking in a fake Kansai dialect today!\Isn't that a little... no.\Isn't that really odd?\You're the granddaughter of the manager of Kissuiso, right? response:	I know what it's like to be in your shoes.
context: You're also not from around here?\Huh?\Oh, my dialect?\It's just that I felt like speaking in a fake Kansai dialect today!\Isn't that a little... no.\Isn't that really odd?\You're the granddaughter of the manager of Kissuiso, right?\I know what it's like to be in your shoes. response:	Huh?
context: Huh?\Oh, my dialect?\It's just that I felt like speaking in a fake Kansai dialect today!\Isn't that a little... no.\Isn't that really odd?\You're the granddaughter of the manager of Kissuiso, right?\I know what it's like to be in your shoes.\Huh? response:	Wakura Yuina.
context: Oh, my dialect?\It's just that I felt like speaking in a fake Kansai dialect today!\Isn't that a little... no.\Isn't that really odd?\You're the granddaughter of the manager of Kissuiso, right?\I know what it's like to be in your shoes.\Huh?\Wakura Yuina. response:	I'm the successor to the Fukuya hot spring inn!
context: It's just that I felt like speaking in a fake Kansai dialect today!\Isn't that a little... no.\Isn't that really odd?\You're the granddaughter of the manager of Kissuiso, right?\I know what it's like to be in your shoes.\Huh?\Wakura Yuina.\I'm the successor to the Fukuya hot spring inn! response:	That big inn?
context: Isn't that a little... no.\Isn't that really odd?\You're the granddaughter of the manager of Kissuiso, right?\I know what it's like to be in your shoes.\Huh?\Wakura Yuina.\I'm the successor to the Fukuya hot spring inn!\That big inn? response:	It's just old.
context: Isn't that really odd?\You're the granddaughter of the manager of Kissuiso, right?\I know what it's like to be in your shoes.\Huh?\Wakura Yuina.\I'm the successor to the Fukuya hot spring inn!\That big inn?\It's just old. response:	Do you study every day to prepare yourself
context: You're the granddaughter of the manager of Kissuiso, right?\I know what it's like to be in your shoes.\Huh?\Wakura Yuina.\I'm the successor to the Fukuya hot spring inn!\That big inn?\It's just old.\Do you study every day to prepare yourself response:	for succeeding the inn?
context: I know what it's like to be in your shoes.\Huh?\Wakura Yuina.\I'm the successor to the Fukuya hot spring inn!\That big inn?\It's just old.\Do you study every day to prepare yourself\for succeeding the inn? response:	Not really.
context: Huh?\Wakura Yuina.\I'm the successor to the Fukuya hot spring inn!\That big inn?\It's just old.\Do you study every day to prepare yourself\for succeeding the inn?\Not really. response:	Though my grandmother is pretty bossy.
context: Wakura Yuina.\I'm the successor to the Fukuya hot spring inn!\That big inn?\It's just old.\Do you study every day to prepare yourself\for succeeding the inn?\Not really.\Though my grandmother is pretty bossy. response:	So you don't plan on becoming the next manager?
context: I'm the successor to the Fukuya hot spring inn!\That big inn?\It's just old.\Do you study every day to prepare yourself\for succeeding the inn?\Not really.\Though my grandmother is pretty bossy.\So you don't plan on becoming the next manager? response:	It really doesn't matter either way.
context: That big inn?\It's just old.\Do you study every day to prepare yourself\for succeeding the inn?\Not really.\Though my grandmother is pretty bossy.\So you don't plan on becoming the next manager?\It really doesn't matter either way. response:	Huh?
context: It's just old.\Do you study every day to prepare yourself\for succeeding the inn?\Not really.\Though my grandmother is pretty bossy.\So you don't plan on becoming the next manager?\It really doesn't matter either way.\Huh? response:	As long as I'm having fun, I don't mind either way!
context: Do you study every day to prepare yourself\for succeeding the inn?\Not really.\Though my grandmother is pretty bossy.\So you don't plan on becoming the next manager?\It really doesn't matter either way.\Huh?\As long as I'm having fun, I don't mind either way! response:	You're so cool, Yuina.
context: for succeeding the inn?\Not really.\Though my grandmother is pretty bossy.\So you don't plan on becoming the next manager?\It really doesn't matter either way.\Huh?\As long as I'm having fun, I don't mind either way!\You're so cool, Yuina. response:	What?
context: Not really.\Though my grandmother is pretty bossy.\So you don't plan on becoming the next manager?\It really doesn't matter either way.\Huh?\As long as I'm having fun, I don't mind either way!\You're so cool, Yuina.\What? response:	Oh, there's also someone cool at Kissuiso.
context: Though my grandmother is pretty bossy.\So you don't plan on becoming the next manager?\It really doesn't matter either way.\Huh?\As long as I'm having fun, I don't mind either way!\You're so cool, Yuina.\What?\Oh, there's also someone cool at Kissuiso. response:	There is?
context: So you don't plan on becoming the next manager?\It really doesn't matter either way.\Huh?\As long as I'm having fun, I don't mind either way!\You're so cool, Yuina.\What?\Oh, there's also someone cool at Kissuiso.\There is? response:	But who? Jiroumaru?
context: It really doesn't matter either way.\Huh?\As long as I'm having fun, I don't mind either way!\You're so cool, Yuina.\What?\Oh, there's also someone cool at Kissuiso.\There is?\But who? Jiroumaru? response:	But he's pretty perverted.
context: Huh?\As long as I'm having fun, I don't mind either way!\You're so cool, Yuina.\What?\Oh, there's also someone cool at Kissuiso.\There is?\But who? Jiroumaru?\But he's pretty perverted. response:	Seriously?!
context: As long as I'm having fun, I don't mind either way!\You're so cool, Yuina.\What?\Oh, there's also someone cool at Kissuiso.\There is?\But who? Jiroumaru?\But he's pretty perverted.\Seriously?! response:	Minchi is really popular amongst the boys.
context: You're so cool, Yuina.\What?\Oh, there's also someone cool at Kissuiso.\There is?\But who? Jiroumaru?\But he's pretty perverted.\Seriously?!\Minchi is really popular amongst the boys. response:	She always finds many love letters in her shoe box.
context: What?\Oh, there's also someone cool at Kissuiso.\There is?\But who? Jiroumaru?\But he's pretty perverted.\Seriously?!\Minchi is really popular amongst the boys.\She always finds many love letters in her shoe box. response:	Yeah?
context: Oh, there's also someone cool at Kissuiso.\There is?\But who? Jiroumaru?\But he's pretty perverted.\Seriously?!\Minchi is really popular amongst the boys.\She always finds many love letters in her shoe box.\Yeah? response:	Well, she *is* pretty.
context: There is?\But who? Jiroumaru?\But he's pretty perverted.\Seriously?!\Minchi is really popular amongst the boys.\She always finds many love letters in her shoe box.\Yeah?\Well, she *is* pretty. response:	So, what did you need?
context: But who? Jiroumaru?\But he's pretty perverted.\Seriously?!\Minchi is really popular amongst the boys.\She always finds many love letters in her shoe box.\Yeah?\Well, she *is* pretty.\So, what did you need? response:	Speak of the devil.
context: But he's pretty perverted.\Seriously?!\Minchi is really popular amongst the boys.\She always finds many love letters in her shoe box.\Yeah?\Well, she *is* pretty.\So, what did you need?\Speak of the devil. response:	Min-
context: Seriously?!\Minchi is really popular amongst the boys.\She always finds many love letters in her shoe box.\Yeah?\Well, she *is* pretty.\So, what did you need?\Speak of the devil.\Min- response:	Listen,
context: Minchi is really popular amongst the boys.\She always finds many love letters in her shoe box.\Yeah?\Well, she *is* pretty.\So, what did you need?\Speak of the devil.\Min-\Listen, response:	I've always liked you, Tsurugi.
context: She always finds many love letters in her shoe box.\Yeah?\Well, she *is* pretty.\So, what did you need?\Speak of the devil.\Min-\Listen,\I've always liked you, Tsurugi. response:	So...
context: Yeah?\Well, she *is* pretty.\So, what did you need?\Speak of the devil.\Min-\Listen,\I've always liked you, Tsurugi.\So... response:	But I don't like you.
context: Well, she *is* pretty.\So, what did you need?\Speak of the devil.\Min-\Listen,\I've always liked you, Tsurugi.\So...\But I don't like you. response:	Harsh...
context: So, what did you need?\Speak of the devil.\Min-\Listen,\I've always liked you, Tsurugi.\So...\But I don't like you.\Harsh... response:	Hang on!
context: Speak of the devil.\Min-\Listen,\I've always liked you, Tsurugi.\So...\But I don't like you.\Harsh...\Hang on! response:	He's not backing down!
context: Min-\Listen,\I've always liked you, Tsurugi.\So...\But I don't like you.\Harsh...\Hang on!\He's not backing down! response:	Th-Then, what kind of guy do you like?
context: Listen,\I've always liked you, Tsurugi.\So...\But I don't like you.\Harsh...\Hang on!\He's not backing down!\Th-Then, what kind of guy do you like? response:	Why should I answer that?
context: I've always liked you, Tsurugi.\So...\But I don't like you.\Harsh...\Hang on!\He's not backing down!\Th-Then, what kind of guy do you like?\Why should I answer that? response:	I'm pretty serious about all this.
context: So...\But I don't like you.\Harsh...\Hang on!\He's not backing down!\Th-Then, what kind of guy do you like?\Why should I answer that?\I'm pretty serious about all this. response:	I can't just give up on you,
context: But I don't like you.\Harsh...\Hang on!\He's not backing down!\Th-Then, what kind of guy do you like?\Why should I answer that?\I'm pretty serious about all this.\I can't just give up on you, response:	and I want to become more like your ideal man.
context: Harsh...\Hang on!\He's not backing down!\Th-Then, what kind of guy do you like?\Why should I answer that?\I'm pretty serious about all this.\I can't just give up on you,\and I want to become more like your ideal man. response:	So...!
context: Hang on!\He's not backing down!\Th-Then, what kind of guy do you like?\Why should I answer that?\I'm pretty serious about all this.\I can't just give up on you,\and I want to become more like your ideal man.\So...! response:	Someone with a sharp tongue,
context: He's not backing down!\Th-Then, what kind of guy do you like?\Why should I answer that?\I'm pretty serious about all this.\I can't just give up on you,\and I want to become more like your ideal man.\So...!\Someone with a sharp tongue, response:	but is actually kind.
context: Th-Then, what kind of guy do you like?\Why should I answer that?\I'm pretty serious about all this.\I can't just give up on you,\and I want to become more like your ideal man.\So...!\Someone with a sharp tongue,\but is actually kind. response:	Someone who always takes the initiative
context: Why should I answer that?\I'm pretty serious about all this.\I can't just give up on you,\and I want to become more like your ideal man.\So...!\Someone with a sharp tongue,\but is actually kind.\Someone who always takes the initiative response:	and is serious about work.
context: I'm pretty serious about all this.\I can't just give up on you,\and I want to become more like your ideal man.\So...!\Someone with a sharp tongue,\but is actually kind.\Someone who always takes the initiative\and is serious about work. response:	Someone with this much hair,
context: I can't just give up on you,\and I want to become more like your ideal man.\So...!\Someone with a sharp tongue,\but is actually kind.\Someone who always takes the initiative\and is serious about work.\Someone with this much hair, response:	and eyes that are slanted upward.
context: and I want to become more like your ideal man.\So...!\Someone with a sharp tongue,\but is actually kind.\Someone who always takes the initiative\and is serious about work.\Someone with this much hair,\and eyes that are slanted upward. response:	Someone with long eyelashes.
context: So...!\Someone with a sharp tongue,\but is actually kind.\Someone who always takes the initiative\and is serious about work.\Someone with this much hair,\and eyes that are slanted upward.\Someone with long eyelashes. response:	She sure is being concrete.
context: Someone with a sharp tongue,\but is actually kind.\Someone who always takes the initiative\and is serious about work.\Someone with this much hair,\and eyes that are slanted upward.\Someone with long eyelashes.\She sure is being concrete. response:	Is the person Minchi likes...
context: but is actually kind.\Someone who always takes the initiative\and is serious about work.\Someone with this much hair,\and eyes that are slanted upward.\Someone with long eyelashes.\She sure is being concrete.\Is the person Minchi likes... response:	He must be someone substantial,
context: Someone who always takes the initiative\and is serious about work.\Someone with this much hair,\and eyes that are slanted upward.\Someone with long eyelashes.\She sure is being concrete.\Is the person Minchi likes...\He must be someone substantial, response:	unlike people like Tohru.
context: and is serious about work.\Someone with this much hair,\and eyes that are slanted upward.\Someone with long eyelashes.\She sure is being concrete.\Is the person Minchi likes...\He must be someone substantial,\unlike people like Tohru. response:	U-Umm...
context: Someone with this much hair,\and eyes that are slanted upward.\Someone with long eyelashes.\She sure is being concrete.\Is the person Minchi likes...\He must be someone substantial,\unlike people like Tohru.\U-Umm... response:	What the heck is a plateau girl?!
context: and eyes that are slanted upward.\Someone with long eyelashes.\She sure is being concrete.\Is the person Minchi likes...\He must be someone substantial,\unlike people like Tohru.\U-Umm...\What the heck is a plateau girl?! response:	Being asked out behind the school building?! What?!
context: Someone with long eyelashes.\She sure is being concrete.\Is the person Minchi likes...\He must be someone substantial,\unlike people like Tohru.\U-Umm...\What the heck is a plateau girl?!\Being asked out behind the school building?! What?! response:	What's with this bittersweet situation?!
context: She sure is being concrete.\Is the person Minchi likes...\He must be someone substantial,\unlike people like Tohru.\U-Umm...\What the heck is a plateau girl?!\Being asked out behind the school building?! What?!\What's with this bittersweet situation?! response:	I'm sorry!
context: Is the person Minchi likes...\He must be someone substantial,\unlike people like Tohru.\U-Umm...\What the heck is a plateau girl?!\Being asked out behind the school building?! What?!\What's with this bittersweet situation?!\I'm sorry! response:	Look at me. My life consists only of work and no men.
context: He must be someone substantial,\unlike people like Tohru.\U-Umm...\What the heck is a plateau girl?!\Being asked out behind the school building?! What?!\What's with this bittersweet situation?!\I'm sorry!\Look at me. My life consists only of work and no men. response:	That's it.
context: unlike people like Tohru.\U-Umm...\What the heck is a plateau girl?!\Being asked out behind the school building?! What?!\What's with this bittersweet situation?!\I'm sorry!\Look at me. My life consists only of work and no men.\That's it. response:	I'm going to take a picture of Minko
context: U-Umm...\What the heck is a plateau girl?!\Being asked out behind the school building?! What?!\What's with this bittersweet situation?!\I'm sorry!\Look at me. My life consists only of work and no men.\That's it.\I'm going to take a picture of Minko response:	with her hair done up tight,
context: What the heck is a plateau girl?!\Being asked out behind the school building?! What?!\What's with this bittersweet situation?!\I'm sorry!\Look at me. My life consists only of work and no men.\That's it.\I'm going to take a picture of Minko\with her hair done up tight, response:	and ruin the imaginations of the boys at her school.
context: Being asked out behind the school building?! What?!\What's with this bittersweet situation?!\I'm sorry!\Look at me. My life consists only of work and no men.\That's it.\I'm going to take a picture of Minko\with her hair done up tight,\and ruin the imaginations of the boys at her school. response:	What?
context: What's with this bittersweet situation?!\I'm sorry!\Look at me. My life consists only of work and no men.\That's it.\I'm going to take a picture of Minko\with her hair done up tight,\and ruin the imaginations of the boys at her school.\What? response:	N-Nothing...
context: I'm sorry!\Look at me. My life consists only of work and no men.\That's it.\I'm going to take a picture of Minko\with her hair done up tight,\and ruin the imaginations of the boys at her school.\What?\N-Nothing... response:	What are you doing, you moron?
context: Look at me. My life consists only of work and no men.\That's it.\I'm going to take a picture of Minko\with her hair done up tight,\and ruin the imaginations of the boys at her school.\What?\N-Nothing...\What are you doing, you moron? response:	When you're skewering,
context: That's it.\I'm going to take a picture of Minko\with her hair done up tight,\and ruin the imaginations of the boys at her school.\What?\N-Nothing...\What are you doing, you moron?\When you're skewering, response:	you need to add a twist motion.
context: I'm going to take a picture of Minko\with her hair done up tight,\and ruin the imaginations of the boys at her school.\What?\N-Nothing...\What are you doing, you moron?\When you're skewering,\you need to add a twist motion. response:	Like this.
context: with her hair done up tight,\and ruin the imaginations of the boys at her school.\What?\N-Nothing...\What are you doing, you moron?\When you're skewering,\you need to add a twist motion.\Like this. response:	All in one push.
context: and ruin the imaginations of the boys at her school.\What?\N-Nothing...\What are you doing, you moron?\When you're skewering,\you need to add a twist motion.\Like this.\All in one push. response:	Miss Tomoe, please!
context: What?\N-Nothing...\What are you doing, you moron?\When you're skewering,\you need to add a twist motion.\Like this.\All in one push.\Miss Tomoe, please! response:	You seem pretty relaxed, Ohana.
context: N-Nothing...\What are you doing, you moron?\When you're skewering,\you need to add a twist motion.\Like this.\All in one push.\Miss Tomoe, please!\You seem pretty relaxed, Ohana. response:	Don't tell me you have a boyfriend!
context: What are you doing, you moron?\When you're skewering,\you need to add a twist motion.\Like this.\All in one push.\Miss Tomoe, please!\You seem pretty relaxed, Ohana.\Don't tell me you have a boyfriend! response:	K-Ko isn't really...
context: When you're skewering,\you need to add a twist motion.\Like this.\All in one push.\Miss Tomoe, please!\You seem pretty relaxed, Ohana.\Don't tell me you have a boyfriend!\K-Ko isn't really... response:	Ko?
context: you need to add a twist motion.\Like this.\All in one push.\Miss Tomoe, please!\You seem pretty relaxed, Ohana.\Don't tell me you have a boyfriend!\K-Ko isn't really...\Ko? response:	Is that a boy?!
context: Like this.\All in one push.\Miss Tomoe, please!\You seem pretty relaxed, Ohana.\Don't tell me you have a boyfriend!\K-Ko isn't really...\Ko?\Is that a boy?! response:	I-It is, but...
context: All in one push.\Miss Tomoe, please!\You seem pretty relaxed, Ohana.\Don't tell me you have a boyfriend!\K-Ko isn't really...\Ko?\Is that a boy?!\I-It is, but... response:	You've got it all wrong!
context: Miss Tomoe, please!\You seem pretty relaxed, Ohana.\Don't tell me you have a boyfriend!\K-Ko isn't really...\Ko?\Is that a boy?!\I-It is, but...\You've got it all wrong! response:	You traitor!!
context: You seem pretty relaxed, Ohana.\Don't tell me you have a boyfriend!\K-Ko isn't really...\Ko?\Is that a boy?!\I-It is, but...\You've got it all wrong!\You traitor!! response:	From: Ko I'm sorry I didn't see you off. Good luck with everything, Ohana!!
context: Don't tell me you have a boyfriend!\K-Ko isn't really...\Ko?\Is that a boy?!\I-It is, but...\You've got it all wrong!\You traitor!!\From: Ko I'm sorry I didn't see you off. Good luck with everything, Ohana!! response:	To: Ko I'm doing fine. How are you, Ko?
context: K-Ko isn't really...\Ko?\Is that a boy?!\I-It is, but...\You've got it all wrong!\You traitor!!\From: Ko I'm sorry I didn't see you off. Good luck with everything, Ohana!!\To: Ko I'm doing fine. How are you, Ko? response:	I feel like I'm cheating him if I reply,
context: Ko?\Is that a boy?!\I-It is, but...\You've got it all wrong!\You traitor!!\From: Ko I'm sorry I didn't see you off. Good luck with everything, Ohana!!\To: Ko I'm doing fine. How are you, Ko?\I feel like I'm cheating him if I reply, response:	pretending as though he never told me he likes me.
context: Is that a boy?!\I-It is, but...\You've got it all wrong!\You traitor!!\From: Ko I'm sorry I didn't see you off. Good luck with everything, Ohana!!\To: Ko I'm doing fine. How are you, Ko?\I feel like I'm cheating him if I reply,\pretending as though he never told me he likes me. response:	Delete.
context: I-It is, but...\You've got it all wrong!\You traitor!!\From: Ko I'm sorry I didn't see you off. Good luck with everything, Ohana!!\To: Ko I'm doing fine. How are you, Ko?\I feel like I'm cheating him if I reply,\pretending as though he never told me he likes me.\Delete. response:	I appreciate what you told me the other day.
context: You've got it all wrong!\You traitor!!\From: Ko I'm sorry I didn't see you off. Good luck with everything, Ohana!!\To: Ko I'm doing fine. How are you, Ko?\I feel like I'm cheating him if I reply,\pretending as though he never told me he likes me.\Delete.\I appreciate what you told me the other day. response:	I'm doing fine!
context: You traitor!!\From: Ko I'm sorry I didn't see you off. Good luck with everything, Ohana!!\To: Ko I'm doing fine. How are you, Ko?\I feel like I'm cheating him if I reply,\pretending as though he never told me he likes me.\Delete.\I appreciate what you told me the other day.\I'm doing fine! response:	Delete!
context: From: Ko I'm sorry I didn't see you off. Good luck with everything, Ohana!!\To: Ko I'm doing fine. How are you, Ko?\I feel like I'm cheating him if I reply,\pretending as though he never told me he likes me.\Delete.\I appreciate what you told me the other day.\I'm doing fine!\Delete! response:	What do I do?!
context: To: Ko I'm doing fine. How are you, Ko?\I feel like I'm cheating him if I reply,\pretending as though he never told me he likes me.\Delete.\I appreciate what you told me the other day.\I'm doing fine!\Delete!\What do I do?! response:	Ohana?
context: I feel like I'm cheating him if I reply,\pretending as though he never told me he likes me.\Delete.\I appreciate what you told me the other day.\I'm doing fine!\Delete!\What do I do?!\Ohana? response:	Bending, stretching,
context: pretending as though he never told me he likes me.\Delete.\I appreciate what you told me the other day.\I'm doing fine!\Delete!\What do I do?!\Ohana?\Bending, stretching, response:	hopping exercise.
context: Delete.\I appreciate what you told me the other day.\I'm doing fine!\Delete!\What do I do?!\Ohana?\Bending, stretching,\hopping exercise. response:	I'm surprised.
context: I appreciate what you told me the other day.\I'm doing fine!\Delete!\What do I do?!\Ohana?\Bending, stretching,\hopping exercise.\I'm surprised. response:	Even you have trouble getting things across to people.
context: I'm doing fine!\Delete!\What do I do?!\Ohana?\Bending, stretching,\hopping exercise.\I'm surprised.\Even you have trouble getting things across to people. response:	I'm just dumb.
context: Delete!\What do I do?!\Ohana?\Bending, stretching,\hopping exercise.\I'm surprised.\Even you have trouble getting things across to people.\I'm just dumb. response:	That's not true.
context: What do I do?!\Ohana?\Bending, stretching,\hopping exercise.\I'm surprised.\Even you have trouble getting things across to people.\I'm just dumb.\That's not true. response:	I'm a bit envious because
context: Ohana?\Bending, stretching,\hopping exercise.\I'm surprised.\Even you have trouble getting things across to people.\I'm just dumb.\That's not true.\I'm a bit envious because response:	you always speak your mind.
context: Bending, stretching,\hopping exercise.\I'm surprised.\Even you have trouble getting things across to people.\I'm just dumb.\That's not true.\I'm a bit envious because\you always speak your mind. response:	Whoa!
context: hopping exercise.\I'm surprised.\Even you have trouble getting things across to people.\I'm just dumb.\That's not true.\I'm a bit envious because\you always speak your mind.\Whoa! response:	W-What's...!
context: I'm surprised.\Even you have trouble getting things across to people.\I'm just dumb.\That's not true.\I'm a bit envious because\you always speak your mind.\Whoa!\W-What's...! response:	W-What?
context: Even you have trouble getting things across to people.\I'm just dumb.\That's not true.\I'm a bit envious because\you always speak your mind.\Whoa!\W-What's...!\W-What? response:	It lives around here.
context: I'm just dumb.\That's not true.\I'm a bit envious because\you always speak your mind.\Whoa!\W-What's...!\W-What?\It lives around here. response:	It's a grey heron.
context: That's not true.\I'm a bit envious because\you always speak your mind.\Whoa!\W-What's...!\W-What?\It lives around here.\It's a grey heron. response:	I-Is it okay for it to be around here?
context: I'm a bit envious because\you always speak your mind.\Whoa!\W-What's...!\W-What?\It lives around here.\It's a grey heron.\I-Is it okay for it to be around here? response:	Aren't they usually at the zoo?
context: you always speak your mind.\Whoa!\W-What's...!\W-What?\It lives around here.\It's a grey heron.\I-Is it okay for it to be around here?\Aren't they usually at the zoo? response:	This is the place, Ohana.
context: Whoa!\W-What's...!\W-What?\It lives around here.\It's a grey heron.\I-Is it okay for it to be around here?\Aren't they usually at the zoo?\This is the place, Ohana. response:	Oh, is this about the neighborhood association?
context: W-What's...!\W-What?\It lives around here.\It's a grey heron.\I-Is it okay for it to be around here?\Aren't they usually at the zoo?\This is the place, Ohana.\Oh, is this about the neighborhood association? response:	Yes, thank you.
context: W-What?\It lives around here.\It's a grey heron.\I-Is it okay for it to be around here?\Aren't they usually at the zoo?\This is the place, Ohana.\Oh, is this about the neighborhood association?\Yes, thank you. response:	What a huge lobby.
context: It lives around here.\It's a grey heron.\I-Is it okay for it to be around here?\Aren't they usually at the zoo?\This is the place, Ohana.\Oh, is this about the neighborhood association?\Yes, thank you.\What a huge lobby. response:	Are you girls from Kissuiso?
context: It's a grey heron.\I-Is it okay for it to be around here?\Aren't they usually at the zoo?\This is the place, Ohana.\Oh, is this about the neighborhood association?\Yes, thank you.\What a huge lobby.\Are you girls from Kissuiso? response:	Y-Yes!
context: I-Is it okay for it to be around here?\Aren't they usually at the zoo?\This is the place, Ohana.\Oh, is this about the neighborhood association?\Yes, thank you.\What a huge lobby.\Are you girls from Kissuiso?\Y-Yes! response:	She's... kinda scary.
context: Aren't they usually at the zoo?\This is the place, Ohana.\Oh, is this about the neighborhood association?\Yes, thank you.\What a huge lobby.\Are you girls from Kissuiso?\Y-Yes!\She's... kinda scary. response:	I'm glad you came with me...
context: This is the place, Ohana.\Oh, is this about the neighborhood association?\Yes, thank you.\What a huge lobby.\Are you girls from Kissuiso?\Y-Yes!\She's... kinda scary.\I'm glad you came with me... response:	N-Nako?
context: Oh, is this about the neighborhood association?\Yes, thank you.\What a huge lobby.\Are you girls from Kissuiso?\Y-Yes!\She's... kinda scary.\I'm glad you came with me...\N-Nako? response:	I'm too scared to come here alone.
context: Yes, thank you.\What a huge lobby.\Are you girls from Kissuiso?\Y-Yes!\She's... kinda scary.\I'm glad you came with me...\N-Nako?\I'm too scared to come here alone. response:	Doesn't this scare you?
context: What a huge lobby.\Are you girls from Kissuiso?\Y-Yes!\She's... kinda scary.\I'm glad you came with me...\N-Nako?\I'm too scared to come here alone.\Doesn't this scare you? response:	Want to stop by somewhere on the way back?
context: Are you girls from Kissuiso?\Y-Yes!\She's... kinda scary.\I'm glad you came with me...\N-Nako?\I'm too scared to come here alone.\Doesn't this scare you?\Want to stop by somewhere on the way back? response:	S-Sure, I don't-
context: Y-Yes!\She's... kinda scary.\I'm glad you came with me...\N-Nako?\I'm too scared to come here alone.\Doesn't this scare you?\Want to stop by somewhere on the way back?\S-Sure, I don't- response:	I've always been withdrawn since I was a kid.
context: She's... kinda scary.\I'm glad you came with me...\N-Nako?\I'm too scared to come here alone.\Doesn't this scare you?\Want to stop by somewhere on the way back?\S-Sure, I don't-\I've always been withdrawn since I was a kid. response:	I began working at the inn in order to change.
context: I'm glad you came with me...\N-Nako?\I'm too scared to come here alone.\Doesn't this scare you?\Want to stop by somewhere on the way back?\S-Sure, I don't-\I've always been withdrawn since I was a kid.\I began working at the inn in order to change. response:	Wow, you've got dynamism.
context: N-Nako?\I'm too scared to come here alone.\Doesn't this scare you?\Want to stop by somewhere on the way back?\S-Sure, I don't-\I've always been withdrawn since I was a kid.\I began working at the inn in order to change.\Wow, you've got dynamism. response:	But I always come here to pray to this goddess.
context: I'm too scared to come here alone.\Doesn't this scare you?\Want to stop by somewhere on the way back?\S-Sure, I don't-\I've always been withdrawn since I was a kid.\I began working at the inn in order to change.\Wow, you've got dynamism.\But I always come here to pray to this goddess. response:	A goddess?
context: Doesn't this scare you?\Want to stop by somewhere on the way back?\S-Sure, I don't-\I've always been withdrawn since I was a kid.\I began working at the inn in order to change.\Wow, you've got dynamism.\But I always come here to pray to this goddess.\A goddess? response:	It's a little girl who tamed a fox.
context: Want to stop by somewhere on the way back?\S-Sure, I don't-\I've always been withdrawn since I was a kid.\I began working at the inn in order to change.\Wow, you've got dynamism.\But I always come here to pray to this goddess.\A goddess?\It's a little girl who tamed a fox. response:	So she keeps getting lost.
context: S-Sure, I don't-\I've always been withdrawn since I was a kid.\I began working at the inn in order to change.\Wow, you've got dynamism.\But I always come here to pray to this goddess.\A goddess?\It's a little girl who tamed a fox.\So she keeps getting lost. response:	A goddess getting lost?
context: I've always been withdrawn since I was a kid.\I began working at the inn in order to change.\Wow, you've got dynamism.\But I always come here to pray to this goddess.\A goddess?\It's a little girl who tamed a fox.\So she keeps getting lost.\A goddess getting lost? response:	Yeah.
context: I began working at the inn in order to change.\Wow, you've got dynamism.\But I always come here to pray to this goddess.\A goddess?\It's a little girl who tamed a fox.\So she keeps getting lost.\A goddess getting lost?\Yeah. response:	That's why the Bonbori Festival takes places in October.
context: Wow, you've got dynamism.\But I always come here to pray to this goddess.\A goddess?\It's a little girl who tamed a fox.\So she keeps getting lost.\A goddess getting lost?\Yeah.\That's why the Bonbori Festival takes places in October. response:	Bonbori Festival...?
context: But I always come here to pray to this goddess.\A goddess?\It's a little girl who tamed a fox.\So she keeps getting lost.\A goddess getting lost?\Yeah.\That's why the Bonbori Festival takes places in October.\Bonbori Festival...? response:	October.
context: A goddess?\It's a little girl who tamed a fox.\So she keeps getting lost.\A goddess getting lost?\Yeah.\That's why the Bonbori Festival takes places in October.\Bonbori Festival...?\October. response:	On the day when all of the gods in Japan return to Izumo,
