context: Everybody on the continent, we have emergency news! response:	The tri-country alliance has launched an emergency attack in response
context: Those are our rulers, and we're very proud of them!\It's the ruler's job to protect the country.\And it's the Hero's job to save the country\when it's in danger and bring smiles and happiness to everyone.\I want everybody to smile, so I'll do my best!\We found the Dragon Eater.\Hero Rebecca, climb!\Right! response:	If I can finish him...
context: It's the ruler's job to protect the country.\And it's the Hero's job to save the country\when it's in danger and bring smiles and happiness to everyone.\I want everybody to smile, so I'll do my best!\We found the Dragon Eater.\Hero Rebecca, climb!\Right!\If I can finish him... response:	They just keep coming...
context: And it's the Hero's job to save the country\when it's in danger and bring smiles and happiness to everyone.\I want everybody to smile, so I'll do my best!\We found the Dragon Eater.\Hero Rebecca, climb!\Right!\If I can finish him...\They just keep coming... response:	There's no end to them.
context: when it's in danger and bring smiles and happiness to everyone.\I want everybody to smile, so I'll do my best!\We found the Dragon Eater.\Hero Rebecca, climb!\Right!\If I can finish him...\They just keep coming...\There's no end to them. response:	I hope the Heroes can do something soon.
context: I want everybody to smile, so I'll do my best!\We found the Dragon Eater.\Hero Rebecca, climb!\Right!\If I can finish him...\They just keep coming...\There's no end to them.\I hope the Heroes can do something soon. response:	I agree.
context: We found the Dragon Eater.\Hero Rebecca, climb!\Right!\If I can finish him...\They just keep coming...\There's no end to them.\I hope the Heroes can do something soon.\I agree. response:	We need to help her.
context: Hero Rebecca, climb!\Right!\If I can finish him...\They just keep coming...\There's no end to them.\I hope the Heroes can do something soon.\I agree.\We need to help her. response:	You go in from above, Shinku!
context: Right!\If I can finish him...\They just keep coming...\There's no end to them.\I hope the Heroes can do something soon.\I agree.\We need to help her.\You go in from above, Shinku! response:	I'll kill those roots from below!
context: If I can finish him...\They just keep coming...\There's no end to them.\I hope the Heroes can do something soon.\I agree.\We need to help her.\You go in from above, Shinku!\I'll kill those roots from below! response:	Got it!
context: They just keep coming...\There's no end to them.\I hope the Heroes can do something soon.\I agree.\We need to help her.\You go in from above, Shinku!\I'll kill those roots from below!\Got it! response:	There's no end to this!
context: There's no end to them.\I hope the Heroes can do something soon.\I agree.\We need to help her.\You go in from above, Shinku!\I'll kill those roots from below!\Got it!\There's no end to this! response:	I'm sorry.
context: I hope the Heroes can do something soon.\I agree.\We need to help her.\You go in from above, Shinku!\I'll kill those roots from below!\Got it!\There's no end to this!\I'm sorry. response:	Are you okay, Priestess?
context: I agree.\We need to help her.\You go in from above, Shinku!\I'll kill those roots from below!\Got it!\There's no end to this!\I'm sorry.\Are you okay, Priestess? response:	Yeah.
context: We need to help her.\You go in from above, Shinku!\I'll kill those roots from below!\Got it!\There's no end to this!\I'm sorry.\Are you okay, Priestess?\Yeah. response:	They won't hit anymore.
context: You go in from above, Shinku!\I'll kill those roots from below!\Got it!\There's no end to this!\I'm sorry.\Are you okay, Priestess?\Yeah.\They won't hit anymore. response:	So focus on aiming.
context: I'll kill those roots from below!\Got it!\There's no end to this!\I'm sorry.\Are you okay, Priestess?\Yeah.\They won't hit anymore.\So focus on aiming. response:	If everybody's in trouble...
context: Got it!\There's no end to this!\I'm sorry.\Are you okay, Priestess?\Yeah.\They won't hit anymore.\So focus on aiming.\If everybody's in trouble... response:	I have to do it!
context: There's no end to this!\I'm sorry.\Are you okay, Priestess?\Yeah.\They won't hit anymore.\So focus on aiming.\If everybody's in trouble...\I have to do it! response:	This is Shinku's...
context: I'm sorry.\Are you okay, Priestess?\Yeah.\They won't hit anymore.\So focus on aiming.\If everybody's in trouble...\I have to do it!\This is Shinku's... response:	Hero Crystal...
context: Are you okay, Priestess?\Yeah.\They won't hit anymore.\So focus on aiming.\If everybody's in trouble...\I have to do it!\This is Shinku's...\Hero Crystal... response:	Activate!
context: Yeah.\They won't hit anymore.\So focus on aiming.\If everybody's in trouble...\I have to do it!\This is Shinku's...\Hero Crystal...\Activate! response:	Hero Time!
context: They won't hit anymore.\So focus on aiming.\If everybody's in trouble...\I have to do it!\This is Shinku's...\Hero Crystal...\Activate!\Hero Time! response:	Flame King Sword!
context: So focus on aiming.\If everybody's in trouble...\I have to do it!\This is Shinku's...\Hero Crystal...\Activate!\Hero Time!\Flame King Sword! response:	Shinku!
context: If everybody's in trouble...\I have to do it!\This is Shinku's...\Hero Crystal...\Activate!\Hero Time!\Flame King Sword!\Shinku! response:	Yukki!
context: I have to do it!\This is Shinku's...\Hero Crystal...\Activate!\Hero Time!\Flame King Sword!\Shinku!\Yukki! response:	Shinku!
context: This is Shinku's...\Hero Crystal...\Activate!\Hero Time!\Flame King Sword!\Shinku!\Yukki!\Shinku! response:	I'm so glad you're safe!
context: Hero Crystal...\Activate!\Hero Time!\Flame King Sword!\Shinku!\Yukki!\Shinku!\I'm so glad you're safe! response:	Yukki... I can't breathe!
context: Activate!\Hero Time!\Flame King Sword!\Shinku!\Yukki!\Shinku!\I'm so glad you're safe!\Yukki... I can't breathe! response:	Oh, sorry.
context: Hero Time!\Flame King Sword!\Shinku!\Yukki!\Shinku!\I'm so glad you're safe!\Yukki... I can't breathe!\Oh, sorry. response:	Did you bring me that Hero Crystal?
context: Flame King Sword!\Shinku!\Yukki!\Shinku!\I'm so glad you're safe!\Yukki... I can't breathe!\Oh, sorry.\Did you bring me that Hero Crystal? response:	I carried it part of the way,
context: Shinku!\Yukki!\Shinku!\I'm so glad you're safe!\Yukki... I can't breathe!\Oh, sorry.\Did you bring me that Hero Crystal?\I carried it part of the way, response:	but it just flew off on its own.
context: Yukki!\Shinku!\I'm so glad you're safe!\Yukki... I can't breathe!\Oh, sorry.\Did you bring me that Hero Crystal?\I carried it part of the way,\but it just flew off on its own. response:	The Hero Crystal must've
context: Shinku!\I'm so glad you're safe!\Yukki... I can't breathe!\Oh, sorry.\Did you bring me that Hero Crystal?\I carried it part of the way,\but it just flew off on its own.\The Hero Crystal must've response:	wanted to see its master.
context: I'm so glad you're safe!\Yukki... I can't breathe!\Oh, sorry.\Did you bring me that Hero Crystal?\I carried it part of the way,\but it just flew off on its own.\The Hero Crystal must've\wanted to see its master. response:	Yeah.
context: Yukki... I can't breathe!\Oh, sorry.\Did you bring me that Hero Crystal?\I carried it part of the way,\but it just flew off on its own.\The Hero Crystal must've\wanted to see its master.\Yeah. response:	Everybody's in trouble.
context: Oh, sorry.\Did you bring me that Hero Crystal?\I carried it part of the way,\but it just flew off on its own.\The Hero Crystal must've\wanted to see its master.\Yeah.\Everybody's in trouble. response:	We have to go help them.
context: Did you bring me that Hero Crystal?\I carried it part of the way,\but it just flew off on its own.\The Hero Crystal must've\wanted to see its master.\Yeah.\Everybody's in trouble.\We have to go help them. response:	Yeah.
context: I carried it part of the way,\but it just flew off on its own.\The Hero Crystal must've\wanted to see its master.\Yeah.\Everybody's in trouble.\We have to go help them.\Yeah. response:	We'll bring these crystals to
context: but it just flew off on its own.\The Hero Crystal must've\wanted to see its master.\Yeah.\Everybody's in trouble.\We have to go help them.\Yeah.\We'll bring these crystals to response:	Rebecca and Nanami.
context: The Hero Crystal must've\wanted to see its master.\Yeah.\Everybody's in trouble.\We have to go help them.\Yeah.\We'll bring these crystals to\Rebecca and Nanami. response:	I'll get closer!
context: wanted to see its master.\Yeah.\Everybody's in trouble.\We have to go help them.\Yeah.\We'll bring these crystals to\Rebecca and Nanami.\I'll get closer! response:	Shinku!
context: Yeah.\Everybody's in trouble.\We have to go help them.\Yeah.\We'll bring these crystals to\Rebecca and Nanami.\I'll get closer!\Shinku! response:	Becky! Take this!
context: Everybody's in trouble.\We have to go help them.\Yeah.\We'll bring these crystals to\Rebecca and Nanami.\I'll get closer!\Shinku!\Becky! Take this! response:	A Demon God Crystal...
context: We have to go help them.\Yeah.\We'll bring these crystals to\Rebecca and Nanami.\I'll get closer!\Shinku!\Becky! Take this!\A Demon God Crystal... response:	As long as I have this...
context: Yeah.\We'll bring these crystals to\Rebecca and Nanami.\I'll get closer!\Shinku!\Becky! Take this!\A Demon God Crystal...\As long as I have this... response:	Demon God Crystal, Activate!
context: We'll bring these crystals to\Rebecca and Nanami.\I'll get closer!\Shinku!\Becky! Take this!\A Demon God Crystal...\As long as I have this...\Demon God Crystal, Activate! response:	This is my Hero Crystal?
context: Rebecca and Nanami.\I'll get closer!\Shinku!\Becky! Take this!\A Demon God Crystal...\As long as I have this...\Demon God Crystal, Activate!\This is my Hero Crystal? response:	It's a little different than the others.
context: I'll get closer!\Shinku!\Becky! Take this!\A Demon God Crystal...\As long as I have this...\Demon God Crystal, Activate!\This is my Hero Crystal?\It's a little different than the others. response:	Adel-sama prepared it for you.
context: Shinku!\Becky! Take this!\A Demon God Crystal...\As long as I have this...\Demon God Crystal, Activate!\This is my Hero Crystal?\It's a little different than the others.\Adel-sama prepared it for you. response:	She says its a Spirit Crystal!
context: Becky! Take this!\A Demon God Crystal...\As long as I have this...\Demon God Crystal, Activate!\This is my Hero Crystal?\It's a little different than the others.\Adel-sama prepared it for you.\She says its a Spirit Crystal! response:	Okay, here I go then!
context: A Demon God Crystal...\As long as I have this...\Demon God Crystal, Activate!\This is my Hero Crystal?\It's a little different than the others.\Adel-sama prepared it for you.\She says its a Spirit Crystal!\Okay, here I go then! response:	Spirit Crystal, activate!
context: As long as I have this...\Demon God Crystal, Activate!\This is my Hero Crystal?\It's a little different than the others.\Adel-sama prepared it for you.\She says its a Spirit Crystal!\Okay, here I go then!\Spirit Crystal, activate! response:	The transformation's complete?
context: Demon God Crystal, Activate!\This is my Hero Crystal?\It's a little different than the others.\Adel-sama prepared it for you.\She says its a Spirit Crystal!\Okay, here I go then!\Spirit Crystal, activate!\The transformation's complete? response:	It's the power of water and ice,
context: This is my Hero Crystal?\It's a little different than the others.\Adel-sama prepared it for you.\She says its a Spirit Crystal!\Okay, here I go then!\Spirit Crystal, activate!\The transformation's complete?\It's the power of water and ice, response:	to let you walk with the flames and thunder of Leo-sama.
context: It's a little different than the others.\Adel-sama prepared it for you.\She says its a Spirit Crystal!\Okay, here I go then!\Spirit Crystal, activate!\The transformation's complete?\It's the power of water and ice,\to let you walk with the flames and thunder of Leo-sama. response:	Right!
context: Adel-sama prepared it for you.\She says its a Spirit Crystal!\Okay, here I go then!\Spirit Crystal, activate!\The transformation's complete?\It's the power of water and ice,\to let you walk with the flames and thunder of Leo-sama.\Right! response:	Fierce battles are still being
context: She says its a Spirit Crystal!\Okay, here I go then!\Spirit Crystal, activate!\The transformation's complete?\It's the power of water and ice,\to let you walk with the flames and thunder of Leo-sama.\Right!\Fierce battles are still being response:	reported all around the area!
context: Okay, here I go then!\Spirit Crystal, activate!\The transformation's complete?\It's the power of water and ice,\to let you walk with the flames and thunder of Leo-sama.\Right!\Fierce battles are still being\reported all around the area! response:	Meanwhile, the demon itself seems to be getting bigger and bigger.
context: Spirit Crystal, activate!\The transformation's complete?\It's the power of water and ice,\to let you walk with the flames and thunder of Leo-sama.\Right!\Fierce battles are still being\reported all around the area!\Meanwhile, the demon itself seems to be getting bigger and bigger. response:	Couver-sama?
context: The transformation's complete?\It's the power of water and ice,\to let you walk with the flames and thunder of Leo-sama.\Right!\Fierce battles are still being\reported all around the area!\Meanwhile, the demon itself seems to be getting bigger and bigger.\Couver-sama? response:	It's probably absorbing the power of the Dragons and the land.
context: It's the power of water and ice,\to let you walk with the flames and thunder of Leo-sama.\Right!\Fierce battles are still being\reported all around the area!\Meanwhile, the demon itself seems to be getting bigger and bigger.\Couver-sama?\It's probably absorbing the power of the Dragons and the land. response:	At this rate, it will absorb
context: to let you walk with the flames and thunder of Leo-sama.\Right!\Fierce battles are still being\reported all around the area!\Meanwhile, the demon itself seems to be getting bigger and bigger.\Couver-sama?\It's probably absorbing the power of the Dragons and the land.\At this rate, it will absorb response:	the power of the land.
context: Right!\Fierce battles are still being\reported all around the area!\Meanwhile, the demon itself seems to be getting bigger and bigger.\Couver-sama?\It's probably absorbing the power of the Dragons and the land.\At this rate, it will absorb\the power of the land. response:	It's okay. Don't worry.
context: Fierce battles are still being\reported all around the area!\Meanwhile, the demon itself seems to be getting bigger and bigger.\Couver-sama?\It's probably absorbing the power of the Dragons and the land.\At this rate, it will absorb\the power of the land.\It's okay. Don't worry. response:	Our Heroes will stop it!
context: reported all around the area!\Meanwhile, the demon itself seems to be getting bigger and bigger.\Couver-sama?\It's probably absorbing the power of the Dragons and the land.\At this rate, it will absorb\the power of the land.\It's okay. Don't worry.\Our Heroes will stop it! response:	It's okay!
context: Meanwhile, the demon itself seems to be getting bigger and bigger.\Couver-sama?\It's probably absorbing the power of the Dragons and the land.\At this rate, it will absorb\the power of the land.\It's okay. Don't worry.\Our Heroes will stop it!\It's okay! response:	The Heroes will finish this soon!
context: Couver-sama?\It's probably absorbing the power of the Dragons and the land.\At this rate, it will absorb\the power of the land.\It's okay. Don't worry.\Our Heroes will stop it!\It's okay!\The Heroes will finish this soon! response:	Bullet card: full open!
context: It's probably absorbing the power of the Dragons and the land.\At this rate, it will absorb\the power of the land.\It's okay. Don't worry.\Our Heroes will stop it!\It's okay!\The Heroes will finish this soon!\Bullet card: full open! response:	Go!
context: At this rate, it will absorb\the power of the land.\It's okay. Don't worry.\Our Heroes will stop it!\It's okay!\The Heroes will finish this soon!\Bullet card: full open!\Go! response:	Sharl!
context: the power of the land.\It's okay. Don't worry.\Our Heroes will stop it!\It's okay!\The Heroes will finish this soon!\Bullet card: full open!\Go!\Sharl! response:	It's beautiful...
context: It's okay. Don't worry.\Our Heroes will stop it!\It's okay!\The Heroes will finish this soon!\Bullet card: full open!\Go!\Sharl!\It's beautiful... response:	What is this light?
context: Our Heroes will stop it!\It's okay!\The Heroes will finish this soon!\Bullet card: full open!\Go!\Sharl!\It's beautiful...\What is this light? response:	The power of the land and the dragons that the Dragon Eater absorbed.
context: It's okay!\The Heroes will finish this soon!\Bullet card: full open!\Go!\Sharl!\It's beautiful...\What is this light?\The power of the land and the dragons that the Dragon Eater absorbed. response:	It's coming down from the sky and going back to the land.
context: The Heroes will finish this soon!\Bullet card: full open!\Go!\Sharl!\It's beautiful...\What is this light?\The power of the land and the dragons that the Dragon Eater absorbed.\It's coming down from the sky and going back to the land. response:	A light of purification and renewal.
context: Bullet card: full open!\Go!\Sharl!\It's beautiful...\What is this light?\The power of the land and the dragons that the Dragon Eater absorbed.\It's coming down from the sky and going back to the land.\A light of purification and renewal. response:	It's the phenomenon known as the Dragon's Tears.
context: Go!\Sharl!\It's beautiful...\What is this light?\The power of the land and the dragons that the Dragon Eater absorbed.\It's coming down from the sky and going back to the land.\A light of purification and renewal.\It's the phenomenon known as the Dragon's Tears. response:	I've heard of this.
context: Sharl!\It's beautiful...\What is this light?\The power of the land and the dragons that the Dragon Eater absorbed.\It's coming down from the sky and going back to the land.\A light of purification and renewal.\It's the phenomenon known as the Dragon's Tears.\I've heard of this. response:	Joy and blessings come to the land
context: It's beautiful...\What is this light?\The power of the land and the dragons that the Dragon Eater absorbed.\It's coming down from the sky and going back to the land.\A light of purification and renewal.\It's the phenomenon known as the Dragon's Tears.\I've heard of this.\Joy and blessings come to the land response:	where the Dragon's Tears fall.
context: What is this light?\The power of the land and the dragons that the Dragon Eater absorbed.\It's coming down from the sky and going back to the land.\A light of purification and renewal.\It's the phenomenon known as the Dragon's Tears.\I've heard of this.\Joy and blessings come to the land\where the Dragon's Tears fall. response:	Yeah...
context: The power of the land and the dragons that the Dragon Eater absorbed.\It's coming down from the sky and going back to the land.\A light of purification and renewal.\It's the phenomenon known as the Dragon's Tears.\I've heard of this.\Joy and blessings come to the land\where the Dragon's Tears fall.\Yeah... response:	But
context: It's coming down from the sky and going back to the land.\A light of purification and renewal.\It's the phenomenon known as the Dragon's Tears.\I've heard of this.\Joy and blessings come to the land\where the Dragon's Tears fall.\Yeah...\But response:	this rain of light is
context: A light of purification and renewal.\It's the phenomenon known as the Dragon's Tears.\I've heard of this.\Joy and blessings come to the land\where the Dragon's Tears fall.\Yeah...\But\this rain of light is response:	a little bit odd.
context: It's the phenomenon known as the Dragon's Tears.\I've heard of this.\Joy and blessings come to the land\where the Dragon's Tears fall.\Yeah...\But\this rain of light is\a little bit odd. response:	Any equipment or clothes enchanted with guardian power
context: I've heard of this.\Joy and blessings come to the land\where the Dragon's Tears fall.\Yeah...\But\this rain of light is\a little bit odd.\Any equipment or clothes enchanted with guardian power response:	that it touches will react, well...
context: Joy and blessings come to the land\where the Dragon's Tears fall.\Yeah...\But\this rain of light is\a little bit odd.\Any equipment or clothes enchanted with guardian power\that it touches will react, well... response:	Like that.
context: where the Dragon's Tears fall.\Yeah...\But\this rain of light is\a little bit odd.\Any equipment or clothes enchanted with guardian power\that it touches will react, well...\Like that. response:	That's a big problem!
context: Yeah...\But\this rain of light is\a little bit odd.\Any equipment or clothes enchanted with guardian power\that it touches will react, well...\Like that.\That's a big problem! response:	I'm sure chaos is breaking out everywhere, but...
context: But\this rain of light is\a little bit odd.\Any equipment or clothes enchanted with guardian power\that it touches will react, well...\Like that.\That's a big problem!\I'm sure chaos is breaking out everywhere, but... response:	Well, it's not going to hurt you.
context: this rain of light is\a little bit odd.\Any equipment or clothes enchanted with guardian power\that it touches will react, well...\Like that.\That's a big problem!\I'm sure chaos is breaking out everywhere, but...\Well, it's not going to hurt you. response:	Actually, it's good for you, so don't worry.
context: a little bit odd.\Any equipment or clothes enchanted with guardian power\that it touches will react, well...\Like that.\That's a big problem!\I'm sure chaos is breaking out everywhere, but...\Well, it's not going to hurt you.\Actually, it's good for you, so don't worry. response:	You heard her.
context: Any equipment or clothes enchanted with guardian power\that it touches will react, well...\Like that.\That's a big problem!\I'm sure chaos is breaking out everywhere, but...\Well, it's not going to hurt you.\Actually, it's good for you, so don't worry.\You heard her. response:	Let's go to Flan-san in the sky.
context: that it touches will react, well...\Like that.\That's a big problem!\I'm sure chaos is breaking out everywhere, but...\Well, it's not going to hurt you.\Actually, it's good for you, so don't worry.\You heard her.\Let's go to Flan-san in the sky. response:	Yes, I'm here in the sky!
context: Like that.\That's a big problem!\I'm sure chaos is breaking out everywhere, but...\Well, it's not going to hurt you.\Actually, it's good for you, so don't worry.\You heard her.\Let's go to Flan-san in the sky.\Yes, I'm here in the sky! response:	The demon has completely shut down,
context: That's a big problem!\I'm sure chaos is breaking out everywhere, but...\Well, it's not going to hurt you.\Actually, it's good for you, so don't worry.\You heard her.\Let's go to Flan-san in the sky.\Yes, I'm here in the sky!\The demon has completely shut down, response:	and the black clouds above the forest are gradually clearing up!
context: I'm sure chaos is breaking out everywhere, but...\Well, it's not going to hurt you.\Actually, it's good for you, so don't worry.\You heard her.\Let's go to Flan-san in the sky.\Yes, I'm here in the sky!\The demon has completely shut down,\and the black clouds above the forest are gradually clearing up! response:	The war against the demons seems to be
context: Well, it's not going to hurt you.\Actually, it's good for you, so don't worry.\You heard her.\Let's go to Flan-san in the sky.\Yes, I'm here in the sky!\The demon has completely shut down,\and the black clouds above the forest are gradually clearing up!\The war against the demons seems to be response:	ending with a victory for the tri-country alliance!
context: Actually, it's good for you, so don't worry.\You heard her.\Let's go to Flan-san in the sky.\Yes, I'm here in the sky!\The demon has completely shut down,\and the black clouds above the forest are gradually clearing up!\The war against the demons seems to be\ending with a victory for the tri-country alliance! response:	I caused you a lot of trouble.
context: You heard her.\Let's go to Flan-san in the sky.\Yes, I'm here in the sky!\The demon has completely shut down,\and the black clouds above the forest are gradually clearing up!\The war against the demons seems to be\ending with a victory for the tri-country alliance!\I caused you a lot of trouble. response:	Not at all.
context: Let's go to Flan-san in the sky.\Yes, I'm here in the sky!\The demon has completely shut down,\and the black clouds above the forest are gradually clearing up!\The war against the demons seems to be\ending with a victory for the tri-country alliance!\I caused you a lot of trouble.\Not at all. response:	Are the dragons okay?
context: Yes, I'm here in the sky!\The demon has completely shut down,\and the black clouds above the forest are gradually clearing up!\The war against the demons seems to be\ending with a victory for the tri-country alliance!\I caused you a lot of trouble.\Not at all.\Are the dragons okay? response:	No need to worry.
context: The demon has completely shut down,\and the black clouds above the forest are gradually clearing up!\The war against the demons seems to be\ending with a victory for the tri-country alliance!\I caused you a lot of trouble.\Not at all.\Are the dragons okay?\No need to worry. response:	Eventually they'll wake up and everything will go back to normal.
context: and the black clouds above the forest are gradually clearing up!\The war against the demons seems to be\ending with a victory for the tri-country alliance!\I caused you a lot of trouble.\Not at all.\Are the dragons okay?\No need to worry.\Eventually they'll wake up and everything will go back to normal. response:	The forest should be even more bountiful than before.
context: The war against the demons seems to be\ending with a victory for the tri-country alliance!\I caused you a lot of trouble.\Not at all.\Are the dragons okay?\No need to worry.\Eventually they'll wake up and everything will go back to normal.\The forest should be even more bountiful than before. response:	I'm glad.
context: ending with a victory for the tri-country alliance!\I caused you a lot of trouble.\Not at all.\Are the dragons okay?\No need to worry.\Eventually they'll wake up and everything will go back to normal.\The forest should be even more bountiful than before.\I'm glad. response:	Hero Shinku...
context: I caused you a lot of trouble.\Not at all.\Are the dragons okay?\No need to worry.\Eventually they'll wake up and everything will go back to normal.\The forest should be even more bountiful than before.\I'm glad.\Hero Shinku... response:	Looks like it's over.
context: Not at all.\Are the dragons okay?\No need to worry.\Eventually they'll wake up and everything will go back to normal.\The forest should be even more bountiful than before.\I'm glad.\Hero Shinku...\Looks like it's over. response:	Just like I thought, there was nothing for us to do.
context: Are the dragons okay?\No need to worry.\Eventually they'll wake up and everything will go back to normal.\The forest should be even more bountiful than before.\I'm glad.\Hero Shinku...\Looks like it's over.\Just like I thought, there was nothing for us to do. response:	It's a sign that the new generation is growing up right.
context: No need to worry.\Eventually they'll wake up and everything will go back to normal.\The forest should be even more bountiful than before.\I'm glad.\Hero Shinku...\Looks like it's over.\Just like I thought, there was nothing for us to do.\It's a sign that the new generation is growing up right. response:	But we need to seal it properly,
context: Eventually they'll wake up and everything will go back to normal.\The forest should be even more bountiful than before.\I'm glad.\Hero Shinku...\Looks like it's over.\Just like I thought, there was nothing for us to do.\It's a sign that the new generation is growing up right.\But we need to seal it properly, response:	so that it doesn't revive as a sad demon...
context: The forest should be even more bountiful than before.\I'm glad.\Hero Shinku...\Looks like it's over.\Just like I thought, there was nothing for us to do.\It's a sign that the new generation is growing up right.\But we need to seal it properly,\so that it doesn't revive as a sad demon... response:	Eventually I'll teach that to Yukikaze and Noir
context: I'm glad.\Hero Shinku...\Looks like it's over.\Just like I thought, there was nothing for us to do.\It's a sign that the new generation is growing up right.\But we need to seal it properly,\so that it doesn't revive as a sad demon...\Eventually I'll teach that to Yukikaze and Noir response:	and the others.
context: Hero Shinku...\Looks like it's over.\Just like I thought, there was nothing for us to do.\It's a sign that the new generation is growing up right.\But we need to seal it properly,\so that it doesn't revive as a sad demon...\Eventually I'll teach that to Yukikaze and Noir\and the others. response:	Thanks to the Dragon Priestess Sharl,
context: Looks like it's over.\Just like I thought, there was nothing for us to do.\It's a sign that the new generation is growing up right.\But we need to seal it properly,\so that it doesn't revive as a sad demon...\Eventually I'll teach that to Yukikaze and Noir\and the others.\Thanks to the Dragon Priestess Sharl, response:	and the heroes of the tri-country alliance,
context: Just like I thought, there was nothing for us to do.\It's a sign that the new generation is growing up right.\But we need to seal it properly,\so that it doesn't revive as a sad demon...\Eventually I'll teach that to Yukikaze and Noir\and the others.\Thanks to the Dragon Priestess Sharl,\and the heroes of the tri-country alliance, response:	the forest was saved.
context: It's a sign that the new generation is growing up right.\But we need to seal it properly,\so that it doesn't revive as a sad demon...\Eventually I'll teach that to Yukikaze and Noir\and the others.\Thanks to the Dragon Priestess Sharl,\and the heroes of the tri-country alliance,\the forest was saved. response:	All knights and soldiers who fought,
context: But we need to seal it properly,\so that it doesn't revive as a sad demon...\Eventually I'll teach that to Yukikaze and Noir\and the others.\Thanks to the Dragon Priestess Sharl,\and the heroes of the tri-country alliance,\the forest was saved.\All knights and soldiers who fought, response:	well done!
context: so that it doesn't revive as a sad demon...\Eventually I'll teach that to Yukikaze and Noir\and the others.\Thanks to the Dragon Priestess Sharl,\and the heroes of the tri-country alliance,\the forest was saved.\All knights and soldiers who fought,\well done! response:	The response team is going to
context: Eventually I'll teach that to Yukikaze and Noir\and the others.\Thanks to the Dragon Priestess Sharl,\and the heroes of the tri-country alliance,\the forest was saved.\All knights and soldiers who fought,\well done!\The response team is going to response:	seal the demon we defeated.
context: and the others.\Thanks to the Dragon Priestess Sharl,\and the heroes of the tri-country alliance,\the forest was saved.\All knights and soldiers who fought,\well done!\The response team is going to\seal the demon we defeated. response:	We'll be leaving now.
context: Thanks to the Dragon Priestess Sharl,\and the heroes of the tri-country alliance,\the forest was saved.\All knights and soldiers who fought,\well done!\The response team is going to\seal the demon we defeated.\We'll be leaving now. response:	Once we get back, we'll have a detailed report
context: and the heroes of the tri-country alliance,\the forest was saved.\All knights and soldiers who fought,\well done!\The response team is going to\seal the demon we defeated.\We'll be leaving now.\Once we get back, we'll have a detailed report response:	for the citizens and other countries.
context: the forest was saved.\All knights and soldiers who fought,\well done!\The response team is going to\seal the demon we defeated.\We'll be leaving now.\Once we get back, we'll have a detailed report\for the citizens and other countries. response:	Okay, let's get ready to go!
context: All knights and soldiers who fought,\well done!\The response team is going to\seal the demon we defeated.\We'll be leaving now.\Once we get back, we'll have a detailed report\for the citizens and other countries.\Okay, let's get ready to go! response:	You're leaving already, aren't you?
context: well done!\The response team is going to\seal the demon we defeated.\We'll be leaving now.\Once we get back, we'll have a detailed report\for the citizens and other countries.\Okay, let's get ready to go!\You're leaving already, aren't you? response:	Yeah.
context: The response team is going to\seal the demon we defeated.\We'll be leaving now.\Once we get back, we'll have a detailed report\for the citizens and other countries.\Okay, let's get ready to go!\You're leaving already, aren't you?\Yeah. response:	If you like...
context: seal the demon we defeated.\We'll be leaving now.\Once we get back, we'll have a detailed report\for the citizens and other countries.\Okay, let's get ready to go!\You're leaving already, aren't you?\Yeah.\If you like... response:	Can we come back to play?
context: We'll be leaving now.\Once we get back, we'll have a detailed report\for the citizens and other countries.\Okay, let's get ready to go!\You're leaving already, aren't you?\Yeah.\If you like...\Can we come back to play? response:	You shouldn't.
context: Once we get back, we'll have a detailed report\for the citizens and other countries.\Okay, let's get ready to go!\You're leaving already, aren't you?\Yeah.\If you like...\Can we come back to play?\You shouldn't. response:	You'll get lost.
context: for the citizens and other countries.\Okay, let's get ready to go!\You're leaving already, aren't you?\Yeah.\If you like...\Can we come back to play?\You shouldn't.\You'll get lost. response:	Once I'm sure the forest has calmed down...
context: Okay, let's get ready to go!\You're leaving already, aren't you?\Yeah.\If you like...\Can we come back to play?\You shouldn't.\You'll get lost.\Once I'm sure the forest has calmed down... response:	I'll go see you.
context: You're leaving already, aren't you?\Yeah.\If you like...\Can we come back to play?\You shouldn't.\You'll get lost.\Once I'm sure the forest has calmed down...\I'll go see you. response:	Let's meet again,
context: Yeah.\If you like...\Can we come back to play?\You shouldn't.\You'll get lost.\Once I'm sure the forest has calmed down...\I'll go see you.\Let's meet again, response:	Hero Shinku.
context: If you like...\Can we come back to play?\You shouldn't.\You'll get lost.\Once I'm sure the forest has calmed down...\I'll go see you.\Let's meet again,\Hero Shinku. response:	The summoning accident surprised me,
context: Can we come back to play?\You shouldn't.\You'll get lost.\Once I'm sure the forest has calmed down...\I'll go see you.\Let's meet again,\Hero Shinku.\The summoning accident surprised me, response:	but I guess it worked out for the best.
context: You shouldn't.\You'll get lost.\Once I'm sure the forest has calmed down...\I'll go see you.\Let's meet again,\Hero Shinku.\The summoning accident surprised me,\but I guess it worked out for the best. response:	It was a huge mess involving all three countries,
context: You'll get lost.\Once I'm sure the forest has calmed down...\I'll go see you.\Let's meet again,\Hero Shinku.\The summoning accident surprised me,\but I guess it worked out for the best.\It was a huge mess involving all three countries, response:	but you could say we discovered the problem fast.
