context: Next up is the weather forecast for the Kanto Region. response:	Due to areas of low pressure coming in from the west,
context: had its public debut?\Her new anime?\That thing she showed us at Shiina's welcoming party?\It's been well-received.\Made it to a million hits in just three days.\She's already received ten offers...\to commercialize her five-minute anime.\Everyone was looking forward to Misaki's new work. response:	But I...
context: Her new anime?\That thing she showed us at Shiina's welcoming party?\It's been well-received.\Made it to a million hits in just three days.\She's already received ten offers...\to commercialize her five-minute anime.\Everyone was looking forward to Misaki's new work.\But I... response:	I'm the only person who wanted her to fail.
context: That thing she showed us at Shiina's welcoming party?\It's been well-received.\Made it to a million hits in just three days.\She's already received ten offers...\to commercialize her five-minute anime.\Everyone was looking forward to Misaki's new work.\But I...\I'm the only person who wanted her to fail. response:	I actually wanted her to crash and burn.
context: It's been well-received.\Made it to a million hits in just three days.\She's already received ten offers...\to commercialize her five-minute anime.\Everyone was looking forward to Misaki's new work.\But I...\I'm the only person who wanted her to fail.\I actually wanted her to crash and burn. response:	You must see right through me.
context: Made it to a million hits in just three days.\She's already received ten offers...\to commercialize her five-minute anime.\Everyone was looking forward to Misaki's new work.\But I...\I'm the only person who wanted her to fail.\I actually wanted her to crash and burn.\You must see right through me. response:	I'm actually a little relieved Shiina wasn't selected.
context: She's already received ten offers...\to commercialize her five-minute anime.\Everyone was looking forward to Misaki's new work.\But I...\I'm the only person who wanted her to fail.\I actually wanted her to crash and burn.\You must see right through me.\I'm actually a little relieved Shiina wasn't selected. response:	Shiina worked so hard to win the New Artist Award.
context: to commercialize her five-minute anime.\Everyone was looking forward to Misaki's new work.\But I...\I'm the only person who wanted her to fail.\I actually wanted her to crash and burn.\You must see right through me.\I'm actually a little relieved Shiina wasn't selected.\Shiina worked so hard to win the New Artist Award. response:	I knew that, but...
context: Everyone was looking forward to Misaki's new work.\But I...\I'm the only person who wanted her to fail.\I actually wanted her to crash and burn.\You must see right through me.\I'm actually a little relieved Shiina wasn't selected.\Shiina worked so hard to win the New Artist Award.\I knew that, but... response:	The thing about talent...
context: But I...\I'm the only person who wanted her to fail.\I actually wanted her to crash and burn.\You must see right through me.\I'm actually a little relieved Shiina wasn't selected.\Shiina worked so hard to win the New Artist Award.\I knew that, but...\The thing about talent... response:	is that it unconsciously wraps up and destroys...
context: I'm the only person who wanted her to fail.\I actually wanted her to crash and burn.\You must see right through me.\I'm actually a little relieved Shiina wasn't selected.\Shiina worked so hard to win the New Artist Award.\I knew that, but...\The thing about talent...\is that it unconsciously wraps up and destroys... response:	everyone around it.
context: I actually wanted her to crash and burn.\You must see right through me.\I'm actually a little relieved Shiina wasn't selected.\Shiina worked so hard to win the New Artist Award.\I knew that, but...\The thing about talent...\is that it unconsciously wraps up and destroys...\everyone around it. response:	The closer you are to it, the more it tears you to shreds.
context: You must see right through me.\I'm actually a little relieved Shiina wasn't selected.\Shiina worked so hard to win the New Artist Award.\I knew that, but...\The thing about talent...\is that it unconsciously wraps up and destroys...\everyone around it.\The closer you are to it, the more it tears you to shreds. response:	There are people who live in a place that ordinary men...
context: I'm actually a little relieved Shiina wasn't selected.\Shiina worked so hard to win the New Artist Award.\I knew that, but...\The thing about talent...\is that it unconsciously wraps up and destroys...\everyone around it.\The closer you are to it, the more it tears you to shreds.\There are people who live in a place that ordinary men... response:	can never reach.
context: Shiina worked so hard to win the New Artist Award.\I knew that, but...\The thing about talent...\is that it unconsciously wraps up and destroys...\everyone around it.\The closer you are to it, the more it tears you to shreds.\There are people who live in a place that ordinary men...\can never reach. response:	It's a world above the clouds that we can't even see.
context: I knew that, but...\The thing about talent...\is that it unconsciously wraps up and destroys...\everyone around it.\The closer you are to it, the more it tears you to shreds.\There are people who live in a place that ordinary men...\can never reach.\It's a world above the clouds that we can't even see. response:	That's the kind of world they live in.
context: The thing about talent...\is that it unconsciously wraps up and destroys...\everyone around it.\The closer you are to it, the more it tears you to shreds.\There are people who live in a place that ordinary men...\can never reach.\It's a world above the clouds that we can't even see.\That's the kind of world they live in. response:	I don't think Misaki-senpai cares about talent or ability.
context: is that it unconsciously wraps up and destroys...\everyone around it.\The closer you are to it, the more it tears you to shreds.\There are people who live in a place that ordinary men...\can never reach.\It's a world above the clouds that we can't even see.\That's the kind of world they live in.\I don't think Misaki-senpai cares about talent or ability. response:	I agree.
context: everyone around it.\The closer you are to it, the more it tears you to shreds.\There are people who live in a place that ordinary men...\can never reach.\It's a world above the clouds that we can't even see.\That's the kind of world they live in.\I don't think Misaki-senpai cares about talent or ability.\I agree. response:	But I don't know how to accept the difference...
context: The closer you are to it, the more it tears you to shreds.\There are people who live in a place that ordinary men...\can never reach.\It's a world above the clouds that we can't even see.\That's the kind of world they live in.\I don't think Misaki-senpai cares about talent or ability.\I agree.\But I don't know how to accept the difference... response:	between Misaki and me.
context: There are people who live in a place that ordinary men...\can never reach.\It's a world above the clouds that we can't even see.\That's the kind of world they live in.\I don't think Misaki-senpai cares about talent or ability.\I agree.\But I don't know how to accept the difference...\between Misaki and me. response:	Until the day I can proudly stand by her side,
context: can never reach.\It's a world above the clouds that we can't even see.\That's the kind of world they live in.\I don't think Misaki-senpai cares about talent or ability.\I agree.\But I don't know how to accept the difference...\between Misaki and me.\Until the day I can proudly stand by her side, response:	all I can do is struggle in vain.
context: It's a world above the clouds that we can't even see.\That's the kind of world they live in.\I don't think Misaki-senpai cares about talent or ability.\I agree.\But I don't know how to accept the difference...\between Misaki and me.\Until the day I can proudly stand by her side,\all I can do is struggle in vain. response:	Jin-san...
context: That's the kind of world they live in.\I don't think Misaki-senpai cares about talent or ability.\I agree.\But I don't know how to accept the difference...\between Misaki and me.\Until the day I can proudly stand by her side,\all I can do is struggle in vain.\Jin-san... response:	Jin-san, do you like Misaki-senpai?
context: I don't think Misaki-senpai cares about talent or ability.\I agree.\But I don't know how to accept the difference...\between Misaki and me.\Until the day I can proudly stand by her side,\all I can do is struggle in vain.\Jin-san...\Jin-san, do you like Misaki-senpai? response:	Do you want to go get some ramen?
context: I agree.\But I don't know how to accept the difference...\between Misaki and me.\Until the day I can proudly stand by her side,\all I can do is struggle in vain.\Jin-san...\Jin-san, do you like Misaki-senpai?\Do you want to go get some ramen? response:	It's on me.
context: But I don't know how to accept the difference...\between Misaki and me.\Until the day I can proudly stand by her side,\all I can do is struggle in vain.\Jin-san...\Jin-san, do you like Misaki-senpai?\Do you want to go get some ramen?\It's on me. response:	Do you think Shiina will be all right?
context: between Misaki and me.\Until the day I can proudly stand by her side,\all I can do is struggle in vain.\Jin-san...\Jin-san, do you like Misaki-senpai?\Do you want to go get some ramen?\It's on me.\Do you think Shiina will be all right? response:	It might be weird for me to worry about her now, but...
context: Until the day I can proudly stand by her side,\all I can do is struggle in vain.\Jin-san...\Jin-san, do you like Misaki-senpai?\Do you want to go get some ramen?\It's on me.\Do you think Shiina will be all right?\It might be weird for me to worry about her now, but... response:	What's wrong with feeling both ways, if it's how you really feel?
context: all I can do is struggle in vain.\Jin-san...\Jin-san, do you like Misaki-senpai?\Do you want to go get some ramen?\It's on me.\Do you think Shiina will be all right?\It might be weird for me to worry about her now, but...\What's wrong with feeling both ways, if it's how you really feel? response:	Things like this are never simple.
context: Jin-san...\Jin-san, do you like Misaki-senpai?\Do you want to go get some ramen?\It's on me.\Do you think Shiina will be all right?\It might be weird for me to worry about her now, but...\What's wrong with feeling both ways, if it's how you really feel?\Things like this are never simple. response:	Sakura Hall Tanabata Festival
context: Jin-san, do you like Misaki-senpai?\Do you want to go get some ramen?\It's on me.\Do you think Shiina will be all right?\It might be weird for me to worry about her now, but...\What's wrong with feeling both ways, if it's how you really feel?\Things like this are never simple.\Sakura Hall Tanabata Festival response:	An Introduction to Programming Programming Practice Skills Necessary for Programming Games
context: Do you want to go get some ramen?\It's on me.\Do you think Shiina will be all right?\It might be weird for me to worry about her now, but...\What's wrong with feeling both ways, if it's how you really feel?\Things like this are never simple.\Sakura Hall Tanabata Festival\An Introduction to Programming Programming Practice Skills Necessary for Programming Games response:	Huh?
context: It's on me.\Do you think Shiina will be all right?\It might be weird for me to worry about her now, but...\What's wrong with feeling both ways, if it's how you really feel?\Things like this are never simple.\Sakura Hall Tanabata Festival\An Introduction to Programming Programming Practice Skills Necessary for Programming Games\Huh? response:	What are these?
context: Do you think Shiina will be all right?\It might be weird for me to worry about her now, but...\What's wrong with feeling both ways, if it's how you really feel?\Things like this are never simple.\Sakura Hall Tanabata Festival\An Introduction to Programming Programming Practice Skills Necessary for Programming Games\Huh?\What are these? response:	Akasaka Ryunosuke : I don't need those books anymore.
context: It might be weird for me to worry about her now, but...\What's wrong with feeling both ways, if it's how you really feel?\Things like this are never simple.\Sakura Hall Tanabata Festival\An Introduction to Programming Programming Practice Skills Necessary for Programming Games\Huh?\What are these?\Akasaka Ryunosuke : I don't need those books anymore. response:	Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me?
context: What's wrong with feeling both ways, if it's how you really feel?\Things like this are never simple.\Sakura Hall Tanabata Festival\An Introduction to Programming Programming Practice Skills Necessary for Programming Games\Huh?\What are these?\Akasaka Ryunosuke : I don't need those books anymore.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? response:	Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.
context: Things like this are never simple.\Sakura Hall Tanabata Festival\An Introduction to Programming Programming Practice Skills Necessary for Programming Games\Huh?\What are these?\Akasaka Ryunosuke : I don't need those books anymore.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me?\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. response:	He stays cooped up in his room,
context: Sakura Hall Tanabata Festival\An Introduction to Programming Programming Practice Skills Necessary for Programming Games\Huh?\What are these?\Akasaka Ryunosuke : I don't need those books anymore.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me?\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.\He stays cooped up in his room, response:	but he knows how to read a situation.
context: An Introduction to Programming Programming Practice Skills Necessary for Programming Games\Huh?\What are these?\Akasaka Ryunosuke : I don't need those books anymore.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me?\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.\He stays cooped up in his room,\but he knows how to read a situation. response:	Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.
context: Huh?\What are these?\Akasaka Ryunosuke : I don't need those books anymore.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me?\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.\He stays cooped up in his room,\but he knows how to read a situation.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. response:	Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question.
context: What are these?\Akasaka Ryunosuke : I don't need those books anymore.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me?\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.\He stays cooped up in his room,\but he knows how to read a situation.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. response:	Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What?
context: Akasaka Ryunosuke : I don't need those books anymore.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me?\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.\He stays cooped up in his room,\but he knows how to read a situation.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question.\Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? response:	Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me?
context: Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me?\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.\He stays cooped up in his room,\but he knows how to read a situation.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question.\Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What?\Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? response:	Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about.
context: Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.\He stays cooped up in his room,\but he knows how to read a situation.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question.\Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What?\Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me?\Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about. response:	Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about. Akasaka Ryunosuke : But, at the very least,
context: He stays cooped up in his room,\but he knows how to read a situation.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question.\Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What?\Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me?\Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about.\Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about. Akasaka Ryunosuke : But, at the very least, response:	Boo!
context: but he knows how to read a situation.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question.\Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What?\Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me?\Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about.\Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about. Akasaka Ryunosuke : But, at the very least,\Boo! response:	Don't talk about being destroyed...
context: Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift.\Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question.\Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What?\Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me?\Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about.\Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about. Akasaka Ryunosuke : But, at the very least,\Boo!\Don't talk about being destroyed... response:	until you've read those books so thoroughly, you feel like you're done for.
context: Akasaka Ryunosuke : I don't need those books anymore. Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question.\Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What?\Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me?\Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about.\Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about. Akasaka Ryunosuke : But, at the very least,\Boo!\Don't talk about being destroyed...\until you've read those books so thoroughly, you feel like you're done for. response:	Sincerely, someone who prefers Senpachi to Kinpachi: Maid-chan.
context: Kanda Sorata : But why did you give them to me? Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What?\Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me?\Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about.\Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about. Akasaka Ryunosuke : But, at the very least,\Boo!\Don't talk about being destroyed...\until you've read those books so thoroughly, you feel like you're done for.\Sincerely, someone who prefers Senpachi to Kinpachi: Maid-chan. response:	I hate to admit it, but you're right.
context: Akasaka Ryunosuke : Because I thought you needed them. They're a parting gift. Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me?\Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about.\Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about. Akasaka Ryunosuke : But, at the very least,\Boo!\Don't talk about being destroyed...\until you've read those books so thoroughly, you feel like you're done for.\Sincerely, someone who prefers Senpachi to Kinpachi: Maid-chan.\I hate to admit it, but you're right. response:	Until I feel like I'm done for, huh?
context: Kanda Sorata : Akasaka, I have a question. Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about.\Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about. Akasaka Ryunosuke : But, at the very least,\Boo!\Don't talk about being destroyed...\until you've read those books so thoroughly, you feel like you're done for.\Sincerely, someone who prefers Senpachi to Kinpachi: Maid-chan.\I hate to admit it, but you're right.\Until I feel like I'm done for, huh? response:	Sakura Hall
context: Akasaka Ryunosuke : What? Kanda Sorata : Do you think getting close to prodigious talent will destroy me? Akasaka Ryunosuke : I don't know what you're talking about. Akasaka Ryunosuke : But, at the very least,\Boo!\Don't talk about being destroyed...\until you've read those books so thoroughly, you feel like you're done for.\Sincerely, someone who prefers Senpachi to Kinpachi: Maid-chan.\I hate to admit it, but you're right.\Until I feel like I'm done for, huh?\Sakura Hall response:	Please Knock Mashiron's Room
context: Boo!\Don't talk about being destroyed...\until you've read those books so thoroughly, you feel like you're done for.\Sincerely, someone who prefers Senpachi to Kinpachi: Maid-chan.\I hate to admit it, but you're right.\Until I feel like I'm done for, huh?\Sakura Hall\Please Knock Mashiron's Room response:	Shiina.
context: Don't talk about being destroyed...\until you've read those books so thoroughly, you feel like you're done for.\Sincerely, someone who prefers Senpachi to Kinpachi: Maid-chan.\I hate to admit it, but you're right.\Until I feel like I'm done for, huh?\Sakura Hall\Please Knock Mashiron's Room\Shiina. response:	I'll leave your breakfast here.
context: until you've read those books so thoroughly, you feel like you're done for.\Sincerely, someone who prefers Senpachi to Kinpachi: Maid-chan.\I hate to admit it, but you're right.\Until I feel like I'm done for, huh?\Sakura Hall\Please Knock Mashiron's Room\Shiina.\I'll leave your breakfast here. response:	No one ever cleans this stuff up...
context: Sincerely, someone who prefers Senpachi to Kinpachi: Maid-chan.\I hate to admit it, but you're right.\Until I feel like I'm done for, huh?\Sakura Hall\Please Knock Mashiron's Room\Shiina.\I'll leave your breakfast here.\No one ever cleans this stuff up... response:	What are they going to do when I'm gone?
context: I hate to admit it, but you're right.\Until I feel like I'm done for, huh?\Sakura Hall\Please Knock Mashiron's Room\Shiina.\I'll leave your breakfast here.\No one ever cleans this stuff up...\What are they going to do when I'm gone? response:	I wish I could fire laser beams
context: Until I feel like I'm done for, huh?\Sakura Hall\Please Knock Mashiron's Room\Shiina.\I'll leave your breakfast here.\No one ever cleans this stuff up...\What are they going to do when I'm gone?\I wish I could fire laser beams response:	I wish for Sorata's wish to come true
context: Sakura Hall\Please Knock Mashiron's Room\Shiina.\I'll leave your breakfast here.\No one ever cleans this stuff up...\What are they going to do when I'm gone?\I wish I could fire laser beams\I wish for Sorata's wish to come true response:	Sorata's wish...
context: Please Knock Mashiron's Room\Shiina.\I'll leave your breakfast here.\No one ever cleans this stuff up...\What are they going to do when I'm gone?\I wish I could fire laser beams\I wish for Sorata's wish to come true\Sorata's wish... response:	Let your face smile, let your heart cry?
context: Shiina.\I'll leave your breakfast here.\No one ever cleans this stuff up...\What are they going to do when I'm gone?\I wish I could fire laser beams\I wish for Sorata's wish to come true\Sorata's wish...\Let your face smile, let your heart cry? response:	What does she mean by my wish?
context: I'll leave your breakfast here.\No one ever cleans this stuff up...\What are they going to do when I'm gone?\I wish I could fire laser beams\I wish for Sorata's wish to come true\Sorata's wish...\Let your face smile, let your heart cry?\What does she mean by my wish? response:	This is the same.
context: No one ever cleans this stuff up...\What are they going to do when I'm gone?\I wish I could fire laser beams\I wish for Sorata's wish to come true\Sorata's wish...\Let your face smile, let your heart cry?\What does she mean by my wish?\This is the same. response:	Taken literally, it's a nice, positive phrase.
context: What are they going to do when I'm gone?\I wish I could fire laser beams\I wish for Sorata's wish to come true\Sorata's wish...\Let your face smile, let your heart cry?\What does she mean by my wish?\This is the same.\Taken literally, it's a nice, positive phrase. response:	Career Plan
context: I wish I could fire laser beams\I wish for Sorata's wish to come true\Sorata's wish...\Let your face smile, let your heart cry?\What does she mean by my wish?\This is the same.\Taken literally, it's a nice, positive phrase.\Career Plan response:	What's going on in her head?
context: I wish for Sorata's wish to come true\Sorata's wish...\Let your face smile, let your heart cry?\What does she mean by my wish?\This is the same.\Taken literally, it's a nice, positive phrase.\Career Plan\What's going on in her head? response:	But the truth is, it secretly hides a great sadness inside.
context: Sorata's wish...\Let your face smile, let your heart cry?\What does she mean by my wish?\This is the same.\Taken literally, it's a nice, positive phrase.\Career Plan\What's going on in her head?\But the truth is, it secretly hides a great sadness inside. response:	Well, that's all for today.
context: Let your face smile, let your heart cry?\What does she mean by my wish?\This is the same.\Taken literally, it's a nice, positive phrase.\Career Plan\What's going on in her head?\But the truth is, it secretly hides a great sadness inside.\Well, that's all for today. response:	Kanda-kun...
context: What does she mean by my wish?\This is the same.\Taken literally, it's a nice, positive phrase.\Career Plan\What's going on in her head?\But the truth is, it secretly hides a great sadness inside.\Well, that's all for today.\Kanda-kun... response:	I took the day off work
context: This is the same.\Taken literally, it's a nice, positive phrase.\Career Plan\What's going on in her head?\But the truth is, it secretly hides a great sadness inside.\Well, that's all for today.\Kanda-kun...\I took the day off work response:	Um, I mean, I've got the day off.
context: Taken literally, it's a nice, positive phrase.\Career Plan\What's going on in her head?\But the truth is, it secretly hides a great sadness inside.\Well, that's all for today.\Kanda-kun...\I took the day off work\Um, I mean, I've got the day off. response:	Let's go look for someone to take the cats.
context: Career Plan\What's going on in her head?\But the truth is, it secretly hides a great sadness inside.\Well, that's all for today.\Kanda-kun...\I took the day off work\Um, I mean, I've got the day off.\Let's go look for someone to take the cats. response:	Oh, yeah.
context: What's going on in her head?\But the truth is, it secretly hides a great sadness inside.\Well, that's all for today.\Kanda-kun...\I took the day off work\Um, I mean, I've got the day off.\Let's go look for someone to take the cats.\Oh, yeah. response:	Thanks for everything, Aoyama.
