context: She wants to replace Iwasawa? response:	Not a chance...
context: Then the other team's pitcher gets thrown out...\So we just need her to get hit!\Alright, you're in!\Your line of reasoning just now is melting and dripping out of your nose!\I'm your senior, you know!\Oh I'm sorry.\I meant to say, it would seem that the contents of your brain have melted and is dripping out your nose.\Like hell it is! response:	That hurts, senpai...
context: So we just need her to get hit!\Alright, you're in!\Your line of reasoning just now is melting and dripping out of your nose!\I'm your senior, you know!\Oh I'm sorry.\I meant to say, it would seem that the contents of your brain have melted and is dripping out your nose.\Like hell it is!\That hurts, senpai... response:	I'm in pain too!
context: Alright, you're in!\Your line of reasoning just now is melting and dripping out of your nose!\I'm your senior, you know!\Oh I'm sorry.\I meant to say, it would seem that the contents of your brain have melted and is dripping out your nose.\Like hell it is!\That hurts, senpai...\I'm in pain too! response:	But she looks like the athletic type.
context: Your line of reasoning just now is melting and dripping out of your nose!\I'm your senior, you know!\Oh I'm sorry.\I meant to say, it would seem that the contents of your brain have melted and is dripping out your nose.\Like hell it is!\That hurts, senpai...\I'm in pain too!\But she looks like the athletic type. response:	What are you talking about, Otonashi?
context: I'm your senior, you know!\Oh I'm sorry.\I meant to say, it would seem that the contents of your brain have melted and is dripping out your nose.\Like hell it is!\That hurts, senpai...\I'm in pain too!\But she looks like the athletic type.\What are you talking about, Otonashi? response:	I don't want to even imagine this girl with a screw loose as one of us!
context: Oh I'm sorry.\I meant to say, it would seem that the contents of your brain have melted and is dripping out your nose.\Like hell it is!\That hurts, senpai...\I'm in pain too!\But she looks like the athletic type.\What are you talking about, Otonashi?\I don't want to even imagine this girl with a screw loose as one of us! response:	That hurts...
context: I meant to say, it would seem that the contents of your brain have melted and is dripping out your nose.\Like hell it is!\That hurts, senpai...\I'm in pain too!\But she looks like the athletic type.\What are you talking about, Otonashi?\I don't want to even imagine this girl with a screw loose as one of us!\That hurts... response:	You say that, but the people you've asked so far have all refused to join.
context: Like hell it is!\That hurts, senpai...\I'm in pain too!\But she looks like the athletic type.\What are you talking about, Otonashi?\I don't want to even imagine this girl with a screw loose as one of us!\That hurts...\You say that, but the people you've asked so far have all refused to join. response:	Right, right! I saw that!
context: That hurts, senpai...\I'm in pain too!\But she looks like the athletic type.\What are you talking about, Otonashi?\I don't want to even imagine this girl with a screw loose as one of us!\That hurts...\You say that, but the people you've asked so far have all refused to join.\Right, right! I saw that! response:	So let Yui - nyan join your team!
context: I'm in pain too!\But she looks like the athletic type.\What are you talking about, Otonashi?\I don't want to even imagine this girl with a screw loose as one of us!\That hurts...\You say that, but the people you've asked so far have all refused to join.\Right, right! I saw that!\So let Yui - nyan join your team! response:	Say that again?
context: But she looks like the athletic type.\What are you talking about, Otonashi?\I don't want to even imagine this girl with a screw loose as one of us!\That hurts...\You say that, but the people you've asked so far have all refused to join.\Right, right! I saw that!\So let Yui - nyan join your team!\Say that again? response:	Yui - nyan!
context: What are you talking about, Otonashi?\I don't want to even imagine this girl with a screw loose as one of us!\That hurts...\You say that, but the people you've asked so far have all refused to join.\Right, right! I saw that!\So let Yui - nyan join your team!\Say that again?\Yui - nyan! response:	That's what pisses me off the most about you!
context: I don't want to even imagine this girl with a screw loose as one of us!\That hurts...\You say that, but the people you've asked so far have all refused to join.\Right, right! I saw that!\So let Yui - nyan join your team!\Say that again?\Yui - nyan!\That's what pisses me off the most about you! response:	Give give give!
context: That hurts...\You say that, but the people you've asked so far have all refused to join.\Right, right! I saw that!\So let Yui - nyan join your team!\Say that again?\Yui - nyan!\That's what pisses me off the most about you!\Give give give! response:	Let's go already.
context: You say that, but the people you've asked so far have all refused to join.\Right, right! I saw that!\So let Yui - nyan join your team!\Say that again?\Yui - nyan!\That's what pisses me off the most about you!\Give give give!\Let's go already. response:	Shiinacchi!
context: Right, right! I saw that!\So let Yui - nyan join your team!\Say that again?\Yui - nyan!\That's what pisses me off the most about you!\Give give give!\Let's go already.\Shiinacchi! response:	Where are you? Come out!
context: So let Yui - nyan join your team!\Say that again?\Yui - nyan!\That's what pisses me off the most about you!\Give give give!\Let's go already.\Shiinacchi!\Where are you? Come out! response:	Shiinacchi!
context: Say that again?\Yui - nyan!\That's what pisses me off the most about you!\Give give give!\Let's go already.\Shiinacchi!\Where are you? Come out!\Shiinacchi! response:	What do you want?
context: Yui - nyan!\That's what pisses me off the most about you!\Give give give!\Let's go already.\Shiinacchi!\Where are you? Come out!\Shiinacchi!\What do you want? response:	We were looking for you.
context: That's what pisses me off the most about you!\Give give give!\Let's go already.\Shiinacchi!\Where are you? Come out!\Shiinacchi!\What do you want?\We were looking for you. response:	You're good at athletics, right?
context: Give give give!\Let's go already.\Shiinacchi!\Where are you? Come out!\Shiinacchi!\What do you want?\We were looking for you.\You're good at athletics, right? response:	I've never been tested.
context: Let's go already.\Shiinacchi!\Where are you? Come out!\Shiinacchi!\What do you want?\We were looking for you.\You're good at athletics, right?\I've never been tested. response:	You're definitely good!
context: Shiinacchi!\Where are you? Come out!\Shiinacchi!\What do you want?\We were looking for you.\You're good at athletics, right?\I've never been tested.\You're definitely good! response:	Let's play some baseball!
context: Where are you? Come out!\Shiinacchi!\What do you want?\We were looking for you.\You're good at athletics, right?\I've never been tested.\You're definitely good!\Let's play some baseball! response:	Ever since that day...
context: Shiinacchi!\What do you want?\We were looking for you.\You're good at athletics, right?\I've never been tested.\You're definitely good!\Let's play some baseball!\Ever since that day... response:	I've been here pondering how I lost out to that new member there.
context: What do you want?\We were looking for you.\You're good at athletics, right?\I've never been tested.\You're definitely good!\Let's play some baseball!\Ever since that day...\I've been here pondering how I lost out to that new member there. response:	You mean the Guild Descent Operation?
context: We were looking for you.\You're good at athletics, right?\I've never been tested.\You're definitely good!\Let's play some baseball!\Ever since that day...\I've been here pondering how I lost out to that new member there.\You mean the Guild Descent Operation? response:	It's definitely unbelievable how Otonashi was the only one of us left.
context: You're good at athletics, right?\I've never been tested.\You're definitely good!\Let's play some baseball!\Ever since that day...\I've been here pondering how I lost out to that new member there.\You mean the Guild Descent Operation?\It's definitely unbelievable how Otonashi was the only one of us left. response:	I was just lucky that time.
context: I've never been tested.\You're definitely good!\Let's play some baseball!\Ever since that day...\I've been here pondering how I lost out to that new member there.\You mean the Guild Descent Operation?\It's definitely unbelievable how Otonashi was the only one of us left.\I was just lucky that time. response:	I should have surpassed you in every way, at all aspects of that operation...
context: You're definitely good!\Let's play some baseball!\Ever since that day...\I've been here pondering how I lost out to that new member there.\You mean the Guild Descent Operation?\It's definitely unbelievable how Otonashi was the only one of us left.\I was just lucky that time.\I should have surpassed you in every way, at all aspects of that operation... response:	Probably.
context: Let's play some baseball!\Ever since that day...\I've been here pondering how I lost out to that new member there.\You mean the Guild Descent Operation?\It's definitely unbelievable how Otonashi was the only one of us left.\I was just lucky that time.\I should have surpassed you in every way, at all aspects of that operation...\Probably. response:	If there were one thing I was lacking, it would be concentration.
context: Ever since that day...\I've been here pondering how I lost out to that new member there.\You mean the Guild Descent Operation?\It's definitely unbelievable how Otonashi was the only one of us left.\I was just lucky that time.\I should have surpassed you in every way, at all aspects of that operation...\Probably.\If there were one thing I was lacking, it would be concentration. response:	No, I'm pretty sure you're way better at that too.
context: I've been here pondering how I lost out to that new member there.\You mean the Guild Descent Operation?\It's definitely unbelievable how Otonashi was the only one of us left.\I was just lucky that time.\I should have surpassed you in every way, at all aspects of that operation...\Probably.\If there were one thing I was lacking, it would be concentration.\No, I'm pretty sure you're way better at that too. response:	Even since that day, I've kept this broom balanced on my fingertip.
context: You mean the Guild Descent Operation?\It's definitely unbelievable how Otonashi was the only one of us left.\I was just lucky that time.\I should have surpassed you in every way, at all aspects of that operation...\Probably.\If there were one thing I was lacking, it would be concentration.\No, I'm pretty sure you're way better at that too.\Even since that day, I've kept this broom balanced on my fingertip. response:	She's an idiot, right?
context: It's definitely unbelievable how Otonashi was the only one of us left.\I was just lucky that time.\I should have surpassed you in every way, at all aspects of that operation...\Probably.\If there were one thing I was lacking, it would be concentration.\No, I'm pretty sure you're way better at that too.\Even since that day, I've kept this broom balanced on my fingertip.\She's an idiot, right? response:	She's an idiot, but she's useful.
context: I was just lucky that time.\I should have surpassed you in every way, at all aspects of that operation...\Probably.\If there were one thing I was lacking, it would be concentration.\No, I'm pretty sure you're way better at that too.\Even since that day, I've kept this broom balanced on my fingertip.\She's an idiot, right?\She's an idiot, but she's useful. response:	This is a good opportunity.
context: I should have surpassed you in every way, at all aspects of that operation...\Probably.\If there were one thing I was lacking, it would be concentration.\No, I'm pretty sure you're way better at that too.\Even since that day, I've kept this broom balanced on my fingertip.\She's an idiot, right?\She's an idiot, but she's useful.\This is a good opportunity. response:	Let's go, kid.
context: Probably.\If there were one thing I was lacking, it would be concentration.\No, I'm pretty sure you're way better at that too.\Even since that day, I've kept this broom balanced on my fingertip.\She's an idiot, right?\She's an idiot, but she's useful.\This is a good opportunity.\Let's go, kid. response:	What kind of match is it going to be with you holding that broom?
context: If there were one thing I was lacking, it would be concentration.\No, I'm pretty sure you're way better at that too.\Even since that day, I've kept this broom balanced on my fingertip.\She's an idiot, right?\She's an idiot, but she's useful.\This is a good opportunity.\Let's go, kid.\What kind of match is it going to be with you holding that broom? response:	Baseball, of course!
context: No, I'm pretty sure you're way better at that too.\Even since that day, I've kept this broom balanced on my fingertip.\She's an idiot, right?\She's an idiot, but she's useful.\This is a good opportunity.\Let's go, kid.\What kind of match is it going to be with you holding that broom?\Baseball, of course! response:	But have your match at the proper place.
context: Even since that day, I've kept this broom balanced on my fingertip.\She's an idiot, right?\She's an idiot, but she's useful.\This is a good opportunity.\Let's go, kid.\What kind of match is it going to be with you holding that broom?\Baseball, of course!\But have your match at the proper place. response:	Don't fight one on one here!
context: She's an idiot, right?\She's an idiot, but she's useful.\This is a good opportunity.\Let's go, kid.\What kind of match is it going to be with you holding that broom?\Baseball, of course!\But have your match at the proper place.\Don't fight one on one here! response:	Fine.
context: She's an idiot, but she's useful.\This is a good opportunity.\Let's go, kid.\What kind of match is it going to be with you holding that broom?\Baseball, of course!\But have your match at the proper place.\Don't fight one on one here!\Fine. response:	I don't have to balance a broom, right?
context: This is a good opportunity.\Let's go, kid.\What kind of match is it going to be with you holding that broom?\Baseball, of course!\But have your match at the proper place.\Don't fight one on one here!\Fine.\I don't have to balance a broom, right? response:	Of course not.
context: Let's go, kid.\What kind of match is it going to be with you holding that broom?\Baseball, of course!\But have your match at the proper place.\Don't fight one on one here!\Fine.\I don't have to balance a broom, right?\Of course not. response:	I will demonstrate to you how strong my concentration is.
context: What kind of match is it going to be with you holding that broom?\Baseball, of course!\But have your match at the proper place.\Don't fight one on one here!\Fine.\I don't have to balance a broom, right?\Of course not.\I will demonstrate to you how strong my concentration is. response:	Alright, that's decided then!
context: Baseball, of course!\But have your match at the proper place.\Don't fight one on one here!\Fine.\I don't have to balance a broom, right?\Of course not.\I will demonstrate to you how strong my concentration is.\Alright, that's decided then! response:	Our idiot count increased!
context: But have your match at the proper place.\Don't fight one on one here!\Fine.\I don't have to balance a broom, right?\Of course not.\I will demonstrate to you how strong my concentration is.\Alright, that's decided then!\Our idiot count increased! response:	So we have four people now...
context: Don't fight one on one here!\Fine.\I don't have to balance a broom, right?\Of course not.\I will demonstrate to you how strong my concentration is.\Alright, that's decided then!\Our idiot count increased!\So we have four people now... response:	We've got no choice.
context: Fine.\I don't have to balance a broom, right?\Of course not.\I will demonstrate to you how strong my concentration is.\Alright, that's decided then!\Our idiot count increased!\So we have four people now...\We've got no choice. response:	I guess we'll go ask that guy.
context: I don't have to balance a broom, right?\Of course not.\I will demonstrate to you how strong my concentration is.\Alright, that's decided then!\Our idiot count increased!\So we have four people now...\We've got no choice.\I guess we'll go ask that guy. response:	Nobody would invite him.
context: Of course not.\I will demonstrate to you how strong my concentration is.\Alright, that's decided then!\Our idiot count increased!\So we have four people now...\We've got no choice.\I guess we'll go ask that guy.\Nobody would invite him. response:	He's a simplistic guy who'll only take orders from Yurippe.
context: I will demonstrate to you how strong my concentration is.\Alright, that's decided then!\Our idiot count increased!\So we have four people now...\We've got no choice.\I guess we'll go ask that guy.\Nobody would invite him.\He's a simplistic guy who'll only take orders from Yurippe. response:	So basically, he's an idiot too?
context: Alright, that's decided then!\Our idiot count increased!\So we have four people now...\We've got no choice.\I guess we'll go ask that guy.\Nobody would invite him.\He's a simplistic guy who'll only take orders from Yurippe.\So basically, he's an idiot too? response:	He may be an idiot but we can use him!
context: Our idiot count increased!\So we have four people now...\We've got no choice.\I guess we'll go ask that guy.\Nobody would invite him.\He's a simplistic guy who'll only take orders from Yurippe.\So basically, he's an idiot too?\He may be an idiot but we can use him! response:	And look, nobody can swing a stick around better than him.
context: So we have four people now...\We've got no choice.\I guess we'll go ask that guy.\Nobody would invite him.\He's a simplistic guy who'll only take orders from Yurippe.\So basically, he's an idiot too?\He may be an idiot but we can use him!\And look, nobody can swing a stick around better than him. response:	So you've come at last.
context: We've got no choice.\I guess we'll go ask that guy.\Nobody would invite him.\He's a simplistic guy who'll only take orders from Yurippe.\So basically, he's an idiot too?\He may be an idiot but we can use him!\And look, nobody can swing a stick around better than him.\So you've come at last. response:	It's time to settle this once and for all!
context: I guess we'll go ask that guy.\Nobody would invite him.\He's a simplistic guy who'll only take orders from Yurippe.\So basically, he's an idiot too?\He may be an idiot but we can use him!\And look, nobody can swing a stick around better than him.\So you've come at last.\It's time to settle this once and for all! response:	But before that we'll do a warm up!
context: Nobody would invite him.\He's a simplistic guy who'll only take orders from Yurippe.\So basically, he's an idiot too?\He may be an idiot but we can use him!\And look, nobody can swing a stick around better than him.\So you've come at last.\It's time to settle this once and for all!\But before that we'll do a warm up! response:	Let's show everyone who has the better baseball skills between you and him!
context: He's a simplistic guy who'll only take orders from Yurippe.\So basically, he's an idiot too?\He may be an idiot but we can use him!\And look, nobody can swing a stick around better than him.\So you've come at last.\It's time to settle this once and for all!\But before that we'll do a warm up!\Let's show everyone who has the better baseball skills between you and him! response:	Why?
context: So basically, he's an idiot too?\He may be an idiot but we can use him!\And look, nobody can swing a stick around better than him.\So you've come at last.\It's time to settle this once and for all!\But before that we'll do a warm up!\Let's show everyone who has the better baseball skills between you and him!\Why? response:	You won't get Yurippe's attention by just being strong, you know.
context: He may be an idiot but we can use him!\And look, nobody can swing a stick around better than him.\So you've come at last.\It's time to settle this once and for all!\But before that we'll do a warm up!\Let's show everyone who has the better baseball skills between you and him!\Why?\You won't get Yurippe's attention by just being strong, you know. response:	Fine.
context: And look, nobody can swing a stick around better than him.\So you've come at last.\It's time to settle this once and for all!\But before that we'll do a warm up!\Let's show everyone who has the better baseball skills between you and him!\Why?\You won't get Yurippe's attention by just being strong, you know.\Fine. response:	What an idiot.
context: So you've come at last.\It's time to settle this once and for all!\But before that we'll do a warm up!\Let's show everyone who has the better baseball skills between you and him!\Why?\You won't get Yurippe's attention by just being strong, you know.\Fine.\What an idiot. response:	He has no idea he's being used.
context: It's time to settle this once and for all!\But before that we'll do a warm up!\Let's show everyone who has the better baseball skills between you and him!\Why?\You won't get Yurippe's attention by just being strong, you know.\Fine.\What an idiot.\He has no idea he's being used. response:	Sorry.
context: But before that we'll do a warm up!\Let's show everyone who has the better baseball skills between you and him!\Why?\You won't get Yurippe's attention by just being strong, you know.\Fine.\What an idiot.\He has no idea he's being used.\Sorry. response:	<sign: Study Block A Roof >
context: Let's show everyone who has the better baseball skills between you and him!\Why?\You won't get Yurippe's attention by just being strong, you know.\Fine.\What an idiot.\He has no idea he's being used.\Sorry.\<sign: Study Block A Roof > response:	Pretty much all the Battlefront members are already on a team.
context: Why?\You won't get Yurippe's attention by just being strong, you know.\Fine.\What an idiot.\He has no idea he's being used.\Sorry.\<sign: Study Block A Roof >\Pretty much all the Battlefront members are already on a team. response:	We still need another five.
context: You won't get Yurippe's attention by just being strong, you know.\Fine.\What an idiot.\He has no idea he's being used.\Sorry.\<sign: Study Block A Roof >\Pretty much all the Battlefront members are already on a team.\We still need another five. response:	What are you going to do?
context: Fine.\What an idiot.\He has no idea he's being used.\Sorry.\<sign: Study Block A Roof >\Pretty much all the Battlefront members are already on a team.\We still need another five.\What are you going to do? response:	Can't you put that broom down?
context: What an idiot.\He has no idea he's being used.\Sorry.\<sign: Study Block A Roof >\Pretty much all the Battlefront members are already on a team.\We still need another five.\What are you going to do?\Can't you put that broom down? response:	It looks like a joke even when you're talking seriously.
context: He has no idea he's being used.\Sorry.\<sign: Study Block A Roof >\Pretty much all the Battlefront members are already on a team.\We still need another five.\What are you going to do?\Can't you put that broom down?\It looks like a joke even when you're talking seriously. response:	That'll only happen if my concentration breaks.
context: Sorry.\<sign: Study Block A Roof >\Pretty much all the Battlefront members are already on a team.\We still need another five.\What are you going to do?\Can't you put that broom down?\It looks like a joke even when you're talking seriously.\That'll only happen if my concentration breaks. response:	How about this then!
context: <sign: Study Block A Roof >\Pretty much all the Battlefront members are already on a team.\We still need another five.\What are you going to do?\Can't you put that broom down?\It looks like a joke even when you're talking seriously.\That'll only happen if my concentration breaks.\How about this then! response:	What?
context: Pretty much all the Battlefront members are already on a team.\We still need another five.\What are you going to do?\Can't you put that broom down?\It looks like a joke even when you're talking seriously.\That'll only happen if my concentration breaks.\How about this then!\What? response:	What are you doing?
context: We still need another five.\What are you going to do?\Can't you put that broom down?\It looks like a joke even when you're talking seriously.\That'll only happen if my concentration breaks.\How about this then!\What?\What are you doing? response:	Come on, don't fight.
context: What are you going to do?\Can't you put that broom down?\It looks like a joke even when you're talking seriously.\That'll only happen if my concentration breaks.\How about this then!\What?\What are you doing?\Come on, don't fight. response:	Hinata, say somethi
context: Can't you put that broom down?\It looks like a joke even when you're talking seriously.\That'll only happen if my concentration breaks.\How about this then!\What?\What are you doing?\Come on, don't fight.\Hinata, say somethi response:	Hinata?
context: It looks like a joke even when you're talking seriously.\That'll only happen if my concentration breaks.\How about this then!\What?\What are you doing?\Come on, don't fight.\Hinata, say somethi\Hinata? response:	Hinata!
context: That'll only happen if my concentration breaks.\How about this then!\What?\What are you doing?\Come on, don't fight.\Hinata, say somethi\Hinata?\Hinata! response:	What's wrong?
context: How about this then!\What?\What are you doing?\Come on, don't fight.\Hinata, say somethi\Hinata?\Hinata!\What's wrong? response:	It's nothing.
context: What?\What are you doing?\Come on, don't fight.\Hinata, say somethi\Hinata?\Hinata!\What's wrong?\It's nothing. response:	I got lost in my thoughts for a bit.
context: What are you doing?\Come on, don't fight.\Hinata, say somethi\Hinata?\Hinata!\What's wrong?\It's nothing.\I got lost in my thoughts for a bit. response:	I see, no choice then.
context: Come on, don't fight.\Hinata, say somethi\Hinata?\Hinata!\What's wrong?\It's nothing.\I got lost in my thoughts for a bit.\I see, no choice then. response:	Guess we'll go ask the ordinary students.
context: Hinata, say somethi\Hinata?\Hinata!\What's wrong?\It's nothing.\I got lost in my thoughts for a bit.\I see, no choice then.\Guess we'll go ask the ordinary students. response:	Oh! Oh!
context: Hinata?\Hinata!\What's wrong?\It's nothing.\I got lost in my thoughts for a bit.\I see, no choice then.\Guess we'll go ask the ordinary students.\Oh! Oh! response:	I have friends I can ask!
context: Hinata!\What's wrong?\It's nothing.\I got lost in my thoughts for a bit.\I see, no choice then.\Guess we'll go ask the ordinary students.\Oh! Oh!\I have friends I can ask! response:	Friends?
context: What's wrong?\It's nothing.\I got lost in my thoughts for a bit.\I see, no choice then.\Guess we'll go ask the ordinary students.\Oh! Oh!\I have friends I can ask!\Friends? response:	We're um...
context: It's nothing.\I got lost in my thoughts for a bit.\I see, no choice then.\Guess we'll go ask the ordinary students.\Oh! Oh!\I have friends I can ask!\Friends?\We're um... response:	I guess we're Yui - nyan - san's fans...
context: I got lost in my thoughts for a bit.\I see, no choice then.\Guess we'll go ask the ordinary students.\Oh! Oh!\I have friends I can ask!\Friends?\We're um...\I guess we're Yui - nyan - san's fans... response:	Or maybe groupies...
context: I see, no choice then.\Guess we'll go ask the ordinary students.\Oh! Oh!\I have friends I can ask!\Friends?\We're um...\I guess we're Yui - nyan - san's fans...\Or maybe groupies... response:	I've been steadily building up a repertoire of modest street performances.
context: Guess we'll go ask the ordinary students.\Oh! Oh!\I have friends I can ask!\Friends?\We're um...\I guess we're Yui - nyan - san's fans...\Or maybe groupies...\I've been steadily building up a repertoire of modest street performances. response:	So they're all just trying to be trendy?
context: Oh! Oh!\I have friends I can ask!\Friends?\We're um...\I guess we're Yui - nyan - san's fans...\Or maybe groupies...\I've been steadily building up a repertoire of modest street performances.\So they're all just trying to be trendy? response:	Are they going to be useful at all?
context: I have friends I can ask!\Friends?\We're um...\I guess we're Yui - nyan - san's fans...\Or maybe groupies...\I've been steadily building up a repertoire of modest street performances.\So they're all just trying to be trendy?\Are they going to be useful at all? response:	So, we still only have eight people.
context: Friends?\We're um...\I guess we're Yui - nyan - san's fans...\Or maybe groupies...\I've been steadily building up a repertoire of modest street performances.\So they're all just trying to be trendy?\Are they going to be useful at all?\So, we still only have eight people. response:	No choice then.
context: We're um...\I guess we're Yui - nyan - san's fans...\Or maybe groupies...\I've been steadily building up a repertoire of modest street performances.\So they're all just trying to be trendy?\Are they going to be useful at all?\So, we still only have eight people.\No choice then. response:	We'll just go with what we have.
context: I guess we're Yui - nyan - san's fans...\Or maybe groupies...\I've been steadily building up a repertoire of modest street performances.\So they're all just trying to be trendy?\Are they going to be useful at all?\So, we still only have eight people.\No choice then.\We'll just go with what we have. response:	It's going to be guerrilla participation anyway.
context: Or maybe groupies...\I've been steadily building up a repertoire of modest street performances.\So they're all just trying to be trendy?\Are they going to be useful at all?\So, we still only have eight people.\No choice then.\We'll just go with what we have.\It's going to be guerrilla participation anyway. response:	We'll be fine if we leave out center and have right and left cover the middle ground.
context: I've been steadily building up a repertoire of modest street performances.\So they're all just trying to be trendy?\Are they going to be useful at all?\So, we still only have eight people.\No choice then.\We'll just go with what we have.\It's going to be guerrilla participation anyway.\We'll be fine if we leave out center and have right and left cover the middle ground. response:	Are you sure that's okay?
context: So they're all just trying to be trendy?\Are they going to be useful at all?\So, we still only have eight people.\No choice then.\We'll just go with what we have.\It's going to be guerrilla participation anyway.\We'll be fine if we leave out center and have right and left cover the middle ground.\Are you sure that's okay? response:	Home run!
context: Are they going to be useful at all?\So, we still only have eight people.\No choice then.\We'll just go with what we have.\It's going to be guerrilla participation anyway.\We'll be fine if we leave out center and have right and left cover the middle ground.\Are you sure that's okay?\Home run! response:	Wow!
context: So, we still only have eight people.\No choice then.\We'll just go with what we have.\It's going to be guerrilla participation anyway.\We'll be fine if we leave out center and have right and left cover the middle ground.\Are you sure that's okay?\Home run!\Wow! response:	Way to go TK!
context: No choice then.\We'll just go with what we have.\It's going to be guerrilla participation anyway.\We'll be fine if we leave out center and have right and left cover the middle ground.\Are you sure that's okay?\Home run!\Wow!\Way to go TK! response:	It's a total mystery what you were doing before you died!
context: We'll just go with what we have.\It's going to be guerrilla participation anyway.\We'll be fine if we leave out center and have right and left cover the middle ground.\Are you sure that's okay?\Home run!\Wow!\Way to go TK!\It's a total mystery what you were doing before you died! response:	Don't stop dancing!
context: It's going to be guerrilla participation anyway.\We'll be fine if we leave out center and have right and left cover the middle ground.\Are you sure that's okay?\Home run!\Wow!\Way to go TK!\It's a total mystery what you were doing before you died!\Don't stop dancing! response:	Woah! He just got us a point!
context: We'll be fine if we leave out center and have right and left cover the middle ground.\Are you sure that's okay?\Home run!\Wow!\Way to go TK!\It's a total mystery what you were doing before you died!\Don't stop dancing!\Woah! He just got us a point! response:	A good start to our guerrilla operation.
context: Are you sure that's okay?\Home run!\Wow!\Way to go TK!\It's a total mystery what you were doing before you died!\Don't stop dancing!\Woah! He just got us a point!\A good start to our guerrilla operation. response:	Now then, how might Angel be feeling about this?
context: Home run!\Wow!\Way to go TK!\It's a total mystery what you were doing before you died!\Don't stop dancing!\Woah! He just got us a point!\A good start to our guerrilla operation.\Now then, how might Angel be feeling about this? response:	Wow!
context: Wow!\Way to go TK!\It's a total mystery what you were doing before you died!\Don't stop dancing!\Woah! He just got us a point!\A good start to our guerrilla operation.\Now then, how might Angel be feeling about this?\Wow! response:	All of the other Battlefront teams made it through the first round!
context: Way to go TK!\It's a total mystery what you were doing before you died!\Don't stop dancing!\Woah! He just got us a point!\A good start to our guerrilla operation.\Now then, how might Angel be feeling about this?\Wow!\All of the other Battlefront teams made it through the first round! response:	Let's get this over with then.
context: It's a total mystery what you were doing before you died!\Don't stop dancing!\Woah! He just got us a point!\A good start to our guerrilla operation.\Now then, how might Angel be feeling about this?\Wow!\All of the other Battlefront teams made it through the first round!\Let's get this over with then. response:	Again?
context: Don't stop dancing!\Woah! He just got us a point!\A good start to our guerrilla operation.\Now then, how might Angel be feeling about this?\Wow!\All of the other Battlefront teams made it through the first round!\Let's get this over with then.\Again? response:	The team that advances will be the one that beats us.
context: Woah! He just got us a point!\A good start to our guerrilla operation.\Now then, how might Angel be feeling about this?\Wow!\All of the other Battlefront teams made it through the first round!\Let's get this over with then.\Again?\The team that advances will be the one that beats us. response:	Rock - paper - scissors for who goes first.
context: A good start to our guerrilla operation.\Now then, how might Angel be feeling about this?\Wow!\All of the other Battlefront teams made it through the first round!\Let's get this over with then.\Again?\The team that advances will be the one that beats us.\Rock - paper - scissors for who goes first. response:	The number of teams just keeps on increasing...
context: Now then, how might Angel be feeling about this?\Wow!\All of the other Battlefront teams made it through the first round!\Let's get this over with then.\Again?\The team that advances will be the one that beats us.\Rock - paper - scissors for who goes first.\The number of teams just keeps on increasing... response:	Come on, we're also students here!
context: Wow!\All of the other Battlefront teams made it through the first round!\Let's get this over with then.\Again?\The team that advances will be the one that beats us.\Rock - paper - scissors for who goes first.\The number of teams just keeps on increasing...\Come on, we're also students here! response:	Hey, say something!
context: All of the other Battlefront teams made it through the first round!\Let's get this over with then.\Again?\The team that advances will be the one that beats us.\Rock - paper - scissors for who goes first.\The number of teams just keeps on increasing...\Come on, we're also students here!\Hey, say something! response:	Give us everything you got, losers!
context: Let's get this over with then.\Again?\The team that advances will be the one that beats us.\Rock - paper - scissors for who goes first.\The number of teams just keeps on increasing...\Come on, we're also students here!\Hey, say something!\Give us everything you got, losers! response:	What'll you do if they do give us everything?!
context: Again?\The team that advances will be the one that beats us.\Rock - paper - scissors for who goes first.\The number of teams just keeps on increasing...\Come on, we're also students here!\Hey, say something!\Give us everything you got, losers!\What'll you do if they do give us everything?! response:	My joints are leaving their sockets!
context: The team that advances will be the one that beats us.\Rock - paper - scissors for who goes first.\The number of teams just keeps on increasing...\Come on, we're also students here!\Hey, say something!\Give us everything you got, losers!\What'll you do if they do give us everything?!\My joints are leaving their sockets! response:	I won't be able to hit a home run!
context: Rock - paper - scissors for who goes first.\The number of teams just keeps on increasing...\Come on, we're also students here!\Hey, say something!\Give us everything you got, losers!\What'll you do if they do give us everything?!\My joints are leaving their sockets!\I won't be able to hit a home run! response:	No one was expecting you to in the first place!
context: The number of teams just keeps on increasing...\Come on, we're also students here!\Hey, say something!\Give us everything you got, losers!\What'll you do if they do give us everything?!\My joints are leaving their sockets!\I won't be able to hit a home run!\No one was expecting you to in the first place! response:	If we lose here, we're getting a punishment game.
context: Come on, we're also students here!\Hey, say something!\Give us everything you got, losers!\What'll you do if they do give us everything?!\My joints are leaving their sockets!\I won't be able to hit a home run!\No one was expecting you to in the first place!\If we lose here, we're getting a punishment game. response:	We need to give it everything we got.
context: Hey, say something!\Give us everything you got, losers!\What'll you do if they do give us everything?!\My joints are leaving their sockets!\I won't be able to hit a home run!\No one was expecting you to in the first place!\If we lose here, we're getting a punishment game.\We need to give it everything we got. response:	You're up first.
context: Give us everything you got, losers!\What'll you do if they do give us everything?!\My joints are leaving their sockets!\I won't be able to hit a home run!\No one was expecting you to in the first place!\If we lose here, we're getting a punishment game.\We need to give it everything we got.\You're up first. response:	Me?
