context: Instead, let's come up with some amazing gift, and go to New York! response:	It's all-out war...
context: I could hear you.\What do we do, Miria?\She's a formidable opponent.\We are robbers!\Robbers!\She's laughing.\She's laughing, huh?\She was crying just a second ago. response:	It was an abrupt change, huh?
context: What do we do, Miria?\She's a formidable opponent.\We are robbers!\Robbers!\She's laughing.\She's laughing, huh?\She was crying just a second ago.\It was an abrupt change, huh? response:	It's just, you two are so funny.
context: She's a formidable opponent.\We are robbers!\Robbers!\She's laughing.\She's laughing, huh?\She was crying just a second ago.\It was an abrupt change, huh?\It's just, you two are so funny. response:	Then we have no choice.
context: We are robbers!\Robbers!\She's laughing.\She's laughing, huh?\She was crying just a second ago.\It was an abrupt change, huh?\It's just, you two are so funny.\Then we have no choice. response:	No choice, huh?
context: Robbers!\She's laughing.\She's laughing, huh?\She was crying just a second ago.\It was an abrupt change, huh?\It's just, you two are so funny.\Then we have no choice.\No choice, huh? response:	Tell us all about your lover!
context: She's laughing.\She's laughing, huh?\She was crying just a second ago.\It was an abrupt change, huh?\It's just, you two are so funny.\Then we have no choice.\No choice, huh?\Tell us all about your lover! response:	We'll be guidance counselors!
context: She's laughing, huh?\She was crying just a second ago.\It was an abrupt change, huh?\It's just, you two are so funny.\Then we have no choice.\No choice, huh?\Tell us all about your lover!\We'll be guidance counselors! response:	We'll give you good advice!
context: She was crying just a second ago.\It was an abrupt change, huh?\It's just, you two are so funny.\Then we have no choice.\No choice, huh?\Tell us all about your lover!\We'll be guidance counselors!\We'll give you good advice! response:	-We no tellum lie! -We no tellum lie!
context: It was an abrupt change, huh?\It's just, you two are so funny.\Then we have no choice.\No choice, huh?\Tell us all about your lover!\We'll be guidance counselors!\We'll give you good advice!\-We no tellum lie! -We no tellum lie! response:	Well?
context: It's just, you two are so funny.\Then we have no choice.\No choice, huh?\Tell us all about your lover!\We'll be guidance counselors!\We'll give you good advice!\-We no tellum lie! -We no tellum lie!\Well? response:	There were two lookouts.
context: Then we have no choice.\No choice, huh?\Tell us all about your lover!\We'll be guidance counselors!\We'll give you good advice!\-We no tellum lie! -We no tellum lie!\Well?\There were two lookouts. response:	Both of them had machine guns. And...
context: No choice, huh?\Tell us all about your lover!\We'll be guidance counselors!\We'll give you good advice!\-We no tellum lie! -We no tellum lie!\Well?\There were two lookouts.\Both of them had machine guns. And... response:	everyone who was around us has disappeared.
context: Tell us all about your lover!\We'll be guidance counselors!\We'll give you good advice!\-We no tellum lie! -We no tellum lie!\Well?\There were two lookouts.\Both of them had machine guns. And...\everyone who was around us has disappeared. response:	Isaac- san, Miria- san, Czes- kun, Mary- chan, Beriam- san...
context: We'll be guidance counselors!\We'll give you good advice!\-We no tellum lie! -We no tellum lie!\Well?\There were two lookouts.\Both of them had machine guns. And...\everyone who was around us has disappeared.\Isaac- san, Miria- san, Czes- kun, Mary- chan, Beriam- san... response:	They're all gone.
context: We'll give you good advice!\-We no tellum lie! -We no tellum lie!\Well?\There were two lookouts.\Both of them had machine guns. And...\everyone who was around us has disappeared.\Isaac- san, Miria- san, Czes- kun, Mary- chan, Beriam- san...\They're all gone. response:	Oh, no...
context: -We no tellum lie! -We no tellum lie!\Well?\There were two lookouts.\Both of them had machine guns. And...\everyone who was around us has disappeared.\Isaac- san, Miria- san, Czes- kun, Mary- chan, Beriam- san...\They're all gone.\Oh, no... response:	They could have been taken somewhere.
context: Well?\There were two lookouts.\Both of them had machine guns. And...\everyone who was around us has disappeared.\Isaac- san, Miria- san, Czes- kun, Mary- chan, Beriam- san...\They're all gone.\Oh, no...\They could have been taken somewhere. response:	We have to find them.
context: There were two lookouts.\Both of them had machine guns. And...\everyone who was around us has disappeared.\Isaac- san, Miria- san, Czes- kun, Mary- chan, Beriam- san...\They're all gone.\Oh, no...\They could have been taken somewhere.\We have to find them. response:	Nice, you and Nick take the roof and head to the dining car.
context: Both of them had machine guns. And...\everyone who was around us has disappeared.\Isaac- san, Miria- san, Czes- kun, Mary- chan, Beriam- san...\They're all gone.\Oh, no...\They could have been taken somewhere.\We have to find them.\Nice, you and Nick take the roof and head to the dining car. response:	Donny, you're with me.
context: everyone who was around us has disappeared.\Isaac- san, Miria- san, Czes- kun, Mary- chan, Beriam- san...\They're all gone.\Oh, no...\They could have been taken somewhere.\We have to find them.\Nice, you and Nick take the roof and head to the dining car.\Donny, you're with me. response:	Nice, I'll be coming back here for sure, so don't overdo anything.
context: Isaac- san, Miria- san, Czes- kun, Mary- chan, Beriam- san...\They're all gone.\Oh, no...\They could have been taken somewhere.\We have to find them.\Nice, you and Nick take the roof and head to the dining car.\Donny, you're with me.\Nice, I'll be coming back here for sure, so don't overdo anything. response:	-Eh? Your brother?! -Eh? Your brother?!
context: They're all gone.\Oh, no...\They could have been taken somewhere.\We have to find them.\Nice, you and Nick take the roof and head to the dining car.\Donny, you're with me.\Nice, I'll be coming back here for sure, so don't overdo anything.\-Eh? Your brother?! -Eh? Your brother?! response:	Yes.
context: Oh, no...\They could have been taken somewhere.\We have to find them.\Nice, you and Nick take the roof and head to the dining car.\Donny, you're with me.\Nice, I'll be coming back here for sure, so don't overdo anything.\-Eh? Your brother?! -Eh? Your brother?!\Yes. response:	My Big Brother Dallas is really very kind at heart.
context: They could have been taken somewhere.\We have to find them.\Nice, you and Nick take the roof and head to the dining car.\Donny, you're with me.\Nice, I'll be coming back here for sure, so don't overdo anything.\-Eh? Your brother?! -Eh? Your brother?!\Yes.\My Big Brother Dallas is really very kind at heart. response:	But lately, he's been acting a little violent, and doesn't come home much.
context: We have to find them.\Nice, you and Nick take the roof and head to the dining car.\Donny, you're with me.\Nice, I'll be coming back here for sure, so don't overdo anything.\-Eh? Your brother?! -Eh? Your brother?!\Yes.\My Big Brother Dallas is really very kind at heart.\But lately, he's been acting a little violent, and doesn't come home much. response:	She says he's been violent.
context: Nice, you and Nick take the roof and head to the dining car.\Donny, you're with me.\Nice, I'll be coming back here for sure, so don't overdo anything.\-Eh? Your brother?! -Eh? Your brother?!\Yes.\My Big Brother Dallas is really very kind at heart.\But lately, he's been acting a little violent, and doesn't come home much.\She says he's been violent. response:	A juvenile delinquent, huh?
context: Donny, you're with me.\Nice, I'll be coming back here for sure, so don't overdo anything.\-Eh? Your brother?! -Eh? Your brother?!\Yes.\My Big Brother Dallas is really very kind at heart.\But lately, he's been acting a little violent, and doesn't come home much.\She says he's been violent.\A juvenile delinquent, huh? response:	But why?
context: Nice, I'll be coming back here for sure, so don't overdo anything.\-Eh? Your brother?! -Eh? Your brother?!\Yes.\My Big Brother Dallas is really very kind at heart.\But lately, he's been acting a little violent, and doesn't come home much.\She says he's been violent.\A juvenile delinquent, huh?\But why? response:	Our family, you see, is wealthy.
context: -Eh? Your brother?! -Eh? Your brother?!\Yes.\My Big Brother Dallas is really very kind at heart.\But lately, he's been acting a little violent, and doesn't come home much.\She says he's been violent.\A juvenile delinquent, huh?\But why?\Our family, you see, is wealthy. response:	That's good, isn't it?
context: Yes.\My Big Brother Dallas is really very kind at heart.\But lately, he's been acting a little violent, and doesn't come home much.\She says he's been violent.\A juvenile delinquent, huh?\But why?\Our family, you see, is wealthy.\That's good, isn't it? response:	It is good!
context: My Big Brother Dallas is really very kind at heart.\But lately, he's been acting a little violent, and doesn't come home much.\She says he's been violent.\A juvenile delinquent, huh?\But why?\Our family, you see, is wealthy.\That's good, isn't it?\It is good! response:	No, it isn't.
context: But lately, he's been acting a little violent, and doesn't come home much.\She says he's been violent.\A juvenile delinquent, huh?\But why?\Our family, you see, is wealthy.\That's good, isn't it?\It is good!\No, it isn't. response:	Perhaps because my family has been so blessed,
context: She says he's been violent.\A juvenile delinquent, huh?\But why?\Our family, you see, is wealthy.\That's good, isn't it?\It is good!\No, it isn't.\Perhaps because my family has been so blessed, response:	people only keep superficial company with us,
context: A juvenile delinquent, huh?\But why?\Our family, you see, is wealthy.\That's good, isn't it?\It is good!\No, it isn't.\Perhaps because my family has been so blessed,\people only keep superficial company with us, response:	and what they say and what they think are two separate things.
context: But why?\Our family, you see, is wealthy.\That's good, isn't it?\It is good!\No, it isn't.\Perhaps because my family has been so blessed,\people only keep superficial company with us,\and what they say and what they think are two separate things. response:	We saw a lot of things that we didn't want to,
context: Our family, you see, is wealthy.\That's good, isn't it?\It is good!\No, it isn't.\Perhaps because my family has been so blessed,\people only keep superficial company with us,\and what they say and what they think are two separate things.\We saw a lot of things that we didn't want to, response:	and that's probably why my brother...
context: That's good, isn't it?\It is good!\No, it isn't.\Perhaps because my family has been so blessed,\people only keep superficial company with us,\and what they say and what they think are two separate things.\We saw a lot of things that we didn't want to,\and that's probably why my brother... response:	That's a hard one, huh?
context: It is good!\No, it isn't.\Perhaps because my family has been so blessed,\people only keep superficial company with us,\and what they say and what they think are two separate things.\We saw a lot of things that we didn't want to,\and that's probably why my brother...\That's a hard one, huh? response:	A real poser.
context: No, it isn't.\Perhaps because my family has been so blessed,\people only keep superficial company with us,\and what they say and what they think are two separate things.\We saw a lot of things that we didn't want to,\and that's probably why my brother...\That's a hard one, huh?\A real poser. response:	What should she do?
context: Perhaps because my family has been so blessed,\people only keep superficial company with us,\and what they say and what they think are two separate things.\We saw a lot of things that we didn't want to,\and that's probably why my brother...\That's a hard one, huh?\A real poser.\What should she do? response:	If that's the case, what if you weren't rich anymore?
context: people only keep superficial company with us,\and what they say and what they think are two separate things.\We saw a lot of things that we didn't want to,\and that's probably why my brother...\That's a hard one, huh?\A real poser.\What should she do?\If that's the case, what if you weren't rich anymore? response:	If that happened, you wouldn't have to see that icky stuff anymore!
context: and what they say and what they think are two separate things.\We saw a lot of things that we didn't want to,\and that's probably why my brother...\That's a hard one, huh?\A real poser.\What should she do?\If that's the case, what if you weren't rich anymore?\If that happened, you wouldn't have to see that icky stuff anymore! response:	That was simple!
context: We saw a lot of things that we didn't want to,\and that's probably why my brother...\That's a hard one, huh?\A real poser.\What should she do?\If that's the case, what if you weren't rich anymore?\If that happened, you wouldn't have to see that icky stuff anymore!\That was simple! response:	All right!
context: and that's probably why my brother...\That's a hard one, huh?\A real poser.\What should she do?\If that's the case, what if you weren't rich anymore?\If that happened, you wouldn't have to see that icky stuff anymore!\That was simple!\All right! response:	Excuse us a minute.
context: That's a hard one, huh?\A real poser.\What should she do?\If that's the case, what if you weren't rich anymore?\If that happened, you wouldn't have to see that icky stuff anymore!\That was simple!\All right!\Excuse us a minute. response:	Excuse us.
context: A real poser.\What should she do?\If that's the case, what if you weren't rich anymore?\If that happened, you wouldn't have to see that icky stuff anymore!\That was simple!\All right!\Excuse us a minute.\Excuse us. response:	-Keep excusing us. -Keep excusing us.
context: What should she do?\If that's the case, what if you weren't rich anymore?\If that happened, you wouldn't have to see that icky stuff anymore!\That was simple!\All right!\Excuse us a minute.\Excuse us.\-Keep excusing us. -Keep excusing us. response:	What is the meaning of this, Miria?
context: If that's the case, what if you weren't rich anymore?\If that happened, you wouldn't have to see that icky stuff anymore!\That was simple!\All right!\Excuse us a minute.\Excuse us.\-Keep excusing us. -Keep excusing us.\What is the meaning of this, Miria? response:	It's a mystery, huh?
context: If that happened, you wouldn't have to see that icky stuff anymore!\That was simple!\All right!\Excuse us a minute.\Excuse us.\-Keep excusing us. -Keep excusing us.\What is the meaning of this, Miria?\It's a mystery, huh? response:	Is it the Rail Tracer?
context: That was simple!\All right!\Excuse us a minute.\Excuse us.\-Keep excusing us. -Keep excusing us.\What is the meaning of this, Miria?\It's a mystery, huh?\Is it the Rail Tracer? response:	It's a horror!
context: All right!\Excuse us a minute.\Excuse us.\-Keep excusing us. -Keep excusing us.\What is the meaning of this, Miria?\It's a mystery, huh?\Is it the Rail Tracer?\It's a horror! response:	Where is Jacuzzi?
context: Excuse us a minute.\Excuse us.\-Keep excusing us. -Keep excusing us.\What is the meaning of this, Miria?\It's a mystery, huh?\Is it the Rail Tracer?\It's a horror!\Where is Jacuzzi? response:	What do we do? What if he's already been eaten?
context: Excuse us.\-Keep excusing us. -Keep excusing us.\What is the meaning of this, Miria?\It's a mystery, huh?\Is it the Rail Tracer?\It's a horror!\Where is Jacuzzi?\What do we do? What if he's already been eaten? response:	I-It's all right, I tell you!
context: -Keep excusing us. -Keep excusing us.\What is the meaning of this, Miria?\It's a mystery, huh?\Is it the Rail Tracer?\It's a horror!\Where is Jacuzzi?\What do we do? What if he's already been eaten?\I-It's all right, I tell you! response:	Since his body isn't here,
context: What is the meaning of this, Miria?\It's a mystery, huh?\Is it the Rail Tracer?\It's a horror!\Where is Jacuzzi?\What do we do? What if he's already been eaten?\I-It's all right, I tell you!\Since his body isn't here, response:	it could mean that he was swallowed up by the monster.
context: It's a mystery, huh?\Is it the Rail Tracer?\It's a horror!\Where is Jacuzzi?\What do we do? What if he's already been eaten?\I-It's all right, I tell you!\Since his body isn't here,\it could mean that he was swallowed up by the monster. response:	That means he's still alive inside its stomach.
context: Is it the Rail Tracer?\It's a horror!\Where is Jacuzzi?\What do we do? What if he's already been eaten?\I-It's all right, I tell you!\Since his body isn't here,\it could mean that he was swallowed up by the monster.\That means he's still alive inside its stomach. response:	He was swallowed whole, then? Ah, thank goodness.
context: It's a horror!\Where is Jacuzzi?\What do we do? What if he's already been eaten?\I-It's all right, I tell you!\Since his body isn't here,\it could mean that he was swallowed up by the monster.\That means he's still alive inside its stomach.\He was swallowed whole, then? Ah, thank goodness. response:	He was swallowed whole?!
context: Where is Jacuzzi?\What do we do? What if he's already been eaten?\I-It's all right, I tell you!\Since his body isn't here,\it could mean that he was swallowed up by the monster.\That means he's still alive inside its stomach.\He was swallowed whole, then? Ah, thank goodness.\He was swallowed whole?! response:	Swallowed whole!
context: What do we do? What if he's already been eaten?\I-It's all right, I tell you!\Since his body isn't here,\it could mean that he was swallowed up by the monster.\That means he's still alive inside its stomach.\He was swallowed whole, then? Ah, thank goodness.\He was swallowed whole?!\Swallowed whole! response:	He's been gobbled up!
context: I-It's all right, I tell you!\Since his body isn't here,\it could mean that he was swallowed up by the monster.\That means he's still alive inside its stomach.\He was swallowed whole, then? Ah, thank goodness.\He was swallowed whole?!\Swallowed whole!\He's been gobbled up! response:	But, but, we don't know where the guy who ate Jacuzzi is!
context: Since his body isn't here,\it could mean that he was swallowed up by the monster.\That means he's still alive inside its stomach.\He was swallowed whole, then? Ah, thank goodness.\He was swallowed whole?!\Swallowed whole!\He's been gobbled up!\But, but, we don't know where the guy who ate Jacuzzi is! response:	Yeah, that's okay. As long as it's still aboard this train,
context: it could mean that he was swallowed up by the monster.\That means he's still alive inside its stomach.\He was swallowed whole, then? Ah, thank goodness.\He was swallowed whole?!\Swallowed whole!\He's been gobbled up!\But, but, we don't know where the guy who ate Jacuzzi is!\Yeah, that's okay. As long as it's still aboard this train, response:	it means we're still together with Jacuzzi!
context: That means he's still alive inside its stomach.\He was swallowed whole, then? Ah, thank goodness.\He was swallowed whole?!\Swallowed whole!\He's been gobbled up!\But, but, we don't know where the guy who ate Jacuzzi is!\Yeah, that's okay. As long as it's still aboard this train,\it means we're still together with Jacuzzi! response:	Mm-hmm... he still lives on in our hearts, huh?
context: He was swallowed whole, then? Ah, thank goodness.\He was swallowed whole?!\Swallowed whole!\He's been gobbled up!\But, but, we don't know where the guy who ate Jacuzzi is!\Yeah, that's okay. As long as it's still aboard this train,\it means we're still together with Jacuzzi!\Mm-hmm... he still lives on in our hearts, huh? response:	Miria- san!
context: He was swallowed whole?!\Swallowed whole!\He's been gobbled up!\But, but, we don't know where the guy who ate Jacuzzi is!\Yeah, that's okay. As long as it's still aboard this train,\it means we're still together with Jacuzzi!\Mm-hmm... he still lives on in our hearts, huh?\Miria- san! response:	He really was a great guy... a great guy!
context: Swallowed whole!\He's been gobbled up!\But, but, we don't know where the guy who ate Jacuzzi is!\Yeah, that's okay. As long as it's still aboard this train,\it means we're still together with Jacuzzi!\Mm-hmm... he still lives on in our hearts, huh?\Miria- san!\He really was a great guy... a great guy! response:	Are you all right?!
context: He's been gobbled up!\But, but, we don't know where the guy who ate Jacuzzi is!\Yeah, that's okay. As long as it's still aboard this train,\it means we're still together with Jacuzzi!\Mm-hmm... he still lives on in our hearts, huh?\Miria- san!\He really was a great guy... a great guy!\Are you all right?! response:	Jacuzzi, up in heaven, thank you.
context: But, but, we don't know where the guy who ate Jacuzzi is!\Yeah, that's okay. As long as it's still aboard this train,\it means we're still together with Jacuzzi!\Mm-hmm... he still lives on in our hearts, huh?\Miria- san!\He really was a great guy... a great guy!\Are you all right?!\Jacuzzi, up in heaven, thank you. response:	Isaac- san!
context: Yeah, that's okay. As long as it's still aboard this train,\it means we're still together with Jacuzzi!\Mm-hmm... he still lives on in our hearts, huh?\Miria- san!\He really was a great guy... a great guy!\Are you all right?!\Jacuzzi, up in heaven, thank you.\Isaac- san! response:	Yeah, his voice, calling out to me like that...
context: it means we're still together with Jacuzzi!\Mm-hmm... he still lives on in our hearts, huh?\Miria- san!\He really was a great guy... a great guy!\Are you all right?!\Jacuzzi, up in heaven, thank you.\Isaac- san!\Yeah, his voice, calling out to me like that... response:	is something I'll never be able to hear...
context: Mm-hmm... he still lives on in our hearts, huh?\Miria- san!\He really was a great guy... a great guy!\Are you all right?!\Jacuzzi, up in heaven, thank you.\Isaac- san!\Yeah, his voice, calling out to me like that...\is something I'll never be able to hear... response:	T-Thank goodness, you're both still safe!
context: Miria- san!\He really was a great guy... a great guy!\Are you all right?!\Jacuzzi, up in heaven, thank you.\Isaac- san!\Yeah, his voice, calling out to me like that...\is something I'll never be able to hear...\T-Thank goodness, you're both still safe! response:	W-We're glad you're safe, Jacuzzi!
context: He really was a great guy... a great guy!\Are you all right?!\Jacuzzi, up in heaven, thank you.\Isaac- san!\Yeah, his voice, calling out to me like that...\is something I'll never be able to hear...\T-Thank goodness, you're both still safe!\W-We're glad you're safe, Jacuzzi! response:	You got out of its stomach, huh, Jacuzzi?
context: Are you all right?!\Jacuzzi, up in heaven, thank you.\Isaac- san!\Yeah, his voice, calling out to me like that...\is something I'll never be able to hear...\T-Thank goodness, you're both still safe!\W-We're glad you're safe, Jacuzzi!\You got out of its stomach, huh, Jacuzzi? response:	S-Stomach?
context: Jacuzzi, up in heaven, thank you.\Isaac- san!\Yeah, his voice, calling out to me like that...\is something I'll never be able to hear...\T-Thank goodness, you're both still safe!\W-We're glad you're safe, Jacuzzi!\You got out of its stomach, huh, Jacuzzi?\S-Stomach? response:	F-First thing we should do is leave this room and go to the freight hold.
context: Isaac- san!\Yeah, his voice, calling out to me like that...\is something I'll never be able to hear...\T-Thank goodness, you're both still safe!\W-We're glad you're safe, Jacuzzi!\You got out of its stomach, huh, Jacuzzi?\S-Stomach?\F-First thing we should do is leave this room and go to the freight hold. response:	All right, let's go!
context: Yeah, his voice, calling out to me like that...\is something I'll never be able to hear...\T-Thank goodness, you're both still safe!\W-We're glad you're safe, Jacuzzi!\You got out of its stomach, huh, Jacuzzi?\S-Stomach?\F-First thing we should do is leave this room and go to the freight hold.\All right, let's go! response:	So that's it. I get you.
context: is something I'll never be able to hear...\T-Thank goodness, you're both still safe!\W-We're glad you're safe, Jacuzzi!\You got out of its stomach, huh, Jacuzzi?\S-Stomach?\F-First thing we should do is leave this room and go to the freight hold.\All right, let's go!\So that's it. I get you. response:	This train is now
context: T-Thank goodness, you're both still safe!\W-We're glad you're safe, Jacuzzi!\You got out of its stomach, huh, Jacuzzi?\S-Stomach?\F-First thing we should do is leave this room and go to the freight hold.\All right, let's go!\So that's it. I get you.\This train is now response:	The Annals of the Three Kingdoms.
context: W-We're glad you're safe, Jacuzzi!\You got out of its stomach, huh, Jacuzzi?\S-Stomach?\F-First thing we should do is leave this room and go to the freight hold.\All right, let's go!\So that's it. I get you.\This train is now\The Annals of the Three Kingdoms. response:	T-The Annals of the Three Kingdoms?
context: You got out of its stomach, huh, Jacuzzi?\S-Stomach?\F-First thing we should do is leave this room and go to the freight hold.\All right, let's go!\So that's it. I get you.\This train is now\The Annals of the Three Kingdoms.\T-The Annals of the Three Kingdoms? response:	What are the Annals of the Three Kingdoms?
context: S-Stomach?\F-First thing we should do is leave this room and go to the freight hold.\All right, let's go!\So that's it. I get you.\This train is now\The Annals of the Three Kingdoms.\T-The Annals of the Three Kingdoms?\What are the Annals of the Three Kingdoms? response:	The Annals of the Three Kingdoms is a famous history of China.
context: F-First thing we should do is leave this room and go to the freight hold.\All right, let's go!\So that's it. I get you.\This train is now\The Annals of the Three Kingdoms.\T-The Annals of the Three Kingdoms?\What are the Annals of the Three Kingdoms?\The Annals of the Three Kingdoms is a famous history of China. response:	It's a story about these great samurai
context: All right, let's go!\So that's it. I get you.\This train is now\The Annals of the Three Kingdoms.\T-The Annals of the Three Kingdoms?\What are the Annals of the Three Kingdoms?\The Annals of the Three Kingdoms is a famous history of China.\It's a story about these great samurai response:	who divide the land in three, and feud with each other.
context: So that's it. I get you.\This train is now\The Annals of the Three Kingdoms.\T-The Annals of the Three Kingdoms?\What are the Annals of the Three Kingdoms?\The Annals of the Three Kingdoms is a famous history of China.\It's a story about these great samurai\who divide the land in three, and feud with each other. response:	-Go on. -Go on.
context: This train is now\The Annals of the Three Kingdoms.\T-The Annals of the Three Kingdoms?\What are the Annals of the Three Kingdoms?\The Annals of the Three Kingdoms is a famous history of China.\It's a story about these great samurai\who divide the land in three, and feud with each other.\-Go on. -Go on. response:	As I recall, they were Cao Cao, Liu Bei, and Hokusai.
context: The Annals of the Three Kingdoms.\T-The Annals of the Three Kingdoms?\What are the Annals of the Three Kingdoms?\The Annals of the Three Kingdoms is a famous history of China.\It's a story about these great samurai\who divide the land in three, and feud with each other.\-Go on. -Go on.\As I recall, they were Cao Cao, Liu Bei, and Hokusai. response:	They are often likened to the snake, the slug, and the frog, huh?
context: T-The Annals of the Three Kingdoms?\What are the Annals of the Three Kingdoms?\The Annals of the Three Kingdoms is a famous history of China.\It's a story about these great samurai\who divide the land in three, and feud with each other.\-Go on. -Go on.\As I recall, they were Cao Cao, Liu Bei, and Hokusai.\They are often likened to the snake, the slug, and the frog, huh? response:	Slug?
context: What are the Annals of the Three Kingdoms?\The Annals of the Three Kingdoms is a famous history of China.\It's a story about these great samurai\who divide the land in three, and feud with each other.\-Go on. -Go on.\As I recall, they were Cao Cao, Liu Bei, and Hokusai.\They are often likened to the snake, the slug, and the frog, huh?\Slug? response:	So you see, Jacuzzi, you have to be Yoshitsune!
context: The Annals of the Three Kingdoms is a famous history of China.\It's a story about these great samurai\who divide the land in three, and feud with each other.\-Go on. -Go on.\As I recall, they were Cao Cao, Liu Bei, and Hokusai.\They are often likened to the snake, the slug, and the frog, huh?\Slug?\So you see, Jacuzzi, you have to be Yoshitsune! response:	Be him!
context: It's a story about these great samurai\who divide the land in three, and feud with each other.\-Go on. -Go on.\As I recall, they were Cao Cao, Liu Bei, and Hokusai.\They are often likened to the snake, the slug, and the frog, huh?\Slug?\So you see, Jacuzzi, you have to be Yoshitsune!\Be him! response:	M-Me, be someone that great?
context: who divide the land in three, and feud with each other.\-Go on. -Go on.\As I recall, they were Cao Cao, Liu Bei, and Hokusai.\They are often likened to the snake, the slug, and the frog, huh?\Slug?\So you see, Jacuzzi, you have to be Yoshitsune!\Be him!\M-Me, be someone that great? response:	You can do it!
context: -Go on. -Go on.\As I recall, they were Cao Cao, Liu Bei, and Hokusai.\They are often likened to the snake, the slug, and the frog, huh?\Slug?\So you see, Jacuzzi, you have to be Yoshitsune!\Be him!\M-Me, be someone that great?\You can do it! response:	I-I was planning to make sure all the passengers are saved,
context: As I recall, they were Cao Cao, Liu Bei, and Hokusai.\They are often likened to the snake, the slug, and the frog, huh?\Slug?\So you see, Jacuzzi, you have to be Yoshitsune!\Be him!\M-Me, be someone that great?\You can do it!\I-I was planning to make sure all the passengers are saved, response:	and to defeat the black suits and the Russo guys.
context: They are often likened to the snake, the slug, and the frog, huh?\Slug?\So you see, Jacuzzi, you have to be Yoshitsune!\Be him!\M-Me, be someone that great?\You can do it!\I-I was planning to make sure all the passengers are saved,\and to defeat the black suits and the Russo guys. response:	But I'm not all that outstanding a person.
context: Slug?\So you see, Jacuzzi, you have to be Yoshitsune!\Be him!\M-Me, be someone that great?\You can do it!\I-I was planning to make sure all the passengers are saved,\and to defeat the black suits and the Russo guys.\But I'm not all that outstanding a person. response:	I make liquor, and just yesterday, I killed three men.
context: So you see, Jacuzzi, you have to be Yoshitsune!\Be him!\M-Me, be someone that great?\You can do it!\I-I was planning to make sure all the passengers are saved,\and to defeat the black suits and the Russo guys.\But I'm not all that outstanding a person.\I make liquor, and just yesterday, I killed three men. response:	-Killed?! -Killed?!
context: Be him!\M-Me, be someone that great?\You can do it!\I-I was planning to make sure all the passengers are saved,\and to defeat the black suits and the Russo guys.\But I'm not all that outstanding a person.\I make liquor, and just yesterday, I killed three men.\-Killed?! -Killed?! response:	No! We're the ones who killed them! It wasn't you, Jacuzzi!
context: M-Me, be someone that great?\You can do it!\I-I was planning to make sure all the passengers are saved,\and to defeat the black suits and the Russo guys.\But I'm not all that outstanding a person.\I make liquor, and just yesterday, I killed three men.\-Killed?! -Killed?!\No! We're the ones who killed them! It wasn't you, Jacuzzi! response:	It's the same difference.
context: You can do it!\I-I was planning to make sure all the passengers are saved,\and to defeat the black suits and the Russo guys.\But I'm not all that outstanding a person.\I make liquor, and just yesterday, I killed three men.\-Killed?! -Killed?!\No! We're the ones who killed them! It wasn't you, Jacuzzi!\It's the same difference. response:	We had eight of our friends killed by the Russo Family.
context: I-I was planning to make sure all the passengers are saved,\and to defeat the black suits and the Russo guys.\But I'm not all that outstanding a person.\I make liquor, and just yesterday, I killed three men.\-Killed?! -Killed?!\No! We're the ones who killed them! It wasn't you, Jacuzzi!\It's the same difference.\We had eight of our friends killed by the Russo Family. response:	-Killed?! -Killed?!
context: and to defeat the black suits and the Russo guys.\But I'm not all that outstanding a person.\I make liquor, and just yesterday, I killed three men.\-Killed?! -Killed?!\No! We're the ones who killed them! It wasn't you, Jacuzzi!\It's the same difference.\We had eight of our friends killed by the Russo Family.\-Killed?! -Killed?! response:	S-So I lost my temper, and robbed 18 of the Russo Family's shops.
context: But I'm not all that outstanding a person.\I make liquor, and just yesterday, I killed three men.\-Killed?! -Killed?!\No! We're the ones who killed them! It wasn't you, Jacuzzi!\It's the same difference.\We had eight of our friends killed by the Russo Family.\-Killed?! -Killed?!\S-So I lost my temper, and robbed 18 of the Russo Family's shops. response:	E-Eighteen?!
context: I make liquor, and just yesterday, I killed three men.\-Killed?! -Killed?!\No! We're the ones who killed them! It wasn't you, Jacuzzi!\It's the same difference.\We had eight of our friends killed by the Russo Family.\-Killed?! -Killed?!\S-So I lost my temper, and robbed 18 of the Russo Family's shops.\E-Eighteen?! response:	That must have taken all month!
context: -Killed?! -Killed?!\No! We're the ones who killed them! It wasn't you, Jacuzzi!\It's the same difference.\We had eight of our friends killed by the Russo Family.\-Killed?! -Killed?!\S-So I lost my temper, and robbed 18 of the Russo Family's shops.\E-Eighteen?!\That must have taken all month! response:	N-No, one day!
context: No! We're the ones who killed them! It wasn't you, Jacuzzi!\It's the same difference.\We had eight of our friends killed by the Russo Family.\-Killed?! -Killed?!\S-So I lost my temper, and robbed 18 of the Russo Family's shops.\E-Eighteen?!\That must have taken all month!\N-No, one day! response:	-One day?! -One day?!
context: It's the same difference.\We had eight of our friends killed by the Russo Family.\-Killed?! -Killed?!\S-So I lost my temper, and robbed 18 of the Russo Family's shops.\E-Eighteen?!\That must have taken all month!\N-No, one day!\-One day?! -One day?! response:	Jacuzzi was ten times more fearsome than usual.
context: We had eight of our friends killed by the Russo Family.\-Killed?! -Killed?!\S-So I lost my temper, and robbed 18 of the Russo Family's shops.\E-Eighteen?!\That must have taken all month!\N-No, one day!\-One day?! -One day?!\Jacuzzi was ten times more fearsome than usual. response:	And he also cried a hundred times more than usual.
