context: I see. response:	You wish to withdraw your investment in the research in question?
context: Wh-Who are you?\Huh? M-Me?\I'm John.\John?\Um... who are you?\I'm Mari.\Hey, where am I?\Huh? The master's laboratory. response:	Master?
context: Huh? M-Me?\I'm John.\John?\Um... who are you?\I'm Mari.\Hey, where am I?\Huh? The master's laboratory.\Master? response:	Yeah, Dr. Benjamin Franklin. Do you know him?
context: I'm John.\John?\Um... who are you?\I'm Mari.\Hey, where am I?\Huh? The master's laboratory.\Master?\Yeah, Dr. Benjamin Franklin. Do you know him? response:	Benjamin Franklin?
context: John?\Um... who are you?\I'm Mari.\Hey, where am I?\Huh? The master's laboratory.\Master?\Yeah, Dr. Benjamin Franklin. Do you know him?\Benjamin Franklin? response:	I see... I'm back in time again.
context: Um... who are you?\I'm Mari.\Hey, where am I?\Huh? The master's laboratory.\Master?\Yeah, Dr. Benjamin Franklin. Do you know him?\Benjamin Franklin?\I see... I'm back in time again. response:	John! Sorry I'm late!
context: I'm Mari.\Hey, where am I?\Huh? The master's laboratory.\Master?\Yeah, Dr. Benjamin Franklin. Do you know him?\Benjamin Franklin?\I see... I'm back in time again.\John! Sorry I'm late! response:	Wow, it's really coming down out there.
context: Hey, where am I?\Huh? The master's laboratory.\Master?\Yeah, Dr. Benjamin Franklin. Do you know him?\Benjamin Franklin?\I see... I'm back in time again.\John! Sorry I'm late!\Wow, it's really coming down out there. response:	Master!
context: Huh? The master's laboratory.\Master?\Yeah, Dr. Benjamin Franklin. Do you know him?\Benjamin Franklin?\I see... I'm back in time again.\John! Sorry I'm late!\Wow, it's really coming down out there.\Master! response:	Master?
context: Master?\Yeah, Dr. Benjamin Franklin. Do you know him?\Benjamin Franklin?\I see... I'm back in time again.\John! Sorry I'm late!\Wow, it's really coming down out there.\Master!\Master? response:	I've discovered a beautiful girl!
context: Yeah, Dr. Benjamin Franklin. Do you know him?\Benjamin Franklin?\I see... I'm back in time again.\John! Sorry I'm late!\Wow, it's really coming down out there.\Master!\Master?\I've discovered a beautiful girl! response:	A pleasure to meet you. I am Benjamin Franklin.
context: Benjamin Franklin?\I see... I'm back in time again.\John! Sorry I'm late!\Wow, it's really coming down out there.\Master!\Master?\I've discovered a beautiful girl!\A pleasure to meet you. I am Benjamin Franklin. response:	Huh? You?!
context: I see... I'm back in time again.\John! Sorry I'm late!\Wow, it's really coming down out there.\Master!\Master?\I've discovered a beautiful girl!\A pleasure to meet you. I am Benjamin Franklin.\Huh? You?! response:	What's wrong? Dazzled by my good looks?
context: John! Sorry I'm late!\Wow, it's really coming down out there.\Master!\Master?\I've discovered a beautiful girl!\A pleasure to meet you. I am Benjamin Franklin.\Huh? You?!\What's wrong? Dazzled by my good looks? response:	That's not it!
context: Wow, it's really coming down out there.\Master!\Master?\I've discovered a beautiful girl!\A pleasure to meet you. I am Benjamin Franklin.\Huh? You?!\What's wrong? Dazzled by my good looks?\That's not it! response:	No need to be shy!
context: Master!\Master?\I've discovered a beautiful girl!\A pleasure to meet you. I am Benjamin Franklin.\Huh? You?!\What's wrong? Dazzled by my good looks?\That's not it!\No need to be shy! response:	I'm not shy!
context: Master?\I've discovered a beautiful girl!\A pleasure to meet you. I am Benjamin Franklin.\Huh? You?!\What's wrong? Dazzled by my good looks?\That's not it!\No need to be shy!\I'm not shy! response:	Well, maybe I'll show you an interesting experiment
context: I've discovered a beautiful girl!\A pleasure to meet you. I am Benjamin Franklin.\Huh? You?!\What's wrong? Dazzled by my good looks?\That's not it!\No need to be shy!\I'm not shy!\Well, maybe I'll show you an interesting experiment response:	that'll unravel your heart a bit.
context: A pleasure to meet you. I am Benjamin Franklin.\Huh? You?!\What's wrong? Dazzled by my good looks?\That's not it!\No need to be shy!\I'm not shy!\Well, maybe I'll show you an interesting experiment\that'll unravel your heart a bit. response:	Are you even listening to me?!
context: Huh? You?!\What's wrong? Dazzled by my good looks?\That's not it!\No need to be shy!\I'm not shy!\Well, maybe I'll show you an interesting experiment\that'll unravel your heart a bit.\Are you even listening to me?! response:	Sure!
context: What's wrong? Dazzled by my good looks?\That's not it!\No need to be shy!\I'm not shy!\Well, maybe I'll show you an interesting experiment\that'll unravel your heart a bit.\Are you even listening to me?!\Sure! response:	But I'm getting ready for an experiment,
context: That's not it!\No need to be shy!\I'm not shy!\Well, maybe I'll show you an interesting experiment\that'll unravel your heart a bit.\Are you even listening to me?!\Sure!\But I'm getting ready for an experiment, response:	so your confession of love will have to wait for later.
context: No need to be shy!\I'm not shy!\Well, maybe I'll show you an interesting experiment\that'll unravel your heart a bit.\Are you even listening to me?!\Sure!\But I'm getting ready for an experiment,\so your confession of love will have to wait for later. response:	This is a Leyden jar.
context: I'm not shy!\Well, maybe I'll show you an interesting experiment\that'll unravel your heart a bit.\Are you even listening to me?!\Sure!\But I'm getting ready for an experiment,\so your confession of love will have to wait for later.\This is a Leyden jar. response:	Right now, if I bring this metal instrument near it...
context: Well, maybe I'll show you an interesting experiment\that'll unravel your heart a bit.\Are you even listening to me?!\Sure!\But I'm getting ready for an experiment,\so your confession of love will have to wait for later.\This is a Leyden jar.\Right now, if I bring this metal instrument near it... response:	Nothing happens.
context: that'll unravel your heart a bit.\Are you even listening to me?!\Sure!\But I'm getting ready for an experiment,\so your confession of love will have to wait for later.\This is a Leyden jar.\Right now, if I bring this metal instrument near it...\Nothing happens. response:	However!
context: Are you even listening to me?!\Sure!\But I'm getting ready for an experiment,\so your confession of love will have to wait for later.\This is a Leyden jar.\Right now, if I bring this metal instrument near it...\Nothing happens.\However! response:	If I use a cotton rag to charge this glass rod with static electricity...
context: Sure!\But I'm getting ready for an experiment,\so your confession of love will have to wait for later.\This is a Leyden jar.\Right now, if I bring this metal instrument near it...\Nothing happens.\However!\If I use a cotton rag to charge this glass rod with static electricity... response:	Incidentally, if you sharpen the tips of the rod,
context: But I'm getting ready for an experiment,\so your confession of love will have to wait for later.\This is a Leyden jar.\Right now, if I bring this metal instrument near it...\Nothing happens.\However!\If I use a cotton rag to charge this glass rod with static electricity...\Incidentally, if you sharpen the tips of the rod, response:	it can receive electricity across an even greater distance.
context: so your confession of love will have to wait for later.\This is a Leyden jar.\Right now, if I bring this metal instrument near it...\Nothing happens.\However!\If I use a cotton rag to charge this glass rod with static electricity...\Incidentally, if you sharpen the tips of the rod,\it can receive electricity across an even greater distance. response:	Wow, really?
context: This is a Leyden jar.\Right now, if I bring this metal instrument near it...\Nothing happens.\However!\If I use a cotton rag to charge this glass rod with static electricity...\Incidentally, if you sharpen the tips of the rod,\it can receive electricity across an even greater distance.\Wow, really? response:	Well? Falling in love all over again?
context: Right now, if I bring this metal instrument near it...\Nothing happens.\However!\If I use a cotton rag to charge this glass rod with static electricity...\Incidentally, if you sharpen the tips of the rod,\it can receive electricity across an even greater distance.\Wow, really?\Well? Falling in love all over again? response:	A-Absolutely not!
context: Nothing happens.\However!\If I use a cotton rag to charge this glass rod with static electricity...\Incidentally, if you sharpen the tips of the rod,\it can receive electricity across an even greater distance.\Wow, really?\Well? Falling in love all over again?\A-Absolutely not! response:	Good morning!
context: However!\If I use a cotton rag to charge this glass rod with static electricity...\Incidentally, if you sharpen the tips of the rod,\it can receive electricity across an even greater distance.\Wow, really?\Well? Falling in love all over again?\A-Absolutely not!\Good morning! response:	Something smells good!
context: If I use a cotton rag to charge this glass rod with static electricity...\Incidentally, if you sharpen the tips of the rod,\it can receive electricity across an even greater distance.\Wow, really?\Well? Falling in love all over again?\A-Absolutely not!\Good morning!\Something smells good! response:	Good morning.
context: Incidentally, if you sharpen the tips of the rod,\it can receive electricity across an even greater distance.\Wow, really?\Well? Falling in love all over again?\A-Absolutely not!\Good morning!\Something smells good!\Good morning. response:	Join me, Marie?
context: it can receive electricity across an even greater distance.\Wow, really?\Well? Falling in love all over again?\A-Absolutely not!\Good morning!\Something smells good!\Good morning.\Join me, Marie? response:	Sure!
context: Wow, really?\Well? Falling in love all over again?\A-Absolutely not!\Good morning!\Something smells good!\Good morning.\Join me, Marie?\Sure! response:	Thank you so much!
context: Well? Falling in love all over again?\A-Absolutely not!\Good morning!\Something smells good!\Good morning.\Join me, Marie?\Sure!\Thank you so much! response:	That was delicious!
context: A-Absolutely not!\Good morning!\Something smells good!\Good morning.\Join me, Marie?\Sure!\Thank you so much!\That was delicious! response:	I hope this 18th century coffee agrees with you.
context: Good morning!\Something smells good!\Good morning.\Join me, Marie?\Sure!\Thank you so much!\That was delicious!\I hope this 18th century coffee agrees with you. response:	Go ahead.
context: Something smells good!\Good morning.\Join me, Marie?\Sure!\Thank you so much!\That was delicious!\I hope this 18th century coffee agrees with you.\Go ahead. response:	Thank you very much.
context: Good morning.\Join me, Marie?\Sure!\Thank you so much!\That was delicious!\I hope this 18th century coffee agrees with you.\Go ahead.\Thank you very much. response:	Does that mean you believed my story from last night?
context: Join me, Marie?\Sure!\Thank you so much!\That was delicious!\I hope this 18th century coffee agrees with you.\Go ahead.\Thank you very much.\Does that mean you believed my story from last night? response:	No, I find it dubious.
context: Sure!\Thank you so much!\That was delicious!\I hope this 18th century coffee agrees with you.\Go ahead.\Thank you very much.\Does that mean you believed my story from last night?\No, I find it dubious. response:	It's hard to take it on faith that you're from the future, Marie.
context: Thank you so much!\That was delicious!\I hope this 18th century coffee agrees with you.\Go ahead.\Thank you very much.\Does that mean you believed my story from last night?\No, I find it dubious.\It's hard to take it on faith that you're from the future, Marie. response:	Um, it's Mari, not Marie.
context: That was delicious!\I hope this 18th century coffee agrees with you.\Go ahead.\Thank you very much.\Does that mean you believed my story from last night?\No, I find it dubious.\It's hard to take it on faith that you're from the future, Marie.\Um, it's Mari, not Marie. response:	Marie sounds nicer.
context: I hope this 18th century coffee agrees with you.\Go ahead.\Thank you very much.\Does that mean you believed my story from last night?\No, I find it dubious.\It's hard to take it on faith that you're from the future, Marie.\Um, it's Mari, not Marie.\Marie sounds nicer. response:	N-Nicer?
context: Go ahead.\Thank you very much.\Does that mean you believed my story from last night?\No, I find it dubious.\It's hard to take it on faith that you're from the future, Marie.\Um, it's Mari, not Marie.\Marie sounds nicer.\N-Nicer? response:	Huh? John...
context: Thank you very much.\Does that mean you believed my story from last night?\No, I find it dubious.\It's hard to take it on faith that you're from the future, Marie.\Um, it's Mari, not Marie.\Marie sounds nicer.\N-Nicer?\Huh? John... response:	Doesn't he go to school?
context: Does that mean you believed my story from last night?\No, I find it dubious.\It's hard to take it on faith that you're from the future, Marie.\Um, it's Mari, not Marie.\Marie sounds nicer.\N-Nicer?\Huh? John...\Doesn't he go to school? response:	School? John is a slave.
context: No, I find it dubious.\It's hard to take it on faith that you're from the future, Marie.\Um, it's Mari, not Marie.\Marie sounds nicer.\N-Nicer?\Huh? John...\Doesn't he go to school?\School? John is a slave. response:	A slave?
context: It's hard to take it on faith that you're from the future, Marie.\Um, it's Mari, not Marie.\Marie sounds nicer.\N-Nicer?\Huh? John...\Doesn't he go to school?\School? John is a slave.\A slave? response:	Are you saying... there are no slaves where you come from?
context: Um, it's Mari, not Marie.\Marie sounds nicer.\N-Nicer?\Huh? John...\Doesn't he go to school?\School? John is a slave.\A slave?\Are you saying... there are no slaves where you come from? response:	Um... Yeah.
context: Marie sounds nicer.\N-Nicer?\Huh? John...\Doesn't he go to school?\School? John is a slave.\A slave?\Are you saying... there are no slaves where you come from?\Um... Yeah. response:	Then who does your cleaning and your laundry?
context: N-Nicer?\Huh? John...\Doesn't he go to school?\School? John is a slave.\A slave?\Are you saying... there are no slaves where you come from?\Um... Yeah.\Then who does your cleaning and your laundry? response:	We have vacuums and laundry machines.
context: Huh? John...\Doesn't he go to school?\School? John is a slave.\A slave?\Are you saying... there are no slaves where you come from?\Um... Yeah.\Then who does your cleaning and your laundry?\We have vacuums and laundry machines. response:	Vacuums?
context: Doesn't he go to school?\School? John is a slave.\A slave?\Are you saying... there are no slaves where you come from?\Um... Yeah.\Then who does your cleaning and your laundry?\We have vacuums and laundry machines.\Vacuums? response:	What are those?
context: School? John is a slave.\A slave?\Are you saying... there are no slaves where you come from?\Um... Yeah.\Then who does your cleaning and your laundry?\We have vacuums and laundry machines.\Vacuums?\What are those? response:	What are they?
context: A slave?\Are you saying... there are no slaves where you come from?\Um... Yeah.\Then who does your cleaning and your laundry?\We have vacuums and laundry machines.\Vacuums?\What are those?\What are they? response:	They're machines that run on electricity.
context: Are you saying... there are no slaves where you come from?\Um... Yeah.\Then who does your cleaning and your laundry?\We have vacuums and laundry machines.\Vacuums?\What are those?\What are they?\They're machines that run on electricity. response:	The newest ones will move around your room at scheduled times
context: Um... Yeah.\Then who does your cleaning and your laundry?\We have vacuums and laundry machines.\Vacuums?\What are those?\What are they?\They're machines that run on electricity.\The newest ones will move around your room at scheduled times response:	and sweep up the dust on the floor on their own.
context: Then who does your cleaning and your laundry?\We have vacuums and laundry machines.\Vacuums?\What are those?\What are they?\They're machines that run on electricity.\The newest ones will move around your room at scheduled times\and sweep up the dust on the floor on their own. response:	With laundry machines, you just put the dirty stuff in and press a switch,
context: We have vacuums and laundry machines.\Vacuums?\What are those?\What are they?\They're machines that run on electricity.\The newest ones will move around your room at scheduled times\and sweep up the dust on the floor on their own.\With laundry machines, you just put the dirty stuff in and press a switch, response:	and it does everything, from washing to drying, by itself.
context: Vacuums?\What are those?\What are they?\They're machines that run on electricity.\The newest ones will move around your room at scheduled times\and sweep up the dust on the floor on their own.\With laundry machines, you just put the dirty stuff in and press a switch,\and it does everything, from washing to drying, by itself. response:	Wow, all with electricity?
context: What are those?\What are they?\They're machines that run on electricity.\The newest ones will move around your room at scheduled times\and sweep up the dust on the floor on their own.\With laundry machines, you just put the dirty stuff in and press a switch,\and it does everything, from washing to drying, by itself.\Wow, all with electricity? response:	Yeah!
context: What are they?\They're machines that run on electricity.\The newest ones will move around your room at scheduled times\and sweep up the dust on the floor on their own.\With laundry machines, you just put the dirty stuff in and press a switch,\and it does everything, from washing to drying, by itself.\Wow, all with electricity?\Yeah! response:	Fantastic!
context: They're machines that run on electricity.\The newest ones will move around your room at scheduled times\and sweep up the dust on the floor on their own.\With laundry machines, you just put the dirty stuff in and press a switch,\and it does everything, from washing to drying, by itself.\Wow, all with electricity?\Yeah!\Fantastic! response:	Is it really?
context: The newest ones will move around your room at scheduled times\and sweep up the dust on the floor on their own.\With laundry machines, you just put the dirty stuff in and press a switch,\and it does everything, from washing to drying, by itself.\Wow, all with electricity?\Yeah!\Fantastic!\Is it really? response:	But here, cleaning and laundry are done by slaves, like John.
context: and sweep up the dust on the floor on their own.\With laundry machines, you just put the dirty stuff in and press a switch,\and it does everything, from washing to drying, by itself.\Wow, all with electricity?\Yeah!\Fantastic!\Is it really?\But here, cleaning and laundry are done by slaves, like John. response:	Hey, speaking of which, how did you get here from the future?
context: With laundry machines, you just put the dirty stuff in and press a switch,\and it does everything, from washing to drying, by itself.\Wow, all with electricity?\Yeah!\Fantastic!\Is it really?\But here, cleaning and laundry are done by slaves, like John.\Hey, speaking of which, how did you get here from the future? response:	Um, well...
context: and it does everything, from washing to drying, by itself.\Wow, all with electricity?\Yeah!\Fantastic!\Is it really?\But here, cleaning and laundry are done by slaves, like John.\Hey, speaking of which, how did you get here from the future?\Um, well... response:	What? Are they writing books about me?
context: Wow, all with electricity?\Yeah!\Fantastic!\Is it really?\But here, cleaning and laundry are done by slaves, like John.\Hey, speaking of which, how did you get here from the future?\Um, well...\What? Are they writing books about me? response:	Y-Yeah...
context: Yeah!\Fantastic!\Is it really?\But here, cleaning and laundry are done by slaves, like John.\Hey, speaking of which, how did you get here from the future?\Um, well...\What? Are they writing books about me?\Y-Yeah... response:	That's incredible!
context: Fantastic!\Is it really?\But here, cleaning and laundry are done by slaves, like John.\Hey, speaking of which, how did you get here from the future?\Um, well...\What? Are they writing books about me?\Y-Yeah...\That's incredible! response:	I mean, that's over 250 years into the future, isn't it?
context: Is it really?\But here, cleaning and laundry are done by slaves, like John.\Hey, speaking of which, how did you get here from the future?\Um, well...\What? Are they writing books about me?\Y-Yeah...\That's incredible!\I mean, that's over 250 years into the future, isn't it? response:	I'm pretty impressive!
context: But here, cleaning and laundry are done by slaves, like John.\Hey, speaking of which, how did you get here from the future?\Um, well...\What? Are they writing books about me?\Y-Yeah...\That's incredible!\I mean, that's over 250 years into the future, isn't it?\I'm pretty impressive! response:	Y-Yeah, sure.
context: Hey, speaking of which, how did you get here from the future?\Um, well...\What? Are they writing books about me?\Y-Yeah...\That's incredible!\I mean, that's over 250 years into the future, isn't it?\I'm pretty impressive!\Y-Yeah, sure. response:	Okay!
context: Um, well...\What? Are they writing books about me?\Y-Yeah...\That's incredible!\I mean, that's over 250 years into the future, isn't it?\I'm pretty impressive!\Y-Yeah, sure.\Okay! response:	Well, why don't we head out on a date?
context: What? Are they writing books about me?\Y-Yeah...\That's incredible!\I mean, that's over 250 years into the future, isn't it?\I'm pretty impressive!\Y-Yeah, sure.\Okay!\Well, why don't we head out on a date? response:	D-Date?!
context: Y-Yeah...\That's incredible!\I mean, that's over 250 years into the future, isn't it?\I'm pretty impressive!\Y-Yeah, sure.\Okay!\Well, why don't we head out on a date?\D-Date?! response:	You're searching for your papa, right, Marie?
context: That's incredible!\I mean, that's over 250 years into the future, isn't it?\I'm pretty impressive!\Y-Yeah, sure.\Okay!\Well, why don't we head out on a date?\D-Date?!\You're searching for your papa, right, Marie? response:	What's that?
context: I mean, that's over 250 years into the future, isn't it?\I'm pretty impressive!\Y-Yeah, sure.\Okay!\Well, why don't we head out on a date?\D-Date?!\You're searching for your papa, right, Marie?\What's that? response:	Won't you at least take my arm?
context: I'm pretty impressive!\Y-Yeah, sure.\Okay!\Well, why don't we head out on a date?\D-Date?!\You're searching for your papa, right, Marie?\What's that?\Won't you at least take my arm? response:	No!
context: Y-Yeah, sure.\Okay!\Well, why don't we head out on a date?\D-Date?!\You're searching for your papa, right, Marie?\What's that?\Won't you at least take my arm?\No! response:	Oh, boy. Looks like it's going to rain.
context: Okay!\Well, why don't we head out on a date?\D-Date?!\You're searching for your papa, right, Marie?\What's that?\Won't you at least take my arm?\No!\Oh, boy. Looks like it's going to rain. response:	Rain, rain, go away! Come again on Saturday!
context: Well, why don't we head out on a date?\D-Date?!\You're searching for your papa, right, Marie?\What's that?\Won't you at least take my arm?\No!\Oh, boy. Looks like it's going to rain.\Rain, rain, go away! Come again on Saturday! response:	Good, Laura!
context: D-Date?!\You're searching for your papa, right, Marie?\What's that?\Won't you at least take my arm?\No!\Oh, boy. Looks like it's going to rain.\Rain, rain, go away! Come again on Saturday!\Good, Laura! response:	Thank you very much!
context: You're searching for your papa, right, Marie?\What's that?\Won't you at least take my arm?\No!\Oh, boy. Looks like it's going to rain.\Rain, rain, go away! Come again on Saturday!\Good, Laura!\Thank you very much! response:	It seems no one knew anything about your papa.
context: What's that?\Won't you at least take my arm?\No!\Oh, boy. Looks like it's going to rain.\Rain, rain, go away! Come again on Saturday!\Good, Laura!\Thank you very much!\It seems no one knew anything about your papa. response:	I'm sorry, Marie.
context: Won't you at least take my arm?\No!\Oh, boy. Looks like it's going to rain.\Rain, rain, go away! Come again on Saturday!\Good, Laura!\Thank you very much!\It seems no one knew anything about your papa.\I'm sorry, Marie. response:	I couldn't help you.
context: No!\Oh, boy. Looks like it's going to rain.\Rain, rain, go away! Come again on Saturday!\Good, Laura!\Thank you very much!\It seems no one knew anything about your papa.\I'm sorry, Marie.\I couldn't help you. response:	Oh, no... it's nothing.
context: Oh, boy. Looks like it's going to rain.\Rain, rain, go away! Come again on Saturday!\Good, Laura!\Thank you very much!\It seems no one knew anything about your papa.\I'm sorry, Marie.\I couldn't help you.\Oh, no... it's nothing. response:	Please don't apologize.
context: Rain, rain, go away! Come again on Saturday!\Good, Laura!\Thank you very much!\It seems no one knew anything about your papa.\I'm sorry, Marie.\I couldn't help you.\Oh, no... it's nothing.\Please don't apologize. response:	Really, I should be thanking you.
context: Good, Laura!\Thank you very much!\It seems no one knew anything about your papa.\I'm sorry, Marie.\I couldn't help you.\Oh, no... it's nothing.\Please don't apologize.\Really, I should be thanking you. response:	You're a charming girl, Marie.
context: Thank you very much!\It seems no one knew anything about your papa.\I'm sorry, Marie.\I couldn't help you.\Oh, no... it's nothing.\Please don't apologize.\Really, I should be thanking you.\You're a charming girl, Marie. response:	Wh-What are you talking about?!
context: It seems no one knew anything about your papa.\I'm sorry, Marie.\I couldn't help you.\Oh, no... it's nothing.\Please don't apologize.\Really, I should be thanking you.\You're a charming girl, Marie.\Wh-What are you talking about?! response:	D-Don't tease me, please!
context: I'm sorry, Marie.\I couldn't help you.\Oh, no... it's nothing.\Please don't apologize.\Really, I should be thanking you.\You're a charming girl, Marie.\Wh-What are you talking about?!\D-Don't tease me, please! response:	Marie...
context: I couldn't help you.\Oh, no... it's nothing.\Please don't apologize.\Really, I should be thanking you.\You're a charming girl, Marie.\Wh-What are you talking about?!\D-Don't tease me, please!\Marie... response:	Why don't we go look for a while?
context: Oh, no... it's nothing.\Please don't apologize.\Really, I should be thanking you.\You're a charming girl, Marie.\Wh-What are you talking about?!\D-Don't tease me, please!\Marie...\Why don't we go look for a while? response:	Put the fire out now!
context: Please don't apologize.\Really, I should be thanking you.\You're a charming girl, Marie.\Wh-What are you talking about?!\D-Don't tease me, please!\Marie...\Why don't we go look for a while?\Put the fire out now! response:	Get the injured into the church!
context: Really, I should be thanking you.\You're a charming girl, Marie.\Wh-What are you talking about?!\D-Don't tease me, please!\Marie...\Why don't we go look for a while?\Put the fire out now!\Get the injured into the church! response:	Dear! Dear!
context: You're a charming girl, Marie.\Wh-What are you talking about?!\D-Don't tease me, please!\Marie...\Why don't we go look for a while?\Put the fire out now!\Get the injured into the church!\Dear! Dear! response:	Please, speak to me!
context: Wh-What are you talking about?!\D-Don't tease me, please!\Marie...\Why don't we go look for a while?\Put the fire out now!\Get the injured into the church!\Dear! Dear!\Please, speak to me! response:	That's...
context: D-Don't tease me, please!\Marie...\Why don't we go look for a while?\Put the fire out now!\Get the injured into the church!\Dear! Dear!\Please, speak to me!\That's... response:	The cause of the lightning strike earlier?
context: Marie...\Why don't we go look for a while?\Put the fire out now!\Get the injured into the church!\Dear! Dear!\Please, speak to me!\That's...\The cause of the lightning strike earlier? response:	Open the door!
context: Why don't we go look for a while?\Put the fire out now!\Get the injured into the church!\Dear! Dear!\Please, speak to me!\That's...\The cause of the lightning strike earlier?\Open the door! response:	John!
context: Put the fire out now!\Get the injured into the church!\Dear! Dear!\Please, speak to me!\That's...\The cause of the lightning strike earlier?\Open the door!\John! response:	John... You went over there to shop?
context: Get the injured into the church!\Dear! Dear!\Please, speak to me!\That's...\The cause of the lightning strike earlier?\Open the door!\John!\John... You went over there to shop? response:	Why does she care so much?
context: Dear! Dear!\Please, speak to me!\That's...\The cause of the lightning strike earlier?\Open the door!\John!\John... You went over there to shop?\Why does she care so much? response:	Everyone.
context: Please, speak to me!\That's...\The cause of the lightning strike earlier?\Open the door!\John!\John... You went over there to shop?\Why does she care so much?\Everyone. response:	Let us pray that God's wrath calms quickly.
context: That's...\The cause of the lightning strike earlier?\Open the door!\John!\John... You went over there to shop?\Why does she care so much?\Everyone.\Let us pray that God's wrath calms quickly. response:	We must not rest.
context: The cause of the lightning strike earlier?\Open the door!\John!\John... You went over there to shop?\Why does she care so much?\Everyone.\Let us pray that God's wrath calms quickly.\We must not rest. response:	Come, rise up!
context: Open the door!\John!\John... You went over there to shop?\Why does she care so much?\Everyone.\Let us pray that God's wrath calms quickly.\We must not rest.\Come, rise up! response:	No, John! You have to rest!
context: John!\John... You went over there to shop?\Why does she care so much?\Everyone.\Let us pray that God's wrath calms quickly.\We must not rest.\Come, rise up!\No, John! You have to rest! response:	I need to pray.
context: John... You went over there to shop?\Why does she care so much?\Everyone.\Let us pray that God's wrath calms quickly.\We must not rest.\Come, rise up!\No, John! You have to rest!\I need to pray. response:	Huh?
context: Why does she care so much?\Everyone.\Let us pray that God's wrath calms quickly.\We must not rest.\Come, rise up!\No, John! You have to rest!\I need to pray.\Huh? response:	They've decided the lightning is the wrath of God.
context: Everyone.\Let us pray that God's wrath calms quickly.\We must not rest.\Come, rise up!\No, John! You have to rest!\I need to pray.\Huh?\They've decided the lightning is the wrath of God. response:	In the name of the Father, the Son, and the Holy Ghost,
context: Let us pray that God's wrath calms quickly.\We must not rest.\Come, rise up!\No, John! You have to rest!\I need to pray.\Huh?\They've decided the lightning is the wrath of God.\In the name of the Father, the Son, and the Holy Ghost, response:	Amen.
context: We must not rest.\Come, rise up!\No, John! You have to rest!\I need to pray.\Huh?\They've decided the lightning is the wrath of God.\In the name of the Father, the Son, and the Holy Ghost,\Amen. response:	In the name of the Father, the Son, and the Holy Ghost.
context: Come, rise up!\No, John! You have to rest!\I need to pray.\Huh?\They've decided the lightning is the wrath of God.\In the name of the Father, the Son, and the Holy Ghost,\Amen.\In the name of the Father, the Son, and the Holy Ghost. response:	-Amen. -The Father, the Son...
context: No, John! You have to rest!\I need to pray.\Huh?\They've decided the lightning is the wrath of God.\In the name of the Father, the Son, and the Holy Ghost,\Amen.\In the name of the Father, the Son, and the Holy Ghost.\-Amen. -The Father, the Son... response:	John! Forget that! I need to cool your burns!
context: I need to pray.\Huh?\They've decided the lightning is the wrath of God.\In the name of the Father, the Son, and the Holy Ghost,\Amen.\In the name of the Father, the Son, and the Holy Ghost.\-Amen. -The Father, the Son...\John! Forget that! I need to cool your burns! response:	But God... will be angry...
context: Huh?\They've decided the lightning is the wrath of God.\In the name of the Father, the Son, and the Holy Ghost,\Amen.\In the name of the Father, the Son, and the Holy Ghost.\-Amen. -The Father, the Son...\John! Forget that! I need to cool your burns!\But God... will be angry... response:	You're wrong! That's not true, John!
context: They've decided the lightning is the wrath of God.\In the name of the Father, the Son, and the Holy Ghost,\Amen.\In the name of the Father, the Son, and the Holy Ghost.\-Amen. -The Father, the Son...\John! Forget that! I need to cool your burns!\But God... will be angry...\You're wrong! That's not true, John! response:	God. Please forgive our many sins.
context: In the name of the Father, the Son, and the Holy Ghost,\Amen.\In the name of the Father, the Son, and the Holy Ghost.\-Amen. -The Father, the Son...\John! Forget that! I need to cool your burns!\But God... will be angry...\You're wrong! That's not true, John!\God. Please forgive our many sins. response:	God... please forgive... our many...
context: Amen.\In the name of the Father, the Son, and the Holy Ghost.\-Amen. -The Father, the Son...\John! Forget that! I need to cool your burns!\But God... will be angry...\You're wrong! That's not true, John!\God. Please forgive our many sins.\God... please forgive... our many... response:	What sins, exactly?
context: In the name of the Father, the Son, and the Holy Ghost.\-Amen. -The Father, the Son...\John! Forget that! I need to cool your burns!\But God... will be angry...\You're wrong! That's not true, John!\God. Please forgive our many sins.\God... please forgive... our many...\What sins, exactly? response:	Marie?
context: -Amen. -The Father, the Son...\John! Forget that! I need to cool your burns!\But God... will be angry...\You're wrong! That's not true, John!\God. Please forgive our many sins.\God... please forgive... our many...\What sins, exactly?\Marie? response:	Are you saying that John and the people here have done something wrong?
context: John! Forget that! I need to cool your burns!\But God... will be angry...\You're wrong! That's not true, John!\God. Please forgive our many sins.\God... please forgive... our many...\What sins, exactly?\Marie?\Are you saying that John and the people here have done something wrong? response:	Who are you?
context: But God... will be angry...\You're wrong! That's not true, John!\God. Please forgive our many sins.\God... please forgive... our many...\What sins, exactly?\Marie?\Are you saying that John and the people here have done something wrong?\Who are you? response:	Lightning isn't the wrath of God!
context: You're wrong! That's not true, John!\God. Please forgive our many sins.\God... please forgive... our many...\What sins, exactly?\Marie?\Are you saying that John and the people here have done something wrong?\Who are you?\Lightning isn't the wrath of God! response:	It's just electricity!
context: God. Please forgive our many sins.\God... please forgive... our many...\What sins, exactly?\Marie?\Are you saying that John and the people here have done something wrong?\Who are you?\Lightning isn't the wrath of God!\It's just electricity! response:	You people again?
