context: White Storm (Part Two) response:	I wonder why?
context: it felt like the surface of my fingers was being ripped off.\The moment I took my hand away,\I realized it was the move that would cost me the game.\I knew it was over.\But at the same time, it crossed my mind.\If I only played the best moves from this point on,\how far could I go in that match?\The wind is strong. response:	I thought the typhoon was just going to pass through the Pacific.
context: The moment I took my hand away,\I realized it was the move that would cost me the game.\I knew it was over.\But at the same time, it crossed my mind.\If I only played the best moves from this point on,\how far could I go in that match?\The wind is strong.\I thought the typhoon was just going to pass through the Pacific. response:	MORIOKA -> TOKYO
context: I realized it was the move that would cost me the game.\I knew it was over.\But at the same time, it crossed my mind.\If I only played the best moves from this point on,\how far could I go in that match?\The wind is strong.\I thought the typhoon was just going to pass through the Pacific.\MORIOKA -> TOKYO response:	I hope the trains keep running.
context: I knew it was over.\But at the same time, it crossed my mind.\If I only played the best moves from this point on,\how far could I go in that match?\The wind is strong.\I thought the typhoon was just going to pass through the Pacific.\MORIOKA -> TOKYO\I hope the trains keep running. response:	I want to go to my afternoon classes, so they only treat it as a half-day absence.
context: But at the same time, it crossed my mind.\If I only played the best moves from this point on,\how far could I go in that match?\The wind is strong.\I thought the typhoon was just going to pass through the Pacific.\MORIOKA -> TOKYO\I hope the trains keep running.\I want to go to my afternoon classes, so they only treat it as a half-day absence. response:	There's Mr. Souya.
context: If I only played the best moves from this point on,\how far could I go in that match?\The wind is strong.\I thought the typhoon was just going to pass through the Pacific.\MORIOKA -> TOKYO\I hope the trains keep running.\I want to go to my afternoon classes, so they only treat it as a half-day absence.\There's Mr. Souya. response:	I see. We're on the same bullet train, huh?
context: how far could I go in that match?\The wind is strong.\I thought the typhoon was just going to pass through the Pacific.\MORIOKA -> TOKYO\I hope the trains keep running.\I want to go to my afternoon classes, so they only treat it as a half-day absence.\There's Mr. Souya.\I see. We're on the same bullet train, huh? response:	He's going back on the early train, too.
context: The wind is strong.\I thought the typhoon was just going to pass through the Pacific.\MORIOKA -> TOKYO\I hope the trains keep running.\I want to go to my afternoon classes, so they only treat it as a half-day absence.\There's Mr. Souya.\I see. We're on the same bullet train, huh?\He's going back on the early train, too. response:	I figured he was the type who didn't hang around a long time, but...
context: I thought the typhoon was just going to pass through the Pacific.\MORIOKA -> TOKYO\I hope the trains keep running.\I want to go to my afternoon classes, so they only treat it as a half-day absence.\There's Mr. Souya.\I see. We're on the same bullet train, huh?\He's going back on the early train, too.\I figured he was the type who didn't hang around a long time, but... response:	I've never really seen him interacting with other people.
context: MORIOKA -> TOKYO\I hope the trains keep running.\I want to go to my afternoon classes, so they only treat it as a half-day absence.\There's Mr. Souya.\I see. We're on the same bullet train, huh?\He's going back on the early train, too.\I figured he was the type who didn't hang around a long time, but...\I've never really seen him interacting with other people. response:	I haven't seen him laughing and talking with people either.
context: I hope the trains keep running.\I want to go to my afternoon classes, so they only treat it as a half-day absence.\There's Mr. Souya.\I see. We're on the same bullet train, huh?\He's going back on the early train, too.\I figured he was the type who didn't hang around a long time, but...\I've never really seen him interacting with other people.\I haven't seen him laughing and talking with people either. response:	I've been watching him ever since I was a kid, but in my memories, this person...
context: I want to go to my afternoon classes, so they only treat it as a half-day absence.\There's Mr. Souya.\I see. We're on the same bullet train, huh?\He's going back on the early train, too.\I figured he was the type who didn't hang around a long time, but...\I've never really seen him interacting with other people.\I haven't seen him laughing and talking with people either.\I've been watching him ever since I was a kid, but in my memories, this person... response:	That's right. He's always alone.
context: There's Mr. Souya.\I see. We're on the same bullet train, huh?\He's going back on the early train, too.\I figured he was the type who didn't hang around a long time, but...\I've never really seen him interacting with other people.\I haven't seen him laughing and talking with people either.\I've been watching him ever since I was a kid, but in my memories, this person...\That's right. He's always alone. response:	That's right. It's strange.
context: I see. We're on the same bullet train, huh?\He's going back on the early train, too.\I figured he was the type who didn't hang around a long time, but...\I've never really seen him interacting with other people.\I haven't seen him laughing and talking with people either.\I've been watching him ever since I was a kid, but in my memories, this person...\That's right. He's always alone.\That's right. It's strange. response:	I fought with this person yesterday.
context: He's going back on the early train, too.\I figured he was the type who didn't hang around a long time, but...\I've never really seen him interacting with other people.\I haven't seen him laughing and talking with people either.\I've been watching him ever since I was a kid, but in my memories, this person...\That's right. He's always alone.\That's right. It's strange.\I fought with this person yesterday. response:	I fought him and lost.
context: I figured he was the type who didn't hang around a long time, but...\I've never really seen him interacting with other people.\I haven't seen him laughing and talking with people either.\I've been watching him ever since I was a kid, but in my memories, this person...\That's right. He's always alone.\That's right. It's strange.\I fought with this person yesterday.\I fought him and lost. response:	What is this?
context: I've never really seen him interacting with other people.\I haven't seen him laughing and talking with people either.\I've been watching him ever since I was a kid, but in my memories, this person...\That's right. He's always alone.\That's right. It's strange.\I fought with this person yesterday.\I fought him and lost.\What is this? response:	I've never felt this way before.
context: I haven't seen him laughing and talking with people either.\I've been watching him ever since I was a kid, but in my memories, this person...\That's right. He's always alone.\That's right. It's strange.\I fought with this person yesterday.\I fought him and lost.\What is this?\I've never felt this way before. response:	Even though I lost, I'm not tired at all.
context: I've been watching him ever since I was a kid, but in my memories, this person...\That's right. He's always alone.\That's right. It's strange.\I fought with this person yesterday.\I fought him and lost.\What is this?\I've never felt this way before.\Even though I lost, I'm not tired at all. response:	I don't feel depressed at all.
context: That's right. He's always alone.\That's right. It's strange.\I fought with this person yesterday.\I fought him and lost.\What is this?\I've never felt this way before.\Even though I lost, I'm not tired at all.\I don't feel depressed at all. response:	I knew I had no chance of winning going into it, but I had no intention of just giving up.
context: That's right. It's strange.\I fought with this person yesterday.\I fought him and lost.\What is this?\I've never felt this way before.\Even though I lost, I'm not tired at all.\I don't feel depressed at all.\I knew I had no chance of winning going into it, but I had no intention of just giving up. response:	But I strongly understood
context: I fought with this person yesterday.\I fought him and lost.\What is this?\I've never felt this way before.\Even though I lost, I'm not tired at all.\I don't feel depressed at all.\I knew I had no chance of winning going into it, but I had no intention of just giving up.\But I strongly understood response:	that in both experience and studying, he was years ahead of me and I wasn't catching up.
context: I fought him and lost.\What is this?\I've never felt this way before.\Even though I lost, I'm not tired at all.\I don't feel depressed at all.\I knew I had no chance of winning going into it, but I had no intention of just giving up.\But I strongly understood\that in both experience and studying, he was years ahead of me and I wasn't catching up. response:	I still had no idea how I could close that gap.
context: What is this?\I've never felt this way before.\Even though I lost, I'm not tired at all.\I don't feel depressed at all.\I knew I had no chance of winning going into it, but I had no intention of just giving up.\But I strongly understood\that in both experience and studying, he was years ahead of me and I wasn't catching up.\I still had no idea how I could close that gap. response:	I can't express it well,
context: I've never felt this way before.\Even though I lost, I'm not tired at all.\I don't feel depressed at all.\I knew I had no chance of winning going into it, but I had no intention of just giving up.\But I strongly understood\that in both experience and studying, he was years ahead of me and I wasn't catching up.\I still had no idea how I could close that gap.\I can't express it well, response:	but I've always thought that after a loss, feeling refreshed or having enjoyed the game
context: Even though I lost, I'm not tired at all.\I don't feel depressed at all.\I knew I had no chance of winning going into it, but I had no intention of just giving up.\But I strongly understood\that in both experience and studying, he was years ahead of me and I wasn't catching up.\I still had no idea how I could close that gap.\I can't express it well,\but I've always thought that after a loss, feeling refreshed or having enjoyed the game response:	is actually a major insult to your opponent.
context: I don't feel depressed at all.\I knew I had no chance of winning going into it, but I had no intention of just giving up.\But I strongly understood\that in both experience and studying, he was years ahead of me and I wasn't catching up.\I still had no idea how I could close that gap.\I can't express it well,\but I've always thought that after a loss, feeling refreshed or having enjoyed the game\is actually a major insult to your opponent. response:	It's like putting your opponent on a pedestal,
context: I knew I had no chance of winning going into it, but I had no intention of just giving up.\But I strongly understood\that in both experience and studying, he was years ahead of me and I wasn't catching up.\I still had no idea how I could close that gap.\I can't express it well,\but I've always thought that after a loss, feeling refreshed or having enjoyed the game\is actually a major insult to your opponent.\It's like putting your opponent on a pedestal, response:	showing reverence and feeling refreshed, without telling the person.
context: But I strongly understood\that in both experience and studying, he was years ahead of me and I wasn't catching up.\I still had no idea how I could close that gap.\I can't express it well,\but I've always thought that after a loss, feeling refreshed or having enjoyed the game\is actually a major insult to your opponent.\It's like putting your opponent on a pedestal,\showing reverence and feeling refreshed, without telling the person. response:	It was like not thinking of your opponent as a person...
context: that in both experience and studying, he was years ahead of me and I wasn't catching up.\I still had no idea how I could close that gap.\I can't express it well,\but I've always thought that after a loss, feeling refreshed or having enjoyed the game\is actually a major insult to your opponent.\It's like putting your opponent on a pedestal,\showing reverence and feeling refreshed, without telling the person.\It was like not thinking of your opponent as a person... response:	That's what I've always thought,
context: I still had no idea how I could close that gap.\I can't express it well,\but I've always thought that after a loss, feeling refreshed or having enjoyed the game\is actually a major insult to your opponent.\It's like putting your opponent on a pedestal,\showing reverence and feeling refreshed, without telling the person.\It was like not thinking of your opponent as a person...\That's what I've always thought, response:	but how does that account for yesterday's match?
context: I can't express it well,\but I've always thought that after a loss, feeling refreshed or having enjoyed the game\is actually a major insult to your opponent.\It's like putting your opponent on a pedestal,\showing reverence and feeling refreshed, without telling the person.\It was like not thinking of your opponent as a person...\That's what I've always thought,\but how does that account for yesterday's match? response:	When I'm up against other professionals, no matter how big the skill gap is between us,
context: but I've always thought that after a loss, feeling refreshed or having enjoyed the game\is actually a major insult to your opponent.\It's like putting your opponent on a pedestal,\showing reverence and feeling refreshed, without telling the person.\It was like not thinking of your opponent as a person...\That's what I've always thought,\but how does that account for yesterday's match?\When I'm up against other professionals, no matter how big the skill gap is between us, response:	I can always trace their line of thinking to some extent.
context: is actually a major insult to your opponent.\It's like putting your opponent on a pedestal,\showing reverence and feeling refreshed, without telling the person.\It was like not thinking of your opponent as a person...\That's what I've always thought,\but how does that account for yesterday's match?\When I'm up against other professionals, no matter how big the skill gap is between us,\I can always trace their line of thinking to some extent. response:	He's the only one...
context: It's like putting your opponent on a pedestal,\showing reverence and feeling refreshed, without telling the person.\It was like not thinking of your opponent as a person...\That's what I've always thought,\but how does that account for yesterday's match?\When I'm up against other professionals, no matter how big the skill gap is between us,\I can always trace their line of thinking to some extent.\He's the only one... response:	While we were playing, it felt like the two of us were alone in a pure white space.
context: showing reverence and feeling refreshed, without telling the person.\It was like not thinking of your opponent as a person...\That's what I've always thought,\but how does that account for yesterday's match?\When I'm up against other professionals, no matter how big the skill gap is between us,\I can always trace their line of thinking to some extent.\He's the only one...\While we were playing, it felt like the two of us were alone in a pure white space. response:	And it was very comfortable.
context: It was like not thinking of your opponent as a person...\That's what I've always thought,\but how does that account for yesterday's match?\When I'm up against other professionals, no matter how big the skill gap is between us,\I can always trace their line of thinking to some extent.\He's the only one...\While we were playing, it felt like the two of us were alone in a pure white space.\And it was very comfortable. response:	I wonder what that was yesterday.
context: That's what I've always thought,\but how does that account for yesterday's match?\When I'm up against other professionals, no matter how big the skill gap is between us,\I can always trace their line of thinking to some extent.\He's the only one...\While we were playing, it felt like the two of us were alone in a pure white space.\And it was very comfortable.\I wonder what that was yesterday. response:	The review session with Meijin Souya and Kiriyama 5th-Dan.
context: but how does that account for yesterday's match?\When I'm up against other professionals, no matter how big the skill gap is between us,\I can always trace their line of thinking to some extent.\He's the only one...\While we were playing, it felt like the two of us were alone in a pure white space.\And it was very comfortable.\I wonder what that was yesterday.\The review session with Meijin Souya and Kiriyama 5th-Dan. response:	I've never seen anything like it.
context: When I'm up against other professionals, no matter how big the skill gap is between us,\I can always trace their line of thinking to some extent.\He's the only one...\While we were playing, it felt like the two of us were alone in a pure white space.\And it was very comfortable.\I wonder what that was yesterday.\The review session with Meijin Souya and Kiriyama 5th-Dan.\I've never seen anything like it. response:	Neither one said a word, and just kept going.
context: I can always trace their line of thinking to some extent.\He's the only one...\While we were playing, it felt like the two of us were alone in a pure white space.\And it was very comfortable.\I wonder what that was yesterday.\The review session with Meijin Souya and Kiriyama 5th-Dan.\I've never seen anything like it.\Neither one said a word, and just kept going. response:	After the game was over and the review session began,
context: He's the only one...\While we were playing, it felt like the two of us were alone in a pure white space.\And it was very comfortable.\I wonder what that was yesterday.\The review session with Meijin Souya and Kiriyama 5th-Dan.\I've never seen anything like it.\Neither one said a word, and just kept going.\After the game was over and the review session began, response:	Kiriyama suddenly lined up all the pieces, silently and with determination.
context: While we were playing, it felt like the two of us were alone in a pure white space.\And it was very comfortable.\I wonder what that was yesterday.\The review session with Meijin Souya and Kiriyama 5th-Dan.\I've never seen anything like it.\Neither one said a word, and just kept going.\After the game was over and the review session began,\Kiriyama suddenly lined up all the pieces, silently and with determination. response:	And when they got up to the 63rd move,
context: And it was very comfortable.\I wonder what that was yesterday.\The review session with Meijin Souya and Kiriyama 5th-Dan.\I've never seen anything like it.\Neither one said a word, and just kept going.\After the game was over and the review session began,\Kiriyama suddenly lined up all the pieces, silently and with determination.\And when they got up to the 63rd move, response:	he played Silver to 6-6, which wasn't in the game record.
context: I wonder what that was yesterday.\The review session with Meijin Souya and Kiriyama 5th-Dan.\I've never seen anything like it.\Neither one said a word, and just kept going.\After the game was over and the review session began,\Kiriyama suddenly lined up all the pieces, silently and with determination.\And when they got up to the 63rd move,\he played Silver to 6-6, which wasn't in the game record. response:	Then Meijin Souya gave a little nod in response, right?
context: The review session with Meijin Souya and Kiriyama 5th-Dan.\I've never seen anything like it.\Neither one said a word, and just kept going.\After the game was over and the review session began,\Kiriyama suddenly lined up all the pieces, silently and with determination.\And when they got up to the 63rd move,\he played Silver to 6-6, which wasn't in the game record.\Then Meijin Souya gave a little nod in response, right? response:	He was confirming that Kiriyama's Pawn to 7-4 was the move that lost the game,
context: I've never seen anything like it.\Neither one said a word, and just kept going.\After the game was over and the review session began,\Kiriyama suddenly lined up all the pieces, silently and with determination.\And when they got up to the 63rd move,\he played Silver to 6-6, which wasn't in the game record.\Then Meijin Souya gave a little nod in response, right?\He was confirming that Kiriyama's Pawn to 7-4 was the move that lost the game, response:	and that Silver to 6-6, from the review session, was a more promising move.
context: Neither one said a word, and just kept going.\After the game was over and the review session began,\Kiriyama suddenly lined up all the pieces, silently and with determination.\And when they got up to the 63rd move,\he played Silver to 6-6, which wasn't in the game record.\Then Meijin Souya gave a little nod in response, right?\He was confirming that Kiriyama's Pawn to 7-4 was the move that lost the game,\and that Silver to 6-6, from the review session, was a more promising move. response:	But the amazing thing was what happened after.
context: After the game was over and the review session began,\Kiriyama suddenly lined up all the pieces, silently and with determination.\And when they got up to the 63rd move,\he played Silver to 6-6, which wasn't in the game record.\Then Meijin Souya gave a little nod in response, right?\He was confirming that Kiriyama's Pawn to 7-4 was the move that lost the game,\and that Silver to 6-6, from the review session, was a more promising move.\But the amazing thing was what happened after. response:	After the review session was over,
context: Kiriyama suddenly lined up all the pieces, silently and with determination.\And when they got up to the 63rd move,\he played Silver to 6-6, which wasn't in the game record.\Then Meijin Souya gave a little nod in response, right?\He was confirming that Kiriyama's Pawn to 7-4 was the move that lost the game,\and that Silver to 6-6, from the review session, was a more promising move.\But the amazing thing was what happened after.\After the review session was over, response:	Kiriyama glanced at his own fingers for a moment.
context: And when they got up to the 63rd move,\he played Silver to 6-6, which wasn't in the game record.\Then Meijin Souya gave a little nod in response, right?\He was confirming that Kiriyama's Pawn to 7-4 was the move that lost the game,\and that Silver to 6-6, from the review session, was a more promising move.\But the amazing thing was what happened after.\After the review session was over,\Kiriyama glanced at his own fingers for a moment. response:	That was all, and yet...
context: he played Silver to 6-6, which wasn't in the game record.\Then Meijin Souya gave a little nod in response, right?\He was confirming that Kiriyama's Pawn to 7-4 was the move that lost the game,\and that Silver to 6-6, from the review session, was a more promising move.\But the amazing thing was what happened after.\After the review session was over,\Kiriyama glanced at his own fingers for a moment.\That was all, and yet... response:	That's what it's like.
context: Then Meijin Souya gave a little nod in response, right?\He was confirming that Kiriyama's Pawn to 7-4 was the move that lost the game,\and that Silver to 6-6, from the review session, was a more promising move.\But the amazing thing was what happened after.\After the review session was over,\Kiriyama glanced at his own fingers for a moment.\That was all, and yet...\That's what it's like. response:	What did he mean by that?
context: He was confirming that Kiriyama's Pawn to 7-4 was the move that lost the game,\and that Silver to 6-6, from the review session, was a more promising move.\But the amazing thing was what happened after.\After the review session was over,\Kiriyama glanced at his own fingers for a moment.\That was all, and yet...\That's what it's like.\What did he mean by that? response:	I'm positive that's what the Meijin said. That's what it's like.
context: and that Silver to 6-6, from the review session, was a more promising move.\But the amazing thing was what happened after.\After the review session was over,\Kiriyama glanced at his own fingers for a moment.\That was all, and yet...\That's what it's like.\What did he mean by that?\I'm positive that's what the Meijin said. That's what it's like. response:	When Kiriyama hadn't even said a word...
context: But the amazing thing was what happened after.\After the review session was over,\Kiriyama glanced at his own fingers for a moment.\That was all, and yet...\That's what it's like.\What did he mean by that?\I'm positive that's what the Meijin said. That's what it's like.\When Kiriyama hadn't even said a word... response:	I was startled then.
context: After the review session was over,\Kiriyama glanced at his own fingers for a moment.\That was all, and yet...\That's what it's like.\What did he mean by that?\I'm positive that's what the Meijin said. That's what it's like.\When Kiriyama hadn't even said a word...\I was startled then. response:	I thought maybe I'd blurted out what I was thinking.
context: Kiriyama glanced at his own fingers for a moment.\That was all, and yet...\That's what it's like.\What did he mean by that?\I'm positive that's what the Meijin said. That's what it's like.\When Kiriyama hadn't even said a word...\I was startled then.\I thought maybe I'd blurted out what I was thinking. response:	But it got through to him without words.
context: That was all, and yet...\That's what it's like.\What did he mean by that?\I'm positive that's what the Meijin said. That's what it's like.\When Kiriyama hadn't even said a word...\I was startled then.\I thought maybe I'd blurted out what I was thinking.\But it got through to him without words. response:	I thought, This kind of world exists?
context: That's what it's like.\What did he mean by that?\I'm positive that's what the Meijin said. That's what it's like.\When Kiriyama hadn't even said a word...\I was startled then.\I thought maybe I'd blurted out what I was thinking.\But it got through to him without words.\I thought, This kind of world exists? response:	It was a quiet, bright place where there was nothing to be afraid of.
context: What did he mean by that?\I'm positive that's what the Meijin said. That's what it's like.\When Kiriyama hadn't even said a word...\I was startled then.\I thought maybe I'd blurted out what I was thinking.\But it got through to him without words.\I thought, This kind of world exists?\It was a quiet, bright place where there was nothing to be afraid of. response:	The bullet train arrived at Sendai Station past noon and then stopped running.
context: I'm positive that's what the Meijin said. That's what it's like.\When Kiriyama hadn't even said a word...\I was startled then.\I thought maybe I'd blurted out what I was thinking.\But it got through to him without words.\I thought, This kind of world exists?\It was a quiet, bright place where there was nothing to be afraid of.\The bullet train arrived at Sendai Station past noon and then stopped running. response:	Due to the rising water level of the Abukuma River, service is being suspended.
context: When Kiriyama hadn't even said a word...\I was startled then.\I thought maybe I'd blurted out what I was thinking.\But it got through to him without words.\I thought, This kind of world exists?\It was a quiet, bright place where there was nothing to be afraid of.\The bullet train arrived at Sendai Station past noon and then stopped running.\Due to the rising water level of the Abukuma River, service is being suspended. response:	It is not yet determined when service will resume.
context: I was startled then.\I thought maybe I'd blurted out what I was thinking.\But it got through to him without words.\I thought, This kind of world exists?\It was a quiet, bright place where there was nothing to be afraid of.\The bullet train arrived at Sendai Station past noon and then stopped running.\Due to the rising water level of the Abukuma River, service is being suspended.\It is not yet determined when service will resume. response:	I repeat, will the passengers...
context: I thought maybe I'd blurted out what I was thinking.\But it got through to him without words.\I thought, This kind of world exists?\It was a quiet, bright place where there was nothing to be afraid of.\The bullet train arrived at Sendai Station past noon and then stopped running.\Due to the rising water level of the Abukuma River, service is being suspended.\It is not yet determined when service will resume.\I repeat, will the passengers... response:	All the office workers stand up the moment they hear the message as they're accustomed to it.
context: But it got through to him without words.\I thought, This kind of world exists?\It was a quiet, bright place where there was nothing to be afraid of.\The bullet train arrived at Sendai Station past noon and then stopped running.\Due to the rising water level of the Abukuma River, service is being suspended.\It is not yet determined when service will resume.\I repeat, will the passengers...\All the office workers stand up the moment they hear the message as they're accustomed to it. response:	Whoa, fast!
context: I thought, This kind of world exists?\It was a quiet, bright place where there was nothing to be afraid of.\The bullet train arrived at Sendai Station past noon and then stopped running.\Due to the rising water level of the Abukuma River, service is being suspended.\It is not yet determined when service will resume.\I repeat, will the passengers...\All the office workers stand up the moment they hear the message as they're accustomed to it.\Whoa, fast! response:	FAST
context: It was a quiet, bright place where there was nothing to be afraid of.\The bullet train arrived at Sendai Station past noon and then stopped running.\Due to the rising water level of the Abukuma River, service is being suspended.\It is not yet determined when service will resume.\I repeat, will the passengers...\All the office workers stand up the moment they hear the message as they're accustomed to it.\Whoa, fast!\FAST response:	Service has been suspended due to Typhoon Number Two.
context: The bullet train arrived at Sendai Station past noon and then stopped running.\Due to the rising water level of the Abukuma River, service is being suspended.\It is not yet determined when service will resume.\I repeat, will the passengers...\All the office workers stand up the moment they hear the message as they're accustomed to it.\Whoa, fast!\FAST\Service has been suspended due to Typhoon Number Two. response:	I repeat, service has been suspended due to Typhoon Number Two.
context: Due to the rising water level of the Abukuma River, service is being suspended.\It is not yet determined when service will resume.\I repeat, will the passengers...\All the office workers stand up the moment they hear the message as they're accustomed to it.\Whoa, fast!\FAST\Service has been suspended due to Typhoon Number Two.\I repeat, service has been suspended due to Typhoon Number Two. response:	We apologize for the inconvenience.
context: It is not yet determined when service will resume.\I repeat, will the passengers...\All the office workers stand up the moment they hear the message as they're accustomed to it.\Whoa, fast!\FAST\Service has been suspended due to Typhoon Number Two.\I repeat, service has been suspended due to Typhoon Number Two.\We apologize for the inconvenience. response:	Service has been suspended due to Typhoon Number Two.
context: I repeat, will the passengers...\All the office workers stand up the moment they hear the message as they're accustomed to it.\Whoa, fast!\FAST\Service has been suspended due to Typhoon Number Two.\I repeat, service has been suspended due to Typhoon Number Two.\We apologize for the inconvenience.\Service has been suspended due to Typhoon Number Two. response:	He's sleeping.
context: All the office workers stand up the moment they hear the message as they're accustomed to it.\Whoa, fast!\FAST\Service has been suspended due to Typhoon Number Two.\I repeat, service has been suspended due to Typhoon Number Two.\We apologize for the inconvenience.\Service has been suspended due to Typhoon Number Two.\He's sleeping. response:	Mr. Souya.
context: Whoa, fast!\FAST\Service has been suspended due to Typhoon Number Two.\I repeat, service has been suspended due to Typhoon Number Two.\We apologize for the inconvenience.\Service has been suspended due to Typhoon Number Two.\He's sleeping.\Mr. Souya. response:	Um...
context: FAST\Service has been suspended due to Typhoon Number Two.\I repeat, service has been suspended due to Typhoon Number Two.\We apologize for the inconvenience.\Service has been suspended due to Typhoon Number Two.\He's sleeping.\Mr. Souya.\Um... response:	Excuse me, Mr. Souya.
context: Service has been suspended due to Typhoon Number Two.\I repeat, service has been suspended due to Typhoon Number Two.\We apologize for the inconvenience.\Service has been suspended due to Typhoon Number Two.\He's sleeping.\Mr. Souya.\Um...\Excuse me, Mr. Souya. response:	What should I do?
context: I repeat, service has been suspended due to Typhoon Number Two.\We apologize for the inconvenience.\Service has been suspended due to Typhoon Number Two.\He's sleeping.\Mr. Souya.\Um...\Excuse me, Mr. Souya.\What should I do? response:	Excuse me...
context: We apologize for the inconvenience.\Service has been suspended due to Typhoon Number Two.\He's sleeping.\Mr. Souya.\Um...\Excuse me, Mr. Souya.\What should I do?\Excuse me... response:	Sorry, but, um...
context: Service has been suspended due to Typhoon Number Two.\He's sleeping.\Mr. Souya.\Um...\Excuse me, Mr. Souya.\What should I do?\Excuse me...\Sorry, but, um... response:	Apparently, the train has stopped running, so...
context: He's sleeping.\Mr. Souya.\Um...\Excuse me, Mr. Souya.\What should I do?\Excuse me...\Sorry, but, um...\Apparently, the train has stopped running, so... response:	Mr. Souya?
context: Mr. Souya.\Um...\Excuse me, Mr. Souya.\What should I do?\Excuse me...\Sorry, but, um...\Apparently, the train has stopped running, so...\Mr. Souya? response:	I guess train service is suspended for today. That's what they announced.
context: Um...\Excuse me, Mr. Souya.\What should I do?\Excuse me...\Sorry, but, um...\Apparently, the train has stopped running, so...\Mr. Souya?\I guess train service is suspended for today. That's what they announced. response:	So we'll need to get a refund for our tickets and...
context: Excuse me, Mr. Souya.\What should I do?\Excuse me...\Sorry, but, um...\Apparently, the train has stopped running, so...\Mr. Souya?\I guess train service is suspended for today. That's what they announced.\So we'll need to get a refund for our tickets and... response:	It looked like I wasn't getting through to him.
context: What should I do?\Excuse me...\Sorry, but, um...\Apparently, the train has stopped running, so...\Mr. Souya?\I guess train service is suspended for today. That's what they announced.\So we'll need to get a refund for our tickets and...\It looked like I wasn't getting through to him. response:	My heart started pounding like a jackhammer.
context: Excuse me...\Sorry, but, um...\Apparently, the train has stopped running, so...\Mr. Souya?\I guess train service is suspended for today. That's what they announced.\So we'll need to get a refund for our tickets and...\It looked like I wasn't getting through to him.\My heart started pounding like a jackhammer. response:	We'd better get a room for the night.
context: Sorry, but, um...\Apparently, the train has stopped running, so...\Mr. Souya?\I guess train service is suspended for today. That's what they announced.\So we'll need to get a refund for our tickets and...\It looked like I wasn't getting through to him.\My heart started pounding like a jackhammer.\We'd better get a room for the night. response:	All of the pieces fell into place.
context: Apparently, the train has stopped running, so...\Mr. Souya?\I guess train service is suspended for today. That's what they announced.\So we'll need to get a refund for our tickets and...\It looked like I wasn't getting through to him.\My heart started pounding like a jackhammer.\We'd better get a room for the night.\All of the pieces fell into place. response:	I didn't think I could leave him on his own, so I reached out my hand.
context: Mr. Souya?\I guess train service is suspended for today. That's what they announced.\So we'll need to get a refund for our tickets and...\It looked like I wasn't getting through to him.\My heart started pounding like a jackhammer.\We'd better get a room for the night.\All of the pieces fell into place.\I didn't think I could leave him on his own, so I reached out my hand. response:	It wasn't that sound seemed to fade out around him.
context: I guess train service is suspended for today. That's what they announced.\So we'll need to get a refund for our tickets and...\It looked like I wasn't getting through to him.\My heart started pounding like a jackhammer.\We'd better get a room for the night.\All of the pieces fell into place.\I didn't think I could leave him on his own, so I reached out my hand.\It wasn't that sound seemed to fade out around him. response:	It was that...
context: So we'll need to get a refund for our tickets and...\It looked like I wasn't getting through to him.\My heart started pounding like a jackhammer.\We'd better get a room for the night.\All of the pieces fell into place.\I didn't think I could leave him on his own, so I reached out my hand.\It wasn't that sound seemed to fade out around him.\It was that... response:	sound didn't exist for him.
context: It looked like I wasn't getting through to him.\My heart started pounding like a jackhammer.\We'd better get a room for the night.\All of the pieces fell into place.\I didn't think I could leave him on his own, so I reached out my hand.\It wasn't that sound seemed to fade out around him.\It was that...\sound didn't exist for him. response:	Why? Since when?
context: My heart started pounding like a jackhammer.\We'd better get a room for the night.\All of the pieces fell into place.\I didn't think I could leave him on his own, so I reached out my hand.\It wasn't that sound seemed to fade out around him.\It was that...\sound didn't exist for him.\Why? Since when? response:	I don't know.
context: We'd better get a room for the night.\All of the pieces fell into place.\I didn't think I could leave him on his own, so I reached out my hand.\It wasn't that sound seemed to fade out around him.\It was that...\sound didn't exist for him.\Why? Since when?\I don't know. response:	But nothing reaches his ears anymore.
context: All of the pieces fell into place.\I didn't think I could leave him on his own, so I reached out my hand.\It wasn't that sound seemed to fade out around him.\It was that...\sound didn't exist for him.\Why? Since when?\I don't know.\But nothing reaches his ears anymore. response:	White Storm (Part Three)
context: I didn't think I could leave him on his own, so I reached out my hand.\It wasn't that sound seemed to fade out around him.\It was that...\sound didn't exist for him.\Why? Since when?\I don't know.\But nothing reaches his ears anymore.\White Storm (Part Three) response:	White Storm (Part Four)
context: It wasn't that sound seemed to fade out around him.\It was that...\sound didn't exist for him.\Why? Since when?\I don't know.\But nothing reaches his ears anymore.\White Storm (Part Three)\White Storm (Part Four) response:	The announcements continued non-stop at the station.
context: It was that...\sound didn't exist for him.\Why? Since when?\I don't know.\But nothing reaches his ears anymore.\White Storm (Part Three)\White Storm (Part Four)\The announcements continued non-stop at the station. response:	Amid the oppressive humidity from the rain, the premises were jammed with people.
context: sound didn't exist for him.\Why? Since when?\I don't know.\But nothing reaches his ears anymore.\White Storm (Part Three)\White Storm (Part Four)\The announcements continued non-stop at the station.\Amid the oppressive humidity from the rain, the premises were jammed with people. response:	MORIOKA -> TOKYO
