context: - What do you do on your days off? - I heard your radio show yesterday. response:	If you'd like, how about some tea later today?
context: Huh?\Here you go, have some roasted corn!\Thank you so much!\This is delicious!\Isn't it? Leave it to me if it's about roasted corn!\After this... Meat! Meat!\Eat vegetables, too.\Spare ribs are so yummy! response:	The wieners are so juicy when you crunch into them!
context: Here you go, have some roasted corn!\Thank you so much!\This is delicious!\Isn't it? Leave it to me if it's about roasted corn!\After this... Meat! Meat!\Eat vegetables, too.\Spare ribs are so yummy!\The wieners are so juicy when you crunch into them! response:	Don't eat just meat...
context: Thank you so much!\This is delicious!\Isn't it? Leave it to me if it's about roasted corn!\After this... Meat! Meat!\Eat vegetables, too.\Spare ribs are so yummy!\The wieners are so juicy when you crunch into them!\Don't eat just meat... response:	sandwich some vegetables in the middle when you eat!
context: This is delicious!\Isn't it? Leave it to me if it's about roasted corn!\After this... Meat! Meat!\Eat vegetables, too.\Spare ribs are so yummy!\The wieners are so juicy when you crunch into them!\Don't eat just meat...\sandwich some vegetables in the middle when you eat! response:	This meat is so delicious!
context: Isn't it? Leave it to me if it's about roasted corn!\After this... Meat! Meat!\Eat vegetables, too.\Spare ribs are so yummy!\The wieners are so juicy when you crunch into them!\Don't eat just meat...\sandwich some vegetables in the middle when you eat!\This meat is so delicious! response:	The sauce is good too, right?
context: After this... Meat! Meat!\Eat vegetables, too.\Spare ribs are so yummy!\The wieners are so juicy when you crunch into them!\Don't eat just meat...\sandwich some vegetables in the middle when you eat!\This meat is so delicious!\The sauce is good too, right? response:	In the end, I'm the only one eating vegetables...
context: Eat vegetables, too.\Spare ribs are so yummy!\The wieners are so juicy when you crunch into them!\Don't eat just meat...\sandwich some vegetables in the middle when you eat!\This meat is so delicious!\The sauce is good too, right?\In the end, I'm the only one eating vegetables... response:	You all eat only meat? You're all like Big Sister.
context: Spare ribs are so yummy!\The wieners are so juicy when you crunch into them!\Don't eat just meat...\sandwich some vegetables in the middle when you eat!\This meat is so delicious!\The sauce is good too, right?\In the end, I'm the only one eating vegetables...\You all eat only meat? You're all like Big Sister. response:	Oh, is that so?
context: The wieners are so juicy when you crunch into them!\Don't eat just meat...\sandwich some vegetables in the middle when you eat!\This meat is so delicious!\The sauce is good too, right?\In the end, I'm the only one eating vegetables...\You all eat only meat? You're all like Big Sister.\Oh, is that so? response:	Yes. She's a very finicky eater.
context: Don't eat just meat...\sandwich some vegetables in the middle when you eat!\This meat is so delicious!\The sauce is good too, right?\In the end, I'm the only one eating vegetables...\You all eat only meat? You're all like Big Sister.\Oh, is that so?\Yes. She's a very finicky eater. response:	She... well, your big sister... what kind of a person was she for you?
context: sandwich some vegetables in the middle when you eat!\This meat is so delicious!\The sauce is good too, right?\In the end, I'm the only one eating vegetables...\You all eat only meat? You're all like Big Sister.\Oh, is that so?\Yes. She's a very finicky eater.\She... well, your big sister... what kind of a person was she for you? response:	Let's see... Big Sister and I have basically polar opposite personalities.
context: This meat is so delicious!\The sauce is good too, right?\In the end, I'm the only one eating vegetables...\You all eat only meat? You're all like Big Sister.\Oh, is that so?\Yes. She's a very finicky eater.\She... well, your big sister... what kind of a person was she for you?\Let's see... Big Sister and I have basically polar opposite personalities. response:	And she was such a tomboy that no boy in the neighborhood could win against her.
context: The sauce is good too, right?\In the end, I'm the only one eating vegetables...\You all eat only meat? You're all like Big Sister.\Oh, is that so?\Yes. She's a very finicky eater.\She... well, your big sister... what kind of a person was she for you?\Let's see... Big Sister and I have basically polar opposite personalities.\And she was such a tomboy that no boy in the neighborhood could win against her. response:	But to me, she was a very kind big sister. And I loved her the way she was, too.
context: In the end, I'm the only one eating vegetables...\You all eat only meat? You're all like Big Sister.\Oh, is that so?\Yes. She's a very finicky eater.\She... well, your big sister... what kind of a person was she for you?\Let's see... Big Sister and I have basically polar opposite personalities.\And she was such a tomboy that no boy in the neighborhood could win against her.\But to me, she was a very kind big sister. And I loved her the way she was, too. response:	I always tagged along behind her.
context: You all eat only meat? You're all like Big Sister.\Oh, is that so?\Yes. She's a very finicky eater.\She... well, your big sister... what kind of a person was she for you?\Let's see... Big Sister and I have basically polar opposite personalities.\And she was such a tomboy that no boy in the neighborhood could win against her.\But to me, she was a very kind big sister. And I loved her the way she was, too.\I always tagged along behind her. response:	Oh, I guess I've been talking too much...
context: Oh, is that so?\Yes. She's a very finicky eater.\She... well, your big sister... what kind of a person was she for you?\Let's see... Big Sister and I have basically polar opposite personalities.\And she was such a tomboy that no boy in the neighborhood could win against her.\But to me, she was a very kind big sister. And I loved her the way she was, too.\I always tagged along behind her.\Oh, I guess I've been talking too much... response:	when it comes to Big Sister, I just get so engrossed...
context: Yes. She's a very finicky eater.\She... well, your big sister... what kind of a person was she for you?\Let's see... Big Sister and I have basically polar opposite personalities.\And she was such a tomboy that no boy in the neighborhood could win against her.\But to me, she was a very kind big sister. And I loved her the way she was, too.\I always tagged along behind her.\Oh, I guess I've been talking too much...\when it comes to Big Sister, I just get so engrossed... response:	No, I kind of understand how you feel.
context: She... well, your big sister... what kind of a person was she for you?\Let's see... Big Sister and I have basically polar opposite personalities.\And she was such a tomboy that no boy in the neighborhood could win against her.\But to me, she was a very kind big sister. And I loved her the way she was, too.\I always tagged along behind her.\Oh, I guess I've been talking too much...\when it comes to Big Sister, I just get so engrossed...\No, I kind of understand how you feel. response:	There are so many enemies! Yusarin is in a crisis, maybe?
context: Let's see... Big Sister and I have basically polar opposite personalities.\And she was such a tomboy that no boy in the neighborhood could win against her.\But to me, she was a very kind big sister. And I loved her the way she was, too.\I always tagged along behind her.\Oh, I guess I've been talking too much...\when it comes to Big Sister, I just get so engrossed...\No, I kind of understand how you feel.\There are so many enemies! Yusarin is in a crisis, maybe? response:	It'll be all right! Leave it all to me
context: And she was such a tomboy that no boy in the neighborhood could win against her.\But to me, she was a very kind big sister. And I loved her the way she was, too.\I always tagged along behind her.\Oh, I guess I've been talking too much...\when it comes to Big Sister, I just get so engrossed...\No, I kind of understand how you feel.\There are so many enemies! Yusarin is in a crisis, maybe?\It'll be all right! Leave it all to me response:	You stay out of this!
context: But to me, she was a very kind big sister. And I loved her the way she was, too.\I always tagged along behind her.\Oh, I guess I've been talking too much...\when it comes to Big Sister, I just get so engrossed...\No, I kind of understand how you feel.\There are so many enemies! Yusarin is in a crisis, maybe?\It'll be all right! Leave it all to me\You stay out of this! response:	T-The point where I can show off..!
context: I always tagged along behind her.\Oh, I guess I've been talking too much...\when it comes to Big Sister, I just get so engrossed...\No, I kind of understand how you feel.\There are so many enemies! Yusarin is in a crisis, maybe?\It'll be all right! Leave it all to me\You stay out of this!\T-The point where I can show off..! response:	You guys are completely forgetting the reason why we're here...
context: Oh, I guess I've been talking too much...\when it comes to Big Sister, I just get so engrossed...\No, I kind of understand how you feel.\There are so many enemies! Yusarin is in a crisis, maybe?\It'll be all right! Leave it all to me\You stay out of this!\T-The point where I can show off..!\You guys are completely forgetting the reason why we're here... response:	Come to think, where is she?
context: when it comes to Big Sister, I just get so engrossed...\No, I kind of understand how you feel.\There are so many enemies! Yusarin is in a crisis, maybe?\It'll be all right! Leave it all to me\You stay out of this!\T-The point where I can show off..!\You guys are completely forgetting the reason why we're here...\Come to think, where is she? response:	Is something wrong?
context: No, I kind of understand how you feel.\There are so many enemies! Yusarin is in a crisis, maybe?\It'll be all right! Leave it all to me\You stay out of this!\T-The point where I can show off..!\You guys are completely forgetting the reason why we're here...\Come to think, where is she?\Is something wrong? response:	Well, um...
context: There are so many enemies! Yusarin is in a crisis, maybe?\It'll be all right! Leave it all to me\You stay out of this!\T-The point where I can show off..!\You guys are completely forgetting the reason why we're here...\Come to think, where is she?\Is something wrong?\Well, um... response:	What is that music you're always listening to?
context: It'll be all right! Leave it all to me\You stay out of this!\T-The point where I can show off..!\You guys are completely forgetting the reason why we're here...\Come to think, where is she?\Is something wrong?\Well, um...\What is that music you're always listening to? response:	This? It's a band called ZHIEND.
context: You stay out of this!\T-The point where I can show off..!\You guys are completely forgetting the reason why we're here...\Come to think, where is she?\Is something wrong?\Well, um...\What is that music you're always listening to?\This? It's a band called ZHIEND. response:	I don't know them.
context: T-The point where I can show off..!\You guys are completely forgetting the reason why we're here...\Come to think, where is she?\Is something wrong?\Well, um...\What is that music you're always listening to?\This? It's a band called ZHIEND.\I don't know them. response:	It's the band that my big brother loved.
context: You guys are completely forgetting the reason why we're here...\Come to think, where is she?\Is something wrong?\Well, um...\What is that music you're always listening to?\This? It's a band called ZHIEND.\I don't know them.\It's the band that my big brother loved. response:	Is something wrong?
context: Come to think, where is she?\Is something wrong?\Well, um...\What is that music you're always listening to?\This? It's a band called ZHIEND.\I don't know them.\It's the band that my big brother loved.\Is something wrong? response:	No...
context: Is something wrong?\Well, um...\What is that music you're always listening to?\This? It's a band called ZHIEND.\I don't know them.\It's the band that my big brother loved.\Is something wrong?\No... response:	Can I listen to that for a bit?
context: Well, um...\What is that music you're always listening to?\This? It's a band called ZHIEND.\I don't know them.\It's the band that my big brother loved.\Is something wrong?\No...\Can I listen to that for a bit? response:	Why...
context: What is that music you're always listening to?\This? It's a band called ZHIEND.\I don't know them.\It's the band that my big brother loved.\Is something wrong?\No...\Can I listen to that for a bit?\Why... response:	I feel like I've felt this before...
context: This? It's a band called ZHIEND.\I don't know them.\It's the band that my big brother loved.\Is something wrong?\No...\Can I listen to that for a bit?\Why...\I feel like I've felt this before... response:	How is it?
context: I don't know them.\It's the band that my big brother loved.\Is something wrong?\No...\Can I listen to that for a bit?\Why...\I feel like I've felt this before...\How is it? response:	Somehow... I get a strange feeling that I'm standing all alone in a vast open space.
context: It's the band that my big brother loved.\Is something wrong?\No...\Can I listen to that for a bit?\Why...\I feel like I've felt this before...\How is it?\Somehow... I get a strange feeling that I'm standing all alone in a vast open space. response:	You understand it, don't you!
context: Is something wrong?\No...\Can I listen to that for a bit?\Why...\I feel like I've felt this before...\How is it?\Somehow... I get a strange feeling that I'm standing all alone in a vast open space.\You understand it, don't you! response:	That's right! The music ZHIEND creates is very vast and downright lonely.
context: No...\Can I listen to that for a bit?\Why...\I feel like I've felt this before...\How is it?\Somehow... I get a strange feeling that I'm standing all alone in a vast open space.\You understand it, don't you!\That's right! The music ZHIEND creates is very vast and downright lonely. response:	I believe it's because the vocalist who also composes the songs is blind in both eyes.
context: Can I listen to that for a bit?\Why...\I feel like I've felt this before...\How is it?\Somehow... I get a strange feeling that I'm standing all alone in a vast open space.\You understand it, don't you!\That's right! The music ZHIEND creates is very vast and downright lonely.\I believe it's because the vocalist who also composes the songs is blind in both eyes. response:	The imagery is that of scenery extending as far as you can go...
context: Why...\I feel like I've felt this before...\How is it?\Somehow... I get a strange feeling that I'm standing all alone in a vast open space.\You understand it, don't you!\That's right! The music ZHIEND creates is very vast and downright lonely.\I believe it's because the vocalist who also composes the songs is blind in both eyes.\The imagery is that of scenery extending as far as you can go... response:	For now, I'm merely recording this poor fiend of cheating.
context: I feel like I've felt this before...\How is it?\Somehow... I get a strange feeling that I'm standing all alone in a vast open space.\You understand it, don't you!\That's right! The music ZHIEND creates is very vast and downright lonely.\I believe it's because the vocalist who also composes the songs is blind in both eyes.\The imagery is that of scenery extending as far as you can go...\For now, I'm merely recording this poor fiend of cheating. response:	But my dream is to film a ZHIEND music video.
context: How is it?\Somehow... I get a strange feeling that I'm standing all alone in a vast open space.\You understand it, don't you!\That's right! The music ZHIEND creates is very vast and downright lonely.\I believe it's because the vocalist who also composes the songs is blind in both eyes.\The imagery is that of scenery extending as far as you can go...\For now, I'm merely recording this poor fiend of cheating.\But my dream is to film a ZHIEND music video. response:	I've never seen this expression on her face before...
context: Somehow... I get a strange feeling that I'm standing all alone in a vast open space.\You understand it, don't you!\That's right! The music ZHIEND creates is very vast and downright lonely.\I believe it's because the vocalist who also composes the songs is blind in both eyes.\The imagery is that of scenery extending as far as you can go...\For now, I'm merely recording this poor fiend of cheating.\But my dream is to film a ZHIEND music video.\I've never seen this expression on her face before... response:	I would be okay with a documentary following ZHIEND's activity, too.
context: You understand it, don't you!\That's right! The music ZHIEND creates is very vast and downright lonely.\I believe it's because the vocalist who also composes the songs is blind in both eyes.\The imagery is that of scenery extending as far as you can go...\For now, I'm merely recording this poor fiend of cheating.\But my dream is to film a ZHIEND music video.\I've never seen this expression on her face before...\I would be okay with a documentary following ZHIEND's activity, too. response:	Yeah. Don't film poor old me. Please go ahead and film them..
context: That's right! The music ZHIEND creates is very vast and downright lonely.\I believe it's because the vocalist who also composes the songs is blind in both eyes.\The imagery is that of scenery extending as far as you can go...\For now, I'm merely recording this poor fiend of cheating.\But my dream is to film a ZHIEND music video.\I've never seen this expression on her face before...\I would be okay with a documentary following ZHIEND's activity, too.\Yeah. Don't film poor old me. Please go ahead and film them.. response:	Of course, I'll never film you ever again.
context: I believe it's because the vocalist who also composes the songs is blind in both eyes.\The imagery is that of scenery extending as far as you can go...\For now, I'm merely recording this poor fiend of cheating.\But my dream is to film a ZHIEND music video.\I've never seen this expression on her face before...\I would be okay with a documentary following ZHIEND's activity, too.\Yeah. Don't film poor old me. Please go ahead and film them..\Of course, I'll never film you ever again. response:	I'll give that to you, including the player.
context: The imagery is that of scenery extending as far as you can go...\For now, I'm merely recording this poor fiend of cheating.\But my dream is to film a ZHIEND music video.\I've never seen this expression on her face before...\I would be okay with a documentary following ZHIEND's activity, too.\Yeah. Don't film poor old me. Please go ahead and film them..\Of course, I'll never film you ever again.\I'll give that to you, including the player. response:	Well, that would make me feel bad.
context: For now, I'm merely recording this poor fiend of cheating.\But my dream is to film a ZHIEND music video.\I've never seen this expression on her face before...\I would be okay with a documentary following ZHIEND's activity, too.\Yeah. Don't film poor old me. Please go ahead and film them..\Of course, I'll never film you ever again.\I'll give that to you, including the player.\Well, that would make me feel bad. response:	I have quite a bit saved up thanks to jobs concerning abilities,
context: But my dream is to film a ZHIEND music video.\I've never seen this expression on her face before...\I would be okay with a documentary following ZHIEND's activity, too.\Yeah. Don't film poor old me. Please go ahead and film them..\Of course, I'll never film you ever again.\I'll give that to you, including the player.\Well, that would make me feel bad.\I have quite a bit saved up thanks to jobs concerning abilities, response:	so I'll buy a new one. Don't worry about it.
context: I've never seen this expression on her face before...\I would be okay with a documentary following ZHIEND's activity, too.\Yeah. Don't film poor old me. Please go ahead and film them..\Of course, I'll never film you ever again.\I'll give that to you, including the player.\Well, that would make me feel bad.\I have quite a bit saved up thanks to jobs concerning abilities,\so I'll buy a new one. Don't worry about it. response:	I see... then, I'll take it.
context: I would be okay with a documentary following ZHIEND's activity, too.\Yeah. Don't film poor old me. Please go ahead and film them..\Of course, I'll never film you ever again.\I'll give that to you, including the player.\Well, that would make me feel bad.\I have quite a bit saved up thanks to jobs concerning abilities,\so I'll buy a new one. Don't worry about it.\I see... then, I'll take it. response:	Yup.
context: Yeah. Don't film poor old me. Please go ahead and film them..\Of course, I'll never film you ever again.\I'll give that to you, including the player.\Well, that would make me feel bad.\I have quite a bit saved up thanks to jobs concerning abilities,\so I'll buy a new one. Don't worry about it.\I see... then, I'll take it.\Yup. response:	We'll do night watch in pairs.
context: Of course, I'll never film you ever again.\I'll give that to you, including the player.\Well, that would make me feel bad.\I have quite a bit saved up thanks to jobs concerning abilities,\so I'll buy a new one. Don't worry about it.\I see... then, I'll take it.\Yup.\We'll do night watch in pairs. response:	First off, you guys sleep for four hours.
context: I'll give that to you, including the player.\Well, that would make me feel bad.\I have quite a bit saved up thanks to jobs concerning abilities,\so I'll buy a new one. Don't worry about it.\I see... then, I'll take it.\Yup.\We'll do night watch in pairs.\First off, you guys sleep for four hours. response:	When you wake up, take our spots and watch till morning.
context: Well, that would make me feel bad.\I have quite a bit saved up thanks to jobs concerning abilities,\so I'll buy a new one. Don't worry about it.\I see... then, I'll take it.\Yup.\We'll do night watch in pairs.\First off, you guys sleep for four hours.\When you wake up, take our spots and watch till morning. response:	Otosaka, it's our turn now.
context: I have quite a bit saved up thanks to jobs concerning abilities,\so I'll buy a new one. Don't worry about it.\I see... then, I'll take it.\Yup.\We'll do night watch in pairs.\First off, you guys sleep for four hours.\When you wake up, take our spots and watch till morning.\Otosaka, it's our turn now. response:	Yup, time to switch!
context: so I'll buy a new one. Don't worry about it.\I see... then, I'll take it.\Yup.\We'll do night watch in pairs.\First off, you guys sleep for four hours.\When you wake up, take our spots and watch till morning.\Otosaka, it's our turn now.\Yup, time to switch! response:	Oh, it's that time already...
context: I see... then, I'll take it.\Yup.\We'll do night watch in pairs.\First off, you guys sleep for four hours.\When you wake up, take our spots and watch till morning.\Otosaka, it's our turn now.\Yup, time to switch!\Oh, it's that time already... response:	This again... who was that person...
context: Yup.\We'll do night watch in pairs.\First off, you guys sleep for four hours.\When you wake up, take our spots and watch till morning.\Otosaka, it's our turn now.\Yup, time to switch!\Oh, it's that time already...\This again... who was that person... response:	A rainbow trout! I fished a rainbow trout!
context: We'll do night watch in pairs.\First off, you guys sleep for four hours.\When you wake up, take our spots and watch till morning.\Otosaka, it's our turn now.\Yup, time to switch!\Oh, it's that time already...\This again... who was that person...\A rainbow trout! I fished a rainbow trout! response:	Dammit, I'll fish up one bigger than that! Trout, trout, come to me!
context: First off, you guys sleep for four hours.\When you wake up, take our spots and watch till morning.\Otosaka, it's our turn now.\Yup, time to switch!\Oh, it's that time already...\This again... who was that person...\A rainbow trout! I fished a rainbow trout!\Dammit, I'll fish up one bigger than that! Trout, trout, come to me! response:	I'm not going to lose, either!
context: When you wake up, take our spots and watch till morning.\Otosaka, it's our turn now.\Yup, time to switch!\Oh, it's that time already...\This again... who was that person...\A rainbow trout! I fished a rainbow trout!\Dammit, I'll fish up one bigger than that! Trout, trout, come to me!\I'm not going to lose, either! response:	All right, got one!
context: Otosaka, it's our turn now.\Yup, time to switch!\Oh, it's that time already...\This again... who was that person...\A rainbow trout! I fished a rainbow trout!\Dammit, I'll fish up one bigger than that! Trout, trout, come to me!\I'm not going to lose, either!\All right, got one! response:	Rainbow trouts are tasty, too.
context: Yup, time to switch!\Oh, it's that time already...\This again... who was that person...\A rainbow trout! I fished a rainbow trout!\Dammit, I'll fish up one bigger than that! Trout, trout, come to me!\I'm not going to lose, either!\All right, got one!\Rainbow trouts are tasty, too. response:	Yusarin, this one is roasted in a good way!
context: Oh, it's that time already...\This again... who was that person...\A rainbow trout! I fished a rainbow trout!\Dammit, I'll fish up one bigger than that! Trout, trout, come to me!\I'm not going to lose, either!\All right, got one!\Rainbow trouts are tasty, too.\Yusarin, this one is roasted in a good way! response:	I'm not Yusarin!
context: This again... who was that person...\A rainbow trout! I fished a rainbow trout!\Dammit, I'll fish up one bigger than that! Trout, trout, come to me!\I'm not going to lose, either!\All right, got one!\Rainbow trouts are tasty, too.\Yusarin, this one is roasted in a good way!\I'm not Yusarin! response:	But, I guess I'll yield it to Yusa.
context: A rainbow trout! I fished a rainbow trout!\Dammit, I'll fish up one bigger than that! Trout, trout, come to me!\I'm not going to lose, either!\All right, got one!\Rainbow trouts are tasty, too.\Yusarin, this one is roasted in a good way!\I'm not Yusarin!\But, I guess I'll yield it to Yusa. response:	I can eat this?
context: Dammit, I'll fish up one bigger than that! Trout, trout, come to me!\I'm not going to lose, either!\All right, got one!\Rainbow trouts are tasty, too.\Yusarin, this one is roasted in a good way!\I'm not Yusarin!\But, I guess I'll yield it to Yusa.\I can eat this? response:	Yes, of course!
context: I'm not going to lose, either!\All right, got one!\Rainbow trouts are tasty, too.\Yusarin, this one is roasted in a good way!\I'm not Yusarin!\But, I guess I'll yield it to Yusa.\I can eat this?\Yes, of course! response:	This is so delicious!
context: All right, got one!\Rainbow trouts are tasty, too.\Yusarin, this one is roasted in a good way!\I'm not Yusarin!\But, I guess I'll yield it to Yusa.\I can eat this?\Yes, of course!\This is so delicious! response:	Things like this are nice every so often, right?
context: Rainbow trouts are tasty, too.\Yusarin, this one is roasted in a good way!\I'm not Yusarin!\But, I guess I'll yield it to Yusa.\I can eat this?\Yes, of course!\This is so delicious!\Things like this are nice every so often, right? response:	Yes!
context: Yusarin, this one is roasted in a good way!\I'm not Yusarin!\But, I guess I'll yield it to Yusa.\I can eat this?\Yes, of course!\This is so delicious!\Things like this are nice every so often, right?\Yes! response:	Can it be that she just wants to play..?
context: I'm not Yusarin!\But, I guess I'll yield it to Yusa.\I can eat this?\Yes, of course!\This is so delicious!\Things like this are nice every so often, right?\Yes!\Can it be that she just wants to play..? response:	Um, are we spending the night here again today?
context: But, I guess I'll yield it to Yusa.\I can eat this?\Yes, of course!\This is so delicious!\Things like this are nice every so often, right?\Yes!\Can it be that she just wants to play..?\Um, are we spending the night here again today? response:	Yes. Do you have a problem with that?
context: I can eat this?\Yes, of course!\This is so delicious!\Things like this are nice every so often, right?\Yes!\Can it be that she just wants to play..?\Um, are we spending the night here again today?\Yes. Do you have a problem with that? response:	I was thinking I wanted to take a bath...
context: Yes, of course!\This is so delicious!\Things like this are nice every so often, right?\Yes!\Can it be that she just wants to play..?\Um, are we spending the night here again today?\Yes. Do you have a problem with that?\I was thinking I wanted to take a bath... response:	That's fine. I have one all ready. Please, this way.
context: This is so delicious!\Things like this are nice every so often, right?\Yes!\Can it be that she just wants to play..?\Um, are we spending the night here again today?\Yes. Do you have a problem with that?\I was thinking I wanted to take a bath...\That's fine. I have one all ready. Please, this way. response:	Um... This is..?
context: Things like this are nice every so often, right?\Yes!\Can it be that she just wants to play..?\Um, are we spending the night here again today?\Yes. Do you have a problem with that?\I was thinking I wanted to take a bath...\That's fine. I have one all ready. Please, this way.\Um... This is..? response:	Here's a towel and some soap.
context: Yes!\Can it be that she just wants to play..?\Um, are we spending the night here again today?\Yes. Do you have a problem with that?\I was thinking I wanted to take a bath...\That's fine. I have one all ready. Please, this way.\Um... This is..?\Here's a towel and some soap. response:	Damn you! You got all this ready on the assumption that I'll do something!
context: Can it be that she just wants to play..?\Um, are we spending the night here again today?\Yes. Do you have a problem with that?\I was thinking I wanted to take a bath...\That's fine. I have one all ready. Please, this way.\Um... This is..?\Here's a towel and some soap.\Damn you! You got all this ready on the assumption that I'll do something! response:	I'll keep proper watch of the boys for you.
context: Um, are we spending the night here again today?\Yes. Do you have a problem with that?\I was thinking I wanted to take a bath...\That's fine. I have one all ready. Please, this way.\Um... This is..?\Here's a towel and some soap.\Damn you! You got all this ready on the assumption that I'll do something!\I'll keep proper watch of the boys for you. response:	You said there was a bath all ready?
context: Yes. Do you have a problem with that?\I was thinking I wanted to take a bath...\That's fine. I have one all ready. Please, this way.\Um... This is..?\Here's a towel and some soap.\Damn you! You got all this ready on the assumption that I'll do something!\I'll keep proper watch of the boys for you.\You said there was a bath all ready? response:	It's only for girls.
context: I was thinking I wanted to take a bath...\That's fine. I have one all ready. Please, this way.\Um... This is..?\Here's a towel and some soap.\Damn you! You got all this ready on the assumption that I'll do something!\I'll keep proper watch of the boys for you.\You said there was a bath all ready?\It's only for girls. response:	Boys can go wipe themselves down at the river.
context: That's fine. I have one all ready. Please, this way.\Um... This is..?\Here's a towel and some soap.\Damn you! You got all this ready on the assumption that I'll do something!\I'll keep proper watch of the boys for you.\You said there was a bath all ready?\It's only for girls.\Boys can go wipe themselves down at the river. response:	You mean I can't bathe in the water that Yusarin has bathed in?
context: Um... This is..?\Here's a towel and some soap.\Damn you! You got all this ready on the assumption that I'll do something!\I'll keep proper watch of the boys for you.\You said there was a bath all ready?\It's only for girls.\Boys can go wipe themselves down at the river.\You mean I can't bathe in the water that Yusarin has bathed in? response:	Such a turn-off!
context: Here's a towel and some soap.\Damn you! You got all this ready on the assumption that I'll do something!\I'll keep proper watch of the boys for you.\You said there was a bath all ready?\It's only for girls.\Boys can go wipe themselves down at the river.\You mean I can't bathe in the water that Yusarin has bathed in?\Such a turn-off! response:	You're the type that looks thinner when clothed...
context: Damn you! You got all this ready on the assumption that I'll do something!\I'll keep proper watch of the boys for you.\You said there was a bath all ready?\It's only for girls.\Boys can go wipe themselves down at the river.\You mean I can't bathe in the water that Yusarin has bathed in?\Such a turn-off!\You're the type that looks thinner when clothed... response:	Because of my ability, I had to train my body.
context: I'll keep proper watch of the boys for you.\You said there was a bath all ready?\It's only for girls.\Boys can go wipe themselves down at the river.\You mean I can't bathe in the water that Yusarin has bathed in?\Such a turn-off!\You're the type that looks thinner when clothed...\Because of my ability, I had to train my body. response:	No matter how much armor I wore under my uniform,
context: You said there was a bath all ready?\It's only for girls.\Boys can go wipe themselves down at the river.\You mean I can't bathe in the water that Yusarin has bathed in?\Such a turn-off!\You're the type that looks thinner when clothed...\Because of my ability, I had to train my body.\No matter how much armor I wore under my uniform, response:	I had to build a body that wouldn't get too injured.
context: It's only for girls.\Boys can go wipe themselves down at the river.\You mean I can't bathe in the water that Yusarin has bathed in?\Such a turn-off!\You're the type that looks thinner when clothed...\Because of my ability, I had to train my body.\No matter how much armor I wore under my uniform,\I had to build a body that wouldn't get too injured. response:	You went that far just to properly use your ability...
context: Boys can go wipe themselves down at the river.\You mean I can't bathe in the water that Yusarin has bathed in?\Such a turn-off!\You're the type that looks thinner when clothed...\Because of my ability, I had to train my body.\No matter how much armor I wore under my uniform,\I had to build a body that wouldn't get too injured.\You went that far just to properly use your ability... response:	Yes. But this may not be merely other people's business, you know?
context: You mean I can't bathe in the water that Yusarin has bathed in?\Such a turn-off!\You're the type that looks thinner when clothed...\Because of my ability, I had to train my body.\No matter how much armor I wore under my uniform,\I had to build a body that wouldn't get too injured.\You went that far just to properly use your ability...\Yes. But this may not be merely other people's business, you know? response:	What do you mean by that?
context: Such a turn-off!\You're the type that looks thinner when clothed...\Because of my ability, I had to train my body.\No matter how much armor I wore under my uniform,\I had to build a body that wouldn't get too injured.\You went that far just to properly use your ability...\Yes. But this may not be merely other people's business, you know?\What do you mean by that? response:	In the future, there may be a challenge for you
context: You're the type that looks thinner when clothed...\Because of my ability, I had to train my body.\No matter how much armor I wore under my uniform,\I had to build a body that wouldn't get too injured.\You went that far just to properly use your ability...\Yes. But this may not be merely other people's business, you know?\What do you mean by that?\In the future, there may be a challenge for you response:	that is beyond all your expectations. That's what I mean.
context: Because of my ability, I had to train my body.\No matter how much armor I wore under my uniform,\I had to build a body that wouldn't get too injured.\You went that far just to properly use your ability...\Yes. But this may not be merely other people's business, you know?\What do you mean by that?\In the future, there may be a challenge for you\that is beyond all your expectations. That's what I mean. response:	With an ability that lets me take over someone for only 5 seconds, what can I do?
context: No matter how much armor I wore under my uniform,\I had to build a body that wouldn't get too injured.\You went that far just to properly use your ability...\Yes. But this may not be merely other people's business, you know?\What do you mean by that?\In the future, there may be a challenge for you\that is beyond all your expectations. That's what I mean.\With an ability that lets me take over someone for only 5 seconds, what can I do? response:	That's for you to
context: I had to build a body that wouldn't get too injured.\You went that far just to properly use your ability...\Yes. But this may not be merely other people's business, you know?\What do you mean by that?\In the future, there may be a challenge for you\that is beyond all your expectations. That's what I mean.\With an ability that lets me take over someone for only 5 seconds, what can I do?\That's for you to response:	No, nothing.
context: You went that far just to properly use your ability...\Yes. But this may not be merely other people's business, you know?\What do you mean by that?\In the future, there may be a challenge for you\that is beyond all your expectations. That's what I mean.\With an ability that lets me take over someone for only 5 seconds, what can I do?\That's for you to\No, nothing. response:	What? How you put it gets me curious.
context: Yes. But this may not be merely other people's business, you know?\What do you mean by that?\In the future, there may be a challenge for you\that is beyond all your expectations. That's what I mean.\With an ability that lets me take over someone for only 5 seconds, what can I do?\That's for you to\No, nothing.\What? How you put it gets me curious. response:	With that attractive a face, you might have issues dealing with women...
context: What do you mean by that?\In the future, there may be a challenge for you\that is beyond all your expectations. That's what I mean.\With an ability that lets me take over someone for only 5 seconds, what can I do?\That's for you to\No, nothing.\What? How you put it gets me curious.\With that attractive a face, you might have issues dealing with women... response:	I just didn't want to say that because I'm annoyed by it.
