context: Now then... response:	let's check out the state of the world...
context: Everyone else has a reason for being here, right?\Kagome, why are you gathering Sacred Jewel fragments?\Huh?\Err... well, I feel bad about my involvement...\You broke the Jewel?!\I'm sorry.\I really did something horrible.\But you were trying to take it back from a demon... response:	so it couldn't be helped.
context: Kagome, why are you gathering Sacred Jewel fragments?\Huh?\Err... well, I feel bad about my involvement...\You broke the Jewel?!\I'm sorry.\I really did something horrible.\But you were trying to take it back from a demon...\so it couldn't be helped. response:	But you're the reincarnation of a priestess? Amazing!
context: Huh?\Err... well, I feel bad about my involvement...\You broke the Jewel?!\I'm sorry.\I really did something horrible.\But you were trying to take it back from a demon...\so it couldn't be helped.\But you're the reincarnation of a priestess? Amazing! response:	I don't even understand that part.
context: Err... well, I feel bad about my involvement...\You broke the Jewel?!\I'm sorry.\I really did something horrible.\But you were trying to take it back from a demon...\so it couldn't be helped.\But you're the reincarnation of a priestess? Amazing!\I don't even understand that part. response:	I can see the fragments of the Sacred Jewel.
context: You broke the Jewel?!\I'm sorry.\I really did something horrible.\But you were trying to take it back from a demon...\so it couldn't be helped.\But you're the reincarnation of a priestess? Amazing!\I don't even understand that part.\I can see the fragments of the Sacred Jewel. response:	So we've joined forces to collect the fragments.
context: I'm sorry.\I really did something horrible.\But you were trying to take it back from a demon...\so it couldn't be helped.\But you're the reincarnation of a priestess? Amazing!\I don't even understand that part.\I can see the fragments of the Sacred Jewel.\So we've joined forces to collect the fragments. response:	With Naraku's appearance, things have gotten more complicated.
context: I really did something horrible.\But you were trying to take it back from a demon...\so it couldn't be helped.\But you're the reincarnation of a priestess? Amazing!\I don't even understand that part.\I can see the fragments of the Sacred Jewel.\So we've joined forces to collect the fragments.\With Naraku's appearance, things have gotten more complicated. response:	In order to break the curse of the Sacred Jewel...
context: But you were trying to take it back from a demon...\so it couldn't be helped.\But you're the reincarnation of a priestess? Amazing!\I don't even understand that part.\I can see the fragments of the Sacred Jewel.\So we've joined forces to collect the fragments.\With Naraku's appearance, things have gotten more complicated.\In order to break the curse of the Sacred Jewel... response:	we must first destroy Naraku.
context: so it couldn't be helped.\But you're the reincarnation of a priestess? Amazing!\I don't even understand that part.\I can see the fragments of the Sacred Jewel.\So we've joined forces to collect the fragments.\With Naraku's appearance, things have gotten more complicated.\In order to break the curse of the Sacred Jewel...\we must first destroy Naraku. response:	Do you understand that...
context: But you're the reincarnation of a priestess? Amazing!\I don't even understand that part.\I can see the fragments of the Sacred Jewel.\So we've joined forces to collect the fragments.\With Naraku's appearance, things have gotten more complicated.\In order to break the curse of the Sacred Jewel...\we must first destroy Naraku.\Do you understand that... response:	you over there?!
context: I don't even understand that part.\I can see the fragments of the Sacred Jewel.\So we've joined forces to collect the fragments.\With Naraku's appearance, things have gotten more complicated.\In order to break the curse of the Sacred Jewel...\we must first destroy Naraku.\Do you understand that...\you over there?! response:	- Huh?! - A monkey?
context: I can see the fragments of the Sacred Jewel.\So we've joined forces to collect the fragments.\With Naraku's appearance, things have gotten more complicated.\In order to break the curse of the Sacred Jewel...\we must first destroy Naraku.\Do you understand that...\you over there?!\- Huh?! - A monkey? response:	Hey! What's the ruckus?!
context: So we've joined forces to collect the fragments.\With Naraku's appearance, things have gotten more complicated.\In order to break the curse of the Sacred Jewel...\we must first destroy Naraku.\Do you understand that...\you over there?!\- Huh?! - A monkey?\Hey! What's the ruckus?! response:	For once, you were really talking seriously.
context: With Naraku's appearance, things have gotten more complicated.\In order to break the curse of the Sacred Jewel...\we must first destroy Naraku.\Do you understand that...\you over there?!\- Huh?! - A monkey?\Hey! What's the ruckus?!\For once, you were really talking seriously. response:	Why'd they have to suspect me, too?!
context: In order to break the curse of the Sacred Jewel...\we must first destroy Naraku.\Do you understand that...\you over there?!\- Huh?! - A monkey?\Hey! What's the ruckus?!\For once, you were really talking seriously.\Why'd they have to suspect me, too?! response:	So what? That was a wonderful sight we just saw.
context: we must first destroy Naraku.\Do you understand that...\you over there?!\- Huh?! - A monkey?\Hey! What's the ruckus?!\For once, you were really talking seriously.\Why'd they have to suspect me, too?!\So what? That was a wonderful sight we just saw. response:	Everyone has been drawn into the curse of the Sacred Jewel...
context: Do you understand that...\you over there?!\- Huh?! - A monkey?\Hey! What's the ruckus?!\For once, you were really talking seriously.\Why'd they have to suspect me, too?!\So what? That was a wonderful sight we just saw.\Everyone has been drawn into the curse of the Sacred Jewel... response:	but I feel most sorry for Sango...
context: you over there?!\- Huh?! - A monkey?\Hey! What's the ruckus?!\For once, you were really talking seriously.\Why'd they have to suspect me, too?!\So what? That was a wonderful sight we just saw.\Everyone has been drawn into the curse of the Sacred Jewel...\but I feel most sorry for Sango... response:	who watched as her father and younger brother were killed.
context: - Huh?! - A monkey?\Hey! What's the ruckus?!\For once, you were really talking seriously.\Why'd they have to suspect me, too?!\So what? That was a wonderful sight we just saw.\Everyone has been drawn into the curse of the Sacred Jewel...\but I feel most sorry for Sango...\who watched as her father and younger brother were killed. response:	Now then, time to go.
context: Hey! What's the ruckus?!\For once, you were really talking seriously.\Why'd they have to suspect me, too?!\So what? That was a wonderful sight we just saw.\Everyone has been drawn into the curse of the Sacred Jewel...\but I feel most sorry for Sango...\who watched as her father and younger brother were killed.\Now then, time to go. response:	Kagome, what did you bring?! It's much heavier than before!
context: For once, you were really talking seriously.\Why'd they have to suspect me, too?!\So what? That was a wonderful sight we just saw.\Everyone has been drawn into the curse of the Sacred Jewel...\but I feel most sorry for Sango...\who watched as her father and younger brother were killed.\Now then, time to go.\Kagome, what did you bring?! It's much heavier than before! response:	Uh-huh... I have a test next week...
context: Why'd they have to suspect me, too?!\So what? That was a wonderful sight we just saw.\Everyone has been drawn into the curse of the Sacred Jewel...\but I feel most sorry for Sango...\who watched as her father and younger brother were killed.\Now then, time to go.\Kagome, what did you bring?! It's much heavier than before!\Uh-huh... I have a test next week... response:	so I brought as many books as I could carry.
context: So what? That was a wonderful sight we just saw.\Everyone has been drawn into the curse of the Sacred Jewel...\but I feel most sorry for Sango...\who watched as her father and younger brother were killed.\Now then, time to go.\Kagome, what did you bring?! It's much heavier than before!\Uh-huh... I have a test next week...\so I brought as many books as I could carry. response:	You have it rough, huh?
context: Everyone has been drawn into the curse of the Sacred Jewel...\but I feel most sorry for Sango...\who watched as her father and younger brother were killed.\Now then, time to go.\Kagome, what did you bring?! It's much heavier than before!\Uh-huh... I have a test next week...\so I brought as many books as I could carry.\You have it rough, huh? response:	Miroku says you should just flunk or something like that.
context: but I feel most sorry for Sango...\who watched as her father and younger brother were killed.\Now then, time to go.\Kagome, what did you bring?! It's much heavier than before!\Uh-huh... I have a test next week...\so I brought as many books as I could carry.\You have it rough, huh?\Miroku says you should just flunk or something like that. response:	Not Miroku, too?!
context: who watched as her father and younger brother were killed.\Now then, time to go.\Kagome, what did you bring?! It's much heavier than before!\Uh-huh... I have a test next week...\so I brought as many books as I could carry.\You have it rough, huh?\Miroku says you should just flunk or something like that.\Not Miroku, too?! response:	My brother Sota, who's only in grade school, says...
context: Now then, time to go.\Kagome, what did you bring?! It's much heavier than before!\Uh-huh... I have a test next week...\so I brought as many books as I could carry.\You have it rough, huh?\Miroku says you should just flunk or something like that.\Not Miroku, too?!\My brother Sota, who's only in grade school, says... response:	If you repeat grades six times...
context: Kagome, what did you bring?! It's much heavier than before!\Uh-huh... I have a test next week...\so I brought as many books as I could carry.\You have it rough, huh?\Miroku says you should just flunk or something like that.\Not Miroku, too?!\My brother Sota, who's only in grade school, says...\If you repeat grades six times... response:	I'll be in the same grade as you and I'll help you study.
context: Uh-huh... I have a test next week...\so I brought as many books as I could carry.\You have it rough, huh?\Miroku says you should just flunk or something like that.\Not Miroku, too?!\My brother Sota, who's only in grade school, says...\If you repeat grades six times...\I'll be in the same grade as you and I'll help you study. response:	What a cocky young brother, don't you think?
context: so I brought as many books as I could carry.\You have it rough, huh?\Miroku says you should just flunk or something like that.\Not Miroku, too?!\My brother Sota, who's only in grade school, says...\If you repeat grades six times...\I'll be in the same grade as you and I'll help you study.\What a cocky young brother, don't you think? response:	Oh...
context: You have it rough, huh?\Miroku says you should just flunk or something like that.\Not Miroku, too?!\My brother Sota, who's only in grade school, says...\If you repeat grades six times...\I'll be in the same grade as you and I'll help you study.\What a cocky young brother, don't you think?\Oh... response:	He acts tough and he's cocky.
context: Miroku says you should just flunk or something like that.\Not Miroku, too?!\My brother Sota, who's only in grade school, says...\If you repeat grades six times...\I'll be in the same grade as you and I'll help you study.\What a cocky young brother, don't you think?\Oh...\He acts tough and he's cocky. response:	Yet he cries easily and gets Ionely.
context: Not Miroku, too?!\My brother Sota, who's only in grade school, says...\If you repeat grades six times...\I'll be in the same grade as you and I'll help you study.\What a cocky young brother, don't you think?\Oh...\He acts tough and he's cocky.\Yet he cries easily and gets Ionely. response:	Isn't he a good boy, this brother of yours?
context: My brother Sota, who's only in grade school, says...\If you repeat grades six times...\I'll be in the same grade as you and I'll help you study.\What a cocky young brother, don't you think?\Oh...\He acts tough and he's cocky.\Yet he cries easily and gets Ionely.\Isn't he a good boy, this brother of yours? response:	Uh-huh...
context: If you repeat grades six times...\I'll be in the same grade as you and I'll help you study.\What a cocky young brother, don't you think?\Oh...\He acts tough and he's cocky.\Yet he cries easily and gets Ionely.\Isn't he a good boy, this brother of yours?\Uh-huh... response:	Hey, someone's coming.
context: I'll be in the same grade as you and I'll help you study.\What a cocky young brother, don't you think?\Oh...\He acts tough and he's cocky.\Yet he cries easily and gets Ionely.\Isn't he a good boy, this brother of yours?\Uh-huh...\Hey, someone's coming. response:	Huh?
context: What a cocky young brother, don't you think?\Oh...\He acts tough and he's cocky.\Yet he cries easily and gets Ionely.\Isn't he a good boy, this brother of yours?\Uh-huh...\Hey, someone's coming.\Huh? response:	Inuyasha! Hurry!
context: Oh...\He acts tough and he's cocky.\Yet he cries easily and gets Ionely.\Isn't he a good boy, this brother of yours?\Uh-huh...\Hey, someone's coming.\Huh?\Inuyasha! Hurry! response:	He's not breathing.
context: He acts tough and he's cocky.\Yet he cries easily and gets Ionely.\Isn't he a good boy, this brother of yours?\Uh-huh...\Hey, someone's coming.\Huh?\Inuyasha! Hurry!\He's not breathing. response:	Seems like an ordinary villager.
context: Yet he cries easily and gets Ionely.\Isn't he a good boy, this brother of yours?\Uh-huh...\Hey, someone's coming.\Huh?\Inuyasha! Hurry!\He's not breathing.\Seems like an ordinary villager. response:	These scars...aren't from a sword.
context: Isn't he a good boy, this brother of yours?\Uh-huh...\Hey, someone's coming.\Huh?\Inuyasha! Hurry!\He's not breathing.\Seems like an ordinary villager.\These scars...aren't from a sword. response:	He's not the only one who was killed.
context: Uh-huh...\Hey, someone's coming.\Huh?\Inuyasha! Hurry!\He's not breathing.\Seems like an ordinary villager.\These scars...aren't from a sword.\He's not the only one who was killed. response:	Huh?
context: Hey, someone's coming.\Huh?\Inuyasha! Hurry!\He's not breathing.\Seems like an ordinary villager.\These scars...aren't from a sword.\He's not the only one who was killed.\Huh? response:	The wind is carrying the smell of blood.
context: Huh?\Inuyasha! Hurry!\He's not breathing.\Seems like an ordinary villager.\These scars...aren't from a sword.\He's not the only one who was killed.\Huh?\The wind is carrying the smell of blood. response:	Not just a few... Many have been killed.
context: Inuyasha! Hurry!\He's not breathing.\Seems like an ordinary villager.\These scars...aren't from a sword.\He's not the only one who was killed.\Huh?\The wind is carrying the smell of blood.\Not just a few... Many have been killed. response:	The entire village?
context: He's not breathing.\Seems like an ordinary villager.\These scars...aren't from a sword.\He's not the only one who was killed.\Huh?\The wind is carrying the smell of blood.\Not just a few... Many have been killed.\The entire village? response:	Hey! Anyone here?!
context: Seems like an ordinary villager.\These scars...aren't from a sword.\He's not the only one who was killed.\Huh?\The wind is carrying the smell of blood.\Not just a few... Many have been killed.\The entire village?\Hey! Anyone here?! response:	We must find out what happened. Let's split up and search.
context: These scars...aren't from a sword.\He's not the only one who was killed.\Huh?\The wind is carrying the smell of blood.\Not just a few... Many have been killed.\The entire village?\Hey! Anyone here?!\We must find out what happened. Let's split up and search. response:	Good idea.
context: He's not the only one who was killed.\Huh?\The wind is carrying the smell of blood.\Not just a few... Many have been killed.\The entire village?\Hey! Anyone here?!\We must find out what happened. Let's split up and search.\Good idea. response:	Hold it!
context: Huh?\The wind is carrying the smell of blood.\Not just a few... Many have been killed.\The entire village?\Hey! Anyone here?!\We must find out what happened. Let's split up and search.\Good idea.\Hold it! response:	Don't move! Traps are everywhere!
context: The wind is carrying the smell of blood.\Not just a few... Many have been killed.\The entire village?\Hey! Anyone here?!\We must find out what happened. Let's split up and search.\Good idea.\Hold it!\Don't move! Traps are everywhere! response:	If you make a move, your legs may be blown off!
context: Not just a few... Many have been killed.\The entire village?\Hey! Anyone here?!\We must find out what happened. Let's split up and search.\Good idea.\Hold it!\Don't move! Traps are everywhere!\If you make a move, your legs may be blown off! response:	What?! Even underground?!
context: The entire village?\Hey! Anyone here?!\We must find out what happened. Let's split up and search.\Good idea.\Hold it!\Don't move! Traps are everywhere!\If you make a move, your legs may be blown off!\What?! Even underground?! response:	Then even around the bodies?
context: Hey! Anyone here?!\We must find out what happened. Let's split up and search.\Good idea.\Hold it!\Don't move! Traps are everywhere!\If you make a move, your legs may be blown off!\What?! Even underground?!\Then even around the bodies? response:	Probably.
context: We must find out what happened. Let's split up and search.\Good idea.\Hold it!\Don't move! Traps are everywhere!\If you make a move, your legs may be blown off!\What?! Even underground?!\Then even around the bodies?\Probably. response:	What a cruel thing to do?!
context: Good idea.\Hold it!\Don't move! Traps are everywhere!\If you make a move, your legs may be blown off!\What?! Even underground?!\Then even around the bodies?\Probably.\What a cruel thing to do?! response:	Someone tries to help, and they're also blown up.
context: Hold it!\Don't move! Traps are everywhere!\If you make a move, your legs may be blown off!\What?! Even underground?!\Then even around the bodies?\Probably.\What a cruel thing to do?!\Someone tries to help, and they're also blown up. response:	So heartless!
context: Don't move! Traps are everywhere!\If you make a move, your legs may be blown off!\What?! Even underground?!\Then even around the bodies?\Probably.\What a cruel thing to do?!\Someone tries to help, and they're also blown up.\So heartless! response:	Well, let's find out what this guy is planning?!
context: If you make a move, your legs may be blown off!\What?! Even underground?!\Then even around the bodies?\Probably.\What a cruel thing to do?!\Someone tries to help, and they're also blown up.\So heartless!\Well, let's find out what this guy is planning?! response:	Inuyasha! It's dangerous to move!
context: What?! Even underground?!\Then even around the bodies?\Probably.\What a cruel thing to do?!\Someone tries to help, and they're also blown up.\So heartless!\Well, let's find out what this guy is planning?!\Inuyasha! It's dangerous to move! response:	As if I know how...
context: Then even around the bodies?\Probably.\What a cruel thing to do?!\Someone tries to help, and they're also blown up.\So heartless!\Well, let's find out what this guy is planning?!\Inuyasha! It's dangerous to move!\As if I know how... response:	to stay still!
context: Probably.\What a cruel thing to do?!\Someone tries to help, and they're also blown up.\So heartless!\Well, let's find out what this guy is planning?!\Inuyasha! It's dangerous to move!\As if I know how...\to stay still! response:	Is he the one?!
context: What a cruel thing to do?!\Someone tries to help, and they're also blown up.\So heartless!\Well, let's find out what this guy is planning?!\Inuyasha! It's dangerous to move!\As if I know how...\to stay still!\Is he the one?! response:	A mere child... killed all the villagers?!
context: Someone tries to help, and they're also blown up.\So heartless!\Well, let's find out what this guy is planning?!\Inuyasha! It's dangerous to move!\As if I know how...\to stay still!\Is he the one?!\A mere child... killed all the villagers?! response:	Impossible!
context: So heartless!\Well, let's find out what this guy is planning?!\Inuyasha! It's dangerous to move!\As if I know how...\to stay still!\Is he the one?!\A mere child... killed all the villagers?!\Impossible! response:	That chain... and on his body...
context: Well, let's find out what this guy is planning?!\Inuyasha! It's dangerous to move!\As if I know how...\to stay still!\Is he the one?!\A mere child... killed all the villagers?!\Impossible!\That chain... and on his body... response:	there's blood splattered all over!
context: Inuyasha! It's dangerous to move!\As if I know how...\to stay still!\Is he the one?!\A mere child... killed all the villagers?!\Impossible!\That chain... and on his body...\there's blood splattered all over! response:	He's a vicious kid!
context: As if I know how...\to stay still!\Is he the one?!\A mere child... killed all the villagers?!\Impossible!\That chain... and on his body...\there's blood splattered all over!\He's a vicious kid! response:	Why'd you do this?!
context: to stay still!\Is he the one?!\A mere child... killed all the villagers?!\Impossible!\That chain... and on his body...\there's blood splattered all over!\He's a vicious kid!\Why'd you do this?! response:	What're you up to?!
context: Is he the one?!\A mere child... killed all the villagers?!\Impossible!\That chain... and on his body...\there's blood splattered all over!\He's a vicious kid!\Why'd you do this?!\What're you up to?! response:	Kohaku!
context: A mere child... killed all the villagers?!\Impossible!\That chain... and on his body...\there's blood splattered all over!\He's a vicious kid!\Why'd you do this?!\What're you up to?!\Kohaku! response:	That attire...
context: Impossible!\That chain... and on his body...\there's blood splattered all over!\He's a vicious kid!\Why'd you do this?!\What're you up to?!\Kohaku!\That attire... response:	is the same as Sango's... a slayer's.
context: That chain... and on his body...\there's blood splattered all over!\He's a vicious kid!\Why'd you do this?!\What're you up to?!\Kohaku!\That attire...\is the same as Sango's... a slayer's. response:	Kirara is... But how...?!
context: there's blood splattered all over!\He's a vicious kid!\Why'd you do this?!\What're you up to?!\Kohaku!\That attire...\is the same as Sango's... a slayer's.\Kirara is... But how...?! response:	Kohaku... are you?!
context: He's a vicious kid!\Why'd you do this?!\What're you up to?!\Kohaku!\That attire...\is the same as Sango's... a slayer's.\Kirara is... But how...?!\Kohaku... are you?! response:	Sango...what did you just say?!
context: Why'd you do this?!\What're you up to?!\Kohaku!\That attire...\is the same as Sango's... a slayer's.\Kirara is... But how...?!\Kohaku... are you?!\Sango...what did you just say?! response:	Halt!
context: What're you up to?!\Kohaku!\That attire...\is the same as Sango's... a slayer's.\Kirara is... But how...?!\Kohaku... are you?!\Sango...what did you just say?!\Halt! response:	Damn!
context: Kohaku!\That attire...\is the same as Sango's... a slayer's.\Kirara is... But how...?!\Kohaku... are you?!\Sango...what did you just say?!\Halt!\Damn! response:	Kirara!
context: That attire...\is the same as Sango's... a slayer's.\Kirara is... But how...?!\Kohaku... are you?!\Sango...what did you just say?!\Halt!\Damn!\Kirara! response:	W-what?! A barrier!
context: is the same as Sango's... a slayer's.\Kirara is... But how...?!\Kohaku... are you?!\Sango...what did you just say?!\Halt!\Damn!\Kirara!\W-what?! A barrier! response:	Kohaku...
context: Kirara is... But how...?!\Kohaku... are you?!\Sango...what did you just say?!\Halt!\Damn!\Kirara!\W-what?! A barrier!\Kohaku... response:	I thought you were dead!
context: Kohaku... are you?!\Sango...what did you just say?!\Halt!\Damn!\Kirara!\W-what?! A barrier!\Kohaku...\I thought you were dead! response:	Kohaku...
context: Sango...what did you just say?!\Halt!\Damn!\Kirara!\W-what?! A barrier!\Kohaku...\I thought you were dead!\Kohaku... response:	I thought you were dead!
context: Halt!\Damn!\Kirara!\W-what?! A barrier!\Kohaku...\I thought you were dead!\Kohaku...\I thought you were dead! response:	Damn! We're here! Hurry and get off!
context: Damn!\Kirara!\W-what?! A barrier!\Kohaku...\I thought you were dead!\Kohaku...\I thought you were dead!\Damn! We're here! Hurry and get off! response:	The two of them went through this barrier?
context: Kirara!\W-what?! A barrier!\Kohaku...\I thought you were dead!\Kohaku...\I thought you were dead!\Damn! We're here! Hurry and get off!\The two of them went through this barrier? response:	Yeah...
context: W-what?! A barrier!\Kohaku...\I thought you were dead!\Kohaku...\I thought you were dead!\Damn! We're here! Hurry and get off!\The two of them went through this barrier?\Yeah... response:	Kagome, what you said earlier... is that really true?
context: Kohaku...\I thought you were dead!\Kohaku...\I thought you were dead!\Damn! We're here! Hurry and get off!\The two of them went through this barrier?\Yeah...\Kagome, what you said earlier... is that really true? response:	No mistake about it.
context: I thought you were dead!\Kohaku...\I thought you were dead!\Damn! We're here! Hurry and get off!\The two of them went through this barrier?\Yeah...\Kagome, what you said earlier... is that really true?\No mistake about it. response:	Sango called him Kohaku.
context: Kohaku...\I thought you were dead!\Damn! We're here! Hurry and get off!\The two of them went through this barrier?\Yeah...\Kagome, what you said earlier... is that really true?\No mistake about it.\Sango called him Kohaku. response:	Sango told me that her younger brother...
context: I thought you were dead!\Damn! We're here! Hurry and get off!\The two of them went through this barrier?\Yeah...\Kagome, what you said earlier... is that really true?\No mistake about it.\Sango called him Kohaku.\Sango told me that her younger brother... response:	was killed in that castle occupied by Naraku.
context: Damn! We're here! Hurry and get off!\The two of them went through this barrier?\Yeah...\Kagome, what you said earlier... is that really true?\No mistake about it.\Sango called him Kohaku.\Sango told me that her younger brother...\was killed in that castle occupied by Naraku. response:	And he had a Sacred Jewel fragment imbedded in his back.
context: The two of them went through this barrier?\Yeah...\Kagome, what you said earlier... is that really true?\No mistake about it.\Sango called him Kohaku.\Sango told me that her younger brother...\was killed in that castle occupied by Naraku.\And he had a Sacred Jewel fragment imbedded in his back. response:	We've heard that one before.
context: Yeah...\Kagome, what you said earlier... is that really true?\No mistake about it.\Sango called him Kohaku.\Sango told me that her younger brother...\was killed in that castle occupied by Naraku.\And he had a Sacred Jewel fragment imbedded in his back.\We've heard that one before. response:	It's Naraku's same old trick...
context: Kagome, what you said earlier... is that really true?\No mistake about it.\Sango called him Kohaku.\Sango told me that her younger brother...\was killed in that castle occupied by Naraku.\And he had a Sacred Jewel fragment imbedded in his back.\We've heard that one before.\It's Naraku's same old trick... response:	forcing Sango to fight when she was in total anguish.
context: No mistake about it.\Sango called him Kohaku.\Sango told me that her younger brother...\was killed in that castle occupied by Naraku.\And he had a Sacred Jewel fragment imbedded in his back.\We've heard that one before.\It's Naraku's same old trick...\forcing Sango to fight when she was in total anguish. response:	Then Naraku is manipulating Kohaku this time?
context: Sango called him Kohaku.\Sango told me that her younger brother...\was killed in that castle occupied by Naraku.\And he had a Sacred Jewel fragment imbedded in his back.\We've heard that one before.\It's Naraku's same old trick...\forcing Sango to fight when she was in total anguish.\Then Naraku is manipulating Kohaku this time? response:	Sango is probably aware of it.
context: Sango told me that her younger brother...\was killed in that castle occupied by Naraku.\And he had a Sacred Jewel fragment imbedded in his back.\We've heard that one before.\It's Naraku's same old trick...\forcing Sango to fight when she was in total anguish.\Then Naraku is manipulating Kohaku this time?\Sango is probably aware of it. response:	The barrier allowed only Sango to go through.
context: was killed in that castle occupied by Naraku.\And he had a Sacred Jewel fragment imbedded in his back.\We've heard that one before.\It's Naraku's same old trick...\forcing Sango to fight when she was in total anguish.\Then Naraku is manipulating Kohaku this time?\Sango is probably aware of it.\The barrier allowed only Sango to go through. response:	I have bad feelings about this.
context: And he had a Sacred Jewel fragment imbedded in his back.\We've heard that one before.\It's Naraku's same old trick...\forcing Sango to fight when she was in total anguish.\Then Naraku is manipulating Kohaku this time?\Sango is probably aware of it.\The barrier allowed only Sango to go through.\I have bad feelings about this. response:	Let me see your face.
context: We've heard that one before.\It's Naraku's same old trick...\forcing Sango to fight when she was in total anguish.\Then Naraku is manipulating Kohaku this time?\Sango is probably aware of it.\The barrier allowed only Sango to go through.\I have bad feelings about this.\Let me see your face. response:	Kohaku...
context: It's Naraku's same old trick...\forcing Sango to fight when she was in total anguish.\Then Naraku is manipulating Kohaku this time?\Sango is probably aware of it.\The barrier allowed only Sango to go through.\I have bad feelings about this.\Let me see your face.\Kohaku... response:	You are alive! Kohaku!
context: forcing Sango to fight when she was in total anguish.\Then Naraku is manipulating Kohaku this time?\Sango is probably aware of it.\The barrier allowed only Sango to go through.\I have bad feelings about this.\Let me see your face.\Kohaku...\You are alive! Kohaku! response:	Are you happy to see your brother alive?
context: Then Naraku is manipulating Kohaku this time?\Sango is probably aware of it.\The barrier allowed only Sango to go through.\I have bad feelings about this.\Let me see your face.\Kohaku...\You are alive! Kohaku!\Are you happy to see your brother alive? response:	It's been quite some time, Sango.
context: Sango is probably aware of it.\The barrier allowed only Sango to go through.\I have bad feelings about this.\Let me see your face.\Kohaku...\You are alive! Kohaku!\Are you happy to see your brother alive?\It's been quite some time, Sango. response:	Naraku!
context: The barrier allowed only Sango to go through.\I have bad feelings about this.\Let me see your face.\Kohaku...\You are alive! Kohaku!\Are you happy to see your brother alive?\It's been quite some time, Sango.\Naraku! response:	Aren't you going to thank me?
context: I have bad feelings about this.\Let me see your face.\Kohaku...\You are alive! Kohaku!\Are you happy to see your brother alive?\It's been quite some time, Sango.\Naraku!\Aren't you going to thank me? response:	What?!
context: Let me see your face.\Kohaku...\You are alive! Kohaku!\Are you happy to see your brother alive?\It's been quite some time, Sango.\Naraku!\Aren't you going to thank me?\What?! response:	I salvaged your brother's life.
context: Kohaku...\You are alive! Kohaku!\Are you happy to see your brother alive?\It's been quite some time, Sango.\Naraku!\Aren't you going to thank me?\What?!\I salvaged your brother's life. response:	When he was killed by those arrows at the castle...
context: You are alive! Kohaku!\Are you happy to see your brother alive?\It's been quite some time, Sango.\Naraku!\Aren't you going to thank me?\What?!\I salvaged your brother's life.\When he was killed by those arrows at the castle... response:	Kohaku's life should've ended.
context: Are you happy to see your brother alive?\It's been quite some time, Sango.\Naraku!\Aren't you going to thank me?\What?!\I salvaged your brother's life.\When he was killed by those arrows at the castle...\Kohaku's life should've ended. response:	But I saved him.
context: It's been quite some time, Sango.\Naraku!\Aren't you going to thank me?\What?!\I salvaged your brother's life.\When he was killed by those arrows at the castle...\Kohaku's life should've ended.\But I saved him. response:	You should know this well...
context: Naraku!\Aren't you going to thank me?\What?!\I salvaged your brother's life.\When he was killed by those arrows at the castle...\Kohaku's life should've ended.\But I saved him.\You should know this well... response:	the power of a Sacred Jewel fragment.
context: Aren't you going to thank me?\What?!\I salvaged your brother's life.\When he was killed by those arrows at the castle...\Kohaku's life should've ended.\But I saved him.\You should know this well...\the power of a Sacred Jewel fragment. response:	When you had it inside you...
context: What?!\I salvaged your brother's life.\When he was killed by those arrows at the castle...\Kohaku's life should've ended.\But I saved him.\You should know this well...\the power of a Sacred Jewel fragment.\When you had it inside you... response:	you fought Inuyasha better than evenly matched.
context: I salvaged your brother's life.\When he was killed by those arrows at the castle...\Kohaku's life should've ended.\But I saved him.\You should know this well...\the power of a Sacred Jewel fragment.\When you had it inside you...\you fought Inuyasha better than evenly matched. response:	Shut up!
context: When he was killed by those arrows at the castle...\Kohaku's life should've ended.\But I saved him.\You should know this well...\the power of a Sacred Jewel fragment.\When you had it inside you...\you fought Inuyasha better than evenly matched.\Shut up! response:	So it is now with Kohaku.
context: Kohaku's life should've ended.\But I saved him.\You should know this well...\the power of a Sacred Jewel fragment.\When you had it inside you...\you fought Inuyasha better than evenly matched.\Shut up!\So it is now with Kohaku. response:	He is able to stand before you because of the Sacred Jewel.
context: But I saved him.\You should know this well...\the power of a Sacred Jewel fragment.\When you had it inside you...\you fought Inuyasha better than evenly matched.\Shut up!\So it is now with Kohaku.\He is able to stand before you because of the Sacred Jewel. response:	If it is extracted, he will die.
context: You should know this well...\the power of a Sacred Jewel fragment.\When you had it inside you...\you fought Inuyasha better than evenly matched.\Shut up!\So it is now with Kohaku.\He is able to stand before you because of the Sacred Jewel.\If it is extracted, he will die. response:	Understand, Sango?
context: the power of a Sacred Jewel fragment.\When you had it inside you...\you fought Inuyasha better than evenly matched.\Shut up!\So it is now with Kohaku.\He is able to stand before you because of the Sacred Jewel.\If it is extracted, he will die.\Understand, Sango? response:	Kohaku's life is in your hands.
context: When you had it inside you...\you fought Inuyasha better than evenly matched.\Shut up!\So it is now with Kohaku.\He is able to stand before you because of the Sacred Jewel.\If it is extracted, he will die.\Understand, Sango?\Kohaku's life is in your hands. response:	Bring me the Tetsusaiga, Inuyasha's sword.
context: you fought Inuyasha better than evenly matched.\Shut up!\So it is now with Kohaku.\He is able to stand before you because of the Sacred Jewel.\If it is extracted, he will die.\Understand, Sango?\Kohaku's life is in your hands.\Bring me the Tetsusaiga, Inuyasha's sword. response:	Then I shall let Kohaku have eternal life.
