context: I'm counting on you then, Millihi-nee. response:	Sure.
context: so that maybe he'll see it himself.\Yeah. It'll be our secret.\Galette Northeast - Near the Border Mithha Mountain\Looks like a band of highwayman-rabbits to me.\They seem to be peaceful though.\Nanami and I caught the ones who stumbled into Ayase.\This is their original habitat, so we just brought them back.\Their boss looks sick or something. response:	Big brother.
context: Yeah. It'll be our secret.\Galette Northeast - Near the Border Mithha Mountain\Looks like a band of highwayman-rabbits to me.\They seem to be peaceful though.\Nanami and I caught the ones who stumbled into Ayase.\This is their original habitat, so we just brought them back.\Their boss looks sick or something.\Big brother. response:	Valerie.
context: Galette Northeast - Near the Border Mithha Mountain\Looks like a band of highwayman-rabbits to me.\They seem to be peaceful though.\Nanami and I caught the ones who stumbled into Ayase.\This is their original habitat, so we just brought them back.\Their boss looks sick or something.\Big brother.\Valerie. response:	Yes?
context: Looks like a band of highwayman-rabbits to me.\They seem to be peaceful though.\Nanami and I caught the ones who stumbled into Ayase.\This is their original habitat, so we just brought them back.\Their boss looks sick or something.\Big brother.\Valerie.\Yes? response:	I'm sorry we kept you waiting.
context: They seem to be peaceful though.\Nanami and I caught the ones who stumbled into Ayase.\This is their original habitat, so we just brought them back.\Their boss looks sick or something.\Big brother.\Valerie.\Yes?\I'm sorry we kept you waiting. response:	How's the base of the hill looking?
context: Nanami and I caught the ones who stumbled into Ayase.\This is their original habitat, so we just brought them back.\Their boss looks sick or something.\Big brother.\Valerie.\Yes?\I'm sorry we kept you waiting.\How's the base of the hill looking? response:	It seems no harm was done.
context: This is their original habitat, so we just brought them back.\Their boss looks sick or something.\Big brother.\Valerie.\Yes?\I'm sorry we kept you waiting.\How's the base of the hill looking?\It seems no harm was done. response:	We did notice one thing...
context: Their boss looks sick or something.\Big brother.\Valerie.\Yes?\I'm sorry we kept you waiting.\How's the base of the hill looking?\It seems no harm was done.\We did notice one thing... response:	Apparently, one of them had a rather strange form.
context: Big brother.\Valerie.\Yes?\I'm sorry we kept you waiting.\How's the base of the hill looking?\It seems no harm was done.\We did notice one thing...\Apparently, one of them had a rather strange form. response:	She looked like a young girl
context: Valerie.\Yes?\I'm sorry we kept you waiting.\How's the base of the hill looking?\It seems no harm was done.\We did notice one thing...\Apparently, one of them had a rather strange form.\She looked like a young girl response:	and seemed very close to the boss-rabbit.
context: Yes?\I'm sorry we kept you waiting.\How's the base of the hill looking?\It seems no harm was done.\We did notice one thing...\Apparently, one of them had a rather strange form.\She looked like a young girl\and seemed very close to the boss-rabbit. response:	However, nobody has seen her lately.
context: I'm sorry we kept you waiting.\How's the base of the hill looking?\It seems no harm was done.\We did notice one thing...\Apparently, one of them had a rather strange form.\She looked like a young girl\and seemed very close to the boss-rabbit.\However, nobody has seen her lately. response:	The band has split up to look for her
context: How's the base of the hill looking?\It seems no harm was done.\We did notice one thing...\Apparently, one of them had a rather strange form.\She looked like a young girl\and seemed very close to the boss-rabbit.\However, nobody has seen her lately.\The band has split up to look for her response:	and entered human settlements.
context: It seems no harm was done.\We did notice one thing...\Apparently, one of them had a rather strange form.\She looked like a young girl\and seemed very close to the boss-rabbit.\However, nobody has seen her lately.\The band has split up to look for her\and entered human settlements. response:	Do you think she's in a human settlement, too?
context: We did notice one thing...\Apparently, one of them had a rather strange form.\She looked like a young girl\and seemed very close to the boss-rabbit.\However, nobody has seen her lately.\The band has split up to look for her\and entered human settlements.\Do you think she's in a human settlement, too? response:	I just hope it's not some kind of dangerous demon.
context: Apparently, one of them had a rather strange form.\She looked like a young girl\and seemed very close to the boss-rabbit.\However, nobody has seen her lately.\The band has split up to look for her\and entered human settlements.\Do you think she's in a human settlement, too?\I just hope it's not some kind of dangerous demon. response:	Ma'am, how about these?
context: She looked like a young girl\and seemed very close to the boss-rabbit.\However, nobody has seen her lately.\The band has split up to look for her\and entered human settlements.\Do you think she's in a human settlement, too?\I just hope it's not some kind of dangerous demon.\Ma'am, how about these? response:	Huh?
context: and seemed very close to the boss-rabbit.\However, nobody has seen her lately.\The band has split up to look for her\and entered human settlements.\Do you think she's in a human settlement, too?\I just hope it's not some kind of dangerous demon.\Ma'am, how about these?\Huh? response:	Are you all right?
context: However, nobody has seen her lately.\The band has split up to look for her\and entered human settlements.\Do you think she's in a human settlement, too?\I just hope it's not some kind of dangerous demon.\Ma'am, how about these?\Huh?\Are you all right? response:	This is bad!
context: The band has split up to look for her\and entered human settlements.\Do you think she's in a human settlement, too?\I just hope it's not some kind of dangerous demon.\Ma'am, how about these?\Huh?\Are you all right?\This is bad! response:	Princess Millihiore, our special guest at the opening day of our music festival,
context: and entered human settlements.\Do you think she's in a human settlement, too?\I just hope it's not some kind of dangerous demon.\Ma'am, how about these?\Huh?\Are you all right?\This is bad!\Princess Millihiore, our special guest at the opening day of our music festival, response:	has just arrived at Eschenbach Palace.
context: Do you think she's in a human settlement, too?\I just hope it's not some kind of dangerous demon.\Ma'am, how about these?\Huh?\Are you all right?\This is bad!\Princess Millihiore, our special guest at the opening day of our music festival,\has just arrived at Eschenbach Palace. response:	Her clothing and accessories are as adorable as always.
context: I just hope it's not some kind of dangerous demon.\Ma'am, how about these?\Huh?\Are you all right?\This is bad!\Princess Millihiore, our special guest at the opening day of our music festival,\has just arrived at Eschenbach Palace.\Her clothing and accessories are as adorable as always. response:	The number of people here is crazy.
context: Ma'am, how about these?\Huh?\Are you all right?\This is bad!\Princess Millihiore, our special guest at the opening day of our music festival,\has just arrived at Eschenbach Palace.\Her clothing and accessories are as adorable as always.\The number of people here is crazy. response:	Even the outdoor seating is full.
context: Huh?\Are you all right?\This is bad!\Princess Millihiore, our special guest at the opening day of our music festival,\has just arrived at Eschenbach Palace.\Her clothing and accessories are as adorable as always.\The number of people here is crazy.\Even the outdoor seating is full. response:	There are, apparently, over twice as many people here as last year.
context: Are you all right?\This is bad!\Princess Millihiore, our special guest at the opening day of our music festival,\has just arrived at Eschenbach Palace.\Her clothing and accessories are as adorable as always.\The number of people here is crazy.\Even the outdoor seating is full.\There are, apparently, over twice as many people here as last year. response:	We'll need to keep security tight.
context: This is bad!\Princess Millihiore, our special guest at the opening day of our music festival,\has just arrived at Eschenbach Palace.\Her clothing and accessories are as adorable as always.\The number of people here is crazy.\Even the outdoor seating is full.\There are, apparently, over twice as many people here as last year.\We'll need to keep security tight. response:	Yeah!
context: Princess Millihiore, our special guest at the opening day of our music festival,\has just arrived at Eschenbach Palace.\Her clothing and accessories are as adorable as always.\The number of people here is crazy.\Even the outdoor seating is full.\There are, apparently, over twice as many people here as last year.\We'll need to keep security tight.\Yeah! response:	You won't be going out until pretty late in the second half, right?
context: has just arrived at Eschenbach Palace.\Her clothing and accessories are as adorable as always.\The number of people here is crazy.\Even the outdoor seating is full.\There are, apparently, over twice as many people here as last year.\We'll need to keep security tight.\Yeah!\You won't be going out until pretty late in the second half, right? response:	Yes,
context: Her clothing and accessories are as adorable as always.\The number of people here is crazy.\Even the outdoor seating is full.\There are, apparently, over twice as many people here as last year.\We'll need to keep security tight.\Yeah!\You won't be going out until pretty late in the second half, right?\Yes, response:	so we can relax for a bit.
context: The number of people here is crazy.\Even the outdoor seating is full.\There are, apparently, over twice as many people here as last year.\We'll need to keep security tight.\Yeah!\You won't be going out until pretty late in the second half, right?\Yes,\so we can relax for a bit. response:	It's really amazing though,
context: Even the outdoor seating is full.\There are, apparently, over twice as many people here as last year.\We'll need to keep security tight.\Yeah!\You won't be going out until pretty late in the second half, right?\Yes,\so we can relax for a bit.\It's really amazing though, response:	that you'll be singing in front of all those people.
context: There are, apparently, over twice as many people here as last year.\We'll need to keep security tight.\Yeah!\You won't be going out until pretty late in the second half, right?\Yes,\so we can relax for a bit.\It's really amazing though,\that you'll be singing in front of all those people. response:	I do love to sing,
context: We'll need to keep security tight.\Yeah!\You won't be going out until pretty late in the second half, right?\Yes,\so we can relax for a bit.\It's really amazing though,\that you'll be singing in front of all those people.\I do love to sing, response:	and I am happy if they're letting me sing.
context: Yeah!\You won't be going out until pretty late in the second half, right?\Yes,\so we can relax for a bit.\It's really amazing though,\that you'll be singing in front of all those people.\I do love to sing,\and I am happy if they're letting me sing. response:	But still...
context: You won't be going out until pretty late in the second half, right?\Yes,\so we can relax for a bit.\It's really amazing though,\that you'll be singing in front of all those people.\I do love to sing,\and I am happy if they're letting me sing.\But still... response:	Yes?
context: Yes,\so we can relax for a bit.\It's really amazing though,\that you'll be singing in front of all those people.\I do love to sing,\and I am happy if they're letting me sing.\But still...\Yes? response:	I still get nervous when I'm getting up on stage.
context: so we can relax for a bit.\It's really amazing though,\that you'll be singing in front of all those people.\I do love to sing,\and I am happy if they're letting me sing.\But still...\Yes?\I still get nervous when I'm getting up on stage. response:	What if I screw up the plan,
context: It's really amazing though,\that you'll be singing in front of all those people.\I do love to sing,\and I am happy if they're letting me sing.\But still...\Yes?\I still get nervous when I'm getting up on stage.\What if I screw up the plan, response:	or what if I read the crowd wrong?
context: that you'll be singing in front of all those people.\I do love to sing,\and I am happy if they're letting me sing.\But still...\Yes?\I still get nervous when I'm getting up on stage.\What if I screw up the plan,\or what if I read the crowd wrong? response:	You'll be fine, Princess.
context: I do love to sing,\and I am happy if they're letting me sing.\But still...\Yes?\I still get nervous when I'm getting up on stage.\What if I screw up the plan,\or what if I read the crowd wrong?\You'll be fine, Princess. response:	I got it.
context: and I am happy if they're letting me sing.\But still...\Yes?\I still get nervous when I'm getting up on stage.\What if I screw up the plan,\or what if I read the crowd wrong?\You'll be fine, Princess.\I got it. response:	Why don't we call Sink?
context: But still...\Yes?\I still get nervous when I'm getting up on stage.\What if I screw up the plan,\or what if I read the crowd wrong?\You'll be fine, Princess.\I got it.\Why don't we call Sink? response:	Yes? Sink here.
context: Yes?\I still get nervous when I'm getting up on stage.\What if I screw up the plan,\or what if I read the crowd wrong?\You'll be fine, Princess.\I got it.\Why don't we call Sink?\Yes? Sink here. response:	Hi, Sink.
context: I still get nervous when I'm getting up on stage.\What if I screw up the plan,\or what if I read the crowd wrong?\You'll be fine, Princess.\I got it.\Why don't we call Sink?\Yes? Sink here.\Hi, Sink. response:	Are you in the middle of work?
context: What if I screw up the plan,\or what if I read the crowd wrong?\You'll be fine, Princess.\I got it.\Why don't we call Sink?\Yes? Sink here.\Hi, Sink.\Are you in the middle of work? response:	Yeah.
context: or what if I read the crowd wrong?\You'll be fine, Princess.\I got it.\Why don't we call Sink?\Yes? Sink here.\Hi, Sink.\Are you in the middle of work?\Yeah. response:	I'm helping Rico and the others set up the vendor stalls.
context: You'll be fine, Princess.\I got it.\Why don't we call Sink?\Yes? Sink here.\Hi, Sink.\Are you in the middle of work?\Yeah.\I'm helping Rico and the others set up the vendor stalls. response:	Is something going on?
context: I got it.\Why don't we call Sink?\Yes? Sink here.\Hi, Sink.\Are you in the middle of work?\Yeah.\I'm helping Rico and the others set up the vendor stalls.\Is something going on? response:	Well, the princess is nervous
context: Why don't we call Sink?\Yes? Sink here.\Hi, Sink.\Are you in the middle of work?\Yeah.\I'm helping Rico and the others set up the vendor stalls.\Is something going on?\Well, the princess is nervous response:	and she could use some cheering up.
context: Yes? Sink here.\Hi, Sink.\Are you in the middle of work?\Yeah.\I'm helping Rico and the others set up the vendor stalls.\Is something going on?\Well, the princess is nervous\and she could use some cheering up. response:	Roger!
context: Hi, Sink.\Are you in the middle of work?\Yeah.\I'm helping Rico and the others set up the vendor stalls.\Is something going on?\Well, the princess is nervous\and she could use some cheering up.\Roger! response:	I'm sorry to bother you during work.
context: Are you in the middle of work?\Yeah.\I'm helping Rico and the others set up the vendor stalls.\Is something going on?\Well, the princess is nervous\and she could use some cheering up.\Roger!\I'm sorry to bother you during work. response:	You're not bothering me at all.
context: Yeah.\I'm helping Rico and the others set up the vendor stalls.\Is something going on?\Well, the princess is nervous\and she could use some cheering up.\Roger!\I'm sorry to bother you during work.\You're not bothering me at all. response:	Don't worry, Princess. Just give it your best.
context: I'm helping Rico and the others set up the vendor stalls.\Is something going on?\Well, the princess is nervous\and she could use some cheering up.\Roger!\I'm sorry to bother you during work.\You're not bothering me at all.\Don't worry, Princess. Just give it your best. response:	I will!
context: Is something going on?\Well, the princess is nervous\and she could use some cheering up.\Roger!\I'm sorry to bother you during work.\You're not bothering me at all.\Don't worry, Princess. Just give it your best.\I will! response:	I'll try to sing like I always do.
context: Well, the princess is nervous\and she could use some cheering up.\Roger!\I'm sorry to bother you during work.\You're not bothering me at all.\Don't worry, Princess. Just give it your best.\I will!\I'll try to sing like I always do. response:	Are you performing here?
context: and she could use some cheering up.\Roger!\I'm sorry to bother you during work.\You're not bothering me at all.\Don't worry, Princess. Just give it your best.\I will!\I'll try to sing like I always do.\Are you performing here? response:	Regular guests are not allowed back here...
context: Roger!\I'm sorry to bother you during work.\You're not bothering me at all.\Don't worry, Princess. Just give it your best.\I will!\I'll try to sing like I always do.\Are you performing here?\Regular guests are not allowed back here... response:	Yes?
context: I'm sorry to bother you during work.\You're not bothering me at all.\Don't worry, Princess. Just give it your best.\I will!\I'll try to sing like I always do.\Are you performing here?\Regular guests are not allowed back here...\Yes? response:	It's one of the knights.
context: You're not bothering me at all.\Don't worry, Princess. Just give it your best.\I will!\I'll try to sing like I always do.\Are you performing here?\Regular guests are not allowed back here...\Yes?\It's one of the knights. response:	Is something wrong?
context: Don't worry, Princess. Just give it your best.\I will!\I'll try to sing like I always do.\Are you performing here?\Regular guests are not allowed back here...\Yes?\It's one of the knights.\Is something wrong? response:	I'm so sorry.
context: I will!\I'll try to sing like I always do.\Are you performing here?\Regular guests are not allowed back here...\Yes?\It's one of the knights.\Is something wrong?\I'm so sorry. response:	Are you all right, Princess?
context: I'll try to sing like I always do.\Are you performing here?\Regular guests are not allowed back here...\Yes?\It's one of the knights.\Is something wrong?\I'm so sorry.\Are you all right, Princess? response:	Yes, are you all right?
context: Are you performing here?\Regular guests are not allowed back here...\Yes?\It's one of the knights.\Is something wrong?\I'm so sorry.\Are you all right, Princess?\Yes, are you all right? response:	Stop right there, you jewel thief!
context: Regular guests are not allowed back here...\Yes?\It's one of the knights.\Is something wrong?\I'm so sorry.\Are you all right, Princess?\Yes, are you all right?\Stop right there, you jewel thief! response:	No!
context: Yes?\It's one of the knights.\Is something wrong?\I'm so sorry.\Are you all right, Princess?\Yes, are you all right?\Stop right there, you jewel thief!\No! response:	These are very precious to...
context: It's one of the knights.\Is something wrong?\I'm so sorry.\Are you all right, Princess?\Yes, are you all right?\Stop right there, you jewel thief!\No!\These are very precious to... response:	Cou-sama, the princess, and everybody!
context: Is something wrong?\I'm so sorry.\Are you all right, Princess?\Yes, are you all right?\Stop right there, you jewel thief!\No!\These are very precious to...\Cou-sama, the princess, and everybody! response:	This is an emergency call to all security personnel.
context: I'm so sorry.\Are you all right, Princess?\Yes, are you all right?\Stop right there, you jewel thief!\No!\These are very precious to...\Cou-sama, the princess, and everybody!\This is an emergency call to all security personnel. response:	A young female robber
context: Are you all right, Princess?\Yes, are you all right?\Stop right there, you jewel thief!\No!\These are very precious to...\Cou-sama, the princess, and everybody!\This is an emergency call to all security personnel.\A young female robber response:	has invaded Princess Millihiore's green room.
context: Yes, are you all right?\Stop right there, you jewel thief!\No!\These are very precious to...\Cou-sama, the princess, and everybody!\This is an emergency call to all security personnel.\A young female robber\has invaded Princess Millihiore's green room. response:	She was beaten back by Rebecca-sama.
context: Stop right there, you jewel thief!\No!\These are very precious to...\Cou-sama, the princess, and everybody!\This is an emergency call to all security personnel.\A young female robber\has invaded Princess Millihiore's green room.\She was beaten back by Rebecca-sama. response:	Both she and the princess are fine.
context: No!\These are very precious to...\Cou-sama, the princess, and everybody!\This is an emergency call to all security personnel.\A young female robber\has invaded Princess Millihiore's green room.\She was beaten back by Rebecca-sama.\Both she and the princess are fine. response:	The robber uses magic
context: These are very precious to...\Cou-sama, the princess, and everybody!\This is an emergency call to all security personnel.\A young female robber\has invaded Princess Millihiore's green room.\She was beaten back by Rebecca-sama.\Both she and the princess are fine.\The robber uses magic response:	to control the bodies of her opponents.
context: Cou-sama, the princess, and everybody!\This is an emergency call to all security personnel.\A young female robber\has invaded Princess Millihiore's green room.\She was beaten back by Rebecca-sama.\Both she and the princess are fine.\The robber uses magic\to control the bodies of her opponents. response:	Could this be some kind of demon?
context: This is an emergency call to all security personnel.\A young female robber\has invaded Princess Millihiore's green room.\She was beaten back by Rebecca-sama.\Both she and the princess are fine.\The robber uses magic\to control the bodies of her opponents.\Could this be some kind of demon? response:	No. If she controls the bodies of her victims,
context: A young female robber\has invaded Princess Millihiore's green room.\She was beaten back by Rebecca-sama.\Both she and the princess are fine.\The robber uses magic\to control the bodies of her opponents.\Could this be some kind of demon?\No. If she controls the bodies of her victims, response:	then she must be a...
context: has invaded Princess Millihiore's green room.\She was beaten back by Rebecca-sama.\Both she and the princess are fine.\The robber uses magic\to control the bodies of her opponents.\Could this be some kind of demon?\No. If she controls the bodies of her victims,\then she must be a... response:	Catch her!
context: She was beaten back by Rebecca-sama.\Both she and the princess are fine.\The robber uses magic\to control the bodies of her opponents.\Could this be some kind of demon?\No. If she controls the bodies of her victims,\then she must be a...\Catch her! response:	Transform!
context: Both she and the princess are fine.\The robber uses magic\to control the bodies of her opponents.\Could this be some kind of demon?\No. If she controls the bodies of her victims,\then she must be a...\Catch her!\Transform! response:	Hero Crystal Hero Time.
context: The robber uses magic\to control the bodies of her opponents.\Could this be some kind of demon?\No. If she controls the bodies of her victims,\then she must be a...\Catch her!\Transform!\Hero Crystal Hero Time. response:	The Hero...
context: to control the bodies of her opponents.\Could this be some kind of demon?\No. If she controls the bodies of her victims,\then she must be a...\Catch her!\Transform!\Hero Crystal Hero Time.\The Hero... response:	You're deflecting her control?
context: Could this be some kind of demon?\No. If she controls the bodies of her victims,\then she must be a...\Catch her!\Transform!\Hero Crystal Hero Time.\The Hero...\You're deflecting her control? response:	Is this the power of the Hero Crystal?!
context: No. If she controls the bodies of her victims,\then she must be a...\Catch her!\Transform!\Hero Crystal Hero Time.\The Hero...\You're deflecting her control?\Is this the power of the Hero Crystal?! response:	Now you're going to give back all the things you stole.
context: then she must be a...\Catch her!\Transform!\Hero Crystal Hero Time.\The Hero...\You're deflecting her control?\Is this the power of the Hero Crystal?!\Now you're going to give back all the things you stole. response:	Eclair, let's get her!
context: Catch her!\Transform!\Hero Crystal Hero Time.\The Hero...\You're deflecting her control?\Is this the power of the Hero Crystal?!\Now you're going to give back all the things you stole.\Eclair, let's get her! response:	Yeah!
context: Transform!\Hero Crystal Hero Time.\The Hero...\You're deflecting her control?\Is this the power of the Hero Crystal?!\Now you're going to give back all the things you stole.\Eclair, let's get her!\Yeah! response:	She sure is fast!
context: Hero Crystal Hero Time.\The Hero...\You're deflecting her control?\Is this the power of the Hero Crystal?!\Now you're going to give back all the things you stole.\Eclair, let's get her!\Yeah!\She sure is fast! response:	Judging by her skills, I'd say she's the child of a local god.
context: The Hero...\You're deflecting her control?\Is this the power of the Hero Crystal?!\Now you're going to give back all the things you stole.\Eclair, let's get her!\Yeah!\She sure is fast!\Judging by her skills, I'd say she's the child of a local god. response:	Most likely, a descendant of a cat god.
context: You're deflecting her control?\Is this the power of the Hero Crystal?!\Now you're going to give back all the things you stole.\Eclair, let's get her!\Yeah!\She sure is fast!\Judging by her skills, I'd say she's the child of a local god.\Most likely, a descendant of a cat god. response:	Local god, you say?
context: Is this the power of the Hero Crystal?!\Now you're going to give back all the things you stole.\Eclair, let's get her!\Yeah!\She sure is fast!\Judging by her skills, I'd say she's the child of a local god.\Most likely, a descendant of a cat god.\Local god, you say? response:	Then we can't be too rough with her.
context: Now you're going to give back all the things you stole.\Eclair, let's get her!\Yeah!\She sure is fast!\Judging by her skills, I'd say she's the child of a local god.\Most likely, a descendant of a cat god.\Local god, you say?\Then we can't be too rough with her. response:	But we have to get back everything she stole.
context: Eclair, let's get her!\Yeah!\She sure is fast!\Judging by her skills, I'd say she's the child of a local god.\Most likely, a descendant of a cat god.\Local god, you say?\Then we can't be too rough with her.\But we have to get back everything she stole. response:	If we're careful, we can do it without getting hurt.
context: Yeah!\She sure is fast!\Judging by her skills, I'd say she's the child of a local god.\Most likely, a descendant of a cat god.\Local god, you say?\Then we can't be too rough with her.\But we have to get back everything she stole.\If we're careful, we can do it without getting hurt. response:	Then let's go get her!
context: She sure is fast!\Judging by her skills, I'd say she's the child of a local god.\Most likely, a descendant of a cat god.\Local god, you say?\Then we can't be too rough with her.\But we have to get back everything she stole.\If we're careful, we can do it without getting hurt.\Then let's go get her! response:	Fast Wind Blade!
context: Judging by her skills, I'd say she's the child of a local god.\Most likely, a descendant of a cat god.\Local god, you say?\Then we can't be too rough with her.\But we have to get back everything she stole.\If we're careful, we can do it without getting hurt.\Then let's go get her!\Fast Wind Blade! response:	Good job, Eclair.
context: Most likely, a descendant of a cat god.\Local god, you say?\Then we can't be too rough with her.\But we have to get back everything she stole.\If we're careful, we can do it without getting hurt.\Then let's go get her!\Fast Wind Blade!\Good job, Eclair. response:	Oh, that was nothing.
context: Local god, you say?\Then we can't be too rough with her.\But we have to get back everything she stole.\If we're careful, we can do it without getting hurt.\Then let's go get her!\Fast Wind Blade!\Good job, Eclair.\Oh, that was nothing. response:	It looks like they caught the thief!
context: Then we can't be too rough with her.\But we have to get back everything she stole.\If we're careful, we can do it without getting hurt.\Then let's go get her!\Fast Wind Blade!\Good job, Eclair.\Oh, that was nothing.\It looks like they caught the thief! response:	They also recovered all the items she stole.
context: But we have to get back everything she stole.\If we're careful, we can do it without getting hurt.\Then let's go get her!\Fast Wind Blade!\Good job, Eclair.\Oh, that was nothing.\It looks like they caught the thief!\They also recovered all the items she stole. response:	That's wonderful!
context: If we're careful, we can do it without getting hurt.\Then let's go get her!\Fast Wind Blade!\Good job, Eclair.\Oh, that was nothing.\It looks like they caught the thief!\They also recovered all the items she stole.\That's wonderful! response:	I guess she really was a lost local god.
context: Then let's go get her!\Fast Wind Blade!\Good job, Eclair.\Oh, that was nothing.\It looks like they caught the thief!\They also recovered all the items she stole.\That's wonderful!\I guess she really was a lost local god. response:	I'm glad she didn't get hurt.
context: Fast Wind Blade!\Good job, Eclair.\Oh, that was nothing.\It looks like they caught the thief!\They also recovered all the items she stole.\That's wonderful!\I guess she really was a lost local god.\I'm glad she didn't get hurt. response:	We will make sure to bring this cat god safely back to Mithha.
context: Good job, Eclair.\Oh, that was nothing.\It looks like they caught the thief!\They also recovered all the items she stole.\That's wonderful!\I guess she really was a lost local god.\I'm glad she didn't get hurt.\We will make sure to bring this cat god safely back to Mithha. response:	Excuse me.
context: Oh, that was nothing.\It looks like they caught the thief!\They also recovered all the items she stole.\That's wonderful!\I guess she really was a lost local god.\I'm glad she didn't get hurt.\We will make sure to bring this cat god safely back to Mithha.\Excuse me. response:	Just one moment.
context: It looks like they caught the thief!\They also recovered all the items she stole.\That's wonderful!\I guess she really was a lost local god.\I'm glad she didn't get hurt.\We will make sure to bring this cat god safely back to Mithha.\Excuse me.\Just one moment. response:	This is for you, cat god.
context: They also recovered all the items she stole.\That's wonderful!\I guess she really was a lost local god.\I'm glad she didn't get hurt.\We will make sure to bring this cat god safely back to Mithha.\Excuse me.\Just one moment.\This is for you, cat god. response:	I got it as a souvenir at one of the booths,
context: That's wonderful!\I guess she really was a lost local god.\I'm glad she didn't get hurt.\We will make sure to bring this cat god safely back to Mithha.\Excuse me.\Just one moment.\This is for you, cat god.\I got it as a souvenir at one of the booths, response:	but I'll give it to you.
context: I guess she really was a lost local god.\I'm glad she didn't get hurt.\We will make sure to bring this cat god safely back to Mithha.\Excuse me.\Just one moment.\This is for you, cat god.\I got it as a souvenir at one of the booths,\but I'll give it to you. response:	Owwowowowow!
context: I'm glad she didn't get hurt.\We will make sure to bring this cat god safely back to Mithha.\Excuse me.\Just one moment.\This is for you, cat god.\I got it as a souvenir at one of the booths,\but I'll give it to you.\Owwowowowow! response:	No cat god! You're not supposed to bite it!
context: We will make sure to bring this cat god safely back to Mithha.\Excuse me.\Just one moment.\This is for you, cat god.\I got it as a souvenir at one of the booths,\but I'll give it to you.\Owwowowowow!\No cat god! You're not supposed to bite it! response:	I don't think a young, wild cat god
context: Excuse me.\Just one moment.\This is for you, cat god.\I got it as a souvenir at one of the booths,\but I'll give it to you.\Owwowowowow!\No cat god! You're not supposed to bite it!\I don't think a young, wild cat god response:	understands too many words.
context: Just one moment.\This is for you, cat god.\I got it as a souvenir at one of the booths,\but I'll give it to you.\Owwowowowow!\No cat god! You're not supposed to bite it!\I don't think a young, wild cat god\understands too many words. response:	Yeah, huh?
context: This is for you, cat god.\I got it as a souvenir at one of the booths,\but I'll give it to you.\Owwowowowow!\No cat god! You're not supposed to bite it!\I don't think a young, wild cat god\understands too many words.\Yeah, huh? response:	I guess, even if we go back now,
context: I got it as a souvenir at one of the booths,\but I'll give it to you.\Owwowowowow!\No cat god! You're not supposed to bite it!\I don't think a young, wild cat god\understands too many words.\Yeah, huh?\I guess, even if we go back now, response:	we won't make it in time for the princess's performance.
context: but I'll give it to you.\Owwowowowow!\No cat god! You're not supposed to bite it!\I don't think a young, wild cat god\understands too many words.\Yeah, huh?\I guess, even if we go back now,\we won't make it in time for the princess's performance. response:	I guess we can watch a recording.
context: Owwowowowow!\No cat god! You're not supposed to bite it!\I don't think a young, wild cat god\understands too many words.\Yeah, huh?\I guess, even if we go back now,\we won't make it in time for the princess's performance.\I guess we can watch a recording. response:	We'll make it.
context: No cat god! You're not supposed to bite it!\I don't think a young, wild cat god\understands too many words.\Yeah, huh?\I guess, even if we go back now,\we won't make it in time for the princess's performance.\I guess we can watch a recording.\We'll make it. response:	Get on!
context: I don't think a young, wild cat god\understands too many words.\Yeah, huh?\I guess, even if we go back now,\we won't make it in time for the princess's performance.\I guess we can watch a recording.\We'll make it.\Get on! response:	It's the Hero Super Express, Hyper Edition!
context: understands too many words.\Yeah, huh?\I guess, even if we go back now,\we won't make it in time for the princess's performance.\I guess we can watch a recording.\We'll make it.\Get on!\It's the Hero Super Express, Hyper Edition! response:	What he said!
context: Yeah, huh?\I guess, even if we go back now,\we won't make it in time for the princess's performance.\I guess we can watch a recording.\We'll make it.\Get on!\It's the Hero Super Express, Hyper Edition!\What he said! response:	Wow, this is incredible!
context: I guess, even if we go back now,\we won't make it in time for the princess's performance.\I guess we can watch a recording.\We'll make it.\Get on!\It's the Hero Super Express, Hyper Edition!\What he said!\Wow, this is incredible! response:	This brings back memories.
context: we won't make it in time for the princess's performance.\I guess we can watch a recording.\We'll make it.\Get on!\It's the Hero Super Express, Hyper Edition!\What he said!\Wow, this is incredible!\This brings back memories. response:	This is just like when we first met, Sink.
context: I guess we can watch a recording.\We'll make it.\Get on!\It's the Hero Super Express, Hyper Edition!\What he said!\Wow, this is incredible!\This brings back memories.\This is just like when we first met, Sink. response:	Yeah, huh.
context: We'll make it.\Get on!\It's the Hero Super Express, Hyper Edition!\What he said!\Wow, this is incredible!\This brings back memories.\This is just like when we first met, Sink.\Yeah, huh. response:	You've grown up, Sink.
context: Get on!\It's the Hero Super Express, Hyper Edition!\What he said!\Wow, this is incredible!\This brings back memories.\This is just like when we first met, Sink.\Yeah, huh.\You've grown up, Sink. response:	I'm overcome with emotion...
context: It's the Hero Super Express, Hyper Edition!\What he said!\Wow, this is incredible!\This brings back memories.\This is just like when we first met, Sink.\Yeah, huh.\You've grown up, Sink.\I'm overcome with emotion... response:	No, no, I think you've got that a bit wrong.
context: What he said!\Wow, this is incredible!\This brings back memories.\This is just like when we first met, Sink.\Yeah, huh.\You've grown up, Sink.\I'm overcome with emotion...\No, no, I think you've got that a bit wrong. response:	Normal Hero or big Hero, they're both great!
