context: Perfect. response:	Tea and Distance
context: I want to notice.\I want to understand him, too.\I want to understand him, too.\Want to eat together, Chiyo?\Again?\Do you like eating with me or something?\That's weird.\Says the one who already has everything prepared. response:	I just happened to have three paper plates and three paper cups.
context: I want to understand him, too.\I want to understand him, too.\Want to eat together, Chiyo?\Again?\Do you like eating with me or something?\That's weird.\Says the one who already has everything prepared.\I just happened to have three paper plates and three paper cups. response:	Well, I'm a delinquent, so I just happened to be walking past this place.
context: I want to understand him, too.\Want to eat together, Chiyo?\Again?\Do you like eating with me or something?\That's weird.\Says the one who already has everything prepared.\I just happened to have three paper plates and three paper cups.\Well, I'm a delinquent, so I just happened to be walking past this place. response:	Please.
context: Want to eat together, Chiyo?\Again?\Do you like eating with me or something?\That's weird.\Says the one who already has everything prepared.\I just happened to have three paper plates and three paper cups.\Well, I'm a delinquent, so I just happened to be walking past this place.\Please. response:	Oh, thank you.
context: Again?\Do you like eating with me or something?\That's weird.\Says the one who already has everything prepared.\I just happened to have three paper plates and three paper cups.\Well, I'm a delinquent, so I just happened to be walking past this place.\Please.\Oh, thank you. response:	Eating together makes the food taste better.
context: Do you like eating with me or something?\That's weird.\Says the one who already has everything prepared.\I just happened to have three paper plates and three paper cups.\Well, I'm a delinquent, so I just happened to be walking past this place.\Please.\Oh, thank you.\Eating together makes the food taste better. response:	It also makes you closer friends.
context: That's weird.\Says the one who already has everything prepared.\I just happened to have three paper plates and three paper cups.\Well, I'm a delinquent, so I just happened to be walking past this place.\Please.\Oh, thank you.\Eating together makes the food taste better.\It also makes you closer friends. response:	I suppose you have a point.
context: Says the one who already has everything prepared.\I just happened to have three paper plates and three paper cups.\Well, I'm a delinquent, so I just happened to be walking past this place.\Please.\Oh, thank you.\Eating together makes the food taste better.\It also makes you closer friends.\I suppose you have a point. response:	They do say people are defenseless while they're feeding.
context: I just happened to have three paper plates and three paper cups.\Well, I'm a delinquent, so I just happened to be walking past this place.\Please.\Oh, thank you.\Eating together makes the food taste better.\It also makes you closer friends.\I suppose you have a point.\They do say people are defenseless while they're feeding. response:	That reminds me!
context: Well, I'm a delinquent, so I just happened to be walking past this place.\Please.\Oh, thank you.\Eating together makes the food taste better.\It also makes you closer friends.\I suppose you have a point.\They do say people are defenseless while they're feeding.\That reminds me! response:	I've never had a meal with Miketsukami.
context: Please.\Oh, thank you.\Eating together makes the food taste better.\It also makes you closer friends.\I suppose you have a point.\They do say people are defenseless while they're feeding.\That reminds me!\I've never had a meal with Miketsukami. response:	Actually, I've never seen him
context: Oh, thank you.\Eating together makes the food taste better.\It also makes you closer friends.\I suppose you have a point.\They do say people are defenseless while they're feeding.\That reminds me!\I've never had a meal with Miketsukami.\Actually, I've never seen him response:	eat anything since I arrived at Ayakashi Kan!
context: Eating together makes the food taste better.\It also makes you closer friends.\I suppose you have a point.\They do say people are defenseless while they're feeding.\That reminds me!\I've never had a meal with Miketsukami.\Actually, I've never seen him\eat anything since I arrived at Ayakashi Kan! response:	What's wrong?
context: It also makes you closer friends.\I suppose you have a point.\They do say people are defenseless while they're feeding.\That reminds me!\I've never had a meal with Miketsukami.\Actually, I've never seen him\eat anything since I arrived at Ayakashi Kan!\What's wrong? response:	Even with that, he takes extra care to humble himself.
context: I suppose you have a point.\They do say people are defenseless while they're feeding.\That reminds me!\I've never had a meal with Miketsukami.\Actually, I've never seen him\eat anything since I arrived at Ayakashi Kan!\What's wrong?\Even with that, he takes extra care to humble himself. response:	This is no good!
context: They do say people are defenseless while they're feeding.\That reminds me!\I've never had a meal with Miketsukami.\Actually, I've never seen him\eat anything since I arrived at Ayakashi Kan!\What's wrong?\Even with that, he takes extra care to humble himself.\This is no good! response:	I must level the field more.
context: That reminds me!\I've never had a meal with Miketsukami.\Actually, I've never seen him\eat anything since I arrived at Ayakashi Kan!\What's wrong?\Even with that, he takes extra care to humble himself.\This is no good!\I must level the field more. response:	No wonder I don't understand him.
context: I've never had a meal with Miketsukami.\Actually, I've never seen him\eat anything since I arrived at Ayakashi Kan!\What's wrong?\Even with that, he takes extra care to humble himself.\This is no good!\I must level the field more.\No wonder I don't understand him. response:	Eating together...
context: Actually, I've never seen him\eat anything since I arrived at Ayakashi Kan!\What's wrong?\Even with that, he takes extra care to humble himself.\This is no good!\I must level the field more.\No wonder I don't understand him.\Eating together... response:	But what?
context: eat anything since I arrived at Ayakashi Kan!\What's wrong?\Even with that, he takes extra care to humble himself.\This is no good!\I must level the field more.\No wonder I don't understand him.\Eating together...\But what? response:	I've got it!
context: What's wrong?\Even with that, he takes extra care to humble himself.\This is no good!\I must level the field more.\No wonder I don't understand him.\Eating together...\But what?\I've got it! response:	I'll make him coffee,
context: Even with that, he takes extra care to humble himself.\This is no good!\I must level the field more.\No wonder I don't understand him.\Eating together...\But what?\I've got it!\I'll make him coffee, response:	with all my heart, just like he prepared my tea!
context: This is no good!\I must level the field more.\No wonder I don't understand him.\Eating together...\But what?\I've got it!\I'll make him coffee,\with all my heart, just like he prepared my tea! response:	I'll make my famous coffee,
context: I must level the field more.\No wonder I don't understand him.\Eating together...\But what?\I've got it!\I'll make him coffee,\with all my heart, just like he prepared my tea!\I'll make my famous coffee, response:	and have tea time with him!
context: No wonder I don't understand him.\Eating together...\But what?\I've got it!\I'll make him coffee,\with all my heart, just like he prepared my tea!\I'll make my famous coffee,\and have tea time with him! response:	What the hell?
context: Eating together...\But what?\I've got it!\I'll make him coffee,\with all my heart, just like he prepared my tea!\I'll make my famous coffee,\and have tea time with him!\What the hell? response:	Eating with Chiyo is fun.
context: But what?\I've got it!\I'll make him coffee,\with all my heart, just like he prepared my tea!\I'll make my famous coffee,\and have tea time with him!\What the hell?\Eating with Chiyo is fun. response:	It's perfect.
context: I've got it!\I'll make him coffee,\with all my heart, just like he prepared my tea!\I'll make my famous coffee,\and have tea time with him!\What the hell?\Eating with Chiyo is fun.\It's perfect. response:	The goal is to have tea together.
context: I'll make him coffee,\with all my heart, just like he prepared my tea!\I'll make my famous coffee,\and have tea time with him!\What the hell?\Eating with Chiyo is fun.\It's perfect.\The goal is to have tea together. response:	But if we do this, I want him to enjoy himself.
context: with all my heart, just like he prepared my tea!\I'll make my famous coffee,\and have tea time with him!\What the hell?\Eating with Chiyo is fun.\It's perfect.\The goal is to have tea together.\But if we do this, I want him to enjoy himself. response:	Thank you! Thank you! Thank you!
context: I'll make my famous coffee,\and have tea time with him!\What the hell?\Eating with Chiyo is fun.\It's perfect.\The goal is to have tea together.\But if we do this, I want him to enjoy himself.\Thank you! Thank you! Thank you! response:	It isn't like I expect him to be grateful or anything,
context: and have tea time with him!\What the hell?\Eating with Chiyo is fun.\It's perfect.\The goal is to have tea together.\But if we do this, I want him to enjoy himself.\Thank you! Thank you! Thank you!\It isn't like I expect him to be grateful or anything, response:	so you can shut up, Murai.
context: What the hell?\Eating with Chiyo is fun.\It's perfect.\The goal is to have tea together.\But if we do this, I want him to enjoy himself.\Thank you! Thank you! Thank you!\It isn't like I expect him to be grateful or anything,\so you can shut up, Murai. response:	This is what I have to do!
context: Eating with Chiyo is fun.\It's perfect.\The goal is to have tea together.\But if we do this, I want him to enjoy himself.\Thank you! Thank you! Thank you!\It isn't like I expect him to be grateful or anything,\so you can shut up, Murai.\This is what I have to do! response:	All right.
context: It's perfect.\The goal is to have tea together.\But if we do this, I want him to enjoy himself.\Thank you! Thank you! Thank you!\It isn't like I expect him to be grateful or anything,\so you can shut up, Murai.\This is what I have to do!\All right. response:	Then I just need to invite Miketsukami tomorrow morning, and...
context: The goal is to have tea together.\But if we do this, I want him to enjoy himself.\Thank you! Thank you! Thank you!\It isn't like I expect him to be grateful or anything,\so you can shut up, Murai.\This is what I have to do!\All right.\Then I just need to invite Miketsukami tomorrow morning, and... response:	But how should I invite him?
context: But if we do this, I want him to enjoy himself.\Thank you! Thank you! Thank you!\It isn't like I expect him to be grateful or anything,\so you can shut up, Murai.\This is what I have to do!\All right.\Then I just need to invite Miketsukami tomorrow morning, and...\But how should I invite him? response:	Ways to Invite Miketsukami Idea One
context: Thank you! Thank you! Thank you!\It isn't like I expect him to be grateful or anything,\so you can shut up, Murai.\This is what I have to do!\All right.\Then I just need to invite Miketsukami tomorrow morning, and...\But how should I invite him?\Ways to Invite Miketsukami Idea One response:	Miketsukami, I'd like to buy some coffee beans. Care to come along?
context: It isn't like I expect him to be grateful or anything,\so you can shut up, Murai.\This is what I have to do!\All right.\Then I just need to invite Miketsukami tomorrow morning, and...\But how should I invite him?\Ways to Invite Miketsukami Idea One\Miketsukami, I'd like to buy some coffee beans. Care to come along? response:	Of course. Will you be preparing the coffee yourself?
context: so you can shut up, Murai.\This is what I have to do!\All right.\Then I just need to invite Miketsukami tomorrow morning, and...\But how should I invite him?\Ways to Invite Miketsukami Idea One\Miketsukami, I'd like to buy some coffee beans. Care to come along?\Of course. Will you be preparing the coffee yourself? response:	I will, yes. My coffee is quite delectable.
context: This is what I have to do!\All right.\Then I just need to invite Miketsukami tomorrow morning, and...\But how should I invite him?\Ways to Invite Miketsukami Idea One\Miketsukami, I'd like to buy some coffee beans. Care to come along?\Of course. Will you be preparing the coffee yourself?\I will, yes. My coffee is quite delectable. response:	I would love to try some of your tasty beverage.
context: All right.\Then I just need to invite Miketsukami tomorrow morning, and...\But how should I invite him?\Ways to Invite Miketsukami Idea One\Miketsukami, I'd like to buy some coffee beans. Care to come along?\Of course. Will you be preparing the coffee yourself?\I will, yes. My coffee is quite delectable.\I would love to try some of your tasty beverage. response:	He'd never say anything like that!
context: Then I just need to invite Miketsukami tomorrow morning, and...\But how should I invite him?\Ways to Invite Miketsukami Idea One\Miketsukami, I'd like to buy some coffee beans. Care to come along?\Of course. Will you be preparing the coffee yourself?\I will, yes. My coffee is quite delectable.\I would love to try some of your tasty beverage.\He'd never say anything like that! response:	Idea Two
context: But how should I invite him?\Ways to Invite Miketsukami Idea One\Miketsukami, I'd like to buy some coffee beans. Care to come along?\Of course. Will you be preparing the coffee yourself?\I will, yes. My coffee is quite delectable.\I would love to try some of your tasty beverage.\He'd never say anything like that!\Idea Two response:	Have you ever heard of Ethiopian Andromeda coffee?
context: Ways to Invite Miketsukami Idea One\Miketsukami, I'd like to buy some coffee beans. Care to come along?\Of course. Will you be preparing the coffee yourself?\I will, yes. My coffee is quite delectable.\I would love to try some of your tasty beverage.\He'd never say anything like that!\Idea Two\Have you ever heard of Ethiopian Andromeda coffee? response:	What would that be?
context: Miketsukami, I'd like to buy some coffee beans. Care to come along?\Of course. Will you be preparing the coffee yourself?\I will, yes. My coffee is quite delectable.\I would love to try some of your tasty beverage.\He'd never say anything like that!\Idea Two\Have you ever heard of Ethiopian Andromeda coffee?\What would that be? response:	It's an extremely rare variety, grown entirely wild in the forest. I've managed to procure some.
context: Of course. Will you be preparing the coffee yourself?\I will, yes. My coffee is quite delectable.\I would love to try some of your tasty beverage.\He'd never say anything like that!\Idea Two\Have you ever heard of Ethiopian Andromeda coffee?\What would that be?\It's an extremely rare variety, grown entirely wild in the forest. I've managed to procure some. response:	That's a lie!
context: I will, yes. My coffee is quite delectable.\I would love to try some of your tasty beverage.\He'd never say anything like that!\Idea Two\Have you ever heard of Ethiopian Andromeda coffee?\What would that be?\It's an extremely rare variety, grown entirely wild in the forest. I've managed to procure some.\That's a lie! response:	I can't say that.
context: I would love to try some of your tasty beverage.\He'd never say anything like that!\Idea Two\Have you ever heard of Ethiopian Andromeda coffee?\What would that be?\It's an extremely rare variety, grown entirely wild in the forest. I've managed to procure some.\That's a lie!\I can't say that. response:	Idea Three
context: He'd never say anything like that!\Idea Two\Have you ever heard of Ethiopian Andromeda coffee?\What would that be?\It's an extremely rare variety, grown entirely wild in the forest. I've managed to procure some.\That's a lie!\I can't say that.\Idea Three response:	I've discovered a new variety of coffee. Help me taste it.
context: Idea Two\Have you ever heard of Ethiopian Andromeda coffee?\What would that be?\It's an extremely rare variety, grown entirely wild in the forest. I've managed to procure some.\That's a lie!\I can't say that.\Idea Three\I've discovered a new variety of coffee. Help me taste it. response:	Why am I ordering him around?!
context: Have you ever heard of Ethiopian Andromeda coffee?\What would that be?\It's an extremely rare variety, grown entirely wild in the forest. I've managed to procure some.\That's a lie!\I can't say that.\Idea Three\I've discovered a new variety of coffee. Help me taste it.\Why am I ordering him around?! response:	Idea Four
context: What would that be?\It's an extremely rare variety, grown entirely wild in the forest. I've managed to procure some.\That's a lie!\I can't say that.\Idea Three\I've discovered a new variety of coffee. Help me taste it.\Why am I ordering him around?!\Idea Four response:	I'd like to drink coffee with you.
context: It's an extremely rare variety, grown entirely wild in the forest. I've managed to procure some.\That's a lie!\I can't say that.\Idea Three\I've discovered a new variety of coffee. Help me taste it.\Why am I ordering him around?!\Idea Four\I'd like to drink coffee with you. response:	I can't say that!
context: That's a lie!\I can't say that.\Idea Three\I've discovered a new variety of coffee. Help me taste it.\Why am I ordering him around?!\Idea Four\I'd like to drink coffee with you.\I can't say that! response:	Good morning, Miss Ririchiyo.
context: I can't say that.\Idea Three\I've discovered a new variety of coffee. Help me taste it.\Why am I ordering him around?!\Idea Four\I'd like to drink coffee with you.\I can't say that!\Good morning, Miss Ririchiyo. response:	Good morning.
context: Idea Three\I've discovered a new variety of coffee. Help me taste it.\Why am I ordering him around?!\Idea Four\I'd like to drink coffee with you.\I can't say that!\Good morning, Miss Ririchiyo.\Good morning. response:	Is everything all right?
context: I've discovered a new variety of coffee. Help me taste it.\Why am I ordering him around?!\Idea Four\I'd like to drink coffee with you.\I can't say that!\Good morning, Miss Ririchiyo.\Good morning.\Is everything all right? response:	I'm fine.
context: Why am I ordering him around?!\Idea Four\I'd like to drink coffee with you.\I can't say that!\Good morning, Miss Ririchiyo.\Good morning.\Is everything all right?\I'm fine. response:	But, Miketsukami...
context: Idea Four\I'd like to drink coffee with you.\I can't say that!\Good morning, Miss Ririchiyo.\Good morning.\Is everything all right?\I'm fine.\But, Miketsukami... response:	Yes?
context: I'd like to drink coffee with you.\I can't say that!\Good morning, Miss Ririchiyo.\Good morning.\Is everything all right?\I'm fine.\But, Miketsukami...\Yes? response:	I w-was wondering if today...
context: I can't say that!\Good morning, Miss Ririchiyo.\Good morning.\Is everything all right?\I'm fine.\But, Miketsukami...\Yes?\I w-was wondering if today... response:	If you might like to have coffee with me?
context: Good morning, Miss Ririchiyo.\Good morning.\Is everything all right?\I'm fine.\But, Miketsukami...\Yes?\I w-was wondering if today...\If you might like to have coffee with me? response:	If you might like to have coffee with me?
context: Good morning.\Is everything all right?\I'm fine.\But, Miketsukami...\Yes?\I w-was wondering if today...\If you might like to have coffee with me?\If you might like to have coffee with me? response:	If you might like to have coffee with me?
context: Is everything all right?\I'm fine.\But, Miketsukami...\Yes?\I w-was wondering if today...\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me? response:	If you might like to have coffee with me?
context: I'm fine.\But, Miketsukami...\Yes?\I w-was wondering if today...\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me? response:	If you might like to have coffee with me?
context: But, Miketsukami...\Yes?\I w-was wondering if today...\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me? response:	If you might like to have coffee with me?
context: Yes?\I w-was wondering if today...\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me? response:	Today...
context: I w-was wondering if today...\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\Today... response:	Yes?
context: If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\Today...\Yes? response:	T-Today... Co-Co-Co-Co-Co...
context: If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\Today...\Yes?\T-Today... Co-Co-Co-Co-Co... response:	Today, I want some corn potage.
context: If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\Today...\Yes?\T-Today... Co-Co-Co-Co-Co...\Today, I want some corn potage. response:	Understood.
context: If you might like to have coffee with me?\If you might like to have coffee with me?\If you might like to have coffee with me?\Today...\Yes?\T-Today... Co-Co-Co-Co-Co...\Today, I want some corn potage.\Understood. response:	O-Once we're in the lounge, I'll calm down.
context: If you might like to have coffee with me?\If you might like to have coffee with me?\Today...\Yes?\T-Today... Co-Co-Co-Co-Co...\Today, I want some corn potage.\Understood.\O-Once we're in the lounge, I'll calm down. response:	How is the corn potage?
context: If you might like to have coffee with me?\Today...\Yes?\T-Today... Co-Co-Co-Co-Co...\Today, I want some corn potage.\Understood.\O-Once we're in the lounge, I'll calm down.\How is the corn potage? response:	It's good.
context: Today...\Yes?\T-Today... Co-Co-Co-Co-Co...\Today, I want some corn potage.\Understood.\O-Once we're in the lounge, I'll calm down.\How is the corn potage?\It's good. response:	I am so glad to hear that.
context: Yes?\T-Today... Co-Co-Co-Co-Co...\Today, I want some corn potage.\Understood.\O-Once we're in the lounge, I'll calm down.\How is the corn potage?\It's good.\I am so glad to hear that. response:	Say Ahh.
context: T-Today... Co-Co-Co-Co-Co...\Today, I want some corn potage.\Understood.\O-Once we're in the lounge, I'll calm down.\How is the corn potage?\It's good.\I am so glad to hear that.\Say Ahh. response:	Eat it, Ririchiyo!
context: Today, I want some corn potage.\Understood.\O-Once we're in the lounge, I'll calm down.\How is the corn potage?\It's good.\I am so glad to hear that.\Say Ahh.\Eat it, Ririchiyo! response:	Let Auntie see you getting fed!
context: Understood.\O-Once we're in the lounge, I'll calm down.\How is the corn potage?\It's good.\I am so glad to hear that.\Say Ahh.\Eat it, Ririchiyo!\Let Auntie see you getting fed! response:	Ahh...
context: O-Once we're in the lounge, I'll calm down.\How is the corn potage?\It's good.\I am so glad to hear that.\Say Ahh.\Eat it, Ririchiyo!\Let Auntie see you getting fed!\Ahh... response:	I'm going to turn you into a dust cloth.
context: How is the corn potage?\It's good.\I am so glad to hear that.\Say Ahh.\Eat it, Ririchiyo!\Let Auntie see you getting fed!\Ahh...\I'm going to turn you into a dust cloth. response:	Dude, can you believe her?
context: It's good.\I am so glad to hear that.\Say Ahh.\Eat it, Ririchiyo!\Let Auntie see you getting fed!\Ahh...\I'm going to turn you into a dust cloth.\Dude, can you believe her? response:	Say Ahh, Watanuki!
context: I am so glad to hear that.\Say Ahh.\Eat it, Ririchiyo!\Let Auntie see you getting fed!\Ahh...\I'm going to turn you into a dust cloth.\Dude, can you believe her?\Say Ahh, Watanuki! response:	Get the hell away from me!
context: Say Ahh.\Eat it, Ririchiyo!\Let Auntie see you getting fed!\Ahh...\I'm going to turn you into a dust cloth.\Dude, can you believe her?\Say Ahh, Watanuki!\Get the hell away from me! response:	Oh, how cute. You're embarrassed.
context: Eat it, Ririchiyo!\Let Auntie see you getting fed!\Ahh...\I'm going to turn you into a dust cloth.\Dude, can you believe her?\Say Ahh, Watanuki!\Get the hell away from me!\Oh, how cute. You're embarrassed. response:	Am not!
context: Let Auntie see you getting fed!\Ahh...\I'm going to turn you into a dust cloth.\Dude, can you believe her?\Say Ahh, Watanuki!\Get the hell away from me!\Oh, how cute. You're embarrassed.\Am not! response:	You're embarrassed!
context: Ahh...\I'm going to turn you into a dust cloth.\Dude, can you believe her?\Say Ahh, Watanuki!\Get the hell away from me!\Oh, how cute. You're embarrassed.\Am not!\You're embarrassed! response:	Am not!
context: I'm going to turn you into a dust cloth.\Dude, can you believe her?\Say Ahh, Watanuki!\Get the hell away from me!\Oh, how cute. You're embarrassed.\Am not!\You're embarrassed!\Am not! response:	You're embarrassed!
context: Dude, can you believe her?\Say Ahh, Watanuki!\Get the hell away from me!\Oh, how cute. You're embarrassed.\Am not!\You're embarrassed!\Am not!\You're embarrassed! response:	Am not!
context: Say Ahh, Watanuki!\Get the hell away from me!\Oh, how cute. You're embarrassed.\Am not!\You're embarrassed!\Am not!\You're embarrassed!\Am not! response:	I need it to be quieter than this.
context: Get the hell away from me!\Oh, how cute. You're embarrassed.\Am not!\You're embarrassed!\Am not!\You're embarrassed!\Am not!\I need it to be quieter than this. response:	You're embarrassed!
context: Oh, how cute. You're embarrassed.\Am not!\You're embarrassed!\Am not!\You're embarrassed!\Am not!\I need it to be quieter than this.\You're embarrassed! response:	Why can't I ahh?
context: Am not!\You're embarrassed!\Am not!\You're embarrassed!\Am not!\I need it to be quieter than this.\You're embarrassed!\Why can't I ahh? response:	Miketsukami.
context: You're embarrassed!\Am not!\You're embarrassed!\Am not!\I need it to be quieter than this.\You're embarrassed!\Why can't I ahh?\Miketsukami. response:	Yes?
context: Am not!\You're embarrassed!\Am not!\I need it to be quieter than this.\You're embarrassed!\Why can't I ahh?\Miketsukami.\Yes? response:	I can do this...
context: You're embarrassed!\Am not!\I need it to be quieter than this.\You're embarrassed!\Why can't I ahh?\Miketsukami.\Yes?\I can do this... response:	Miketsukami!
context: Am not!\I need it to be quieter than this.\You're embarrassed!\Why can't I ahh?\Miketsukami.\Yes?\I can do this...\Miketsukami! response:	First period is Home Ec.
context: I need it to be quieter than this.\You're embarrassed!\Why can't I ahh?\Miketsukami.\Yes?\I can do this...\Miketsukami!\First period is Home Ec. response:	We're going to be late.
context: You're embarrassed!\Why can't I ahh?\Miketsukami.\Yes?\I can do this...\Miketsukami!\First period is Home Ec.\We're going to be late. response:	R-Roromiya!
context: Why can't I ahh?\Miketsukami.\Yes?\I can do this...\Miketsukami!\First period is Home Ec.\We're going to be late.\R-Roromiya! response:	Have a good day.
context: Miketsukami.\Yes?\I can do this...\Miketsukami!\First period is Home Ec.\We're going to be late.\R-Roromiya!\Have a good day. response:	You aren't going to eat?
context: Yes?\I can do this...\Miketsukami!\First period is Home Ec.\We're going to be late.\R-Roromiya!\Have a good day.\You aren't going to eat? response:	Is the high-level art of inviting others
context: I can do this...\Miketsukami!\First period is Home Ec.\We're going to be late.\R-Roromiya!\Have a good day.\You aren't going to eat?\Is the high-level art of inviting others response:	impossible for me, after all?
context: Miketsukami!\First period is Home Ec.\We're going to be late.\R-Roromiya!\Have a good day.\You aren't going to eat?\Is the high-level art of inviting others\impossible for me, after all? response:	No. Don't give up...
context: First period is Home Ec.\We're going to be late.\R-Roromiya!\Have a good day.\You aren't going to eat?\Is the high-level art of inviting others\impossible for me, after all?\No. Don't give up... response:	Ask him when he comes to pick you up.
context: We're going to be late.\R-Roromiya!\Have a good day.\You aren't going to eat?\Is the high-level art of inviting others\impossible for me, after all?\No. Don't give up...\Ask him when he comes to pick you up. response:	Miketsukami!
context: R-Roromiya!\Have a good day.\You aren't going to eat?\Is the high-level art of inviting others\impossible for me, after all?\No. Don't give up...\Ask him when he comes to pick you up.\Miketsukami! response:	Yes?
context: Have a good day.\You aren't going to eat?\Is the high-level art of inviting others\impossible for me, after all?\No. Don't give up...\Ask him when he comes to pick you up.\Miketsukami!\Yes? response:	W-Would you...
context: You aren't going to eat?\Is the high-level art of inviting others\impossible for me, after all?\No. Don't give up...\Ask him when he comes to pick you up.\Miketsukami!\Yes?\W-Would you... response:	Would you...
context: Is the high-level art of inviting others\impossible for me, after all?\No. Don't give up...\Ask him when he comes to pick you up.\Miketsukami!\Yes?\W-Would you...\Would you... response:	Wouldn't you say it's a beautiful day?
context: impossible for me, after all?\No. Don't give up...\Ask him when he comes to pick you up.\Miketsukami!\Yes?\W-Would you...\Would you...\Wouldn't you say it's a beautiful day? response:	I would.
context: No. Don't give up...\Ask him when he comes to pick you up.\Miketsukami!\Yes?\W-Would you...\Would you...\Wouldn't you say it's a beautiful day?\I would. response:	Nice boobs.
context: Ask him when he comes to pick you up.\Miketsukami!\Yes?\W-Would you...\Would you...\Wouldn't you say it's a beautiful day?\I would.\Nice boobs. response:	Yeah, right?
context: Miketsukami!\Yes?\W-Would you...\Would you...\Wouldn't you say it's a beautiful day?\I would.\Nice boobs.\Yeah, right? response:	The fact that they're losing to gravity is so perfect.
context: Yes?\W-Would you...\Would you...\Wouldn't you say it's a beautiful day?\I would.\Nice boobs.\Yeah, right?\The fact that they're losing to gravity is so perfect. response:	You have your eye in the right place.
context: W-Would you...\Would you...\Wouldn't you say it's a beautiful day?\I would.\Nice boobs.\Yeah, right?\The fact that they're losing to gravity is so perfect.\You have your eye in the right place. response:	Thanks.
context: Would you...\Wouldn't you say it's a beautiful day?\I would.\Nice boobs.\Yeah, right?\The fact that they're losing to gravity is so perfect.\You have your eye in the right place.\Thanks. response:	Here you go, Watanuki.
context: Wouldn't you say it's a beautiful day?\I would.\Nice boobs.\Yeah, right?\The fact that they're losing to gravity is so perfect.\You have your eye in the right place.\Thanks.\Here you go, Watanuki. response:	It's important to rehydrate yourself after your bath.
context: I would.\Nice boobs.\Yeah, right?\The fact that they're losing to gravity is so perfect.\You have your eye in the right place.\Thanks.\Here you go, Watanuki.\It's important to rehydrate yourself after your bath. response:	What's with the dog bowl?
context: Nice boobs.\Yeah, right?\The fact that they're losing to gravity is so perfect.\You have your eye in the right place.\Thanks.\Here you go, Watanuki.\It's important to rehydrate yourself after your bath.\What's with the dog bowl? response:	You expect me to lick that?!
context: Yeah, right?\The fact that they're losing to gravity is so perfect.\You have your eye in the right place.\Thanks.\Here you go, Watanuki.\It's important to rehydrate yourself after your bath.\What's with the dog bowl?\You expect me to lick that?! response:	But that would be dirty.
context: The fact that they're losing to gravity is so perfect.\You have your eye in the right place.\Thanks.\Here you go, Watanuki.\It's important to rehydrate yourself after your bath.\What's with the dog bowl?\You expect me to lick that?!\But that would be dirty. response:	Why can't I...
context: You have your eye in the right place.\Thanks.\Here you go, Watanuki.\It's important to rehydrate yourself after your bath.\What's with the dog bowl?\You expect me to lick that?!\But that would be dirty.\Why can't I... response:	If you stay with me, sooner or later you'll get hurt, too.
context: Thanks.\Here you go, Watanuki.\It's important to rehydrate yourself after your bath.\What's with the dog bowl?\You expect me to lick that?!\But that would be dirty.\Why can't I...\If you stay with me, sooner or later you'll get hurt, too. response:	Why don't we try it, then?
context: Here you go, Watanuki.\It's important to rehydrate yourself after your bath.\What's with the dog bowl?\You expect me to lick that?!\But that would be dirty.\Why can't I...\If you stay with me, sooner or later you'll get hurt, too.\Why don't we try it, then? response:	I apologize for calling you here at this hour.
context: It's important to rehydrate yourself after your bath.\What's with the dog bowl?\You expect me to lick that?!\But that would be dirty.\Why can't I...\If you stay with me, sooner or later you'll get hurt, too.\Why don't we try it, then?\I apologize for calling you here at this hour. response:	Please don't apologize.
context: What's with the dog bowl?\You expect me to lick that?!\But that would be dirty.\Why can't I...\If you stay with me, sooner or later you'll get hurt, too.\Why don't we try it, then?\I apologize for calling you here at this hour.\Please don't apologize. response:	I am happy to meet you anywhere, at any hour.
context: You expect me to lick that?!\But that would be dirty.\Why can't I...\If you stay with me, sooner or later you'll get hurt, too.\Why don't we try it, then?\I apologize for calling you here at this hour.\Please don't apologize.\I am happy to meet you anywhere, at any hour. response:	You've seemed ill at ease all day.
context: But that would be dirty.\Why can't I...\If you stay with me, sooner or later you'll get hurt, too.\Why don't we try it, then?\I apologize for calling you here at this hour.\Please don't apologize.\I am happy to meet you anywhere, at any hour.\You've seemed ill at ease all day. response:	Is something wrong?
context: Why can't I...\If you stay with me, sooner or later you'll get hurt, too.\Why don't we try it, then?\I apologize for calling you here at this hour.\Please don't apologize.\I am happy to meet you anywhere, at any hour.\You've seemed ill at ease all day.\Is something wrong? response:	Is there something I'm not doing for you?
