context: Ladies and gentlemen, good evening. response:	Everything lies in ruin.
context: You refuse to be disturbed by the coldness of my hand...\You leave me no choice, then.\I will show you proof that Edmond, the man you once loved, is now dead.\I will await you at five tomorrow morning in the forest of Boulogne.\It's already too late for that, Franz.\It's too late to do anything!\Whatever happened between the Count and our fathers in the past,\I can't take back what happened between the Count and me. response:	If he hates me that much, he should just kill me and be done with it!
context: You leave me no choice, then.\I will show you proof that Edmond, the man you once loved, is now dead.\I will await you at five tomorrow morning in the forest of Boulogne.\It's already too late for that, Franz.\It's too late to do anything!\Whatever happened between the Count and our fathers in the past,\I can't take back what happened between the Count and me.\If he hates me that much, he should just kill me and be done with it! response:	Damn it!
context: I will show you proof that Edmond, the man you once loved, is now dead.\I will await you at five tomorrow morning in the forest of Boulogne.\It's already too late for that, Franz.\It's too late to do anything!\Whatever happened between the Count and our fathers in the past,\I can't take back what happened between the Count and me.\If he hates me that much, he should just kill me and be done with it!\Damn it! response:	He played games with my feelings!
context: I will await you at five tomorrow morning in the forest of Boulogne.\It's already too late for that, Franz.\It's too late to do anything!\Whatever happened between the Count and our fathers in the past,\I can't take back what happened between the Count and me.\If he hates me that much, he should just kill me and be done with it!\Damn it!\He played games with my feelings! response:	Albert! Don't do it! Don't go!
context: It's already too late for that, Franz.\It's too late to do anything!\Whatever happened between the Count and our fathers in the past,\I can't take back what happened between the Count and me.\If he hates me that much, he should just kill me and be done with it!\Damn it!\He played games with my feelings!\Albert! Don't do it! Don't go! response:	Come back!
context: It's too late to do anything!\Whatever happened between the Count and our fathers in the past,\I can't take back what happened between the Count and me.\If he hates me that much, he should just kill me and be done with it!\Damn it!\He played games with my feelings!\Albert! Don't do it! Don't go!\Come back! response:	Albert!
context: Whatever happened between the Count and our fathers in the past,\I can't take back what happened between the Count and me.\If he hates me that much, he should just kill me and be done with it!\Damn it!\He played games with my feelings!\Albert! Don't do it! Don't go!\Come back!\Albert! response:	Please, come back...
context: I can't take back what happened between the Count and me.\If he hates me that much, he should just kill me and be done with it!\Damn it!\He played games with my feelings!\Albert! Don't do it! Don't go!\Come back!\Albert!\Please, come back... response:	You're still going to go see him, even knowing who he is?
context: If he hates me that much, he should just kill me and be done with it!\Damn it!\He played games with my feelings!\Albert! Don't do it! Don't go!\Come back!\Albert!\Please, come back...\You're still going to go see him, even knowing who he is? response:	Hi!
context: Damn it!\He played games with my feelings!\Albert! Don't do it! Don't go!\Come back!\Albert!\Please, come back...\You're still going to go see him, even knowing who he is?\Hi! response:	Franz! You're back!
context: He played games with my feelings!\Albert! Don't do it! Don't go!\Come back!\Albert!\Please, come back...\You're still going to go see him, even knowing who he is?\Hi!\Franz! You're back! response:	Is Albert here?
context: Albert! Don't do it! Don't go!\Come back!\Albert!\Please, come back...\You're still going to go see him, even knowing who he is?\Hi!\Franz! You're back!\Is Albert here? response:	Uh... No, he was with me until a while ago.
context: Come back!\Albert!\Please, come back...\You're still going to go see him, even knowing who he is?\Hi!\Franz! You're back!\Is Albert here?\Uh... No, he was with me until a while ago. response:	He said that he had something to take care of.
context: Albert!\Please, come back...\You're still going to go see him, even knowing who he is?\Hi!\Franz! You're back!\Is Albert here?\Uh... No, he was with me until a while ago.\He said that he had something to take care of. response:	Oh, he did?
context: Please, come back...\You're still going to go see him, even knowing who he is?\Hi!\Franz! You're back!\Is Albert here?\Uh... No, he was with me until a while ago.\He said that he had something to take care of.\Oh, he did? response:	Still, I'm glad to see you. I haven't been able to reach you since that day.
context: You're still going to go see him, even knowing who he is?\Hi!\Franz! You're back!\Is Albert here?\Uh... No, he was with me until a while ago.\He said that he had something to take care of.\Oh, he did?\Still, I'm glad to see you. I haven't been able to reach you since that day. response:	Sorry for worrying you.
context: Hi!\Franz! You're back!\Is Albert here?\Uh... No, he was with me until a while ago.\He said that he had something to take care of.\Oh, he did?\Still, I'm glad to see you. I haven't been able to reach you since that day.\Sorry for worrying you. response:	Honestly! I was worried sick about you.
context: Franz! You're back!\Is Albert here?\Uh... No, he was with me until a while ago.\He said that he had something to take care of.\Oh, he did?\Still, I'm glad to see you. I haven't been able to reach you since that day.\Sorry for worrying you.\Honestly! I was worried sick about you. response:	You timed your arrival perfectly, Franz.
context: Is Albert here?\Uh... No, he was with me until a while ago.\He said that he had something to take care of.\Oh, he did?\Still, I'm glad to see you. I haven't been able to reach you since that day.\Sorry for worrying you.\Honestly! I was worried sick about you.\You timed your arrival perfectly, Franz. response:	Franz, don't you remember? Tomorrow is Albert's birthday!
context: Uh... No, he was with me until a while ago.\He said that he had something to take care of.\Oh, he did?\Still, I'm glad to see you. I haven't been able to reach you since that day.\Sorry for worrying you.\Honestly! I was worried sick about you.\You timed your arrival perfectly, Franz.\Franz, don't you remember? Tomorrow is Albert's birthday! response:	Yeah, exactly! That's why! That's why I came to see you!
context: He said that he had something to take care of.\Oh, he did?\Still, I'm glad to see you. I haven't been able to reach you since that day.\Sorry for worrying you.\Honestly! I was worried sick about you.\You timed your arrival perfectly, Franz.\Franz, don't you remember? Tomorrow is Albert's birthday!\Yeah, exactly! That's why! That's why I came to see you! response:	Geez, get your act together...
context: Oh, he did?\Still, I'm glad to see you. I haven't been able to reach you since that day.\Sorry for worrying you.\Honestly! I was worried sick about you.\You timed your arrival perfectly, Franz.\Franz, don't you remember? Tomorrow is Albert's birthday!\Yeah, exactly! That's why! That's why I came to see you!\Geez, get your act together... response:	Actually, about that... I wrote a song for Albert!
context: Still, I'm glad to see you. I haven't been able to reach you since that day.\Sorry for worrying you.\Honestly! I was worried sick about you.\You timed your arrival perfectly, Franz.\Franz, don't you remember? Tomorrow is Albert's birthday!\Yeah, exactly! That's why! That's why I came to see you!\Geez, get your act together...\Actually, about that... I wrote a song for Albert! response:	It's not finished yet, though.
context: Sorry for worrying you.\Honestly! I was worried sick about you.\You timed your arrival perfectly, Franz.\Franz, don't you remember? Tomorrow is Albert's birthday!\Yeah, exactly! That's why! That's why I came to see you!\Geez, get your act together...\Actually, about that... I wrote a song for Albert!\It's not finished yet, though. response:	Well?
context: Honestly! I was worried sick about you.\You timed your arrival perfectly, Franz.\Franz, don't you remember? Tomorrow is Albert's birthday!\Yeah, exactly! That's why! That's why I came to see you!\Geez, get your act together...\Actually, about that... I wrote a song for Albert!\It's not finished yet, though.\Well? response:	Yeah, it's nice.
context: You timed your arrival perfectly, Franz.\Franz, don't you remember? Tomorrow is Albert's birthday!\Yeah, exactly! That's why! That's why I came to see you!\Geez, get your act together...\Actually, about that... I wrote a song for Albert!\It's not finished yet, though.\Well?\Yeah, it's nice. response:	It's romantic. Not like you at all.
context: Franz, don't you remember? Tomorrow is Albert's birthday!\Yeah, exactly! That's why! That's why I came to see you!\Geez, get your act together...\Actually, about that... I wrote a song for Albert!\It's not finished yet, though.\Well?\Yeah, it's nice.\It's romantic. Not like you at all. response:	What's that supposed to mean?! Don't be rude!
context: Yeah, exactly! That's why! That's why I came to see you!\Geez, get your act together...\Actually, about that... I wrote a song for Albert!\It's not finished yet, though.\Well?\Yeah, it's nice.\It's romantic. Not like you at all.\What's that supposed to mean?! Don't be rude! response:	That settles it! Tomorrow, you, Albert and I will have a party at our usual cafe!
context: Geez, get your act together...\Actually, about that... I wrote a song for Albert!\It's not finished yet, though.\Well?\Yeah, it's nice.\It's romantic. Not like you at all.\What's that supposed to mean?! Don't be rude!\That settles it! Tomorrow, you, Albert and I will have a party at our usual cafe! response:	But I can't...
context: Actually, about that... I wrote a song for Albert!\It's not finished yet, though.\Well?\Yeah, it's nice.\It's romantic. Not like you at all.\What's that supposed to mean?! Don't be rude!\That settles it! Tomorrow, you, Albert and I will have a party at our usual cafe!\But I can't... response:	Just say that a friend of yours is having a recital or something, and sneak out.
context: It's not finished yet, though.\Well?\Yeah, it's nice.\It's romantic. Not like you at all.\What's that supposed to mean?! Don't be rude!\That settles it! Tomorrow, you, Albert and I will have a party at our usual cafe!\But I can't...\Just say that a friend of yours is having a recital or something, and sneak out. response:	It'll all work out.
context: Well?\Yeah, it's nice.\It's romantic. Not like you at all.\What's that supposed to mean?! Don't be rude!\That settles it! Tomorrow, you, Albert and I will have a party at our usual cafe!\But I can't...\Just say that a friend of yours is having a recital or something, and sneak out.\It'll all work out. response:	Okay, I get it.
context: Yeah, it's nice.\It's romantic. Not like you at all.\What's that supposed to mean?! Don't be rude!\That settles it! Tomorrow, you, Albert and I will have a party at our usual cafe!\But I can't...\Just say that a friend of yours is having a recital or something, and sneak out.\It'll all work out.\Okay, I get it. response:	So anyway, do you think you could do me a little favor?
context: It's romantic. Not like you at all.\What's that supposed to mean?! Don't be rude!\That settles it! Tomorrow, you, Albert and I will have a party at our usual cafe!\But I can't...\Just say that a friend of yours is having a recital or something, and sneak out.\It'll all work out.\Okay, I get it.\So anyway, do you think you could do me a little favor? response:	As in?
context: What's that supposed to mean?! Don't be rude!\That settles it! Tomorrow, you, Albert and I will have a party at our usual cafe!\But I can't...\Just say that a friend of yours is having a recital or something, and sneak out.\It'll all work out.\Okay, I get it.\So anyway, do you think you could do me a little favor?\As in? response:	I wrote a message in a birthday card for him,
context: That settles it! Tomorrow, you, Albert and I will have a party at our usual cafe!\But I can't...\Just say that a friend of yours is having a recital or something, and sneak out.\It'll all work out.\Okay, I get it.\So anyway, do you think you could do me a little favor?\As in?\I wrote a message in a birthday card for him, response:	Idiot, who cares how old you are? You're just giving him a card.
context: But I can't...\Just say that a friend of yours is having a recital or something, and sneak out.\It'll all work out.\Okay, I get it.\So anyway, do you think you could do me a little favor?\As in?\I wrote a message in a birthday card for him,\Idiot, who cares how old you are? You're just giving him a card. response:	Anyway, give it to Albert after I leave tomorrow.
context: Just say that a friend of yours is having a recital or something, and sneak out.\It'll all work out.\Okay, I get it.\So anyway, do you think you could do me a little favor?\As in?\I wrote a message in a birthday card for him,\Idiot, who cares how old you are? You're just giving him a card.\Anyway, give it to Albert after I leave tomorrow. response:	Please? I'm begging you.
context: It'll all work out.\Okay, I get it.\So anyway, do you think you could do me a little favor?\As in?\I wrote a message in a birthday card for him,\Idiot, who cares how old you are? You're just giving him a card.\Anyway, give it to Albert after I leave tomorrow.\Please? I'm begging you. response:	It must be a surprise. Sure, okay.
context: Okay, I get it.\So anyway, do you think you could do me a little favor?\As in?\I wrote a message in a birthday card for him,\Idiot, who cares how old you are? You're just giving him a card.\Anyway, give it to Albert after I leave tomorrow.\Please? I'm begging you.\It must be a surprise. Sure, okay. response:	Okay, I think I'll keep working on that song for a while.
context: So anyway, do you think you could do me a little favor?\As in?\I wrote a message in a birthday card for him,\Idiot, who cares how old you are? You're just giving him a card.\Anyway, give it to Albert after I leave tomorrow.\Please? I'm begging you.\It must be a surprise. Sure, okay.\Okay, I think I'll keep working on that song for a while. response:	Don't work too hard. See you tomorrow at 3 PM, then.
context: As in?\I wrote a message in a birthday card for him,\Idiot, who cares how old you are? You're just giving him a card.\Anyway, give it to Albert after I leave tomorrow.\Please? I'm begging you.\It must be a surprise. Sure, okay.\Okay, I think I'll keep working on that song for a while.\Don't work too hard. See you tomorrow at 3 PM, then. response:	At our usual cafe.
context: I wrote a message in a birthday card for him,\Idiot, who cares how old you are? You're just giving him a card.\Anyway, give it to Albert after I leave tomorrow.\Please? I'm begging you.\It must be a surprise. Sure, okay.\Okay, I think I'll keep working on that song for a while.\Don't work too hard. See you tomorrow at 3 PM, then.\At our usual cafe. response:	Thanks for coming by to visit me today.
context: Idiot, who cares how old you are? You're just giving him a card.\Anyway, give it to Albert after I leave tomorrow.\Please? I'm begging you.\It must be a surprise. Sure, okay.\Okay, I think I'll keep working on that song for a while.\Don't work too hard. See you tomorrow at 3 PM, then.\At our usual cafe.\Thanks for coming by to visit me today. response:	Excellency.
context: Anyway, give it to Albert after I leave tomorrow.\Please? I'm begging you.\It must be a surprise. Sure, okay.\Okay, I think I'll keep working on that song for a while.\Don't work too hard. See you tomorrow at 3 PM, then.\At our usual cafe.\Thanks for coming by to visit me today.\Excellency. response:	What is it?
context: Please? I'm begging you.\It must be a surprise. Sure, okay.\Okay, I think I'll keep working on that song for a while.\Don't work too hard. See you tomorrow at 3 PM, then.\At our usual cafe.\Thanks for coming by to visit me today.\Excellency.\What is it? response:	Good luck.
context: It must be a surprise. Sure, okay.\Okay, I think I'll keep working on that song for a while.\Don't work too hard. See you tomorrow at 3 PM, then.\At our usual cafe.\Thanks for coming by to visit me today.\Excellency.\What is it?\Good luck. response:	Let's drink to victory with a red!
context: Okay, I think I'll keep working on that song for a while.\Don't work too hard. See you tomorrow at 3 PM, then.\At our usual cafe.\Thanks for coming by to visit me today.\Excellency.\What is it?\Good luck.\Let's drink to victory with a red! response:	I'll have the white!
context: Don't work too hard. See you tomorrow at 3 PM, then.\At our usual cafe.\Thanks for coming by to visit me today.\Excellency.\What is it?\Good luck.\Let's drink to victory with a red!\I'll have the white! response:	But that guy up there is pitch-black!
context: At our usual cafe.\Thanks for coming by to visit me today.\Excellency.\What is it?\Good luck.\Let's drink to victory with a red!\I'll have the white!\But that guy up there is pitch-black! response:	To victory!
context: Thanks for coming by to visit me today.\Excellency.\What is it?\Good luck.\Let's drink to victory with a red!\I'll have the white!\But that guy up there is pitch-black!\To victory! response:	To victory!
context: Excellency.\What is it?\Good luck.\Let's drink to victory with a red!\I'll have the white!\But that guy up there is pitch-black!\To victory!\To victory! response:	Right!
context: What is it?\Good luck.\Let's drink to victory with a red!\I'll have the white!\But that guy up there is pitch-black!\To victory!\To victory!\Right! response:	I'm gonna mop the floor with that coward, just you watch!
context: Good luck.\Let's drink to victory with a red!\I'll have the white!\But that guy up there is pitch-black!\To victory!\To victory!\Right!\I'm gonna mop the floor with that coward, just you watch! response:	The Count is no one to fear!
context: Let's drink to victory with a red!\I'll have the white!\But that guy up there is pitch-black!\To victory!\To victory!\Right!\I'm gonna mop the floor with that coward, just you watch!\The Count is no one to fear! response:	The clash of steel shatters the dawn silence.
context: I'll have the white!\But that guy up there is pitch-black!\To victory!\To victory!\Right!\I'm gonna mop the floor with that coward, just you watch!\The Count is no one to fear!\The clash of steel shatters the dawn silence. response:	Sword of righteous anger in hand, I shall cut through all deception and lies!
context: But that guy up there is pitch-black!\To victory!\To victory!\Right!\I'm gonna mop the floor with that coward, just you watch!\The Count is no one to fear!\The clash of steel shatters the dawn silence.\Sword of righteous anger in hand, I shall cut through all deception and lies! response:	Act 18: The Duel
context: To victory!\To victory!\Right!\I'm gonna mop the floor with that coward, just you watch!\The Count is no one to fear!\The clash of steel shatters the dawn silence.\Sword of righteous anger in hand, I shall cut through all deception and lies!\Act 18: The Duel response:	Bide your time, and hold out hope!
