context: Intro response:	Oh man, what have I done?
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Part A
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Part A response:	The Overlord
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Part A\The Overlord response:	The Overlord
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Part A\The Overlord\The Overlord response:	Does
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Part A\The Overlord\The Overlord\Does response:	Does
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Part A\The Overlord\The Overlord\Does\Does response:	His
context: Overlord at Work!\Overlord at Work!\Part A\The Overlord\The Overlord\Does\Does\His response:	His
context: Overlord at Work!\Part A\The Overlord\The Overlord\Does\Does\His\His response:	Job
context: Part A\The Overlord\The Overlord\Does\Does\His\His\Job response:	Job
context: The Overlord\The Overlord\Does\Does\His\His\Job\Job response:	Just give up already.
context: The Overlord\Does\Does\His\His\Job\Job\Just give up already. response:	Surrender the sacred sword, Better Half.
context: Does\Does\His\His\Job\Job\Just give up already.\Surrender the sacred sword, Better Half. response:	What do you expect me to do? It refuses to materialize.
context: Does\His\His\Job\Job\Just give up already.\Surrender the sacred sword, Better Half.\What do you expect me to do? It refuses to materialize. response:	I'm sure it's the sword itself that's rejecting you here.
context: His\His\Job\Job\Just give up already.\Surrender the sacred sword, Better Half.\What do you expect me to do? It refuses to materialize.\I'm sure it's the sword itself that's rejecting you here. response:	Humans are not meant to possess the sacred sword.
context: His\Job\Job\Just give up already.\Surrender the sacred sword, Better Half.\What do you expect me to do? It refuses to materialize.\I'm sure it's the sword itself that's rejecting you here.\Humans are not meant to possess the sacred sword. response:	It must be returned to us.
context: Job\Job\Just give up already.\Surrender the sacred sword, Better Half.\What do you expect me to do? It refuses to materialize.\I'm sure it's the sword itself that's rejecting you here.\Humans are not meant to possess the sacred sword.\It must be returned to us. response:	This is Heaven's consensus.
context: Job\Just give up already.\Surrender the sacred sword, Better Half.\What do you expect me to do? It refuses to materialize.\I'm sure it's the sword itself that's rejecting you here.\Humans are not meant to possess the sacred sword.\It must be returned to us.\This is Heaven's consensus. response:	More importantly, Chiho doesn't have anything to do with this, does she?
context: Just give up already.\Surrender the sacred sword, Better Half.\What do you expect me to do? It refuses to materialize.\I'm sure it's the sword itself that's rejecting you here.\Humans are not meant to possess the sacred sword.\It must be returned to us.\This is Heaven's consensus.\More importantly, Chiho doesn't have anything to do with this, does she? response:	Let her go.
context: Surrender the sacred sword, Better Half.\What do you expect me to do? It refuses to materialize.\I'm sure it's the sword itself that's rejecting you here.\Humans are not meant to possess the sacred sword.\It must be returned to us.\This is Heaven's consensus.\More importantly, Chiho doesn't have anything to do with this, does she?\Let her go. response:	I'm afraid I cannot.
context: What do you expect me to do? It refuses to materialize.\I'm sure it's the sword itself that's rejecting you here.\Humans are not meant to possess the sacred sword.\It must be returned to us.\This is Heaven's consensus.\More importantly, Chiho doesn't have anything to do with this, does she?\Let her go.\I'm afraid I cannot. response:	She's a valuable sample,
context: I'm sure it's the sword itself that's rejecting you here.\Humans are not meant to possess the sacred sword.\It must be returned to us.\This is Heaven's consensus.\More importantly, Chiho doesn't have anything to do with this, does she?\Let her go.\I'm afraid I cannot.\She's a valuable sample, response:	as a human from another world who knows who the Overlord really is
context: Humans are not meant to possess the sacred sword.\It must be returned to us.\This is Heaven's consensus.\More importantly, Chiho doesn't have anything to do with this, does she?\Let her go.\I'm afraid I cannot.\She's a valuable sample,\as a human from another world who knows who the Overlord really is response:	yet still has feelings for him.
context: It must be returned to us.\This is Heaven's consensus.\More importantly, Chiho doesn't have anything to do with this, does she?\Let her go.\I'm afraid I cannot.\She's a valuable sample,\as a human from another world who knows who the Overlord really is\yet still has feelings for him. response:	We can use her as a research subject for how the Overlord's power affects human bodies.
context: This is Heaven's consensus.\More importantly, Chiho doesn't have anything to do with this, does she?\Let her go.\I'm afraid I cannot.\She's a valuable sample,\as a human from another world who knows who the Overlord really is\yet still has feelings for him.\We can use her as a research subject for how the Overlord's power affects human bodies. response:	You freak!
context: More importantly, Chiho doesn't have anything to do with this, does she?\Let her go.\I'm afraid I cannot.\She's a valuable sample,\as a human from another world who knows who the Overlord really is\yet still has feelings for him.\We can use her as a research subject for how the Overlord's power affects human bodies.\You freak! response:	Watch your mouth, human!
context: Let her go.\I'm afraid I cannot.\She's a valuable sample,\as a human from another world who knows who the Overlord really is\yet still has feelings for him.\We can use her as a research subject for how the Overlord's power affects human bodies.\You freak!\Watch your mouth, human! response:	How dare you speak to me, Archangel Sariel, in that manner?!
context: I'm afraid I cannot.\She's a valuable sample,\as a human from another world who knows who the Overlord really is\yet still has feelings for him.\We can use her as a research subject for how the Overlord's power affects human bodies.\You freak!\Watch your mouth, human!\How dare you speak to me, Archangel Sariel, in that manner?! response:	Ow!
context: She's a valuable sample,\as a human from another world who knows who the Overlord really is\yet still has feelings for him.\We can use her as a research subject for how the Overlord's power affects human bodies.\You freak!\Watch your mouth, human!\How dare you speak to me, Archangel Sariel, in that manner?!\Ow! response:	Damn, a barrier?!
context: as a human from another world who knows who the Overlord really is\yet still has feelings for him.\We can use her as a research subject for how the Overlord's power affects human bodies.\You freak!\Watch your mouth, human!\How dare you speak to me, Archangel Sariel, in that manner?!\Ow!\Damn, a barrier?! response:	Can your body hold out any longer?
context: yet still has feelings for him.\We can use her as a research subject for how the Overlord's power affects human bodies.\You freak!\Watch your mouth, human!\How dare you speak to me, Archangel Sariel, in that manner?!\Ow!\Damn, a barrier?!\Can your body hold out any longer? response:	I consider myself chivalrous, you know? Don't force me to do any more.
context: We can use her as a research subject for how the Overlord's power affects human bodies.\You freak!\Watch your mouth, human!\How dare you speak to me, Archangel Sariel, in that manner?!\Ow!\Damn, a barrier?!\Can your body hold out any longer?\I consider myself chivalrous, you know? Don't force me to do any more. response:	A lady shouldn't scream like that.
context: You freak!\Watch your mouth, human!\How dare you speak to me, Archangel Sariel, in that manner?!\Ow!\Damn, a barrier?!\Can your body hold out any longer?\I consider myself chivalrous, you know? Don't force me to do any more.\A lady shouldn't scream like that. response:	Be more graceful.
context: Watch your mouth, human!\How dare you speak to me, Archangel Sariel, in that manner?!\Ow!\Damn, a barrier?!\Can your body hold out any longer?\I consider myself chivalrous, you know? Don't force me to do any more.\A lady shouldn't scream like that.\Be more graceful. response:	Oh, looks like an insect has crawled its way over.
context: How dare you speak to me, Archangel Sariel, in that manner?!\Ow!\Damn, a barrier?!\Can your body hold out any longer?\I consider myself chivalrous, you know? Don't force me to do any more.\A lady shouldn't scream like that.\Be more graceful.\Oh, looks like an insect has crawled its way over. response:	Ma...ou...
context: Ow!\Damn, a barrier?!\Can your body hold out any longer?\I consider myself chivalrous, you know? Don't force me to do any more.\A lady shouldn't scream like that.\Be more graceful.\Oh, looks like an insect has crawled its way over.\Ma...ou... response:	Don't you agree, Bell?
context: Damn, a barrier?!\Can your body hold out any longer?\I consider myself chivalrous, you know? Don't force me to do any more.\A lady shouldn't scream like that.\Be more graceful.\Oh, looks like an insect has crawled its way over.\Ma...ou...\Don't you agree, Bell? response:	As he is now, even you can beat him by yourself.
context: Can your body hold out any longer?\I consider myself chivalrous, you know? Don't force me to do any more.\A lady shouldn't scream like that.\Be more graceful.\Oh, looks like an insect has crawled its way over.\Ma...ou...\Don't you agree, Bell?\As he is now, even you can beat him by yourself. response:	You're okay with that?
context: I consider myself chivalrous, you know? Don't force me to do any more.\A lady shouldn't scream like that.\Be more graceful.\Oh, looks like an insect has crawled its way over.\Ma...ou...\Don't you agree, Bell?\As he is now, even you can beat him by yourself.\You're okay with that? response:	The Overlord and I will perish in another world,
context: A lady shouldn't scream like that.\Be more graceful.\Oh, looks like an insect has crawled its way over.\Ma...ou...\Don't you agree, Bell?\As he is now, even you can beat him by yourself.\You're okay with that?\The Overlord and I will perish in another world, response:	and Ente Isla will not change a bit from before you came here.
context: Be more graceful.\Oh, looks like an insect has crawled its way over.\Ma...ou...\Don't you agree, Bell?\As he is now, even you can beat him by yourself.\You're okay with that?\The Overlord and I will perish in another world,\and Ente Isla will not change a bit from before you came here. response:	Are you really okay with that?
context: Oh, looks like an insect has crawled its way over.\Ma...ou...\Don't you agree, Bell?\As he is now, even you can beat him by yourself.\You're okay with that?\The Overlord and I will perish in another world,\and Ente Isla will not change a bit from before you came here.\Are you really okay with that? response:	Why worry?
context: Ma...ou...\Don't you agree, Bell?\As he is now, even you can beat him by yourself.\You're okay with that?\The Overlord and I will perish in another world,\and Ente Isla will not change a bit from before you came here.\Are you really okay with that?\Why worry? response:	I'm the symbolic angel of the Investigation Commission,
context: Don't you agree, Bell?\As he is now, even you can beat him by yourself.\You're okay with that?\The Overlord and I will perish in another world,\and Ente Isla will not change a bit from before you came here.\Are you really okay with that?\Why worry?\I'm the symbolic angel of the Investigation Commission, response:	and I guarantee the legitimacy of your actions.
context: As he is now, even you can beat him by yourself.\You're okay with that?\The Overlord and I will perish in another world,\and Ente Isla will not change a bit from before you came here.\Are you really okay with that?\Why worry?\I'm the symbolic angel of the Investigation Commission,\and I guarantee the legitimacy of your actions. response:	Go forth.
context: You're okay with that?\The Overlord and I will perish in another world,\and Ente Isla will not change a bit from before you came here.\Are you really okay with that?\Why worry?\I'm the symbolic angel of the Investigation Commission,\and I guarantee the legitimacy of your actions.\Go forth. response:	Suzuno...
context: The Overlord and I will perish in another world,\and Ente Isla will not change a bit from before you came here.\Are you really okay with that?\Why worry?\I'm the symbolic angel of the Investigation Commission,\and I guarantee the legitimacy of your actions.\Go forth.\Suzuno... response:	Why?
context: and Ente Isla will not change a bit from before you came here.\Are you really okay with that?\Why worry?\I'm the symbolic angel of the Investigation Commission,\and I guarantee the legitimacy of your actions.\Go forth.\Suzuno...\Why? response:	Why?!
context: Are you really okay with that?\Why worry?\I'm the symbolic angel of the Investigation Commission,\and I guarantee the legitimacy of your actions.\Go forth.\Suzuno...\Why?\Why?! response:	Please!
context: Why worry?\I'm the symbolic angel of the Investigation Commission,\and I guarantee the legitimacy of your actions.\Go forth.\Suzuno...\Why?\Why?!\Please! response:	Help me!
context: I'm the symbolic angel of the Investigation Commission,\and I guarantee the legitimacy of your actions.\Go forth.\Suzuno...\Why?\Why?!\Please!\Help me! response:	I don't wish to sacrifice anyone anymore!
context: and I guarantee the legitimacy of your actions.\Go forth.\Suzuno...\Why?\Why?!\Please!\Help me!\I don't wish to sacrifice anyone anymore! response:	What a pain.
context: Go forth.\Suzuno...\Why?\Why?!\Please!\Help me!\I don't wish to sacrifice anyone anymore!\What a pain. response:	Take that!
context: Suzuno...\Why?\Why?!\Please!\Help me!\I don't wish to sacrifice anyone anymore!\What a pain.\Take that! response:	Ugh...
context: Why?\Why?!\Please!\Help me!\I don't wish to sacrifice anyone anymore!\What a pain.\Take that!\Ugh... response:	Huh?
context: Why?!\Please!\Help me!\I don't wish to sacrifice anyone anymore!\What a pain.\Take that!\Ugh...\Huh? response:	Whoa!
context: Please!\Help me!\I don't wish to sacrifice anyone anymore!\What a pain.\Take that!\Ugh...\Huh?\Whoa! response:	What the hell?
context: Help me!\I don't wish to sacrifice anyone anymore!\What a pain.\Take that!\Ugh...\Huh?\Whoa!\What the hell? response:	Suzuno and...
context: I don't wish to sacrifice anyone anymore!\What a pain.\Take that!\Ugh...\Huh?\Whoa!\What the hell?\Suzuno and... response:	D-D-D-D-Dullahan!
context: What a pain.\Take that!\Ugh...\Huh?\Whoa!\What the hell?\Suzuno and...\D-D-D-D-Dullahan! response:	What have you done?!
context: Take that!\Ugh...\Huh?\Whoa!\What the hell?\Suzuno and...\D-D-D-D-Dullahan!\What have you done?! response:	What the hell do you have against Dullahan?!
context: Ugh...\Huh?\Whoa!\What the hell?\Suzuno and...\D-D-D-D-Dullahan!\What have you done?!\What the hell do you have against Dullahan?! response:	Do you have any idea how much getting a new bike is gonna cost me?!
context: Huh?\Whoa!\What the hell?\Suzuno and...\D-D-D-D-Dullahan!\What have you done?!\What the hell do you have against Dullahan?!\Do you have any idea how much getting a new bike is gonna cost me?! response:	I demand compensation!
context: Whoa!\What the hell?\Suzuno and...\D-D-D-D-Dullahan!\What have you done?!\What the hell do you have against Dullahan?!\Do you have any idea how much getting a new bike is gonna cost me?!\I demand compensation! response:	Wait! Hold on
context: What the hell?\Suzuno and...\D-D-D-D-Dullahan!\What have you done?!\What the hell do you have against Dullahan?!\Do you have any idea how much getting a new bike is gonna cost me?!\I demand compensation!\Wait! Hold on response:	Quiet!
