context: I'm back, Gramps! response:	Is the bath water hot?
context: You're Mayu, aren't you?\Why do you do these things?\Aren't you Satoru's sister?\Satoru, ! I'll kill him!\Mom hated me!\That's why she abandoned me!\She never wanted me!\Mayu... She seems so nice. Don't make her unhappy anymore. response:	Be quiet!
context: Why do you do these things?\Aren't you Satoru's sister?\Satoru, ! I'll kill him!\Mom hated me!\That's why she abandoned me!\She never wanted me!\Mayu... She seems so nice. Don't make her unhappy anymore.\Be quiet! response:	If you keep interfering, I'll kill you, too!
context: Aren't you Satoru's sister?\Satoru, ! I'll kill him!\Mom hated me!\That's why she abandoned me!\She never wanted me!\Mayu... She seems so nice. Don't make her unhappy anymore.\Be quiet!\If you keep interfering, I'll kill you, too! response:	Huh?!
context: Satoru, ! I'll kill him!\Mom hated me!\That's why she abandoned me!\She never wanted me!\Mayu... She seems so nice. Don't make her unhappy anymore.\Be quiet!\If you keep interfering, I'll kill you, too!\Huh?! response:	Huh?
context: Mom hated me!\That's why she abandoned me!\She never wanted me!\Mayu... She seems so nice. Don't make her unhappy anymore.\Be quiet!\If you keep interfering, I'll kill you, too!\Huh?!\Huh? response:	Until my eyes...
context: That's why she abandoned me!\She never wanted me!\Mayu... She seems so nice. Don't make her unhappy anymore.\Be quiet!\If you keep interfering, I'll kill you, too!\Huh?!\Huh?\Until my eyes... response:	are open?
context: She never wanted me!\Mayu... She seems so nice. Don't make her unhappy anymore.\Be quiet!\If you keep interfering, I'll kill you, too!\Huh?!\Huh?\Until my eyes...\are open? response:	Until my eyes are open? What does that mean?
context: Mayu... She seems so nice. Don't make her unhappy anymore.\Be quiet!\If you keep interfering, I'll kill you, too!\Huh?!\Huh?\Until my eyes...\are open?\Until my eyes are open? What does that mean? response:	So that demon is called the Soul Piper?
context: Be quiet!\If you keep interfering, I'll kill you, too!\Huh?!\Huh?\Until my eyes...\are open?\Until my eyes are open? What does that mean?\So that demon is called the Soul Piper? response:	Uh-huh... So you have it in your world, too?
context: If you keep interfering, I'll kill you, too!\Huh?!\Huh?\Until my eyes...\are open?\Until my eyes are open? What does that mean?\So that demon is called the Soul Piper?\Uh-huh... So you have it in your world, too? response:	It's supposed to console the souls of dead children.
context: Huh?!\Huh?\Until my eyes...\are open?\Until my eyes are open? What does that mean?\So that demon is called the Soul Piper?\Uh-huh... So you have it in your world, too?\It's supposed to console the souls of dead children. response:	It plays its flute until the souls find peace.
context: Huh?\Until my eyes...\are open?\Until my eyes are open? What does that mean?\So that demon is called the Soul Piper?\Uh-huh... So you have it in your world, too?\It's supposed to console the souls of dead children.\It plays its flute until the souls find peace. response:	And if the soul cannot find peace?
context: Until my eyes...\are open?\Until my eyes are open? What does that mean?\So that demon is called the Soul Piper?\Uh-huh... So you have it in your world, too?\It's supposed to console the souls of dead children.\It plays its flute until the souls find peace.\And if the soul cannot find peace? response:	If the soul has regrets or harbors a grudge...
context: are open?\Until my eyes are open? What does that mean?\So that demon is called the Soul Piper?\Uh-huh... So you have it in your world, too?\It's supposed to console the souls of dead children.\It plays its flute until the souls find peace.\And if the soul cannot find peace?\If the soul has regrets or harbors a grudge... response:	Then that spirit becomes an evil spirit.
context: Until my eyes are open? What does that mean?\So that demon is called the Soul Piper?\Uh-huh... So you have it in your world, too?\It's supposed to console the souls of dead children.\It plays its flute until the souls find peace.\And if the soul cannot find peace?\If the soul has regrets or harbors a grudge...\Then that spirit becomes an evil spirit. response:	Evil spirit?!
context: So that demon is called the Soul Piper?\Uh-huh... So you have it in your world, too?\It's supposed to console the souls of dead children.\It plays its flute until the souls find peace.\And if the soul cannot find peace?\If the soul has regrets or harbors a grudge...\Then that spirit becomes an evil spirit.\Evil spirit?! response:	When regrets turn to rage and hatred in a spirit...
context: Uh-huh... So you have it in your world, too?\It's supposed to console the souls of dead children.\It plays its flute until the souls find peace.\And if the soul cannot find peace?\If the soul has regrets or harbors a grudge...\Then that spirit becomes an evil spirit.\Evil spirit?!\When regrets turn to rage and hatred in a spirit... response:	it becomes evil.
context: It's supposed to console the souls of dead children.\It plays its flute until the souls find peace.\And if the soul cannot find peace?\If the soul has regrets or harbors a grudge...\Then that spirit becomes an evil spirit.\Evil spirit?!\When regrets turn to rage and hatred in a spirit...\it becomes evil. response:	Upon becoming an evil spirit...
context: It plays its flute until the souls find peace.\And if the soul cannot find peace?\If the soul has regrets or harbors a grudge...\Then that spirit becomes an evil spirit.\Evil spirit?!\When regrets turn to rage and hatred in a spirit...\it becomes evil.\Upon becoming an evil spirit... response:	the Soul Piper hurls it into the depths of hell.
context: And if the soul cannot find peace?\If the soul has regrets or harbors a grudge...\Then that spirit becomes an evil spirit.\Evil spirit?!\When regrets turn to rage and hatred in a spirit...\it becomes evil.\Upon becoming an evil spirit...\the Soul Piper hurls it into the depths of hell. response:	When the Soul Piper's eyes are fully open, it's too late.
context: If the soul has regrets or harbors a grudge...\Then that spirit becomes an evil spirit.\Evil spirit?!\When regrets turn to rage and hatred in a spirit...\it becomes evil.\Upon becoming an evil spirit...\the Soul Piper hurls it into the depths of hell.\When the Soul Piper's eyes are fully open, it's too late. response:	I won't allow that!
context: Then that spirit becomes an evil spirit.\Evil spirit?!\When regrets turn to rage and hatred in a spirit...\it becomes evil.\Upon becoming an evil spirit...\the Soul Piper hurls it into the depths of hell.\When the Soul Piper's eyes are fully open, it's too late.\I won't allow that! response:	Mayu must find peace!
context: Evil spirit?!\When regrets turn to rage and hatred in a spirit...\it becomes evil.\Upon becoming an evil spirit...\the Soul Piper hurls it into the depths of hell.\When the Soul Piper's eyes are fully open, it's too late.\I won't allow that!\Mayu must find peace! response:	Forget it, Kagome!
context: When regrets turn to rage and hatred in a spirit...\it becomes evil.\Upon becoming an evil spirit...\the Soul Piper hurls it into the depths of hell.\When the Soul Piper's eyes are fully open, it's too late.\I won't allow that!\Mayu must find peace!\Forget it, Kagome! response:	Ghosts are different from demons.
context: it becomes evil.\Upon becoming an evil spirit...\the Soul Piper hurls it into the depths of hell.\When the Soul Piper's eyes are fully open, it's too late.\I won't allow that!\Mayu must find peace!\Forget it, Kagome!\Ghosts are different from demons. response:	You can't just slay them.
context: Upon becoming an evil spirit...\the Soul Piper hurls it into the depths of hell.\When the Soul Piper's eyes are fully open, it's too late.\I won't allow that!\Mayu must find peace!\Forget it, Kagome!\Ghosts are different from demons.\You can't just slay them. response:	One misstep and you'll regret it.
context: the Soul Piper hurls it into the depths of hell.\When the Soul Piper's eyes are fully open, it's too late.\I won't allow that!\Mayu must find peace!\Forget it, Kagome!\Ghosts are different from demons.\You can't just slay them.\One misstep and you'll regret it. response:	But I can't ignore it!
context: When the Soul Piper's eyes are fully open, it's too late.\I won't allow that!\Mayu must find peace!\Forget it, Kagome!\Ghosts are different from demons.\You can't just slay them.\One misstep and you'll regret it.\But I can't ignore it! response:	I come from a shrine family!
context: I won't allow that!\Mayu must find peace!\Forget it, Kagome!\Ghosts are different from demons.\You can't just slay them.\One misstep and you'll regret it.\But I can't ignore it!\I come from a shrine family! response:	There must be something I can do!
context: Mayu must find peace!\Forget it, Kagome!\Ghosts are different from demons.\You can't just slay them.\One misstep and you'll regret it.\But I can't ignore it!\I come from a shrine family!\There must be something I can do! response:	Kagome is already gone. Fool!
context: Forget it, Kagome!\Ghosts are different from demons.\You can't just slay them.\One misstep and you'll regret it.\But I can't ignore it!\I come from a shrine family!\There must be something I can do!\Kagome is already gone. Fool! response:	I can't ignore her.
context: Ghosts are different from demons.\You can't just slay them.\One misstep and you'll regret it.\But I can't ignore it!\I come from a shrine family!\There must be something I can do!\Kagome is already gone. Fool!\I can't ignore her. response:	That girl has so much sadness in her.
context: You can't just slay them.\One misstep and you'll regret it.\But I can't ignore it!\I come from a shrine family!\There must be something I can do!\Kagome is already gone. Fool!\I can't ignore her.\That girl has so much sadness in her. response:	Mom, I want a cotton kimono with goldfish on it.
context: One misstep and you'll regret it.\But I can't ignore it!\I come from a shrine family!\There must be something I can do!\Kagome is already gone. Fool!\I can't ignore her.\That girl has so much sadness in her.\Mom, I want a cotton kimono with goldfish on it. response:	When the summer comes, I'll go to the fairs...
context: But I can't ignore it!\I come from a shrine family!\There must be something I can do!\Kagome is already gone. Fool!\I can't ignore her.\That girl has so much sadness in her.\Mom, I want a cotton kimono with goldfish on it.\When the summer comes, I'll go to the fairs... response:	and catch lots and lots of his goldfish friends.
context: I come from a shrine family!\There must be something I can do!\Kagome is already gone. Fool!\I can't ignore her.\That girl has so much sadness in her.\Mom, I want a cotton kimono with goldfish on it.\When the summer comes, I'll go to the fairs...\and catch lots and lots of his goldfish friends. response:	I want to wear my cotton kimono then.
context: There must be something I can do!\Kagome is already gone. Fool!\I can't ignore her.\That girl has so much sadness in her.\Mom, I want a cotton kimono with goldfish on it.\When the summer comes, I'll go to the fairs...\and catch lots and lots of his goldfish friends.\I want to wear my cotton kimono then. response:	Mayu, summer's a long ways off.
context: Kagome is already gone. Fool!\I can't ignore her.\That girl has so much sadness in her.\Mom, I want a cotton kimono with goldfish on it.\When the summer comes, I'll go to the fairs...\and catch lots and lots of his goldfish friends.\I want to wear my cotton kimono then.\Mayu, summer's a long ways off. response:	That's okay. Promise?
context: I can't ignore her.\That girl has so much sadness in her.\Mom, I want a cotton kimono with goldfish on it.\When the summer comes, I'll go to the fairs...\and catch lots and lots of his goldfish friends.\I want to wear my cotton kimono then.\Mayu, summer's a long ways off.\That's okay. Promise? response:	All right!
context: That girl has so much sadness in her.\Mom, I want a cotton kimono with goldfish on it.\When the summer comes, I'll go to the fairs...\and catch lots and lots of his goldfish friends.\I want to wear my cotton kimono then.\Mayu, summer's a long ways off.\That's okay. Promise?\All right! response:	When Mom leaves the hospital tonight...
context: Mom, I want a cotton kimono with goldfish on it.\When the summer comes, I'll go to the fairs...\and catch lots and lots of his goldfish friends.\I want to wear my cotton kimono then.\Mayu, summer's a long ways off.\That's okay. Promise?\All right!\When Mom leaves the hospital tonight... response:	I'm going to kill her dear, little Satoru.
context: When the summer comes, I'll go to the fairs...\and catch lots and lots of his goldfish friends.\I want to wear my cotton kimono then.\Mayu, summer's a long ways off.\That's okay. Promise?\All right!\When Mom leaves the hospital tonight...\I'm going to kill her dear, little Satoru. response:	You're going home now?
context: and catch lots and lots of his goldfish friends.\I want to wear my cotton kimono then.\Mayu, summer's a long ways off.\That's okay. Promise?\All right!\When Mom leaves the hospital tonight...\I'm going to kill her dear, little Satoru.\You're going home now? response:	Yes. I'll see you again tomorrow.
context: I want to wear my cotton kimono then.\Mayu, summer's a long ways off.\That's okay. Promise?\All right!\When Mom leaves the hospital tonight...\I'm going to kill her dear, little Satoru.\You're going home now?\Yes. I'll see you again tomorrow. response:	Take care.
context: Mayu, summer's a long ways off.\That's okay. Promise?\All right!\When Mom leaves the hospital tonight...\I'm going to kill her dear, little Satoru.\You're going home now?\Yes. I'll see you again tomorrow.\Take care. response:	Excuse me...
context: That's okay. Promise?\All right!\When Mom leaves the hospital tonight...\I'm going to kill her dear, little Satoru.\You're going home now?\Yes. I'll see you again tomorrow.\Take care.\Excuse me... response:	Oh, you're Sota's sister?
context: All right!\When Mom leaves the hospital tonight...\I'm going to kill her dear, little Satoru.\You're going home now?\Yes. I'll see you again tomorrow.\Take care.\Excuse me...\Oh, you're Sota's sister? response:	Umm... About Satoru's late sister...
context: When Mom leaves the hospital tonight...\I'm going to kill her dear, little Satoru.\You're going home now?\Yes. I'll see you again tomorrow.\Take care.\Excuse me...\Oh, you're Sota's sister?\Umm... About Satoru's late sister... response:	We've been waiting for you! Please go around!
context: I'm going to kill her dear, little Satoru.\You're going home now?\Yes. I'll see you again tomorrow.\Take care.\Excuse me...\Oh, you're Sota's sister?\Umm... About Satoru's late sister...\We've been waiting for you! Please go around! response:	That day...
context: You're going home now?\Yes. I'll see you again tomorrow.\Take care.\Excuse me...\Oh, you're Sota's sister?\Umm... About Satoru's late sister...\We've been waiting for you! Please go around!\That day... response:	Stupid Mommy!
context: Yes. I'll see you again tomorrow.\Take care.\Excuse me...\Oh, you're Sota's sister?\Umm... About Satoru's late sister...\We've been waiting for you! Please go around!\That day...\Stupid Mommy! response:	Why didn't you come to the Open House?!
context: Take care.\Excuse me...\Oh, you're Sota's sister?\Umm... About Satoru's late sister...\We've been waiting for you! Please go around!\That day...\Stupid Mommy!\Why didn't you come to the Open House?! response:	It couldn't be helped.
context: Excuse me...\Oh, you're Sota's sister?\Umm... About Satoru's late sister...\We've been waiting for you! Please go around!\That day...\Stupid Mommy!\Why didn't you come to the Open House?!\It couldn't be helped. response:	Satoru's temperature shot up.
context: Oh, you're Sota's sister?\Umm... About Satoru's late sister...\We've been waiting for you! Please go around!\That day...\Stupid Mommy!\Why didn't you come to the Open House?!\It couldn't be helped.\Satoru's temperature shot up. response:	All you care about is Satoru!
context: Umm... About Satoru's late sister...\We've been waiting for you! Please go around!\That day...\Stupid Mommy!\Why didn't you come to the Open House?!\It couldn't be helped.\Satoru's temperature shot up.\All you care about is Satoru! response:	Mayu!
context: We've been waiting for you! Please go around!\That day...\Stupid Mommy!\Why didn't you come to the Open House?!\It couldn't be helped.\Satoru's temperature shot up.\All you care about is Satoru!\Mayu! response:	I hate you and Satoru!
context: That day...\Stupid Mommy!\Why didn't you come to the Open House?!\It couldn't be helped.\Satoru's temperature shot up.\All you care about is Satoru!\Mayu!\I hate you and Satoru! response:	Mayu, just a minute!
context: Stupid Mommy!\Why didn't you come to the Open House?!\It couldn't be helped.\Satoru's temperature shot up.\All you care about is Satoru!\Mayu!\I hate you and Satoru!\Mayu, just a minute! response:	Mayu!
context: Why didn't you come to the Open House?!\It couldn't be helped.\Satoru's temperature shot up.\All you care about is Satoru!\Mayu!\I hate you and Satoru!\Mayu, just a minute!\Mayu! response:	We always had arguments like that.
context: It couldn't be helped.\Satoru's temperature shot up.\All you care about is Satoru!\Mayu!\I hate you and Satoru!\Mayu, just a minute!\Mayu!\We always had arguments like that. response:	On that day, when Mayu ran off...
context: Satoru's temperature shot up.\All you care about is Satoru!\Mayu!\I hate you and Satoru!\Mayu, just a minute!\Mayu!\We always had arguments like that.\On that day, when Mayu ran off... response:	I thought, Oh, there she goes again.
context: All you care about is Satoru!\Mayu!\I hate you and Satoru!\Mayu, just a minute!\Mayu!\We always had arguments like that.\On that day, when Mayu ran off...\I thought, Oh, there she goes again. response:	But...
context: Mayu!\I hate you and Satoru!\Mayu, just a minute!\Mayu!\We always had arguments like that.\On that day, when Mayu ran off...\I thought, Oh, there she goes again.\But... response:	If I had known that Mayu was inside the apartment...
context: I hate you and Satoru!\Mayu, just a minute!\Mayu!\We always had arguments like that.\On that day, when Mayu ran off...\I thought, Oh, there she goes again.\But...\If I had known that Mayu was inside the apartment... response:	A child! Poor thing!
context: Mayu, just a minute!\Mayu!\We always had arguments like that.\On that day, when Mayu ran off...\I thought, Oh, there she goes again.\But...\If I had known that Mayu was inside the apartment...\A child! Poor thing! response:	If I had known, I would have gone back...
context: Mayu!\We always had arguments like that.\On that day, when Mayu ran off...\I thought, Oh, there she goes again.\But...\If I had known that Mayu was inside the apartment...\A child! Poor thing!\If I had known, I would have gone back... response:	If I had only known!
context: We always had arguments like that.\On that day, when Mayu ran off...\I thought, Oh, there she goes again.\But...\If I had known that Mayu was inside the apartment...\A child! Poor thing!\If I had known, I would have gone back...\If I had only known! response:	She wasn't aware that Mayu was inside during the fire.
context: On that day, when Mayu ran off...\I thought, Oh, there she goes again.\But...\If I had known that Mayu was inside the apartment...\A child! Poor thing!\If I had known, I would have gone back...\If I had only known!\She wasn't aware that Mayu was inside during the fire. response:	That's Satoru's room!
context: I thought, Oh, there she goes again.\But...\If I had known that Mayu was inside the apartment...\A child! Poor thing!\If I had known, I would have gone back...\If I had only known!\She wasn't aware that Mayu was inside during the fire.\That's Satoru's room! response:	Mayu!
context: But...\If I had known that Mayu was inside the apartment...\A child! Poor thing!\If I had known, I would have gone back...\If I had only known!\She wasn't aware that Mayu was inside during the fire.\That's Satoru's room!\Mayu! response:	Mayu, stop!
context: If I had known that Mayu was inside the apartment...\A child! Poor thing!\If I had known, I would have gone back...\If I had only known!\She wasn't aware that Mayu was inside during the fire.\That's Satoru's room!\Mayu!\Mayu, stop! response:	M-Mayu!
context: A child! Poor thing!\If I had known, I would have gone back...\If I had only known!\She wasn't aware that Mayu was inside during the fire.\That's Satoru's room!\Mayu!\Mayu, stop!\M-Mayu! response:	Why?!
context: If I had known, I would have gone back...\If I had only known!\She wasn't aware that Mayu was inside during the fire.\That's Satoru's room!\Mayu!\Mayu, stop!\M-Mayu!\Why?! response:	Quiet!
context: If I had only known!\She wasn't aware that Mayu was inside during the fire.\That's Satoru's room!\Mayu!\Mayu, stop!\M-Mayu!\Why?!\Quiet! response:	Mayu, think hard!
context: She wasn't aware that Mayu was inside during the fire.\That's Satoru's room!\Mayu!\Mayu, stop!\M-Mayu!\Why?!\Quiet!\Mayu, think hard! response:	Did your mother really abandon you?
context: That's Satoru's room!\Mayu!\Mayu, stop!\M-Mayu!\Why?!\Quiet!\Mayu, think hard!\Did your mother really abandon you? response:	Maybe she didn't know you were inside the apartment during that fire?
context: Mayu!\Mayu, stop!\M-Mayu!\Why?!\Quiet!\Mayu, think hard!\Did your mother really abandon you?\Maybe she didn't know you were inside the apartment during that fire? response:	Brrr... It was cold!
context: Mayu, stop!\M-Mayu!\Why?!\Quiet!\Mayu, think hard!\Did your mother really abandon you?\Maybe she didn't know you were inside the apartment during that fire?\Brrr... It was cold! response:	Sis... You're not supposed to hang things above the heater...
context: M-Mayu!\Why?!\Quiet!\Mayu, think hard!\Did your mother really abandon you?\Maybe she didn't know you were inside the apartment during that fire?\Brrr... It was cold!\Sis... You're not supposed to hang things above the heater... response:	when Mom is not at home.
context: Why?!\Quiet!\Mayu, think hard!\Did your mother really abandon you?\Maybe she didn't know you were inside the apartment during that fire?\Brrr... It was cold!\Sis... You're not supposed to hang things above the heater...\when Mom is not at home. response:	Oh, be quiet!
context: Quiet!\Mayu, think hard!\Did your mother really abandon you?\Maybe she didn't know you were inside the apartment during that fire?\Brrr... It was cold!\Sis... You're not supposed to hang things above the heater...\when Mom is not at home.\Oh, be quiet! response:	Don't you dare tell Mom that I'm hiding here.
context: Mayu, think hard!\Did your mother really abandon you?\Maybe she didn't know you were inside the apartment during that fire?\Brrr... It was cold!\Sis... You're not supposed to hang things above the heater...\when Mom is not at home.\Oh, be quiet!\Don't you dare tell Mom that I'm hiding here. response:	I want to make her worry!
context: Did your mother really abandon you?\Maybe she didn't know you were inside the apartment during that fire?\Brrr... It was cold!\Sis... You're not supposed to hang things above the heater...\when Mom is not at home.\Oh, be quiet!\Don't you dare tell Mom that I'm hiding here.\I want to make her worry! response:	That muffler caught on fire!
context: Maybe she didn't know you were inside the apartment during that fire?\Brrr... It was cold!\Sis... You're not supposed to hang things above the heater...\when Mom is not at home.\Oh, be quiet!\Don't you dare tell Mom that I'm hiding here.\I want to make her worry!\That muffler caught on fire! response:	It's all my fault.
context: Brrr... It was cold!\Sis... You're not supposed to hang things above the heater...\when Mom is not at home.\Oh, be quiet!\Don't you dare tell Mom that I'm hiding here.\I want to make her worry!\That muffler caught on fire!\It's all my fault. response:	Mom's not to blame.
context: Sis... You're not supposed to hang things above the heater...\when Mom is not at home.\Oh, be quiet!\Don't you dare tell Mom that I'm hiding here.\I want to make her worry!\That muffler caught on fire!\It's all my fault.\Mom's not to blame. response:	Even Satoru...
context: when Mom is not at home.\Oh, be quiet!\Don't you dare tell Mom that I'm hiding here.\I want to make her worry!\That muffler caught on fire!\It's all my fault.\Mom's not to blame.\Even Satoru... response:	Mayu...
context: Oh, be quiet!\Don't you dare tell Mom that I'm hiding here.\I want to make her worry!\That muffler caught on fire!\It's all my fault.\Mom's not to blame.\Even Satoru...\Mayu... response:	Satoru!
context: Don't you dare tell Mom that I'm hiding here.\I want to make her worry!\That muffler caught on fire!\It's all my fault.\Mom's not to blame.\Even Satoru...\Mayu...\Satoru! response:	Huh?!
context: I want to make her worry!\That muffler caught on fire!\It's all my fault.\Mom's not to blame.\Even Satoru...\Mayu...\Satoru!\Huh?! response:	He fell!
context: That muffler caught on fire!\It's all my fault.\Mom's not to blame.\Even Satoru...\Mayu...\Satoru!\Huh?!\He fell! response:	Cripes! I can't stand to watch you!
context: It's all my fault.\Mom's not to blame.\Even Satoru...\Mayu...\Satoru!\Huh?!\He fell!\Cripes! I can't stand to watch you! response:	Inuyasha!
context: Mom's not to blame.\Even Satoru...\Mayu...\Satoru!\Huh?!\He fell!\Cripes! I can't stand to watch you!\Inuyasha! response:	You came!
context: Even Satoru...\Mayu...\Satoru!\Huh?!\He fell!\Cripes! I can't stand to watch you!\Inuyasha!\You came! response:	Didn't I tell you not to get involved?
context: Mayu...\Satoru!\Huh?!\He fell!\Cripes! I can't stand to watch you!\Inuyasha!\You came!\Didn't I tell you not to get involved? response:	It's too late for that little kid.
context: Satoru!\Huh?!\He fell!\Cripes! I can't stand to watch you!\Inuyasha!\You came!\Didn't I tell you not to get involved?\It's too late for that little kid. response:	Making her realize the truth doesn't mean she'll find peace.
context: Huh?!\He fell!\Cripes! I can't stand to watch you!\Inuyasha!\You came!\Didn't I tell you not to get involved?\It's too late for that little kid.\Making her realize the truth doesn't mean she'll find peace. response:	It ain't that simple!
context: He fell!\Cripes! I can't stand to watch you!\Inuyasha!\You came!\Didn't I tell you not to get involved?\It's too late for that little kid.\Making her realize the truth doesn't mean she'll find peace.\It ain't that simple! response:	Huh?! The eyes!
context: Cripes! I can't stand to watch you!\Inuyasha!\You came!\Didn't I tell you not to get involved?\It's too late for that little kid.\Making her realize the truth doesn't mean she'll find peace.\It ain't that simple!\Huh?! The eyes! response:	Aghh! What's this?!
context: Inuyasha!\You came!\Didn't I tell you not to get involved?\It's too late for that little kid.\Making her realize the truth doesn't mean she'll find peace.\It ain't that simple!\Huh?! The eyes!\Aghh! What's this?! response:	No! No!
context: You came!\Didn't I tell you not to get involved?\It's too late for that little kid.\Making her realize the truth doesn't mean she'll find peace.\It ain't that simple!\Huh?! The eyes!\Aghh! What's this?!\No! No! response:	Remember this! I don't know anything about ghosts!
context: Didn't I tell you not to get involved?\It's too late for that little kid.\Making her realize the truth doesn't mean she'll find peace.\It ain't that simple!\Huh?! The eyes!\Aghh! What's this?!\No! No!\Remember this! I don't know anything about ghosts! response:	So you work it out!
context: It's too late for that little kid.\Making her realize the truth doesn't mean she'll find peace.\It ain't that simple!\Huh?! The eyes!\Aghh! What's this?!\No! No!\Remember this! I don't know anything about ghosts!\So you work it out! response:	I must help Mayu find peace before she falls into hell.
context: Making her realize the truth doesn't mean she'll find peace.\It ain't that simple!\Huh?! The eyes!\Aghh! What's this?!\No! No!\Remember this! I don't know anything about ghosts!\So you work it out!\I must help Mayu find peace before she falls into hell. response:	This is what Myoga said...
context: It ain't that simple!\Huh?! The eyes!\Aghh! What's this?!\No! No!\Remember this! I don't know anything about ghosts!\So you work it out!\I must help Mayu find peace before she falls into hell.\This is what Myoga said... response:	the Soul Piper takes the spirit to the spot where the death occurred...
context: Huh?! The eyes!\Aghh! What's this?!\No! No!\Remember this! I don't know anything about ghosts!\So you work it out!\I must help Mayu find peace before she falls into hell.\This is what Myoga said...\the Soul Piper takes the spirit to the spot where the death occurred... response:	then drags it down into hell!
context: Aghh! What's this?!\No! No!\Remember this! I don't know anything about ghosts!\So you work it out!\I must help Mayu find peace before she falls into hell.\This is what Myoga said...\the Soul Piper takes the spirit to the spot where the death occurred...\then drags it down into hell! response:	Look over there! Seems pretty dangerous to me!
context: No! No!\Remember this! I don't know anything about ghosts!\So you work it out!\I must help Mayu find peace before she falls into hell.\This is what Myoga said...\the Soul Piper takes the spirit to the spot where the death occurred...\then drags it down into hell!\Look over there! Seems pretty dangerous to me! response:	Inuyasha, let me off here.
context: Remember this! I don't know anything about ghosts!\So you work it out!\I must help Mayu find peace before she falls into hell.\This is what Myoga said...\the Soul Piper takes the spirit to the spot where the death occurred...\then drags it down into hell!\Look over there! Seems pretty dangerous to me!\Inuyasha, let me off here. response:	Fool! Did you really think you can manage alone?
context: So you work it out!\I must help Mayu find peace before she falls into hell.\This is what Myoga said...\the Soul Piper takes the spirit to the spot where the death occurred...\then drags it down into hell!\Look over there! Seems pretty dangerous to me!\Inuyasha, let me off here.\Fool! Did you really think you can manage alone? response:	No wonder they say that...
context: I must help Mayu find peace before she falls into hell.\This is what Myoga said...\the Soul Piper takes the spirit to the spot where the death occurred...\then drags it down into hell!\Look over there! Seems pretty dangerous to me!\Inuyasha, let me off here.\Fool! Did you really think you can manage alone?\No wonder they say that... response:	there's nothing scarier than an ignoramus!
context: This is what Myoga said...\the Soul Piper takes the spirit to the spot where the death occurred...\then drags it down into hell!\Look over there! Seems pretty dangerous to me!\Inuyasha, let me off here.\Fool! Did you really think you can manage alone?\No wonder they say that...\there's nothing scarier than an ignoramus! response:	Oh that's right... This is where humans get sucked into hell.
context: the Soul Piper takes the spirit to the spot where the death occurred...\then drags it down into hell!\Look over there! Seems pretty dangerous to me!\Inuyasha, let me off here.\Fool! Did you really think you can manage alone?\No wonder they say that...\there's nothing scarier than an ignoramus!\Oh that's right... This is where humans get sucked into hell. response:	Only humans like Kagome can proceed any further.
context: then drags it down into hell!\Look over there! Seems pretty dangerous to me!\Inuyasha, let me off here.\Fool! Did you really think you can manage alone?\No wonder they say that...\there's nothing scarier than an ignoramus!\Oh that's right... This is where humans get sucked into hell.\Only humans like Kagome can proceed any further. response:	Damn! This is one time I'm totally helpless!
context: Look over there! Seems pretty dangerous to me!\Inuyasha, let me off here.\Fool! Did you really think you can manage alone?\No wonder they say that...\there's nothing scarier than an ignoramus!\Oh that's right... This is where humans get sucked into hell.\Only humans like Kagome can proceed any further.\Damn! This is one time I'm totally helpless! response:	It's pitch black. Where am I?
context: Inuyasha, let me off here.\Fool! Did you really think you can manage alone?\No wonder they say that...\there's nothing scarier than an ignoramus!\Oh that's right... This is where humans get sucked into hell.\Only humans like Kagome can proceed any further.\Damn! This is one time I'm totally helpless!\It's pitch black. Where am I? response:	A light?
context: Fool! Did you really think you can manage alone?\No wonder they say that...\there's nothing scarier than an ignoramus!\Oh that's right... This is where humans get sucked into hell.\Only humans like Kagome can proceed any further.\Damn! This is one time I'm totally helpless!\It's pitch black. Where am I?\A light? response:	Huh?! You're conscious!
context: No wonder they say that...\there's nothing scarier than an ignoramus!\Oh that's right... This is where humans get sucked into hell.\Only humans like Kagome can proceed any further.\Damn! This is one time I'm totally helpless!\It's pitch black. Where am I?\A light?\Huh?! You're conscious! response:	Umm... What happened?
context: there's nothing scarier than an ignoramus!\Oh that's right... This is where humans get sucked into hell.\Only humans like Kagome can proceed any further.\Damn! This is one time I'm totally helpless!\It's pitch black. Where am I?\A light?\Huh?! You're conscious!\Umm... What happened? response:	Never mind... Look at Satoru!
context: Oh that's right... This is where humans get sucked into hell.\Only humans like Kagome can proceed any further.\Damn! This is one time I'm totally helpless!\It's pitch black. Where am I?\A light?\Huh?! You're conscious!\Umm... What happened?\Never mind... Look at Satoru! response:	Huh?!
context: Only humans like Kagome can proceed any further.\Damn! This is one time I'm totally helpless!\It's pitch black. Where am I?\A light?\Huh?! You're conscious!\Umm... What happened?\Never mind... Look at Satoru!\Huh?! response:	Satoru!
context: Damn! This is one time I'm totally helpless!\It's pitch black. Where am I?\A light?\Huh?! You're conscious!\Umm... What happened?\Never mind... Look at Satoru!\Huh?!\Satoru! response:	Mom...
context: It's pitch black. Where am I?\A light?\Huh?! You're conscious!\Umm... What happened?\Never mind... Look at Satoru!\Huh?!\Satoru!\Mom... response:	Mom... Umm...
context: A light?\Huh?! You're conscious!\Umm... What happened?\Never mind... Look at Satoru!\Huh?!\Satoru!\Mom...\Mom... Umm... response:	Sis is inside the closet.
