context: I'll ask once more. response:	Why did you call me by the name of the Jealous Witch?
context: This means there's only one way.\Before Elsa comes to the loot house,\I have to buy the insignia from Felt, and return it to Satella!\Wait...\Satella was just an alias, wasn't it?\Then I've gotta get her to tell me her real name this time\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got! response:	I'm getting sick of seeing your faces, Larry, Moe, and Curly.
context: Before Elsa comes to the loot house,\I have to buy the insignia from Felt, and return it to Satella!\Wait...\Satella was just an alias, wasn't it?\Then I've gotta get her to tell me her real name this time\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\I'm getting sick of seeing your faces, Larry, Moe, and Curly. response:	After doing this four times, I've learned my lesson!
context: I have to buy the insignia from Felt, and return it to Satella!\Wait...\Satella was just an alias, wasn't it?\Then I've gotta get her to tell me her real name this time\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\I'm getting sick of seeing your faces, Larry, Moe, and Curly.\After doing this four times, I've learned my lesson! response:	Guards!
context: Wait...\Satella was just an alias, wasn't it?\Then I've gotta get her to tell me her real name this time\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\I'm getting sick of seeing your faces, Larry, Moe, and Curly.\After doing this four times, I've learned my lesson!\Guards! response:	What the hell, you bastard?!
context: Satella was just an alias, wasn't it?\Then I've gotta get her to tell me her real name this time\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\I'm getting sick of seeing your faces, Larry, Moe, and Curly.\After doing this four times, I've learned my lesson!\Guards!\What the hell, you bastard?! response:	My memory from before was right.
context: Then I've gotta get her to tell me her real name this time\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\I'm getting sick of seeing your faces, Larry, Moe, and Curly.\After doing this four times, I've learned my lesson!\Guards!\What the hell, you bastard?!\My memory from before was right. response:	This world does have some kind of police force!
context: What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\I'm getting sick of seeing your faces, Larry, Moe, and Curly.\After doing this four times, I've learned my lesson!\Guards!\What the hell, you bastard?!\My memory from before was right.\This world does have some kind of police force! response:	Someone! P-Please, I need a man!
context: If you don't wanna get hurt, cough up whatever you've got!\I'm getting sick of seeing your faces, Larry, Moe, and Curly.\After doing this four times, I've learned my lesson!\Guards!\What the hell, you bastard?!\My memory from before was right.\This world does have some kind of police force!\Someone! P-Please, I need a man! response:	Damn it, shut up!
context: I'm getting sick of seeing your faces, Larry, Moe, and Curly.\After doing this four times, I've learned my lesson!\Guards!\What the hell, you bastard?!\My memory from before was right.\This world does have some kind of police force!\Someone! P-Please, I need a man!\Damn it, shut up! response:	No, don't touch me... Stop.
context: After doing this four times, I've learned my lesson!\Guards!\What the hell, you bastard?!\My memory from before was right.\This world does have some kind of police force!\Someone! P-Please, I need a man!\Damn it, shut up!\No, don't touch me... Stop. response:	I can't hear you. You're not being sincere enough.
context: Guards!\What the hell, you bastard?!\My memory from before was right.\This world does have some kind of police force!\Someone! P-Please, I need a man!\Damn it, shut up!\No, don't touch me... Stop.\I can't hear you. You're not being sincere enough. response:	Police... Huh?
context: What the hell, you bastard?!\My memory from before was right.\This world does have some kind of police force!\Someone! P-Please, I need a man!\Damn it, shut up!\No, don't touch me... Stop.\I can't hear you. You're not being sincere enough.\Police... Huh? response:	Don't scare me like that.
context: My memory from before was right.\This world does have some kind of police force!\Someone! P-Please, I need a man!\Damn it, shut up!\No, don't touch me... Stop.\I can't hear you. You're not being sincere enough.\Police... Huh?\Don't scare me like that. response:	I might have freaked out, just a little.
context: This world does have some kind of police force!\Someone! P-Please, I need a man!\Damn it, shut up!\No, don't touch me... Stop.\I can't hear you. You're not being sincere enough.\Police... Huh?\Don't scare me like that.\I might have freaked out, just a little. response:	Just a little bit.
context: Someone! P-Please, I need a man!\Damn it, shut up!\No, don't touch me... Stop.\I can't hear you. You're not being sincere enough.\Police... Huh?\Don't scare me like that.\I might have freaked out, just a little.\Just a little bit. response:	Just a tiny, little bit.
context: Damn it, shut up!\No, don't touch me... Stop.\I can't hear you. You're not being sincere enough.\Police... Huh?\Don't scare me like that.\I might have freaked out, just a little.\Just a little bit.\Just a tiny, little bit. response:	Trying to run won't help you.
context: No, don't touch me... Stop.\I can't hear you. You're not being sincere enough.\Police... Huh?\Don't scare me like that.\I might have freaked out, just a little.\Just a little bit.\Just a tiny, little bit.\Trying to run won't help you. response:	That's enough.
context: I can't hear you. You're not being sincere enough.\Police... Huh?\Don't scare me like that.\I might have freaked out, just a little.\Just a little bit.\Just a tiny, little bit.\Trying to run won't help you.\That's enough. response:	Red hair.
context: Police... Huh?\Don't scare me like that.\I might have freaked out, just a little.\Just a little bit.\Just a tiny, little bit.\Trying to run won't help you.\That's enough.\Red hair. response:	And a knight's sword, with scratches made by dragon claws.
context: Don't scare me like that.\I might have freaked out, just a little.\Just a little bit.\Just a tiny, little bit.\Trying to run won't help you.\That's enough.\Red hair.\And a knight's sword, with scratches made by dragon claws. response:	It can't be.
context: I might have freaked out, just a little.\Just a little bit.\Just a tiny, little bit.\Trying to run won't help you.\That's enough.\Red hair.\And a knight's sword, with scratches made by dragon claws.\It can't be. response:	Reinhard?
context: Just a little bit.\Just a tiny, little bit.\Trying to run won't help you.\That's enough.\Red hair.\And a knight's sword, with scratches made by dragon claws.\It can't be.\Reinhard? response:	The master swordsman, Reinhard?
context: Just a tiny, little bit.\Trying to run won't help you.\That's enough.\Red hair.\And a knight's sword, with scratches made by dragon claws.\It can't be.\Reinhard?\The master swordsman, Reinhard? response:	Seems I needn't introduce myself.
context: Trying to run won't help you.\That's enough.\Red hair.\And a knight's sword, with scratches made by dragon claws.\It can't be.\Reinhard?\The master swordsman, Reinhard?\Seems I needn't introduce myself. response:	Although, that nickname is a bit much.
context: That's enough.\Red hair.\And a knight's sword, with scratches made by dragon claws.\It can't be.\Reinhard?\The master swordsman, Reinhard?\Seems I needn't introduce myself.\Although, that nickname is a bit much. response:	I don't know how much my modest strength could aid him.
context: Red hair.\And a knight's sword, with scratches made by dragon claws.\It can't be.\Reinhard?\The master swordsman, Reinhard?\Seems I needn't introduce myself.\Although, that nickname is a bit much.\I don't know how much my modest strength could aid him. response:	But if you wish to resort to extreme measures,
context: And a knight's sword, with scratches made by dragon claws.\It can't be.\Reinhard?\The master swordsman, Reinhard?\Seems I needn't introduce myself.\Although, that nickname is a bit much.\I don't know how much my modest strength could aid him.\But if you wish to resort to extreme measures, response:	as a knight, I would have to fight back.
context: It can't be.\Reinhard?\The master swordsman, Reinhard?\Seems I needn't introduce myself.\Although, that nickname is a bit much.\I don't know how much my modest strength could aid him.\But if you wish to resort to extreme measures,\as a knight, I would have to fight back. response:	S-Screw this! It's not worth it!
context: Reinhard?\The master swordsman, Reinhard?\Seems I needn't introduce myself.\Although, that nickname is a bit much.\I don't know how much my modest strength could aid him.\But if you wish to resort to extreme measures,\as a knight, I would have to fight back.\S-Screw this! It's not worth it! response:	I'm glad we're both safe. Are you unhurt?
context: The master swordsman, Reinhard?\Seems I needn't introduce myself.\Although, that nickname is a bit much.\I don't know how much my modest strength could aid him.\But if you wish to resort to extreme measures,\as a knight, I would have to fight back.\S-Screw this! It's not worth it!\I'm glad we're both safe. Are you unhurt? response:	A-Allow me to thank you, from the bottom of my heart, for saving my life!
context: Seems I needn't introduce myself.\Although, that nickname is a bit much.\I don't know how much my modest strength could aid him.\But if you wish to resort to extreme measures,\as a knight, I would have to fight back.\S-Screw this! It's not worth it!\I'm glad we're both safe. Are you unhurt?\A-Allow me to thank you, from the bottom of my heart, for saving my life! response:	I, Natsuki Subaru, deeply admire your selflessness!
context: Although, that nickname is a bit much.\I don't know how much my modest strength could aid him.\But if you wish to resort to extreme measures,\as a knight, I would have to fight back.\S-Screw this! It's not worth it!\I'm glad we're both safe. Are you unhurt?\A-Allow me to thank you, from the bottom of my heart, for saving my life!\I, Natsuki Subaru, deeply admire your selflessness! response:	No need for such formality.
context: I don't know how much my modest strength could aid him.\But if you wish to resort to extreme measures,\as a knight, I would have to fight back.\S-Screw this! It's not worth it!\I'm glad we're both safe. Are you unhurt?\A-Allow me to thank you, from the bottom of my heart, for saving my life!\I, Natsuki Subaru, deeply admire your selflessness!\No need for such formality. response:	Once it was three against two, they lost their advantage.
context: But if you wish to resort to extreme measures,\as a knight, I would have to fight back.\S-Screw this! It's not worth it!\I'm glad we're both safe. Are you unhurt?\A-Allow me to thank you, from the bottom of my heart, for saving my life!\I, Natsuki Subaru, deeply admire your selflessness!\No need for such formality.\Once it was three against two, they lost their advantage. response:	If I'd been alone, it would have been different.
context: as a knight, I would have to fight back.\S-Screw this! It's not worth it!\I'm glad we're both safe. Are you unhurt?\A-Allow me to thank you, from the bottom of my heart, for saving my life!\I, Natsuki Subaru, deeply admire your selflessness!\No need for such formality.\Once it was three against two, they lost their advantage.\If I'd been alone, it would have been different. response:	H-His nice-guy index is off the charts.
context: S-Screw this! It's not worth it!\I'm glad we're both safe. Are you unhurt?\A-Allow me to thank you, from the bottom of my heart, for saving my life!\I, Natsuki Subaru, deeply admire your selflessness!\No need for such formality.\Once it was three against two, they lost their advantage.\If I'd been alone, it would have been different.\H-His nice-guy index is off the charts. response:	Uh... Reinhard-san, right?
context: I'm glad we're both safe. Are you unhurt?\A-Allow me to thank you, from the bottom of my heart, for saving my life!\I, Natsuki Subaru, deeply admire your selflessness!\No need for such formality.\Once it was three against two, they lost their advantage.\If I'd been alone, it would have been different.\H-His nice-guy index is off the charts.\Uh... Reinhard-san, right? response:	You may just call me Reinhard, Subaru.
context: A-Allow me to thank you, from the bottom of my heart, for saving my life!\I, Natsuki Subaru, deeply admire your selflessness!\No need for such formality.\Once it was three against two, they lost their advantage.\If I'd been alone, it would have been different.\H-His nice-guy index is off the charts.\Uh... Reinhard-san, right?\You may just call me Reinhard, Subaru. response:	He closed our distance like it was nothing...
context: I, Natsuki Subaru, deeply admire your selflessness!\No need for such formality.\Once it was three against two, they lost their advantage.\If I'd been alone, it would have been different.\H-His nice-guy index is off the charts.\Uh... Reinhard-san, right?\You may just call me Reinhard, Subaru.\He closed our distance like it was nothing... response:	Well, thanks again, Reinhard.
context: No need for such formality.\Once it was three against two, they lost their advantage.\If I'd been alone, it would have been different.\H-His nice-guy index is off the charts.\Uh... Reinhard-san, right?\You may just call me Reinhard, Subaru.\He closed our distance like it was nothing...\Well, thanks again, Reinhard. response:	You're the only one who heard me shouting and came to help...
context: Once it was three against two, they lost their advantage.\If I'd been alone, it would have been different.\H-His nice-guy index is off the charts.\Uh... Reinhard-san, right?\You may just call me Reinhard, Subaru.\He closed our distance like it was nothing...\Well, thanks again, Reinhard.\You're the only one who heard me shouting and came to help... response:	Talk about lonely.
context: If I'd been alone, it would have been different.\H-His nice-guy index is off the charts.\Uh... Reinhard-san, right?\You may just call me Reinhard, Subaru.\He closed our distance like it was nothing...\Well, thanks again, Reinhard.\You're the only one who heard me shouting and came to help...\Talk about lonely. response:	For most, it's too risky to face off against people like them.
context: H-His nice-guy index is off the charts.\Uh... Reinhard-san, right?\You may just call me Reinhard, Subaru.\He closed our distance like it was nothing...\Well, thanks again, Reinhard.\You're the only one who heard me shouting and came to help...\Talk about lonely.\For most, it's too risky to face off against people like them. response:	As far as it goes, you were right to call for the guards.
context: Uh... Reinhard-san, right?\You may just call me Reinhard, Subaru.\He closed our distance like it was nothing...\Well, thanks again, Reinhard.\You're the only one who heard me shouting and came to help...\Talk about lonely.\For most, it's too risky to face off against people like them.\As far as it goes, you were right to call for the guards. response:	Are you a guard?
context: You may just call me Reinhard, Subaru.\He closed our distance like it was nothing...\Well, thanks again, Reinhard.\You're the only one who heard me shouting and came to help...\Talk about lonely.\For most, it's too risky to face off against people like them.\As far as it goes, you were right to call for the guards.\Are you a guard? response:	You don't look like one...
context: He closed our distance like it was nothing...\Well, thanks again, Reinhard.\You're the only one who heard me shouting and came to help...\Talk about lonely.\For most, it's too risky to face off against people like them.\As far as it goes, you were right to call for the guards.\Are you a guard?\You don't look like one... response:	I'm off duty today, so I'm not in uniform.
context: Well, thanks again, Reinhard.\You're the only one who heard me shouting and came to help...\Talk about lonely.\For most, it's too risky to face off against people like them.\As far as it goes, you were right to call for the guards.\Are you a guard?\You don't look like one...\I'm off duty today, so I'm not in uniform. response:	And I realize that I don't appear particularly intimidating.
context: You're the only one who heard me shouting and came to help...\Talk about lonely.\For most, it's too risky to face off against people like them.\As far as it goes, you were right to call for the guards.\Are you a guard?\You don't look like one...\I'm off duty today, so I'm not in uniform.\And I realize that I don't appear particularly intimidating. response:	Come to think of it, didn't they call you a master swordsman?
context: Talk about lonely.\For most, it's too risky to face off against people like them.\As far as it goes, you were right to call for the guards.\Are you a guard?\You don't look like one...\I'm off duty today, so I'm not in uniform.\And I realize that I don't appear particularly intimidating.\Come to think of it, didn't they call you a master swordsman? response:	My family is fairly unique.
context: For most, it's too risky to face off against people like them.\As far as it goes, you were right to call for the guards.\Are you a guard?\You don't look like one...\I'm off duty today, so I'm not in uniform.\And I realize that I don't appear particularly intimidating.\Come to think of it, didn't they call you a master swordsman?\My family is fairly unique. response:	Every day, I feel I'll be crushed by their expectations.
context: As far as it goes, you were right to call for the guards.\Are you a guard?\You don't look like one...\I'm off duty today, so I'm not in uniform.\And I realize that I don't appear particularly intimidating.\Come to think of it, didn't they call you a master swordsman?\My family is fairly unique.\Every day, I feel I'll be crushed by their expectations. response:	Anyway, Subaru...
context: Are you a guard?\You don't look like one...\I'm off duty today, so I'm not in uniform.\And I realize that I don't appear particularly intimidating.\Come to think of it, didn't they call you a master swordsman?\My family is fairly unique.\Every day, I feel I'll be crushed by their expectations.\Anyway, Subaru... response:	You have quite the unusual hair, apparel, and name.
context: You don't look like one...\I'm off duty today, so I'm not in uniform.\And I realize that I don't appear particularly intimidating.\Come to think of it, didn't they call you a master swordsman?\My family is fairly unique.\Every day, I feel I'll be crushed by their expectations.\Anyway, Subaru...\You have quite the unusual hair, apparel, and name. response:	What nation are you from?
context: I'm off duty today, so I'm not in uniform.\And I realize that I don't appear particularly intimidating.\Come to think of it, didn't they call you a master swordsman?\My family is fairly unique.\Every day, I feel I'll be crushed by their expectations.\Anyway, Subaru...\You have quite the unusual hair, apparel, and name.\What nation are you from? response:	At the moment, Lugunica is a bit more restive than in peacetime.
context: And I realize that I don't appear particularly intimidating.\Come to think of it, didn't they call you a master swordsman?\My family is fairly unique.\Every day, I feel I'll be crushed by their expectations.\Anyway, Subaru...\You have quite the unusual hair, apparel, and name.\What nation are you from?\At the moment, Lugunica is a bit more restive than in peacetime. response:	If you have a problem, I'd be glad to help you.
context: Come to think of it, didn't they call you a master swordsman?\My family is fairly unique.\Every day, I feel I'll be crushed by their expectations.\Anyway, Subaru...\You have quite the unusual hair, apparel, and name.\What nation are you from?\At the moment, Lugunica is a bit more restive than in peacetime.\If you have a problem, I'd be glad to help you. response:	Would you come to the loot house?
context: My family is fairly unique.\Every day, I feel I'll be crushed by their expectations.\Anyway, Subaru...\You have quite the unusual hair, apparel, and name.\What nation are you from?\At the moment, Lugunica is a bit more restive than in peacetime.\If you have a problem, I'd be glad to help you.\Would you come to the loot house? response:	The loot house?
context: Every day, I feel I'll be crushed by their expectations.\Anyway, Subaru...\You have quite the unusual hair, apparel, and name.\What nation are you from?\At the moment, Lugunica is a bit more restive than in peacetime.\If you have a problem, I'd be glad to help you.\Would you come to the loot house?\The loot house? response:	N-Never mind... Forget it.
context: Anyway, Subaru...\You have quite the unusual hair, apparel, and name.\What nation are you from?\At the moment, Lugunica is a bit more restive than in peacetime.\If you have a problem, I'd be glad to help you.\Would you come to the loot house?\The loot house?\N-Never mind... Forget it. response:	I can't trouble you with that...
context: You have quite the unusual hair, apparel, and name.\What nation are you from?\At the moment, Lugunica is a bit more restive than in peacetime.\If you have a problem, I'd be glad to help you.\Would you come to the loot house?\The loot house?\N-Never mind... Forget it.\I can't trouble you with that... response:	I'll handle the rest on my own, somehow.
context: What nation are you from?\At the moment, Lugunica is a bit more restive than in peacetime.\If you have a problem, I'd be glad to help you.\Would you come to the loot house?\The loot house?\N-Never mind... Forget it.\I can't trouble you with that...\I'll handle the rest on my own, somehow. response:	But... I'd appreciate it if you could deliver a message.
context: At the moment, Lugunica is a bit more restive than in peacetime.\If you have a problem, I'd be glad to help you.\Would you come to the loot house?\The loot house?\N-Never mind... Forget it.\I can't trouble you with that...\I'll handle the rest on my own, somehow.\But... I'd appreciate it if you could deliver a message. response:	I'd be glad to, of course.
context: If you have a problem, I'd be glad to help you.\Would you come to the loot house?\The loot house?\N-Never mind... Forget it.\I can't trouble you with that...\I'll handle the rest on my own, somehow.\But... I'd appreciate it if you could deliver a message.\I'd be glad to, of course. response:	To whom? And what?
context: Would you come to the loot house?\The loot house?\N-Never mind... Forget it.\I can't trouble you with that...\I'll handle the rest on my own, somehow.\But... I'd appreciate it if you could deliver a message.\I'd be glad to, of course.\To whom? And what? response:	Well, I don't know her name, but...
context: The loot house?\N-Never mind... Forget it.\I can't trouble you with that...\I'll handle the rest on my own, somehow.\But... I'd appreciate it if you could deliver a message.\I'd be glad to, of course.\To whom? And what?\Well, I don't know her name, but... response:	Have you seen a girl with white robes and silver hair nearby?
context: N-Never mind... Forget it.\I can't trouble you with that...\I'll handle the rest on my own, somehow.\But... I'd appreciate it if you could deliver a message.\I'd be glad to, of course.\To whom? And what?\Well, I don't know her name, but...\Have you seen a girl with white robes and silver hair nearby? response:	White robes and silver hair?
context: I can't trouble you with that...\I'll handle the rest on my own, somehow.\But... I'd appreciate it if you could deliver a message.\I'd be glad to, of course.\To whom? And what?\Well, I don't know her name, but...\Have you seen a girl with white robes and silver hair nearby?\White robes and silver hair? response:	She's also extremely gorgeous!
context: I'll handle the rest on my own, somehow.\But... I'd appreciate it if you could deliver a message.\I'd be glad to, of course.\To whom? And what?\Well, I don't know her name, but...\Have you seen a girl with white robes and silver hair nearby?\White robes and silver hair?\She's also extremely gorgeous! response:	No, I haven't.
context: But... I'd appreciate it if you could deliver a message.\I'd be glad to, of course.\To whom? And what?\Well, I don't know her name, but...\Have you seen a girl with white robes and silver hair nearby?\White robes and silver hair?\She's also extremely gorgeous!\No, I haven't. response:	Then, if you do see her,
context: I'd be glad to, of course.\To whom? And what?\Well, I don't know her name, but...\Have you seen a girl with white robes and silver hair nearby?\White robes and silver hair?\She's also extremely gorgeous!\No, I haven't.\Then, if you do see her, response:	tell her not to go near the loot house, no matter what.
context: To whom? And what?\Well, I don't know her name, but...\Have you seen a girl with white robes and silver hair nearby?\White robes and silver hair?\She's also extremely gorgeous!\No, I haven't.\Then, if you do see her,\tell her not to go near the loot house, no matter what. response:	I'll find what she's looking for and bring it to her myself.
context: Well, I don't know her name, but...\Have you seen a girl with white robes and silver hair nearby?\White robes and silver hair?\She's also extremely gorgeous!\No, I haven't.\Then, if you do see her,\tell her not to go near the loot house, no matter what.\I'll find what she's looking for and bring it to her myself. response:	Very well. If I see her, I shall relay your message.
context: Have you seen a girl with white robes and silver hair nearby?\White robes and silver hair?\She's also extremely gorgeous!\No, I haven't.\Then, if you do see her,\tell her not to go near the loot house, no matter what.\I'll find what she's looking for and bring it to her myself.\Very well. If I see her, I shall relay your message. response:	Thanks.
context: White robes and silver hair?\She's also extremely gorgeous!\No, I haven't.\Then, if you do see her,\tell her not to go near the loot house, no matter what.\I'll find what she's looking for and bring it to her myself.\Very well. If I see her, I shall relay your message.\Thanks. response:	I'll repay you one day!
context: She's also extremely gorgeous!\No, I haven't.\Then, if you do see her,\tell her not to go near the loot house, no matter what.\I'll find what she's looking for and bring it to her myself.\Very well. If I see her, I shall relay your message.\Thanks.\I'll repay you one day! response:	All right.
context: No, I haven't.\Then, if you do see her,\tell her not to go near the loot house, no matter what.\I'll find what she's looking for and bring it to her myself.\Very well. If I see her, I shall relay your message.\Thanks.\I'll repay you one day!\All right. response:	Take care.
context: Then, if you do see her,\tell her not to go near the loot house, no matter what.\I'll find what she's looking for and bring it to her myself.\Very well. If I see her, I shall relay your message.\Thanks.\I'll repay you one day!\All right.\Take care. response:	Felt's den?
context: tell her not to go near the loot house, no matter what.\I'll find what she's looking for and bring it to her myself.\Very well. If I see her, I shall relay your message.\Thanks.\I'll repay you one day!\All right.\Take care.\Felt's den? response:	Yeah, just go two streets down that way.
context: I'll find what she's looking for and bring it to her myself.\Very well. If I see her, I shall relay your message.\Thanks.\I'll repay you one day!\All right.\Take care.\Felt's den?\Yeah, just go two streets down that way. response:	Thanks, I appreciate it, bro.
context: Very well. If I see her, I shall relay your message.\Thanks.\I'll repay you one day!\All right.\Take care.\Felt's den?\Yeah, just go two streets down that way.\Thanks, I appreciate it, bro. response:	Don't mention it, bro. Live strong.
context: Thanks.\I'll repay you one day!\All right.\Take care.\Felt's den?\Yeah, just go two streets down that way.\Thanks, I appreciate it, bro.\Don't mention it, bro. Live strong. response:	The question is whether Felt will return there...
context: I'll repay you one day!\All right.\Take care.\Felt's den?\Yeah, just go two streets down that way.\Thanks, I appreciate it, bro.\Don't mention it, bro. Live strong.\The question is whether Felt will return there... response:	I'd rather catch her before she goes to the loot house,
context: All right.\Take care.\Felt's den?\Yeah, just go two streets down that way.\Thanks, I appreciate it, bro.\Don't mention it, bro. Live strong.\The question is whether Felt will return there...\I'd rather catch her before she goes to the loot house, response:	and trade her the cell phone for the insignia
context: Take care.\Felt's den?\Yeah, just go two streets down that way.\Thanks, I appreciate it, bro.\Don't mention it, bro. Live strong.\The question is whether Felt will return there...\I'd rather catch her before she goes to the loot house,\and trade her the cell phone for the insignia response:	Whoa!
context: Felt's den?\Yeah, just go two streets down that way.\Thanks, I appreciate it, bro.\Don't mention it, bro. Live strong.\The question is whether Felt will return there...\I'd rather catch her before she goes to the loot house,\and trade her the cell phone for the insignia\Whoa! response:	Oh, dear!
context: Yeah, just go two streets down that way.\Thanks, I appreciate it, bro.\Don't mention it, bro. Live strong.\The question is whether Felt will return there...\I'd rather catch her before she goes to the loot house,\and trade her the cell phone for the insignia\Whoa!\Oh, dear! response:	I'm sorry. Are you all right?
context: Thanks, I appreciate it, bro.\Don't mention it, bro. Live strong.\The question is whether Felt will return there...\I'd rather catch her before she goes to the loot house,\and trade her the cell phone for the insignia\Whoa!\Oh, dear!\I'm sorry. Are you all right? response:	Yeah, I'm fine.
context: Don't mention it, bro. Live strong.\The question is whether Felt will return there...\I'd rather catch her before she goes to the loot house,\and trade her the cell phone for the insignia\Whoa!\Oh, dear!\I'm sorry. Are you all right?\Yeah, I'm fine. response:	I don't look it, but toughness is one thing I... have...
context: The question is whether Felt will return there...\I'd rather catch her before she goes to the loot house,\and trade her the cell phone for the insignia\Whoa!\Oh, dear!\I'm sorry. Are you all right?\Yeah, I'm fine.\I don't look it, but toughness is one thing I... have... response:	What's wrong?
context: I'd rather catch her before she goes to the loot house,\and trade her the cell phone for the insignia\Whoa!\Oh, dear!\I'm sorry. Are you all right?\Yeah, I'm fine.\I don't look it, but toughness is one thing I... have...\What's wrong? response:	You don't have to be so scared. I won't do anything to you.
context: and trade her the cell phone for the insignia\Whoa!\Oh, dear!\I'm sorry. Are you all right?\Yeah, I'm fine.\I don't look it, but toughness is one thing I... have...\What's wrong?\You don't have to be so scared. I won't do anything to you. response:	What gave you that idea?
context: Whoa!\Oh, dear!\I'm sorry. Are you all right?\Yeah, I'm fine.\I don't look it, but toughness is one thing I... have...\What's wrong?\You don't have to be so scared. I won't do anything to you.\What gave you that idea? response:	Your scent.
context: Oh, dear!\I'm sorry. Are you all right?\Yeah, I'm fine.\I don't look it, but toughness is one thing I... have...\What's wrong?\You don't have to be so scared. I won't do anything to you.\What gave you that idea?\Your scent. response:	When people are scared, I can smell their fear.
context: I'm sorry. Are you all right?\Yeah, I'm fine.\I don't look it, but toughness is one thing I... have...\What's wrong?\You don't have to be so scared. I won't do anything to you.\What gave you that idea?\Your scent.\When people are scared, I can smell their fear. response:	Right now, you're frightened.
context: Yeah, I'm fine.\I don't look it, but toughness is one thing I... have...\What's wrong?\You don't have to be so scared. I won't do anything to you.\What gave you that idea?\Your scent.\When people are scared, I can smell their fear.\Right now, you're frightened. response:	You're also angry, aren't you?
context: I don't look it, but toughness is one thing I... have...\What's wrong?\You don't have to be so scared. I won't do anything to you.\What gave you that idea?\Your scent.\When people are scared, I can smell their fear.\Right now, you're frightened.\You're also angry, aren't you? response:	At me.
context: What's wrong?\You don't have to be so scared. I won't do anything to you.\What gave you that idea?\Your scent.\When people are scared, I can smell their fear.\Right now, you're frightened.\You're also angry, aren't you?\At me. response:	It's fine.
context: You don't have to be so scared. I won't do anything to you.\What gave you that idea?\Your scent.\When people are scared, I can smell their fear.\Right now, you're frightened.\You're also angry, aren't you?\At me.\It's fine. response:	I'm a little curious, but this isn't the time to start a commotion.
context: What gave you that idea?\Your scent.\When people are scared, I can smell their fear.\Right now, you're frightened.\You're also angry, aren't you?\At me.\It's fine.\I'm a little curious, but this isn't the time to start a commotion. response:	That's not a very nice thing to say...
context: Your scent.\When people are scared, I can smell their fear.\Right now, you're frightened.\You're also angry, aren't you?\At me.\It's fine.\I'm a little curious, but this isn't the time to start a commotion.\That's not a very nice thing to say... response:	If you're too scary, that beauty will go to waste
context: When people are scared, I can smell their fear.\Right now, you're frightened.\You're also angry, aren't you?\At me.\It's fine.\I'm a little curious, but this isn't the time to start a commotion.\That's not a very nice thing to say...\If you're too scary, that beauty will go to waste response:	Oh, very good.
context: Right now, you're frightened.\You're also angry, aren't you?\At me.\It's fine.\I'm a little curious, but this isn't the time to start a commotion.\That's not a very nice thing to say...\If you're too scary, that beauty will go to waste\Oh, very good. response:	Conceal your hostility, and you'll be even better.
context: You're also angry, aren't you?\At me.\It's fine.\I'm a little curious, but this isn't the time to start a commotion.\That's not a very nice thing to say...\If you're too scary, that beauty will go to waste\Oh, very good.\Conceal your hostility, and you'll be even better. response:	Well, I'll be going now.
context: At me.\It's fine.\I'm a little curious, but this isn't the time to start a commotion.\That's not a very nice thing to say...\If you're too scary, that beauty will go to waste\Oh, very good.\Conceal your hostility, and you'll be even better.\Well, I'll be going now. response:	Something tells me we'll meet again.
context: It's fine.\I'm a little curious, but this isn't the time to start a commotion.\That's not a very nice thing to say...\If you're too scary, that beauty will go to waste\Oh, very good.\Conceal your hostility, and you'll be even better.\Well, I'll be going now.\Something tells me we'll meet again. response:	Someone actually lives here?
context: I'm a little curious, but this isn't the time to start a commotion.\That's not a very nice thing to say...\If you're too scary, that beauty will go to waste\Oh, very good.\Conceal your hostility, and you'll be even better.\Well, I'll be going now.\Something tells me we'll meet again.\Someone actually lives here? response:	Elsa hasn't already been here and trashed it, has she?
context: That's not a very nice thing to say...\If you're too scary, that beauty will go to waste\Oh, very good.\Conceal your hostility, and you'll be even better.\Well, I'll be going now.\Something tells me we'll meet again.\Someone actually lives here?\Elsa hasn't already been here and trashed it, has she? response:	I-It's fine, I'm sure...
context: If you're too scary, that beauty will go to waste\Oh, very good.\Conceal your hostility, and you'll be even better.\Well, I'll be going now.\Something tells me we'll meet again.\Someone actually lives here?\Elsa hasn't already been here and trashed it, has she?\I-It's fine, I'm sure... response:	I don't smell blood.
context: Oh, very good.\Conceal your hostility, and you'll be even better.\Well, I'll be going now.\Something tells me we'll meet again.\Someone actually lives here?\Elsa hasn't already been here and trashed it, has she?\I-It's fine, I'm sure...\I don't smell blood. response:	But it does smell like garbage.
context: Conceal your hostility, and you'll be even better.\Well, I'll be going now.\Something tells me we'll meet again.\Someone actually lives here?\Elsa hasn't already been here and trashed it, has she?\I-It's fine, I'm sure...\I don't smell blood.\But it does smell like garbage. response:	What do you think you're doing, peeking into someone's house?
