context: Victory response:	Ten.
context: Back to the bodies we used to have.\Sorry, Guriko, but I can't do that.\I can't forgive you.\So...\You're going to live.\Live, and atone for your sins.\Wait! No!\Pine! response:	Pine!
context: Sorry, Guriko, but I can't do that.\I can't forgive you.\So...\You're going to live.\Live, and atone for your sins.\Wait! No!\Pine!\Pine! response:	Chiyoko.
context: I can't forgive you.\So...\You're going to live.\Live, and atone for your sins.\Wait! No!\Pine!\Pine!\Chiyoko. response:	I'm giving this body back to you.
context: So...\You're going to live.\Live, and atone for your sins.\Wait! No!\Pine!\Pine!\Chiyoko.\I'm giving this body back to you. response:	No!
context: You're going to live.\Live, and atone for your sins.\Wait! No!\Pine!\Pine!\Chiyoko.\I'm giving this body back to you.\No! response:	You can't!
context: Live, and atone for your sins.\Wait! No!\Pine!\Pine!\Chiyoko.\I'm giving this body back to you.\No!\You can't! response:	I promised.
context: Wait! No!\Pine!\Pine!\Chiyoko.\I'm giving this body back to you.\No!\You can't!\I promised. response:	I promised, didn't I?
context: Pine!\Pine!\Chiyoko.\I'm giving this body back to you.\No!\You can't!\I promised.\I promised, didn't I? response:	That I'd protect you.
context: Pine!\Chiyoko.\I'm giving this body back to you.\No!\You can't!\I promised.\I promised, didn't I?\That I'd protect you. response:	But...
context: Chiyoko.\I'm giving this body back to you.\No!\You can't!\I promised.\I promised, didn't I?\That I'd protect you.\But... response:	You can't, Pine!
context: I'm giving this body back to you.\No!\You can't!\I promised.\I promised, didn't I?\That I'd protect you.\But...\You can't, Pine! response:	Please,
context: No!\You can't!\I promised.\I promised, didn't I?\That I'd protect you.\But...\You can't, Pine!\Please, response:	don't!
context: You can't!\I promised.\I promised, didn't I?\That I'd protect you.\But...\You can't, Pine!\Please,\don't! response:	49 Days Later...
context: I promised.\I promised, didn't I?\That I'd protect you.\But...\You can't, Pine!\Please,\don't!\49 Days Later... response:	Three, four...
context: I promised, didn't I?\That I'd protect you.\But...\You can't, Pine!\Please,\don't!\49 Days Later...\Three, four... response:	General liberal!
context: That I'd protect you.\But...\You can't, Pine!\Please,\don't!\49 Days Later...\Three, four...\General liberal! response:	Deflation spiral!
context: But...\You can't, Pine!\Please,\don't!\49 Days Later...\Three, four...\General liberal!\Deflation spiral! response:	Natural mineral!
context: You can't, Pine!\Please,\don't!\49 Days Later...\Three, four...\General liberal!\Deflation spiral!\Natural mineral! response:	Come on!
context: Please,\don't!\49 Days Later...\Three, four...\General liberal!\Deflation spiral!\Natural mineral!\Come on! response:	Now, come, Yuta's spirit!
context: don't!\49 Days Later...\Three, four...\General liberal!\Deflation spiral!\Natural mineral!\Come on!\Now, come, Yuta's spirit! response:	There's something I have to say first.
context: 49 Days Later...\Three, four...\General liberal!\Deflation spiral!\Natural mineral!\Come on!\Now, come, Yuta's spirit!\There's something I have to say first. response:	Narugino!
context: Three, four...\General liberal!\Deflation spiral!\Natural mineral!\Come on!\Now, come, Yuta's spirit!\There's something I have to say first.\Narugino! response:	Can't you do something about that outfit?
context: General liberal!\Deflation spiral!\Natural mineral!\Come on!\Now, come, Yuta's spirit!\There's something I have to say first.\Narugino!\Can't you do something about that outfit? response:	But I'm...
context: Deflation spiral!\Natural mineral!\Come on!\Now, come, Yuta's spirit!\There's something I have to say first.\Narugino!\Can't you do something about that outfit?\But I'm... response:	a girl.
context: Natural mineral!\Come on!\Now, come, Yuta's spirit!\There's something I have to say first.\Narugino!\Can't you do something about that outfit?\But I'm...\a girl. response:	I know, but...
context: Come on!\Now, come, Yuta's spirit!\There's something I have to say first.\Narugino!\Can't you do something about that outfit?\But I'm...\a girl.\I know, but... response:	So, the Yuta that's in Rabura's body now is the
context: Now, come, Yuta's spirit!\There's something I have to say first.\Narugino!\Can't you do something about that outfit?\But I'm...\a girl.\I know, but...\So, the Yuta that's in Rabura's body now is the response:	Yuta that was disembodied this whole time, right?
context: There's something I have to say first.\Narugino!\Can't you do something about that outfit?\But I'm...\a girl.\I know, but...\So, the Yuta that's in Rabura's body now is the\Yuta that was disembodied this whole time, right? response:	Yeah.
context: Narugino!\Can't you do something about that outfit?\But I'm...\a girl.\I know, but...\So, the Yuta that's in Rabura's body now is the\Yuta that was disembodied this whole time, right?\Yeah. response:	It's the me that had my body stolen
context: Can't you do something about that outfit?\But I'm...\a girl.\I know, but...\So, the Yuta that's in Rabura's body now is the\Yuta that was disembodied this whole time, right?\Yeah.\It's the me that had my body stolen response:	by the future me at the river on December 21st last year.
context: But I'm...\a girl.\I know, but...\So, the Yuta that's in Rabura's body now is the\Yuta that was disembodied this whole time, right?\Yeah.\It's the me that had my body stolen\by the future me at the river on December 21st last year. response:	You're so confusing.
context: a girl.\I know, but...\So, the Yuta that's in Rabura's body now is the\Yuta that was disembodied this whole time, right?\Yeah.\It's the me that had my body stolen\by the future me at the river on December 21st last year.\You're so confusing. response:	But are you really leaving now?
context: I know, but...\So, the Yuta that's in Rabura's body now is the\Yuta that was disembodied this whole time, right?\Yeah.\It's the me that had my body stolen\by the future me at the river on December 21st last year.\You're so confusing.\But are you really leaving now? response:	Yeah.
context: So, the Yuta that's in Rabura's body now is the\Yuta that was disembodied this whole time, right?\Yeah.\It's the me that had my body stolen\by the future me at the river on December 21st last year.\You're so confusing.\But are you really leaving now?\Yeah. response:	It's going to get lonely.
context: Yuta that was disembodied this whole time, right?\Yeah.\It's the me that had my body stolen\by the future me at the river on December 21st last year.\You're so confusing.\But are you really leaving now?\Yeah.\It's going to get lonely. response:	There are things I have to do.
context: Yeah.\It's the me that had my body stolen\by the future me at the river on December 21st last year.\You're so confusing.\But are you really leaving now?\Yeah.\It's going to get lonely.\There are things I have to do. response:	I have to go back 25 years and possess 5-year-old Rabura.
context: It's the me that had my body stolen\by the future me at the river on December 21st last year.\You're so confusing.\But are you really leaving now?\Yeah.\It's going to get lonely.\There are things I have to do.\I have to go back 25 years and possess 5-year-old Rabura. response:	And you're going to fax Meika's schematics and instructions
context: by the future me at the river on December 21st last year.\You're so confusing.\But are you really leaving now?\Yeah.\It's going to get lonely.\There are things I have to do.\I have to go back 25 years and possess 5-year-old Rabura.\And you're going to fax Meika's schematics and instructions response:	for the future to the Reizoukou.
context: You're so confusing.\But are you really leaving now?\Yeah.\It's going to get lonely.\There are things I have to do.\I have to go back 25 years and possess 5-year-old Rabura.\And you're going to fax Meika's schematics and instructions\for the future to the Reizoukou. response:	And then what?
context: But are you really leaving now?\Yeah.\It's going to get lonely.\There are things I have to do.\I have to go back 25 years and possess 5-year-old Rabura.\And you're going to fax Meika's schematics and instructions\for the future to the Reizoukou.\And then what? response:	And then I'm going to go back to December 21st of last year
context: Yeah.\It's going to get lonely.\There are things I have to do.\I have to go back 25 years and possess 5-year-old Rabura.\And you're going to fax Meika's schematics and instructions\for the future to the Reizoukou.\And then what?\And then I'm going to go back to December 21st of last year response:	and do the same thing.
context: It's going to get lonely.\There are things I have to do.\I have to go back 25 years and possess 5-year-old Rabura.\And you're going to fax Meika's schematics and instructions\for the future to the Reizoukou.\And then what?\And then I'm going to go back to December 21st of last year\and do the same thing. response:	I'm going to the riverside to possess my unconscious body.
context: There are things I have to do.\I have to go back 25 years and possess 5-year-old Rabura.\And you're going to fax Meika's schematics and instructions\for the future to the Reizoukou.\And then what?\And then I'm going to go back to December 21st of last year\and do the same thing.\I'm going to the riverside to possess my unconscious body. response:	You don't have to think too deeply about it.
context: I have to go back 25 years and possess 5-year-old Rabura.\And you're going to fax Meika's schematics and instructions\for the future to the Reizoukou.\And then what?\And then I'm going to go back to December 21st of last year\and do the same thing.\I'm going to the riverside to possess my unconscious body.\You don't have to think too deeply about it. response:	You guys just go on making a bright future.
context: And you're going to fax Meika's schematics and instructions\for the future to the Reizoukou.\And then what?\And then I'm going to go back to December 21st of last year\and do the same thing.\I'm going to the riverside to possess my unconscious body.\You don't have to think too deeply about it.\You guys just go on making a bright future. response:	Meanwhile, I'm finally...
context: for the future to the Reizoukou.\And then what?\And then I'm going to go back to December 21st of last year\and do the same thing.\I'm going to the riverside to possess my unconscious body.\You don't have to think too deeply about it.\You guys just go on making a bright future.\Meanwhile, I'm finally... response:	Going to make a supremely peaceful and happy future, right?
context: And then what?\And then I'm going to go back to December 21st of last year\and do the same thing.\I'm going to the riverside to possess my unconscious body.\You don't have to think too deeply about it.\You guys just go on making a bright future.\Meanwhile, I'm finally...\Going to make a supremely peaceful and happy future, right? response:	Hey, that's my line!
context: And then I'm going to go back to December 21st of last year\and do the same thing.\I'm going to the riverside to possess my unconscious body.\You don't have to think too deeply about it.\You guys just go on making a bright future.\Meanwhile, I'm finally...\Going to make a supremely peaceful and happy future, right?\Hey, that's my line! response:	Well, I'd better get going.
context: and do the same thing.\I'm going to the riverside to possess my unconscious body.\You don't have to think too deeply about it.\You guys just go on making a bright future.\Meanwhile, I'm finally...\Going to make a supremely peaceful and happy future, right?\Hey, that's my line!\Well, I'd better get going. response:	Good luck!
context: I'm going to the riverside to possess my unconscious body.\You don't have to think too deeply about it.\You guys just go on making a bright future.\Meanwhile, I'm finally...\Going to make a supremely peaceful and happy future, right?\Hey, that's my line!\Well, I'd better get going.\Good luck! response:	I got this!
context: You don't have to think too deeply about it.\You guys just go on making a bright future.\Meanwhile, I'm finally...\Going to make a supremely peaceful and happy future, right?\Hey, that's my line!\Well, I'd better get going.\Good luck!\I got this! response:	It's been 49 days since the other Yuta died.
context: You guys just go on making a bright future.\Meanwhile, I'm finally...\Going to make a supremely peaceful and happy future, right?\Hey, that's my line!\Well, I'd better get going.\Good luck!\I got this!\It's been 49 days since the other Yuta died. response:	We have to mourn him well.
context: Meanwhile, I'm finally...\Going to make a supremely peaceful and happy future, right?\Hey, that's my line!\Well, I'd better get going.\Good luck!\I got this!\It's been 49 days since the other Yuta died.\We have to mourn him well. response:	Did you all bring your offerings?
context: Going to make a supremely peaceful and happy future, right?\Hey, that's my line!\Well, I'd better get going.\Good luck!\I got this!\It's been 49 days since the other Yuta died.\We have to mourn him well.\Did you all bring your offerings? response:	Of course.
context: Hey, that's my line!\Well, I'd better get going.\Good luck!\I got this!\It's been 49 days since the other Yuta died.\We have to mourn him well.\Did you all bring your offerings?\Of course. response:	Rest in peace.
context: Well, I'd better get going.\Good luck!\I got this!\It's been 49 days since the other Yuta died.\We have to mourn him well.\Did you all bring your offerings?\Of course.\Rest in peace. response:	What was that noise?
context: Good luck!\I got this!\It's been 49 days since the other Yuta died.\We have to mourn him well.\Did you all bring your offerings?\Of course.\Rest in peace.\What was that noise? response:	It came from Ito's room.
context: I got this!\It's been 49 days since the other Yuta died.\We have to mourn him well.\Did you all bring your offerings?\Of course.\Rest in peace.\What was that noise?\It came from Ito's room. response:	Wh-What the hell is this?
context: It's been 49 days since the other Yuta died.\We have to mourn him well.\Did you all bring your offerings?\Of course.\Rest in peace.\What was that noise?\It came from Ito's room.\Wh-What the hell is this? response:	It's a chinchilla, a kind of Persian cat.
context: We have to mourn him well.\Did you all bring your offerings?\Of course.\Rest in peace.\What was that noise?\It came from Ito's room.\Wh-What the hell is this?\It's a chinchilla, a kind of Persian cat. response:	That's not what I meant!
context: Did you all bring your offerings?\Of course.\Rest in peace.\What was that noise?\It came from Ito's room.\Wh-What the hell is this?\It's a chinchilla, a kind of Persian cat.\That's not what I meant! response:	My friend in technical school really wanted me to take him in.
context: Of course.\Rest in peace.\What was that noise?\It came from Ito's room.\Wh-What the hell is this?\It's a chinchilla, a kind of Persian cat.\That's not what I meant!\My friend in technical school really wanted me to take him in. response:	What's his name?
context: Rest in peace.\What was that noise?\It came from Ito's room.\Wh-What the hell is this?\It's a chinchilla, a kind of Persian cat.\That's not what I meant!\My friend in technical school really wanted me to take him in.\What's his name? response:	I haven't decided yet.
context: What was that noise?\It came from Ito's room.\Wh-What the hell is this?\It's a chinchilla, a kind of Persian cat.\That's not what I meant!\My friend in technical school really wanted me to take him in.\What's his name?\I haven't decided yet. response:	Then, in that case,
context: It came from Ito's room.\Wh-What the hell is this?\It's a chinchilla, a kind of Persian cat.\That's not what I meant!\My friend in technical school really wanted me to take him in.\What's his name?\I haven't decided yet.\Then, in that case, response:	how about Chiranosuke?
context: Wh-What the hell is this?\It's a chinchilla, a kind of Persian cat.\That's not what I meant!\My friend in technical school really wanted me to take him in.\What's his name?\I haven't decided yet.\Then, in that case,\how about Chiranosuke? response:	Isn't that cute?
context: It's a chinchilla, a kind of Persian cat.\That's not what I meant!\My friend in technical school really wanted me to take him in.\What's his name?\I haven't decided yet.\Then, in that case,\how about Chiranosuke?\Isn't that cute? response:	I love salmon
context: That's not what I meant!\My friend in technical school really wanted me to take him in.\What's his name?\I haven't decided yet.\Then, in that case,\how about Chiranosuke?\Isn't that cute?\I love salmon response:	Hey, Muhi, what are you doing?!
context: My friend in technical school really wanted me to take him in.\What's his name?\I haven't decided yet.\Then, in that case,\how about Chiranosuke?\Isn't that cute?\I love salmon\Hey, Muhi, what are you doing?! response:	No!
context: What's his name?\I haven't decided yet.\Then, in that case,\how about Chiranosuke?\Isn't that cute?\I love salmon\Hey, Muhi, what are you doing?!\No! response:	Darn it!
context: I haven't decided yet.\Then, in that case,\how about Chiranosuke?\Isn't that cute?\I love salmon\Hey, Muhi, what are you doing?!\No!\Darn it! response:	Stop! Chiranosuke!
context: Then, in that case,\how about Chiranosuke?\Isn't that cute?\I love salmon\Hey, Muhi, what are you doing?!\No!\Darn it!\Stop! Chiranosuke! response:	Punch Line
context: how about Chiranosuke?\Isn't that cute?\I love salmon\Hey, Muhi, what are you doing?!\No!\Darn it!\Stop! Chiranosuke!\Punch Line response:	Hey, what's wrong?
context: Isn't that cute?\I love salmon\Hey, Muhi, what are you doing?!\No!\Darn it!\Stop! Chiranosuke!\Punch Line\Hey, what's wrong? response:	Wake up! Come on!
context: I love salmon\Hey, Muhi, what are you doing?!\No!\Darn it!\Stop! Chiranosuke!\Punch Line\Hey, what's wrong?\Wake up! Come on! response:	To a supremely happy and peaceful future
