context: Memories from ten years ago... response:	The words of the man who was my dad...
context: What, you're still worried?\I'll take on Caster.\If you get too close, she might use Rule Breaker on you, too.\So, you see to her Master, Kuzuki.\I'm fine with taking on that man.\But do you understand that no mage is a match for Caster?\Relax. If I didn't have a chance, I wouldn't have said it.\You can leave her to me, Archer. response:	Very well. I'll trust in you.
context: I'll take on Caster.\If you get too close, she might use Rule Breaker on you, too.\So, you see to her Master, Kuzuki.\I'm fine with taking on that man.\But do you understand that no mage is a match for Caster?\Relax. If I didn't have a chance, I wouldn't have said it.\You can leave her to me, Archer.\Very well. I'll trust in you. response:	All right, let's do this.
context: If you get too close, she might use Rule Breaker on you, too.\So, you see to her Master, Kuzuki.\I'm fine with taking on that man.\But do you understand that no mage is a match for Caster?\Relax. If I didn't have a chance, I wouldn't have said it.\You can leave her to me, Archer.\Very well. I'll trust in you.\All right, let's do this. response:	I'll take out Caster here, no matter what.
context: So, you see to her Master, Kuzuki.\I'm fine with taking on that man.\But do you understand that no mage is a match for Caster?\Relax. If I didn't have a chance, I wouldn't have said it.\You can leave her to me, Archer.\Very well. I'll trust in you.\All right, let's do this.\I'll take out Caster here, no matter what. response:	And when I do, Saber will probably return to normal,
context: I'm fine with taking on that man.\But do you understand that no mage is a match for Caster?\Relax. If I didn't have a chance, I wouldn't have said it.\You can leave her to me, Archer.\Very well. I'll trust in you.\All right, let's do this.\I'll take out Caster here, no matter what.\And when I do, Saber will probably return to normal, response:	and be able to forge a new pact with Shirou, right?
context: But do you understand that no mage is a match for Caster?\Relax. If I didn't have a chance, I wouldn't have said it.\You can leave her to me, Archer.\Very well. I'll trust in you.\All right, let's do this.\I'll take out Caster here, no matter what.\And when I do, Saber will probably return to normal,\and be able to forge a new pact with Shirou, right? response:	So, did you make sure he was dead?
context: Relax. If I didn't have a chance, I wouldn't have said it.\You can leave her to me, Archer.\Very well. I'll trust in you.\All right, let's do this.\I'll take out Caster here, no matter what.\And when I do, Saber will probably return to normal,\and be able to forge a new pact with Shirou, right?\So, did you make sure he was dead? response:	Saber...
context: You can leave her to me, Archer.\Very well. I'll trust in you.\All right, let's do this.\I'll take out Caster here, no matter what.\And when I do, Saber will probably return to normal,\and be able to forge a new pact with Shirou, right?\So, did you make sure he was dead?\Saber... response:	And what is that supposed to mean?
context: Very well. I'll trust in you.\All right, let's do this.\I'll take out Caster here, no matter what.\And when I do, Saber will probably return to normal,\and be able to forge a new pact with Shirou, right?\So, did you make sure he was dead?\Saber...\And what is that supposed to mean? response:	Nothing.
context: All right, let's do this.\I'll take out Caster here, no matter what.\And when I do, Saber will probably return to normal,\and be able to forge a new pact with Shirou, right?\So, did you make sure he was dead?\Saber...\And what is that supposed to mean?\Nothing. response:	If you didn't see his corpse,
context: I'll take out Caster here, no matter what.\And when I do, Saber will probably return to normal,\and be able to forge a new pact with Shirou, right?\So, did you make sure he was dead?\Saber...\And what is that supposed to mean?\Nothing.\If you didn't see his corpse, response:	he's still stubbornly clinging to life somewhere, that's all.
context: And when I do, Saber will probably return to normal,\and be able to forge a new pact with Shirou, right?\So, did you make sure he was dead?\Saber...\And what is that supposed to mean?\Nothing.\If you didn't see his corpse,\he's still stubbornly clinging to life somewhere, that's all. response:	But enough about him. Let's get this over with.
context: and be able to forge a new pact with Shirou, right?\So, did you make sure he was dead?\Saber...\And what is that supposed to mean?\Nothing.\If you didn't see his corpse,\he's still stubbornly clinging to life somewhere, that's all.\But enough about him. Let's get this over with. response:	This time, you don't have a human shield, so I can go all out to beat you.
context: So, did you make sure he was dead?\Saber...\And what is that supposed to mean?\Nothing.\If you didn't see his corpse,\he's still stubbornly clinging to life somewhere, that's all.\But enough about him. Let's get this over with.\This time, you don't have a human shield, so I can go all out to beat you. response:	Do you think you can beat me in a magic battle?
context: Saber...\And what is that supposed to mean?\Nothing.\If you didn't see his corpse,\he's still stubbornly clinging to life somewhere, that's all.\But enough about him. Let's get this over with.\This time, you don't have a human shield, so I can go all out to beat you.\Do you think you can beat me in a magic battle? response:	It depends on how I go about it.
context: And what is that supposed to mean?\Nothing.\If you didn't see his corpse,\he's still stubbornly clinging to life somewhere, that's all.\But enough about him. Let's get this over with.\This time, you don't have a human shield, so I can go all out to beat you.\Do you think you can beat me in a magic battle?\It depends on how I go about it. response:	And thankfully, you don't seem to have full control of Saber yet.
context: Nothing.\If you didn't see his corpse,\he's still stubbornly clinging to life somewhere, that's all.\But enough about him. Let's get this over with.\This time, you don't have a human shield, so I can go all out to beat you.\Do you think you can beat me in a magic battle?\It depends on how I go about it.\And thankfully, you don't seem to have full control of Saber yet. response:	Plus, I also know how strong Kuzuki-sensei is.
context: If you didn't see his corpse,\he's still stubbornly clinging to life somewhere, that's all.\But enough about him. Let's get this over with.\This time, you don't have a human shield, so I can go all out to beat you.\Do you think you can beat me in a magic battle?\It depends on how I go about it.\And thankfully, you don't seem to have full control of Saber yet.\Plus, I also know how strong Kuzuki-sensei is. response:	He's no match for my Archer.
context: he's still stubbornly clinging to life somewhere, that's all.\But enough about him. Let's get this over with.\This time, you don't have a human shield, so I can go all out to beat you.\Do you think you can beat me in a magic battle?\It depends on how I go about it.\And thankfully, you don't seem to have full control of Saber yet.\Plus, I also know how strong Kuzuki-sensei is.\He's no match for my Archer. response:	Are you ready, Archer?
context: But enough about him. Let's get this over with.\This time, you don't have a human shield, so I can go all out to beat you.\Do you think you can beat me in a magic battle?\It depends on how I go about it.\And thankfully, you don't seem to have full control of Saber yet.\Plus, I also know how strong Kuzuki-sensei is.\He's no match for my Archer.\Are you ready, Archer? response:	I am.
context: This time, you don't have a human shield, so I can go all out to beat you.\Do you think you can beat me in a magic battle?\It depends on how I go about it.\And thankfully, you don't seem to have full control of Saber yet.\Plus, I also know how strong Kuzuki-sensei is.\He's no match for my Archer.\Are you ready, Archer?\I am. response:	As planned, then, Rin?
context: Do you think you can beat me in a magic battle?\It depends on how I go about it.\And thankfully, you don't seem to have full control of Saber yet.\Plus, I also know how strong Kuzuki-sensei is.\He's no match for my Archer.\Are you ready, Archer?\I am.\As planned, then, Rin? response:	Yes.
context: It depends on how I go about it.\And thankfully, you don't seem to have full control of Saber yet.\Plus, I also know how strong Kuzuki-sensei is.\He's no match for my Archer.\Are you ready, Archer?\I am.\As planned, then, Rin?\Yes. response:	Don't hold back.
context: And thankfully, you don't seem to have full control of Saber yet.\Plus, I also know how strong Kuzuki-sensei is.\He's no match for my Archer.\Are you ready, Archer?\I am.\As planned, then, Rin?\Yes.\Don't hold back. response:	I'm using everything I have!
context: Plus, I also know how strong Kuzuki-sensei is.\He's no match for my Archer.\Are you ready, Archer?\I am.\As planned, then, Rin?\Yes.\Don't hold back.\I'm using everything I have! response:	How adorable.
context: He's no match for my Archer.\Are you ready, Archer?\I am.\As planned, then, Rin?\Yes.\Don't hold back.\I'm using everything I have!\How adorable. response:	You think you have a chance against me, one-on-one?
context: Are you ready, Archer?\I am.\As planned, then, Rin?\Yes.\Don't hold back.\I'm using everything I have!\How adorable.\You think you have a chance against me, one-on-one? response:	Are you forgetting my trump card?
context: I am.\As planned, then, Rin?\Yes.\Don't hold back.\I'm using everything I have!\How adorable.\You think you have a chance against me, one-on-one?\Are you forgetting my trump card? response:	With my Command Seals, I can make her my puppet now.
context: As planned, then, Rin?\Yes.\Don't hold back.\I'm using everything I have!\How adorable.\You think you have a chance against me, one-on-one?\Are you forgetting my trump card?\With my Command Seals, I can make her my puppet now. response:	Even if you use a Command Seal on her, Saber would be able to resist it.
context: Yes.\Don't hold back.\I'm using everything I have!\How adorable.\You think you have a chance against me, one-on-one?\Are you forgetting my trump card?\With my Command Seals, I can make her my puppet now.\Even if you use a Command Seal on her, Saber would be able to resist it. response:	I don't know if it would be for one minute or two,
context: Don't hold back.\I'm using everything I have!\How adorable.\You think you have a chance against me, one-on-one?\Are you forgetting my trump card?\With my Command Seals, I can make her my puppet now.\Even if you use a Command Seal on her, Saber would be able to resist it.\I don't know if it would be for one minute or two, response:	but that's more than enough time to take down
context: I'm using everything I have!\How adorable.\You think you have a chance against me, one-on-one?\Are you forgetting my trump card?\With my Command Seals, I can make her my puppet now.\Even if you use a Command Seal on her, Saber would be able to resist it.\I don't know if it would be for one minute or two,\but that's more than enough time to take down response:	the likes of you!
context: How adorable.\You think you have a chance against me, one-on-one?\Are you forgetting my trump card?\With my Command Seals, I can make her my puppet now.\Even if you use a Command Seal on her, Saber would be able to resist it.\I don't know if it would be for one minute or two,\but that's more than enough time to take down\the likes of you! response:	A distraction?
context: You think you have a chance against me, one-on-one?\Are you forgetting my trump card?\With my Command Seals, I can make her my puppet now.\Even if you use a Command Seal on her, Saber would be able to resist it.\I don't know if it would be for one minute or two,\but that's more than enough time to take down\the likes of you!\A distraction? response:	I'll start by pulling you down from there!
context: Are you forgetting my trump card?\With my Command Seals, I can make her my puppet now.\Even if you use a Command Seal on her, Saber would be able to resist it.\I don't know if it would be for one minute or two,\but that's more than enough time to take down\the likes of you!\A distraction?\I'll start by pulling you down from there! response:	Archer!
context: With my Command Seals, I can make her my puppet now.\Even if you use a Command Seal on her, Saber would be able to resist it.\I don't know if it would be for one minute or two,\but that's more than enough time to take down\the likes of you!\A distraction?\I'll start by pulling you down from there!\Archer! response:	Huh? Archer?
context: Even if you use a Command Seal on her, Saber would be able to resist it.\I don't know if it would be for one minute or two,\but that's more than enough time to take down\the likes of you!\A distraction?\I'll start by pulling you down from there!\Archer!\Huh? Archer? response:	What do you think you're doing, Archer?
context: I don't know if it would be for one minute or two,\but that's more than enough time to take down\the likes of you!\A distraction?\I'll start by pulling you down from there!\Archer!\Huh? Archer?\What do you think you're doing, Archer? response:	You see, defeating her here struck me as idealistic.
context: but that's more than enough time to take down\the likes of you!\A distraction?\I'll start by pulling you down from there!\Archer!\Huh? Archer?\What do you think you're doing, Archer?\You see, defeating her here struck me as idealistic. response:	When it comes to escaping, she's the best there is.
context: the likes of you!\A distraction?\I'll start by pulling you down from there!\Archer!\Huh? Archer?\What do you think you're doing, Archer?\You see, defeating her here struck me as idealistic.\When it comes to escaping, she's the best there is. response:	After all, she's a woman who would tear apart her own younger brother to escape.
context: A distraction?\I'll start by pulling you down from there!\Archer!\Huh? Archer?\What do you think you're doing, Archer?\You see, defeating her here struck me as idealistic.\When it comes to escaping, she's the best there is.\After all, she's a woman who would tear apart her own younger brother to escape. response:	You talk as though you know all about me.
context: I'll start by pulling you down from there!\Archer!\Huh? Archer?\What do you think you're doing, Archer?\You see, defeating her here struck me as idealistic.\When it comes to escaping, she's the best there is.\After all, she's a woman who would tear apart her own younger brother to escape.\You talk as though you know all about me. response:	Do you know my true identity?
context: Archer!\Huh? Archer?\What do you think you're doing, Archer?\You see, defeating her here struck me as idealistic.\When it comes to escaping, she's the best there is.\After all, she's a woman who would tear apart her own younger brother to escape.\You talk as though you know all about me.\Do you know my true identity? response:	Familiars that use dragon teeth as vessels
context: Huh? Archer?\What do you think you're doing, Archer?\You see, defeating her here struck me as idealistic.\When it comes to escaping, she's the best there is.\After all, she's a woman who would tear apart her own younger brother to escape.\You talk as though you know all about me.\Do you know my true identity?\Familiars that use dragon teeth as vessels response:	are the hallmark of the King of Colchis's magecraft.
context: What do you think you're doing, Archer?\You see, defeating her here struck me as idealistic.\When it comes to escaping, she's the best there is.\After all, she's a woman who would tear apart her own younger brother to escape.\You talk as though you know all about me.\Do you know my true identity?\Familiars that use dragon teeth as vessels\are the hallmark of the King of Colchis's magecraft. response:	His daughter, Princess Medea, was hailed as a witch without peer.
context: You see, defeating her here struck me as idealistic.\When it comes to escaping, she's the best there is.\After all, she's a woman who would tear apart her own younger brother to escape.\You talk as though you know all about me.\Do you know my true identity?\Familiars that use dragon teeth as vessels\are the hallmark of the King of Colchis's magecraft.\His daughter, Princess Medea, was hailed as a witch without peer. response:	I don't believe it, he's...
context: When it comes to escaping, she's the best there is.\After all, she's a woman who would tear apart her own younger brother to escape.\You talk as though you know all about me.\Do you know my true identity?\Familiars that use dragon teeth as vessels\are the hallmark of the King of Colchis's magecraft.\His daughter, Princess Medea, was hailed as a witch without peer.\I don't believe it, he's... response:	If I may ask, Caster, do you still have reserves to spare?
context: After all, she's a woman who would tear apart her own younger brother to escape.\You talk as though you know all about me.\Do you know my true identity?\Familiars that use dragon teeth as vessels\are the hallmark of the King of Colchis's magecraft.\His daughter, Princess Medea, was hailed as a witch without peer.\I don't believe it, he's...\If I may ask, Caster, do you still have reserves to spare? response:	Archer, are you...
context: You talk as though you know all about me.\Do you know my true identity?\Familiars that use dragon teeth as vessels\are the hallmark of the King of Colchis's magecraft.\His daughter, Princess Medea, was hailed as a witch without peer.\I don't believe it, he's...\If I may ask, Caster, do you still have reserves to spare?\Archer, are you... response:	Of course!
context: Do you know my true identity?\Familiars that use dragon teeth as vessels\are the hallmark of the King of Colchis's magecraft.\His daughter, Princess Medea, was hailed as a witch without peer.\I don't believe it, he's...\If I may ask, Caster, do you still have reserves to spare?\Archer, are you...\Of course! response:	I have sufficient mana to sustain not only one more, but all the Servants!
context: Familiars that use dragon teeth as vessels\are the hallmark of the King of Colchis's magecraft.\His daughter, Princess Medea, was hailed as a witch without peer.\I don't believe it, he's...\If I may ask, Caster, do you still have reserves to spare?\Archer, are you...\Of course!\I have sufficient mana to sustain not only one more, but all the Servants! response:	Then that simplifies things.
context: are the hallmark of the King of Colchis's magecraft.\His daughter, Princess Medea, was hailed as a witch without peer.\I don't believe it, he's...\If I may ask, Caster, do you still have reserves to spare?\Archer, are you...\Of course!\I have sufficient mana to sustain not only one more, but all the Servants!\Then that simplifies things. response:	I will take you up on your earlier offer, Caster.
context: His daughter, Princess Medea, was hailed as a witch without peer.\I don't believe it, he's...\If I may ask, Caster, do you still have reserves to spare?\Archer, are you...\Of course!\I have sufficient mana to sustain not only one more, but all the Servants!\Then that simplifies things.\I will take you up on your earlier offer, Caster. response:	Even though you turned me down before?
context: I don't believe it, he's...\If I may ask, Caster, do you still have reserves to spare?\Archer, are you...\Of course!\I have sufficient mana to sustain not only one more, but all the Servants!\Then that simplifies things.\I will take you up on your earlier offer, Caster.\Even though you turned me down before? response:	The situation has changed.
context: If I may ask, Caster, do you still have reserves to spare?\Archer, are you...\Of course!\I have sufficient mana to sustain not only one more, but all the Servants!\Then that simplifies things.\I will take you up on your earlier offer, Caster.\Even though you turned me down before?\The situation has changed. response:	If Saber is under your control,
context: Archer, are you...\Of course!\I have sufficient mana to sustain not only one more, but all the Servants!\Then that simplifies things.\I will take you up on your earlier offer, Caster.\Even though you turned me down before?\The situation has changed.\If Saber is under your control, response:	isn't it only natural that I go over to the winning side?
context: Of course!\I have sufficient mana to sustain not only one more, but all the Servants!\Then that simplifies things.\I will take you up on your earlier offer, Caster.\Even though you turned me down before?\The situation has changed.\If Saber is under your control,\isn't it only natural that I go over to the winning side? response:	I distrust traitors.
context: I have sufficient mana to sustain not only one more, but all the Servants!\Then that simplifies things.\I will take you up on your earlier offer, Caster.\Even though you turned me down before?\The situation has changed.\If Saber is under your control,\isn't it only natural that I go over to the winning side?\I distrust traitors. response:	As well you should.
context: Then that simplifies things.\I will take you up on your earlier offer, Caster.\Even though you turned me down before?\The situation has changed.\If Saber is under your control,\isn't it only natural that I go over to the winning side?\I distrust traitors.\As well you should. response:	I'm only yielding to you for my own benefit.
context: I will take you up on your earlier offer, Caster.\Even though you turned me down before?\The situation has changed.\If Saber is under your control,\isn't it only natural that I go over to the winning side?\I distrust traitors.\As well you should.\I'm only yielding to you for my own benefit. response:	There is no trust or loyalty in that.
context: Even though you turned me down before?\The situation has changed.\If Saber is under your control,\isn't it only natural that I go over to the winning side?\I distrust traitors.\As well you should.\I'm only yielding to you for my own benefit.\There is no trust or loyalty in that. response:	But is that not how Servants are by nature?
context: The situation has changed.\If Saber is under your control,\isn't it only natural that I go over to the winning side?\I distrust traitors.\As well you should.\I'm only yielding to you for my own benefit.\There is no trust or loyalty in that.\But is that not how Servants are by nature? response:	Very well.
context: If Saber is under your control,\isn't it only natural that I go over to the winning side?\I distrust traitors.\As well you should.\I'm only yielding to you for my own benefit.\There is no trust or loyalty in that.\But is that not how Servants are by nature?\Very well. response:	If I could not control you myself, it would speak poorly of my abilities.
context: isn't it only natural that I go over to the winning side?\I distrust traitors.\As well you should.\I'm only yielding to you for my own benefit.\There is no trust or loyalty in that.\But is that not how Servants are by nature?\Very well.\If I could not control you myself, it would speak poorly of my abilities. response:	Then I shall give you what you wish.
context: I distrust traitors.\As well you should.\I'm only yielding to you for my own benefit.\There is no trust or loyalty in that.\But is that not how Servants are by nature?\Very well.\If I could not control you myself, it would speak poorly of my abilities.\Then I shall give you what you wish. response:	Tohsaka!
context: As well you should.\I'm only yielding to you for my own benefit.\There is no trust or loyalty in that.\But is that not how Servants are by nature?\Very well.\If I could not control you myself, it would speak poorly of my abilities.\Then I shall give you what you wish.\Tohsaka! response:	Trace... on!
context: I'm only yielding to you for my own benefit.\There is no trust or loyalty in that.\But is that not how Servants are by nature?\Very well.\If I could not control you myself, it would speak poorly of my abilities.\Then I shall give you what you wish.\Tohsaka!\Trace... on! response:	Shirou, you idiot!
context: There is no trust or loyalty in that.\But is that not how Servants are by nature?\Very well.\If I could not control you myself, it would speak poorly of my abilities.\Then I shall give you what you wish.\Tohsaka!\Trace... on!\Shirou, you idiot! response:	What do you think you're doing?
context: But is that not how Servants are by nature?\Very well.\If I could not control you myself, it would speak poorly of my abilities.\Then I shall give you what you wish.\Tohsaka!\Trace... on!\Shirou, you idiot!\What do you think you're doing? response:	So that appears to be that.
context: Very well.\If I could not control you myself, it would speak poorly of my abilities.\Then I shall give you what you wish.\Tohsaka!\Trace... on!\Shirou, you idiot!\What do you think you're doing?\So that appears to be that. response:	Your rude interruption was a surprise, but the outcome remains unchanged.
context: If I could not control you myself, it would speak poorly of my abilities.\Then I shall give you what you wish.\Tohsaka!\Trace... on!\Shirou, you idiot!\What do you think you're doing?\So that appears to be that.\Your rude interruption was a surprise, but the outcome remains unchanged. response:	I shall finish you here.
context: Then I shall give you what you wish.\Tohsaka!\Trace... on!\Shirou, you idiot!\What do you think you're doing?\So that appears to be that.\Your rude interruption was a surprise, but the outcome remains unchanged.\I shall finish you here. response:	No. Wait, Caster.
context: Tohsaka!\Trace... on!\Shirou, you idiot!\What do you think you're doing?\So that appears to be that.\Your rude interruption was a surprise, but the outcome remains unchanged.\I shall finish you here.\No. Wait, Caster. response:	I want to attach one condition to my joining your forces.
context: Trace... on!\Shirou, you idiot!\What do you think you're doing?\So that appears to be that.\Your rude interruption was a surprise, but the outcome remains unchanged.\I shall finish you here.\No. Wait, Caster.\I want to attach one condition to my joining your forces. response:	A condition?
context: Shirou, you idiot!\What do you think you're doing?\So that appears to be that.\Your rude interruption was a surprise, but the outcome remains unchanged.\I shall finish you here.\No. Wait, Caster.\I want to attach one condition to my joining your forces.\A condition? response:	I offered my freedom without resistance.
context: What do you think you're doing?\So that appears to be that.\Your rude interruption was a surprise, but the outcome remains unchanged.\I shall finish you here.\No. Wait, Caster.\I want to attach one condition to my joining your forces.\A condition?\I offered my freedom without resistance. response:	My price is that you let them leave.
context: So that appears to be that.\Your rude interruption was a surprise, but the outcome remains unchanged.\I shall finish you here.\No. Wait, Caster.\I want to attach one condition to my joining your forces.\A condition?\I offered my freedom without resistance.\My price is that you let them leave. response:	For all your words and actions, you're soft.
context: Your rude interruption was a surprise, but the outcome remains unchanged.\I shall finish you here.\No. Wait, Caster.\I want to attach one condition to my joining your forces.\A condition?\I offered my freedom without resistance.\My price is that you let them leave.\For all your words and actions, you're soft. response:	No, I merely thought it would be wrong for a Heroic Spirit
context: I shall finish you here.\No. Wait, Caster.\I want to attach one condition to my joining your forces.\A condition?\I offered my freedom without resistance.\My price is that you let them leave.\For all your words and actions, you're soft.\No, I merely thought it would be wrong for a Heroic Spirit response:	to cut down his heartbroken former Master.
context: No. Wait, Caster.\I want to attach one condition to my joining your forces.\A condition?\I offered my freedom without resistance.\My price is that you let them leave.\For all your words and actions, you're soft.\No, I merely thought it would be wrong for a Heroic Spirit\to cut down his heartbroken former Master. response:	Hearing common decency from a traitor's mouth is odd.
context: I want to attach one condition to my joining your forces.\A condition?\I offered my freedom without resistance.\My price is that you let them leave.\For all your words and actions, you're soft.\No, I merely thought it would be wrong for a Heroic Spirit\to cut down his heartbroken former Master.\Hearing common decency from a traitor's mouth is odd. response:	Very well, I shall let them go.
context: A condition?\I offered my freedom without resistance.\My price is that you let them leave.\For all your words and actions, you're soft.\No, I merely thought it would be wrong for a Heroic Spirit\to cut down his heartbroken former Master.\Hearing common decency from a traitor's mouth is odd.\Very well, I shall let them go. response:	But if they ever get in my way again...
context: I offered my freedom without resistance.\My price is that you let them leave.\For all your words and actions, you're soft.\No, I merely thought it would be wrong for a Heroic Spirit\to cut down his heartbroken former Master.\Hearing common decency from a traitor's mouth is odd.\Very well, I shall let them go.\But if they ever get in my way again... response:	Of course.
context: My price is that you let them leave.\For all your words and actions, you're soft.\No, I merely thought it would be wrong for a Heroic Spirit\to cut down his heartbroken former Master.\Hearing common decency from a traitor's mouth is odd.\Very well, I shall let them go.\But if they ever get in my way again...\Of course. response:	If they are fools who would embrace a hopeless fight,
context: For all your words and actions, you're soft.\No, I merely thought it would be wrong for a Heroic Spirit\to cut down his heartbroken former Master.\Hearing common decency from a traitor's mouth is odd.\Very well, I shall let them go.\But if they ever get in my way again...\Of course.\If they are fools who would embrace a hopeless fight, response:	they will be cut down without mercy.
context: No, I merely thought it would be wrong for a Heroic Spirit\to cut down his heartbroken former Master.\Hearing common decency from a traitor's mouth is odd.\Very well, I shall let them go.\But if they ever get in my way again...\Of course.\If they are fools who would embrace a hopeless fight,\they will be cut down without mercy. response:	Let's go. For now, he's right.
context: to cut down his heartbroken former Master.\Hearing common decency from a traitor's mouth is odd.\Very well, I shall let them go.\But if they ever get in my way again...\Of course.\If they are fools who would embrace a hopeless fight,\they will be cut down without mercy.\Let's go. For now, he's right. response:	If you hate me, it is misplaced, Rin.
context: Hearing common decency from a traitor's mouth is odd.\Very well, I shall let them go.\But if they ever get in my way again...\Of course.\If they are fools who would embrace a hopeless fight,\they will be cut down without mercy.\Let's go. For now, he's right.\If you hate me, it is misplaced, Rin. response:	This woman is the superior Master, that's all.
context: Very well, I shall let them go.\But if they ever get in my way again...\Of course.\If they are fools who would embrace a hopeless fight,\they will be cut down without mercy.\Let's go. For now, he's right.\If you hate me, it is misplaced, Rin.\This woman is the superior Master, that's all. response:	I side with the most powerful.
context: But if they ever get in my way again...\Of course.\If they are fools who would embrace a hopeless fight,\they will be cut down without mercy.\Let's go. For now, he's right.\If you hate me, it is misplaced, Rin.\This woman is the superior Master, that's all.\I side with the most powerful. response:	That's true.
context: Of course.\If they are fools who would embrace a hopeless fight,\they will be cut down without mercy.\Let's go. For now, he's right.\If you hate me, it is misplaced, Rin.\This woman is the superior Master, that's all.\I side with the most powerful.\That's true. response:	But you'll regret it.
context: If they are fools who would embrace a hopeless fight,\they will be cut down without mercy.\Let's go. For now, he's right.\If you hate me, it is misplaced, Rin.\This woman is the superior Master, that's all.\I side with the most powerful.\That's true.\But you'll regret it. response:	I'll never quit.
context: they will be cut down without mercy.\Let's go. For now, he's right.\If you hate me, it is misplaced, Rin.\This woman is the superior Master, that's all.\I side with the most powerful.\That's true.\But you'll regret it.\I'll never quit. response:	You hear me?
context: Let's go. For now, he's right.\If you hate me, it is misplaced, Rin.\This woman is the superior Master, that's all.\I side with the most powerful.\That's true.\But you'll regret it.\I'll never quit.\You hear me? response:	I'll defeat Caster and take you back.
context: If you hate me, it is misplaced, Rin.\This woman is the superior Master, that's all.\I side with the most powerful.\That's true.\But you'll regret it.\I'll never quit.\You hear me?\I'll defeat Caster and take you back. response:	And when I do,
context: This woman is the superior Master, that's all.\I side with the most powerful.\That's true.\But you'll regret it.\I'll never quit.\You hear me?\I'll defeat Caster and take you back.\And when I do, response:	I won't forgive you, no matter how much you apologize.
context: I side with the most powerful.\That's true.\But you'll regret it.\I'll never quit.\You hear me?\I'll defeat Caster and take you back.\And when I do,\I won't forgive you, no matter how much you apologize. response:	That's what you get for pulling a stunt like that!
context: That's true.\But you'll regret it.\I'll never quit.\You hear me?\I'll defeat Caster and take you back.\And when I do,\I won't forgive you, no matter how much you apologize.\That's what you get for pulling a stunt like that! response:	Get some rest!
context: But you'll regret it.\I'll never quit.\You hear me?\I'll defeat Caster and take you back.\And when I do,\I won't forgive you, no matter how much you apologize.\That's what you get for pulling a stunt like that!\Get some rest! response:	No, let's get back to my place as soon as possible.
context: I'll never quit.\You hear me?\I'll defeat Caster and take you back.\And when I do,\I won't forgive you, no matter how much you apologize.\That's what you get for pulling a stunt like that!\Get some rest!\No, let's get back to my place as soon as possible. response:	Don't worry, it doesn't hurt that much.
context: You hear me?\I'll defeat Caster and take you back.\And when I do,\I won't forgive you, no matter how much you apologize.\That's what you get for pulling a stunt like that!\Get some rest!\No, let's get back to my place as soon as possible.\Don't worry, it doesn't hurt that much. response:	You can't be serious!
context: I'll defeat Caster and take you back.\And when I do,\I won't forgive you, no matter how much you apologize.\That's what you get for pulling a stunt like that!\Get some rest!\No, let's get back to my place as soon as possible.\Don't worry, it doesn't hurt that much.\You can't be serious! response:	Don't tell me it doesn't hurt, not with an injury like that!
context: And when I do,\I won't forgive you, no matter how much you apologize.\That's what you get for pulling a stunt like that!\Get some rest!\No, let's get back to my place as soon as possible.\Don't worry, it doesn't hurt that much.\You can't be serious!\Don't tell me it doesn't hurt, not with an injury like that! response:	Hey, are you listening?
context: I won't forgive you, no matter how much you apologize.\That's what you get for pulling a stunt like that!\Get some rest!\No, let's get back to my place as soon as possible.\Don't worry, it doesn't hurt that much.\You can't be serious!\Don't tell me it doesn't hurt, not with an injury like that!\Hey, are you listening? response:	Why is this even happening?
context: That's what you get for pulling a stunt like that!\Get some rest!\No, let's get back to my place as soon as possible.\Don't worry, it doesn't hurt that much.\You can't be serious!\Don't tell me it doesn't hurt, not with an injury like that!\Hey, are you listening?\Why is this even happening? response:	Couldn't you tell immediately that the church wasn't safe?
context: Get some rest!\No, let's get back to my place as soon as possible.\Don't worry, it doesn't hurt that much.\You can't be serious!\Don't tell me it doesn't hurt, not with an injury like that!\Hey, are you listening?\Why is this even happening?\Couldn't you tell immediately that the church wasn't safe? response:	I'm not that stupid. Of course I could tell!
context: No, let's get back to my place as soon as possible.\Don't worry, it doesn't hurt that much.\You can't be serious!\Don't tell me it doesn't hurt, not with an injury like that!\Hey, are you listening?\Why is this even happening?\Couldn't you tell immediately that the church wasn't safe?\I'm not that stupid. Of course I could tell! response:	Then you should have turned right around, idiot!
context: Don't worry, it doesn't hurt that much.\You can't be serious!\Don't tell me it doesn't hurt, not with an injury like that!\Hey, are you listening?\Why is this even happening?\Couldn't you tell immediately that the church wasn't safe?\I'm not that stupid. Of course I could tell!\Then you should have turned right around, idiot! response:	How could you try a projection with those injuries?
context: You can't be serious!\Don't tell me it doesn't hurt, not with an injury like that!\Hey, are you listening?\Why is this even happening?\Couldn't you tell immediately that the church wasn't safe?\I'm not that stupid. Of course I could tell!\Then you should have turned right around, idiot!\How could you try a projection with those injuries? response:	That'll only make things worse!
context: Don't tell me it doesn't hurt, not with an injury like that!\Hey, are you listening?\Why is this even happening?\Couldn't you tell immediately that the church wasn't safe?\I'm not that stupid. Of course I could tell!\Then you should have turned right around, idiot!\How could you try a projection with those injuries?\That'll only make things worse! response:	And you're telling me you aren't in pain?
context: Hey, are you listening?\Why is this even happening?\Couldn't you tell immediately that the church wasn't safe?\I'm not that stupid. Of course I could tell!\Then you should have turned right around, idiot!\How could you try a projection with those injuries?\That'll only make things worse!\And you're telling me you aren't in pain? response:	I swear, you're so messed up!
