context: These are fan letters. response:	Wow, that's a lot!
context: Also, this story starts in Shibuya, so could we use real shops in those scenes?\Like a homage to the original?\Also, Director, you did MoeSis too, right?\Can we get Bakkoin-san to do the animation for this?\I love the way he makes things move so smoothly!\Oh, and when you show panties on screen, you normally have to block it with shadows or light, right?\So for this, how about we say they aren't panties, but some kind of survival gear instead?\And lastly, for the credits, could you use Super Original Work instead of just Original Work? response:	Understood...
context: Like a homage to the original?\Also, Director, you did MoeSis too, right?\Can we get Bakkoin-san to do the animation for this?\I love the way he makes things move so smoothly!\Oh, and when you show panties on screen, you normally have to block it with shadows or light, right?\So for this, how about we say they aren't panties, but some kind of survival gear instead?\And lastly, for the credits, could you use Super Original Work instead of just Original Work?\Understood... response:	We'll take all that into consideration.
context: Also, Director, you did MoeSis too, right?\Can we get Bakkoin-san to do the animation for this?\I love the way he makes things move so smoothly!\Oh, and when you show panties on screen, you normally have to block it with shadows or light, right?\So for this, how about we say they aren't panties, but some kind of survival gear instead?\And lastly, for the credits, could you use Super Original Work instead of just Original Work?\Understood...\We'll take all that into consideration. response:	Ah, there is one thing we need to mention.
context: Can we get Bakkoin-san to do the animation for this?\I love the way he makes things move so smoothly!\Oh, and when you show panties on screen, you normally have to block it with shadows or light, right?\So for this, how about we say they aren't panties, but some kind of survival gear instead?\And lastly, for the credits, could you use Super Original Work instead of just Original Work?\Understood...\We'll take all that into consideration.\Ah, there is one thing we need to mention. response:	This is going to be a half season13 episodes.
context: I love the way he makes things move so smoothly!\Oh, and when you show panties on screen, you normally have to block it with shadows or light, right?\So for this, how about we say they aren't panties, but some kind of survival gear instead?\And lastly, for the credits, could you use Super Original Work instead of just Original Work?\Understood...\We'll take all that into consideration.\Ah, there is one thing we need to mention.\This is going to be a half season13 episodes. response:	Were you planning on it being a full season?
context: Oh, and when you show panties on screen, you normally have to block it with shadows or light, right?\So for this, how about we say they aren't panties, but some kind of survival gear instead?\And lastly, for the credits, could you use Super Original Work instead of just Original Work?\Understood...\We'll take all that into consideration.\Ah, there is one thing we need to mention.\This is going to be a half season13 episodes.\Were you planning on it being a full season? response:	W-Well...
context: So for this, how about we say they aren't panties, but some kind of survival gear instead?\And lastly, for the credits, could you use Super Original Work instead of just Original Work?\Understood...\We'll take all that into consideration.\Ah, there is one thing we need to mention.\This is going to be a half season13 episodes.\Were you planning on it being a full season?\W-Well... response:	Right now the base work is only one volume.
context: And lastly, for the credits, could you use Super Original Work instead of just Original Work?\Understood...\We'll take all that into consideration.\Ah, there is one thing we need to mention.\This is going to be a half season13 episodes.\Were you planning on it being a full season?\W-Well...\Right now the base work is only one volume. response:	We plan to take that and add some anime-original episodes to pad it out.
context: Understood...\We'll take all that into consideration.\Ah, there is one thing we need to mention.\This is going to be a half season13 episodes.\Were you planning on it being a full season?\W-Well...\Right now the base work is only one volume.\We plan to take that and add some anime-original episodes to pad it out. response:	Oh, okay...
context: We'll take all that into consideration.\Ah, there is one thing we need to mention.\This is going to be a half season13 episodes.\Were you planning on it being a full season?\W-Well...\Right now the base work is only one volume.\We plan to take that and add some anime-original episodes to pad it out.\Oh, okay... response:	I'll think up some additional content then...
context: Ah, there is one thing we need to mention.\This is going to be a half season13 episodes.\Were you planning on it being a full season?\W-Well...\Right now the base work is only one volume.\We plan to take that and add some anime-original episodes to pad it out.\Oh, okay...\I'll think up some additional content then... response:	Um...
context: This is going to be a half season13 episodes.\Were you planning on it being a full season?\W-Well...\Right now the base work is only one volume.\We plan to take that and add some anime-original episodes to pad it out.\Oh, okay...\I'll think up some additional content then...\Um... response:	You don't have to do it right now.
context: Were you planning on it being a full season?\W-Well...\Right now the base work is only one volume.\We plan to take that and add some anime-original episodes to pad it out.\Oh, okay...\I'll think up some additional content then...\Um...\You don't have to do it right now. response:	Oh! I have notes for a character that I never ended up putting in the book, so we could use that...
context: W-Well...\Right now the base work is only one volume.\We plan to take that and add some anime-original episodes to pad it out.\Oh, okay...\I'll think up some additional content then...\Um...\You don't have to do it right now.\Oh! I have notes for a character that I never ended up putting in the book, so we could use that... response:	I'll give it a read.
context: Right now the base work is only one volume.\We plan to take that and add some anime-original episodes to pad it out.\Oh, okay...\I'll think up some additional content then...\Um...\You don't have to do it right now.\Oh! I have notes for a character that I never ended up putting in the book, so we could use that...\I'll give it a read. response:	But I think restructuring the content, decreasing character details, and creating a backbone for the world may be enough to pull us through.
context: We plan to take that and add some anime-original episodes to pad it out.\Oh, okay...\I'll think up some additional content then...\Um...\You don't have to do it right now.\Oh! I have notes for a character that I never ended up putting in the book, so we could use that...\I'll give it a read.\But I think restructuring the content, decreasing character details, and creating a backbone for the world may be enough to pull us through. response:	I-I see...
context: Oh, okay...\I'll think up some additional content then...\Um...\You don't have to do it right now.\Oh! I have notes for a character that I never ended up putting in the book, so we could use that...\I'll give it a read.\But I think restructuring the content, decreasing character details, and creating a backbone for the world may be enough to pull us through.\I-I see... response:	Indeed.
context: I'll think up some additional content then...\Um...\You don't have to do it right now.\Oh! I have notes for a character that I never ended up putting in the book, so we could use that...\I'll give it a read.\But I think restructuring the content, decreasing character details, and creating a backbone for the world may be enough to pull us through.\I-I see...\Indeed. response:	Also, about the schedule...
context: Um...\You don't have to do it right now.\Oh! I have notes for a character that I never ended up putting in the book, so we could use that...\I'll give it a read.\But I think restructuring the content, decreasing character details, and creating a backbone for the world may be enough to pull us through.\I-I see...\Indeed.\Also, about the schedule... response:	We're planning the broadcast for the July season.
context: You don't have to do it right now.\Oh! I have notes for a character that I never ended up putting in the book, so we could use that...\I'll give it a read.\But I think restructuring the content, decreasing character details, and creating a backbone for the world may be enough to pull us through.\I-I see...\Indeed.\Also, about the schedule...\We're planning the broadcast for the July season. response:	What's wrong?
context: Oh! I have notes for a character that I never ended up putting in the book, so we could use that...\I'll give it a read.\But I think restructuring the content, decreasing character details, and creating a backbone for the world may be enough to pull us through.\I-I see...\Indeed.\Also, about the schedule...\We're planning the broadcast for the July season.\What's wrong? response:	That's pretty soon...
context: I'll give it a read.\But I think restructuring the content, decreasing character details, and creating a backbone for the world may be enough to pull us through.\I-I see...\Indeed.\Also, about the schedule...\We're planning the broadcast for the July season.\What's wrong?\That's pretty soon... response:	That's why changing the opening or ending will be pretty difficult at this point.
context: But I think restructuring the content, decreasing character details, and creating a backbone for the world may be enough to pull us through.\I-I see...\Indeed.\Also, about the schedule...\We're planning the broadcast for the July season.\What's wrong?\That's pretty soon...\That's why changing the opening or ending will be pretty difficult at this point. response:	Putting that energy into improving the main feature's quality may be better for its success on TV.
context: I-I see...\Indeed.\Also, about the schedule...\We're planning the broadcast for the July season.\What's wrong?\That's pretty soon...\That's why changing the opening or ending will be pretty difficult at this point.\Putting that energy into improving the main feature's quality may be better for its success on TV. response:	Oh... I see...
context: Indeed.\Also, about the schedule...\We're planning the broadcast for the July season.\What's wrong?\That's pretty soon...\That's why changing the opening or ending will be pretty difficult at this point.\Putting that energy into improving the main feature's quality may be better for its success on TV.\Oh... I see... response:	In regards to the voice actors...
context: Also, about the schedule...\We're planning the broadcast for the July season.\What's wrong?\That's pretty soon...\That's why changing the opening or ending will be pretty difficult at this point.\Putting that energy into improving the main feature's quality may be better for its success on TV.\Oh... I see...\In regards to the voice actors... response:	I'm glad you have an image in mind for them,
context: We're planning the broadcast for the July season.\What's wrong?\That's pretty soon...\That's why changing the opening or ending will be pretty difficult at this point.\Putting that energy into improving the main feature's quality may be better for its success on TV.\Oh... I see...\In regards to the voice actors...\I'm glad you have an image in mind for them, response:	but given their schedule, it may be necessary to use people who aren't on your list.
context: What's wrong?\That's pretty soon...\That's why changing the opening or ending will be pretty difficult at this point.\Putting that energy into improving the main feature's quality may be better for its success on TV.\Oh... I see...\In regards to the voice actors...\I'm glad you have an image in mind for them,\but given their schedule, it may be necessary to use people who aren't on your list. response:	I hope you can understand.
context: That's pretty soon...\That's why changing the opening or ending will be pretty difficult at this point.\Putting that energy into improving the main feature's quality may be better for its success on TV.\Oh... I see...\In regards to the voice actors...\I'm glad you have an image in mind for them,\but given their schedule, it may be necessary to use people who aren't on your list.\I hope you can understand. response:	I see...
context: That's why changing the opening or ending will be pretty difficult at this point.\Putting that energy into improving the main feature's quality may be better for its success on TV.\Oh... I see...\In regards to the voice actors...\I'm glad you have an image in mind for them,\but given their schedule, it may be necessary to use people who aren't on your list.\I hope you can understand.\I see... response:	And as for the story...
context: Putting that energy into improving the main feature's quality may be better for its success on TV.\Oh... I see...\In regards to the voice actors...\I'm glad you have an image in mind for them,\but given their schedule, it may be necessary to use people who aren't on your list.\I hope you can understand.\I see...\And as for the story... response:	I have some questions I'd like to ask.
context: Oh... I see...\In regards to the voice actors...\I'm glad you have an image in mind for them,\but given their schedule, it may be necessary to use people who aren't on your list.\I hope you can understand.\I see...\And as for the story...\I have some questions I'd like to ask. response:	Yes?
context: In regards to the voice actors...\I'm glad you have an image in mind for them,\but given their schedule, it may be necessary to use people who aren't on your list.\I hope you can understand.\I see...\And as for the story...\I have some questions I'd like to ask.\Yes? response:	Why do all these little sisters come to like the main character?
context: I'm glad you have an image in mind for them,\but given their schedule, it may be necessary to use people who aren't on your list.\I hope you can understand.\I see...\And as for the story...\I have some questions I'd like to ask.\Yes?\Why do all these little sisters come to like the main character? response:	Well...
context: but given their schedule, it may be necessary to use people who aren't on your list.\I hope you can understand.\I see...\And as for the story...\I have some questions I'd like to ask.\Yes?\Why do all these little sisters come to like the main character?\Well... response:	Because she saved their lives?
context: I hope you can understand.\I see...\And as for the story...\I have some questions I'd like to ask.\Yes?\Why do all these little sisters come to like the main character?\Well...\Because she saved their lives? response:	But the main character is a girl.
context: I see...\And as for the story...\I have some questions I'd like to ask.\Yes?\Why do all these little sisters come to like the main character?\Well...\Because she saved their lives?\But the main character is a girl. response:	Yes...
context: And as for the story...\I have some questions I'd like to ask.\Yes?\Why do all these little sisters come to like the main character?\Well...\Because she saved their lives?\But the main character is a girl.\Yes... response:	Why?
context: I have some questions I'd like to ask.\Yes?\Why do all these little sisters come to like the main character?\Well...\Because she saved their lives?\But the main character is a girl.\Yes...\Why? response:	I wonder...
context: Yes?\Why do all these little sisters come to like the main character?\Well...\Because she saved their lives?\But the main character is a girl.\Yes...\Why?\I wonder... response:	Because the author is projecting herself onto her, obviously.
context: Why do all these little sisters come to like the main character?\Well...\Because she saved their lives?\But the main character is a girl.\Yes...\Why?\I wonder...\Because the author is projecting herself onto her, obviously. response:	Miss Kuroneko!
context: Well...\Because she saved their lives?\But the main character is a girl.\Yes...\Why?\I wonder...\Because the author is projecting herself onto her, obviously.\Miss Kuroneko! response:	What do you think about changing the main character to a male lead?
context: Because she saved their lives?\But the main character is a girl.\Yes...\Why?\I wonder...\Because the author is projecting herself onto her, obviously.\Miss Kuroneko!\What do you think about changing the main character to a male lead? response:	I'm back.
context: But the main character is a girl.\Yes...\Why?\I wonder...\Because the author is projecting herself onto her, obviously.\Miss Kuroneko!\What do you think about changing the main character to a male lead?\I'm back. response:	Hey! What the hell?
context: Yes...\Why?\I wonder...\Because the author is projecting herself onto her, obviously.\Miss Kuroneko!\What do you think about changing the main character to a male lead?\I'm back.\Hey! What the hell? response:	Hey...
context: Why?\I wonder...\Because the author is projecting herself onto her, obviously.\Miss Kuroneko!\What do you think about changing the main character to a male lead?\I'm back.\Hey! What the hell?\Hey... response:	What happened?
context: I wonder...\Because the author is projecting herself onto her, obviously.\Miss Kuroneko!\What do you think about changing the main character to a male lead?\I'm back.\Hey! What the hell?\Hey...\What happened? response:	Shut up...
context: Because the author is projecting herself onto her, obviously.\Miss Kuroneko!\What do you think about changing the main character to a male lead?\I'm back.\Hey! What the hell?\Hey...\What happened?\Shut up... response:	Hey!
context: Miss Kuroneko!\What do you think about changing the main character to a male lead?\I'm back.\Hey! What the hell?\Hey...\What happened?\Shut up...\Hey! response:	What's wrong?
context: What do you think about changing the main character to a male lead?\I'm back.\Hey! What the hell?\Hey...\What happened?\Shut up...\Hey!\What's wrong? response:	Kirino!
context: I'm back.\Hey! What the hell?\Hey...\What happened?\Shut up...\Hey!\What's wrong?\Kirino! response:	She's still in bed?
context: Hey! What the hell?\Hey...\What happened?\Shut up...\Hey!\What's wrong?\Kirino!\She's still in bed? response:	Sheesh.
context: Hey...\What happened?\Shut up...\Hey!\What's wrong?\Kirino!\She's still in bed?\Sheesh. response:	Both her body and mind are just so weak.
context: What happened?\Shut up...\Hey!\What's wrong?\Kirino!\She's still in bed?\Sheesh.\Both her body and mind are just so weak. response:	It's understandable though...
context: Shut up...\Hey!\What's wrong?\Kirino!\She's still in bed?\Sheesh.\Both her body and mind are just so weak.\It's understandable though... response:	They completely turned around all her ideas,
context: Hey!\What's wrong?\Kirino!\She's still in bed?\Sheesh.\Both her body and mind are just so weak.\It's understandable though...\They completely turned around all her ideas, response:	so it probably came as quite a shock to her.
context: What's wrong?\Kirino!\She's still in bed?\Sheesh.\Both her body and mind are just so weak.\It's understandable though...\They completely turned around all her ideas,\so it probably came as quite a shock to her. response:	I suppose that's a natural reaction when you see the story you worked so hard on get turned upside-down.
context: Kirino!\She's still in bed?\Sheesh.\Both her body and mind are just so weak.\It's understandable though...\They completely turned around all her ideas,\so it probably came as quite a shock to her.\I suppose that's a natural reaction when you see the story you worked so hard on get turned upside-down. response:	I don't really get it...
context: She's still in bed?\Sheesh.\Both her body and mind are just so weak.\It's understandable though...\They completely turned around all her ideas,\so it probably came as quite a shock to her.\I suppose that's a natural reaction when you see the story you worked so hard on get turned upside-down.\I don't really get it... response:	Why didn't anyone want to hear her ideas?
context: Sheesh.\Both her body and mind are just so weak.\It's understandable though...\They completely turned around all her ideas,\so it probably came as quite a shock to her.\I suppose that's a natural reaction when you see the story you worked so hard on get turned upside-down.\I don't really get it...\Why didn't anyone want to hear her ideas? response:	It's her book they're turning into an anime, right?
context: Both her body and mind are just so weak.\It's understandable though...\They completely turned around all her ideas,\so it probably came as quite a shock to her.\I suppose that's a natural reaction when you see the story you worked so hard on get turned upside-down.\I don't really get it...\Why didn't anyone want to hear her ideas?\It's her book they're turning into an anime, right? response:	That's true, but the process of creating an anime involves a huge number of people at great cost.
context: It's understandable though...\They completely turned around all her ideas,\so it probably came as quite a shock to her.\I suppose that's a natural reaction when you see the story you worked so hard on get turned upside-down.\I don't really get it...\Why didn't anyone want to hear her ideas?\It's her book they're turning into an anime, right?\That's true, but the process of creating an anime involves a huge number of people at great cost. response:	They have to release an episode once every week.
context: They completely turned around all her ideas,\so it probably came as quite a shock to her.\I suppose that's a natural reaction when you see the story you worked so hard on get turned upside-down.\I don't really get it...\Why didn't anyone want to hear her ideas?\It's her book they're turning into an anime, right?\That's true, but the process of creating an anime involves a huge number of people at great cost.\They have to release an episode once every week. response:	It'd be unrealistic to let one person have their way with everything.
context: so it probably came as quite a shock to her.\I suppose that's a natural reaction when you see the story you worked so hard on get turned upside-down.\I don't really get it...\Why didn't anyone want to hear her ideas?\It's her book they're turning into an anime, right?\That's true, but the process of creating an anime involves a huge number of people at great cost.\They have to release an episode once every week.\It'd be unrealistic to let one person have their way with everything. response:	It's a different league from books or manga where you can do all the work solo.
context: I suppose that's a natural reaction when you see the story you worked so hard on get turned upside-down.\I don't really get it...\Why didn't anyone want to hear her ideas?\It's her book they're turning into an anime, right?\That's true, but the process of creating an anime involves a huge number of people at great cost.\They have to release an episode once every week.\It'd be unrealistic to let one person have their way with everything.\It's a different league from books or manga where you can do all the work solo. response:	If the author doesn't like it, they can turn down the whole anime project, but...
context: I don't really get it...\Why didn't anyone want to hear her ideas?\It's her book they're turning into an anime, right?\That's true, but the process of creating an anime involves a huge number of people at great cost.\They have to release an episode once every week.\It'd be unrealistic to let one person have their way with everything.\It's a different league from books or manga where you can do all the work solo.\If the author doesn't like it, they can turn down the whole anime project, but... response:	You feel like you want to watch it, despite your gripes.
context: Why didn't anyone want to hear her ideas?\It's her book they're turning into an anime, right?\That's true, but the process of creating an anime involves a huge number of people at great cost.\They have to release an episode once every week.\It'd be unrealistic to let one person have their way with everything.\It's a different league from books or manga where you can do all the work solo.\If the author doesn't like it, they can turn down the whole anime project, but...\You feel like you want to watch it, despite your gripes. response:	What a hassle.
context: It's her book they're turning into an anime, right?\That's true, but the process of creating an anime involves a huge number of people at great cost.\They have to release an episode once every week.\It'd be unrealistic to let one person have their way with everything.\It's a different league from books or manga where you can do all the work solo.\If the author doesn't like it, they can turn down the whole anime project, but...\You feel like you want to watch it, despite your gripes.\What a hassle. response:	Mr. Kyousuke...
context: That's true, but the process of creating an anime involves a huge number of people at great cost.\They have to release an episode once every week.\It'd be unrealistic to let one person have their way with everything.\It's a different league from books or manga where you can do all the work solo.\If the author doesn't like it, they can turn down the whole anime project, but...\You feel like you want to watch it, despite your gripes.\What a hassle.\Mr. Kyousuke... response:	I actually looked into it a bit...
context: They have to release an episode once every week.\It'd be unrealistic to let one person have their way with everything.\It's a different league from books or manga where you can do all the work solo.\If the author doesn't like it, they can turn down the whole anime project, but...\You feel like you want to watch it, despite your gripes.\What a hassle.\Mr. Kyousuke...\I actually looked into it a bit... response:	It would seem that this whole project was only decided very recently, after a different anime was suddenly cancelled.
context: It'd be unrealistic to let one person have their way with everything.\It's a different league from books or manga where you can do all the work solo.\If the author doesn't like it, they can turn down the whole anime project, but...\You feel like you want to watch it, despite your gripes.\What a hassle.\Mr. Kyousuke...\I actually looked into it a bit...\It would seem that this whole project was only decided very recently, after a different anime was suddenly cancelled. response:	I thought as much.
context: It's a different league from books or manga where you can do all the work solo.\If the author doesn't like it, they can turn down the whole anime project, but...\You feel like you want to watch it, despite your gripes.\What a hassle.\Mr. Kyousuke...\I actually looked into it a bit...\It would seem that this whole project was only decided very recently, after a different anime was suddenly cancelled.\I thought as much. response:	It seemed far too aggressive, pushing an anime for a new work with only one volume on sale.
context: If the author doesn't like it, they can turn down the whole anime project, but...\You feel like you want to watch it, despite your gripes.\What a hassle.\Mr. Kyousuke...\I actually looked into it a bit...\It would seem that this whole project was only decided very recently, after a different anime was suddenly cancelled.\I thought as much.\It seemed far too aggressive, pushing an anime for a new work with only one volume on sale. response:	So basically...
context: You feel like you want to watch it, despite your gripes.\What a hassle.\Mr. Kyousuke...\I actually looked into it a bit...\It would seem that this whole project was only decided very recently, after a different anime was suddenly cancelled.\I thought as much.\It seemed far too aggressive, pushing an anime for a new work with only one volume on sale.\So basically... response:	They're just using this to fill in a gap?
context: What a hassle.\Mr. Kyousuke...\I actually looked into it a bit...\It would seem that this whole project was only decided very recently, after a different anime was suddenly cancelled.\I thought as much.\It seemed far too aggressive, pushing an anime for a new work with only one volume on sale.\So basically...\They're just using this to fill in a gap? response:	To put it bluntly, yes.
context: Mr. Kyousuke...\I actually looked into it a bit...\It would seem that this whole project was only decided very recently, after a different anime was suddenly cancelled.\I thought as much.\It seemed far too aggressive, pushing an anime for a new work with only one volume on sale.\So basically...\They're just using this to fill in a gap?\To put it bluntly, yes. response:	So that's why they're ignoring Kirino's opinions and just bulldozing forward with production...
context: I actually looked into it a bit...\It would seem that this whole project was only decided very recently, after a different anime was suddenly cancelled.\I thought as much.\It seemed far too aggressive, pushing an anime for a new work with only one volume on sale.\So basically...\They're just using this to fill in a gap?\To put it bluntly, yes.\So that's why they're ignoring Kirino's opinions and just bulldozing forward with production... response:	That's definitely a possible explanation.
context: It would seem that this whole project was only decided very recently, after a different anime was suddenly cancelled.\I thought as much.\It seemed far too aggressive, pushing an anime for a new work with only one volume on sale.\So basically...\They're just using this to fill in a gap?\To put it bluntly, yes.\So that's why they're ignoring Kirino's opinions and just bulldozing forward with production...\That's definitely a possible explanation. response:	That really sucks.
context: I thought as much.\It seemed far too aggressive, pushing an anime for a new work with only one volume on sale.\So basically...\They're just using this to fill in a gap?\To put it bluntly, yes.\So that's why they're ignoring Kirino's opinions and just bulldozing forward with production...\That's definitely a possible explanation.\That really sucks. response:	Though again, it's just what I heard.
context: It seemed far too aggressive, pushing an anime for a new work with only one volume on sale.\So basically...\They're just using this to fill in a gap?\To put it bluntly, yes.\So that's why they're ignoring Kirino's opinions and just bulldozing forward with production...\That's definitely a possible explanation.\That really sucks.\Though again, it's just what I heard. response:	I don't really get this kind of stuff, but isn't having the story you worked so hard on trampled all over really unfair?
context: So basically...\They're just using this to fill in a gap?\To put it bluntly, yes.\So that's why they're ignoring Kirino's opinions and just bulldozing forward with production...\That's definitely a possible explanation.\That really sucks.\Though again, it's just what I heard.\I don't really get this kind of stuff, but isn't having the story you worked so hard on trampled all over really unfair? response:	Of course it is.
context: They're just using this to fill in a gap?\To put it bluntly, yes.\So that's why they're ignoring Kirino's opinions and just bulldozing forward with production...\That's definitely a possible explanation.\That really sucks.\Though again, it's just what I heard.\I don't really get this kind of stuff, but isn't having the story you worked so hard on trampled all over really unfair?\Of course it is. response:	What should we do?
context: To put it bluntly, yes.\So that's why they're ignoring Kirino's opinions and just bulldozing forward with production...\That's definitely a possible explanation.\That really sucks.\Though again, it's just what I heard.\I don't really get this kind of stuff, but isn't having the story you worked so hard on trampled all over really unfair?\Of course it is.\What should we do? response:	You're suggesting we do something?
context: So that's why they're ignoring Kirino's opinions and just bulldozing forward with production...\That's definitely a possible explanation.\That really sucks.\Though again, it's just what I heard.\I don't really get this kind of stuff, but isn't having the story you worked so hard on trampled all over really unfair?\Of course it is.\What should we do?\You're suggesting we do something? response:	Is there any other choice?
context: That's definitely a possible explanation.\That really sucks.\Though again, it's just what I heard.\I don't really get this kind of stuff, but isn't having the story you worked so hard on trampled all over really unfair?\Of course it is.\What should we do?\You're suggesting we do something?\Is there any other choice? response:	If we don't, her anime is going to be a total mess.
context: That really sucks.\Though again, it's just what I heard.\I don't really get this kind of stuff, but isn't having the story you worked so hard on trampled all over really unfair?\Of course it is.\What should we do?\You're suggesting we do something?\Is there any other choice?\If we don't, her anime is going to be a total mess. response:	Wouldn't that be a job for your sister?
context: Though again, it's just what I heard.\I don't really get this kind of stuff, but isn't having the story you worked so hard on trampled all over really unfair?\Of course it is.\What should we do?\You're suggesting we do something?\Is there any other choice?\If we don't, her anime is going to be a total mess.\Wouldn't that be a job for your sister? response:	The one you hate so much?
context: I don't really get this kind of stuff, but isn't having the story you worked so hard on trampled all over really unfair?\Of course it is.\What should we do?\You're suggesting we do something?\Is there any other choice?\If we don't, her anime is going to be a total mess.\Wouldn't that be a job for your sister?\The one you hate so much? response:	That's right, I hate her.
context: Of course it is.\What should we do?\You're suggesting we do something?\Is there any other choice?\If we don't, her anime is going to be a total mess.\Wouldn't that be a job for your sister?\The one you hate so much?\That's right, I hate her. response:	But I can't leave this one alone.
context: What should we do?\You're suggesting we do something?\Is there any other choice?\If we don't, her anime is going to be a total mess.\Wouldn't that be a job for your sister?\The one you hate so much?\That's right, I hate her.\But I can't leave this one alone. response:	It pisses me off too much.
context: You're suggesting we do something?\Is there any other choice?\If we don't, her anime is going to be a total mess.\Wouldn't that be a job for your sister?\The one you hate so much?\That's right, I hate her.\But I can't leave this one alone.\It pisses me off too much. response:	I don't know what, but I feel like I need to do something.
context: Is there any other choice?\If we don't, her anime is going to be a total mess.\Wouldn't that be a job for your sister?\The one you hate so much?\That's right, I hate her.\But I can't leave this one alone.\It pisses me off too much.\I don't know what, but I feel like I need to do something. response:	Mr. Kyousuke...
context: If we don't, her anime is going to be a total mess.\Wouldn't that be a job for your sister?\The one you hate so much?\That's right, I hate her.\But I can't leave this one alone.\It pisses me off too much.\I don't know what, but I feel like I need to do something.\Mr. Kyousuke... response:	I feel the same way.
context: Wouldn't that be a job for your sister?\The one you hate so much?\That's right, I hate her.\But I can't leave this one alone.\It pisses me off too much.\I don't know what, but I feel like I need to do something.\Mr. Kyousuke...\I feel the same way. response:	Don't misunderstand.
context: The one you hate so much?\That's right, I hate her.\But I can't leave this one alone.\It pisses me off too much.\I don't know what, but I feel like I need to do something.\Mr. Kyousuke...\I feel the same way.\Don't misunderstand. response:	I'm just following along because I'm bored.
context: That's right, I hate her.\But I can't leave this one alone.\It pisses me off too much.\I don't know what, but I feel like I need to do something.\Mr. Kyousuke...\I feel the same way.\Don't misunderstand.\I'm just following along because I'm bored. response:	Her brother?
context: But I can't leave this one alone.\It pisses me off too much.\I don't know what, but I feel like I need to do something.\Mr. Kyousuke...\I feel the same way.\Don't misunderstand.\I'm just following along because I'm bored.\Her brother? response:	Thank you for looking after my sister.
context: It pisses me off too much.\I don't know what, but I feel like I need to do something.\Mr. Kyousuke...\I feel the same way.\Don't misunderstand.\I'm just following along because I'm bored.\Her brother?\Thank you for looking after my sister. response:	She's in bed sick today, but I asked her for her opinions.
context: I don't know what, but I feel like I need to do something.\Mr. Kyousuke...\I feel the same way.\Don't misunderstand.\I'm just following along because I'm bored.\Her brother?\Thank you for looking after my sister.\She's in bed sick today, but I asked her for her opinions. response:	Please let me stand in.
context: Mr. Kyousuke...\I feel the same way.\Don't misunderstand.\I'm just following along because I'm bored.\Her brother?\Thank you for looking after my sister.\She's in bed sick today, but I asked her for her opinions.\Please let me stand in. response:	O-Okay...
context: I feel the same way.\Don't misunderstand.\I'm just following along because I'm bored.\Her brother?\Thank you for looking after my sister.\She's in bed sick today, but I asked her for her opinions.\Please let me stand in.\O-Okay... response:	She already sent me her opinions on the plans though...
context: Don't misunderstand.\I'm just following along because I'm bored.\Her brother?\Thank you for looking after my sister.\She's in bed sick today, but I asked her for her opinions.\Please let me stand in.\O-Okay...\She already sent me her opinions on the plans though... response:	She came up with more besides those.
context: I'm just following along because I'm bored.\Her brother?\Thank you for looking after my sister.\She's in bed sick today, but I asked her for her opinions.\Please let me stand in.\O-Okay...\She already sent me her opinions on the plans though...\She came up with more besides those. response:	There shouldn't be any problem.
context: Her brother?\Thank you for looking after my sister.\She's in bed sick today, but I asked her for her opinions.\Please let me stand in.\O-Okay...\She already sent me her opinions on the plans though...\She came up with more besides those.\There shouldn't be any problem. response:	They get along well enough to know how each other thinks.
context: Thank you for looking after my sister.\She's in bed sick today, but I asked her for her opinions.\Please let me stand in.\O-Okay...\She already sent me her opinions on the plans though...\She came up with more besides those.\There shouldn't be any problem.\They get along well enough to know how each other thinks. response:	Please treat his opinions as hers.
context: She's in bed sick today, but I asked her for her opinions.\Please let me stand in.\O-Okay...\She already sent me her opinions on the plans though...\She came up with more besides those.\There shouldn't be any problem.\They get along well enough to know how each other thinks.\Please treat his opinions as hers. response:	And you two came today too?
context: Please let me stand in.\O-Okay...\She already sent me her opinions on the plans though...\She came up with more besides those.\There shouldn't be any problem.\They get along well enough to know how each other thinks.\Please treat his opinions as hers.\And you two came today too? response:	Her brother?
context: O-Okay...\She already sent me her opinions on the plans though...\She came up with more besides those.\There shouldn't be any problem.\They get along well enough to know how each other thinks.\Please treat his opinions as hers.\And you two came today too?\Her brother? response:	Sorry for the change.
context: She already sent me her opinions on the plans though...\She came up with more besides those.\There shouldn't be any problem.\They get along well enough to know how each other thinks.\Please treat his opinions as hers.\And you two came today too?\Her brother?\Sorry for the change. response:	He's received instructions from the author.
context: She came up with more besides those.\There shouldn't be any problem.\They get along well enough to know how each other thinks.\Please treat his opinions as hers.\And you two came today too?\Her brother?\Sorry for the change.\He's received instructions from the author. response:	Please treat him as her proxy.
context: There shouldn't be any problem.\They get along well enough to know how each other thinks.\Please treat his opinions as hers.\And you two came today too?\Her brother?\Sorry for the change.\He's received instructions from the author.\Please treat him as her proxy. response:	I see...
context: They get along well enough to know how each other thinks.\Please treat his opinions as hers.\And you two came today too?\Her brother?\Sorry for the change.\He's received instructions from the author.\Please treat him as her proxy.\I see... response:	You still have time.
context: Please treat his opinions as hers.\And you two came today too?\Her brother?\Sorry for the change.\He's received instructions from the author.\Please treat him as her proxy.\I see...\You still have time. response:	Tuck your tail and run?
