context: you won't be able to save the two in the basement! response:	Hey, Yu, Ayumi. It's been a while.
context: You won't be able to see your school friends for a while,\but these guys are your friends...\as well as ability wielders.\I'm Ayumi Otosaka! Nice to meet you!\Nice to meet you, too.\Nice to meet you. Shichino, why don't you walk through a wall for starters?\Sure thing... don't petrify yourself from fear by seeing this!\Wow, that's amazing! response:	The recreation room here is pretty substantial. There's lots of fun things here.
context: but these guys are your friends...\as well as ability wielders.\I'm Ayumi Otosaka! Nice to meet you!\Nice to meet you, too.\Nice to meet you. Shichino, why don't you walk through a wall for starters?\Sure thing... don't petrify yourself from fear by seeing this!\Wow, that's amazing!\The recreation room here is pretty substantial. There's lots of fun things here. response:	What about music? Can I listen to Haro-haro?
context: as well as ability wielders.\I'm Ayumi Otosaka! Nice to meet you!\Nice to meet you, too.\Nice to meet you. Shichino, why don't you walk through a wall for starters?\Sure thing... don't petrify yourself from fear by seeing this!\Wow, that's amazing!\The recreation room here is pretty substantial. There's lots of fun things here.\What about music? Can I listen to Haro-haro? response:	Of course.
context: I'm Ayumi Otosaka! Nice to meet you!\Nice to meet you, too.\Nice to meet you. Shichino, why don't you walk through a wall for starters?\Sure thing... don't petrify yourself from fear by seeing this!\Wow, that's amazing!\The recreation room here is pretty substantial. There's lots of fun things here.\What about music? Can I listen to Haro-haro?\Of course. response:	All right!
context: Nice to meet you, too.\Nice to meet you. Shichino, why don't you walk through a wall for starters?\Sure thing... don't petrify yourself from fear by seeing this!\Wow, that's amazing!\The recreation room here is pretty substantial. There's lots of fun things here.\What about music? Can I listen to Haro-haro?\Of course.\All right! response:	I'll be teaching you academics.
context: Nice to meet you. Shichino, why don't you walk through a wall for starters?\Sure thing... don't petrify yourself from fear by seeing this!\Wow, that's amazing!\The recreation room here is pretty substantial. There's lots of fun things here.\What about music? Can I listen to Haro-haro?\Of course.\All right!\I'll be teaching you academics. response:	Okay!
context: Sure thing... don't petrify yourself from fear by seeing this!\Wow, that's amazing!\The recreation room here is pretty substantial. There's lots of fun things here.\What about music? Can I listen to Haro-haro?\Of course.\All right!\I'll be teaching you academics.\Okay! response:	Thank you very much!
context: Wow, that's amazing!\The recreation room here is pretty substantial. There's lots of fun things here.\What about music? Can I listen to Haro-haro?\Of course.\All right!\I'll be teaching you academics.\Okay!\Thank you very much! response:	I feel like everyone is keeping their distance from just ne...
context: The recreation room here is pretty substantial. There's lots of fun things here.\What about music? Can I listen to Haro-haro?\Of course.\All right!\I'll be teaching you academics.\Okay!\Thank you very much!\I feel like everyone is keeping their distance from just ne... response:	Wait? Is everyone gone already?
context: What about music? Can I listen to Haro-haro?\Of course.\All right!\I'll be teaching you academics.\Okay!\Thank you very much!\I feel like everyone is keeping their distance from just ne...\Wait? Is everyone gone already? response:	They call the first one the Bunei Invasion, and the second one the Koan Invasion.
context: Of course.\All right!\I'll be teaching you academics.\Okay!\Thank you very much!\I feel like everyone is keeping their distance from just ne...\Wait? Is everyone gone already?\They call the first one the Bunei Invasion, and the second one the Koan Invasion. response:	I see...
context: All right!\I'll be teaching you academics.\Okay!\Thank you very much!\I feel like everyone is keeping their distance from just ne...\Wait? Is everyone gone already?\They call the first one the Bunei Invasion, and the second one the Koan Invasion.\I see... response:	Do you have a sister complex?
context: I'll be teaching you academics.\Okay!\Thank you very much!\I feel like everyone is keeping their distance from just ne...\Wait? Is everyone gone already?\They call the first one the Bunei Invasion, and the second one the Koan Invasion.\I see...\Do you have a sister complex? response:	Well, not... really...
context: Okay!\Thank you very much!\I feel like everyone is keeping their distance from just ne...\Wait? Is everyone gone already?\They call the first one the Bunei Invasion, and the second one the Koan Invasion.\I see...\Do you have a sister complex?\Well, not... really... response:	You're fretting.
context: Thank you very much!\I feel like everyone is keeping their distance from just ne...\Wait? Is everyone gone already?\They call the first one the Bunei Invasion, and the second one the Koan Invasion.\I see...\Do you have a sister complex?\Well, not... really...\You're fretting. response:	Your big brother took Ayu away from you.
context: I feel like everyone is keeping their distance from just ne...\Wait? Is everyone gone already?\They call the first one the Bunei Invasion, and the second one the Koan Invasion.\I see...\Do you have a sister complex?\Well, not... really...\You're fretting.\Your big brother took Ayu away from you. response:	That's not true...
context: Wait? Is everyone gone already?\They call the first one the Bunei Invasion, and the second one the Koan Invasion.\I see...\Do you have a sister complex?\Well, not... really...\You're fretting.\Your big brother took Ayu away from you.\That's not true... response:	Then, can you come hang out with me a bit?
context: They call the first one the Bunei Invasion, and the second one the Koan Invasion.\I see...\Do you have a sister complex?\Well, not... really...\You're fretting.\Your big brother took Ayu away from you.\That's not true...\Then, can you come hang out with me a bit? response:	I want you to play for me.
context: I see...\Do you have a sister complex?\Well, not... really...\You're fretting.\Your big brother took Ayu away from you.\That's not true...\Then, can you come hang out with me a bit?\I want you to play for me. response:	Play?
context: Do you have a sister complex?\Well, not... really...\You're fretting.\Your big brother took Ayu away from you.\That's not true...\Then, can you come hang out with me a bit?\I want you to play for me.\Play? response:	All right... got a good hand.
context: Well, not... really...\You're fretting.\Your big brother took Ayu away from you.\That's not true...\Then, can you come hang out with me a bit?\I want you to play for me.\Play?\All right... got a good hand. response:	Reach!
context: You're fretting.\Your big brother took Ayu away from you.\That's not true...\Then, can you come hang out with me a bit?\I want you to play for me.\Play?\All right... got a good hand.\Reach! response:	Ron.
context: Your big brother took Ayu away from you.\That's not true...\Then, can you come hang out with me a bit?\I want you to play for me.\Play?\All right... got a good hand.\Reach!\Ron. response:	Double value tiles, little three dragons, half-flush, all triplets, three dora tiles.
context: That's not true...\Then, can you come hang out with me a bit?\I want you to play for me.\Play?\All right... got a good hand.\Reach!\Ron.\Double value tiles, little three dragons, half-flush, all triplets, three dora tiles. response:	Sanbaiman as dealer, so 36000 points.
context: Then, can you come hang out with me a bit?\I want you to play for me.\Play?\All right... got a good hand.\Reach!\Ron.\Double value tiles, little three dragons, half-flush, all triplets, three dora tiles.\Sanbaiman as dealer, so 36000 points. response:	Amazing. This is the first time I've seen someone lose all points in the first hand.
context: I want you to play for me.\Play?\All right... got a good hand.\Reach!\Ron.\Double value tiles, little three dragons, half-flush, all triplets, three dora tiles.\Sanbaiman as dealer, so 36000 points.\Amazing. This is the first time I've seen someone lose all points in the first hand. response:	You really suck at this. Are you really Shunsuke's little brother?
context: Play?\All right... got a good hand.\Reach!\Ron.\Double value tiles, little three dragons, half-flush, all triplets, three dora tiles.\Sanbaiman as dealer, so 36000 points.\Amazing. This is the first time I've seen someone lose all points in the first hand.\You really suck at this. Are you really Shunsuke's little brother? response:	Dammit... let me play one more time!
context: All right... got a good hand.\Reach!\Ron.\Double value tiles, little three dragons, half-flush, all triplets, three dora tiles.\Sanbaiman as dealer, so 36000 points.\Amazing. This is the first time I've seen someone lose all points in the first hand.\You really suck at this. Are you really Shunsuke's little brother?\Dammit... let me play one more time! response:	No!
context: Reach!\Ron.\Double value tiles, little three dragons, half-flush, all triplets, three dora tiles.\Sanbaiman as dealer, so 36000 points.\Amazing. This is the first time I've seen someone lose all points in the first hand.\You really suck at this. Are you really Shunsuke's little brother?\Dammit... let me play one more time!\No! response:	Found one, so I'm leaving the table...
context: Ron.\Double value tiles, little three dragons, half-flush, all triplets, three dora tiles.\Sanbaiman as dealer, so 36000 points.\Amazing. This is the first time I've seen someone lose all points in the first hand.\You really suck at this. Are you really Shunsuke's little brother?\Dammit... let me play one more time!\No!\Found one, so I'm leaving the table... response:	As always, it's rather sudden.
context: Double value tiles, little three dragons, half-flush, all triplets, three dora tiles.\Sanbaiman as dealer, so 36000 points.\Amazing. This is the first time I've seen someone lose all points in the first hand.\You really suck at this. Are you really Shunsuke's little brother?\Dammit... let me play one more time!\No!\Found one, so I'm leaving the table...\As always, it's rather sudden. response:	Well, since I can't choose to go look for them it's all too random...
context: Sanbaiman as dealer, so 36000 points.\Amazing. This is the first time I've seen someone lose all points in the first hand.\You really suck at this. Are you really Shunsuke's little brother?\Dammit... let me play one more time!\No!\Found one, so I'm leaving the table...\As always, it's rather sudden.\Well, since I can't choose to go look for them it's all too random... response:	It would be so much easier if I could know who wields an ability when...
context: Amazing. This is the first time I've seen someone lose all points in the first hand.\You really suck at this. Are you really Shunsuke's little brother?\Dammit... let me play one more time!\No!\Found one, so I'm leaving the table...\As always, it's rather sudden.\Well, since I can't choose to go look for them it's all too random...\It would be so much easier if I could know who wields an ability when... response:	What did you just find?
context: You really suck at this. Are you really Shunsuke's little brother?\Dammit... let me play one more time!\No!\Found one, so I'm leaving the table...\As always, it's rather sudden.\Well, since I can't choose to go look for them it's all too random...\It would be so much easier if I could know who wields an ability when...\What did you just find? response:	I'm talking about an ability wielder, of course.
context: Dammit... let me play one more time!\No!\Found one, so I'm leaving the table...\As always, it's rather sudden.\Well, since I can't choose to go look for them it's all too random...\It would be so much easier if I could know who wields an ability when...\What did you just find?\I'm talking about an ability wielder, of course. response:	So he didn't have to be drenched in water for that!
context: No!\Found one, so I'm leaving the table...\As always, it's rather sudden.\Well, since I can't choose to go look for them it's all too random...\It would be so much easier if I could know who wields an ability when...\What did you just find?\I'm talking about an ability wielder, of course.\So he didn't have to be drenched in water for that! response:	Which means, you're headed to the student council?
context: Found one, so I'm leaving the table...\As always, it's rather sudden.\Well, since I can't choose to go look for them it's all too random...\It would be so much easier if I could know who wields an ability when...\What did you just find?\I'm talking about an ability wielder, of course.\So he didn't have to be drenched in water for that!\Which means, you're headed to the student council? response:	Yeah.
context: As always, it's rather sudden.\Well, since I can't choose to go look for them it's all too random...\It would be so much easier if I could know who wields an ability when...\What did you just find?\I'm talking about an ability wielder, of course.\So he didn't have to be drenched in water for that!\Which means, you're headed to the student council?\Yeah. response:	Can I come along with you?
context: Well, since I can't choose to go look for them it's all too random...\It would be so much easier if I could know who wields an ability when...\What did you just find?\I'm talking about an ability wielder, of course.\So he didn't have to be drenched in water for that!\Which means, you're headed to the student council?\Yeah.\Can I come along with you? response:	Idiot, of course not.
context: It would be so much easier if I could know who wields an ability when...\What did you just find?\I'm talking about an ability wielder, of course.\So he didn't have to be drenched in water for that!\Which means, you're headed to the student council?\Yeah.\Can I come along with you?\Idiot, of course not. response:	You're the ability wielder that is the least able to step outside.
context: What did you just find?\I'm talking about an ability wielder, of course.\So he didn't have to be drenched in water for that!\Which means, you're headed to the student council?\Yeah.\Can I come along with you?\Idiot, of course not.\You're the ability wielder that is the least able to step outside. response:	Do you lack self-awareness?
context: I'm talking about an ability wielder, of course.\So he didn't have to be drenched in water for that!\Which means, you're headed to the student council?\Yeah.\Can I come along with you?\Idiot, of course not.\You're the ability wielder that is the least able to step outside.\Do you lack self-awareness? response:	I see... that's how it was...
context: So he didn't have to be drenched in water for that!\Which means, you're headed to the student council?\Yeah.\Can I come along with you?\Idiot, of course not.\You're the ability wielder that is the least able to step outside.\Do you lack self-awareness?\I see... that's how it was... response:	Tomori... I wonder how she's doing...
context: Which means, you're headed to the student council?\Yeah.\Can I come along with you?\Idiot, of course not.\You're the ability wielder that is the least able to step outside.\Do you lack self-awareness?\I see... that's how it was...\Tomori... I wonder how she's doing... response:	Wait, why am I thinking about her?
context: Yeah.\Can I come along with you?\Idiot, of course not.\You're the ability wielder that is the least able to step outside.\Do you lack self-awareness?\I see... that's how it was...\Tomori... I wonder how she's doing...\Wait, why am I thinking about her? response:	Please head over to Hoshinoumi Academy.
context: Can I come along with you?\Idiot, of course not.\You're the ability wielder that is the least able to step outside.\Do you lack self-awareness?\I see... that's how it was...\Tomori... I wonder how she's doing...\Wait, why am I thinking about her?\Please head over to Hoshinoumi Academy. response:	Furuki, is something the matter?
context: Idiot, of course not.\You're the ability wielder that is the least able to step outside.\Do you lack self-awareness?\I see... that's how it was...\Tomori... I wonder how she's doing...\Wait, why am I thinking about her?\Please head over to Hoshinoumi Academy.\Furuki, is something the matter? response:	No... it's fine.
context: You're the ability wielder that is the least able to step outside.\Do you lack self-awareness?\I see... that's how it was...\Tomori... I wonder how she's doing...\Wait, why am I thinking about her?\Please head over to Hoshinoumi Academy.\Furuki, is something the matter?\No... it's fine. response:	Why didn't you turn the corner?
context: Do you lack self-awareness?\I see... that's how it was...\Tomori... I wonder how she's doing...\Wait, why am I thinking about her?\Please head over to Hoshinoumi Academy.\Furuki, is something the matter?\No... it's fine.\Why didn't you turn the corner? response:	Furuki?
context: I see... that's how it was...\Tomori... I wonder how she's doing...\Wait, why am I thinking about her?\Please head over to Hoshinoumi Academy.\Furuki, is something the matter?\No... it's fine.\Why didn't you turn the corner?\Furuki? response:	I'm sorry, Kumagami!
context: Tomori... I wonder how she's doing...\Wait, why am I thinking about her?\Please head over to Hoshinoumi Academy.\Furuki, is something the matter?\No... it's fine.\Why didn't you turn the corner?\Furuki?\I'm sorry, Kumagami! response:	I have to take you to a different location!
context: Wait, why am I thinking about her?\Please head over to Hoshinoumi Academy.\Furuki, is something the matter?\No... it's fine.\Why didn't you turn the corner?\Furuki?\I'm sorry, Kumagami!\I have to take you to a different location! response:	My family...
context: Please head over to Hoshinoumi Academy.\Furuki, is something the matter?\No... it's fine.\Why didn't you turn the corner?\Furuki?\I'm sorry, Kumagami!\I have to take you to a different location!\My family... response:	They're threatening my family...
context: Furuki, is something the matter?\No... it's fine.\Why didn't you turn the corner?\Furuki?\I'm sorry, Kumagami!\I have to take you to a different location!\My family...\They're threatening my family... response:	So you had family?
context: No... it's fine.\Why didn't you turn the corner?\Furuki?\I'm sorry, Kumagami!\I have to take you to a different location!\My family...\They're threatening my family...\So you had family? response:	If they found out I had one, I have to quit the syndicate!
context: Why didn't you turn the corner?\Furuki?\I'm sorry, Kumagami!\I have to take you to a different location!\My family...\They're threatening my family...\So you had family?\If they found out I had one, I have to quit the syndicate! response:	That is the rule, yes...
context: Furuki?\I'm sorry, Kumagami!\I have to take you to a different location!\My family...\They're threatening my family...\So you had family?\If they found out I had one, I have to quit the syndicate!\That is the rule, yes... response:	I prided myself in being able to help you guys as an alum... forgive me.
context: I'm sorry, Kumagami!\I have to take you to a different location!\My family...\They're threatening my family...\So you had family?\If they found out I had one, I have to quit the syndicate!\That is the rule, yes...\I prided myself in being able to help you guys as an alum... forgive me. response:	Sheesh... looks like this is going to be a bit troublesome...
context: I have to take you to a different location!\My family...\They're threatening my family...\So you had family?\If they found out I had one, I have to quit the syndicate!\That is the rule, yes...\I prided myself in being able to help you guys as an alum... forgive me.\Sheesh... looks like this is going to be a bit troublesome... response:	Ishihara Mountain Industry
context: My family...\They're threatening my family...\So you had family?\If they found out I had one, I have to quit the syndicate!\That is the rule, yes...\I prided myself in being able to help you guys as an alum... forgive me.\Sheesh... looks like this is going to be a bit troublesome...\Ishihara Mountain Industry response:	Over here. Follow me.
context: They're threatening my family...\So you had family?\If they found out I had one, I have to quit the syndicate!\That is the rule, yes...\I prided myself in being able to help you guys as an alum... forgive me.\Sheesh... looks like this is going to be a bit troublesome...\Ishihara Mountain Industry\Over here. Follow me. response:	Sure..
context: So you had family?\If they found out I had one, I have to quit the syndicate!\That is the rule, yes...\I prided myself in being able to help you guys as an alum... forgive me.\Sheesh... looks like this is going to be a bit troublesome...\Ishihara Mountain Industry\Over here. Follow me.\Sure.. response:	Hey! I brought him here!
context: If they found out I had one, I have to quit the syndicate!\That is the rule, yes...\I prided myself in being able to help you guys as an alum... forgive me.\Sheesh... looks like this is going to be a bit troublesome...\Ishihara Mountain Industry\Over here. Follow me.\Sure..\Hey! I brought him here! response:	Now...
context: That is the rule, yes...\I prided myself in being able to help you guys as an alum... forgive me.\Sheesh... looks like this is going to be a bit troublesome...\Ishihara Mountain Industry\Over here. Follow me.\Sure..\Hey! I brought him here!\Now... response:	A foreigner? Oh, brother.
context: I prided myself in being able to help you guys as an alum... forgive me.\Sheesh... looks like this is going to be a bit troublesome...\Ishihara Mountain Industry\Over here. Follow me.\Sure..\Hey! I brought him here!\Now...\A foreigner? Oh, brother. response:	This is enough, right? Give me back my family!
context: Sheesh... looks like this is going to be a bit troublesome...\Ishihara Mountain Industry\Over here. Follow me.\Sure..\Hey! I brought him here!\Now...\A foreigner? Oh, brother.\This is enough, right? Give me back my family! response:	Not yet. There is one more thing we need you to do.
context: Ishihara Mountain Industry\Over here. Follow me.\Sure..\Hey! I brought him here!\Now...\A foreigner? Oh, brother.\This is enough, right? Give me back my family!\Not yet. There is one more thing we need you to do. response:	We'll contact you later. Now leave.
context: Over here. Follow me.\Sure..\Hey! I brought him here!\Now...\A foreigner? Oh, brother.\This is enough, right? Give me back my family!\Not yet. There is one more thing we need you to do.\We'll contact you later. Now leave. response:	That's not what you said before!
context: Sure..\Hey! I brought him here!\Now...\A foreigner? Oh, brother.\This is enough, right? Give me back my family!\Not yet. There is one more thing we need you to do.\We'll contact you later. Now leave.\That's not what you said before! response:	You do want to meet your family, right?
context: Hey! I brought him here!\Now...\A foreigner? Oh, brother.\This is enough, right? Give me back my family!\Not yet. There is one more thing we need you to do.\We'll contact you later. Now leave.\That's not what you said before!\You do want to meet your family, right? response:	You do want to meet your family, right?
context: Now...\A foreigner? Oh, brother.\This is enough, right? Give me back my family!\Not yet. There is one more thing we need you to do.\We'll contact you later. Now leave.\That's not what you said before!\You do want to meet your family, right?\You do want to meet your family, right? response:	That can't be!
context: A foreigner? Oh, brother.\This is enough, right? Give me back my family!\Not yet. There is one more thing we need you to do.\We'll contact you later. Now leave.\That's not what you said before!\You do want to meet your family, right?\You do want to meet your family, right?\That can't be! response:	I'm sorry...
context: This is enough, right? Give me back my family!\Not yet. There is one more thing we need you to do.\We'll contact you later. Now leave.\That's not what you said before!\You do want to meet your family, right?\You do want to meet your family, right?\That can't be!\I'm sorry... response:	It's fine. Furuki, you can just think about your family...
context: Not yet. There is one more thing we need you to do.\We'll contact you later. Now leave.\That's not what you said before!\You do want to meet your family, right?\You do want to meet your family, right?\That can't be!\I'm sorry...\It's fine. Furuki, you can just think about your family... response:	I'm sorry!
context: We'll contact you later. Now leave.\That's not what you said before!\You do want to meet your family, right?\You do want to meet your family, right?\That can't be!\I'm sorry...\It's fine. Furuki, you can just think about your family...\I'm sorry! response:	Make sure he does not die.
context: That's not what you said before!\You do want to meet your family, right?\You do want to meet your family, right?\That can't be!\I'm sorry...\It's fine. Furuki, you can just think about your family...\I'm sorry!\Make sure he does not die. response:	Where... is this...?
context: You do want to meet your family, right?\You do want to meet your family, right?\That can't be!\I'm sorry...\It's fine. Furuki, you can just think about your family...\I'm sorry!\Make sure he does not die.\Where... is this...? response:	My head feels woozy...
context: You do want to meet your family, right?\That can't be!\I'm sorry...\It's fine. Furuki, you can just think about your family...\I'm sorry!\Make sure he does not die.\Where... is this...?\My head feels woozy... response:	Looks like they injected a truth serum or something...
context: That can't be!\I'm sorry...\It's fine. Furuki, you can just think about your family...\I'm sorry!\Make sure he does not die.\Where... is this...?\My head feels woozy...\Looks like they injected a truth serum or something... response:	What are you trying to make me tell you?
context: I'm sorry...\It's fine. Furuki, you can just think about your family...\I'm sorry!\Make sure he does not die.\Where... is this...?\My head feels woozy...\Looks like they injected a truth serum or something...\What are you trying to make me tell you? response:	Information about every psychic you are aware of that you are hiding from us.
context: It's fine. Furuki, you can just think about your family...\I'm sorry!\Make sure he does not die.\Where... is this...?\My head feels woozy...\Looks like they injected a truth serum or something...\What are you trying to make me tell you?\Information about every psychic you are aware of that you are hiding from us. response:	Like I'd tell you...
context: I'm sorry!\Make sure he does not die.\Where... is this...?\My head feels woozy...\Looks like they injected a truth serum or something...\What are you trying to make me tell you?\Information about every psychic you are aware of that you are hiding from us.\Like I'd tell you... response:	My teeth are gonna be all gone... I'm gonna have dentures at this age?
context: Make sure he does not die.\Where... is this...?\My head feels woozy...\Looks like they injected a truth serum or something...\What are you trying to make me tell you?\Information about every psychic you are aware of that you are hiding from us.\Like I'd tell you...\My teeth are gonna be all gone... I'm gonna have dentures at this age? response:	I told them anything and everything, didn't I...
context: Where... is this...?\My head feels woozy...\Looks like they injected a truth serum or something...\What are you trying to make me tell you?\Information about every psychic you are aware of that you are hiding from us.\Like I'd tell you...\My teeth are gonna be all gone... I'm gonna have dentures at this age?\I told them anything and everything, didn't I... response:	I'm sorry, Shunsuke...
context: My head feels woozy...\Looks like they injected a truth serum or something...\What are you trying to make me tell you?\Information about every psychic you are aware of that you are hiding from us.\Like I'd tell you...\My teeth are gonna be all gone... I'm gonna have dentures at this age?\I told them anything and everything, didn't I...\I'm sorry, Shunsuke... response:	Dammit!
context: Looks like they injected a truth serum or something...\What are you trying to make me tell you?\Information about every psychic you are aware of that you are hiding from us.\Like I'd tell you...\My teeth are gonna be all gone... I'm gonna have dentures at this age?\I told them anything and everything, didn't I...\I'm sorry, Shunsuke...\Dammit! response:	Hello?
context: What are you trying to make me tell you?\Information about every psychic you are aware of that you are hiding from us.\Like I'd tell you...\My teeth are gonna be all gone... I'm gonna have dentures at this age?\I told them anything and everything, didn't I...\I'm sorry, Shunsuke...\Dammit!\Hello? response:	You are the one who gathered all the psychics in this country, yes?
context: Information about every psychic you are aware of that you are hiding from us.\Like I'd tell you...\My teeth are gonna be all gone... I'm gonna have dentures at this age?\I told them anything and everything, didn't I...\I'm sorry, Shunsuke...\Dammit!\Hello?\You are the one who gathered all the psychics in this country, yes? response:	This guy isn't Japanese..?
context: Like I'd tell you...\My teeth are gonna be all gone... I'm gonna have dentures at this age?\I told them anything and everything, didn't I...\I'm sorry, Shunsuke...\Dammit!\Hello?\You are the one who gathered all the psychics in this country, yes?\This guy isn't Japanese..? response:	If so, what?
context: My teeth are gonna be all gone... I'm gonna have dentures at this age?\I told them anything and everything, didn't I...\I'm sorry, Shunsuke...\Dammit!\Hello?\You are the one who gathered all the psychics in this country, yes?\This guy isn't Japanese..?\If so, what? response:	I had Kumagami tell me who the strongest psychic in this country was.
context: I told them anything and everything, didn't I...\I'm sorry, Shunsuke...\Dammit!\Hello?\You are the one who gathered all the psychics in this country, yes?\This guy isn't Japanese..?\If so, what?\I had Kumagami tell me who the strongest psychic in this country was. response:	Kumagami did? That means he's the victim of an overseas terrorist...
context: I'm sorry, Shunsuke...\Dammit!\Hello?\You are the one who gathered all the psychics in this country, yes?\This guy isn't Japanese..?\If so, what?\I had Kumagami tell me who the strongest psychic in this country was.\Kumagami did? That means he's the victim of an overseas terrorist... response:	What about Kumagami?
context: Dammit!\Hello?\You are the one who gathered all the psychics in this country, yes?\This guy isn't Japanese..?\If so, what?\I had Kumagami tell me who the strongest psychic in this country was.\Kumagami did? That means he's the victim of an overseas terrorist...\What about Kumagami? response:	His life is not in danger. However, he has no nails nor teeth now.
context: Hello?\You are the one who gathered all the psychics in this country, yes?\This guy isn't Japanese..?\If so, what?\I had Kumagami tell me who the strongest psychic in this country was.\Kumagami did? That means he's the victim of an overseas terrorist...\What about Kumagami?\His life is not in danger. However, he has no nails nor teeth now. response:	What the hell...
context: You are the one who gathered all the psychics in this country, yes?\This guy isn't Japanese..?\If so, what?\I had Kumagami tell me who the strongest psychic in this country was.\Kumagami did? That means he's the victim of an overseas terrorist...\What about Kumagami?\His life is not in danger. However, he has no nails nor teeth now.\What the hell... response:	What do you want?
context: This guy isn't Japanese..?\If so, what?\I had Kumagami tell me who the strongest psychic in this country was.\Kumagami did? That means he's the victim of an overseas terrorist...\What about Kumagami?\His life is not in danger. However, he has no nails nor teeth now.\What the hell...\What do you want? response:	We would like to have Yu Otosaka.
context: If so, what?\I had Kumagami tell me who the strongest psychic in this country was.\Kumagami did? That means he's the victim of an overseas terrorist...\What about Kumagami?\His life is not in danger. However, he has no nails nor teeth now.\What the hell...\What do you want?\We would like to have Yu Otosaka. response:	That'll never happen!
context: I had Kumagami tell me who the strongest psychic in this country was.\Kumagami did? That means he's the victim of an overseas terrorist...\What about Kumagami?\His life is not in danger. However, he has no nails nor teeth now.\What the hell...\What do you want?\We would like to have Yu Otosaka.\That'll never happen! response:	We have kidnapped a psychic by the name of Nao Tomori.
context: Kumagami did? That means he's the victim of an overseas terrorist...\What about Kumagami?\His life is not in danger. However, he has no nails nor teeth now.\What the hell...\What do you want?\We would like to have Yu Otosaka.\That'll never happen!\We have kidnapped a psychic by the name of Nao Tomori. response:	We would like him in return for both Tomori and Kumagami.
context: What about Kumagami?\His life is not in danger. However, he has no nails nor teeth now.\What the hell...\What do you want?\We would like to have Yu Otosaka.\That'll never happen!\We have kidnapped a psychic by the name of Nao Tomori.\We would like him in return for both Tomori and Kumagami. response:	Where at?
context: His life is not in danger. However, he has no nails nor teeth now.\What the hell...\What do you want?\We would like to have Yu Otosaka.\That'll never happen!\We have kidnapped a psychic by the name of Nao Tomori.\We would like him in return for both Tomori and Kumagami.\Where at? response:	Furuki will take you there.
context: What the hell...\What do you want?\We would like to have Yu Otosaka.\That'll never happen!\We have kidnapped a psychic by the name of Nao Tomori.\We would like him in return for both Tomori and Kumagami.\Where at?\Furuki will take you there. response:	Furuki will?
context: What do you want?\We would like to have Yu Otosaka.\That'll never happen!\We have kidnapped a psychic by the name of Nao Tomori.\We would like him in return for both Tomori and Kumagami.\Where at?\Furuki will take you there.\Furuki will? response:	I would like Yu Otosaka to come by himself.
context: We would like to have Yu Otosaka.\That'll never happen!\We have kidnapped a psychic by the name of Nao Tomori.\We would like him in return for both Tomori and Kumagami.\Where at?\Furuki will take you there.\Furuki will?\I would like Yu Otosaka to come by himself. response:	I have heard about you all from Furuki and Kumagami.
context: That'll never happen!\We have kidnapped a psychic by the name of Nao Tomori.\We would like him in return for both Tomori and Kumagami.\Where at?\Furuki will take you there.\Furuki will?\I would like Yu Otosaka to come by himself.\I have heard about you all from Furuki and Kumagami. response:	This operation has been planned from quite a while back.
context: We have kidnapped a psychic by the name of Nao Tomori.\We would like him in return for both Tomori and Kumagami.\Where at?\Furuki will take you there.\Furuki will?\I would like Yu Otosaka to come by himself.\I have heard about you all from Furuki and Kumagami.\This operation has been planned from quite a while back. response:	If the plans diverge,
context: We would like him in return for both Tomori and Kumagami.\Where at?\Furuki will take you there.\Furuki will?\I would like Yu Otosaka to come by himself.\I have heard about you all from Furuki and Kumagami.\This operation has been planned from quite a while back.\If the plans diverge, response:	we will assume you traveled to the past to change destinies,
context: Where at?\Furuki will take you there.\Furuki will?\I would like Yu Otosaka to come by himself.\I have heard about you all from Furuki and Kumagami.\This operation has been planned from quite a while back.\If the plans diverge,\we will assume you traveled to the past to change destinies, response:	and kill off Furuki's family. See you.
context: Furuki will take you there.\Furuki will?\I would like Yu Otosaka to come by himself.\I have heard about you all from Furuki and Kumagami.\This operation has been planned from quite a while back.\If the plans diverge,\we will assume you traveled to the past to change destinies,\and kill off Furuki's family. See you. response:	That far...
context: Furuki will?\I would like Yu Otosaka to come by himself.\I have heard about you all from Furuki and Kumagami.\This operation has been planned from quite a while back.\If the plans diverge,\we will assume you traveled to the past to change destinies,\and kill off Furuki's family. See you.\That far... response:	Phone call, Furuki.
context: I would like Yu Otosaka to come by himself.\I have heard about you all from Furuki and Kumagami.\This operation has been planned from quite a while back.\If the plans diverge,\we will assume you traveled to the past to change destinies,\and kill off Furuki's family. See you.\That far...\Phone call, Furuki. response:	It's you, Otosaka...
context: I have heard about you all from Furuki and Kumagami.\This operation has been planned from quite a while back.\If the plans diverge,\we will assume you traveled to the past to change destinies,\and kill off Furuki's family. See you.\That far...\Phone call, Furuki.\It's you, Otosaka... response:	Furuki... are you all right?
context: This operation has been planned from quite a while back.\If the plans diverge,\we will assume you traveled to the past to change destinies,\and kill off Furuki's family. See you.\That far...\Phone call, Furuki.\It's you, Otosaka...\Furuki... are you all right? response:	They threatened me... I'm sorry.
context: If the plans diverge,\we will assume you traveled to the past to change destinies,\and kill off Furuki's family. See you.\That far...\Phone call, Furuki.\It's you, Otosaka...\Furuki... are you all right?\They threatened me... I'm sorry. response:	Just as I thought.
