context: A dream? response:	It's this dream again.
context: Let's go outside.\What do you want to play?\Dodge ball! Volleyball!\Soccer!\Then, we'll play dodge ball.\Everyone, let's go outside.\Yay!\Something really pretty is coming down. response:	And it'll accumulate a lot.
context: What do you want to play?\Dodge ball! Volleyball!\Soccer!\Then, we'll play dodge ball.\Everyone, let's go outside.\Yay!\Something really pretty is coming down.\And it'll accumulate a lot. response:	Cherry blossom?
context: Dodge ball! Volleyball!\Soccer!\Then, we'll play dodge ball.\Everyone, let's go outside.\Yay!\Something really pretty is coming down.\And it'll accumulate a lot.\Cherry blossom? response:	Snow?
context: Soccer!\Then, we'll play dodge ball.\Everyone, let's go outside.\Yay!\Something really pretty is coming down.\And it'll accumulate a lot.\Cherry blossom?\Snow? response:	It's a little late,
context: Then, we'll play dodge ball.\Everyone, let's go outside.\Yay!\Something really pretty is coming down.\And it'll accumulate a lot.\Cherry blossom?\Snow?\It's a little late, response:	but' For your birthday
context: Everyone, let's go outside.\Yay!\Something really pretty is coming down.\And it'll accumulate a lot.\Cherry blossom?\Snow?\It's a little late,\but' For your birthday response:	and having become a 5th-grader.
context: Yay!\Something really pretty is coming down.\And it'll accumulate a lot.\Cherry blossom?\Snow?\It's a little late,\but' For your birthday\and having become a 5th-grader. response:	Yukito-san! Yukito-san!
context: Something really pretty is coming down.\And it'll accumulate a lot.\Cherry blossom?\Snow?\It's a little late,\but' For your birthday\and having become a 5th-grader.\Yukito-san! Yukito-san! response:	I brought some potato chips.
context: And it'll accumulate a lot.\Cherry blossom?\Snow?\It's a little late,\but' For your birthday\and having become a 5th-grader.\Yukito-san! Yukito-san!\I brought some potato chips. response:	I wonder'
context: Cherry blossom?\Snow?\It's a little late,\but' For your birthday\and having become a 5th-grader.\Yukito-san! Yukito-san!\I brought some potato chips.\I wonder' response:	It's spring already, and it still snows.
context: Snow?\It's a little late,\but' For your birthday\and having become a 5th-grader.\Yukito-san! Yukito-san!\I brought some potato chips.\I wonder'\It's spring already, and it still snows. response:	Sakura, do you want some chips?
context: It's a little late,\but' For your birthday\and having become a 5th-grader.\Yukito-san! Yukito-san!\I brought some potato chips.\I wonder'\It's spring already, and it still snows.\Sakura, do you want some chips? response:	I got a watch from Yukito-san!
context: but' For your birthday\and having become a 5th-grader.\Yukito-san! Yukito-san!\I brought some potato chips.\I wonder'\It's spring already, and it still snows.\Sakura, do you want some chips?\I got a watch from Yukito-san! response:	I got a watch from Yukito-san!
context: and having become a 5th-grader.\Yukito-san! Yukito-san!\I brought some potato chips.\I wonder'\It's spring already, and it still snows.\Sakura, do you want some chips?\I got a watch from Yukito-san!\I got a watch from Yukito-san! response:	Hey, are you listening?
context: Yukito-san! Yukito-san!\I brought some potato chips.\I wonder'\It's spring already, and it still snows.\Sakura, do you want some chips?\I got a watch from Yukito-san!\I got a watch from Yukito-san!\Hey, are you listening? response:	Guess I'll eat it all
context: I brought some potato chips.\I wonder'\It's spring already, and it still snows.\Sakura, do you want some chips?\I got a watch from Yukito-san!\I got a watch from Yukito-san!\Hey, are you listening?\Guess I'll eat it all response:	while you're in schweeet mode.
context: I wonder'\It's spring already, and it still snows.\Sakura, do you want some chips?\I got a watch from Yukito-san!\I got a watch from Yukito-san!\Hey, are you listening?\Guess I'll eat it all\while you're in schweeet mode. response:	I'm so happy.
context: It's spring already, and it still snows.\Sakura, do you want some chips?\I got a watch from Yukito-san!\I got a watch from Yukito-san!\Hey, are you listening?\Guess I'll eat it all\while you're in schweeet mode.\I'm so happy. response:	You're happy, but I guess you don't forget your chips either.
context: Sakura, do you want some chips?\I got a watch from Yukito-san!\I got a watch from Yukito-san!\Hey, are you listening?\Guess I'll eat it all\while you're in schweeet mode.\I'm so happy.\You're happy, but I guess you don't forget your chips either. response:	Anyway, the new class teacher
context: I got a watch from Yukito-san!\I got a watch from Yukito-san!\Hey, are you listening?\Guess I'll eat it all\while you're in schweeet mode.\I'm so happy.\You're happy, but I guess you don't forget your chips either.\Anyway, the new class teacher response:	is that mysterious one?
context: I got a watch from Yukito-san!\Hey, are you listening?\Guess I'll eat it all\while you're in schweeet mode.\I'm so happy.\You're happy, but I guess you don't forget your chips either.\Anyway, the new class teacher\is that mysterious one? response:	I'm sure I could sense special powers in her.
context: Hey, are you listening?\Guess I'll eat it all\while you're in schweeet mode.\I'm so happy.\You're happy, but I guess you don't forget your chips either.\Anyway, the new class teacher\is that mysterious one?\I'm sure I could sense special powers in her. response:	It feels like she has something
context: Guess I'll eat it all\while you're in schweeet mode.\I'm so happy.\You're happy, but I guess you don't forget your chips either.\Anyway, the new class teacher\is that mysterious one?\I'm sure I could sense special powers in her.\It feels like she has something response:	real powerful around her.
context: while you're in schweeet mode.\I'm so happy.\You're happy, but I guess you don't forget your chips either.\Anyway, the new class teacher\is that mysterious one?\I'm sure I could sense special powers in her.\It feels like she has something\real powerful around her. response:	Maybe because of that,
context: I'm so happy.\You're happy, but I guess you don't forget your chips either.\Anyway, the new class teacher\is that mysterious one?\I'm sure I could sense special powers in her.\It feels like she has something\real powerful around her.\Maybe because of that, response:	she could sense the cards.
context: You're happy, but I guess you don't forget your chips either.\Anyway, the new class teacher\is that mysterious one?\I'm sure I could sense special powers in her.\It feels like she has something\real powerful around her.\Maybe because of that,\she could sense the cards. response:	Something really pretty is coming down,
context: Anyway, the new class teacher\is that mysterious one?\I'm sure I could sense special powers in her.\It feels like she has something\real powerful around her.\Maybe because of that,\she could sense the cards.\Something really pretty is coming down, response:	and it'll accumulate a lot.
context: is that mysterious one?\I'm sure I could sense special powers in her.\It feels like she has something\real powerful around her.\Maybe because of that,\she could sense the cards.\Something really pretty is coming down,\and it'll accumulate a lot. response:	Is snow in spring going to accumulate that much?
context: I'm sure I could sense special powers in her.\It feels like she has something\real powerful around her.\Maybe because of that,\she could sense the cards.\Something really pretty is coming down,\and it'll accumulate a lot.\Is snow in spring going to accumulate that much? response:	What's wrong?
context: It feels like she has something\real powerful around her.\Maybe because of that,\she could sense the cards.\Something really pretty is coming down,\and it'll accumulate a lot.\Is snow in spring going to accumulate that much?\What's wrong? response:	It's nothing.
context: real powerful around her.\Maybe because of that,\she could sense the cards.\Something really pretty is coming down,\and it'll accumulate a lot.\Is snow in spring going to accumulate that much?\What's wrong?\It's nothing. response:	Oh, it's about time to get ready for dinner.
context: Maybe because of that,\she could sense the cards.\Something really pretty is coming down,\and it'll accumulate a lot.\Is snow in spring going to accumulate that much?\What's wrong?\It's nothing.\Oh, it's about time to get ready for dinner. response:	What is it for today?
context: she could sense the cards.\Something really pretty is coming down,\and it'll accumulate a lot.\Is snow in spring going to accumulate that much?\What's wrong?\It's nothing.\Oh, it's about time to get ready for dinner.\What is it for today? response:	It's cold today, so we'll have stew.
context: Something really pretty is coming down,\and it'll accumulate a lot.\Is snow in spring going to accumulate that much?\What's wrong?\It's nothing.\Oh, it's about time to get ready for dinner.\What is it for today?\It's cold today, so we'll have stew. response:	All right!!
context: and it'll accumulate a lot.\Is snow in spring going to accumulate that much?\What's wrong?\It's nothing.\Oh, it's about time to get ready for dinner.\What is it for today?\It's cold today, so we'll have stew.\All right!! response:	I'm back!
context: Is snow in spring going to accumulate that much?\What's wrong?\It's nothing.\Oh, it's about time to get ready for dinner.\What is it for today?\It's cold today, so we'll have stew.\All right!!\I'm back! response:	Oh, it's Onii-chan.
context: What's wrong?\It's nothing.\Oh, it's about time to get ready for dinner.\What is it for today?\It's cold today, so we'll have stew.\All right!!\I'm back!\Oh, it's Onii-chan. response:	Hey, Sakura!
context: It's nothing.\Oh, it's about time to get ready for dinner.\What is it for today?\It's cold today, so we'll have stew.\All right!!\I'm back!\Oh, it's Onii-chan.\Hey, Sakura! response:	What is it?
context: Oh, it's about time to get ready for dinner.\What is it for today?\It's cold today, so we'll have stew.\All right!!\I'm back!\Oh, it's Onii-chan.\Hey, Sakura!\What is it? response:	Hey, get me a towel!
context: What is it for today?\It's cold today, so we'll have stew.\All right!!\I'm back!\Oh, it's Onii-chan.\Hey, Sakura!\What is it?\Hey, get me a towel! response:	A towel?
context: It's cold today, so we'll have stew.\All right!!\I'm back!\Oh, it's Onii-chan.\Hey, Sakura!\What is it?\Hey, get me a towel!\A towel? response:	Why?
context: All right!!\I'm back!\Oh, it's Onii-chan.\Hey, Sakura!\What is it?\Hey, get me a towel!\A towel?\Why? response:	So much snow!
context: I'm back!\Oh, it's Onii-chan.\Hey, Sakura!\What is it?\Hey, get me a towel!\A towel?\Why?\So much snow! response:	It was really bad.
context: Oh, it's Onii-chan.\Hey, Sakura!\What is it?\Hey, get me a towel!\A towel?\Why?\So much snow!\It was really bad. response:	I couldn't ride my bike at all.
context: Hey, Sakura!\What is it?\Hey, get me a towel!\A towel?\Why?\So much snow!\It was really bad.\I couldn't ride my bike at all. response:	It accumulated that much?
context: What is it?\Hey, get me a towel!\A towel?\Why?\So much snow!\It was really bad.\I couldn't ride my bike at all.\It accumulated that much? response:	Yeah, almost meter.
context: Hey, get me a towel!\A towel?\Why?\So much snow!\It was really bad.\I couldn't ride my bike at all.\It accumulated that much?\Yeah, almost meter. response:	Yes, it is almost like we are surrounded by walls of snow.
context: A towel?\Why?\So much snow!\It was really bad.\I couldn't ride my bike at all.\It accumulated that much?\Yeah, almost meter.\Yes, it is almost like we are surrounded by walls of snow. response:	It's totally white around here as well.
context: Why?\So much snow!\It was really bad.\I couldn't ride my bike at all.\It accumulated that much?\Yeah, almost meter.\Yes, it is almost like we are surrounded by walls of snow.\It's totally white around here as well. response:	This is strange for April.
context: So much snow!\It was really bad.\I couldn't ride my bike at all.\It accumulated that much?\Yeah, almost meter.\Yes, it is almost like we are surrounded by walls of snow.\It's totally white around here as well.\This is strange for April. response:	I wonder'
context: It was really bad.\I couldn't ride my bike at all.\It accumulated that much?\Yeah, almost meter.\Yes, it is almost like we are surrounded by walls of snow.\It's totally white around here as well.\This is strange for April.\I wonder' response:	Could this be'
context: I couldn't ride my bike at all.\It accumulated that much?\Yeah, almost meter.\Yes, it is almost like we are surrounded by walls of snow.\It's totally white around here as well.\This is strange for April.\I wonder'\Could this be' response:	It's the act of a Clow Card!
context: It accumulated that much?\Yeah, almost meter.\Yes, it is almost like we are surrounded by walls of snow.\It's totally white around here as well.\This is strange for April.\I wonder'\Could this be'\It's the act of a Clow Card! response:	Then, the Card Captor will be in action, right?
context: Yeah, almost meter.\Yes, it is almost like we are surrounded by walls of snow.\It's totally white around here as well.\This is strange for April.\I wonder'\Could this be'\It's the act of a Clow Card!\Then, the Card Captor will be in action, right? response:	This time, I have a costume just right for you.
context: Yes, it is almost like we are surrounded by walls of snow.\It's totally white around here as well.\This is strange for April.\I wonder'\Could this be'\It's the act of a Clow Card!\Then, the Card Captor will be in action, right?\This time, I have a costume just right for you. response:	I am looking forward to film you in it!
context: It's totally white around here as well.\This is strange for April.\I wonder'\Could this be'\It's the act of a Clow Card!\Then, the Card Captor will be in action, right?\This time, I have a costume just right for you.\I am looking forward to film you in it! response:	There is snow on everything.
context: This is strange for April.\I wonder'\Could this be'\It's the act of a Clow Card!\Then, the Card Captor will be in action, right?\This time, I have a costume just right for you.\I am looking forward to film you in it!\There is snow on everything. response:	Everything besides the roof is all buried.
context: I wonder'\Could this be'\It's the act of a Clow Card!\Then, the Card Captor will be in action, right?\This time, I have a costume just right for you.\I am looking forward to film you in it!\There is snow on everything.\Everything besides the roof is all buried. response:	With the snow this widespread,
context: Could this be'\It's the act of a Clow Card!\Then, the Card Captor will be in action, right?\This time, I have a costume just right for you.\I am looking forward to film you in it!\There is snow on everything.\Everything besides the roof is all buried.\With the snow this widespread, response:	I can't sense anything this high up.
context: It's the act of a Clow Card!\Then, the Card Captor will be in action, right?\This time, I have a costume just right for you.\I am looking forward to film you in it!\There is snow on everything.\Everything besides the roof is all buried.\With the snow this widespread,\I can't sense anything this high up. response:	Let's get down.
context: Then, the Card Captor will be in action, right?\This time, I have a costume just right for you.\I am looking forward to film you in it!\There is snow on everything.\Everything besides the roof is all buried.\With the snow this widespread,\I can't sense anything this high up.\Let's get down. response:	Sakura-chan!
context: This time, I have a costume just right for you.\I am looking forward to film you in it!\There is snow on everything.\Everything besides the roof is all buried.\With the snow this widespread,\I can't sense anything this high up.\Let's get down.\Sakura-chan! response:	Sakura!
context: I am looking forward to film you in it!\There is snow on everything.\Everything besides the roof is all buried.\With the snow this widespread,\I can't sense anything this high up.\Let's get down.\Sakura-chan!\Sakura! response:	Help!
context: There is snow on everything.\Everything besides the roof is all buried.\With the snow this widespread,\I can't sense anything this high up.\Let's get down.\Sakura-chan!\Sakura!\Help! response:	I guess I'll help you.
context: Everything besides the roof is all buried.\With the snow this widespread,\I can't sense anything this high up.\Let's get down.\Sakura-chan!\Sakura!\Help!\I guess I'll help you. response:	This is the act of Snow.
context: With the snow this widespread,\I can't sense anything this high up.\Let's get down.\Sakura-chan!\Sakura!\Help!\I guess I'll help you.\This is the act of Snow. response:	Li-kun! Mei Lin-chan!
context: I can't sense anything this high up.\Let's get down.\Sakura-chan!\Sakura!\Help!\I guess I'll help you.\This is the act of Snow.\Li-kun! Mei Lin-chan! response:	How come you guys are standing on top of the snow?
context: Let's get down.\Sakura-chan!\Sakura!\Help!\I guess I'll help you.\This is the act of Snow.\Li-kun! Mei Lin-chan!\How come you guys are standing on top of the snow? response:	Thanks to Shao Lan's magic.
context: Sakura-chan!\Sakura!\Help!\I guess I'll help you.\This is the act of Snow.\Li-kun! Mei Lin-chan!\How come you guys are standing on top of the snow?\Thanks to Shao Lan's magic. response:	You can use your Float card, you know.
context: Sakura!\Help!\I guess I'll help you.\This is the act of Snow.\Li-kun! Mei Lin-chan!\How come you guys are standing on top of the snow?\Thanks to Shao Lan's magic.\You can use your Float card, you know. response:	Oh, that's right.
context: Help!\I guess I'll help you.\This is the act of Snow.\Li-kun! Mei Lin-chan!\How come you guys are standing on top of the snow?\Thanks to Shao Lan's magic.\You can use your Float card, you know.\Oh, that's right. response:	Brat! Even if you didn't mention it, I was just gonna'
context: I guess I'll help you.\This is the act of Snow.\Li-kun! Mei Lin-chan!\How come you guys are standing on top of the snow?\Thanks to Shao Lan's magic.\You can use your Float card, you know.\Oh, that's right.\Brat! Even if you didn't mention it, I was just gonna' response:	Snow It's the card of the snow.
context: This is the act of Snow.\Li-kun! Mei Lin-chan!\How come you guys are standing on top of the snow?\Thanks to Shao Lan's magic.\You can use your Float card, you know.\Oh, that's right.\Brat! Even if you didn't mention it, I was just gonna'\Snow It's the card of the snow. response:	Yeah. But I couldn't sense anything at all
context: Li-kun! Mei Lin-chan!\How come you guys are standing on top of the snow?\Thanks to Shao Lan's magic.\You can use your Float card, you know.\Oh, that's right.\Brat! Even if you didn't mention it, I was just gonna'\Snow It's the card of the snow.\Yeah. But I couldn't sense anything at all response:	Even though it is so near.
context: How come you guys are standing on top of the snow?\Thanks to Shao Lan's magic.\You can use your Float card, you know.\Oh, that's right.\Brat! Even if you didn't mention it, I was just gonna'\Snow It's the card of the snow.\Yeah. But I couldn't sense anything at all\Even though it is so near. response:	Me neither.
context: Thanks to Shao Lan's magic.\You can use your Float card, you know.\Oh, that's right.\Brat! Even if you didn't mention it, I was just gonna'\Snow It's the card of the snow.\Yeah. But I couldn't sense anything at all\Even though it is so near.\Me neither. response:	Oh, but Mizuki-sensei said
context: You can use your Float card, you know.\Oh, that's right.\Brat! Even if you didn't mention it, I was just gonna'\Snow It's the card of the snow.\Yeah. But I couldn't sense anything at all\Even though it is so near.\Me neither.\Oh, but Mizuki-sensei said response:	something really pretty will come down, and'
context: Oh, that's right.\Brat! Even if you didn't mention it, I was just gonna'\Snow It's the card of the snow.\Yeah. But I couldn't sense anything at all\Even though it is so near.\Me neither.\Oh, but Mizuki-sensei said\something really pretty will come down, and' response:	She seems to know
context: Brat! Even if you didn't mention it, I was just gonna'\Snow It's the card of the snow.\Yeah. But I couldn't sense anything at all\Even though it is so near.\Me neither.\Oh, but Mizuki-sensei said\something really pretty will come down, and'\She seems to know response:	it's going to accumulate this much.
context: Snow It's the card of the snow.\Yeah. But I couldn't sense anything at all\Even though it is so near.\Me neither.\Oh, but Mizuki-sensei said\something really pretty will come down, and'\She seems to know\it's going to accumulate this much. response:	You're saying she knows from the start
context: Yeah. But I couldn't sense anything at all\Even though it is so near.\Me neither.\Oh, but Mizuki-sensei said\something really pretty will come down, and'\She seems to know\it's going to accumulate this much.\You're saying she knows from the start response:	this is because of a Clow Card?
context: Even though it is so near.\Me neither.\Oh, but Mizuki-sensei said\something really pretty will come down, and'\She seems to know\it's going to accumulate this much.\You're saying she knows from the start\this is because of a Clow Card? response:	I couldn't quite tell'
context: Me neither.\Oh, but Mizuki-sensei said\something really pretty will come down, and'\She seems to know\it's going to accumulate this much.\You're saying she knows from the start\this is because of a Clow Card?\I couldn't quite tell' response:	After all, that teacher isn't just anyone.
context: Oh, but Mizuki-sensei said\something really pretty will come down, and'\She seems to know\it's going to accumulate this much.\You're saying she knows from the start\this is because of a Clow Card?\I couldn't quite tell'\After all, that teacher isn't just anyone. response:	But Mizuki-sensei
context: something really pretty will come down, and'\She seems to know\it's going to accumulate this much.\You're saying she knows from the start\this is because of a Clow Card?\I couldn't quite tell'\After all, that teacher isn't just anyone.\But Mizuki-sensei response:	is kind and pretty.
context: She seems to know\it's going to accumulate this much.\You're saying she knows from the start\this is because of a Clow Card?\I couldn't quite tell'\After all, that teacher isn't just anyone.\But Mizuki-sensei\is kind and pretty. response:	And she makes me feel schweeet.
context: it's going to accumulate this much.\You're saying she knows from the start\this is because of a Clow Card?\I couldn't quite tell'\After all, that teacher isn't just anyone.\But Mizuki-sensei\is kind and pretty.\And she makes me feel schweeet. response:	It's coming down again!
context: You're saying she knows from the start\this is because of a Clow Card?\I couldn't quite tell'\After all, that teacher isn't just anyone.\But Mizuki-sensei\is kind and pretty.\And she makes me feel schweeet.\It's coming down again! response:	Tomoyo-chan! Mei Lin-chan!
context: this is because of a Clow Card?\I couldn't quite tell'\After all, that teacher isn't just anyone.\But Mizuki-sensei\is kind and pretty.\And she makes me feel schweeet.\It's coming down again!\Tomoyo-chan! Mei Lin-chan! response:	At this rate' At this rate'
context: I couldn't quite tell'\After all, that teacher isn't just anyone.\But Mizuki-sensei\is kind and pretty.\And she makes me feel schweeet.\It's coming down again!\Tomoyo-chan! Mei Lin-chan!\At this rate' At this rate' response:	I cannot shoot your video!
context: After all, that teacher isn't just anyone.\But Mizuki-sensei\is kind and pretty.\And she makes me feel schweeet.\It's coming down again!\Tomoyo-chan! Mei Lin-chan!\At this rate' At this rate'\I cannot shoot your video! response:	This way!
context: But Mizuki-sensei\is kind and pretty.\And she makes me feel schweeet.\It's coming down again!\Tomoyo-chan! Mei Lin-chan!\At this rate' At this rate'\I cannot shoot your video!\This way! response:	It's after us!
context: is kind and pretty.\And she makes me feel schweeet.\It's coming down again!\Tomoyo-chan! Mei Lin-chan!\At this rate' At this rate'\I cannot shoot your video!\This way!\It's after us! response:	This snow contains magical power!
context: And she makes me feel schweeet.\It's coming down again!\Tomoyo-chan! Mei Lin-chan!\At this rate' At this rate'\I cannot shoot your video!\This way!\It's after us!\This snow contains magical power! response:	Let's move away from them!
context: It's coming down again!\Tomoyo-chan! Mei Lin-chan!\At this rate' At this rate'\I cannot shoot your video!\This way!\It's after us!\This snow contains magical power!\Let's move away from them! response:	Fly!
context: Tomoyo-chan! Mei Lin-chan!\At this rate' At this rate'\I cannot shoot your video!\This way!\It's after us!\This snow contains magical power!\Let's move away from them!\Fly! response:	Get on!
context: At this rate' At this rate'\I cannot shoot your video!\This way!\It's after us!\This snow contains magical power!\Let's move away from them!\Fly!\Get on! response:	Hurry!
context: I cannot shoot your video!\This way!\It's after us!\This snow contains magical power!\Let's move away from them!\Fly!\Get on!\Hurry! response:	Shao Lan! Good luck!
context: This way!\It's after us!\This snow contains magical power!\Let's move away from them!\Fly!\Get on!\Hurry!\Shao Lan! Good luck! response:	It's gonna catch up to us!
context: It's after us!\This snow contains magical power!\Let's move away from them!\Fly!\Get on!\Hurry!\Shao Lan! Good luck!\It's gonna catch up to us! response:	At this rate,
context: This snow contains magical power!\Let's move away from them!\Fly!\Get on!\Hurry!\Shao Lan! Good luck!\It's gonna catch up to us!\At this rate, response:	the whole town's really gonna get buried by the snow.
context: Let's move away from them!\Fly!\Get on!\Hurry!\Shao Lan! Good luck!\It's gonna catch up to us!\At this rate,\the whole town's really gonna get buried by the snow. response:	We can't just run away from it!
context: Fly!\Get on!\Hurry!\Shao Lan! Good luck!\It's gonna catch up to us!\At this rate,\the whole town's really gonna get buried by the snow.\We can't just run away from it! response:	Bu' But!
context: Get on!\Hurry!\Shao Lan! Good luck!\It's gonna catch up to us!\At this rate,\the whole town's really gonna get buried by the snow.\We can't just run away from it!\Bu' But! response:	God of Fire, come forth!
context: Hurry!\Shao Lan! Good luck!\It's gonna catch up to us!\At this rate,\the whole town's really gonna get buried by the snow.\We can't just run away from it!\Bu' But!\God of Fire, come forth! response:	You did it!
context: Shao Lan! Good luck!\It's gonna catch up to us!\At this rate,\the whole town's really gonna get buried by the snow.\We can't just run away from it!\Bu' But!\God of Fire, come forth!\You did it! response:	Not yet.
context: It's gonna catch up to us!\At this rate,\the whole town's really gonna get buried by the snow.\We can't just run away from it!\Bu' But!\God of Fire, come forth!\You did it!\Not yet. response:	This is bad, if we can't use stronger fire.
context: At this rate,\the whole town's really gonna get buried by the snow.\We can't just run away from it!\Bu' But!\God of Fire, come forth!\You did it!\Not yet.\This is bad, if we can't use stronger fire. response:	It's coming again!
context: the whole town's really gonna get buried by the snow.\We can't just run away from it!\Bu' But!\God of Fire, come forth!\You did it!\Not yet.\This is bad, if we can't use stronger fire.\It's coming again! response:	Damn! It's so persistent!
context: We can't just run away from it!\Bu' But!\God of Fire, come forth!\You did it!\Not yet.\This is bad, if we can't use stronger fire.\It's coming again!\Damn! It's so persistent! response:	What should we do?
context: Bu' But!\God of Fire, come forth!\You did it!\Not yet.\This is bad, if we can't use stronger fire.\It's coming again!\Damn! It's so persistent!\What should we do? response:	All right. One more time.
context: God of Fire, come forth!\You did it!\Not yet.\This is bad, if we can't use stronger fire.\It's coming again!\Damn! It's so persistent!\What should we do?\All right. One more time. response:	What's wrong?
context: You did it!\Not yet.\This is bad, if we can't use stronger fire.\It's coming again!\Damn! It's so persistent!\What should we do?\All right. One more time.\What's wrong? response:	What is it?
context: Not yet.\This is bad, if we can't use stronger fire.\It's coming again!\Damn! It's so persistent!\What should we do?\All right. One more time.\What's wrong?\What is it? response:	The watch is gone!
context: This is bad, if we can't use stronger fire.\It's coming again!\Damn! It's so persistent!\What should we do?\All right. One more time.\What's wrong?\What is it?\The watch is gone! response:	Your watch,
context: It's coming again!\Damn! It's so persistent!\What should we do?\All right. One more time.\What's wrong?\What is it?\The watch is gone!\Your watch, response:	you mean the one you got today?
context: Damn! It's so persistent!\What should we do?\All right. One more time.\What's wrong?\What is it?\The watch is gone!\Your watch,\you mean the one you got today? response:	The watch Yukito gave me was so precious to me'
context: What should we do?\All right. One more time.\What's wrong?\What is it?\The watch is gone!\Your watch,\you mean the one you got today?\The watch Yukito gave me was so precious to me' response:	He gave you something?!
context: All right. One more time.\What's wrong?\What is it?\The watch is gone!\Your watch,\you mean the one you got today?\The watch Yukito gave me was so precious to me'\He gave you something?! response:	How could they!
context: What's wrong?\What is it?\The watch is gone!\Your watch,\you mean the one you got today?\The watch Yukito gave me was so precious to me'\He gave you something?!\How could they! response:	Fire! Melt away all the snow!
context: What is it?\The watch is gone!\Your watch,\you mean the one you got today?\The watch Yukito gave me was so precious to me'\He gave you something?!\How could they!\Fire! Melt away all the snow! response:	Firey!
context: The watch is gone!\Your watch,\you mean the one you got today?\The watch Yukito gave me was so precious to me'\He gave you something?!\How could they!\Fire! Melt away all the snow!\Firey! response:	Incredible.
context: Your watch,\you mean the one you got today?\The watch Yukito gave me was so precious to me'\He gave you something?!\How could they!\Fire! Melt away all the snow!\Firey!\Incredible. response:	After all, girls are scary when they get mad.
context: you mean the one you got today?\The watch Yukito gave me was so precious to me'\He gave you something?!\How could they!\Fire! Melt away all the snow!\Firey!\Incredible.\After all, girls are scary when they get mad. response:	Sakura, that's the true form of Snow.
context: The watch Yukito gave me was so precious to me'\He gave you something?!\How could they!\Fire! Melt away all the snow!\Firey!\Incredible.\After all, girls are scary when they get mad.\Sakura, that's the true form of Snow. response:	Return to thy form which thou should be! Clow Card!
context: He gave you something?!\How could they!\Fire! Melt away all the snow!\Firey!\Incredible.\After all, girls are scary when they get mad.\Sakura, that's the true form of Snow.\Return to thy form which thou should be! Clow Card! response:	I lost my watch.
context: How could they!\Fire! Melt away all the snow!\Firey!\Incredible.\After all, girls are scary when they get mad.\Sakura, that's the true form of Snow.\Return to thy form which thou should be! Clow Card!\I lost my watch. response:	The watch he gave me was so precious to me'
context: Fire! Melt away all the snow!\Firey!\Incredible.\After all, girls are scary when they get mad.\Sakura, that's the true form of Snow.\Return to thy form which thou should be! Clow Card!\I lost my watch.\The watch he gave me was so precious to me' response:	He' Hey'
context: Firey!\Incredible.\After all, girls are scary when they get mad.\Sakura, that's the true form of Snow.\Return to thy form which thou should be! Clow Card!\I lost my watch.\The watch he gave me was so precious to me'\He' Hey' response:	The watch Yukito-san gave me'
context: Incredible.\After all, girls are scary when they get mad.\Sakura, that's the true form of Snow.\Return to thy form which thou should be! Clow Card!\I lost my watch.\The watch he gave me was so precious to me'\He' Hey'\The watch Yukito-san gave me' response:	Don' Don't cry.
context: After all, girls are scary when they get mad.\Sakura, that's the true form of Snow.\Return to thy form which thou should be! Clow Card!\I lost my watch.\The watch he gave me was so precious to me'\He' Hey'\The watch Yukito-san gave me'\Don' Don't cry. response:	In' In' In' In the meantime, I'll go check on Tomoyo and that girl.
context: Sakura, that's the true form of Snow.\Return to thy form which thou should be! Clow Card!\I lost my watch.\The watch he gave me was so precious to me'\He' Hey'\The watch Yukito-san gave me'\Don' Don't cry.\In' In' In' In the meantime, I'll go check on Tomoyo and that girl. response:	He' Hey!
context: Return to thy form which thou should be! Clow Card!\I lost my watch.\The watch he gave me was so precious to me'\He' Hey'\The watch Yukito-san gave me'\Don' Don't cry.\In' In' In' In the meantime, I'll go check on Tomoyo and that girl.\He' Hey! response:	Don't cry.
context: I lost my watch.\The watch he gave me was so precious to me'\He' Hey'\The watch Yukito-san gave me'\Don' Don't cry.\In' In' In' In the meantime, I'll go check on Tomoyo and that girl.\He' Hey!\Don't cry. response:	I'll look for it with you until we find it.
context: The watch he gave me was so precious to me'\He' Hey'\The watch Yukito-san gave me'\Don' Don't cry.\In' In' In' In the meantime, I'll go check on Tomoyo and that girl.\He' Hey!\Don't cry.\I'll look for it with you until we find it. response:	Thanks. You're so nice.
context: He' Hey'\The watch Yukito-san gave me'\Don' Don't cry.\In' In' In' In the meantime, I'll go check on Tomoyo and that girl.\He' Hey!\Don't cry.\I'll look for it with you until we find it.\Thanks. You're so nice. response:	Good evening.
context: The watch Yukito-san gave me'\Don' Don't cry.\In' In' In' In the meantime, I'll go check on Tomoyo and that girl.\He' Hey!\Don't cry.\I'll look for it with you until we find it.\Thanks. You're so nice.\Good evening. response:	Mizuki-sensei!
context: Don' Don't cry.\In' In' In' In the meantime, I'll go check on Tomoyo and that girl.\He' Hey!\Don't cry.\I'll look for it with you until we find it.\Thanks. You're so nice.\Good evening.\Mizuki-sensei! response:	Oh, that's a cute outfit.
context: In' In' In' In the meantime, I'll go check on Tomoyo and that girl.\He' Hey!\Don't cry.\I'll look for it with you until we find it.\Thanks. You're so nice.\Good evening.\Mizuki-sensei!\Oh, that's a cute outfit. response:	This is' um'
