context: Principal's Office response:	Teaching Staff Building
context: You guys were on fire.\I can understand why the students go crazy for you.\Before I realized it, I stopped to listen.\Thanks.\So, you don't have any memories?\Yeah.\Must be nice.\Are your memories also... response:	Someone else told you about their memories?
context: I can understand why the students go crazy for you.\Before I realized it, I stopped to listen.\Thanks.\So, you don't have any memories?\Yeah.\Must be nice.\Are your memories also...\Someone else told you about their memories? response:	Yeah, Yuri.
context: Before I realized it, I stopped to listen.\Thanks.\So, you don't have any memories?\Yeah.\Must be nice.\Are your memories also...\Someone else told you about their memories?\Yeah, Yuri. response:	Oh, Yuri...
context: Thanks.\So, you don't have any memories?\Yeah.\Must be nice.\Are your memories also...\Someone else told you about their memories?\Yeah, Yuri.\Oh, Yuri... response:	Hers are the worst.
context: So, you don't have any memories?\Yeah.\Must be nice.\Are your memories also...\Someone else told you about their memories?\Yeah, Yuri.\Oh, Yuri...\Hers are the worst. response:	Mine aren't that bad.
context: Yeah.\Must be nice.\Are your memories also...\Someone else told you about their memories?\Yeah, Yuri.\Oh, Yuri...\Hers are the worst.\Mine aren't that bad. response:	Not as bad?
context: Must be nice.\Are your memories also...\Someone else told you about their memories?\Yeah, Yuri.\Oh, Yuri...\Hers are the worst.\Mine aren't that bad.\Not as bad? response:	It's nothing much.
context: Are your memories also...\Someone else told you about their memories?\Yeah, Yuri.\Oh, Yuri...\Hers are the worst.\Mine aren't that bad.\Not as bad?\It's nothing much. response:	I couldn't sing the songs I wanted to, that's all.
context: Someone else told you about their memories?\Yeah, Yuri.\Oh, Yuri...\Hers are the worst.\Mine aren't that bad.\Not as bad?\It's nothing much.\I couldn't sing the songs I wanted to, that's all. response:	My parents were always fighting.
context: Yeah, Yuri.\Oh, Yuri...\Hers are the worst.\Mine aren't that bad.\Not as bad?\It's nothing much.\I couldn't sing the songs I wanted to, that's all.\My parents were always fighting. response:	I didn't have my own room,
context: Oh, Yuri...\Hers are the worst.\Mine aren't that bad.\Not as bad?\It's nothing much.\I couldn't sing the songs I wanted to, that's all.\My parents were always fighting.\I didn't have my own room, response:	so I just crouched in a corner with my hands over my ears.
context: Hers are the worst.\Mine aren't that bad.\Not as bad?\It's nothing much.\I couldn't sing the songs I wanted to, that's all.\My parents were always fighting.\I didn't have my own room,\so I just crouched in a corner with my hands over my ears. response:	My only escape was to hide in my own little world.
context: Mine aren't that bad.\Not as bad?\It's nothing much.\I couldn't sing the songs I wanted to, that's all.\My parents were always fighting.\I didn't have my own room,\so I just crouched in a corner with my hands over my ears.\My only escape was to hide in my own little world. response:	There was nowhere I could rest.
context: Not as bad?\It's nothing much.\I couldn't sing the songs I wanted to, that's all.\My parents were always fighting.\I didn't have my own room,\so I just crouched in a corner with my hands over my ears.\My only escape was to hide in my own little world.\There was nowhere I could rest. response:	That's when I discovered a band called Sad Machine.
context: It's nothing much.\I couldn't sing the songs I wanted to, that's all.\My parents were always fighting.\I didn't have my own room,\so I just crouched in a corner with my hands over my ears.\My only escape was to hide in my own little world.\There was nowhere I could rest.\That's when I discovered a band called Sad Machine. response:	The vocalist was in the same kind of unhappy situation as me.
context: I couldn't sing the songs I wanted to, that's all.\My parents were always fighting.\I didn't have my own room,\so I just crouched in a corner with my hands over my ears.\My only escape was to hide in my own little world.\There was nowhere I could rest.\That's when I discovered a band called Sad Machine.\The vocalist was in the same kind of unhappy situation as me. response:	I heard that when things were painful for her, she'd cover her ears with headphones and escape to the world of music.
context: My parents were always fighting.\I didn't have my own room,\so I just crouched in a corner with my hands over my ears.\My only escape was to hide in my own little world.\There was nowhere I could rest.\That's when I discovered a band called Sad Machine.\The vocalist was in the same kind of unhappy situation as me.\I heard that when things were painful for her, she'd cover her ears with headphones and escape to the world of music. response:	I tried it too.
context: I didn't have my own room,\so I just crouched in a corner with my hands over my ears.\My only escape was to hide in my own little world.\There was nowhere I could rest.\That's when I discovered a band called Sad Machine.\The vocalist was in the same kind of unhappy situation as me.\I heard that when things were painful for her, she'd cover her ears with headphones and escape to the world of music.\I tried it too. response:	It was like everything was blown away.
context: so I just crouched in a corner with my hands over my ears.\My only escape was to hide in my own little world.\There was nowhere I could rest.\That's when I discovered a band called Sad Machine.\The vocalist was in the same kind of unhappy situation as me.\I heard that when things were painful for her, she'd cover her ears with headphones and escape to the world of music.\I tried it too.\It was like everything was blown away. response:	The vocals screamed for me.
context: My only escape was to hide in my own little world.\There was nowhere I could rest.\That's when I discovered a band called Sad Machine.\The vocalist was in the same kind of unhappy situation as me.\I heard that when things were painful for her, she'd cover her ears with headphones and escape to the world of music.\I tried it too.\It was like everything was blown away.\The vocals screamed for me. response:	They grieved for me.
context: There was nowhere I could rest.\That's when I discovered a band called Sad Machine.\The vocalist was in the same kind of unhappy situation as me.\I heard that when things were painful for her, she'd cover her ears with headphones and escape to the world of music.\I tried it too.\It was like everything was blown away.\The vocals screamed for me.\They grieved for me. response:	The ones who put on the act of common sense were wrong.
context: That's when I discovered a band called Sad Machine.\The vocalist was in the same kind of unhappy situation as me.\I heard that when things were painful for her, she'd cover her ears with headphones and escape to the world of music.\I tried it too.\It was like everything was blown away.\The vocals screamed for me.\They grieved for me.\The ones who put on the act of common sense were wrong. response:	Those who cried were right.
context: The vocalist was in the same kind of unhappy situation as me.\I heard that when things were painful for her, she'd cover her ears with headphones and escape to the world of music.\I tried it too.\It was like everything was blown away.\The vocals screamed for me.\They grieved for me.\The ones who put on the act of common sense were wrong.\Those who cried were right. response:	We, the lonely, were more human.
context: I heard that when things were painful for her, she'd cover her ears with headphones and escape to the world of music.\I tried it too.\It was like everything was blown away.\The vocals screamed for me.\They grieved for me.\The ones who put on the act of common sense were wrong.\Those who cried were right.\We, the lonely, were more human. response:	They screamed at the absurd, beat it down, and destroyed it.
context: I tried it too.\It was like everything was blown away.\The vocals screamed for me.\They grieved for me.\The ones who put on the act of common sense were wrong.\Those who cried were right.\We, the lonely, were more human.\They screamed at the absurd, beat it down, and destroyed it. response:	They saved me.
context: It was like everything was blown away.\The vocals screamed for me.\They grieved for me.\The ones who put on the act of common sense were wrong.\Those who cried were right.\We, the lonely, were more human.\They screamed at the absurd, beat it down, and destroyed it.\They saved me. response:	I first met it one day abandoned in the rain.
context: The vocals screamed for me.\They grieved for me.\The ones who put on the act of common sense were wrong.\Those who cried were right.\We, the lonely, were more human.\They screamed at the absurd, beat it down, and destroyed it.\They saved me.\I first met it one day abandoned in the rain. response:	That's when I began singing.
context: They grieved for me.\The ones who put on the act of common sense were wrong.\Those who cried were right.\We, the lonely, were more human.\They screamed at the absurd, beat it down, and destroyed it.\They saved me.\I first met it one day abandoned in the rain.\That's when I began singing. response:	Even in such an empty life as mine, I had songs.
context: The ones who put on the act of common sense were wrong.\Those who cried were right.\We, the lonely, were more human.\They screamed at the absurd, beat it down, and destroyed it.\They saved me.\I first met it one day abandoned in the rain.\That's when I began singing.\Even in such an empty life as mine, I had songs. response:	Are you serious?
context: Those who cried were right.\We, the lonely, were more human.\They screamed at the absurd, beat it down, and destroyed it.\They saved me.\I first met it one day abandoned in the rain.\That's when I began singing.\Even in such an empty life as mine, I had songs.\Are you serious? response:	With your grades, you could go anywhere
context: We, the lonely, were more human.\They screamed at the absurd, beat it down, and destroyed it.\They saved me.\I first met it one day abandoned in the rain.\That's when I began singing.\Even in such an empty life as mine, I had songs.\Are you serious?\With your grades, you could go anywhere response:	I don't want to rely on my parents anymore.
context: They screamed at the absurd, beat it down, and destroyed it.\They saved me.\I first met it one day abandoned in the rain.\That's when I began singing.\Even in such an empty life as mine, I had songs.\Are you serious?\With your grades, you could go anywhere\I don't want to rely on my parents anymore. response:	I did part time jobs for a living,
context: They saved me.\I first met it one day abandoned in the rain.\That's when I began singing.\Even in such an empty life as mine, I had songs.\Are you serious?\With your grades, you could go anywhere\I don't want to rely on my parents anymore.\I did part time jobs for a living, response:	and kept auditioning at recording studios.
context: I first met it one day abandoned in the rain.\That's when I began singing.\Even in such an empty life as mine, I had songs.\Are you serious?\With your grades, you could go anywhere\I don't want to rely on my parents anymore.\I did part time jobs for a living,\and kept auditioning at recording studios. response:	I told myself I'd leave that house when I graduated.
context: That's when I began singing.\Even in such an empty life as mine, I had songs.\Are you serious?\With your grades, you could go anywhere\I don't want to rely on my parents anymore.\I did part time jobs for a living,\and kept auditioning at recording studios.\I told myself I'd leave that house when I graduated. response:	I'd go to the city, and then...
context: Even in such an empty life as mine, I had songs.\Are you serious?\With your grades, you could go anywhere\I don't want to rely on my parents anymore.\I did part time jobs for a living,\and kept auditioning at recording studios.\I told myself I'd leave that house when I graduated.\I'd go to the city, and then... response:	live by my music.
context: Are you serious?\With your grades, you could go anywhere\I don't want to rely on my parents anymore.\I did part time jobs for a living,\and kept auditioning at recording studios.\I told myself I'd leave that house when I graduated.\I'd go to the city, and then...\live by my music. response:	That's what I thought.
context: With your grades, you could go anywhere\I don't want to rely on my parents anymore.\I did part time jobs for a living,\and kept auditioning at recording studios.\I told myself I'd leave that house when I graduated.\I'd go to the city, and then...\live by my music.\That's what I thought. response:	Huh?
context: I don't want to rely on my parents anymore.\I did part time jobs for a living,\and kept auditioning at recording studios.\I told myself I'd leave that house when I graduated.\I'd go to the city, and then...\live by my music.\That's what I thought.\Huh? response:	Maybe I'm tired...
context: I did part time jobs for a living,\and kept auditioning at recording studios.\I told myself I'd leave that house when I graduated.\I'd go to the city, and then...\live by my music.\That's what I thought.\Huh?\Maybe I'm tired... response:	I can't play the guitar like this...
context: and kept auditioning at recording studios.\I told myself I'd leave that house when I graduated.\I'd go to the city, and then...\live by my music.\That's what I thought.\Huh?\Maybe I'm tired...\I can't play the guitar like this... response:	Maybe I should cancel the performance tonight and rest...
context: I told myself I'd leave that house when I graduated.\I'd go to the city, and then...\live by my music.\That's what I thought.\Huh?\Maybe I'm tired...\I can't play the guitar like this...\Maybe I should cancel the performance tonight and rest... response:	When I woke up, I was unable to speak.
context: I'd go to the city, and then...\live by my music.\That's what I thought.\Huh?\Maybe I'm tired...\I can't play the guitar like this...\Maybe I should cancel the performance tonight and rest...\When I woke up, I was unable to speak. response:	Cerebral contusion.
context: live by my music.\That's what I thought.\Huh?\Maybe I'm tired...\I can't play the guitar like this...\Maybe I should cancel the performance tonight and rest...\When I woke up, I was unable to speak.\Cerebral contusion. response:	It was aphasia due to a stroke.
context: That's what I thought.\Huh?\Maybe I'm tired...\I can't play the guitar like this...\Maybe I should cancel the performance tonight and rest...\When I woke up, I was unable to speak.\Cerebral contusion.\It was aphasia due to a stroke. response:	The cause was an accident during a fight my parents were having.
context: Huh?\Maybe I'm tired...\I can't play the guitar like this...\Maybe I should cancel the performance tonight and rest...\When I woke up, I was unable to speak.\Cerebral contusion.\It was aphasia due to a stroke.\The cause was an accident during a fight my parents were having. response:	I cursed my fate.
context: Maybe I'm tired...\I can't play the guitar like this...\Maybe I should cancel the performance tonight and rest...\When I woke up, I was unable to speak.\Cerebral contusion.\It was aphasia due to a stroke.\The cause was an accident during a fight my parents were having.\I cursed my fate. response:	I had nowhere to escape.
context: I can't play the guitar like this...\Maybe I should cancel the performance tonight and rest...\When I woke up, I was unable to speak.\Cerebral contusion.\It was aphasia due to a stroke.\The cause was an accident during a fight my parents were having.\I cursed my fate.\I had nowhere to escape. response:	And like that, my life ended.
context: Maybe I should cancel the performance tonight and rest...\When I woke up, I was unable to speak.\Cerebral contusion.\It was aphasia due to a stroke.\The cause was an accident during a fight my parents were having.\I cursed my fate.\I had nowhere to escape.\And like that, my life ended. response:	Iwasawa!
context: When I woke up, I was unable to speak.\Cerebral contusion.\It was aphasia due to a stroke.\The cause was an accident during a fight my parents were having.\I cursed my fate.\I had nowhere to escape.\And like that, my life ended.\Iwasawa! response:	Oh, Hisako? Okay.
context: Cerebral contusion.\It was aphasia due to a stroke.\The cause was an accident during a fight my parents were having.\I cursed my fate.\I had nowhere to escape.\And like that, my life ended.\Iwasawa!\Oh, Hisako? Okay. response:	We're tired of waiting already.
context: It was aphasia due to a stroke.\The cause was an accident during a fight my parents were having.\I cursed my fate.\I had nowhere to escape.\And like that, my life ended.\Iwasawa!\Oh, Hisako? Okay.\We're tired of waiting already. response:	No - memory boy!
context: The cause was an accident during a fight my parents were having.\I cursed my fate.\I had nowhere to escape.\And like that, my life ended.\Iwasawa!\Oh, Hisako? Okay.\We're tired of waiting already.\No - memory boy! response:	You can have that.
context: I cursed my fate.\I had nowhere to escape.\And like that, my life ended.\Iwasawa!\Oh, Hisako? Okay.\We're tired of waiting already.\No - memory boy!\You can have that. response:	Just now...
context: I had nowhere to escape.\And like that, my life ended.\Iwasawa!\Oh, Hisako? Okay.\We're tired of waiting already.\No - memory boy!\You can have that.\Just now... response:	Those were eyes that curse the unfairness of life.
context: And like that, my life ended.\Iwasawa!\Oh, Hisako? Okay.\We're tired of waiting already.\No - memory boy!\You can have that.\Just now...\Those were eyes that curse the unfairness of life. response:	She also had a harsh life.
context: Iwasawa!\Oh, Hisako? Okay.\We're tired of waiting already.\No - memory boy!\You can have that.\Just now...\Those were eyes that curse the unfairness of life.\She also had a harsh life. response:	No one's afraid of becoming a water flea.
context: Oh, Hisako? Okay.\We're tired of waiting already.\No - memory boy!\You can have that.\Just now...\Those were eyes that curse the unfairness of life.\She also had a harsh life.\No one's afraid of becoming a water flea. response:	The people here...
context: We're tired of waiting already.\No - memory boy!\You can have that.\Just now...\Those were eyes that curse the unfairness of life.\She also had a harsh life.\No one's afraid of becoming a water flea.\The people here... response:	They're all trying to rebel against God,
context: No - memory boy!\You can have that.\Just now...\Those were eyes that curse the unfairness of life.\She also had a harsh life.\No one's afraid of becoming a water flea.\The people here...\They're all trying to rebel against God, response:	against accepting an unfair life.
context: You can have that.\Just now...\Those were eyes that curse the unfairness of life.\She also had a harsh life.\No one's afraid of becoming a water flea.\The people here...\They're all trying to rebel against God,\against accepting an unfair life. response:	They're trying to fight it.
context: Just now...\Those were eyes that curse the unfairness of life.\She also had a harsh life.\No one's afraid of becoming a water flea.\The people here...\They're all trying to rebel against God,\against accepting an unfair life.\They're trying to fight it. response:	Just overlook it this one time, president!
context: Those were eyes that curse the unfairness of life.\She also had a harsh life.\No one's afraid of becoming a water flea.\The people here...\They're all trying to rebel against God,\against accepting an unfair life.\They're trying to fight it.\Just overlook it this one time, president! response:	Yeah, GirlDeMo's live concerts are the only fun we get to look forward to!
context: She also had a harsh life.\No one's afraid of becoming a water flea.\The people here...\They're all trying to rebel against God,\against accepting an unfair life.\They're trying to fight it.\Just overlook it this one time, president!\Yeah, GirlDeMo's live concerts are the only fun we get to look forward to! response:	Don't take that from us!
context: No one's afraid of becoming a water flea.\The people here...\They're all trying to rebel against God,\against accepting an unfair life.\They're trying to fight it.\Just overlook it this one time, president!\Yeah, GirlDeMo's live concerts are the only fun we get to look forward to!\Don't take that from us! response:	Yeah, yeah!
context: The people here...\They're all trying to rebel against God,\against accepting an unfair life.\They're trying to fight it.\Just overlook it this one time, president!\Yeah, GirlDeMo's live concerts are the only fun we get to look forward to!\Don't take that from us!\Yeah, yeah! response:	Right?
context: They're all trying to rebel against God,\against accepting an unfair life.\They're trying to fight it.\Just overlook it this one time, president!\Yeah, GirlDeMo's live concerts are the only fun we get to look forward to!\Don't take that from us!\Yeah, yeah!\Right? response:	Huh?
context: against accepting an unfair life.\They're trying to fight it.\Just overlook it this one time, president!\Yeah, GirlDeMo's live concerts are the only fun we get to look forward to!\Don't take that from us!\Yeah, yeah!\Right?\Huh? response:	Where'd she go?
context: They're trying to fight it.\Just overlook it this one time, president!\Yeah, GirlDeMo's live concerts are the only fun we get to look forward to!\Don't take that from us!\Yeah, yeah!\Right?\Huh?\Where'd she go? response:	It's almost like I'm the bad guy.
context: Just overlook it this one time, president!\Yeah, GirlDeMo's live concerts are the only fun we get to look forward to!\Don't take that from us!\Yeah, yeah!\Right?\Huh?\Where'd she go?\It's almost like I'm the bad guy. response:	Sports Hall
context: Yeah, GirlDeMo's live concerts are the only fun we get to look forward to!\Don't take that from us!\Yeah, yeah!\Right?\Huh?\Where'd she go?\It's almost like I'm the bad guy.\Sports Hall response:	Got it? The operation this time will be carried out with the bare minimum number of members.
context: Don't take that from us!\Yeah, yeah!\Right?\Huh?\Where'd she go?\It's almost like I'm the bad guy.\Sports Hall\Got it? The operation this time will be carried out with the bare minimum number of members. response:	It will take place today, 1900 hours.
context: Yeah, yeah!\Right?\Huh?\Where'd she go?\It's almost like I'm the bad guy.\Sports Hall\Got it? The operation this time will be carried out with the bare minimum number of members.\It will take place today, 1900 hours. response:	Operation start!
context: Right?\Huh?\Where'd she go?\It's almost like I'm the bad guy.\Sports Hall\Got it? The operation this time will be carried out with the bare minimum number of members.\It will take place today, 1900 hours.\Operation start! response:	Too few...
context: Huh?\Where'd she go?\It's almost like I'm the bad guy.\Sports Hall\Got it? The operation this time will be carried out with the bare minimum number of members.\It will take place today, 1900 hours.\Operation start!\Too few... response:	You get a special seat.
context: Where'd she go?\It's almost like I'm the bad guy.\Sports Hall\Got it? The operation this time will be carried out with the bare minimum number of members.\It will take place today, 1900 hours.\Operation start!\Too few...\You get a special seat. response:	It's time.
context: It's almost like I'm the bad guy.\Sports Hall\Got it? The operation this time will be carried out with the bare minimum number of members.\It will take place today, 1900 hours.\Operation start!\Too few...\You get a special seat.\It's time. response:	Alright...
context: Sports Hall\Got it? The operation this time will be carried out with the bare minimum number of members.\It will take place today, 1900 hours.\Operation start!\Too few...\You get a special seat.\It's time.\Alright... response:	Let's put on a show!
context: Got it? The operation this time will be carried out with the bare minimum number of members.\It will take place today, 1900 hours.\Operation start!\Too few...\You get a special seat.\It's time.\Alright...\Let's put on a show! response:	Clear!
context: It will take place today, 1900 hours.\Operation start!\Too few...\You get a special seat.\It's time.\Alright...\Let's put on a show!\Clear! response:	Clear!
context: Operation start!\Too few...\You get a special seat.\It's time.\Alright...\Let's put on a show!\Clear!\Clear! response:	Alright, infiltration successful.
context: Too few...\You get a special seat.\It's time.\Alright...\Let's put on a show!\Clear!\Clear!\Alright, infiltration successful. response:	What?
context: You get a special seat.\It's time.\Alright...\Let's put on a show!\Clear!\Clear!\Alright, infiltration successful.\What? response:	Angel Area infiltration.
context: It's time.\Alright...\Let's put on a show!\Clear!\Clear!\Alright, infiltration successful.\What?\Angel Area infiltration. response:	Close the door!
context: Alright...\Let's put on a show!\Clear!\Clear!\Alright, infiltration successful.\What?\Angel Area infiltration.\Close the door! response:	Takeyama - kun, we'll leave the computer to you.
context: Let's put on a show!\Clear!\Clear!\Alright, infiltration successful.\What?\Angel Area infiltration.\Close the door!\Takeyama - kun, we'll leave the computer to you. response:	Call me Christ.
context: Clear!\Clear!\Alright, infiltration successful.\What?\Angel Area infiltration.\Close the door!\Takeyama - kun, we'll leave the computer to you.\Call me Christ. response:	Um... this is...
context: Clear!\Alright, infiltration successful.\What?\Angel Area infiltration.\Close the door!\Takeyama - kun, we'll leave the computer to you.\Call me Christ.\Um... this is... response:	This is just a normal girl's room!
context: Alright, infiltration successful.\What?\Angel Area infiltration.\Close the door!\Takeyama - kun, we'll leave the computer to you.\Call me Christ.\Um... this is...\This is just a normal girl's room! response:	We're trespassing!
context: What?\Angel Area infiltration.\Close the door!\Takeyama - kun, we'll leave the computer to you.\Call me Christ.\Um... this is...\This is just a normal girl's room!\We're trespassing! response:	What the hell are you doing?
context: Angel Area infiltration.\Close the door!\Takeyama - kun, we'll leave the computer to you.\Call me Christ.\Um... this is...\This is just a normal girl's room!\We're trespassing!\What the hell are you doing? response:	Girl's Dormitory
context: Close the door!\Takeyama - kun, we'll leave the computer to you.\Call me Christ.\Um... this is...\This is just a normal girl's room!\We're trespassing!\What the hell are you doing?\Girl's Dormitory response:	This is the girl's dorm!
context: Takeyama - kun, we'll leave the computer to you.\Call me Christ.\Um... this is...\This is just a normal girl's room!\We're trespassing!\What the hell are you doing?\Girl's Dormitory\This is the girl's dorm! response:	Turn off the light!
context: Call me Christ.\Um... this is...\This is just a normal girl's room!\We're trespassing!\What the hell are you doing?\Girl's Dormitory\This is the girl's dorm!\Turn off the light! response:	And computer - controlled?
context: Um... this is...\This is just a normal girl's room!\We're trespassing!\What the hell are you doing?\Girl's Dormitory\This is the girl's dorm!\Turn off the light!\And computer - controlled? response:	There's just a computer in the room!
context: This is just a normal girl's room!\We're trespassing!\What the hell are you doing?\Girl's Dormitory\This is the girl's dorm!\Turn off the light!\And computer - controlled?\There's just a computer in the room! response:	A password...
context: We're trespassing!\What the hell are you doing?\Girl's Dormitory\This is the girl's dorm!\Turn off the light!\And computer - controlled?\There's just a computer in the room!\A password... response:	Nobody could figure it out before.
context: What the hell are you doing?\Girl's Dormitory\This is the girl's dorm!\Turn off the light!\And computer - controlled?\There's just a computer in the room!\A password...\Nobody could figure it out before. response:	I see.
context: Girl's Dormitory\This is the girl's dorm!\Turn off the light!\And computer - controlled?\There's just a computer in the room!\A password...\Nobody could figure it out before.\I see. response:	Then this is where I demonstrate my skills.
context: This is the girl's dorm!\Turn off the light!\And computer - controlled?\There's just a computer in the room!\A password...\Nobody could figure it out before.\I see.\Then this is where I demonstrate my skills. response:	Beginning analysis.
context: Turn off the light!\And computer - controlled?\There's just a computer in the room!\A password...\Nobody could figure it out before.\I see.\Then this is where I demonstrate my skills.\Beginning analysis. response:	Oh? Looks like you're not so useless.
context: And computer - controlled?\There's just a computer in the room!\A password...\Nobody could figure it out before.\I see.\Then this is where I demonstrate my skills.\Beginning analysis.\Oh? Looks like you're not so useless. response:	Hey come on, respect people's privac
context: There's just a computer in the room!\A password...\Nobody could figure it out before.\I see.\Then this is where I demonstrate my skills.\Beginning analysis.\Oh? Looks like you're not so useless.\Hey come on, respect people's privac response:	Hey, stop!
context: A password...\Nobody could figure it out before.\I see.\Then this is where I demonstrate my skills.\Beginning analysis.\Oh? Looks like you're not so useless.\Hey come on, respect people's privac\Hey, stop! response:	You're too noisy.
context: Nobody could figure it out before.\I see.\Then this is where I demonstrate my skills.\Beginning analysis.\Oh? Looks like you're not so useless.\Hey come on, respect people's privac\Hey, stop!\You're too noisy. response:	Keep it quiet, or I'll be taking your throat out.
context: I see.\Then this is where I demonstrate my skills.\Beginning analysis.\Oh? Looks like you're not so useless.\Hey come on, respect people's privac\Hey, stop!\You're too noisy.\Keep it quiet, or I'll be taking your throat out. response:	What the hell!
context: Then this is where I demonstrate my skills.\Beginning analysis.\Oh? Looks like you're not so useless.\Hey come on, respect people's privac\Hey, stop!\You're too noisy.\Keep it quiet, or I'll be taking your throat out.\What the hell! response:	I was just starting to think you weren't so bad, too!
context: Beginning analysis.\Oh? Looks like you're not so useless.\Hey come on, respect people's privac\Hey, stop!\You're too noisy.\Keep it quiet, or I'll be taking your throat out.\What the hell!\I was just starting to think you weren't so bad, too! response:	Why...
context: Oh? Looks like you're not so useless.\Hey come on, respect people's privac\Hey, stop!\You're too noisy.\Keep it quiet, or I'll be taking your throat out.\What the hell!\I was just starting to think you weren't so bad, too!\Why... response:	We need more people to come...
context: Hey come on, respect people's privac\Hey, stop!\You're too noisy.\Keep it quiet, or I'll be taking your throat out.\What the hell!\I was just starting to think you weren't so bad, too!\Why...\We need more people to come... response:	Alchemy? This soon in?
context: Hey, stop!\You're too noisy.\Keep it quiet, or I'll be taking your throat out.\What the hell!\I was just starting to think you weren't so bad, too!\Why...\We need more people to come...\Alchemy? This soon in? response:	That's good!
context: You're too noisy.\Keep it quiet, or I'll be taking your throat out.\What the hell!\I was just starting to think you weren't so bad, too!\Why...\We need more people to come...\Alchemy? This soon in?\That's good! response:	< Alchemy lyrics >
context: Keep it quiet, or I'll be taking your throat out.\What the hell!\I was just starting to think you weren't so bad, too!\Why...\We need more people to come...\Alchemy? This soon in?\That's good!\< Alchemy lyrics > response:	I want to live forever
context: What the hell!\I was just starting to think you weren't so bad, too!\Why...\We need more people to come...\Alchemy? This soon in?\That's good!\< Alchemy lyrics >\I want to live forever response:	And if I could live forever
context: I was just starting to think you weren't so bad, too!\Why...\We need more people to come...\Alchemy? This soon in?\That's good!\< Alchemy lyrics >\I want to live forever\And if I could live forever response:	Everything would be granted
context: Why...\We need more people to come...\Alchemy? This soon in?\That's good!\< Alchemy lyrics >\I want to live forever\And if I could live forever\Everything would be granted response:	All sorts of things
context: We need more people to come...\Alchemy? This soon in?\That's good!\< Alchemy lyrics >\I want to live forever\And if I could live forever\Everything would be granted\All sorts of things response:	Keep having their way with me
context: Alchemy? This soon in?\That's good!\< Alchemy lyrics >\I want to live forever\And if I could live forever\Everything would be granted\All sorts of things\Keep having their way with me response:	All the time I have to live
context: That's good!\< Alchemy lyrics >\I want to live forever\And if I could live forever\Everything would be granted\All sorts of things\Keep having their way with me\All the time I have to live response:	Warping where my dreams will go
context: < Alchemy lyrics >\I want to live forever\And if I could live forever\Everything would be granted\All sorts of things\Keep having their way with me\All the time I have to live\Warping where my dreams will go response:	Even though they're so important to me
context: I want to live forever\And if I could live forever\Everything would be granted\All sorts of things\Keep having their way with me\All the time I have to live\Warping where my dreams will go\Even though they're so important to me response:	If it's all I can, right now
context: And if I could live forever\Everything would be granted\All sorts of things\Keep having their way with me\All the time I have to live\Warping where my dreams will go\Even though they're so important to me\If it's all I can, right now response:	I'll go eat something sweet
context: Everything would be granted\All sorts of things\Keep having their way with me\All the time I have to live\Warping where my dreams will go\Even though they're so important to me\If it's all I can, right now\I'll go eat something sweet response:	Stop thinking like that
context: All sorts of things\Keep having their way with me\All the time I have to live\Warping where my dreams will go\Even though they're so important to me\If it's all I can, right now\I'll go eat something sweet\Stop thinking like that response:	It's meaningless to talk
context: Keep having their way with me\All the time I have to live\Warping where my dreams will go\Even though they're so important to me\If it's all I can, right now\I'll go eat something sweet\Stop thinking like that\It's meaningless to talk response:	I look back at the path I walked and
context: All the time I have to live\Warping where my dreams will go\Even though they're so important to me\If it's all I can, right now\I'll go eat something sweet\Stop thinking like that\It's meaningless to talk\I look back at the path I walked and response:	mugen ni ikitai
context: Warping where my dreams will go\Even though they're so important to me\If it's all I can, right now\I'll go eat something sweet\Stop thinking like that\It's meaningless to talk\I look back at the path I walked and\mugen ni ikitai response:	mugen ni ikiraretara
context: Even though they're so important to me\If it's all I can, right now\I'll go eat something sweet\Stop thinking like that\It's meaningless to talk\I look back at the path I walked and\mugen ni ikitai\mugen ni ikiraretara response:	subete kanau
context: If it's all I can, right now\I'll go eat something sweet\Stop thinking like that\It's meaningless to talk\I look back at the path I walked and\mugen ni ikitai\mugen ni ikiraretara\subete kanau response:	iroirona mono ga
context: I'll go eat something sweet\Stop thinking like that\It's meaningless to talk\I look back at the path I walked and\mugen ni ikitai\mugen ni ikiraretara\subete kanau\iroirona mono ga response:	atashi wo oikondeku
context: Stop thinking like that\It's meaningless to talk\I look back at the path I walked and\mugen ni ikitai\mugen ni ikiraretara\subete kanau\iroirona mono ga\atashi wo oikondeku response:	ikiru nokori jikan wo
context: It's meaningless to talk\I look back at the path I walked and\mugen ni ikitai\mugen ni ikiraretara\subete kanau\iroirona mono ga\atashi wo oikondeku\ikiru nokori jikan wo response:	yume no zahyou wo kurue
context: I look back at the path I walked and\mugen ni ikitai\mugen ni ikiraretara\subete kanau\iroirona mono ga\atashi wo oikondeku\ikiru nokori jikan wo\yume no zahyou wo kurue response:	zenbu daiji na mono na no ni
context: mugen ni ikitai\mugen ni ikiraretara\subete kanau\iroirona mono ga\atashi wo oikondeku\ikiru nokori jikan wo\yume no zahyou wo kurue\zenbu daiji na mono na no ni response:	iza kokora de chotto
context: mugen ni ikiraretara\subete kanau\iroirona mono ga\atashi wo oikondeku\ikiru nokori jikan wo\yume no zahyou wo kurue\zenbu daiji na mono na no ni\iza kokora de chotto response:	amai mono tabete yukou
