context: It's definitely here! It's right here for sure! response:	Compared to that heart, you're nothing!
context: It happened fifteen years ago.\Something very traumatic must have happened.\Something so traumatic that you don't even realize what happened to you.\Are you a new Stand user?!\I'll make you realize that you're already dead!\What?\This isn't any Stand ability!\This is proof that all that's here is the completely black soul of a dead killer! response:	Well? Do you remember how you died now?
context: Something very traumatic must have happened.\Something so traumatic that you don't even realize what happened to you.\Are you a new Stand user?!\I'll make you realize that you're already dead!\What?\This isn't any Stand ability!\This is proof that all that's here is the completely black soul of a dead killer!\Well? Do you remember how you died now? response:	Even if I stop time right now, I'm too far away from him.
context: Something so traumatic that you don't even realize what happened to you.\Are you a new Stand user?!\I'll make you realize that you're already dead!\What?\This isn't any Stand ability!\This is proof that all that's here is the completely black soul of a dead killer!\Well? Do you remember how you died now?\Even if I stop time right now, I'm too far away from him. response:	Don't let him push the switch!
context: Are you a new Stand user?!\I'll make you realize that you're already dead!\What?\This isn't any Stand ability!\This is proof that all that's here is the completely black soul of a dead killer!\Well? Do you remember how you died now?\Even if I stop time right now, I'm too far away from him.\Don't let him push the switch! response:	No, this is the limit! I'm pushing it...
context: I'll make you realize that you're already dead!\What?\This isn't any Stand ability!\This is proof that all that's here is the completely black soul of a dead killer!\Well? Do you remember how you died now?\Even if I stop time right now, I'm too far away from him.\Don't let him push the switch!\No, this is the limit! I'm pushing it... response:	Now!
context: What?\This isn't any Stand ability!\This is proof that all that's here is the completely black soul of a dead killer!\Well? Do you remember how you died now?\Even if I stop time right now, I'm too far away from him.\Don't let him push the switch!\No, this is the limit! I'm pushing it...\Now! response:	Act Three! 3 Freeze! He's now within five meters!
context: This isn't any Stand ability!\This is proof that all that's here is the completely black soul of a dead killer!\Well? Do you remember how you died now?\Even if I stop time right now, I'm too far away from him.\Don't let him push the switch!\No, this is the limit! I'm pushing it...\Now!\Act Three! 3 Freeze! He's now within five meters! response:	S-h-i-t!
context: This is proof that all that's here is the completely black soul of a dead killer!\Well? Do you remember how you died now?\Even if I stop time right now, I'm too far away from him.\Don't let him push the switch!\No, this is the limit! I'm pushing it...\Now!\Act Three! 3 Freeze! He's now within five meters!\S-h-i-t! response:	You rotten pieces of shit!
context: Well? Do you remember how you died now?\Even if I stop time right now, I'm too far away from him.\Don't let him push the switch!\No, this is the limit! I'm pushing it...\Now!\Act Three! 3 Freeze! He's now within five meters!\S-h-i-t!\You rotten pieces of shit! response:	Star Platinum! The World!
context: Even if I stop time right now, I'm too far away from him.\Don't let him push the switch!\No, this is the limit! I'm pushing it...\Now!\Act Three! 3 Freeze! He's now within five meters!\S-h-i-t!\You rotten pieces of shit!\Star Platinum! The World! response:	Koichi, you truly are a reliable guy.
context: Don't let him push the switch!\No, this is the limit! I'm pushing it...\Now!\Act Three! 3 Freeze! He's now within five meters!\S-h-i-t!\You rotten pieces of shit!\Star Platinum! The World!\Koichi, you truly are a reliable guy. response:	I'm truly thankful that I came to this town and met you.
context: No, this is the limit! I'm pushing it...\Now!\Act Three! 3 Freeze! He's now within five meters!\S-h-i-t!\You rotten pieces of shit!\Star Platinum! The World!\Koichi, you truly are a reliable guy.\I'm truly thankful that I came to this town and met you. response:	And...
context: Now!\Act Three! 3 Freeze! He's now within five meters!\S-h-i-t!\You rotten pieces of shit!\Star Platinum! The World!\Koichi, you truly are a reliable guy.\I'm truly thankful that I came to this town and met you.\And... response:	Good grief.
context: Act Three! 3 Freeze! He's now within five meters!\S-h-i-t!\You rotten pieces of shit!\Star Platinum! The World!\Koichi, you truly are a reliable guy.\I'm truly thankful that I came to this town and met you.\And...\Good grief. response:	I made it in time.
context: S-h-i-t!\You rotten pieces of shit!\Star Platinum! The World!\Koichi, you truly are a reliable guy.\I'm truly thankful that I came to this town and met you.\And...\Good grief.\I made it in time. response:	Time has begun to move again.
context: You rotten pieces of shit!\Star Platinum! The World!\Koichi, you truly are a reliable guy.\I'm truly thankful that I came to this town and met you.\And...\Good grief.\I made it in time.\Time has begun to move again. response:	Crush
context: Star Platinum! The World!\Koichi, you truly are a reliable guy.\I'm truly thankful that I came to this town and met you.\And...\Good grief.\I made it in time.\Time has begun to move again.\Crush response:	H-He did it!
context: Koichi, you truly are a reliable guy.\I'm truly thankful that I came to this town and met you.\And...\Good grief.\I made it in time.\Time has begun to move again.\Crush\H-He did it! response:	He made it in time!
context: I'm truly thankful that I came to this town and met you.\And...\Good grief.\I made it in time.\Time has begun to move again.\Crush\H-He did it!\He made it in time! response:	I'll push it... I'm gonna push it...
context: And...\Good grief.\I made it in time.\Time has begun to move again.\Crush\H-He did it!\He made it in time!\I'll push it... I'm gonna push it... response:	Bites the Dust will go into effect again...
context: Good grief.\I made it in time.\Time has begun to move again.\Crush\H-He did it!\He made it in time!\I'll push it... I'm gonna push it...\Bites the Dust will go into effect again... response:	H-How? He just suddenly went flying back!
context: I made it in time.\Time has begun to move again.\Crush\H-He did it!\He made it in time!\I'll push it... I'm gonna push it...\Bites the Dust will go into effect again...\H-How? He just suddenly went flying back! response:	I'm gonna push it... I-I'm gonna push it...
context: Time has begun to move again.\Crush\H-He did it!\He made it in time!\I'll push it... I'm gonna push it...\Bites the Dust will go into effect again...\H-How? He just suddenly went flying back!\I'm gonna push it... I-I'm gonna push it... response:	I'm gonna push the switch right now...
context: Crush\H-He did it!\He made it in time!\I'll push it... I'm gonna push it...\Bites the Dust will go into effect again...\H-How? He just suddenly went flying back!\I'm gonna push it... I-I'm gonna push it...\I'm gonna push the switch right now... response:	I know he's our enemy, but he really is something.
context: H-He did it!\He made it in time!\I'll push it... I'm gonna push it...\Bites the Dust will go into effect again...\H-How? He just suddenly went flying back!\I'm gonna push it... I-I'm gonna push it...\I'm gonna push the switch right now...\I know he's our enemy, but he really is something. response:	Hey, stop!
context: He made it in time!\I'll push it... I'm gonna push it...\Bites the Dust will go into effect again...\H-How? He just suddenly went flying back!\I'm gonna push it... I-I'm gonna push it...\I'm gonna push the switch right now...\I know he's our enemy, but he really is something.\Hey, stop! response:	Stop!
context: I'll push it... I'm gonna push it...\Bites the Dust will go into effect again...\H-How? He just suddenly went flying back!\I'm gonna push it... I-I'm gonna push it...\I'm gonna push the switch right now...\I know he's our enemy, but he really is something.\Hey, stop!\Stop! response:	Morioh Fire Department
context: Bites the Dust will go into effect again...\H-How? He just suddenly went flying back!\I'm gonna push it... I-I'm gonna push it...\I'm gonna push the switch right now...\I know he's our enemy, but he really is something.\Hey, stop!\Stop!\Morioh Fire Department response:	Someone's on the ground back here!
context: H-How? He just suddenly went flying back!\I'm gonna push it... I-I'm gonna push it...\I'm gonna push the switch right now...\I know he's our enemy, but he really is something.\Hey, stop!\Stop!\Morioh Fire Department\Someone's on the ground back here! response:	What?!
context: I'm gonna push it... I-I'm gonna push it...\I'm gonna push the switch right now...\I know he's our enemy, but he really is something.\Hey, stop!\Stop!\Morioh Fire Department\Someone's on the ground back here!\What?! response:	O-Oh, no! A guy's been run over by an ambulance!
context: I'm gonna push the switch right now...\I know he's our enemy, but he really is something.\Hey, stop!\Stop!\Morioh Fire Department\Someone's on the ground back here!\What?!\O-Oh, no! A guy's been run over by an ambulance! response:	I didn't realize he was there!
context: I know he's our enemy, but he really is something.\Hey, stop!\Stop!\Morioh Fire Department\Someone's on the ground back here!\What?!\O-Oh, no! A guy's been run over by an ambulance!\I didn't realize he was there! response:	Drive back forward! Forward!
context: Hey, stop!\Stop!\Morioh Fire Department\Someone's on the ground back here!\What?!\O-Oh, no! A guy's been run over by an ambulance!\I didn't realize he was there!\Drive back forward! Forward! response:	You there! Get outside of the tape!
context: Stop!\Morioh Fire Department\Someone's on the ground back here!\What?!\O-Oh, no! A guy's been run over by an ambulance!\I didn't realize he was there!\Drive back forward! Forward!\You there! Get outside of the tape! response:	Get back! Please hurry and get back!
context: Morioh Fire Department\Someone's on the ground back here!\What?!\O-Oh, no! A guy's been run over by an ambulance!\I didn't realize he was there!\Drive back forward! Forward!\You there! Get outside of the tape!\Get back! Please hurry and get back! response:	Are you one of the injured, too?
context: Someone's on the ground back here!\What?!\O-Oh, no! A guy's been run over by an ambulance!\I didn't realize he was there!\Drive back forward! Forward!\You there! Get outside of the tape!\Get back! Please hurry and get back!\Are you one of the injured, too? response:	It's no use. He's dead. He died instantly.
context: What?!\O-Oh, no! A guy's been run over by an ambulance!\I didn't realize he was there!\Drive back forward! Forward!\You there! Get outside of the tape!\Get back! Please hurry and get back!\Are you one of the injured, too?\It's no use. He's dead. He died instantly. response:	He's dead?
context: O-Oh, no! A guy's been run over by an ambulance!\I didn't realize he was there!\Drive back forward! Forward!\You there! Get outside of the tape!\Get back! Please hurry and get back!\Are you one of the injured, too?\It's no use. He's dead. He died instantly.\He's dead? response:	It was like he dove under there himself.
context: I didn't realize he was there!\Drive back forward! Forward!\You there! Get outside of the tape!\Get back! Please hurry and get back!\Are you one of the injured, too?\It's no use. He's dead. He died instantly.\He's dead?\It was like he dove under there himself. response:	This is my responsibility.
context: Drive back forward! Forward!\You there! Get outside of the tape!\Get back! Please hurry and get back!\Are you one of the injured, too?\It's no use. He's dead. He died instantly.\He's dead?\It was like he dove under there himself.\This is my responsibility. response:	I'm not trying to make excuses, but I didn't have a chance to restrain him.
context: You there! Get outside of the tape!\Get back! Please hurry and get back!\Are you one of the injured, too?\It's no use. He's dead. He died instantly.\He's dead?\It was like he dove under there himself.\This is my responsibility.\I'm not trying to make excuses, but I didn't have a chance to restrain him. response:	This is unbelievable.
context: Get back! Please hurry and get back!\Are you one of the injured, too?\It's no use. He's dead. He died instantly.\He's dead?\It was like he dove under there himself.\This is my responsibility.\I'm not trying to make excuses, but I didn't have a chance to restrain him.\This is unbelievable. response:	His head was caught between the tire and the road...
context: Are you one of the injured, too?\It's no use. He's dead. He died instantly.\He's dead?\It was like he dove under there himself.\This is my responsibility.\I'm not trying to make excuses, but I didn't have a chance to restrain him.\This is unbelievable.\His head was caught between the tire and the road... response:	The skin on his face has been ripped off.
context: It's no use. He's dead. He died instantly.\He's dead?\It was like he dove under there himself.\This is my responsibility.\I'm not trying to make excuses, but I didn't have a chance to restrain him.\This is unbelievable.\His head was caught between the tire and the road...\The skin on his face has been ripped off. response:	Pardon me.
context: He's dead?\It was like he dove under there himself.\This is my responsibility.\I'm not trying to make excuses, but I didn't have a chance to restrain him.\This is unbelievable.\His head was caught between the tire and the road...\The skin on his face has been ripped off.\Pardon me. response:	Do you happen to know the identity of the deceased?
context: It was like he dove under there himself.\This is my responsibility.\I'm not trying to make excuses, but I didn't have a chance to restrain him.\This is unbelievable.\His head was caught between the tire and the road...\The skin on his face has been ripped off.\Pardon me.\Do you happen to know the identity of the deceased? response:	He said that his name was Yoshikage Kira.
context: This is my responsibility.\I'm not trying to make excuses, but I didn't have a chance to restrain him.\This is unbelievable.\His head was caught between the tire and the road...\The skin on his face has been ripped off.\Pardon me.\Do you happen to know the identity of the deceased?\He said that his name was Yoshikage Kira. response:	Kira...
context: I'm not trying to make excuses, but I didn't have a chance to restrain him.\This is unbelievable.\His head was caught between the tire and the road...\The skin on his face has been ripped off.\Pardon me.\Do you happen to know the identity of the deceased?\He said that his name was Yoshikage Kira.\Kira... response:	There's a family by the name of Kira in Kotodai that goes back generations.
context: This is unbelievable.\His head was caught between the tire and the road...\The skin on his face has been ripped off.\Pardon me.\Do you happen to know the identity of the deceased?\He said that his name was Yoshikage Kira.\Kira...\There's a family by the name of Kira in Kotodai that goes back generations. response:	I heard its only current member lives alone, so he might not have any family...
context: His head was caught between the tire and the road...\The skin on his face has been ripped off.\Pardon me.\Do you happen to know the identity of the deceased?\He said that his name was Yoshikage Kira.\Kira...\There's a family by the name of Kira in Kotodai that goes back generations.\I heard its only current member lives alone, so he might not have any family... response:	An accident... His demise was due to an accidental death.
context: The skin on his face has been ripped off.\Pardon me.\Do you happen to know the identity of the deceased?\He said that his name was Yoshikage Kira.\Kira...\There's a family by the name of Kira in Kotodai that goes back generations.\I heard its only current member lives alone, so he might not have any family...\An accident... His demise was due to an accidental death. response:	But this is how it should be.
context: Pardon me.\Do you happen to know the identity of the deceased?\He said that his name was Yoshikage Kira.\Kira...\There's a family by the name of Kira in Kotodai that goes back generations.\I heard its only current member lives alone, so he might not have any family...\An accident... His demise was due to an accidental death.\But this is how it should be. response:	There would be no way to punish him in court.
context: Do you happen to know the identity of the deceased?\He said that his name was Yoshikage Kira.\Kira...\There's a family by the name of Kira in Kotodai that goes back generations.\I heard its only current member lives alone, so he might not have any family...\An accident... His demise was due to an accidental death.\But this is how it should be.\There would be no way to punish him in court. response:	This was the best outcome.
context: He said that his name was Yoshikage Kira.\Kira...\There's a family by the name of Kira in Kotodai that goes back generations.\I heard its only current member lives alone, so he might not have any family...\An accident... His demise was due to an accidental death.\But this is how it should be.\There would be no way to punish him in court.\This was the best outcome. response:	But my dad was murdered by him.
context: Kira...\There's a family by the name of Kira in Kotodai that goes back generations.\I heard its only current member lives alone, so he might not have any family...\An accident... His demise was due to an accidental death.\But this is how it should be.\There would be no way to punish him in court.\This was the best outcome.\But my dad was murdered by him. response:	I wanted him punished.
context: There's a family by the name of Kira in Kotodai that goes back generations.\I heard its only current member lives alone, so he might not have any family...\An accident... His demise was due to an accidental death.\But this is how it should be.\There would be no way to punish him in court.\This was the best outcome.\But my dad was murdered by him.\I wanted him punished. response:	I wanted someone to punish him.
context: I heard its only current member lives alone, so he might not have any family...\An accident... His demise was due to an accidental death.\But this is how it should be.\There would be no way to punish him in court.\This was the best outcome.\But my dad was murdered by him.\I wanted him punished.\I wanted someone to punish him. response:	It looks like you remember, Yoshikage Kira...
context: An accident... His demise was due to an accidental death.\But this is how it should be.\There would be no way to punish him in court.\This was the best outcome.\But my dad was murdered by him.\I wanted him punished.\I wanted someone to punish him.\It looks like you remember, Yoshikage Kira... response:	The exact way you died.
context: But this is how it should be.\There would be no way to punish him in court.\This was the best outcome.\But my dad was murdered by him.\I wanted him punished.\I wanted someone to punish him.\It looks like you remember, Yoshikage Kira...\The exact way you died. response:	It looks like you remember now!
context: There would be no way to punish him in court.\This was the best outcome.\But my dad was murdered by him.\I wanted him punished.\I wanted someone to punish him.\It looks like you remember, Yoshikage Kira...\The exact way you died.\It looks like you remember now! response:	Just what are you?! Who the hell are you?!
context: This was the best outcome.\But my dad was murdered by him.\I wanted him punished.\I wanted someone to punish him.\It looks like you remember, Yoshikage Kira...\The exact way you died.\It looks like you remember now!\Just what are you?! Who the hell are you?! response:	Fifteen years ago, you didn't have a Stand ability,
context: But my dad was murdered by him.\I wanted him punished.\I wanted someone to punish him.\It looks like you remember, Yoshikage Kira...\The exact way you died.\It looks like you remember now!\Just what are you?! Who the hell are you?!\Fifteen years ago, you didn't have a Stand ability, response:	so you couldn't make corpses disappear.
context: I wanted him punished.\I wanted someone to punish him.\It looks like you remember, Yoshikage Kira...\The exact way you died.\It looks like you remember now!\Just what are you?! Who the hell are you?!\Fifteen years ago, you didn't have a Stand ability,\so you couldn't make corpses disappear. response:	That's why, when I died, it was in all the papers.
context: I wanted someone to punish him.\It looks like you remember, Yoshikage Kira...\The exact way you died.\It looks like you remember now!\Just what are you?! Who the hell are you?!\Fifteen years ago, you didn't have a Stand ability,\so you couldn't make corpses disappear.\That's why, when I died, it was in all the papers. response:	Do you remember this wound on my back?
context: It looks like you remember, Yoshikage Kira...\The exact way you died.\It looks like you remember now!\Just what are you?! Who the hell are you?!\Fifteen years ago, you didn't have a Stand ability,\so you couldn't make corpses disappear.\That's why, when I died, it was in all the papers.\Do you remember this wound on my back? response:	Or, since it was your first murder, you forgot to take my hand,
context: The exact way you died.\It looks like you remember now!\Just what are you?! Who the hell are you?!\Fifteen years ago, you didn't have a Stand ability,\so you couldn't make corpses disappear.\That's why, when I died, it was in all the papers.\Do you remember this wound on my back?\Or, since it was your first murder, you forgot to take my hand, response:	so perhaps I wasn't as memorable?!
context: It looks like you remember now!\Just what are you?! Who the hell are you?!\Fifteen years ago, you didn't have a Stand ability,\so you couldn't make corpses disappear.\That's why, when I died, it was in all the papers.\Do you remember this wound on my back?\Or, since it was your first murder, you forgot to take my hand,\so perhaps I wasn't as memorable?! response:	It's you...
context: Just what are you?! Who the hell are you?!\Fifteen years ago, you didn't have a Stand ability,\so you couldn't make corpses disappear.\That's why, when I died, it was in all the papers.\Do you remember this wound on my back?\Or, since it was your first murder, you forgot to take my hand,\so perhaps I wasn't as memorable?!\It's you... response:	I believe your name was Reimi Sugimoto...
context: Fifteen years ago, you didn't have a Stand ability,\so you couldn't make corpses disappear.\That's why, when I died, it was in all the papers.\Do you remember this wound on my back?\Or, since it was your first murder, you forgot to take my hand,\so perhaps I wasn't as memorable?!\It's you...\I believe your name was Reimi Sugimoto... response:	What the hell have you been doing here for fifteen years?!
context: so you couldn't make corpses disappear.\That's why, when I died, it was in all the papers.\Do you remember this wound on my back?\Or, since it was your first murder, you forgot to take my hand,\so perhaps I wasn't as memorable?!\It's you...\I believe your name was Reimi Sugimoto...\What the hell have you been doing here for fifteen years?! response:	Wait...
context: That's why, when I died, it was in all the papers.\Do you remember this wound on my back?\Or, since it was your first murder, you forgot to take my hand,\so perhaps I wasn't as memorable?!\It's you...\I believe your name was Reimi Sugimoto...\What the hell have you been doing here for fifteen years?!\Wait... response:	Why would you go to the trouble of showing me
context: Do you remember this wound on my back?\Or, since it was your first murder, you forgot to take my hand,\so perhaps I wasn't as memorable?!\It's you...\I believe your name was Reimi Sugimoto...\What the hell have you been doing here for fifteen years?!\Wait...\Why would you go to the trouble of showing me response:	the wound on your back and telling me who you are?
context: Or, since it was your first murder, you forgot to take my hand,\so perhaps I wasn't as memorable?!\It's you...\I believe your name was Reimi Sugimoto...\What the hell have you been doing here for fifteen years?!\Wait...\Why would you go to the trouble of showing me\the wound on your back and telling me who you are? response:	This wouldn't be the place where you're not supposed to turn around, is it?
context: so perhaps I wasn't as memorable?!\It's you...\I believe your name was Reimi Sugimoto...\What the hell have you been doing here for fifteen years?!\Wait...\Why would you go to the trouble of showing me\the wound on your back and telling me who you are?\This wouldn't be the place where you're not supposed to turn around, is it? response:	My father told me that there was a road in this town where spirits of the dead walk,
context: It's you...\I believe your name was Reimi Sugimoto...\What the hell have you been doing here for fifteen years?!\Wait...\Why would you go to the trouble of showing me\the wound on your back and telling me who you are?\This wouldn't be the place where you're not supposed to turn around, is it?\My father told me that there was a road in this town where spirits of the dead walk, response:	and if you were to find yourself there, you must not turn around.
context: I believe your name was Reimi Sugimoto...\What the hell have you been doing here for fifteen years?!\Wait...\Why would you go to the trouble of showing me\the wound on your back and telling me who you are?\This wouldn't be the place where you're not supposed to turn around, is it?\My father told me that there was a road in this town where spirits of the dead walk,\and if you were to find yourself there, you must not turn around. response:	If you were to turn around, an uncontrollable power
context: What the hell have you been doing here for fifteen years?!\Wait...\Why would you go to the trouble of showing me\the wound on your back and telling me who you are?\This wouldn't be the place where you're not supposed to turn around, is it?\My father told me that there was a road in this town where spirits of the dead walk,\and if you were to find yourself there, you must not turn around.\If you were to turn around, an uncontrollable power response:	would drag you off somewhere.
context: Wait...\Why would you go to the trouble of showing me\the wound on your back and telling me who you are?\This wouldn't be the place where you're not supposed to turn around, is it?\My father told me that there was a road in this town where spirits of the dead walk,\and if you were to find yourself there, you must not turn around.\If you were to turn around, an uncontrollable power\would drag you off somewhere. response:	You weren't showing me
context: Why would you go to the trouble of showing me\the wound on your back and telling me who you are?\This wouldn't be the place where you're not supposed to turn around, is it?\My father told me that there was a road in this town where spirits of the dead walk,\and if you were to find yourself there, you must not turn around.\If you were to turn around, an uncontrollable power\would drag you off somewhere.\You weren't showing me response:	the wound on your back so I'd end up in front of you,
context: the wound on your back and telling me who you are?\This wouldn't be the place where you're not supposed to turn around, is it?\My father told me that there was a road in this town where spirits of the dead walk,\and if you were to find yourself there, you must not turn around.\If you were to turn around, an uncontrollable power\would drag you off somewhere.\You weren't showing me\the wound on your back so I'd end up in front of you, response:	forcing me to turn around, were you?
context: This wouldn't be the place where you're not supposed to turn around, is it?\My father told me that there was a road in this town where spirits of the dead walk,\and if you were to find yourself there, you must not turn around.\If you were to turn around, an uncontrollable power\would drag you off somewhere.\You weren't showing me\the wound on your back so I'd end up in front of you,\forcing me to turn around, were you? response:	You weren't trying to trick me, were you?
context: My father told me that there was a road in this town where spirits of the dead walk,\and if you were to find yourself there, you must not turn around.\If you were to turn around, an uncontrollable power\would drag you off somewhere.\You weren't showing me\the wound on your back so I'd end up in front of you,\forcing me to turn around, were you?\You weren't trying to trick me, were you? response:	Let's have you turn around.
context: and if you were to find yourself there, you must not turn around.\If you were to turn around, an uncontrollable power\would drag you off somewhere.\You weren't showing me\the wound on your back so I'd end up in front of you,\forcing me to turn around, were you?\You weren't trying to trick me, were you?\Let's have you turn around. response:	I'd like to see what would happen.
context: If you were to turn around, an uncontrollable power\would drag you off somewhere.\You weren't showing me\the wound on your back so I'd end up in front of you,\forcing me to turn around, were you?\You weren't trying to trick me, were you?\Let's have you turn around.\I'd like to see what would happen. response:	Come on! Turn around!
context: would drag you off somewhere.\You weren't showing me\the wound on your back so I'd end up in front of you,\forcing me to turn around, were you?\You weren't trying to trick me, were you?\Let's have you turn around.\I'd like to see what would happen.\Come on! Turn around! response:	You will turn around!
context: You weren't showing me\the wound on your back so I'd end up in front of you,\forcing me to turn around, were you?\You weren't trying to trick me, were you?\Let's have you turn around.\I'd like to see what would happen.\Come on! Turn around!\You will turn around! response:	Did you really think
context: the wound on your back so I'd end up in front of you,\forcing me to turn around, were you?\You weren't trying to trick me, were you?\Let's have you turn around.\I'd like to see what would happen.\Come on! Turn around!\You will turn around!\Did you really think response:	that I didn't expect you to try to do this to me?
context: forcing me to turn around, were you?\You weren't trying to trick me, were you?\Let's have you turn around.\I'd like to see what would happen.\Come on! Turn around!\You will turn around!\Did you really think\that I didn't expect you to try to do this to me? response:	We've been waiting fifteen years for you to come here...
context: You weren't trying to trick me, were you?\Let's have you turn around.\I'd like to see what would happen.\Come on! Turn around!\You will turn around!\Did you really think\that I didn't expect you to try to do this to me?\We've been waiting fifteen years for you to come here... response:	We?
context: Let's have you turn around.\I'd like to see what would happen.\Come on! Turn around!\You will turn around!\Did you really think\that I didn't expect you to try to do this to me?\We've been waiting fifteen years for you to come here...\We? response:	Arnold!
context: I'd like to see what would happen.\Come on! Turn around!\You will turn around!\Did you really think\that I didn't expect you to try to do this to me?\We've been waiting fifteen years for you to come here...\We?\Arnold! response:	What?!
context: Come on! Turn around!\You will turn around!\Did you really think\that I didn't expect you to try to do this to me?\We've been waiting fifteen years for you to come here...\We?\Arnold!\What?! response:	Now, let's have you punished, Yoshikage Kira.
context: You will turn around!\Did you really think\that I didn't expect you to try to do this to me?\We've been waiting fifteen years for you to come here...\We?\Arnold!\What?!\Now, let's have you punished, Yoshikage Kira. response:	What? What are these things?!
context: Did you really think\that I didn't expect you to try to do this to me?\We've been waiting fifteen years for you to come here...\We?\Arnold!\What?!\Now, let's have you punished, Yoshikage Kira.\What? What are these things?! response:	Deadly Queen!
context: that I didn't expect you to try to do this to me?\We've been waiting fifteen years for you to come here...\We?\Arnold!\What?!\Now, let's have you punished, Yoshikage Kira.\What? What are these things?!\Deadly Queen! response:	Make these things explode!
context: We've been waiting fifteen years for you to come here...\We?\Arnold!\What?!\Now, let's have you punished, Yoshikage Kira.\What? What are these things?!\Deadly Queen!\Make these things explode! response:	I-I...
context: We?\Arnold!\What?!\Now, let's have you punished, Yoshikage Kira.\What? What are these things?!\Deadly Queen!\Make these things explode!\I-I... response:	Wh-Where are they going to take me?
context: Arnold!\What?!\Now, let's have you punished, Yoshikage Kira.\What? What are these things?!\Deadly Queen!\Make these things explode!\I-I...\Wh-Where are they going to take me? response:	Who knows?
context: What?!\Now, let's have you punished, Yoshikage Kira.\What? What are these things?!\Deadly Queen!\Make these things explode!\I-I...\Wh-Where are they going to take me?\Who knows? response:	But...
context: Now, let's have you punished, Yoshikage Kira.\What? What are these things?!\Deadly Queen!\Make these things explode!\I-I...\Wh-Where are they going to take me?\Who knows?\But... response:	I'm sure it's somewhere you won't be able to rest in peace.
context: What? What are these things?!\Deadly Queen!\Make these things explode!\I-I...\Wh-Where are they going to take me?\Who knows?\But...\I'm sure it's somewhere you won't be able to rest in peace. response:	Now,
context: Deadly Queen!\Make these things explode!\I-I...\Wh-Where are they going to take me?\Who knows?\But...\I'm sure it's somewhere you won't be able to rest in peace.\Now, response:	we can finally...
context: Make these things explode!\I-I...\Wh-Where are they going to take me?\Who knows?\But...\I'm sure it's somewhere you won't be able to rest in peace.\Now,\we can finally... response:	We can finally go...
context: I-I...\Wh-Where are they going to take me?\Who knows?\But...\I'm sure it's somewhere you won't be able to rest in peace.\Now,\we can finally...\We can finally go... response:	Help Wanted
context: Wh-Where are they going to take me?\Who knows?\But...\I'm sure it's somewhere you won't be able to rest in peace.\Now,\we can finally...\We can finally go...\Help Wanted response:	Reimi! Are you really leaving?
context: Who knows?\But...\I'm sure it's somewhere you won't be able to rest in peace.\Now,\we can finally...\We can finally go...\Help Wanted\Reimi! Are you really leaving? response:	It wouldn't hurt if you stayed a little longer, would it?
context: But...\I'm sure it's somewhere you won't be able to rest in peace.\Now,\we can finally...\We can finally go...\Help Wanted\Reimi! Are you really leaving?\It wouldn't hurt if you stayed a little longer, would it? response:	It feels like this town's losing its guardian angel...
context: I'm sure it's somewhere you won't be able to rest in peace.\Now,\we can finally...\We can finally go...\Help Wanted\Reimi! Are you really leaving?\It wouldn't hurt if you stayed a little longer, would it?\It feels like this town's losing its guardian angel... response:	It makes me uneasy, knowing that you're leaving.
context: Now,\we can finally...\We can finally go...\Help Wanted\Reimi! Are you really leaving?\It wouldn't hurt if you stayed a little longer, would it?\It feels like this town's losing its guardian angel...\It makes me uneasy, knowing that you're leaving. response:	Thanks... But there's nothing left for us to do in this town.
context: we can finally...\We can finally go...\Help Wanted\Reimi! Are you really leaving?\It wouldn't hurt if you stayed a little longer, would it?\It feels like this town's losing its guardian angel...\It makes me uneasy, knowing that you're leaving.\Thanks... But there's nothing left for us to do in this town. response:	The time has come for us to leave this town.
context: We can finally go...\Help Wanted\Reimi! Are you really leaving?\It wouldn't hurt if you stayed a little longer, would it?\It feels like this town's losing its guardian angel...\It makes me uneasy, knowing that you're leaving.\Thanks... But there's nothing left for us to do in this town.\The time has come for us to leave this town. response:	We have to go.
context: Help Wanted\Reimi! Are you really leaving?\It wouldn't hurt if you stayed a little longer, would it?\It feels like this town's losing its guardian angel...\It makes me uneasy, knowing that you're leaving.\Thanks... But there's nothing left for us to do in this town.\The time has come for us to leave this town.\We have to go. response:	Or what? Are you going to cry when I leave
context: Reimi! Are you really leaving?\It wouldn't hurt if you stayed a little longer, would it?\It feels like this town's losing its guardian angel...\It makes me uneasy, knowing that you're leaving.\Thanks... But there's nothing left for us to do in this town.\The time has come for us to leave this town.\We have to go.\Or what? Are you going to cry when I leave response:	because you'll miss me, Rohan?
context: It wouldn't hurt if you stayed a little longer, would it?\It feels like this town's losing its guardian angel...\It makes me uneasy, knowing that you're leaving.\Thanks... But there's nothing left for us to do in this town.\The time has come for us to leave this town.\We have to go.\Or what? Are you going to cry when I leave\because you'll miss me, Rohan? response:	Don't be stupid.
context: It feels like this town's losing its guardian angel...\It makes me uneasy, knowing that you're leaving.\Thanks... But there's nothing left for us to do in this town.\The time has come for us to leave this town.\We have to go.\Or what? Are you going to cry when I leave\because you'll miss me, Rohan?\Don't be stupid. response:	Kisara Drugs
context: It makes me uneasy, knowing that you're leaving.\Thanks... But there's nothing left for us to do in this town.\The time has come for us to leave this town.\We have to go.\Or what? Are you going to cry when I leave\because you'll miss me, Rohan?\Don't be stupid.\Kisara Drugs response:	Why would I miss you?
