context: I-I-I have a... fiancee? response:	And what do you mean, she's coming tomorrow?
context: You seem totally fine to me!\Who the hell does she think she is?!\Nurse's Office\Thank you very much, Raku-sama.\I feel much better now, thanks to you.\Now, then, Raku-sama.\We are alone at last.\What date would you like to set for our wedding? response:	Wedding?!
context: Who the hell does she think she is?!\Nurse's Office\Thank you very much, Raku-sama.\I feel much better now, thanks to you.\Now, then, Raku-sama.\We are alone at last.\What date would you like to set for our wedding?\Wedding?! response:	No, slow down! Time out, time out!
context: Nurse's Office\Thank you very much, Raku-sama.\I feel much better now, thanks to you.\Now, then, Raku-sama.\We are alone at last.\What date would you like to set for our wedding?\Wedding?!\No, slow down! Time out, time out! response:	Sorry! I'm gonna come clean about everything now.
context: Thank you very much, Raku-sama.\I feel much better now, thanks to you.\Now, then, Raku-sama.\We are alone at last.\What date would you like to set for our wedding?\Wedding?!\No, slow down! Time out, time out!\Sorry! I'm gonna come clean about everything now. response:	The fact is, I didn't even know I had a fiancee until yesterday!
context: I feel much better now, thanks to you.\Now, then, Raku-sama.\We are alone at last.\What date would you like to set for our wedding?\Wedding?!\No, slow down! Time out, time out!\Sorry! I'm gonna come clean about everything now.\The fact is, I didn't even know I had a fiancee until yesterday! response:	And besides, I don't remember you at all.
context: Now, then, Raku-sama.\We are alone at last.\What date would you like to set for our wedding?\Wedding?!\No, slow down! Time out, time out!\Sorry! I'm gonna come clean about everything now.\The fact is, I didn't even know I had a fiancee until yesterday!\And besides, I don't remember you at all. response:	Doesn't the same go for you?
context: We are alone at last.\What date would you like to set for our wedding?\Wedding?!\No, slow down! Time out, time out!\Sorry! I'm gonna come clean about everything now.\The fact is, I didn't even know I had a fiancee until yesterday!\And besides, I don't remember you at all.\Doesn't the same go for you? response:	Someone you haven't seen for ten whole years...
context: What date would you like to set for our wedding?\Wedding?!\No, slow down! Time out, time out!\Sorry! I'm gonna come clean about everything now.\The fact is, I didn't even know I had a fiancee until yesterday!\And besides, I don't remember you at all.\Doesn't the same go for you?\Someone you haven't seen for ten whole years... response:	I might as well be a stranger to you.
context: Wedding?!\No, slow down! Time out, time out!\Sorry! I'm gonna come clean about everything now.\The fact is, I didn't even know I had a fiancee until yesterday!\And besides, I don't remember you at all.\Doesn't the same go for you?\Someone you haven't seen for ten whole years...\I might as well be a stranger to you. response:	Plus, your dad never asked you if you wanted to marry me.
context: No, slow down! Time out, time out!\Sorry! I'm gonna come clean about everything now.\The fact is, I didn't even know I had a fiancee until yesterday!\And besides, I don't remember you at all.\Doesn't the same go for you?\Someone you haven't seen for ten whole years...\I might as well be a stranger to you.\Plus, your dad never asked you if you wanted to marry me. response:	Doesn't that upset you?
context: Sorry! I'm gonna come clean about everything now.\The fact is, I didn't even know I had a fiancee until yesterday!\And besides, I don't remember you at all.\Doesn't the same go for you?\Someone you haven't seen for ten whole years...\I might as well be a stranger to you.\Plus, your dad never asked you if you wanted to marry me.\Doesn't that upset you? response:	Not at all.
context: The fact is, I didn't even know I had a fiancee until yesterday!\And besides, I don't remember you at all.\Doesn't the same go for you?\Someone you haven't seen for ten whole years...\I might as well be a stranger to you.\Plus, your dad never asked you if you wanted to marry me.\Doesn't that upset you?\Not at all. response:	I am in love with you, Raku-sama.
context: And besides, I don't remember you at all.\Doesn't the same go for you?\Someone you haven't seen for ten whole years...\I might as well be a stranger to you.\Plus, your dad never asked you if you wanted to marry me.\Doesn't that upset you?\Not at all.\I am in love with you, Raku-sama. response:	It's not because my father decided for me.
context: Doesn't the same go for you?\Someone you haven't seen for ten whole years...\I might as well be a stranger to you.\Plus, your dad never asked you if you wanted to marry me.\Doesn't that upset you?\Not at all.\I am in love with you, Raku-sama.\It's not because my father decided for me. response:	For the last ten years, I have held no one but you in my heart.
context: Someone you haven't seen for ten whole years...\I might as well be a stranger to you.\Plus, your dad never asked you if you wanted to marry me.\Doesn't that upset you?\Not at all.\I am in love with you, Raku-sama.\It's not because my father decided for me.\For the last ten years, I have held no one but you in my heart. response:	Do you even remember what happened ten years ago?
context: I might as well be a stranger to you.\Plus, your dad never asked you if you wanted to marry me.\Doesn't that upset you?\Not at all.\I am in love with you, Raku-sama.\It's not because my father decided for me.\For the last ten years, I have held no one but you in my heart.\Do you even remember what happened ten years ago? response:	Yes. As clear as day.
context: Plus, your dad never asked you if you wanted to marry me.\Doesn't that upset you?\Not at all.\I am in love with you, Raku-sama.\It's not because my father decided for me.\For the last ten years, I have held no one but you in my heart.\Do you even remember what happened ten years ago?\Yes. As clear as day. response:	Then you remember that promise, too?
context: Doesn't that upset you?\Not at all.\I am in love with you, Raku-sama.\It's not because my father decided for me.\For the last ten years, I have held no one but you in my heart.\Do you even remember what happened ten years ago?\Yes. As clear as day.\Then you remember that promise, too? response:	Promise...
context: Not at all.\I am in love with you, Raku-sama.\It's not because my father decided for me.\For the last ten years, I have held no one but you in my heart.\Do you even remember what happened ten years ago?\Yes. As clear as day.\Then you remember that promise, too?\Promise... response:	Yes, of course I remember, Raku-sama.
context: I am in love with you, Raku-sama.\It's not because my father decided for me.\For the last ten years, I have held no one but you in my heart.\Do you even remember what happened ten years ago?\Yes. As clear as day.\Then you remember that promise, too?\Promise...\Yes, of course I remember, Raku-sama. response:	Then it's her after all?!
context: It's not because my father decided for me.\For the last ten years, I have held no one but you in my heart.\Do you even remember what happened ten years ago?\Yes. As clear as day.\Then you remember that promise, too?\Promise...\Yes, of course I remember, Raku-sama.\Then it's her after all?! response:	Therefore...
context: For the last ten years, I have held no one but you in my heart.\Do you even remember what happened ten years ago?\Yes. As clear as day.\Then you remember that promise, too?\Promise...\Yes, of course I remember, Raku-sama.\Then it's her after all?!\Therefore... response:	Raku-sama!
context: Do you even remember what happened ten years ago?\Yes. As clear as day.\Then you remember that promise, too?\Promise...\Yes, of course I remember, Raku-sama.\Then it's her after all?!\Therefore...\Raku-sama! response:	Please marry me!
context: Yes. As clear as day.\Then you remember that promise, too?\Promise...\Yes, of course I remember, Raku-sama.\Then it's her after all?!\Therefore...\Raku-sama!\Please marry me! response:	Whoa! Hold up a second, I said!
context: Then you remember that promise, too?\Promise...\Yes, of course I remember, Raku-sama.\Then it's her after all?!\Therefore...\Raku-sama!\Please marry me!\Whoa! Hold up a second, I said! response:	Now, then, Raku-sama! Please remove your clothing now!
context: Promise...\Yes, of course I remember, Raku-sama.\Then it's her after all?!\Therefore...\Raku-sama!\Please marry me!\Whoa! Hold up a second, I said!\Now, then, Raku-sama! Please remove your clothing now! response:	Hey! Cut it out! Whoa! Not there!
context: Yes, of course I remember, Raku-sama.\Then it's her after all?!\Therefore...\Raku-sama!\Please marry me!\Whoa! Hold up a second, I said!\Now, then, Raku-sama! Please remove your clothing now!\Hey! Cut it out! Whoa! Not there! response:	Oh, so you like it there?
context: Then it's her after all?!\Therefore...\Raku-sama!\Please marry me!\Whoa! Hold up a second, I said!\Now, then, Raku-sama! Please remove your clothing now!\Hey! Cut it out! Whoa! Not there!\Oh, so you like it there? response:	Not there! Jeez, hold up!
context: Therefore...\Raku-sama!\Please marry me!\Whoa! Hold up a second, I said!\Now, then, Raku-sama! Please remove your clothing now!\Hey! Cut it out! Whoa! Not there!\Oh, so you like it there?\Not there! Jeez, hold up! response:	Hey! What do you think you're doing, you two?
context: Raku-sama!\Please marry me!\Whoa! Hold up a second, I said!\Now, then, Raku-sama! Please remove your clothing now!\Hey! Cut it out! Whoa! Not there!\Oh, so you like it there?\Not there! Jeez, hold up!\Hey! What do you think you're doing, you two? response:	It's not what you think!
context: Please marry me!\Whoa! Hold up a second, I said!\Now, then, Raku-sama! Please remove your clothing now!\Hey! Cut it out! Whoa! Not there!\Oh, so you like it there?\Not there! Jeez, hold up!\Hey! What do you think you're doing, you two?\It's not what you think! response:	I swear, it's not what you think!
context: Whoa! Hold up a second, I said!\Now, then, Raku-sama! Please remove your clothing now!\Hey! Cut it out! Whoa! Not there!\Oh, so you like it there?\Not there! Jeez, hold up!\Hey! What do you think you're doing, you two?\It's not what you think!\I swear, it's not what you think! response:	We just ended up like this while I was fighting her off!
context: Now, then, Raku-sama! Please remove your clothing now!\Hey! Cut it out! Whoa! Not there!\Oh, so you like it there?\Not there! Jeez, hold up!\Hey! What do you think you're doing, you two?\It's not what you think!\I swear, it's not what you think!\We just ended up like this while I was fighting her off! response:	You animal...
context: Hey! Cut it out! Whoa! Not there!\Oh, so you like it there?\Not there! Jeez, hold up!\Hey! What do you think you're doing, you two?\It's not what you think!\I swear, it's not what you think!\We just ended up like this while I was fighting her off!\You animal... response:	Die, scumbag!
context: Oh, so you like it there?\Not there! Jeez, hold up!\Hey! What do you think you're doing, you two?\It's not what you think!\I swear, it's not what you think!\We just ended up like this while I was fighting her off!\You animal...\Die, scumbag! response:	Scumbag?
context: Not there! Jeez, hold up!\Hey! What do you think you're doing, you two?\It's not what you think!\I swear, it's not what you think!\We just ended up like this while I was fighting her off!\You animal...\Die, scumbag!\Scumbag? response:	Sorry, what did you just say?
context: Hey! What do you think you're doing, you two?\It's not what you think!\I swear, it's not what you think!\We just ended up like this while I was fighting her off!\You animal...\Die, scumbag!\Scumbag?\Sorry, what did you just say? response:	Hey, Onodera!
context: It's not what you think!\I swear, it's not what you think!\We just ended up like this while I was fighting her off!\You animal...\Die, scumbag!\Scumbag?\Sorry, what did you just say?\Hey, Onodera! response:	Come on, just hear me out!
context: I swear, it's not what you think!\We just ended up like this while I was fighting her off!\You animal...\Die, scumbag!\Scumbag?\Sorry, what did you just say?\Hey, Onodera!\Come on, just hear me out! response:	I swear I didn't do anythingOnodera?
context: We just ended up like this while I was fighting her off!\You animal...\Die, scumbag!\Scumbag?\Sorry, what did you just say?\Hey, Onodera!\Come on, just hear me out!\I swear I didn't do anythingOnodera? response:	You obscene bean sprout!
context: You animal...\Die, scumbag!\Scumbag?\Sorry, what did you just say?\Hey, Onodera!\Come on, just hear me out!\I swear I didn't do anythingOnodera?\You obscene bean sprout! response:	I'll annihilate you!
context: Die, scumbag!\Scumbag?\Sorry, what did you just say?\Hey, Onodera!\Come on, just hear me out!\I swear I didn't do anythingOnodera?\You obscene bean sprout!\I'll annihilate you! response:	Just as we'd feared, he had no recollection of you, Miss Marika.
context: Scumbag?\Sorry, what did you just say?\Hey, Onodera!\Come on, just hear me out!\I swear I didn't do anythingOnodera?\You obscene bean sprout!\I'll annihilate you!\Just as we'd feared, he had no recollection of you, Miss Marika. response:	Nor of your promise.
context: Sorry, what did you just say?\Hey, Onodera!\Come on, just hear me out!\I swear I didn't do anythingOnodera?\You obscene bean sprout!\I'll annihilate you!\Just as we'd feared, he had no recollection of you, Miss Marika.\Nor of your promise. response:	No matter.
context: Hey, Onodera!\Come on, just hear me out!\I swear I didn't do anythingOnodera?\You obscene bean sprout!\I'll annihilate you!\Just as we'd feared, he had no recollection of you, Miss Marika.\Nor of your promise.\No matter. response:	If he insists that he doesn't remember,
context: Come on, just hear me out!\I swear I didn't do anythingOnodera?\You obscene bean sprout!\I'll annihilate you!\Just as we'd feared, he had no recollection of you, Miss Marika.\Nor of your promise.\No matter.\If he insists that he doesn't remember, response:	then I shall jog his memory.
context: I swear I didn't do anythingOnodera?\You obscene bean sprout!\I'll annihilate you!\Just as we'd feared, he had no recollection of you, Miss Marika.\Nor of your promise.\No matter.\If he insists that he doesn't remember,\then I shall jog his memory. response:	I, alone, am fated to be with Raku-sama.
context: You obscene bean sprout!\I'll annihilate you!\Just as we'd feared, he had no recollection of you, Miss Marika.\Nor of your promise.\No matter.\If he insists that he doesn't remember,\then I shall jog his memory.\I, alone, am fated to be with Raku-sama. response:	But when I stop and think about it,
context: I'll annihilate you!\Just as we'd feared, he had no recollection of you, Miss Marika.\Nor of your promise.\No matter.\If he insists that he doesn't remember,\then I shall jog his memory.\I, alone, am fated to be with Raku-sama.\But when I stop and think about it, response:	it's so obvious that moron wouldn't have the guts to do something like that.
context: Just as we'd feared, he had no recollection of you, Miss Marika.\Nor of your promise.\No matter.\If he insists that he doesn't remember,\then I shall jog his memory.\I, alone, am fated to be with Raku-sama.\But when I stop and think about it,\it's so obvious that moron wouldn't have the guts to do something like that. response:	So why did I let it get under my skin?
context: Nor of your promise.\No matter.\If he insists that he doesn't remember,\then I shall jog his memory.\I, alone, am fated to be with Raku-sama.\But when I stop and think about it,\it's so obvious that moron wouldn't have the guts to do something like that.\So why did I let it get under my skin? response:	Maybe punching him was overkill.
context: No matter.\If he insists that he doesn't remember,\then I shall jog his memory.\I, alone, am fated to be with Raku-sama.\But when I stop and think about it,\it's so obvious that moron wouldn't have the guts to do something like that.\So why did I let it get under my skin?\Maybe punching him was overkill. response:	I guess it wouldn't hurt to apologize.
context: If he insists that he doesn't remember,\then I shall jog his memory.\I, alone, am fated to be with Raku-sama.\But when I stop and think about it,\it's so obvious that moron wouldn't have the guts to do something like that.\So why did I let it get under my skin?\Maybe punching him was overkill.\I guess it wouldn't hurt to apologize. response:	Morning!
context: then I shall jog his memory.\I, alone, am fated to be with Raku-sama.\But when I stop and think about it,\it's so obvious that moron wouldn't have the guts to do something like that.\So why did I let it get under my skin?\Maybe punching him was overkill.\I guess it wouldn't hurt to apologize.\Morning! response:	Raku-sama! Good morning!
context: I, alone, am fated to be with Raku-sama.\But when I stop and think about it,\it's so obvious that moron wouldn't have the guts to do something like that.\So why did I let it get under my skin?\Maybe punching him was overkill.\I guess it wouldn't hurt to apologize.\Morning!\Raku-sama! Good morning! response:	I told you, don't cling to me in public!
context: But when I stop and think about it,\it's so obvious that moron wouldn't have the guts to do something like that.\So why did I let it get under my skin?\Maybe punching him was overkill.\I guess it wouldn't hurt to apologize.\Morning!\Raku-sama! Good morning!\I told you, don't cling to me in public! response:	Huh?
context: it's so obvious that moron wouldn't have the guts to do something like that.\So why did I let it get under my skin?\Maybe punching him was overkill.\I guess it wouldn't hurt to apologize.\Morning!\Raku-sama! Good morning!\I told you, don't cling to me in public!\Huh? response:	Oh, my! Look at you, so bashful! Why can't we be clingy?
context: So why did I let it get under my skin?\Maybe punching him was overkill.\I guess it wouldn't hurt to apologize.\Morning!\Raku-sama! Good morning!\I told you, don't cling to me in public!\Huh?\Oh, my! Look at you, so bashful! Why can't we be clingy? response:	Why am I hiding?
context: Maybe punching him was overkill.\I guess it wouldn't hurt to apologize.\Morning!\Raku-sama! Good morning!\I told you, don't cling to me in public!\Huh?\Oh, my! Look at you, so bashful! Why can't we be clingy?\Why am I hiding? response:	Listen, I'm having to suffer thanks to your actions!
context: I guess it wouldn't hurt to apologize.\Morning!\Raku-sama! Good morning!\I told you, don't cling to me in public!\Huh?\Oh, my! Look at you, so bashful! Why can't we be clingy?\Why am I hiding?\Listen, I'm having to suffer thanks to your actions! response:	All the girls are avoiding me and whispering about me,
context: Morning!\Raku-sama! Good morning!\I told you, don't cling to me in public!\Huh?\Oh, my! Look at you, so bashful! Why can't we be clingy?\Why am I hiding?\Listen, I'm having to suffer thanks to your actions!\All the girls are avoiding me and whispering about me, response:	and the guys just carpet bombed me playing dodgeball in P.E.
context: Raku-sama! Good morning!\I told you, don't cling to me in public!\Huh?\Oh, my! Look at you, so bashful! Why can't we be clingy?\Why am I hiding?\Listen, I'm having to suffer thanks to your actions!\All the girls are avoiding me and whispering about me,\and the guys just carpet bombed me playing dodgeball in P.E. response:	Die, Ichijo! Why do you get all the babes?
context: I told you, don't cling to me in public!\Huh?\Oh, my! Look at you, so bashful! Why can't we be clingy?\Why am I hiding?\Listen, I'm having to suffer thanks to your actions!\All the girls are avoiding me and whispering about me,\and the guys just carpet bombed me playing dodgeball in P.E.\Die, Ichijo! Why do you get all the babes? response:	Oh, my...
context: Huh?\Oh, my! Look at you, so bashful! Why can't we be clingy?\Why am I hiding?\Listen, I'm having to suffer thanks to your actions!\All the girls are avoiding me and whispering about me,\and the guys just carpet bombed me playing dodgeball in P.E.\Die, Ichijo! Why do you get all the babes?\Oh, my... response:	Just as I thought, you're so popular, Raku-sama.
context: Oh, my! Look at you, so bashful! Why can't we be clingy?\Why am I hiding?\Listen, I'm having to suffer thanks to your actions!\All the girls are avoiding me and whispering about me,\and the guys just carpet bombed me playing dodgeball in P.E.\Die, Ichijo! Why do you get all the babes?\Oh, my...\Just as I thought, you're so popular, Raku-sama. response:	It's so alluring!
context: Why am I hiding?\Listen, I'm having to suffer thanks to your actions!\All the girls are avoiding me and whispering about me,\and the guys just carpet bombed me playing dodgeball in P.E.\Die, Ichijo! Why do you get all the babes?\Oh, my...\Just as I thought, you're so popular, Raku-sama.\It's so alluring! response:	Um, did you hear a word that I said?
context: Listen, I'm having to suffer thanks to your actions!\All the girls are avoiding me and whispering about me,\and the guys just carpet bombed me playing dodgeball in P.E.\Die, Ichijo! Why do you get all the babes?\Oh, my...\Just as I thought, you're so popular, Raku-sama.\It's so alluring!\Um, did you hear a word that I said? response:	Oh, but I want to spend more time talking to you.
context: All the girls are avoiding me and whispering about me,\and the guys just carpet bombed me playing dodgeball in P.E.\Die, Ichijo! Why do you get all the babes?\Oh, my...\Just as I thought, you're so popular, Raku-sama.\It's so alluring!\Um, did you hear a word that I said?\Oh, but I want to spend more time talking to you. response:	After all, we were interrupted more than once yesterday.
context: and the guys just carpet bombed me playing dodgeball in P.E.\Die, Ichijo! Why do you get all the babes?\Oh, my...\Just as I thought, you're so popular, Raku-sama.\It's so alluring!\Um, did you hear a word that I said?\Oh, but I want to spend more time talking to you.\After all, we were interrupted more than once yesterday. response:	Therefore, Raku-sama, why don't we go on a date tomorrow?
context: Die, Ichijo! Why do you get all the babes?\Oh, my...\Just as I thought, you're so popular, Raku-sama.\It's so alluring!\Um, did you hear a word that I said?\Oh, but I want to spend more time talking to you.\After all, we were interrupted more than once yesterday.\Therefore, Raku-sama, why don't we go on a date tomorrow? response:	As luck would have it, it is a holiday.
context: Oh, my...\Just as I thought, you're so popular, Raku-sama.\It's so alluring!\Um, did you hear a word that I said?\Oh, but I want to spend more time talking to you.\After all, we were interrupted more than once yesterday.\Therefore, Raku-sama, why don't we go on a date tomorrow?\As luck would have it, it is a holiday. response:	What? A date?
context: Just as I thought, you're so popular, Raku-sama.\It's so alluring!\Um, did you hear a word that I said?\Oh, but I want to spend more time talking to you.\After all, we were interrupted more than once yesterday.\Therefore, Raku-sama, why don't we go on a date tomorrow?\As luck would have it, it is a holiday.\What? A date? response:	Not happening! Not happening!
context: It's so alluring!\Um, did you hear a word that I said?\Oh, but I want to spend more time talking to you.\After all, we were interrupted more than once yesterday.\Therefore, Raku-sama, why don't we go on a date tomorrow?\As luck would have it, it is a holiday.\What? A date?\Not happening! Not happening! response:	Remember... Didn't I tell you?
context: Um, did you hear a word that I said?\Oh, but I want to spend more time talking to you.\After all, we were interrupted more than once yesterday.\Therefore, Raku-sama, why don't we go on a date tomorrow?\As luck would have it, it is a holiday.\What? A date?\Not happening! Not happening!\Remember... Didn't I tell you? response:	I have a... you know, a girlfriend. Remember?
context: Oh, but I want to spend more time talking to you.\After all, we were interrupted more than once yesterday.\Therefore, Raku-sama, why don't we go on a date tomorrow?\As luck would have it, it is a holiday.\What? A date?\Not happening! Not happening!\Remember... Didn't I tell you?\I have a... you know, a girlfriend. Remember? response:	Oh, so it's not possible then, is it now?
context: After all, we were interrupted more than once yesterday.\Therefore, Raku-sama, why don't we go on a date tomorrow?\As luck would have it, it is a holiday.\What? A date?\Not happening! Not happening!\Remember... Didn't I tell you?\I have a... you know, a girlfriend. Remember?\Oh, so it's not possible then, is it now? response:	After caring for you all this time...
context: Therefore, Raku-sama, why don't we go on a date tomorrow?\As luck would have it, it is a holiday.\What? A date?\Not happening! Not happening!\Remember... Didn't I tell you?\I have a... you know, a girlfriend. Remember?\Oh, so it's not possible then, is it now?\After caring for you all this time... response:	If my father should hear of this, I know not how far he'll fall into despair!
context: As luck would have it, it is a holiday.\What? A date?\Not happening! Not happening!\Remember... Didn't I tell you?\I have a... you know, a girlfriend. Remember?\Oh, so it's not possible then, is it now?\After caring for you all this time...\If my father should hear of this, I know not how far he'll fall into despair! response:	If this triggers a raid on us...
context: What? A date?\Not happening! Not happening!\Remember... Didn't I tell you?\I have a... you know, a girlfriend. Remember?\Oh, so it's not possible then, is it now?\After caring for you all this time...\If my father should hear of this, I know not how far he'll fall into despair!\If this triggers a raid on us... response:	All right, all right, all right!
context: Not happening! Not happening!\Remember... Didn't I tell you?\I have a... you know, a girlfriend. Remember?\Oh, so it's not possible then, is it now?\After caring for you all this time...\If my father should hear of this, I know not how far he'll fall into despair!\If this triggers a raid on us...\All right, all right, all right! response:	Actually, I meant to say that's exactly what I wanted to do!
context: Remember... Didn't I tell you?\I have a... you know, a girlfriend. Remember?\Oh, so it's not possible then, is it now?\After caring for you all this time...\If my father should hear of this, I know not how far he'll fall into despair!\If this triggers a raid on us...\All right, all right, all right!\Actually, I meant to say that's exactly what I wanted to do! response:	Oh, my! Really? That makes me so happy!
context: I have a... you know, a girlfriend. Remember?\Oh, so it's not possible then, is it now?\After caring for you all this time...\If my father should hear of this, I know not how far he'll fall into despair!\If this triggers a raid on us...\All right, all right, all right!\Actually, I meant to say that's exactly what I wanted to do!\Oh, my! Really? That makes me so happy! response:	A date?
context: Oh, so it's not possible then, is it now?\After caring for you all this time...\If my father should hear of this, I know not how far he'll fall into despair!\If this triggers a raid on us...\All right, all right, all right!\Actually, I meant to say that's exactly what I wanted to do!\Oh, my! Really? That makes me so happy!\A date? response:	Oh, man, how did I end up here?
context: After caring for you all this time...\If my father should hear of this, I know not how far he'll fall into despair!\If this triggers a raid on us...\All right, all right, all right!\Actually, I meant to say that's exactly what I wanted to do!\Oh, my! Really? That makes me so happy!\A date?\Oh, man, how did I end up here? response:	But if you look at it another way,
context: If my father should hear of this, I know not how far he'll fall into despair!\If this triggers a raid on us...\All right, all right, all right!\Actually, I meant to say that's exactly what I wanted to do!\Oh, my! Really? That makes me so happy!\A date?\Oh, man, how did I end up here?\But if you look at it another way, response:	this may be my chance to ask about what happened ten years ago.
context: If this triggers a raid on us...\All right, all right, all right!\Actually, I meant to say that's exactly what I wanted to do!\Oh, my! Really? That makes me so happy!\A date?\Oh, man, how did I end up here?\But if you look at it another way,\this may be my chance to ask about what happened ten years ago. response:	In the end, I never told Kirisaki about it, though.
context: All right, all right, all right!\Actually, I meant to say that's exactly what I wanted to do!\Oh, my! Really? That makes me so happy!\A date?\Oh, man, how did I end up here?\But if you look at it another way,\this may be my chance to ask about what happened ten years ago.\In the end, I never told Kirisaki about it, though. response:	Wow, she was vague about where we'd meet.
context: Actually, I meant to say that's exactly what I wanted to do!\Oh, my! Really? That makes me so happy!\A date?\Oh, man, how did I end up here?\But if you look at it another way,\this may be my chance to ask about what happened ten years ago.\In the end, I never told Kirisaki about it, though.\Wow, she was vague about where we'd meet. response:	Sure, she said I couldn't miss it, but
context: Oh, my! Really? That makes me so happy!\A date?\Oh, man, how did I end up here?\But if you look at it another way,\this may be my chance to ask about what happened ten years ago.\In the end, I never told Kirisaki about it, though.\Wow, she was vague about where we'd meet.\Sure, she said I couldn't miss it, but response:	What's going on here?
context: A date?\Oh, man, how did I end up here?\But if you look at it another way,\this may be my chance to ask about what happened ten years ago.\In the end, I never told Kirisaki about it, though.\Wow, she was vague about where we'd meet.\Sure, she said I couldn't miss it, but\What's going on here? response:	Where'd this horde of police cars come from?
context: Oh, man, how did I end up here?\But if you look at it another way,\this may be my chance to ask about what happened ten years ago.\In the end, I never told Kirisaki about it, though.\Wow, she was vague about where we'd meet.\Sure, she said I couldn't miss it, but\What's going on here?\Where'd this horde of police cars come from? response:	Was there some kind of incident?
context: But if you look at it another way,\this may be my chance to ask about what happened ten years ago.\In the end, I never told Kirisaki about it, though.\Wow, she was vague about where we'd meet.\Sure, she said I couldn't miss it, but\What's going on here?\Where'd this horde of police cars come from?\Was there some kind of incident? response:	Oh! Raku-sama!
context: this may be my chance to ask about what happened ten years ago.\In the end, I never told Kirisaki about it, though.\Wow, she was vague about where we'd meet.\Sure, she said I couldn't miss it, but\What's going on here?\Where'd this horde of police cars come from?\Was there some kind of incident?\Oh! Raku-sama! response:	Good morning!
context: In the end, I never told Kirisaki about it, though.\Wow, she was vague about where we'd meet.\Sure, she said I couldn't miss it, but\What's going on here?\Where'd this horde of police cars come from?\Was there some kind of incident?\Oh! Raku-sama!\Good morning! response:	I've been waiting for you!
context: Wow, she was vague about where we'd meet.\Sure, she said I couldn't miss it, but\What's going on here?\Where'd this horde of police cars come from?\Was there some kind of incident?\Oh! Raku-sama!\Good morning!\I've been waiting for you! response:	Oh, you're all free to go now, officers.
context: Sure, she said I couldn't miss it, but\What's going on here?\Where'd this horde of police cars come from?\Was there some kind of incident?\Oh! Raku-sama!\Good morning!\I've been waiting for you!\Oh, you're all free to go now, officers. response:	Enjoy your holiday.
context: What's going on here?\Where'd this horde of police cars come from?\Was there some kind of incident?\Oh! Raku-sama!\Good morning!\I've been waiting for you!\Oh, you're all free to go now, officers.\Enjoy your holiday. response:	Have a nice day!
context: Where'd this horde of police cars come from?\Was there some kind of incident?\Oh! Raku-sama!\Good morning!\I've been waiting for you!\Oh, you're all free to go now, officers.\Enjoy your holiday.\Have a nice day! response:	What am I gonna do?
context: Was there some kind of incident?\Oh! Raku-sama!\Good morning!\I've been waiting for you!\Oh, you're all free to go now, officers.\Enjoy your holiday.\Have a nice day!\What am I gonna do? response:	Seems like the girl who's got her eye on me is a real piece of work!
context: Oh! Raku-sama!\Good morning!\I've been waiting for you!\Oh, you're all free to go now, officers.\Enjoy your holiday.\Have a nice day!\What am I gonna do?\Seems like the girl who's got her eye on me is a real piece of work! response:	Are we really going to follow them?
context: Good morning!\I've been waiting for you!\Oh, you're all free to go now, officers.\Enjoy your holiday.\Have a nice day!\What am I gonna do?\Seems like the girl who's got her eye on me is a real piece of work!\Are we really going to follow them? response:	Of course we are! Aren't you worried at all?
context: I've been waiting for you!\Oh, you're all free to go now, officers.\Enjoy your holiday.\Have a nice day!\What am I gonna do?\Seems like the girl who's got her eye on me is a real piece of work!\Are we really going to follow them?\Of course we are! Aren't you worried at all? response:	Who is that?
context: Oh, you're all free to go now, officers.\Enjoy your holiday.\Have a nice day!\What am I gonna do?\Seems like the girl who's got her eye on me is a real piece of work!\Are we really going to follow them?\Of course we are! Aren't you worried at all?\Who is that? response:	A model?
context: Enjoy your holiday.\Have a nice day!\What am I gonna do?\Seems like the girl who's got her eye on me is a real piece of work!\Are we really going to follow them?\Of course we are! Aren't you worried at all?\Who is that?\A model? response:	Never in his wildest dreams would it occur to him that I'd be dressed so stylishly!
context: Have a nice day!\What am I gonna do?\Seems like the girl who's got her eye on me is a real piece of work!\Are we really going to follow them?\Of course we are! Aren't you worried at all?\Who is that?\A model?\Never in his wildest dreams would it occur to him that I'd be dressed so stylishly! response:	I've got to monitor his actions, and report to Mistress!
context: What am I gonna do?\Seems like the girl who's got her eye on me is a real piece of work!\Are we really going to follow them?\Of course we are! Aren't you worried at all?\Who is that?\A model?\Never in his wildest dreams would it occur to him that I'd be dressed so stylishly!\I've got to monitor his actions, and report to Mistress! response:	That's right! I'm not doing this because I need to know! It's for Mistress's sake!
context: Seems like the girl who's got her eye on me is a real piece of work!\Are we really going to follow them?\Of course we are! Aren't you worried at all?\Who is that?\A model?\Never in his wildest dreams would it occur to him that I'd be dressed so stylishly!\I've got to monitor his actions, and report to Mistress!\That's right! I'm not doing this because I need to know! It's for Mistress's sake! response:	Um, excuse me?
context: Are we really going to follow them?\Of course we are! Aren't you worried at all?\Who is that?\A model?\Never in his wildest dreams would it occur to him that I'd be dressed so stylishly!\I've got to monitor his actions, and report to Mistress!\That's right! I'm not doing this because I need to know! It's for Mistress's sake!\Um, excuse me? response:	Could I ask you for some directions?
