context: Hey, Sakura! You're an early riser today, eh? response:	Because today starts a new semester.
context: Because you just won't come home no matter how long I wait, Shao Lan.\Because when I capture all the Clow Cards'\Isn't there some other kid who captured them?\Just like it said in that fortune telling you did in Hong Kong.\I explained it to you yesterday, didn't I?\It's that kid, isn't it?\What's happened?\I just got this chill' response:	And so that's the case.
context: Because when I capture all the Clow Cards'\Isn't there some other kid who captured them?\Just like it said in that fortune telling you did in Hong Kong.\I explained it to you yesterday, didn't I?\It's that kid, isn't it?\What's happened?\I just got this chill'\And so that's the case. response:	To capture them all, it'll take some time.
context: Isn't there some other kid who captured them?\Just like it said in that fortune telling you did in Hong Kong.\I explained it to you yesterday, didn't I?\It's that kid, isn't it?\What's happened?\I just got this chill'\And so that's the case.\To capture them all, it'll take some time. response:	Mei Lin, you should hurry up, go back to Hong Kong.
context: Just like it said in that fortune telling you did in Hong Kong.\I explained it to you yesterday, didn't I?\It's that kid, isn't it?\What's happened?\I just got this chill'\And so that's the case.\To capture them all, it'll take some time.\Mei Lin, you should hurry up, go back to Hong Kong. response:	Okay! I'll help you Shao Lan,
context: I explained it to you yesterday, didn't I?\It's that kid, isn't it?\What's happened?\I just got this chill'\And so that's the case.\To capture them all, it'll take some time.\Mei Lin, you should hurry up, go back to Hong Kong.\Okay! I'll help you Shao Lan, response:	so you won't lose to that kid!
context: It's that kid, isn't it?\What's happened?\I just got this chill'\And so that's the case.\To capture them all, it'll take some time.\Mei Lin, you should hurry up, go back to Hong Kong.\Okay! I'll help you Shao Lan,\so you won't lose to that kid! response:	Leave it to me!
context: What's happened?\I just got this chill'\And so that's the case.\To capture them all, it'll take some time.\Mei Lin, you should hurry up, go back to Hong Kong.\Okay! I'll help you Shao Lan,\so you won't lose to that kid!\Leave it to me! response:	If we put our strengths together, we're invincible!
context: I just got this chill'\And so that's the case.\To capture them all, it'll take some time.\Mei Lin, you should hurry up, go back to Hong Kong.\Okay! I'll help you Shao Lan,\so you won't lose to that kid!\Leave it to me!\If we put our strengths together, we're invincible! response:	Totally invincible!
context: And so that's the case.\To capture them all, it'll take some time.\Mei Lin, you should hurry up, go back to Hong Kong.\Okay! I'll help you Shao Lan,\so you won't lose to that kid!\Leave it to me!\If we put our strengths together, we're invincible!\Totally invincible! response:	It looks like they're having fun over there.
context: To capture them all, it'll take some time.\Mei Lin, you should hurry up, go back to Hong Kong.\Okay! I'll help you Shao Lan,\so you won't lose to that kid!\Leave it to me!\If we put our strengths together, we're invincible!\Totally invincible!\It looks like they're having fun over there. response:	Tha' that's true.
context: Mei Lin, you should hurry up, go back to Hong Kong.\Okay! I'll help you Shao Lan,\so you won't lose to that kid!\Leave it to me!\If we put our strengths together, we're invincible!\Totally invincible!\It looks like they're having fun over there.\Tha' that's true. response:	Okay! Now gather'round!
context: Okay! I'll help you Shao Lan,\so you won't lose to that kid!\Leave it to me!\If we put our strengths together, we're invincible!\Totally invincible!\It looks like they're having fun over there.\Tha' that's true.\Okay! Now gather'round! response:	Yes!
context: so you won't lose to that kid!\Leave it to me!\If we put our strengths together, we're invincible!\Totally invincible!\It looks like they're having fun over there.\Tha' that's true.\Okay! Now gather'round!\Yes! response:	Today, it's mat exercises.
context: Leave it to me!\If we put our strengths together, we're invincible!\Totally invincible!\It looks like they're having fun over there.\Tha' that's true.\Okay! Now gather'round!\Yes!\Today, it's mat exercises. response:	We'll do cartwheel practice.
context: If we put our strengths together, we're invincible!\Totally invincible!\It looks like they're having fun over there.\Tha' that's true.\Okay! Now gather'round!\Yes!\Today, it's mat exercises.\We'll do cartwheel practice. response:	Oh! Don't!
context: Totally invincible!\It looks like they're having fun over there.\Tha' that's true.\Okay! Now gather'round!\Yes!\Today, it's mat exercises.\We'll do cartwheel practice.\Oh! Don't! response:	Sakura-chan, for you something like a cartwheel is easy, isn't it?
context: It looks like they're having fun over there.\Tha' that's true.\Okay! Now gather'round!\Yes!\Today, it's mat exercises.\We'll do cartwheel practice.\Oh! Don't!\Sakura-chan, for you something like a cartwheel is easy, isn't it? response:	Next.
context: Tha' that's true.\Okay! Now gather'round!\Yes!\Today, it's mat exercises.\We'll do cartwheel practice.\Oh! Don't!\Sakura-chan, for you something like a cartwheel is easy, isn't it?\Next. response:	Yes.
context: Okay! Now gather'round!\Yes!\Today, it's mat exercises.\We'll do cartwheel practice.\Oh! Don't!\Sakura-chan, for you something like a cartwheel is easy, isn't it?\Next.\Yes. response:	Next.
context: Yes!\Today, it's mat exercises.\We'll do cartwheel practice.\Oh! Don't!\Sakura-chan, for you something like a cartwheel is easy, isn't it?\Next.\Yes.\Next. response:	Yes!
context: Today, it's mat exercises.\We'll do cartwheel practice.\Oh! Don't!\Sakura-chan, for you something like a cartwheel is easy, isn't it?\Next.\Yes.\Next.\Yes! response:	Amazing!
context: We'll do cartwheel practice.\Oh! Don't!\Sakura-chan, for you something like a cartwheel is easy, isn't it?\Next.\Yes.\Next.\Yes!\Amazing! response:	She's so good!
context: Oh! Don't!\Sakura-chan, for you something like a cartwheel is easy, isn't it?\Next.\Yes.\Next.\Yes!\Amazing!\She's so good! response:	Eh!
context: Sakura-chan, for you something like a cartwheel is easy, isn't it?\Next.\Yes.\Next.\Yes!\Amazing!\She's so good!\Eh! response:	Next, Kinomoto!
context: Next.\Yes.\Next.\Yes!\Amazing!\She's so good!\Eh!\Next, Kinomoto! response:	It's your turn now, Sakura-chan.
context: Yes.\Next.\Yes!\Amazing!\She's so good!\Eh!\Next, Kinomoto!\It's your turn now, Sakura-chan. response:	Yes!
context: Next.\Yes!\Amazing!\She's so good!\Eh!\Next, Kinomoto!\It's your turn now, Sakura-chan.\Yes! response:	Just as expected of Sakura-chan!
context: Yes!\Amazing!\She's so good!\Eh!\Next, Kinomoto!\It's your turn now, Sakura-chan.\Yes!\Just as expected of Sakura-chan! response:	Both Kinomoto and Mei Lin are amazing!
context: Amazing!\She's so good!\Eh!\Next, Kinomoto!\It's your turn now, Sakura-chan.\Yes!\Just as expected of Sakura-chan!\Both Kinomoto and Mei Lin are amazing! response:	Okay, let's have you do some free style exercises.
context: She's so good!\Eh!\Next, Kinomoto!\It's your turn now, Sakura-chan.\Yes!\Just as expected of Sakura-chan!\Both Kinomoto and Mei Lin are amazing!\Okay, let's have you do some free style exercises. response:	You both don't have to overreach yourselves,
context: Eh!\Next, Kinomoto!\It's your turn now, Sakura-chan.\Yes!\Just as expected of Sakura-chan!\Both Kinomoto and Mei Lin are amazing!\Okay, let's have you do some free style exercises.\You both don't have to overreach yourselves, response:	so do whatever mat exercises you can do, okay?
context: Next, Kinomoto!\It's your turn now, Sakura-chan.\Yes!\Just as expected of Sakura-chan!\Both Kinomoto and Mei Lin are amazing!\Okay, let's have you do some free style exercises.\You both don't have to overreach yourselves,\so do whatever mat exercises you can do, okay? response:	Yes!
context: It's your turn now, Sakura-chan.\Yes!\Just as expected of Sakura-chan!\Both Kinomoto and Mei Lin are amazing!\Okay, let's have you do some free style exercises.\You both don't have to overreach yourselves,\so do whatever mat exercises you can do, okay?\Yes! response:	Amazing, huh?
context: Yes!\Just as expected of Sakura-chan!\Both Kinomoto and Mei Lin are amazing!\Okay, let's have you do some free style exercises.\You both don't have to overreach yourselves,\so do whatever mat exercises you can do, okay?\Yes!\Amazing, huh? response:	Yeah, kinda.
context: Just as expected of Sakura-chan!\Both Kinomoto and Mei Lin are amazing!\Okay, let's have you do some free style exercises.\You both don't have to overreach yourselves,\so do whatever mat exercises you can do, okay?\Yes!\Amazing, huh?\Yeah, kinda. response:	Why?!
context: Both Kinomoto and Mei Lin are amazing!\Okay, let's have you do some free style exercises.\You both don't have to overreach yourselves,\so do whatever mat exercises you can do, okay?\Yes!\Amazing, huh?\Yeah, kinda.\Why?! response:	That was scary.
context: Okay, let's have you do some free style exercises.\You both don't have to overreach yourselves,\so do whatever mat exercises you can do, okay?\Yes!\Amazing, huh?\Yeah, kinda.\Why?!\That was scary. response:	That brat's fiance, eh?
context: You both don't have to overreach yourselves,\so do whatever mat exercises you can do, okay?\Yes!\Amazing, huh?\Yeah, kinda.\Why?!\That was scary.\That brat's fiance, eh? response:	And it's not just during P.E.
context: so do whatever mat exercises you can do, okay?\Yes!\Amazing, huh?\Yeah, kinda.\Why?!\That was scary.\That brat's fiance, eh?\And it's not just during P.E. response:	All day long, I was being watched.
context: Yes!\Amazing, huh?\Yeah, kinda.\Why?!\That was scary.\That brat's fiance, eh?\And it's not just during P.E.\All day long, I was being watched. response:	Like she was glaring at me.
context: Amazing, huh?\Yeah, kinda.\Why?!\That was scary.\That brat's fiance, eh?\And it's not just during P.E.\All day long, I was being watched.\Like she was glaring at me. response:	Are you sure you didn't do something weird to that kid, Sakura?
context: Yeah, kinda.\Why?!\That was scary.\That brat's fiance, eh?\And it's not just during P.E.\All day long, I was being watched.\Like she was glaring at me.\Are you sure you didn't do something weird to that kid, Sakura? response:	Nope.
context: Why?!\That was scary.\That brat's fiance, eh?\And it's not just during P.E.\All day long, I was being watched.\Like she was glaring at me.\Are you sure you didn't do something weird to that kid, Sakura?\Nope. response:	It's done!
context: That was scary.\That brat's fiance, eh?\And it's not just during P.E.\All day long, I was being watched.\Like she was glaring at me.\Are you sure you didn't do something weird to that kid, Sakura?\Nope.\It's done! response:	Okay!
context: That brat's fiance, eh?\And it's not just during P.E.\All day long, I was being watched.\Like she was glaring at me.\Are you sure you didn't do something weird to that kid, Sakura?\Nope.\It's done!\Okay! response:	Today's supposed to be a feast!
context: And it's not just during P.E.\All day long, I was being watched.\Like she was glaring at me.\Are you sure you didn't do something weird to that kid, Sakura?\Nope.\It's done!\Okay!\Today's supposed to be a feast! response:	I'll bring you some later,
context: All day long, I was being watched.\Like she was glaring at me.\Are you sure you didn't do something weird to that kid, Sakura?\Nope.\It's done!\Okay!\Today's supposed to be a feast!\I'll bring you some later, response:	so wait okay, Kero-chan?
context: Like she was glaring at me.\Are you sure you didn't do something weird to that kid, Sakura?\Nope.\It's done!\Okay!\Today's supposed to be a feast!\I'll bring you some later,\so wait okay, Kero-chan? response:	Din-ner' Din-ner' Fun din-ner!
context: Are you sure you didn't do something weird to that kid, Sakura?\Nope.\It's done!\Okay!\Today's supposed to be a feast!\I'll bring you some later,\so wait okay, Kero-chan?\Din-ner' Din-ner' Fun din-ner! response:	I wonder what today's main dish is?
context: Nope.\It's done!\Okay!\Today's supposed to be a feast!\I'll bring you some later,\so wait okay, Kero-chan?\Din-ner' Din-ner' Fun din-ner!\I wonder what today's main dish is? response:	It's supposed to be steak.
context: It's done!\Okay!\Today's supposed to be a feast!\I'll bring you some later,\so wait okay, Kero-chan?\Din-ner' Din-ner' Fun din-ner!\I wonder what today's main dish is?\It's supposed to be steak. response:	Yukito-san! Why?
context: Okay!\Today's supposed to be a feast!\I'll bring you some later,\so wait okay, Kero-chan?\Din-ner' Din-ner' Fun din-ner!\I wonder what today's main dish is?\It's supposed to be steak.\Yukito-san! Why? response:	I heard that he was alone tonight,
context: Today's supposed to be a feast!\I'll bring you some later,\so wait okay, Kero-chan?\Din-ner' Din-ner' Fun din-ner!\I wonder what today's main dish is?\It's supposed to be steak.\Yukito-san! Why?\I heard that he was alone tonight, response:	so I invited him.
context: I'll bring you some later,\so wait okay, Kero-chan?\Din-ner' Din-ner' Fun din-ner!\I wonder what today's main dish is?\It's supposed to be steak.\Yukito-san! Why?\I heard that he was alone tonight,\so I invited him. response:	Itadakimasu!
context: so wait okay, Kero-chan?\Din-ner' Din-ner' Fun din-ner!\I wonder what today's main dish is?\It's supposed to be steak.\Yukito-san! Why?\I heard that he was alone tonight,\so I invited him.\Itadakimasu! response:	Delicious!
context: Din-ner' Din-ner' Fun din-ner!\I wonder what today's main dish is?\It's supposed to be steak.\Yukito-san! Why?\I heard that he was alone tonight,\so I invited him.\Itadakimasu!\Delicious! response:	Sakura-chan, your face is red.
context: I wonder what today's main dish is?\It's supposed to be steak.\Yukito-san! Why?\I heard that he was alone tonight,\so I invited him.\Itadakimasu!\Delicious!\Sakura-chan, your face is red. response:	Do you have a fever or something?
context: It's supposed to be steak.\Yukito-san! Why?\I heard that he was alone tonight,\so I invited him.\Itadakimasu!\Delicious!\Sakura-chan, your face is red.\Do you have a fever or something? response:	I'm okay!
context: Yukito-san! Why?\I heard that he was alone tonight,\so I invited him.\Itadakimasu!\Delicious!\Sakura-chan, your face is red.\Do you have a fever or something?\I'm okay! response:	It it's for dinner's sake,
context: I heard that he was alone tonight,\so I invited him.\Itadakimasu!\Delicious!\Sakura-chan, your face is red.\Do you have a fever or something?\I'm okay!\It it's for dinner's sake, response:	even a 40 degree Celsius won't bug her.
context: so I invited him.\Itadakimasu!\Delicious!\Sakura-chan, your face is red.\Do you have a fever or something?\I'm okay!\It it's for dinner's sake,\even a 40 degree Celsius won't bug her. response:	Huh!
context: Itadakimasu!\Delicious!\Sakura-chan, your face is red.\Do you have a fever or something?\I'm okay!\It it's for dinner's sake,\even a 40 degree Celsius won't bug her.\Huh! response:	Is this the incident you were talking about this morning, Brother?
context: Delicious!\Sakura-chan, your face is red.\Do you have a fever or something?\I'm okay!\It it's for dinner's sake,\even a 40 degree Celsius won't bug her.\Huh!\Is this the incident you were talking about this morning, Brother? response:	Nope, they say it happened again.
context: Sakura-chan, your face is red.\Do you have a fever or something?\I'm okay!\It it's for dinner's sake,\even a 40 degree Celsius won't bug her.\Huh!\Is this the incident you were talking about this morning, Brother?\Nope, they say it happened again. response:	They had it on the news, earlier, too.
context: Do you have a fever or something?\I'm okay!\It it's for dinner's sake,\even a 40 degree Celsius won't bug her.\Huh!\Is this the incident you were talking about this morning, Brother?\Nope, they say it happened again.\They had it on the news, earlier, too. response:	At Tomoeda-cho Park another incident
context: I'm okay!\It it's for dinner's sake,\even a 40 degree Celsius won't bug her.\Huh!\Is this the incident you were talking about this morning, Brother?\Nope, they say it happened again.\They had it on the news, earlier, too.\At Tomoeda-cho Park another incident response:	involving a black belt in martial arts'
context: It it's for dinner's sake,\even a 40 degree Celsius won't bug her.\Huh!\Is this the incident you were talking about this morning, Brother?\Nope, they say it happened again.\They had it on the news, earlier, too.\At Tomoeda-cho Park another incident\involving a black belt in martial arts' response:	At the park?
context: even a 40 degree Celsius won't bug her.\Huh!\Is this the incident you were talking about this morning, Brother?\Nope, they say it happened again.\They had it on the news, earlier, too.\At Tomoeda-cho Park another incident\involving a black belt in martial arts'\At the park? response:	Could you let me see?
context: Huh!\Is this the incident you were talking about this morning, Brother?\Nope, they say it happened again.\They had it on the news, earlier, too.\At Tomoeda-cho Park another incident\involving a black belt in martial arts'\At the park?\Could you let me see? response:	They wrote it was a person of Judo level 3rd dan, huh?
context: Is this the incident you were talking about this morning, Brother?\Nope, they say it happened again.\They had it on the news, earlier, too.\At Tomoeda-cho Park another incident\involving a black belt in martial arts'\At the park?\Could you let me see?\They wrote it was a person of Judo level 3rd dan, huh? response:	Was the suspect a girl again?
context: Nope, they say it happened again.\They had it on the news, earlier, too.\At Tomoeda-cho Park another incident\involving a black belt in martial arts'\At the park?\Could you let me see?\They wrote it was a person of Judo level 3rd dan, huh?\Was the suspect a girl again? response:	But why are people
context: They had it on the news, earlier, too.\At Tomoeda-cho Park another incident\involving a black belt in martial arts'\At the park?\Could you let me see?\They wrote it was a person of Judo level 3rd dan, huh?\Was the suspect a girl again?\But why are people response:	doing Karate and Judo being targeted?
context: At Tomoeda-cho Park another incident\involving a black belt in martial arts'\At the park?\Could you let me see?\They wrote it was a person of Judo level 3rd dan, huh?\Was the suspect a girl again?\But why are people\doing Karate and Judo being targeted? response:	It seems that no money had been taken.
context: involving a black belt in martial arts'\At the park?\Could you let me see?\They wrote it was a person of Judo level 3rd dan, huh?\Was the suspect a girl again?\But why are people\doing Karate and Judo being targeted?\It seems that no money had been taken. response:	According to the victim's story,
context: At the park?\Could you let me see?\They wrote it was a person of Judo level 3rd dan, huh?\Was the suspect a girl again?\But why are people\doing Karate and Judo being targeted?\It seems that no money had been taken.\According to the victim's story, response:	it sounds like
context: Could you let me see?\They wrote it was a person of Judo level 3rd dan, huh?\Was the suspect a girl again?\But why are people\doing Karate and Judo being targeted?\It seems that no money had been taken.\According to the victim's story,\it sounds like response:	they are testing their skills.
context: They wrote it was a person of Judo level 3rd dan, huh?\Was the suspect a girl again?\But why are people\doing Karate and Judo being targeted?\It seems that no money had been taken.\According to the victim's story,\it sounds like\they are testing their skills. response:	Touya-san, you're a Karate student too,
context: Was the suspect a girl again?\But why are people\doing Karate and Judo being targeted?\It seems that no money had been taken.\According to the victim's story,\it sounds like\they are testing their skills.\Touya-san, you're a Karate student too, response:	so please be careful.
context: But why are people\doing Karate and Judo being targeted?\It seems that no money had been taken.\According to the victim's story,\it sounds like\they are testing their skills.\Touya-san, you're a Karate student too,\so please be careful. response:	It won't be a challenge since I'm just without a belt level. I'm an unworthy opponent, right?
context: doing Karate and Judo being targeted?\It seems that no money had been taken.\According to the victim's story,\it sounds like\they are testing their skills.\Touya-san, you're a Karate student too,\so please be careful.\It won't be a challenge since I'm just without a belt level. I'm an unworthy opponent, right? response:	Strange.
context: It seems that no money had been taken.\According to the victim's story,\it sounds like\they are testing their skills.\Touya-san, you're a Karate student too,\so please be careful.\It won't be a challenge since I'm just without a belt level. I'm an unworthy opponent, right?\Strange. response:	The girl is reported to be
context: According to the victim's story,\it sounds like\they are testing their skills.\Touya-san, you're a Karate student too,\so please be careful.\It won't be a challenge since I'm just without a belt level. I'm an unworthy opponent, right?\Strange.\The girl is reported to be response:	in strange attire.
context: it sounds like\they are testing their skills.\Touya-san, you're a Karate student too,\so please be careful.\It won't be a challenge since I'm just without a belt level. I'm an unworthy opponent, right?\Strange.\The girl is reported to be\in strange attire. response:	Strange attire?
context: they are testing their skills.\Touya-san, you're a Karate student too,\so please be careful.\It won't be a challenge since I'm just without a belt level. I'm an unworthy opponent, right?\Strange.\The girl is reported to be\in strange attire.\Strange attire? response:	Uh huh.
context: Touya-san, you're a Karate student too,\so please be careful.\It won't be a challenge since I'm just without a belt level. I'm an unworthy opponent, right?\Strange.\The girl is reported to be\in strange attire.\Strange attire?\Uh huh. response:	A girl in strange attire?
context: so please be careful.\It won't be a challenge since I'm just without a belt level. I'm an unworthy opponent, right?\Strange.\The girl is reported to be\in strange attire.\Strange attire?\Uh huh.\A girl in strange attire? response:	It always turns out this way, huh?
context: It won't be a challenge since I'm just without a belt level. I'm an unworthy opponent, right?\Strange.\The girl is reported to be\in strange attire.\Strange attire?\Uh huh.\A girl in strange attire?\It always turns out this way, huh? response:	What? What? And such a depressed face!
context: Strange.\The girl is reported to be\in strange attire.\Strange attire?\Uh huh.\A girl in strange attire?\It always turns out this way, huh?\What? What? And such a depressed face! response:	Heya! Let's scoot and get that Card!
context: The girl is reported to be\in strange attire.\Strange attire?\Uh huh.\A girl in strange attire?\It always turns out this way, huh?\What? What? And such a depressed face!\Heya! Let's scoot and get that Card! response:	Kero-chan is so pumped up, isn't he?
context: in strange attire.\Strange attire?\Uh huh.\A girl in strange attire?\It always turns out this way, huh?\What? What? And such a depressed face!\Heya! Let's scoot and get that Card!\Kero-chan is so pumped up, isn't he? response:	It seems today's dinner and dessert were really good then'
context: Strange attire?\Uh huh.\A girl in strange attire?\It always turns out this way, huh?\What? What? And such a depressed face!\Heya! Let's scoot and get that Card!\Kero-chan is so pumped up, isn't he?\It seems today's dinner and dessert were really good then' response:	That makes sense.
context: Uh huh.\A girl in strange attire?\It always turns out this way, huh?\What? What? And such a depressed face!\Heya! Let's scoot and get that Card!\Kero-chan is so pumped up, isn't he?\It seems today's dinner and dessert were really good then'\That makes sense. response:	It is the presence of a Clow Card.
context: A girl in strange attire?\It always turns out this way, huh?\What? What? And such a depressed face!\Heya! Let's scoot and get that Card!\Kero-chan is so pumped up, isn't he?\It seems today's dinner and dessert were really good then'\That makes sense.\It is the presence of a Clow Card. response:	Yes, I feel it too.
context: It always turns out this way, huh?\What? What? And such a depressed face!\Heya! Let's scoot and get that Card!\Kero-chan is so pumped up, isn't he?\It seems today's dinner and dessert were really good then'\That makes sense.\It is the presence of a Clow Card.\Yes, I feel it too. response:	Then the girl who assaults martial artists,
context: What? What? And such a depressed face!\Heya! Let's scoot and get that Card!\Kero-chan is so pumped up, isn't he?\It seems today's dinner and dessert were really good then'\That makes sense.\It is the presence of a Clow Card.\Yes, I feel it too.\Then the girl who assaults martial artists, response:	wearing strange attire is'
context: Heya! Let's scoot and get that Card!\Kero-chan is so pumped up, isn't he?\It seems today's dinner and dessert were really good then'\That makes sense.\It is the presence of a Clow Card.\Yes, I feel it too.\Then the girl who assaults martial artists,\wearing strange attire is' response:	'a Clow Card.
context: Kero-chan is so pumped up, isn't he?\It seems today's dinner and dessert were really good then'\That makes sense.\It is the presence of a Clow Card.\Yes, I feel it too.\Then the girl who assaults martial artists,\wearing strange attire is'\'a Clow Card. response:	Mei Lin-chan!
context: It seems today's dinner and dessert were really good then'\That makes sense.\It is the presence of a Clow Card.\Yes, I feel it too.\Then the girl who assaults martial artists,\wearing strange attire is'\'a Clow Card.\Mei Lin-chan! response:	The one they call the brat's fiance?
context: That makes sense.\It is the presence of a Clow Card.\Yes, I feel it too.\Then the girl who assaults martial artists,\wearing strange attire is'\'a Clow Card.\Mei Lin-chan!\The one they call the brat's fiance? response:	You guys have come to look for the Card too, then?
context: It is the presence of a Clow Card.\Yes, I feel it too.\Then the girl who assaults martial artists,\wearing strange attire is'\'a Clow Card.\Mei Lin-chan!\The one they call the brat's fiance?\You guys have come to look for the Card too, then? response:	Then, you too'?
context: Yes, I feel it too.\Then the girl who assaults martial artists,\wearing strange attire is'\'a Clow Card.\Mei Lin-chan!\The one they call the brat's fiance?\You guys have come to look for the Card too, then?\Then, you too'? response:	I'm going to capture it and give it to Shao Lan.
context: Then the girl who assaults martial artists,\wearing strange attire is'\'a Clow Card.\Mei Lin-chan!\The one they call the brat's fiance?\You guys have come to look for the Card too, then?\Then, you too'?\I'm going to capture it and give it to Shao Lan. response:	The Card is Shao Lan's!
context: wearing strange attire is'\'a Clow Card.\Mei Lin-chan!\The one they call the brat's fiance?\You guys have come to look for the Card too, then?\Then, you too'?\I'm going to capture it and give it to Shao Lan.\The Card is Shao Lan's! response:	What?
context: 'a Clow Card.\Mei Lin-chan!\The one they call the brat's fiance?\You guys have come to look for the Card too, then?\Then, you too'?\I'm going to capture it and give it to Shao Lan.\The Card is Shao Lan's!\What? response:	I won't let you have your way!
context: Mei Lin-chan!\The one they call the brat's fiance?\You guys have come to look for the Card too, then?\Then, you too'?\I'm going to capture it and give it to Shao Lan.\The Card is Shao Lan's!\What?\I won't let you have your way! response:	Sakura is the ONLY Card Captor
context: The one they call the brat's fiance?\You guys have come to look for the Card too, then?\Then, you too'?\I'm going to capture it and give it to Shao Lan.\The Card is Shao Lan's!\What?\I won't let you have your way!\Sakura is the ONLY Card Captor response:	I've approved!
context: You guys have come to look for the Card too, then?\Then, you too'?\I'm going to capture it and give it to Shao Lan.\The Card is Shao Lan's!\What?\I won't let you have your way!\Sakura is the ONLY Card Captor\I've approved! response:	What is this? Your fairy godmother?
context: Then, you too'?\I'm going to capture it and give it to Shao Lan.\The Card is Shao Lan's!\What?\I won't let you have your way!\Sakura is the ONLY Card Captor\I've approved!\What is this? Your fairy godmother? response:	Let go!
context: I'm going to capture it and give it to Shao Lan.\The Card is Shao Lan's!\What?\I won't let you have your way!\Sakura is the ONLY Card Captor\I've approved!\What is this? Your fairy godmother?\Let go! response:	Kero-chan is the guardian beast of the Clow Cards!
context: The Card is Shao Lan's!\What?\I won't let you have your way!\Sakura is the ONLY Card Captor\I've approved!\What is this? Your fairy godmother?\Let go!\Kero-chan is the guardian beast of the Clow Cards! response:	This thing that looks like a bath sponge is'?
context: What?\I won't let you have your way!\Sakura is the ONLY Card Captor\I've approved!\What is this? Your fairy godmother?\Let go!\Kero-chan is the guardian beast of the Clow Cards!\This thing that looks like a bath sponge is'? response:	Just let me see you say that one more time, little wench!
context: I won't let you have your way!\Sakura is the ONLY Card Captor\I've approved!\What is this? Your fairy godmother?\Let go!\Kero-chan is the guardian beast of the Clow Cards!\This thing that looks like a bath sponge is'?\Just let me see you say that one more time, little wench! response:	Well, even if the guardian beast is with you.
context: Sakura is the ONLY Card Captor\I've approved!\What is this? Your fairy godmother?\Let go!\Kero-chan is the guardian beast of the Clow Cards!\This thing that looks like a bath sponge is'?\Just let me see you say that one more time, little wench!\Well, even if the guardian beast is with you. response:	Shao Lan has me, so'
context: I've approved!\What is this? Your fairy godmother?\Let go!\Kero-chan is the guardian beast of the Clow Cards!\This thing that looks like a bath sponge is'?\Just let me see you say that one more time, little wench!\Well, even if the guardian beast is with you.\Shao Lan has me, so' response:	Shao Lan wins.
context: What is this? Your fairy godmother?\Let go!\Kero-chan is the guardian beast of the Clow Cards!\This thing that looks like a bath sponge is'?\Just let me see you say that one more time, little wench!\Well, even if the guardian beast is with you.\Shao Lan has me, so'\Shao Lan wins. response:	Eh?
context: Let go!\Kero-chan is the guardian beast of the Clow Cards!\This thing that looks like a bath sponge is'?\Just let me see you say that one more time, little wench!\Well, even if the guardian beast is with you.\Shao Lan has me, so'\Shao Lan wins.\Eh? response:	That's probably the girl in strange attire
context: Kero-chan is the guardian beast of the Clow Cards!\This thing that looks like a bath sponge is'?\Just let me see you say that one more time, little wench!\Well, even if the guardian beast is with you.\Shao Lan has me, so'\Shao Lan wins.\Eh?\That's probably the girl in strange attire response:	that they were talking about in the news.
context: This thing that looks like a bath sponge is'?\Just let me see you say that one more time, little wench!\Well, even if the guardian beast is with you.\Shao Lan has me, so'\Shao Lan wins.\Eh?\That's probably the girl in strange attire\that they were talking about in the news. response:	Oh, I don't think she's so strange, though'
context: Just let me see you say that one more time, little wench!\Well, even if the guardian beast is with you.\Shao Lan has me, so'\Shao Lan wins.\Eh?\That's probably the girl in strange attire\that they were talking about in the news.\Oh, I don't think she's so strange, though' response:	Sakura! That's the FIGHT Card!
context: Well, even if the guardian beast is with you.\Shao Lan has me, so'\Shao Lan wins.\Eh?\That's probably the girl in strange attire\that they were talking about in the news.\Oh, I don't think she's so strange, though'\Sakura! That's the FIGHT Card! response:	Eh?
context: Shao Lan has me, so'\Shao Lan wins.\Eh?\That's probably the girl in strange attire\that they were talking about in the news.\Oh, I don't think she's so strange, though'\Sakura! That's the FIGHT Card!\Eh? response:	What's with it?
context: Shao Lan wins.\Eh?\That's probably the girl in strange attire\that they were talking about in the news.\Oh, I don't think she's so strange, though'\Sakura! That's the FIGHT Card!\Eh?\What's with it? response:	FIGHT is a martial arts specialty Card.
context: Eh?\That's probably the girl in strange attire\that they were talking about in the news.\Oh, I don't think she's so strange, though'\Sakura! That's the FIGHT Card!\Eh?\What's with it?\FIGHT is a martial arts specialty Card. response:	So, it has an instinct to challenge strong opponents.
context: That's probably the girl in strange attire\that they were talking about in the news.\Oh, I don't think she's so strange, though'\Sakura! That's the FIGHT Card!\Eh?\What's with it?\FIGHT is a martial arts specialty Card.\So, it has an instinct to challenge strong opponents. response:	I can't do any martial arts!
context: that they were talking about in the news.\Oh, I don't think she's so strange, though'\Sakura! That's the FIGHT Card!\Eh?\What's with it?\FIGHT is a martial arts specialty Card.\So, it has an instinct to challenge strong opponents.\I can't do any martial arts! response:	What does that mean?
context: Oh, I don't think she's so strange, though'\Sakura! That's the FIGHT Card!\Eh?\What's with it?\FIGHT is a martial arts specialty Card.\So, it has an instinct to challenge strong opponents.\I can't do any martial arts!\What does that mean? response:	FIGHT is challenging the little wench.
context: Sakura! That's the FIGHT Card!\Eh?\What's with it?\FIGHT is a martial arts specialty Card.\So, it has an instinct to challenge strong opponents.\I can't do any martial arts!\What does that mean?\FIGHT is challenging the little wench. response:	Well, come get me!
