context: Speak in a Confrontational Manner response:	What's this? Some kind of joke?
context: Huh... So that's why you're all studying?\I had some time left.\I only accepted the invitation to kill some time.\What a brat.\Time left? You have something to do later?\Naturally.\I'm not like you.\I guess you're busy... response:	Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry
context: I had some time left.\I only accepted the invitation to kill some time.\What a brat.\Time left? You have something to do later?\Naturally.\I'm not like you.\I guess you're busy...\Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry response:	Perry.
context: I only accepted the invitation to kill some time.\What a brat.\Time left? You have something to do later?\Naturally.\I'm not like you.\I guess you're busy...\Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry\Perry. response:	Perry...
context: What a brat.\Time left? You have something to do later?\Naturally.\I'm not like you.\I guess you're busy...\Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry\Perry.\Perry... response:	No, it's a math problem.
context: Time left? You have something to do later?\Naturally.\I'm not like you.\I guess you're busy...\Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry\Perry.\Perry...\No, it's a math problem. response:	They won't ask about Perry on a math test.
context: Naturally.\I'm not like you.\I guess you're busy...\Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry\Perry.\Perry...\No, it's a math problem.\They won't ask about Perry on a math test. response:	Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry
context: I'm not like you.\I guess you're busy...\Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry\Perry.\Perry...\No, it's a math problem.\They won't ask about Perry on a math test.\Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry response:	Perry?
context: I guess you're busy...\Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry\Perry.\Perry...\No, it's a math problem.\They won't ask about Perry on a math test.\Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry\Perry? response:	Fine...
context: Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry\Perry.\Perry...\No, it's a math problem.\They won't ask about Perry on a math test.\Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry\Perry?\Fine... response:	Then, why don't I give you a history question?
context: Perry.\Perry...\No, it's a math problem.\They won't ask about Perry on a math test.\Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry\Perry?\Fine...\Then, why don't I give you a history question? response:	Who was the fifteenth shogun, back when the black ships sailed into Japan?
context: Perry...\No, it's a math problem.\They won't ask about Perry on a math test.\Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry\Perry?\Fine...\Then, why don't I give you a history question?\Who was the fifteenth shogun, back when the black ships sailed into Japan? response:	Three.
context: No, it's a math problem.\They won't ask about Perry on a math test.\Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry\Perry?\Fine...\Then, why don't I give you a history question?\Who was the fifteenth shogun, back when the black ships sailed into Japan?\Three. response:	Three?!
context: They won't ask about Perry on a math test.\Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry\Perry?\Fine...\Then, why don't I give you a history question?\Who was the fifteenth shogun, back when the black ships sailed into Japan?\Three.\Three?! response:	Oh...
context: Manchu Han Imperial Feast Quarter note Hideyoshi Toyotomi 3 Photosynthesis Perry\Perry?\Fine...\Then, why don't I give you a history question?\Who was the fifteenth shogun, back when the black ships sailed into Japan?\Three.\Three?!\Oh... response:	I want to be a pencil!
context: Perry?\Fine...\Then, why don't I give you a history question?\Who was the fifteenth shogun, back when the black ships sailed into Japan?\Three.\Three?!\Oh...\I want to be a pencil! response:	Huh?
context: Fine...\Then, why don't I give you a history question?\Who was the fifteenth shogun, back when the black ships sailed into Japan?\Three.\Three?!\Oh...\I want to be a pencil!\Huh? response:	Is anything wrong?
context: Then, why don't I give you a history question?\Who was the fifteenth shogun, back when the black ships sailed into Japan?\Three.\Three?!\Oh...\I want to be a pencil!\Huh?\Is anything wrong? response:	This is a pretty tough problem.
context: Who was the fifteenth shogun, back when the black ships sailed into Japan?\Three.\Three?!\Oh...\I want to be a pencil!\Huh?\Is anything wrong?\This is a pretty tough problem. response:	Ah...
context: Three.\Three?!\Oh...\I want to be a pencil!\Huh?\Is anything wrong?\This is a pretty tough problem.\Ah... response:	May I borrow your pencil for a moment?
context: Three?!\Oh...\I want to be a pencil!\Huh?\Is anything wrong?\This is a pretty tough problem.\Ah...\May I borrow your pencil for a moment? response:	If you take the number here...
context: Oh...\I want to be a pencil!\Huh?\Is anything wrong?\This is a pretty tough problem.\Ah...\May I borrow your pencil for a moment?\If you take the number here... response:	I see.
context: I want to be a pencil!\Huh?\Is anything wrong?\This is a pretty tough problem.\Ah...\May I borrow your pencil for a moment?\If you take the number here...\I see. response:	And then, you get this.
context: Huh?\Is anything wrong?\This is a pretty tough problem.\Ah...\May I borrow your pencil for a moment?\If you take the number here...\I see.\And then, you get this. response:	You're not a bad teacher.
context: Is anything wrong?\This is a pretty tough problem.\Ah...\May I borrow your pencil for a moment?\If you take the number here...\I see.\And then, you get this.\You're not a bad teacher. response:	It is an honor to be of service to you.
context: This is a pretty tough problem.\Ah...\May I borrow your pencil for a moment?\If you take the number here...\I see.\And then, you get this.\You're not a bad teacher.\It is an honor to be of service to you. response:	I was too ashamed to meet you without any education,
context: Ah...\May I borrow your pencil for a moment?\If you take the number here...\I see.\And then, you get this.\You're not a bad teacher.\It is an honor to be of service to you.\I was too ashamed to meet you without any education, response:	so I studied on my own.
context: May I borrow your pencil for a moment?\If you take the number here...\I see.\And then, you get this.\You're not a bad teacher.\It is an honor to be of service to you.\I was too ashamed to meet you without any education,\so I studied on my own. response:	I am glad I could be of use.
context: If you take the number here...\I see.\And then, you get this.\You're not a bad teacher.\It is an honor to be of service to you.\I was too ashamed to meet you without any education,\so I studied on my own.\I am glad I could be of use. response:	Good for you.
context: I see.\And then, you get this.\You're not a bad teacher.\It is an honor to be of service to you.\I was too ashamed to meet you without any education,\so I studied on my own.\I am glad I could be of use.\Good for you. response:	Not that I'm one of those
context: And then, you get this.\You're not a bad teacher.\It is an honor to be of service to you.\I was too ashamed to meet you without any education,\so I studied on my own.\I am glad I could be of use.\Good for you.\Not that I'm one of those response:	who believe you need a degree to be respectable.
context: You're not a bad teacher.\It is an honor to be of service to you.\I was too ashamed to meet you without any education,\so I studied on my own.\I am glad I could be of use.\Good for you.\Not that I'm one of those\who believe you need a degree to be respectable. response:	You're studying pretty hard...
context: It is an honor to be of service to you.\I was too ashamed to meet you without any education,\so I studied on my own.\I am glad I could be of use.\Good for you.\Not that I'm one of those\who believe you need a degree to be respectable.\You're studying pretty hard... response:	Yeah, because I won't let that damned fox's partner beat me!
context: I was too ashamed to meet you without any education,\so I studied on my own.\I am glad I could be of use.\Good for you.\Not that I'm one of those\who believe you need a degree to be respectable.\You're studying pretty hard...\Yeah, because I won't let that damned fox's partner beat me! response:	You'd better get ready!
context: so I studied on my own.\I am glad I could be of use.\Good for you.\Not that I'm one of those\who believe you need a degree to be respectable.\You're studying pretty hard...\Yeah, because I won't let that damned fox's partner beat me!\You'd better get ready! response:	With this test, I'll pay you back for the walk rally!
context: I am glad I could be of use.\Good for you.\Not that I'm one of those\who believe you need a degree to be respectable.\You're studying pretty hard...\Yeah, because I won't let that damned fox's partner beat me!\You'd better get ready!\With this test, I'll pay you back for the walk rally! response:	He's still thinking about that?
context: Good for you.\Not that I'm one of those\who believe you need a degree to be respectable.\You're studying pretty hard...\Yeah, because I won't let that damned fox's partner beat me!\You'd better get ready!\With this test, I'll pay you back for the walk rally!\He's still thinking about that? response:	Watanuki, you're so petty!
context: Not that I'm one of those\who believe you need a degree to be respectable.\You're studying pretty hard...\Yeah, because I won't let that damned fox's partner beat me!\You'd better get ready!\With this test, I'll pay you back for the walk rally!\He's still thinking about that?\Watanuki, you're so petty! response:	Shut up!
context: who believe you need a degree to be respectable.\You're studying pretty hard...\Yeah, because I won't let that damned fox's partner beat me!\You'd better get ready!\With this test, I'll pay you back for the walk rally!\He's still thinking about that?\Watanuki, you're so petty!\Shut up! response:	Oh, you're going to pay me back, huh?
context: You're studying pretty hard...\Yeah, because I won't let that damned fox's partner beat me!\You'd better get ready!\With this test, I'll pay you back for the walk rally!\He's still thinking about that?\Watanuki, you're so petty!\Shut up!\Oh, you're going to pay me back, huh? response:	Well, I suppose I can't deny your spirit.
context: Yeah, because I won't let that damned fox's partner beat me!\You'd better get ready!\With this test, I'll pay you back for the walk rally!\He's still thinking about that?\Watanuki, you're so petty!\Shut up!\Oh, you're going to pay me back, huh?\Well, I suppose I can't deny your spirit. response:	Shut up!
context: You'd better get ready!\With this test, I'll pay you back for the walk rally!\He's still thinking about that?\Watanuki, you're so petty!\Shut up!\Oh, you're going to pay me back, huh?\Well, I suppose I can't deny your spirit.\Shut up! response:	I'll make sure you'll never be able to run your mouth like that again!
context: With this test, I'll pay you back for the walk rally!\He's still thinking about that?\Watanuki, you're so petty!\Shut up!\Oh, you're going to pay me back, huh?\Well, I suppose I can't deny your spirit.\Shut up!\I'll make sure you'll never be able to run your mouth like that again! response:	It's on!
context: He's still thinking about that?\Watanuki, you're so petty!\Shut up!\Oh, you're going to pay me back, huh?\Well, I suppose I can't deny your spirit.\Shut up!\I'll make sure you'll never be able to run your mouth like that again!\It's on! response:	He's really getting worked up.
context: Watanuki, you're so petty!\Shut up!\Oh, you're going to pay me back, huh?\Well, I suppose I can't deny your spirit.\Shut up!\I'll make sure you'll never be able to run your mouth like that again!\It's on!\He's really getting worked up. response:	Sorry, but I don't get into stupid, petty com
context: Shut up!\Oh, you're going to pay me back, huh?\Well, I suppose I can't deny your spirit.\Shut up!\I'll make sure you'll never be able to run your mouth like that again!\It's on!\He's really getting worked up.\Sorry, but I don't get into stupid, petty com response:	I have a great idea!
context: Oh, you're going to pay me back, huh?\Well, I suppose I can't deny your spirit.\Shut up!\I'll make sure you'll never be able to run your mouth like that again!\It's on!\He's really getting worked up.\Sorry, but I don't get into stupid, petty com\I have a great idea! response:	Everyone's here today, anyway.
context: Well, I suppose I can't deny your spirit.\Shut up!\I'll make sure you'll never be able to run your mouth like that again!\It's on!\He's really getting worked up.\Sorry, but I don't get into stupid, petty com\I have a great idea!\Everyone's here today, anyway. response:	So why don't we settle it now, rather than next week?
context: Shut up!\I'll make sure you'll never be able to run your mouth like that again!\It's on!\He's really getting worked up.\Sorry, but I don't get into stupid, petty com\I have a great idea!\Everyone's here today, anyway.\So why don't we settle it now, rather than next week? response:	The inaugural Ayakashi Kan Partner Games!
context: I'll make sure you'll never be able to run your mouth like that again!\It's on!\He's really getting worked up.\Sorry, but I don't get into stupid, petty com\I have a great idea!\Everyone's here today, anyway.\So why don't we settle it now, rather than next week?\The inaugural Ayakashi Kan Partner Games! response:	Partner Games?
context: It's on!\He's really getting worked up.\Sorry, but I don't get into stupid, petty com\I have a great idea!\Everyone's here today, anyway.\So why don't we settle it now, rather than next week?\The inaugural Ayakashi Kan Partner Games!\Partner Games? response:	Everyone will team up with their partner for the games.
context: He's really getting worked up.\Sorry, but I don't get into stupid, petty com\I have a great idea!\Everyone's here today, anyway.\So why don't we settle it now, rather than next week?\The inaugural Ayakashi Kan Partner Games!\Partner Games?\Everyone will team up with their partner for the games. response:	Huh?
context: Sorry, but I don't get into stupid, petty com\I have a great idea!\Everyone's here today, anyway.\So why don't we settle it now, rather than next week?\The inaugural Ayakashi Kan Partner Games!\Partner Games?\Everyone will team up with their partner for the games.\Huh? response:	Wait... You're saying we have to play, too?
context: I have a great idea!\Everyone's here today, anyway.\So why don't we settle it now, rather than next week?\The inaugural Ayakashi Kan Partner Games!\Partner Games?\Everyone will team up with their partner for the games.\Huh?\Wait... You're saying we have to play, too? response:	And I'm the organizer.
context: Everyone's here today, anyway.\So why don't we settle it now, rather than next week?\The inaugural Ayakashi Kan Partner Games!\Partner Games?\Everyone will team up with their partner for the games.\Huh?\Wait... You're saying we have to play, too?\And I'm the organizer. response:	So I can't participate this time.
context: So why don't we settle it now, rather than next week?\The inaugural Ayakashi Kan Partner Games!\Partner Games?\Everyone will team up with their partner for the games.\Huh?\Wait... You're saying we have to play, too?\And I'm the organizer.\So I can't participate this time. response:	Sob, sob.
context: The inaugural Ayakashi Kan Partner Games!\Partner Games?\Everyone will team up with their partner for the games.\Huh?\Wait... You're saying we have to play, too?\And I'm the organizer.\So I can't participate this time.\Sob, sob. response:	Then who's going to be my partner?
context: Partner Games?\Everyone will team up with their partner for the games.\Huh?\Wait... You're saying we have to play, too?\And I'm the organizer.\So I can't participate this time.\Sob, sob.\Then who's going to be my partner? response:	Me.
context: Everyone will team up with their partner for the games.\Huh?\Wait... You're saying we have to play, too?\And I'm the organizer.\So I can't participate this time.\Sob, sob.\Then who's going to be my partner?\Me. response:	Uh... Well, I guess I'll do it!
context: Huh?\Wait... You're saying we have to play, too?\And I'm the organizer.\So I can't participate this time.\Sob, sob.\Then who's going to be my partner?\Me.\Uh... Well, I guess I'll do it! response:	Then let's begin the first game!
context: Wait... You're saying we have to play, too?\And I'm the organizer.\So I can't participate this time.\Sob, sob.\Then who's going to be my partner?\Me.\Uh... Well, I guess I'll do it!\Then let's begin the first game! response:	It's called What's Inside This Box?
context: And I'm the organizer.\So I can't participate this time.\Sob, sob.\Then who's going to be my partner?\Me.\Uh... Well, I guess I'll do it!\Then let's begin the first game!\It's called What's Inside This Box? response:	What's Inside This Box?
context: So I can't participate this time.\Sob, sob.\Then who's going to be my partner?\Me.\Uh... Well, I guess I'll do it!\Then let's begin the first game!\It's called What's Inside This Box?\What's Inside This Box? response:	That's it. I'm out.
context: Sob, sob.\Then who's going to be my partner?\Me.\Uh... Well, I guess I'll do it!\Then let's begin the first game!\It's called What's Inside This Box?\What's Inside This Box?\That's it. I'm out. response:	You won't play with us?
context: Then who's going to be my partner?\Me.\Uh... Well, I guess I'll do it!\Then let's begin the first game!\It's called What's Inside This Box?\What's Inside This Box?\That's it. I'm out.\You won't play with us? response:	When rabbits get lonely,
context: Me.\Uh... Well, I guess I'll do it!\Then let's begin the first game!\It's called What's Inside This Box?\What's Inside This Box?\That's it. I'm out.\You won't play with us?\When rabbits get lonely, response:	they die.
context: Uh... Well, I guess I'll do it!\Then let's begin the first game!\It's called What's Inside This Box?\What's Inside This Box?\That's it. I'm out.\You won't play with us?\When rabbits get lonely,\they die. response:	Wait. I'll play.
context: Then let's begin the first game!\It's called What's Inside This Box?\What's Inside This Box?\That's it. I'm out.\You won't play with us?\When rabbits get lonely,\they die.\Wait. I'll play. response:	Weight.
context: It's called What's Inside This Box?\What's Inside This Box?\That's it. I'm out.\You won't play with us?\When rabbits get lonely,\they die.\Wait. I'll play.\Weight. response:	Smell.
context: What's Inside This Box?\That's it. I'm out.\You won't play with us?\When rabbits get lonely,\they die.\Wait. I'll play.\Weight.\Smell. response:	Sound.
context: That's it. I'm out.\You won't play with us?\When rabbits get lonely,\they die.\Wait. I'll play.\Weight.\Smell.\Sound. response:	Does she know the goal?
context: You won't play with us?\When rabbits get lonely,\they die.\Wait. I'll play.\Weight.\Smell.\Sound.\Does she know the goal? response:	Probably not.
context: When rabbits get lonely,\they die.\Wait. I'll play.\Weight.\Smell.\Sound.\Does she know the goal?\Probably not. response:	Explaining...
context: they die.\Wait. I'll play.\Weight.\Smell.\Sound.\Does she know the goal?\Probably not.\Explaining... response:	That's what the game is about!
context: Wait. I'll play.\Weight.\Smell.\Sound.\Does she know the goal?\Probably not.\Explaining...\That's what the game is about! response:	There could be bugs inside?!
context: Weight.\Smell.\Sound.\Does she know the goal?\Probably not.\Explaining...\That's what the game is about!\There could be bugs inside?! response:	So what is it? What is inside the box?
context: Smell.\Sound.\Does she know the goal?\Probably not.\Explaining...\That's what the game is about!\There could be bugs inside?!\So what is it? What is inside the box? response:	What is it?
context: Sound.\Does she know the goal?\Probably not.\Explaining...\That's what the game is about!\There could be bugs inside?!\So what is it? What is inside the box?\What is it? response:	Well, ah... You have to guess.
context: Does she know the goal?\Probably not.\Explaining...\That's what the game is about!\There could be bugs inside?!\So what is it? What is inside the box?\What is it?\Well, ah... You have to guess. response:	So I can touch it, right?
context: Probably not.\Explaining...\That's what the game is about!\There could be bugs inside?!\So what is it? What is inside the box?\What is it?\Well, ah... You have to guess.\So I can touch it, right? response:	Oh, Sou... Sou... Sou... Sou!
context: Explaining...\That's what the game is about!\There could be bugs inside?!\So what is it? What is inside the box?\What is it?\Well, ah... You have to guess.\So I can touch it, right?\Oh, Sou... Sou... Sou... Sou! response:	Blush
context: That's what the game is about!\There could be bugs inside?!\So what is it? What is inside the box?\What is it?\Well, ah... You have to guess.\So I can touch it, right?\Oh, Sou... Sou... Sou... Sou!\Blush response:	There aren't any bugs or anything dangerous in the box.
context: There could be bugs inside?!\So what is it? What is inside the box?\What is it?\Well, ah... You have to guess.\So I can touch it, right?\Oh, Sou... Sou... Sou... Sou!\Blush\There aren't any bugs or anything dangerous in the box. response:	Good.
context: So what is it? What is inside the box?\What is it?\Well, ah... You have to guess.\So I can touch it, right?\Oh, Sou... Sou... Sou... Sou!\Blush\There aren't any bugs or anything dangerous in the box.\Good. response:	Talk about over-protective.
context: What is it?\Well, ah... You have to guess.\So I can touch it, right?\Oh, Sou... Sou... Sou... Sou!\Blush\There aren't any bugs or anything dangerous in the box.\Good.\Talk about over-protective. response:	The correct answer was a scouring brush.
context: Well, ah... You have to guess.\So I can touch it, right?\Oh, Sou... Sou... Sou... Sou!\Blush\There aren't any bugs or anything dangerous in the box.\Good.\Talk about over-protective.\The correct answer was a scouring brush. response:	Scouring Brush
context: So I can touch it, right?\Oh, Sou... Sou... Sou... Sou!\Blush\There aren't any bugs or anything dangerous in the box.\Good.\Talk about over-protective.\The correct answer was a scouring brush.\Scouring Brush response:	Team Shirakiin-Miketsukami Pass
context: Oh, Sou... Sou... Sou... Sou!\Blush\There aren't any bugs or anything dangerous in the box.\Good.\Talk about over-protective.\The correct answer was a scouring brush.\Scouring Brush\Team Shirakiin-Miketsukami Pass response:	And now for Team Watanuki and Karuta.
context: Blush\There aren't any bugs or anything dangerous in the box.\Good.\Talk about over-protective.\The correct answer was a scouring brush.\Scouring Brush\Team Shirakiin-Miketsukami Pass\And now for Team Watanuki and Karuta. response:	Watch this, Karuta!
context: There aren't any bugs or anything dangerous in the box.\Good.\Talk about over-protective.\The correct answer was a scouring brush.\Scouring Brush\Team Shirakiin-Miketsukami Pass\And now for Team Watanuki and Karuta.\Watch this, Karuta! response:	I'll...
context: Good.\Talk about over-protective.\The correct answer was a scouring brush.\Scouring Brush\Team Shirakiin-Miketsukami Pass\And now for Team Watanuki and Karuta.\Watch this, Karuta!\I'll... response:	Huh?
context: Talk about over-protective.\The correct answer was a scouring brush.\Scouring Brush\Team Shirakiin-Miketsukami Pass\And now for Team Watanuki and Karuta.\Watch this, Karuta!\I'll...\Huh? response:	Karuta?
context: The correct answer was a scouring brush.\Scouring Brush\Team Shirakiin-Miketsukami Pass\And now for Team Watanuki and Karuta.\Watch this, Karuta!\I'll...\Huh?\Karuta? response:	A lobster.
context: Scouring Brush\Team Shirakiin-Miketsukami Pass\And now for Team Watanuki and Karuta.\Watch this, Karuta!\I'll...\Huh?\Karuta?\A lobster. response:	She's good!
context: Team Shirakiin-Miketsukami Pass\And now for Team Watanuki and Karuta.\Watch this, Karuta!\I'll...\Huh?\Karuta?\A lobster.\She's good! response:	The correct answer was a spiny lobster!
context: And now for Team Watanuki and Karuta.\Watch this, Karuta!\I'll...\Huh?\Karuta?\A lobster.\She's good!\The correct answer was a spiny lobster! response:	Spiny Lobster
context: Watch this, Karuta!\I'll...\Huh?\Karuta?\A lobster.\She's good!\The correct answer was a spiny lobster!\Spiny Lobster response:	I need some wasabi and soy sauce.
context: I'll...\Huh?\Karuta?\A lobster.\She's good!\The correct answer was a spiny lobster!\Spiny Lobster\I need some wasabi and soy sauce. response:	She's strong!
context: Huh?\Karuta?\A lobster.\She's good!\The correct answer was a spiny lobster!\Spiny Lobster\I need some wasabi and soy sauce.\She's strong! response:	Team Watanuki-Karuta Pass
context: Karuta?\A lobster.\She's good!\The correct answer was a spiny lobster!\Spiny Lobster\I need some wasabi and soy sauce.\She's strong!\Team Watanuki-Karuta Pass response:	Now, Team Nobara!
context: A lobster.\She's good!\The correct answer was a spiny lobster!\Spiny Lobster\I need some wasabi and soy sauce.\She's strong!\Team Watanuki-Karuta Pass\Now, Team Nobara! response:	Go on, then!
context: She's good!\The correct answer was a spiny lobster!\Spiny Lobster\I need some wasabi and soy sauce.\She's strong!\Team Watanuki-Karuta Pass\Now, Team Nobara!\Go on, then! response:	We're really doing this?
context: The correct answer was a spiny lobster!\Spiny Lobster\I need some wasabi and soy sauce.\She's strong!\Team Watanuki-Karuta Pass\Now, Team Nobara!\Go on, then!\We're really doing this? response:	Seriously?
context: Spiny Lobster\I need some wasabi and soy sauce.\She's strong!\Team Watanuki-Karuta Pass\Now, Team Nobara!\Go on, then!\We're really doing this?\Seriously? response:	I sure am!
context: I need some wasabi and soy sauce.\She's strong!\Team Watanuki-Karuta Pass\Now, Team Nobara!\Go on, then!\We're really doing this?\Seriously?\I sure am! response:	Step right up!
context: She's strong!\Team Watanuki-Karuta Pass\Now, Team Nobara!\Go on, then!\We're really doing this?\Seriously?\I sure am!\Step right up! response:	But I get freaked out easily.
context: Team Watanuki-Karuta Pass\Now, Team Nobara!\Go on, then!\We're really doing this?\Seriously?\I sure am!\Step right up!\But I get freaked out easily. response:	Ugh, what is this?
context: Now, Team Nobara!\Go on, then!\We're really doing this?\Seriously?\I sure am!\Step right up!\But I get freaked out easily.\Ugh, what is this? response:	It's gummy... Freaky.
context: Go on, then!\We're really doing this?\Seriously?\I sure am!\Step right up!\But I get freaked out easily.\Ugh, what is this?\It's gummy... Freaky. response:	Konnyaku Gelatin
context: We're really doing this?\Seriously?\I sure am!\Step right up!\But I get freaked out easily.\Ugh, what is this?\It's gummy... Freaky.\Konnyaku Gelatin response:	The correct answer was konnyaku gelatin!
context: Seriously?\I sure am!\Step right up!\But I get freaked out easily.\Ugh, what is this?\It's gummy... Freaky.\Konnyaku Gelatin\The correct answer was konnyaku gelatin! response:	Sorinozuka, you're quite normal.
context: I sure am!\Step right up!\But I get freaked out easily.\Ugh, what is this?\It's gummy... Freaky.\Konnyaku Gelatin\The correct answer was konnyaku gelatin!\Sorinozuka, you're quite normal. response:	What? Are you saying I'm forgettable?
context: Step right up!\But I get freaked out easily.\Ugh, what is this?\It's gummy... Freaky.\Konnyaku Gelatin\The correct answer was konnyaku gelatin!\Sorinozuka, you're quite normal.\What? Are you saying I'm forgettable? response:	No, you're comforting.
context: But I get freaked out easily.\Ugh, what is this?\It's gummy... Freaky.\Konnyaku Gelatin\The correct answer was konnyaku gelatin!\Sorinozuka, you're quite normal.\What? Are you saying I'm forgettable?\No, you're comforting. response:	Team Nobara-Sorinozuka Pass
context: Ugh, what is this?\It's gummy... Freaky.\Konnyaku Gelatin\The correct answer was konnyaku gelatin!\Sorinozuka, you're quite normal.\What? Are you saying I'm forgettable?\No, you're comforting.\Team Nobara-Sorinozuka Pass response:	And now, on to round two!
context: It's gummy... Freaky.\Konnyaku Gelatin\The correct answer was konnyaku gelatin!\Sorinozuka, you're quite normal.\What? Are you saying I'm forgettable?\No, you're comforting.\Team Nobara-Sorinozuka Pass\And now, on to round two! response:	It's time for the Partner Quiz!
context: Konnyaku Gelatin\The correct answer was konnyaku gelatin!\Sorinozuka, you're quite normal.\What? Are you saying I'm forgettable?\No, you're comforting.\Team Nobara-Sorinozuka Pass\And now, on to round two!\It's time for the Partner Quiz! response:	Partner Quiz?
context: The correct answer was konnyaku gelatin!\Sorinozuka, you're quite normal.\What? Are you saying I'm forgettable?\No, you're comforting.\Team Nobara-Sorinozuka Pass\And now, on to round two!\It's time for the Partner Quiz!\Partner Quiz? response:	You answer questions about your partner!
context: Sorinozuka, you're quite normal.\What? Are you saying I'm forgettable?\No, you're comforting.\Team Nobara-Sorinozuka Pass\And now, on to round two!\It's time for the Partner Quiz!\Partner Quiz?\You answer questions about your partner! response:	It's an exciting game that tests the bond between your partner and you!
context: What? Are you saying I'm forgettable?\No, you're comforting.\Team Nobara-Sorinozuka Pass\And now, on to round two!\It's time for the Partner Quiz!\Partner Quiz?\You answer questions about your partner!\It's an exciting game that tests the bond between your partner and you! response:	Questions about your partner?
context: No, you're comforting.\Team Nobara-Sorinozuka Pass\And now, on to round two!\It's time for the Partner Quiz!\Partner Quiz?\You answer questions about your partner!\It's an exciting game that tests the bond between your partner and you!\Questions about your partner? response:	Will I be able to answer anything about Miketsukami?
context: Team Nobara-Sorinozuka Pass\And now, on to round two!\It's time for the Partner Quiz!\Partner Quiz?\You answer questions about your partner!\It's an exciting game that tests the bond between your partner and you!\Questions about your partner?\Will I be able to answer anything about Miketsukami? response:	This is going to be difficult...
context: And now, on to round two!\It's time for the Partner Quiz!\Partner Quiz?\You answer questions about your partner!\It's an exciting game that tests the bond between your partner and you!\Questions about your partner?\Will I be able to answer anything about Miketsukami?\This is going to be difficult... response:	My first question is to Karuta!
context: It's time for the Partner Quiz!\Partner Quiz?\You answer questions about your partner!\It's an exciting game that tests the bond between your partner and you!\Questions about your partner?\Will I be able to answer anything about Miketsukami?\This is going to be difficult...\My first question is to Karuta! response:	What are Watanuki's favorite things about school?
context: Partner Quiz?\You answer questions about your partner!\It's an exciting game that tests the bond between your partner and you!\Questions about your partner?\Will I be able to answer anything about Miketsukami?\This is going to be difficult...\My first question is to Karuta!\What are Watanuki's favorite things about school? response:	I'm a delinquent, and delinquents have no favorite...
context: You answer questions about your partner!\It's an exciting game that tests the bond between your partner and you!\Questions about your partner?\Will I be able to answer anything about Miketsukami?\This is going to be difficult...\My first question is to Karuta!\What are Watanuki's favorite things about school?\I'm a delinquent, and delinquents have no favorite... response:	He likes the athletic festival, the culture festival,
context: It's an exciting game that tests the bond between your partner and you!\Questions about your partner?\Will I be able to answer anything about Miketsukami?\This is going to be difficult...\My first question is to Karuta!\What are Watanuki's favorite things about school?\I'm a delinquent, and delinquents have no favorite...\He likes the athletic festival, the culture festival, response:	and the school marathon.
context: Questions about your partner?\Will I be able to answer anything about Miketsukami?\This is going to be difficult...\My first question is to Karuta!\What are Watanuki's favorite things about school?\I'm a delinquent, and delinquents have no favorite...\He likes the athletic festival, the culture festival,\and the school marathon. response:	And he likes field trips.
context: Will I be able to answer anything about Miketsukami?\This is going to be difficult...\My first question is to Karuta!\What are Watanuki's favorite things about school?\I'm a delinquent, and delinquents have no favorite...\He likes the athletic festival, the culture festival,\and the school marathon.\And he likes field trips. response:	Well, if I'm forced to participate, I guess I will!
context: This is going to be difficult...\My first question is to Karuta!\What are Watanuki's favorite things about school?\I'm a delinquent, and delinquents have no favorite...\He likes the athletic festival, the culture festival,\and the school marathon.\And he likes field trips.\Well, if I'm forced to participate, I guess I will! response:	That is absolutely correct!
context: My first question is to Karuta!\What are Watanuki's favorite things about school?\I'm a delinquent, and delinquents have no favorite...\He likes the athletic festival, the culture festival,\and the school marathon.\And he likes field trips.\Well, if I'm forced to participate, I guess I will!\That is absolutely correct! response:	And the next question is to Watanuki!
context: What are Watanuki's favorite things about school?\I'm a delinquent, and delinquents have no favorite...\He likes the athletic festival, the culture festival,\and the school marathon.\And he likes field trips.\Well, if I'm forced to participate, I guess I will!\That is absolutely correct!\And the next question is to Watanuki! response:	Where would Karuta like to go for a date?
