context: I've been waiting for you. response:	Is she for sale?
context: By the way, Miss...\Did it work?\What are you talking about?\That little mascot charm you gave Baku last night.\Is it true that it brings deep sleep with no nightmares?\I'd love to have a mascot\that matches yours, too.\Um, Sir... response:	Is there really a mascot that prevents you from having nightmares?
context: Did it work?\What are you talking about?\That little mascot charm you gave Baku last night.\Is it true that it brings deep sleep with no nightmares?\I'd love to have a mascot\that matches yours, too.\Um, Sir...\Is there really a mascot that prevents you from having nightmares? response:	If there is, I'd like one...
context: What are you talking about?\That little mascot charm you gave Baku last night.\Is it true that it brings deep sleep with no nightmares?\I'd love to have a mascot\that matches yours, too.\Um, Sir...\Is there really a mascot that prevents you from having nightmares?\If there is, I'd like one... response:	Idiot.
context: That little mascot charm you gave Baku last night.\Is it true that it brings deep sleep with no nightmares?\I'd love to have a mascot\that matches yours, too.\Um, Sir...\Is there really a mascot that prevents you from having nightmares?\If there is, I'd like one...\Idiot. response:	Of course there's no such thing.
context: Is it true that it brings deep sleep with no nightmares?\I'd love to have a mascot\that matches yours, too.\Um, Sir...\Is there really a mascot that prevents you from having nightmares?\If there is, I'd like one...\Idiot.\Of course there's no such thing. response:	I'm sorry... Do you have an invitation?
context: I'd love to have a mascot\that matches yours, too.\Um, Sir...\Is there really a mascot that prevents you from having nightmares?\If there is, I'd like one...\Idiot.\Of course there's no such thing.\I'm sorry... Do you have an invitation? response:	Will this do?
context: that matches yours, too.\Um, Sir...\Is there really a mascot that prevents you from having nightmares?\If there is, I'd like one...\Idiot.\Of course there's no such thing.\I'm sorry... Do you have an invitation?\Will this do? response:	Minors are not permitted here.
context: Um, Sir...\Is there really a mascot that prevents you from having nightmares?\If there is, I'd like one...\Idiot.\Of course there's no such thing.\I'm sorry... Do you have an invitation?\Will this do?\Minors are not permitted here. response:	U-Um...
context: Is there really a mascot that prevents you from having nightmares?\If there is, I'd like one...\Idiot.\Of course there's no such thing.\I'm sorry... Do you have an invitation?\Will this do?\Minors are not permitted here.\U-Um... response:	Will this suffice to change your mind?
context: If there is, I'd like one...\Idiot.\Of course there's no such thing.\I'm sorry... Do you have an invitation?\Will this do?\Minors are not permitted here.\U-Um...\Will this suffice to change your mind? response:	We're here for... educational purposes.
context: Idiot.\Of course there's no such thing.\I'm sorry... Do you have an invitation?\Will this do?\Minors are not permitted here.\U-Um...\Will this suffice to change your mind?\We're here for... educational purposes. response:	Go in, then... I hope you learn something.
context: Of course there's no such thing.\I'm sorry... Do you have an invitation?\Will this do?\Minors are not permitted here.\U-Um...\Will this suffice to change your mind?\We're here for... educational purposes.\Go in, then... I hope you learn something. response:	This has happened before, hasn't it?
context: I'm sorry... Do you have an invitation?\Will this do?\Minors are not permitted here.\U-Um...\Will this suffice to change your mind?\We're here for... educational purposes.\Go in, then... I hope you learn something.\This has happened before, hasn't it? response:	The wait is over.
context: Will this do?\Minors are not permitted here.\U-Um...\Will this suffice to change your mind?\We're here for... educational purposes.\Go in, then... I hope you learn something.\This has happened before, hasn't it?\The wait is over. response:	This is tonight's main event!
context: Minors are not permitted here.\U-Um...\Will this suffice to change your mind?\We're here for... educational purposes.\Go in, then... I hope you learn something.\This has happened before, hasn't it?\The wait is over.\This is tonight's main event! response:	The Northern Hemisphere's ultimate murder weapon,
context: U-Um...\Will this suffice to change your mind?\We're here for... educational purposes.\Go in, then... I hope you learn something.\This has happened before, hasn't it?\The wait is over.\This is tonight's main event!\The Northern Hemisphere's ultimate murder weapon, response:	Gimerock Bomber!
context: Will this suffice to change your mind?\We're here for... educational purposes.\Go in, then... I hope you learn something.\This has happened before, hasn't it?\The wait is over.\This is tonight's main event!\The Northern Hemisphere's ultimate murder weapon,\Gimerock Bomber! response:	And facing him is the man you all know.
context: We're here for... educational purposes.\Go in, then... I hope you learn something.\This has happened before, hasn't it?\The wait is over.\This is tonight's main event!\The Northern Hemisphere's ultimate murder weapon,\Gimerock Bomber!\And facing him is the man you all know. response:	The fighting prince of the arena,
context: Go in, then... I hope you learn something.\This has happened before, hasn't it?\The wait is over.\This is tonight's main event!\The Northern Hemisphere's ultimate murder weapon,\Gimerock Bomber!\And facing him is the man you all know.\The fighting prince of the arena, response:	the champion, Baku!
context: This has happened before, hasn't it?\The wait is over.\This is tonight's main event!\The Northern Hemisphere's ultimate murder weapon,\Gimerock Bomber!\And facing him is the man you all know.\The fighting prince of the arena,\the champion, Baku! response:	I've never seen you here...
context: The wait is over.\This is tonight's main event!\The Northern Hemisphere's ultimate murder weapon,\Gimerock Bomber!\And facing him is the man you all know.\The fighting prince of the arena,\the champion, Baku!\I've never seen you here... response:	Who're you betting on?
context: This is tonight's main event!\The Northern Hemisphere's ultimate murder weapon,\Gimerock Bomber!\And facing him is the man you all know.\The fighting prince of the arena,\the champion, Baku!\I've never seen you here...\Who're you betting on? response:	What are the odds on the champion tonight?
context: The Northern Hemisphere's ultimate murder weapon,\Gimerock Bomber!\And facing him is the man you all know.\The fighting prince of the arena,\the champion, Baku!\I've never seen you here...\Who're you betting on?\What are the odds on the champion tonight? response:	All right... I'm in for 2,000,000 yen!
context: Gimerock Bomber!\And facing him is the man you all know.\The fighting prince of the arena,\the champion, Baku!\I've never seen you here...\Who're you betting on?\What are the odds on the champion tonight?\All right... I'm in for 2,000,000 yen! response:	You have guts, little girl.
context: And facing him is the man you all know.\The fighting prince of the arena,\the champion, Baku!\I've never seen you here...\Who're you betting on?\What are the odds on the champion tonight?\All right... I'm in for 2,000,000 yen!\You have guts, little girl. response:	Okay!
context: The fighting prince of the arena,\the champion, Baku!\I've never seen you here...\Who're you betting on?\What are the odds on the champion tonight?\All right... I'm in for 2,000,000 yen!\You have guts, little girl.\Okay! response:	All right! Come on, champion!
context: the champion, Baku!\I've never seen you here...\Who're you betting on?\What are the odds on the champion tonight?\All right... I'm in for 2,000,000 yen!\You have guts, little girl.\Okay!\All right! Come on, champion! response:	Is this the real reason you wanted to come?
context: I've never seen you here...\Who're you betting on?\What are the odds on the champion tonight?\All right... I'm in for 2,000,000 yen!\You have guts, little girl.\Okay!\All right! Come on, champion!\Is this the real reason you wanted to come? response:	He opens up with a knife!
context: Who're you betting on?\What are the odds on the champion tonight?\All right... I'm in for 2,000,000 yen!\You have guts, little girl.\Okay!\All right! Come on, champion!\Is this the real reason you wanted to come?\He opens up with a knife! response:	But any non-ranged weapon is allowed.
context: What are the odds on the champion tonight?\All right... I'm in for 2,000,000 yen!\You have guts, little girl.\Okay!\All right! Come on, champion!\Is this the real reason you wanted to come?\He opens up with a knife!\But any non-ranged weapon is allowed. response:	The murder weapon's blade slices back and forth!
context: All right... I'm in for 2,000,000 yen!\You have guts, little girl.\Okay!\All right! Come on, champion!\Is this the real reason you wanted to come?\He opens up with a knife!\But any non-ranged weapon is allowed.\The murder weapon's blade slices back and forth! response:	Will it strike his prey?
context: You have guts, little girl.\Okay!\All right! Come on, champion!\Is this the real reason you wanted to come?\He opens up with a knife!\But any non-ranged weapon is allowed.\The murder weapon's blade slices back and forth!\Will it strike his prey? response:	Baku...
context: Okay!\All right! Come on, champion!\Is this the real reason you wanted to come?\He opens up with a knife!\But any non-ranged weapon is allowed.\The murder weapon's blade slices back and forth!\Will it strike his prey?\Baku... response:	All right!
context: All right! Come on, champion!\Is this the real reason you wanted to come?\He opens up with a knife!\But any non-ranged weapon is allowed.\The murder weapon's blade slices back and forth!\Will it strike his prey?\Baku...\All right! response:	That was amazing.
context: Is this the real reason you wanted to come?\He opens up with a knife!\But any non-ranged weapon is allowed.\The murder weapon's blade slices back and forth!\Will it strike his prey?\Baku...\All right!\That was amazing. response:	No contest!
context: He opens up with a knife!\But any non-ranged weapon is allowed.\The murder weapon's blade slices back and forth!\Will it strike his prey?\Baku...\All right!\That was amazing.\No contest! response:	Once more, Baku's fists explode into the enemy!
context: But any non-ranged weapon is allowed.\The murder weapon's blade slices back and forth!\Will it strike his prey?\Baku...\All right!\That was amazing.\No contest!\Once more, Baku's fists explode into the enemy! response:	The Northern Hemisphere's ultimate murder weapon
context: The murder weapon's blade slices back and forth!\Will it strike his prey?\Baku...\All right!\That was amazing.\No contest!\Once more, Baku's fists explode into the enemy!\The Northern Hemisphere's ultimate murder weapon response:	was no match for the invincible champion.
context: Will it strike his prey?\Baku...\All right!\That was amazing.\No contest!\Once more, Baku's fists explode into the enemy!\The Northern Hemisphere's ultimate murder weapon\was no match for the invincible champion. response:	Oh! This is a surprise...
context: Baku...\All right!\That was amazing.\No contest!\Once more, Baku's fists explode into the enemy!\The Northern Hemisphere's ultimate murder weapon\was no match for the invincible champion.\Oh! This is a surprise... response:	but this is the first night we've actually had one!
context: All right!\That was amazing.\No contest!\Once more, Baku's fists explode into the enemy!\The Northern Hemisphere's ultimate murder weapon\was no match for the invincible champion.\Oh! This is a surprise...\but this is the first night we've actually had one! response:	So, tell us your name, hero!
context: That was amazing.\No contest!\Once more, Baku's fists explode into the enemy!\The Northern Hemisphere's ultimate murder weapon\was no match for the invincible champion.\Oh! This is a surprise...\but this is the first night we've actually had one!\So, tell us your name, hero! response:	I'm Amara.
context: No contest!\Once more, Baku's fists explode into the enemy!\The Northern Hemisphere's ultimate murder weapon\was no match for the invincible champion.\Oh! This is a surprise...\but this is the first night we've actually had one!\So, tell us your name, hero!\I'm Amara. response:	Amarok...
context: Once more, Baku's fists explode into the enemy!\The Northern Hemisphere's ultimate murder weapon\was no match for the invincible champion.\Oh! This is a surprise...\but this is the first night we've actually had one!\So, tell us your name, hero!\I'm Amara.\Amarok... response:	Teppei,
context: The Northern Hemisphere's ultimate murder weapon\was no match for the invincible champion.\Oh! This is a surprise...\but this is the first night we've actually had one!\So, tell us your name, hero!\I'm Amara.\Amarok...\Teppei, response:	not here.
context: was no match for the invincible champion.\Oh! This is a surprise...\but this is the first night we've actually had one!\So, tell us your name, hero!\I'm Amara.\Amarok...\Teppei,\not here. response:	Ranged weapons are against the rules, huh?
context: Oh! This is a surprise...\but this is the first night we've actually had one!\So, tell us your name, hero!\I'm Amara.\Amarok...\Teppei,\not here.\Ranged weapons are against the rules, huh? response:	That's...
context: but this is the first night we've actually had one!\So, tell us your name, hero!\I'm Amara.\Amarok...\Teppei,\not here.\Ranged weapons are against the rules, huh?\That's... response:	Our brave challenger's name is Amara!
context: So, tell us your name, hero!\I'm Amara.\Amarok...\Teppei,\not here.\Ranged weapons are against the rules, huh?\That's...\Our brave challenger's name is Amara! response:	Amara and the champion, Baku, are staring each other down.
context: I'm Amara.\Amarok...\Teppei,\not here.\Ranged weapons are against the rules, huh?\That's...\Our brave challenger's name is Amara!\Amara and the champion, Baku, are staring each other down. response:	The tension is immense...
context: Amarok...\Teppei,\not here.\Ranged weapons are against the rules, huh?\That's...\Our brave challenger's name is Amara!\Amara and the champion, Baku, are staring each other down.\The tension is immense... response:	What?
context: Teppei,\not here.\Ranged weapons are against the rules, huh?\That's...\Our brave challenger's name is Amara!\Amara and the champion, Baku, are staring each other down.\The tension is immense...\What? response:	This brings back memories, Bugbear...
context: not here.\Ranged weapons are against the rules, huh?\That's...\Our brave challenger's name is Amara!\Amara and the champion, Baku, are staring each other down.\The tension is immense...\What?\This brings back memories, Bugbear... response:	I remember when we used to play like this.
context: Ranged weapons are against the rules, huh?\That's...\Our brave challenger's name is Amara!\Amara and the champion, Baku, are staring each other down.\The tension is immense...\What?\This brings back memories, Bugbear...\I remember when we used to play like this. response:	What...
context: That's...\Our brave challenger's name is Amara!\Amara and the champion, Baku, are staring each other down.\The tension is immense...\What?\This brings back memories, Bugbear...\I remember when we used to play like this.\What... response:	are you?
context: Our brave challenger's name is Amara!\Amara and the champion, Baku, are staring each other down.\The tension is immense...\What?\This brings back memories, Bugbear...\I remember when we used to play like this.\What...\are you? response:	Stay away from me!
context: Amara and the champion, Baku, are staring each other down.\The tension is immense...\What?\This brings back memories, Bugbear...\I remember when we used to play like this.\What...\are you?\Stay away from me! response:	Whoa! Is this an earthquake?
context: The tension is immense...\What?\This brings back memories, Bugbear...\I remember when we used to play like this.\What...\are you?\Stay away from me!\Whoa! Is this an earthquake? response:	Bugbear's heart is causing space itself to shake.
context: What?\This brings back memories, Bugbear...\I remember when we used to play like this.\What...\are you?\Stay away from me!\Whoa! Is this an earthquake?\Bugbear's heart is causing space itself to shake. response:	Turn on the emergency lights.
context: This brings back memories, Bugbear...\I remember when we used to play like this.\What...\are you?\Stay away from me!\Whoa! Is this an earthquake?\Bugbear's heart is causing space itself to shake.\Turn on the emergency lights. response:	Hurry!
context: I remember when we used to play like this.\What...\are you?\Stay away from me!\Whoa! Is this an earthquake?\Bugbear's heart is causing space itself to shake.\Turn on the emergency lights.\Hurry! response:	Baku, are you okay?
context: What...\are you?\Stay away from me!\Whoa! Is this an earthquake?\Bugbear's heart is causing space itself to shake.\Turn on the emergency lights.\Hurry!\Baku, are you okay? response:	Amarok...
context: are you?\Stay away from me!\Whoa! Is this an earthquake?\Bugbear's heart is causing space itself to shake.\Turn on the emergency lights.\Hurry!\Baku, are you okay?\Amarok... response:	Who's there?
context: Stay away from me!\Whoa! Is this an earthquake?\Bugbear's heart is causing space itself to shake.\Turn on the emergency lights.\Hurry!\Baku, are you okay?\Amarok...\Who's there? response:	Come out.
context: Whoa! Is this an earthquake?\Bugbear's heart is causing space itself to shake.\Turn on the emergency lights.\Hurry!\Baku, are you okay?\Amarok...\Who's there?\Come out. response:	What? It isn't Bugbear?
context: Bugbear's heart is causing space itself to shake.\Turn on the emergency lights.\Hurry!\Baku, are you okay?\Amarok...\Who's there?\Come out.\What? It isn't Bugbear? response:	Do you remember me, kid?
context: Turn on the emergency lights.\Hurry!\Baku, are you okay?\Amarok...\Who's there?\Come out.\What? It isn't Bugbear?\Do you remember me, kid? response:	I don't think so...
context: Hurry!\Baku, are you okay?\Amarok...\Who's there?\Come out.\What? It isn't Bugbear?\Do you remember me, kid?\I don't think so... response:	Who are you?
context: Baku, are you okay?\Amarok...\Who's there?\Come out.\What? It isn't Bugbear?\Do you remember me, kid?\I don't think so...\Who are you? response:	I think his name was Kariya Haruhiko...
context: Amarok...\Who's there?\Come out.\What? It isn't Bugbear?\Do you remember me, kid?\I don't think so...\Who are you?\I think his name was Kariya Haruhiko... response:	He was at the casino where I worked.
context: Who's there?\Come out.\What? It isn't Bugbear?\Do you remember me, kid?\I don't think so...\Who are you?\I think his name was Kariya Haruhiko...\He was at the casino where I worked. response:	Are you Zin?
context: Come out.\What? It isn't Bugbear?\Do you remember me, kid?\I don't think so...\Who are you?\I think his name was Kariya Haruhiko...\He was at the casino where I worked.\Are you Zin? response:	I knew you were working with him.
context: What? It isn't Bugbear?\Do you remember me, kid?\I don't think so...\Who are you?\I think his name was Kariya Haruhiko...\He was at the casino where I worked.\Are you Zin?\I knew you were working with him. response:	Those iron pipes leaning against that wall over there...
context: Do you remember me, kid?\I don't think so...\Who are you?\I think his name was Kariya Haruhiko...\He was at the casino where I worked.\Are you Zin?\I knew you were working with him.\Those iron pipes leaning against that wall over there... response:	They're dangerous.
context: I don't think so...\Who are you?\I think his name was Kariya Haruhiko...\He was at the casino where I worked.\Are you Zin?\I knew you were working with him.\Those iron pipes leaning against that wall over there...\They're dangerous. response:	You know you have to pay for what you did.
context: Who are you?\I think his name was Kariya Haruhiko...\He was at the casino where I worked.\Are you Zin?\I knew you were working with him.\Those iron pipes leaning against that wall over there...\They're dangerous.\You know you have to pay for what you did. response:	I warned you that they're dangerous.
context: I think his name was Kariya Haruhiko...\He was at the casino where I worked.\Are you Zin?\I knew you were working with him.\Those iron pipes leaning against that wall over there...\They're dangerous.\You know you have to pay for what you did.\I warned you that they're dangerous. response:	Sir! Sir!
context: He was at the casino where I worked.\Are you Zin?\I knew you were working with him.\Those iron pipes leaning against that wall over there...\They're dangerous.\You know you have to pay for what you did.\I warned you that they're dangerous.\Sir! Sir! response:	You bastards...
context: Are you Zin?\I knew you were working with him.\Those iron pipes leaning against that wall over there...\They're dangerous.\You know you have to pay for what you did.\I warned you that they're dangerous.\Sir! Sir!\You bastards... response:	Oh, you aren't very friendly, mister...
context: I knew you were working with him.\Those iron pipes leaning against that wall over there...\They're dangerous.\You know you have to pay for what you did.\I warned you that they're dangerous.\Sir! Sir!\You bastards...\Oh, you aren't very friendly, mister... response:	A girl's standing here alone, and you just walk by?
context: Those iron pipes leaning against that wall over there...\They're dangerous.\You know you have to pay for what you did.\I warned you that they're dangerous.\Sir! Sir!\You bastards...\Oh, you aren't very friendly, mister...\A girl's standing here alone, and you just walk by? response:	Are you with him?
context: They're dangerous.\You know you have to pay for what you did.\I warned you that they're dangerous.\Sir! Sir!\You bastards...\Oh, you aren't very friendly, mister...\A girl's standing here alone, and you just walk by?\Are you with him? response:	With him? It's more like...
context: You know you have to pay for what you did.\I warned you that they're dangerous.\Sir! Sir!\You bastards...\Oh, you aren't very friendly, mister...\A girl's standing here alone, and you just walk by?\Are you with him?\With him? It's more like... response:	We're bound by fate.
context: I warned you that they're dangerous.\Sir! Sir!\You bastards...\Oh, you aren't very friendly, mister...\A girl's standing here alone, and you just walk by?\Are you with him?\With him? It's more like...\We're bound by fate. response:	Who are you guys?
context: Sir! Sir!\You bastards...\Oh, you aren't very friendly, mister...\A girl's standing here alone, and you just walk by?\Are you with him?\With him? It's more like...\We're bound by fate.\Who are you guys? response:	You could say we're scouts.
context: You bastards...\Oh, you aren't very friendly, mister...\A girl's standing here alone, and you just walk by?\Are you with him?\With him? It's more like...\We're bound by fate.\Who are you guys?\You could say we're scouts. response:	I don't like hitting women.
context: Oh, you aren't very friendly, mister...\A girl's standing here alone, and you just walk by?\Are you with him?\With him? It's more like...\We're bound by fate.\Who are you guys?\You could say we're scouts.\I don't like hitting women. response:	Get lost.
context: A girl's standing here alone, and you just walk by?\Are you with him?\With him? It's more like...\We're bound by fate.\Who are you guys?\You could say we're scouts.\I don't like hitting women.\Get lost. response:	Don't destroy who I am now.
context: Are you with him?\With him? It's more like...\We're bound by fate.\Who are you guys?\You could say we're scouts.\I don't like hitting women.\Get lost.\Don't destroy who I am now. response:	That's exactly what we're here to do!
context: With him? It's more like...\We're bound by fate.\Who are you guys?\You could say we're scouts.\I don't like hitting women.\Get lost.\Don't destroy who I am now.\That's exactly what we're here to do! response:	I thought you didn't hit women.
context: We're bound by fate.\Who are you guys?\You could say we're scouts.\I don't like hitting women.\Get lost.\Don't destroy who I am now.\That's exactly what we're here to do!\I thought you didn't hit women. response:	Ranged weapons are against the rules.
context: Who are you guys?\You could say we're scouts.\I don't like hitting women.\Get lost.\Don't destroy who I am now.\That's exactly what we're here to do!\I thought you didn't hit women.\Ranged weapons are against the rules. response:	Wait, Bugbear!
context: You could say we're scouts.\I don't like hitting women.\Get lost.\Don't destroy who I am now.\That's exactly what we're here to do!\I thought you didn't hit women.\Ranged weapons are against the rules.\Wait, Bugbear! response:	He's gone.
context: I don't like hitting women.\Get lost.\Don't destroy who I am now.\That's exactly what we're here to do!\I thought you didn't hit women.\Ranged weapons are against the rules.\Wait, Bugbear!\He's gone. response:	And I was going to show him a good time.
context: Get lost.\Don't destroy who I am now.\That's exactly what we're here to do!\I thought you didn't hit women.\Ranged weapons are against the rules.\Wait, Bugbear!\He's gone.\And I was going to show him a good time. response:	Sir... Sir... Sir!
context: Don't destroy who I am now.\That's exactly what we're here to do!\I thought you didn't hit women.\Ranged weapons are against the rules.\Wait, Bugbear!\He's gone.\And I was going to show him a good time.\Sir... Sir... Sir! response:	His pupils are dilated.
context: That's exactly what we're here to do!\I thought you didn't hit women.\Ranged weapons are against the rules.\Wait, Bugbear!\He's gone.\And I was going to show him a good time.\Sir... Sir... Sir!\His pupils are dilated. response:	He isn't breathing, and we can't get a pulse...
context: I thought you didn't hit women.\Ranged weapons are against the rules.\Wait, Bugbear!\He's gone.\And I was going to show him a good time.\Sir... Sir... Sir!\His pupils are dilated.\He isn't breathing, and we can't get a pulse... response:	We'll have to wait for a doctor to say for sure, but he's...
context: Ranged weapons are against the rules.\Wait, Bugbear!\He's gone.\And I was going to show him a good time.\Sir... Sir... Sir!\His pupils are dilated.\He isn't breathing, and we can't get a pulse...\We'll have to wait for a doctor to say for sure, but he's... response:	S-Sir...
context: Wait, Bugbear!\He's gone.\And I was going to show him a good time.\Sir... Sir... Sir!\His pupils are dilated.\He isn't breathing, and we can't get a pulse...\We'll have to wait for a doctor to say for sure, but he's...\S-Sir... response:	What?
context: He's gone.\And I was going to show him a good time.\Sir... Sir... Sir!\His pupils are dilated.\He isn't breathing, and we can't get a pulse...\We'll have to wait for a doctor to say for sure, but he's...\S-Sir...\What? response:	His heart stopped!
context: And I was going to show him a good time.\Sir... Sir... Sir!\His pupils are dilated.\He isn't breathing, and we can't get a pulse...\We'll have to wait for a doctor to say for sure, but he's...\S-Sir...\What?\His heart stopped! response:	What's going on?
context: Sir... Sir... Sir!\His pupils are dilated.\He isn't breathing, and we can't get a pulse...\We'll have to wait for a doctor to say for sure, but he's...\S-Sir...\What?\His heart stopped!\What's going on? response:	Are you really okay?
context: His pupils are dilated.\He isn't breathing, and we can't get a pulse...\We'll have to wait for a doctor to say for sure, but he's...\S-Sir...\What?\His heart stopped!\What's going on?\Are you really okay? response:	I am immortal.
context: He isn't breathing, and we can't get a pulse...\We'll have to wait for a doctor to say for sure, but he's...\S-Sir...\What?\His heart stopped!\What's going on?\Are you really okay?\I am immortal. response:	If Amarok and Malkin were there, then the one we're looking for was, as well.
context: We'll have to wait for a doctor to say for sure, but he's...\S-Sir...\What?\His heart stopped!\What's going on?\Are you really okay?\I am immortal.\If Amarok and Malkin were there, then the one we're looking for was, as well. response:	Let's go back tomorrow.
context: S-Sir...\What?\His heart stopped!\What's going on?\Are you really okay?\I am immortal.\If Amarok and Malkin were there, then the one we're looking for was, as well.\Let's go back tomorrow. response:	Yeah.
context: What?\His heart stopped!\What's going on?\Are you really okay?\I am immortal.\If Amarok and Malkin were there, then the one we're looking for was, as well.\Let's go back tomorrow.\Yeah. response:	This time without Akari.
context: His heart stopped!\What's going on?\Are you really okay?\I am immortal.\If Amarok and Malkin were there, then the one we're looking for was, as well.\Let's go back tomorrow.\Yeah.\This time without Akari. response:	Want my chips?
context: What's going on?\Are you really okay?\I am immortal.\If Amarok and Malkin were there, then the one we're looking for was, as well.\Let's go back tomorrow.\Yeah.\This time without Akari.\Want my chips? response:	I knew something was wrong...
context: Are you really okay?\I am immortal.\If Amarok and Malkin were there, then the one we're looking for was, as well.\Let's go back tomorrow.\Yeah.\This time without Akari.\Want my chips?\I knew something was wrong... response:	What is it?
context: I am immortal.\If Amarok and Malkin were there, then the one we're looking for was, as well.\Let's go back tomorrow.\Yeah.\This time without Akari.\Want my chips?\I knew something was wrong...\What is it? response:	I looked into the Asanoda Yakuza when I checked out the underground arena...
context: If Amarok and Malkin were there, then the one we're looking for was, as well.\Let's go back tomorrow.\Yeah.\This time without Akari.\Want my chips?\I knew something was wrong...\What is it?\I looked into the Asanoda Yakuza when I checked out the underground arena... response:	The Magus incident.
context: Let's go back tomorrow.\Yeah.\This time without Akari.\Want my chips?\I knew something was wrong...\What is it?\I looked into the Asanoda Yakuza when I checked out the underground arena...\The Magus incident. response:	You're sweating terribly.
context: Yeah.\This time without Akari.\Want my chips?\I knew something was wrong...\What is it?\I looked into the Asanoda Yakuza when I checked out the underground arena...\The Magus incident.\You're sweating terribly. response:	Did you have a bad dream?
context: This time without Akari.\Want my chips?\I knew something was wrong...\What is it?\I looked into the Asanoda Yakuza when I checked out the underground arena...\The Magus incident.\You're sweating terribly.\Did you have a bad dream? response:	Hey, am I really the one you...
context: Want my chips?\I knew something was wrong...\What is it?\I looked into the Asanoda Yakuza when I checked out the underground arena...\The Magus incident.\You're sweating terribly.\Did you have a bad dream?\Hey, am I really the one you... response:	No, never mind.
context: I knew something was wrong...\What is it?\I looked into the Asanoda Yakuza when I checked out the underground arena...\The Magus incident.\You're sweating terribly.\Did you have a bad dream?\Hey, am I really the one you...\No, never mind. response:	Don't destroy who I am now...
context: What is it?\I looked into the Asanoda Yakuza when I checked out the underground arena...\The Magus incident.\You're sweating terribly.\Did you have a bad dream?\Hey, am I really the one you...\No, never mind.\Don't destroy who I am now... response:	We were right.
context: I looked into the Asanoda Yakuza when I checked out the underground arena...\The Magus incident.\You're sweating terribly.\Did you have a bad dream?\Hey, am I really the one you...\No, never mind.\Don't destroy who I am now...\We were right. response:	The new member of the Planetary Gears is Baku, the boy from the arena.
context: The Magus incident.\You're sweating terribly.\Did you have a bad dream?\Hey, am I really the one you...\No, never mind.\Don't destroy who I am now...\We were right.\The new member of the Planetary Gears is Baku, the boy from the arena. response:	But Baku instinctively fears contact with Amarok and the others.
context: You're sweating terribly.\Did you have a bad dream?\Hey, am I really the one you...\No, never mind.\Don't destroy who I am now...\We were right.\The new member of the Planetary Gears is Baku, the boy from the arena.\But Baku instinctively fears contact with Amarok and the others. response:	Will he pilot his Machine Goodfellow?
context: Did you have a bad dream?\Hey, am I really the one you...\No, never mind.\Don't destroy who I am now...\We were right.\The new member of the Planetary Gears is Baku, the boy from the arena.\But Baku instinctively fears contact with Amarok and the others.\Will he pilot his Machine Goodfellow? response:	My Town.
context: Hey, am I really the one you...\No, never mind.\Don't destroy who I am now...\We were right.\The new member of the Planetary Gears is Baku, the boy from the arena.\But Baku instinctively fears contact with Amarok and the others.\Will he pilot his Machine Goodfellow?\My Town. response:	My Town
context: No, never mind.\Don't destroy who I am now...\We were right.\The new member of the Planetary Gears is Baku, the boy from the arena.\But Baku instinctively fears contact with Amarok and the others.\Will he pilot his Machine Goodfellow?\My Town.\My Town response:	Earth Engine, scramble!
