context: It's unforgivable, unforgivable! response:	What is it that's unforgivable?
context: Then, as usual, I will conduct a special ceremony for all of you\so that your love will come true.\O god of flames!\Please make sure these girls' thoughts reach their boys,\and make their wishes come true!\You girls came from far away, right?\Since you're here, why don't you draw a fortune slip, too?\We also sell votive paintings of horses for passing entrance exams. response:	Wanna buy one?
context: so that your love will come true.\O god of flames!\Please make sure these girls' thoughts reach their boys,\and make their wishes come true!\You girls came from far away, right?\Since you're here, why don't you draw a fortune slip, too?\We also sell votive paintings of horses for passing entrance exams.\Wanna buy one? response:	Thank you for all your concern!
context: O god of flames!\Please make sure these girls' thoughts reach their boys,\and make their wishes come true!\You girls came from far away, right?\Since you're here, why don't you draw a fortune slip, too?\We also sell votive paintings of horses for passing entrance exams.\Wanna buy one?\Thank you for all your concern! response:	I can't believe him!
context: Please make sure these girls' thoughts reach their boys,\and make their wishes come true!\You girls came from far away, right?\Since you're here, why don't you draw a fortune slip, too?\We also sell votive paintings of horses for passing entrance exams.\Wanna buy one?\Thank you for all your concern!\I can't believe him! response:	Bye-bye!
context: and make their wishes come true!\You girls came from far away, right?\Since you're here, why don't you draw a fortune slip, too?\We also sell votive paintings of horses for passing entrance exams.\Wanna buy one?\Thank you for all your concern!\I can't believe him!\Bye-bye! response:	Was he hitting on us or something?! Bye-bye!
context: You girls came from far away, right?\Since you're here, why don't you draw a fortune slip, too?\We also sell votive paintings of horses for passing entrance exams.\Wanna buy one?\Thank you for all your concern!\I can't believe him!\Bye-bye!\Was he hitting on us or something?! Bye-bye! response:	Was he hitting on us or something?!
context: Since you're here, why don't you draw a fortune slip, too?\We also sell votive paintings of horses for passing entrance exams.\Wanna buy one?\Thank you for all your concern!\I can't believe him!\Bye-bye!\Was he hitting on us or something?! Bye-bye!\Was he hitting on us or something?! response:	Oh, you girls are so pretty!
context: We also sell votive paintings of horses for passing entrance exams.\Wanna buy one?\Thank you for all your concern!\I can't believe him!\Bye-bye!\Was he hitting on us or something?! Bye-bye!\Was he hitting on us or something?!\Oh, you girls are so pretty! response:	Wanna work as a part-time shrine maiden?
context: Wanna buy one?\Thank you for all your concern!\I can't believe him!\Bye-bye!\Was he hitting on us or something?! Bye-bye!\Was he hitting on us or something?!\Oh, you girls are so pretty!\Wanna work as a part-time shrine maiden? response:	Grandpa!
context: Thank you for all your concern!\I can't believe him!\Bye-bye!\Was he hitting on us or something?! Bye-bye!\Was he hitting on us or something?!\Oh, you girls are so pretty!\Wanna work as a part-time shrine maiden?\Grandpa! response:	Stop hitting on girls already!
context: I can't believe him!\Bye-bye!\Was he hitting on us or something?! Bye-bye!\Was he hitting on us or something?!\Oh, you girls are so pretty!\Wanna work as a part-time shrine maiden?\Grandpa!\Stop hitting on girls already! response:	Oh, Rei!
context: Bye-bye!\Was he hitting on us or something?! Bye-bye!\Was he hitting on us or something?!\Oh, you girls are so pretty!\Wanna work as a part-time shrine maiden?\Grandpa!\Stop hitting on girls already!\Oh, Rei! response:	There are bad rumors about you going around in the neighborhood. Oh, Rei!
context: Was he hitting on us or something?! Bye-bye!\Was he hitting on us or something?!\Oh, you girls are so pretty!\Wanna work as a part-time shrine maiden?\Grandpa!\Stop hitting on girls already!\Oh, Rei!\There are bad rumors about you going around in the neighborhood. Oh, Rei! response:	There are bad rumors about you going around in the neighborhood
context: Was he hitting on us or something?!\Oh, you girls are so pretty!\Wanna work as a part-time shrine maiden?\Grandpa!\Stop hitting on girls already!\Oh, Rei!\There are bad rumors about you going around in the neighborhood. Oh, Rei!\There are bad rumors about you going around in the neighborhood response:	Wow! She looks cool! And so pretty!
context: Oh, you girls are so pretty!\Wanna work as a part-time shrine maiden?\Grandpa!\Stop hitting on girls already!\Oh, Rei!\There are bad rumors about you going around in the neighborhood. Oh, Rei!\There are bad rumors about you going around in the neighborhood\Wow! She looks cool! And so pretty! response:	So, this is a shrine maiden.
context: Wanna work as a part-time shrine maiden?\Grandpa!\Stop hitting on girls already!\Oh, Rei!\There are bad rumors about you going around in the neighborhood. Oh, Rei!\There are bad rumors about you going around in the neighborhood\Wow! She looks cool! And so pretty!\So, this is a shrine maiden. response:	I wouldn't mind doing that part-time.
context: Grandpa!\Stop hitting on girls already!\Oh, Rei!\There are bad rumors about you going around in the neighborhood. Oh, Rei!\There are bad rumors about you going around in the neighborhood\Wow! She looks cool! And so pretty!\So, this is a shrine maiden.\I wouldn't mind doing that part-time. response:	What?!
context: Stop hitting on girls already!\Oh, Rei!\There are bad rumors about you going around in the neighborhood. Oh, Rei!\There are bad rumors about you going around in the neighborhood\Wow! She looks cool! And so pretty!\So, this is a shrine maiden.\I wouldn't mind doing that part-time.\What?! response:	Oh, please!
context: Oh, Rei!\There are bad rumors about you going around in the neighborhood. Oh, Rei!\There are bad rumors about you going around in the neighborhood\Wow! She looks cool! And so pretty!\So, this is a shrine maiden.\I wouldn't mind doing that part-time.\What?!\Oh, please! response:	I sense an unusual aura! An evil spirit?!
context: There are bad rumors about you going around in the neighborhood. Oh, Rei!\There are bad rumors about you going around in the neighborhood\Wow! She looks cool! And so pretty!\So, this is a shrine maiden.\I wouldn't mind doing that part-time.\What?!\Oh, please!\I sense an unusual aura! An evil spirit?! response:	You can try to bring misfortune to our shrine,
context: There are bad rumors about you going around in the neighborhood\Wow! She looks cool! And so pretty!\So, this is a shrine maiden.\I wouldn't mind doing that part-time.\What?!\Oh, please!\I sense an unusual aura! An evil spirit?!\You can try to bring misfortune to our shrine, response:	but I won't allow you!
context: Wow! She looks cool! And so pretty!\So, this is a shrine maiden.\I wouldn't mind doing that part-time.\What?!\Oh, please!\I sense an unusual aura! An evil spirit?!\You can try to bring misfortune to our shrine,\but I won't allow you! response:	Begone, evil spirit!
context: So, this is a shrine maiden.\I wouldn't mind doing that part-time.\What?!\Oh, please!\I sense an unusual aura! An evil spirit?!\You can try to bring misfortune to our shrine,\but I won't allow you!\Begone, evil spirit! response:	Usagi!
context: I wouldn't mind doing that part-time.\What?!\Oh, please!\I sense an unusual aura! An evil spirit?!\You can try to bring misfortune to our shrine,\but I won't allow you!\Begone, evil spirit!\Usagi! response:	This wasn't how it was supposed to be.
context: What?!\Oh, please!\I sense an unusual aura! An evil spirit?!\You can try to bring misfortune to our shrine,\but I won't allow you!\Begone, evil spirit!\Usagi!\This wasn't how it was supposed to be. response:	Begone, evil spirit
context: Oh, please!\I sense an unusual aura! An evil spirit?!\You can try to bring misfortune to our shrine,\but I won't allow you!\Begone, evil spirit!\Usagi!\This wasn't how it was supposed to be.\Begone, evil spirit response:	Miss Rei, I have brought you a towel and water.
context: I sense an unusual aura! An evil spirit?!\You can try to bring misfortune to our shrine,\but I won't allow you!\Begone, evil spirit!\Usagi!\This wasn't how it was supposed to be.\Begone, evil spirit\Miss Rei, I have brought you a towel and water. response:	Oh, please leave them there.
context: You can try to bring misfortune to our shrine,\but I won't allow you!\Begone, evil spirit!\Usagi!\This wasn't how it was supposed to be.\Begone, evil spirit\Miss Rei, I have brought you a towel and water.\Oh, please leave them there. response:	Yes, Ma'am.
context: but I won't allow you!\Begone, evil spirit!\Usagi!\This wasn't how it was supposed to be.\Begone, evil spirit\Miss Rei, I have brought you a towel and water.\Oh, please leave them there.\Yes, Ma'am. response:	Wow!
context: Begone, evil spirit!\Usagi!\This wasn't how it was supposed to be.\Begone, evil spirit\Miss Rei, I have brought you a towel and water.\Oh, please leave them there.\Yes, Ma'am.\Wow! response:	I feel like I've seen him somewhere.
context: Usagi!\This wasn't how it was supposed to be.\Begone, evil spirit\Miss Rei, I have brought you a towel and water.\Oh, please leave them there.\Yes, Ma'am.\Wow!\I feel like I've seen him somewhere. response:	He's gorgeous!
context: This wasn't how it was supposed to be.\Begone, evil spirit\Miss Rei, I have brought you a towel and water.\Oh, please leave them there.\Yes, Ma'am.\Wow!\I feel like I've seen him somewhere.\He's gorgeous! response:	What?! Where is he? Where's the gorgeous guy?
context: Begone, evil spirit\Miss Rei, I have brought you a towel and water.\Oh, please leave them there.\Yes, Ma'am.\Wow!\I feel like I've seen him somewhere.\He's gorgeous!\What?! Where is he? Where's the gorgeous guy? response:	I can't believe the way your mind works!
context: Miss Rei, I have brought you a towel and water.\Oh, please leave them there.\Yes, Ma'am.\Wow!\I feel like I've seen him somewhere.\He's gorgeous!\What?! Where is he? Where's the gorgeous guy?\I can't believe the way your mind works! response:	Is he your brother?
context: Oh, please leave them there.\Yes, Ma'am.\Wow!\I feel like I've seen him somewhere.\He's gorgeous!\What?! Where is he? Where's the gorgeous guy?\I can't believe the way your mind works!\Is he your brother? response:	No, he's not.
context: Yes, Ma'am.\Wow!\I feel like I've seen him somewhere.\He's gorgeous!\What?! Where is he? Where's the gorgeous guy?\I can't believe the way your mind works!\Is he your brother?\No, he's not. response:	My grandpa...
context: Wow!\I feel like I've seen him somewhere.\He's gorgeous!\What?! Where is he? Where's the gorgeous guy?\I can't believe the way your mind works!\Is he your brother?\No, he's not.\My grandpa... response:	He likes to hit on everybody regardless of gender.
context: I feel like I've seen him somewhere.\He's gorgeous!\What?! Where is he? Where's the gorgeous guy?\I can't believe the way your mind works!\Is he your brother?\No, he's not.\My grandpa...\He likes to hit on everybody regardless of gender. response:	The other day, that man happened to visit the temple,
context: He's gorgeous!\What?! Where is he? Where's the gorgeous guy?\I can't believe the way your mind works!\Is he your brother?\No, he's not.\My grandpa...\He likes to hit on everybody regardless of gender.\The other day, that man happened to visit the temple, response:	then my Grandpa just decided to make him a live-in helper.
context: What?! Where is he? Where's the gorgeous guy?\I can't believe the way your mind works!\Is he your brother?\No, he's not.\My grandpa...\He likes to hit on everybody regardless of gender.\The other day, that man happened to visit the temple,\then my Grandpa just decided to make him a live-in helper. response:	You have a very interesting grandpa.
context: I can't believe the way your mind works!\Is he your brother?\No, he's not.\My grandpa...\He likes to hit on everybody regardless of gender.\The other day, that man happened to visit the temple,\then my Grandpa just decided to make him a live-in helper.\You have a very interesting grandpa. response:	Did you say that your name was Usagi? I'm sorry.
context: Is he your brother?\No, he's not.\My grandpa...\He likes to hit on everybody regardless of gender.\The other day, that man happened to visit the temple,\then my Grandpa just decided to make him a live-in helper.\You have a very interesting grandpa.\Did you say that your name was Usagi? I'm sorry. response:	Oh, what happened to me?
context: No, he's not.\My grandpa...\He likes to hit on everybody regardless of gender.\The other day, that man happened to visit the temple,\then my Grandpa just decided to make him a live-in helper.\You have a very interesting grandpa.\Did you say that your name was Usagi? I'm sorry.\Oh, what happened to me? response:	There is something strange going on these days.
context: My grandpa...\He likes to hit on everybody regardless of gender.\The other day, that man happened to visit the temple,\then my Grandpa just decided to make him a live-in helper.\You have a very interesting grandpa.\Did you say that your name was Usagi? I'm sorry.\Oh, what happened to me?\There is something strange going on these days. response:	My sixth sense and prophecies used to be absolutely accurate,
context: He likes to hit on everybody regardless of gender.\The other day, that man happened to visit the temple,\then my Grandpa just decided to make him a live-in helper.\You have a very interesting grandpa.\Did you say that your name was Usagi? I'm sorry.\Oh, what happened to me?\There is something strange going on these days.\My sixth sense and prophecies used to be absolutely accurate, response:	but now, it's gone haywire.
context: The other day, that man happened to visit the temple,\then my Grandpa just decided to make him a live-in helper.\You have a very interesting grandpa.\Did you say that your name was Usagi? I'm sorry.\Oh, what happened to me?\There is something strange going on these days.\My sixth sense and prophecies used to be absolutely accurate,\but now, it's gone haywire. response:	Prophecies? Could this girl be the princess I'm looking for?
context: then my Grandpa just decided to make him a live-in helper.\You have a very interesting grandpa.\Did you say that your name was Usagi? I'm sorry.\Oh, what happened to me?\There is something strange going on these days.\My sixth sense and prophecies used to be absolutely accurate,\but now, it's gone haywire.\Prophecies? Could this girl be the princess I'm looking for? response:	Excuse me, where is the head priest?!
context: You have a very interesting grandpa.\Did you say that your name was Usagi? I'm sorry.\Oh, what happened to me?\There is something strange going on these days.\My sixth sense and prophecies used to be absolutely accurate,\but now, it's gone haywire.\Prophecies? Could this girl be the princess I'm looking for?\Excuse me, where is the head priest?! response:	What is the matter?
context: Did you say that your name was Usagi? I'm sorry.\Oh, what happened to me?\There is something strange going on these days.\My sixth sense and prophecies used to be absolutely accurate,\but now, it's gone haywire.\Prophecies? Could this girl be the princess I'm looking for?\Excuse me, where is the head priest?!\What is the matter? response:	My daughter didn't come home
context: Oh, what happened to me?\There is something strange going on these days.\My sixth sense and prophecies used to be absolutely accurate,\but now, it's gone haywire.\Prophecies? Could this girl be the princess I'm looking for?\Excuse me, where is the head priest?!\What is the matter?\My daughter didn't come home response:	after she left to buy amulets at your shrine!
context: There is something strange going on these days.\My sixth sense and prophecies used to be absolutely accurate,\but now, it's gone haywire.\Prophecies? Could this girl be the princess I'm looking for?\Excuse me, where is the head priest?!\What is the matter?\My daughter didn't come home\after she left to buy amulets at your shrine! response:	I hear your head priest always does his so-called special ceremony at 5:30.
context: My sixth sense and prophecies used to be absolutely accurate,\but now, it's gone haywire.\Prophecies? Could this girl be the princess I'm looking for?\Excuse me, where is the head priest?!\What is the matter?\My daughter didn't come home\after she left to buy amulets at your shrine!\I hear your head priest always does his so-called special ceremony at 5:30. response:	Are you sure he's not trying to force people to take the 6 o'clock bus?!
context: but now, it's gone haywire.\Prophecies? Could this girl be the princess I'm looking for?\Excuse me, where is the head priest?!\What is the matter?\My daughter didn't come home\after she left to buy amulets at your shrine!\I hear your head priest always does his so-called special ceremony at 5:30.\Are you sure he's not trying to force people to take the 6 o'clock bus?! response:	Please don't make strange accusations!
context: Prophecies? Could this girl be the princess I'm looking for?\Excuse me, where is the head priest?!\What is the matter?\My daughter didn't come home\after she left to buy amulets at your shrine!\I hear your head priest always does his so-called special ceremony at 5:30.\Are you sure he's not trying to force people to take the 6 o'clock bus?!\Please don't make strange accusations! response:	The 5:30 ceremony has been offered for a long time!
context: Excuse me, where is the head priest?!\What is the matter?\My daughter didn't come home\after she left to buy amulets at your shrine!\I hear your head priest always does his so-called special ceremony at 5:30.\Are you sure he's not trying to force people to take the 6 o'clock bus?!\Please don't make strange accusations!\The 5:30 ceremony has been offered for a long time! response:	A policeman was here early this morning,
context: What is the matter?\My daughter didn't come home\after she left to buy amulets at your shrine!\I hear your head priest always does his so-called special ceremony at 5:30.\Are you sure he's not trying to force people to take the 6 o'clock bus?!\Please don't make strange accusations!\The 5:30 ceremony has been offered for a long time!\A policeman was here early this morning, response:	but if you want to report someone as missing, just go to the police!
context: My daughter didn't come home\after she left to buy amulets at your shrine!\I hear your head priest always does his so-called special ceremony at 5:30.\Are you sure he's not trying to force people to take the 6 o'clock bus?!\Please don't make strange accusations!\The 5:30 ceremony has been offered for a long time!\A policeman was here early this morning,\but if you want to report someone as missing, just go to the police! response:	It has nothing to do with my grandpa!
context: after she left to buy amulets at your shrine!\I hear your head priest always does his so-called special ceremony at 5:30.\Are you sure he's not trying to force people to take the 6 o'clock bus?!\Please don't make strange accusations!\The 5:30 ceremony has been offered for a long time!\A policeman was here early this morning,\but if you want to report someone as missing, just go to the police!\It has nothing to do with my grandpa! response:	Now, get out!
context: I hear your head priest always does his so-called special ceremony at 5:30.\Are you sure he's not trying to force people to take the 6 o'clock bus?!\Please don't make strange accusations!\The 5:30 ceremony has been offered for a long time!\A policeman was here early this morning,\but if you want to report someone as missing, just go to the police!\It has nothing to do with my grandpa!\Now, get out! response:	My! I cannot believe you! How rude! Now, get out!
context: Are you sure he's not trying to force people to take the 6 o'clock bus?!\Please don't make strange accusations!\The 5:30 ceremony has been offered for a long time!\A policeman was here early this morning,\but if you want to report someone as missing, just go to the police!\It has nothing to do with my grandpa!\Now, get out!\My! I cannot believe you! How rude! Now, get out! response:	My! I cannot believe you! How rude!
context: Please don't make strange accusations!\The 5:30 ceremony has been offered for a long time!\A policeman was here early this morning,\but if you want to report someone as missing, just go to the police!\It has nothing to do with my grandpa!\Now, get out!\My! I cannot believe you! How rude! Now, get out!\My! I cannot believe you! How rude! response:	You're the one that's rude! Please leave!
context: The 5:30 ceremony has been offered for a long time!\A policeman was here early this morning,\but if you want to report someone as missing, just go to the police!\It has nothing to do with my grandpa!\Now, get out!\My! I cannot believe you! How rude! Now, get out!\My! I cannot believe you! How rude!\You're the one that's rude! Please leave! response:	My!
context: A policeman was here early this morning,\but if you want to report someone as missing, just go to the police!\It has nothing to do with my grandpa!\Now, get out!\My! I cannot believe you! How rude! Now, get out!\My! I cannot believe you! How rude!\You're the one that's rude! Please leave!\My! response:	Usagi, something's not right!
context: but if you want to report someone as missing, just go to the police!\It has nothing to do with my grandpa!\Now, get out!\My! I cannot believe you! How rude! Now, get out!\My! I cannot believe you! How rude!\You're the one that's rude! Please leave!\My!\Usagi, something's not right! response:	I think this has to do with our enemy.
context: It has nothing to do with my grandpa!\Now, get out!\My! I cannot believe you! How rude! Now, get out!\My! I cannot believe you! How rude!\You're the one that's rude! Please leave!\My!\Usagi, something's not right!\I think this has to do with our enemy. response:	Contact Ami; we have to figure out what to do.
context: Now, get out!\My! I cannot believe you! How rude! Now, get out!\My! I cannot believe you! How rude!\You're the one that's rude! Please leave!\My!\Usagi, something's not right!\I think this has to do with our enemy.\Contact Ami; we have to figure out what to do. response:	But, Ami has to...
context: My! I cannot believe you! How rude! Now, get out!\My! I cannot believe you! How rude!\You're the one that's rude! Please leave!\My!\Usagi, something's not right!\I think this has to do with our enemy.\Contact Ami; we have to figure out what to do.\But, Ami has to... response:	Many people have disappeared!
context: My! I cannot believe you! How rude!\You're the one that's rude! Please leave!\My!\Usagi, something's not right!\I think this has to do with our enemy.\Contact Ami; we have to figure out what to do.\But, Ami has to...\Many people have disappeared! response:	Hurry up and get Ami out of her cram school!
context: You're the one that's rude! Please leave!\My!\Usagi, something's not right!\I think this has to do with our enemy.\Contact Ami; we have to figure out what to do.\But, Ami has to...\Many people have disappeared!\Hurry up and get Ami out of her cram school! response:	Okay, I got it!
context: My!\Usagi, something's not right!\I think this has to do with our enemy.\Contact Ami; we have to figure out what to do.\But, Ami has to...\Many people have disappeared!\Hurry up and get Ami out of her cram school!\Okay, I got it! response:	Sendaizaka Ue
context: Usagi, something's not right!\I think this has to do with our enemy.\Contact Ami; we have to figure out what to do.\But, Ami has to...\Many people have disappeared!\Hurry up and get Ami out of her cram school!\Okay, I got it!\Sendaizaka Ue response:	So, this is Sendaizaka.
context: I think this has to do with our enemy.\Contact Ami; we have to figure out what to do.\But, Ami has to...\Many people have disappeared!\Hurry up and get Ami out of her cram school!\Okay, I got it!\Sendaizaka Ue\So, this is Sendaizaka. response:	Yeah.
context: Contact Ami; we have to figure out what to do.\But, Ami has to...\Many people have disappeared!\Hurry up and get Ami out of her cram school!\Okay, I got it!\Sendaizaka Ue\So, this is Sendaizaka.\Yeah. response:	There are so many of them!
context: But, Ami has to...\Many people have disappeared!\Hurry up and get Ami out of her cram school!\Okay, I got it!\Sendaizaka Ue\So, this is Sendaizaka.\Yeah.\There are so many of them! response:	You're right!
context: Many people have disappeared!\Hurry up and get Ami out of her cram school!\Okay, I got it!\Sendaizaka Ue\So, this is Sendaizaka.\Yeah.\There are so many of them!\You're right! response:	Hikawa Shrine
context: Hurry up and get Ami out of her cram school!\Okay, I got it!\Sendaizaka Ue\So, this is Sendaizaka.\Yeah.\There are so many of them!\You're right!\Hikawa Shrine response:	Hikawa Shrine Everyone has Hikawa Shrine's amulets.
context: Okay, I got it!\Sendaizaka Ue\So, this is Sendaizaka.\Yeah.\There are so many of them!\You're right!\Hikawa Shrine\Hikawa Shrine Everyone has Hikawa Shrine's amulets. response:	Everyone has Hikawa Shrine's amulets.
context: Sendaizaka Ue\So, this is Sendaizaka.\Yeah.\There are so many of them!\You're right!\Hikawa Shrine\Hikawa Shrine Everyone has Hikawa Shrine's amulets.\Everyone has Hikawa Shrine's amulets. response:	Wow, so all these girls are in love with somebody.
context: So, this is Sendaizaka.\Yeah.\There are so many of them!\You're right!\Hikawa Shrine\Hikawa Shrine Everyone has Hikawa Shrine's amulets.\Everyone has Hikawa Shrine's amulets.\Wow, so all these girls are in love with somebody. response:	How could they have spare time for other things,
context: Yeah.\There are so many of them!\You're right!\Hikawa Shrine\Hikawa Shrine Everyone has Hikawa Shrine's amulets.\Everyone has Hikawa Shrine's amulets.\Wow, so all these girls are in love with somebody.\How could they have spare time for other things, response:	when they should be busy studying for high school entrance exams?
context: There are so many of them!\You're right!\Hikawa Shrine\Hikawa Shrine Everyone has Hikawa Shrine's amulets.\Everyone has Hikawa Shrine's amulets.\Wow, so all these girls are in love with somebody.\How could they have spare time for other things,\when they should be busy studying for high school entrance exams? response:	Oh, but Ami, you fall in love, too, don't you?
context: You're right!\Hikawa Shrine\Hikawa Shrine Everyone has Hikawa Shrine's amulets.\Everyone has Hikawa Shrine's amulets.\Wow, so all these girls are in love with somebody.\How could they have spare time for other things,\when they should be busy studying for high school entrance exams?\Oh, but Ami, you fall in love, too, don't you? response:	As for me...
context: Hikawa Shrine\Hikawa Shrine Everyone has Hikawa Shrine's amulets.\Everyone has Hikawa Shrine's amulets.\Wow, so all these girls are in love with somebody.\How could they have spare time for other things,\when they should be busy studying for high school entrance exams?\Oh, but Ami, you fall in love, too, don't you?\As for me... response:	Usagi, if you don't know what real love is,
context: Hikawa Shrine Everyone has Hikawa Shrine's amulets.\Everyone has Hikawa Shrine's amulets.\Wow, so all these girls are in love with somebody.\How could they have spare time for other things,\when they should be busy studying for high school entrance exams?\Oh, but Ami, you fall in love, too, don't you?\As for me...\Usagi, if you don't know what real love is, response:	you shouldn't use the word love so lightly.
context: Everyone has Hikawa Shrine's amulets.\Wow, so all these girls are in love with somebody.\How could they have spare time for other things,\when they should be busy studying for high school entrance exams?\Oh, but Ami, you fall in love, too, don't you?\As for me...\Usagi, if you don't know what real love is,\you shouldn't use the word love so lightly. response:	Eep!
context: Wow, so all these girls are in love with somebody.\How could they have spare time for other things,\when they should be busy studying for high school entrance exams?\Oh, but Ami, you fall in love, too, don't you?\As for me...\Usagi, if you don't know what real love is,\you shouldn't use the word love so lightly.\Eep! response:	It's here! 5:59. That must be the bus!
context: How could they have spare time for other things,\when they should be busy studying for high school entrance exams?\Oh, but Ami, you fall in love, too, don't you?\As for me...\Usagi, if you don't know what real love is,\you shouldn't use the word love so lightly.\Eep!\It's here! 5:59. That must be the bus! response:	Red 66 Via Sendaizaka It's here! 5:59. That must be the bus!
context: when they should be busy studying for high school entrance exams?\Oh, but Ami, you fall in love, too, don't you?\As for me...\Usagi, if you don't know what real love is,\you shouldn't use the word love so lightly.\Eep!\It's here! 5:59. That must be the bus!\Red 66 Via Sendaizaka It's here! 5:59. That must be the bus! response:	Red 66 Via Sendaizaka
context: Oh, but Ami, you fall in love, too, don't you?\As for me...\Usagi, if you don't know what real love is,\you shouldn't use the word love so lightly.\Eep!\It's here! 5:59. That must be the bus!\Red 66 Via Sendaizaka It's here! 5:59. That must be the bus!\Red 66 Via Sendaizaka response:	It looks like a normal bus.
context: As for me...\Usagi, if you don't know what real love is,\you shouldn't use the word love so lightly.\Eep!\It's here! 5:59. That must be the bus!\Red 66 Via Sendaizaka It's here! 5:59. That must be the bus!\Red 66 Via Sendaizaka\It looks like a normal bus. response:	Yes, it does.
context: Usagi, if you don't know what real love is,\you shouldn't use the word love so lightly.\Eep!\It's here! 5:59. That must be the bus!\Red 66 Via Sendaizaka It's here! 5:59. That must be the bus!\Red 66 Via Sendaizaka\It looks like a normal bus.\Yes, it does. response:	Okay, Usagi! Get on!
context: you shouldn't use the word love so lightly.\Eep!\It's here! 5:59. That must be the bus!\Red 66 Via Sendaizaka It's here! 5:59. That must be the bus!\Red 66 Via Sendaizaka\It looks like a normal bus.\Yes, it does.\Okay, Usagi! Get on! response:	But...
context: Eep!\It's here! 5:59. That must be the bus!\Red 66 Via Sendaizaka It's here! 5:59. That must be the bus!\Red 66 Via Sendaizaka\It looks like a normal bus.\Yes, it does.\Okay, Usagi! Get on!\But... response:	Here, let's go! But...
context: It's here! 5:59. That must be the bus!\Red 66 Via Sendaizaka It's here! 5:59. That must be the bus!\Red 66 Via Sendaizaka\It looks like a normal bus.\Yes, it does.\Okay, Usagi! Get on!\But...\Here, let's go! But... response:	Here, let's go!
context: Red 66 Via Sendaizaka It's here! 5:59. That must be the bus!\Red 66 Via Sendaizaka\It looks like a normal bus.\Yes, it does.\Okay, Usagi! Get on!\But...\Here, let's go! But...\Here, let's go! response:	I don't wanna!
context: Red 66 Via Sendaizaka\It looks like a normal bus.\Yes, it does.\Okay, Usagi! Get on!\But...\Here, let's go! But...\Here, let's go!\I don't wanna! response:	Here, hurry!
context: It looks like a normal bus.\Yes, it does.\Okay, Usagi! Get on!\But...\Here, let's go! But...\Here, let's go!\I don't wanna!\Here, hurry! response:	No, I don't wanna!
context: Yes, it does.\Okay, Usagi! Get on!\But...\Here, let's go! But...\Here, let's go!\I don't wanna!\Here, hurry!\No, I don't wanna! response:	I really don't wanna!
context: Okay, Usagi! Get on!\But...\Here, let's go! But...\Here, let's go!\I don't wanna!\Here, hurry!\No, I don't wanna!\I really don't wanna! response:	Usagi, don't be silly. Let's get on the bus!
context: But...\Here, let's go! But...\Here, let's go!\I don't wanna!\Here, hurry!\No, I don't wanna!\I really don't wanna!\Usagi, don't be silly. Let's get on the bus! response:	Come on, be brave now!
context: Here, let's go! But...\Here, let's go!\I don't wanna!\Here, hurry!\No, I don't wanna!\I really don't wanna!\Usagi, don't be silly. Let's get on the bus!\Come on, be brave now! response:	I don't wanna! I'm scared!
context: Here, let's go!\I don't wanna!\Here, hurry!\No, I don't wanna!\I really don't wanna!\Usagi, don't be silly. Let's get on the bus!\Come on, be brave now!\I don't wanna! I'm scared! response:	I'm scared!
context: I don't wanna!\Here, hurry!\No, I don't wanna!\I really don't wanna!\Usagi, don't be silly. Let's get on the bus!\Come on, be brave now!\I don't wanna! I'm scared!\I'm scared! response:	It left!
context: Here, hurry!\No, I don't wanna!\I really don't wanna!\Usagi, don't be silly. Let's get on the bus!\Come on, be brave now!\I don't wanna! I'm scared!\I'm scared!\It left! response:	I can't believe you, Usagi. You're such a coward!
context: No, I don't wanna!\I really don't wanna!\Usagi, don't be silly. Let's get on the bus!\Come on, be brave now!\I don't wanna! I'm scared!\I'm scared!\It left!\I can't believe you, Usagi. You're such a coward! response:	But... But...
context: I really don't wanna!\Usagi, don't be silly. Let's get on the bus!\Come on, be brave now!\I don't wanna! I'm scared!\I'm scared!\It left!\I can't believe you, Usagi. You're such a coward!\But... But... response:	It can't be helped, we'll come again tomorrow at 6 o'clock.
context: Usagi, don't be silly. Let's get on the bus!\Come on, be brave now!\I don't wanna! I'm scared!\I'm scared!\It left!\I can't believe you, Usagi. You're such a coward!\But... But...\It can't be helped, we'll come again tomorrow at 6 o'clock. response:	Geez.
context: Come on, be brave now!\I don't wanna! I'm scared!\I'm scared!\It left!\I can't believe you, Usagi. You're such a coward!\But... But...\It can't be helped, we'll come again tomorrow at 6 o'clock.\Geez. response:	What in the...
context: I don't wanna! I'm scared!\I'm scared!\It left!\I can't believe you, Usagi. You're such a coward!\But... But...\It can't be helped, we'll come again tomorrow at 6 o'clock.\Geez.\What in the... response:	What?!
context: I'm scared!\It left!\I can't believe you, Usagi. You're such a coward!\But... But...\It can't be helped, we'll come again tomorrow at 6 o'clock.\Geez.\What in the...\What?! response:	No way, no way!
context: It left!\I can't believe you, Usagi. You're such a coward!\But... But...\It can't be helped, we'll come again tomorrow at 6 o'clock.\Geez.\What in the...\What?!\No way, no way! response:	A black hole?
context: I can't believe you, Usagi. You're such a coward!\But... But...\It can't be helped, we'll come again tomorrow at 6 o'clock.\Geez.\What in the...\What?!\No way, no way!\A black hole? response:	A fourth-dimensional space?
context: But... But...\It can't be helped, we'll come again tomorrow at 6 o'clock.\Geez.\What in the...\What?!\No way, no way!\A black hole?\A fourth-dimensional space? response:	Or a hole in the magnetic field?! What was that?
