context: Asta, Noelle, and Magna encountered response:	a mysterious enemy when they arrived at Saussy Village.
context: H-Hey!\You have no chance of winning. Why won't you give up?\If I give up, who's going to protect them?\I've realized something.\It's not just because of our promise.\I'm going to become the Wizard King\so I can protect everyone!\The Wizard King? What a foolish dream. response:	Unfortunately, you'll be dead in one minute.
context: You have no chance of winning. Why won't you give up?\If I give up, who's going to protect them?\I've realized something.\It's not just because of our promise.\I'm going to become the Wizard King\so I can protect everyone!\The Wizard King? What a foolish dream.\Unfortunately, you'll be dead in one minute. response:	That's not happening, you dumbass!
context: If I give up, who's going to protect them?\I've realized something.\It's not just because of our promise.\I'm going to become the Wizard King\so I can protect everyone!\The Wizard King? What a foolish dream.\Unfortunately, you'll be dead in one minute.\That's not happening, you dumbass! response:	If you want to kill him,
context: I've realized something.\It's not just because of our promise.\I'm going to become the Wizard King\so I can protect everyone!\The Wizard King? What a foolish dream.\Unfortunately, you'll be dead in one minute.\That's not happening, you dumbass!\If you want to kill him, response:	you're going to have to get through me, his senior, first!
context: It's not just because of our promise.\I'm going to become the Wizard King\so I can protect everyone!\The Wizard King? What a foolish dream.\Unfortunately, you'll be dead in one minute.\That's not happening, you dumbass!\If you want to kill him,\you're going to have to get through me, his senior, first! response:	Magna!
context: I'm going to become the Wizard King\so I can protect everyone!\The Wizard King? What a foolish dream.\Unfortunately, you'll be dead in one minute.\That's not happening, you dumbass!\If you want to kill him,\you're going to have to get through me, his senior, first!\Magna! response:	You know... You're quite the man, Asta.
context: so I can protect everyone!\The Wizard King? What a foolish dream.\Unfortunately, you'll be dead in one minute.\That's not happening, you dumbass!\If you want to kill him,\you're going to have to get through me, his senior, first!\Magna!\You know... You're quite the man, Asta. response:	You fool. You've just hastened your death.
context: The Wizard King? What a foolish dream.\Unfortunately, you'll be dead in one minute.\That's not happening, you dumbass!\If you want to kill him,\you're going to have to get through me, his senior, first!\Magna!\You know... You're quite the man, Asta.\You fool. You've just hastened your death. response:	Thirty seconds.
context: Unfortunately, you'll be dead in one minute.\That's not happening, you dumbass!\If you want to kill him,\you're going to have to get through me, his senior, first!\Magna!\You know... You're quite the man, Asta.\You fool. You've just hastened your death.\Thirty seconds. response:	Bring it on!
context: That's not happening, you dumbass!\If you want to kill him,\you're going to have to get through me, his senior, first!\Magna!\You know... You're quite the man, Asta.\You fool. You've just hastened your death.\Thirty seconds.\Bring it on! response:	Here we go, Asta!
context: If you want to kill him,\you're going to have to get through me, his senior, first!\Magna!\You know... You're quite the man, Asta.\You fool. You've just hastened your death.\Thirty seconds.\Bring it on!\Here we go, Asta! response:	Huh?
context: you're going to have to get through me, his senior, first!\Magna!\You know... You're quite the man, Asta.\You fool. You've just hastened your death.\Thirty seconds.\Bring it on!\Here we go, Asta!\Huh? response:	Time for an initiation!
context: Magna!\You know... You're quite the man, Asta.\You fool. You've just hastened your death.\Thirty seconds.\Bring it on!\Here we go, Asta!\Huh?\Time for an initiation! response:	Take this! My last remaining bit of magic!
context: You know... You're quite the man, Asta.\You fool. You've just hastened your death.\Thirty seconds.\Bring it on!\Here we go, Asta!\Huh?\Time for an initiation!\Take this! My last remaining bit of magic! response:	Soul Ball!
context: You fool. You've just hastened your death.\Thirty seconds.\Bring it on!\Here we go, Asta!\Huh?\Time for an initiation!\Take this! My last remaining bit of magic!\Soul Ball! response:	Flame Magic: Prison Death Scattershot!
context: Thirty seconds.\Bring it on!\Here we go, Asta!\Huh?\Time for an initiation!\Take this! My last remaining bit of magic!\Soul Ball!\Flame Magic: Prison Death Scattershot! response:	So this is your final spell?
context: Bring it on!\Here we go, Asta!\Huh?\Time for an initiation!\Take this! My last remaining bit of magic!\Soul Ball!\Flame Magic: Prison Death Scattershot!\So this is your final spell? response:	How wasteful.
context: Here we go, Asta!\Huh?\Time for an initiation!\Take this! My last remaining bit of magic!\Soul Ball!\Flame Magic: Prison Death Scattershot!\So this is your final spell?\How wasteful. response:	It's time.
context: Huh?\Time for an initiation!\Take this! My last remaining bit of magic!\Soul Ball!\Flame Magic: Prison Death Scattershot!\So this is your final spell?\How wasteful.\It's time. response:	It's not a waste!
context: Time for an initiation!\Take this! My last remaining bit of magic!\Soul Ball!\Flame Magic: Prison Death Scattershot!\So this is your final spell?\How wasteful.\It's time.\It's not a waste! response:	They drew us in with a decoy, then used our blind spot...
context: Take this! My last remaining bit of magic!\Soul Ball!\Flame Magic: Prison Death Scattershot!\So this is your final spell?\How wasteful.\It's time.\It's not a waste!\They drew us in with a decoy, then used our blind spot... response:	Magic reflection!
context: Soul Ball!\Flame Magic: Prison Death Scattershot!\So this is your final spell?\How wasteful.\It's time.\It's not a waste!\They drew us in with a decoy, then used our blind spot...\Magic reflection! response:	I'm okay?
context: Flame Magic: Prison Death Scattershot!\So this is your final spell?\How wasteful.\It's time.\It's not a waste!\They drew us in with a decoy, then used our blind spot...\Magic reflection!\I'm okay? response:	You'd better thank me, you mohawked delinquent.
context: So this is your final spell?\How wasteful.\It's time.\It's not a waste!\They drew us in with a decoy, then used our blind spot...\Magic reflection!\I'm okay?\You'd better thank me, you mohawked delinquent. response:	Yes! Yes! I was able to control my magic!
context: How wasteful.\It's time.\It's not a waste!\They drew us in with a decoy, then used our blind spot...\Magic reflection!\I'm okay?\You'd better thank me, you mohawked delinquent.\Yes! Yes! I was able to control my magic! response:	You never shut up, do you?
context: It's time.\It's not a waste!\They drew us in with a decoy, then used our blind spot...\Magic reflection!\I'm okay?\You'd better thank me, you mohawked delinquent.\Yes! Yes! I was able to control my magic!\You never shut up, do you? response:	These flames... won't go out?
context: It's not a waste!\They drew us in with a decoy, then used our blind spot...\Magic reflection!\I'm okay?\You'd better thank me, you mohawked delinquent.\Yes! Yes! I was able to control my magic!\You never shut up, do you?\These flames... won't go out? response:	Then I'll just freeze them over!
context: They drew us in with a decoy, then used our blind spot...\Magic reflection!\I'm okay?\You'd better thank me, you mohawked delinquent.\Yes! Yes! I was able to control my magic!\You never shut up, do you?\These flames... won't go out?\Then I'll just freeze them over! response:	Not yet!
context: Magic reflection!\I'm okay?\You'd better thank me, you mohawked delinquent.\Yes! Yes! I was able to control my magic!\You never shut up, do you?\These flames... won't go out?\Then I'll just freeze them over!\Not yet! response:	I can still move!
context: I'm okay?\You'd better thank me, you mohawked delinquent.\Yes! Yes! I was able to control my magic!\You never shut up, do you?\These flames... won't go out?\Then I'll just freeze them over!\Not yet!\I can still move! response:	W-Wait...
context: You'd better thank me, you mohawked delinquent.\Yes! Yes! I was able to control my magic!\You never shut up, do you?\These flames... won't go out?\Then I'll just freeze them over!\Not yet!\I can still move!\W-Wait... response:	Like hell I will!
context: Yes! Yes! I was able to control my magic!\You never shut up, do you?\These flames... won't go out?\Then I'll just freeze them over!\Not yet!\I can still move!\W-Wait...\Like hell I will! response:	These flames... won't go out?
context: You never shut up, do you?\These flames... won't go out?\Then I'll just freeze them over!\Not yet!\I can still move!\W-Wait...\Like hell I will!\These flames... won't go out? response:	Then I'll just freeze them over!
context: These flames... won't go out?\Then I'll just freeze them over!\Not yet!\I can still move!\W-Wait...\Like hell I will!\These flames... won't go out?\Then I'll just freeze them over! response:	Not yet!
context: Then I'll just freeze them over!\Not yet!\I can still move!\W-Wait...\Like hell I will!\These flames... won't go out?\Then I'll just freeze them over!\Not yet! response:	I can still move!
context: Not yet!\I can still move!\W-Wait...\Like hell I will!\These flames... won't go out?\Then I'll just freeze them over!\Not yet!\I can still move! response:	W-Wait...
context: I can still move!\W-Wait...\Like hell I will!\These flames... won't go out?\Then I'll just freeze them over!\Not yet!\I can still move!\W-Wait... response:	Like hell I will!
context: W-Wait...\Like hell I will!\These flames... won't go out?\Then I'll just freeze them over!\Not yet!\I can still move!\W-Wait...\Like hell I will! response:	Impossible...
context: Like hell I will!\These flames... won't go out?\Then I'll just freeze them over!\Not yet!\I can still move!\W-Wait...\Like hell I will!\Impossible... response:	lost to this brat?
context: These flames... won't go out?\Then I'll just freeze them over!\Not yet!\I can still move!\W-Wait...\Like hell I will!\Impossible...\lost to this brat? response:	I wanted... to be of more use... to the master...
context: Then I'll just freeze them over!\Not yet!\I can still move!\W-Wait...\Like hell I will!\Impossible...\lost to this brat?\I wanted... to be of more use... to the master... response:	They did it?
context: Not yet!\I can still move!\W-Wait...\Like hell I will!\Impossible...\lost to this brat?\I wanted... to be of more use... to the master...\They did it? response:	Miss?
context: I can still move!\W-Wait...\Like hell I will!\Impossible...\lost to this brat?\I wanted... to be of more use... to the master...\They did it?\Miss? response:	Yes. We beat him for sure this time.
context: W-Wait...\Like hell I will!\Impossible...\lost to this brat?\I wanted... to be of more use... to the master...\They did it?\Miss?\Yes. We beat him for sure this time. response:	First, my Flame Magic: Prison Death Scattershot,
context: Like hell I will!\Impossible...\lost to this brat?\I wanted... to be of more use... to the master...\They did it?\Miss?\Yes. We beat him for sure this time.\First, my Flame Magic: Prison Death Scattershot, response:	and now, Flame Binding Magic: Flame Bondage Formation.
context: Impossible...\lost to this brat?\I wanted... to be of more use... to the master...\They did it?\Miss?\Yes. We beat him for sure this time.\First, my Flame Magic: Prison Death Scattershot,\and now, Flame Binding Magic: Flame Bondage Formation. response:	I guess you're more talented than you look. Have some praise.
context: lost to this brat?\I wanted... to be of more use... to the master...\They did it?\Miss?\Yes. We beat him for sure this time.\First, my Flame Magic: Prison Death Scattershot,\and now, Flame Binding Magic: Flame Bondage Formation.\I guess you're more talented than you look. Have some praise. response:	Shut up! I'm your senior!
context: I wanted... to be of more use... to the master...\They did it?\Miss?\Yes. We beat him for sure this time.\First, my Flame Magic: Prison Death Scattershot,\and now, Flame Binding Magic: Flame Bondage Formation.\I guess you're more talented than you look. Have some praise.\Shut up! I'm your senior! response:	Why are you looking down on me?!
context: They did it?\Miss?\Yes. We beat him for sure this time.\First, my Flame Magic: Prison Death Scattershot,\and now, Flame Binding Magic: Flame Bondage Formation.\I guess you're more talented than you look. Have some praise.\Shut up! I'm your senior!\Why are you looking down on me?! response:	Well, you're physically below
context: Miss?\Yes. We beat him for sure this time.\First, my Flame Magic: Prison Death Scattershot,\and now, Flame Binding Magic: Flame Bondage Formation.\I guess you're more talented than you look. Have some praise.\Shut up! I'm your senior!\Why are you looking down on me?!\Well, you're physically below response:	Magna!
context: Yes. We beat him for sure this time.\First, my Flame Magic: Prison Death Scattershot,\and now, Flame Binding Magic: Flame Bondage Formation.\I guess you're more talented than you look. Have some praise.\Shut up! I'm your senior!\Why are you looking down on me?!\Well, you're physically below\Magna! response:	What are you doing?! You need to follow through properly!
context: First, my Flame Magic: Prison Death Scattershot,\and now, Flame Binding Magic: Flame Bondage Formation.\I guess you're more talented than you look. Have some praise.\Shut up! I'm your senior!\Why are you looking down on me?!\Well, you're physically below\Magna!\What are you doing?! You need to follow through properly! response:	So cold!
context: and now, Flame Binding Magic: Flame Bondage Formation.\I guess you're more talented than you look. Have some praise.\Shut up! I'm your senior!\Why are you looking down on me?!\Well, you're physically below\Magna!\What are you doing?! You need to follow through properly!\So cold! response:	You've still got a ways to go, Lady Noe!
context: I guess you're more talented than you look. Have some praise.\Shut up! I'm your senior!\Why are you looking down on me?!\Well, you're physically below\Magna!\What are you doing?! You need to follow through properly!\So cold!\You've still got a ways to go, Lady Noe! response:	More importantly, it looks like one got away. Ugh, I blew it! Damn it!
context: Shut up! I'm your senior!\Why are you looking down on me?!\Well, you're physically below\Magna!\What are you doing?! You need to follow through properly!\So cold!\You've still got a ways to go, Lady Noe!\More importantly, it looks like one got away. Ugh, I blew it! Damn it! response:	How'd you like that? Some lowly commoners just won.
context: Why are you looking down on me?!\Well, you're physically below\Magna!\What are you doing?! You need to follow through properly!\So cold!\You've still got a ways to go, Lady Noe!\More importantly, it looks like one got away. Ugh, I blew it! Damn it!\How'd you like that? Some lowly commoners just won. response:	How'd you like that, damn it?!
context: Well, you're physically below\Magna!\What are you doing?! You need to follow through properly!\So cold!\You've still got a ways to go, Lady Noe!\More importantly, it looks like one got away. Ugh, I blew it! Damn it!\How'd you like that? Some lowly commoners just won.\How'd you like that, damn it?! response:	Asta!
context: Magna!\What are you doing?! You need to follow through properly!\So cold!\You've still got a ways to go, Lady Noe!\More importantly, it looks like one got away. Ugh, I blew it! Damn it!\How'd you like that? Some lowly commoners just won.\How'd you like that, damn it?!\Asta! response:	Wait, he's asleep?!
context: What are you doing?! You need to follow through properly!\So cold!\You've still got a ways to go, Lady Noe!\More importantly, it looks like one got away. Ugh, I blew it! Damn it!\How'd you like that? Some lowly commoners just won.\How'd you like that, damn it?!\Asta!\Wait, he's asleep?! response:	Honestly, he's so ridiculous.
context: So cold!\You've still got a ways to go, Lady Noe!\More importantly, it looks like one got away. Ugh, I blew it! Damn it!\How'd you like that? Some lowly commoners just won.\How'd you like that, damn it?!\Asta!\Wait, he's asleep?!\Honestly, he's so ridiculous. response:	He's stupid, loud, and a lowly commoner...
context: You've still got a ways to go, Lady Noe!\More importantly, it looks like one got away. Ugh, I blew it! Damn it!\How'd you like that? Some lowly commoners just won.\How'd you like that, damn it?!\Asta!\Wait, he's asleep?!\Honestly, he's so ridiculous.\He's stupid, loud, and a lowly commoner... response:	But he's sort of amazing.
context: More importantly, it looks like one got away. Ugh, I blew it! Damn it!\How'd you like that? Some lowly commoners just won.\How'd you like that, damn it?!\Asta!\Wait, he's asleep?!\Honestly, he's so ridiculous.\He's stupid, loud, and a lowly commoner...\But he's sort of amazing. response:	Whew... We're saved.
context: How'd you like that? Some lowly commoners just won.\How'd you like that, damn it?!\Asta!\Wait, he's asleep?!\Honestly, he's so ridiculous.\He's stupid, loud, and a lowly commoner...\But he's sort of amazing.\Whew... We're saved. response:	He's just a boy.
context: How'd you like that, damn it?!\Asta!\Wait, he's asleep?!\Honestly, he's so ridiculous.\He's stupid, loud, and a lowly commoner...\But he's sort of amazing.\Whew... We're saved.\He's just a boy. response:	Is he really a commoner like us?
context: Asta!\Wait, he's asleep?!\Honestly, he's so ridiculous.\He's stupid, loud, and a lowly commoner...\But he's sort of amazing.\Whew... We're saved.\He's just a boy.\Is he really a commoner like us? response:	Magna, young lady... Thank you.
context: Wait, he's asleep?!\Honestly, he's so ridiculous.\He's stupid, loud, and a lowly commoner...\But he's sort of amazing.\Whew... We're saved.\He's just a boy.\Is he really a commoner like us?\Magna, young lady... Thank you. response:	No problem!
context: Honestly, he's so ridiculous.\He's stupid, loud, and a lowly commoner...\But he's sort of amazing.\Whew... We're saved.\He's just a boy.\Is he really a commoner like us?\Magna, young lady... Thank you.\No problem! response:	It was nothing.
context: He's stupid, loud, and a lowly commoner...\But he's sort of amazing.\Whew... We're saved.\He's just a boy.\Is he really a commoner like us?\Magna, young lady... Thank you.\No problem!\It was nothing. response:	You're our saviors!
context: But he's sort of amazing.\Whew... We're saved.\He's just a boy.\Is he really a commoner like us?\Magna, young lady... Thank you.\No problem!\It was nothing.\You're our saviors! response:	What's that? An anti-bird?
context: Whew... We're saved.\He's just a boy.\Is he really a commoner like us?\Magna, young lady... Thank you.\No problem!\It was nothing.\You're our saviors!\What's that? An anti-bird? response:	You finally awake, you jerk?
context: He's just a boy.\Is he really a commoner like us?\Magna, young lady... Thank you.\No problem!\It was nothing.\You're our saviors!\What's that? An anti-bird?\You finally awake, you jerk? response:	I'm going to rest a bit more and then escort you to
context: Is he really a commoner like us?\Magna, young lady... Thank you.\No problem!\It was nothing.\You're our saviors!\What's that? An anti-bird?\You finally awake, you jerk?\I'm going to rest a bit more and then escort you to response:	the royal capital on my Crazy Cyclone.
context: Magna, young lady... Thank you.\No problem!\It was nothing.\You're our saviors!\What's that? An anti-bird?\You finally awake, you jerk?\I'm going to rest a bit more and then escort you to\the royal capital on my Crazy Cyclone. response:	Spend the rest of your life atoning for what you did to those villagers, you bastards.
context: No problem!\It was nothing.\You're our saviors!\What's that? An anti-bird?\You finally awake, you jerk?\I'm going to rest a bit more and then escort you to\the royal capital on my Crazy Cyclone.\Spend the rest of your life atoning for what you did to those villagers, you bastards. response:	So my magic is sealed.
context: It was nothing.\You're our saviors!\What's that? An anti-bird?\You finally awake, you jerk?\I'm going to rest a bit more and then escort you to\the royal capital on my Crazy Cyclone.\Spend the rest of your life atoning for what you did to those villagers, you bastards.\So my magic is sealed. response:	You're going to spill everything to the Magic Knights,
context: You're our saviors!\What's that? An anti-bird?\You finally awake, you jerk?\I'm going to rest a bit more and then escort you to\the royal capital on my Crazy Cyclone.\Spend the rest of your life atoning for what you did to those villagers, you bastards.\So my magic is sealed.\You're going to spill everything to the Magic Knights, response:	including who you guys are and what your motives are!
context: What's that? An anti-bird?\You finally awake, you jerk?\I'm going to rest a bit more and then escort you to\the royal capital on my Crazy Cyclone.\Spend the rest of your life atoning for what you did to those villagers, you bastards.\So my magic is sealed.\You're going to spill everything to the Magic Knights,\including who you guys are and what your motives are! response:	I refuse.
context: You finally awake, you jerk?\I'm going to rest a bit more and then escort you to\the royal capital on my Crazy Cyclone.\Spend the rest of your life atoning for what you did to those villagers, you bastards.\So my magic is sealed.\You're going to spill everything to the Magic Knights,\including who you guys are and what your motives are!\I refuse. response:	It appears the end has come.
context: I'm going to rest a bit more and then escort you to\the royal capital on my Crazy Cyclone.\Spend the rest of your life atoning for what you did to those villagers, you bastards.\So my magic is sealed.\You're going to spill everything to the Magic Knights,\including who you guys are and what your motives are!\I refuse.\It appears the end has come. response:	There was a magic item inside him?
context: the royal capital on my Crazy Cyclone.\Spend the rest of your life atoning for what you did to those villagers, you bastards.\So my magic is sealed.\You're going to spill everything to the Magic Knights,\including who you guys are and what your motives are!\I refuse.\It appears the end has come.\There was a magic item inside him? response:	Ice Magic: Ice Burial.
context: Spend the rest of your life atoning for what you did to those villagers, you bastards.\So my magic is sealed.\You're going to spill everything to the Magic Knights,\including who you guys are and what your motives are!\I refuse.\It appears the end has come.\There was a magic item inside him?\Ice Magic: Ice Burial. response:	Wha
context: So my magic is sealed.\You're going to spill everything to the Magic Knights,\including who you guys are and what your motives are!\I refuse.\It appears the end has come.\There was a magic item inside him?\Ice Magic: Ice Burial.\Wha response:	Talk about resolve. Is there someone he was that loyal to?
context: You're going to spill everything to the Magic Knights,\including who you guys are and what your motives are!\I refuse.\It appears the end has come.\There was a magic item inside him?\Ice Magic: Ice Burial.\Wha\Talk about resolve. Is there someone he was that loyal to? response:	You idiot!
context: including who you guys are and what your motives are!\I refuse.\It appears the end has come.\There was a magic item inside him?\Ice Magic: Ice Burial.\Wha\Talk about resolve. Is there someone he was that loyal to?\You idiot! response:	He went through all that... What was he after, anyway?
context: I refuse.\It appears the end has come.\There was a magic item inside him?\Ice Magic: Ice Burial.\Wha\Talk about resolve. Is there someone he was that loyal to?\You idiot!\He went through all that... What was he after, anyway? response:	What do...
context: It appears the end has come.\There was a magic item inside him?\Ice Magic: Ice Burial.\Wha\Talk about resolve. Is there someone he was that loyal to?\You idiot!\He went through all that... What was he after, anyway?\What do... response:	What do you think life is?!
context: There was a magic item inside him?\Ice Magic: Ice Burial.\Wha\Talk about resolve. Is there someone he was that loyal to?\You idiot!\He went through all that... What was he after, anyway?\What do...\What do you think life is?! response:	I'm never going to acknowledge these jerks!
context: Ice Magic: Ice Burial.\Wha\Talk about resolve. Is there someone he was that loyal to?\You idiot!\He went through all that... What was he after, anyway?\What do...\What do you think life is?!\I'm never going to acknowledge these jerks! response:	Never!
context: Wha\Talk about resolve. Is there someone he was that loyal to?\You idiot!\He went through all that... What was he after, anyway?\What do...\What do you think life is?!\I'm never going to acknowledge these jerks!\Never! response:	Grandpa...
context: Talk about resolve. Is there someone he was that loyal to?\You idiot!\He went through all that... What was he after, anyway?\What do...\What do you think life is?!\I'm never going to acknowledge these jerks!\Never!\Grandpa... response:	Let's go home, Nick.
context: You idiot!\He went through all that... What was he after, anyway?\What do...\What do you think life is?!\I'm never going to acknowledge these jerks!\Never!\Grandpa...\Let's go home, Nick. response:	Grandpa really loved the view from here.
context: He went through all that... What was he after, anyway?\What do...\What do you think life is?!\I'm never going to acknowledge these jerks!\Never!\Grandpa...\Let's go home, Nick.\Grandpa really loved the view from here. response:	Yeah.
context: What do...\What do you think life is?!\I'm never going to acknowledge these jerks!\Never!\Grandpa...\Let's go home, Nick.\Grandpa really loved the view from here.\Yeah. response:	So, Nick, I heard
context: What do you think life is?!\I'm never going to acknowledge these jerks!\Never!\Grandpa...\Let's go home, Nick.\Grandpa really loved the view from here.\Yeah.\So, Nick, I heard response:	that Old Man Seihi was the only one to stand up to those guys.
context: I'm never going to acknowledge these jerks!\Never!\Grandpa...\Let's go home, Nick.\Grandpa really loved the view from here.\Yeah.\So, Nick, I heard\that Old Man Seihi was the only one to stand up to those guys. response:	Your grandpa was a real man.
context: Never!\Grandpa...\Let's go home, Nick.\Grandpa really loved the view from here.\Yeah.\So, Nick, I heard\that Old Man Seihi was the only one to stand up to those guys.\Your grandpa was a real man. response:	Grandpa sounded really happy.
context: Grandpa...\Let's go home, Nick.\Grandpa really loved the view from here.\Yeah.\So, Nick, I heard\that Old Man Seihi was the only one to stand up to those guys.\Your grandpa was a real man.\Grandpa sounded really happy. response:	He said that even though it was
context: Let's go home, Nick.\Grandpa really loved the view from here.\Yeah.\So, Nick, I heard\that Old Man Seihi was the only one to stand up to those guys.\Your grandpa was a real man.\Grandpa sounded really happy.\He said that even though it was response:	just gambling, he still beat some Magic Knights.
context: Grandpa really loved the view from here.\Yeah.\So, Nick, I heard\that Old Man Seihi was the only one to stand up to those guys.\Your grandpa was a real man.\Grandpa sounded really happy.\He said that even though it was\just gambling, he still beat some Magic Knights. response:	Yeah.
context: Yeah.\So, Nick, I heard\that Old Man Seihi was the only one to stand up to those guys.\Your grandpa was a real man.\Grandpa sounded really happy.\He said that even though it was\just gambling, he still beat some Magic Knights.\Yeah. response:	He gave this to me as a gift.
context: So, Nick, I heard\that Old Man Seihi was the only one to stand up to those guys.\Your grandpa was a real man.\Grandpa sounded really happy.\He said that even though it was\just gambling, he still beat some Magic Knights.\Yeah.\He gave this to me as a gift. response:	He even bought lots of yummy food for everyone in the village.
context: that Old Man Seihi was the only one to stand up to those guys.\Your grandpa was a real man.\Grandpa sounded really happy.\He said that even though it was\just gambling, he still beat some Magic Knights.\Yeah.\He gave this to me as a gift.\He even bought lots of yummy food for everyone in the village. response:	He never got to be one, but Grandpa always admired the Magic Knights.
context: Your grandpa was a real man.\Grandpa sounded really happy.\He said that even though it was\just gambling, he still beat some Magic Knights.\Yeah.\He gave this to me as a gift.\He even bought lots of yummy food for everyone in the village.\He never got to be one, but Grandpa always admired the Magic Knights. response:	Yeah.
context: Grandpa sounded really happy.\He said that even though it was\just gambling, he still beat some Magic Knights.\Yeah.\He gave this to me as a gift.\He even bought lots of yummy food for everyone in the village.\He never got to be one, but Grandpa always admired the Magic Knights.\Yeah. response:	And they were also his regret.
context: He said that even though it was\just gambling, he still beat some Magic Knights.\Yeah.\He gave this to me as a gift.\He even bought lots of yummy food for everyone in the village.\He never got to be one, but Grandpa always admired the Magic Knights.\Yeah.\And they were also his regret. response:	Regret?
context: just gambling, he still beat some Magic Knights.\Yeah.\He gave this to me as a gift.\He even bought lots of yummy food for everyone in the village.\He never got to be one, but Grandpa always admired the Magic Knights.\Yeah.\And they were also his regret.\Regret? response:	He always regretted not working harder when he was younger.
context: Yeah.\He gave this to me as a gift.\He even bought lots of yummy food for everyone in the village.\He never got to be one, but Grandpa always admired the Magic Knights.\Yeah.\And they were also his regret.\Regret?\He always regretted not working harder when he was younger. response:	Yeah...
context: He gave this to me as a gift.\He even bought lots of yummy food for everyone in the village.\He never got to be one, but Grandpa always admired the Magic Knights.\Yeah.\And they were also his regret.\Regret?\He always regretted not working harder when he was younger.\Yeah... response:	But... he seemed really happy about the fact that
context: He even bought lots of yummy food for everyone in the village.\He never got to be one, but Grandpa always admired the Magic Knights.\Yeah.\And they were also his regret.\Regret?\He always regretted not working harder when he was younger.\Yeah...\But... he seemed really happy about the fact that response:	Magna was working hard for the both of them.
context: He never got to be one, but Grandpa always admired the Magic Knights.\Yeah.\And they were also his regret.\Regret?\He always regretted not working harder when he was younger.\Yeah...\But... he seemed really happy about the fact that\Magna was working hard for the both of them. response:	Yeah.
context: Yeah.\And they were also his regret.\Regret?\He always regretted not working harder when he was younger.\Yeah...\But... he seemed really happy about the fact that\Magna was working hard for the both of them.\Yeah. response:	Hey, do you think... I'll be able to become a Magic Knight, too?
context: And they were also his regret.\Regret?\He always regretted not working harder when he was younger.\Yeah...\But... he seemed really happy about the fact that\Magna was working hard for the both of them.\Yeah.\Hey, do you think... I'll be able to become a Magic Knight, too? response:	Of course!
context: Regret?\He always regretted not working harder when he was younger.\Yeah...\But... he seemed really happy about the fact that\Magna was working hard for the both of them.\Yeah.\Hey, do you think... I'll be able to become a Magic Knight, too?\Of course! response:	Nothing's impossible!
context: He always regretted not working harder when he was younger.\Yeah...\But... he seemed really happy about the fact that\Magna was working hard for the both of them.\Yeah.\Hey, do you think... I'll be able to become a Magic Knight, too?\Of course!\Nothing's impossible! response:	Your future is something that you decide for yourself!
context: Yeah...\But... he seemed really happy about the fact that\Magna was working hard for the both of them.\Yeah.\Hey, do you think... I'll be able to become a Magic Knight, too?\Of course!\Nothing's impossible!\Your future is something that you decide for yourself! response:	Not only am I a commoner, but I've got no magic powers, and I still made it in!
context: But... he seemed really happy about the fact that\Magna was working hard for the both of them.\Yeah.\Hey, do you think... I'll be able to become a Magic Knight, too?\Of course!\Nothing's impossible!\Your future is something that you decide for yourself!\Not only am I a commoner, but I've got no magic powers, and I still made it in! response:	But you've gotta work super extra hard!
context: Magna was working hard for the both of them.\Yeah.\Hey, do you think... I'll be able to become a Magic Knight, too?\Of course!\Nothing's impossible!\Your future is something that you decide for yourself!\Not only am I a commoner, but I've got no magic powers, and I still made it in!\But you've gotta work super extra hard! response:	Give it your all!
context: Yeah.\Hey, do you think... I'll be able to become a Magic Knight, too?\Of course!\Nothing's impossible!\Your future is something that you decide for yourself!\Not only am I a commoner, but I've got no magic powers, and I still made it in!\But you've gotta work super extra hard!\Give it your all! response:	Do your best.
context: Hey, do you think... I'll be able to become a Magic Knight, too?\Of course!\Nothing's impossible!\Your future is something that you decide for yourself!\Not only am I a commoner, but I've got no magic powers, and I still made it in!\But you've gotta work super extra hard!\Give it your all!\Do your best. response:	Yeah!
context: Of course!\Nothing's impossible!\Your future is something that you decide for yourself!\Not only am I a commoner, but I've got no magic powers, and I still made it in!\But you've gotta work super extra hard!\Give it your all!\Do your best.\Yeah! response:	By the time you join the Magic Knights,
context: Nothing's impossible!\Your future is something that you decide for yourself!\Not only am I a commoner, but I've got no magic powers, and I still made it in!\But you've gotta work super extra hard!\Give it your all!\Do your best.\Yeah!\By the time you join the Magic Knights, response:	I'm going to be working even harder, doing even more missions,
context: Your future is something that you decide for yourself!\Not only am I a commoner, but I've got no magic powers, and I still made it in!\But you've gotta work super extra hard!\Give it your all!\Do your best.\Yeah!\By the time you join the Magic Knights,\I'm going to be working even harder, doing even more missions, response:	and I'll be even closer to becoming the Wizard King.
context: Not only am I a commoner, but I've got no magic powers, and I still made it in!\But you've gotta work super extra hard!\Give it your all!\Do your best.\Yeah!\By the time you join the Magic Knights,\I'm going to be working even harder, doing even more missions,\and I'll be even closer to becoming the Wizard King. response:	Jeez. There you go talking nonsense again.
context: But you've gotta work super extra hard!\Give it your all!\Do your best.\Yeah!\By the time you join the Magic Knights,\I'm going to be working even harder, doing even more missions,\and I'll be even closer to becoming the Wizard King.\Jeez. There you go talking nonsense again. response:	But you need to dream big. That's what it means to be a man!
context: Give it your all!\Do your best.\Yeah!\By the time you join the Magic Knights,\I'm going to be working even harder, doing even more missions,\and I'll be even closer to becoming the Wizard King.\Jeez. There you go talking nonsense again.\But you need to dream big. That's what it means to be a man! response:	I'll be waiting for you, kid!
