context: Sorry to change the subject, but... response:	By the way, do you all have plans for winter vacation?
context: After I moved away, you and I kept in touch. Remember?\Sure.\But then it got too painful for me, and I was the one who stopped.\Huh? Is that what happened?\Because... Before, we used to play together everyday,\but after I moved, I could only talk to you.\And only for a really short time.\At first, that was what I looked forward to, response:	but before I knew it, it had become painful.
context: Sure.\But then it got too painful for me, and I was the one who stopped.\Huh? Is that what happened?\Because... Before, we used to play together everyday,\but after I moved, I could only talk to you.\And only for a really short time.\At first, that was what I looked forward to,\but before I knew it, it had become painful. response:	So I decided... until the day came we could properly meet again...
context: But then it got too painful for me, and I was the one who stopped.\Huh? Is that what happened?\Because... Before, we used to play together everyday,\but after I moved, I could only talk to you.\And only for a really short time.\At first, that was what I looked forward to,\but before I knew it, it had become painful.\So I decided... until the day came we could properly meet again... response:	But that's not really such a big deal.
context: Huh? Is that what happened?\Because... Before, we used to play together everyday,\but after I moved, I could only talk to you.\And only for a really short time.\At first, that was what I looked forward to,\but before I knew it, it had become painful.\So I decided... until the day came we could properly meet again...\But that's not really such a big deal. response:	That's not all.
context: Because... Before, we used to play together everyday,\but after I moved, I could only talk to you.\And only for a really short time.\At first, that was what I looked forward to,\but before I knew it, it had become painful.\So I decided... until the day came we could properly meet again...\But that's not really such a big deal.\That's not all. response:	If we'd kept in touch the whole time, then when Big Sis Haru went missing,
context: but after I moved, I could only talk to you.\And only for a really short time.\At first, that was what I looked forward to,\but before I knew it, it had become painful.\So I decided... until the day came we could properly meet again...\But that's not really such a big deal.\That's not all.\If we'd kept in touch the whole time, then when Big Sis Haru went missing, response:	I might've been able to help you, Ayato.
context: And only for a really short time.\At first, that was what I looked forward to,\but before I knew it, it had become painful.\So I decided... until the day came we could properly meet again...\But that's not really such a big deal.\That's not all.\If we'd kept in touch the whole time, then when Big Sis Haru went missing,\I might've been able to help you, Ayato. response:	Even if I couldn't help, I could've cheered you up.
context: At first, that was what I looked forward to,\but before I knew it, it had become painful.\So I decided... until the day came we could properly meet again...\But that's not really such a big deal.\That's not all.\If we'd kept in touch the whole time, then when Big Sis Haru went missing,\I might've been able to help you, Ayato.\Even if I couldn't help, I could've cheered you up. response:	I could've supported you, even.
context: but before I knew it, it had become painful.\So I decided... until the day came we could properly meet again...\But that's not really such a big deal.\That's not all.\If we'd kept in touch the whole time, then when Big Sis Haru went missing,\I might've been able to help you, Ayato.\Even if I couldn't help, I could've cheered you up.\I could've supported you, even. response:	And that... that's what makes me so frustrated.
context: So I decided... until the day came we could properly meet again...\But that's not really such a big deal.\That's not all.\If we'd kept in touch the whole time, then when Big Sis Haru went missing,\I might've been able to help you, Ayato.\Even if I couldn't help, I could've cheered you up.\I could've supported you, even.\And that... that's what makes me so frustrated. response:	Saya...
context: But that's not really such a big deal.\That's not all.\If we'd kept in touch the whole time, then when Big Sis Haru went missing,\I might've been able to help you, Ayato.\Even if I couldn't help, I could've cheered you up.\I could've supported you, even.\And that... that's what makes me so frustrated.\Saya... response:	That's what I should've done.
context: That's not all.\If we'd kept in touch the whole time, then when Big Sis Haru went missing,\I might've been able to help you, Ayato.\Even if I couldn't help, I could've cheered you up.\I could've supported you, even.\And that... that's what makes me so frustrated.\Saya...\That's what I should've done. response:	Because I...
context: If we'd kept in touch the whole time, then when Big Sis Haru went missing,\I might've been able to help you, Ayato.\Even if I couldn't help, I could've cheered you up.\I could've supported you, even.\And that... that's what makes me so frustrated.\Saya...\That's what I should've done.\Because I... response:	I'd always been by your side, Ayato.
context: I might've been able to help you, Ayato.\Even if I couldn't help, I could've cheered you up.\I could've supported you, even.\And that... that's what makes me so frustrated.\Saya...\That's what I should've done.\Because I...\I'd always been by your side, Ayato. response:	That's why, Ayato...
context: Even if I couldn't help, I could've cheered you up.\I could've supported you, even.\And that... that's what makes me so frustrated.\Saya...\That's what I should've done.\Because I...\I'd always been by your side, Ayato.\That's why, Ayato... response:	I want you to lean on me when you need to.
context: I could've supported you, even.\And that... that's what makes me so frustrated.\Saya...\That's what I should've done.\Because I...\I'd always been by your side, Ayato.\That's why, Ayato...\I want you to lean on me when you need to. response:	This time for sure, I'm going to be there for you.
context: And that... that's what makes me so frustrated.\Saya...\That's what I should've done.\Because I...\I'd always been by your side, Ayato.\That's why, Ayato...\I want you to lean on me when you need to.\This time for sure, I'm going to be there for you. response:	Saya...
context: Saya...\That's what I should've done.\Because I...\I'd always been by your side, Ayato.\That's why, Ayato...\I want you to lean on me when you need to.\This time for sure, I'm going to be there for you.\Saya... response:	What I'm supposed to do right now...
context: That's what I should've done.\Because I...\I'd always been by your side, Ayato.\That's why, Ayato...\I want you to lean on me when you need to.\This time for sure, I'm going to be there for you.\Saya...\What I'm supposed to do right now... response:	Julis, it's to be there for you.
context: Because I...\I'd always been by your side, Ayato.\That's why, Ayato...\I want you to lean on me when you need to.\This time for sure, I'm going to be there for you.\Saya...\What I'm supposed to do right now...\Julis, it's to be there for you. response:	Thanks, Saya.
context: I'd always been by your side, Ayato.\That's why, Ayato...\I want you to lean on me when you need to.\This time for sure, I'm going to be there for you.\Saya...\What I'm supposed to do right now...\Julis, it's to be there for you.\Thanks, Saya. response:	If that day ever comes, I'm counting on you.
context: That's why, Ayato...\I want you to lean on me when you need to.\This time for sure, I'm going to be there for you.\Saya...\What I'm supposed to do right now...\Julis, it's to be there for you.\Thanks, Saya.\If that day ever comes, I'm counting on you. response:	Right.
context: I want you to lean on me when you need to.\This time for sure, I'm going to be there for you.\Saya...\What I'm supposed to do right now...\Julis, it's to be there for you.\Thanks, Saya.\If that day ever comes, I'm counting on you.\Right. response:	Come on, let's go.
context: This time for sure, I'm going to be there for you.\Saya...\What I'm supposed to do right now...\Julis, it's to be there for you.\Thanks, Saya.\If that day ever comes, I'm counting on you.\Right.\Come on, let's go. response:	Everyone's hungry and waiting for you.
context: Saya...\What I'm supposed to do right now...\Julis, it's to be there for you.\Thanks, Saya.\If that day ever comes, I'm counting on you.\Right.\Come on, let's go.\Everyone's hungry and waiting for you. response:	Okay.
context: What I'm supposed to do right now...\Julis, it's to be there for you.\Thanks, Saya.\If that day ever comes, I'm counting on you.\Right.\Come on, let's go.\Everyone's hungry and waiting for you.\Okay. response:	Now, I'd like to take this opportunity to consult you all.
context: Julis, it's to be there for you.\Thanks, Saya.\If that day ever comes, I'm counting on you.\Right.\Come on, let's go.\Everyone's hungry and waiting for you.\Okay.\Now, I'd like to take this opportunity to consult you all. response:	It's about next year's Festa.
context: Thanks, Saya.\If that day ever comes, I'm counting on you.\Right.\Come on, let's go.\Everyone's hungry and waiting for you.\Okay.\Now, I'd like to take this opportunity to consult you all.\It's about next year's Festa. response:	I'd like all of you present to take part in the Gryps Festa as my teammates.
context: If that day ever comes, I'm counting on you.\Right.\Come on, let's go.\Everyone's hungry and waiting for you.\Okay.\Now, I'd like to take this opportunity to consult you all.\It's about next year's Festa.\I'd like all of you present to take part in the Gryps Festa as my teammates. response:	I did invite Ayato before.
context: Right.\Come on, let's go.\Everyone's hungry and waiting for you.\Okay.\Now, I'd like to take this opportunity to consult you all.\It's about next year's Festa.\I'd like all of you present to take part in the Gryps Festa as my teammates.\I did invite Ayato before. response:	His answer then was...
context: Come on, let's go.\Everyone's hungry and waiting for you.\Okay.\Now, I'd like to take this opportunity to consult you all.\It's about next year's Festa.\I'd like all of you present to take part in the Gryps Festa as my teammates.\I did invite Ayato before.\His answer then was... response:	If Julis joins.
context: Everyone's hungry and waiting for you.\Okay.\Now, I'd like to take this opportunity to consult you all.\It's about next year's Festa.\I'd like all of you present to take part in the Gryps Festa as my teammates.\I did invite Ayato before.\His answer then was...\If Julis joins. response:	Do you still feel the same way?
context: Okay.\Now, I'd like to take this opportunity to consult you all.\It's about next year's Festa.\I'd like all of you present to take part in the Gryps Festa as my teammates.\I did invite Ayato before.\His answer then was...\If Julis joins.\Do you still feel the same way? response:	Right, nothing's changed.
context: Now, I'd like to take this opportunity to consult you all.\It's about next year's Festa.\I'd like all of you present to take part in the Gryps Festa as my teammates.\I did invite Ayato before.\His answer then was...\If Julis joins.\Do you still feel the same way?\Right, nothing's changed. response:	Julis. How about you?
context: It's about next year's Festa.\I'd like all of you present to take part in the Gryps Festa as my teammates.\I did invite Ayato before.\His answer then was...\If Julis joins.\Do you still feel the same way?\Right, nothing's changed.\Julis. How about you? response:	Before I answer, there's something I want to ask you.
context: I'd like all of you present to take part in the Gryps Festa as my teammates.\I did invite Ayato before.\His answer then was...\If Julis joins.\Do you still feel the same way?\Right, nothing's changed.\Julis. How about you?\Before I answer, there's something I want to ask you. response:	Yes, what would that be?
context: I did invite Ayato before.\His answer then was...\If Julis joins.\Do you still feel the same way?\Right, nothing's changed.\Julis. How about you?\Before I answer, there's something I want to ask you.\Yes, what would that be? response:	Why are you so obsessed with the Gryps Festa?
context: His answer then was...\If Julis joins.\Do you still feel the same way?\Right, nothing's changed.\Julis. How about you?\Before I answer, there's something I want to ask you.\Yes, what would that be?\Why are you so obsessed with the Gryps Festa? response:	You could easily advance in the Phoenix Festa or the Lindwurs Festa.
context: If Julis joins.\Do you still feel the same way?\Right, nothing's changed.\Julis. How about you?\Before I answer, there's something I want to ask you.\Yes, what would that be?\Why are you so obsessed with the Gryps Festa?\You could easily advance in the Phoenix Festa or the Lindwurs Festa. response:	True, I'd be sure to advance,
context: Do you still feel the same way?\Right, nothing's changed.\Julis. How about you?\Before I answer, there's something I want to ask you.\Yes, what would that be?\Why are you so obsessed with the Gryps Festa?\You could easily advance in the Phoenix Festa or the Lindwurs Festa.\True, I'd be sure to advance, response:	but it would be difficult for me to win it all.
context: Right, nothing's changed.\Julis. How about you?\Before I answer, there's something I want to ask you.\Yes, what would that be?\Why are you so obsessed with the Gryps Festa?\You could easily advance in the Phoenix Festa or the Lindwurs Festa.\True, I'd be sure to advance,\but it would be difficult for me to win it all. response:	And that would be unacceptable.
context: Julis. How about you?\Before I answer, there's something I want to ask you.\Yes, what would that be?\Why are you so obsessed with the Gryps Festa?\You could easily advance in the Phoenix Festa or the Lindwurs Festa.\True, I'd be sure to advance,\but it would be difficult for me to win it all.\And that would be unacceptable. response:	You have a chance in the Gryps Festa?
context: Before I answer, there's something I want to ask you.\Yes, what would that be?\Why are you so obsessed with the Gryps Festa?\You could easily advance in the Phoenix Festa or the Lindwurs Festa.\True, I'd be sure to advance,\but it would be difficult for me to win it all.\And that would be unacceptable.\You have a chance in the Gryps Festa? response:	Yes, as long as I have dependable teammates, that is.
context: Yes, what would that be?\Why are you so obsessed with the Gryps Festa?\You could easily advance in the Phoenix Festa or the Lindwurs Festa.\True, I'd be sure to advance,\but it would be difficult for me to win it all.\And that would be unacceptable.\You have a chance in the Gryps Festa?\Yes, as long as I have dependable teammates, that is. response:	I'll go further into detail after you've agreed to become my teammates.
context: Why are you so obsessed with the Gryps Festa?\You could easily advance in the Phoenix Festa or the Lindwurs Festa.\True, I'd be sure to advance,\but it would be difficult for me to win it all.\And that would be unacceptable.\You have a chance in the Gryps Festa?\Yes, as long as I have dependable teammates, that is.\I'll go further into detail after you've agreed to become my teammates. response:	Since it has to do with my weakness, as well as this one's.
context: You could easily advance in the Phoenix Festa or the Lindwurs Festa.\True, I'd be sure to advance,\but it would be difficult for me to win it all.\And that would be unacceptable.\You have a chance in the Gryps Festa?\Yes, as long as I have dependable teammates, that is.\I'll go further into detail after you've agreed to become my teammates.\Since it has to do with my weakness, as well as this one's. response:	Precognition has a weakness?
context: True, I'd be sure to advance,\but it would be difficult for me to win it all.\And that would be unacceptable.\You have a chance in the Gryps Festa?\Yes, as long as I have dependable teammates, that is.\I'll go further into detail after you've agreed to become my teammates.\Since it has to do with my weakness, as well as this one's.\Precognition has a weakness? response:	No weapon is infallible.
context: but it would be difficult for me to win it all.\And that would be unacceptable.\You have a chance in the Gryps Festa?\Yes, as long as I have dependable teammates, that is.\I'll go further into detail after you've agreed to become my teammates.\Since it has to do with my weakness, as well as this one's.\Precognition has a weakness?\No weapon is infallible. response:	But you're powerful even without the Pan-Dora, aren't you?
context: And that would be unacceptable.\You have a chance in the Gryps Festa?\Yes, as long as I have dependable teammates, that is.\I'll go further into detail after you've agreed to become my teammates.\Since it has to do with my weakness, as well as this one's.\Precognition has a weakness?\No weapon is infallible.\But you're powerful even without the Pan-Dora, aren't you? response:	Oh, no, my powers without the Pan-Dora are quite pedestrian.
context: You have a chance in the Gryps Festa?\Yes, as long as I have dependable teammates, that is.\I'll go further into detail after you've agreed to become my teammates.\Since it has to do with my weakness, as well as this one's.\Precognition has a weakness?\No weapon is infallible.\But you're powerful even without the Pan-Dora, aren't you?\Oh, no, my powers without the Pan-Dora are quite pedestrian. response:	That's precisely why I need powerful comrades.
context: Yes, as long as I have dependable teammates, that is.\I'll go further into detail after you've agreed to become my teammates.\Since it has to do with my weakness, as well as this one's.\Precognition has a weakness?\No weapon is infallible.\But you're powerful even without the Pan-Dora, aren't you?\Oh, no, my powers without the Pan-Dora are quite pedestrian.\That's precisely why I need powerful comrades. response:	Remember, anyone who hopes to win the Gryps Festa
context: I'll go further into detail after you've agreed to become my teammates.\Since it has to do with my weakness, as well as this one's.\Precognition has a weakness?\No weapon is infallible.\But you're powerful even without the Pan-Dora, aren't you?\Oh, no, my powers without the Pan-Dora are quite pedestrian.\That's precisely why I need powerful comrades.\Remember, anyone who hopes to win the Gryps Festa response:	will need to defeat those Lifelordes.
context: Since it has to do with my weakness, as well as this one's.\Precognition has a weakness?\No weapon is infallible.\But you're powerful even without the Pan-Dora, aren't you?\Oh, no, my powers without the Pan-Dora are quite pedestrian.\That's precisely why I need powerful comrades.\Remember, anyone who hopes to win the Gryps Festa\will need to defeat those Lifelordes. response:	The team of Zhao Hufeng and Cecily Wong, former Phoenix Festa runners-up,
context: Precognition has a weakness?\No weapon is infallible.\But you're powerful even without the Pan-Dora, aren't you?\Oh, no, my powers without the Pan-Dora are quite pedestrian.\That's precisely why I need powerful comrades.\Remember, anyone who hopes to win the Gryps Festa\will need to defeat those Lifelordes.\The team of Zhao Hufeng and Cecily Wong, former Phoenix Festa runners-up, response:	will surely compete for Jie Long.
context: No weapon is infallible.\But you're powerful even without the Pan-Dora, aren't you?\Oh, no, my powers without the Pan-Dora are quite pedestrian.\That's precisely why I need powerful comrades.\Remember, anyone who hopes to win the Gryps Festa\will need to defeat those Lifelordes.\The team of Zhao Hufeng and Cecily Wong, former Phoenix Festa runners-up,\will surely compete for Jie Long. response:	Plus, I hear that Divine Revelations' 1 disciple, too, will be on this team.
context: But you're powerful even without the Pan-Dora, aren't you?\Oh, no, my powers without the Pan-Dora are quite pedestrian.\That's precisely why I need powerful comrades.\Remember, anyone who hopes to win the Gryps Festa\will need to defeat those Lifelordes.\The team of Zhao Hufeng and Cecily Wong, former Phoenix Festa runners-up,\will surely compete for Jie Long.\Plus, I hear that Divine Revelations' 1 disciple, too, will be on this team. response:	Right, you mean Hagun Seikun, their Rank 2?
context: Oh, no, my powers without the Pan-Dora are quite pedestrian.\That's precisely why I need powerful comrades.\Remember, anyone who hopes to win the Gryps Festa\will need to defeat those Lifelordes.\The team of Zhao Hufeng and Cecily Wong, former Phoenix Festa runners-up,\will surely compete for Jie Long.\Plus, I hear that Divine Revelations' 1 disciple, too, will be on this team.\Right, you mean Hagun Seikun, their Rank 2? response:	So I hear it's very terrifying.
context: That's precisely why I need powerful comrades.\Remember, anyone who hopes to win the Gryps Festa\will need to defeat those Lifelordes.\The team of Zhao Hufeng and Cecily Wong, former Phoenix Festa runners-up,\will surely compete for Jie Long.\Plus, I hear that Divine Revelations' 1 disciple, too, will be on this team.\Right, you mean Hagun Seikun, their Rank 2?\So I hear it's very terrifying. response:	We also can't underestimate Rusalka of Queenvail.
context: Remember, anyone who hopes to win the Gryps Festa\will need to defeat those Lifelordes.\The team of Zhao Hufeng and Cecily Wong, former Phoenix Festa runners-up,\will surely compete for Jie Long.\Plus, I hear that Divine Revelations' 1 disciple, too, will be on this team.\Right, you mean Hagun Seikun, their Rank 2?\So I hear it's very terrifying.\We also can't underestimate Rusalka of Queenvail. response:	And there are sure to be other formidable teams in our path.
context: will need to defeat those Lifelordes.\The team of Zhao Hufeng and Cecily Wong, former Phoenix Festa runners-up,\will surely compete for Jie Long.\Plus, I hear that Divine Revelations' 1 disciple, too, will be on this team.\Right, you mean Hagun Seikun, their Rank 2?\So I hear it's very terrifying.\We also can't underestimate Rusalka of Queenvail.\And there are sure to be other formidable teams in our path. response:	True, it probably won't be easy to win the next Gryps Festa.
context: The team of Zhao Hufeng and Cecily Wong, former Phoenix Festa runners-up,\will surely compete for Jie Long.\Plus, I hear that Divine Revelations' 1 disciple, too, will be on this team.\Right, you mean Hagun Seikun, their Rank 2?\So I hear it's very terrifying.\We also can't underestimate Rusalka of Queenvail.\And there are sure to be other formidable teams in our path.\True, it probably won't be easy to win the next Gryps Festa. response:	I agree.
context: will surely compete for Jie Long.\Plus, I hear that Divine Revelations' 1 disciple, too, will be on this team.\Right, you mean Hagun Seikun, their Rank 2?\So I hear it's very terrifying.\We also can't underestimate Rusalka of Queenvail.\And there are sure to be other formidable teams in our path.\True, it probably won't be easy to win the next Gryps Festa.\I agree. response:	Even so, I do believe that with you on my team, we have a chance.
context: Plus, I hear that Divine Revelations' 1 disciple, too, will be on this team.\Right, you mean Hagun Seikun, their Rank 2?\So I hear it's very terrifying.\We also can't underestimate Rusalka of Queenvail.\And there are sure to be other formidable teams in our path.\True, it probably won't be easy to win the next Gryps Festa.\I agree.\Even so, I do believe that with you on my team, we have a chance. response:	Understood.
context: Right, you mean Hagun Seikun, their Rank 2?\So I hear it's very terrifying.\We also can't underestimate Rusalka of Queenvail.\And there are sure to be other formidable teams in our path.\True, it probably won't be easy to win the next Gryps Festa.\I agree.\Even so, I do believe that with you on my team, we have a chance.\Understood. response:	I'll take part as a member of your team.
context: So I hear it's very terrifying.\We also can't underestimate Rusalka of Queenvail.\And there are sure to be other formidable teams in our path.\True, it probably won't be easy to win the next Gryps Festa.\I agree.\Even so, I do believe that with you on my team, we have a chance.\Understood.\I'll take part as a member of your team. response:	No reason to decline, anyway.
context: We also can't underestimate Rusalka of Queenvail.\And there are sure to be other formidable teams in our path.\True, it probably won't be easy to win the next Gryps Festa.\I agree.\Even so, I do believe that with you on my team, we have a chance.\Understood.\I'll take part as a member of your team.\No reason to decline, anyway. response:	That really looks good on you, Mr. Amagiri!
context: And there are sure to be other formidable teams in our path.\True, it probably won't be easy to win the next Gryps Festa.\I agree.\Even so, I do believe that with you on my team, we have a chance.\Understood.\I'll take part as a member of your team.\No reason to decline, anyway.\That really looks good on you, Mr. Amagiri! response:	You think so? I've never dressed this way before, so it makes me nervous.
context: True, it probably won't be easy to win the next Gryps Festa.\I agree.\Even so, I do believe that with you on my team, we have a chance.\Understood.\I'll take part as a member of your team.\No reason to decline, anyway.\That really looks good on you, Mr. Amagiri!\You think so? I've never dressed this way before, so it makes me nervous. response:	Excuse me, Mr. Amagiri.
context: I agree.\Even so, I do believe that with you on my team, we have a chance.\Understood.\I'll take part as a member of your team.\No reason to decline, anyway.\That really looks good on you, Mr. Amagiri!\You think so? I've never dressed this way before, so it makes me nervous.\Excuse me, Mr. Amagiri. response:	You're not allowed to carry weapons during parties,
context: Even so, I do believe that with you on my team, we have a chance.\Understood.\I'll take part as a member of your team.\No reason to decline, anyway.\That really looks good on you, Mr. Amagiri!\You think so? I've never dressed this way before, so it makes me nervous.\Excuse me, Mr. Amagiri.\You're not allowed to carry weapons during parties, response:	so I'll hold onto that for you.
context: Understood.\I'll take part as a member of your team.\No reason to decline, anyway.\That really looks good on you, Mr. Amagiri!\You think so? I've never dressed this way before, so it makes me nervous.\Excuse me, Mr. Amagiri.\You're not allowed to carry weapons during parties,\so I'll hold onto that for you. response:	I see. Fine by me.
context: I'll take part as a member of your team.\No reason to decline, anyway.\That really looks good on you, Mr. Amagiri!\You think so? I've never dressed this way before, so it makes me nervous.\Excuse me, Mr. Amagiri.\You're not allowed to carry weapons during parties,\so I'll hold onto that for you.\I see. Fine by me. response:	Julis? I'm coming in.
context: No reason to decline, anyway.\That really looks good on you, Mr. Amagiri!\You think so? I've never dressed this way before, so it makes me nervous.\Excuse me, Mr. Amagiri.\You're not allowed to carry weapons during parties,\so I'll hold onto that for you.\I see. Fine by me.\Julis? I'm coming in. response:	R-Right. Come on in.
context: That really looks good on you, Mr. Amagiri!\You think so? I've never dressed this way before, so it makes me nervous.\Excuse me, Mr. Amagiri.\You're not allowed to carry weapons during parties,\so I'll hold onto that for you.\I see. Fine by me.\Julis? I'm coming in.\R-Right. Come on in. response:	Wh-What are you standing there in a daze for?
context: You think so? I've never dressed this way before, so it makes me nervous.\Excuse me, Mr. Amagiri.\You're not allowed to carry weapons during parties,\so I'll hold onto that for you.\I see. Fine by me.\Julis? I'm coming in.\R-Right. Come on in.\Wh-What are you standing there in a daze for? response:	She's right, Ayato.
context: Excuse me, Mr. Amagiri.\You're not allowed to carry weapons during parties,\so I'll hold onto that for you.\I see. Fine by me.\Julis? I'm coming in.\R-Right. Come on in.\Wh-What are you standing there in a daze for?\She's right, Ayato. response:	At times like these, you're expected to pay compliments to the ladies.
context: You're not allowed to carry weapons during parties,\so I'll hold onto that for you.\I see. Fine by me.\Julis? I'm coming in.\R-Right. Come on in.\Wh-What are you standing there in a daze for?\She's right, Ayato.\At times like these, you're expected to pay compliments to the ladies. response:	Agreed.
context: so I'll hold onto that for you.\I see. Fine by me.\Julis? I'm coming in.\R-Right. Come on in.\Wh-What are you standing there in a daze for?\She's right, Ayato.\At times like these, you're expected to pay compliments to the ladies.\Agreed. response:	Oh, no, I... uh...
context: I see. Fine by me.\Julis? I'm coming in.\R-Right. Come on in.\Wh-What are you standing there in a daze for?\She's right, Ayato.\At times like these, you're expected to pay compliments to the ladies.\Agreed.\Oh, no, I... uh... response:	I'm sure I don't look good in this... so you don't have to!
context: Julis? I'm coming in.\R-Right. Come on in.\Wh-What are you standing there in a daze for?\She's right, Ayato.\At times like these, you're expected to pay compliments to the ladies.\Agreed.\Oh, no, I... uh...\I'm sure I don't look good in this... so you don't have to! response:	Oh, uh...
context: R-Right. Come on in.\Wh-What are you standing there in a daze for?\She's right, Ayato.\At times like these, you're expected to pay compliments to the ladies.\Agreed.\Oh, no, I... uh...\I'm sure I don't look good in this... so you don't have to!\Oh, uh... response:	I think you all look great!
context: Wh-What are you standing there in a daze for?\She's right, Ayato.\At times like these, you're expected to pay compliments to the ladies.\Agreed.\Oh, no, I... uh...\I'm sure I don't look good in this... so you don't have to!\Oh, uh...\I think you all look great! response:	Thank you very much.
context: She's right, Ayato.\At times like these, you're expected to pay compliments to the ladies.\Agreed.\Oh, no, I... uh...\I'm sure I don't look good in this... so you don't have to!\Oh, uh...\I think you all look great!\Thank you very much. response:	That becomes you quite well, too.
context: At times like these, you're expected to pay compliments to the ladies.\Agreed.\Oh, no, I... uh...\I'm sure I don't look good in this... so you don't have to!\Oh, uh...\I think you all look great!\Thank you very much.\That becomes you quite well, too. response:	Now then, I'd really prefer that you escorted me, Ayato,
context: Agreed.\Oh, no, I... uh...\I'm sure I don't look good in this... so you don't have to!\Oh, uh...\I think you all look great!\Thank you very much.\That becomes you quite well, too.\Now then, I'd really prefer that you escorted me, Ayato, response:	but as Julis is the guest of honor... I'll have to live with it.
context: Oh, no, I... uh...\I'm sure I don't look good in this... so you don't have to!\Oh, uh...\I think you all look great!\Thank you very much.\That becomes you quite well, too.\Now then, I'd really prefer that you escorted me, Ayato,\but as Julis is the guest of honor... I'll have to live with it. response:	In return, please be sure to pay us some attention later.
context: I'm sure I don't look good in this... so you don't have to!\Oh, uh...\I think you all look great!\Thank you very much.\That becomes you quite well, too.\Now then, I'd really prefer that you escorted me, Ayato,\but as Julis is the guest of honor... I'll have to live with it.\In return, please be sure to pay us some attention later. response:	Now, then... Go on!
context: Oh, uh...\I think you all look great!\Thank you very much.\That becomes you quite well, too.\Now then, I'd really prefer that you escorted me, Ayato,\but as Julis is the guest of honor... I'll have to live with it.\In return, please be sure to pay us some attention later.\Now, then... Go on! response:	W-Well, I suppose I have no choice.
context: I think you all look great!\Thank you very much.\That becomes you quite well, too.\Now then, I'd really prefer that you escorted me, Ayato,\but as Julis is the guest of honor... I'll have to live with it.\In return, please be sure to pay us some attention later.\Now, then... Go on!\W-Well, I suppose I have no choice. response:	Here.
context: Thank you very much.\That becomes you quite well, too.\Now then, I'd really prefer that you escorted me, Ayato,\but as Julis is the guest of honor... I'll have to live with it.\In return, please be sure to pay us some attention later.\Now, then... Go on!\W-Well, I suppose I have no choice.\Here. response:	Go on. This is what you do...
context: That becomes you quite well, too.\Now then, I'd really prefer that you escorted me, Ayato,\but as Julis is the guest of honor... I'll have to live with it.\In return, please be sure to pay us some attention later.\Now, then... Go on!\W-Well, I suppose I have no choice.\Here.\Go on. This is what you do... response:	Bend your elbow a little. That's it.
context: Now then, I'd really prefer that you escorted me, Ayato,\but as Julis is the guest of honor... I'll have to live with it.\In return, please be sure to pay us some attention later.\Now, then... Go on!\W-Well, I suppose I have no choice.\Here.\Go on. This is what you do...\Bend your elbow a little. That's it. response:	S-Sorry...
context: but as Julis is the guest of honor... I'll have to live with it.\In return, please be sure to pay us some attention later.\Now, then... Go on!\W-Well, I suppose I have no choice.\Here.\Go on. This is what you do...\Bend your elbow a little. That's it.\S-Sorry... response:	Don't worry about it.
context: In return, please be sure to pay us some attention later.\Now, then... Go on!\W-Well, I suppose I have no choice.\Here.\Go on. This is what you do...\Bend your elbow a little. That's it.\S-Sorry...\Don't worry about it. response:	If push comes to shove, I'll lead the way.
context: Now, then... Go on!\W-Well, I suppose I have no choice.\Here.\Go on. This is what you do...\Bend your elbow a little. That's it.\S-Sorry...\Don't worry about it.\If push comes to shove, I'll lead the way. response:	Everybody...
context: W-Well, I suppose I have no choice.\Here.\Go on. This is what you do...\Bend your elbow a little. That's it.\S-Sorry...\Don't worry about it.\If push comes to shove, I'll lead the way.\Everybody... response:	It's time to go.
context: Here.\Go on. This is what you do...\Bend your elbow a little. That's it.\S-Sorry...\Don't worry about it.\If push comes to shove, I'll lead the way.\Everybody...\It's time to go. response:	Are you all ready?
context: Go on. This is what you do...\Bend your elbow a little. That's it.\S-Sorry...\Don't worry about it.\If push comes to shove, I'll lead the way.\Everybody...\It's time to go.\Are you all ready? response:	You look pretty exhausted.
context: Bend your elbow a little. That's it.\S-Sorry...\Don't worry about it.\If push comes to shove, I'll lead the way.\Everybody...\It's time to go.\Are you all ready?\You look pretty exhausted. response:	Well, sure I am.
context: S-Sorry...\Don't worry about it.\If push comes to shove, I'll lead the way.\Everybody...\It's time to go.\Are you all ready?\You look pretty exhausted.\Well, sure I am. response:	I never thought there'd be this many people.
context: Don't worry about it.\If push comes to shove, I'll lead the way.\Everybody...\It's time to go.\Are you all ready?\You look pretty exhausted.\Well, sure I am.\I never thought there'd be this many people. response:	I hate to say this... but I thought your family had no money?
context: If push comes to shove, I'll lead the way.\Everybody...\It's time to go.\Are you all ready?\You look pretty exhausted.\Well, sure I am.\I never thought there'd be this many people.\I hate to say this... but I thought your family had no money? response:	This country may have money to spend on me,
context: Everybody...\It's time to go.\Are you all ready?\You look pretty exhausted.\Well, sure I am.\I never thought there'd be this many people.\I hate to say this... but I thought your family had no money?\This country may have money to spend on me, response:	but I have none to use myself.
context: It's time to go.\Are you all ready?\You look pretty exhausted.\Well, sure I am.\I never thought there'd be this many people.\I hate to say this... but I thought your family had no money?\This country may have money to spend on me,\but I have none to use myself. response:	Besides, my brother isn't like me.
context: Are you all ready?\You look pretty exhausted.\Well, sure I am.\I never thought there'd be this many people.\I hate to say this... but I thought your family had no money?\This country may have money to spend on me,\but I have none to use myself.\Besides, my brother isn't like me. response:	Not like you?
