context: Oh, no! Jellal's been brought back to life! response:	But...
context: Here I go!\Sounds like fun!\You're challenging me to a race?\There ain't no rules, so you'd better be prepared!\You've got some nice style for being a goody-two-shoes from an official guild!\Don't underestimate Fairy Tail!\Ice Make Lance!\You're still too slow! response:	Damn it, it's hard to aim!
context: Sounds like fun!\You're challenging me to a race?\There ain't no rules, so you'd better be prepared!\You've got some nice style for being a goody-two-shoes from an official guild!\Don't underestimate Fairy Tail!\Ice Make Lance!\You're still too slow!\Damn it, it's hard to aim! response:	Do you really have the speed to pass me?
context: You're challenging me to a race?\There ain't no rules, so you'd better be prepared!\You've got some nice style for being a goody-two-shoes from an official guild!\Don't underestimate Fairy Tail!\Ice Make Lance!\You're still too slow!\Damn it, it's hard to aim!\Do you really have the speed to pass me? response:	High Side Rush!
context: There ain't no rules, so you'd better be prepared!\You've got some nice style for being a goody-two-shoes from an official guild!\Don't underestimate Fairy Tail!\Ice Make Lance!\You're still too slow!\Damn it, it's hard to aim!\Do you really have the speed to pass me?\High Side Rush! response:	Tires?
context: You've got some nice style for being a goody-two-shoes from an official guild!\Don't underestimate Fairy Tail!\Ice Make Lance!\You're still too slow!\Damn it, it's hard to aim!\Do you really have the speed to pass me?\High Side Rush!\Tires? response:	Not bad.
context: Don't underestimate Fairy Tail!\Ice Make Lance!\You're still too slow!\Damn it, it's hard to aim!\Do you really have the speed to pass me?\High Side Rush!\Tires?\Not bad. response:	But the Dead Grand Prix has just gotten started!
context: Ice Make Lance!\You're still too slow!\Damn it, it's hard to aim!\Do you really have the speed to pass me?\High Side Rush!\Tires?\Not bad.\But the Dead Grand Prix has just gotten started! response:	There! Try getting past this!
context: You're still too slow!\Damn it, it's hard to aim!\Do you really have the speed to pass me?\High Side Rush!\Tires?\Not bad.\But the Dead Grand Prix has just gotten started!\There! Try getting past this! response:	Damn it, this is nuts!
context: Damn it, it's hard to aim!\Do you really have the speed to pass me?\High Side Rush!\Tires?\Not bad.\But the Dead Grand Prix has just gotten started!\There! Try getting past this!\Damn it, this is nuts! response:	What's the matter, hot stuff?
context: Do you really have the speed to pass me?\High Side Rush!\Tires?\Not bad.\But the Dead Grand Prix has just gotten started!\There! Try getting past this!\Damn it, this is nuts!\What's the matter, hot stuff? response:	I can't lose! For Erza!
context: High Side Rush!\Tires?\Not bad.\But the Dead Grand Prix has just gotten started!\There! Try getting past this!\Damn it, this is nuts!\What's the matter, hot stuff?\I can't lose! For Erza! response:	I wonder what the explosion was just now?
context: Tires?\Not bad.\But the Dead Grand Prix has just gotten started!\There! Try getting past this!\Damn it, this is nuts!\What's the matter, hot stuff?\I can't lose! For Erza!\I wonder what the explosion was just now? response:	A newcomer?
context: Not bad.\But the Dead Grand Prix has just gotten started!\There! Try getting past this!\Damn it, this is nuts!\What's the matter, hot stuff?\I can't lose! For Erza!\I wonder what the explosion was just now?\A newcomer? response:	No...
context: But the Dead Grand Prix has just gotten started!\There! Try getting past this!\Damn it, this is nuts!\What's the matter, hot stuff?\I can't lose! For Erza!\I wonder what the explosion was just now?\A newcomer?\No... response:	Lyon-sama, that's...
context: There! Try getting past this!\Damn it, this is nuts!\What's the matter, hot stuff?\I can't lose! For Erza!\I wonder what the explosion was just now?\A newcomer?\No...\Lyon-sama, that's... response:	Oracion Seis!
context: Damn it, this is nuts!\What's the matter, hot stuff?\I can't lose! For Erza!\I wonder what the explosion was just now?\A newcomer?\No...\Lyon-sama, that's...\Oracion Seis! response:	Lyon!
context: What's the matter, hot stuff?\I can't lose! For Erza!\I wonder what the explosion was just now?\A newcomer?\No...\Lyon-sama, that's...\Oracion Seis!\Lyon! response:	Gray!
context: I can't lose! For Erza!\I wonder what the explosion was just now?\A newcomer?\No...\Lyon-sama, that's...\Oracion Seis!\Lyon!\Gray! response:	Perfect timing! Get on!
context: I wonder what the explosion was just now?\A newcomer?\No...\Lyon-sama, that's...\Oracion Seis!\Lyon!\Gray!\Perfect timing! Get on! response:	What?
context: A newcomer?\No...\Lyon-sama, that's...\Oracion Seis!\Lyon!\Gray!\Perfect timing! Get on!\What? response:	Just get on already!
context: No...\Lyon-sama, that's...\Oracion Seis!\Lyon!\Gray!\Perfect timing! Get on!\What?\Just get on already! response:	Lyon-sama?
context: Lyon-sama, that's...\Oracion Seis!\Lyon!\Gray!\Perfect timing! Get on!\What?\Just get on already!\Lyon-sama? response:	Don't worry! Stay here on standby!
context: Oracion Seis!\Lyon!\Gray!\Perfect timing! Get on!\What?\Just get on already!\Lyon-sama?\Don't worry! Stay here on standby! response:	Standby?
context: Lyon!\Gray!\Perfect timing! Get on!\What?\Just get on already!\Lyon-sama?\Don't worry! Stay here on standby!\Standby? response:	What other choice do I have?
context: Gray!\Perfect timing! Get on!\What?\Just get on already!\Lyon-sama?\Don't worry! Stay here on standby!\Standby?\What other choice do I have? response:	Gray, where's Wendy?
context: Perfect timing! Get on!\What?\Just get on already!\Lyon-sama?\Don't worry! Stay here on standby!\Standby?\What other choice do I have?\Gray, where's Wendy? response:	Don't worry. Natsu saved her.
context: What?\Just get on already!\Lyon-sama?\Don't worry! Stay here on standby!\Standby?\What other choice do I have?\Gray, where's Wendy?\Don't worry. Natsu saved her. response:	I see. Impressive.
context: Just get on already!\Lyon-sama?\Don't worry! Stay here on standby!\Standby?\What other choice do I have?\Gray, where's Wendy?\Don't worry. Natsu saved her.\I see. Impressive. response:	Anyway, can you get him? I can't use magic well while I'm drivin' this thing.
context: Lyon-sama?\Don't worry! Stay here on standby!\Standby?\What other choice do I have?\Gray, where's Wendy?\Don't worry. Natsu saved her.\I see. Impressive.\Anyway, can you get him? I can't use magic well while I'm drivin' this thing. response:	Well, you just watch real carefully.
context: Don't worry! Stay here on standby!\Standby?\What other choice do I have?\Gray, where's Wendy?\Don't worry. Natsu saved her.\I see. Impressive.\Anyway, can you get him? I can't use magic well while I'm drivin' this thing.\Well, you just watch real carefully. response:	I'll show you how creation magic is done!
context: Standby?\What other choice do I have?\Gray, where's Wendy?\Don't worry. Natsu saved her.\I see. Impressive.\Anyway, can you get him? I can't use magic well while I'm drivin' this thing.\Well, you just watch real carefully.\I'll show you how creation magic is done! response:	Put your money where your mouth is!
context: What other choice do I have?\Gray, where's Wendy?\Don't worry. Natsu saved her.\I see. Impressive.\Anyway, can you get him? I can't use magic well while I'm drivin' this thing.\Well, you just watch real carefully.\I'll show you how creation magic is done!\Put your money where your mouth is! response:	Here I go.
context: Gray, where's Wendy?\Don't worry. Natsu saved her.\I see. Impressive.\Anyway, can you get him? I can't use magic well while I'm drivin' this thing.\Well, you just watch real carefully.\I'll show you how creation magic is done!\Put your money where your mouth is!\Here I go. response:	Pitiful.
context: Don't worry. Natsu saved her.\I see. Impressive.\Anyway, can you get him? I can't use magic well while I'm drivin' this thing.\Well, you just watch real carefully.\I'll show you how creation magic is done!\Put your money where your mouth is!\Here I go.\Pitiful. response:	You still use both hands when you use creation magic?
context: I see. Impressive.\Anyway, can you get him? I can't use magic well while I'm drivin' this thing.\Well, you just watch real carefully.\I'll show you how creation magic is done!\Put your money where your mouth is!\Here I go.\Pitiful.\You still use both hands when you use creation magic? response:	Lyon... You're using two hands?
context: Anyway, can you get him? I can't use magic well while I'm drivin' this thing.\Well, you just watch real carefully.\I'll show you how creation magic is done!\Put your money where your mouth is!\Here I go.\Pitiful.\You still use both hands when you use creation magic?\Lyon... You're using two hands? response:	It's how Ul taught us, right?
context: Well, you just watch real carefully.\I'll show you how creation magic is done!\Put your money where your mouth is!\Here I go.\Pitiful.\You still use both hands when you use creation magic?\Lyon... You're using two hands?\It's how Ul taught us, right? response:	Ice Make...
context: I'll show you how creation magic is done!\Put your money where your mouth is!\Here I go.\Pitiful.\You still use both hands when you use creation magic?\Lyon... You're using two hands?\It's how Ul taught us, right?\Ice Make... response:	Eagle!
context: Put your money where your mouth is!\Here I go.\Pitiful.\You still use both hands when you use creation magic?\Lyon... You're using two hands?\It's how Ul taught us, right?\Ice Make...\Eagle! response:	You get him?
context: Here I go.\Pitiful.\You still use both hands when you use creation magic?\Lyon... You're using two hands?\It's how Ul taught us, right?\Ice Make...\Eagle!\You get him? response:	No... There's no reaction.
context: Pitiful.\You still use both hands when you use creation magic?\Lyon... You're using two hands?\It's how Ul taught us, right?\Ice Make...\Eagle!\You get him?\No... There's no reaction. response:	Enough playing around.
context: You still use both hands when you use creation magic?\Lyon... You're using two hands?\It's how Ul taught us, right?\Ice Make...\Eagle!\You get him?\No... There's no reaction.\Enough playing around. response:	Ice Make...
context: Lyon... You're using two hands?\It's how Ul taught us, right?\Ice Make...\Eagle!\You get him?\No... There's no reaction.\Enough playing around.\Ice Make... response:	Ice Make...
context: It's how Ul taught us, right?\Ice Make...\Eagle!\You get him?\No... There's no reaction.\Enough playing around.\Ice Make...\Ice Make... response:	Ape!
context: Ice Make...\Eagle!\You get him?\No... There's no reaction.\Enough playing around.\Ice Make...\Ice Make...\Ape! response:	Hammer!
context: Eagle!\You get him?\No... There's no reaction.\Enough playing around.\Ice Make...\Ice Make...\Ape!\Hammer! response:	That's some speedy creation magic you have there.
context: You get him?\No... There's no reaction.\Enough playing around.\Ice Make...\Ice Make...\Ape!\Hammer!\That's some speedy creation magic you have there. response:	Fast is good!
context: No... There's no reaction.\Enough playing around.\Ice Make...\Ice Make...\Ape!\Hammer!\That's some speedy creation magic you have there.\Fast is good! response:	But you're not there yet!
context: Enough playing around.\Ice Make...\Ice Make...\Ape!\Hammer!\That's some speedy creation magic you have there.\Fast is good!\But you're not there yet! response:	You just can't catch up to my speed.
context: Ice Make...\Ice Make...\Ape!\Hammer!\That's some speedy creation magic you have there.\Fast is good!\But you're not there yet!\You just can't catch up to my speed. response:	I can't hit him!
context: Ice Make...\Ape!\Hammer!\That's some speedy creation magic you have there.\Fast is good!\But you're not there yet!\You just can't catch up to my speed.\I can't hit him! response:	Calm yourself, Gray! He's at 4 o'clock!
context: Ape!\Hammer!\That's some speedy creation magic you have there.\Fast is good!\But you're not there yet!\You just can't catch up to my speed.\I can't hit him!\Calm yourself, Gray! He's at 4 o'clock! response:	If you concentrate, you can follow anyone!
context: Hammer!\That's some speedy creation magic you have there.\Fast is good!\But you're not there yet!\You just can't catch up to my speed.\I can't hit him!\Calm yourself, Gray! He's at 4 o'clock!\If you concentrate, you can follow anyone! response:	Concentrate, huh?
context: That's some speedy creation magic you have there.\Fast is good!\But you're not there yet!\You just can't catch up to my speed.\I can't hit him!\Calm yourself, Gray! He's at 4 o'clock!\If you concentrate, you can follow anyone!\Concentrate, huh? response:	Okay then...
context: Fast is good!\But you're not there yet!\You just can't catch up to my speed.\I can't hit him!\Calm yourself, Gray! He's at 4 o'clock!\If you concentrate, you can follow anyone!\Concentrate, huh?\Okay then... response:	Let's do this, Lyon!
context: But you're not there yet!\You just can't catch up to my speed.\I can't hit him!\Calm yourself, Gray! He's at 4 o'clock!\If you concentrate, you can follow anyone!\Concentrate, huh?\Okay then...\Let's do this, Lyon! response:	Fire on my mark, and don't hold back!
context: You just can't catch up to my speed.\I can't hit him!\Calm yourself, Gray! He's at 4 o'clock!\If you concentrate, you can follow anyone!\Concentrate, huh?\Okay then...\Let's do this, Lyon!\Fire on my mark, and don't hold back! response:	Why did they strip? And damn, that was fast.
context: I can't hit him!\Calm yourself, Gray! He's at 4 o'clock!\If you concentrate, you can follow anyone!\Concentrate, huh?\Okay then...\Let's do this, Lyon!\Fire on my mark, and don't hold back!\Why did they strip? And damn, that was fast. response:	Why did he take off his clothes?
context: Calm yourself, Gray! He's at 4 o'clock!\If you concentrate, you can follow anyone!\Concentrate, huh?\Okay then...\Let's do this, Lyon!\Fire on my mark, and don't hold back!\Why did they strip? And damn, that was fast.\Why did he take off his clothes? response:	Is that also...love?
context: If you concentrate, you can follow anyone!\Concentrate, huh?\Okay then...\Let's do this, Lyon!\Fire on my mark, and don't hold back!\Why did they strip? And damn, that was fast.\Why did he take off his clothes?\Is that also...love? response:	Now! 50 meters in front!
context: Concentrate, huh?\Okay then...\Let's do this, Lyon!\Fire on my mark, and don't hold back!\Why did they strip? And damn, that was fast.\Why did he take off his clothes?\Is that also...love?\Now! 50 meters in front! response:	I see you!
context: Okay then...\Let's do this, Lyon!\Fire on my mark, and don't hold back!\Why did they strip? And damn, that was fast.\Why did he take off his clothes?\Is that also...love?\Now! 50 meters in front!\I see you! response:	Ice Geyser!
context: Let's do this, Lyon!\Fire on my mark, and don't hold back!\Why did they strip? And damn, that was fast.\Why did he take off his clothes?\Is that also...love?\Now! 50 meters in front!\I see you!\Ice Geyser! response:	Snow Dragon!
context: Fire on my mark, and don't hold back!\Why did they strip? And damn, that was fast.\Why did he take off his clothes?\Is that also...love?\Now! 50 meters in front!\I see you!\Ice Geyser!\Snow Dragon! response:	Damn it!
context: Why did they strip? And damn, that was fast.\Why did he take off his clothes?\Is that also...love?\Now! 50 meters in front!\I see you!\Ice Geyser!\Snow Dragon!\Damn it! response:	He's sped up even faster!
context: Why did he take off his clothes?\Is that also...love?\Now! 50 meters in front!\I see you!\Ice Geyser!\Snow Dragon!\Damn it!\He's sped up even faster! response:	What's the matter? I'm over here!
context: Is that also...love?\Now! 50 meters in front!\I see you!\Ice Geyser!\Snow Dragon!\Damn it!\He's sped up even faster!\What's the matter? I'm over here! response:	You'll never hit me with those attacks. Not in your entire life...
context: Now! 50 meters in front!\I see you!\Ice Geyser!\Snow Dragon!\Damn it!\He's sped up even faster!\What's the matter? I'm over here!\You'll never hit me with those attacks. Not in your entire life... response:	No one can keep up with my speed.
context: I see you!\Ice Geyser!\Snow Dragon!\Damn it!\He's sped up even faster!\What's the matter? I'm over here!\You'll never hit me with those attacks. Not in your entire life...\No one can keep up with my speed. response:	He's strong... Is this what Oracion Seis really is?
context: Ice Geyser!\Snow Dragon!\Damn it!\He's sped up even faster!\What's the matter? I'm over here!\You'll never hit me with those attacks. Not in your entire life...\No one can keep up with my speed.\He's strong... Is this what Oracion Seis really is? response:	Now, I need to get around to finishing you off,
context: Snow Dragon!\Damn it!\He's sped up even faster!\What's the matter? I'm over here!\You'll never hit me with those attacks. Not in your entire life...\No one can keep up with my speed.\He's strong... Is this what Oracion Seis really is?\Now, I need to get around to finishing you off, response:	and bringing back that girl.
context: Damn it!\He's sped up even faster!\What's the matter? I'm over here!\You'll never hit me with those attacks. Not in your entire life...\No one can keep up with my speed.\He's strong... Is this what Oracion Seis really is?\Now, I need to get around to finishing you off,\and bringing back that girl. response:	Lend me your ear, Gray.
context: He's sped up even faster!\What's the matter? I'm over here!\You'll never hit me with those attacks. Not in your entire life...\No one can keep up with my speed.\He's strong... Is this what Oracion Seis really is?\Now, I need to get around to finishing you off,\and bringing back that girl.\Lend me your ear, Gray. response:	I've found his weakness.
context: What's the matter? I'm over here!\You'll never hit me with those attacks. Not in your entire life...\No one can keep up with my speed.\He's strong... Is this what Oracion Seis really is?\Now, I need to get around to finishing you off,\and bringing back that girl.\Lend me your ear, Gray.\I've found his weakness. response:	The results of the investigation are in.
context: You'll never hit me with those attacks. Not in your entire life...\No one can keep up with my speed.\He's strong... Is this what Oracion Seis really is?\Now, I need to get around to finishing you off,\and bringing back that girl.\Lend me your ear, Gray.\I've found his weakness.\The results of the investigation are in. response:	About Oracion Seis?
context: No one can keep up with my speed.\He's strong... Is this what Oracion Seis really is?\Now, I need to get around to finishing you off,\and bringing back that girl.\Lend me your ear, Gray.\I've found his weakness.\The results of the investigation are in.\About Oracion Seis? response:	It's possible that Brain was once part of the Bureau of Magic.
context: He's strong... Is this what Oracion Seis really is?\Now, I need to get around to finishing you off,\and bringing back that girl.\Lend me your ear, Gray.\I've found his weakness.\The results of the investigation are in.\About Oracion Seis?\It's possible that Brain was once part of the Bureau of Magic. response:	The Bureau of Magic? Then, what's his true identity?
context: Now, I need to get around to finishing you off,\and bringing back that girl.\Lend me your ear, Gray.\I've found his weakness.\The results of the investigation are in.\About Oracion Seis?\It's possible that Brain was once part of the Bureau of Magic.\The Bureau of Magic? Then, what's his true identity? response:	That's still under investigation.
context: and bringing back that girl.\Lend me your ear, Gray.\I've found his weakness.\The results of the investigation are in.\About Oracion Seis?\It's possible that Brain was once part of the Bureau of Magic.\The Bureau of Magic? Then, what's his true identity?\That's still under investigation. response:	What worries me is the R-system, in other words, the Tower of Heaven.
context: Lend me your ear, Gray.\I've found his weakness.\The results of the investigation are in.\About Oracion Seis?\It's possible that Brain was once part of the Bureau of Magic.\The Bureau of Magic? Then, what's his true identity?\That's still under investigation.\What worries me is the R-system, in other words, the Tower of Heaven. response:	This seems to have something to do with it.
context: I've found his weakness.\The results of the investigation are in.\About Oracion Seis?\It's possible that Brain was once part of the Bureau of Magic.\The Bureau of Magic? Then, what's his true identity?\That's still under investigation.\What worries me is the R-system, in other words, the Tower of Heaven.\This seems to have something to do with it. response:	I've got reports indicating that.
context: The results of the investigation are in.\About Oracion Seis?\It's possible that Brain was once part of the Bureau of Magic.\The Bureau of Magic? Then, what's his true identity?\That's still under investigation.\What worries me is the R-system, in other words, the Tower of Heaven.\This seems to have something to do with it.\I've got reports indicating that. response:	There's a connection to Jellal...
context: About Oracion Seis?\It's possible that Brain was once part of the Bureau of Magic.\The Bureau of Magic? Then, what's his true identity?\That's still under investigation.\What worries me is the R-system, in other words, the Tower of Heaven.\This seems to have something to do with it.\I've got reports indicating that.\There's a connection to Jellal... response:	That's what you mean, right?
context: It's possible that Brain was once part of the Bureau of Magic.\The Bureau of Magic? Then, what's his true identity?\That's still under investigation.\What worries me is the R-system, in other words, the Tower of Heaven.\This seems to have something to do with it.\I've got reports indicating that.\There's a connection to Jellal...\That's what you mean, right? response:	Yes.
context: The Bureau of Magic? Then, what's his true identity?\That's still under investigation.\What worries me is the R-system, in other words, the Tower of Heaven.\This seems to have something to do with it.\I've got reports indicating that.\There's a connection to Jellal...\That's what you mean, right?\Yes. response:	But I don't know...
context: That's still under investigation.\What worries me is the R-system, in other words, the Tower of Heaven.\This seems to have something to do with it.\I've got reports indicating that.\There's a connection to Jellal...\That's what you mean, right?\Yes.\But I don't know... response:	What's Brain trying to accomplish with magic?
context: What worries me is the R-system, in other words, the Tower of Heaven.\This seems to have something to do with it.\I've got reports indicating that.\There's a connection to Jellal...\That's what you mean, right?\Yes.\But I don't know...\What's Brain trying to accomplish with magic? response:	It'll be okay.
context: This seems to have something to do with it.\I've got reports indicating that.\There's a connection to Jellal...\That's what you mean, right?\Yes.\But I don't know...\What's Brain trying to accomplish with magic?\It'll be okay. response:	Natsu and the others are on the scene.
context: I've got reports indicating that.\There's a connection to Jellal...\That's what you mean, right?\Yes.\But I don't know...\What's Brain trying to accomplish with magic?\It'll be okay.\Natsu and the others are on the scene. response:	So, I'm sure things will be fine.
context: There's a connection to Jellal...\That's what you mean, right?\Yes.\But I don't know...\What's Brain trying to accomplish with magic?\It'll be okay.\Natsu and the others are on the scene.\So, I'm sure things will be fine. response:	I suppose so.
context: That's what you mean, right?\Yes.\But I don't know...\What's Brain trying to accomplish with magic?\It'll be okay.\Natsu and the others are on the scene.\So, I'm sure things will be fine.\I suppose so. response:	It would be nice if they don't destroy things any more than necessary, though...
context: Yes.\But I don't know...\What's Brain trying to accomplish with magic?\It'll be okay.\Natsu and the others are on the scene.\So, I'm sure things will be fine.\I suppose so.\It would be nice if they don't destroy things any more than necessary, though... response:	That's what you're worried about?
context: But I don't know...\What's Brain trying to accomplish with magic?\It'll be okay.\Natsu and the others are on the scene.\So, I'm sure things will be fine.\I suppose so.\It would be nice if they don't destroy things any more than necessary, though...\That's what you're worried about? response:	Lyon-sama... What could he be talking about?
context: What's Brain trying to accomplish with magic?\It'll be okay.\Natsu and the others are on the scene.\So, I'm sure things will be fine.\I suppose so.\It would be nice if they don't destroy things any more than necessary, though...\That's what you're worried about?\Lyon-sama... What could he be talking about? response:	Having a strategy session? How pointless.
context: It'll be okay.\Natsu and the others are on the scene.\So, I'm sure things will be fine.\I suppose so.\It would be nice if they don't destroy things any more than necessary, though...\That's what you're worried about?\Lyon-sama... What could he be talking about?\Having a strategy session? How pointless. response:	Understand?
context: Natsu and the others are on the scene.\So, I'm sure things will be fine.\I suppose so.\It would be nice if they don't destroy things any more than necessary, though...\That's what you're worried about?\Lyon-sama... What could he be talking about?\Having a strategy session? How pointless.\Understand? response:	What?!
context: So, I'm sure things will be fine.\I suppose so.\It would be nice if they don't destroy things any more than necessary, though...\That's what you're worried about?\Lyon-sama... What could he be talking about?\Having a strategy session? How pointless.\Understand?\What?! response:	Just like I said.
context: I suppose so.\It would be nice if they don't destroy things any more than necessary, though...\That's what you're worried about?\Lyon-sama... What could he be talking about?\Having a strategy session? How pointless.\Understand?\What?!\Just like I said. response:	You are no longer needed!
context: It would be nice if they don't destroy things any more than necessary, though...\That's what you're worried about?\Lyon-sama... What could he be talking about?\Having a strategy session? How pointless.\Understand?\What?!\Just like I said.\You are no longer needed! response:	Hey, Lyon!
context: That's what you're worried about?\Lyon-sama... What could he be talking about?\Having a strategy session? How pointless.\Understand?\What?!\Just like I said.\You are no longer needed!\Hey, Lyon! response:	Damn you!
context: Lyon-sama... What could he be talking about?\Having a strategy session? How pointless.\Understand?\What?!\Just like I said.\You are no longer needed!\Hey, Lyon!\Damn you! response:	Lyon-sama, what are you doing?
context: Having a strategy session? How pointless.\Understand?\What?!\Just like I said.\You are no longer needed!\Hey, Lyon!\Damn you!\Lyon-sama, what are you doing? response:	God damn it! Let me go, Lyon!
context: Understand?\What?!\Just like I said.\You are no longer needed!\Hey, Lyon!\Damn you!\Lyon-sama, what are you doing?\God damn it! Let me go, Lyon! response:	Don't give me this crap!
context: What?!\Just like I said.\You are no longer needed!\Hey, Lyon!\Damn you!\Lyon-sama, what are you doing?\God damn it! Let me go, Lyon!\Don't give me this crap! response:	Just stay up there and watch, Gray!
context: Just like I said.\You are no longer needed!\Hey, Lyon!\Damn you!\Lyon-sama, what are you doing?\God damn it! Let me go, Lyon!\Don't give me this crap!\Just stay up there and watch, Gray! response:	Turning on your friend? That's harsh, man...
context: You are no longer needed!\Hey, Lyon!\Damn you!\Lyon-sama, what are you doing?\God damn it! Let me go, Lyon!\Don't give me this crap!\Just stay up there and watch, Gray!\Turning on your friend? That's harsh, man... response:	Please, don't get me wrong.
context: Hey, Lyon!\Damn you!\Lyon-sama, what are you doing?\God damn it! Let me go, Lyon!\Don't give me this crap!\Just stay up there and watch, Gray!\Turning on your friend? That's harsh, man...\Please, don't get me wrong. response:	He's not my friend.
context: Damn you!\Lyon-sama, what are you doing?\God damn it! Let me go, Lyon!\Don't give me this crap!\Just stay up there and watch, Gray!\Turning on your friend? That's harsh, man...\Please, don't get me wrong.\He's not my friend. response:	We just happened to have the same teacher.
context: Lyon-sama, what are you doing?\God damn it! Let me go, Lyon!\Don't give me this crap!\Just stay up there and watch, Gray!\Turning on your friend? That's harsh, man...\Please, don't get me wrong.\He's not my friend.\We just happened to have the same teacher. response:	That's all.
context: God damn it! Let me go, Lyon!\Don't give me this crap!\Just stay up there and watch, Gray!\Turning on your friend? That's harsh, man...\Please, don't get me wrong.\He's not my friend.\We just happened to have the same teacher.\That's all. response:	Why, you...
context: Don't give me this crap!\Just stay up there and watch, Gray!\Turning on your friend? That's harsh, man...\Please, don't get me wrong.\He's not my friend.\We just happened to have the same teacher.\That's all.\Why, you... response:	But Lyon-sama...
context: Just stay up there and watch, Gray!\Turning on your friend? That's harsh, man...\Please, don't get me wrong.\He's not my friend.\We just happened to have the same teacher.\That's all.\Why, you...\But Lyon-sama... response:	No complaining!
context: Turning on your friend? That's harsh, man...\Please, don't get me wrong.\He's not my friend.\We just happened to have the same teacher.\That's all.\Why, you...\But Lyon-sama...\No complaining! response:	Lamia Scale will be bagging this one!
context: Please, don't get me wrong.\He's not my friend.\We just happened to have the same teacher.\That's all.\Why, you...\But Lyon-sama...\No complaining!\Lamia Scale will be bagging this one! response:	Let's go, Sherry!
context: He's not my friend.\We just happened to have the same teacher.\That's all.\Why, you...\But Lyon-sama...\No complaining!\Lamia Scale will be bagging this one!\Let's go, Sherry! response:	Uh, sure.
context: We just happened to have the same teacher.\That's all.\Why, you...\But Lyon-sama...\No complaining!\Lamia Scale will be bagging this one!\Let's go, Sherry!\Uh, sure. response:	That overconfidence isn't going to help your chances.
context: That's all.\Why, you...\But Lyon-sama...\No complaining!\Lamia Scale will be bagging this one!\Let's go, Sherry!\Uh, sure.\That overconfidence isn't going to help your chances. response:	Well, your chances were zero to begin with anyway...
context: Why, you...\But Lyon-sama...\No complaining!\Lamia Scale will be bagging this one!\Let's go, Sherry!\Uh, sure.\That overconfidence isn't going to help your chances.\Well, your chances were zero to begin with anyway... response:	Yap-yap-yap, little doggy!
context: But Lyon-sama...\No complaining!\Lamia Scale will be bagging this one!\Let's go, Sherry!\Uh, sure.\That overconfidence isn't going to help your chances.\Well, your chances were zero to begin with anyway...\Yap-yap-yap, little doggy! response:	Doll Attack, Rock Doll!
context: No complaining!\Lamia Scale will be bagging this one!\Let's go, Sherry!\Uh, sure.\That overconfidence isn't going to help your chances.\Well, your chances were zero to begin with anyway...\Yap-yap-yap, little doggy!\Doll Attack, Rock Doll! response:	Nice power, but it lacks speed!
context: Lamia Scale will be bagging this one!\Let's go, Sherry!\Uh, sure.\That overconfidence isn't going to help your chances.\Well, your chances were zero to begin with anyway...\Yap-yap-yap, little doggy!\Doll Attack, Rock Doll!\Nice power, but it lacks speed! response:	Slow, slow!
context: Let's go, Sherry!\Uh, sure.\That overconfidence isn't going to help your chances.\Well, your chances were zero to begin with anyway...\Yap-yap-yap, little doggy!\Doll Attack, Rock Doll!\Nice power, but it lacks speed!\Slow, slow! response:	I can't see!
context: Uh, sure.\That overconfidence isn't going to help your chances.\Well, your chances were zero to begin with anyway...\Yap-yap-yap, little doggy!\Doll Attack, Rock Doll!\Nice power, but it lacks speed!\Slow, slow!\I can't see! response:	In that case... Wood Doll!
context: That overconfidence isn't going to help your chances.\Well, your chances were zero to begin with anyway...\Yap-yap-yap, little doggy!\Doll Attack, Rock Doll!\Nice power, but it lacks speed!\Slow, slow!\I can't see!\In that case... Wood Doll! response:	You can't catch me with magic like that!
context: Well, your chances were zero to begin with anyway...\Yap-yap-yap, little doggy!\Doll Attack, Rock Doll!\Nice power, but it lacks speed!\Slow, slow!\I can't see!\In that case... Wood Doll!\You can't catch me with magic like that! response:	Then how about this, I wonder?
context: Yap-yap-yap, little doggy!\Doll Attack, Rock Doll!\Nice power, but it lacks speed!\Slow, slow!\I can't see!\In that case... Wood Doll!\You can't catch me with magic like that!\Then how about this, I wonder? response:	Oh, crap!
context: Doll Attack, Rock Doll!\Nice power, but it lacks speed!\Slow, slow!\I can't see!\In that case... Wood Doll!\You can't catch me with magic like that!\Then how about this, I wonder?\Oh, crap! response:	He slipped out?
context: Nice power, but it lacks speed!\Slow, slow!\I can't see!\In that case... Wood Doll!\You can't catch me with magic like that!\Then how about this, I wonder?\Oh, crap!\He slipped out? response:	You're slow!
context: Slow, slow!\I can't see!\In that case... Wood Doll!\You can't catch me with magic like that!\Then how about this, I wonder?\Oh, crap!\He slipped out?\You're slow! response:	What are you, slow in the head?
context: I can't see!\In that case... Wood Doll!\You can't catch me with magic like that!\Then how about this, I wonder?\Oh, crap!\He slipped out?\You're slow!\What are you, slow in the head? response:	Oh, that's rich.
context: In that case... Wood Doll!\You can't catch me with magic like that!\Then how about this, I wonder?\Oh, crap!\He slipped out?\You're slow!\What are you, slow in the head?\Oh, that's rich. response:	You're the one that's slow in the head!
context: You can't catch me with magic like that!\Then how about this, I wonder?\Oh, crap!\He slipped out?\You're slow!\What are you, slow in the head?\Oh, that's rich.\You're the one that's slow in the head! response:	Your weak point is the weakness of your attacks!
