context: Vapor pressure stabilized. response:	It should work this time.
context: What the...?\Hey!\Is that you, Jake?\There's been a methane explosion!\So that's where the dust is coming from!\I'll take over here!\You go get some masks!\They're in Storeroom Three. response:	Three? That's all the way on the other side!
context: Hey!\Is that you, Jake?\There's been a methane explosion!\So that's where the dust is coming from!\I'll take over here!\You go get some masks!\They're in Storeroom Three.\Three? That's all the way on the other side! response:	Give me a break!
context: Is that you, Jake?\There's been a methane explosion!\So that's where the dust is coming from!\I'll take over here!\You go get some masks!\They're in Storeroom Three.\Three? That's all the way on the other side!\Give me a break! response:	I'm already beat from helping with the move!
context: There's been a methane explosion!\So that's where the dust is coming from!\I'll take over here!\You go get some masks!\They're in Storeroom Three.\Three? That's all the way on the other side!\Give me a break!\I'm already beat from helping with the move! response:	Miss Ange, all clear.
context: So that's where the dust is coming from!\I'll take over here!\You go get some masks!\They're in Storeroom Three.\Three? That's all the way on the other side!\Give me a break!\I'm already beat from helping with the move!\Miss Ange, all clear. response:	We'd better hurry.
context: I'll take over here!\You go get some masks!\They're in Storeroom Three.\Three? That's all the way on the other side!\Give me a break!\I'm already beat from helping with the move!\Miss Ange, all clear.\We'd better hurry. response:	We have about 20 minutes until they get back.
context: You go get some masks!\They're in Storeroom Three.\Three? That's all the way on the other side!\Give me a break!\I'm already beat from helping with the move!\Miss Ange, all clear.\We'd better hurry.\We have about 20 minutes until they get back. response:	Miss Ange, I've been thinking.
context: They're in Storeroom Three.\Three? That's all the way on the other side!\Give me a break!\I'm already beat from helping with the move!\Miss Ange, all clear.\We'd better hurry.\We have about 20 minutes until they get back.\Miss Ange, I've been thinking. response:	What?
context: Three? That's all the way on the other side!\Give me a break!\I'm already beat from helping with the move!\Miss Ange, all clear.\We'd better hurry.\We have about 20 minutes until they get back.\Miss Ange, I've been thinking.\What? response:	What do you think about Team Wildcat?
context: Give me a break!\I'm already beat from helping with the move!\Miss Ange, all clear.\We'd better hurry.\We have about 20 minutes until they get back.\Miss Ange, I've been thinking.\What?\What do you think about Team Wildcat? response:	They're so swift and fearless.
context: I'm already beat from helping with the move!\Miss Ange, all clear.\We'd better hurry.\We have about 20 minutes until they get back.\Miss Ange, I've been thinking.\What?\What do you think about Team Wildcat?\They're so swift and fearless. response:	But they look adorable!
context: Miss Ange, all clear.\We'd better hurry.\We have about 20 minutes until they get back.\Miss Ange, I've been thinking.\What?\What do you think about Team Wildcat?\They're so swift and fearless.\But they look adorable! response:	Would you... change your voice back?
context: We'd better hurry.\We have about 20 minutes until they get back.\Miss Ange, I've been thinking.\What?\What do you think about Team Wildcat?\They're so swift and fearless.\But they look adorable!\Would you... change your voice back? response:	It's unsettling.
context: We have about 20 minutes until they get back.\Miss Ange, I've been thinking.\What?\What do you think about Team Wildcat?\They're so swift and fearless.\But they look adorable!\Would you... change your voice back?\It's unsettling. response:	How do you do, Grandmother?
context: Miss Ange, I've been thinking.\What?\What do you think about Team Wildcat?\They're so swift and fearless.\But they look adorable!\Would you... change your voice back?\It's unsettling.\How do you do, Grandmother? response:	We've not seen you since the ceremony at the music academy.
context: What?\What do you think about Team Wildcat?\They're so swift and fearless.\But they look adorable!\Would you... change your voice back?\It's unsettling.\How do you do, Grandmother?\We've not seen you since the ceremony at the music academy. response:	How is school?
context: What do you think about Team Wildcat?\They're so swift and fearless.\But they look adorable!\Would you... change your voice back?\It's unsettling.\How do you do, Grandmother?\We've not seen you since the ceremony at the music academy.\How is school? response:	I've made some good friends.
context: They're so swift and fearless.\But they look adorable!\Would you... change your voice back?\It's unsettling.\How do you do, Grandmother?\We've not seen you since the ceremony at the music academy.\How is school?\I've made some good friends. response:	That's good to hear.
context: But they look adorable!\Would you... change your voice back?\It's unsettling.\How do you do, Grandmother?\We've not seen you since the ceremony at the music academy.\How is school?\I've made some good friends.\That's good to hear. response:	Friends can be life-long treasures.
context: Would you... change your voice back?\It's unsettling.\How do you do, Grandmother?\We've not seen you since the ceremony at the music academy.\How is school?\I've made some good friends.\That's good to hear.\Friends can be life-long treasures. response:	Yes, Grandmother.
context: It's unsettling.\How do you do, Grandmother?\We've not seen you since the ceremony at the music academy.\How is school?\I've made some good friends.\That's good to hear.\Friends can be life-long treasures.\Yes, Grandmother. response:	What do you think of the princess?
context: How do you do, Grandmother?\We've not seen you since the ceremony at the music academy.\How is school?\I've made some good friends.\That's good to hear.\Friends can be life-long treasures.\Yes, Grandmother.\What do you think of the princess? response:	She is not what I imagined.
context: We've not seen you since the ceremony at the music academy.\How is school?\I've made some good friends.\That's good to hear.\Friends can be life-long treasures.\Yes, Grandmother.\What do you think of the princess?\She is not what I imagined. response:	She's royalty, but she speaks to us as equals.
context: How is school?\I've made some good friends.\That's good to hear.\Friends can be life-long treasures.\Yes, Grandmother.\What do you think of the princess?\She is not what I imagined.\She's royalty, but she speaks to us as equals. response:	She even tells jokes.
context: I've made some good friends.\That's good to hear.\Friends can be life-long treasures.\Yes, Grandmother.\What do you think of the princess?\She is not what I imagined.\She's royalty, but she speaks to us as equals.\She even tells jokes. response:	But none of them are very funny.
context: That's good to hear.\Friends can be life-long treasures.\Yes, Grandmother.\What do you think of the princess?\She is not what I imagined.\She's royalty, but she speaks to us as equals.\She even tells jokes.\But none of them are very funny. response:	She's full of curiosity, and always giving Ange trouble.
context: Friends can be life-long treasures.\Yes, Grandmother.\What do you think of the princess?\She is not what I imagined.\She's royalty, but she speaks to us as equals.\She even tells jokes.\But none of them are very funny.\She's full of curiosity, and always giving Ange trouble. response:	Chise.
context: Yes, Grandmother.\What do you think of the princess?\She is not what I imagined.\She's royalty, but she speaks to us as equals.\She even tells jokes.\But none of them are very funny.\She's full of curiosity, and always giving Ange trouble.\Chise. response:	I trust they don't suspect you?
context: What do you think of the princess?\She is not what I imagined.\She's royalty, but she speaks to us as equals.\She even tells jokes.\But none of them are very funny.\She's full of curiosity, and always giving Ange trouble.\Chise.\I trust they don't suspect you? response:	They removed me from the infiltration team.
context: She is not what I imagined.\She's royalty, but she speaks to us as equals.\She even tells jokes.\But none of them are very funny.\She's full of curiosity, and always giving Ange trouble.\Chise.\I trust they don't suspect you?\They removed me from the infiltration team. response:	We are here to find out whether we can trust the Kingdom or the Commonwealth.
context: She's royalty, but she speaks to us as equals.\She even tells jokes.\But none of them are very funny.\She's full of curiosity, and always giving Ange trouble.\Chise.\I trust they don't suspect you?\They removed me from the infiltration team.\We are here to find out whether we can trust the Kingdom or the Commonwealth. response:	We must choose which to ally ourselves with.
context: She even tells jokes.\But none of them are very funny.\She's full of curiosity, and always giving Ange trouble.\Chise.\I trust they don't suspect you?\They removed me from the infiltration team.\We are here to find out whether we can trust the Kingdom or the Commonwealth.\We must choose which to ally ourselves with. response:	Yes, Sir.
context: But none of them are very funny.\She's full of curiosity, and always giving Ange trouble.\Chise.\I trust they don't suspect you?\They removed me from the infiltration team.\We are here to find out whether we can trust the Kingdom or the Commonwealth.\We must choose which to ally ourselves with.\Yes, Sir. response:	I understand.
context: She's full of curiosity, and always giving Ange trouble.\Chise.\I trust they don't suspect you?\They removed me from the infiltration team.\We are here to find out whether we can trust the Kingdom or the Commonwealth.\We must choose which to ally ourselves with.\Yes, Sir.\I understand. response:	Your Majesty, I believe it's time.
context: Chise.\I trust they don't suspect you?\They removed me from the infiltration team.\We are here to find out whether we can trust the Kingdom or the Commonwealth.\We must choose which to ally ourselves with.\Yes, Sir.\I understand.\Your Majesty, I believe it's time. response:	For what?
context: I trust they don't suspect you?\They removed me from the infiltration team.\We are here to find out whether we can trust the Kingdom or the Commonwealth.\We must choose which to ally ourselves with.\Yes, Sir.\I understand.\Your Majesty, I believe it's time.\For what? response:	To discuss marriage.
context: They removed me from the infiltration team.\We are here to find out whether we can trust the Kingdom or the Commonwealth.\We must choose which to ally ourselves with.\Yes, Sir.\I understand.\Your Majesty, I believe it's time.\For what?\To discuss marriage. response:	Mine?
context: We are here to find out whether we can trust the Kingdom or the Commonwealth.\We must choose which to ally ourselves with.\Yes, Sir.\I understand.\Your Majesty, I believe it's time.\For what?\To discuss marriage.\Mine? response:	We told you, it's too soon.
context: We must choose which to ally ourselves with.\Yes, Sir.\I understand.\Your Majesty, I believe it's time.\For what?\To discuss marriage.\Mine?\We told you, it's too soon. response:	Such matters can wait until after she has graduated.
context: Yes, Sir.\I understand.\Your Majesty, I believe it's time.\For what?\To discuss marriage.\Mine?\We told you, it's too soon.\Such matters can wait until after she has graduated. response:	I beg your pardon, Majesty,
context: I understand.\Your Majesty, I believe it's time.\For what?\To discuss marriage.\Mine?\We told you, it's too soon.\Such matters can wait until after she has graduated.\I beg your pardon, Majesty, response:	but strengthening our relationship with Moscow will lead to the stabilization of all of Europe.
context: Your Majesty, I believe it's time.\For what?\To discuss marriage.\Mine?\We told you, it's too soon.\Such matters can wait until after she has graduated.\I beg your pardon, Majesty,\but strengthening our relationship with Moscow will lead to the stabilization of all of Europe. response:	And to that end you would have Us sacrifice Our own granddaughter?
context: For what?\To discuss marriage.\Mine?\We told you, it's too soon.\Such matters can wait until after she has graduated.\I beg your pardon, Majesty,\but strengthening our relationship with Moscow will lead to the stabilization of all of Europe.\And to that end you would have Us sacrifice Our own granddaughter? response:	Binding our countries through marriage will squelch the possibility of a world war.
context: To discuss marriage.\Mine?\We told you, it's too soon.\Such matters can wait until after she has graduated.\I beg your pardon, Majesty,\but strengthening our relationship with Moscow will lead to the stabilization of all of Europe.\And to that end you would have Us sacrifice Our own granddaughter?\Binding our countries through marriage will squelch the possibility of a world war. response:	From here on, I go alone.
context: Mine?\We told you, it's too soon.\Such matters can wait until after she has graduated.\I beg your pardon, Majesty,\but strengthening our relationship with Moscow will lead to the stabilization of all of Europe.\And to that end you would have Us sacrifice Our own granddaughter?\Binding our countries through marriage will squelch the possibility of a world war.\From here on, I go alone. response:	If I'm not back in ten minutes, you go back to the others.
context: We told you, it's too soon.\Such matters can wait until after she has graduated.\I beg your pardon, Majesty,\but strengthening our relationship with Moscow will lead to the stabilization of all of Europe.\And to that end you would have Us sacrifice Our own granddaughter?\Binding our countries through marriage will squelch the possibility of a world war.\From here on, I go alone.\If I'm not back in ten minutes, you go back to the others. response:	All right.
context: Such matters can wait until after she has graduated.\I beg your pardon, Majesty,\but strengthening our relationship with Moscow will lead to the stabilization of all of Europe.\And to that end you would have Us sacrifice Our own granddaughter?\Binding our countries through marriage will squelch the possibility of a world war.\From here on, I go alone.\If I'm not back in ten minutes, you go back to the others.\All right. response:	Please be careful.
context: I beg your pardon, Majesty,\but strengthening our relationship with Moscow will lead to the stabilization of all of Europe.\And to that end you would have Us sacrifice Our own granddaughter?\Binding our countries through marriage will squelch the possibility of a world war.\From here on, I go alone.\If I'm not back in ten minutes, you go back to the others.\All right.\Please be careful. response:	Oh?
context: but strengthening our relationship with Moscow will lead to the stabilization of all of Europe.\And to that end you would have Us sacrifice Our own granddaughter?\Binding our countries through marriage will squelch the possibility of a world war.\From here on, I go alone.\If I'm not back in ten minutes, you go back to the others.\All right.\Please be careful.\Oh? response:	Did you leave Ange and Beatrice?
context: And to that end you would have Us sacrifice Our own granddaughter?\Binding our countries through marriage will squelch the possibility of a world war.\From here on, I go alone.\If I'm not back in ten minutes, you go back to the others.\All right.\Please be careful.\Oh?\Did you leave Ange and Beatrice? response:	Yeah, well, you know...
context: Binding our countries through marriage will squelch the possibility of a world war.\From here on, I go alone.\If I'm not back in ten minutes, you go back to the others.\All right.\Please be careful.\Oh?\Did you leave Ange and Beatrice?\Yeah, well, you know... response:	Will they be all right?
context: From here on, I go alone.\If I'm not back in ten minutes, you go back to the others.\All right.\Please be careful.\Oh?\Did you leave Ange and Beatrice?\Yeah, well, you know...\Will they be all right? response:	You're worried?
context: If I'm not back in ten minutes, you go back to the others.\All right.\Please be careful.\Oh?\Did you leave Ange and Beatrice?\Yeah, well, you know...\Will they be all right?\You're worried? response:	Yes, of course.
context: All right.\Please be careful.\Oh?\Did you leave Ange and Beatrice?\Yeah, well, you know...\Will they be all right?\You're worried?\Yes, of course. response:	This is for your ears only.
context: Please be careful.\Oh?\Did you leave Ange and Beatrice?\Yeah, well, you know...\Will they be all right?\You're worried?\Yes, of course.\This is for your ears only. response:	This mission will deal a damaging blow to the Kingdom.
context: Oh?\Did you leave Ange and Beatrice?\Yeah, well, you know...\Will they be all right?\You're worried?\Yes, of course.\This is for your ears only.\This mission will deal a damaging blow to the Kingdom. response:	If Princess is a double agent, she's sure to take action.
context: Did you leave Ange and Beatrice?\Yeah, well, you know...\Will they be all right?\You're worried?\Yes, of course.\This is for your ears only.\This mission will deal a damaging blow to the Kingdom.\If Princess is a double agent, she's sure to take action. response:	You mean...?
context: Yeah, well, you know...\Will they be all right?\You're worried?\Yes, of course.\This is for your ears only.\This mission will deal a damaging blow to the Kingdom.\If Princess is a double agent, she's sure to take action.\You mean...? response:	We haven't abandoned the possibility that Princess is our enemy.
context: Will they be all right?\You're worried?\Yes, of course.\This is for your ears only.\This mission will deal a damaging blow to the Kingdom.\If Princess is a double agent, she's sure to take action.\You mean...?\We haven't abandoned the possibility that Princess is our enemy. response:	Is something the matter?
context: You're worried?\Yes, of course.\This is for your ears only.\This mission will deal a damaging blow to the Kingdom.\If Princess is a double agent, she's sure to take action.\You mean...?\We haven't abandoned the possibility that Princess is our enemy.\Is something the matter? response:	Oh, no. I was just wondering what would make a good team name.
context: Yes, of course.\This is for your ears only.\This mission will deal a damaging blow to the Kingdom.\If Princess is a double agent, she's sure to take action.\You mean...?\We haven't abandoned the possibility that Princess is our enemy.\Is something the matter?\Oh, no. I was just wondering what would make a good team name. response:	Miss Ange has been gone a long time.
context: This is for your ears only.\This mission will deal a damaging blow to the Kingdom.\If Princess is a double agent, she's sure to take action.\You mean...?\We haven't abandoned the possibility that Princess is our enemy.\Is something the matter?\Oh, no. I was just wondering what would make a good team name.\Miss Ange has been gone a long time. response:	No...
context: This mission will deal a damaging blow to the Kingdom.\If Princess is a double agent, she's sure to take action.\You mean...?\We haven't abandoned the possibility that Princess is our enemy.\Is something the matter?\Oh, no. I was just wondering what would make a good team name.\Miss Ange has been gone a long time.\No... response:	Was there a leak?
context: If Princess is a double agent, she's sure to take action.\You mean...?\We haven't abandoned the possibility that Princess is our enemy.\Is something the matter?\Oh, no. I was just wondering what would make a good team name.\Miss Ange has been gone a long time.\No...\Was there a leak? response:	No, even if there was...
context: You mean...?\We haven't abandoned the possibility that Princess is our enemy.\Is something the matter?\Oh, no. I was just wondering what would make a good team name.\Miss Ange has been gone a long time.\No...\Was there a leak?\No, even if there was... response:	This is some big equipment.
context: We haven't abandoned the possibility that Princess is our enemy.\Is something the matter?\Oh, no. I was just wondering what would make a good team name.\Miss Ange has been gone a long time.\No...\Was there a leak?\No, even if there was...\This is some big equipment. response:	This definitely would have been the research facility.
context: Is something the matter?\Oh, no. I was just wondering what would make a good team name.\Miss Ange has been gone a long time.\No...\Was there a leak?\No, even if there was...\This is some big equipment.\This definitely would have been the research facility. response:	Give me a break!
context: Oh, no. I was just wondering what would make a good team name.\Miss Ange has been gone a long time.\No...\Was there a leak?\No, even if there was...\This is some big equipment.\This definitely would have been the research facility.\Give me a break! response:	I'm already beat from helping with the move!
context: Miss Ange has been gone a long time.\No...\Was there a leak?\No, even if there was...\This is some big equipment.\This definitely would have been the research facility.\Give me a break!\I'm already beat from helping with the move! response:	They moved it?
context: No...\Was there a leak?\No, even if there was...\This is some big equipment.\This definitely would have been the research facility.\Give me a break!\I'm already beat from helping with the move!\They moved it? response:	Up there?
context: Was there a leak?\No, even if there was...\This is some big equipment.\This definitely would have been the research facility.\Give me a break!\I'm already beat from helping with the move!\They moved it?\Up there? response:	This is...
context: No, even if there was...\This is some big equipment.\This definitely would have been the research facility.\Give me a break!\I'm already beat from helping with the move!\They moved it?\Up there?\This is... response:	Miss Dorothy!
context: This is some big equipment.\This definitely would have been the research facility.\Give me a break!\I'm already beat from helping with the move!\They moved it?\Up there?\This is...\Miss Dorothy! response:	Beatrice? Where's Ange?
context: This definitely would have been the research facility.\Give me a break!\I'm already beat from helping with the move!\They moved it?\Up there?\This is...\Miss Dorothy!\Beatrice? Where's Ange? response:	She told me to leave without her if she didn't come back in ten minutes.
context: Give me a break!\I'm already beat from helping with the move!\They moved it?\Up there?\This is...\Miss Dorothy!\Beatrice? Where's Ange?\She told me to leave without her if she didn't come back in ten minutes. response:	Really. She must be having some trouble, then.
context: I'm already beat from helping with the move!\They moved it?\Up there?\This is...\Miss Dorothy!\Beatrice? Where's Ange?\She told me to leave without her if she didn't come back in ten minutes.\Really. She must be having some trouble, then. response:	I hope she's all right.
context: They moved it?\Up there?\This is...\Miss Dorothy!\Beatrice? Where's Ange?\She told me to leave without her if she didn't come back in ten minutes.\Really. She must be having some trouble, then.\I hope she's all right. response:	Come with me.
context: Up there?\This is...\Miss Dorothy!\Beatrice? Where's Ange?\She told me to leave without her if she didn't come back in ten minutes.\Really. She must be having some trouble, then.\I hope she's all right.\Come with me. response:	Let's go, Princess.
context: This is...\Miss Dorothy!\Beatrice? Where's Ange?\She told me to leave without her if she didn't come back in ten minutes.\Really. She must be having some trouble, then.\I hope she's all right.\Come with me.\Let's go, Princess. response:	What's the matter?
context: Miss Dorothy!\Beatrice? Where's Ange?\She told me to leave without her if she didn't come back in ten minutes.\Really. She must be having some trouble, then.\I hope she's all right.\Come with me.\Let's go, Princess.\What's the matter? response:	There's no time.
context: Beatrice? Where's Ange?\She told me to leave without her if she didn't come back in ten minutes.\Really. She must be having some trouble, then.\I hope she's all right.\Come with me.\Let's go, Princess.\What's the matter?\There's no time. response:	I'll explain on the way.
context: She told me to leave without her if she didn't come back in ten minutes.\Really. She must be having some trouble, then.\I hope she's all right.\Come with me.\Let's go, Princess.\What's the matter?\There's no time.\I'll explain on the way. response:	What's going on?
context: Really. She must be having some trouble, then.\I hope she's all right.\Come with me.\Let's go, Princess.\What's the matter?\There's no time.\I'll explain on the way.\What's going on? response:	Apparently they moved the entire laboratory.
context: I hope she's all right.\Come with me.\Let's go, Princess.\What's the matter?\There's no time.\I'll explain on the way.\What's going on?\Apparently they moved the entire laboratory. response:	Was there an information leak?
context: Come with me.\Let's go, Princess.\What's the matter?\There's no time.\I'll explain on the way.\What's going on?\Apparently they moved the entire laboratory.\Was there an information leak? response:	I don't know.
context: Let's go, Princess.\What's the matter?\There's no time.\I'll explain on the way.\What's going on?\Apparently they moved the entire laboratory.\Was there an information leak?\I don't know. response:	But I found the loading dock they used.
context: What's the matter?\There's no time.\I'll explain on the way.\What's going on?\Apparently they moved the entire laboratory.\Was there an information leak?\I don't know.\But I found the loading dock they used. response:	It leads to the Thames.
context: There's no time.\I'll explain on the way.\What's going on?\Apparently they moved the entire laboratory.\Was there an information leak?\I don't know.\But I found the loading dock they used.\It leads to the Thames. response:	So they escaped by boat?
context: I'll explain on the way.\What's going on?\Apparently they moved the entire laboratory.\Was there an information leak?\I don't know.\But I found the loading dock they used.\It leads to the Thames.\So they escaped by boat? response:	The drawbridge only opened up ten minutes ago.
context: What's going on?\Apparently they moved the entire laboratory.\Was there an information leak?\I don't know.\But I found the loading dock they used.\It leads to the Thames.\So they escaped by boat?\The drawbridge only opened up ten minutes ago. response:	They can't have gotten far.
context: Apparently they moved the entire laboratory.\Was there an information leak?\I don't know.\But I found the loading dock they used.\It leads to the Thames.\So they escaped by boat?\The drawbridge only opened up ten minutes ago.\They can't have gotten far. response:	If we take the shortest route, we should catch up to them at Greenwich.
context: Was there an information leak?\I don't know.\But I found the loading dock they used.\It leads to the Thames.\So they escaped by boat?\The drawbridge only opened up ten minutes ago.\They can't have gotten far.\If we take the shortest route, we should catch up to them at Greenwich. response:	Got it!
context: I don't know.\But I found the loading dock they used.\It leads to the Thames.\So they escaped by boat?\The drawbridge only opened up ten minutes ago.\They can't have gotten far.\If we take the shortest route, we should catch up to them at Greenwich.\Got it! response:	Our research was finally on the right track.
context: But I found the loading dock they used.\It leads to the Thames.\So they escaped by boat?\The drawbridge only opened up ten minutes ago.\They can't have gotten far.\If we take the shortest route, we should catch up to them at Greenwich.\Got it!\Our research was finally on the right track. response:	Why should we have to move NOW?
context: It leads to the Thames.\So they escaped by boat?\The drawbridge only opened up ten minutes ago.\They can't have gotten far.\If we take the shortest route, we should catch up to them at Greenwich.\Got it!\Our research was finally on the right track.\Why should we have to move NOW? response:	In answer to your question, I'd like you to look at this.
context: So they escaped by boat?\The drawbridge only opened up ten minutes ago.\They can't have gotten far.\If we take the shortest route, we should catch up to them at Greenwich.\Got it!\Our research was finally on the right track.\Why should we have to move NOW?\In answer to your question, I'd like you to look at this. response:	What does that book have to do with anything?
context: The drawbridge only opened up ten minutes ago.\They can't have gotten far.\If we take the shortest route, we should catch up to them at Greenwich.\Got it!\Our research was finally on the right track.\Why should we have to move NOW?\In answer to your question, I'd like you to look at this.\What does that book have to do with anything? response:	You'll see.
context: They can't have gotten far.\If we take the shortest route, we should catch up to them at Greenwich.\Got it!\Our research was finally on the right track.\Why should we have to move NOW?\In answer to your question, I'd like you to look at this.\What does that book have to do with anything?\You'll see. response:	A camera?
context: If we take the shortest route, we should catch up to them at Greenwich.\Got it!\Our research was finally on the right track.\Why should we have to move NOW?\In answer to your question, I'd like you to look at this.\What does that book have to do with anything?\You'll see.\A camera? response:	There is a Commonwealth spy in our midst.
context: Got it!\Our research was finally on the right track.\Why should we have to move NOW?\In answer to your question, I'd like you to look at this.\What does that book have to do with anything?\You'll see.\A camera?\There is a Commonwealth spy in our midst. response:	We will now conduct a VERY thorough investigation.
context: Our research was finally on the right track.\Why should we have to move NOW?\In answer to your question, I'd like you to look at this.\What does that book have to do with anything?\You'll see.\A camera?\There is a Commonwealth spy in our midst.\We will now conduct a VERY thorough investigation. response:	Left at the next corner.
context: Why should we have to move NOW?\In answer to your question, I'd like you to look at this.\What does that book have to do with anything?\You'll see.\A camera?\There is a Commonwealth spy in our midst.\We will now conduct a VERY thorough investigation.\Left at the next corner. response:	Right at the next intersection.
context: In answer to your question, I'd like you to look at this.\What does that book have to do with anything?\You'll see.\A camera?\There is a Commonwealth spy in our midst.\We will now conduct a VERY thorough investigation.\Left at the next corner.\Right at the next intersection. response:	Right at the next stairway.
context: What does that book have to do with anything?\You'll see.\A camera?\There is a Commonwealth spy in our midst.\We will now conduct a VERY thorough investigation.\Left at the next corner.\Right at the next intersection.\Right at the next stairway. response:	You got it!
context: You'll see.\A camera?\There is a Commonwealth spy in our midst.\We will now conduct a VERY thorough investigation.\Left at the next corner.\Right at the next intersection.\Right at the next stairway.\You got it! response:	Stairway? But we're in an automobile!
context: A camera?\There is a Commonwealth spy in our midst.\We will now conduct a VERY thorough investigation.\Left at the next corner.\Right at the next intersection.\Right at the next stairway.\You got it!\Stairway? But we're in an automobile! response:	Don't bite your tongue.
context: There is a Commonwealth spy in our midst.\We will now conduct a VERY thorough investigation.\Left at the next corner.\Right at the next intersection.\Right at the next stairway.\You got it!\Stairway? But we're in an automobile!\Don't bite your tongue. response:	How do you feel about Team Meikyo Shisui?
context: We will now conduct a VERY thorough investigation.\Left at the next corner.\Right at the next intersection.\Right at the next stairway.\You got it!\Stairway? But we're in an automobile!\Don't bite your tongue.\How do you feel about Team Meikyo Shisui? response:	(Mirror-smooth Water) How do you feel about Team Meikyo Shisui?
context: Left at the next corner.\Right at the next intersection.\Right at the next stairway.\You got it!\Stairway? But we're in an automobile!\Don't bite your tongue.\How do you feel about Team Meikyo Shisui?\(Mirror-smooth Water) How do you feel about Team Meikyo Shisui? response:	What does it mean?
context: Right at the next intersection.\Right at the next stairway.\You got it!\Stairway? But we're in an automobile!\Don't bite your tongue.\How do you feel about Team Meikyo Shisui?\(Mirror-smooth Water) How do you feel about Team Meikyo Shisui?\What does it mean? response:	Next, through that narrow passage up ahead and turn left!
context: Right at the next stairway.\You got it!\Stairway? But we're in an automobile!\Don't bite your tongue.\How do you feel about Team Meikyo Shisui?\(Mirror-smooth Water) How do you feel about Team Meikyo Shisui?\What does it mean?\Next, through that narrow passage up ahead and turn left! response:	Nobody fall out!
context: You got it!\Stairway? But we're in an automobile!\Don't bite your tongue.\How do you feel about Team Meikyo Shisui?\(Mirror-smooth Water) How do you feel about Team Meikyo Shisui?\What does it mean?\Next, through that narrow passage up ahead and turn left!\Nobody fall out! response:	Be quiet.
context: Stairway? But we're in an automobile!\Don't bite your tongue.\How do you feel about Team Meikyo Shisui?\(Mirror-smooth Water) How do you feel about Team Meikyo Shisui?\What does it mean?\Next, through that narrow passage up ahead and turn left!\Nobody fall out!\Be quiet. response:	There it is.
context: Don't bite your tongue.\How do you feel about Team Meikyo Shisui?\(Mirror-smooth Water) How do you feel about Team Meikyo Shisui?\What does it mean?\Next, through that narrow passage up ahead and turn left!\Nobody fall out!\Be quiet.\There it is. response:	We made it!
context: How do you feel about Team Meikyo Shisui?\(Mirror-smooth Water) How do you feel about Team Meikyo Shisui?\What does it mean?\Next, through that narrow passage up ahead and turn left!\Nobody fall out!\Be quiet.\There it is.\We made it! response:	I thought maybe Princess had leaked the information, but...
context: (Mirror-smooth Water) How do you feel about Team Meikyo Shisui?\What does it mean?\Next, through that narrow passage up ahead and turn left!\Nobody fall out!\Be quiet.\There it is.\We made it!\I thought maybe Princess had leaked the information, but... response:	It's quite the large boat, isn't it?
context: What does it mean?\Next, through that narrow passage up ahead and turn left!\Nobody fall out!\Be quiet.\There it is.\We made it!\I thought maybe Princess had leaked the information, but...\It's quite the large boat, isn't it? response:	At that size, it could be carrying an entire platoon.
context: Next, through that narrow passage up ahead and turn left!\Nobody fall out!\Be quiet.\There it is.\We made it!\I thought maybe Princess had leaked the information, but...\It's quite the large boat, isn't it?\At that size, it could be carrying an entire platoon. response:	I will go with you.
context: Nobody fall out!\Be quiet.\There it is.\We made it!\I thought maybe Princess had leaked the information, but...\It's quite the large boat, isn't it?\At that size, it could be carrying an entire platoon.\I will go with you. response:	No. You stay here, Chise.
context: Be quiet.\There it is.\We made it!\I thought maybe Princess had leaked the information, but...\It's quite the large boat, isn't it?\At that size, it could be carrying an entire platoon.\I will go with you.\No. You stay here, Chise. response:	Dorothy and I will go alone.
context: There it is.\We made it!\I thought maybe Princess had leaked the information, but...\It's quite the large boat, isn't it?\At that size, it could be carrying an entire platoon.\I will go with you.\No. You stay here, Chise.\Dorothy and I will go alone. response:	You would leave me behind again?
context: We made it!\I thought maybe Princess had leaked the information, but...\It's quite the large boat, isn't it?\At that size, it could be carrying an entire platoon.\I will go with you.\No. You stay here, Chise.\Dorothy and I will go alone.\You would leave me behind again? response:	Miss Chise...?
context: I thought maybe Princess had leaked the information, but...\It's quite the large boat, isn't it?\At that size, it could be carrying an entire platoon.\I will go with you.\No. You stay here, Chise.\Dorothy and I will go alone.\You would leave me behind again?\Miss Chise...? response:	I'm a stronger asset than Dorothy!
context: It's quite the large boat, isn't it?\At that size, it could be carrying an entire platoon.\I will go with you.\No. You stay here, Chise.\Dorothy and I will go alone.\You would leave me behind again?\Miss Chise...?\I'm a stronger asset than Dorothy! response:	I know.
context: At that size, it could be carrying an entire platoon.\I will go with you.\No. You stay here, Chise.\Dorothy and I will go alone.\You would leave me behind again?\Miss Chise...?\I'm a stronger asset than Dorothy!\I know. response:	Then why...
context: I will go with you.\No. You stay here, Chise.\Dorothy and I will go alone.\You would leave me behind again?\Miss Chise...?\I'm a stronger asset than Dorothy!\I know.\Then why... response:	You came to us under the graces of Lord Horikawa.
context: No. You stay here, Chise.\Dorothy and I will go alone.\You would leave me behind again?\Miss Chise...?\I'm a stronger asset than Dorothy!\I know.\Then why...\You came to us under the graces of Lord Horikawa. response:	We can't ask you to put yourself in danger.
