context: A chronic disease I suffer from. response:	I get sleep attacks.
context: I fell right into her trap!\I oughta give you a piece of my mind, Riki-kun!\You opened it?\Have you?\No...\I haven't opened it.\You need to open it, then.\Pudding in dying agony. response:	Jam on its deathbed.
context: I oughta give you a piece of my mind, Riki-kun!\You opened it?\Have you?\No...\I haven't opened it.\You need to open it, then.\Pudding in dying agony.\Jam on its deathbed. response:	Yogurt yowling yucky yellow!
context: You opened it?\Have you?\No...\I haven't opened it.\You need to open it, then.\Pudding in dying agony.\Jam on its deathbed.\Yogurt yowling yucky yellow! response:	Riki-kun, listen.
context: Have you?\No...\I haven't opened it.\You need to open it, then.\Pudding in dying agony.\Jam on its deathbed.\Yogurt yowling yucky yellow!\Riki-kun, listen. response:	You don't keep pudding in your desk!
context: No...\I haven't opened it.\You need to open it, then.\Pudding in dying agony.\Jam on its deathbed.\Yogurt yowling yucky yellow!\Riki-kun, listen.\You don't keep pudding in your desk! response:	You keep printouts!
context: I haven't opened it.\You need to open it, then.\Pudding in dying agony.\Jam on its deathbed.\Yogurt yowling yucky yellow!\Riki-kun, listen.\You don't keep pudding in your desk!\You keep printouts! response:	Keep your idiom dictionary in the refrigerator!
context: You need to open it, then.\Pudding in dying agony.\Jam on its deathbed.\Yogurt yowling yucky yellow!\Riki-kun, listen.\You don't keep pudding in your desk!\You keep printouts!\Keep your idiom dictionary in the refrigerator! response:	Damn it, Kengo!
context: Pudding in dying agony.\Jam on its deathbed.\Yogurt yowling yucky yellow!\Riki-kun, listen.\You don't keep pudding in your desk!\You keep printouts!\Keep your idiom dictionary in the refrigerator!\Damn it, Kengo! response:	What's wrong?
context: Jam on its deathbed.\Yogurt yowling yucky yellow!\Riki-kun, listen.\You don't keep pudding in your desk!\You keep printouts!\Keep your idiom dictionary in the refrigerator!\Damn it, Kengo!\What's wrong? response:	The same as always, I'll bet.
context: Yogurt yowling yucky yellow!\Riki-kun, listen.\You don't keep pudding in your desk!\You keep printouts!\Keep your idiom dictionary in the refrigerator!\Damn it, Kengo!\What's wrong?\The same as always, I'll bet. response:	What's all the fuss?
context: Riki-kun, listen.\You don't keep pudding in your desk!\You keep printouts!\Keep your idiom dictionary in the refrigerator!\Damn it, Kengo!\What's wrong?\The same as always, I'll bet.\What's all the fuss? response:	Gotham!
context: You don't keep pudding in your desk!\You keep printouts!\Keep your idiom dictionary in the refrigerator!\Damn it, Kengo!\What's wrong?\The same as always, I'll bet.\What's all the fuss?\Gotham! response:	Gotham?
context: You keep printouts!\Keep your idiom dictionary in the refrigerator!\Damn it, Kengo!\What's wrong?\The same as always, I'll bet.\What's all the fuss?\Gotham!\Gotham? response:	It's a long story, but...
context: Keep your idiom dictionary in the refrigerator!\Damn it, Kengo!\What's wrong?\The same as always, I'll bet.\What's all the fuss?\Gotham!\Gotham?\It's a long story, but... response:	Uh, how do you read this?
context: Damn it, Kengo!\What's wrong?\The same as always, I'll bet.\What's all the fuss?\Gotham!\Gotham?\It's a long story, but...\Uh, how do you read this? response:	You can just say Gotham.
context: What's wrong?\The same as always, I'll bet.\What's all the fuss?\Gotham!\Gotham?\It's a long story, but...\Uh, how do you read this?\You can just say Gotham. response:	Really?
context: The same as always, I'll bet.\What's all the fuss?\Gotham!\Gotham?\It's a long story, but...\Uh, how do you read this?\You can just say Gotham.\Really? response:	So I can say, This winter's going to be really Gotham!
context: What's all the fuss?\Gotham!\Gotham?\It's a long story, but...\Uh, how do you read this?\You can just say Gotham.\Really?\So I can say, This winter's going to be really Gotham! response:	Alright! I'll use that sometime this winter!
context: Gotham!\Gotham?\It's a long story, but...\Uh, how do you read this?\You can just say Gotham.\Really?\So I can say, This winter's going to be really Gotham!\Alright! I'll use that sometime this winter! response:	That's what he did.
context: Gotham?\It's a long story, but...\Uh, how do you read this?\You can just say Gotham.\Really?\So I can say, This winter's going to be really Gotham!\Alright! I'll use that sometime this winter!\That's what he did. response:	But I just looked it up,
context: It's a long story, but...\Uh, how do you read this?\You can just say Gotham.\Really?\So I can say, This winter's going to be really Gotham!\Alright! I'll use that sometime this winter!\That's what he did.\But I just looked it up, response:	and it's actually pronounced gokkan!
context: Uh, how do you read this?\You can just say Gotham.\Really?\So I can say, This winter's going to be really Gotham!\Alright! I'll use that sometime this winter!\That's what he did.\But I just looked it up,\and it's actually pronounced gokkan! response:	I almost said, Man, this winter's Gotham! because of you!
context: You can just say Gotham.\Really?\So I can say, This winter's going to be really Gotham!\Alright! I'll use that sometime this winter!\That's what he did.\But I just looked it up,\and it's actually pronounced gokkan!\I almost said, Man, this winter's Gotham! because of you! response:	It's your fault for not being able to read it in the first place.
context: Really?\So I can say, This winter's going to be really Gotham!\Alright! I'll use that sometime this winter!\That's what he did.\But I just looked it up,\and it's actually pronounced gokkan!\I almost said, Man, this winter's Gotham! because of you!\It's your fault for not being able to read it in the first place. response:	Well, when we were in art class in middle school,
context: So I can say, This winter's going to be really Gotham!\Alright! I'll use that sometime this winter!\That's what he did.\But I just looked it up,\and it's actually pronounced gokkan!\I almost said, Man, this winter's Gotham! because of you!\It's your fault for not being able to read it in the first place.\Well, when we were in art class in middle school, response:	you mixed up the characters for bag and shoe
context: Alright! I'll use that sometime this winter!\That's what he did.\But I just looked it up,\and it's actually pronounced gokkan!\I almost said, Man, this winter's Gotham! because of you!\It's your fault for not being able to read it in the first place.\Well, when we were in art class in middle school,\you mixed up the characters for bag and shoe response:	and ended up making a clay shoe!
context: That's what he did.\But I just looked it up,\and it's actually pronounced gokkan!\I almost said, Man, this winter's Gotham! because of you!\It's your fault for not being able to read it in the first place.\Well, when we were in art class in middle school,\you mixed up the characters for bag and shoe\and ended up making a clay shoe! response:	I'll never forget the sight of the entire class laughing at you that day.
context: But I just looked it up,\and it's actually pronounced gokkan!\I almost said, Man, this winter's Gotham! because of you!\It's your fault for not being able to read it in the first place.\Well, when we were in art class in middle school,\you mixed up the characters for bag and shoe\and ended up making a clay shoe!\I'll never forget the sight of the entire class laughing at you that day. response:	So what?
context: and it's actually pronounced gokkan!\I almost said, Man, this winter's Gotham! because of you!\It's your fault for not being able to read it in the first place.\Well, when we were in art class in middle school,\you mixed up the characters for bag and shoe\and ended up making a clay shoe!\I'll never forget the sight of the entire class laughing at you that day.\So what? response:	I'm saying you're a bigger idiot than me!
context: I almost said, Man, this winter's Gotham! because of you!\It's your fault for not being able to read it in the first place.\Well, when we were in art class in middle school,\you mixed up the characters for bag and shoe\and ended up making a clay shoe!\I'll never forget the sight of the entire class laughing at you that day.\So what?\I'm saying you're a bigger idiot than me! response:	Idiots have no right to call others idiots.
context: It's your fault for not being able to read it in the first place.\Well, when we were in art class in middle school,\you mixed up the characters for bag and shoe\and ended up making a clay shoe!\I'll never forget the sight of the entire class laughing at you that day.\So what?\I'm saying you're a bigger idiot than me!\Idiots have no right to call others idiots. response:	Get up.
context: Well, when we were in art class in middle school,\you mixed up the characters for bag and shoe\and ended up making a clay shoe!\I'll never forget the sight of the entire class laughing at you that day.\So what?\I'm saying you're a bigger idiot than me!\Idiots have no right to call others idiots.\Get up. response:	What should we do?
context: you mixed up the characters for bag and shoe\and ended up making a clay shoe!\I'll never forget the sight of the entire class laughing at you that day.\So what?\I'm saying you're a bigger idiot than me!\Idiots have no right to call others idiots.\Get up.\What should we do? response:	When I'm done with you, your face'll be unrecog
context: and ended up making a clay shoe!\I'll never forget the sight of the entire class laughing at you that day.\So what?\I'm saying you're a bigger idiot than me!\Idiots have no right to call others idiots.\Get up.\What should we do?\When I'm done with you, your face'll be unrecog response:	You fools.
context: I'll never forget the sight of the entire class laughing at you that day.\So what?\I'm saying you're a bigger idiot than me!\Idiots have no right to call others idiots.\Get up.\What should we do?\When I'm done with you, your face'll be unrecog\You fools. response:	Know the time and place to enact your horseplay.
context: So what?\I'm saying you're a bigger idiot than me!\Idiots have no right to call others idiots.\Get up.\What should we do?\When I'm done with you, your face'll be unrecog\You fools.\Know the time and place to enact your horseplay. response:	Kurugaya-san!
context: I'm saying you're a bigger idiot than me!\Idiots have no right to call others idiots.\Get up.\What should we do?\When I'm done with you, your face'll be unrecog\You fools.\Know the time and place to enact your horseplay.\Kurugaya-san! response:	What the hell?!
context: Idiots have no right to call others idiots.\Get up.\What should we do?\When I'm done with you, your face'll be unrecog\You fools.\Know the time and place to enact your horseplay.\Kurugaya-san!\What the hell?! response:	I should be saying that.
context: Get up.\What should we do?\When I'm done with you, your face'll be unrecog\You fools.\Know the time and place to enact your horseplay.\Kurugaya-san!\What the hell?!\I should be saying that. response:	What the hell are you doing in a place like this?
context: What should we do?\When I'm done with you, your face'll be unrecog\You fools.\Know the time and place to enact your horseplay.\Kurugaya-san!\What the hell?!\I should be saying that.\What the hell are you doing in a place like this? response:	You little...
context: When I'm done with you, your face'll be unrecog\You fools.\Know the time and place to enact your horseplay.\Kurugaya-san!\What the hell?!\I should be saying that.\What the hell are you doing in a place like this?\You little... response:	This ain't some tea party a girl like you should be getting into!
context: You fools.\Know the time and place to enact your horseplay.\Kurugaya-san!\What the hell?!\I should be saying that.\What the hell are you doing in a place like this?\You little...\This ain't some tea party a girl like you should be getting into! response:	What was that?
context: Know the time and place to enact your horseplay.\Kurugaya-san!\What the hell?!\I should be saying that.\What the hell are you doing in a place like this?\You little...\This ain't some tea party a girl like you should be getting into!\What was that? response:	Are you trying to pick a fight with me?
context: Kurugaya-san!\What the hell?!\I should be saying that.\What the hell are you doing in a place like this?\You little...\This ain't some tea party a girl like you should be getting into!\What was that?\Are you trying to pick a fight with me? response:	I'm threatening you.
context: What the hell?!\I should be saying that.\What the hell are you doing in a place like this?\You little...\This ain't some tea party a girl like you should be getting into!\What was that?\Are you trying to pick a fight with me?\I'm threatening you. response:	You ain't worth me picking a fight with!
context: I should be saying that.\What the hell are you doing in a place like this?\You little...\This ain't some tea party a girl like you should be getting into!\What was that?\Are you trying to pick a fight with me?\I'm threatening you.\You ain't worth me picking a fight with! response:	I've lost my interest.
context: What the hell are you doing in a place like this?\You little...\This ain't some tea party a girl like you should be getting into!\What was that?\Are you trying to pick a fight with me?\I'm threatening you.\You ain't worth me picking a fight with!\I've lost my interest. response:	This is too ridiculous for my taste.
context: You little...\This ain't some tea party a girl like you should be getting into!\What was that?\Are you trying to pick a fight with me?\I'm threatening you.\You ain't worth me picking a fight with!\I've lost my interest.\This is too ridiculous for my taste. response:	I'm done here.
context: This ain't some tea party a girl like you should be getting into!\What was that?\Are you trying to pick a fight with me?\I'm threatening you.\You ain't worth me picking a fight with!\I've lost my interest.\This is too ridiculous for my taste.\I'm done here. response:	Kengo!
context: What was that?\Are you trying to pick a fight with me?\I'm threatening you.\You ain't worth me picking a fight with!\I've lost my interest.\This is too ridiculous for my taste.\I'm done here.\Kengo! response:	You running away?!
context: Are you trying to pick a fight with me?\I'm threatening you.\You ain't worth me picking a fight with!\I've lost my interest.\This is too ridiculous for my taste.\I'm done here.\Kengo!\You running away?! response:	Masato, just so you know...
context: I'm threatening you.\You ain't worth me picking a fight with!\I've lost my interest.\This is too ridiculous for my taste.\I'm done here.\Kengo!\You running away?!\Masato, just so you know... response:	It's best if you don't underestimate her.
context: You ain't worth me picking a fight with!\I've lost my interest.\This is too ridiculous for my taste.\I'm done here.\Kengo!\You running away?!\Masato, just so you know...\It's best if you don't underestimate her. response:	This is a friendly warning.
context: I've lost my interest.\This is too ridiculous for my taste.\I'm done here.\Kengo!\You running away?!\Masato, just so you know...\It's best if you don't underestimate her.\This is a friendly warning. response:	Well? You were going to beat me to a bloody pulp, right?
context: This is too ridiculous for my taste.\I'm done here.\Kengo!\You running away?!\Masato, just so you know...\It's best if you don't underestimate her.\This is a friendly warning.\Well? You were going to beat me to a bloody pulp, right? response:	He didn't say that!
context: I'm done here.\Kengo!\You running away?!\Masato, just so you know...\It's best if you don't underestimate her.\This is a friendly warning.\Well? You were going to beat me to a bloody pulp, right?\He didn't say that! response:	You're going to be crying by the end of this!
context: Kengo!\You running away?!\Masato, just so you know...\It's best if you don't underestimate her.\This is a friendly warning.\Well? You were going to beat me to a bloody pulp, right?\He didn't say that!\You're going to be crying by the end of this! response:	I've yet to meet a man who could make me cry.
context: You running away?!\Masato, just so you know...\It's best if you don't underestimate her.\This is a friendly warning.\Well? You were going to beat me to a bloody pulp, right?\He didn't say that!\You're going to be crying by the end of this!\I've yet to meet a man who could make me cry. response:	Masato-kun.
context: Masato, just so you know...\It's best if you don't underestimate her.\This is a friendly warning.\Well? You were going to beat me to a bloody pulp, right?\He didn't say that!\You're going to be crying by the end of this!\I've yet to meet a man who could make me cry.\Masato-kun. response:	Oh?
context: It's best if you don't underestimate her.\This is a friendly warning.\Well? You were going to beat me to a bloody pulp, right?\He didn't say that!\You're going to be crying by the end of this!\I've yet to meet a man who could make me cry.\Masato-kun.\Oh? response:	W-Wait, Kurugaya-san!
context: This is a friendly warning.\Well? You were going to beat me to a bloody pulp, right?\He didn't say that!\You're going to be crying by the end of this!\I've yet to meet a man who could make me cry.\Masato-kun.\Oh?\W-Wait, Kurugaya-san! response:	Are you really going to fight Masato?
context: Well? You were going to beat me to a bloody pulp, right?\He didn't say that!\You're going to be crying by the end of this!\I've yet to meet a man who could make me cry.\Masato-kun.\Oh?\W-Wait, Kurugaya-san!\Are you really going to fight Masato? response:	Just be quiet and watch.
context: He didn't say that!\You're going to be crying by the end of this!\I've yet to meet a man who could make me cry.\Masato-kun.\Oh?\W-Wait, Kurugaya-san!\Are you really going to fight Masato?\Just be quiet and watch. response:	I hope you're ready for this.
context: You're going to be crying by the end of this!\I've yet to meet a man who could make me cry.\Masato-kun.\Oh?\W-Wait, Kurugaya-san!\Are you really going to fight Masato?\Just be quiet and watch.\I hope you're ready for this. response:	If I win, your name'll be Cuckoogayer!
context: I've yet to meet a man who could make me cry.\Masato-kun.\Oh?\W-Wait, Kurugaya-san!\Are you really going to fight Masato?\Just be quiet and watch.\I hope you're ready for this.\If I win, your name'll be Cuckoogayer! response:	He's such an idiot.
context: Masato-kun.\Oh?\W-Wait, Kurugaya-san!\Are you really going to fight Masato?\Just be quiet and watch.\I hope you're ready for this.\If I win, your name'll be Cuckoogayer!\He's such an idiot. response:	And if I win, my broadcasting club will air a show called Today's Inohara-kun,
context: Oh?\W-Wait, Kurugaya-san!\Are you really going to fight Masato?\Just be quiet and watch.\I hope you're ready for this.\If I win, your name'll be Cuckoogayer!\He's such an idiot.\And if I win, my broadcasting club will air a show called Today's Inohara-kun, response:	where I'll reveal all your embarrassing secrets to the world!
context: W-Wait, Kurugaya-san!\Are you really going to fight Masato?\Just be quiet and watch.\I hope you're ready for this.\If I win, your name'll be Cuckoogayer!\He's such an idiot.\And if I win, my broadcasting club will air a show called Today's Inohara-kun,\where I'll reveal all your embarrassing secrets to the world! response:	Bring it on!
context: Are you really going to fight Masato?\Just be quiet and watch.\I hope you're ready for this.\If I win, your name'll be Cuckoogayer!\He's such an idiot.\And if I win, my broadcasting club will air a show called Today's Inohara-kun,\where I'll reveal all your embarrassing secrets to the world!\Bring it on! response:	He's okay with that?
context: Just be quiet and watch.\I hope you're ready for this.\If I win, your name'll be Cuckoogayer!\He's such an idiot.\And if I win, my broadcasting club will air a show called Today's Inohara-kun,\where I'll reveal all your embarrassing secrets to the world!\Bring it on!\He's okay with that? response:	Idiot.
context: I hope you're ready for this.\If I win, your name'll be Cuckoogayer!\He's such an idiot.\And if I win, my broadcasting club will air a show called Today's Inohara-kun,\where I'll reveal all your embarrassing secrets to the world!\Bring it on!\He's okay with that?\Idiot. response:	It's a fight!
context: If I win, your name'll be Cuckoogayer!\He's such an idiot.\And if I win, my broadcasting club will air a show called Today's Inohara-kun,\where I'll reveal all your embarrassing secrets to the world!\Bring it on!\He's okay with that?\Idiot.\It's a fight! response:	They're going at it!
context: He's such an idiot.\And if I win, my broadcasting club will air a show called Today's Inohara-kun,\where I'll reveal all your embarrassing secrets to the world!\Bring it on!\He's okay with that?\Idiot.\It's a fight!\They're going at it! response:	Masato's serious!
context: And if I win, my broadcasting club will air a show called Today's Inohara-kun,\where I'll reveal all your embarrassing secrets to the world!\Bring it on!\He's okay with that?\Idiot.\It's a fight!\They're going at it!\Masato's serious! response:	Kurugaya's going down!
context: where I'll reveal all your embarrassing secrets to the world!\Bring it on!\He's okay with that?\Idiot.\It's a fight!\They're going at it!\Masato's serious!\Kurugaya's going down! response:	What's all the ruckus, Riki?
context: Bring it on!\He's okay with that?\Idiot.\It's a fight!\They're going at it!\Masato's serious!\Kurugaya's going down!\What's all the ruckus, Riki? response:	This is Kurugaya-san, from my class.
context: He's okay with that?\Idiot.\It's a fight!\They're going at it!\Masato's serious!\Kurugaya's going down!\What's all the ruckus, Riki?\This is Kurugaya-san, from my class. response:	You're Natsume Kyousuke, right?
context: Idiot.\It's a fight!\They're going at it!\Masato's serious!\Kurugaya's going down!\What's all the ruckus, Riki?\This is Kurugaya-san, from my class.\You're Natsume Kyousuke, right? response:	You know me?
context: It's a fight!\They're going at it!\Masato's serious!\Kurugaya's going down!\What's all the ruckus, Riki?\This is Kurugaya-san, from my class.\You're Natsume Kyousuke, right?\You know me? response:	That makes things easier.
context: They're going at it!\Masato's serious!\Kurugaya's going down!\What's all the ruckus, Riki?\This is Kurugaya-san, from my class.\You're Natsume Kyousuke, right?\You know me?\That makes things easier. response:	You guys should be aware that you're famous around here.
context: Masato's serious!\Kurugaya's going down!\What's all the ruckus, Riki?\This is Kurugaya-san, from my class.\You're Natsume Kyousuke, right?\You know me?\That makes things easier.\You guys should be aware that you're famous around here. response:	Allow me to referee this, then.
context: Kurugaya's going down!\What's all the ruckus, Riki?\This is Kurugaya-san, from my class.\You're Natsume Kyousuke, right?\You know me?\That makes things easier.\You guys should be aware that you're famous around here.\Allow me to referee this, then. response:	This fight will have rules.
context: What's all the ruckus, Riki?\This is Kurugaya-san, from my class.\You're Natsume Kyousuke, right?\You know me?\That makes things easier.\You guys should be aware that you're famous around here.\Allow me to referee this, then.\This fight will have rules. response:	Muscles, aww yeah! Muscles, aww yeah!
context: This is Kurugaya-san, from my class.\You're Natsume Kyousuke, right?\You know me?\That makes things easier.\You guys should be aware that you're famous around here.\Allow me to referee this, then.\This fight will have rules.\Muscles, aww yeah! Muscles, aww yeah! response:	The spectators will throw in objects, and you will pick one to fight with.
context: You're Natsume Kyousuke, right?\You know me?\That makes things easier.\You guys should be aware that you're famous around here.\Allow me to referee this, then.\This fight will have rules.\Muscles, aww yeah! Muscles, aww yeah!\The spectators will throw in objects, and you will pick one to fight with. response:	You are not permitted to use anything else.
context: You know me?\That makes things easier.\You guys should be aware that you're famous around here.\Allow me to referee this, then.\This fight will have rules.\Muscles, aww yeah! Muscles, aww yeah!\The spectators will throw in objects, and you will pick one to fight with.\You are not permitted to use anything else. response:	I see. Sounds interesting.
context: That makes things easier.\You guys should be aware that you're famous around here.\Allow me to referee this, then.\This fight will have rules.\Muscles, aww yeah! Muscles, aww yeah!\The spectators will throw in objects, and you will pick one to fight with.\You are not permitted to use anything else.\I see. Sounds interesting. response:	Enough talk! Let's start this!
context: You guys should be aware that you're famous around here.\Allow me to referee this, then.\This fight will have rules.\Muscles, aww yeah! Muscles, aww yeah!\The spectators will throw in objects, and you will pick one to fight with.\You are not permitted to use anything else.\I see. Sounds interesting.\Enough talk! Let's start this! response:	Alright! Let's get this started, people!
context: Allow me to referee this, then.\This fight will have rules.\Muscles, aww yeah! Muscles, aww yeah!\The spectators will throw in objects, and you will pick one to fight with.\You are not permitted to use anything else.\I see. Sounds interesting.\Enough talk! Let's start this!\Alright! Let's get this started, people! response:	Battle, start!
context: This fight will have rules.\Muscles, aww yeah! Muscles, aww yeah!\The spectators will throw in objects, and you will pick one to fight with.\You are not permitted to use anything else.\I see. Sounds interesting.\Enough talk! Let's start this!\Alright! Let's get this started, people!\Battle, start! response:	That's your weapon.
context: Muscles, aww yeah! Muscles, aww yeah!\The spectators will throw in objects, and you will pick one to fight with.\You are not permitted to use anything else.\I see. Sounds interesting.\Enough talk! Let's start this!\Alright! Let's get this started, people!\Battle, start!\That's your weapon. response:	I'll use this.
context: The spectators will throw in objects, and you will pick one to fight with.\You are not permitted to use anything else.\I see. Sounds interesting.\Enough talk! Let's start this!\Alright! Let's get this started, people!\Battle, start!\That's your weapon.\I'll use this. response:	Isn't that illegal?!
context: You are not permitted to use anything else.\I see. Sounds interesting.\Enough talk! Let's start this!\Alright! Let's get this started, people!\Battle, start!\That's your weapon.\I'll use this.\Isn't that illegal?! response:	It's just an imitation.
context: I see. Sounds interesting.\Enough talk! Let's start this!\Alright! Let's get this started, people!\Battle, start!\That's your weapon.\I'll use this.\Isn't that illegal?!\It's just an imitation. response:	It can't actually cut.
context: Enough talk! Let's start this!\Alright! Let's get this started, people!\Battle, start!\That's your weapon.\I'll use this.\Isn't that illegal?!\It's just an imitation.\It can't actually cut. response:	But I'm sure it'll hurt if you get hit with it.
context: Alright! Let's get this started, people!\Battle, start!\That's your weapon.\I'll use this.\Isn't that illegal?!\It's just an imitation.\It can't actually cut.\But I'm sure it'll hurt if you get hit with it. response:	Alright, I'm all fired up now!
context: Battle, start!\That's your weapon.\I'll use this.\Isn't that illegal?!\It's just an imitation.\It can't actually cut.\But I'm sure it'll hurt if you get hit with it.\Alright, I'm all fired up now! response:	Bring it on!
context: That's your weapon.\I'll use this.\Isn't that illegal?!\It's just an imitation.\It can't actually cut.\But I'm sure it'll hurt if you get hit with it.\Alright, I'm all fired up now!\Bring it on! response:	You want me to hit you that badly?
context: I'll use this.\Isn't that illegal?!\It's just an imitation.\It can't actually cut.\But I'm sure it'll hurt if you get hit with it.\Alright, I'm all fired up now!\Bring it on!\You want me to hit you that badly? response:	No.
context: Isn't that illegal?!\It's just an imitation.\It can't actually cut.\But I'm sure it'll hurt if you get hit with it.\Alright, I'm all fired up now!\Bring it on!\You want me to hit you that badly?\No. response:	Do you have any idea how dumb you look?
context: It's just an imitation.\It can't actually cut.\But I'm sure it'll hurt if you get hit with it.\Alright, I'm all fired up now!\Bring it on!\You want me to hit you that badly?\No.\Do you have any idea how dumb you look? response:	Shut up!
context: It can't actually cut.\But I'm sure it'll hurt if you get hit with it.\Alright, I'm all fired up now!\Bring it on!\You want me to hit you that badly?\No.\Do you have any idea how dumb you look?\Shut up! response:	Take this!
context: But I'm sure it'll hurt if you get hit with it.\Alright, I'm all fired up now!\Bring it on!\You want me to hit you that badly?\No.\Do you have any idea how dumb you look?\Shut up!\Take this! response:	What an idiot.
context: Alright, I'm all fired up now!\Bring it on!\You want me to hit you that badly?\No.\Do you have any idea how dumb you look?\Shut up!\Take this!\What an idiot. response:	I'll play with you for a bit.
context: Bring it on!\You want me to hit you that badly?\No.\Do you have any idea how dumb you look?\Shut up!\Take this!\What an idiot.\I'll play with you for a bit. response:	You should have listened to your friend.
context: You want me to hit you that badly?\No.\Do you have any idea how dumb you look?\Shut up!\Take this!\What an idiot.\I'll play with you for a bit.\You should have listened to your friend. response:	Making light of me will only end badly for you.
context: No.\Do you have any idea how dumb you look?\Shut up!\Take this!\What an idiot.\I'll play with you for a bit.\You should have listened to your friend.\Making light of me will only end badly for you. response:	Not bad.
context: Do you have any idea how dumb you look?\Shut up!\Take this!\What an idiot.\I'll play with you for a bit.\You should have listened to your friend.\Making light of me will only end badly for you.\Not bad. response:	I admire your guts, at least!
context: Shut up!\Take this!\What an idiot.\I'll play with you for a bit.\You should have listened to your friend.\Making light of me will only end badly for you.\Not bad.\I admire your guts, at least! response:	Kurugaya-san's movements aren't human!
context: Take this!\What an idiot.\I'll play with you for a bit.\You should have listened to your friend.\Making light of me will only end badly for you.\Not bad.\I admire your guts, at least!\Kurugaya-san's movements aren't human! response:	Inohara-kun! You can do it!
context: What an idiot.\I'll play with you for a bit.\You should have listened to your friend.\Making light of me will only end badly for you.\Not bad.\I admire your guts, at least!\Kurugaya-san's movements aren't human!\Inohara-kun! You can do it! response:	I'd like her on our team.
context: I'll play with you for a bit.\You should have listened to your friend.\Making light of me will only end badly for you.\Not bad.\I admire your guts, at least!\Kurugaya-san's movements aren't human!\Inohara-kun! You can do it!\I'd like her on our team. response:	Here, Riki-kun.
context: You should have listened to your friend.\Making light of me will only end badly for you.\Not bad.\I admire your guts, at least!\Kurugaya-san's movements aren't human!\Inohara-kun! You can do it!\I'd like her on our team.\Here, Riki-kun. response:	All this exercise is making me thirsty.
context: Making light of me will only end badly for you.\Not bad.\I admire your guts, at least!\Kurugaya-san's movements aren't human!\Inohara-kun! You can do it!\I'd like her on our team.\Here, Riki-kun.\All this exercise is making me thirsty. response:	Get me a sports drink.
context: Not bad.\I admire your guts, at least!\Kurugaya-san's movements aren't human!\Inohara-kun! You can do it!\I'd like her on our team.\Here, Riki-kun.\All this exercise is making me thirsty.\Get me a sports drink. response:	O-Okay...
context: I admire your guts, at least!\Kurugaya-san's movements aren't human!\Inohara-kun! You can do it!\I'd like her on our team.\Here, Riki-kun.\All this exercise is making me thirsty.\Get me a sports drink.\O-Okay... response:	Quit screwing around!
context: Kurugaya-san's movements aren't human!\Inohara-kun! You can do it!\I'd like her on our team.\Here, Riki-kun.\All this exercise is making me thirsty.\Get me a sports drink.\O-Okay...\Quit screwing around! response:	This is the end.
context: Inohara-kun! You can do it!\I'd like her on our team.\Here, Riki-kun.\All this exercise is making me thirsty.\Get me a sports drink.\O-Okay...\Quit screwing around!\This is the end. response:	If you're going to surrender, now's the time.
context: I'd like her on our team.\Here, Riki-kun.\All this exercise is making me thirsty.\Get me a sports drink.\O-Okay...\Quit screwing around!\This is the end.\If you're going to surrender, now's the time. response:	If you cry and beg at my feet, I might forgive you.
context: Here, Riki-kun.\All this exercise is making me thirsty.\Get me a sports drink.\O-Okay...\Quit screwing around!\This is the end.\If you're going to surrender, now's the time.\If you cry and beg at my feet, I might forgive you. response:	I'm afraid you just released my final limiter.
context: All this exercise is making me thirsty.\Get me a sports drink.\O-Okay...\Quit screwing around!\This is the end.\If you're going to surrender, now's the time.\If you cry and beg at my feet, I might forgive you.\I'm afraid you just released my final limiter. response:	My anger has reached its ecstasy!
context: Get me a sports drink.\O-Okay...\Quit screwing around!\This is the end.\If you're going to surrender, now's the time.\If you cry and beg at my feet, I might forgive you.\I'm afraid you just released my final limiter.\My anger has reached its ecstasy! response:	He messed up...
context: O-Okay...\Quit screwing around!\This is the end.\If you're going to surrender, now's the time.\If you cry and beg at my feet, I might forgive you.\I'm afraid you just released my final limiter.\My anger has reached its ecstasy!\He messed up... response:	Reached its climax.
context: Quit screwing around!\This is the end.\If you're going to surrender, now's the time.\If you cry and beg at my feet, I might forgive you.\I'm afraid you just released my final limiter.\My anger has reached its ecstasy!\He messed up...\Reached its climax. response:	Has reached its climax!
context: This is the end.\If you're going to surrender, now's the time.\If you cry and beg at my feet, I might forgive you.\I'm afraid you just released my final limiter.\My anger has reached its ecstasy!\He messed up...\Reached its climax.\Has reached its climax! response:	He corrected himself...
context: If you're going to surrender, now's the time.\If you cry and beg at my feet, I might forgive you.\I'm afraid you just released my final limiter.\My anger has reached its ecstasy!\He messed up...\Reached its climax.\Has reached its climax!\He corrected himself... response:	Idiot.
context: If you cry and beg at my feet, I might forgive you.\I'm afraid you just released my final limiter.\My anger has reached its ecstasy!\He messed up...\Reached its climax.\Has reached its climax!\He corrected himself...\Idiot. response:	Feel free to do your screaming in ecstasy, then.
context: I'm afraid you just released my final limiter.\My anger has reached its ecstasy!\He messed up...\Reached its climax.\Has reached its climax!\He corrected himself...\Idiot.\Feel free to do your screaming in ecstasy, then. response:	Take this!
context: My anger has reached its ecstasy!\He messed up...\Reached its climax.\Has reached its climax!\He corrected himself...\Idiot.\Feel free to do your screaming in ecstasy, then.\Take this! response:	Go, Popping Bluebeard!
