context: Granny, I've found him. response:	The person who's the most important to me.
context: Let's play a game.\For every basket you score, the other must answer a question.\And you must tell the truth.\Three times each.\You can shoot here,\And I'll be shooting from here.\Nope.\You'll be shooting from here. response:	Didn't expect you to be this pushy.
context: For every basket you score, the other must answer a question.\And you must tell the truth.\Three times each.\You can shoot here,\And I'll be shooting from here.\Nope.\You'll be shooting from here.\Didn't expect you to be this pushy. response:	It's fine if you don't want to.
context: And you must tell the truth.\Three times each.\You can shoot here,\And I'll be shooting from here.\Nope.\You'll be shooting from here.\Didn't expect you to be this pushy.\It's fine if you don't want to. response:	Got it.
context: Three times each.\You can shoot here,\And I'll be shooting from here.\Nope.\You'll be shooting from here.\Didn't expect you to be this pushy.\It's fine if you don't want to.\Got it. response:	When he woke up in the morning, he heard a cackling voice.
context: You can shoot here,\And I'll be shooting from here.\Nope.\You'll be shooting from here.\Didn't expect you to be this pushy.\It's fine if you don't want to.\Got it.\When he woke up in the morning, he heard a cackling voice. response:	Turns out that it was Ground, pecking feed off the ground.
context: And I'll be shooting from here.\Nope.\You'll be shooting from here.\Didn't expect you to be this pushy.\It's fine if you don't want to.\Got it.\When he woke up in the morning, he heard a cackling voice.\Turns out that it was Ground, pecking feed off the ground. response:	Raigoumaru wanted to say that it was his share, but he didn't.
context: Nope.\You'll be shooting from here.\Didn't expect you to be this pushy.\It's fine if you don't want to.\Got it.\When he woke up in the morning, he heard a cackling voice.\Turns out that it was Ground, pecking feed off the ground.\Raigoumaru wanted to say that it was his share, but he didn't. response:	Because there was still a lot of food.
context: You'll be shooting from here.\Didn't expect you to be this pushy.\It's fine if you don't want to.\Got it.\When he woke up in the morning, he heard a cackling voice.\Turns out that it was Ground, pecking feed off the ground.\Raigoumaru wanted to say that it was his share, but he didn't.\Because there was still a lot of food. response:	Raigoumaru climbed up to the top of the hill.
context: Didn't expect you to be this pushy.\It's fine if you don't want to.\Got it.\When he woke up in the morning, he heard a cackling voice.\Turns out that it was Ground, pecking feed off the ground.\Raigoumaru wanted to say that it was his share, but he didn't.\Because there was still a lot of food.\Raigoumaru climbed up to the top of the hill. response:	It was a huge embankment, reaching 10 meters tall.
context: It's fine if you don't want to.\Got it.\When he woke up in the morning, he heard a cackling voice.\Turns out that it was Ground, pecking feed off the ground.\Raigoumaru wanted to say that it was his share, but he didn't.\Because there was still a lot of food.\Raigoumaru climbed up to the top of the hill.\It was a huge embankment, reaching 10 meters tall. response:	Looking from there, it seemed like the ground was the underworld.
context: Got it.\When he woke up in the morning, he heard a cackling voice.\Turns out that it was Ground, pecking feed off the ground.\Raigoumaru wanted to say that it was his share, but he didn't.\Because there was still a lot of food.\Raigoumaru climbed up to the top of the hill.\It was a huge embankment, reaching 10 meters tall.\Looking from there, it seemed like the ground was the underworld. response:	Now, let's fly! this is probably also part of the story
context: When he woke up in the morning, he heard a cackling voice.\Turns out that it was Ground, pecking feed off the ground.\Raigoumaru wanted to say that it was his share, but he didn't.\Because there was still a lot of food.\Raigoumaru climbed up to the top of the hill.\It was a huge embankment, reaching 10 meters tall.\Looking from there, it seemed like the ground was the underworld.\Now, let's fly! this is probably also part of the story response:	It's wonderful...
context: Turns out that it was Ground, pecking feed off the ground.\Raigoumaru wanted to say that it was his share, but he didn't.\Because there was still a lot of food.\Raigoumaru climbed up to the top of the hill.\It was a huge embankment, reaching 10 meters tall.\Looking from there, it seemed like the ground was the underworld.\Now, let's fly! this is probably also part of the story\It's wonderful... response:	I just got the urge to go see Ground.
context: Raigoumaru wanted to say that it was his share, but he didn't.\Because there was still a lot of food.\Raigoumaru climbed up to the top of the hill.\It was a huge embankment, reaching 10 meters tall.\Looking from there, it seemed like the ground was the underworld.\Now, let's fly! this is probably also part of the story\It's wonderful...\I just got the urge to go see Ground. response:	You got two baskets in, and I got zero.
context: Because there was still a lot of food.\Raigoumaru climbed up to the top of the hill.\It was a huge embankment, reaching 10 meters tall.\Looking from there, it seemed like the ground was the underworld.\Now, let's fly! this is probably also part of the story\It's wonderful...\I just got the urge to go see Ground.\You got two baskets in, and I got zero. response:	So what are they? Your questions.
context: Raigoumaru climbed up to the top of the hill.\It was a huge embankment, reaching 10 meters tall.\Looking from there, it seemed like the ground was the underworld.\Now, let's fly! this is probably also part of the story\It's wonderful...\I just got the urge to go see Ground.\You got two baskets in, and I got zero.\So what are they? Your questions. response:	How many boys has Isurugi Noe dated?
context: It was a huge embankment, reaching 10 meters tall.\Looking from there, it seemed like the ground was the underworld.\Now, let's fly! this is probably also part of the story\It's wonderful...\I just got the urge to go see Ground.\You got two baskets in, and I got zero.\So what are they? Your questions.\How many boys has Isurugi Noe dated? response:	What for?
context: Looking from there, it seemed like the ground was the underworld.\Now, let's fly! this is probably also part of the story\It's wonderful...\I just got the urge to go see Ground.\You got two baskets in, and I got zero.\So what are they? Your questions.\How many boys has Isurugi Noe dated?\What for? response:	Don't mind that.
context: Now, let's fly! this is probably also part of the story\It's wonderful...\I just got the urge to go see Ground.\You got two baskets in, and I got zero.\So what are they? Your questions.\How many boys has Isurugi Noe dated?\What for?\Don't mind that. response:	Zero.
context: It's wonderful...\I just got the urge to go see Ground.\You got two baskets in, and I got zero.\So what are they? Your questions.\How many boys has Isurugi Noe dated?\What for?\Don't mind that.\Zero. response:	Perhaps you misunderstood Noe.
context: I just got the urge to go see Ground.\You got two baskets in, and I got zero.\So what are they? Your questions.\How many boys has Isurugi Noe dated?\What for?\Don't mind that.\Zero.\Perhaps you misunderstood Noe. response:	Because she's different, a lot of things were said.
context: You got two baskets in, and I got zero.\So what are they? Your questions.\How many boys has Isurugi Noe dated?\What for?\Don't mind that.\Zero.\Perhaps you misunderstood Noe.\Because she's different, a lot of things were said. response:	Rumors spread, but Noe didn't do anything about it.
context: So what are they? Your questions.\How many boys has Isurugi Noe dated?\What for?\Don't mind that.\Zero.\Perhaps you misunderstood Noe.\Because she's different, a lot of things were said.\Rumors spread, but Noe didn't do anything about it. response:	She's strong.
context: How many boys has Isurugi Noe dated?\What for?\Don't mind that.\Zero.\Perhaps you misunderstood Noe.\Because she's different, a lot of things were said.\Rumors spread, but Noe didn't do anything about it.\She's strong. response:	Way back, she was always crying.
context: What for?\Don't mind that.\Zero.\Perhaps you misunderstood Noe.\Because she's different, a lot of things were said.\Rumors spread, but Noe didn't do anything about it.\She's strong.\Way back, she was always crying. response:	But, after a certain event,
context: Don't mind that.\Zero.\Perhaps you misunderstood Noe.\Because she's different, a lot of things were said.\Rumors spread, but Noe didn't do anything about it.\She's strong.\Way back, she was always crying.\But, after a certain event, response:	she stopped crying.
context: Zero.\Perhaps you misunderstood Noe.\Because she's different, a lot of things were said.\Rumors spread, but Noe didn't do anything about it.\She's strong.\Way back, she was always crying.\But, after a certain event,\she stopped crying. response:	Since then, she grew strong.
context: Perhaps you misunderstood Noe.\Because she's different, a lot of things were said.\Rumors spread, but Noe didn't do anything about it.\She's strong.\Way back, she was always crying.\But, after a certain event,\she stopped crying.\Since then, she grew strong. response:	But, in truth...
context: Because she's different, a lot of things were said.\Rumors spread, but Noe didn't do anything about it.\She's strong.\Way back, she was always crying.\But, after a certain event,\she stopped crying.\Since then, she grew strong.\But, in truth... response:	Siscon!
context: Rumors spread, but Noe didn't do anything about it.\She's strong.\Way back, she was always crying.\But, after a certain event,\she stopped crying.\Since then, she grew strong.\But, in truth...\Siscon! response:	TL Note: Like lolicon. Sister complex - somebody who is attracted to his sister in a more than familial way.
context: She's strong.\Way back, she was always crying.\But, after a certain event,\she stopped crying.\Since then, she grew strong.\But, in truth...\Siscon!\TL Note: Like lolicon. Sister complex - somebody who is attracted to his sister in a more than familial way. response:	So even you can make that kind of face.
context: Way back, she was always crying.\But, after a certain event,\she stopped crying.\Since then, she grew strong.\But, in truth...\Siscon!\TL Note: Like lolicon. Sister complex - somebody who is attracted to his sister in a more than familial way.\So even you can make that kind of face. response:	What's the next question?
context: But, after a certain event,\she stopped crying.\Since then, she grew strong.\But, in truth...\Siscon!\TL Note: Like lolicon. Sister complex - somebody who is attracted to his sister in a more than familial way.\So even you can make that kind of face.\What's the next question? response:	Why are you going out with me?
context: she stopped crying.\Since then, she grew strong.\But, in truth...\Siscon!\TL Note: Like lolicon. Sister complex - somebody who is attracted to his sister in a more than familial way.\So even you can make that kind of face.\What's the next question?\Why are you going out with me? response:	It was Nakagami Shinichirou who asked me to go out with you.
context: Since then, she grew strong.\But, in truth...\Siscon!\TL Note: Like lolicon. Sister complex - somebody who is attracted to his sister in a more than familial way.\So even you can make that kind of face.\What's the next question?\Why are you going out with me?\It was Nakagami Shinichirou who asked me to go out with you. response:	As an exchange, he's going out with Noe.
context: But, in truth...\Siscon!\TL Note: Like lolicon. Sister complex - somebody who is attracted to his sister in a more than familial way.\So even you can make that kind of face.\What's the next question?\Why are you going out with me?\It was Nakagami Shinichirou who asked me to go out with you.\As an exchange, he's going out with Noe. response:	What the hell's that?
context: Siscon!\TL Note: Like lolicon. Sister complex - somebody who is attracted to his sister in a more than familial way.\So even you can make that kind of face.\What's the next question?\Why are you going out with me?\It was Nakagami Shinichirou who asked me to go out with you.\As an exchange, he's going out with Noe.\What the hell's that? response:	That's how it is.
context: TL Note: Like lolicon. Sister complex - somebody who is attracted to his sister in a more than familial way.\So even you can make that kind of face.\What's the next question?\Why are you going out with me?\It was Nakagami Shinichirou who asked me to go out with you.\As an exchange, he's going out with Noe.\What the hell's that?\That's how it is. response:	So that means,
context: So even you can make that kind of face.\What's the next question?\Why are you going out with me?\It was Nakagami Shinichirou who asked me to go out with you.\As an exchange, he's going out with Noe.\What the hell's that?\That's how it is.\So that means, response:	If one side breaks up,
context: What's the next question?\Why are you going out with me?\It was Nakagami Shinichirou who asked me to go out with you.\As an exchange, he's going out with Noe.\What the hell's that?\That's how it is.\So that means,\If one side breaks up, response:	The other must break up as well, isn't that right?
context: Why are you going out with me?\It was Nakagami Shinichirou who asked me to go out with you.\As an exchange, he's going out with Noe.\What the hell's that?\That's how it is.\So that means,\If one side breaks up,\The other must break up as well, isn't that right? response:	That would be troublesome for me.
context: It was Nakagami Shinichirou who asked me to go out with you.\As an exchange, he's going out with Noe.\What the hell's that?\That's how it is.\So that means,\If one side breaks up,\The other must break up as well, isn't that right?\That would be troublesome for me. response:	No matter what you ask for, I will hear you out, so...
context: As an exchange, he's going out with Noe.\What the hell's that?\That's how it is.\So that means,\If one side breaks up,\The other must break up as well, isn't that right?\That would be troublesome for me.\No matter what you ask for, I will hear you out, so... response:	It's my first time to come to school on a day off.
context: What the hell's that?\That's how it is.\So that means,\If one side breaks up,\The other must break up as well, isn't that right?\That would be troublesome for me.\No matter what you ask for, I will hear you out, so...\It's my first time to come to school on a day off. response:	I like it.
context: That's how it is.\So that means,\If one side breaks up,\The other must break up as well, isn't that right?\That would be troublesome for me.\No matter what you ask for, I will hear you out, so...\It's my first time to come to school on a day off.\I like it. response:	To be at the school with Shinichirou when no one else's there.
context: So that means,\If one side breaks up,\The other must break up as well, isn't that right?\That would be troublesome for me.\No matter what you ask for, I will hear you out, so...\It's my first time to come to school on a day off.\I like it.\To be at the school with Shinichirou when no one else's there. response:	Noe...
context: If one side breaks up,\The other must break up as well, isn't that right?\That would be troublesome for me.\No matter what you ask for, I will hear you out, so...\It's my first time to come to school on a day off.\I like it.\To be at the school with Shinichirou when no one else's there.\Noe... response:	Onii-chan...
context: The other must break up as well, isn't that right?\That would be troublesome for me.\No matter what you ask for, I will hear you out, so...\It's my first time to come to school on a day off.\I like it.\To be at the school with Shinichirou when no one else's there.\Noe...\Onii-chan... response:	Looks like it's going well for you.
context: That would be troublesome for me.\No matter what you ask for, I will hear you out, so...\It's my first time to come to school on a day off.\I like it.\To be at the school with Shinichirou when no one else's there.\Noe...\Onii-chan...\Looks like it's going well for you. response:	Same for you.
context: No matter what you ask for, I will hear you out, so...\It's my first time to come to school on a day off.\I like it.\To be at the school with Shinichirou when no one else's there.\Noe...\Onii-chan...\Looks like it's going well for you.\Same for you. response:	I've got a slightly better opinion of you now.
context: It's my first time to come to school on a day off.\I like it.\To be at the school with Shinichirou when no one else's there.\Noe...\Onii-chan...\Looks like it's going well for you.\Same for you.\I've got a slightly better opinion of you now. response:	Since you are the first one who seriously got in a fight with me.
context: I like it.\To be at the school with Shinichirou when no one else's there.\Noe...\Onii-chan...\Looks like it's going well for you.\Same for you.\I've got a slightly better opinion of you now.\Since you are the first one who seriously got in a fight with me. response:	That's a cute smile.
context: To be at the school with Shinichirou when no one else's there.\Noe...\Onii-chan...\Looks like it's going well for you.\Same for you.\I've got a slightly better opinion of you now.\Since you are the first one who seriously got in a fight with me.\That's a cute smile. response:	You used that innocent face to grab a hold of Shinichirou's heart, right?
context: Noe...\Onii-chan...\Looks like it's going well for you.\Same for you.\I've got a slightly better opinion of you now.\Since you are the first one who seriously got in a fight with me.\That's a cute smile.\You used that innocent face to grab a hold of Shinichirou's heart, right? response:	That's incredible.
context: Onii-chan...\Looks like it's going well for you.\Same for you.\I've got a slightly better opinion of you now.\Since you are the first one who seriously got in a fight with me.\That's a cute smile.\You used that innocent face to grab a hold of Shinichirou's heart, right?\That's incredible. response:	I'm heading home.
context: Looks like it's going well for you.\Same for you.\I've got a slightly better opinion of you now.\Since you are the first one who seriously got in a fight with me.\That's a cute smile.\You used that innocent face to grab a hold of Shinichirou's heart, right?\That's incredible.\I'm heading home. response:	Hey!
context: Same for you.\I've got a slightly better opinion of you now.\Since you are the first one who seriously got in a fight with me.\That's a cute smile.\You used that innocent face to grab a hold of Shinichirou's heart, right?\That's incredible.\I'm heading home.\Hey! response:	Do you think the words that slipped from my lips were my true feelings?
context: I've got a slightly better opinion of you now.\Since you are the first one who seriously got in a fight with me.\That's a cute smile.\You used that innocent face to grab a hold of Shinichirou's heart, right?\That's incredible.\I'm heading home.\Hey!\Do you think the words that slipped from my lips were my true feelings? response:	Eh?
context: Since you are the first one who seriously got in a fight with me.\That's a cute smile.\You used that innocent face to grab a hold of Shinichirou's heart, right?\That's incredible.\I'm heading home.\Hey!\Do you think the words that slipped from my lips were my true feelings?\Eh? response:	I don't want to think that way, though...
context: That's a cute smile.\You used that innocent face to grab a hold of Shinichirou's heart, right?\That's incredible.\I'm heading home.\Hey!\Do you think the words that slipped from my lips were my true feelings?\Eh?\I don't want to think that way, though... response:	Things like that happen often, don't they?
context: You used that innocent face to grab a hold of Shinichirou's heart, right?\That's incredible.\I'm heading home.\Hey!\Do you think the words that slipped from my lips were my true feelings?\Eh?\I don't want to think that way, though...\Things like that happen often, don't they? response:	But if you could control your feelings freely,
context: That's incredible.\I'm heading home.\Hey!\Do you think the words that slipped from my lips were my true feelings?\Eh?\I don't want to think that way, though...\Things like that happen often, don't they?\But if you could control your feelings freely, response:	I wonder how easy life would be.
context: I'm heading home.\Hey!\Do you think the words that slipped from my lips were my true feelings?\Eh?\I don't want to think that way, though...\Things like that happen often, don't they?\But if you could control your feelings freely,\I wonder how easy life would be. response:	I'm saying the exact same things...
context: Hey!\Do you think the words that slipped from my lips were my true feelings?\Eh?\I don't want to think that way, though...\Things like that happen often, don't they?\But if you could control your feelings freely,\I wonder how easy life would be.\I'm saying the exact same things... response:	What?
context: Do you think the words that slipped from my lips were my true feelings?\Eh?\I don't want to think that way, though...\Things like that happen often, don't they?\But if you could control your feelings freely,\I wonder how easy life would be.\I'm saying the exact same things...\What? response:	You surprised me, suddenly showing up there...
context: Eh?\I don't want to think that way, though...\Things like that happen often, don't they?\But if you could control your feelings freely,\I wonder how easy life would be.\I'm saying the exact same things...\What?\You surprised me, suddenly showing up there... response:	This was my mother, right?
context: I don't want to think that way, though...\Things like that happen often, don't they?\But if you could control your feelings freely,\I wonder how easy life would be.\I'm saying the exact same things...\What?\You surprised me, suddenly showing up there...\This was my mother, right? response:	Couldn't blame you.
context: Things like that happen often, don't they?\But if you could control your feelings freely,\I wonder how easy life would be.\I'm saying the exact same things...\What?\You surprised me, suddenly showing up there...\This was my mother, right?\Couldn't blame you. response:	I might have done the same thing if I were you.
context: But if you could control your feelings freely,\I wonder how easy life would be.\I'm saying the exact same things...\What?\You surprised me, suddenly showing up there...\This was my mother, right?\Couldn't blame you.\I might have done the same thing if I were you. response:	But...
context: I wonder how easy life would be.\I'm saying the exact same things...\What?\You surprised me, suddenly showing up there...\This was my mother, right?\Couldn't blame you.\I might have done the same thing if I were you.\But... response:	You know, that's actually...
context: I'm saying the exact same things...\What?\You surprised me, suddenly showing up there...\This was my mother, right?\Couldn't blame you.\I might have done the same thing if I were you.\But...\You know, that's actually... response:	Still, that was my mother!
context: What?\You surprised me, suddenly showing up there...\This was my mother, right?\Couldn't blame you.\I might have done the same thing if I were you.\But...\You know, that's actually...\Still, that was my mother! response:	Hiromi...
context: You surprised me, suddenly showing up there...\This was my mother, right?\Couldn't blame you.\I might have done the same thing if I were you.\But...\You know, that's actually...\Still, that was my mother!\Hiromi... response:	I shouldn't have come to this family.
context: This was my mother, right?\Couldn't blame you.\I might have done the same thing if I were you.\But...\You know, that's actually...\Still, that was my mother!\Hiromi...\I shouldn't have come to this family. response:	It was a mistake coming here...
context: Couldn't blame you.\I might have done the same thing if I were you.\But...\You know, that's actually...\Still, that was my mother!\Hiromi...\I shouldn't have come to this family.\It was a mistake coming here... response:	Sorry for being a bother till now!
context: I might have done the same thing if I were you.\But...\You know, that's actually...\Still, that was my mother!\Hiromi...\I shouldn't have come to this family.\It was a mistake coming here...\Sorry for being a bother till now! response:	Take me on a ride on your bike.
context: But...\You know, that's actually...\Still, that was my mother!\Hiromi...\I shouldn't have come to this family.\It was a mistake coming here...\Sorry for being a bother till now!\Take me on a ride on your bike. response:	I've told you. No riding while there's snow.
context: You know, that's actually...\Still, that was my mother!\Hiromi...\I shouldn't have come to this family.\It was a mistake coming here...\Sorry for being a bother till now!\Take me on a ride on your bike.\I've told you. No riding while there's snow. response:	I don't want to die just yet.
context: Still, that was my mother!\Hiromi...\I shouldn't have come to this family.\It was a mistake coming here...\Sorry for being a bother till now!\Take me on a ride on your bike.\I've told you. No riding while there's snow.\I don't want to die just yet. response:	You told me you'd hear me out, no matter what it was, right?
context: Hiromi...\I shouldn't have come to this family.\It was a mistake coming here...\Sorry for being a bother till now!\Take me on a ride on your bike.\I've told you. No riding while there's snow.\I don't want to die just yet.\You told me you'd hear me out, no matter what it was, right? response:	Where do you want to go?
context: I shouldn't have come to this family.\It was a mistake coming here...\Sorry for being a bother till now!\Take me on a ride on your bike.\I've told you. No riding while there's snow.\I don't want to die just yet.\You told me you'd hear me out, no matter what it was, right?\Where do you want to go? response:	To a town where it doesn't snow.
context: It was a mistake coming here...\Sorry for being a bother till now!\Take me on a ride on your bike.\I've told you. No riding while there's snow.\I don't want to die just yet.\You told me you'd hear me out, no matter what it was, right?\Where do you want to go?\To a town where it doesn't snow. response:	During the festival, I'll be at the front row looking at Shinichirou dancing!
context: Sorry for being a bother till now!\Take me on a ride on your bike.\I've told you. No riding while there's snow.\I don't want to die just yet.\You told me you'd hear me out, no matter what it was, right?\Where do you want to go?\To a town where it doesn't snow.\During the festival, I'll be at the front row looking at Shinichirou dancing! response:	Well, despite all those expectations, my dancing isn't that nice.
context: Take me on a ride on your bike.\I've told you. No riding while there's snow.\I don't want to die just yet.\You told me you'd hear me out, no matter what it was, right?\Where do you want to go?\To a town where it doesn't snow.\During the festival, I'll be at the front row looking at Shinichirou dancing!\Well, despite all those expectations, my dancing isn't that nice. response:	Hey, promise me,
context: I've told you. No riding while there's snow.\I don't want to die just yet.\You told me you'd hear me out, no matter what it was, right?\Where do you want to go?\To a town where it doesn't snow.\During the festival, I'll be at the front row looking at Shinichirou dancing!\Well, despite all those expectations, my dancing isn't that nice.\Hey, promise me, response:	If you spot me in the crowd during the dance,
context: I don't want to die just yet.\You told me you'd hear me out, no matter what it was, right?\Where do you want to go?\To a town where it doesn't snow.\During the festival, I'll be at the front row looking at Shinichirou dancing!\Well, despite all those expectations, my dancing isn't that nice.\Hey, promise me,\If you spot me in the crowd during the dance, response:	Fly high, like Raigoumaru!
context: You told me you'd hear me out, no matter what it was, right?\Where do you want to go?\To a town where it doesn't snow.\During the festival, I'll be at the front row looking at Shinichirou dancing!\Well, despite all those expectations, my dancing isn't that nice.\Hey, promise me,\If you spot me in the crowd during the dance,\Fly high, like Raigoumaru! response:	I couldn't do that!
context: Where do you want to go?\To a town where it doesn't snow.\During the festival, I'll be at the front row looking at Shinichirou dancing!\Well, despite all those expectations, my dancing isn't that nice.\Hey, promise me,\If you spot me in the crowd during the dance,\Fly high, like Raigoumaru!\I couldn't do that! response:	Besides, the choreography is already decided.
context: To a town where it doesn't snow.\During the festival, I'll be at the front row looking at Shinichirou dancing!\Well, despite all those expectations, my dancing isn't that nice.\Hey, promise me,\If you spot me in the crowd during the dance,\Fly high, like Raigoumaru!\I couldn't do that!\Besides, the choreography is already decided. response:	It's fine if you do something that only I would understand, right?
context: During the festival, I'll be at the front row looking at Shinichirou dancing!\Well, despite all those expectations, my dancing isn't that nice.\Hey, promise me,\If you spot me in the crowd during the dance,\Fly high, like Raigoumaru!\I couldn't do that!\Besides, the choreography is already decided.\It's fine if you do something that only I would understand, right? response:	Well, sure...
context: Well, despite all those expectations, my dancing isn't that nice.\Hey, promise me,\If you spot me in the crowd during the dance,\Fly high, like Raigoumaru!\I couldn't do that!\Besides, the choreography is already decided.\It's fine if you do something that only I would understand, right?\Well, sure... response:	Also, the picture book.
context: Hey, promise me,\If you spot me in the crowd during the dance,\Fly high, like Raigoumaru!\I couldn't do that!\Besides, the choreography is already decided.\It's fine if you do something that only I would understand, right?\Well, sure...\Also, the picture book. response:	Finish it quickly.
context: If you spot me in the crowd during the dance,\Fly high, like Raigoumaru!\I couldn't do that!\Besides, the choreography is already decided.\It's fine if you do something that only I would understand, right?\Well, sure...\Also, the picture book.\Finish it quickly. response:	Shinichirou in a dress as well as the picture book...
context: Fly high, like Raigoumaru!\I couldn't do that!\Besides, the choreography is already decided.\It's fine if you do something that only I would understand, right?\Well, sure...\Also, the picture book.\Finish it quickly.\Shinichirou in a dress as well as the picture book... response:	Before winter ends, I should be able to see it, right?
context: I couldn't do that!\Besides, the choreography is already decided.\It's fine if you do something that only I would understand, right?\Well, sure...\Also, the picture book.\Finish it quickly.\Shinichirou in a dress as well as the picture book...\Before winter ends, I should be able to see it, right? response:	Yeah, I bet.
context: Besides, the choreography is already decided.\It's fine if you do something that only I would understand, right?\Well, sure...\Also, the picture book.\Finish it quickly.\Shinichirou in a dress as well as the picture book...\Before winter ends, I should be able to see it, right?\Yeah, I bet. response:	Riding a bike, even when there's snow...?
context: It's fine if you do something that only I would understand, right?\Well, sure...\Also, the picture book.\Finish it quickly.\Shinichirou in a dress as well as the picture book...\Before winter ends, I should be able to see it, right?\Yeah, I bet.\Riding a bike, even when there's snow...? response:	Hiromi!
context: Well, sure...\Also, the picture book.\Finish it quickly.\Shinichirou in a dress as well as the picture book...\Before winter ends, I should be able to see it, right?\Yeah, I bet.\Riding a bike, even when there's snow...?\Hiromi! response:	Was that onii-chan?
context: Also, the picture book.\Finish it quickly.\Shinichirou in a dress as well as the picture book...\Before winter ends, I should be able to see it, right?\Yeah, I bet.\Riding a bike, even when there's snow...?\Hiromi!\Was that onii-chan? response:	No way...
context: Finish it quickly.\Shinichirou in a dress as well as the picture book...\Before winter ends, I should be able to see it, right?\Yeah, I bet.\Riding a bike, even when there's snow...?\Hiromi!\Was that onii-chan?\No way... response:	I grew tired...
context: Shinichirou in a dress as well as the picture book...\Before winter ends, I should be able to see it, right?\Yeah, I bet.\Riding a bike, even when there's snow...?\Hiromi!\Was that onii-chan?\No way...\I grew tired... response:	Could you stay here for a bit longer?
context: Before winter ends, I should be able to see it, right?\Yeah, I bet.\Riding a bike, even when there's snow...?\Hiromi!\Was that onii-chan?\No way...\I grew tired...\Could you stay here for a bit longer? response:	Mom, you're acting too strange.
context: Yeah, I bet.\Riding a bike, even when there's snow...?\Hiromi!\Was that onii-chan?\No way...\I grew tired...\Could you stay here for a bit longer?\Mom, you're acting too strange. response:	All you've done is teaching Hiromi these strange ways of thinking.
context: Riding a bike, even when there's snow...?\Hiromi!\Was that onii-chan?\No way...\I grew tired...\Could you stay here for a bit longer?\Mom, you're acting too strange.\All you've done is teaching Hiromi these strange ways of thinking. response:	Flying isn't easy...
