context: Everyone's ready. response:	Man, we have exams coming up,
context: I don't have a choice anymore.\He got away.\I can't go to training camp.\I'd like to leave the team.\Why?\Exams are coming up next week.\No, no.\What I mean is... response:	Why is someone pretending to be Nakano-san?
context: He got away.\I can't go to training camp.\I'd like to leave the team.\Why?\Exams are coming up next week.\No, no.\What I mean is...\Why is someone pretending to be Nakano-san? response:	Huh?!
context: I can't go to training camp.\I'd like to leave the team.\Why?\Exams are coming up next week.\No, no.\What I mean is...\Why is someone pretending to be Nakano-san?\Huh?! response:	Gotcha!
context: I'd like to leave the team.\Why?\Exams are coming up next week.\No, no.\What I mean is...\Why is someone pretending to be Nakano-san?\Huh?!\Gotcha! response:	I caught the groper!
context: Why?\Exams are coming up next week.\No, no.\What I mean is...\Why is someone pretending to be Nakano-san?\Huh?!\Gotcha!\I caught the groper! response:	This smell...
context: Exams are coming up next week.\No, no.\What I mean is...\Why is someone pretending to be Nakano-san?\Huh?!\Gotcha!\I caught the groper!\This smell... response:	You're too heavy.
context: No, no.\What I mean is...\Why is someone pretending to be Nakano-san?\Huh?!\Gotcha!\I caught the groper!\This smell...\You're too heavy. response:	U-Uesugi-san?!
context: What I mean is...\Why is someone pretending to be Nakano-san?\Huh?!\Gotcha!\I caught the groper!\This smell...\You're too heavy.\U-Uesugi-san?! response:	Why?!
context: Why is someone pretending to be Nakano-san?\Huh?!\Gotcha!\I caught the groper!\This smell...\You're too heavy.\U-Uesugi-san?!\Why?! response:	Well, there you have it.
context: Huh?!\Gotcha!\I caught the groper!\This smell...\You're too heavy.\U-Uesugi-san?!\Why?!\Well, there you have it. response:	Why did you stoop to groping?
context: Gotcha!\I caught the groper!\This smell...\You're too heavy.\U-Uesugi-san?!\Why?!\Well, there you have it.\Why did you stoop to groping? response:	No, that's a lie!
context: I caught the groper!\This smell...\You're too heavy.\U-Uesugi-san?!\Why?!\Well, there you have it.\Why did you stoop to groping?\No, that's a lie! response:	I lied to lure you away!
context: This smell...\You're too heavy.\U-Uesugi-san?!\Why?!\Well, there you have it.\Why did you stoop to groping?\No, that's a lie!\I lied to lure you away! response:	Huh? Me? What for?
context: You're too heavy.\U-Uesugi-san?!\Why?!\Well, there you have it.\Why did you stoop to groping?\No, that's a lie!\I lied to lure you away!\Huh? Me? What for? response:	Itsuki is requesting your resignation in your place.
context: U-Uesugi-san?!\Why?!\Well, there you have it.\Why did you stoop to groping?\No, that's a lie!\I lied to lure you away!\Huh? Me? What for?\Itsuki is requesting your resignation in your place. response:	Hey!
context: Why?!\Well, there you have it.\Why did you stoop to groping?\No, that's a lie!\I lied to lure you away!\Huh? Me? What for?\Itsuki is requesting your resignation in your place.\Hey! response:	You can't go back now!
context: Well, there you have it.\Why did you stoop to groping?\No, that's a lie!\I lied to lure you away!\Huh? Me? What for?\Itsuki is requesting your resignation in your place.\Hey!\You can't go back now! response:	I'll be fine!
context: Why did you stoop to groping?\No, that's a lie!\I lied to lure you away!\Huh? Me? What for?\Itsuki is requesting your resignation in your place.\Hey!\You can't go back now!\I'll be fine! response:	You have to stop...
context: No, that's a lie!\I lied to lure you away!\Huh? Me? What for?\Itsuki is requesting your resignation in your place.\Hey!\You can't go back now!\I'll be fine!\You have to stop... response:	Hide!
context: I lied to lure you away!\Huh? Me? What for?\Itsuki is requesting your resignation in your place.\Hey!\You can't go back now!\I'll be fine!\You have to stop...\Hide! response:	Something's not right.
context: Huh? Me? What for?\Itsuki is requesting your resignation in your place.\Hey!\You can't go back now!\I'll be fine!\You have to stop...\Hide!\Something's not right. response:	I-I'm Yotsuba!
context: Itsuki is requesting your resignation in your place.\Hey!\You can't go back now!\I'll be fine!\You have to stop...\Hide!\Something's not right.\I-I'm Yotsuba! response:	Look at this ribbon!
context: Hey!\You can't go back now!\I'll be fine!\You have to stop...\Hide!\Something's not right.\I-I'm Yotsuba!\Look at this ribbon! response:	Yeah, you look alike, but you aren't her.
context: You can't go back now!\I'll be fine!\You have to stop...\Hide!\Something's not right.\I-I'm Yotsuba!\Look at this ribbon!\Yeah, you look alike, but you aren't her. response:	Your hair's not the right length.
context: I'll be fine!\You have to stop...\Hide!\Something's not right.\I-I'm Yotsuba!\Look at this ribbon!\Yeah, you look alike, but you aren't her.\Your hair's not the right length. response:	Indeed!
context: You have to stop...\Hide!\Something's not right.\I-I'm Yotsuba!\Look at this ribbon!\Yeah, you look alike, but you aren't her.\Your hair's not the right length.\Indeed! response:	What an astute observation!
context: Hide!\Something's not right.\I-I'm Yotsuba!\Look at this ribbon!\Yeah, you look alike, but you aren't her.\Your hair's not the right length.\Indeed!\What an astute observation! response:	This happened before, too!
context: Something's not right.\I-I'm Yotsuba!\Look at this ribbon!\Yeah, you look alike, but you aren't her.\Your hair's not the right length.\Indeed!\What an astute observation!\This happened before, too! response:	You need to show more interest in other people!
context: I-I'm Yotsuba!\Look at this ribbon!\Yeah, you look alike, but you aren't her.\Your hair's not the right length.\Indeed!\What an astute observation!\This happened before, too!\You need to show more interest in other people! response:	Thank you for worrying for me.
context: Look at this ribbon!\Yeah, you look alike, but you aren't her.\Your hair's not the right length.\Indeed!\What an astute observation!\This happened before, too!\You need to show more interest in other people!\Thank you for worrying for me. response:	But I'm sorry, I'm going.
context: Yeah, you look alike, but you aren't her.\Your hair's not the right length.\Indeed!\What an astute observation!\This happened before, too!\You need to show more interest in other people!\Thank you for worrying for me.\But I'm sorry, I'm going. response:	Hey, wait!
context: Your hair's not the right length.\Indeed!\What an astute observation!\This happened before, too!\You need to show more interest in other people!\Thank you for worrying for me.\But I'm sorry, I'm going.\Hey, wait! response:	I'm back!
context: Indeed!\What an astute observation!\This happened before, too!\You need to show more interest in other people!\Thank you for worrying for me.\But I'm sorry, I'm going.\Hey, wait!\I'm back! response:	Sorry for the trouble, everyone.
context: What an astute observation!\This happened before, too!\You need to show more interest in other people!\Thank you for worrying for me.\But I'm sorry, I'm going.\Hey, wait!\I'm back!\Sorry for the trouble, everyone. response:	Nakano-san!
context: This happened before, too!\You need to show more interest in other people!\Thank you for worrying for me.\But I'm sorry, I'm going.\Hey, wait!\I'm back!\Sorry for the trouble, everyone.\Nakano-san! response:	That was just a prank.
context: You need to show more interest in other people!\Thank you for worrying for me.\But I'm sorry, I'm going.\Hey, wait!\I'm back!\Sorry for the trouble, everyone.\Nakano-san!\That was just a prank. response:	A quintuplet joke.
context: Thank you for worrying for me.\But I'm sorry, I'm going.\Hey, wait!\I'm back!\Sorry for the trouble, everyone.\Nakano-san!\That was just a prank.\A quintuplet joke. response:	Yotsuba...
context: But I'm sorry, I'm going.\Hey, wait!\I'm back!\Sorry for the trouble, everyone.\Nakano-san!\That was just a prank.\A quintuplet joke.\Yotsuba... response:	Oh, I see, it was a joke.
context: Hey, wait!\I'm back!\Sorry for the trouble, everyone.\Nakano-san!\That was just a prank.\A quintuplet joke.\Yotsuba...\Oh, I see, it was a joke. response:	Stop it. It's not funny.
context: I'm back!\Sorry for the trouble, everyone.\Nakano-san!\That was just a prank.\A quintuplet joke.\Yotsuba...\Oh, I see, it was a joke.\Stop it. It's not funny. response:	Though, it's true that I want to quit.
context: Sorry for the trouble, everyone.\Nakano-san!\That was just a prank.\A quintuplet joke.\Yotsuba...\Oh, I see, it was a joke.\Stop it. It's not funny.\Though, it's true that I want to quit. response:	N-Nakano-san... Why?
context: Nakano-san!\That was just a prank.\A quintuplet joke.\Yotsuba...\Oh, I see, it was a joke.\Stop it. It's not funny.\Though, it's true that I want to quit.\N-Nakano-san... Why? response:	Why?
context: That was just a prank.\A quintuplet joke.\Yotsuba...\Oh, I see, it was a joke.\Stop it. It's not funny.\Though, it's true that I want to quit.\N-Nakano-san... Why?\Why? response:	I mean, you have to be out of your mind to start a training camp right before exams.
context: A quintuplet joke.\Yotsuba...\Oh, I see, it was a joke.\Stop it. It's not funny.\Though, it's true that I want to quit.\N-Nakano-san... Why?\Why?\I mean, you have to be out of your mind to start a training camp right before exams. response:	Seriously. Out of your mind.
context: Yotsuba...\Oh, I see, it was a joke.\Stop it. It's not funny.\Though, it's true that I want to quit.\N-Nakano-san... Why?\Why?\I mean, you have to be out of your mind to start a training camp right before exams.\Seriously. Out of your mind. response:	R-Right...
context: Oh, I see, it was a joke.\Stop it. It's not funny.\Though, it's true that I want to quit.\N-Nakano-san... Why?\Why?\I mean, you have to be out of your mind to start a training camp right before exams.\Seriously. Out of your mind.\R-Right... response:	What's going on?
context: Stop it. It's not funny.\Though, it's true that I want to quit.\N-Nakano-san... Why?\Why?\I mean, you have to be out of your mind to start a training camp right before exams.\Seriously. Out of your mind.\R-Right...\What's going on? response:	I-It's happening...
context: Though, it's true that I want to quit.\N-Nakano-san... Why?\Why?\I mean, you have to be out of your mind to start a training camp right before exams.\Seriously. Out of your mind.\R-Right...\What's going on?\I-It's happening... response:	That's my doppelganger!
context: N-Nakano-san... Why?\Why?\I mean, you have to be out of your mind to start a training camp right before exams.\Seriously. Out of your mind.\R-Right...\What's going on?\I-It's happening...\That's my doppelganger! response:	Please don't kill me!
context: Why?\I mean, you have to be out of your mind to start a training camp right before exams.\Seriously. Out of your mind.\R-Right...\What's going on?\I-It's happening...\That's my doppelganger!\Please don't kill me! response:	Doppelganger? You mean...
context: I mean, you have to be out of your mind to start a training camp right before exams.\Seriously. Out of your mind.\R-Right...\What's going on?\I-It's happening...\That's my doppelganger!\Please don't kill me!\Doppelganger? You mean... response:	Oh!
context: Seriously. Out of your mind.\R-Right...\What's going on?\I-It's happening...\That's my doppelganger!\Please don't kill me!\Doppelganger? You mean...\Oh! response:	I made it in time.
context: R-Right...\What's going on?\I-It's happening...\That's my doppelganger!\Please don't kill me!\Doppelganger? You mean...\Oh!\I made it in time. response:	Ichika!
context: What's going on?\I-It's happening...\That's my doppelganger!\Please don't kill me!\Doppelganger? You mean...\Oh!\I made it in time.\Ichika! response:	That was a close one. Thanks.
context: I-It's happening...\That's my doppelganger!\Please don't kill me!\Doppelganger? You mean...\Oh!\I made it in time.\Ichika!\That was a close one. Thanks. response:	If you hadn't brought Miku...
context: That's my doppelganger!\Please don't kill me!\Doppelganger? You mean...\Oh!\I made it in time.\Ichika!\That was a close one. Thanks.\If you hadn't brought Miku... response:	I haven't done anything.
context: Please don't kill me!\Doppelganger? You mean...\Oh!\I made it in time.\Ichika!\That was a close one. Thanks.\If you hadn't brought Miku...\I haven't done anything. response:	Miku!
context: Doppelganger? You mean...\Oh!\I made it in time.\Ichika!\That was a close one. Thanks.\If you hadn't brought Miku...\I haven't done anything.\Miku! response:	Itsuki, Yotsuba, Ichika, Miku...
context: Oh!\I made it in time.\Ichika!\That was a close one. Thanks.\If you hadn't brought Miku...\I haven't done anything.\Miku!\Itsuki, Yotsuba, Ichika, Miku... response:	No...
context: I made it in time.\Ichika!\That was a close one. Thanks.\If you hadn't brought Miku...\I haven't done anything.\Miku!\Itsuki, Yotsuba, Ichika, Miku...\No... response:	When I arrived at the hotel, I saw Miku standing there with a pair of scissors.
context: Ichika!\That was a close one. Thanks.\If you hadn't brought Miku...\I haven't done anything.\Miku!\Itsuki, Yotsuba, Ichika, Miku...\No...\When I arrived at the hotel, I saw Miku standing there with a pair of scissors. response:	I don't know what exactly happened,
context: That was a close one. Thanks.\If you hadn't brought Miku...\I haven't done anything.\Miku!\Itsuki, Yotsuba, Ichika, Miku...\No...\When I arrived at the hotel, I saw Miku standing there with a pair of scissors.\I don't know what exactly happened, response:	but she must have had a change of heart.
context: If you hadn't brought Miku...\I haven't done anything.\Miku!\Itsuki, Yotsuba, Ichika, Miku...\No...\When I arrived at the hotel, I saw Miku standing there with a pair of scissors.\I don't know what exactly happened,\but she must have had a change of heart. response:	Right, Nino?
context: I haven't done anything.\Miku!\Itsuki, Yotsuba, Ichika, Miku...\No...\When I arrived at the hotel, I saw Miku standing there with a pair of scissors.\I don't know what exactly happened,\but she must have had a change of heart.\Right, Nino? response:	I can't believe you cut it so short.
context: Miku!\Itsuki, Yotsuba, Ichika, Miku...\No...\When I arrived at the hotel, I saw Miku standing there with a pair of scissors.\I don't know what exactly happened,\but she must have had a change of heart.\Right, Nino?\I can't believe you cut it so short. response:	Did you have you heart broken or something?
context: Itsuki, Yotsuba, Ichika, Miku...\No...\When I arrived at the hotel, I saw Miku standing there with a pair of scissors.\I don't know what exactly happened,\but she must have had a change of heart.\Right, Nino?\I can't believe you cut it so short.\Did you have you heart broken or something? response:	You could say that.
context: No...\When I arrived at the hotel, I saw Miku standing there with a pair of scissors.\I don't know what exactly happened,\but she must have had a change of heart.\Right, Nino?\I can't believe you cut it so short.\Did you have you heart broken or something?\You could say that. response:	By who?!
context: When I arrived at the hotel, I saw Miku standing there with a pair of scissors.\I don't know what exactly happened,\but she must have had a change of heart.\Right, Nino?\I can't believe you cut it so short.\Did you have you heart broken or something?\You could say that.\By who?! response:	Do you know, Miku?
context: I don't know what exactly happened,\but she must have had a change of heart.\Right, Nino?\I can't believe you cut it so short.\Did you have you heart broken or something?\You could say that.\By who?!\Do you know, Miku? response:	What?
context: but she must have had a change of heart.\Right, Nino?\I can't believe you cut it so short.\Did you have you heart broken or something?\You could say that.\By who?!\Do you know, Miku?\What? response:	I don't.
context: Right, Nino?\I can't believe you cut it so short.\Did you have you heart broken or something?\You could say that.\By who?!\Do you know, Miku?\What?\I don't. response:	Just so you know, it wasn't you.
context: I can't believe you cut it so short.\Did you have you heart broken or something?\You could say that.\By who?!\Do you know, Miku?\What?\I don't.\Just so you know, it wasn't you. response:	R-Right.
context: Did you have you heart broken or something?\You could say that.\By who?!\Do you know, Miku?\What?\I don't.\Just so you know, it wasn't you.\R-Right. response:	Got it?
context: You could say that.\By who?!\Do you know, Miku?\What?\I don't.\Just so you know, it wasn't you.\R-Right.\Got it? response:	Goodbye, Kintaro-kun.
context: By who?!\Do you know, Miku?\What?\I don't.\Just so you know, it wasn't you.\R-Right.\Got it?\Goodbye, Kintaro-kun. response:	And goodbye.
context: Do you know, Miku?\What?\I don't.\Just so you know, it wasn't you.\R-Right.\Got it?\Goodbye, Kintaro-kun.\And goodbye. response:	Yotsuba.
context: What?\I don't.\Just so you know, it wasn't you.\R-Right.\Got it?\Goodbye, Kintaro-kun.\And goodbye.\Yotsuba. response:	I just did as I was asked.
context: I don't.\Just so you know, it wasn't you.\R-Right.\Got it?\Goodbye, Kintaro-kun.\And goodbye.\Yotsuba.\I just did as I was asked. response:	Are you happy?
context: Just so you know, it wasn't you.\R-Right.\Got it?\Goodbye, Kintaro-kun.\And goodbye.\Yotsuba.\I just did as I was asked.\Are you happy? response:	We didn't have to do this.
context: R-Right.\Got it?\Goodbye, Kintaro-kun.\And goodbye.\Yotsuba.\I just did as I was asked.\Are you happy?\We didn't have to do this. response:	I'm sure she would have understood if you'd talked to her honestly.
context: Got it?\Goodbye, Kintaro-kun.\And goodbye.\Yotsuba.\I just did as I was asked.\Are you happy?\We didn't have to do this.\I'm sure she would have understood if you'd talked to her honestly. response:	You need to change, too.
context: Goodbye, Kintaro-kun.\And goodbye.\Yotsuba.\I just did as I was asked.\Are you happy?\We didn't have to do this.\I'm sure she would have understood if you'd talked to her honestly.\You need to change, too. response:	It sucks, but it can't be all bad.
context: And goodbye.\Yotsuba.\I just did as I was asked.\Are you happy?\We didn't have to do this.\I'm sure she would have understood if you'd talked to her honestly.\You need to change, too.\It sucks, but it can't be all bad. response:	Yeah.
context: Yotsuba.\I just did as I was asked.\Are you happy?\We didn't have to do this.\I'm sure she would have understood if you'd talked to her honestly.\You need to change, too.\It sucks, but it can't be all bad.\Yeah. response:	I'll go.
context: I just did as I was asked.\Are you happy?\We didn't have to do this.\I'm sure she would have understood if you'd talked to her honestly.\You need to change, too.\It sucks, but it can't be all bad.\Yeah.\I'll go. response:	Want me to come with you?
context: Are you happy?\We didn't have to do this.\I'm sure she would have understood if you'd talked to her honestly.\You need to change, too.\It sucks, but it can't be all bad.\Yeah.\I'll go.\Want me to come with you? response:	Thanks, but I'll be all right by myself.
context: We didn't have to do this.\I'm sure she would have understood if you'd talked to her honestly.\You need to change, too.\It sucks, but it can't be all bad.\Yeah.\I'll go.\Want me to come with you?\Thanks, but I'll be all right by myself. response:	Nino, about the other day...
context: I'm sure she would have understood if you'd talked to her honestly.\You need to change, too.\It sucks, but it can't be all bad.\Yeah.\I'll go.\Want me to come with you?\Thanks, but I'll be all right by myself.\Nino, about the other day... response:	Stop.
context: You need to change, too.\It sucks, but it can't be all bad.\Yeah.\I'll go.\Want me to come with you?\Thanks, but I'll be all right by myself.\Nino, about the other day...\Stop. response:	Don't apologize.
context: It sucks, but it can't be all bad.\Yeah.\I'll go.\Want me to come with you?\Thanks, but I'll be all right by myself.\Nino, about the other day...\Stop.\Don't apologize. response:	You weren't wrong.
context: Yeah.\I'll go.\Want me to come with you?\Thanks, but I'll be all right by myself.\Nino, about the other day...\Stop.\Don't apologize.\You weren't wrong. response:	I was the one who was wrong.
context: I'll go.\Want me to come with you?\Thanks, but I'll be all right by myself.\Nino, about the other day...\Stop.\Don't apologize.\You weren't wrong.\I was the one who was wrong. response:	Sorry.
context: Want me to come with you?\Thanks, but I'll be all right by myself.\Nino, about the other day...\Stop.\Don't apologize.\You weren't wrong.\I was the one who was wrong.\Sorry. response:	Nino...
context: Thanks, but I'll be all right by myself.\Nino, about the other day...\Stop.\Don't apologize.\You weren't wrong.\I was the one who was wrong.\Sorry.\Nino... response:	If you were wrong about anything,
context: Nino, about the other day...\Stop.\Don't apologize.\You weren't wrong.\I was the one who was wrong.\Sorry.\Nino...\If you were wrong about anything, response:	it was how hard you hit me.
context: Stop.\Don't apologize.\You weren't wrong.\I was the one who was wrong.\Sorry.\Nino...\If you were wrong about anything,\it was how hard you hit me. response:	That really hurt.
context: Don't apologize.\You weren't wrong.\I was the one who was wrong.\Sorry.\Nino...\If you were wrong about anything,\it was how hard you hit me.\That really hurt. response:	Nino!
context: You weren't wrong.\I was the one who was wrong.\Sorry.\Nino...\If you were wrong about anything,\it was how hard you hit me.\That really hurt.\Nino! response:	Oh, right...
context: I was the one who was wrong.\Sorry.\Nino...\If you were wrong about anything,\it was how hard you hit me.\That really hurt.\Nino!\Oh, right... response:	I was going to give this to you as a token of my apology.
context: Sorry.\Nino...\If you were wrong about anything,\it was how hard you hit me.\That really hurt.\Nino!\Oh, right...\I was going to give this to you as a token of my apology. response:	Presale tickets for the movie you said you wanted to see the other day.
context: Nino...\If you were wrong about anything,\it was how hard you hit me.\That really hurt.\Nino!\Oh, right...\I was going to give this to you as a token of my apology.\Presale tickets for the movie you said you wanted to see the other day. response:	Let's go watch it together.
context: If you were wrong about anything,\it was how hard you hit me.\That really hurt.\Nino!\Oh, right...\I was going to give this to you as a token of my apology.\Presale tickets for the movie you said you wanted to see the other day.\Let's go watch it together. response:	Jeez, give me a break.
context: it was how hard you hit me.\That really hurt.\Nino!\Oh, right...\I was going to give this to you as a token of my apology.\Presale tickets for the movie you said you wanted to see the other day.\Let's go watch it together.\Jeez, give me a break. response:	Origins of Life: Unknown Mysteries
context: That really hurt.\Nino!\Oh, right...\I was going to give this to you as a token of my apology.\Presale tickets for the movie you said you wanted to see the other day.\Let's go watch it together.\Jeez, give me a break.\Origins of Life: Unknown Mysteries response:	Why does nothing ever work out the way you want it to?
context: Nino!\Oh, right...\I was going to give this to you as a token of my apology.\Presale tickets for the movie you said you wanted to see the other day.\Let's go watch it together.\Jeez, give me a break.\Origins of Life: Unknown Mysteries\Why does nothing ever work out the way you want it to? response:	I'm deeply sorry for the trouble I've caused.
context: Oh, right...\I was going to give this to you as a token of my apology.\Presale tickets for the movie you said you wanted to see the other day.\Let's go watch it together.\Jeez, give me a break.\Origins of Life: Unknown Mysteries\Why does nothing ever work out the way you want it to?\I'm deeply sorry for the trouble I've caused. response:	I've spoken with the track team.
context: I was going to give this to you as a token of my apology.\Presale tickets for the movie you said you wanted to see the other day.\Let's go watch it together.\Jeez, give me a break.\Origins of Life: Unknown Mysteries\Why does nothing ever work out the way you want it to?\I'm deeply sorry for the trouble I've caused.\I've spoken with the track team. response:	I'll help them with the meet, and then part ways with them.
context: Presale tickets for the movie you said you wanted to see the other day.\Let's go watch it together.\Jeez, give me a break.\Origins of Life: Unknown Mysteries\Why does nothing ever work out the way you want it to?\I'm deeply sorry for the trouble I've caused.\I've spoken with the track team.\I'll help them with the meet, and then part ways with them. response:	You're still hung up on that?
context: Let's go watch it together.\Jeez, give me a break.\Origins of Life: Unknown Mysteries\Why does nothing ever work out the way you want it to?\I'm deeply sorry for the trouble I've caused.\I've spoken with the track team.\I'll help them with the meet, and then part ways with them.\You're still hung up on that? response:	Hurry up and come in.
context: Jeez, give me a break.\Origins of Life: Unknown Mysteries\Why does nothing ever work out the way you want it to?\I'm deeply sorry for the trouble I've caused.\I've spoken with the track team.\I'll help them with the meet, and then part ways with them.\You're still hung up on that?\Hurry up and come in. response:	Okay!
context: Origins of Life: Unknown Mysteries\Why does nothing ever work out the way you want it to?\I'm deeply sorry for the trouble I've caused.\I've spoken with the track team.\I'll help them with the meet, and then part ways with them.\You're still hung up on that?\Hurry up and come in.\Okay! response:	Also, you two...
context: Why does nothing ever work out the way you want it to?\I'm deeply sorry for the trouble I've caused.\I've spoken with the track team.\I'll help them with the meet, and then part ways with them.\You're still hung up on that?\Hurry up and come in.\Okay!\Also, you two... response:	We're back.
context: I'm deeply sorry for the trouble I've caused.\I've spoken with the track team.\I'll help them with the meet, and then part ways with them.\You're still hung up on that?\Hurry up and come in.\Okay!\Also, you two...\We're back. response:	It looks like we've all finished our problem sets.
context: I've spoken with the track team.\I'll help them with the meet, and then part ways with them.\You're still hung up on that?\Hurry up and come in.\Okay!\Also, you two...\We're back.\It looks like we've all finished our problem sets. response:	I don't know if we've leveled up at all.
context: I'll help them with the meet, and then part ways with them.\You're still hung up on that?\Hurry up and come in.\Okay!\Also, you two...\We're back.\It looks like we've all finished our problem sets.\I don't know if we've leveled up at all. response:	Not to worry.
context: You're still hung up on that?\Hurry up and come in.\Okay!\Also, you two...\We're back.\It looks like we've all finished our problem sets.\I don't know if we've leveled up at all.\Not to worry. response:	I have a plan.
context: Hurry up and come in.\Okay!\Also, you two...\We're back.\It looks like we've all finished our problem sets.\I don't know if we've leveled up at all.\Not to worry.\I have a plan. response:	The crib sheet!
context: Okay!\Also, you two...\We're back.\It looks like we've all finished our problem sets.\I don't know if we've leveled up at all.\Not to worry.\I have a plan.\The crib sheet! response:	I-I didn't think you'd be the kind of person.
context: Also, you two...\We're back.\It looks like we've all finished our problem sets.\I don't know if we've leveled up at all.\Not to worry.\I have a plan.\The crib sheet!\I-I didn't think you'd be the kind of person. response:	What's the point of getting good grades if we have to cheat?!
context: We're back.\It looks like we've all finished our problem sets.\I don't know if we've leveled up at all.\Not to worry.\I have a plan.\The crib sheet!\I-I didn't think you'd be the kind of person.\What's the point of getting good grades if we have to cheat?! response:	Then study up!
context: It looks like we've all finished our problem sets.\I don't know if we've leveled up at all.\Not to worry.\I have a plan.\The crib sheet!\I-I didn't think you'd be the kind of person.\What's the point of getting good grades if we have to cheat?!\Then study up! response:	I'm whipping you into shape in the last two days so you don't have to resort to this!
context: I don't know if we've leveled up at all.\Not to worry.\I have a plan.\The crib sheet!\I-I didn't think you'd be the kind of person.\What's the point of getting good grades if we have to cheat?!\Then study up!\I'm whipping you into shape in the last two days so you don't have to resort to this! response:	Prepare yourselves!
context: Not to worry.\I have a plan.\The crib sheet!\I-I didn't think you'd be the kind of person.\What's the point of getting good grades if we have to cheat?!\Then study up!\I'm whipping you into shape in the last two days so you don't have to resort to this!\Prepare yourselves! response:	May I move forward with this plan?
context: I have a plan.\The crib sheet!\I-I didn't think you'd be the kind of person.\What's the point of getting good grades if we have to cheat?!\Then study up!\I'm whipping you into shape in the last two days so you don't have to resort to this!\Prepare yourselves!\May I move forward with this plan? response:	What?
context: The crib sheet!\I-I didn't think you'd be the kind of person.\What's the point of getting good grades if we have to cheat?!\Then study up!\I'm whipping you into shape in the last two days so you don't have to resort to this!\Prepare yourselves!\May I move forward with this plan?\What? response:	Why would you even ask after how much you've done already?
context: I-I didn't think you'd be the kind of person.\What's the point of getting good grades if we have to cheat?!\Then study up!\I'm whipping you into shape in the last two days so you don't have to resort to this!\Prepare yourselves!\May I move forward with this plan?\What?\Why would you even ask after how much you've done already? response:	I'll do it.
context: What's the point of getting good grades if we have to cheat?!\Then study up!\I'm whipping you into shape in the last two days so you don't have to resort to this!\Prepare yourselves!\May I move forward with this plan?\What?\Why would you even ask after how much you've done already?\I'll do it. response:	Thanks.
context: Then study up!\I'm whipping you into shape in the last two days so you don't have to resort to this!\Prepare yourselves!\May I move forward with this plan?\What?\Why would you even ask after how much you've done already?\I'll do it.\Thanks. response:	Let's get started.
context: I'm whipping you into shape in the last two days so you don't have to resort to this!\Prepare yourselves!\May I move forward with this plan?\What?\Why would you even ask after how much you've done already?\I'll do it.\Thanks.\Let's get started. response:	Hurry up.
context: Prepare yourselves!\May I move forward with this plan?\What?\Why would you even ask after how much you've done already?\I'll do it.\Thanks.\Let's get started.\Hurry up. response:	Okay.
context: May I move forward with this plan?\What?\Why would you even ask after how much you've done already?\I'll do it.\Thanks.\Let's get started.\Hurry up.\Okay. response:	I got all of the questions wrong.
context: What?\Why would you even ask after how much you've done already?\I'll do it.\Thanks.\Let's get started.\Hurry up.\Okay.\I got all of the questions wrong. response:	You said you were smart, but you're all talk, huh?
context: Why would you even ask after how much you've done already?\I'll do it.\Thanks.\Let's get started.\Hurry up.\Okay.\I got all of the questions wrong.\You said you were smart, but you're all talk, huh? response:	Why are you going out of your way for us?
context: I'll do it.\Thanks.\Let's get started.\Hurry up.\Okay.\I got all of the questions wrong.\You said you were smart, but you're all talk, huh?\Why are you going out of your way for us? response:	I'm never having you teach me!
context: Thanks.\Let's get started.\Hurry up.\Okay.\I got all of the questions wrong.\You said you were smart, but you're all talk, huh?\Why are you going out of your way for us?\I'm never having you teach me! response:	You should never have come into our lives!
context: Let's get started.\Hurry up.\Okay.\I got all of the questions wrong.\You said you were smart, but you're all talk, huh?\Why are you going out of your way for us?\I'm never having you teach me!\You should never have come into our lives! response:	Aren't you glad, Futaro?
context: Hurry up.\Okay.\I got all of the questions wrong.\You said you were smart, but you're all talk, huh?\Why are you going out of your way for us?\I'm never having you teach me!\You should never have come into our lives!\Aren't you glad, Futaro? response:	Not yet. We're just getting started.
context: Okay.\I got all of the questions wrong.\You said you were smart, but you're all talk, huh?\Why are you going out of your way for us?\I'm never having you teach me!\You should never have come into our lives!\Aren't you glad, Futaro?\Not yet. We're just getting started. response:	Today's the day.
context: I got all of the questions wrong.\You said you were smart, but you're all talk, huh?\Why are you going out of your way for us?\I'm never having you teach me!\You should never have come into our lives!\Aren't you glad, Futaro?\Not yet. We're just getting started.\Today's the day. response:	I'm worried.
context: You said you were smart, but you're all talk, huh?\Why are you going out of your way for us?\I'm never having you teach me!\You should never have come into our lives!\Aren't you glad, Futaro?\Not yet. We're just getting started.\Today's the day.\I'm worried. response:	We did everything we could.
context: Why are you going out of your way for us?\I'm never having you teach me!\You should never have come into our lives!\Aren't you glad, Futaro?\Not yet. We're just getting started.\Today's the day.\I'm worried.\We did everything we could. response:	Right, Uesugi-san?
context: I'm never having you teach me!\You should never have come into our lives!\Aren't you glad, Futaro?\Not yet. We're just getting started.\Today's the day.\I'm worried.\We did everything we could.\Right, Uesugi-san? response:	Huh?
context: You should never have come into our lives!\Aren't you glad, Futaro?\Not yet. We're just getting started.\Today's the day.\I'm worried.\We did everything we could.\Right, Uesugi-san?\Huh? response:	Where's Uesugi-san?
context: Aren't you glad, Futaro?\Not yet. We're just getting started.\Today's the day.\I'm worried.\We did everything we could.\Right, Uesugi-san?\Huh?\Where's Uesugi-san? response:	He said he's calling Raiha-chan.
