context: W-What?! Legion?! response:	Then the ones that attacked us are from Zentopia?
context: Cana-chan, did you hear that?\A little bit.\How about going with Papa?\What could be better than a father and daughter trip, right?\Why don't you go by yourself?\You're always so mean to me, Cana-chan...\Get going!\See you later! response:	Why don't you try being a little nicer to him?
context: A little bit.\How about going with Papa?\What could be better than a father and daughter trip, right?\Why don't you go by yourself?\You're always so mean to me, Cana-chan...\Get going!\See you later!\Why don't you try being a little nicer to him? response:	You've got to be kidding!
context: How about going with Papa?\What could be better than a father and daughter trip, right?\Why don't you go by yourself?\You're always so mean to me, Cana-chan...\Get going!\See you later!\Why don't you try being a little nicer to him?\You've got to be kidding! response:	Yeesh... He's so cool when he acts with determination, but...
context: What could be better than a father and daughter trip, right?\Why don't you go by yourself?\You're always so mean to me, Cana-chan...\Get going!\See you later!\Why don't you try being a little nicer to him?\You've got to be kidding!\Yeesh... He's so cool when he acts with determination, but... response:	Tonight, too?
context: Why don't you go by yourself?\You're always so mean to me, Cana-chan...\Get going!\See you later!\Why don't you try being a little nicer to him?\You've got to be kidding!\Yeesh... He's so cool when he acts with determination, but...\Tonight, too? response:	It seems his nightmares become worse by the night...
context: You're always so mean to me, Cana-chan...\Get going!\See you later!\Why don't you try being a little nicer to him?\You've got to be kidding!\Yeesh... He's so cool when he acts with determination, but...\Tonight, too?\It seems his nightmares become worse by the night... response:	And sedatives don't work either?
context: Get going!\See you later!\Why don't you try being a little nicer to him?\You've got to be kidding!\Yeesh... He's so cool when he acts with determination, but...\Tonight, too?\It seems his nightmares become worse by the night...\And sedatives don't work either? response:	Are you awake?
context: See you later!\Why don't you try being a little nicer to him?\You've got to be kidding!\Yeesh... He's so cool when he acts with determination, but...\Tonight, too?\It seems his nightmares become worse by the night...\And sedatives don't work either?\Are you awake? response:	How do you feel?
context: Why don't you try being a little nicer to him?\You've got to be kidding!\Yeesh... He's so cool when he acts with determination, but...\Tonight, too?\It seems his nightmares become worse by the night...\And sedatives don't work either?\Are you awake?\How do you feel? response:	Mmm... It was that dream again..
context: You've got to be kidding!\Yeesh... He's so cool when he acts with determination, but...\Tonight, too?\It seems his nightmares become worse by the night...\And sedatives don't work either?\Are you awake?\How do you feel?\Mmm... It was that dream again.. response:	Tonight as well?
context: Yeesh... He's so cool when he acts with determination, but...\Tonight, too?\It seems his nightmares become worse by the night...\And sedatives don't work either?\Are you awake?\How do you feel?\Mmm... It was that dream again..\Tonight as well? response:	Yes... It's a terribly ill-omened dream...
context: Tonight, too?\It seems his nightmares become worse by the night...\And sedatives don't work either?\Are you awake?\How do you feel?\Mmm... It was that dream again..\Tonight as well?\Yes... It's a terribly ill-omened dream... response:	But what is it trying to tell me?
context: It seems his nightmares become worse by the night...\And sedatives don't work either?\Are you awake?\How do you feel?\Mmm... It was that dream again..\Tonight as well?\Yes... It's a terribly ill-omened dream...\But what is it trying to tell me? response:	Already, I am afraid to sleep.
context: And sedatives don't work either?\Are you awake?\How do you feel?\Mmm... It was that dream again..\Tonight as well?\Yes... It's a terribly ill-omened dream...\But what is it trying to tell me?\Already, I am afraid to sleep. response:	But if you don't sleep, it will affect your health.
context: Are you awake?\How do you feel?\Mmm... It was that dream again..\Tonight as well?\Yes... It's a terribly ill-omened dream...\But what is it trying to tell me?\Already, I am afraid to sleep.\But if you don't sleep, it will affect your health. response:	The anniversary event is also near...
context: How do you feel?\Mmm... It was that dream again..\Tonight as well?\Yes... It's a terribly ill-omened dream...\But what is it trying to tell me?\Already, I am afraid to sleep.\But if you don't sleep, it will affect your health.\The anniversary event is also near... response:	Please summon the cardinals, just in case something happens to me.
context: Mmm... It was that dream again..\Tonight as well?\Yes... It's a terribly ill-omened dream...\But what is it trying to tell me?\Already, I am afraid to sleep.\But if you don't sleep, it will affect your health.\The anniversary event is also near...\Please summon the cardinals, just in case something happens to me. response:	Don't talk like that!
context: Tonight as well?\Yes... It's a terribly ill-omened dream...\But what is it trying to tell me?\Already, I am afraid to sleep.\But if you don't sleep, it will affect your health.\The anniversary event is also near...\Please summon the cardinals, just in case something happens to me.\Don't talk like that! response:	In order to lead the people, it sometimes becomes necessary
context: Yes... It's a terribly ill-omened dream...\But what is it trying to tell me?\Already, I am afraid to sleep.\But if you don't sleep, it will affect your health.\The anniversary event is also near...\Please summon the cardinals, just in case something happens to me.\Don't talk like that!\In order to lead the people, it sometimes becomes necessary response:	to make difficult choices.
context: But what is it trying to tell me?\Already, I am afraid to sleep.\But if you don't sleep, it will affect your health.\The anniversary event is also near...\Please summon the cardinals, just in case something happens to me.\Don't talk like that!\In order to lead the people, it sometimes becomes necessary\to make difficult choices. response:	And that is the duty of the Archbishop of Zentopia.
context: Already, I am afraid to sleep.\But if you don't sleep, it will affect your health.\The anniversary event is also near...\Please summon the cardinals, just in case something happens to me.\Don't talk like that!\In order to lead the people, it sometimes becomes necessary\to make difficult choices.\And that is the duty of the Archbishop of Zentopia. response:	I kind of remember seeing this before...
context: But if you don't sleep, it will affect your health.\The anniversary event is also near...\Please summon the cardinals, just in case something happens to me.\Don't talk like that!\In order to lead the people, it sometimes becomes necessary\to make difficult choices.\And that is the duty of the Archbishop of Zentopia.\I kind of remember seeing this before... response:	It's the Heartfilia mansion.
context: The anniversary event is also near...\Please summon the cardinals, just in case something happens to me.\Don't talk like that!\In order to lead the people, it sometimes becomes necessary\to make difficult choices.\And that is the duty of the Archbishop of Zentopia.\I kind of remember seeing this before...\It's the Heartfilia mansion. response:	Was it put up for sale?
context: Please summon the cardinals, just in case something happens to me.\Don't talk like that!\In order to lead the people, it sometimes becomes necessary\to make difficult choices.\And that is the duty of the Archbishop of Zentopia.\I kind of remember seeing this before...\It's the Heartfilia mansion.\Was it put up for sale? response:	It's in good shape, considering seven years have passed.
context: Don't talk like that!\In order to lead the people, it sometimes becomes necessary\to make difficult choices.\And that is the duty of the Archbishop of Zentopia.\I kind of remember seeing this before...\It's the Heartfilia mansion.\Was it put up for sale?\It's in good shape, considering seven years have passed. response:	Then it must be kept up periodically until a buyer is found, huh?
context: In order to lead the people, it sometimes becomes necessary\to make difficult choices.\And that is the duty of the Archbishop of Zentopia.\I kind of remember seeing this before...\It's the Heartfilia mansion.\Was it put up for sale?\It's in good shape, considering seven years have passed.\Then it must be kept up periodically until a buyer is found, huh? response:	The administrator of the estate says they haven't been able to find a buyer...
context: to make difficult choices.\And that is the duty of the Archbishop of Zentopia.\I kind of remember seeing this before...\It's the Heartfilia mansion.\Was it put up for sale?\It's in good shape, considering seven years have passed.\Then it must be kept up periodically until a buyer is found, huh?\The administrator of the estate says they haven't been able to find a buyer... response:	Probably because it's too luxurious...
context: And that is the duty of the Archbishop of Zentopia.\I kind of remember seeing this before...\It's the Heartfilia mansion.\Was it put up for sale?\It's in good shape, considering seven years have passed.\Then it must be kept up periodically until a buyer is found, huh?\The administrator of the estate says they haven't been able to find a buyer...\Probably because it's too luxurious... response:	This brings back memories...
context: I kind of remember seeing this before...\It's the Heartfilia mansion.\Was it put up for sale?\It's in good shape, considering seven years have passed.\Then it must be kept up periodically until a buyer is found, huh?\The administrator of the estate says they haven't been able to find a buyer...\Probably because it's too luxurious...\This brings back memories... response:	I used to think of this as a castle back then...
context: It's the Heartfilia mansion.\Was it put up for sale?\It's in good shape, considering seven years have passed.\Then it must be kept up periodically until a buyer is found, huh?\The administrator of the estate says they haven't been able to find a buyer...\Probably because it's too luxurious...\This brings back memories...\I used to think of this as a castle back then... response:	And it hasn't changed...
context: Was it put up for sale?\It's in good shape, considering seven years have passed.\Then it must be kept up periodically until a buyer is found, huh?\The administrator of the estate says they haven't been able to find a buyer...\Probably because it's too luxurious...\This brings back memories...\I used to think of this as a castle back then...\And it hasn't changed... response:	Michelle, you've been here before?
context: It's in good shape, considering seven years have passed.\Then it must be kept up periodically until a buyer is found, huh?\The administrator of the estate says they haven't been able to find a buyer...\Probably because it's too luxurious...\This brings back memories...\I used to think of this as a castle back then...\And it hasn't changed...\Michelle, you've been here before? response:	We used to play a lot together...
context: Then it must be kept up periodically until a buyer is found, huh?\The administrator of the estate says they haven't been able to find a buyer...\Probably because it's too luxurious...\This brings back memories...\I used to think of this as a castle back then...\And it hasn't changed...\Michelle, you've been here before?\We used to play a lot together... response:	Oh... That's... right...?
context: The administrator of the estate says they haven't been able to find a buyer...\Probably because it's too luxurious...\This brings back memories...\I used to think of this as a castle back then...\And it hasn't changed...\Michelle, you've been here before?\We used to play a lot together...\Oh... That's... right...? response:	Nee-san, you used to make clothes for me...
context: Probably because it's too luxurious...\This brings back memories...\I used to think of this as a castle back then...\And it hasn't changed...\Michelle, you've been here before?\We used to play a lot together...\Oh... That's... right...?\Nee-san, you used to make clothes for me... response:	Right, right... I may have...
context: This brings back memories...\I used to think of this as a castle back then...\And it hasn't changed...\Michelle, you've been here before?\We used to play a lot together...\Oh... That's... right...?\Nee-san, you used to make clothes for me...\Right, right... I may have... response:	Clothes?
context: I used to think of this as a castle back then...\And it hasn't changed...\Michelle, you've been here before?\We used to play a lot together...\Oh... That's... right...?\Nee-san, you used to make clothes for me...\Right, right... I may have...\Clothes? response:	She must be better with her hands than I thought.
context: And it hasn't changed...\Michelle, you've been here before?\We used to play a lot together...\Oh... That's... right...?\Nee-san, you used to make clothes for me...\Right, right... I may have...\Clothes?\She must be better with her hands than I thought. response:	That's cute.
context: Michelle, you've been here before?\We used to play a lot together...\Oh... That's... right...?\Nee-san, you used to make clothes for me...\Right, right... I may have...\Clothes?\She must be better with her hands than I thought.\That's cute. response:	Although the clothes were made with colored construction paper and flowers...
context: We used to play a lot together...\Oh... That's... right...?\Nee-san, you used to make clothes for me...\Right, right... I may have...\Clothes?\She must be better with her hands than I thought.\That's cute.\Although the clothes were made with colored construction paper and flowers... response:	Oh, jeez...
context: Oh... That's... right...?\Nee-san, you used to make clothes for me...\Right, right... I may have...\Clothes?\She must be better with her hands than I thought.\That's cute.\Although the clothes were made with colored construction paper and flowers...\Oh, jeez... response:	How do you make clothes with construction paper and flowers?!
context: Nee-san, you used to make clothes for me...\Right, right... I may have...\Clothes?\She must be better with her hands than I thought.\That's cute.\Although the clothes were made with colored construction paper and flowers...\Oh, jeez...\How do you make clothes with construction paper and flowers?! response:	Well, think...
context: Right, right... I may have...\Clothes?\She must be better with her hands than I thought.\That's cute.\Although the clothes were made with colored construction paper and flowers...\Oh, jeez...\How do you make clothes with construction paper and flowers?!\Well, think... response:	Go home!
context: Clothes?\She must be better with her hands than I thought.\That's cute.\Although the clothes were made with colored construction paper and flowers...\Oh, jeez...\How do you make clothes with construction paper and flowers?!\Well, think...\Go home! response:	I'd like to get to the reason we're here. Do you mind?
context: She must be better with her hands than I thought.\That's cute.\Although the clothes were made with colored construction paper and flowers...\Oh, jeez...\How do you make clothes with construction paper and flowers?!\Well, think...\Go home!\I'd like to get to the reason we're here. Do you mind? response:	No objections!
context: That's cute.\Although the clothes were made with colored construction paper and flowers...\Oh, jeez...\How do you make clothes with construction paper and flowers?!\Well, think...\Go home!\I'd like to get to the reason we're here. Do you mind?\No objections! response:	Um... Where should we start?
context: Although the clothes were made with colored construction paper and flowers...\Oh, jeez...\How do you make clothes with construction paper and flowers?!\Well, think...\Go home!\I'd like to get to the reason we're here. Do you mind?\No objections!\Um... Where should we start? response:	And what are we supposed to be looking for?
context: Oh, jeez...\How do you make clothes with construction paper and flowers?!\Well, think...\Go home!\I'd like to get to the reason we're here. Do you mind?\No objections!\Um... Where should we start?\And what are we supposed to be looking for? response:	That's the reason I had so many of us come here.
context: How do you make clothes with construction paper and flowers?!\Well, think...\Go home!\I'd like to get to the reason we're here. Do you mind?\No objections!\Um... Where should we start?\And what are we supposed to be looking for?\That's the reason I had so many of us come here. response:	We'll spread out in groups of two and thoroughly search every room.
context: Well, think...\Go home!\I'd like to get to the reason we're here. Do you mind?\No objections!\Um... Where should we start?\And what are we supposed to be looking for?\That's the reason I had so many of us come here.\We'll spread out in groups of two and thoroughly search every room. response:	Look for clock parts, old clocks, anything that reminds you of those words,
context: Go home!\I'd like to get to the reason we're here. Do you mind?\No objections!\Um... Where should we start?\And what are we supposed to be looking for?\That's the reason I had so many of us come here.\We'll spread out in groups of two and thoroughly search every room.\Look for clock parts, old clocks, anything that reminds you of those words, response:	books that have something to do with ancient Potamelian, anything...
context: I'd like to get to the reason we're here. Do you mind?\No objections!\Um... Where should we start?\And what are we supposed to be looking for?\That's the reason I had so many of us come here.\We'll spread out in groups of two and thoroughly search every room.\Look for clock parts, old clocks, anything that reminds you of those words,\books that have something to do with ancient Potamelian, anything... response:	Examine anything that makes you think, How about this?
context: No objections!\Um... Where should we start?\And what are we supposed to be looking for?\That's the reason I had so many of us come here.\We'll spread out in groups of two and thoroughly search every room.\Look for clock parts, old clocks, anything that reminds you of those words,\books that have something to do with ancient Potamelian, anything...\Examine anything that makes you think, How about this? response:	There's still a lot of furniture left, huh?
context: Um... Where should we start?\And what are we supposed to be looking for?\That's the reason I had so many of us come here.\We'll spread out in groups of two and thoroughly search every room.\Look for clock parts, old clocks, anything that reminds you of those words,\books that have something to do with ancient Potamelian, anything...\Examine anything that makes you think, How about this?\There's still a lot of furniture left, huh? response:	Yeah. I was told that some of it is priceless and some of it is just junk...
context: And what are we supposed to be looking for?\That's the reason I had so many of us come here.\We'll spread out in groups of two and thoroughly search every room.\Look for clock parts, old clocks, anything that reminds you of those words,\books that have something to do with ancient Potamelian, anything...\Examine anything that makes you think, How about this?\There's still a lot of furniture left, huh?\Yeah. I was told that some of it is priceless and some of it is just junk... response:	What's this?
context: That's the reason I had so many of us come here.\We'll spread out in groups of two and thoroughly search every room.\Look for clock parts, old clocks, anything that reminds you of those words,\books that have something to do with ancient Potamelian, anything...\Examine anything that makes you think, How about this?\There's still a lot of furniture left, huh?\Yeah. I was told that some of it is priceless and some of it is just junk...\What's this? response:	I think this was done shortly before my mom passed.
context: We'll spread out in groups of two and thoroughly search every room.\Look for clock parts, old clocks, anything that reminds you of those words,\books that have something to do with ancient Potamelian, anything...\Examine anything that makes you think, How about this?\There's still a lot of furniture left, huh?\Yeah. I was told that some of it is priceless and some of it is just junk...\What's this?\I think this was done shortly before my mom passed. response:	I just remember being told to sit like that...
context: Look for clock parts, old clocks, anything that reminds you of those words,\books that have something to do with ancient Potamelian, anything...\Examine anything that makes you think, How about this?\There's still a lot of furniture left, huh?\Yeah. I was told that some of it is priceless and some of it is just junk...\What's this?\I think this was done shortly before my mom passed.\I just remember being told to sit like that... response:	It was hard on me to think about her afterwards...
context: books that have something to do with ancient Potamelian, anything...\Examine anything that makes you think, How about this?\There's still a lot of furniture left, huh?\Yeah. I was told that some of it is priceless and some of it is just junk...\What's this?\I think this was done shortly before my mom passed.\I just remember being told to sit like that...\It was hard on me to think about her afterwards... response:	And I took it out on other people and things...
context: Examine anything that makes you think, How about this?\There's still a lot of furniture left, huh?\Yeah. I was told that some of it is priceless and some of it is just junk...\What's this?\I think this was done shortly before my mom passed.\I just remember being told to sit like that...\It was hard on me to think about her afterwards...\And I took it out on other people and things... response:	I think I made everyone worry about me...
context: There's still a lot of furniture left, huh?\Yeah. I was told that some of it is priceless and some of it is just junk...\What's this?\I think this was done shortly before my mom passed.\I just remember being told to sit like that...\It was hard on me to think about her afterwards...\And I took it out on other people and things...\I think I made everyone worry about me... response:	Oh...
context: Yeah. I was told that some of it is priceless and some of it is just junk...\What's this?\I think this was done shortly before my mom passed.\I just remember being told to sit like that...\It was hard on me to think about her afterwards...\And I took it out on other people and things...\I think I made everyone worry about me...\Oh... response:	I just decided! One day, I'm gonna buy this house back!
context: What's this?\I think this was done shortly before my mom passed.\I just remember being told to sit like that...\It was hard on me to think about her afterwards...\And I took it out on other people and things...\I think I made everyone worry about me...\Oh...\I just decided! One day, I'm gonna buy this house back! response:	And then I'll restore it back to the way it was, as much as possible!
context: I think this was done shortly before my mom passed.\I just remember being told to sit like that...\It was hard on me to think about her afterwards...\And I took it out on other people and things...\I think I made everyone worry about me...\Oh...\I just decided! One day, I'm gonna buy this house back!\And then I'll restore it back to the way it was, as much as possible! response:	Back to... the way it was?
context: I just remember being told to sit like that...\It was hard on me to think about her afterwards...\And I took it out on other people and things...\I think I made everyone worry about me...\Oh...\I just decided! One day, I'm gonna buy this house back!\And then I'll restore it back to the way it was, as much as possible!\Back to... the way it was? response:	Yeah!
context: It was hard on me to think about her afterwards...\And I took it out on other people and things...\I think I made everyone worry about me...\Oh...\I just decided! One day, I'm gonna buy this house back!\And then I'll restore it back to the way it was, as much as possible!\Back to... the way it was?\Yeah! response:	Is something wrong?
context: And I took it out on other people and things...\I think I made everyone worry about me...\Oh...\I just decided! One day, I'm gonna buy this house back!\And then I'll restore it back to the way it was, as much as possible!\Back to... the way it was?\Yeah!\Is something wrong? response:	No. It's a lovely idea. I think Uncle Jude would be pleased.
context: I think I made everyone worry about me...\Oh...\I just decided! One day, I'm gonna buy this house back!\And then I'll restore it back to the way it was, as much as possible!\Back to... the way it was?\Yeah!\Is something wrong?\No. It's a lovely idea. I think Uncle Jude would be pleased. response:	I see... My dad...
context: Oh...\I just decided! One day, I'm gonna buy this house back!\And then I'll restore it back to the way it was, as much as possible!\Back to... the way it was?\Yeah!\Is something wrong?\No. It's a lovely idea. I think Uncle Jude would be pleased.\I see... My dad... response:	It's like a library!
context: I just decided! One day, I'm gonna buy this house back!\And then I'll restore it back to the way it was, as much as possible!\Back to... the way it was?\Yeah!\Is something wrong?\No. It's a lovely idea. I think Uncle Jude would be pleased.\I see... My dad...\It's like a library! response:	This is my father's study.
context: And then I'll restore it back to the way it was, as much as possible!\Back to... the way it was?\Yeah!\Is something wrong?\No. It's a lovely idea. I think Uncle Jude would be pleased.\I see... My dad...\It's like a library!\This is my father's study. response:	He collected more books than me.
context: Back to... the way it was?\Yeah!\Is something wrong?\No. It's a lovely idea. I think Uncle Jude would be pleased.\I see... My dad...\It's like a library!\This is my father's study.\He collected more books than me. response:	Maybe...
context: Yeah!\Is something wrong?\No. It's a lovely idea. I think Uncle Jude would be pleased.\I see... My dad...\It's like a library!\This is my father's study.\He collected more books than me.\Maybe... response:	Hmm...
context: Is something wrong?\No. It's a lovely idea. I think Uncle Jude would be pleased.\I see... My dad...\It's like a library!\This is my father's study.\He collected more books than me.\Maybe...\Hmm... response:	Easier said than done. With this many books...
context: No. It's a lovely idea. I think Uncle Jude would be pleased.\I see... My dad...\It's like a library!\This is my father's study.\He collected more books than me.\Maybe...\Hmm...\Easier said than done. With this many books... response:	To My Daughter...?
context: I see... My dad...\It's like a library!\This is my father's study.\He collected more books than me.\Maybe...\Hmm...\Easier said than done. With this many books...\To My Daughter...? response:	Nee-san, look at this!
context: It's like a library!\This is my father's study.\He collected more books than me.\Maybe...\Hmm...\Easier said than done. With this many books...\To My Daughter...?\Nee-san, look at this! response:	This is a strange book...
context: This is my father's study.\He collected more books than me.\Maybe...\Hmm...\Easier said than done. With this many books...\To My Daughter...?\Nee-san, look at this!\This is a strange book... response:	All of the pages are blank.
context: He collected more books than me.\Maybe...\Hmm...\Easier said than done. With this many books...\To My Daughter...?\Nee-san, look at this!\This is a strange book...\All of the pages are blank. response:	The title is To My Daughter... and there's no publication data.
context: Maybe...\Hmm...\Easier said than done. With this many books...\To My Daughter...?\Nee-san, look at this!\This is a strange book...\All of the pages are blank.\The title is To My Daughter... and there's no publication data. response:	Then there's some magic at work on the book...
context: Hmm...\Easier said than done. With this many books...\To My Daughter...?\Nee-san, look at this!\This is a strange book...\All of the pages are blank.\The title is To My Daughter... and there's no publication data.\Then there's some magic at work on the book... response:	By the way, Nee-san...
context: Easier said than done. With this many books...\To My Daughter...?\Nee-san, look at this!\This is a strange book...\All of the pages are blank.\The title is To My Daughter... and there's no publication data.\Then there's some magic at work on the book...\By the way, Nee-san... response:	Is he sleeping?
context: To My Daughter...?\Nee-san, look at this!\This is a strange book...\All of the pages are blank.\The title is To My Daughter... and there's no publication data.\Then there's some magic at work on the book...\By the way, Nee-san...\Is he sleeping? response:	No, he's tuning in.
context: Nee-san, look at this!\This is a strange book...\All of the pages are blank.\The title is To My Daughter... and there's no publication data.\Then there's some magic at work on the book...\By the way, Nee-san...\Is he sleeping?\No, he's tuning in. response:	Old Master Crux should be able to learn something.
context: This is a strange book...\All of the pages are blank.\The title is To My Daughter... and there's no publication data.\Then there's some magic at work on the book...\By the way, Nee-san...\Is he sleeping?\No, he's tuning in.\Old Master Crux should be able to learn something. response:	Diao!
context: All of the pages are blank.\The title is To My Daughter... and there's no publication data.\Then there's some magic at work on the book...\By the way, Nee-san...\Is he sleeping?\No, he's tuning in.\Old Master Crux should be able to learn something.\Diao! response:	Well?
context: The title is To My Daughter... and there's no publication data.\Then there's some magic at work on the book...\By the way, Nee-san...\Is he sleeping?\No, he's tuning in.\Old Master Crux should be able to learn something.\Diao!\Well? response:	Indeed, this is decidedly nothing more than an old bundle of paper.
context: Then there's some magic at work on the book...\By the way, Nee-san...\Is he sleeping?\No, he's tuning in.\Old Master Crux should be able to learn something.\Diao!\Well?\Indeed, this is decidedly nothing more than an old bundle of paper. response:	There's no magic involved, let alone characters written in invisible ink.
context: By the way, Nee-san...\Is he sleeping?\No, he's tuning in.\Old Master Crux should be able to learn something.\Diao!\Well?\Indeed, this is decidedly nothing more than an old bundle of paper.\There's no magic involved, let alone characters written in invisible ink. response:	Furthermore, your father bound these pages together himself.
context: Is he sleeping?\No, he's tuning in.\Old Master Crux should be able to learn something.\Diao!\Well?\Indeed, this is decidedly nothing more than an old bundle of paper.\There's no magic involved, let alone characters written in invisible ink.\Furthermore, your father bound these pages together himself. response:	I see... Did you learn anything else?
context: No, he's tuning in.\Old Master Crux should be able to learn something.\Diao!\Well?\Indeed, this is decidedly nothing more than an old bundle of paper.\There's no magic involved, let alone characters written in invisible ink.\Furthermore, your father bound these pages together himself.\I see... Did you learn anything else? response:	There is one more thing.
context: Old Master Crux should be able to learn something.\Diao!\Well?\Indeed, this is decidedly nothing more than an old bundle of paper.\There's no magic involved, let alone characters written in invisible ink.\Furthermore, your father bound these pages together himself.\I see... Did you learn anything else?\There is one more thing. response:	From ancient times, there have been certain rules
context: Diao!\Well?\Indeed, this is decidedly nothing more than an old bundle of paper.\There's no magic involved, let alone characters written in invisible ink.\Furthermore, your father bound these pages together himself.\I see... Did you learn anything else?\There is one more thing.\From ancient times, there have been certain rules response:	when it comes to this particular type of riddle.
context: Well?\Indeed, this is decidedly nothing more than an old bundle of paper.\There's no magic involved, let alone characters written in invisible ink.\Furthermore, your father bound these pages together himself.\I see... Did you learn anything else?\There is one more thing.\From ancient times, there have been certain rules\when it comes to this particular type of riddle. response:	For example, this title...
context: Indeed, this is decidedly nothing more than an old bundle of paper.\There's no magic involved, let alone characters written in invisible ink.\Furthermore, your father bound these pages together himself.\I see... Did you learn anything else?\There is one more thing.\From ancient times, there have been certain rules\when it comes to this particular type of riddle.\For example, this title... response:	What if it's an anagram?
context: There's no magic involved, let alone characters written in invisible ink.\Furthermore, your father bound these pages together himself.\I see... Did you learn anything else?\There is one more thing.\From ancient times, there have been certain rules\when it comes to this particular type of riddle.\For example, this title...\What if it's an anagram? response:	I see!
context: Furthermore, your father bound these pages together himself.\I see... Did you learn anything else?\There is one more thing.\From ancient times, there have been certain rules\when it comes to this particular type of riddle.\For example, this title...\What if it's an anagram?\I see! response:	So we try putting the letters in a different order, right?
context: I see... Did you learn anything else?\There is one more thing.\From ancient times, there have been certain rules\when it comes to this particular type of riddle.\For example, this title...\What if it's an anagram?\I see!\So we try putting the letters in a different order, right? response:	I wouldn't know a potential clue if it bit me in the ass!
context: There is one more thing.\From ancient times, there have been certain rules\when it comes to this particular type of riddle.\For example, this title...\What if it's an anagram?\I see!\So we try putting the letters in a different order, right?\I wouldn't know a potential clue if it bit me in the ass! response:	I'm hungry...
context: From ancient times, there have been certain rules\when it comes to this particular type of riddle.\For example, this title...\What if it's an anagram?\I see!\So we try putting the letters in a different order, right?\I wouldn't know a potential clue if it bit me in the ass!\I'm hungry... response:	What are you guys playin' a game for?
context: when it comes to this particular type of riddle.\For example, this title...\What if it's an anagram?\I see!\So we try putting the letters in a different order, right?\I wouldn't know a potential clue if it bit me in the ass!\I'm hungry...\What are you guys playin' a game for? response:	Natsu-san!
context: For example, this title...\What if it's an anagram?\I see!\So we try putting the letters in a different order, right?\I wouldn't know a potential clue if it bit me in the ass!\I'm hungry...\What are you guys playin' a game for?\Natsu-san! response:	Keep your silence.
context: What if it's an anagram?\I see!\So we try putting the letters in a different order, right?\I wouldn't know a potential clue if it bit me in the ass!\I'm hungry...\What are you guys playin' a game for?\Natsu-san!\Keep your silence. response:	We're thinking!
context: I see!\So we try putting the letters in a different order, right?\I wouldn't know a potential clue if it bit me in the ass!\I'm hungry...\What are you guys playin' a game for?\Natsu-san!\Keep your silence.\We're thinking! response:	What's that? A puzzle?
context: So we try putting the letters in a different order, right?\I wouldn't know a potential clue if it bit me in the ass!\I'm hungry...\What are you guys playin' a game for?\Natsu-san!\Keep your silence.\We're thinking!\What's that? A puzzle? response:	We're trying to decipher an anagram.
context: I wouldn't know a potential clue if it bit me in the ass!\I'm hungry...\What are you guys playin' a game for?\Natsu-san!\Keep your silence.\We're thinking!\What's that? A puzzle?\We're trying to decipher an anagram. response:	Anagra...? Oh, that.
context: I'm hungry...\What are you guys playin' a game for?\Natsu-san!\Keep your silence.\We're thinking!\What's that? A puzzle?\We're trying to decipher an anagram.\Anagra...? Oh, that. response:	Well, it is like a puzzle.
context: What are you guys playin' a game for?\Natsu-san!\Keep your silence.\We're thinking!\What's that? A puzzle?\We're trying to decipher an anagram.\Anagra...? Oh, that.\Well, it is like a puzzle. response:	Huh, that looks like fun! Let me...
context: Natsu-san!\Keep your silence.\We're thinking!\What's that? A puzzle?\We're trying to decipher an anagram.\Anagra...? Oh, that.\Well, it is like a puzzle.\Huh, that looks like fun! Let me... response:	What do you think you're doing?!
context: Keep your silence.\We're thinking!\What's that? A puzzle?\We're trying to decipher an anagram.\Anagra...? Oh, that.\Well, it is like a puzzle.\Huh, that looks like fun! Let me...\What do you think you're doing?! response:	We were trying to think!
context: We're thinking!\What's that? A puzzle?\We're trying to decipher an anagram.\Anagra...? Oh, that.\Well, it is like a puzzle.\Huh, that looks like fun! Let me...\What do you think you're doing?!\We were trying to think! response:	Oops.
context: What's that? A puzzle?\We're trying to decipher an anagram.\Anagra...? Oh, that.\Well, it is like a puzzle.\Huh, that looks like fun! Let me...\What do you think you're doing?!\We were trying to think!\Oops. response:	We were on the verge of getting a flash of inspiration!
context: We're trying to decipher an anagram.\Anagra...? Oh, that.\Well, it is like a puzzle.\Huh, that looks like fun! Let me...\What do you think you're doing?!\We were trying to think!\Oops.\We were on the verge of getting a flash of inspiration! response:	Erza-san is serious...
context: Anagra...? Oh, that.\Well, it is like a puzzle.\Huh, that looks like fun! Let me...\What do you think you're doing?!\We were trying to think!\Oops.\We were on the verge of getting a flash of inspiration!\Erza-san is serious... response:	She's the type that really focuses on this kind of thing.
context: Well, it is like a puzzle.\Huh, that looks like fun! Let me...\What do you think you're doing?!\We were trying to think!\Oops.\We were on the verge of getting a flash of inspiration!\Erza-san is serious...\She's the type that really focuses on this kind of thing. response:	Jeez! You scattered the cards all over the place...
context: Huh, that looks like fun! Let me...\What do you think you're doing?!\We were trying to think!\Oops.\We were on the verge of getting a flash of inspiration!\Erza-san is serious...\She's the type that really focuses on this kind of thing.\Jeez! You scattered the cards all over the place... response:	Ah... Is this...
context: What do you think you're doing?!\We were trying to think!\Oops.\We were on the verge of getting a flash of inspiration!\Erza-san is serious...\She's the type that really focuses on this kind of thing.\Jeez! You scattered the cards all over the place...\Ah... Is this... response:	Diao!
