context: I'm dead. response:	I'm dead. I died.
context: That's funny.\I think my beloved sister just said something really mean and sarcastic to me!\To Sender: unknown Have you two siblings ever felt like you were born in the wrong world?\What is this?\And how does he know that Blank are siblings?\What do we do?\Is he trying to bargain with us?\Well, response:	it might be fun to see where this goes.
context: I think my beloved sister just said something really mean and sarcastic to me!\To Sender: unknown Have you two siblings ever felt like you were born in the wrong world?\What is this?\And how does he know that Blank are siblings?\What do we do?\Is he trying to bargain with us?\Well,\it might be fun to see where this goes. response:	Chess?
context: To Sender: unknown Have you two siblings ever felt like you were born in the wrong world?\What is this?\And how does he know that Blank are siblings?\What do we do?\Is he trying to bargain with us?\Well,\it might be fun to see where this goes.\Chess? response:	Good... night...
context: What is this?\And how does he know that Blank are siblings?\What do we do?\Is he trying to bargain with us?\Well,\it might be fun to see where this goes.\Chess?\Good... night... response:	Wait, wait.
context: And how does he know that Blank are siblings?\What do we do?\Is he trying to bargain with us?\Well,\it might be fun to see where this goes.\Chess?\Good... night...\Wait, wait. response:	I can't handle a high-level chess program on my own!
context: What do we do?\Is he trying to bargain with us?\Well,\it might be fun to see where this goes.\Chess?\Good... night...\Wait, wait.\I can't handle a high-level chess program on my own! response:	Chess is a finite two-player, zero-sum, perfect-information game.
context: Is he trying to bargain with us?\Well,\it might be fun to see where this goes.\Chess?\Good... night...\Wait, wait.\I can't handle a high-level chess program on my own!\Chess is a finite two-player, zero-sum, perfect-information game. response:	Luck has no part in it.
context: Well,\it might be fun to see where this goes.\Chess?\Good... night...\Wait, wait.\I can't handle a high-level chess program on my own!\Chess is a finite two-player, zero-sum, perfect-information game.\Luck has no part in it. response:	Theoretically, there is a perfect solution that will never lose.
context: it might be fun to see where this goes.\Chess?\Good... night...\Wait, wait.\I can't handle a high-level chess program on my own!\Chess is a finite two-player, zero-sum, perfect-information game.\Luck has no part in it.\Theoretically, there is a perfect solution that will never lose. response:	But... only if you understand
context: Chess?\Good... night...\Wait, wait.\I can't handle a high-level chess program on my own!\Chess is a finite two-player, zero-sum, perfect-information game.\Luck has no part in it.\Theoretically, there is a perfect solution that will never lose.\But... only if you understand response:	the 10120 possible states of the board!
context: Good... night...\Wait, wait.\I can't handle a high-level chess program on my own!\Chess is a finite two-player, zero-sum, perfect-information game.\Luck has no part in it.\Theoretically, there is a perfect solution that will never lose.\But... only if you understand\the 10120 possible states of the board! response:	Chess is no different
context: Wait, wait.\I can't handle a high-level chess program on my own!\Chess is a finite two-player, zero-sum, perfect-information game.\Luck has no part in it.\Theoretically, there is a perfect solution that will never lose.\But... only if you understand\the 10120 possible states of the board!\Chess is no different response:	from tic-tac-toe.
context: I can't handle a high-level chess program on my own!\Chess is a finite two-player, zero-sum, perfect-information game.\Luck has no part in it.\Theoretically, there is a perfect solution that will never lose.\But... only if you understand\the 10120 possible states of the board!\Chess is no different\from tic-tac-toe. response:	That's right.
context: Chess is a finite two-player, zero-sum, perfect-information game.\Luck has no part in it.\Theoretically, there is a perfect solution that will never lose.\But... only if you understand\the 10120 possible states of the board!\Chess is no different\from tic-tac-toe.\That's right. response:	Shiro has beaten a
context: Luck has no part in it.\Theoretically, there is a perfect solution that will never lose.\But... only if you understand\the 10120 possible states of the board!\Chess is no different\from tic-tac-toe.\That's right.\Shiro has beaten a response:	program designed to defeat grandmasters 20 times in a row,
context: Theoretically, there is a perfect solution that will never lose.\But... only if you understand\the 10120 possible states of the board!\Chess is no different\from tic-tac-toe.\That's right.\Shiro has beaten a\program designed to defeat grandmasters 20 times in a row, response:	alternating between going first and second.
context: But... only if you understand\the 10120 possible states of the board!\Chess is no different\from tic-tac-toe.\That's right.\Shiro has beaten a\program designed to defeat grandmasters 20 times in a row,\alternating between going first and second. response:	But...
context: the 10120 possible states of the board!\Chess is no different\from tic-tac-toe.\That's right.\Shiro has beaten a\program designed to defeat grandmasters 20 times in a row,\alternating between going first and second.\But... response:	It cut off its own piece's advance?
context: Chess is no different\from tic-tac-toe.\That's right.\Shiro has beaten a\program designed to defeat grandmasters 20 times in a row,\alternating between going first and second.\But...\It cut off its own piece's advance? response:	Wait, Shiro.
context: from tic-tac-toe.\That's right.\Shiro has beaten a\program designed to defeat grandmasters 20 times in a row,\alternating between going first and second.\But...\It cut off its own piece's advance?\Wait, Shiro. response:	Brother...
context: That's right.\Shiro has beaten a\program designed to defeat grandmasters 20 times in a row,\alternating between going first and second.\But...\It cut off its own piece's advance?\Wait, Shiro.\Brother... response:	A program will always select the best move.
context: Shiro has beaten a\program designed to defeat grandmasters 20 times in a row,\alternating between going first and second.\But...\It cut off its own piece's advance?\Wait, Shiro.\Brother...\A program will always select the best move. response:	That's why you can beat them.
context: program designed to defeat grandmasters 20 times in a row,\alternating between going first and second.\But...\It cut off its own piece's advance?\Wait, Shiro.\Brother...\A program will always select the best move.\That's why you can beat them. response:	But they're deliberately using a bad move to lure you in.
context: alternating between going first and second.\But...\It cut off its own piece's advance?\Wait, Shiro.\Brother...\A program will always select the best move.\That's why you can beat them.\But they're deliberately using a bad move to lure you in. response:	It's a human.
context: But...\It cut off its own piece's advance?\Wait, Shiro.\Brother...\A program will always select the best move.\That's why you can beat them.\But they're deliberately using a bad move to lure you in.\It's a human. response:	Calm down.
context: It cut off its own piece's advance?\Wait, Shiro.\Brother...\A program will always select the best move.\That's why you can beat them.\But they're deliberately using a bad move to lure you in.\It's a human.\Calm down. response:	If it's a contest of skill, you'll never lose.
context: Wait, Shiro.\Brother...\A program will always select the best move.\That's why you can beat them.\But they're deliberately using a bad move to lure you in.\It's a human.\Calm down.\If it's a contest of skill, you'll never lose. response:	I'll tell you when they're trying to spook you or lure you in.
context: Brother...\A program will always select the best move.\That's why you can beat them.\But they're deliberately using a bad move to lure you in.\It's a human.\Calm down.\If it's a contest of skill, you'll never lose.\I'll tell you when they're trying to spook you or lure you in. response:	The two of us, Sora and Shiro, form Blank together.
context: A program will always select the best move.\That's why you can beat them.\But they're deliberately using a bad move to lure you in.\It's a human.\Calm down.\If it's a contest of skill, you'll never lose.\I'll tell you when they're trying to spook you or lure you in.\The two of us, Sora and Shiro, form Blank together. response:	Let's see if there's somebody
context: That's why you can beat them.\But they're deliberately using a bad move to lure you in.\It's a human.\Calm down.\If it's a contest of skill, you'll never lose.\I'll tell you when they're trying to spook you or lure you in.\The two of us, Sora and Shiro, form Blank together.\Let's see if there's somebody response:	who can beat us.
context: But they're deliberately using a bad move to lure you in.\It's a human.\Calm down.\If it's a contest of skill, you'll never lose.\I'll tell you when they're trying to spook you or lure you in.\The two of us, Sora and Shiro, form Blank together.\Let's see if there's somebody\who can beat us. response:	Checkmate!
context: It's a human.\Calm down.\If it's a contest of skill, you'll never lose.\I'll tell you when they're trying to spook you or lure you in.\The two of us, Sora and Shiro, form Blank together.\Let's see if there's somebody\who can beat us.\Checkmate! response:	You are winner!
context: Calm down.\If it's a contest of skill, you'll never lose.\I'll tell you when they're trying to spook you or lure you in.\The two of us, Sora and Shiro, form Blank together.\Let's see if there's somebody\who can beat us.\Checkmate!\You are winner! response:	We won!
context: If it's a contest of skill, you'll never lose.\I'll tell you when they're trying to spook you or lure you in.\The two of us, Sora and Shiro, form Blank together.\Let's see if there's somebody\who can beat us.\Checkmate!\You are winner!\We won! response:	I haven't fought this hard in a long time.
context: I'll tell you when they're trying to spook you or lure you in.\The two of us, Sora and Shiro, form Blank together.\Let's see if there's somebody\who can beat us.\Checkmate!\You are winner!\We won!\I haven't fought this hard in a long time. response:	Were they really human?
context: The two of us, Sora and Shiro, form Blank together.\Let's see if there's somebody\who can beat us.\Checkmate!\You are winner!\We won!\I haven't fought this hard in a long time.\Were they really human? response:	Sender: unknown Well done. If you're that good at games...
context: Let's see if there's somebody\who can beat us.\Checkmate!\You are winner!\We won!\I haven't fought this hard in a long time.\Were they really human?\Sender: unknown Well done. If you're that good at games... response:	The world must be a tough place for you to live, right?
context: who can beat us.\Checkmate!\You are winner!\We won!\I haven't fought this hard in a long time.\Were they really human?\Sender: unknown Well done. If you're that good at games...\The world must be a tough place for you to live, right? response:	What?
context: Checkmate!\You are winner!\We won!\I haven't fought this hard in a long time.\Were they really human?\Sender: unknown Well done. If you're that good at games...\The world must be a tough place for you to live, right?\What? response:	What do you think about your world?
context: You are winner!\We won!\I haven't fought this hard in a long time.\Were they really human?\Sender: unknown Well done. If you're that good at games...\The world must be a tough place for you to live, right?\What?\What do you think about your world? response:	Is it fun?
context: We won!\I haven't fought this hard in a long time.\Were they really human?\Sender: unknown Well done. If you're that good at games...\The world must be a tough place for you to live, right?\What?\What do you think about your world?\Is it fun? response:	Is it easy to live in?
context: I haven't fought this hard in a long time.\Were they really human?\Sender: unknown Well done. If you're that good at games...\The world must be a tough place for you to live, right?\What?\What do you think about your world?\Is it fun?\Is it easy to live in? response:	What do we think?
context: Were they really human?\Sender: unknown Well done. If you're that good at games...\The world must be a tough place for you to live, right?\What?\What do you think about your world?\Is it fun?\Is it easy to live in?\What do we think? response:	There's no way to know the rules or the goal,
context: Sender: unknown Well done. If you're that good at games...\The world must be a tough place for you to live, right?\What?\What do you think about your world?\Is it fun?\Is it easy to live in?\What do we think?\There's no way to know the rules or the goal, response:	yet there are 7 billion players making whatever moves they want.
context: The world must be a tough place for you to live, right?\What?\What do you think about your world?\Is it fun?\Is it easy to live in?\What do we think?\There's no way to know the rules or the goal,\yet there are 7 billion players making whatever moves they want. response:	If you lose too much, or win too much, there are penalties.
context: What?\What do you think about your world?\Is it fun?\Is it easy to live in?\What do we think?\There's no way to know the rules or the goal,\yet there are 7 billion players making whatever moves they want.\If you lose too much, or win too much, there are penalties. response:	You can't pass your turn,
context: What do you think about your world?\Is it fun?\Is it easy to live in?\What do we think?\There's no way to know the rules or the goal,\yet there are 7 billion players making whatever moves they want.\If you lose too much, or win too much, there are penalties.\You can't pass your turn, response:	and if you talk too much, you'll be ostracized.
context: Is it fun?\Is it easy to live in?\What do we think?\There's no way to know the rules or the goal,\yet there are 7 billion players making whatever moves they want.\If you lose too much, or win too much, there are penalties.\You can't pass your turn,\and if you talk too much, you'll be ostracized. response:	There are no parameters and no way to even know the genre.
context: Is it easy to live in?\What do we think?\There's no way to know the rules or the goal,\yet there are 7 billion players making whatever moves they want.\If you lose too much, or win too much, there are penalties.\You can't pass your turn,\and if you talk too much, you'll be ostracized.\There are no parameters and no way to even know the genre. response:	This world is just...
context: What do we think?\There's no way to know the rules or the goal,\yet there are 7 billion players making whatever moves they want.\If you lose too much, or win too much, there are penalties.\You can't pass your turn,\and if you talk too much, you'll be ostracized.\There are no parameters and no way to even know the genre.\This world is just... response:	a crappy game.
context: There's no way to know the rules or the goal,\yet there are 7 billion players making whatever moves they want.\If you lose too much, or win too much, there are penalties.\You can't pass your turn,\and if you talk too much, you'll be ostracized.\There are no parameters and no way to even know the genre.\This world is just...\a crappy game. response:	Sender: unknown If there was a world where simple games decided everything...
context: yet there are 7 billion players making whatever moves they want.\If you lose too much, or win too much, there are penalties.\You can't pass your turn,\and if you talk too much, you'll be ostracized.\There are no parameters and no way to even know the genre.\This world is just...\a crappy game.\Sender: unknown If there was a world where simple games decided everything... response:	a world on a board, where the rules and goal were clear, what would you think about that?
context: If you lose too much, or win too much, there are penalties.\You can't pass your turn,\and if you talk too much, you'll be ostracized.\There are no parameters and no way to even know the genre.\This world is just...\a crappy game.\Sender: unknown If there was a world where simple games decided everything...\a world on a board, where the rules and goal were clear, what would you think about that? response:	If there's a world like that,
context: You can't pass your turn,\and if you talk too much, you'll be ostracized.\There are no parameters and no way to even know the genre.\This world is just...\a crappy game.\Sender: unknown If there was a world where simple games decided everything...\a world on a board, where the rules and goal were clear, what would you think about that?\If there's a world like that, response:	then we were born in the wrong world.
context: and if you talk too much, you'll be ostracized.\There are no parameters and no way to even know the genre.\This world is just...\a crappy game.\Sender: unknown If there was a world where simple games decided everything...\a world on a board, where the rules and goal were clear, what would you think about that?\If there's a world like that,\then we were born in the wrong world. response:	What's going on?
context: There are no parameters and no way to even know the genre.\This world is just...\a crappy game.\Sender: unknown If there was a world where simple games decided everything...\a world on a board, where the rules and goal were clear, what would you think about that?\If there's a world like that,\then we were born in the wrong world.\What's going on? response:	Brother...
context: This world is just...\a crappy game.\Sender: unknown If there was a world where simple games decided everything...\a world on a board, where the rules and goal were clear, what would you think about that?\If there's a world like that,\then we were born in the wrong world.\What's going on?\Brother... response:	I think so, too!
context: a crappy game.\Sender: unknown If there was a world where simple games decided everything...\a world on a board, where the rules and goal were clear, what would you think about that?\If there's a world like that,\then we were born in the wrong world.\What's going on?\Brother...\I think so, too! response:	You were definitely born in the wrong world!
context: Sender: unknown If there was a world where simple games decided everything...\a world on a board, where the rules and goal were clear, what would you think about that?\If there's a world like that,\then we were born in the wrong world.\What's going on?\Brother...\I think so, too!\You were definitely born in the wrong world! response:	So I'll let you be reborn!
context: a world on a board, where the rules and goal were clear, what would you think about that?\If there's a world like that,\then we were born in the wrong world.\What's going on?\Brother...\I think so, too!\You were definitely born in the wrong world!\So I'll let you be reborn! response:	In the world you should've been born in!
context: If there's a world like that,\then we were born in the wrong world.\What's going on?\Brother...\I think so, too!\You were definitely born in the wrong world!\So I'll let you be reborn!\In the world you should've been born in! response:	What is this?
context: then we were born in the wrong world.\What's going on?\Brother...\I think so, too!\You were definitely born in the wrong world!\So I'll let you be reborn!\In the world you should've been born in!\What is this? response:	This is the ideal world you've always dreamed of.
context: What's going on?\Brother...\I think so, too!\You were definitely born in the wrong world!\So I'll let you be reborn!\In the world you should've been born in!\What is this?\This is the ideal world you've always dreamed of. response:	The world on a game board: Disboard!
context: Brother...\I think so, too!\You were definitely born in the wrong world!\So I'll let you be reborn!\In the world you should've been born in!\What is this?\This is the ideal world you've always dreamed of.\The world on a game board: Disboard! response:	Everything in this world is decided by simple games.
context: I think so, too!\You were definitely born in the wrong world!\So I'll let you be reborn!\In the world you should've been born in!\What is this?\This is the ideal world you've always dreamed of.\The world on a game board: Disboard!\Everything in this world is decided by simple games. response:	People's lives... even national borders!
context: You were definitely born in the wrong world!\So I'll let you be reborn!\In the world you should've been born in!\What is this?\This is the ideal world you've always dreamed of.\The world on a game board: Disboard!\Everything in this world is decided by simple games.\People's lives... even national borders! response:	Who are you?
context: So I'll let you be reborn!\In the world you should've been born in!\What is this?\This is the ideal world you've always dreamed of.\The world on a game board: Disboard!\Everything in this world is decided by simple games.\People's lives... even national borders!\Who are you? response:	Me?
context: In the world you should've been born in!\What is this?\This is the ideal world you've always dreamed of.\The world on a game board: Disboard!\Everything in this world is decided by simple games.\People's lives... even national borders!\Who are you?\Me? response:	I'm Tet.
context: What is this?\This is the ideal world you've always dreamed of.\The world on a game board: Disboard!\Everything in this world is decided by simple games.\People's lives... even national borders!\Who are you?\Me?\I'm Tet. response:	I live over there.
context: This is the ideal world you've always dreamed of.\The world on a game board: Disboard!\Everything in this world is decided by simple games.\People's lives... even national borders!\Who are you?\Me?\I'm Tet.\I live over there. response:	A god?
context: The world on a game board: Disboard!\Everything in this world is decided by simple games.\People's lives... even national borders!\Who are you?\Me?\I'm Tet.\I live over there.\A god? response:	A god?
context: Everything in this world is decided by simple games.\People's lives... even national borders!\Who are you?\Me?\I'm Tet.\I live over there.\A god?\A god? response:	Now's not the time!
context: People's lives... even national borders!\Who are you?\Me?\I'm Tet.\I live over there.\A god?\A god?\Now's not the time! response:	What do we do about this?!
context: Who are you?\Me?\I'm Tet.\I live over there.\A god?\A god?\Now's not the time!\What do we do about this?! response:	In this world, everything is decided by ten pledges.
context: Me?\I'm Tet.\I live over there.\A god?\A god?\Now's not the time!\What do we do about this?!\In this world, everything is decided by ten pledges. response:	One: All murder, war, and robbery is forbidden in this world.
context: I'm Tet.\I live over there.\A god?\A god?\Now's not the time!\What do we do about this?!\In this world, everything is decided by ten pledges.\One: All murder, war, and robbery is forbidden in this world. response:	Two: All conflict in this world will be resolved through games.
context: I live over there.\A god?\A god?\Now's not the time!\What do we do about this?!\In this world, everything is decided by ten pledges.\One: All murder, war, and robbery is forbidden in this world.\Two: All conflict in this world will be resolved through games. response:	Three: In games, each player will bet something that they agree is of equal value.
context: A god?\A god?\Now's not the time!\What do we do about this?!\In this world, everything is decided by ten pledges.\One: All murder, war, and robbery is forbidden in this world.\Two: All conflict in this world will be resolved through games.\Three: In games, each player will bet something that they agree is of equal value. response:	Four: As long as it doesn't go against number three,
context: A god?\Now's not the time!\What do we do about this?!\In this world, everything is decided by ten pledges.\One: All murder, war, and robbery is forbidden in this world.\Two: All conflict in this world will be resolved through games.\Three: In games, each player will bet something that they agree is of equal value.\Four: As long as it doesn't go against number three, response:	what they bet and the rules of the game will not be questioned.
context: Now's not the time!\What do we do about this?!\In this world, everything is decided by ten pledges.\One: All murder, war, and robbery is forbidden in this world.\Two: All conflict in this world will be resolved through games.\Three: In games, each player will bet something that they agree is of equal value.\Four: As long as it doesn't go against number three,\what they bet and the rules of the game will not be questioned. response:	Five: The challenged party has the right to decide the rules of the game.
context: What do we do about this?!\In this world, everything is decided by ten pledges.\One: All murder, war, and robbery is forbidden in this world.\Two: All conflict in this world will be resolved through games.\Three: In games, each player will bet something that they agree is of equal value.\Four: As long as it doesn't go against number three,\what they bet and the rules of the game will not be questioned.\Five: The challenged party has the right to decide the rules of the game. response:	Six: Any bets made in accordance with the pledges must be upheld.
context: In this world, everything is decided by ten pledges.\One: All murder, war, and robbery is forbidden in this world.\Two: All conflict in this world will be resolved through games.\Three: In games, each player will bet something that they agree is of equal value.\Four: As long as it doesn't go against number three,\what they bet and the rules of the game will not be questioned.\Five: The challenged party has the right to decide the rules of the game.\Six: Any bets made in accordance with the pledges must be upheld. response:	Seven: Conflicts between groups will be conducted
context: One: All murder, war, and robbery is forbidden in this world.\Two: All conflict in this world will be resolved through games.\Three: In games, each player will bet something that they agree is of equal value.\Four: As long as it doesn't go against number three,\what they bet and the rules of the game will not be questioned.\Five: The challenged party has the right to decide the rules of the game.\Six: Any bets made in accordance with the pledges must be upheld.\Seven: Conflicts between groups will be conducted response:	by designated representatives with absolute authority.
context: Two: All conflict in this world will be resolved through games.\Three: In games, each player will bet something that they agree is of equal value.\Four: As long as it doesn't go against number three,\what they bet and the rules of the game will not be questioned.\Five: The challenged party has the right to decide the rules of the game.\Six: Any bets made in accordance with the pledges must be upheld.\Seven: Conflicts between groups will be conducted\by designated representatives with absolute authority. response:	Eight: Being caught cheating during a game is grounds for an instant loss.
context: Three: In games, each player will bet something that they agree is of equal value.\Four: As long as it doesn't go against number three,\what they bet and the rules of the game will not be questioned.\Five: The challenged party has the right to decide the rules of the game.\Six: Any bets made in accordance with the pledges must be upheld.\Seven: Conflicts between groups will be conducted\by designated representatives with absolute authority.\Eight: Being caught cheating during a game is grounds for an instant loss. response:	Nine: In the name of God, the previous rules may never be changed.
context: Four: As long as it doesn't go against number three,\what they bet and the rules of the game will not be questioned.\Five: The challenged party has the right to decide the rules of the game.\Six: Any bets made in accordance with the pledges must be upheld.\Seven: Conflicts between groups will be conducted\by designated representatives with absolute authority.\Eight: Being caught cheating during a game is grounds for an instant loss.\Nine: In the name of God, the previous rules may never be changed. response:	I said, this is not the time!
context: what they bet and the rules of the game will not be questioned.\Five: The challenged party has the right to decide the rules of the game.\Six: Any bets made in accordance with the pledges must be upheld.\Seven: Conflicts between groups will be conducted\by designated representatives with absolute authority.\Eight: Being caught cheating during a game is grounds for an instant loss.\Nine: In the name of God, the previous rules may never be changed.\I said, this is not the time! response:	The ground! The ground's getting close!
context: Five: The challenged party has the right to decide the rules of the game.\Six: Any bets made in accordance with the pledges must be upheld.\Seven: Conflicts between groups will be conducted\by designated representatives with absolute authority.\Eight: Being caught cheating during a game is grounds for an instant loss.\Nine: In the name of God, the previous rules may never be changed.\I said, this is not the time!\The ground! The ground's getting close! response:	Brother!
context: Six: Any bets made in accordance with the pledges must be upheld.\Seven: Conflicts between groups will be conducted\by designated representatives with absolute authority.\Eight: Being caught cheating during a game is grounds for an instant loss.\Nine: In the name of God, the previous rules may never be changed.\I said, this is not the time!\The ground! The ground's getting close!\Brother! response:	Shiro!
context: Seven: Conflicts between groups will be conducted\by designated representatives with absolute authority.\Eight: Being caught cheating during a game is grounds for an instant loss.\Nine: In the name of God, the previous rules may never be changed.\I said, this is not the time!\The ground! The ground's getting close!\Brother!\Shiro! response:	And ten: Let's all have fun and play together!
context: by designated representatives with absolute authority.\Eight: Being caught cheating during a game is grounds for an instant loss.\Nine: In the name of God, the previous rules may never be changed.\I said, this is not the time!\The ground! The ground's getting close!\Brother!\Shiro!\And ten: Let's all have fun and play together! response:	Hey!
context: Eight: Being caught cheating during a game is grounds for an instant loss.\Nine: In the name of God, the previous rules may never be changed.\I said, this is not the time!\The ground! The ground's getting close!\Brother!\Shiro!\And ten: Let's all have fun and play together!\Hey! response:	I look forward to seeing you again.
context: Nine: In the name of God, the previous rules may never be changed.\I said, this is not the time!\The ground! The ground's getting close!\Brother!\Shiro!\And ten: Let's all have fun and play together!\Hey!\I look forward to seeing you again. response:	I don't think it'll be long...
context: I said, this is not the time!\The ground! The ground's getting close!\Brother!\Shiro!\And ten: Let's all have fun and play together!\Hey!\I look forward to seeing you again.\I don't think it'll be long... response:	Brother...
context: The ground! The ground's getting close!\Brother!\Shiro!\And ten: Let's all have fun and play together!\Hey!\I look forward to seeing you again.\I don't think it'll be long...\Brother... response:	Where are we?
context: Brother!\Shiro!\And ten: Let's all have fun and play together!\Hey!\I look forward to seeing you again.\I don't think it'll be long...\Brother...\Where are we? response:	Sister...
context: Shiro!\And ten: Let's all have fun and play together!\Hey!\I look forward to seeing you again.\I don't think it'll be long...\Brother...\Where are we?\Sister... response:	I've always thought that life was an impossible game.
context: And ten: Let's all have fun and play together!\Hey!\I look forward to seeing you again.\I don't think it'll be long...\Brother...\Where are we?\Sister...\I've always thought that life was an impossible game. response:	A game for masochists. But...
context: Hey!\I look forward to seeing you again.\I don't think it'll be long...\Brother...\Where are we?\Sister...\I've always thought that life was an impossible game.\A game for masochists. But... response:	It's finally bugged out!
context: I look forward to seeing you again.\I don't think it'll be long...\Brother...\Where are we?\Sister...\I've always thought that life was an impossible game.\A game for masochists. But...\It's finally bugged out! response:	What's going on?
context: I don't think it'll be long...\Brother...\Where are we?\Sister...\I've always thought that life was an impossible game.\A game for masochists. But...\It's finally bugged out!\What's going on? response:	This game is total crap!
context: Brother...\Where are we?\Sister...\I've always thought that life was an impossible game.\A game for masochists. But...\It's finally bugged out!\What's going on?\This game is total crap! response:	Long ago, in the distant, distant past,
context: Where are we?\Sister...\I've always thought that life was an impossible game.\A game for masochists. But...\It's finally bugged out!\What's going on?\This game is total crap!\Long ago, in the distant, distant past, response:	the gods, along with their families and creations,
context: Sister...\I've always thought that life was an impossible game.\A game for masochists. But...\It's finally bugged out!\What's going on?\This game is total crap!\Long ago, in the distant, distant past,\the gods, along with their families and creations, response:	waged an eternal war for the right to rule the world,
context: I've always thought that life was an impossible game.\A game for masochists. But...\It's finally bugged out!\What's going on?\This game is total crap!\Long ago, in the distant, distant past,\the gods, along with their families and creations,\waged an eternal war for the right to rule the world, response:	the right to be the One True God.
context: A game for masochists. But...\It's finally bugged out!\What's going on?\This game is total crap!\Long ago, in the distant, distant past,\the gods, along with their families and creations,\waged an eternal war for the right to rule the world,\the right to be the One True God. response:	The long, brutal battle came to a swift end without a victor
context: It's finally bugged out!\What's going on?\This game is total crap!\Long ago, in the distant, distant past,\the gods, along with their families and creations,\waged an eternal war for the right to rule the world,\the right to be the One True God.\The long, brutal battle came to a swift end without a victor response:	with the death of the sky, the sea, the land, and the stars.
context: What's going on?\This game is total crap!\Long ago, in the distant, distant past,\the gods, along with their families and creations,\waged an eternal war for the right to rule the world,\the right to be the One True God.\The long, brutal battle came to a swift end without a victor\with the death of the sky, the sea, the land, and the stars. response:	The single deity who had not participated in the battle
context: This game is total crap!\Long ago, in the distant, distant past,\the gods, along with their families and creations,\waged an eternal war for the right to rule the world,\the right to be the One True God.\The long, brutal battle came to a swift end without a victor\with the death of the sky, the sea, the land, and the stars.\The single deity who had not participated in the battle response:	won by default
context: Long ago, in the distant, distant past,\the gods, along with their families and creations,\waged an eternal war for the right to rule the world,\the right to be the One True God.\The long, brutal battle came to a swift end without a victor\with the death of the sky, the sea, the land, and the stars.\The single deity who had not participated in the battle\won by default response:	and assumed the title of One True God.
context: the gods, along with their families and creations,\waged an eternal war for the right to rule the world,\the right to be the One True God.\The long, brutal battle came to a swift end without a victor\with the death of the sky, the sea, the land, and the stars.\The single deity who had not participated in the battle\won by default\and assumed the title of One True God. response:	His name was Tet.
context: waged an eternal war for the right to rule the world,\the right to be the One True God.\The long, brutal battle came to a swift end without a victor\with the death of the sky, the sea, the land, and the stars.\The single deity who had not participated in the battle\won by default\and assumed the title of One True God.\His name was Tet. response:	He was once known as the god of play.
context: the right to be the One True God.\The long, brutal battle came to a swift end without a victor\with the death of the sky, the sea, the land, and the stars.\The single deity who had not participated in the battle\won by default\and assumed the title of One True God.\His name was Tet.\He was once known as the god of play. response:	You creatures who have fought with strength, violence, blood, and death,
context: The long, brutal battle came to a swift end without a victor\with the death of the sky, the sea, the land, and the stars.\The single deity who had not participated in the battle\won by default\and assumed the title of One True God.\His name was Tet.\He was once known as the god of play.\You creatures who have fought with strength, violence, blood, and death, response:	who built a tower of corpses that rises to the sky and call yourselves wise,
context: with the death of the sky, the sea, the land, and the stars.\The single deity who had not participated in the battle\won by default\and assumed the title of One True God.\His name was Tet.\He was once known as the god of play.\You creatures who have fought with strength, violence, blood, and death,\who built a tower of corpses that rises to the sky and call yourselves wise, response:	What is the difference between you and the dumb beasts?
context: The single deity who had not participated in the battle\won by default\and assumed the title of One True God.\His name was Tet.\He was once known as the god of play.\You creatures who have fought with strength, violence, blood, and death,\who built a tower of corpses that rises to the sky and call yourselves wise,\What is the difference between you and the dumb beasts? response:	In the face of their shattered world, excuses were meaningless.
context: won by default\and assumed the title of One True God.\His name was Tet.\He was once known as the god of play.\You creatures who have fought with strength, violence, blood, and death,\who built a tower of corpses that rises to the sky and call yourselves wise,\What is the difference between you and the dumb beasts?\In the face of their shattered world, excuses were meaningless. response:	And then, God spoke.
context: and assumed the title of One True God.\His name was Tet.\He was once known as the god of play.\You creatures who have fought with strength, violence, blood, and death,\who built a tower of corpses that rises to the sky and call yourselves wise,\What is the difference between you and the dumb beasts?\In the face of their shattered world, excuses were meaningless.\And then, God spoke. response:	All murder and robbery in this realm is forbidden, he said.
context: His name was Tet.\He was once known as the god of play.\You creatures who have fought with strength, violence, blood, and death,\who built a tower of corpses that rises to the sky and call yourselves wise,\What is the difference between you and the dumb beasts?\In the face of their shattered world, excuses were meaningless.\And then, God spoke.\All murder and robbery in this realm is forbidden, he said. response:	use your wisdom and wit, your fortune and wealth,
context: He was once known as the god of play.\You creatures who have fought with strength, violence, blood, and death,\who built a tower of corpses that rises to the sky and call yourselves wise,\What is the difference between you and the dumb beasts?\In the face of their shattered world, excuses were meaningless.\And then, God spoke.\All murder and robbery in this realm is forbidden, he said.\use your wisdom and wit, your fortune and wealth, response:	to build a tower of wisdom.
context: You creatures who have fought with strength, violence, blood, and death,\who built a tower of corpses that rises to the sky and call yourselves wise,\What is the difference between you and the dumb beasts?\In the face of their shattered world, excuses were meaningless.\And then, God spoke.\All murder and robbery in this realm is forbidden, he said.\use your wisdom and wit, your fortune and wealth,\to build a tower of wisdom. response:	And prove to me...
context: who built a tower of corpses that rises to the sky and call yourselves wise,\What is the difference between you and the dumb beasts?\In the face of their shattered world, excuses were meaningless.\And then, God spoke.\All murder and robbery in this realm is forbidden, he said.\use your wisdom and wit, your fortune and wealth,\to build a tower of wisdom.\And prove to me... response:	I see.
