context: And now, news about the incident at True Cross Academy. response:	The students who were taken hostage were all rescued uninjured, but the culprit escaped.
context: I don't know. But one day...\When I got back to the facility, her hibernation capsule was open.\Michelle!\I knew that a demon had possessed the corpse of my wife.\But I couldn't make my beloved Michelle suffer death again.\Michelle!\Igor Neuhaus!\You are arrested for artificial life research and performing quickening! response:	What?!
context: When I got back to the facility, her hibernation capsule was open.\Michelle!\I knew that a demon had possessed the corpse of my wife.\But I couldn't make my beloved Michelle suffer death again.\Michelle!\Igor Neuhaus!\You are arrested for artificial life research and performing quickening!\What?! response:	Burn down this impure institution!
context: Michelle!\I knew that a demon had possessed the corpse of my wife.\But I couldn't make my beloved Michelle suffer death again.\Michelle!\Igor Neuhaus!\You are arrested for artificial life research and performing quickening!\What?!\Burn down this impure institution! response:	Michelle!
context: I knew that a demon had possessed the corpse of my wife.\But I couldn't make my beloved Michelle suffer death again.\Michelle!\Igor Neuhaus!\You are arrested for artificial life research and performing quickening!\What?!\Burn down this impure institution!\Michelle! response:	Using the keys, I escaped to Japan with Michelle.
context: But I couldn't make my beloved Michelle suffer death again.\Michelle!\Igor Neuhaus!\You are arrested for artificial life research and performing quickening!\What?!\Burn down this impure institution!\Michelle!\Using the keys, I escaped to Japan with Michelle. response:	But ever since then she's been changing little by little.
context: Michelle!\Igor Neuhaus!\You are arrested for artificial life research and performing quickening!\What?!\Burn down this impure institution!\Michelle!\Using the keys, I escaped to Japan with Michelle.\But ever since then she's been changing little by little. response:	No!
context: Igor Neuhaus!\You are arrested for artificial life research and performing quickening!\What?!\Burn down this impure institution!\Michelle!\Using the keys, I escaped to Japan with Michelle.\But ever since then she's been changing little by little.\No! response:	Michelle!
context: You are arrested for artificial life research and performing quickening!\What?!\Burn down this impure institution!\Michelle!\Using the keys, I escaped to Japan with Michelle.\But ever since then she's been changing little by little.\No!\Michelle! response:	So hot! Someone... Help me!
context: What?!\Burn down this impure institution!\Michelle!\Using the keys, I escaped to Japan with Michelle.\But ever since then she's been changing little by little.\No!\Michelle!\So hot! Someone... Help me! response:	It's all right!
context: Burn down this impure institution!\Michelle!\Using the keys, I escaped to Japan with Michelle.\But ever since then she's been changing little by little.\No!\Michelle!\So hot! Someone... Help me!\It's all right! response:	It's all right now!
context: Michelle!\Using the keys, I escaped to Japan with Michelle.\But ever since then she's been changing little by little.\No!\Michelle!\So hot! Someone... Help me!\It's all right!\It's all right now! response:	She probably remembers that she was burnt to death by blue flames.
context: Using the keys, I escaped to Japan with Michelle.\But ever since then she's been changing little by little.\No!\Michelle!\So hot! Someone... Help me!\It's all right!\It's all right now!\She probably remembers that she was burnt to death by blue flames. response:	They must die... everyone connected to Satan.
context: But ever since then she's been changing little by little.\No!\Michelle!\So hot! Someone... Help me!\It's all right!\It's all right now!\She probably remembers that she was burnt to death by blue flames.\They must die... everyone connected to Satan. response:	I'll slaughter them!
context: No!\Michelle!\So hot! Someone... Help me!\It's all right!\It's all right now!\She probably remembers that she was burnt to death by blue flames.\They must die... everyone connected to Satan.\I'll slaughter them! response:	Michelle turned into a vengeful demon.
context: Michelle!\So hot! Someone... Help me!\It's all right!\It's all right now!\She probably remembers that she was burnt to death by blue flames.\They must die... everyone connected to Satan.\I'll slaughter them!\Michelle turned into a vengeful demon. response:	I wanted to bring her back while I still could, but you know the rest.
context: So hot! Someone... Help me!\It's all right!\It's all right now!\She probably remembers that she was burnt to death by blue flames.\They must die... everyone connected to Satan.\I'll slaughter them!\Michelle turned into a vengeful demon.\I wanted to bring her back while I still could, but you know the rest. response:	Why couldn't you just tell us about it?
context: It's all right!\It's all right now!\She probably remembers that she was burnt to death by blue flames.\They must die... everyone connected to Satan.\I'll slaughter them!\Michelle turned into a vengeful demon.\I wanted to bring her back while I still could, but you know the rest.\Why couldn't you just tell us about it? response:	Even if I had told you, there's nothing you could do to help her.
context: It's all right now!\She probably remembers that she was burnt to death by blue flames.\They must die... everyone connected to Satan.\I'll slaughter them!\Michelle turned into a vengeful demon.\I wanted to bring her back while I still could, but you know the rest.\Why couldn't you just tell us about it?\Even if I had told you, there's nothing you could do to help her. response:	She doesn't have much time left.
context: She probably remembers that she was burnt to death by blue flames.\They must die... everyone connected to Satan.\I'll slaughter them!\Michelle turned into a vengeful demon.\I wanted to bring her back while I still could, but you know the rest.\Why couldn't you just tell us about it?\Even if I had told you, there's nothing you could do to help her.\She doesn't have much time left. response:	She's possessed by a demon, but she's nothing but a corpse.
context: They must die... everyone connected to Satan.\I'll slaughter them!\Michelle turned into a vengeful demon.\I wanted to bring her back while I still could, but you know the rest.\Why couldn't you just tell us about it?\Even if I had told you, there's nothing you could do to help her.\She doesn't have much time left.\She's possessed by a demon, but she's nothing but a corpse. response:	Within a few days, she will begin to rot and return to earth.
context: I'll slaughter them!\Michelle turned into a vengeful demon.\I wanted to bring her back while I still could, but you know the rest.\Why couldn't you just tell us about it?\Even if I had told you, there's nothing you could do to help her.\She doesn't have much time left.\She's possessed by a demon, but she's nothing but a corpse.\Within a few days, she will begin to rot and return to earth. response:	Hey, Rin!
context: Michelle turned into a vengeful demon.\I wanted to bring her back while I still could, but you know the rest.\Why couldn't you just tell us about it?\Even if I had told you, there's nothing you could do to help her.\She doesn't have much time left.\She's possessed by a demon, but she's nothing but a corpse.\Within a few days, she will begin to rot and return to earth.\Hey, Rin! response:	Where are you going?
context: I wanted to bring her back while I still could, but you know the rest.\Why couldn't you just tell us about it?\Even if I had told you, there's nothing you could do to help her.\She doesn't have much time left.\She's possessed by a demon, but she's nothing but a corpse.\Within a few days, she will begin to rot and return to earth.\Hey, Rin!\Where are you going? response:	Can't you see it? I'm going after his wife.
context: Why couldn't you just tell us about it?\Even if I had told you, there's nothing you could do to help her.\She doesn't have much time left.\She's possessed by a demon, but she's nothing but a corpse.\Within a few days, she will begin to rot and return to earth.\Hey, Rin!\Where are you going?\Can't you see it? I'm going after his wife. response:	And what if you find her? What will you do?
context: Even if I had told you, there's nothing you could do to help her.\She doesn't have much time left.\She's possessed by a demon, but she's nothing but a corpse.\Within a few days, she will begin to rot and return to earth.\Hey, Rin!\Where are you going?\Can't you see it? I'm going after his wife.\And what if you find her? What will you do? response:	I don't know. But I can't stay still.
context: She doesn't have much time left.\She's possessed by a demon, but she's nothing but a corpse.\Within a few days, she will begin to rot and return to earth.\Hey, Rin!\Where are you going?\Can't you see it? I'm going after his wife.\And what if you find her? What will you do?\I don't know. But I can't stay still. response:	Idiots must go forward, huh?
context: She's possessed by a demon, but she's nothing but a corpse.\Within a few days, she will begin to rot and return to earth.\Hey, Rin!\Where are you going?\Can't you see it? I'm going after his wife.\And what if you find her? What will you do?\I don't know. But I can't stay still.\Idiots must go forward, huh? response:	My familiars are already after her. This seal will lead the way.
context: Within a few days, she will begin to rot and return to earth.\Hey, Rin!\Where are you going?\Can't you see it? I'm going after his wife.\And what if you find her? What will you do?\I don't know. But I can't stay still.\Idiots must go forward, huh?\My familiars are already after her. This seal will lead the way. response:	Thank you, Shura!
context: Hey, Rin!\Where are you going?\Can't you see it? I'm going after his wife.\And what if you find her? What will you do?\I don't know. But I can't stay still.\Idiots must go forward, huh?\My familiars are already after her. This seal will lead the way.\Thank you, Shura! response:	You oughta show some respect. Now get going!
context: Where are you going?\Can't you see it? I'm going after his wife.\And what if you find her? What will you do?\I don't know. But I can't stay still.\Idiots must go forward, huh?\My familiars are already after her. This seal will lead the way.\Thank you, Shura!\You oughta show some respect. Now get going! response:	But if you find her, report back immediately.
context: Can't you see it? I'm going after his wife.\And what if you find her? What will you do?\I don't know. But I can't stay still.\Idiots must go forward, huh?\My familiars are already after her. This seal will lead the way.\Thank you, Shura!\You oughta show some respect. Now get going!\But if you find her, report back immediately. response:	Don't try anything alone.
context: And what if you find her? What will you do?\I don't know. But I can't stay still.\Idiots must go forward, huh?\My familiars are already after her. This seal will lead the way.\Thank you, Shura!\You oughta show some respect. Now get going!\But if you find her, report back immediately.\Don't try anything alone. response:	Sure!
context: I don't know. But I can't stay still.\Idiots must go forward, huh?\My familiars are already after her. This seal will lead the way.\Thank you, Shura!\You oughta show some respect. Now get going!\But if you find her, report back immediately.\Don't try anything alone.\Sure! response:	But who the hell could have revived Neuhaus' wife?
context: Idiots must go forward, huh?\My familiars are already after her. This seal will lead the way.\Thank you, Shura!\You oughta show some respect. Now get going!\But if you find her, report back immediately.\Don't try anything alone.\Sure!\But who the hell could have revived Neuhaus' wife? response:	I was in such a hurry I didn't think about it, but how do I use this again?
context: My familiars are already after her. This seal will lead the way.\Thank you, Shura!\You oughta show some respect. Now get going!\But if you find her, report back immediately.\Don't try anything alone.\Sure!\But who the hell could have revived Neuhaus' wife?\I was in such a hurry I didn't think about it, but how do I use this again? response:	Should I call and ask her?
context: Thank you, Shura!\You oughta show some respect. Now get going!\But if you find her, report back immediately.\Don't try anything alone.\Sure!\But who the hell could have revived Neuhaus' wife?\I was in such a hurry I didn't think about it, but how do I use this again?\Should I call and ask her? response:	You're a total idiot!
context: You oughta show some respect. Now get going!\But if you find her, report back immediately.\Don't try anything alone.\Sure!\But who the hell could have revived Neuhaus' wife?\I was in such a hurry I didn't think about it, but how do I use this again?\Should I call and ask her?\You're a total idiot! response:	No way, I'd be so dead...
context: But if you find her, report back immediately.\Don't try anything alone.\Sure!\But who the hell could have revived Neuhaus' wife?\I was in such a hurry I didn't think about it, but how do I use this again?\Should I call and ask her?\You're a total idiot!\No way, I'd be so dead... response:	Ah, yea, it's Okumura...
context: Don't try anything alone.\Sure!\But who the hell could have revived Neuhaus' wife?\I was in such a hurry I didn't think about it, but how do I use this again?\Should I call and ask her?\You're a total idiot!\No way, I'd be so dead...\Ah, yea, it's Okumura... response:	Rin?
context: Sure!\But who the hell could have revived Neuhaus' wife?\I was in such a hurry I didn't think about it, but how do I use this again?\Should I call and ask her?\You're a total idiot!\No way, I'd be so dead...\Ah, yea, it's Okumura...\Rin? response:	Shiemi? What's wrong?
context: But who the hell could have revived Neuhaus' wife?\I was in such a hurry I didn't think about it, but how do I use this again?\Should I call and ask her?\You're a total idiot!\No way, I'd be so dead...\Ah, yea, it's Okumura...\Rin?\Shiemi? What's wrong? response:	We've got to talk...
context: I was in such a hurry I didn't think about it, but how do I use this again?\Should I call and ask her?\You're a total idiot!\No way, I'd be so dead...\Ah, yea, it's Okumura...\Rin?\Shiemi? What's wrong?\We've got to talk... response:	Yeah, it's important.
context: Should I call and ask her?\You're a total idiot!\No way, I'd be so dead...\Ah, yea, it's Okumura...\Rin?\Shiemi? What's wrong?\We've got to talk...\Yeah, it's important. response:	I get it. I'm on my way.
context: You're a total idiot!\No way, I'd be so dead...\Ah, yea, it's Okumura...\Rin?\Shiemi? What's wrong?\We've got to talk...\Yeah, it's important.\I get it. I'm on my way. response:	What...?
context: No way, I'd be so dead...\Ah, yea, it's Okumura...\Rin?\Shiemi? What's wrong?\We've got to talk...\Yeah, it's important.\I get it. I'm on my way.\What...? response:	You shouldn't move around yet.
context: Ah, yea, it's Okumura...\Rin?\Shiemi? What's wrong?\We've got to talk...\Yeah, it's important.\I get it. I'm on my way.\What...?\You shouldn't move around yet. response:	But I'm glad you woke up.
context: Rin?\Shiemi? What's wrong?\We've got to talk...\Yeah, it's important.\I get it. I'm on my way.\What...?\You shouldn't move around yet.\But I'm glad you woke up. response:	Where am I? Why am I here?
context: Shiemi? What's wrong?\We've got to talk...\Yeah, it's important.\I get it. I'm on my way.\What...?\You shouldn't move around yet.\But I'm glad you woke up.\Where am I? Why am I here? response:	You collapsed in our garden.
context: We've got to talk...\Yeah, it's important.\I get it. I'm on my way.\What...?\You shouldn't move around yet.\But I'm glad you woke up.\Where am I? Why am I here?\You collapsed in our garden. response:	He helped me to carry you here.
context: Yeah, it's important.\I get it. I'm on my way.\What...?\You shouldn't move around yet.\But I'm glad you woke up.\Where am I? Why am I here?\You collapsed in our garden.\He helped me to carry you here. response:	What are you?
context: I get it. I'm on my way.\What...?\You shouldn't move around yet.\But I'm glad you woke up.\Where am I? Why am I here?\You collapsed in our garden.\He helped me to carry you here.\What are you? response:	I want to become an Exorcist!
context: What...?\You shouldn't move around yet.\But I'm glad you woke up.\Where am I? Why am I here?\You collapsed in our garden.\He helped me to carry you here.\What are you?\I want to become an Exorcist! response:	Exorcist?
context: You shouldn't move around yet.\But I'm glad you woke up.\Where am I? Why am I here?\You collapsed in our garden.\He helped me to carry you here.\What are you?\I want to become an Exorcist!\Exorcist? response:	Excuse me!
context: But I'm glad you woke up.\Where am I? Why am I here?\You collapsed in our garden.\He helped me to carry you here.\What are you?\I want to become an Exorcist!\Exorcist?\Excuse me! response:	There's no one here.
context: Where am I? Why am I here?\You collapsed in our garden.\He helped me to carry you here.\What are you?\I want to become an Exorcist!\Exorcist?\Excuse me!\There's no one here. response:	And I came all this way...
context: You collapsed in our garden.\He helped me to carry you here.\What are you?\I want to become an Exorcist!\Exorcist?\Excuse me!\There's no one here.\And I came all this way... response:	Hey! Where's Shiemi?
context: He helped me to carry you here.\What are you?\I want to become an Exorcist!\Exorcist?\Excuse me!\There's no one here.\And I came all this way...\Hey! Where's Shiemi? response:	You'll show me the way?
context: What are you?\I want to become an Exorcist!\Exorcist?\Excuse me!\There's no one here.\And I came all this way...\Hey! Where's Shiemi?\You'll show me the way? response:	Hey, Shiemi!
context: I want to become an Exorcist!\Exorcist?\Excuse me!\There's no one here.\And I came all this way...\Hey! Where's Shiemi?\You'll show me the way?\Hey, Shiemi! response:	The hell? This wasn't here earlier.
context: Exorcist?\Excuse me!\There's no one here.\And I came all this way...\Hey! Where's Shiemi?\You'll show me the way?\Hey, Shiemi!\The hell? This wasn't here earlier. response:	Huh?
context: Excuse me!\There's no one here.\And I came all this way...\Hey! Where's Shiemi?\You'll show me the way?\Hey, Shiemi!\The hell? This wasn't here earlier.\Huh? response:	Shura's familiar?
context: There's no one here.\And I came all this way...\Hey! Where's Shiemi?\You'll show me the way?\Hey, Shiemi!\The hell? This wasn't here earlier.\Huh?\Shura's familiar? response:	Is she here?
context: And I came all this way...\Hey! Where's Shiemi?\You'll show me the way?\Hey, Shiemi!\The hell? This wasn't here earlier.\Huh?\Shura's familiar?\Is she here? response:	This is the secret garden of my granny.
context: Hey! Where's Shiemi?\You'll show me the way?\Hey, Shiemi!\The hell? This wasn't here earlier.\Huh?\Shura's familiar?\Is she here?\This is the secret garden of my granny. response:	She always told me that if we listened to what the plants have to say,
context: You'll show me the way?\Hey, Shiemi!\The hell? This wasn't here earlier.\Huh?\Shura's familiar?\Is she here?\This is the secret garden of my granny.\She always told me that if we listened to what the plants have to say, response:	they'll bloom beautifully. It's really true!
context: Hey, Shiemi!\The hell? This wasn't here earlier.\Huh?\Shura's familiar?\Is she here?\This is the secret garden of my granny.\She always told me that if we listened to what the plants have to say,\they'll bloom beautifully. It's really true! response:	Granny could hear them!
context: The hell? This wasn't here earlier.\Huh?\Shura's familiar?\Is she here?\This is the secret garden of my granny.\She always told me that if we listened to what the plants have to say,\they'll bloom beautifully. It's really true!\Granny could hear them! response:	So many spirits loved her...
context: Huh?\Shura's familiar?\Is she here?\This is the secret garden of my granny.\She always told me that if we listened to what the plants have to say,\they'll bloom beautifully. It's really true!\Granny could hear them!\So many spirits loved her... response:	She was really amazing!
context: Shura's familiar?\Is she here?\This is the secret garden of my granny.\She always told me that if we listened to what the plants have to say,\they'll bloom beautifully. It's really true!\Granny could hear them!\So many spirits loved her...\She was really amazing! response:	Ah, sorry... I'm just babbling.
context: Is she here?\This is the secret garden of my granny.\She always told me that if we listened to what the plants have to say,\they'll bloom beautifully. It's really true!\Granny could hear them!\So many spirits loved her...\She was really amazing!\Ah, sorry... I'm just babbling. response:	This is like the Garden of Amahara.
context: This is the secret garden of my granny.\She always told me that if we listened to what the plants have to say,\they'll bloom beautifully. It's really true!\Granny could hear them!\So many spirits loved her...\She was really amazing!\Ah, sorry... I'm just babbling.\This is like the Garden of Amahara. response:	My husband told me about it, it's the garden with all the flowers God created.
context: She always told me that if we listened to what the plants have to say,\they'll bloom beautifully. It's really true!\Granny could hear them!\So many spirits loved her...\She was really amazing!\Ah, sorry... I'm just babbling.\This is like the Garden of Amahara.\My husband told me about it, it's the garden with all the flowers God created. response:	If it really existed, I'm sure it'd be something like this.
context: they'll bloom beautifully. It's really true!\Granny could hear them!\So many spirits loved her...\She was really amazing!\Ah, sorry... I'm just babbling.\This is like the Garden of Amahara.\My husband told me about it, it's the garden with all the flowers God created.\If it really existed, I'm sure it'd be something like this. response:	Um... Please be my friend!
context: Granny could hear them!\So many spirits loved her...\She was really amazing!\Ah, sorry... I'm just babbling.\This is like the Garden of Amahara.\My husband told me about it, it's the garden with all the flowers God created.\If it really existed, I'm sure it'd be something like this.\Um... Please be my friend! response:	This is the first time I've met someone who knows about the Garden of Amahara!
context: So many spirits loved her...\She was really amazing!\Ah, sorry... I'm just babbling.\This is like the Garden of Amahara.\My husband told me about it, it's the garden with all the flowers God created.\If it really existed, I'm sure it'd be something like this.\Um... Please be my friend!\This is the first time I've met someone who knows about the Garden of Amahara! response:	So warm...
context: She was really amazing!\Ah, sorry... I'm just babbling.\This is like the Garden of Amahara.\My husband told me about it, it's the garden with all the flowers God created.\If it really existed, I'm sure it'd be something like this.\Um... Please be my friend!\This is the first time I've met someone who knows about the Garden of Amahara!\So warm... response:	What's your name?
context: Ah, sorry... I'm just babbling.\This is like the Garden of Amahara.\My husband told me about it, it's the garden with all the flowers God created.\If it really existed, I'm sure it'd be something like this.\Um... Please be my friend!\This is the first time I've met someone who knows about the Garden of Amahara!\So warm...\What's your name? response:	My name?
context: This is like the Garden of Amahara.\My husband told me about it, it's the garden with all the flowers God created.\If it really existed, I'm sure it'd be something like this.\Um... Please be my friend!\This is the first time I've met someone who knows about the Garden of Amahara!\So warm...\What's your name?\My name? response:	I'm Shiemi Moriyama!
context: My husband told me about it, it's the garden with all the flowers God created.\If it really existed, I'm sure it'd be something like this.\Um... Please be my friend!\This is the first time I've met someone who knows about the Garden of Amahara!\So warm...\What's your name?\My name?\I'm Shiemi Moriyama! response:	I'm Michelle.
context: If it really existed, I'm sure it'd be something like this.\Um... Please be my friend!\This is the first time I've met someone who knows about the Garden of Amahara!\So warm...\What's your name?\My name?\I'm Shiemi Moriyama!\I'm Michelle. response:	Shiemi!
context: Um... Please be my friend!\This is the first time I've met someone who knows about the Garden of Amahara!\So warm...\What's your name?\My name?\I'm Shiemi Moriyama!\I'm Michelle.\Shiemi! response:	Rin!
context: This is the first time I've met someone who knows about the Garden of Amahara!\So warm...\What's your name?\My name?\I'm Shiemi Moriyama!\I'm Michelle.\Shiemi!\Rin! response:	Get away from her!
context: So warm...\What's your name?\My name?\I'm Shiemi Moriyama!\I'm Michelle.\Shiemi!\Rin!\Get away from her! response:	Don't come any closer!
context: What's your name?\My name?\I'm Shiemi Moriyama!\I'm Michelle.\Shiemi!\Rin!\Get away from her!\Don't come any closer! response:	Stop!
context: My name?\I'm Shiemi Moriyama!\I'm Michelle.\Shiemi!\Rin!\Get away from her!\Don't come any closer!\Stop! response:	I didn't think you'd be in Satan's league too.
context: I'm Shiemi Moriyama!\I'm Michelle.\Shiemi!\Rin!\Get away from her!\Don't come any closer!\Stop!\I didn't think you'd be in Satan's league too. response:	This has nothing to do with Shiemi!
context: I'm Michelle.\Shiemi!\Rin!\Get away from her!\Don't come any closer!\Stop!\I didn't think you'd be in Satan's league too.\This has nothing to do with Shiemi! response:	I told you that this is revenge.
context: Shiemi!\Rin!\Get away from her!\Don't come any closer!\Stop!\I didn't think you'd be in Satan's league too.\This has nothing to do with Shiemi!\I told you that this is revenge. response:	My reason to live turned to ash!
context: Rin!\Get away from her!\Don't come any closer!\Stop!\I didn't think you'd be in Satan's league too.\This has nothing to do with Shiemi!\I told you that this is revenge.\My reason to live turned to ash! response:	By your blue flames!
context: Get away from her!\Don't come any closer!\Stop!\I didn't think you'd be in Satan's league too.\This has nothing to do with Shiemi!\I told you that this is revenge.\My reason to live turned to ash!\By your blue flames! response:	You must die!
context: Don't come any closer!\Stop!\I didn't think you'd be in Satan's league too.\This has nothing to do with Shiemi!\I told you that this is revenge.\My reason to live turned to ash!\By your blue flames!\You must die! response:	Just like how Satan took everything from me...
context: Stop!\I didn't think you'd be in Satan's league too.\This has nothing to do with Shiemi!\I told you that this is revenge.\My reason to live turned to ash!\By your blue flames!\You must die!\Just like how Satan took everything from me... response:	I'll take everything important from...
context: I didn't think you'd be in Satan's league too.\This has nothing to do with Shiemi!\I told you that this is revenge.\My reason to live turned to ash!\By your blue flames!\You must die!\Just like how Satan took everything from me...\I'll take everything important from... response:	Shiemi!
context: This has nothing to do with Shiemi!\I told you that this is revenge.\My reason to live turned to ash!\By your blue flames!\You must die!\Just like how Satan took everything from me...\I'll take everything important from...\Shiemi! response:	Michelle!
context: I told you that this is revenge.\My reason to live turned to ash!\By your blue flames!\You must die!\Just like how Satan took everything from me...\I'll take everything important from...\Shiemi!\Michelle! response:	Wait! She's hurt!
context: My reason to live turned to ash!\By your blue flames!\You must die!\Just like how Satan took everything from me...\I'll take everything important from...\Shiemi!\Michelle!\Wait! She's hurt! response:	I have to help her!
context: By your blue flames!\You must die!\Just like how Satan took everything from me...\I'll take everything important from...\Shiemi!\Michelle!\Wait! She's hurt!\I have to help her! response:	It's pointless. She's already dead.
context: You must die!\Just like how Satan took everything from me...\I'll take everything important from...\Shiemi!\Michelle!\Wait! She's hurt!\I have to help her!\It's pointless. She's already dead. response:	She returned to life to take revenge on Satan.
context: Just like how Satan took everything from me...\I'll take everything important from...\Shiemi!\Michelle!\Wait! She's hurt!\I have to help her!\It's pointless. She's already dead.\She returned to life to take revenge on Satan. response:	Get out of the way, Shiemi.
context: I'll take everything important from...\Shiemi!\Michelle!\Wait! She's hurt!\I have to help her!\It's pointless. She's already dead.\She returned to life to take revenge on Satan.\Get out of the way, Shiemi. response:	No! She's not a bad person!
context: Shiemi!\Michelle!\Wait! She's hurt!\I have to help her!\It's pointless. She's already dead.\She returned to life to take revenge on Satan.\Get out of the way, Shiemi.\No! She's not a bad person! response:	She tried to kill Suguro and everyone in our monastery.
context: Michelle!\Wait! She's hurt!\I have to help her!\It's pointless. She's already dead.\She returned to life to take revenge on Satan.\Get out of the way, Shiemi.\No! She's not a bad person!\She tried to kill Suguro and everyone in our monastery. response:	I must protect those important to me.
context: Wait! She's hurt!\I have to help her!\It's pointless. She's already dead.\She returned to life to take revenge on Satan.\Get out of the way, Shiemi.\No! She's not a bad person!\She tried to kill Suguro and everyone in our monastery.\I must protect those important to me. response:	I called you here to help!
context: I have to help her!\It's pointless. She's already dead.\She returned to life to take revenge on Satan.\Get out of the way, Shiemi.\No! She's not a bad person!\She tried to kill Suguro and everyone in our monastery.\I must protect those important to me.\I called you here to help! response:	And I came to help you!
context: It's pointless. She's already dead.\She returned to life to take revenge on Satan.\Get out of the way, Shiemi.\No! She's not a bad person!\She tried to kill Suguro and everyone in our monastery.\I must protect those important to me.\I called you here to help!\And I came to help you! response:	To protect you...
context: She returned to life to take revenge on Satan.\Get out of the way, Shiemi.\No! She's not a bad person!\She tried to kill Suguro and everyone in our monastery.\I must protect those important to me.\I called you here to help!\And I came to help you!\To protect you... response:	No! I don't want that!
context: Get out of the way, Shiemi.\No! She's not a bad person!\She tried to kill Suguro and everyone in our monastery.\I must protect those important to me.\I called you here to help!\And I came to help you!\To protect you...\No! I don't want that! response:	Shiemi...
context: No! She's not a bad person!\She tried to kill Suguro and everyone in our monastery.\I must protect those important to me.\I called you here to help!\And I came to help you!\To protect you...\No! I don't want that!\Shiemi... response:	Look! If she was really a bad person, the Green Men wouldn't help her!
context: She tried to kill Suguro and everyone in our monastery.\I must protect those important to me.\I called you here to help!\And I came to help you!\To protect you...\No! I don't want that!\Shiemi...\Look! If she was really a bad person, the Green Men wouldn't help her! response:	Right?
context: I must protect those important to me.\I called you here to help!\And I came to help you!\To protect you...\No! I don't want that!\Shiemi...\Look! If she was really a bad person, the Green Men wouldn't help her!\Right? response:	She's Professor Neuhaus' wife.
context: I called you here to help!\And I came to help you!\To protect you...\No! I don't want that!\Shiemi...\Look! If she was really a bad person, the Green Men wouldn't help her!\Right?\She's Professor Neuhaus' wife. response:	Whaaat?
context: And I came to help you!\To protect you...\No! I don't want that!\Shiemi...\Look! If she was really a bad person, the Green Men wouldn't help her!\Right?\She's Professor Neuhaus' wife.\Whaaat? response:	Huh, it won't connect?
context: To protect you...\No! I don't want that!\Shiemi...\Look! If she was really a bad person, the Green Men wouldn't help her!\Right?\She's Professor Neuhaus' wife.\Whaaat?\Huh, it won't connect? response:	I've gotta make a call, stay where you are.
context: No! I don't want that!\Shiemi...\Look! If she was really a bad person, the Green Men wouldn't help her!\Right?\She's Professor Neuhaus' wife.\Whaaat?\Huh, it won't connect?\I've gotta make a call, stay where you are. response:	Hullo?
context: Shiemi...\Look! If she was really a bad person, the Green Men wouldn't help her!\Right?\She's Professor Neuhaus' wife.\Whaaat?\Huh, it won't connect?\I've gotta make a call, stay where you are.\Hullo? response:	Rin? What's up?
context: Look! If she was really a bad person, the Green Men wouldn't help her!\Right?\She's Professor Neuhaus' wife.\Whaaat?\Huh, it won't connect?\I've gotta make a call, stay where you are.\Hullo?\Rin? What's up? response:	I've found her.
context: Right?\She's Professor Neuhaus' wife.\Whaaat?\Huh, it won't connect?\I've gotta make a call, stay where you are.\Hullo?\Rin? What's up?\I've found her. response:	Really? Where?
context: She's Professor Neuhaus' wife.\Whaaat?\Huh, it won't connect?\I've gotta make a call, stay where you are.\Hullo?\Rin? What's up?\I've found her.\Really? Where? response:	In the Exorcist Shop.
context: Whaaat?\Huh, it won't connect?\I've gotta make a call, stay where you are.\Hullo?\Rin? What's up?\I've found her.\Really? Where?\In the Exorcist Shop. response:	Huh? Why would she go there?
context: Huh, it won't connect?\I've gotta make a call, stay where you are.\Hullo?\Rin? What's up?\I've found her.\Really? Where?\In the Exorcist Shop.\Huh? Why would she go there? response:	I'd like to know that too.
context: I've gotta make a call, stay where you are.\Hullo?\Rin? What's up?\I've found her.\Really? Where?\In the Exorcist Shop.\Huh? Why would she go there?\I'd like to know that too. response:	Anyway, I'll take Neuhaus there, so don't let her out of your eyes.
context: Hullo?\Rin? What's up?\I've found her.\Really? Where?\In the Exorcist Shop.\Huh? Why would she go there?\I'd like to know that too.\Anyway, I'll take Neuhaus there, so don't let her out of your eyes. response:	You don't have to come. Or rather, it's best you don't come.
context: Rin? What's up?\I've found her.\Really? Where?\In the Exorcist Shop.\Huh? Why would she go there?\I'd like to know that too.\Anyway, I'll take Neuhaus there, so don't let her out of your eyes.\You don't have to come. Or rather, it's best you don't come. response:	Huh? What's wrong, Rin?
context: I've found her.\Really? Where?\In the Exorcist Shop.\Huh? Why would she go there?\I'd like to know that too.\Anyway, I'll take Neuhaus there, so don't let her out of your eyes.\You don't have to come. Or rather, it's best you don't come.\Huh? What's wrong, Rin? response:	Did something happen? Hey!
context: Really? Where?\In the Exorcist Shop.\Huh? Why would she go there?\I'd like to know that too.\Anyway, I'll take Neuhaus there, so don't let her out of your eyes.\You don't have to come. Or rather, it's best you don't come.\Huh? What's wrong, Rin?\Did something happen? Hey! response:	What a wonderful garden.
context: In the Exorcist Shop.\Huh? Why would she go there?\I'd like to know that too.\Anyway, I'll take Neuhaus there, so don't let her out of your eyes.\You don't have to come. Or rather, it's best you don't come.\Huh? What's wrong, Rin?\Did something happen? Hey!\What a wonderful garden. response:	This beauty doesn't fit a demon.
context: Huh? Why would she go there?\I'd like to know that too.\Anyway, I'll take Neuhaus there, so don't let her out of your eyes.\You don't have to come. Or rather, it's best you don't come.\Huh? What's wrong, Rin?\Did something happen? Hey!\What a wonderful garden.\This beauty doesn't fit a demon. response:	Sir Auguste! We have apprehended the culprit!
