context: What was that? response:	Wouldn't it be in the Alliance's best interests to ally ourselves with that mage Siluca?
context: Sir Lassic, I think it's time.\Change of plans! We counterattack here!\If it's one-on-one, Lassic can't be beaten.\Fall back!\We'll overwhelm them with numbers where there's more room!\Wha...\They're cutting off our retreat?\Give me that! response:	King of Savis! Prepare to die!
context: Change of plans! We counterattack here!\If it's one-on-one, Lassic can't be beaten.\Fall back!\We'll overwhelm them with numbers where there's more room!\Wha...\They're cutting off our retreat?\Give me that!\King of Savis! Prepare to die! response:	Don't give me that, punk!
context: If it's one-on-one, Lassic can't be beaten.\Fall back!\We'll overwhelm them with numbers where there's more room!\Wha...\They're cutting off our retreat?\Give me that!\King of Savis! Prepare to die!\Don't give me that, punk! response:	To think you'd slay the King of Savis!
context: Fall back!\We'll overwhelm them with numbers where there's more room!\Wha...\They're cutting off our retreat?\Give me that!\King of Savis! Prepare to die!\Don't give me that, punk!\To think you'd slay the King of Savis! response:	I'd like to offer the troops I seized to you, Lord Theo.
context: We'll overwhelm them with numbers where there's more room!\Wha...\They're cutting off our retreat?\Give me that!\King of Savis! Prepare to die!\Don't give me that, punk!\To think you'd slay the King of Savis!\I'd like to offer the troops I seized to you, Lord Theo. response:	No. I want you to hold onto them.
context: Wha...\They're cutting off our retreat?\Give me that!\King of Savis! Prepare to die!\Don't give me that, punk!\To think you'd slay the King of Savis!\I'd like to offer the troops I seized to you, Lord Theo.\No. I want you to hold onto them. response:	Why?
context: They're cutting off our retreat?\Give me that!\King of Savis! Prepare to die!\Don't give me that, punk!\To think you'd slay the King of Savis!\I'd like to offer the troops I seized to you, Lord Theo.\No. I want you to hold onto them.\Why? response:	In a sense, your defeat of the King of Savis made this a victory for us.
context: Give me that!\King of Savis! Prepare to die!\Don't give me that, punk!\To think you'd slay the King of Savis!\I'd like to offer the troops I seized to you, Lord Theo.\No. I want you to hold onto them.\Why?\In a sense, your defeat of the King of Savis made this a victory for us. response:	And so the next step of our strategy will be to broker a ceasefire.
context: King of Savis! Prepare to die!\Don't give me that, punk!\To think you'd slay the King of Savis!\I'd like to offer the troops I seized to you, Lord Theo.\No. I want you to hold onto them.\Why?\In a sense, your defeat of the King of Savis made this a victory for us.\And so the next step of our strategy will be to broker a ceasefire. response:	Now, under what kind of conditions would Valdrind agree to withdraw?
context: Don't give me that, punk!\To think you'd slay the King of Savis!\I'd like to offer the troops I seized to you, Lord Theo.\No. I want you to hold onto them.\Why?\In a sense, your defeat of the King of Savis made this a victory for us.\And so the next step of our strategy will be to broker a ceasefire.\Now, under what kind of conditions would Valdrind agree to withdraw? response:	That would be for Lord Theo to retain the minimum court rank, and to leave this region.
context: To think you'd slay the King of Savis!\I'd like to offer the troops I seized to you, Lord Theo.\No. I want you to hold onto them.\Why?\In a sense, your defeat of the King of Savis made this a victory for us.\And so the next step of our strategy will be to broker a ceasefire.\Now, under what kind of conditions would Valdrind agree to withdraw?\That would be for Lord Theo to retain the minimum court rank, and to leave this region. response:	And for all of the Savis Lords to be directly subjugated by Valdrind.
context: I'd like to offer the troops I seized to you, Lord Theo.\No. I want you to hold onto them.\Why?\In a sense, your defeat of the King of Savis made this a victory for us.\And so the next step of our strategy will be to broker a ceasefire.\Now, under what kind of conditions would Valdrind agree to withdraw?\That would be for Lord Theo to retain the minimum court rank, and to leave this region.\And for all of the Savis Lords to be directly subjugated by Valdrind. response:	Sir Lassic, we'd like you to become independent, and assume the leadership of Savis.
context: No. I want you to hold onto them.\Why?\In a sense, your defeat of the King of Savis made this a victory for us.\And so the next step of our strategy will be to broker a ceasefire.\Now, under what kind of conditions would Valdrind agree to withdraw?\That would be for Lord Theo to retain the minimum court rank, and to leave this region.\And for all of the Savis Lords to be directly subjugated by Valdrind.\Sir Lassic, we'd like you to become independent, and assume the leadership of Savis. response:	What are you saying?
context: Why?\In a sense, your defeat of the King of Savis made this a victory for us.\And so the next step of our strategy will be to broker a ceasefire.\Now, under what kind of conditions would Valdrind agree to withdraw?\That would be for Lord Theo to retain the minimum court rank, and to leave this region.\And for all of the Savis Lords to be directly subjugated by Valdrind.\Sir Lassic, we'd like you to become independent, and assume the leadership of Savis.\What are you saying? response:	What will be left for Lord Theo if he throws it all away?
context: In a sense, your defeat of the King of Savis made this a victory for us.\And so the next step of our strategy will be to broker a ceasefire.\Now, under what kind of conditions would Valdrind agree to withdraw?\That would be for Lord Theo to retain the minimum court rank, and to leave this region.\And for all of the Savis Lords to be directly subjugated by Valdrind.\Sir Lassic, we'd like you to become independent, and assume the leadership of Savis.\What are you saying?\What will be left for Lord Theo if he throws it all away? response:	He'll have his reputation!
context: And so the next step of our strategy will be to broker a ceasefire.\Now, under what kind of conditions would Valdrind agree to withdraw?\That would be for Lord Theo to retain the minimum court rank, and to leave this region.\And for all of the Savis Lords to be directly subjugated by Valdrind.\Sir Lassic, we'd like you to become independent, and assume the leadership of Savis.\What are you saying?\What will be left for Lord Theo if he throws it all away?\He'll have his reputation! response:	A young wandering Lord, appearing from nowhere,
context: Now, under what kind of conditions would Valdrind agree to withdraw?\That would be for Lord Theo to retain the minimum court rank, and to leave this region.\And for all of the Savis Lords to be directly subjugated by Valdrind.\Sir Lassic, we'd like you to become independent, and assume the leadership of Savis.\What are you saying?\What will be left for Lord Theo if he throws it all away?\He'll have his reputation!\A young wandering Lord, appearing from nowhere, response:	puts up a valiant fight against the Knights of Valdrind!
context: That would be for Lord Theo to retain the minimum court rank, and to leave this region.\And for all of the Savis Lords to be directly subjugated by Valdrind.\Sir Lassic, we'd like you to become independent, and assume the leadership of Savis.\What are you saying?\What will be left for Lord Theo if he throws it all away?\He'll have his reputation!\A young wandering Lord, appearing from nowhere,\puts up a valiant fight against the Knights of Valdrind! response:	With a luminous reputation like that, he can mount a comeback anytime.
context: And for all of the Savis Lords to be directly subjugated by Valdrind.\Sir Lassic, we'd like you to become independent, and assume the leadership of Savis.\What are you saying?\What will be left for Lord Theo if he throws it all away?\He'll have his reputation!\A young wandering Lord, appearing from nowhere,\puts up a valiant fight against the Knights of Valdrind!\With a luminous reputation like that, he can mount a comeback anytime. response:	And that's not all I'll get to keep.
context: Sir Lassic, we'd like you to become independent, and assume the leadership of Savis.\What are you saying?\What will be left for Lord Theo if he throws it all away?\He'll have his reputation!\A young wandering Lord, appearing from nowhere,\puts up a valiant fight against the Knights of Valdrind!\With a luminous reputation like that, he can mount a comeback anytime.\And that's not all I'll get to keep. response:	What else is there?
context: What are you saying?\What will be left for Lord Theo if he throws it all away?\He'll have his reputation!\A young wandering Lord, appearing from nowhere,\puts up a valiant fight against the Knights of Valdrind!\With a luminous reputation like that, he can mount a comeback anytime.\And that's not all I'll get to keep.\What else is there? response:	I'll still have you.
context: What will be left for Lord Theo if he throws it all away?\He'll have his reputation!\A young wandering Lord, appearing from nowhere,\puts up a valiant fight against the Knights of Valdrind!\With a luminous reputation like that, he can mount a comeback anytime.\And that's not all I'll get to keep.\What else is there?\I'll still have you. response:	The mage who'll make my dreams come true.
context: He'll have his reputation!\A young wandering Lord, appearing from nowhere,\puts up a valiant fight against the Knights of Valdrind!\With a luminous reputation like that, he can mount a comeback anytime.\And that's not all I'll get to keep.\What else is there?\I'll still have you.\The mage who'll make my dreams come true. response:	W-Well, I'm under contract to you, so that's a given!
context: A young wandering Lord, appearing from nowhere,\puts up a valiant fight against the Knights of Valdrind!\With a luminous reputation like that, he can mount a comeback anytime.\And that's not all I'll get to keep.\What else is there?\I'll still have you.\The mage who'll make my dreams come true.\W-Well, I'm under contract to you, so that's a given! response:	Sir Neyman was killed in action, and Aishela is gravely injured.
context: puts up a valiant fight against the Knights of Valdrind!\With a luminous reputation like that, he can mount a comeback anytime.\And that's not all I'll get to keep.\What else is there?\I'll still have you.\The mage who'll make my dreams come true.\W-Well, I'm under contract to you, so that's a given!\Sir Neyman was killed in action, and Aishela is gravely injured. response:	We don't want any more casualties.
context: With a luminous reputation like that, he can mount a comeback anytime.\And that's not all I'll get to keep.\What else is there?\I'll still have you.\The mage who'll make my dreams come true.\W-Well, I'm under contract to you, so that's a given!\Sir Neyman was killed in action, and Aishela is gravely injured.\We don't want any more casualties. response:	With our military gains as leverage,
context: And that's not all I'll get to keep.\What else is there?\I'll still have you.\The mage who'll make my dreams come true.\W-Well, I'm under contract to you, so that's a given!\Sir Neyman was killed in action, and Aishela is gravely injured.\We don't want any more casualties.\With our military gains as leverage, response:	I'll head to Valdrind to propose a ceasefire before the day is out.
context: What else is there?\I'll still have you.\The mage who'll make my dreams come true.\W-Well, I'm under contract to you, so that's a given!\Sir Neyman was killed in action, and Aishela is gravely injured.\We don't want any more casualties.\With our military gains as leverage,\I'll head to Valdrind to propose a ceasefire before the day is out. response:	Our conditions for a ceasefire will be Lord Theo's life.
context: I'll still have you.\The mage who'll make my dreams come true.\W-Well, I'm under contract to you, so that's a given!\Sir Neyman was killed in action, and Aishela is gravely injured.\We don't want any more casualties.\With our military gains as leverage,\I'll head to Valdrind to propose a ceasefire before the day is out.\Our conditions for a ceasefire will be Lord Theo's life. response:	No way...
context: The mage who'll make my dreams come true.\W-Well, I'm under contract to you, so that's a given!\Sir Neyman was killed in action, and Aishela is gravely injured.\We don't want any more casualties.\With our military gains as leverage,\I'll head to Valdrind to propose a ceasefire before the day is out.\Our conditions for a ceasefire will be Lord Theo's life.\No way... response:	As the King of Savis is now dead,
context: W-Well, I'm under contract to you, so that's a given!\Sir Neyman was killed in action, and Aishela is gravely injured.\We don't want any more casualties.\With our military gains as leverage,\I'll head to Valdrind to propose a ceasefire before the day is out.\Our conditions for a ceasefire will be Lord Theo's life.\No way...\As the King of Savis is now dead, response:	all the blame for this battle will be leveled at the Knights of Valdrind.
context: Sir Neyman was killed in action, and Aishela is gravely injured.\We don't want any more casualties.\With our military gains as leverage,\I'll head to Valdrind to propose a ceasefire before the day is out.\Our conditions for a ceasefire will be Lord Theo's life.\No way...\As the King of Savis is now dead,\all the blame for this battle will be leveled at the Knights of Valdrind. response:	Therefore, the Knights have no room for compromise.
context: We don't want any more casualties.\With our military gains as leverage,\I'll head to Valdrind to propose a ceasefire before the day is out.\Our conditions for a ceasefire will be Lord Theo's life.\No way...\As the King of Savis is now dead,\all the blame for this battle will be leveled at the Knights of Valdrind.\Therefore, the Knights have no room for compromise. response:	You fought a splendid battle.
context: With our military gains as leverage,\I'll head to Valdrind to propose a ceasefire before the day is out.\Our conditions for a ceasefire will be Lord Theo's life.\No way...\As the King of Savis is now dead,\all the blame for this battle will be leveled at the Knights of Valdrind.\Therefore, the Knights have no room for compromise.\You fought a splendid battle. response:	However, once again, you've overplayed your hand.
context: I'll head to Valdrind to propose a ceasefire before the day is out.\Our conditions for a ceasefire will be Lord Theo's life.\No way...\As the King of Savis is now dead,\all the blame for this battle will be leveled at the Knights of Valdrind.\Therefore, the Knights have no room for compromise.\You fought a splendid battle.\However, once again, you've overplayed your hand. response:	So the talks broke down, huh?
context: Our conditions for a ceasefire will be Lord Theo's life.\No way...\As the King of Savis is now dead,\all the blame for this battle will be leveled at the Knights of Valdrind.\Therefore, the Knights have no room for compromise.\You fought a splendid battle.\However, once again, you've overplayed your hand.\So the talks broke down, huh? response:	To think that they'd call for Lord Theo's life...
context: No way...\As the King of Savis is now dead,\all the blame for this battle will be leveled at the Knights of Valdrind.\Therefore, the Knights have no room for compromise.\You fought a splendid battle.\However, once again, you've overplayed your hand.\So the talks broke down, huh?\To think that they'd call for Lord Theo's life... response:	I don't understand!
context: As the King of Savis is now dead,\all the blame for this battle will be leveled at the Knights of Valdrind.\Therefore, the Knights have no room for compromise.\You fought a splendid battle.\However, once again, you've overplayed your hand.\So the talks broke down, huh?\To think that they'd call for Lord Theo's life...\I don't understand! response:	Lord Theo fought gallantly, and did everything the right way!
context: all the blame for this battle will be leveled at the Knights of Valdrind.\Therefore, the Knights have no room for compromise.\You fought a splendid battle.\However, once again, you've overplayed your hand.\So the talks broke down, huh?\To think that they'd call for Lord Theo's life...\I don't understand!\Lord Theo fought gallantly, and did everything the right way! response:	But this way, your lives and standings will definitely be safe. So...
context: Therefore, the Knights have no room for compromise.\You fought a splendid battle.\However, once again, you've overplayed your hand.\So the talks broke down, huh?\To think that they'd call for Lord Theo's life...\I don't understand!\Lord Theo fought gallantly, and did everything the right way!\But this way, your lives and standings will definitely be safe. So... response:	With terms like that, we'd never accept them!
context: You fought a splendid battle.\However, once again, you've overplayed your hand.\So the talks broke down, huh?\To think that they'd call for Lord Theo's life...\I don't understand!\Lord Theo fought gallantly, and did everything the right way!\But this way, your lives and standings will definitely be safe. So...\With terms like that, we'd never accept them! response:	- We'd never abandon you, Lord Theo! - We'll fight till the end!
context: However, once again, you've overplayed your hand.\So the talks broke down, huh?\To think that they'd call for Lord Theo's life...\I don't understand!\Lord Theo fought gallantly, and did everything the right way!\But this way, your lives and standings will definitely be safe. So...\With terms like that, we'd never accept them!\- We'd never abandon you, Lord Theo! - We'll fight till the end! response:	Please forgive me for my incompetence.
context: So the talks broke down, huh?\To think that they'd call for Lord Theo's life...\I don't understand!\Lord Theo fought gallantly, and did everything the right way!\But this way, your lives and standings will definitely be safe. So...\With terms like that, we'd never accept them!\- We'd never abandon you, Lord Theo! - We'll fight till the end!\Please forgive me for my incompetence. response:	No. Ever since I met you, I've lived life to the fullest.
context: To think that they'd call for Lord Theo's life...\I don't understand!\Lord Theo fought gallantly, and did everything the right way!\But this way, your lives and standings will definitely be safe. So...\With terms like that, we'd never accept them!\- We'd never abandon you, Lord Theo! - We'll fight till the end!\Please forgive me for my incompetence.\No. Ever since I met you, I've lived life to the fullest. response:	I'm sad to see my dream come to an end,
context: I don't understand!\Lord Theo fought gallantly, and did everything the right way!\But this way, your lives and standings will definitely be safe. So...\With terms like that, we'd never accept them!\- We'd never abandon you, Lord Theo! - We'll fight till the end!\Please forgive me for my incompetence.\No. Ever since I met you, I've lived life to the fullest.\I'm sad to see my dream come to an end, response:	but the satisfaction of pursuing it is greater.
context: Lord Theo fought gallantly, and did everything the right way!\But this way, your lives and standings will definitely be safe. So...\With terms like that, we'd never accept them!\- We'd never abandon you, Lord Theo! - We'll fight till the end!\Please forgive me for my incompetence.\No. Ever since I met you, I've lived life to the fullest.\I'm sad to see my dream come to an end,\but the satisfaction of pursuing it is greater. response:	Thank you.
context: But this way, your lives and standings will definitely be safe. So...\With terms like that, we'd never accept them!\- We'd never abandon you, Lord Theo! - We'll fight till the end!\Please forgive me for my incompetence.\No. Ever since I met you, I've lived life to the fullest.\I'm sad to see my dream come to an end,\but the satisfaction of pursuing it is greater.\Thank you. response:	Lord Theo was prepared to be stripped of all but a Knight's court rank,
context: With terms like that, we'd never accept them!\- We'd never abandon you, Lord Theo! - We'll fight till the end!\Please forgive me for my incompetence.\No. Ever since I met you, I've lived life to the fullest.\I'm sad to see my dream come to an end,\but the satisfaction of pursuing it is greater.\Thank you.\Lord Theo was prepared to be stripped of all but a Knight's court rank, response:	and resume his life as a wanderer.
context: - We'd never abandon you, Lord Theo! - We'll fight till the end!\Please forgive me for my incompetence.\No. Ever since I met you, I've lived life to the fullest.\I'm sad to see my dream come to an end,\but the satisfaction of pursuing it is greater.\Thank you.\Lord Theo was prepared to be stripped of all but a Knight's court rank,\and resume his life as a wanderer. response:	I believe we could've accepted those terms for a ceasefire.
context: Please forgive me for my incompetence.\No. Ever since I met you, I've lived life to the fullest.\I'm sad to see my dream come to an end,\but the satisfaction of pursuing it is greater.\Thank you.\Lord Theo was prepared to be stripped of all but a Knight's court rank,\and resume his life as a wanderer.\I believe we could've accepted those terms for a ceasefire. response:	If we end it here, there may be rumors that the Knights of Valdrind were defeated.
context: No. Ever since I met you, I've lived life to the fullest.\I'm sad to see my dream come to an end,\but the satisfaction of pursuing it is greater.\Thank you.\Lord Theo was prepared to be stripped of all but a Knight's court rank,\and resume his life as a wanderer.\I believe we could've accepted those terms for a ceasefire.\If we end it here, there may be rumors that the Knights of Valdrind were defeated. response:	If so, we would lose face as warriors.
context: I'm sad to see my dream come to an end,\but the satisfaction of pursuing it is greater.\Thank you.\Lord Theo was prepared to be stripped of all but a Knight's court rank,\and resume his life as a wanderer.\I believe we could've accepted those terms for a ceasefire.\If we end it here, there may be rumors that the Knights of Valdrind were defeated.\If so, we would lose face as warriors. response:	If we surround them in full force, we can level that broken-down castle in one fell swoop!
context: but the satisfaction of pursuing it is greater.\Thank you.\Lord Theo was prepared to be stripped of all but a Knight's court rank,\and resume his life as a wanderer.\I believe we could've accepted those terms for a ceasefire.\If we end it here, there may be rumors that the Knights of Valdrind were defeated.\If so, we would lose face as warriors.\If we surround them in full force, we can level that broken-down castle in one fell swoop! response:	Under that plan, we would be unable to protect Lady Marrine.
context: Thank you.\Lord Theo was prepared to be stripped of all but a Knight's court rank,\and resume his life as a wanderer.\I believe we could've accepted those terms for a ceasefire.\If we end it here, there may be rumors that the Knights of Valdrind were defeated.\If so, we would lose face as warriors.\If we surround them in full force, we can level that broken-down castle in one fell swoop!\Under that plan, we would be unable to protect Lady Marrine. response:	The Earl of Artuk's mercenaries turn up when you least expect.
context: Lord Theo was prepared to be stripped of all but a Knight's court rank,\and resume his life as a wanderer.\I believe we could've accepted those terms for a ceasefire.\If we end it here, there may be rumors that the Knights of Valdrind were defeated.\If so, we would lose face as warriors.\If we surround them in full force, we can level that broken-down castle in one fell swoop!\Under that plan, we would be unable to protect Lady Marrine.\The Earl of Artuk's mercenaries turn up when you least expect. response:	They may be lurking near the battlefield as we speak.
context: and resume his life as a wanderer.\I believe we could've accepted those terms for a ceasefire.\If we end it here, there may be rumors that the Knights of Valdrind were defeated.\If so, we would lose face as warriors.\If we surround them in full force, we can level that broken-down castle in one fell swoop!\Under that plan, we would be unable to protect Lady Marrine.\The Earl of Artuk's mercenaries turn up when you least expect.\They may be lurking near the battlefield as we speak. response:	The Earl of Artuk won't make a move.
context: I believe we could've accepted those terms for a ceasefire.\If we end it here, there may be rumors that the Knights of Valdrind were defeated.\If so, we would lose face as warriors.\If we surround them in full force, we can level that broken-down castle in one fell swoop!\Under that plan, we would be unable to protect Lady Marrine.\The Earl of Artuk's mercenaries turn up when you least expect.\They may be lurking near the battlefield as we speak.\The Earl of Artuk won't make a move. response:	He sent that mage Siluca packing, after all.
context: If we end it here, there may be rumors that the Knights of Valdrind were defeated.\If so, we would lose face as warriors.\If we surround them in full force, we can level that broken-down castle in one fell swoop!\Under that plan, we would be unable to protect Lady Marrine.\The Earl of Artuk's mercenaries turn up when you least expect.\They may be lurking near the battlefield as we speak.\The Earl of Artuk won't make a move.\He sent that mage Siluca packing, after all. response:	I see...
context: If so, we would lose face as warriors.\If we surround them in full force, we can level that broken-down castle in one fell swoop!\Under that plan, we would be unable to protect Lady Marrine.\The Earl of Artuk's mercenaries turn up when you least expect.\They may be lurking near the battlefield as we speak.\The Earl of Artuk won't make a move.\He sent that mage Siluca packing, after all.\I see... response:	So you're all convinced Artuk won't make a move.
context: If we surround them in full force, we can level that broken-down castle in one fell swoop!\Under that plan, we would be unable to protect Lady Marrine.\The Earl of Artuk's mercenaries turn up when you least expect.\They may be lurking near the battlefield as we speak.\The Earl of Artuk won't make a move.\He sent that mage Siluca packing, after all.\I see...\So you're all convinced Artuk won't make a move. response:	Wouldn't you say that's precisely the best time to strike?
context: Under that plan, we would be unable to protect Lady Marrine.\The Earl of Artuk's mercenaries turn up when you least expect.\They may be lurking near the battlefield as we speak.\The Earl of Artuk won't make a move.\He sent that mage Siluca packing, after all.\I see...\So you're all convinced Artuk won't make a move.\Wouldn't you say that's precisely the best time to strike? response:	Th-Then we'll leave a hundred men here, and the remaining forces will attack!
context: The Earl of Artuk's mercenaries turn up when you least expect.\They may be lurking near the battlefield as we speak.\The Earl of Artuk won't make a move.\He sent that mage Siluca packing, after all.\I see...\So you're all convinced Artuk won't make a move.\Wouldn't you say that's precisely the best time to strike?\Th-Then we'll leave a hundred men here, and the remaining forces will attack! response:	No, a mere one hundred men won't do.
context: They may be lurking near the battlefield as we speak.\The Earl of Artuk won't make a move.\He sent that mage Siluca packing, after all.\I see...\So you're all convinced Artuk won't make a move.\Wouldn't you say that's precisely the best time to strike?\Th-Then we'll leave a hundred men here, and the remaining forces will attack!\No, a mere one hundred men won't do. response:	Lady Marrine, your approval!
context: The Earl of Artuk won't make a move.\He sent that mage Siluca packing, after all.\I see...\So you're all convinced Artuk won't make a move.\Wouldn't you say that's precisely the best time to strike?\Th-Then we'll leave a hundred men here, and the remaining forces will attack!\No, a mere one hundred men won't do.\Lady Marrine, your approval! response:	May I ask one thing?
context: He sent that mage Siluca packing, after all.\I see...\So you're all convinced Artuk won't make a move.\Wouldn't you say that's precisely the best time to strike?\Th-Then we'll leave a hundred men here, and the remaining forces will attack!\No, a mere one hundred men won't do.\Lady Marrine, your approval!\May I ask one thing? response:	What is it that you fight for?
context: I see...\So you're all convinced Artuk won't make a move.\Wouldn't you say that's precisely the best time to strike?\Th-Then we'll leave a hundred men here, and the remaining forces will attack!\No, a mere one hundred men won't do.\Lady Marrine, your approval!\May I ask one thing?\What is it that you fight for? response:	For the Kreische family's crest, of course.
context: So you're all convinced Artuk won't make a move.\Wouldn't you say that's precisely the best time to strike?\Th-Then we'll leave a hundred men here, and the remaining forces will attack!\No, a mere one hundred men won't do.\Lady Marrine, your approval!\May I ask one thing?\What is it that you fight for?\For the Kreische family's crest, of course. response:	Very well, then.
context: Wouldn't you say that's precisely the best time to strike?\Th-Then we'll leave a hundred men here, and the remaining forces will attack!\No, a mere one hundred men won't do.\Lady Marrine, your approval!\May I ask one thing?\What is it that you fight for?\For the Kreische family's crest, of course.\Very well, then. response:	You say it would cause you to lose face.
context: Th-Then we'll leave a hundred men here, and the remaining forces will attack!\No, a mere one hundred men won't do.\Lady Marrine, your approval!\May I ask one thing?\What is it that you fight for?\For the Kreische family's crest, of course.\Very well, then.\You say it would cause you to lose face. response:	And if that is your reason,
context: No, a mere one hundred men won't do.\Lady Marrine, your approval!\May I ask one thing?\What is it that you fight for?\For the Kreische family's crest, of course.\Very well, then.\You say it would cause you to lose face.\And if that is your reason, response:	I would've thought the Kreische family crest meant nothing to you.
context: Lady Marrine, your approval!\May I ask one thing?\What is it that you fight for?\For the Kreische family's crest, of course.\Very well, then.\You say it would cause you to lose face.\And if that is your reason,\I would've thought the Kreische family crest meant nothing to you. response:	You Lords may fight as you see fit.
context: May I ask one thing?\What is it that you fight for?\For the Kreische family's crest, of course.\Very well, then.\You say it would cause you to lose face.\And if that is your reason,\I would've thought the Kreische family crest meant nothing to you.\You Lords may fight as you see fit. response:	As you wish!
context: What is it that you fight for?\For the Kreische family's crest, of course.\Very well, then.\You say it would cause you to lose face.\And if that is your reason,\I would've thought the Kreische family crest meant nothing to you.\You Lords may fight as you see fit.\As you wish! response:	We swear on the Hammer of the Kreische clan!
context: For the Kreische family's crest, of course.\Very well, then.\You say it would cause you to lose face.\And if that is your reason,\I would've thought the Kreische family crest meant nothing to you.\You Lords may fight as you see fit.\As you wish!\We swear on the Hammer of the Kreische clan! response:	They sure didn't leave many men at their stronghold.
context: Very well, then.\You say it would cause you to lose face.\And if that is your reason,\I would've thought the Kreische family crest meant nothing to you.\You Lords may fight as you see fit.\As you wish!\We swear on the Hammer of the Kreische clan!\They sure didn't leave many men at their stronghold. response:	They must be sure that the Earl of Artuk won't come to our aid.
context: You say it would cause you to lose face.\And if that is your reason,\I would've thought the Kreische family crest meant nothing to you.\You Lords may fight as you see fit.\As you wish!\We swear on the Hammer of the Kreische clan!\They sure didn't leave many men at their stronghold.\They must be sure that the Earl of Artuk won't come to our aid. response:	Do you really think the earl won't show up?
context: And if that is your reason,\I would've thought the Kreische family crest meant nothing to you.\You Lords may fight as you see fit.\As you wish!\We swear on the Hammer of the Kreische clan!\They sure didn't leave many men at their stronghold.\They must be sure that the Earl of Artuk won't come to our aid.\Do you really think the earl won't show up? response:	Yes. I was told he wouldn't.
context: I would've thought the Kreische family crest meant nothing to you.\You Lords may fight as you see fit.\As you wish!\We swear on the Hammer of the Kreische clan!\They sure didn't leave many men at their stronghold.\They must be sure that the Earl of Artuk won't come to our aid.\Do you really think the earl won't show up?\Yes. I was told he wouldn't. response:	That the earl had no intention of meeting with me now...
context: You Lords may fight as you see fit.\As you wish!\We swear on the Hammer of the Kreische clan!\They sure didn't leave many men at their stronghold.\They must be sure that the Earl of Artuk won't come to our aid.\Do you really think the earl won't show up?\Yes. I was told he wouldn't.\That the earl had no intention of meeting with me now... response:	Not now?
context: As you wish!\We swear on the Hammer of the Kreische clan!\They sure didn't leave many men at their stronghold.\They must be sure that the Earl of Artuk won't come to our aid.\Do you really think the earl won't show up?\Yes. I was told he wouldn't.\That the earl had no intention of meeting with me now...\Not now? response:	If the Earl of Artuk has been waiting for this exact moment...
context: We swear on the Hammer of the Kreische clan!\They sure didn't leave many men at their stronghold.\They must be sure that the Earl of Artuk won't come to our aid.\Do you really think the earl won't show up?\Yes. I was told he wouldn't.\That the earl had no intention of meeting with me now...\Not now?\If the Earl of Artuk has been waiting for this exact moment... response:	Is that the Earl of Artuk's forces?
context: They sure didn't leave many men at their stronghold.\They must be sure that the Earl of Artuk won't come to our aid.\Do you really think the earl won't show up?\Yes. I was told he wouldn't.\That the earl had no intention of meeting with me now...\Not now?\If the Earl of Artuk has been waiting for this exact moment...\Is that the Earl of Artuk's forces? response:	Absurd! No way reinforcements are coming!
context: They must be sure that the Earl of Artuk won't come to our aid.\Do you really think the earl won't show up?\Yes. I was told he wouldn't.\That the earl had no intention of meeting with me now...\Not now?\If the Earl of Artuk has been waiting for this exact moment...\Is that the Earl of Artuk's forces?\Absurd! No way reinforcements are coming! response:	There she is! Marrine Kreische is here!
context: Do you really think the earl won't show up?\Yes. I was told he wouldn't.\That the earl had no intention of meeting with me now...\Not now?\If the Earl of Artuk has been waiting for this exact moment...\Is that the Earl of Artuk's forces?\Absurd! No way reinforcements are coming!\There she is! Marrine Kreische is here! response:	Villar...
context: Yes. I was told he wouldn't.\That the earl had no intention of meeting with me now...\Not now?\If the Earl of Artuk has been waiting for this exact moment...\Is that the Earl of Artuk's forces?\Absurd! No way reinforcements are coming!\There she is! Marrine Kreische is here!\Villar... response:	Hey, there...
context: That the earl had no intention of meeting with me now...\Not now?\If the Earl of Artuk has been waiting for this exact moment...\Is that the Earl of Artuk's forces?\Absurd! No way reinforcements are coming!\There she is! Marrine Kreische is here!\Villar...\Hey, there... response:	My dear cousin.
context: Not now?\If the Earl of Artuk has been waiting for this exact moment...\Is that the Earl of Artuk's forces?\Absurd! No way reinforcements are coming!\There she is! Marrine Kreische is here!\Villar...\Hey, there...\My dear cousin. response:	Head back to the stronghold to aid Lady Marrine!
context: If the Earl of Artuk has been waiting for this exact moment...\Is that the Earl of Artuk's forces?\Absurd! No way reinforcements are coming!\There she is! Marrine Kreische is here!\Villar...\Hey, there...\My dear cousin.\Head back to the stronghold to aid Lady Marrine! response:	Fall back! Fall back!
context: Is that the Earl of Artuk's forces?\Absurd! No way reinforcements are coming!\There she is! Marrine Kreische is here!\Villar...\Hey, there...\My dear cousin.\Head back to the stronghold to aid Lady Marrine!\Fall back! Fall back! response:	Sir Theo!
context: Absurd! No way reinforcements are coming!\There she is! Marrine Kreische is here!\Villar...\Hey, there...\My dear cousin.\Head back to the stronghold to aid Lady Marrine!\Fall back! Fall back!\Sir Theo! response:	Whoa!
context: There she is! Marrine Kreische is here!\Villar...\Hey, there...\My dear cousin.\Head back to the stronghold to aid Lady Marrine!\Fall back! Fall back!\Sir Theo!\Whoa! response:	Aishela!
context: Villar...\Hey, there...\My dear cousin.\Head back to the stronghold to aid Lady Marrine!\Fall back! Fall back!\Sir Theo!\Whoa!\Aishela! response:	Thank goodness!
