context: Edolas, the homeland of Carla and myself! response:	I'm glad we made it there to search for our missing friends,
context: With you running around all over the place, I can't concentrate!\Come on out, Natsu!\I'll try out my new technique on ya!\Keep it down, Lucy! You suck!\What the hell did you say?\I said I was in the middle of maintenance!\You damn amazon woman!\Then hurry the hell up with it! response:	You skinny mechanic!
context: Come on out, Natsu!\I'll try out my new technique on ya!\Keep it down, Lucy! You suck!\What the hell did you say?\I said I was in the middle of maintenance!\You damn amazon woman!\Then hurry the hell up with it!\You skinny mechanic! response:	Now, now... Calm down, you two.
context: I'll try out my new technique on ya!\Keep it down, Lucy! You suck!\What the hell did you say?\I said I was in the middle of maintenance!\You damn amazon woman!\Then hurry the hell up with it!\You skinny mechanic!\Now, now... Calm down, you two. response:	We're really counting on you, Levy-san.
context: Keep it down, Lucy! You suck!\What the hell did you say?\I said I was in the middle of maintenance!\You damn amazon woman!\Then hurry the hell up with it!\You skinny mechanic!\Now, now... Calm down, you two.\We're really counting on you, Levy-san. response:	Without your engineering, this guild would be...
context: What the hell did you say?\I said I was in the middle of maintenance!\You damn amazon woman!\Then hurry the hell up with it!\You skinny mechanic!\Now, now... Calm down, you two.\We're really counting on you, Levy-san.\Without your engineering, this guild would be... response:	We're counting on you to make it quick.
context: I said I was in the middle of maintenance!\You damn amazon woman!\Then hurry the hell up with it!\You skinny mechanic!\Now, now... Calm down, you two.\We're really counting on you, Levy-san.\Without your engineering, this guild would be...\We're counting on you to make it quick. response:	As long as you understand.
context: You damn amazon woman!\Then hurry the hell up with it!\You skinny mechanic!\Now, now... Calm down, you two.\We're really counting on you, Levy-san.\Without your engineering, this guild would be...\We're counting on you to make it quick.\As long as you understand. response:	Oh, yeah... It doesn't look like Erza-san is here...
context: Then hurry the hell up with it!\You skinny mechanic!\Now, now... Calm down, you two.\We're really counting on you, Levy-san.\Without your engineering, this guild would be...\We're counting on you to make it quick.\As long as you understand.\Oh, yeah... It doesn't look like Erza-san is here... response:	You gotta be kiddin' me...
context: You skinny mechanic!\Now, now... Calm down, you two.\We're really counting on you, Levy-san.\Without your engineering, this guild would be...\We're counting on you to make it quick.\As long as you understand.\Oh, yeah... It doesn't look like Erza-san is here...\You gotta be kiddin' me... response:	Hey, so what do you think Erza's like over here?
context: Now, now... Calm down, you two.\We're really counting on you, Levy-san.\Without your engineering, this guild would be...\We're counting on you to make it quick.\As long as you understand.\Oh, yeah... It doesn't look like Erza-san is here...\You gotta be kiddin' me...\Hey, so what do you think Erza's like over here? response:	Well, you know, probably backwards.
context: We're really counting on you, Levy-san.\Without your engineering, this guild would be...\We're counting on you to make it quick.\As long as you understand.\Oh, yeah... It doesn't look like Erza-san is here...\You gotta be kiddin' me...\Hey, so what do you think Erza's like over here?\Well, you know, probably backwards. response:	Natsu-san...
context: Without your engineering, this guild would be...\We're counting on you to make it quick.\As long as you understand.\Oh, yeah... It doesn't look like Erza-san is here...\You gotta be kiddin' me...\Hey, so what do you think Erza's like over here?\Well, you know, probably backwards.\Natsu-san... response:	What's the opposite of Erza, anyway?
context: We're counting on you to make it quick.\As long as you understand.\Oh, yeah... It doesn't look like Erza-san is here...\You gotta be kiddin' me...\Hey, so what do you think Erza's like over here?\Well, you know, probably backwards.\Natsu-san...\What's the opposite of Erza, anyway? response:	Hmm, good question...
context: As long as you understand.\Oh, yeah... It doesn't look like Erza-san is here...\You gotta be kiddin' me...\Hey, so what do you think Erza's like over here?\Well, you know, probably backwards.\Natsu-san...\What's the opposite of Erza, anyway?\Hmm, good question... response:	You fool!
context: Oh, yeah... It doesn't look like Erza-san is here...\You gotta be kiddin' me...\Hey, so what do you think Erza's like over here?\Well, you know, probably backwards.\Natsu-san...\What's the opposite of Erza, anyway?\Hmm, good question...\You fool! response:	How many times do I have to tell you?
context: You gotta be kiddin' me...\Hey, so what do you think Erza's like over here?\Well, you know, probably backwards.\Natsu-san...\What's the opposite of Erza, anyway?\Hmm, good question...\You fool!\How many times do I have to tell you? response:	I'm sorry! I'm sorry!
context: Hey, so what do you think Erza's like over here?\Well, you know, probably backwards.\Natsu-san...\What's the opposite of Erza, anyway?\Hmm, good question...\You fool!\How many times do I have to tell you?\I'm sorry! I'm sorry! response:	I'll never hold you back again, I promise, Natsu-san!
context: Well, you know, probably backwards.\Natsu-san...\What's the opposite of Erza, anyway?\Hmm, good question...\You fool!\How many times do I have to tell you?\I'm sorry! I'm sorry!\I'll never hold you back again, I promise, Natsu-san! response:	Fine, as long as you understand!
context: Natsu-san...\What's the opposite of Erza, anyway?\Hmm, good question...\You fool!\How many times do I have to tell you?\I'm sorry! I'm sorry!\I'll never hold you back again, I promise, Natsu-san!\Fine, as long as you understand! response:	I'm so honored to have your leadership!
context: What's the opposite of Erza, anyway?\Hmm, good question...\You fool!\How many times do I have to tell you?\I'm sorry! I'm sorry!\I'll never hold you back again, I promise, Natsu-san!\Fine, as long as you understand!\I'm so honored to have your leadership! response:	Like that?
context: Hmm, good question...\You fool!\How many times do I have to tell you?\I'm sorry! I'm sorry!\I'll never hold you back again, I promise, Natsu-san!\Fine, as long as you understand!\I'm so honored to have your leadership!\Like that? response:	Isn't that just your secret desire, Natsu?
context: You fool!\How many times do I have to tell you?\I'm sorry! I'm sorry!\I'll never hold you back again, I promise, Natsu-san!\Fine, as long as you understand!\I'm so honored to have your leadership!\Like that?\Isn't that just your secret desire, Natsu? response:	Oh yeah?
context: How many times do I have to tell you?\I'm sorry! I'm sorry!\I'll never hold you back again, I promise, Natsu-san!\Fine, as long as you understand!\I'm so honored to have your leadership!\Like that?\Isn't that just your secret desire, Natsu?\Oh yeah? response:	Then what do you think, Happy?
context: I'm sorry! I'm sorry!\I'll never hold you back again, I promise, Natsu-san!\Fine, as long as you understand!\I'm so honored to have your leadership!\Like that?\Isn't that just your secret desire, Natsu?\Oh yeah?\Then what do you think, Happy? response:	I think she'd be like this, definitely!
context: I'll never hold you back again, I promise, Natsu-san!\Fine, as long as you understand!\I'm so honored to have your leadership!\Like that?\Isn't that just your secret desire, Natsu?\Oh yeah?\Then what do you think, Happy?\I think she'd be like this, definitely! response:	Master Happy, leave this situation to me!
context: Fine, as long as you understand!\I'm so honored to have your leadership!\Like that?\Isn't that just your secret desire, Natsu?\Oh yeah?\Then what do you think, Happy?\I think she'd be like this, definitely!\Master Happy, leave this situation to me! response:	Sure, break a leg!
context: I'm so honored to have your leadership!\Like that?\Isn't that just your secret desire, Natsu?\Oh yeah?\Then what do you think, Happy?\I think she'd be like this, definitely!\Master Happy, leave this situation to me!\Sure, break a leg! response:	Master Happy, I will protect you, no matter what!
context: Like that?\Isn't that just your secret desire, Natsu?\Oh yeah?\Then what do you think, Happy?\I think she'd be like this, definitely!\Master Happy, leave this situation to me!\Sure, break a leg!\Master Happy, I will protect you, no matter what! response:	Sure, that's a real load off.
context: Isn't that just your secret desire, Natsu?\Oh yeah?\Then what do you think, Happy?\I think she'd be like this, definitely!\Master Happy, leave this situation to me!\Sure, break a leg!\Master Happy, I will protect you, no matter what!\Sure, that's a real load off. response:	Go forth, my servant Erza...
context: Oh yeah?\Then what do you think, Happy?\I think she'd be like this, definitely!\Master Happy, leave this situation to me!\Sure, break a leg!\Master Happy, I will protect you, no matter what!\Sure, that's a real load off.\Go forth, my servant Erza... response:	At your command!
context: Then what do you think, Happy?\I think she'd be like this, definitely!\Master Happy, leave this situation to me!\Sure, break a leg!\Master Happy, I will protect you, no matter what!\Sure, that's a real load off.\Go forth, my servant Erza...\At your command! response:	Like that?
context: I think she'd be like this, definitely!\Master Happy, leave this situation to me!\Sure, break a leg!\Master Happy, I will protect you, no matter what!\Sure, that's a real load off.\Go forth, my servant Erza...\At your command!\Like that? response:	No, I think your desire is even worse...
context: Master Happy, leave this situation to me!\Sure, break a leg!\Master Happy, I will protect you, no matter what!\Sure, that's a real load off.\Go forth, my servant Erza...\At your command!\Like that?\No, I think your desire is even worse... response:	I think she'll be like this!
context: Sure, break a leg!\Master Happy, I will protect you, no matter what!\Sure, that's a real load off.\Go forth, my servant Erza...\At your command!\Like that?\No, I think your desire is even worse...\I think she'll be like this! response:	I improved my cooking skills for you, Wendy!
context: Master Happy, I will protect you, no matter what!\Sure, that's a real load off.\Go forth, my servant Erza...\At your command!\Like that?\No, I think your desire is even worse...\I think she'll be like this!\I improved my cooking skills for you, Wendy! response:	Now, eat your fill!
context: Sure, that's a real load off.\Go forth, my servant Erza...\At your command!\Like that?\No, I think your desire is even worse...\I think she'll be like this!\I improved my cooking skills for you, Wendy!\Now, eat your fill! response:	Thank you very much! Thanks for the food!
context: Go forth, my servant Erza...\At your command!\Like that?\No, I think your desire is even worse...\I think she'll be like this!\I improved my cooking skills for you, Wendy!\Now, eat your fill!\Thank you very much! Thanks for the food! response:	If you eat too much, you'll get cavities...
context: At your command!\Like that?\No, I think your desire is even worse...\I think she'll be like this!\I improved my cooking skills for you, Wendy!\Now, eat your fill!\Thank you very much! Thanks for the food!\If you eat too much, you'll get cavities... response:	Like that!
context: Like that?\No, I think your desire is even worse...\I think she'll be like this!\I improved my cooking skills for you, Wendy!\Now, eat your fill!\Thank you very much! Thanks for the food!\If you eat too much, you'll get cavities...\Like that! response:	That's where she went?!
context: No, I think your desire is even worse...\I think she'll be like this!\I improved my cooking skills for you, Wendy!\Now, eat your fill!\Thank you very much! Thanks for the food!\If you eat too much, you'll get cavities...\Like that!\That's where she went?! response:	Will you people stop fantasizing about such trifling trifles?!
context: I think she'll be like this!\I improved my cooking skills for you, Wendy!\Now, eat your fill!\Thank you very much! Thanks for the food!\If you eat too much, you'll get cavities...\Like that!\That's where she went?!\Will you people stop fantasizing about such trifling trifles?! response:	But...
context: I improved my cooking skills for you, Wendy!\Now, eat your fill!\Thank you very much! Thanks for the food!\If you eat too much, you'll get cavities...\Like that!\That's where she went?!\Will you people stop fantasizing about such trifling trifles?!\But... response:	An opposite Erza-san...
context: Now, eat your fill!\Thank you very much! Thanks for the food!\If you eat too much, you'll get cavities...\Like that!\That's where she went?!\Will you people stop fantasizing about such trifling trifles?!\But...\An opposite Erza-san... response:	What would she really be like?
context: Thank you very much! Thanks for the food!\If you eat too much, you'll get cavities...\Like that!\That's where she went?!\Will you people stop fantasizing about such trifling trifles?!\But...\An opposite Erza-san...\What would she really be like? response:	I found you, Natsu!
context: If you eat too much, you'll get cavities...\Like that!\That's where she went?!\Will you people stop fantasizing about such trifling trifles?!\But...\An opposite Erza-san...\What would she really be like?\I found you, Natsu! response:	Hey, you...
context: Like that!\That's where she went?!\Will you people stop fantasizing about such trifling trifles?!\But...\An opposite Erza-san...\What would she really be like?\I found you, Natsu!\Hey, you... response:	Okay! Time to try out my new technique!
context: That's where she went?!\Will you people stop fantasizing about such trifling trifles?!\But...\An opposite Erza-san...\What would she really be like?\I found you, Natsu!\Hey, you...\Okay! Time to try out my new technique! response:	I said, stop it!
context: Will you people stop fantasizing about such trifling trifles?!\But...\An opposite Erza-san...\What would she really be like?\I found you, Natsu!\Hey, you...\Okay! Time to try out my new technique!\I said, stop it! response:	If you don't cut it out, even if you are Lucy, I'm not gonna...
context: But...\An opposite Erza-san...\What would she really be like?\I found you, Natsu!\Hey, you...\Okay! Time to try out my new technique!\I said, stop it!\If you don't cut it out, even if you are Lucy, I'm not gonna... response:	You wanna go?
context: An opposite Erza-san...\What would she really be like?\I found you, Natsu!\Hey, you...\Okay! Time to try out my new technique!\I said, stop it!\If you don't cut it out, even if you are Lucy, I'm not gonna...\You wanna go? response:	Be my guest.
context: What would she really be like?\I found you, Natsu!\Hey, you...\Okay! Time to try out my new technique!\I said, stop it!\If you don't cut it out, even if you are Lucy, I'm not gonna...\You wanna go?\Be my guest. response:	S-She's strong!
context: I found you, Natsu!\Hey, you...\Okay! Time to try out my new technique!\I said, stop it!\If you don't cut it out, even if you are Lucy, I'm not gonna...\You wanna go?\Be my guest.\S-She's strong! response:	Natsu, are you okay?
context: Hey, you...\Okay! Time to try out my new technique!\I said, stop it!\If you don't cut it out, even if you are Lucy, I'm not gonna...\You wanna go?\Be my guest.\S-She's strong!\Natsu, are you okay? response:	I'm... not okay.
context: Okay! Time to try out my new technique!\I said, stop it!\If you don't cut it out, even if you are Lucy, I'm not gonna...\You wanna go?\Be my guest.\S-She's strong!\Natsu, are you okay?\I'm... not okay. response:	You don't got the guts, chump.
context: I said, stop it!\If you don't cut it out, even if you are Lucy, I'm not gonna...\You wanna go?\Be my guest.\S-She's strong!\Natsu, are you okay?\I'm... not okay.\You don't got the guts, chump. response:	Natsu-san actually talked back to Lucy-san!
context: If you don't cut it out, even if you are Lucy, I'm not gonna...\You wanna go?\Be my guest.\S-She's strong!\Natsu, are you okay?\I'm... not okay.\You don't got the guts, chump.\Natsu-san actually talked back to Lucy-san! response:	That's quite a rare occurrence.
context: You wanna go?\Be my guest.\S-She's strong!\Natsu, are you okay?\I'm... not okay.\You don't got the guts, chump.\Natsu-san actually talked back to Lucy-san!\That's quite a rare occurrence. response:	But man, what an idiot.
context: Be my guest.\S-She's strong!\Natsu, are you okay?\I'm... not okay.\You don't got the guts, chump.\Natsu-san actually talked back to Lucy-san!\That's quite a rare occurrence.\But man, what an idiot. response:	Now, spit it out! What the hell were you doing, and where?
context: S-She's strong!\Natsu, are you okay?\I'm... not okay.\You don't got the guts, chump.\Natsu-san actually talked back to Lucy-san!\That's quite a rare occurrence.\But man, what an idiot.\Now, spit it out! What the hell were you doing, and where? response:	You see... I...
context: Natsu, are you okay?\I'm... not okay.\You don't got the guts, chump.\Natsu-san actually talked back to Lucy-san!\That's quite a rare occurrence.\But man, what an idiot.\Now, spit it out! What the hell were you doing, and where?\You see... I... response:	Happy, some help here?
context: I'm... not okay.\You don't got the guts, chump.\Natsu-san actually talked back to Lucy-san!\That's quite a rare occurrence.\But man, what an idiot.\Now, spit it out! What the hell were you doing, and where?\You see... I...\Happy, some help here? response:	This helmet has been very stuffy and I have no strength left.
context: You don't got the guts, chump.\Natsu-san actually talked back to Lucy-san!\That's quite a rare occurrence.\But man, what an idiot.\Now, spit it out! What the hell were you doing, and where?\You see... I...\Happy, some help here?\This helmet has been very stuffy and I have no strength left. response:	You cold-hearted...
context: Natsu-san actually talked back to Lucy-san!\That's quite a rare occurrence.\But man, what an idiot.\Now, spit it out! What the hell were you doing, and where?\You see... I...\Happy, some help here?\This helmet has been very stuffy and I have no strength left.\You cold-hearted... response:	Lucy... Bullying Natsu again?
context: That's quite a rare occurrence.\But man, what an idiot.\Now, spit it out! What the hell were you doing, and where?\You see... I...\Happy, some help here?\This helmet has been very stuffy and I have no strength left.\You cold-hearted...\Lucy... Bullying Natsu again? response:	Stop it, already.
context: But man, what an idiot.\Now, spit it out! What the hell were you doing, and where?\You see... I...\Happy, some help here?\This helmet has been very stuffy and I have no strength left.\You cold-hearted...\Lucy... Bullying Natsu again?\Stop it, already. response:	We're done here.
context: Now, spit it out! What the hell were you doing, and where?\You see... I...\Happy, some help here?\This helmet has been very stuffy and I have no strength left.\You cold-hearted...\Lucy... Bullying Natsu again?\Stop it, already.\We're done here. response:	No way...
context: You see... I...\Happy, some help here?\This helmet has been very stuffy and I have no strength left.\You cold-hearted...\Lucy... Bullying Natsu again?\Stop it, already.\We're done here.\No way... response:	You've come back!
context: Happy, some help here?\This helmet has been very stuffy and I have no strength left.\You cold-hearted...\Lucy... Bullying Natsu again?\Stop it, already.\We're done here.\No way...\You've come back! response:	I'm back, Mira-nee, Elf-niichan.
context: This helmet has been very stuffy and I have no strength left.\You cold-hearted...\Lucy... Bullying Natsu again?\Stop it, already.\We're done here.\No way...\You've come back!\I'm back, Mira-nee, Elf-niichan. response:	L-Lisanna...
context: You cold-hearted...\Lucy... Bullying Natsu again?\Stop it, already.\We're done here.\No way...\You've come back!\I'm back, Mira-nee, Elf-niichan.\L-Lisanna... response:	No way...
context: Lucy... Bullying Natsu again?\Stop it, already.\We're done here.\No way...\You've come back!\I'm back, Mira-nee, Elf-niichan.\L-Lisanna...\No way... response:	Lisanna...
context: Stop it, already.\We're done here.\No way...\You've come back!\I'm back, Mira-nee, Elf-niichan.\L-Lisanna...\No way...\Lisanna... response:	Jet, Droy... Don't bully Elf-niichan either!
context: We're done here.\No way...\You've come back!\I'm back, Mira-nee, Elf-niichan.\L-Lisanna...\No way...\Lisanna...\Jet, Droy... Don't bully Elf-niichan either! response:	But...
context: No way...\You've come back!\I'm back, Mira-nee, Elf-niichan.\L-Lisanna...\No way...\Lisanna...\Jet, Droy... Don't bully Elf-niichan either!\But... response:	You'll catch a cold.
context: You've come back!\I'm back, Mira-nee, Elf-niichan.\L-Lisanna...\No way...\Lisanna...\Jet, Droy... Don't bully Elf-niichan either!\But...\You'll catch a cold. response:	Um... Weren't you...
context: I'm back, Mira-nee, Elf-niichan.\L-Lisanna...\No way...\Lisanna...\Jet, Droy... Don't bully Elf-niichan either!\But...\You'll catch a cold.\Um... Weren't you... response:	I'm Lisanna!
context: L-Lisanna...\No way...\Lisanna...\Jet, Droy... Don't bully Elf-niichan either!\But...\You'll catch a cold.\Um... Weren't you...\I'm Lisanna! response:	Oh, I see... You're Mira's little sister?
context: No way...\Lisanna...\Jet, Droy... Don't bully Elf-niichan either!\But...\You'll catch a cold.\Um... Weren't you...\I'm Lisanna!\Oh, I see... You're Mira's little sister? response:	Don't be out here... Come on inside.
context: Lisanna...\Jet, Droy... Don't bully Elf-niichan either!\But...\You'll catch a cold.\Um... Weren't you...\I'm Lisanna!\Oh, I see... You're Mira's little sister?\Don't be out here... Come on inside. response:	Your name is Natsu, right?
context: Jet, Droy... Don't bully Elf-niichan either!\But...\You'll catch a cold.\Um... Weren't you...\I'm Lisanna!\Oh, I see... You're Mira's little sister?\Don't be out here... Come on inside.\Your name is Natsu, right? response:	I heard that you were raised by a dragon!
context: But...\You'll catch a cold.\Um... Weren't you...\I'm Lisanna!\Oh, I see... You're Mira's little sister?\Don't be out here... Come on inside.\Your name is Natsu, right?\I heard that you were raised by a dragon! response:	That's amazing!
context: You'll catch a cold.\Um... Weren't you...\I'm Lisanna!\Oh, I see... You're Mira's little sister?\Don't be out here... Come on inside.\Your name is Natsu, right?\I heard that you were raised by a dragon!\That's amazing! response:	Huh? Uh, yeah...
context: Um... Weren't you...\I'm Lisanna!\Oh, I see... You're Mira's little sister?\Don't be out here... Come on inside.\Your name is Natsu, right?\I heard that you were raised by a dragon!\That's amazing!\Huh? Uh, yeah... response:	I sure wish I could see a dragon...
context: I'm Lisanna!\Oh, I see... You're Mira's little sister?\Don't be out here... Come on inside.\Your name is Natsu, right?\I heard that you were raised by a dragon!\That's amazing!\Huh? Uh, yeah...\I sure wish I could see a dragon... response:	Yeah, you know?
context: Oh, I see... You're Mira's little sister?\Don't be out here... Come on inside.\Your name is Natsu, right?\I heard that you were raised by a dragon!\That's amazing!\Huh? Uh, yeah...\I sure wish I could see a dragon...\Yeah, you know? response:	Igneel is really awesome!
context: Don't be out here... Come on inside.\Your name is Natsu, right?\I heard that you were raised by a dragon!\That's amazing!\Huh? Uh, yeah...\I sure wish I could see a dragon...\Yeah, you know?\Igneel is really awesome! response:	He's so big and strong!
context: Your name is Natsu, right?\I heard that you were raised by a dragon!\That's amazing!\Huh? Uh, yeah...\I sure wish I could see a dragon...\Yeah, you know?\Igneel is really awesome!\He's so big and strong! response:	Have you ever heard of Dragon Slayer magic?
context: I heard that you were raised by a dragon!\That's amazing!\Huh? Uh, yeah...\I sure wish I could see a dragon...\Yeah, you know?\Igneel is really awesome!\He's so big and strong!\Have you ever heard of Dragon Slayer magic? response:	Come on, let's go back inside and talk.
context: That's amazing!\Huh? Uh, yeah...\I sure wish I could see a dragon...\Yeah, you know?\Igneel is really awesome!\He's so big and strong!\Have you ever heard of Dragon Slayer magic?\Come on, let's go back inside and talk. response:	Uh, sure!
context: Huh? Uh, yeah...\I sure wish I could see a dragon...\Yeah, you know?\Igneel is really awesome!\He's so big and strong!\Have you ever heard of Dragon Slayer magic?\Come on, let's go back inside and talk.\Uh, sure! response:	When we grow up...
context: I sure wish I could see a dragon...\Yeah, you know?\Igneel is really awesome!\He's so big and strong!\Have you ever heard of Dragon Slayer magic?\Come on, let's go back inside and talk.\Uh, sure!\When we grow up... response:	How pretty...
context: Yeah, you know?\Igneel is really awesome!\He's so big and strong!\Have you ever heard of Dragon Slayer magic?\Come on, let's go back inside and talk.\Uh, sure!\When we grow up...\How pretty... response:	I wish this instant would last forever...
context: Igneel is really awesome!\He's so big and strong!\Have you ever heard of Dragon Slayer magic?\Come on, let's go back inside and talk.\Uh, sure!\When we grow up...\How pretty...\I wish this instant would last forever... response:	Huh? Oh, right...
context: He's so big and strong!\Have you ever heard of Dragon Slayer magic?\Come on, let's go back inside and talk.\Uh, sure!\When we grow up...\How pretty...\I wish this instant would last forever...\Huh? Oh, right... response:	Wel-come Ho-me!
context: Have you ever heard of Dragon Slayer magic?\Come on, let's go back inside and talk.\Uh, sure!\When we grow up...\How pretty...\I wish this instant would last forever...\Huh? Oh, right...\Wel-come Ho-me! response:	I-I'm home?
context: Come on, let's go back inside and talk.\Uh, sure!\When we grow up...\How pretty...\I wish this instant would last forever...\Huh? Oh, right...\Wel-come Ho-me!\I-I'm home? response:	What are you doing, Lisanna?
context: Uh, sure!\When we grow up...\How pretty...\I wish this instant would last forever...\Huh? Oh, right...\Wel-come Ho-me!\I-I'm home?\What are you doing, Lisanna? response:	It's a grave for Elf-niichan's parakeet...
context: When we grow up...\How pretty...\I wish this instant would last forever...\Huh? Oh, right...\Wel-come Ho-me!\I-I'm home?\What are you doing, Lisanna?\It's a grave for Elf-niichan's parakeet... response:	He made that himself?
context: How pretty...\I wish this instant would last forever...\Huh? Oh, right...\Wel-come Ho-me!\I-I'm home?\What are you doing, Lisanna?\It's a grave for Elf-niichan's parakeet...\He made that himself? response:	He really loved it...
context: I wish this instant would last forever...\Huh? Oh, right...\Wel-come Ho-me!\I-I'm home?\What are you doing, Lisanna?\It's a grave for Elf-niichan's parakeet...\He made that himself?\He really loved it... response:	Pretty skilled...
context: Huh? Oh, right...\Wel-come Ho-me!\I-I'm home?\What are you doing, Lisanna?\It's a grave for Elf-niichan's parakeet...\He made that himself?\He really loved it...\Pretty skilled... response:	Then, you'll make my grave for me, right, Natsu?
context: Wel-come Ho-me!\I-I'm home?\What are you doing, Lisanna?\It's a grave for Elf-niichan's parakeet...\He made that himself?\He really loved it...\Pretty skilled...\Then, you'll make my grave for me, right, Natsu? response:	Why're you saying something like that?
context: I-I'm home?\What are you doing, Lisanna?\It's a grave for Elf-niichan's parakeet...\He made that himself?\He really loved it...\Pretty skilled...\Then, you'll make my grave for me, right, Natsu?\Why're you saying something like that? response:	You're gonna die too, Lisanna?
context: What are you doing, Lisanna?\It's a grave for Elf-niichan's parakeet...\He made that himself?\He really loved it...\Pretty skilled...\Then, you'll make my grave for me, right, Natsu?\Why're you saying something like that?\You're gonna die too, Lisanna? response:	Hey, stop it! Don't be morbid!
context: It's a grave for Elf-niichan's parakeet...\He made that himself?\He really loved it...\Pretty skilled...\Then, you'll make my grave for me, right, Natsu?\Why're you saying something like that?\You're gonna die too, Lisanna?\Hey, stop it! Don't be morbid! response:	Well, we all die sometime...
context: He made that himself?\He really loved it...\Pretty skilled...\Then, you'll make my grave for me, right, Natsu?\Why're you saying something like that?\You're gonna die too, Lisanna?\Hey, stop it! Don't be morbid!\Well, we all die sometime... response:	She stopped breathing, and then...
context: He really loved it...\Pretty skilled...\Then, you'll make my grave for me, right, Natsu?\Why're you saying something like that?\You're gonna die too, Lisanna?\Hey, stop it! Don't be morbid!\Well, we all die sometime...\She stopped breathing, and then... response:	There wasn't anything left?
context: Pretty skilled...\Then, you'll make my grave for me, right, Natsu?\Why're you saying something like that?\You're gonna die too, Lisanna?\Hey, stop it! Don't be morbid!\Well, we all die sometime...\She stopped breathing, and then...\There wasn't anything left? response:	If we could at least bury her...
context: Then, you'll make my grave for me, right, Natsu?\Why're you saying something like that?\You're gonna die too, Lisanna?\Hey, stop it! Don't be morbid!\Well, we all die sometime...\She stopped breathing, and then...\There wasn't anything left?\If we could at least bury her... response:	Hey, Natsu... There's a grave in the church, so why are you making one here?
context: Why're you saying something like that?\You're gonna die too, Lisanna?\Hey, stop it! Don't be morbid!\Well, we all die sometime...\She stopped breathing, and then...\There wasn't anything left?\If we could at least bury her...\Hey, Natsu... There's a grave in the church, so why are you making one here? response:	She's not in a place like that.
context: You're gonna die too, Lisanna?\Hey, stop it! Don't be morbid!\Well, we all die sometime...\She stopped breathing, and then...\There wasn't anything left?\If we could at least bury her...\Hey, Natsu... There's a grave in the church, so why are you making one here?\She's not in a place like that. response:	Besides, she likes the sunset here...
context: Hey, stop it! Don't be morbid!\Well, we all die sometime...\She stopped breathing, and then...\There wasn't anything left?\If we could at least bury her...\Hey, Natsu... There's a grave in the church, so why are you making one here?\She's not in a place like that.\Besides, she likes the sunset here... response:	Here, she'll be able to watch it all she wants.
context: Well, we all die sometime...\She stopped breathing, and then...\There wasn't anything left?\If we could at least bury her...\Hey, Natsu... There's a grave in the church, so why are you making one here?\She's not in a place like that.\Besides, she likes the sunset here...\Here, she'll be able to watch it all she wants. response:	Aye...
context: She stopped breathing, and then...\There wasn't anything left?\If we could at least bury her...\Hey, Natsu... There's a grave in the church, so why are you making one here?\She's not in a place like that.\Besides, she likes the sunset here...\Here, she'll be able to watch it all she wants.\Aye... response:	Even though I promised...
context: There wasn't anything left?\If we could at least bury her...\Hey, Natsu... There's a grave in the church, so why are you making one here?\She's not in a place like that.\Besides, she likes the sunset here...\Here, she'll be able to watch it all she wants.\Aye...\Even though I promised... response:	Even though I promised I'd find her...
context: If we could at least bury her...\Hey, Natsu... There's a grave in the church, so why are you making one here?\She's not in a place like that.\Besides, she likes the sunset here...\Here, she'll be able to watch it all she wants.\Aye...\Even though I promised...\Even though I promised I'd find her... response:	Aye...
context: Hey, Natsu... There's a grave in the church, so why are you making one here?\She's not in a place like that.\Besides, she likes the sunset here...\Here, she'll be able to watch it all she wants.\Aye...\Even though I promised...\Even though I promised I'd find her...\Aye... response:	Natsu!
context: She's not in a place like that.\Besides, she likes the sunset here...\Here, she'll be able to watch it all she wants.\Aye...\Even though I promised...\Even though I promised I'd find her...\Aye...\Natsu! response:	I'm heading out!
context: Besides, she likes the sunset here...\Here, she'll be able to watch it all she wants.\Aye...\Even though I promised...\Even though I promised I'd find her...\Aye...\Natsu!\I'm heading out! response:	Hey... If I disappear again sometime...
context: Here, she'll be able to watch it all she wants.\Aye...\Even though I promised...\Even though I promised I'd find her...\Aye...\Natsu!\I'm heading out!\Hey... If I disappear again sometime... response:	Will you come and find me, Natsu?
context: Aye...\Even though I promised...\Even though I promised I'd find her...\Aye...\Natsu!\I'm heading out!\Hey... If I disappear again sometime...\Will you come and find me, Natsu? response:	I've found you...
context: Even though I promised...\Even though I promised I'd find her...\Aye...\Natsu!\I'm heading out!\Hey... If I disappear again sometime...\Will you come and find me, Natsu?\I've found you... response:	Lisanna!
context: Even though I promised I'd find her...\Aye...\Natsu!\I'm heading out!\Hey... If I disappear again sometime...\Will you come and find me, Natsu?\I've found you...\Lisanna! response:	Hey!
context: Aye...\Natsu!\I'm heading out!\Hey... If I disappear again sometime...\Will you come and find me, Natsu?\I've found you...\Lisanna!\Hey! response:	Since when did you start acting like an animal?
context: Natsu!\I'm heading out!\Hey... If I disappear again sometime...\Will you come and find me, Natsu?\I've found you...\Lisanna!\Hey!\Since when did you start acting like an animal? response:	But Lisanna is alive... Right over there...
context: I'm heading out!\Hey... If I disappear again sometime...\Will you come and find me, Natsu?\I've found you...\Lisanna!\Hey!\Since when did you start acting like an animal?\But Lisanna is alive... Right over there... response:	What the hell are you talking about?
