context: I-I can't believe this! response:	How can you not know what your boyfriend's post-graduation plans are?
context: Nobu-chan, what is this all of a sudden?\No matter how much you enjoyed our trip there...\You've got it wrong.\Oh? Then why, exactly?\Are your parents being transferred?\Grandma's body is deteriorating, so she's going to go and live in the country.\I'm going with her to take care of her.\But... what about your mom and dad? response:	They've both got jobs here, so they can't go.
context: No matter how much you enjoyed our trip there...\You've got it wrong.\Oh? Then why, exactly?\Are your parents being transferred?\Grandma's body is deteriorating, so she's going to go and live in the country.\I'm going with her to take care of her.\But... what about your mom and dad?\They've both got jobs here, so they can't go. response:	She says she has some old friends up there,
context: You've got it wrong.\Oh? Then why, exactly?\Are your parents being transferred?\Grandma's body is deteriorating, so she's going to go and live in the country.\I'm going with her to take care of her.\But... what about your mom and dad?\They've both got jobs here, so they can't go.\She says she has some old friends up there, response:	Are you okay with this, Nakao?
context: Oh? Then why, exactly?\Are your parents being transferred?\Grandma's body is deteriorating, so she's going to go and live in the country.\I'm going with her to take care of her.\But... what about your mom and dad?\They've both got jobs here, so they can't go.\She says she has some old friends up there,\Are you okay with this, Nakao? response:	A long-distance relationship...
context: Are your parents being transferred?\Grandma's body is deteriorating, so she's going to go and live in the country.\I'm going with her to take care of her.\But... what about your mom and dad?\They've both got jobs here, so they can't go.\She says she has some old friends up there,\Are you okay with this, Nakao?\A long-distance relationship... response:	No problem! It'll be fine, right?
context: Grandma's body is deteriorating, so she's going to go and live in the country.\I'm going with her to take care of her.\But... what about your mom and dad?\They've both got jobs here, so they can't go.\She says she has some old friends up there,\Are you okay with this, Nakao?\A long-distance relationship...\No problem! It'll be fine, right? response:	We'll call every day, right?
context: I'm going with her to take care of her.\But... what about your mom and dad?\They've both got jobs here, so they can't go.\She says she has some old friends up there,\Are you okay with this, Nakao?\A long-distance relationship...\No problem! It'll be fine, right?\We'll call every day, right? response:	Oh really?
context: But... what about your mom and dad?\They've both got jobs here, so they can't go.\She says she has some old friends up there,\Are you okay with this, Nakao?\A long-distance relationship...\No problem! It'll be fine, right?\We'll call every day, right?\Oh really? response:	Ah, I see...
context: They've both got jobs here, so they can't go.\She says she has some old friends up there,\Are you okay with this, Nakao?\A long-distance relationship...\No problem! It'll be fine, right?\We'll call every day, right?\Oh really?\Ah, I see... response:	Nobu-chan and Nakao-chi are going to maintain a long-distance relationship?
context: She says she has some old friends up there,\Are you okay with this, Nakao?\A long-distance relationship...\No problem! It'll be fine, right?\We'll call every day, right?\Oh really?\Ah, I see...\Nobu-chan and Nakao-chi are going to maintain a long-distance relationship? response:	Hey Risa, will you come shopping with me after school?
context: Are you okay with this, Nakao?\A long-distance relationship...\No problem! It'll be fine, right?\We'll call every day, right?\Oh really?\Ah, I see...\Nobu-chan and Nakao-chi are going to maintain a long-distance relationship?\Hey Risa, will you come shopping with me after school? response:	Don't you have to study for the entrance exams?
context: A long-distance relationship...\No problem! It'll be fine, right?\We'll call every day, right?\Oh really?\Ah, I see...\Nobu-chan and Nakao-chi are going to maintain a long-distance relationship?\Hey Risa, will you come shopping with me after school?\Don't you have to study for the entrance exams? response:	The undergraduate university in Hokkaido offers entry by referral.
context: No problem! It'll be fine, right?\We'll call every day, right?\Oh really?\Ah, I see...\Nobu-chan and Nakao-chi are going to maintain a long-distance relationship?\Hey Risa, will you come shopping with me after school?\Don't you have to study for the entrance exams?\The undergraduate university in Hokkaido offers entry by referral. response:	All I need to get in is a high school diploma and an interview.
context: We'll call every day, right?\Oh really?\Ah, I see...\Nobu-chan and Nakao-chi are going to maintain a long-distance relationship?\Hey Risa, will you come shopping with me after school?\Don't you have to study for the entrance exams?\The undergraduate university in Hokkaido offers entry by referral.\All I need to get in is a high school diploma and an interview. response:	Is that so?
context: Oh really?\Ah, I see...\Nobu-chan and Nakao-chi are going to maintain a long-distance relationship?\Hey Risa, will you come shopping with me after school?\Don't you have to study for the entrance exams?\The undergraduate university in Hokkaido offers entry by referral.\All I need to get in is a high school diploma and an interview.\Is that so? response:	Yep. So I'm all set.
context: Ah, I see...\Nobu-chan and Nakao-chi are going to maintain a long-distance relationship?\Hey Risa, will you come shopping with me after school?\Don't you have to study for the entrance exams?\The undergraduate university in Hokkaido offers entry by referral.\All I need to get in is a high school diploma and an interview.\Is that so?\Yep. So I'm all set. response:	Sorry, Risa.
context: Nobu-chan and Nakao-chi are going to maintain a long-distance relationship?\Hey Risa, will you come shopping with me after school?\Don't you have to study for the entrance exams?\The undergraduate university in Hokkaido offers entry by referral.\All I need to get in is a high school diploma and an interview.\Is that so?\Yep. So I'm all set.\Sorry, Risa. response:	Huh? What for?
context: Hey Risa, will you come shopping with me after school?\Don't you have to study for the entrance exams?\The undergraduate university in Hokkaido offers entry by referral.\All I need to get in is a high school diploma and an interview.\Is that so?\Yep. So I'm all set.\Sorry, Risa.\Huh? What for? response:	For not telling you about going to Hokkaido.
context: Don't you have to study for the entrance exams?\The undergraduate university in Hokkaido offers entry by referral.\All I need to get in is a high school diploma and an interview.\Is that so?\Yep. So I'm all set.\Sorry, Risa.\Huh? What for?\For not telling you about going to Hokkaido. response:	It's okay. You only just decided, right?
context: The undergraduate university in Hokkaido offers entry by referral.\All I need to get in is a high school diploma and an interview.\Is that so?\Yep. So I'm all set.\Sorry, Risa.\Huh? What for?\For not telling you about going to Hokkaido.\It's okay. You only just decided, right? response:	Right, right.
context: All I need to get in is a high school diploma and an interview.\Is that so?\Yep. So I'm all set.\Sorry, Risa.\Huh? What for?\For not telling you about going to Hokkaido.\It's okay. You only just decided, right?\Right, right. response:	In any case, are you really planning on buying all of those?
context: Is that so?\Yep. So I'm all set.\Sorry, Risa.\Huh? What for?\For not telling you about going to Hokkaido.\It's okay. You only just decided, right?\Right, right.\In any case, are you really planning on buying all of those? response:	That's why I came shopping today.
context: Yep. So I'm all set.\Sorry, Risa.\Huh? What for?\For not telling you about going to Hokkaido.\It's okay. You only just decided, right?\Right, right.\In any case, are you really planning on buying all of those?\That's why I came shopping today. response:	I can't come back just to shop.
context: Sorry, Risa.\Huh? What for?\For not telling you about going to Hokkaido.\It's okay. You only just decided, right?\Right, right.\In any case, are you really planning on buying all of those?\That's why I came shopping today.\I can't come back just to shop. response:	Ah. I see.
context: Huh? What for?\For not telling you about going to Hokkaido.\It's okay. You only just decided, right?\Right, right.\In any case, are you really planning on buying all of those?\That's why I came shopping today.\I can't come back just to shop.\Ah. I see. response:	When I told Grandma I'd go with her to Hokkaido,
context: For not telling you about going to Hokkaido.\It's okay. You only just decided, right?\Right, right.\In any case, are you really planning on buying all of those?\That's why I came shopping today.\I can't come back just to shop.\Ah. I see.\When I told Grandma I'd go with her to Hokkaido, response:	That's nice...
context: It's okay. You only just decided, right?\Right, right.\In any case, are you really planning on buying all of those?\That's why I came shopping today.\I can't come back just to shop.\Ah. I see.\When I told Grandma I'd go with her to Hokkaido,\That's nice... response:	Say, Nobu-chan, your grandma has given you a lot of money over the years, hasn't she?
context: Right, right.\In any case, are you really planning on buying all of those?\That's why I came shopping today.\I can't come back just to shop.\Ah. I see.\When I told Grandma I'd go with her to Hokkaido,\That's nice...\Say, Nobu-chan, your grandma has given you a lot of money over the years, hasn't she? response:	Yeah. That's why, in a sense, I'm doing this to repay her.
context: In any case, are you really planning on buying all of those?\That's why I came shopping today.\I can't come back just to shop.\Ah. I see.\When I told Grandma I'd go with her to Hokkaido,\That's nice...\Say, Nobu-chan, your grandma has given you a lot of money over the years, hasn't she?\Yeah. That's why, in a sense, I'm doing this to repay her. response:	I love my grandma, after all.
context: That's why I came shopping today.\I can't come back just to shop.\Ah. I see.\When I told Grandma I'd go with her to Hokkaido,\That's nice...\Say, Nobu-chan, your grandma has given you a lot of money over the years, hasn't she?\Yeah. That's why, in a sense, I'm doing this to repay her.\I love my grandma, after all. response:	What about Nakao-chi?
context: I can't come back just to shop.\Ah. I see.\When I told Grandma I'd go with her to Hokkaido,\That's nice...\Say, Nobu-chan, your grandma has given you a lot of money over the years, hasn't she?\Yeah. That's why, in a sense, I'm doing this to repay her.\I love my grandma, after all.\What about Nakao-chi? response:	I love him, too.
context: Ah. I see.\When I told Grandma I'd go with her to Hokkaido,\That's nice...\Say, Nobu-chan, your grandma has given you a lot of money over the years, hasn't she?\Yeah. That's why, in a sense, I'm doing this to repay her.\I love my grandma, after all.\What about Nakao-chi?\I love him, too. response:	Are you really okay with this?
context: When I told Grandma I'd go with her to Hokkaido,\That's nice...\Say, Nobu-chan, your grandma has given you a lot of money over the years, hasn't she?\Yeah. That's why, in a sense, I'm doing this to repay her.\I love my grandma, after all.\What about Nakao-chi?\I love him, too.\Are you really okay with this? response:	Yeah. Nakao-chi is okay with it, too.
context: That's nice...\Say, Nobu-chan, your grandma has given you a lot of money over the years, hasn't she?\Yeah. That's why, in a sense, I'm doing this to repay her.\I love my grandma, after all.\What about Nakao-chi?\I love him, too.\Are you really okay with this?\Yeah. Nakao-chi is okay with it, too. response:	He's coming over to have dinner at my place tonight.
context: Say, Nobu-chan, your grandma has given you a lot of money over the years, hasn't she?\Yeah. That's why, in a sense, I'm doing this to repay her.\I love my grandma, after all.\What about Nakao-chi?\I love him, too.\Are you really okay with this?\Yeah. Nakao-chi is okay with it, too.\He's coming over to have dinner at my place tonight. response:	Hey, Risa. Which of these is better?
context: Yeah. That's why, in a sense, I'm doing this to repay her.\I love my grandma, after all.\What about Nakao-chi?\I love him, too.\Are you really okay with this?\Yeah. Nakao-chi is okay with it, too.\He's coming over to have dinner at my place tonight.\Hey, Risa. Which of these is better? response:	That one.
context: I love my grandma, after all.\What about Nakao-chi?\I love him, too.\Are you really okay with this?\Yeah. Nakao-chi is okay with it, too.\He's coming over to have dinner at my place tonight.\Hey, Risa. Which of these is better?\That one. response:	We'll we are talking about self-assured, strong-willed Nobu-chan, after all.
context: What about Nakao-chi?\I love him, too.\Are you really okay with this?\Yeah. Nakao-chi is okay with it, too.\He's coming over to have dinner at my place tonight.\Hey, Risa. Which of these is better?\That one.\We'll we are talking about self-assured, strong-willed Nobu-chan, after all. response:	No matter where she goes, I'm sure she has the confidence to do well.
context: I love him, too.\Are you really okay with this?\Yeah. Nakao-chi is okay with it, too.\He's coming over to have dinner at my place tonight.\Hey, Risa. Which of these is better?\That one.\We'll we are talking about self-assured, strong-willed Nobu-chan, after all.\No matter where she goes, I'm sure she has the confidence to do well. response:	Nakao-chi, I'm going to get some more eggs, okay?
context: Are you really okay with this?\Yeah. Nakao-chi is okay with it, too.\He's coming over to have dinner at my place tonight.\Hey, Risa. Which of these is better?\That one.\We'll we are talking about self-assured, strong-willed Nobu-chan, after all.\No matter where she goes, I'm sure she has the confidence to do well.\Nakao-chi, I'm going to get some more eggs, okay? response:	Sure.
context: Yeah. Nakao-chi is okay with it, too.\He's coming over to have dinner at my place tonight.\Hey, Risa. Which of these is better?\That one.\We'll we are talking about self-assured, strong-willed Nobu-chan, after all.\No matter where she goes, I'm sure she has the confidence to do well.\Nakao-chi, I'm going to get some more eggs, okay?\Sure. response:	Thanks.
context: He's coming over to have dinner at my place tonight.\Hey, Risa. Which of these is better?\That one.\We'll we are talking about self-assured, strong-willed Nobu-chan, after all.\No matter where she goes, I'm sure she has the confidence to do well.\Nakao-chi, I'm going to get some more eggs, okay?\Sure.\Thanks. response:	Nakao-chi, is this really all right with you?
context: Hey, Risa. Which of these is better?\That one.\We'll we are talking about self-assured, strong-willed Nobu-chan, after all.\No matter where she goes, I'm sure she has the confidence to do well.\Nakao-chi, I'm going to get some more eggs, okay?\Sure.\Thanks.\Nakao-chi, is this really all right with you? response:	Is it really all right if I take Nobuko so far away?
context: That one.\We'll we are talking about self-assured, strong-willed Nobu-chan, after all.\No matter where she goes, I'm sure she has the confidence to do well.\Nakao-chi, I'm going to get some more eggs, okay?\Sure.\Thanks.\Nakao-chi, is this really all right with you?\Is it really all right if I take Nobuko so far away? response:	I care about you too, Grandma.
context: We'll we are talking about self-assured, strong-willed Nobu-chan, after all.\No matter where she goes, I'm sure she has the confidence to do well.\Nakao-chi, I'm going to get some more eggs, okay?\Sure.\Thanks.\Nakao-chi, is this really all right with you?\Is it really all right if I take Nobuko so far away?\I care about you too, Grandma. response:	I'd be worried if you went all by yourself.
context: No matter where she goes, I'm sure she has the confidence to do well.\Nakao-chi, I'm going to get some more eggs, okay?\Sure.\Thanks.\Nakao-chi, is this really all right with you?\Is it really all right if I take Nobuko so far away?\I care about you too, Grandma.\I'd be worried if you went all by yourself. response:	I'm so happy to have such a wonderful granddaughter.
context: Nakao-chi, I'm going to get some more eggs, okay?\Sure.\Thanks.\Nakao-chi, is this really all right with you?\Is it really all right if I take Nobuko so far away?\I care about you too, Grandma.\I'd be worried if you went all by yourself.\I'm so happy to have such a wonderful granddaughter. response:	And she has a such wonderful boyfriend, too.
context: Sure.\Thanks.\Nakao-chi, is this really all right with you?\Is it really all right if I take Nobuko so far away?\I care about you too, Grandma.\I'd be worried if you went all by yourself.\I'm so happy to have such a wonderful granddaughter.\And she has a such wonderful boyfriend, too. response:	Grandma.
context: Thanks.\Nakao-chi, is this really all right with you?\Is it really all right if I take Nobuko so far away?\I care about you too, Grandma.\I'd be worried if you went all by yourself.\I'm so happy to have such a wonderful granddaughter.\And she has a such wonderful boyfriend, too.\Grandma. response:	Thank you.
context: Nakao-chi, is this really all right with you?\Is it really all right if I take Nobuko so far away?\I care about you too, Grandma.\I'd be worried if you went all by yourself.\I'm so happy to have such a wonderful granddaughter.\And she has a such wonderful boyfriend, too.\Grandma.\Thank you. response:	Nobu-chan.
context: Is it really all right if I take Nobuko so far away?\I care about you too, Grandma.\I'd be worried if you went all by yourself.\I'm so happy to have such a wonderful granddaughter.\And she has a such wonderful boyfriend, too.\Grandma.\Thank you.\Nobu-chan. response:	Okay! Grandma's going to perform an act she's saved especially for Nakao-chi!
context: I care about you too, Grandma.\I'd be worried if you went all by yourself.\I'm so happy to have such a wonderful granddaughter.\And she has a such wonderful boyfriend, too.\Grandma.\Thank you.\Nobu-chan.\Okay! Grandma's going to perform an act she's saved especially for Nakao-chi! response:	An act?
context: I'd be worried if you went all by yourself.\I'm so happy to have such a wonderful granddaughter.\And she has a such wonderful boyfriend, too.\Grandma.\Thank you.\Nobu-chan.\Okay! Grandma's going to perform an act she's saved especially for Nakao-chi!\An act? response:	Grandma!
context: I'm so happy to have such a wonderful granddaughter.\And she has a such wonderful boyfriend, too.\Grandma.\Thank you.\Nobu-chan.\Okay! Grandma's going to perform an act she's saved especially for Nakao-chi!\An act?\Grandma! response:	Grandma?
context: And she has a such wonderful boyfriend, too.\Grandma.\Thank you.\Nobu-chan.\Okay! Grandma's going to perform an act she's saved especially for Nakao-chi!\An act?\Grandma!\Grandma? response:	Carp!
context: Grandma.\Thank you.\Nobu-chan.\Okay! Grandma's going to perform an act she's saved especially for Nakao-chi!\An act?\Grandma!\Grandma?\Carp! response:	He liked it! He liked it!
context: Thank you.\Nobu-chan.\Okay! Grandma's going to perform an act she's saved especially for Nakao-chi!\An act?\Grandma!\Grandma?\Carp!\He liked it! He liked it! response:	Grandma, your body is weak. Don't over-exert yourself.
context: Nobu-chan.\Okay! Grandma's going to perform an act she's saved especially for Nakao-chi!\An act?\Grandma!\Grandma?\Carp!\He liked it! He liked it!\Grandma, your body is weak. Don't over-exert yourself. response:	I had fun.
context: Okay! Grandma's going to perform an act she's saved especially for Nakao-chi!\An act?\Grandma!\Grandma?\Carp!\He liked it! He liked it!\Grandma, your body is weak. Don't over-exert yourself.\I had fun. response:	Be careful, okay?
context: An act?\Grandma!\Grandma?\Carp!\He liked it! He liked it!\Grandma, your body is weak. Don't over-exert yourself.\I had fun.\Be careful, okay? response:	Nakao-chi!
context: Grandma!\Grandma?\Carp!\He liked it! He liked it!\Grandma, your body is weak. Don't over-exert yourself.\I had fun.\Be careful, okay?\Nakao-chi! response:	I'm sorry.
context: Grandma?\Carp!\He liked it! He liked it!\Grandma, your body is weak. Don't over-exert yourself.\I had fun.\Be careful, okay?\Nakao-chi!\I'm sorry. response:	What was that?
context: Carp!\He liked it! He liked it!\Grandma, your body is weak. Don't over-exert yourself.\I had fun.\Be careful, okay?\Nakao-chi!\I'm sorry.\What was that? response:	Never mind. It was nothing.
context: He liked it! He liked it!\Grandma, your body is weak. Don't over-exert yourself.\I had fun.\Be careful, okay?\Nakao-chi!\I'm sorry.\What was that?\Never mind. It was nothing. response:	Well, see you tomorrow.
context: Grandma, your body is weak. Don't over-exert yourself.\I had fun.\Be careful, okay?\Nakao-chi!\I'm sorry.\What was that?\Never mind. It was nothing.\Well, see you tomorrow. response:	At that point,
context: I had fun.\Be careful, okay?\Nakao-chi!\I'm sorry.\What was that?\Never mind. It was nothing.\Well, see you tomorrow.\At that point, response:	As the day of Nobu-chan's interview in Hokkaido approached,
context: Be careful, okay?\Nakao-chi!\I'm sorry.\What was that?\Never mind. It was nothing.\Well, see you tomorrow.\At that point,\As the day of Nobu-chan's interview in Hokkaido approached, response:	Nakao's been acting weird.
context: Nakao-chi!\I'm sorry.\What was that?\Never mind. It was nothing.\Well, see you tomorrow.\At that point,\As the day of Nobu-chan's interview in Hokkaido approached,\Nakao's been acting weird. response:	How so?
context: I'm sorry.\What was that?\Never mind. It was nothing.\Well, see you tomorrow.\At that point,\As the day of Nobu-chan's interview in Hokkaido approached,\Nakao's been acting weird.\How so? response:	Well, yesterday...
context: What was that?\Never mind. It was nothing.\Well, see you tomorrow.\At that point,\As the day of Nobu-chan's interview in Hokkaido approached,\Nakao's been acting weird.\How so?\Well, yesterday... response:	Right? It's weird, right?
context: Never mind. It was nothing.\Well, see you tomorrow.\At that point,\As the day of Nobu-chan's interview in Hokkaido approached,\Nakao's been acting weird.\How so?\Well, yesterday...\Right? It's weird, right? response:	No way. There's just no way.
context: Well, see you tomorrow.\At that point,\As the day of Nobu-chan's interview in Hokkaido approached,\Nakao's been acting weird.\How so?\Well, yesterday...\Right? It's weird, right?\No way. There's just no way. response:	How can it be? How can it be?
context: At that point,\As the day of Nobu-chan's interview in Hokkaido approached,\Nakao's been acting weird.\How so?\Well, yesterday...\Right? It's weird, right?\No way. There's just no way.\How can it be? How can it be? response:	Life really is just great, isn't it?
context: As the day of Nobu-chan's interview in Hokkaido approached,\Nakao's been acting weird.\How so?\Well, yesterday...\Right? It's weird, right?\No way. There's just no way.\How can it be? How can it be?\Life really is just great, isn't it? response:	Good afternoon. It's a pleasure to meet you. Indeed, indeed. Thank you...
context: Nakao's been acting weird.\How so?\Well, yesterday...\Right? It's weird, right?\No way. There's just no way.\How can it be? How can it be?\Life really is just great, isn't it?\Good afternoon. It's a pleasure to meet you. Indeed, indeed. Thank you... response:	What are you doing?
context: How so?\Well, yesterday...\Right? It's weird, right?\No way. There's just no way.\How can it be? How can it be?\Life really is just great, isn't it?\Good afternoon. It's a pleasure to meet you. Indeed, indeed. Thank you...\What are you doing? response:	Oh, nothing. I'm fine.
context: Well, yesterday...\Right? It's weird, right?\No way. There's just no way.\How can it be? How can it be?\Life really is just great, isn't it?\Good afternoon. It's a pleasure to meet you. Indeed, indeed. Thank you...\What are you doing?\Oh, nothing. I'm fine. response:	Kyah! Pervert!
context: Right? It's weird, right?\No way. There's just no way.\How can it be? How can it be?\Life really is just great, isn't it?\Good afternoon. It's a pleasure to meet you. Indeed, indeed. Thank you...\What are you doing?\Oh, nothing. I'm fine.\Kyah! Pervert! response:	Nakao, what the heck are you doing?!
context: No way. There's just no way.\How can it be? How can it be?\Life really is just great, isn't it?\Good afternoon. It's a pleasure to meet you. Indeed, indeed. Thank you...\What are you doing?\Oh, nothing. I'm fine.\Kyah! Pervert!\Nakao, what the heck are you doing?! response:	I'm fine. Really.
context: How can it be? How can it be?\Life really is just great, isn't it?\Good afternoon. It's a pleasure to meet you. Indeed, indeed. Thank you...\What are you doing?\Oh, nothing. I'm fine.\Kyah! Pervert!\Nakao, what the heck are you doing?!\I'm fine. Really. response:	It's spilling everywhere, Nakao.
context: Life really is just great, isn't it?\Good afternoon. It's a pleasure to meet you. Indeed, indeed. Thank you...\What are you doing?\Oh, nothing. I'm fine.\Kyah! Pervert!\Nakao, what the heck are you doing?!\I'm fine. Really.\It's spilling everywhere, Nakao. response:	Really? I think it's pretty.
context: Good afternoon. It's a pleasure to meet you. Indeed, indeed. Thank you...\What are you doing?\Oh, nothing. I'm fine.\Kyah! Pervert!\Nakao, what the heck are you doing?!\I'm fine. Really.\It's spilling everywhere, Nakao.\Really? I think it's pretty. response:	What do you think?
context: What are you doing?\Oh, nothing. I'm fine.\Kyah! Pervert!\Nakao, what the heck are you doing?!\I'm fine. Really.\It's spilling everywhere, Nakao.\Really? I think it's pretty.\What do you think? response:	That's definitely weird.
context: Oh, nothing. I'm fine.\Kyah! Pervert!\Nakao, what the heck are you doing?!\I'm fine. Really.\It's spilling everywhere, Nakao.\Really? I think it's pretty.\What do you think?\That's definitely weird. response:	With Nobu-chan going to Hokkaido, Nakao-chi is probably
context: Kyah! Pervert!\Nakao, what the heck are you doing?!\I'm fine. Really.\It's spilling everywhere, Nakao.\Really? I think it's pretty.\What do you think?\That's definitely weird.\With Nobu-chan going to Hokkaido, Nakao-chi is probably response:	Bad news! Nakao fell down the stairs!
context: Nakao, what the heck are you doing?!\I'm fine. Really.\It's spilling everywhere, Nakao.\Really? I think it's pretty.\What do you think?\That's definitely weird.\With Nobu-chan going to Hokkaido, Nakao-chi is probably\Bad news! Nakao fell down the stairs! response:	What?!
context: I'm fine. Really.\It's spilling everywhere, Nakao.\Really? I think it's pretty.\What do you think?\That's definitely weird.\With Nobu-chan going to Hokkaido, Nakao-chi is probably\Bad news! Nakao fell down the stairs!\What?! response:	Chiharu-chan, where's Nobu-chan?
context: It's spilling everywhere, Nakao.\Really? I think it's pretty.\What do you think?\That's definitely weird.\With Nobu-chan going to Hokkaido, Nakao-chi is probably\Bad news! Nakao fell down the stairs!\What?!\Chiharu-chan, where's Nobu-chan? response:	Gori-sensei called her to the office just now.
context: Really? I think it's pretty.\What do you think?\That's definitely weird.\With Nobu-chan going to Hokkaido, Nakao-chi is probably\Bad news! Nakao fell down the stairs!\What?!\Chiharu-chan, where's Nobu-chan?\Gori-sensei called her to the office just now. response:	I'll go find Nobu-chan. You go on ahead.
context: What do you think?\That's definitely weird.\With Nobu-chan going to Hokkaido, Nakao-chi is probably\Bad news! Nakao fell down the stairs!\What?!\Chiharu-chan, where's Nobu-chan?\Gori-sensei called her to the office just now.\I'll go find Nobu-chan. You go on ahead. response:	Right!
context: That's definitely weird.\With Nobu-chan going to Hokkaido, Nakao-chi is probably\Bad news! Nakao fell down the stairs!\What?!\Chiharu-chan, where's Nobu-chan?\Gori-sensei called her to the office just now.\I'll go find Nobu-chan. You go on ahead.\Right! response:	I really don't know what to do with you.
context: With Nobu-chan going to Hokkaido, Nakao-chi is probably\Bad news! Nakao fell down the stairs!\What?!\Chiharu-chan, where's Nobu-chan?\Gori-sensei called her to the office just now.\I'll go find Nobu-chan. You go on ahead.\Right!\I really don't know what to do with you. response:	Sorry. Good thing I walked away with just a scratch.
context: Bad news! Nakao fell down the stairs!\What?!\Chiharu-chan, where's Nobu-chan?\Gori-sensei called her to the office just now.\I'll go find Nobu-chan. You go on ahead.\Right!\I really don't know what to do with you.\Sorry. Good thing I walked away with just a scratch. response:	What do you mean, good thing, you idiot!
context: What?!\Chiharu-chan, where's Nobu-chan?\Gori-sensei called her to the office just now.\I'll go find Nobu-chan. You go on ahead.\Right!\I really don't know what to do with you.\Sorry. Good thing I walked away with just a scratch.\What do you mean, good thing, you idiot! response:	Get it together!
context: Chiharu-chan, where's Nobu-chan?\Gori-sensei called her to the office just now.\I'll go find Nobu-chan. You go on ahead.\Right!\I really don't know what to do with you.\Sorry. Good thing I walked away with just a scratch.\What do you mean, good thing, you idiot!\Get it together! response:	I don't have it together?
context: Gori-sensei called her to the office just now.\I'll go find Nobu-chan. You go on ahead.\Right!\I really don't know what to do with you.\Sorry. Good thing I walked away with just a scratch.\What do you mean, good thing, you idiot!\Get it together!\I don't have it together? response:	If you did, you wouldn't have fallen down the stairs!
context: I'll go find Nobu-chan. You go on ahead.\Right!\I really don't know what to do with you.\Sorry. Good thing I walked away with just a scratch.\What do you mean, good thing, you idiot!\Get it together!\I don't have it together?\If you did, you wouldn't have fallen down the stairs! response:	Is that so...
context: Right!\I really don't know what to do with you.\Sorry. Good thing I walked away with just a scratch.\What do you mean, good thing, you idiot!\Get it together!\I don't have it together?\If you did, you wouldn't have fallen down the stairs!\Is that so... response:	I guess you're right.
context: I really don't know what to do with you.\Sorry. Good thing I walked away with just a scratch.\What do you mean, good thing, you idiot!\Get it together!\I don't have it together?\If you did, you wouldn't have fallen down the stairs!\Is that so...\I guess you're right. response:	You've been acting weird lately.
context: Sorry. Good thing I walked away with just a scratch.\What do you mean, good thing, you idiot!\Get it together!\I don't have it together?\If you did, you wouldn't have fallen down the stairs!\Is that so...\I guess you're right.\You've been acting weird lately. response:	You...
context: What do you mean, good thing, you idiot!\Get it together!\I don't have it together?\If you did, you wouldn't have fallen down the stairs!\Is that so...\I guess you're right.\You've been acting weird lately.\You... response:	INFIRMARY
context: Get it together!\I don't have it together?\If you did, you wouldn't have fallen down the stairs!\Is that so...\I guess you're right.\You've been acting weird lately.\You...\INFIRMARY response:	You don't want Nobu-chan to go to Hokkaido, do you?
context: I don't have it together?\If you did, you wouldn't have fallen down the stairs!\Is that so...\I guess you're right.\You've been acting weird lately.\You...\INFIRMARY\You don't want Nobu-chan to go to Hokkaido, do you? response:	No.
context: If you did, you wouldn't have fallen down the stairs!\Is that so...\I guess you're right.\You've been acting weird lately.\You...\INFIRMARY\You don't want Nobu-chan to go to Hokkaido, do you?\No. response:	But it'll make Nobu-chan feel bad,
context: Is that so...\I guess you're right.\You've been acting weird lately.\You...\INFIRMARY\You don't want Nobu-chan to go to Hokkaido, do you?\No.\But it'll make Nobu-chan feel bad, response:	I mean, she's made her final decision and all...
context: I guess you're right.\You've been acting weird lately.\You...\INFIRMARY\You don't want Nobu-chan to go to Hokkaido, do you?\No.\But it'll make Nobu-chan feel bad,\I mean, she's made her final decision and all... response:	Nobu-chan!
context: You've been acting weird lately.\You...\INFIRMARY\You don't want Nobu-chan to go to Hokkaido, do you?\No.\But it'll make Nobu-chan feel bad,\I mean, she's made her final decision and all...\Nobu-chan! response:	Nobu-chan, wait!
context: You...\INFIRMARY\You don't want Nobu-chan to go to Hokkaido, do you?\No.\But it'll make Nobu-chan feel bad,\I mean, she's made her final decision and all...\Nobu-chan!\Nobu-chan, wait! response:	She... She heard.
context: INFIRMARY\You don't want Nobu-chan to go to Hokkaido, do you?\No.\But it'll make Nobu-chan feel bad,\I mean, she's made her final decision and all...\Nobu-chan!\Nobu-chan, wait!\She... She heard. response:	Nakao...
context: You don't want Nobu-chan to go to Hokkaido, do you?\No.\But it'll make Nobu-chan feel bad,\I mean, she's made her final decision and all...\Nobu-chan!\Nobu-chan, wait!\She... She heard.\Nakao... response:	Nobu-chan...
context: No.\But it'll make Nobu-chan feel bad,\I mean, she's made her final decision and all...\Nobu-chan!\Nobu-chan, wait!\She... She heard.\Nakao...\Nobu-chan... response:	Risa! What should I do?!
context: But it'll make Nobu-chan feel bad,\I mean, she's made her final decision and all...\Nobu-chan!\Nobu-chan, wait!\She... She heard.\Nakao...\Nobu-chan...\Risa! What should I do?! response:	I thought it over for so long...
context: I mean, she's made her final decision and all...\Nobu-chan!\Nobu-chan, wait!\She... She heard.\Nakao...\Nobu-chan...\Risa! What should I do?!\I thought it over for so long... response:	I gave it so much thought...
context: Nobu-chan!\Nobu-chan, wait!\She... She heard.\Nakao...\Nobu-chan...\Risa! What should I do?!\I thought it over for so long...\I gave it so much thought... response:	But...
