context: Huh... response:	He's a pretty good swimmer.
context: After all, the mushi is still in him.\Since Uko do not typically choose humans as hosts,\it's likely that its ties to him are not that deep.\However, in the cases with salamanders,\after only a few years, the hosts become one with the Uko and vanish into the waters.\As you well know, this mushi is rather troublesome.\I see...\But he's going to be okay, isn't he? response:	Probably.
context: Since Uko do not typically choose humans as hosts,\it's likely that its ties to him are not that deep.\However, in the cases with salamanders,\after only a few years, the hosts become one with the Uko and vanish into the waters.\As you well know, this mushi is rather troublesome.\I see...\But he's going to be okay, isn't he?\Probably. response:	We should be able to use the medicine to keep his symptoms at bay.
context: it's likely that its ties to him are not that deep.\However, in the cases with salamanders,\after only a few years, the hosts become one with the Uko and vanish into the waters.\As you well know, this mushi is rather troublesome.\I see...\But he's going to be okay, isn't he?\Probably.\We should be able to use the medicine to keep his symptoms at bay. response:	If that's enough for you,
context: However, in the cases with salamanders,\after only a few years, the hosts become one with the Uko and vanish into the waters.\As you well know, this mushi is rather troublesome.\I see...\But he's going to be okay, isn't he?\Probably.\We should be able to use the medicine to keep his symptoms at bay.\If that's enough for you, response:	I can come back again with more of the same medicine.
context: after only a few years, the hosts become one with the Uko and vanish into the waters.\As you well know, this mushi is rather troublesome.\I see...\But he's going to be okay, isn't he?\Probably.\We should be able to use the medicine to keep his symptoms at bay.\If that's enough for you,\I can come back again with more of the same medicine. response:	Well, I'll give you a discount.
context: As you well know, this mushi is rather troublesome.\I see...\But he's going to be okay, isn't he?\Probably.\We should be able to use the medicine to keep his symptoms at bay.\If that's enough for you,\I can come back again with more of the same medicine.\Well, I'll give you a discount. response:	Yes. That's enough for me.
context: I see...\But he's going to be okay, isn't he?\Probably.\We should be able to use the medicine to keep his symptoms at bay.\If that's enough for you,\I can come back again with more of the same medicine.\Well, I'll give you a discount.\Yes. That's enough for me. response:	Old man
context: But he's going to be okay, isn't he?\Probably.\We should be able to use the medicine to keep his symptoms at bay.\If that's enough for you,\I can come back again with more of the same medicine.\Well, I'll give you a discount.\Yes. That's enough for me.\Old man response:	Don't call me that.
context: Probably.\We should be able to use the medicine to keep his symptoms at bay.\If that's enough for you,\I can come back again with more of the same medicine.\Well, I'll give you a discount.\Yes. That's enough for me.\Old man\Don't call me that. response:	When will you be back?
context: We should be able to use the medicine to keep his symptoms at bay.\If that's enough for you,\I can come back again with more of the same medicine.\Well, I'll give you a discount.\Yes. That's enough for me.\Old man\Don't call me that.\When will you be back? response:	Hmm...
context: If that's enough for you,\I can come back again with more of the same medicine.\Well, I'll give you a discount.\Yes. That's enough for me.\Old man\Don't call me that.\When will you be back?\Hmm... response:	Early autumn, probably.
context: I can come back again with more of the same medicine.\Well, I'll give you a discount.\Yes. That's enough for me.\Old man\Don't call me that.\When will you be back?\Hmm...\Early autumn, probably. response:	See you then.
context: Well, I'll give you a discount.\Yes. That's enough for me.\Old man\Don't call me that.\When will you be back?\Hmm...\Early autumn, probably.\See you then. response:	And don't drown anymore.
context: Yes. That's enough for me.\Old man\Don't call me that.\When will you be back?\Hmm...\Early autumn, probably.\See you then.\And don't drown anymore. response:	But I never drowned.
context: Old man\Don't call me that.\When will you be back?\Hmm...\Early autumn, probably.\See you then.\And don't drown anymore.\But I never drowned. response:	Liar.
context: Don't call me that.\When will you be back?\Hmm...\Early autumn, probably.\See you then.\And don't drown anymore.\But I never drowned.\Liar. response:	You must have forgotten.
context: When will you be back?\Hmm...\Early autumn, probably.\See you then.\And don't drown anymore.\But I never drowned.\Liar.\You must have forgotten. response:	Hey, Yuuta!
context: Hmm...\Early autumn, probably.\See you then.\And don't drown anymore.\But I never drowned.\Liar.\You must have forgotten.\Hey, Yuuta! response:	Okay, see you later.
context: Early autumn, probably.\See you then.\And don't drown anymore.\But I never drowned.\Liar.\You must have forgotten.\Hey, Yuuta!\Okay, see you later. response:	Yuuta? Hurry inside.
context: See you then.\And don't drown anymore.\But I never drowned.\Liar.\You must have forgotten.\Hey, Yuuta!\Okay, see you later.\Yuuta? Hurry inside. response:	Okay.
context: And don't drown anymore.\But I never drowned.\Liar.\You must have forgotten.\Hey, Yuuta!\Okay, see you later.\Yuuta? Hurry inside.\Okay. response:	What's wrong?
context: But I never drowned.\Liar.\You must have forgotten.\Hey, Yuuta!\Okay, see you later.\Yuuta? Hurry inside.\Okay.\What's wrong? response:	Are you thirsty?
context: Liar.\You must have forgotten.\Hey, Yuuta!\Okay, see you later.\Yuuta? Hurry inside.\Okay.\What's wrong?\Are you thirsty? response:	You can't go to the river!
context: You must have forgotten.\Hey, Yuuta!\Okay, see you later.\Yuuta? Hurry inside.\Okay.\What's wrong?\Are you thirsty?\You can't go to the river! response:	I have to go.
context: Hey, Yuuta!\Okay, see you later.\Yuuta? Hurry inside.\Okay.\What's wrong?\Are you thirsty?\You can't go to the river!\I have to go. response:	What are you
context: Okay, see you later.\Yuuta? Hurry inside.\Okay.\What's wrong?\Are you thirsty?\You can't go to the river!\I have to go.\What are you response:	Wait!
context: Yuuta? Hurry inside.\Okay.\What's wrong?\Are you thirsty?\You can't go to the river!\I have to go.\What are you\Wait! response:	Yuuta!
context: Okay.\What's wrong?\Are you thirsty?\You can't go to the river!\I have to go.\What are you\Wait!\Yuuta! response:	Yuuta, where are you?
context: What's wrong?\Are you thirsty?\You can't go to the river!\I have to go.\What are you\Wait!\Yuuta!\Yuuta, where are you? response:	Ginko!
context: Are you thirsty?\You can't go to the river!\I have to go.\What are you\Wait!\Yuuta!\Yuuta, where are you?\Ginko! response:	I heard there's been a lot of rain here lately.
context: You can't go to the river!\I have to go.\What are you\Wait!\Yuuta!\Yuuta, where are you?\Ginko!\I heard there's been a lot of rain here lately. response:	If it keeps raining, there may be a flash flood.
context: I have to go.\What are you\Wait!\Yuuta!\Yuuta, where are you?\Ginko!\I heard there's been a lot of rain here lately.\If it keeps raining, there may be a flash flood. response:	While it's not without risk,
context: What are you\Wait!\Yuuta!\Yuuta, where are you?\Ginko!\I heard there's been a lot of rain here lately.\If it keeps raining, there may be a flash flood.\While it's not without risk, response:	if we succeed, we may be able to extract the Uko from him.
context: Wait!\Yuuta!\Yuuta, where are you?\Ginko!\I heard there's been a lot of rain here lately.\If it keeps raining, there may be a flash flood.\While it's not without risk,\if we succeed, we may be able to extract the Uko from him. response:	If you'd like to try, I'll help you.
context: Yuuta!\Yuuta, where are you?\Ginko!\I heard there's been a lot of rain here lately.\If it keeps raining, there may be a flash flood.\While it's not without risk,\if we succeed, we may be able to extract the Uko from him.\If you'd like to try, I'll help you. response:	I'm sorry.
context: Yuuta, where are you?\Ginko!\I heard there's been a lot of rain here lately.\If it keeps raining, there may be a flash flood.\While it's not without risk,\if we succeed, we may be able to extract the Uko from him.\If you'd like to try, I'll help you.\I'm sorry. response:	You've got to be strong.
context: Ginko!\I heard there's been a lot of rain here lately.\If it keeps raining, there may be a flash flood.\While it's not without risk,\if we succeed, we may be able to extract the Uko from him.\If you'd like to try, I'll help you.\I'm sorry.\You've got to be strong. response:	But... if we manage to do this,
context: I heard there's been a lot of rain here lately.\If it keeps raining, there may be a flash flood.\While it's not without risk,\if we succeed, we may be able to extract the Uko from him.\If you'd like to try, I'll help you.\I'm sorry.\You've got to be strong.\But... if we manage to do this, response:	you'll finally get to be like the other children,
context: If it keeps raining, there may be a flash flood.\While it's not without risk,\if we succeed, we may be able to extract the Uko from him.\If you'd like to try, I'll help you.\I'm sorry.\You've got to be strong.\But... if we manage to do this,\you'll finally get to be like the other children, response:	and the other villagers will be able to accept you.
context: While it's not without risk,\if we succeed, we may be able to extract the Uko from him.\If you'd like to try, I'll help you.\I'm sorry.\You've got to be strong.\But... if we manage to do this,\you'll finally get to be like the other children,\and the other villagers will be able to accept you. response:	Please stay still!
context: if we succeed, we may be able to extract the Uko from him.\If you'd like to try, I'll help you.\I'm sorry.\You've got to be strong.\But... if we manage to do this,\you'll finally get to be like the other children,\and the other villagers will be able to accept you.\Please stay still! response:	It's not safe.
context: If you'd like to try, I'll help you.\I'm sorry.\You've got to be strong.\But... if we manage to do this,\you'll finally get to be like the other children,\and the other villagers will be able to accept you.\Please stay still!\It's not safe. response:	I have to...
context: I'm sorry.\You've got to be strong.\But... if we manage to do this,\you'll finally get to be like the other children,\and the other villagers will be able to accept you.\Please stay still!\It's not safe.\I have to... response:	I have to go now.
context: You've got to be strong.\But... if we manage to do this,\you'll finally get to be like the other children,\and the other villagers will be able to accept you.\Please stay still!\It's not safe.\I have to...\I have to go now. response:	What are you talking about?!
context: But... if we manage to do this,\you'll finally get to be like the other children,\and the other villagers will be able to accept you.\Please stay still!\It's not safe.\I have to...\I have to go now.\What are you talking about?! response:	Stop!
context: you'll finally get to be like the other children,\and the other villagers will be able to accept you.\Please stay still!\It's not safe.\I have to...\I have to go now.\What are you talking about?!\Stop! response:	Absolutely not!
context: and the other villagers will be able to accept you.\Please stay still!\It's not safe.\I have to...\I have to go now.\What are you talking about?!\Stop!\Absolutely not! response:	I'm not going to let you go!
context: Please stay still!\It's not safe.\I have to...\I have to go now.\What are you talking about?!\Stop!\Absolutely not!\I'm not going to let you go! response:	Yuuta.
context: It's not safe.\I have to...\I have to go now.\What are you talking about?!\Stop!\Absolutely not!\I'm not going to let you go!\Yuuta. response:	Wake up.
context: I have to...\I have to go now.\What are you talking about?!\Stop!\Absolutely not!\I'm not going to let you go!\Yuuta.\Wake up. response:	It's morning.
context: I have to go now.\What are you talking about?!\Stop!\Absolutely not!\I'm not going to let you go!\Yuuta.\Wake up.\It's morning. response:	Yuuta, please say something.
context: What are you talking about?!\Stop!\Absolutely not!\I'm not going to let you go!\Yuuta.\Wake up.\It's morning.\Yuuta, please say something. response:	Mommy...
context: Stop!\Absolutely not!\I'm not going to let you go!\Yuuta.\Wake up.\It's morning.\Yuuta, please say something.\Mommy... response:	Thank goodness!
context: Absolutely not!\I'm not going to let you go!\Yuuta.\Wake up.\It's morning.\Yuuta, please say something.\Mommy...\Thank goodness! response:	Mommy, what's wrong?
context: I'm not going to let you go!\Yuuta.\Wake up.\It's morning.\Yuuta, please say something.\Mommy...\Thank goodness!\Mommy, what's wrong? response:	Even though the rain was so scary before,
context: Yuuta.\Wake up.\It's morning.\Yuuta, please say something.\Mommy...\Thank goodness!\Mommy, what's wrong?\Even though the rain was so scary before, response:	it's not scary anymore.
context: Wake up.\It's morning.\Yuuta, please say something.\Mommy...\Thank goodness!\Mommy, what's wrong?\Even though the rain was so scary before,\it's not scary anymore. response:	Yes, you're right.
context: It's morning.\Yuuta, please say something.\Mommy...\Thank goodness!\Mommy, what's wrong?\Even though the rain was so scary before,\it's not scary anymore.\Yes, you're right. response:	Did the Uko leave?
context: Yuuta, please say something.\Mommy...\Thank goodness!\Mommy, what's wrong?\Even though the rain was so scary before,\it's not scary anymore.\Yes, you're right.\Did the Uko leave? response:	Hey, Mommy?
context: Mommy...\Thank goodness!\Mommy, what's wrong?\Even though the rain was so scary before,\it's not scary anymore.\Yes, you're right.\Did the Uko leave?\Hey, Mommy? response:	I'm thirsty.
context: Thank goodness!\Mommy, what's wrong?\Even though the rain was so scary before,\it's not scary anymore.\Yes, you're right.\Did the Uko leave?\Hey, Mommy?\I'm thirsty. response:	Okay.
context: Mommy, what's wrong?\Even though the rain was so scary before,\it's not scary anymore.\Yes, you're right.\Did the Uko leave?\Hey, Mommy?\I'm thirsty.\Okay. response:	The river's all muddy now,
context: Even though the rain was so scary before,\it's not scary anymore.\Yes, you're right.\Did the Uko leave?\Hey, Mommy?\I'm thirsty.\Okay.\The river's all muddy now, response:	so let's go to the well near the mountains.
context: it's not scary anymore.\Yes, you're right.\Did the Uko leave?\Hey, Mommy?\I'm thirsty.\Okay.\The river's all muddy now,\so let's go to the well near the mountains. response:	He's still thirsty.
context: Yes, you're right.\Did the Uko leave?\Hey, Mommy?\I'm thirsty.\Okay.\The river's all muddy now,\so let's go to the well near the mountains.\He's still thirsty. response:	Is the Uko still in him?
context: Did the Uko leave?\Hey, Mommy?\I'm thirsty.\Okay.\The river's all muddy now,\so let's go to the well near the mountains.\He's still thirsty.\Is the Uko still in him? response:	What is it?
context: Hey, Mommy?\I'm thirsty.\Okay.\The river's all muddy now,\so let's go to the well near the mountains.\He's still thirsty.\Is the Uko still in him?\What is it? response:	Something's wrong.
context: I'm thirsty.\Okay.\The river's all muddy now,\so let's go to the well near the mountains.\He's still thirsty.\Is the Uko still in him?\What is it?\Something's wrong. response:	He's burning up.
context: Okay.\The river's all muddy now,\so let's go to the well near the mountains.\He's still thirsty.\Is the Uko still in him?\What is it?\Something's wrong.\He's burning up. response:	Let's try to give him some water.
context: The river's all muddy now,\so let's go to the well near the mountains.\He's still thirsty.\Is the Uko still in him?\What is it?\Something's wrong.\He's burning up.\Let's try to give him some water. response:	Yuuta...
context: so let's go to the well near the mountains.\He's still thirsty.\Is the Uko still in him?\What is it?\Something's wrong.\He's burning up.\Let's try to give him some water.\Yuuta... response:	Yuuta!
context: He's still thirsty.\Is the Uko still in him?\What is it?\Something's wrong.\He's burning up.\Let's try to give him some water.\Yuuta...\Yuuta! response:	Yuu...
context: Is the Uko still in him?\What is it?\Something's wrong.\He's burning up.\Let's try to give him some water.\Yuuta...\Yuuta!\Yuu... response:	Where...
context: What is it?\Something's wrong.\He's burning up.\Let's try to give him some water.\Yuuta...\Yuuta!\Yuu...\Where... response:	Where did you go?
context: Something's wrong.\He's burning up.\Let's try to give him some water.\Yuuta...\Yuuta!\Yuu...\Where...\Where did you go? response:	Where are you?
context: He's burning up.\Let's try to give him some water.\Yuuta...\Yuuta!\Yuu...\Where...\Where did you go?\Where are you? response:	Hey, Mommy?
context: Let's try to give him some water.\Yuuta...\Yuuta!\Yuu...\Where...\Where did you go?\Where are you?\Hey, Mommy? response:	Where does the river come from?
context: Yuuta...\Yuuta!\Yuu...\Where...\Where did you go?\Where are you?\Hey, Mommy?\Where does the river come from? response:	It comes from a valley deep in the mountains.
context: Yuuta!\Yuu...\Where...\Where did you go?\Where are you?\Hey, Mommy?\Where does the river come from?\It comes from a valley deep in the mountains. response:	Where does that water come from?
context: Yuu...\Where...\Where did you go?\Where are you?\Hey, Mommy?\Where does the river come from?\It comes from a valley deep in the mountains.\Where does that water come from? response:	It comes down from the clouds in the sky.
context: Where...\Where did you go?\Where are you?\Hey, Mommy?\Where does the river come from?\It comes from a valley deep in the mountains.\Where does that water come from?\It comes down from the clouds in the sky. response:	Then where do the clouds in the sky come from?
context: Where did you go?\Where are you?\Hey, Mommy?\Where does the river come from?\It comes from a valley deep in the mountains.\Where does that water come from?\It comes down from the clouds in the sky.\Then where do the clouds in the sky come from? response:	They're born from the sea.
context: Where are you?\Hey, Mommy?\Where does the river come from?\It comes from a valley deep in the mountains.\Where does that water come from?\It comes down from the clouds in the sky.\Then where do the clouds in the sky come from?\They're born from the sea. response:	The sea?
context: Hey, Mommy?\Where does the river come from?\It comes from a valley deep in the mountains.\Where does that water come from?\It comes down from the clouds in the sky.\Then where do the clouds in the sky come from?\They're born from the sea.\The sea? response:	That's where this river goes.
context: Where does the river come from?\It comes from a valley deep in the mountains.\Where does that water come from?\It comes down from the clouds in the sky.\Then where do the clouds in the sky come from?\They're born from the sea.\The sea?\That's where this river goes. response:	It's a place with lots and lots of water.
context: It comes from a valley deep in the mountains.\Where does that water come from?\It comes down from the clouds in the sky.\Then where do the clouds in the sky come from?\They're born from the sea.\The sea?\That's where this river goes.\It's a place with lots and lots of water. response:	Why did he...
context: Where does that water come from?\It comes down from the clouds in the sky.\Then where do the clouds in the sky come from?\They're born from the sea.\The sea?\That's where this river goes.\It's a place with lots and lots of water.\Why did he... response:	He told me earlier that he'd never drowned before.
context: It comes down from the clouds in the sky.\Then where do the clouds in the sky come from?\They're born from the sea.\The sea?\That's where this river goes.\It's a place with lots and lots of water.\Why did he...\He told me earlier that he'd never drowned before. response:	It was you who drowned in the river, wasn't it?
context: Then where do the clouds in the sky come from?\They're born from the sea.\The sea?\That's where this river goes.\It's a place with lots and lots of water.\Why did he...\He told me earlier that he'd never drowned before.\It was you who drowned in the river, wasn't it? response:	Yes.
context: They're born from the sea.\The sea?\That's where this river goes.\It's a place with lots and lots of water.\Why did he...\He told me earlier that he'd never drowned before.\It was you who drowned in the river, wasn't it?\Yes. response:	It happened about ten months before he was born.
context: The sea?\That's where this river goes.\It's a place with lots and lots of water.\Why did he...\He told me earlier that he'd never drowned before.\It was you who drowned in the river, wasn't it?\Yes.\It happened about ten months before he was born. response:	The current is strong today, for some reason.
context: That's where this river goes.\It's a place with lots and lots of water.\Why did he...\He told me earlier that he'd never drowned before.\It was you who drowned in the river, wasn't it?\Yes.\It happened about ten months before he was born.\The current is strong today, for some reason. response:	I wonder if it rained a lot up in the mountains...
context: It's a place with lots and lots of water.\Why did he...\He told me earlier that he'd never drowned before.\It was you who drowned in the river, wasn't it?\Yes.\It happened about ten months before he was born.\The current is strong today, for some reason.\I wonder if it rained a lot up in the mountains... response:	When I came to, I was on the riverbank.
context: Why did he...\He told me earlier that he'd never drowned before.\It was you who drowned in the river, wasn't it?\Yes.\It happened about ten months before he was born.\The current is strong today, for some reason.\I wonder if it rained a lot up in the mountains...\When I came to, I was on the riverbank. response:	But my husband...
context: He told me earlier that he'd never drowned before.\It was you who drowned in the river, wasn't it?\Yes.\It happened about ten months before he was born.\The current is strong today, for some reason.\I wonder if it rained a lot up in the mountains...\When I came to, I was on the riverbank.\But my husband... response:	His body was found at the bottom of the river.
context: It was you who drowned in the river, wasn't it?\Yes.\It happened about ten months before he was born.\The current is strong today, for some reason.\I wonder if it rained a lot up in the mountains...\When I came to, I was on the riverbank.\But my husband...\His body was found at the bottom of the river. response:	Before long, I found out that I was with his child.
context: Yes.\It happened about ten months before he was born.\The current is strong today, for some reason.\I wonder if it rained a lot up in the mountains...\When I came to, I was on the riverbank.\But my husband...\His body was found at the bottom of the river.\Before long, I found out that I was with his child. response:	I felt so grateful that our child had been safe within me.
context: It happened about ten months before he was born.\The current is strong today, for some reason.\I wonder if it rained a lot up in the mountains...\When I came to, I was on the riverbank.\But my husband...\His body was found at the bottom of the river.\Before long, I found out that I was with his child.\I felt so grateful that our child had been safe within me. response:	Just one more push!
context: The current is strong today, for some reason.\I wonder if it rained a lot up in the mountains...\When I came to, I was on the riverbank.\But my husband...\His body was found at the bottom of the river.\Before long, I found out that I was with his child.\I felt so grateful that our child had been safe within me.\Just one more push! response:	Keep at it!
context: I wonder if it rained a lot up in the mountains...\When I came to, I was on the riverbank.\But my husband...\His body was found at the bottom of the river.\Before long, I found out that I was with his child.\I felt so grateful that our child had been safe within me.\Just one more push!\Keep at it! response:	Almost there!
context: When I came to, I was on the riverbank.\But my husband...\His body was found at the bottom of the river.\Before long, I found out that I was with his child.\I felt so grateful that our child had been safe within me.\Just one more push!\Keep at it!\Almost there! response:	Taki...
context: But my husband...\His body was found at the bottom of the river.\Before long, I found out that I was with his child.\I felt so grateful that our child had been safe within me.\Just one more push!\Keep at it!\Almost there!\Taki... response:	I'm so sorry...
context: His body was found at the bottom of the river.\Before long, I found out that I was with his child.\I felt so grateful that our child had been safe within me.\Just one more push!\Keep at it!\Almost there!\Taki...\I'm so sorry... response:	When he was born, his body was ice-cold.
context: Before long, I found out that I was with his child.\I felt so grateful that our child had been safe within me.\Just one more push!\Keep at it!\Almost there!\Taki...\I'm so sorry...\When he was born, his body was ice-cold. response:	But...
context: I felt so grateful that our child had been safe within me.\Just one more push!\Keep at it!\Almost there!\Taki...\I'm so sorry...\When he was born, his body was ice-cold.\But... response:	he was still alive.
context: Just one more push!\Keep at it!\Almost there!\Taki...\I'm so sorry...\When he was born, his body was ice-cold.\But...\he was still alive. response:	Even though everyone was afraid of him,
context: Keep at it!\Almost there!\Taki...\I'm so sorry...\When he was born, his body was ice-cold.\But...\he was still alive.\Even though everyone was afraid of him, response:	I was so happy.
context: Almost there!\Taki...\I'm so sorry...\When he was born, his body was ice-cold.\But...\he was still alive.\Even though everyone was afraid of him,\I was so happy. response:	And even though he may not have been normal,
context: Taki...\I'm so sorry...\When he was born, his body was ice-cold.\But...\he was still alive.\Even though everyone was afraid of him,\I was so happy.\And even though he may not have been normal, response:	he still managed to live this long.
context: I'm so sorry...\When he was born, his body was ice-cold.\But...\he was still alive.\Even though everyone was afraid of him,\I was so happy.\And even though he may not have been normal,\he still managed to live this long. response:	So why? Why did this have to happen now?
context: When he was born, his body was ice-cold.\But...\he was still alive.\Even though everyone was afraid of him,\I was so happy.\And even though he may not have been normal,\he still managed to live this long.\So why? Why did this have to happen now? response:	Some say...
context: But...\he was still alive.\Even though everyone was afraid of him,\I was so happy.\And even though he may not have been normal,\he still managed to live this long.\So why? Why did this have to happen now?\Some say... response:	an unborn child, floating within its mother's womb, is closer to a creature of water than to a human.
context: he was still alive.\Even though everyone was afraid of him,\I was so happy.\And even though he may not have been normal,\he still managed to live this long.\So why? Why did this have to happen now?\Some say...\an unborn child, floating within its mother's womb, is closer to a creature of water than to a human. response:	Back then, that may have been why your son became the Uko's host.
context: Even though everyone was afraid of him,\I was so happy.\And even though he may not have been normal,\he still managed to live this long.\So why? Why did this have to happen now?\Some say...\an unborn child, floating within its mother's womb, is closer to a creature of water than to a human.\Back then, that may have been why your son became the Uko's host. response:	Then, as he continued growing within your womb,
context: I was so happy.\And even though he may not have been normal,\he still managed to live this long.\So why? Why did this have to happen now?\Some say...\an unborn child, floating within its mother's womb, is closer to a creature of water than to a human.\Back then, that may have been why your son became the Uko's host.\Then, as he continued growing within your womb, response:	they became so intertwined that they became inseparable.
context: And even though he may not have been normal,\he still managed to live this long.\So why? Why did this have to happen now?\Some say...\an unborn child, floating within its mother's womb, is closer to a creature of water than to a human.\Back then, that may have been why your son became the Uko's host.\Then, as he continued growing within your womb,\they became so intertwined that they became inseparable. response:	This is... This is all my fault, for becoming possessed by such a creature.
context: he still managed to live this long.\So why? Why did this have to happen now?\Some say...\an unborn child, floating within its mother's womb, is closer to a creature of water than to a human.\Back then, that may have been why your son became the Uko's host.\Then, as he continued growing within your womb,\they became so intertwined that they became inseparable.\This is... This is all my fault, for becoming possessed by such a creature. response:	The day you almost drowned,
context: So why? Why did this have to happen now?\Some say...\an unborn child, floating within its mother's womb, is closer to a creature of water than to a human.\Back then, that may have been why your son became the Uko's host.\Then, as he continued growing within your womb,\they became so intertwined that they became inseparable.\This is... This is all my fault, for becoming possessed by such a creature.\The day you almost drowned, response:	the only reason your son survived was that the Uko happened to save you.
context: Some say...\an unborn child, floating within its mother's womb, is closer to a creature of water than to a human.\Back then, that may have been why your son became the Uko's host.\Then, as he continued growing within your womb,\they became so intertwined that they became inseparable.\This is... This is all my fault, for becoming possessed by such a creature.\The day you almost drowned,\the only reason your son survived was that the Uko happened to save you. response:	Otherwise, both of you would have died.
context: an unborn child, floating within its mother's womb, is closer to a creature of water than to a human.\Back then, that may have been why your son became the Uko's host.\Then, as he continued growing within your womb,\they became so intertwined that they became inseparable.\This is... This is all my fault, for becoming possessed by such a creature.\The day you almost drowned,\the only reason your son survived was that the Uko happened to save you.\Otherwise, both of you would have died. response:	But he lived.
context: Back then, that may have been why your son became the Uko's host.\Then, as he continued growing within your womb,\they became so intertwined that they became inseparable.\This is... This is all my fault, for becoming possessed by such a creature.\The day you almost drowned,\the only reason your son survived was that the Uko happened to save you.\Otherwise, both of you would have died.\But he lived. response:	Right here, by your side...
context: Then, as he continued growing within your womb,\they became so intertwined that they became inseparable.\This is... This is all my fault, for becoming possessed by such a creature.\The day you almost drowned,\the only reason your son survived was that the Uko happened to save you.\Otherwise, both of you would have died.\But he lived.\Right here, by your side... response:	he lived.
context: they became so intertwined that they became inseparable.\This is... This is all my fault, for becoming possessed by such a creature.\The day you almost drowned,\the only reason your son survived was that the Uko happened to save you.\Otherwise, both of you would have died.\But he lived.\Right here, by your side...\he lived. response:	So the sea, the river, the rain, and the clouds are all the same thing?
context: This is... This is all my fault, for becoming possessed by such a creature.\The day you almost drowned,\the only reason your son survived was that the Uko happened to save you.\Otherwise, both of you would have died.\But he lived.\Right here, by your side...\he lived.\So the sea, the river, the rain, and the clouds are all the same thing? response:	That's right.
context: The day you almost drowned,\the only reason your son survived was that the Uko happened to save you.\Otherwise, both of you would have died.\But he lived.\Right here, by your side...\he lived.\So the sea, the river, the rain, and the clouds are all the same thing?\That's right. response:	They may look different,
context: the only reason your son survived was that the Uko happened to save you.\Otherwise, both of you would have died.\But he lived.\Right here, by your side...\he lived.\So the sea, the river, the rain, and the clouds are all the same thing?\That's right.\They may look different, response:	but they're all actually the same.
context: Otherwise, both of you would have died.\But he lived.\Right here, by your side...\he lived.\So the sea, the river, the rain, and the clouds are all the same thing?\That's right.\They may look different,\but they're all actually the same. response:	Yuuta, where are you now?
context: But he lived.\Right here, by your side...\he lived.\So the sea, the river, the rain, and the clouds are all the same thing?\That's right.\They may look different,\but they're all actually the same.\Yuuta, where are you now? response:	Are you in the river?
context: Right here, by your side...\he lived.\So the sea, the river, the rain, and the clouds are all the same thing?\That's right.\They may look different,\but they're all actually the same.\Yuuta, where are you now?\Are you in the river? response:	The sea?
context: he lived.\So the sea, the river, the rain, and the clouds are all the same thing?\That's right.\They may look different,\but they're all actually the same.\Yuuta, where are you now?\Are you in the river?\The sea? response:	The rain?
context: So the sea, the river, the rain, and the clouds are all the same thing?\That's right.\They may look different,\but they're all actually the same.\Yuuta, where are you now?\Are you in the river?\The sea?\The rain? response:	What's wrong?
context: That's right.\They may look different,\but they're all actually the same.\Yuuta, where are you now?\Are you in the river?\The sea?\The rain?\What's wrong? response:	It's not scary anymore.
context: They may look different,\but they're all actually the same.\Yuuta, where are you now?\Are you in the river?\The sea?\The rain?\What's wrong?\It's not scary anymore. response:	You're right.
context: but they're all actually the same.\Yuuta, where are you now?\Are you in the river?\The sea?\The rain?\What's wrong?\It's not scary anymore.\You're right. response:	You're everywhere.
context: Yuuta, where are you now?\Are you in the river?\The sea?\The rain?\What's wrong?\It's not scary anymore.\You're right.\You're everywhere. response:	Azure Waters
context: Are you in the river?\The sea?\The rain?\What's wrong?\It's not scary anymore.\You're right.\You're everywhere.\Azure Waters response:	Lightning's End
context: The sea?\The rain?\What's wrong?\It's not scary anymore.\You're right.\You're everywhere.\Azure Waters\Lightning's End response:	Lightning's End.
