context: The cumulative results for the practical exam are out! response:	I can't believe he got first place with no rescue points.
context: She looks good in a uniform...\Of course you did!\Your punch was amazing!\Break! Break! Break! Break! Bre\Oh, well, um, it was thanks to you going to speak with him directly that I, uh...\Huh? How did you know about that?\Oh, uh, that's because...\I can't believe we have two students from our school matriculating into U.A.! response:	Especially you, Midoriya.
context: Of course you did!\Your punch was amazing!\Break! Break! Break! Break! Bre\Oh, well, um, it was thanks to you going to speak with him directly that I, uh...\Huh? How did you know about that?\Oh, uh, that's because...\I can't believe we have two students from our school matriculating into U.A.!\Especially you, Midoriya. response:	It's a miracle of miracles!
context: Your punch was amazing!\Break! Break! Break! Break! Bre\Oh, well, um, it was thanks to you going to speak with him directly that I, uh...\Huh? How did you know about that?\Oh, uh, that's because...\I can't believe we have two students from our school matriculating into U.A.!\Especially you, Midoriya.\It's a miracle of miracles! response:	What dirty tricks did you use to get in, huh?!
context: Break! Break! Break! Break! Bre\Oh, well, um, it was thanks to you going to speak with him directly that I, uh...\Huh? How did you know about that?\Oh, uh, that's because...\I can't believe we have two students from our school matriculating into U.A.!\Especially you, Midoriya.\It's a miracle of miracles!\What dirty tricks did you use to get in, huh?! response:	The first student from his school to go to U.A.
context: Oh, well, um, it was thanks to you going to speak with him directly that I, uh...\Huh? How did you know about that?\Oh, uh, that's because...\I can't believe we have two students from our school matriculating into U.A.!\Especially you, Midoriya.\It's a miracle of miracles!\What dirty tricks did you use to get in, huh?!\The first student from his school to go to U.A. response:	My future plan has already been torn to pieces.
context: Huh? How did you know about that?\Oh, uh, that's because...\I can't believe we have two students from our school matriculating into U.A.!\Especially you, Midoriya.\It's a miracle of miracles!\What dirty tricks did you use to get in, huh?!\The first student from his school to go to U.A.\My future plan has already been torn to pieces. response:	I told you to go somewhere else!
context: Oh, uh, that's because...\I can't believe we have two students from our school matriculating into U.A.!\Especially you, Midoriya.\It's a miracle of miracles!\What dirty tricks did you use to get in, huh?!\The first student from his school to go to U.A.\My future plan has already been torn to pieces.\I told you to go somewhere else! response:	Kacchan.
context: I can't believe we have two students from our school matriculating into U.A.!\Especially you, Midoriya.\It's a miracle of miracles!\What dirty tricks did you use to get in, huh?!\The first student from his school to go to U.A.\My future plan has already been torn to pieces.\I told you to go somewhere else!\Kacchan. response:	Someone told me...
context: Especially you, Midoriya.\It's a miracle of miracles!\What dirty tricks did you use to get in, huh?!\The first student from his school to go to U.A.\My future plan has already been torn to pieces.\I told you to go somewhere else!\Kacchan.\Someone told me... response:	You can become a hero...
context: It's a miracle of miracles!\What dirty tricks did you use to get in, huh?!\The first student from his school to go to U.A.\My future plan has already been torn to pieces.\I told you to go somewhere else!\Kacchan.\Someone told me...\You can become a hero... response:	That it was because of my own effort...
context: What dirty tricks did you use to get in, huh?!\The first student from his school to go to U.A.\My future plan has already been torn to pieces.\I told you to go somewhere else!\Kacchan.\Someone told me...\You can become a hero...\That it was because of my own effort... response:	Th-That's why...
context: The first student from his school to go to U.A.\My future plan has already been torn to pieces.\I told you to go somewhere else!\Kacchan.\Someone told me...\You can become a hero...\That it was because of my own effort...\Th-That's why... response:	I'm going...!
context: My future plan has already been torn to pieces.\I told you to go somewhere else!\Kacchan.\Someone told me...\You can become a hero...\That it was because of my own effort...\Th-That's why...\I'm going...! response:	How dare he defy me?
context: I told you to go somewhere else!\Kacchan.\Someone told me...\You can become a hero...\That it was because of my own effort...\Th-That's why...\I'm going...!\How dare he defy me? response:	Something's definitely up.
context: Kacchan.\Someone told me...\You can become a hero...\That it was because of my own effort...\Th-That's why...\I'm going...!\How dare he defy me?\Something's definitely up. response:	I wonder if today's just the entrance ceremony and orientation?
context: Someone told me...\You can become a hero...\That it was because of my own effort...\Th-That's why...\I'm going...!\How dare he defy me?\Something's definitely up.\I wonder if today's just the entrance ceremony and orientation? response:	I wonder what our teacher's like?
context: You can become a hero...\That it was because of my own effort...\Th-That's why...\I'm going...!\How dare he defy me?\Something's definitely up.\I wonder if today's just the entrance ceremony and orientation?\I wonder what our teacher's like? response:	S-So close!
context: That it was because of my own effort...\Th-That's why...\I'm going...!\How dare he defy me?\Something's definitely up.\I wonder if today's just the entrance ceremony and orientation?\I wonder what our teacher's like?\S-So close! response:	Aren't you nervous?
context: Th-That's why...\I'm going...!\How dare he defy me?\Something's definitely up.\I wonder if today's just the entrance ceremony and orientation?\I wonder what our teacher's like?\S-So close!\Aren't you nervous? response:	Go somewhere else if you want to play at being friends.
context: I'm going...!\How dare he defy me?\Something's definitely up.\I wonder if today's just the entrance ceremony and orientation?\I wonder what our teacher's like?\S-So close!\Aren't you nervous?\Go somewhere else if you want to play at being friends. response:	This is the hero course.
context: How dare he defy me?\Something's definitely up.\I wonder if today's just the entrance ceremony and orientation?\I wonder what our teacher's like?\S-So close!\Aren't you nervous?\Go somewhere else if you want to play at being friends.\This is the hero course. response:	S-Something's here?!
context: Something's definitely up.\I wonder if today's just the entrance ceremony and orientation?\I wonder what our teacher's like?\S-So close!\Aren't you nervous?\Go somewhere else if you want to play at being friends.\This is the hero course.\S-Something's here?! response:	S-Something's here?!
context: I wonder if today's just the entrance ceremony and orientation?\I wonder what our teacher's like?\S-So close!\Aren't you nervous?\Go somewhere else if you want to play at being friends.\This is the hero course.\S-Something's here?!\S-Something's here?! response:	Okay, it took eight seconds before you were quiet.
context: I wonder what our teacher's like?\S-So close!\Aren't you nervous?\Go somewhere else if you want to play at being friends.\This is the hero course.\S-Something's here?!\S-Something's here?!\Okay, it took eight seconds before you were quiet. response:	Time is limited.
context: S-So close!\Aren't you nervous?\Go somewhere else if you want to play at being friends.\This is the hero course.\S-Something's here?!\S-Something's here?!\Okay, it took eight seconds before you were quiet.\Time is limited. response:	You kids are not rational enough.
context: Aren't you nervous?\Go somewhere else if you want to play at being friends.\This is the hero course.\S-Something's here?!\S-Something's here?!\Okay, it took eight seconds before you were quiet.\Time is limited.\You kids are not rational enough. response:	A teacher?
context: Go somewhere else if you want to play at being friends.\This is the hero course.\S-Something's here?!\S-Something's here?!\Okay, it took eight seconds before you were quiet.\Time is limited.\You kids are not rational enough.\A teacher? response:	Which means, that person's a pro hero, too?
context: This is the hero course.\S-Something's here?!\S-Something's here?!\Okay, it took eight seconds before you were quiet.\Time is limited.\You kids are not rational enough.\A teacher?\Which means, that person's a pro hero, too? response:	But I've never seen a hero who looked that worn out before.
context: S-Something's here?!\S-Something's here?!\Okay, it took eight seconds before you were quiet.\Time is limited.\You kids are not rational enough.\A teacher?\Which means, that person's a pro hero, too?\But I've never seen a hero who looked that worn out before. response:	I'm your homeroom teacher, Aizawa Shouta.
context: S-Something's here?!\Okay, it took eight seconds before you were quiet.\Time is limited.\You kids are not rational enough.\A teacher?\Which means, that person's a pro hero, too?\But I've never seen a hero who looked that worn out before.\I'm your homeroom teacher, Aizawa Shouta. response:	Nice to meet you.
context: Okay, it took eight seconds before you were quiet.\Time is limited.\You kids are not rational enough.\A teacher?\Which means, that person's a pro hero, too?\But I've never seen a hero who looked that worn out before.\I'm your homeroom teacher, Aizawa Shouta.\Nice to meet you. response:	Homeroom teacher?!
context: Time is limited.\You kids are not rational enough.\A teacher?\Which means, that person's a pro hero, too?\But I've never seen a hero who looked that worn out before.\I'm your homeroom teacher, Aizawa Shouta.\Nice to meet you.\Homeroom teacher?! response:	It's kind of sudden, but put this on and go out onto the field.
context: You kids are not rational enough.\A teacher?\Which means, that person's a pro hero, too?\But I've never seen a hero who looked that worn out before.\I'm your homeroom teacher, Aizawa Shouta.\Nice to meet you.\Homeroom teacher?!\It's kind of sudden, but put this on and go out onto the field. response:	The U.A. system does not follow the beaten path.
context: A teacher?\Which means, that person's a pro hero, too?\But I've never seen a hero who looked that worn out before.\I'm your homeroom teacher, Aizawa Shouta.\Nice to meet you.\Homeroom teacher?!\It's kind of sudden, but put this on and go out onto the field.\The U.A. system does not follow the beaten path. response:	Depending on the homeroom teacher, even the first day can be...
context: Which means, that person's a pro hero, too?\But I've never seen a hero who looked that worn out before.\I'm your homeroom teacher, Aizawa Shouta.\Nice to meet you.\Homeroom teacher?!\It's kind of sudden, but put this on and go out onto the field.\The U.A. system does not follow the beaten path.\Depending on the homeroom teacher, even the first day can be... response:	A Quirk assessment test?!
context: But I've never seen a hero who looked that worn out before.\I'm your homeroom teacher, Aizawa Shouta.\Nice to meet you.\Homeroom teacher?!\It's kind of sudden, but put this on and go out onto the field.\The U.A. system does not follow the beaten path.\Depending on the homeroom teacher, even the first day can be...\A Quirk assessment test?! response:	What about the entrance ceremony?
context: I'm your homeroom teacher, Aizawa Shouta.\Nice to meet you.\Homeroom teacher?!\It's kind of sudden, but put this on and go out onto the field.\The U.A. system does not follow the beaten path.\Depending on the homeroom teacher, even the first day can be...\A Quirk assessment test?!\What about the entrance ceremony? response:	The orientation?
context: Nice to meet you.\Homeroom teacher?!\It's kind of sudden, but put this on and go out onto the field.\The U.A. system does not follow the beaten path.\Depending on the homeroom teacher, even the first day can be...\A Quirk assessment test?!\What about the entrance ceremony?\The orientation? response:	If you're going to become a hero, you don't have time for such leisurely events.
context: Homeroom teacher?!\It's kind of sudden, but put this on and go out onto the field.\The U.A. system does not follow the beaten path.\Depending on the homeroom teacher, even the first day can be...\A Quirk assessment test?!\What about the entrance ceremony?\The orientation?\If you're going to become a hero, you don't have time for such leisurely events. response:	That's also how the teachers run their classes.
context: It's kind of sudden, but put this on and go out onto the field.\The U.A. system does not follow the beaten path.\Depending on the homeroom teacher, even the first day can be...\A Quirk assessment test?!\What about the entrance ceremony?\The orientation?\If you're going to become a hero, you don't have time for such leisurely events.\That's also how the teachers run their classes. response:	You kids have been doing these since junior high, too, right?
context: The U.A. system does not follow the beaten path.\Depending on the homeroom teacher, even the first day can be...\A Quirk assessment test?!\What about the entrance ceremony?\The orientation?\If you're going to become a hero, you don't have time for such leisurely events.\That's also how the teachers run their classes.\You kids have been doing these since junior high, too, right? response:	Physical fitness tests where you weren't allowed to use your Quirks.
context: Depending on the homeroom teacher, even the first day can be...\A Quirk assessment test?!\What about the entrance ceremony?\The orientation?\If you're going to become a hero, you don't have time for such leisurely events.\That's also how the teachers run their classes.\You kids have been doing these since junior high, too, right?\Physical fitness tests where you weren't allowed to use your Quirks. response:	The country still uses averages taken from results from students not using their Quirks.
context: A Quirk assessment test?!\What about the entrance ceremony?\The orientation?\If you're going to become a hero, you don't have time for such leisurely events.\That's also how the teachers run their classes.\You kids have been doing these since junior high, too, right?\Physical fitness tests where you weren't allowed to use your Quirks.\The country still uses averages taken from results from students not using their Quirks. response:	It's not rational.
context: What about the entrance ceremony?\The orientation?\If you're going to become a hero, you don't have time for such leisurely events.\That's also how the teachers run their classes.\You kids have been doing these since junior high, too, right?\Physical fitness tests where you weren't allowed to use your Quirks.\The country still uses averages taken from results from students not using their Quirks.\It's not rational. response:	Well, the Ministry of Education is procrastinating.
context: The orientation?\If you're going to become a hero, you don't have time for such leisurely events.\That's also how the teachers run their classes.\You kids have been doing these since junior high, too, right?\Physical fitness tests where you weren't allowed to use your Quirks.\The country still uses averages taken from results from students not using their Quirks.\It's not rational.\Well, the Ministry of Education is procrastinating. response:	Bakugo, you finished at the top of the practical exam, right?
context: If you're going to become a hero, you don't have time for such leisurely events.\That's also how the teachers run their classes.\You kids have been doing these since junior high, too, right?\Physical fitness tests where you weren't allowed to use your Quirks.\The country still uses averages taken from results from students not using their Quirks.\It's not rational.\Well, the Ministry of Education is procrastinating.\Bakugo, you finished at the top of the practical exam, right? response:	In junior high, what was your best result for the softball throw?
context: That's also how the teachers run their classes.\You kids have been doing these since junior high, too, right?\Physical fitness tests where you weren't allowed to use your Quirks.\The country still uses averages taken from results from students not using their Quirks.\It's not rational.\Well, the Ministry of Education is procrastinating.\Bakugo, you finished at the top of the practical exam, right?\In junior high, what was your best result for the softball throw? response:	67 meters.
context: You kids have been doing these since junior high, too, right?\Physical fitness tests where you weren't allowed to use your Quirks.\The country still uses averages taken from results from students not using their Quirks.\It's not rational.\Well, the Ministry of Education is procrastinating.\Bakugo, you finished at the top of the practical exam, right?\In junior high, what was your best result for the softball throw?\67 meters. response:	Then, try doing it with your Quirk.
context: Physical fitness tests where you weren't allowed to use your Quirks.\The country still uses averages taken from results from students not using their Quirks.\It's not rational.\Well, the Ministry of Education is procrastinating.\Bakugo, you finished at the top of the practical exam, right?\In junior high, what was your best result for the softball throw?\67 meters.\Then, try doing it with your Quirk. response:	You can do whatever you want as long as you stay in the circle.
context: The country still uses averages taken from results from students not using their Quirks.\It's not rational.\Well, the Ministry of Education is procrastinating.\Bakugo, you finished at the top of the practical exam, right?\In junior high, what was your best result for the softball throw?\67 meters.\Then, try doing it with your Quirk.\You can do whatever you want as long as you stay in the circle. response:	Hurry up.
context: It's not rational.\Well, the Ministry of Education is procrastinating.\Bakugo, you finished at the top of the practical exam, right?\In junior high, what was your best result for the softball throw?\67 meters.\Then, try doing it with your Quirk.\You can do whatever you want as long as you stay in the circle.\Hurry up. response:	Give it all you have got.
context: Well, the Ministry of Education is procrastinating.\Bakugo, you finished at the top of the practical exam, right?\In junior high, what was your best result for the softball throw?\67 meters.\Then, try doing it with your Quirk.\You can do whatever you want as long as you stay in the circle.\Hurry up.\Give it all you have got. response:	Then, well...
context: Bakugo, you finished at the top of the practical exam, right?\In junior high, what was your best result for the softball throw?\67 meters.\Then, try doing it with your Quirk.\You can do whatever you want as long as you stay in the circle.\Hurry up.\Give it all you have got.\Then, well... response:	I'll add a blast to the pitch.
context: In junior high, what was your best result for the softball throw?\67 meters.\Then, try doing it with your Quirk.\You can do whatever you want as long as you stay in the circle.\Hurry up.\Give it all you have got.\Then, well...\I'll add a blast to the pitch. response:	Die...!
context: 67 meters.\Then, try doing it with your Quirk.\You can do whatever you want as long as you stay in the circle.\Hurry up.\Give it all you have got.\Then, well...\I'll add a blast to the pitch.\Die...! response:	Die?
context: Then, try doing it with your Quirk.\You can do whatever you want as long as you stay in the circle.\Hurry up.\Give it all you have got.\Then, well...\I'll add a blast to the pitch.\Die...!\Die? response:	Know your own maximum first.
context: You can do whatever you want as long as you stay in the circle.\Hurry up.\Give it all you have got.\Then, well...\I'll add a blast to the pitch.\Die...!\Die?\Know your own maximum first. response:	That is the most rational way to form the foundation of a hero.
context: Hurry up.\Give it all you have got.\Then, well...\I'll add a blast to the pitch.\Die...!\Die?\Know your own maximum first.\That is the most rational way to form the foundation of a hero. response:	705 meters, for real?
context: Give it all you have got.\Then, well...\I'll add a blast to the pitch.\Die...!\Die?\Know your own maximum first.\That is the most rational way to form the foundation of a hero.\705 meters, for real? response:	What's this? It looks fun!
context: Then, well...\I'll add a blast to the pitch.\Die...!\Die?\Know your own maximum first.\That is the most rational way to form the foundation of a hero.\705 meters, for real?\What's this? It looks fun! response:	We can use our Quirks as much as we want!
context: I'll add a blast to the pitch.\Die...!\Die?\Know your own maximum first.\That is the most rational way to form the foundation of a hero.\705 meters, for real?\What's this? It looks fun!\We can use our Quirks as much as we want! response:	As expected from the hero course!
context: Die...!\Die?\Know your own maximum first.\That is the most rational way to form the foundation of a hero.\705 meters, for real?\What's this? It looks fun!\We can use our Quirks as much as we want!\As expected from the hero course! response:	It looks fun, huh?
context: Die?\Know your own maximum first.\That is the most rational way to form the foundation of a hero.\705 meters, for real?\What's this? It looks fun!\We can use our Quirks as much as we want!\As expected from the hero course!\It looks fun, huh? response:	You have three years to become a hero.
context: Know your own maximum first.\That is the most rational way to form the foundation of a hero.\705 meters, for real?\What's this? It looks fun!\We can use our Quirks as much as we want!\As expected from the hero course!\It looks fun, huh?\You have three years to become a hero. response:	Will you have an attitude like that the whole time?
context: That is the most rational way to form the foundation of a hero.\705 meters, for real?\What's this? It looks fun!\We can use our Quirks as much as we want!\As expected from the hero course!\It looks fun, huh?\You have three years to become a hero.\Will you have an attitude like that the whole time? response:	All right.
context: 705 meters, for real?\What's this? It looks fun!\We can use our Quirks as much as we want!\As expected from the hero course!\It looks fun, huh?\You have three years to become a hero.\Will you have an attitude like that the whole time?\All right. response:	Whoever comes in last place in all eight tests will be judged to have no potential...
context: What's this? It looks fun!\We can use our Quirks as much as we want!\As expected from the hero course!\It looks fun, huh?\You have three years to become a hero.\Will you have an attitude like that the whole time?\All right.\Whoever comes in last place in all eight tests will be judged to have no potential... response:	Huh?!
context: We can use our Quirks as much as we want!\As expected from the hero course!\It looks fun, huh?\You have three years to become a hero.\Will you have an attitude like that the whole time?\All right.\Whoever comes in last place in all eight tests will be judged to have no potential...\Huh?! response:	Aizawa, huh?
context: As expected from the hero course!\It looks fun, huh?\You have three years to become a hero.\Will you have an attitude like that the whole time?\All right.\Whoever comes in last place in all eight tests will be judged to have no potential...\Huh?!\Aizawa, huh? response:	He'll be facing a lot of suffering from the start.
context: It looks fun, huh?\You have three years to become a hero.\Will you have an attitude like that the whole time?\All right.\Whoever comes in last place in all eight tests will be judged to have no potential...\Huh?!\Aizawa, huh?\He'll be facing a lot of suffering from the start. response:	Punished with expulsion?!
context: You have three years to become a hero.\Will you have an attitude like that the whole time?\All right.\Whoever comes in last place in all eight tests will be judged to have no potential...\Huh?!\Aizawa, huh?\He'll be facing a lot of suffering from the start.\Punished with expulsion?! response:	Oh no... This is bad...
context: Will you have an attitude like that the whole time?\All right.\Whoever comes in last place in all eight tests will be judged to have no potential...\Huh?!\Aizawa, huh?\He'll be facing a lot of suffering from the start.\Punished with expulsion?!\Oh no... This is bad... response:	In all eight tests?
context: All right.\Whoever comes in last place in all eight tests will be judged to have no potential...\Huh?!\Aizawa, huh?\He'll be facing a lot of suffering from the start.\Punished with expulsion?!\Oh no... This is bad...\In all eight tests? response:	I can only use One For All at either a hundred or zero percent.
context: Whoever comes in last place in all eight tests will be judged to have no potential...\Huh?!\Aizawa, huh?\He'll be facing a lot of suffering from the start.\Punished with expulsion?!\Oh no... This is bad...\In all eight tests?\I can only use One For All at either a hundred or zero percent. response:	I can't control it yet...
context: Huh?!\Aizawa, huh?\He'll be facing a lot of suffering from the start.\Punished with expulsion?!\Oh no... This is bad...\In all eight tests?\I can only use One For All at either a hundred or zero percent.\I can't control it yet... response:	We're free to do what we want about the circumstances of our students.
context: Aizawa, huh?\He'll be facing a lot of suffering from the start.\Punished with expulsion?!\Oh no... This is bad...\In all eight tests?\I can only use One For All at either a hundred or zero percent.\I can't control it yet...\We're free to do what we want about the circumstances of our students. response:	A huge test on the first day of school?
context: He'll be facing a lot of suffering from the start.\Punished with expulsion?!\Oh no... This is bad...\In all eight tests?\I can only use One For All at either a hundred or zero percent.\I can't control it yet...\We're free to do what we want about the circumstances of our students.\A huge test on the first day of school? response:	What am I going to do?!
context: Punished with expulsion?!\Oh no... This is bad...\In all eight tests?\I can only use One For All at either a hundred or zero percent.\I can't control it yet...\We're free to do what we want about the circumstances of our students.\A huge test on the first day of school?\What am I going to do?! response:	Last place will be expelled?!
context: Oh no... This is bad...\In all eight tests?\I can only use One For All at either a hundred or zero percent.\I can't control it yet...\We're free to do what we want about the circumstances of our students.\A huge test on the first day of school?\What am I going to do?!\Last place will be expelled?! response:	But it's the first day of school!
context: In all eight tests?\I can only use One For All at either a hundred or zero percent.\I can't control it yet...\We're free to do what we want about the circumstances of our students.\A huge test on the first day of school?\What am I going to do?!\Last place will be expelled?!\But it's the first day of school! response:	No, even if it wasn't the first day of school, this is too unfair!
context: I can only use One For All at either a hundred or zero percent.\I can't control it yet...\We're free to do what we want about the circumstances of our students.\A huge test on the first day of school?\What am I going to do?!\Last place will be expelled?!\But it's the first day of school!\No, even if it wasn't the first day of school, this is too unfair! response:	Natural disasters, big accidents, and selfish villains.
context: I can't control it yet...\We're free to do what we want about the circumstances of our students.\A huge test on the first day of school?\What am I going to do?!\Last place will be expelled?!\But it's the first day of school!\No, even if it wasn't the first day of school, this is too unfair!\Natural disasters, big accidents, and selfish villains. response:	Calamities whose time or place can't be predicted.
context: We're free to do what we want about the circumstances of our students.\A huge test on the first day of school?\What am I going to do?!\Last place will be expelled?!\But it's the first day of school!\No, even if it wasn't the first day of school, this is too unfair!\Natural disasters, big accidents, and selfish villains.\Calamities whose time or place can't be predicted. response:	Japan is covered with unfairness.
context: A huge test on the first day of school?\What am I going to do?!\Last place will be expelled?!\But it's the first day of school!\No, even if it wasn't the first day of school, this is too unfair!\Natural disasters, big accidents, and selfish villains.\Calamities whose time or place can't be predicted.\Japan is covered with unfairness. response:	Heroes are the ones who reverse those situations.
context: What am I going to do?!\Last place will be expelled?!\But it's the first day of school!\No, even if it wasn't the first day of school, this is too unfair!\Natural disasters, big accidents, and selfish villains.\Calamities whose time or place can't be predicted.\Japan is covered with unfairness.\Heroes are the ones who reverse those situations. response:	If you wanted to go talk with your friends at Mickey D's after school, too bad.
context: Last place will be expelled?!\But it's the first day of school!\No, even if it wasn't the first day of school, this is too unfair!\Natural disasters, big accidents, and selfish villains.\Calamities whose time or place can't be predicted.\Japan is covered with unfairness.\Heroes are the ones who reverse those situations.\If you wanted to go talk with your friends at Mickey D's after school, too bad. response:	For the next three years, U.A. will do all it can to give you one hardship after another.
context: But it's the first day of school!\No, even if it wasn't the first day of school, this is too unfair!\Natural disasters, big accidents, and selfish villains.\Calamities whose time or place can't be predicted.\Japan is covered with unfairness.\Heroes are the ones who reverse those situations.\If you wanted to go talk with your friends at Mickey D's after school, too bad.\For the next three years, U.A. will do all it can to give you one hardship after another. response:	Go beyond. Plus Ultra.
context: No, even if it wasn't the first day of school, this is too unfair!\Natural disasters, big accidents, and selfish villains.\Calamities whose time or place can't be predicted.\Japan is covered with unfairness.\Heroes are the ones who reverse those situations.\If you wanted to go talk with your friends at Mickey D's after school, too bad.\For the next three years, U.A. will do all it can to give you one hardship after another.\Go beyond. Plus Ultra. response:	Overcome it with all you have got.
context: Natural disasters, big accidents, and selfish villains.\Calamities whose time or place can't be predicted.\Japan is covered with unfairness.\Heroes are the ones who reverse those situations.\If you wanted to go talk with your friends at Mickey D's after school, too bad.\For the next three years, U.A. will do all it can to give you one hardship after another.\Go beyond. Plus Ultra.\Overcome it with all you have got. response:	This is too serious to be hazing.
context: Calamities whose time or place can't be predicted.\Japan is covered with unfairness.\Heroes are the ones who reverse those situations.\If you wanted to go talk with your friends at Mickey D's after school, too bad.\For the next three years, U.A. will do all it can to give you one hardship after another.\Go beyond. Plus Ultra.\Overcome it with all you have got.\This is too serious to be hazing. response:	However, this is the best of the best.
context: Japan is covered with unfairness.\Heroes are the ones who reverse those situations.\If you wanted to go talk with your friends at Mickey D's after school, too bad.\For the next three years, U.A. will do all it can to give you one hardship after another.\Go beyond. Plus Ultra.\Overcome it with all you have got.\This is too serious to be hazing.\However, this is the best of the best. response:	I have to do it.
context: Heroes are the ones who reverse those situations.\If you wanted to go talk with your friends at Mickey D's after school, too bad.\For the next three years, U.A. will do all it can to give you one hardship after another.\Go beyond. Plus Ultra.\Overcome it with all you have got.\This is too serious to be hazing.\However, this is the best of the best.\I have to do it. response:	This isn't all I've got.
context: If you wanted to go talk with your friends at Mickey D's after school, too bad.\For the next three years, U.A. will do all it can to give you one hardship after another.\Go beyond. Plus Ultra.\Overcome it with all you have got.\This is too serious to be hazing.\However, this is the best of the best.\I have to do it.\This isn't all I've got. response:	All right, demonstration's over.
context: For the next three years, U.A. will do all it can to give you one hardship after another.\Go beyond. Plus Ultra.\Overcome it with all you have got.\This is too serious to be hazing.\However, this is the best of the best.\I have to do it.\This isn't all I've got.\All right, demonstration's over. response:	The real thing starts now.
context: Go beyond. Plus Ultra.\Overcome it with all you have got.\This is too serious to be hazing.\However, this is the best of the best.\I have to do it.\This isn't all I've got.\All right, demonstration's over.\The real thing starts now. response:	On your mark...
context: Overcome it with all you have got.\This is too serious to be hazing.\However, this is the best of the best.\I have to do it.\This isn't all I've got.\All right, demonstration's over.\The real thing starts now.\On your mark... response:	Get set...
context: This is too serious to be hazing.\However, this is the best of the best.\I have to do it.\This isn't all I've got.\All right, demonstration's over.\The real thing starts now.\On your mark...\Get set... response:	For 50 meters, I can only go up to third gear...
context: However, this is the best of the best.\I have to do it.\This isn't all I've got.\All right, demonstration's over.\The real thing starts now.\On your mark...\Get set...\For 50 meters, I can only go up to third gear... response:	Iida Tenya. Quirk: Engine.
context: I have to do it.\This isn't all I've got.\All right, demonstration's over.\The real thing starts now.\On your mark...\Get set...\For 50 meters, I can only go up to third gear...\Iida Tenya. Quirk: Engine. response:	As you can see, his legs are fast.
context: This isn't all I've got.\All right, demonstration's over.\The real thing starts now.\On your mark...\Get set...\For 50 meters, I can only go up to third gear...\Iida Tenya. Quirk: Engine.\As you can see, his legs are fast. response:	Well, he's like a fish in water.
context: All right, demonstration's over.\The real thing starts now.\On your mark...\Get set...\For 50 meters, I can only go up to third gear...\Iida Tenya. Quirk: Engine.\As you can see, his legs are fast.\Well, he's like a fish in water. response:	It'll be worth seeing what others do.
context: The real thing starts now.\On your mark...\Get set...\For 50 meters, I can only go up to third gear...\Iida Tenya. Quirk: Engine.\As you can see, his legs are fast.\Well, he's like a fish in water.\It'll be worth seeing what others do. response:	Ribbit.
context: On your mark...\Get set...\For 50 meters, I can only go up to third gear...\Iida Tenya. Quirk: Engine.\As you can see, his legs are fast.\Well, he's like a fish in water.\It'll be worth seeing what others do.\Ribbit. response:	Lighten up my clothes and shoes...
context: Get set...\For 50 meters, I can only go up to third gear...\Iida Tenya. Quirk: Engine.\As you can see, his legs are fast.\Well, he's like a fish in water.\It'll be worth seeing what others do.\Ribbit.\Lighten up my clothes and shoes... response:	Uraraka Ochako. Quirk: Zero Gravity!
context: For 50 meters, I can only go up to third gear...\Iida Tenya. Quirk: Engine.\As you can see, his legs are fast.\Well, he's like a fish in water.\It'll be worth seeing what others do.\Ribbit.\Lighten up my clothes and shoes...\Uraraka Ochako. Quirk: Zero Gravity! response:	Get set...
context: Iida Tenya. Quirk: Engine.\As you can see, his legs are fast.\Well, he's like a fish in water.\It'll be worth seeing what others do.\Ribbit.\Lighten up my clothes and shoes...\Uraraka Ochako. Quirk: Zero Gravity!\Get set... response:	She can nullify the gravitational pull of any object she touches.
context: As you can see, his legs are fast.\Well, he's like a fish in water.\It'll be worth seeing what others do.\Ribbit.\Lighten up my clothes and shoes...\Uraraka Ochako. Quirk: Zero Gravity!\Get set...\She can nullify the gravitational pull of any object she touches. response:	However, if she goes over capacity, she'll get really nauseous.
context: Well, he's like a fish in water.\It'll be worth seeing what others do.\Ribbit.\Lighten up my clothes and shoes...\Uraraka Ochako. Quirk: Zero Gravity!\Get set...\She can nullify the gravitational pull of any object she touches.\However, if she goes over capacity, she'll get really nauseous. response:	Oh, but that's faster than I was in junior high!
context: It'll be worth seeing what others do.\Ribbit.\Lighten up my clothes and shoes...\Uraraka Ochako. Quirk: Zero Gravity!\Get set...\She can nullify the gravitational pull of any object she touches.\However, if she goes over capacity, she'll get really nauseous.\Oh, but that's faster than I was in junior high! response:	Everyone, you're not being creative enough.
context: Ribbit.\Lighten up my clothes and shoes...\Uraraka Ochako. Quirk: Zero Gravity!\Get set...\She can nullify the gravitational pull of any object she touches.\However, if she goes over capacity, she'll get really nauseous.\Oh, but that's faster than I was in junior high!\Everyone, you're not being creative enough. response:	On your mark...
context: Lighten up my clothes and shoes...\Uraraka Ochako. Quirk: Zero Gravity!\Get set...\She can nullify the gravitational pull of any object she touches.\However, if she goes over capacity, she'll get really nauseous.\Oh, but that's faster than I was in junior high!\Everyone, you're not being creative enough.\On your mark... response:	I'll show you what it's like...
context: Uraraka Ochako. Quirk: Zero Gravity!\Get set...\She can nullify the gravitational pull of any object she touches.\However, if she goes over capacity, she'll get really nauseous.\Oh, but that's faster than I was in junior high!\Everyone, you're not being creative enough.\On your mark...\I'll show you what it's like... response:	Get set...
