context: I realize I'm a dreamer by nature, response:	but never in my wildest dreams did I ever imagine meeting the girl again.
context: You are a lonely man, aren't you, Yokoi?\Say, Mr. Ando, how soon can the locks be arranged?\If I made arrangements right away,\then it'll be done sometime tomorrow morning.\Then please. I'll be moving in tomorrow afternoon.\What about you?\Th-Then me too.\Then starting tomorrow, we're roommates, Nana-chan. response:	What in the world were you thinking?!
context: Say, Mr. Ando, how soon can the locks be arranged?\If I made arrangements right away,\then it'll be done sometime tomorrow morning.\Then please. I'll be moving in tomorrow afternoon.\What about you?\Th-Then me too.\Then starting tomorrow, we're roommates, Nana-chan.\What in the world were you thinking?! response:	Why not? Sharing is cool!
context: If I made arrangements right away,\then it'll be done sometime tomorrow morning.\Then please. I'll be moving in tomorrow afternoon.\What about you?\Th-Then me too.\Then starting tomorrow, we're roommates, Nana-chan.\What in the world were you thinking?!\Why not? Sharing is cool! response:	Like the foreigners do!
context: then it'll be done sometime tomorrow morning.\Then please. I'll be moving in tomorrow afternoon.\What about you?\Th-Then me too.\Then starting tomorrow, we're roommates, Nana-chan.\What in the world were you thinking?!\Why not? Sharing is cool!\Like the foreigners do! response:	You're so easily fooled by others!
context: Then please. I'll be moving in tomorrow afternoon.\What about you?\Th-Then me too.\Then starting tomorrow, we're roommates, Nana-chan.\What in the world were you thinking?!\Why not? Sharing is cool!\Like the foreigners do!\You're so easily fooled by others! response:	I don't think it's a good idea
context: What about you?\Th-Then me too.\Then starting tomorrow, we're roommates, Nana-chan.\What in the world were you thinking?!\Why not? Sharing is cool!\Like the foreigners do!\You're so easily fooled by others!\I don't think it's a good idea response:	for you to move in with a complete stranger.
context: Th-Then me too.\Then starting tomorrow, we're roommates, Nana-chan.\What in the world were you thinking?!\Why not? Sharing is cool!\Like the foreigners do!\You're so easily fooled by others!\I don't think it's a good idea\for you to move in with a complete stranger. response:	She's not a complete stranger.
context: Then starting tomorrow, we're roommates, Nana-chan.\What in the world were you thinking?!\Why not? Sharing is cool!\Like the foreigners do!\You're so easily fooled by others!\I don't think it's a good idea\for you to move in with a complete stranger.\She's not a complete stranger. response:	I told you. We sat next to each other on the train.
context: What in the world were you thinking?!\Why not? Sharing is cool!\Like the foreigners do!\You're so easily fooled by others!\I don't think it's a good idea\for you to move in with a complete stranger.\She's not a complete stranger.\I told you. We sat next to each other on the train. response:	Coincidences like this have got to be...
context: Why not? Sharing is cool!\Like the foreigners do!\You're so easily fooled by others!\I don't think it's a good idea\for you to move in with a complete stranger.\She's not a complete stranger.\I told you. We sat next to each other on the train.\Coincidences like this have got to be... response:	Stop talking about the Demon Lord!
context: Like the foreigners do!\You're so easily fooled by others!\I don't think it's a good idea\for you to move in with a complete stranger.\She's not a complete stranger.\I told you. We sat next to each other on the train.\Coincidences like this have got to be...\Stop talking about the Demon Lord! response:	What are you upset about, Jun-chan?
context: You're so easily fooled by others!\I don't think it's a good idea\for you to move in with a complete stranger.\She's not a complete stranger.\I told you. We sat next to each other on the train.\Coincidences like this have got to be...\Stop talking about the Demon Lord!\What are you upset about, Jun-chan? response:	Does it make you sad
context: I don't think it's a good idea\for you to move in with a complete stranger.\She's not a complete stranger.\I told you. We sat next to each other on the train.\Coincidences like this have got to be...\Stop talking about the Demon Lord!\What are you upset about, Jun-chan?\Does it make you sad response:	that I'm going to be living with another woman?
context: for you to move in with a complete stranger.\She's not a complete stranger.\I told you. We sat next to each other on the train.\Coincidences like this have got to be...\Stop talking about the Demon Lord!\What are you upset about, Jun-chan?\Does it make you sad\that I'm going to be living with another woman? response:	Well yeah, sure I'd love to live with you if I could,
context: She's not a complete stranger.\I told you. We sat next to each other on the train.\Coincidences like this have got to be...\Stop talking about the Demon Lord!\What are you upset about, Jun-chan?\Does it make you sad\that I'm going to be living with another woman?\Well yeah, sure I'd love to live with you if I could, response:	but you've got Kyosuke.
context: I told you. We sat next to each other on the train.\Coincidences like this have got to be...\Stop talking about the Demon Lord!\What are you upset about, Jun-chan?\Does it make you sad\that I'm going to be living with another woman?\Well yeah, sure I'd love to live with you if I could,\but you've got Kyosuke. response:	I betcha she thinks she can do you in.
context: Coincidences like this have got to be...\Stop talking about the Demon Lord!\What are you upset about, Jun-chan?\Does it make you sad\that I'm going to be living with another woman?\Well yeah, sure I'd love to live with you if I could,\but you've got Kyosuke.\I betcha she thinks she can do you in. response:	Do me in?
context: Stop talking about the Demon Lord!\What are you upset about, Jun-chan?\Does it make you sad\that I'm going to be living with another woman?\Well yeah, sure I'd love to live with you if I could,\but you've got Kyosuke.\I betcha she thinks she can do you in.\Do me in? response:	It's'cause you talk like that, that you attract that type of woman.
context: What are you upset about, Jun-chan?\Does it make you sad\that I'm going to be living with another woman?\Well yeah, sure I'd love to live with you if I could,\but you've got Kyosuke.\I betcha she thinks she can do you in.\Do me in?\It's'cause you talk like that, that you attract that type of woman. response:	What are you saying, Jun-chan?
context: Does it make you sad\that I'm going to be living with another woman?\Well yeah, sure I'd love to live with you if I could,\but you've got Kyosuke.\I betcha she thinks she can do you in.\Do me in?\It's'cause you talk like that, that you attract that type of woman.\What are you saying, Jun-chan? response:	In addition, she might just as well be some serial murderer on the run.
context: that I'm going to be living with another woman?\Well yeah, sure I'd love to live with you if I could,\but you've got Kyosuke.\I betcha she thinks she can do you in.\Do me in?\It's'cause you talk like that, that you attract that type of woman.\What are you saying, Jun-chan?\In addition, she might just as well be some serial murderer on the run. response:	That's impossible!
context: Well yeah, sure I'd love to live with you if I could,\but you've got Kyosuke.\I betcha she thinks she can do you in.\Do me in?\It's'cause you talk like that, that you attract that type of woman.\What are you saying, Jun-chan?\In addition, she might just as well be some serial murderer on the run.\That's impossible! response:	How can you be sure?!
context: but you've got Kyosuke.\I betcha she thinks she can do you in.\Do me in?\It's'cause you talk like that, that you attract that type of woman.\What are you saying, Jun-chan?\In addition, she might just as well be some serial murderer on the run.\That's impossible!\How can you be sure?! response:	Now if you're going to start living with this stranger,
context: I betcha she thinks she can do you in.\Do me in?\It's'cause you talk like that, that you attract that type of woman.\What are you saying, Jun-chan?\In addition, she might just as well be some serial murderer on the run.\That's impossible!\How can you be sure?!\Now if you're going to start living with this stranger, response:	you are aware that you might get yourself buried in cement
context: Do me in?\It's'cause you talk like that, that you attract that type of woman.\What are you saying, Jun-chan?\In addition, she might just as well be some serial murderer on the run.\That's impossible!\How can you be sure?!\Now if you're going to start living with this stranger,\you are aware that you might get yourself buried in cement response:	and sunk to the bottom of Tokyo Bay.
context: It's'cause you talk like that, that you attract that type of woman.\What are you saying, Jun-chan?\In addition, she might just as well be some serial murderer on the run.\That's impossible!\How can you be sure?!\Now if you're going to start living with this stranger,\you are aware that you might get yourself buried in cement\and sunk to the bottom of Tokyo Bay. response:	You're over-reacting!
context: What are you saying, Jun-chan?\In addition, she might just as well be some serial murderer on the run.\That's impossible!\How can you be sure?!\Now if you're going to start living with this stranger,\you are aware that you might get yourself buried in cement\and sunk to the bottom of Tokyo Bay.\You're over-reacting! response:	Okay, I give up. I don't care what happens to you,
context: In addition, she might just as well be some serial murderer on the run.\That's impossible!\How can you be sure?!\Now if you're going to start living with this stranger,\you are aware that you might get yourself buried in cement\and sunk to the bottom of Tokyo Bay.\You're over-reacting!\Okay, I give up. I don't care what happens to you, response:	and if something does happen, don't come crying to me.
context: That's impossible!\How can you be sure?!\Now if you're going to start living with this stranger,\you are aware that you might get yourself buried in cement\and sunk to the bottom of Tokyo Bay.\You're over-reacting!\Okay, I give up. I don't care what happens to you,\and if something does happen, don't come crying to me. response:	But I don't think Shoji's going to approve.
context: How can you be sure?!\Now if you're going to start living with this stranger,\you are aware that you might get yourself buried in cement\and sunk to the bottom of Tokyo Bay.\You're over-reacting!\Okay, I give up. I don't care what happens to you,\and if something does happen, don't come crying to me.\But I don't think Shoji's going to approve. response:	Have you told him yet?
context: Now if you're going to start living with this stranger,\you are aware that you might get yourself buried in cement\and sunk to the bottom of Tokyo Bay.\You're over-reacting!\Okay, I give up. I don't care what happens to you,\and if something does happen, don't come crying to me.\But I don't think Shoji's going to approve.\Have you told him yet? response:	No. Shoji's working today too, so I'll tell him when he gets home.
context: you are aware that you might get yourself buried in cement\and sunk to the bottom of Tokyo Bay.\You're over-reacting!\Okay, I give up. I don't care what happens to you,\and if something does happen, don't come crying to me.\But I don't think Shoji's going to approve.\Have you told him yet?\No. Shoji's working today too, so I'll tell him when he gets home. response:	He surely wouldn't appreciate me showing up at work to tell him.
context: and sunk to the bottom of Tokyo Bay.\You're over-reacting!\Okay, I give up. I don't care what happens to you,\and if something does happen, don't come crying to me.\But I don't think Shoji's going to approve.\Have you told him yet?\No. Shoji's working today too, so I'll tell him when he gets home.\He surely wouldn't appreciate me showing up at work to tell him. response:	Hello? I'm in the middle of work, too.
context: You're over-reacting!\Okay, I give up. I don't care what happens to you,\and if something does happen, don't come crying to me.\But I don't think Shoji's going to approve.\Have you told him yet?\No. Shoji's working today too, so I'll tell him when he gets home.\He surely wouldn't appreciate me showing up at work to tell him.\Hello? I'm in the middle of work, too. response:	Hey Jun-chan! This dress is really cute! Maybe I'll buy it.
context: Okay, I give up. I don't care what happens to you,\and if something does happen, don't come crying to me.\But I don't think Shoji's going to approve.\Have you told him yet?\No. Shoji's working today too, so I'll tell him when he gets home.\He surely wouldn't appreciate me showing up at work to tell him.\Hello? I'm in the middle of work, too.\Hey Jun-chan! This dress is really cute! Maybe I'll buy it. response:	I don't have any clothes to sell to loafers.
context: and if something does happen, don't come crying to me.\But I don't think Shoji's going to approve.\Have you told him yet?\No. Shoji's working today too, so I'll tell him when he gets home.\He surely wouldn't appreciate me showing up at work to tell him.\Hello? I'm in the middle of work, too.\Hey Jun-chan! This dress is really cute! Maybe I'll buy it.\I don't have any clothes to sell to loafers. response:	Jun-chan's so lucky she gets to work at such a classy boutique.
context: But I don't think Shoji's going to approve.\Have you told him yet?\No. Shoji's working today too, so I'll tell him when he gets home.\He surely wouldn't appreciate me showing up at work to tell him.\Hello? I'm in the middle of work, too.\Hey Jun-chan! This dress is really cute! Maybe I'll buy it.\I don't have any clothes to sell to loafers.\Jun-chan's so lucky she gets to work at such a classy boutique. response:	She's got a nice figure, kinda, and she's got it made with Kyosuke.
context: Have you told him yet?\No. Shoji's working today too, so I'll tell him when he gets home.\He surely wouldn't appreciate me showing up at work to tell him.\Hello? I'm in the middle of work, too.\Hey Jun-chan! This dress is really cute! Maybe I'll buy it.\I don't have any clothes to sell to loafers.\Jun-chan's so lucky she gets to work at such a classy boutique.\She's got a nice figure, kinda, and she's got it made with Kyosuke. response:	I better hurry up and find a job.
context: No. Shoji's working today too, so I'll tell him when he gets home.\He surely wouldn't appreciate me showing up at work to tell him.\Hello? I'm in the middle of work, too.\Hey Jun-chan! This dress is really cute! Maybe I'll buy it.\I don't have any clothes to sell to loafers.\Jun-chan's so lucky she gets to work at such a classy boutique.\She's got a nice figure, kinda, and she's got it made with Kyosuke.\I better hurry up and find a job. response:	I guess Shoji's not home yet.
context: He surely wouldn't appreciate me showing up at work to tell him.\Hello? I'm in the middle of work, too.\Hey Jun-chan! This dress is really cute! Maybe I'll buy it.\I don't have any clothes to sell to loafers.\Jun-chan's so lucky she gets to work at such a classy boutique.\She's got a nice figure, kinda, and she's got it made with Kyosuke.\I better hurry up and find a job.\I guess Shoji's not home yet. response:	But he got off work hours ago.
context: Hello? I'm in the middle of work, too.\Hey Jun-chan! This dress is really cute! Maybe I'll buy it.\I don't have any clothes to sell to loafers.\Jun-chan's so lucky she gets to work at such a classy boutique.\She's got a nice figure, kinda, and she's got it made with Kyosuke.\I better hurry up and find a job.\I guess Shoji's not home yet.\But he got off work hours ago. response:	Hello...
context: Hey Jun-chan! This dress is really cute! Maybe I'll buy it.\I don't have any clothes to sell to loafers.\Jun-chan's so lucky she gets to work at such a classy boutique.\She's got a nice figure, kinda, and she's got it made with Kyosuke.\I better hurry up and find a job.\I guess Shoji's not home yet.\But he got off work hours ago.\Hello... response:	Your call is being forwarded to a voice messaging service.
context: I don't have any clothes to sell to loafers.\Jun-chan's so lucky she gets to work at such a classy boutique.\She's got a nice figure, kinda, and she's got it made with Kyosuke.\I better hurry up and find a job.\I guess Shoji's not home yet.\But he got off work hours ago.\Hello...\Your call is being forwarded to a voice messaging service. response:	Please leave a message after the beep.
context: Jun-chan's so lucky she gets to work at such a classy boutique.\She's got a nice figure, kinda, and she's got it made with Kyosuke.\I better hurry up and find a job.\I guess Shoji's not home yet.\But he got off work hours ago.\Hello...\Your call is being forwarded to a voice messaging service.\Please leave a message after the beep. response:	Why isn't he picking up?
context: She's got a nice figure, kinda, and she's got it made with Kyosuke.\I better hurry up and find a job.\I guess Shoji's not home yet.\But he got off work hours ago.\Hello...\Your call is being forwarded to a voice messaging service.\Please leave a message after the beep.\Why isn't he picking up? response:	If he's going to be late, he could at least call.
context: I better hurry up and find a job.\I guess Shoji's not home yet.\But he got off work hours ago.\Hello...\Your call is being forwarded to a voice messaging service.\Please leave a message after the beep.\Why isn't he picking up?\If he's going to be late, he could at least call. response:	Is he with another girl?!
context: I guess Shoji's not home yet.\But he got off work hours ago.\Hello...\Your call is being forwarded to a voice messaging service.\Please leave a message after the beep.\Why isn't he picking up?\If he's going to be late, he could at least call.\Is he with another girl?! response:	No. Not Shoji. He could never!
context: But he got off work hours ago.\Hello...\Your call is being forwarded to a voice messaging service.\Please leave a message after the beep.\Why isn't he picking up?\If he's going to be late, he could at least call.\Is he with another girl?!\No. Not Shoji. He could never! response:	But come to think of it, we lived apart for a whole year.
context: Hello...\Your call is being forwarded to a voice messaging service.\Please leave a message after the beep.\Why isn't he picking up?\If he's going to be late, he could at least call.\Is he with another girl?!\No. Not Shoji. He could never!\But come to think of it, we lived apart for a whole year. response:	It might not be so unusual if another woman did show up in his life.
context: Your call is being forwarded to a voice messaging service.\Please leave a message after the beep.\Why isn't he picking up?\If he's going to be late, he could at least call.\Is he with another girl?!\No. Not Shoji. He could never!\But come to think of it, we lived apart for a whole year.\It might not be so unusual if another woman did show up in his life. response:	Tokyo Wife (Sexy Type) It might not be so unusual if another woman did show up in his life.
context: Please leave a message after the beep.\Why isn't he picking up?\If he's going to be late, he could at least call.\Is he with another girl?!\No. Not Shoji. He could never!\But come to think of it, we lived apart for a whole year.\It might not be so unusual if another woman did show up in his life.\Tokyo Wife (Sexy Type) It might not be so unusual if another woman did show up in his life. response:	Tokyo Wife (Sexy Type)
context: Why isn't he picking up?\If he's going to be late, he could at least call.\Is he with another girl?!\No. Not Shoji. He could never!\But come to think of it, we lived apart for a whole year.\It might not be so unusual if another woman did show up in his life.\Tokyo Wife (Sexy Type) It might not be so unusual if another woman did show up in his life.\Tokyo Wife (Sexy Type) response:	Tokyo Wife (Sexy Type) While we were apart,
context: If he's going to be late, he could at least call.\Is he with another girl?!\No. Not Shoji. He could never!\But come to think of it, we lived apart for a whole year.\It might not be so unusual if another woman did show up in his life.\Tokyo Wife (Sexy Type) It might not be so unusual if another woman did show up in his life.\Tokyo Wife (Sexy Type)\Tokyo Wife (Sexy Type) While we were apart, response:	While we were apart,
context: Is he with another girl?!\No. Not Shoji. He could never!\But come to think of it, we lived apart for a whole year.\It might not be so unusual if another woman did show up in his life.\Tokyo Wife (Sexy Type) It might not be so unusual if another woman did show up in his life.\Tokyo Wife (Sexy Type)\Tokyo Wife (Sexy Type) While we were apart,\While we were apart, response:	he emailed me every day and he was busy studying,
context: No. Not Shoji. He could never!\But come to think of it, we lived apart for a whole year.\It might not be so unusual if another woman did show up in his life.\Tokyo Wife (Sexy Type) It might not be so unusual if another woman did show up in his life.\Tokyo Wife (Sexy Type)\Tokyo Wife (Sexy Type) While we were apart,\While we were apart,\he emailed me every day and he was busy studying, response:	so I didn't even consider the thought of him fooling around...
context: But come to think of it, we lived apart for a whole year.\It might not be so unusual if another woman did show up in his life.\Tokyo Wife (Sexy Type) It might not be so unusual if another woman did show up in his life.\Tokyo Wife (Sexy Type)\Tokyo Wife (Sexy Type) While we were apart,\While we were apart,\he emailed me every day and he was busy studying,\so I didn't even consider the thought of him fooling around... response:	But, he is a member of the male population...
context: It might not be so unusual if another woman did show up in his life.\Tokyo Wife (Sexy Type) It might not be so unusual if another woman did show up in his life.\Tokyo Wife (Sexy Type)\Tokyo Wife (Sexy Type) While we were apart,\While we were apart,\he emailed me every day and he was busy studying,\so I didn't even consider the thought of him fooling around...\But, he is a member of the male population... response:	A guy can do it with a girl even if he has no feelings of love for her.
context: Tokyo Wife (Sexy Type) It might not be so unusual if another woman did show up in his life.\Tokyo Wife (Sexy Type)\Tokyo Wife (Sexy Type) While we were apart,\While we were apart,\he emailed me every day and he was busy studying,\so I didn't even consider the thought of him fooling around...\But, he is a member of the male population...\A guy can do it with a girl even if he has no feelings of love for her. response:	He did say something crude like that, before we started dating.
context: Tokyo Wife (Sexy Type)\Tokyo Wife (Sexy Type) While we were apart,\While we were apart,\he emailed me every day and he was busy studying,\so I didn't even consider the thought of him fooling around...\But, he is a member of the male population...\A guy can do it with a girl even if he has no feelings of love for her.\He did say something crude like that, before we started dating. response:	If that's how he really feels,
context: Tokyo Wife (Sexy Type) While we were apart,\While we were apart,\he emailed me every day and he was busy studying,\so I didn't even consider the thought of him fooling around...\But, he is a member of the male population...\A guy can do it with a girl even if he has no feelings of love for her.\He did say something crude like that, before we started dating.\If that's how he really feels, response:	he might just think nothing of cheating on me.
context: While we were apart,\he emailed me every day and he was busy studying,\so I didn't even consider the thought of him fooling around...\But, he is a member of the male population...\A guy can do it with a girl even if he has no feelings of love for her.\He did say something crude like that, before we started dating.\If that's how he really feels,\he might just think nothing of cheating on me. response:	Shoji...
context: he emailed me every day and he was busy studying,\so I didn't even consider the thought of him fooling around...\But, he is a member of the male population...\A guy can do it with a girl even if he has no feelings of love for her.\He did say something crude like that, before we started dating.\If that's how he really feels,\he might just think nothing of cheating on me.\Shoji... response:	Who do you like better, me or that country girl?
context: so I didn't even consider the thought of him fooling around...\But, he is a member of the male population...\A guy can do it with a girl even if he has no feelings of love for her.\He did say something crude like that, before we started dating.\If that's how he really feels,\he might just think nothing of cheating on me.\Shoji...\Who do you like better, me or that country girl? response:	You, of course, Sachiko.
context: But, he is a member of the male population...\A guy can do it with a girl even if he has no feelings of love for her.\He did say something crude like that, before we started dating.\If that's how he really feels,\he might just think nothing of cheating on me.\Shoji...\Who do you like better, me or that country girl?\You, of course, Sachiko. response:	This is ridiculous! My imagination is running away on me.
context: A guy can do it with a girl even if he has no feelings of love for her.\He did say something crude like that, before we started dating.\If that's how he really feels,\he might just think nothing of cheating on me.\Shoji...\Who do you like better, me or that country girl?\You, of course, Sachiko.\This is ridiculous! My imagination is running away on me. response:	Who the heck is Sachiko?!
context: He did say something crude like that, before we started dating.\If that's how he really feels,\he might just think nothing of cheating on me.\Shoji...\Who do you like better, me or that country girl?\You, of course, Sachiko.\This is ridiculous! My imagination is running away on me.\Who the heck is Sachiko?! response:	I'm going to bed!!
context: If that's how he really feels,\he might just think nothing of cheating on me.\Shoji...\Who do you like better, me or that country girl?\You, of course, Sachiko.\This is ridiculous! My imagination is running away on me.\Who the heck is Sachiko?!\I'm going to bed!! response:	Sachiko... Sachiko... Sachiko...
context: he might just think nothing of cheating on me.\Shoji...\Who do you like better, me or that country girl?\You, of course, Sachiko.\This is ridiculous! My imagination is running away on me.\Who the heck is Sachiko?!\I'm going to bed!!\Sachiko... Sachiko... Sachiko... response:	The name Sachiko means happy child.
context: Shoji...\Who do you like better, me or that country girl?\You, of course, Sachiko.\This is ridiculous! My imagination is running away on me.\Who the heck is Sachiko?!\I'm going to bed!!\Sachiko... Sachiko... Sachiko...\The name Sachiko means happy child. response:	This isn't good. I can't sleep.
context: Who do you like better, me or that country girl?\You, of course, Sachiko.\This is ridiculous! My imagination is running away on me.\Who the heck is Sachiko?!\I'm going to bed!!\Sachiko... Sachiko... Sachiko...\The name Sachiko means happy child.\This isn't good. I can't sleep. response:	So this is how hard it it to wait for a husband who doesn't come home.
context: You, of course, Sachiko.\This is ridiculous! My imagination is running away on me.\Who the heck is Sachiko?!\I'm going to bed!!\Sachiko... Sachiko... Sachiko...\The name Sachiko means happy child.\This isn't good. I can't sleep.\So this is how hard it it to wait for a husband who doesn't come home. response:	Even though he's not my husband.
context: This is ridiculous! My imagination is running away on me.\Who the heck is Sachiko?!\I'm going to bed!!\Sachiko... Sachiko... Sachiko...\The name Sachiko means happy child.\This isn't good. I can't sleep.\So this is how hard it it to wait for a husband who doesn't come home.\Even though he's not my husband. response:	I wonder if this is how I was making Mr. Asano's wife feel.
context: Who the heck is Sachiko?!\I'm going to bed!!\Sachiko... Sachiko... Sachiko...\The name Sachiko means happy child.\This isn't good. I can't sleep.\So this is how hard it it to wait for a husband who doesn't come home.\Even though he's not my husband.\I wonder if this is how I was making Mr. Asano's wife feel. response:	Well, if that's the case, this is heaven's punishment!
context: I'm going to bed!!\Sachiko... Sachiko... Sachiko...\The name Sachiko means happy child.\This isn't good. I can't sleep.\So this is how hard it it to wait for a husband who doesn't come home.\Even though he's not my husband.\I wonder if this is how I was making Mr. Asano's wife feel.\Well, if that's the case, this is heaven's punishment! response:	The Demon Lord's curse!
context: Sachiko... Sachiko... Sachiko...\The name Sachiko means happy child.\This isn't good. I can't sleep.\So this is how hard it it to wait for a husband who doesn't come home.\Even though he's not my husband.\I wonder if this is how I was making Mr. Asano's wife feel.\Well, if that's the case, this is heaven's punishment!\The Demon Lord's curse! response:	Nana!
context: The name Sachiko means happy child.\This isn't good. I can't sleep.\So this is how hard it it to wait for a husband who doesn't come home.\Even though he's not my husband.\I wonder if this is how I was making Mr. Asano's wife feel.\Well, if that's the case, this is heaven's punishment!\The Demon Lord's curse!\Nana! response:	What are you doing there?
context: This isn't good. I can't sleep.\So this is how hard it it to wait for a husband who doesn't come home.\Even though he's not my husband.\I wonder if this is how I was making Mr. Asano's wife feel.\Well, if that's the case, this is heaven's punishment!\The Demon Lord's curse!\Nana!\What are you doing there? response:	You're going to catch cold!
context: So this is how hard it it to wait for a husband who doesn't come home.\Even though he's not my husband.\I wonder if this is how I was making Mr. Asano's wife feel.\Well, if that's the case, this is heaven's punishment!\The Demon Lord's curse!\Nana!\What are you doing there?\You're going to catch cold! response:	Shoji...
context: Even though he's not my husband.\I wonder if this is how I was making Mr. Asano's wife feel.\Well, if that's the case, this is heaven's punishment!\The Demon Lord's curse!\Nana!\What are you doing there?\You're going to catch cold!\Shoji... response:	Look out!
context: I wonder if this is how I was making Mr. Asano's wife feel.\Well, if that's the case, this is heaven's punishment!\The Demon Lord's curse!\Nana!\What are you doing there?\You're going to catch cold!\Shoji...\Look out! response:	What? But I sent you an email telling you I'd be late.
context: Well, if that's the case, this is heaven's punishment!\The Demon Lord's curse!\Nana!\What are you doing there?\You're going to catch cold!\Shoji...\Look out!\What? But I sent you an email telling you I'd be late. response:	You liar! I didn't get any email!
context: The Demon Lord's curse!\Nana!\What are you doing there?\You're going to catch cold!\Shoji...\Look out!\What? But I sent you an email telling you I'd be late.\You liar! I didn't get any email! response:	How can you tell such an obvious lie?
context: Nana!\What are you doing there?\You're going to catch cold!\Shoji...\Look out!\What? But I sent you an email telling you I'd be late.\You liar! I didn't get any email!\How can you tell such an obvious lie? response:	- So you were with Sachiko... - That's funny...
context: What are you doing there?\You're going to catch cold!\Shoji...\Look out!\What? But I sent you an email telling you I'd be late.\You liar! I didn't get any email!\How can you tell such an obvious lie?\- So you were with Sachiko... - That's funny... response:	See, look! It's in my outbox...
context: You're going to catch cold!\Shoji...\Look out!\What? But I sent you an email telling you I'd be late.\You liar! I didn't get any email!\How can you tell such an obvious lie?\- So you were with Sachiko... - That's funny...\See, look! It's in my outbox... response:	I sent it to Junko by mistake...
context: Shoji...\Look out!\What? But I sent you an email telling you I'd be late.\You liar! I didn't get any email!\How can you tell such an obvious lie?\- So you were with Sachiko... - That's funny...\See, look! It's in my outbox...\I sent it to Junko by mistake... response:	I'll be home late today. A friend at work has a fever, so I have to work the evening shift to cover for him! This sucks.
context: Look out!\What? But I sent you an email telling you I'd be late.\You liar! I didn't get any email!\How can you tell such an obvious lie?\- So you were with Sachiko... - That's funny...\See, look! It's in my outbox...\I sent it to Junko by mistake...\I'll be home late today. A friend at work has a fever, so I have to work the evening shift to cover for him! This sucks. response:	But I'll still have enough energy left to have sex with you when I get home. Ha ha ha Shoji
context: What? But I sent you an email telling you I'd be late.\You liar! I didn't get any email!\How can you tell such an obvious lie?\- So you were with Sachiko... - That's funny...\See, look! It's in my outbox...\I sent it to Junko by mistake...\I'll be home late today. A friend at work has a fever, so I have to work the evening shift to cover for him! This sucks.\But I'll still have enough energy left to have sex with you when I get home. Ha ha ha Shoji response:	That idiot!
context: You liar! I didn't get any email!\How can you tell such an obvious lie?\- So you were with Sachiko... - That's funny...\See, look! It's in my outbox...\I sent it to Junko by mistake...\I'll be home late today. A friend at work has a fever, so I have to work the evening shift to cover for him! This sucks.\But I'll still have enough energy left to have sex with you when I get home. Ha ha ha Shoji\That idiot! response:	But I wonder why he doesn't just ask Nana to live with him?
context: How can you tell such an obvious lie?\- So you were with Sachiko... - That's funny...\See, look! It's in my outbox...\I sent it to Junko by mistake...\I'll be home late today. A friend at work has a fever, so I have to work the evening shift to cover for him! This sucks.\But I'll still have enough energy left to have sex with you when I get home. Ha ha ha Shoji\That idiot!\But I wonder why he doesn't just ask Nana to live with him? response:	It's nothing to wonder about.
context: - So you were with Sachiko... - That's funny...\See, look! It's in my outbox...\I sent it to Junko by mistake...\I'll be home late today. A friend at work has a fever, so I have to work the evening shift to cover for him! This sucks.\But I'll still have enough energy left to have sex with you when I get home. Ha ha ha Shoji\That idiot!\But I wonder why he doesn't just ask Nana to live with him?\It's nothing to wonder about. response:	He probably just wants her to become a bit more independent.
context: See, look! It's in my outbox...\I sent it to Junko by mistake...\I'll be home late today. A friend at work has a fever, so I have to work the evening shift to cover for him! This sucks.\But I'll still have enough energy left to have sex with you when I get home. Ha ha ha Shoji\That idiot!\But I wonder why he doesn't just ask Nana to live with him?\It's nothing to wonder about.\He probably just wants her to become a bit more independent. response:	I couldn't agree more, but that's a pretty wild expectation.
context: I sent it to Junko by mistake...\I'll be home late today. A friend at work has a fever, so I have to work the evening shift to cover for him! This sucks.\But I'll still have enough energy left to have sex with you when I get home. Ha ha ha Shoji\That idiot!\But I wonder why he doesn't just ask Nana to live with him?\It's nothing to wonder about.\He probably just wants her to become a bit more independent.\I couldn't agree more, but that's a pretty wild expectation. response:	I hear ya.
context: I'll be home late today. A friend at work has a fever, so I have to work the evening shift to cover for him! This sucks.\But I'll still have enough energy left to have sex with you when I get home. Ha ha ha Shoji\That idiot!\But I wonder why he doesn't just ask Nana to live with him?\It's nothing to wonder about.\He probably just wants her to become a bit more independent.\I couldn't agree more, but that's a pretty wild expectation.\I hear ya. response:	Well, Shoji's spending this year studying,
context: But I'll still have enough energy left to have sex with you when I get home. Ha ha ha Shoji\That idiot!\But I wonder why he doesn't just ask Nana to live with him?\It's nothing to wonder about.\He probably just wants her to become a bit more independent.\I couldn't agree more, but that's a pretty wild expectation.\I hear ya.\Well, Shoji's spending this year studying, response:	so he worries that much more about this relationship.
context: That idiot!\But I wonder why he doesn't just ask Nana to live with him?\It's nothing to wonder about.\He probably just wants her to become a bit more independent.\I couldn't agree more, but that's a pretty wild expectation.\I hear ya.\Well, Shoji's spending this year studying,\so he worries that much more about this relationship. response:	Worried? He isn't thinking about breaking up with her, is he?
context: But I wonder why he doesn't just ask Nana to live with him?\It's nothing to wonder about.\He probably just wants her to become a bit more independent.\I couldn't agree more, but that's a pretty wild expectation.\I hear ya.\Well, Shoji's spending this year studying,\so he worries that much more about this relationship.\Worried? He isn't thinking about breaking up with her, is he? response:	No, the opposite. He wants to marry Nana.
