context: Just now joining us, Julius? response:	Thanks for gracing us with your presence.
context: Yeah.\But...\This feels like the time\I found a cockroach in the corner of a quiet room.\You were drawn to the smell, huh?\Perfect cockroach bait...\Do I really smell that bad?\Thanks for coming to meet me. response:	Sorry to say it when you just arrived,
context: But...\This feels like the time\I found a cockroach in the corner of a quiet room.\You were drawn to the smell, huh?\Perfect cockroach bait...\Do I really smell that bad?\Thanks for coming to meet me.\Sorry to say it when you just arrived, response:	but I'll leave you to work the details out for yourselves.
context: This feels like the time\I found a cockroach in the corner of a quiet room.\You were drawn to the smell, huh?\Perfect cockroach bait...\Do I really smell that bad?\Thanks for coming to meet me.\Sorry to say it when you just arrived,\but I'll leave you to work the details out for yourselves. response:	So don't get in my way.
context: I found a cockroach in the corner of a quiet room.\You were drawn to the smell, huh?\Perfect cockroach bait...\Do I really smell that bad?\Thanks for coming to meet me.\Sorry to say it when you just arrived,\but I'll leave you to work the details out for yourselves.\So don't get in my way. response:	If they'd stuck around long enough for me to order them
context: You were drawn to the smell, huh?\Perfect cockroach bait...\Do I really smell that bad?\Thanks for coming to meet me.\Sorry to say it when you just arrived,\but I'll leave you to work the details out for yourselves.\So don't get in my way.\If they'd stuck around long enough for me to order them response:	to gather their stuff and go home, this would've been easier...
context: Perfect cockroach bait...\Do I really smell that bad?\Thanks for coming to meet me.\Sorry to say it when you just arrived,\but I'll leave you to work the details out for yourselves.\So don't get in my way.\If they'd stuck around long enough for me to order them\to gather their stuff and go home, this would've been easier... response:	I have been waiting for you, believer in love.
context: Do I really smell that bad?\Thanks for coming to meet me.\Sorry to say it when you just arrived,\but I'll leave you to work the details out for yourselves.\So don't get in my way.\If they'd stuck around long enough for me to order them\to gather their stuff and go home, this would've been easier...\I have been waiting for you, believer in love. response:	In the Witch's Cult, I am a Sin Archbishop, representing sloth,
context: Thanks for coming to meet me.\Sorry to say it when you just arrived,\but I'll leave you to work the details out for yourselves.\So don't get in my way.\If they'd stuck around long enough for me to order them\to gather their stuff and go home, this would've been easier...\I have been waiting for you, believer in love.\In the Witch's Cult, I am a Sin Archbishop, representing sloth, response:	Betelgeuse Romanee-Conti.
context: Sorry to say it when you just arrived,\but I'll leave you to work the details out for yourselves.\So don't get in my way.\If they'd stuck around long enough for me to order them\to gather their stuff and go home, this would've been easier...\I have been waiting for you, believer in love.\In the Witch's Cult, I am a Sin Archbishop, representing sloth,\Betelgeuse Romanee-Conti. response:	Wonderful!
context: but I'll leave you to work the details out for yourselves.\So don't get in my way.\If they'd stuck around long enough for me to order them\to gather their stuff and go home, this would've been easier...\I have been waiting for you, believer in love.\In the Witch's Cult, I am a Sin Archbishop, representing sloth,\Betelgeuse Romanee-Conti.\Wonderful! response:	Wonderful!
context: So don't get in my way.\If they'd stuck around long enough for me to order them\to gather their stuff and go home, this would've been easier...\I have been waiting for you, believer in love.\In the Witch's Cult, I am a Sin Archbishop, representing sloth,\Betelgeuse Romanee-Conti.\Wonderful!\Wonderful! response:	Hey.
context: If they'd stuck around long enough for me to order them\to gather their stuff and go home, this would've been easier...\I have been waiting for you, believer in love.\In the Witch's Cult, I am a Sin Archbishop, representing sloth,\Betelgeuse Romanee-Conti.\Wonderful!\Wonderful!\Hey. response:	But I'm not sure I really feel this love you keep bringing up.
context: to gather their stuff and go home, this would've been easier...\I have been waiting for you, believer in love.\In the Witch's Cult, I am a Sin Archbishop, representing sloth,\Betelgeuse Romanee-Conti.\Wonderful!\Wonderful!\Hey.\But I'm not sure I really feel this love you keep bringing up. response:	It always begins suddenly.
context: I have been waiting for you, believer in love.\In the Witch's Cult, I am a Sin Archbishop, representing sloth,\Betelgeuse Romanee-Conti.\Wonderful!\Wonderful!\Hey.\But I'm not sure I really feel this love you keep bringing up.\It always begins suddenly. response:	Everyone, on a certain day,
context: In the Witch's Cult, I am a Sin Archbishop, representing sloth,\Betelgeuse Romanee-Conti.\Wonderful!\Wonderful!\Hey.\But I'm not sure I really feel this love you keep bringing up.\It always begins suddenly.\Everyone, on a certain day, response:	realizes that they are loved.
context: Betelgeuse Romanee-Conti.\Wonderful!\Wonderful!\Hey.\But I'm not sure I really feel this love you keep bringing up.\It always begins suddenly.\Everyone, on a certain day,\realizes that they are loved. response:	They feel the love!
context: Wonderful!\Wonderful!\Hey.\But I'm not sure I really feel this love you keep bringing up.\It always begins suddenly.\Everyone, on a certain day,\realizes that they are loved.\They feel the love! response:	The love! The love! The love! The love! The love! The love! The love!
context: Wonderful!\Hey.\But I'm not sure I really feel this love you keep bringing up.\It always begins suddenly.\Everyone, on a certain day,\realizes that they are loved.\They feel the love!\The love! The love! The love! The love! The love! The love! The love! response:	Um, and what am I supposed to do now?
context: Hey.\But I'm not sure I really feel this love you keep bringing up.\It always begins suddenly.\Everyone, on a certain day,\realizes that they are loved.\They feel the love!\The love! The love! The love! The love! The love! The love! The love!\Um, and what am I supposed to do now? response:	Ah, the witch's generous love...
context: But I'm not sure I really feel this love you keep bringing up.\It always begins suddenly.\Everyone, on a certain day,\realizes that they are loved.\They feel the love!\The love! The love! The love! The love! The love! The love! The love!\Um, and what am I supposed to do now?\Ah, the witch's generous love... response:	You wouldn't happen to be Pride, would you?
context: It always begins suddenly.\Everyone, on a certain day,\realizes that they are loved.\They feel the love!\The love! The love! The love! The love! The love! The love! The love!\Um, and what am I supposed to do now?\Ah, the witch's generous love...\You wouldn't happen to be Pride, would you? response:	Of the six Sin Archbishops,
context: Everyone, on a certain day,\realizes that they are loved.\They feel the love!\The love! The love! The love! The love! The love! The love! The love!\Um, and what am I supposed to do now?\Ah, the witch's generous love...\You wouldn't happen to be Pride, would you?\Of the six Sin Archbishops, response:	only Pride's seat remains vacant...
context: realizes that they are loved.\They feel the love!\The love! The love! The love! The love! The love! The love! The love!\Um, and what am I supposed to do now?\Ah, the witch's generous love...\You wouldn't happen to be Pride, would you?\Of the six Sin Archbishops,\only Pride's seat remains vacant... response:	You have
context: They feel the love!\The love! The love! The love! The love! The love! The love! The love!\Um, and what am I supposed to do now?\Ah, the witch's generous love...\You wouldn't happen to be Pride, would you?\Of the six Sin Archbishops,\only Pride's seat remains vacant...\You have response:	received the Gospel, haven't you?
context: The love! The love! The love! The love! The love! The love! The love!\Um, and what am I supposed to do now?\Ah, the witch's generous love...\You wouldn't happen to be Pride, would you?\Of the six Sin Archbishops,\only Pride's seat remains vacant...\You have\received the Gospel, haven't you? response:	The Gospel?
context: Um, and what am I supposed to do now?\Ah, the witch's generous love...\You wouldn't happen to be Pride, would you?\Of the six Sin Archbishops,\only Pride's seat remains vacant...\You have\received the Gospel, haven't you?\The Gospel? response:	My brain
context: Ah, the witch's generous love...\You wouldn't happen to be Pride, would you?\Of the six Sin Archbishops,\only Pride's seat remains vacant...\You have\received the Gospel, haven't you?\The Gospel?\My brain response:	trembles!
context: You wouldn't happen to be Pride, would you?\Of the six Sin Archbishops,\only Pride's seat remains vacant...\You have\received the Gospel, haven't you?\The Gospel?\My brain\trembles! response:	Presentation of the Gospel,
context: Of the six Sin Archbishops,\only Pride's seat remains vacant...\You have\received the Gospel, haven't you?\The Gospel?\My brain\trembles!\Presentation of the Gospel, response:	proof of love...
context: only Pride's seat remains vacant...\You have\received the Gospel, haven't you?\The Gospel?\My brain\trembles!\Presentation of the Gospel,\proof of love... response:	Proof! Proof! Proof! Proof!
context: You have\received the Gospel, haven't you?\The Gospel?\My brain\trembles!\Presentation of the Gospel,\proof of love...\Proof! Proof! Proof! Proof! response:	Huh?
context: received the Gospel, haven't you?\The Gospel?\My brain\trembles!\Presentation of the Gospel,\proof of love...\Proof! Proof! Proof! Proof!\Huh? response:	My Gospel has no account of you.
context: The Gospel?\My brain\trembles!\Presentation of the Gospel,\proof of love...\Proof! Proof! Proof! Proof!\Huh?\My Gospel has no account of you. response:	That book is the Gospel?
context: My brain\trembles!\Presentation of the Gospel,\proof of love...\Proof! Proof! Proof! Proof!\Huh?\My Gospel has no account of you.\That book is the Gospel? response:	Then why did you appear here?
context: trembles!\Presentation of the Gospel,\proof of love...\Proof! Proof! Proof! Proof!\Huh?\My Gospel has no account of you.\That book is the Gospel?\Then why did you appear here? response:	Why visit here?
context: Presentation of the Gospel,\proof of love...\Proof! Proof! Proof! Proof!\Huh?\My Gospel has no account of you.\That book is the Gospel?\Then why did you appear here?\Why visit here? response:	What fortune are you here to deliver?!
context: proof of love...\Proof! Proof! Proof! Proof!\Huh?\My Gospel has no account of you.\That book is the Gospel?\Then why did you appear here?\Why visit here?\What fortune are you here to deliver?! response:	Oh! So that's the Gospel!
context: Proof! Proof! Proof! Proof!\Huh?\My Gospel has no account of you.\That book is the Gospel?\Then why did you appear here?\Why visit here?\What fortune are you here to deliver?!\Oh! So that's the Gospel! response:	I see, I see...
context: Huh?\My Gospel has no account of you.\That book is the Gospel?\Then why did you appear here?\Why visit here?\What fortune are you here to deliver?!\Oh! So that's the Gospel!\I see, I see... response:	I understand, I understand.
context: My Gospel has no account of you.\That book is the Gospel?\Then why did you appear here?\Why visit here?\What fortune are you here to deliver?!\Oh! So that's the Gospel!\I see, I see...\I understand, I understand. response:	You should have just said so.
context: That book is the Gospel?\Then why did you appear here?\Why visit here?\What fortune are you here to deliver?!\Oh! So that's the Gospel!\I see, I see...\I understand, I understand.\You should have just said so. response:	Aw, darn it! I'm sorry!
context: Then why did you appear here?\Why visit here?\What fortune are you here to deliver?!\Oh! So that's the Gospel!\I see, I see...\I understand, I understand.\You should have just said so.\Aw, darn it! I'm sorry! response:	What?
context: Why visit here?\What fortune are you here to deliver?!\Oh! So that's the Gospel!\I see, I see...\I understand, I understand.\You should have just said so.\Aw, darn it! I'm sorry!\What? response:	My Gospel is, well, you know...
context: What fortune are you here to deliver?!\Oh! So that's the Gospel!\I see, I see...\I understand, I understand.\You should have just said so.\Aw, darn it! I'm sorry!\What?\My Gospel is, well, you know... response:	I used it as a coaster, and it got messy.
context: Oh! So that's the Gospel!\I see, I see...\I understand, I understand.\You should have just said so.\Aw, darn it! I'm sorry!\What?\My Gospel is, well, you know...\I used it as a coaster, and it got messy. response:	So I threw it out.
context: I see, I see...\I understand, I understand.\You should have just said so.\Aw, darn it! I'm sorry!\What?\My Gospel is, well, you know...\I used it as a coaster, and it got messy.\So I threw it out. response:	Proof of love!
context: I understand, I understand.\You should have just said so.\Aw, darn it! I'm sorry!\What?\My Gospel is, well, you know...\I used it as a coaster, and it got messy.\So I threw it out.\Proof of love! response:	Authority of Sloth...
context: You should have just said so.\Aw, darn it! I'm sorry!\What?\My Gospel is, well, you know...\I used it as a coaster, and it got messy.\So I threw it out.\Proof of love!\Authority of Sloth... response:	Unseen Hand!
context: Aw, darn it! I'm sorry!\What?\My Gospel is, well, you know...\I used it as a coaster, and it got messy.\So I threw it out.\Proof of love!\Authority of Sloth...\Unseen Hand! response:	What?
context: What?\My Gospel is, well, you know...\I used it as a coaster, and it got messy.\So I threw it out.\Proof of love!\Authority of Sloth...\Unseen Hand!\What? response:	It's an unseen hand, right?
context: My Gospel is, well, you know...\I used it as a coaster, and it got messy.\So I threw it out.\Proof of love!\Authority of Sloth...\Unseen Hand!\What?\It's an unseen hand, right? response:	You can see my Unseen Hand?!
context: I used it as a coaster, and it got messy.\So I threw it out.\Proof of love!\Authority of Sloth...\Unseen Hand!\What?\It's an unseen hand, right?\You can see my Unseen Hand?! response:	Okay, I'm just about done buying time!
context: So I threw it out.\Proof of love!\Authority of Sloth...\Unseen Hand!\What?\It's an unseen hand, right?\You can see my Unseen Hand?!\Okay, I'm just about done buying time! response:	Prepare to be buried alive!
context: Proof of love!\Authority of Sloth...\Unseen Hand!\What?\It's an unseen hand, right?\You can see my Unseen Hand?!\Okay, I'm just about done buying time!\Prepare to be buried alive! response:	Suffer, as you regret the things you've done!
context: Authority of Sloth...\Unseen Hand!\What?\It's an unseen hand, right?\You can see my Unseen Hand?!\Okay, I'm just about done buying time!\Prepare to be buried alive!\Suffer, as you regret the things you've done! response:	How... How could this be?
context: Unseen Hand!\What?\It's an unseen hand, right?\You can see my Unseen Hand?!\Okay, I'm just about done buying time!\Prepare to be buried alive!\Suffer, as you regret the things you've done!\How... How could this be? response:	My fingers, so cruelly, so mercilessly,
context: What?\It's an unseen hand, right?\You can see my Unseen Hand?!\Okay, I'm just about done buying time!\Prepare to be buried alive!\Suffer, as you regret the things you've done!\How... How could this be?\My fingers, so cruelly, so mercilessly, response:	so chaotically, so arbitrarily, so artlessly, so meaninglessly...
context: It's an unseen hand, right?\You can see my Unseen Hand?!\Okay, I'm just about done buying time!\Prepare to be buried alive!\Suffer, as you regret the things you've done!\How... How could this be?\My fingers, so cruelly, so mercilessly,\so chaotically, so arbitrarily, so artlessly, so meaninglessly... response:	My brain... My brain trembles!
context: You can see my Unseen Hand?!\Okay, I'm just about done buying time!\Prepare to be buried alive!\Suffer, as you regret the things you've done!\How... How could this be?\My fingers, so cruelly, so mercilessly,\so chaotically, so arbitrarily, so artlessly, so meaninglessly...\My brain... My brain trembles! response:	Yikes, that guy's kinda scary.
context: Okay, I'm just about done buying time!\Prepare to be buried alive!\Suffer, as you regret the things you've done!\How... How could this be?\My fingers, so cruelly, so mercilessly,\so chaotically, so arbitrarily, so artlessly, so meaninglessly...\My brain... My brain trembles!\Yikes, that guy's kinda scary. response:	I think all the Witch's Cult members are like that.
context: Prepare to be buried alive!\Suffer, as you regret the things you've done!\How... How could this be?\My fingers, so cruelly, so mercilessly,\so chaotically, so arbitrarily, so artlessly, so meaninglessly...\My brain... My brain trembles!\Yikes, that guy's kinda scary.\I think all the Witch's Cult members are like that. response:	Yes, of course...
context: Suffer, as you regret the things you've done!\How... How could this be?\My fingers, so cruelly, so mercilessly,\so chaotically, so arbitrarily, so artlessly, so meaninglessly...\My brain... My brain trembles!\Yikes, that guy's kinda scary.\I think all the Witch's Cult members are like that.\Yes, of course... response:	Fine... Fine.
context: How... How could this be?\My fingers, so cruelly, so mercilessly,\so chaotically, so arbitrarily, so artlessly, so meaninglessly...\My brain... My brain trembles!\Yikes, that guy's kinda scary.\I think all the Witch's Cult members are like that.\Yes, of course...\Fine... Fine. response:	I understand. Let's do this. I'm ready to do this.
context: My fingers, so cruelly, so mercilessly,\so chaotically, so arbitrarily, so artlessly, so meaninglessly...\My brain... My brain trembles!\Yikes, that guy's kinda scary.\I think all the Witch's Cult members are like that.\Yes, of course...\Fine... Fine.\I understand. Let's do this. I'm ready to do this. response:	The time has come to learn which of us is worthy of her love!
context: so chaotically, so arbitrarily, so artlessly, so meaninglessly...\My brain... My brain trembles!\Yikes, that guy's kinda scary.\I think all the Witch's Cult members are like that.\Yes, of course...\Fine... Fine.\I understand. Let's do this. I'm ready to do this.\The time has come to learn which of us is worthy of her love! response:	Her love! Yes, her love!
context: My brain... My brain trembles!\Yikes, that guy's kinda scary.\I think all the Witch's Cult members are like that.\Yes, of course...\Fine... Fine.\I understand. Let's do this. I'm ready to do this.\The time has come to learn which of us is worthy of her love!\Her love! Yes, her love! response:	Sorry to interrupt your fun, but...
context: Yikes, that guy's kinda scary.\I think all the Witch's Cult members are like that.\Yes, of course...\Fine... Fine.\I understand. Let's do this. I'm ready to do this.\The time has come to learn which of us is worthy of her love!\Her love! Yes, her love!\Sorry to interrupt your fun, but... response:	ove?
context: I think all the Witch's Cult members are like that.\Yes, of course...\Fine... Fine.\I understand. Let's do this. I'm ready to do this.\The time has come to learn which of us is worthy of her love!\Her love! Yes, her love!\Sorry to interrupt your fun, but...\ove? response:	I have someone else lined up to take you on!
context: Yes, of course...\Fine... Fine.\I understand. Let's do this. I'm ready to do this.\The time has come to learn which of us is worthy of her love!\Her love! Yes, her love!\Sorry to interrupt your fun, but...\ove?\I have someone else lined up to take you on! response:	I-It's over... Right?
context: Fine... Fine.\I understand. Let's do this. I'm ready to do this.\The time has come to learn which of us is worthy of her love!\Her love! Yes, her love!\Sorry to interrupt your fun, but...\ove?\I have someone else lined up to take you on!\I-It's over... Right? response:	He's very much dead!
context: I understand. Let's do this. I'm ready to do this.\The time has come to learn which of us is worthy of her love!\Her love! Yes, her love!\Sorry to interrupt your fun, but...\ove?\I have someone else lined up to take you on!\I-It's over... Right?\He's very much dead! response:	The capital's most powerful healer guarantees it.
context: The time has come to learn which of us is worthy of her love!\Her love! Yes, her love!\Sorry to interrupt your fun, but...\ove?\I have someone else lined up to take you on!\I-It's over... Right?\He's very much dead!\The capital's most powerful healer guarantees it. response:	I see...
context: Her love! Yes, her love!\Sorry to interrupt your fun, but...\ove?\I have someone else lined up to take you on!\I-It's over... Right?\He's very much dead!\The capital's most powerful healer guarantees it.\I see... response:	Wilhelm-san, I'm sorry to ask such an unreasonable favor.
context: Sorry to interrupt your fun, but...\ove?\I have someone else lined up to take you on!\I-It's over... Right?\He's very much dead!\The capital's most powerful healer guarantees it.\I see...\Wilhelm-san, I'm sorry to ask such an unreasonable favor. response:	Was it unreasonable?
context: ove?\I have someone else lined up to take you on!\I-It's over... Right?\He's very much dead!\The capital's most powerful healer guarantees it.\I see...\Wilhelm-san, I'm sorry to ask such an unreasonable favor.\Was it unreasonable? response:	Isn't cutting someone down without warning, from behind,
context: I have someone else lined up to take you on!\I-It's over... Right?\He's very much dead!\The capital's most powerful healer guarantees it.\I see...\Wilhelm-san, I'm sorry to ask such an unreasonable favor.\Was it unreasonable?\Isn't cutting someone down without warning, from behind, response:	the worst thing a knight can do?
context: I-It's over... Right?\He's very much dead!\The capital's most powerful healer guarantees it.\I see...\Wilhelm-san, I'm sorry to ask such an unreasonable favor.\Was it unreasonable?\Isn't cutting someone down without warning, from behind,\the worst thing a knight can do? response:	Chivalry is long dead.
context: He's very much dead!\The capital's most powerful healer guarantees it.\I see...\Wilhelm-san, I'm sorry to ask such an unreasonable favor.\Was it unreasonable?\Isn't cutting someone down without warning, from behind,\the worst thing a knight can do?\Chivalry is long dead. response:	You need not concern yourself with that.
context: The capital's most powerful healer guarantees it.\I see...\Wilhelm-san, I'm sorry to ask such an unreasonable favor.\Was it unreasonable?\Isn't cutting someone down without warning, from behind,\the worst thing a knight can do?\Chivalry is long dead.\You need not concern yourself with that. response:	Hmm... Doesn't look like he's carrying anything useful.
context: I see...\Wilhelm-san, I'm sorry to ask such an unreasonable favor.\Was it unreasonable?\Isn't cutting someone down without warning, from behind,\the worst thing a knight can do?\Chivalry is long dead.\You need not concern yourself with that.\Hmm... Doesn't look like he's carrying anything useful. response:	You mini guys are ransacking his corpse like it's the obvious thing to do...
context: Wilhelm-san, I'm sorry to ask such an unreasonable favor.\Was it unreasonable?\Isn't cutting someone down without warning, from behind,\the worst thing a knight can do?\Chivalry is long dead.\You need not concern yourself with that.\Hmm... Doesn't look like he's carrying anything useful.\You mini guys are ransacking his corpse like it's the obvious thing to do... response:	I'm not mini. I'm Tivey.
context: Was it unreasonable?\Isn't cutting someone down without warning, from behind,\the worst thing a knight can do?\Chivalry is long dead.\You need not concern yourself with that.\Hmm... Doesn't look like he's carrying anything useful.\You mini guys are ransacking his corpse like it's the obvious thing to do...\I'm not mini. I'm Tivey. response:	I think it's our right to search out the spoils of battle.
context: Isn't cutting someone down without warning, from behind,\the worst thing a knight can do?\Chivalry is long dead.\You need not concern yourself with that.\Hmm... Doesn't look like he's carrying anything useful.\You mini guys are ransacking his corpse like it's the obvious thing to do...\I'm not mini. I'm Tivey.\I think it's our right to search out the spoils of battle. response:	What is this?
context: the worst thing a knight can do?\Chivalry is long dead.\You need not concern yourself with that.\Hmm... Doesn't look like he's carrying anything useful.\You mini guys are ransacking his corpse like it's the obvious thing to do...\I'm not mini. I'm Tivey.\I think it's our right to search out the spoils of battle.\What is this? response:	I think it's the book that Betelgeuse called a Gospel.
context: Chivalry is long dead.\You need not concern yourself with that.\Hmm... Doesn't look like he's carrying anything useful.\You mini guys are ransacking his corpse like it's the obvious thing to do...\I'm not mini. I'm Tivey.\I think it's our right to search out the spoils of battle.\What is this?\I think it's the book that Betelgeuse called a Gospel. response:	Eep! This is a Gospel?!
context: You need not concern yourself with that.\Hmm... Doesn't look like he's carrying anything useful.\You mini guys are ransacking his corpse like it's the obvious thing to do...\I'm not mini. I'm Tivey.\I think it's our right to search out the spoils of battle.\What is this?\I think it's the book that Betelgeuse called a Gospel.\Eep! This is a Gospel?! response:	Oh, no! I touched it!
context: Hmm... Doesn't look like he's carrying anything useful.\You mini guys are ransacking his corpse like it's the obvious thing to do...\I'm not mini. I'm Tivey.\I think it's our right to search out the spoils of battle.\What is this?\I think it's the book that Betelgeuse called a Gospel.\Eep! This is a Gospel?!\Oh, no! I touched it! response:	I can't read it...
context: You mini guys are ransacking his corpse like it's the obvious thing to do...\I'm not mini. I'm Tivey.\I think it's our right to search out the spoils of battle.\What is this?\I think it's the book that Betelgeuse called a Gospel.\Eep! This is a Gospel?!\Oh, no! I touched it!\I can't read it... response:	Felis, can you read this?
context: I'm not mini. I'm Tivey.\I think it's our right to search out the spoils of battle.\What is this?\I think it's the book that Betelgeuse called a Gospel.\Eep! This is a Gospel?!\Oh, no! I touched it!\I can't read it...\Felis, can you read this? response:	Whoa, nyo way! Don't point that thing at me!
context: I think it's our right to search out the spoils of battle.\What is this?\I think it's the book that Betelgeuse called a Gospel.\Eep! This is a Gospel?!\Oh, no! I touched it!\I can't read it...\Felis, can you read this?\Whoa, nyo way! Don't point that thing at me! response:	And don't do something as stupid as trying to read a Gospel!
context: What is this?\I think it's the book that Betelgeuse called a Gospel.\Eep! This is a Gospel?!\Oh, no! I touched it!\I can't read it...\Felis, can you read this?\Whoa, nyo way! Don't point that thing at me!\And don't do something as stupid as trying to read a Gospel! response:	Is it that dangerous?
context: I think it's the book that Betelgeuse called a Gospel.\Eep! This is a Gospel?!\Oh, no! I touched it!\I can't read it...\Felis, can you read this?\Whoa, nyo way! Don't point that thing at me!\And don't do something as stupid as trying to read a Gospel!\Is it that dangerous? response:	The Gospel is the proof that one belongs to the Witch's Cult.
context: Eep! This is a Gospel?!\Oh, no! I touched it!\I can't read it...\Felis, can you read this?\Whoa, nyo way! Don't point that thing at me!\And don't do something as stupid as trying to read a Gospel!\Is it that dangerous?\The Gospel is the proof that one belongs to the Witch's Cult. response:	They're basically their sacred texts.
context: Oh, no! I touched it!\I can't read it...\Felis, can you read this?\Whoa, nyo way! Don't point that thing at me!\And don't do something as stupid as trying to read a Gospel!\Is it that dangerous?\The Gospel is the proof that one belongs to the Witch's Cult.\They're basically their sacred texts. response:	Sacred texts?
context: I can't read it...\Felis, can you read this?\Whoa, nyo way! Don't point that thing at me!\And don't do something as stupid as trying to read a Gospel!\Is it that dangerous?\The Gospel is the proof that one belongs to the Witch's Cult.\They're basically their sacred texts.\Sacred texts? response:	Rumors say one is delivered to anyone with the potential to join the cult.
context: Felis, can you read this?\Whoa, nyo way! Don't point that thing at me!\And don't do something as stupid as trying to read a Gospel!\Is it that dangerous?\The Gospel is the proof that one belongs to the Witch's Cult.\They're basically their sacred texts.\Sacred texts?\Rumors say one is delivered to anyone with the potential to join the cult. response:	And once a person gets it... Imagine that.
context: Whoa, nyo way! Don't point that thing at me!\And don't do something as stupid as trying to read a Gospel!\Is it that dangerous?\The Gospel is the proof that one belongs to the Witch's Cult.\They're basically their sacred texts.\Sacred texts?\Rumors say one is delivered to anyone with the potential to join the cult.\And once a person gets it... Imagine that. response:	They're nyow a devout member of the Witch's Cult.
context: And don't do something as stupid as trying to read a Gospel!\Is it that dangerous?\The Gospel is the proof that one belongs to the Witch's Cult.\They're basically their sacred texts.\Sacred texts?\Rumors say one is delivered to anyone with the potential to join the cult.\And once a person gets it... Imagine that.\They're nyow a devout member of the Witch's Cult. response:	How shady can you get?
context: Is it that dangerous?\The Gospel is the proof that one belongs to the Witch's Cult.\They're basically their sacred texts.\Sacred texts?\Rumors say one is delivered to anyone with the potential to join the cult.\And once a person gets it... Imagine that.\They're nyow a devout member of the Witch's Cult.\How shady can you get? response:	Well, I guess I'll take this with me.
context: The Gospel is the proof that one belongs to the Witch's Cult.\They're basically their sacred texts.\Sacred texts?\Rumors say one is delivered to anyone with the potential to join the cult.\And once a person gets it... Imagine that.\They're nyow a devout member of the Witch's Cult.\How shady can you get?\Well, I guess I'll take this with me. response:	If I can decipher it,
context: They're basically their sacred texts.\Sacred texts?\Rumors say one is delivered to anyone with the potential to join the cult.\And once a person gets it... Imagine that.\They're nyow a devout member of the Witch's Cult.\How shady can you get?\Well, I guess I'll take this with me.\If I can decipher it, response:	maybe I can figure out what the Witch's Cult really is.
context: Sacred texts?\Rumors say one is delivered to anyone with the potential to join the cult.\And once a person gets it... Imagine that.\They're nyow a devout member of the Witch's Cult.\How shady can you get?\Well, I guess I'll take this with me.\If I can decipher it,\maybe I can figure out what the Witch's Cult really is. response:	Hey, hey, we've killed the enemy here,
context: Rumors say one is delivered to anyone with the potential to join the cult.\And once a person gets it... Imagine that.\They're nyow a devout member of the Witch's Cult.\How shady can you get?\Well, I guess I'll take this with me.\If I can decipher it,\maybe I can figure out what the Witch's Cult really is.\Hey, hey, we've killed the enemy here, response:	so shouldn't we go make sure the other enemies are dead, too?
context: And once a person gets it... Imagine that.\They're nyow a devout member of the Witch's Cult.\How shady can you get?\Well, I guess I'll take this with me.\If I can decipher it,\maybe I can figure out what the Witch's Cult really is.\Hey, hey, we've killed the enemy here,\so shouldn't we go make sure the other enemies are dead, too? response:	You know, as adorable as you look,
context: They're nyow a devout member of the Witch's Cult.\How shady can you get?\Well, I guess I'll take this with me.\If I can decipher it,\maybe I can figure out what the Witch's Cult really is.\Hey, hey, we've killed the enemy here,\so shouldn't we go make sure the other enemies are dead, too?\You know, as adorable as you look, response:	you say some pretty disturbing things...
context: How shady can you get?\Well, I guess I'll take this with me.\If I can decipher it,\maybe I can figure out what the Witch's Cult really is.\Hey, hey, we've killed the enemy here,\so shouldn't we go make sure the other enemies are dead, too?\You know, as adorable as you look,\you say some pretty disturbing things... response:	Aw, I'm adorable? You're makin' me blush!
context: Well, I guess I'll take this with me.\If I can decipher it,\maybe I can figure out what the Witch's Cult really is.\Hey, hey, we've killed the enemy here,\so shouldn't we go make sure the other enemies are dead, too?\You know, as adorable as you look,\you say some pretty disturbing things...\Aw, I'm adorable? You're makin' me blush! response:	Then the subordinates that Betelgeuse called fingers number ten, in total?
context: If I can decipher it,\maybe I can figure out what the Witch's Cult really is.\Hey, hey, we've killed the enemy here,\so shouldn't we go make sure the other enemies are dead, too?\You know, as adorable as you look,\you say some pretty disturbing things...\Aw, I'm adorable? You're makin' me blush!\Then the subordinates that Betelgeuse called fingers number ten, in total? response:	I think one of them is pinned under there.
context: maybe I can figure out what the Witch's Cult really is.\Hey, hey, we've killed the enemy here,\so shouldn't we go make sure the other enemies are dead, too?\You know, as adorable as you look,\you say some pretty disturbing things...\Aw, I'm adorable? You're makin' me blush!\Then the subordinates that Betelgeuse called fingers number ten, in total?\I think one of them is pinned under there. response:	Ten minus one is nine!
context: Hey, hey, we've killed the enemy here,\so shouldn't we go make sure the other enemies are dead, too?\You know, as adorable as you look,\you say some pretty disturbing things...\Aw, I'm adorable? You're makin' me blush!\Then the subordinates that Betelgeuse called fingers number ten, in total?\I think one of them is pinned under there.\Ten minus one is nine! response:	So nine are left!
context: so shouldn't we go make sure the other enemies are dead, too?\You know, as adorable as you look,\you say some pretty disturbing things...\Aw, I'm adorable? You're makin' me blush!\Then the subordinates that Betelgeuse called fingers number ten, in total?\I think one of them is pinned under there.\Ten minus one is nine!\So nine are left! response:	Then, shall we go?
context: You know, as adorable as you look,\you say some pretty disturbing things...\Aw, I'm adorable? You're makin' me blush!\Then the subordinates that Betelgeuse called fingers number ten, in total?\I think one of them is pinned under there.\Ten minus one is nine!\So nine are left!\Then, shall we go? response:	But they really are dead, right?
