context: Morni response:	Wakanalia, please help me!
context: The stairs are ten meters wide.\I listened to it!\I can't believe you wrote this!\I love it already.\Can't wait to sing it, so keep it up!\Here's today's picture. Bye.\Thanks.\Doing my best! response:	I think I want live accompaniment, not recorded.
context: I listened to it!\I can't believe you wrote this!\I love it already.\Can't wait to sing it, so keep it up!\Here's today's picture. Bye.\Thanks.\Doing my best!\I think I want live accompaniment, not recorded. response:	Music Practice Room Two
context: I can't believe you wrote this!\I love it already.\Can't wait to sing it, so keep it up!\Here's today's picture. Bye.\Thanks.\Doing my best!\I think I want live accompaniment, not recorded.\Music Practice Room Two response:	Ta-da!
context: I love it already.\Can't wait to sing it, so keep it up!\Here's today's picture. Bye.\Thanks.\Doing my best!\I think I want live accompaniment, not recorded.\Music Practice Room Two\Ta-da! response:	I thought it'd be best to use some miniatures,
context: Can't wait to sing it, so keep it up!\Here's today's picture. Bye.\Thanks.\Doing my best!\I think I want live accompaniment, not recorded.\Music Practice Room Two\Ta-da!\I thought it'd be best to use some miniatures, response:	to make sure this is what you'd envisioned.
context: Here's today's picture. Bye.\Thanks.\Doing my best!\I think I want live accompaniment, not recorded.\Music Practice Room Two\Ta-da!\I thought it'd be best to use some miniatures,\to make sure this is what you'd envisioned. response:	Wow, they look so real.
context: Thanks.\Doing my best!\I think I want live accompaniment, not recorded.\Music Practice Room Two\Ta-da!\I thought it'd be best to use some miniatures,\to make sure this is what you'd envisioned.\Wow, they look so real. response:	Good job! Carry on, Mr. Watson!
context: Doing my best!\I think I want live accompaniment, not recorded.\Music Practice Room Two\Ta-da!\I thought it'd be best to use some miniatures,\to make sure this is what you'd envisioned.\Wow, they look so real.\Good job! Carry on, Mr. Watson! response:	Watson?
context: I think I want live accompaniment, not recorded.\Music Practice Room Two\Ta-da!\I thought it'd be best to use some miniatures,\to make sure this is what you'd envisioned.\Wow, they look so real.\Good job! Carry on, Mr. Watson!\Watson? response:	I also made some drawings of the set.
context: Music Practice Room Two\Ta-da!\I thought it'd be best to use some miniatures,\to make sure this is what you'd envisioned.\Wow, they look so real.\Good job! Carry on, Mr. Watson!\Watson?\I also made some drawings of the set. response:	Good job to you, too!
context: Ta-da!\I thought it'd be best to use some miniatures,\to make sure this is what you'd envisioned.\Wow, they look so real.\Good job! Carry on, Mr. Watson!\Watson?\I also made some drawings of the set.\Good job to you, too! response:	I haven't drawn in forever,
context: I thought it'd be best to use some miniatures,\to make sure this is what you'd envisioned.\Wow, they look so real.\Good job! Carry on, Mr. Watson!\Watson?\I also made some drawings of the set.\Good job to you, too!\I haven't drawn in forever, response:	but I worked while reading manga,
context: to make sure this is what you'd envisioned.\Wow, they look so real.\Good job! Carry on, Mr. Watson!\Watson?\I also made some drawings of the set.\Good job to you, too!\I haven't drawn in forever,\but I worked while reading manga, response:	and it turned out better than I thought.
context: Wow, they look so real.\Good job! Carry on, Mr. Watson!\Watson?\I also made some drawings of the set.\Good job to you, too!\I haven't drawn in forever,\but I worked while reading manga,\and it turned out better than I thought. response:	Uh, what is that supposed to be?
context: Good job! Carry on, Mr. Watson!\Watson?\I also made some drawings of the set.\Good job to you, too!\I haven't drawn in forever,\but I worked while reading manga,\and it turned out better than I thought.\Uh, what is that supposed to be? response:	A forest and castle, obviously.
context: Watson?\I also made some drawings of the set.\Good job to you, too!\I haven't drawn in forever,\but I worked while reading manga,\and it turned out better than I thought.\Uh, what is that supposed to be?\A forest and castle, obviously. response:	That's a castle?
context: I also made some drawings of the set.\Good job to you, too!\I haven't drawn in forever,\but I worked while reading manga,\and it turned out better than I thought.\Uh, what is that supposed to be?\A forest and castle, obviously.\That's a castle? response:	Isn't it upside-down?
context: Good job to you, too!\I haven't drawn in forever,\but I worked while reading manga,\and it turned out better than I thought.\Uh, what is that supposed to be?\A forest and castle, obviously.\That's a castle?\Isn't it upside-down? response:	That's the least of our problems.
context: I haven't drawn in forever,\but I worked while reading manga,\and it turned out better than I thought.\Uh, what is that supposed to be?\A forest and castle, obviously.\That's a castle?\Isn't it upside-down?\That's the least of our problems. response:	Never draw again.
context: but I worked while reading manga,\and it turned out better than I thought.\Uh, what is that supposed to be?\A forest and castle, obviously.\That's a castle?\Isn't it upside-down?\That's the least of our problems.\Never draw again. response:	Art Room
context: and it turned out better than I thought.\Uh, what is that supposed to be?\A forest and castle, obviously.\That's a castle?\Isn't it upside-down?\That's the least of our problems.\Never draw again.\Art Room response:	Excuse me, is the president here?
context: Uh, what is that supposed to be?\A forest and castle, obviously.\That's a castle?\Isn't it upside-down?\That's the least of our problems.\Never draw again.\Art Room\Excuse me, is the president here? response:	We're all busy getting our festival pieces ready.
context: A forest and castle, obviously.\That's a castle?\Isn't it upside-down?\That's the least of our problems.\Never draw again.\Art Room\Excuse me, is the president here?\We're all busy getting our festival pieces ready. response:	All I need is a rough sketch. That's it!
context: That's a castle?\Isn't it upside-down?\That's the least of our problems.\Never draw again.\Art Room\Excuse me, is the president here?\We're all busy getting our festival pieces ready.\All I need is a rough sketch. That's it! response:	I'll copy it to the plywood myself.
context: Isn't it upside-down?\That's the least of our problems.\Never draw again.\Art Room\Excuse me, is the president here?\We're all busy getting our festival pieces ready.\All I need is a rough sketch. That's it!\I'll copy it to the plywood myself. response:	Have you ever painted before?
context: That's the least of our problems.\Never draw again.\Art Room\Excuse me, is the president here?\We're all busy getting our festival pieces ready.\All I need is a rough sketch. That's it!\I'll copy it to the plywood myself.\Have you ever painted before? response:	How will you apply the paint to the plywood?
context: Never draw again.\Art Room\Excuse me, is the president here?\We're all busy getting our festival pieces ready.\All I need is a rough sketch. That's it!\I'll copy it to the plywood myself.\Have you ever painted before?\How will you apply the paint to the plywood? response:	Can you actually reproduce the proper colors from a sketch?
context: Art Room\Excuse me, is the president here?\We're all busy getting our festival pieces ready.\All I need is a rough sketch. That's it!\I'll copy it to the plywood myself.\Have you ever painted before?\How will you apply the paint to the plywood?\Can you actually reproduce the proper colors from a sketch? response:	No worries there. She's got low expectations,
context: Excuse me, is the president here?\We're all busy getting our festival pieces ready.\All I need is a rough sketch. That's it!\I'll copy it to the plywood myself.\Have you ever painted before?\How will you apply the paint to the plywood?\Can you actually reproduce the proper colors from a sketch?\No worries there. She's got low expectations, response:	so it can look like a grade-schooler drew it.
context: We're all busy getting our festival pieces ready.\All I need is a rough sketch. That's it!\I'll copy it to the plywood myself.\Have you ever painted before?\How will you apply the paint to the plywood?\Can you actually reproduce the proper colors from a sketch?\No worries there. She's got low expectations,\so it can look like a grade-schooler drew it. response:	Then do it yourself.
context: All I need is a rough sketch. That's it!\I'll copy it to the plywood myself.\Have you ever painted before?\How will you apply the paint to the plywood?\Can you actually reproduce the proper colors from a sketch?\No worries there. She's got low expectations,\so it can look like a grade-schooler drew it.\Then do it yourself. response:	You're an idiot.
context: I'll copy it to the plywood myself.\Have you ever painted before?\How will you apply the paint to the plywood?\Can you actually reproduce the proper colors from a sketch?\No worries there. She's got low expectations,\so it can look like a grade-schooler drew it.\Then do it yourself.\You're an idiot. response:	Hey, Hamachi.
context: Have you ever painted before?\How will you apply the paint to the plywood?\Can you actually reproduce the proper colors from a sketch?\No worries there. She's got low expectations,\so it can look like a grade-schooler drew it.\Then do it yourself.\You're an idiot.\Hey, Hamachi. response:	I didn't know you were in the art club.
context: How will you apply the paint to the plywood?\Can you actually reproduce the proper colors from a sketch?\No worries there. She's got low expectations,\so it can look like a grade-schooler drew it.\Then do it yourself.\You're an idiot.\Hey, Hamachi.\I didn't know you were in the art club. response:	Yeah. I want to become a manga artist
context: Can you actually reproduce the proper colors from a sketch?\No worries there. She's got low expectations,\so it can look like a grade-schooler drew it.\Then do it yourself.\You're an idiot.\Hey, Hamachi.\I didn't know you were in the art club.\Yeah. I want to become a manga artist response:	and live the dream of living off royalties.
context: No worries there. She's got low expectations,\so it can look like a grade-schooler drew it.\Then do it yourself.\You're an idiot.\Hey, Hamachi.\I didn't know you were in the art club.\Yeah. I want to become a manga artist\and live the dream of living off royalties. response:	Looking for an artist?
context: so it can look like a grade-schooler drew it.\Then do it yourself.\You're an idiot.\Hey, Hamachi.\I didn't know you were in the art club.\Yeah. I want to become a manga artist\and live the dream of living off royalties.\Looking for an artist? response:	You'd do it?
context: Then do it yourself.\You're an idiot.\Hey, Hamachi.\I didn't know you were in the art club.\Yeah. I want to become a manga artist\and live the dream of living off royalties.\Looking for an artist?\You'd do it? response:	I won't even shortchange you by doing some paltry sketch.
context: You're an idiot.\Hey, Hamachi.\I didn't know you were in the art club.\Yeah. I want to become a manga artist\and live the dream of living off royalties.\Looking for an artist?\You'd do it?\I won't even shortchange you by doing some paltry sketch. response:	I'll do it right, all the way!
context: Hey, Hamachi.\I didn't know you were in the art club.\Yeah. I want to become a manga artist\and live the dream of living off royalties.\Looking for an artist?\You'd do it?\I won't even shortchange you by doing some paltry sketch.\I'll do it right, all the way! response:	Thanks!
context: I didn't know you were in the art club.\Yeah. I want to become a manga artist\and live the dream of living off royalties.\Looking for an artist?\You'd do it?\I won't even shortchange you by doing some paltry sketch.\I'll do it right, all the way!\Thanks! response:	But on one condition!
context: Yeah. I want to become a manga artist\and live the dream of living off royalties.\Looking for an artist?\You'd do it?\I won't even shortchange you by doing some paltry sketch.\I'll do it right, all the way!\Thanks!\But on one condition! response:	Okita is in your group, right?
context: and live the dream of living off royalties.\Looking for an artist?\You'd do it?\I won't even shortchange you by doing some paltry sketch.\I'll do it right, all the way!\Thanks!\But on one condition!\Okita is in your group, right? response:	I'll trade my services for a picture of her!
context: Looking for an artist?\You'd do it?\I won't even shortchange you by doing some paltry sketch.\I'll do it right, all the way!\Thanks!\But on one condition!\Okita is in your group, right?\I'll trade my services for a picture of her! response:	Why?
context: You'd do it?\I won't even shortchange you by doing some paltry sketch.\I'll do it right, all the way!\Thanks!\But on one condition!\Okita is in your group, right?\I'll trade my services for a picture of her!\Why? response:	Man, you really are an idiot.
context: I won't even shortchange you by doing some paltry sketch.\I'll do it right, all the way!\Thanks!\But on one condition!\Okita is in your group, right?\I'll trade my services for a picture of her!\Why?\Man, you really are an idiot. response:	Because she's got the looks!
context: I'll do it right, all the way!\Thanks!\But on one condition!\Okita is in your group, right?\I'll trade my services for a picture of her!\Why?\Man, you really are an idiot.\Because she's got the looks! response:	Just her, though.
context: Thanks!\But on one condition!\Okita is in your group, right?\I'll trade my services for a picture of her!\Why?\Man, you really are an idiot.\Because she's got the looks!\Just her, though. response:	No group photos or shots from behind.
context: But on one condition!\Okita is in your group, right?\I'll trade my services for a picture of her!\Why?\Man, you really are an idiot.\Because she's got the looks!\Just her, though.\No group photos or shots from behind. response:	And make sure her chest is visible.
context: Okita is in your group, right?\I'll trade my services for a picture of her!\Why?\Man, you really are an idiot.\Because she's got the looks!\Just her, though.\No group photos or shots from behind.\And make sure her chest is visible. response:	You can take it with your phone,
context: I'll trade my services for a picture of her!\Why?\Man, you really are an idiot.\Because she's got the looks!\Just her, though.\No group photos or shots from behind.\And make sure her chest is visible.\You can take it with your phone, response:	but try to make it high-res.
context: Why?\Man, you really are an idiot.\Because she's got the looks!\Just her, though.\No group photos or shots from behind.\And make sure her chest is visible.\You can take it with your phone,\but try to make it high-res. response:	I'm back.
context: Man, you really are an idiot.\Because she's got the looks!\Just her, though.\No group photos or shots from behind.\And make sure her chest is visible.\You can take it with your phone,\but try to make it high-res.\I'm back. response:	Oh, he
context: Because she's got the looks!\Just her, though.\No group photos or shots from behind.\And make sure her chest is visible.\You can take it with your phone,\but try to make it high-res.\I'm back.\Oh, he response:	Sorry, but move.
context: Just her, though.\No group photos or shots from behind.\And make sure her chest is visible.\You can take it with your phone,\but try to make it high-res.\I'm back.\Oh, he\Sorry, but move. response:	Almost there!
context: No group photos or shots from behind.\And make sure her chest is visible.\You can take it with your phone,\but try to make it high-res.\I'm back.\Oh, he\Sorry, but move.\Almost there! response:	Shirohamazaka High School Culture Fair White Festival
context: And make sure her chest is visible.\You can take it with your phone,\but try to make it high-res.\I'm back.\Oh, he\Sorry, but move.\Almost there!\Shirohamazaka High School Culture Fair White Festival response:	It's finally time.
context: You can take it with your phone,\but try to make it high-res.\I'm back.\Oh, he\Sorry, but move.\Almost there!\Shirohamazaka High School Culture Fair White Festival\It's finally time. response:	Yes.
context: but try to make it high-res.\I'm back.\Oh, he\Sorry, but move.\Almost there!\Shirohamazaka High School Culture Fair White Festival\It's finally time.\Yes. response:	Luxury Condominium Complex Construction Project
context: I'm back.\Oh, he\Sorry, but move.\Almost there!\Shirohamazaka High School Culture Fair White Festival\It's finally time.\Yes.\Luxury Condominium Complex Construction Project response:	The project is moving to the next phase.
context: Oh, he\Sorry, but move.\Almost there!\Shirohamazaka High School Culture Fair White Festival\It's finally time.\Yes.\Luxury Condominium Complex Construction Project\The project is moving to the next phase. response:	To ensure that we stay on schedule,
context: Sorry, but move.\Almost there!\Shirohamazaka High School Culture Fair White Festival\It's finally time.\Yes.\Luxury Condominium Complex Construction Project\The project is moving to the next phase.\To ensure that we stay on schedule, response:	we need the consent of the teachers and parents.
context: Almost there!\Shirohamazaka High School Culture Fair White Festival\It's finally time.\Yes.\Luxury Condominium Complex Construction Project\The project is moving to the next phase.\To ensure that we stay on schedule,\we need the consent of the teachers and parents. response:	That's your job.
context: Shirohamazaka High School Culture Fair White Festival\It's finally time.\Yes.\Luxury Condominium Complex Construction Project\The project is moving to the next phase.\To ensure that we stay on schedule,\we need the consent of the teachers and parents.\That's your job. response:	R-Right.
context: It's finally time.\Yes.\Luxury Condominium Complex Construction Project\The project is moving to the next phase.\To ensure that we stay on schedule,\we need the consent of the teachers and parents.\That's your job.\R-Right. response:	And yet it seems preparations for the culture fair continue.
context: Yes.\Luxury Condominium Complex Construction Project\The project is moving to the next phase.\To ensure that we stay on schedule,\we need the consent of the teachers and parents.\That's your job.\R-Right.\And yet it seems preparations for the culture fair continue. response:	Listen, you'd better take care of this.
context: Luxury Condominium Complex Construction Project\The project is moving to the next phase.\To ensure that we stay on schedule,\we need the consent of the teachers and parents.\That's your job.\R-Right.\And yet it seems preparations for the culture fair continue.\Listen, you'd better take care of this. response:	I'm holding a special assembly with the teachers today.
context: The project is moving to the next phase.\To ensure that we stay on schedule,\we need the consent of the teachers and parents.\That's your job.\R-Right.\And yet it seems preparations for the culture fair continue.\Listen, you'd better take care of this.\I'm holding a special assembly with the teachers today. response:	I'll be speaking to the parents this weekend.
context: To ensure that we stay on schedule,\we need the consent of the teachers and parents.\That's your job.\R-Right.\And yet it seems preparations for the culture fair continue.\Listen, you'd better take care of this.\I'm holding a special assembly with the teachers today.\I'll be speaking to the parents this weekend. response:	Any delay would be extremely detrimental.
context: we need the consent of the teachers and parents.\That's your job.\R-Right.\And yet it seems preparations for the culture fair continue.\Listen, you'd better take care of this.\I'm holding a special assembly with the teachers today.\I'll be speaking to the parents this weekend.\Any delay would be extremely detrimental. response:	Do not disappoint me.
context: That's your job.\R-Right.\And yet it seems preparations for the culture fair continue.\Listen, you'd better take care of this.\I'm holding a special assembly with the teachers today.\I'll be speaking to the parents this weekend.\Any delay would be extremely detrimental.\Do not disappoint me. response:	Until the vice principal comes
context: R-Right.\And yet it seems preparations for the culture fair continue.\Listen, you'd better take care of this.\I'm holding a special assembly with the teachers today.\I'll be speaking to the parents this weekend.\Any delay would be extremely detrimental.\Do not disappoint me.\Until the vice principal comes response:	Ueno-san!
context: And yet it seems preparations for the culture fair continue.\Listen, you'd better take care of this.\I'm holding a special assembly with the teachers today.\I'll be speaking to the parents this weekend.\Any delay would be extremely detrimental.\Do not disappoint me.\Until the vice principal comes\Ueno-san! response:	What?
context: Listen, you'd better take care of this.\I'm holding a special assembly with the teachers today.\I'll be speaking to the parents this weekend.\Any delay would be extremely detrimental.\Do not disappoint me.\Until the vice principal comes\Ueno-san!\What? response:	I have a favor to ask of you.
context: I'm holding a special assembly with the teachers today.\I'll be speaking to the parents this weekend.\Any delay would be extremely detrimental.\Do not disappoint me.\Until the vice principal comes\Ueno-san!\What?\I have a favor to ask of you. response:	Would you accompany us during our performance at the White Festival?
context: I'll be speaking to the parents this weekend.\Any delay would be extremely detrimental.\Do not disappoint me.\Until the vice principal comes\Ueno-san!\What?\I have a favor to ask of you.\Would you accompany us during our performance at the White Festival? response:	Me? Why not Sakai-san?
context: Any delay would be extremely detrimental.\Do not disappoint me.\Until the vice principal comes\Ueno-san!\What?\I have a favor to ask of you.\Would you accompany us during our performance at the White Festival?\Me? Why not Sakai-san? response:	Our group is small,
context: Do not disappoint me.\Until the vice principal comes\Ueno-san!\What?\I have a favor to ask of you.\Would you accompany us during our performance at the White Festival?\Me? Why not Sakai-san?\Our group is small, response:	and she wants to sing with us.
context: Until the vice principal comes\Ueno-san!\What?\I have a favor to ask of you.\Would you accompany us during our performance at the White Festival?\Me? Why not Sakai-san?\Our group is small,\and she wants to sing with us. response:	We're doing a musical,
context: Ueno-san!\What?\I have a favor to ask of you.\Would you accompany us during our performance at the White Festival?\Me? Why not Sakai-san?\Our group is small,\and she wants to sing with us.\We're doing a musical, response:	A musical?
context: What?\I have a favor to ask of you.\Would you accompany us during our performance at the White Festival?\Me? Why not Sakai-san?\Our group is small,\and she wants to sing with us.\We're doing a musical,\A musical? response:	and we need someone to accompany us.
context: I have a favor to ask of you.\Would you accompany us during our performance at the White Festival?\Me? Why not Sakai-san?\Our group is small,\and she wants to sing with us.\We're doing a musical,\A musical?\and we need someone to accompany us. response:	To be honest, you're the only one I could think of.
context: Would you accompany us during our performance at the White Festival?\Me? Why not Sakai-san?\Our group is small,\and she wants to sing with us.\We're doing a musical,\A musical?\and we need someone to accompany us.\To be honest, you're the only one I could think of. response:	That sounds fun.
context: Me? Why not Sakai-san?\Our group is small,\and she wants to sing with us.\We're doing a musical,\A musical?\and we need someone to accompany us.\To be honest, you're the only one I could think of.\That sounds fun. response:	I know, right?
context: Our group is small,\and she wants to sing with us.\We're doing a musical,\A musical?\and we need someone to accompany us.\To be honest, you're the only one I could think of.\That sounds fun.\I know, right? response:	You don't have time to play with these amateurs.
context: and she wants to sing with us.\We're doing a musical,\A musical?\and we need someone to accompany us.\To be honest, you're the only one I could think of.\That sounds fun.\I know, right?\You don't have time to play with these amateurs. response:	We have preparations of our own to take care of.
context: We're doing a musical,\A musical?\and we need someone to accompany us.\To be honest, you're the only one I could think of.\That sounds fun.\I know, right?\You don't have time to play with these amateurs.\We have preparations of our own to take care of. response:	This year especially...
context: A musical?\and we need someone to accompany us.\To be honest, you're the only one I could think of.\That sounds fun.\I know, right?\You don't have time to play with these amateurs.\We have preparations of our own to take care of.\This year especially... response:	Right.
context: and we need someone to accompany us.\To be honest, you're the only one I could think of.\That sounds fun.\I know, right?\You don't have time to play with these amateurs.\We have preparations of our own to take care of.\This year especially...\Right. response:	What's wrong?
context: To be honest, you're the only one I could think of.\That sounds fun.\I know, right?\You don't have time to play with these amateurs.\We have preparations of our own to take care of.\This year especially...\Right.\What's wrong? response:	Usually, by this time,
context: That sounds fun.\I know, right?\You don't have time to play with these amateurs.\We have preparations of our own to take care of.\This year especially...\Right.\What's wrong?\Usually, by this time, response:	our song's been selected and we're rehearsing.
context: I know, right?\You don't have time to play with these amateurs.\We have preparations of our own to take care of.\This year especially...\Right.\What's wrong?\Usually, by this time,\our song's been selected and we're rehearsing. response:	But the vice principal hasn't told us what we're doing yet...
context: You don't have time to play with these amateurs.\We have preparations of our own to take care of.\This year especially...\Right.\What's wrong?\Usually, by this time,\our song's been selected and we're rehearsing.\But the vice principal hasn't told us what we're doing yet... response:	With all the songs we have to perfect
context: We have preparations of our own to take care of.\This year especially...\Right.\What's wrong?\Usually, by this time,\our song's been selected and we're rehearsing.\But the vice principal hasn't told us what we're doing yet...\With all the songs we have to perfect response:	before the festival, you don't have extra time.
context: This year especially...\Right.\What's wrong?\Usually, by this time,\our song's been selected and we're rehearsing.\But the vice principal hasn't told us what we're doing yet...\With all the songs we have to perfect\before the festival, you don't have extra time. response:	It might be okay if it's a song I already know.
context: Right.\What's wrong?\Usually, by this time,\our song's been selected and we're rehearsing.\But the vice principal hasn't told us what we're doing yet...\With all the songs we have to perfect\before the festival, you don't have extra time.\It might be okay if it's a song I already know. response:	What are you singing?
context: What's wrong?\Usually, by this time,\our song's been selected and we're rehearsing.\But the vice principal hasn't told us what we're doing yet...\With all the songs we have to perfect\before the festival, you don't have extra time.\It might be okay if it's a song I already know.\What are you singing? response:	Something Sakai-san's writing.
context: Usually, by this time,\our song's been selected and we're rehearsing.\But the vice principal hasn't told us what we're doing yet...\With all the songs we have to perfect\before the festival, you don't have extra time.\It might be okay if it's a song I already know.\What are you singing?\Something Sakai-san's writing. response:	Writing?!
context: our song's been selected and we're rehearsing.\But the vice principal hasn't told us what we're doing yet...\With all the songs we have to perfect\before the festival, you don't have extra time.\It might be okay if it's a song I already know.\What are you singing?\Something Sakai-san's writing.\Writing?! response:	Yup!
context: But the vice principal hasn't told us what we're doing yet...\With all the songs we have to perfect\before the festival, you don't have extra time.\It might be okay if it's a song I already know.\What are you singing?\Something Sakai-san's writing.\Writing?!\Yup! response:	You stupid amateurs...
context: With all the songs we have to perfect\before the festival, you don't have extra time.\It might be okay if it's a song I already know.\What are you singing?\Something Sakai-san's writing.\Writing?!\Yup!\You stupid amateurs... response:	We're not stupid!
context: before the festival, you don't have extra time.\It might be okay if it's a song I already know.\What are you singing?\Something Sakai-san's writing.\Writing?!\Yup!\You stupid amateurs...\We're not stupid! response:	If anything, you're way dumber,
context: It might be okay if it's a song I already know.\What are you singing?\Something Sakai-san's writing.\Writing?!\Yup!\You stupid amateurs...\We're not stupid!\If anything, you're way dumber, response:	if you can't even pick a song yourself!
context: What are you singing?\Something Sakai-san's writing.\Writing?!\Yup!\You stupid amateurs...\We're not stupid!\If anything, you're way dumber,\if you can't even pick a song yourself! response:	But the vice principal's been acting so strange lately...
context: Something Sakai-san's writing.\Writing?!\Yup!\You stupid amateurs...\We're not stupid!\If anything, you're way dumber,\if you can't even pick a song yourself!\But the vice principal's been acting so strange lately... response:	True.
context: Writing?!\Yup!\You stupid amateurs...\We're not stupid!\If anything, you're way dumber,\if you can't even pick a song yourself!\But the vice principal's been acting so strange lately...\True. response:	She's like one of those time-travelling robot weapons you see in the movies.
context: Yup!\You stupid amateurs...\We're not stupid!\If anything, you're way dumber,\if you can't even pick a song yourself!\But the vice principal's been acting so strange lately...\True.\She's like one of those time-travelling robot weapons you see in the movies. response:	Except now she's run out of juice...
context: You stupid amateurs...\We're not stupid!\If anything, you're way dumber,\if you can't even pick a song yourself!\But the vice principal's been acting so strange lately...\True.\She's like one of those time-travelling robot weapons you see in the movies.\Except now she's run out of juice... response:	What?
context: We're not stupid!\If anything, you're way dumber,\if you can't even pick a song yourself!\But the vice principal's been acting so strange lately...\True.\She's like one of those time-travelling robot weapons you see in the movies.\Except now she's run out of juice...\What? response:	Thank you for coming.
context: If anything, you're way dumber,\if you can't even pick a song yourself!\But the vice principal's been acting so strange lately...\True.\She's like one of those time-travelling robot weapons you see in the movies.\Except now she's run out of juice...\What?\Thank you for coming. response:	If this is about that thing,
context: if you can't even pick a song yourself!\But the vice principal's been acting so strange lately...\True.\She's like one of those time-travelling robot weapons you see in the movies.\Except now she's run out of juice...\What?\Thank you for coming.\If this is about that thing, response:	I don't need to hear any more.
context: But the vice principal's been acting so strange lately...\True.\She's like one of those time-travelling robot weapons you see in the movies.\Except now she's run out of juice...\What?\Thank you for coming.\If this is about that thing,\I don't need to hear any more. response:	Um, right. My apologies.
context: True.\She's like one of those time-travelling robot weapons you see in the movies.\Except now she's run out of juice...\What?\Thank you for coming.\If this is about that thing,\I don't need to hear any more.\Um, right. My apologies. response:	Nao!
context: She's like one of those time-travelling robot weapons you see in the movies.\Except now she's run out of juice...\What?\Thank you for coming.\If this is about that thing,\I don't need to hear any more.\Um, right. My apologies.\Nao! response:	Hey! Cut the chatter!
context: Except now she's run out of juice...\What?\Thank you for coming.\If this is about that thing,\I don't need to hear any more.\Um, right. My apologies.\Nao!\Hey! Cut the chatter! response:	Get in your groups and do your exercises!
context: What?\Thank you for coming.\If this is about that thing,\I don't need to hear any more.\Um, right. My apologies.\Nao!\Hey! Cut the chatter!\Get in your groups and do your exercises! response:	Now!
context: Thank you for coming.\If this is about that thing,\I don't need to hear any more.\Um, right. My apologies.\Nao!\Hey! Cut the chatter!\Get in your groups and do your exercises!\Now! response:	Everbody's too relaxed, with the vice principal absent.
context: If this is about that thing,\I don't need to hear any more.\Um, right. My apologies.\Nao!\Hey! Cut the chatter!\Get in your groups and do your exercises!\Now!\Everbody's too relaxed, with the vice principal absent. response:	She's not showing up again today?
context: I don't need to hear any more.\Um, right. My apologies.\Nao!\Hey! Cut the chatter!\Get in your groups and do your exercises!\Now!\Everbody's too relaxed, with the vice principal absent.\She's not showing up again today? response:	It doesn't matter.
context: Um, right. My apologies.\Nao!\Hey! Cut the chatter!\Get in your groups and do your exercises!\Now!\Everbody's too relaxed, with the vice principal absent.\She's not showing up again today?\It doesn't matter. response:	We can do this on our own!
context: Nao!\Hey! Cut the chatter!\Get in your groups and do your exercises!\Now!\Everbody's too relaxed, with the vice principal absent.\She's not showing up again today?\It doesn't matter.\We can do this on our own! response:	Right.
context: Hey! Cut the chatter!\Get in your groups and do your exercises!\Now!\Everbody's too relaxed, with the vice principal absent.\She's not showing up again today?\It doesn't matter.\We can do this on our own!\Right. response:	She won't be here again? That's not good.
context: Get in your groups and do your exercises!\Now!\Everbody's too relaxed, with the vice principal absent.\She's not showing up again today?\It doesn't matter.\We can do this on our own!\Right.\She won't be here again? That's not good. response:	It's like a different club, compared to when I was here.
context: Now!\Everbody's too relaxed, with the vice principal absent.\She's not showing up again today?\It doesn't matter.\We can do this on our own!\Right.\She won't be here again? That's not good.\It's like a different club, compared to when I was here. response:	I'm sorry, we haven't finished our basic routine yet.
context: Everbody's too relaxed, with the vice principal absent.\She's not showing up again today?\It doesn't matter.\We can do this on our own!\Right.\She won't be here again? That's not good.\It's like a different club, compared to when I was here.\I'm sorry, we haven't finished our basic routine yet. response:	It's fine.
context: She's not showing up again today?\It doesn't matter.\We can do this on our own!\Right.\She won't be here again? That's not good.\It's like a different club, compared to when I was here.\I'm sorry, we haven't finished our basic routine yet.\It's fine. response:	This year's culture fair has been cancelled.
context: It doesn't matter.\We can do this on our own!\Right.\She won't be here again? That's not good.\It's like a different club, compared to when I was here.\I'm sorry, we haven't finished our basic routine yet.\It's fine.\This year's culture fair has been cancelled. response:	What?!
context: We can do this on our own!\Right.\She won't be here again? That's not good.\It's like a different club, compared to when I was here.\I'm sorry, we haven't finished our basic routine yet.\It's fine.\This year's culture fair has been cancelled.\What?! response:	We will have to suspend new student applications for next year.
context: Right.\She won't be here again? That's not good.\It's like a different club, compared to when I was here.\I'm sorry, we haven't finished our basic routine yet.\It's fine.\This year's culture fair has been cancelled.\What?!\We will have to suspend new student applications for next year. response:	As you are aware, the declining birth rate
context: She won't be here again? That's not good.\It's like a different club, compared to when I was here.\I'm sorry, we haven't finished our basic routine yet.\It's fine.\This year's culture fair has been cancelled.\What?!\We will have to suspend new student applications for next year.\As you are aware, the declining birth rate response:	has led to an annual decrease in students.
context: It's like a different club, compared to when I was here.\I'm sorry, we haven't finished our basic routine yet.\It's fine.\This year's culture fair has been cancelled.\What?!\We will have to suspend new student applications for next year.\As you are aware, the declining birth rate\has led to an annual decrease in students. response:	It's been extremely difficult for the school to
context: I'm sorry, we haven't finished our basic routine yet.\It's fine.\This year's culture fair has been cancelled.\What?!\We will have to suspend new student applications for next year.\As you are aware, the declining birth rate\has led to an annual decrease in students.\It's been extremely difficult for the school to response:	secure funding in recent years.
