context: It's Oracion Seis vs. our Allied Forces! response:	But all of a sudden the magical bomber Christina, our trump card, was blown up!
context: M-Me...?\This...\No... The painkiller parfum isn't working!\Hang in there, Erza!\What'll we do?\Lucy... I'm sorry.\I'm borrowing your belt.\Eyes off! response:	What are you doing, Erza?
context: This...\No... The painkiller parfum isn't working!\Hang in there, Erza!\What'll we do?\Lucy... I'm sorry.\I'm borrowing your belt.\Eyes off!\What are you doing, Erza? response:	Sorry...
context: No... The painkiller parfum isn't working!\Hang in there, Erza!\What'll we do?\Lucy... I'm sorry.\I'm borrowing your belt.\Eyes off!\What are you doing, Erza?\Sorry... response:	I can't fight like this.
context: Hang in there, Erza!\What'll we do?\Lucy... I'm sorry.\I'm borrowing your belt.\Eyes off!\What are you doing, Erza?\Sorry...\I can't fight like this. response:	Cut it off.
context: What'll we do?\Lucy... I'm sorry.\I'm borrowing your belt.\Eyes off!\What are you doing, Erza?\Sorry...\I can't fight like this.\Cut it off. response:	Don't be a fool!
context: Lucy... I'm sorry.\I'm borrowing your belt.\Eyes off!\What are you doing, Erza?\Sorry...\I can't fight like this.\Cut it off.\Don't be a fool! response:	Please... Someone...
context: I'm borrowing your belt.\Eyes off!\What are you doing, Erza?\Sorry...\I can't fight like this.\Cut it off.\Don't be a fool!\Please... Someone... response:	Understood.
context: Eyes off!\What are you doing, Erza?\Sorry...\I can't fight like this.\Cut it off.\Don't be a fool!\Please... Someone...\Understood. response:	I will do it.
context: What are you doing, Erza?\Sorry...\I can't fight like this.\Cut it off.\Don't be a fool!\Please... Someone...\Understood.\I will do it. response:	Lyon-sama...
context: Sorry...\I can't fight like this.\Cut it off.\Don't be a fool!\Please... Someone...\Understood.\I will do it.\Lyon-sama... response:	Lyon, don't!
context: I can't fight like this.\Cut it off.\Don't be a fool!\Please... Someone...\Understood.\I will do it.\Lyon-sama...\Lyon, don't! response:	Do it!
context: Cut it off.\Don't be a fool!\Please... Someone...\Understood.\I will do it.\Lyon-sama...\Lyon, don't!\Do it! response:	Stop!
context: Don't be a fool!\Please... Someone...\Understood.\I will do it.\Lyon-sama...\Lyon, don't!\Do it!\Stop! response:	L-Lyon?
context: Please... Someone...\Understood.\I will do it.\Lyon-sama...\Lyon, don't!\Do it!\Stop!\L-Lyon? response:	Are you really serious?
context: Understood.\I will do it.\Lyon-sama...\Lyon, don't!\Do it!\Stop!\L-Lyon?\Are you really serious? response:	We need her now more than ever.
context: I will do it.\Lyon-sama...\Lyon, don't!\Do it!\Stop!\L-Lyon?\Are you really serious?\We need her now more than ever. response:	But...
context: Lyon-sama...\Lyon, don't!\Do it!\Stop!\L-Lyon?\Are you really serious?\We need her now more than ever.\But... response:	Honestly! You Fairies are such weaklings!
context: Lyon, don't!\Do it!\Stop!\L-Lyon?\Are you really serious?\We need her now more than ever.\But...\Honestly! You Fairies are such weaklings! response:	At this rate, Erza-san will die, you know!
context: Do it!\Stop!\L-Lyon?\Are you really serious?\We need her now more than ever.\But...\Honestly! You Fairies are such weaklings!\At this rate, Erza-san will die, you know! response:	And what the heck do you know?
context: Stop!\L-Lyon?\Are you really serious?\We need her now more than ever.\But...\Honestly! You Fairies are such weaklings!\At this rate, Erza-san will die, you know!\And what the heck do you know? response:	This is also...
context: L-Lyon?\Are you really serious?\We need her now more than ever.\But...\Honestly! You Fairies are such weaklings!\At this rate, Erza-san will die, you know!\And what the heck do you know?\This is also... response:	If you're going to do it, hurry!
context: Are you really serious?\We need her now more than ever.\But...\Honestly! You Fairies are such weaklings!\At this rate, Erza-san will die, you know!\And what the heck do you know?\This is also...\If you're going to do it, hurry! response:	Soon the poison will spread through my entire body!
context: We need her now more than ever.\But...\Honestly! You Fairies are such weaklings!\At this rate, Erza-san will die, you know!\And what the heck do you know?\This is also...\If you're going to do it, hurry!\Soon the poison will spread through my entire body! response:	Stop this, Lyon!
context: But...\Honestly! You Fairies are such weaklings!\At this rate, Erza-san will die, you know!\And what the heck do you know?\This is also...\If you're going to do it, hurry!\Soon the poison will spread through my entire body!\Stop this, Lyon! response:	No! We cannot allow you to harm the body of a lady!
context: Honestly! You Fairies are such weaklings!\At this rate, Erza-san will die, you know!\And what the heck do you know?\This is also...\If you're going to do it, hurry!\Soon the poison will spread through my entire body!\Stop this, Lyon!\No! We cannot allow you to harm the body of a lady! response:	There must be some other way!
context: At this rate, Erza-san will die, you know!\And what the heck do you know?\This is also...\If you're going to do it, hurry!\Soon the poison will spread through my entire body!\Stop this, Lyon!\No! We cannot allow you to harm the body of a lady!\There must be some other way! response:	This is Erza-dono's own will!
context: And what the heck do you know?\This is also...\If you're going to do it, hurry!\Soon the poison will spread through my entire body!\Stop this, Lyon!\No! We cannot allow you to harm the body of a lady!\There must be some other way!\This is Erza-dono's own will! response:	Here I go!
context: This is also...\If you're going to do it, hurry!\Soon the poison will spread through my entire body!\Stop this, Lyon!\No! We cannot allow you to harm the body of a lady!\There must be some other way!\This is Erza-dono's own will!\Here I go! response:	You value her arm more than her life?
context: If you're going to do it, hurry!\Soon the poison will spread through my entire body!\Stop this, Lyon!\No! We cannot allow you to harm the body of a lady!\There must be some other way!\This is Erza-dono's own will!\Here I go!\You value her arm more than her life? response:	There might be another way.
context: Soon the poison will spread through my entire body!\Stop this, Lyon!\No! We cannot allow you to harm the body of a lady!\There must be some other way!\This is Erza-dono's own will!\Here I go!\You value her arm more than her life?\There might be another way. response:	Don't jump to conclusions!
context: Stop this, Lyon!\No! We cannot allow you to harm the body of a lady!\There must be some other way!\This is Erza-dono's own will!\Here I go!\You value her arm more than her life?\There might be another way.\Don't jump to conclusions! response:	Just as weak as always, Gray...
context: No! We cannot allow you to harm the body of a lady!\There must be some other way!\This is Erza-dono's own will!\Here I go!\You value her arm more than her life?\There might be another way.\Don't jump to conclusions!\Just as weak as always, Gray... response:	I was a fool for thinking you might have changed a little...
context: There must be some other way!\This is Erza-dono's own will!\Here I go!\You value her arm more than her life?\There might be another way.\Don't jump to conclusions!\Just as weak as always, Gray...\I was a fool for thinking you might have changed a little... response:	Erza!
context: This is Erza-dono's own will!\Here I go!\You value her arm more than her life?\There might be another way.\Don't jump to conclusions!\Just as weak as always, Gray...\I was a fool for thinking you might have changed a little...\Erza! response:	Erza!
context: Here I go!\You value her arm more than her life?\There might be another way.\Don't jump to conclusions!\Just as weak as always, Gray...\I was a fool for thinking you might have changed a little...\Erza!\Erza! response:	This is bad... At this rate the poison will spread throughout her body!
context: You value her arm more than her life?\There might be another way.\Don't jump to conclusions!\Just as weak as always, Gray...\I was a fool for thinking you might have changed a little...\Erza!\Erza!\This is bad... At this rate the poison will spread throughout her body! response:	Wendy could save her.
context: There might be another way.\Don't jump to conclusions!\Just as weak as always, Gray...\I was a fool for thinking you might have changed a little...\Erza!\Erza!\This is bad... At this rate the poison will spread throughout her body!\Wendy could save her. response:	This is not the time to be fighting amongst ourselves.
context: Don't jump to conclusions!\Just as weak as always, Gray...\I was a fool for thinking you might have changed a little...\Erza!\Erza!\This is bad... At this rate the poison will spread throughout her body!\Wendy could save her.\This is not the time to be fighting amongst ourselves. response:	We'll work together, and save Wendy!
context: Just as weak as always, Gray...\I was a fool for thinking you might have changed a little...\Erza!\Erza!\This is bad... At this rate the poison will spread throughout her body!\Wendy could save her.\This is not the time to be fighting amongst ourselves.\We'll work together, and save Wendy! response:	And that male cat, while we're at it.
context: I was a fool for thinking you might have changed a little...\Erza!\Erza!\This is bad... At this rate the poison will spread throughout her body!\Wendy could save her.\This is not the time to be fighting amongst ourselves.\We'll work together, and save Wendy!\And that male cat, while we're at it. response:	Wendy? That little girl has magic that can purify poison?
context: Erza!\Erza!\This is bad... At this rate the poison will spread throughout her body!\Wendy could save her.\This is not the time to be fighting amongst ourselves.\We'll work together, and save Wendy!\And that male cat, while we're at it.\Wendy? That little girl has magic that can purify poison? response:	Impressive...
context: Erza!\This is bad... At this rate the poison will spread throughout her body!\Wendy could save her.\This is not the time to be fighting amongst ourselves.\We'll work together, and save Wendy!\And that male cat, while we're at it.\Wendy? That little girl has magic that can purify poison?\Impressive... response:	Not just poison. She can cure fevers, stop pain, and heal injuries.
context: This is bad... At this rate the poison will spread throughout her body!\Wendy could save her.\This is not the time to be fighting amongst ourselves.\We'll work together, and save Wendy!\And that male cat, while we're at it.\Wendy? That little girl has magic that can purify poison?\Impressive...\Not just poison. She can cure fevers, stop pain, and heal injuries. response:	My... Why do I feel like my identity is suddenly weakened?
context: Wendy could save her.\This is not the time to be fighting amongst ourselves.\We'll work together, and save Wendy!\And that male cat, while we're at it.\Wendy? That little girl has magic that can purify poison?\Impressive...\Not just poison. She can cure fevers, stop pain, and heal injuries.\My... Why do I feel like my identity is suddenly weakened? response:	But I thought Healing Magic was a Lost Magic.
context: This is not the time to be fighting amongst ourselves.\We'll work together, and save Wendy!\And that male cat, while we're at it.\Wendy? That little girl has magic that can purify poison?\Impressive...\Not just poison. She can cure fevers, stop pain, and heal injuries.\My... Why do I feel like my identity is suddenly weakened?\But I thought Healing Magic was a Lost Magic. response:	Wasn't it lost to the ages?
context: We'll work together, and save Wendy!\And that male cat, while we're at it.\Wendy? That little girl has magic that can purify poison?\Impressive...\Not just poison. She can cure fevers, stop pain, and heal injuries.\My... Why do I feel like my identity is suddenly weakened?\But I thought Healing Magic was a Lost Magic.\Wasn't it lost to the ages? response:	Wait, does it have something to do with the Maiden of the Sky thing?
context: And that male cat, while we're at it.\Wendy? That little girl has magic that can purify poison?\Impressive...\Not just poison. She can cure fevers, stop pain, and heal injuries.\My... Why do I feel like my identity is suddenly weakened?\But I thought Healing Magic was a Lost Magic.\Wasn't it lost to the ages?\Wait, does it have something to do with the Maiden of the Sky thing? response:	Wendy is the Sky Dragon Slayer.
context: Wendy? That little girl has magic that can purify poison?\Impressive...\Not just poison. She can cure fevers, stop pain, and heal injuries.\My... Why do I feel like my identity is suddenly weakened?\But I thought Healing Magic was a Lost Magic.\Wasn't it lost to the ages?\Wait, does it have something to do with the Maiden of the Sky thing?\Wendy is the Sky Dragon Slayer. response:	Wendy, the Sky Dragon!
context: Impressive...\Not just poison. She can cure fevers, stop pain, and heal injuries.\My... Why do I feel like my identity is suddenly weakened?\But I thought Healing Magic was a Lost Magic.\Wasn't it lost to the ages?\Wait, does it have something to do with the Maiden of the Sky thing?\Wendy is the Sky Dragon Slayer.\Wendy, the Sky Dragon! response:	A Dragon Slayer?
context: Not just poison. She can cure fevers, stop pain, and heal injuries.\My... Why do I feel like my identity is suddenly weakened?\But I thought Healing Magic was a Lost Magic.\Wasn't it lost to the ages?\Wait, does it have something to do with the Maiden of the Sky thing?\Wendy is the Sky Dragon Slayer.\Wendy, the Sky Dragon!\A Dragon Slayer? response:	The details can wait until later.
context: My... Why do I feel like my identity is suddenly weakened?\But I thought Healing Magic was a Lost Magic.\Wasn't it lost to the ages?\Wait, does it have something to do with the Maiden of the Sky thing?\Wendy is the Sky Dragon Slayer.\Wendy, the Sky Dragon!\A Dragon Slayer?\The details can wait until later. response:	Actually, I won't tell you more anyway.
context: But I thought Healing Magic was a Lost Magic.\Wasn't it lost to the ages?\Wait, does it have something to do with the Maiden of the Sky thing?\Wendy is the Sky Dragon Slayer.\Wendy, the Sky Dragon!\A Dragon Slayer?\The details can wait until later.\Actually, I won't tell you more anyway. response:	What we need now is Wendy.
context: Wasn't it lost to the ages?\Wait, does it have something to do with the Maiden of the Sky thing?\Wendy is the Sky Dragon Slayer.\Wendy, the Sky Dragon!\A Dragon Slayer?\The details can wait until later.\Actually, I won't tell you more anyway.\What we need now is Wendy. response:	And although I don't know why, they seem to need Wendy as well.
context: Wait, does it have something to do with the Maiden of the Sky thing?\Wendy is the Sky Dragon Slayer.\Wendy, the Sky Dragon!\A Dragon Slayer?\The details can wait until later.\Actually, I won't tell you more anyway.\What we need now is Wendy.\And although I don't know why, they seem to need Wendy as well. response:	Which means...
context: Wendy is the Sky Dragon Slayer.\Wendy, the Sky Dragon!\A Dragon Slayer?\The details can wait until later.\Actually, I won't tell you more anyway.\What we need now is Wendy.\And although I don't know why, they seem to need Wendy as well.\Which means... response:	We will save Wendy-chan!
context: Wendy, the Sky Dragon!\A Dragon Slayer?\The details can wait until later.\Actually, I won't tell you more anyway.\What we need now is Wendy.\And although I don't know why, they seem to need Wendy as well.\Which means...\We will save Wendy-chan! response:	For Erza's sake as well!
context: A Dragon Slayer?\The details can wait until later.\Actually, I won't tell you more anyway.\What we need now is Wendy.\And although I don't know why, they seem to need Wendy as well.\Which means...\We will save Wendy-chan!\For Erza's sake as well! response:	And Happy, too!
context: The details can wait until later.\Actually, I won't tell you more anyway.\What we need now is Wendy.\And although I don't know why, they seem to need Wendy as well.\Which means...\We will save Wendy-chan!\For Erza's sake as well!\And Happy, too! response:	All right! Let's go!
context: Actually, I won't tell you more anyway.\What we need now is Wendy.\And although I don't know why, they seem to need Wendy as well.\Which means...\We will save Wendy-chan!\For Erza's sake as well!\And Happy, too!\All right! Let's go! response:	Deep in the Worth Woodsea.
context: What we need now is Wendy.\And although I don't know why, they seem to need Wendy as well.\Which means...\We will save Wendy-chan!\For Erza's sake as well!\And Happy, too!\All right! Let's go!\Deep in the Worth Woodsea. response:	This is a place which used to be a city of the ancients.
context: And although I don't know why, they seem to need Wendy as well.\Which means...\We will save Wendy-chan!\For Erza's sake as well!\And Happy, too!\All right! Let's go!\Deep in the Worth Woodsea.\This is a place which used to be a city of the ancients. response:	It is said they performed rituals in these caves
context: Which means...\We will save Wendy-chan!\For Erza's sake as well!\And Happy, too!\All right! Let's go!\Deep in the Worth Woodsea.\This is a place which used to be a city of the ancients.\It is said they performed rituals in these caves response:	by shutting Shrine Maidens inside, where they would hear the voices of the gods...
context: We will save Wendy-chan!\For Erza's sake as well!\And Happy, too!\All right! Let's go!\Deep in the Worth Woodsea.\This is a place which used to be a city of the ancients.\It is said they performed rituals in these caves\by shutting Shrine Maidens inside, where they would hear the voices of the gods... response:	However, now it is being used by Oracion Seis as their base of operations.
context: For Erza's sake as well!\And Happy, too!\All right! Let's go!\Deep in the Worth Woodsea.\This is a place which used to be a city of the ancients.\It is said they performed rituals in these caves\by shutting Shrine Maidens inside, where they would hear the voices of the gods...\However, now it is being used by Oracion Seis as their base of operations. response:	Don't be violent! She's just a little girl!
context: And Happy, too!\All right! Let's go!\Deep in the Worth Woodsea.\This is a place which used to be a city of the ancients.\It is said they performed rituals in these caves\by shutting Shrine Maidens inside, where they would hear the voices of the gods...\However, now it is being used by Oracion Seis as their base of operations.\Don't be violent! She's just a little girl! response:	Happy...
context: All right! Let's go!\Deep in the Worth Woodsea.\This is a place which used to be a city of the ancients.\It is said they performed rituals in these caves\by shutting Shrine Maidens inside, where they would hear the voices of the gods...\However, now it is being used by Oracion Seis as their base of operations.\Don't be violent! She's just a little girl!\Happy... response:	Stop it!
context: Deep in the Worth Woodsea.\This is a place which used to be a city of the ancients.\It is said they performed rituals in these caves\by shutting Shrine Maidens inside, where they would hear the voices of the gods...\However, now it is being used by Oracion Seis as their base of operations.\Don't be violent! She's just a little girl!\Happy...\Stop it! response:	Happy, are you okay?
context: This is a place which used to be a city of the ancients.\It is said they performed rituals in these caves\by shutting Shrine Maidens inside, where they would hear the voices of the gods...\However, now it is being used by Oracion Seis as their base of operations.\Don't be violent! She's just a little girl!\Happy...\Stop it!\Happy, are you okay? response:	Don't worry, Wendy. I'll get you out of here, I promise.
context: It is said they performed rituals in these caves\by shutting Shrine Maidens inside, where they would hear the voices of the gods...\However, now it is being used by Oracion Seis as their base of operations.\Don't be violent! She's just a little girl!\Happy...\Stop it!\Happy, are you okay?\Don't worry, Wendy. I'll get you out of here, I promise. response:	Happy...
context: by shutting Shrine Maidens inside, where they would hear the voices of the gods...\However, now it is being used by Oracion Seis as their base of operations.\Don't be violent! She's just a little girl!\Happy...\Stop it!\Happy, are you okay?\Don't worry, Wendy. I'll get you out of here, I promise.\Happy... response:	Brain, who is this girl?
context: However, now it is being used by Oracion Seis as their base of operations.\Don't be violent! She's just a little girl!\Happy...\Stop it!\Happy, are you okay?\Don't worry, Wendy. I'll get you out of here, I promise.\Happy...\Brain, who is this girl? response:	She have something to do with Nirvana?
context: Don't be violent! She's just a little girl!\Happy...\Stop it!\Happy, are you okay?\Don't worry, Wendy. I'll get you out of here, I promise.\Happy...\Brain, who is this girl?\She have something to do with Nirvana? response:	Doesn't look like it to me.
context: Happy...\Stop it!\Happy, are you okay?\Don't worry, Wendy. I'll get you out of here, I promise.\Happy...\Brain, who is this girl?\She have something to do with Nirvana?\Doesn't look like it to me. response:	I see! We'll sell her for money, yes?!
context: Stop it!\Happy, are you okay?\Don't worry, Wendy. I'll get you out of here, I promise.\Happy...\Brain, who is this girl?\She have something to do with Nirvana?\Doesn't look like it to me.\I see! We'll sell her for money, yes?! response:	Is that all you ever think about?
context: Happy, are you okay?\Don't worry, Wendy. I'll get you out of here, I promise.\Happy...\Brain, who is this girl?\She have something to do with Nirvana?\Doesn't look like it to me.\I see! We'll sell her for money, yes?!\Is that all you ever think about? response:	As long as you have money, you can even buy love!
context: Don't worry, Wendy. I'll get you out of here, I promise.\Happy...\Brain, who is this girl?\She have something to do with Nirvana?\Doesn't look like it to me.\I see! We'll sell her for money, yes?!\Is that all you ever think about?\As long as you have money, you can even buy love! response:	Oh yeah?
context: Happy...\Brain, who is this girl?\She have something to do with Nirvana?\Doesn't look like it to me.\I see! We'll sell her for money, yes?!\Is that all you ever think about?\As long as you have money, you can even buy love!\Oh yeah? response:	She can use Sky Magic.
context: Brain, who is this girl?\She have something to do with Nirvana?\Doesn't look like it to me.\I see! We'll sell her for money, yes?!\Is that all you ever think about?\As long as you have money, you can even buy love!\Oh yeah?\She can use Sky Magic. response:	In other words, Healing Magic.
context: She have something to do with Nirvana?\Doesn't look like it to me.\I see! We'll sell her for money, yes?!\Is that all you ever think about?\As long as you have money, you can even buy love!\Oh yeah?\She can use Sky Magic.\In other words, Healing Magic. response:	Healing Magic?
context: Doesn't look like it to me.\I see! We'll sell her for money, yes?!\Is that all you ever think about?\As long as you have money, you can even buy love!\Oh yeah?\She can use Sky Magic.\In other words, Healing Magic.\Healing Magic? response:	A Lost Magic...
context: I see! We'll sell her for money, yes?!\Is that all you ever think about?\As long as you have money, you can even buy love!\Oh yeah?\She can use Sky Magic.\In other words, Healing Magic.\Healing Magic?\A Lost Magic... response:	An ancient magic that was thought to be forgotten...
context: Is that all you ever think about?\As long as you have money, you can even buy love!\Oh yeah?\She can use Sky Magic.\In other words, Healing Magic.\Healing Magic?\A Lost Magic...\An ancient magic that was thought to be forgotten... response:	Ooh! This smells like money to me!
context: As long as you have money, you can even buy love!\Oh yeah?\She can use Sky Magic.\In other words, Healing Magic.\Healing Magic?\A Lost Magic...\An ancient magic that was thought to be forgotten...\Ooh! This smells like money to me! response:	This little girl?
context: Oh yeah?\She can use Sky Magic.\In other words, Healing Magic.\Healing Magic?\A Lost Magic...\An ancient magic that was thought to be forgotten...\Ooh! This smells like money to me!\This little girl? response:	Impossible!
context: She can use Sky Magic.\In other words, Healing Magic.\Healing Magic?\A Lost Magic...\An ancient magic that was thought to be forgotten...\Ooh! This smells like money to me!\This little girl?\Impossible! response:	Exactly.
context: In other words, Healing Magic.\Healing Magic?\A Lost Magic...\An ancient magic that was thought to be forgotten...\Ooh! This smells like money to me!\This little girl?\Impossible!\Exactly. response:	We will resurrect him!
context: Healing Magic?\A Lost Magic...\An ancient magic that was thought to be forgotten...\Ooh! This smells like money to me!\This little girl?\Impossible!\Exactly.\We will resurrect him! response:	Resurrect who?
context: A Lost Magic...\An ancient magic that was thought to be forgotten...\Ooh! This smells like money to me!\This little girl?\Impossible!\Exactly.\We will resurrect him!\Resurrect who? response:	I don't really know... But I'm not going to help bad people!
context: An ancient magic that was thought to be forgotten...\Ooh! This smells like money to me!\This little girl?\Impossible!\Exactly.\We will resurrect him!\Resurrect who?\I don't really know... But I'm not going to help bad people! response:	Oh, you will. You will indeed.
context: Ooh! This smells like money to me!\This little girl?\Impossible!\Exactly.\We will resurrect him!\Resurrect who?\I don't really know... But I'm not going to help bad people!\Oh, you will. You will indeed. response:	You will resurrect him for us.
context: This little girl?\Impossible!\Exactly.\We will resurrect him!\Resurrect who?\I don't really know... But I'm not going to help bad people!\Oh, you will. You will indeed.\You will resurrect him for us. response:	Racer, bring him here.
context: Impossible!\Exactly.\We will resurrect him!\Resurrect who?\I don't really know... But I'm not going to help bad people!\Oh, you will. You will indeed.\You will resurrect him for us.\Racer, bring him here. response:	That's a long ways. It'll take even me an hour.
context: Exactly.\We will resurrect him!\Resurrect who?\I don't really know... But I'm not going to help bad people!\Oh, you will. You will indeed.\You will resurrect him for us.\Racer, bring him here.\That's a long ways. It'll take even me an hour. response:	No matter.
context: We will resurrect him!\Resurrect who?\I don't really know... But I'm not going to help bad people!\Oh, you will. You will indeed.\You will resurrect him for us.\Racer, bring him here.\That's a long ways. It'll take even me an hour.\No matter. response:	I see. If we resurrect him, Nirvana is as good as found.
context: Resurrect who?\I don't really know... But I'm not going to help bad people!\Oh, you will. You will indeed.\You will resurrect him for us.\Racer, bring him here.\That's a long ways. It'll take even me an hour.\No matter.\I see. If we resurrect him, Nirvana is as good as found. response:	Is that what you're thinking, Brain?
context: I don't really know... But I'm not going to help bad people!\Oh, you will. You will indeed.\You will resurrect him for us.\Racer, bring him here.\That's a long ways. It'll take even me an hour.\No matter.\I see. If we resurrect him, Nirvana is as good as found.\Is that what you're thinking, Brain? response:	Cobra, Hot Eye, Angel... Continue to search for Nirvana.
context: Oh, you will. You will indeed.\You will resurrect him for us.\Racer, bring him here.\That's a long ways. It'll take even me an hour.\No matter.\I see. If we resurrect him, Nirvana is as good as found.\Is that what you're thinking, Brain?\Cobra, Hot Eye, Angel... Continue to search for Nirvana. response:	But if we resurrect him, that won't be necessary.
context: You will resurrect him for us.\Racer, bring him here.\That's a long ways. It'll take even me an hour.\No matter.\I see. If we resurrect him, Nirvana is as good as found.\Is that what you're thinking, Brain?\Cobra, Hot Eye, Angel... Continue to search for Nirvana.\But if we resurrect him, that won't be necessary. response:	I asked you a question! Who are you trying to revive?
context: Racer, bring him here.\That's a long ways. It'll take even me an hour.\No matter.\I see. If we resurrect him, Nirvana is as good as found.\Is that what you're thinking, Brain?\Cobra, Hot Eye, Angel... Continue to search for Nirvana.\But if we resurrect him, that won't be necessary.\I asked you a question! Who are you trying to revive? response:	And just in case... Midnight and I will remain here.
context: That's a long ways. It'll take even me an hour.\No matter.\I see. If we resurrect him, Nirvana is as good as found.\Is that what you're thinking, Brain?\Cobra, Hot Eye, Angel... Continue to search for Nirvana.\But if we resurrect him, that won't be necessary.\I asked you a question! Who are you trying to revive?\And just in case... Midnight and I will remain here. response:	It doesn't like like Mid's going to do anything, though...
context: No matter.\I see. If we resurrect him, Nirvana is as good as found.\Is that what you're thinking, Brain?\Cobra, Hot Eye, Angel... Continue to search for Nirvana.\But if we resurrect him, that won't be necessary.\I asked you a question! Who are you trying to revive?\And just in case... Midnight and I will remain here.\It doesn't like like Mid's going to do anything, though... response:	Ah well, guess we're off then...
context: I see. If we resurrect him, Nirvana is as good as found.\Is that what you're thinking, Brain?\Cobra, Hot Eye, Angel... Continue to search for Nirvana.\But if we resurrect him, that won't be necessary.\I asked you a question! Who are you trying to revive?\And just in case... Midnight and I will remain here.\It doesn't like like Mid's going to do anything, though...\Ah well, guess we're off then... response:	Hey, let's race!
context: Is that what you're thinking, Brain?\Cobra, Hot Eye, Angel... Continue to search for Nirvana.\But if we resurrect him, that won't be necessary.\I asked you a question! Who are you trying to revive?\And just in case... Midnight and I will remain here.\It doesn't like like Mid's going to do anything, though...\Ah well, guess we're off then...\Hey, let's race! response:	The first one of us to find Nirvana...
context: Cobra, Hot Eye, Angel... Continue to search for Nirvana.\But if we resurrect him, that won't be necessary.\I asked you a question! Who are you trying to revive?\And just in case... Midnight and I will remain here.\It doesn't like like Mid's going to do anything, though...\Ah well, guess we're off then...\Hey, let's race!\The first one of us to find Nirvana... response:	Gets 1 million jewel! Yes!
context: But if we resurrect him, that won't be necessary.\I asked you a question! Who are you trying to revive?\And just in case... Midnight and I will remain here.\It doesn't like like Mid's going to do anything, though...\Ah well, guess we're off then...\Hey, let's race!\The first one of us to find Nirvana...\Gets 1 million jewel! Yes! response:	A million? That's a lot...
context: I asked you a question! Who are you trying to revive?\And just in case... Midnight and I will remain here.\It doesn't like like Mid's going to do anything, though...\Ah well, guess we're off then...\Hey, let's race!\The first one of us to find Nirvana...\Gets 1 million jewel! Yes!\A million? That's a lot... response:	Wendy, what are they talking about?
context: And just in case... Midnight and I will remain here.\It doesn't like like Mid's going to do anything, though...\Ah well, guess we're off then...\Hey, let's race!\The first one of us to find Nirvana...\Gets 1 million jewel! Yes!\A million? That's a lot...\Wendy, what are they talking about? response:	I don't know either.
context: It doesn't like like Mid's going to do anything, though...\Ah well, guess we're off then...\Hey, let's race!\The first one of us to find Nirvana...\Gets 1 million jewel! Yes!\A million? That's a lot...\Wendy, what are they talking about?\I don't know either. response:	What kind of magic is Nirvana?
context: Ah well, guess we're off then...\Hey, let's race!\The first one of us to find Nirvana...\Gets 1 million jewel! Yes!\A million? That's a lot...\Wendy, what are they talking about?\I don't know either.\What kind of magic is Nirvana? response:	Magic that switches Darkness for Light.
context: Hey, let's race!\The first one of us to find Nirvana...\Gets 1 million jewel! Yes!\A million? That's a lot...\Wendy, what are they talking about?\I don't know either.\What kind of magic is Nirvana?\Magic that switches Darkness for Light. response:	Light and Darkness?
context: The first one of us to find Nirvana...\Gets 1 million jewel! Yes!\A million? That's a lot...\Wendy, what are they talking about?\I don't know either.\What kind of magic is Nirvana?\Magic that switches Darkness for Light.\Light and Darkness? response:	I don't understand at all.
context: Gets 1 million jewel! Yes!\A million? That's a lot...\Wendy, what are they talking about?\I don't know either.\What kind of magic is Nirvana?\Magic that switches Darkness for Light.\Light and Darkness?\I don't understand at all. response:	Around that time, Natsu and the rest have split up into groups to search for Wendy and Happy.
context: A million? That's a lot...\Wendy, what are they talking about?\I don't know either.\What kind of magic is Nirvana?\Magic that switches Darkness for Light.\Light and Darkness?\I don't understand at all.\Around that time, Natsu and the rest have split up into groups to search for Wendy and Happy. response:	Fairy Tail's Natsu, Gray, and Caitshelter's Charles.
context: Wendy, what are they talking about?\I don't know either.\What kind of magic is Nirvana?\Magic that switches Darkness for Light.\Light and Darkness?\I don't understand at all.\Around that time, Natsu and the rest have split up into groups to search for Wendy and Happy.\Fairy Tail's Natsu, Gray, and Caitshelter's Charles. response:	Lamia Scale's Jura, Lyon, and Sherry.
context: I don't know either.\What kind of magic is Nirvana?\Magic that switches Darkness for Light.\Light and Darkness?\I don't understand at all.\Around that time, Natsu and the rest have split up into groups to search for Wendy and Happy.\Fairy Tail's Natsu, Gray, and Caitshelter's Charles.\Lamia Scale's Jura, Lyon, and Sherry. response:	Blue Pegasus's Ichiya, Ren, and Eve.
context: What kind of magic is Nirvana?\Magic that switches Darkness for Light.\Light and Darkness?\I don't understand at all.\Around that time, Natsu and the rest have split up into groups to search for Wendy and Happy.\Fairy Tail's Natsu, Gray, and Caitshelter's Charles.\Lamia Scale's Jura, Lyon, and Sherry.\Blue Pegasus's Ichiya, Ren, and Eve. response:	Wait, Ren... I can't see Ichiya-sama.
context: Magic that switches Darkness for Light.\Light and Darkness?\I don't understand at all.\Around that time, Natsu and the rest have split up into groups to search for Wendy and Happy.\Fairy Tail's Natsu, Gray, and Caitshelter's Charles.\Lamia Scale's Jura, Lyon, and Sherry.\Blue Pegasus's Ichiya, Ren, and Eve.\Wait, Ren... I can't see Ichiya-sama. response:	Ichiya-sama, where are you?
