context: For some odd reason, it felt like something was amiss. response:	On TV, there was a match between two teams that I had never heard of before,
context: I'm okay.\That's great.\Yes...\Why?\Why did I call out to her?\The next morning.\The call that stole my indolence away was, once again, from Haruhi.\Tonight at the public sports ground. response:	We're going to buy yukatas together!
context: That's great.\Yes...\Why?\Why did I call out to her?\The next morning.\The call that stole my indolence away was, once again, from Haruhi.\Tonight at the public sports ground.\We're going to buy yukatas together! response:	Haruhi led us into a bulk clothing store,
context: Yes...\Why?\Why did I call out to her?\The next morning.\The call that stole my indolence away was, once again, from Haruhi.\Tonight at the public sports ground.\We're going to buy yukatas together!\Haruhi led us into a bulk clothing store, response:	personally chose Asahina-san and Nagato's yukatas,
context: Why?\Why did I call out to her?\The next morning.\The call that stole my indolence away was, once again, from Haruhi.\Tonight at the public sports ground.\We're going to buy yukatas together!\Haruhi led us into a bulk clothing store,\personally chose Asahina-san and Nagato's yukatas, response:	and then immediately proceeded to drag them into the changing rooms.
context: Why did I call out to her?\The next morning.\The call that stole my indolence away was, once again, from Haruhi.\Tonight at the public sports ground.\We're going to buy yukatas together!\Haruhi led us into a bulk clothing store,\personally chose Asahina-san and Nagato's yukatas,\and then immediately proceeded to drag them into the changing rooms. response:	After making us wait for nearly an hour,
context: The next morning.\The call that stole my indolence away was, once again, from Haruhi.\Tonight at the public sports ground.\We're going to buy yukatas together!\Haruhi led us into a bulk clothing store,\personally chose Asahina-san and Nagato's yukatas,\and then immediately proceeded to drag them into the changing rooms.\After making us wait for nearly an hour, response:	the three of them finally returned.
context: The call that stole my indolence away was, once again, from Haruhi.\Tonight at the public sports ground.\We're going to buy yukatas together!\Haruhi led us into a bulk clothing store,\personally chose Asahina-san and Nagato's yukatas,\and then immediately proceeded to drag them into the changing rooms.\After making us wait for nearly an hour,\the three of them finally returned. response:	Woah, they look great on you girls.
context: Tonight at the public sports ground.\We're going to buy yukatas together!\Haruhi led us into a bulk clothing store,\personally chose Asahina-san and Nagato's yukatas,\and then immediately proceeded to drag them into the changing rooms.\After making us wait for nearly an hour,\the three of them finally returned.\Woah, they look great on you girls. response:	Of course! I picked them out, after all.
context: We're going to buy yukatas together!\Haruhi led us into a bulk clothing store,\personally chose Asahina-san and Nagato's yukatas,\and then immediately proceeded to drag them into the changing rooms.\After making us wait for nearly an hour,\the three of them finally returned.\Woah, they look great on you girls.\Of course! I picked them out, after all. response:	Especially Mikuru-chan!
context: Haruhi led us into a bulk clothing store,\personally chose Asahina-san and Nagato's yukatas,\and then immediately proceeded to drag them into the changing rooms.\After making us wait for nearly an hour,\the three of them finally returned.\Woah, they look great on you girls.\Of course! I picked them out, after all.\Especially Mikuru-chan! response:	It's so cute! Just what I'd expect from myself!
context: personally chose Asahina-san and Nagato's yukatas,\and then immediately proceeded to drag them into the changing rooms.\After making us wait for nearly an hour,\the three of them finally returned.\Woah, they look great on you girls.\Of course! I picked them out, after all.\Especially Mikuru-chan!\It's so cute! Just what I'd expect from myself! response:	Y-Yes it is...
context: and then immediately proceeded to drag them into the changing rooms.\After making us wait for nearly an hour,\the three of them finally returned.\Woah, they look great on you girls.\Of course! I picked them out, after all.\Especially Mikuru-chan!\It's so cute! Just what I'd expect from myself!\Y-Yes it is... response:	Turning red triples your cuteness!
context: After making us wait for nearly an hour,\the three of them finally returned.\Woah, they look great on you girls.\Of course! I picked them out, after all.\Especially Mikuru-chan!\It's so cute! Just what I'd expect from myself!\Y-Yes it is...\Turning red triples your cuteness! response:	Bon dancing, huh? It attracts quite the crowd.
context: the three of them finally returned.\Woah, they look great on you girls.\Of course! I picked them out, after all.\Especially Mikuru-chan!\It's so cute! Just what I'd expect from myself!\Y-Yes it is...\Turning red triples your cuteness!\Bon dancing, huh? It attracts quite the crowd. response:	It should be my first time in a while,
context: Woah, they look great on you girls.\Of course! I picked them out, after all.\Especially Mikuru-chan!\It's so cute! Just what I'd expect from myself!\Y-Yes it is...\Turning red triples your cuteness!\Bon dancing, huh? It attracts quite the crowd.\It should be my first time in a while, response:	so why do I get the feeling that I've been here just recently?
context: Of course! I picked them out, after all.\Especially Mikuru-chan!\It's so cute! Just what I'd expect from myself!\Y-Yes it is...\Turning red triples your cuteness!\Bon dancing, huh? It attracts quite the crowd.\It should be my first time in a while,\so why do I get the feeling that I've been here just recently? response:	That stage...
context: Especially Mikuru-chan!\It's so cute! Just what I'd expect from myself!\Y-Yes it is...\Turning red triples your cuteness!\Bon dancing, huh? It attracts quite the crowd.\It should be my first time in a while,\so why do I get the feeling that I've been here just recently?\That stage... response:	That food stall...
context: It's so cute! Just what I'd expect from myself!\Y-Yes it is...\Turning red triples your cuteness!\Bon dancing, huh? It attracts quite the crowd.\It should be my first time in a while,\so why do I get the feeling that I've been here just recently?\That stage...\That food stall... response:	Mikuru-chan!
context: Y-Yes it is...\Turning red triples your cuteness!\Bon dancing, huh? It attracts quite the crowd.\It should be my first time in a while,\so why do I get the feeling that I've been here just recently?\That stage...\That food stall...\Mikuru-chan! response:	They have the goldfish scooping that you wanted to do over there!
context: Turning red triples your cuteness!\Bon dancing, huh? It attracts quite the crowd.\It should be my first time in a while,\so why do I get the feeling that I've been here just recently?\That stage...\That food stall...\Mikuru-chan!\They have the goldfish scooping that you wanted to do over there! response:	Let's scoop non-stop!
context: Bon dancing, huh? It attracts quite the crowd.\It should be my first time in a while,\so why do I get the feeling that I've been here just recently?\That stage...\That food stall...\Mikuru-chan!\They have the goldfish scooping that you wanted to do over there!\Let's scoop non-stop! response:	Okay.
context: It should be my first time in a while,\so why do I get the feeling that I've been here just recently?\That stage...\That food stall...\Mikuru-chan!\They have the goldfish scooping that you wanted to do over there!\Let's scoop non-stop!\Okay. response:	Shall we do the same? How about a little competition?
context: so why do I get the feeling that I've been here just recently?\That stage...\That food stall...\Mikuru-chan!\They have the goldfish scooping that you wanted to do over there!\Let's scoop non-stop!\Okay.\Shall we do the same? How about a little competition? response:	I'll pass.
context: That stage...\That food stall...\Mikuru-chan!\They have the goldfish scooping that you wanted to do over there!\Let's scoop non-stop!\Okay.\Shall we do the same? How about a little competition?\I'll pass. response:	Aside from that, Nagato, do you want to get something to eat?
context: That food stall...\Mikuru-chan!\They have the goldfish scooping that you wanted to do over there!\Let's scoop non-stop!\Okay.\Shall we do the same? How about a little competition?\I'll pass.\Aside from that, Nagato, do you want to get something to eat? response:	You're interested in that stuff?
context: Mikuru-chan!\They have the goldfish scooping that you wanted to do over there!\Let's scoop non-stop!\Okay.\Shall we do the same? How about a little competition?\I'll pass.\Aside from that, Nagato, do you want to get something to eat?\You're interested in that stuff? response:	Which do you want?
context: They have the goldfish scooping that you wanted to do over there!\Let's scoop non-stop!\Okay.\Shall we do the same? How about a little competition?\I'll pass.\Aside from that, Nagato, do you want to get something to eat?\You're interested in that stuff?\Which do you want? response:	It's all right.
context: Let's scoop non-stop!\Okay.\Shall we do the same? How about a little competition?\I'll pass.\Aside from that, Nagato, do you want to get something to eat?\You're interested in that stuff?\Which do you want?\It's all right. response:	This.
context: Okay.\Shall we do the same? How about a little competition?\I'll pass.\Aside from that, Nagato, do you want to get something to eat?\You're interested in that stuff?\Which do you want?\It's all right.\This. response:	Sure!
context: Shall we do the same? How about a little competition?\I'll pass.\Aside from that, Nagato, do you want to get something to eat?\You're interested in that stuff?\Which do you want?\It's all right.\This.\Sure! response:	That's 800 yen.
context: I'll pass.\Aside from that, Nagato, do you want to get something to eat?\You're interested in that stuff?\Which do you want?\It's all right.\This.\Sure!\That's 800 yen. response:	For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...
context: Aside from that, Nagato, do you want to get something to eat?\You're interested in that stuff?\Which do you want?\It's all right.\This.\Sure!\That's 800 yen.\For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but... response:	Man, we had a huge catch today! Huge!
context: You're interested in that stuff?\Which do you want?\It's all right.\This.\Sure!\That's 800 yen.\For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...\Man, we had a huge catch today! Huge! response:	But we just took one because we didn't need all of them.
context: Which do you want?\It's all right.\This.\Sure!\That's 800 yen.\For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...\Man, we had a huge catch today! Huge!\But we just took one because we didn't need all of them. response:	And another one for Mikuru too.
context: It's all right.\This.\Sure!\That's 800 yen.\For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...\Man, we had a huge catch today! Huge!\But we just took one because we didn't need all of them.\And another one for Mikuru too. response:	It's okay for you to have one.
context: This.\Sure!\That's 800 yen.\For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...\Man, we had a huge catch today! Huge!\But we just took one because we didn't need all of them.\And another one for Mikuru too.\It's okay for you to have one. response:	Thanks.
context: Sure!\That's 800 yen.\For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...\Man, we had a huge catch today! Huge!\But we just took one because we didn't need all of them.\And another one for Mikuru too.\It's okay for you to have one.\Thanks. response:	Huh? Yuki, what's with the mask?
context: That's 800 yen.\For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...\Man, we had a huge catch today! Huge!\But we just took one because we didn't need all of them.\And another one for Mikuru too.\It's okay for you to have one.\Thanks.\Huh? Yuki, what's with the mask? response:	I bought it.
context: For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...\Man, we had a huge catch today! Huge!\But we just took one because we didn't need all of them.\And another one for Mikuru too.\It's okay for you to have one.\Thanks.\Huh? Yuki, what's with the mask?\I bought it. response:	Oh, really.
context: Man, we had a huge catch today! Huge!\But we just took one because we didn't need all of them.\And another one for Mikuru too.\It's okay for you to have one.\Thanks.\Huh? Yuki, what's with the mask?\I bought it.\Oh, really. response:	Right! Fireworks are next! Fireworks!
context: But we just took one because we didn't need all of them.\And another one for Mikuru too.\It's okay for you to have one.\Thanks.\Huh? Yuki, what's with the mask?\I bought it.\Oh, really.\Right! Fireworks are next! Fireworks! response:	Let's do that to finish the day off!
context: And another one for Mikuru too.\It's okay for you to have one.\Thanks.\Huh? Yuki, what's with the mask?\I bought it.\Oh, really.\Right! Fireworks are next! Fireworks!\Let's do that to finish the day off! response:	Haven't you ever heard of the saying Dont bite off more than you can chew?
context: It's okay for you to have one.\Thanks.\Huh? Yuki, what's with the mask?\I bought it.\Oh, really.\Right! Fireworks are next! Fireworks!\Let's do that to finish the day off!\Haven't you ever heard of the saying Dont bite off more than you can chew? response:	When it's summer, there's summer vacation.
context: Thanks.\Huh? Yuki, what's with the mask?\I bought it.\Oh, really.\Right! Fireworks are next! Fireworks!\Let's do that to finish the day off!\Haven't you ever heard of the saying Dont bite off more than you can chew?\When it's summer, there's summer vacation. response:	So if I could have, I'd rather have forgotten about it, but I came to realize something.
context: Huh? Yuki, what's with the mask?\I bought it.\Oh, really.\Right! Fireworks are next! Fireworks!\Let's do that to finish the day off!\Haven't you ever heard of the saying Dont bite off more than you can chew?\When it's summer, there's summer vacation.\So if I could have, I'd rather have forgotten about it, but I came to realize something. response:	We'll go bug catching tomorrow.
context: I bought it.\Oh, really.\Right! Fireworks are next! Fireworks!\Let's do that to finish the day off!\Haven't you ever heard of the saying Dont bite off more than you can chew?\When it's summer, there's summer vacation.\So if I could have, I'd rather have forgotten about it, but I came to realize something.\We'll go bug catching tomorrow. response:	Haruhi, having fun is great and all, but have you finished your homework?
context: Oh, really.\Right! Fireworks are next! Fireworks!\Let's do that to finish the day off!\Haven't you ever heard of the saying Dont bite off more than you can chew?\When it's summer, there's summer vacation.\So if I could have, I'd rather have forgotten about it, but I came to realize something.\We'll go bug catching tomorrow.\Haruhi, having fun is great and all, but have you finished your homework? response:	What're you talking about?
context: Right! Fireworks are next! Fireworks!\Let's do that to finish the day off!\Haven't you ever heard of the saying Dont bite off more than you can chew?\When it's summer, there's summer vacation.\So if I could have, I'd rather have forgotten about it, but I came to realize something.\We'll go bug catching tomorrow.\Haruhi, having fun is great and all, but have you finished your homework?\What're you talking about? response:	I finished all of that in three days.
context: Let's do that to finish the day off!\Haven't you ever heard of the saying Dont bite off more than you can chew?\When it's summer, there's summer vacation.\So if I could have, I'd rather have forgotten about it, but I came to realize something.\We'll go bug catching tomorrow.\Haruhi, having fun is great and all, but have you finished your homework?\What're you talking about?\I finished all of that in three days. response:	Three days?!
context: Haven't you ever heard of the saying Dont bite off more than you can chew?\When it's summer, there's summer vacation.\So if I could have, I'd rather have forgotten about it, but I came to realize something.\We'll go bug catching tomorrow.\Haruhi, having fun is great and all, but have you finished your homework?\What're you talking about?\I finished all of that in three days.\Three days?! response:	Finish off all that tedious stuff so you can actually enjoy yourself.
context: When it's summer, there's summer vacation.\So if I could have, I'd rather have forgotten about it, but I came to realize something.\We'll go bug catching tomorrow.\Haruhi, having fun is great and all, but have you finished your homework?\What're you talking about?\I finished all of that in three days.\Three days?!\Finish off all that tedious stuff so you can actually enjoy yourself. response:	That's the right way to enjoy summer!
context: So if I could have, I'd rather have forgotten about it, but I came to realize something.\We'll go bug catching tomorrow.\Haruhi, having fun is great and all, but have you finished your homework?\What're you talking about?\I finished all of that in three days.\Three days?!\Finish off all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer! response:	Why is this person so smart?
context: We'll go bug catching tomorrow.\Haruhi, having fun is great and all, but have you finished your homework?\What're you talking about?\I finished all of that in three days.\Three days?!\Finish off all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer!\Why is this person so smart? response:	The distribution of attributes is pretty random.
context: Haruhi, having fun is great and all, but have you finished your homework?\What're you talking about?\I finished all of that in three days.\Three days?!\Finish off all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer!\Why is this person so smart?\The distribution of attributes is pretty random. response:	Everyone!
context: What're you talking about?\I finished all of that in three days.\Three days?!\Finish off all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer!\Why is this person so smart?\The distribution of attributes is pretty random.\Everyone! response:	We're catching bugs tomorrow!
context: I finished all of that in three days.\Three days?!\Finish off all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer!\Why is this person so smart?\The distribution of attributes is pretty random.\Everyone!\We're catching bugs tomorrow! response:	The person who catches the most will be Brigade Chief for one day!
context: Three days?!\Finish off all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer!\Why is this person so smart?\The distribution of attributes is pretty random.\Everyone!\We're catching bugs tomorrow!\The person who catches the most will be Brigade Chief for one day! response:	No thanks.
context: Finish off all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer!\Why is this person so smart?\The distribution of attributes is pretty random.\Everyone!\We're catching bugs tomorrow!\The person who catches the most will be Brigade Chief for one day!\No thanks. response:	Sounds interesting.
context: That's the right way to enjoy summer!\Why is this person so smart?\The distribution of attributes is pretty random.\Everyone!\We're catching bugs tomorrow!\The person who catches the most will be Brigade Chief for one day!\No thanks.\Sounds interesting. response:	So it counts as long as it's any kind of bug?
context: Why is this person so smart?\The distribution of attributes is pretty random.\Everyone!\We're catching bugs tomorrow!\The person who catches the most will be Brigade Chief for one day!\No thanks.\Sounds interesting.\So it counts as long as it's any kind of bug? response:	Well, umm...
context: The distribution of attributes is pretty random.\Everyone!\We're catching bugs tomorrow!\The person who catches the most will be Brigade Chief for one day!\No thanks.\Sounds interesting.\So it counts as long as it's any kind of bug?\Well, umm... response:	Cicadas only!
context: Everyone!\We're catching bugs tomorrow!\The person who catches the most will be Brigade Chief for one day!\No thanks.\Sounds interesting.\So it counts as long as it's any kind of bug?\Well, umm...\Cicadas only! response:	That's right. This will be the SOS Brigade's...
context: We're catching bugs tomorrow!\The person who catches the most will be Brigade Chief for one day!\No thanks.\Sounds interesting.\So it counts as long as it's any kind of bug?\Well, umm...\Cicadas only!\That's right. This will be the SOS Brigade's... response:	Cicada Catching Competition!
context: The person who catches the most will be Brigade Chief for one day!\No thanks.\Sounds interesting.\So it counts as long as it's any kind of bug?\Well, umm...\Cicadas only!\That's right. This will be the SOS Brigade's...\Cicada Catching Competition! response:	The next day, we got what you could call a ridiculously nice day.
context: No thanks.\Sounds interesting.\So it counts as long as it's any kind of bug?\Well, umm...\Cicadas only!\That's right. This will be the SOS Brigade's...\Cicada Catching Competition!\The next day, we got what you could call a ridiculously nice day. response:	The participants fought valiantly, but...
context: Sounds interesting.\So it counts as long as it's any kind of bug?\Well, umm...\Cicadas only!\That's right. This will be the SOS Brigade's...\Cicada Catching Competition!\The next day, we got what you could call a ridiculously nice day.\The participants fought valiantly, but... response:	For some familiar reason or another, the winner was Haruhi.
context: So it counts as long as it's any kind of bug?\Well, umm...\Cicadas only!\That's right. This will be the SOS Brigade's...\Cicada Catching Competition!\The next day, we got what you could call a ridiculously nice day.\The participants fought valiantly, but...\For some familiar reason or another, the winner was Haruhi. response:	We should go with a catch-and-release mentality.
context: Well, umm...\Cicadas only!\That's right. This will be the SOS Brigade's...\Cicada Catching Competition!\The next day, we got what you could call a ridiculously nice day.\The participants fought valiantly, but...\For some familiar reason or another, the winner was Haruhi.\We should go with a catch-and-release mentality. response:	They might repay us with a favor in the future.
context: Cicadas only!\That's right. This will be the SOS Brigade's...\Cicada Catching Competition!\The next day, we got what you could call a ridiculously nice day.\The participants fought valiantly, but...\For some familiar reason or another, the winner was Haruhi.\We should go with a catch-and-release mentality.\They might repay us with a favor in the future. response:	And what exactly can a cicada do for us?
context: That's right. This will be the SOS Brigade's...\Cicada Catching Competition!\The next day, we got what you could call a ridiculously nice day.\The participants fought valiantly, but...\For some familiar reason or another, the winner was Haruhi.\We should go with a catch-and-release mentality.\They might repay us with a favor in the future.\And what exactly can a cicada do for us? response:	Here, go back to the mountains!
context: Cicada Catching Competition!\The next day, we got what you could call a ridiculously nice day.\The participants fought valiantly, but...\For some familiar reason or another, the winner was Haruhi.\We should go with a catch-and-release mentality.\They might repay us with a favor in the future.\And what exactly can a cicada do for us?\Here, go back to the mountains! response:	For some reason, it felt like we were opening Pandora's Box.
context: The next day, we got what you could call a ridiculously nice day.\The participants fought valiantly, but...\For some familiar reason or another, the winner was Haruhi.\We should go with a catch-and-release mentality.\They might repay us with a favor in the future.\And what exactly can a cicada do for us?\Here, go back to the mountains!\For some reason, it felt like we were opening Pandora's Box. response:	The next day, we were gathered for some random reason,
context: The participants fought valiantly, but...\For some familiar reason or another, the winner was Haruhi.\We should go with a catch-and-release mentality.\They might repay us with a favor in the future.\And what exactly can a cicada do for us?\Here, go back to the mountains!\For some reason, it felt like we were opening Pandora's Box.\The next day, we were gathered for some random reason, response:	given a bunch of random frog costumes,
context: For some familiar reason or another, the winner was Haruhi.\We should go with a catch-and-release mentality.\They might repay us with a favor in the future.\And what exactly can a cicada do for us?\Here, go back to the mountains!\For some reason, it felt like we were opening Pandora's Box.\The next day, we were gathered for some random reason,\given a bunch of random frog costumes, response:	and ended up handing out balloons in front of a supermarket as a small part-time job.
context: We should go with a catch-and-release mentality.\They might repay us with a favor in the future.\And what exactly can a cicada do for us?\Here, go back to the mountains!\For some reason, it felt like we were opening Pandora's Box.\The next day, we were gathered for some random reason,\given a bunch of random frog costumes,\and ended up handing out balloons in front of a supermarket as a small part-time job. response:	Thanks for your work everyone!
context: They might repay us with a favor in the future.\And what exactly can a cicada do for us?\Here, go back to the mountains!\For some reason, it felt like we were opening Pandora's Box.\The next day, we were gathered for some random reason,\given a bunch of random frog costumes,\and ended up handing out balloons in front of a supermarket as a small part-time job.\Thanks for your work everyone! response:	Why are being we treated like slaves?
context: And what exactly can a cicada do for us?\Here, go back to the mountains!\For some reason, it felt like we were opening Pandora's Box.\The next day, we were gathered for some random reason,\given a bunch of random frog costumes,\and ended up handing out balloons in front of a supermarket as a small part-time job.\Thanks for your work everyone!\Why are being we treated like slaves? response:	Good job!
context: Here, go back to the mountains!\For some reason, it felt like we were opening Pandora's Box.\The next day, we were gathered for some random reason,\given a bunch of random frog costumes,\and ended up handing out balloons in front of a supermarket as a small part-time job.\Thanks for your work everyone!\Why are being we treated like slaves?\Good job! response:	The manager was really grateful!
context: For some reason, it felt like we were opening Pandora's Box.\The next day, we were gathered for some random reason,\given a bunch of random frog costumes,\and ended up handing out balloons in front of a supermarket as a small part-time job.\Thanks for your work everyone!\Why are being we treated like slaves?\Good job!\The manager was really grateful! response:	I don't need the old man's gratitude.
context: The next day, we were gathered for some random reason,\given a bunch of random frog costumes,\and ended up handing out balloons in front of a supermarket as a small part-time job.\Thanks for your work everyone!\Why are being we treated like slaves?\Good job!\The manager was really grateful!\I don't need the old man's gratitude. response:	Where's our pay?
context: given a bunch of random frog costumes,\and ended up handing out balloons in front of a supermarket as a small part-time job.\Thanks for your work everyone!\Why are being we treated like slaves?\Good job!\The manager was really grateful!\I don't need the old man's gratitude.\Where's our pay? response:	This is it.
context: and ended up handing out balloons in front of a supermarket as a small part-time job.\Thanks for your work everyone!\Why are being we treated like slaves?\Good job!\The manager was really grateful!\I don't need the old man's gratitude.\Where's our pay?\This is it. response:	What?
context: Thanks for your work everyone!\Why are being we treated like slaves?\Good job!\The manager was really grateful!\I don't need the old man's gratitude.\Where's our pay?\This is it.\What? response:	I've wanted this for a while now!
context: Why are being we treated like slaves?\Good job!\The manager was really grateful!\I don't need the old man's gratitude.\Where's our pay?\This is it.\What?\I've wanted this for a while now! response:	He said hed give it to us because of Mikuru-chan!
context: Good job!\The manager was really grateful!\I don't need the old man's gratitude.\Where's our pay?\This is it.\What?\I've wanted this for a while now!\He said hed give it to us because of Mikuru-chan! response:	You made us do all that work just for the sake of getting that?
context: The manager was really grateful!\I don't need the old man's gratitude.\Where's our pay?\This is it.\What?\I've wanted this for a while now!\He said hed give it to us because of Mikuru-chan!\You made us do all that work just for the sake of getting that? response:	Let's decorate the clubroom with this in commemoration!
context: I don't need the old man's gratitude.\Where's our pay?\This is it.\What?\I've wanted this for a while now!\He said hed give it to us because of Mikuru-chan!\You made us do all that work just for the sake of getting that?\Let's decorate the clubroom with this in commemoration! response:	Mikuru-chan, you can wear it whenever you feel like it.
context: Where's our pay?\This is it.\What?\I've wanted this for a while now!\He said hed give it to us because of Mikuru-chan!\You made us do all that work just for the sake of getting that?\Let's decorate the clubroom with this in commemoration!\Mikuru-chan, you can wear it whenever you feel like it. response:	I give you my permission!
context: This is it.\What?\I've wanted this for a while now!\He said hed give it to us because of Mikuru-chan!\You made us do all that work just for the sake of getting that?\Let's decorate the clubroom with this in commemoration!\Mikuru-chan, you can wear it whenever you feel like it.\I give you my permission! response:	That night.
context: What?\I've wanted this for a while now!\He said hed give it to us because of Mikuru-chan!\You made us do all that work just for the sake of getting that?\Let's decorate the clubroom with this in commemoration!\Mikuru-chan, you can wear it whenever you feel like it.\I give you my permission!\That night. response:	My slumber was once again stolen away by none other than a phone call.
context: I've wanted this for a while now!\He said hed give it to us because of Mikuru-chan!\You made us do all that work just for the sake of getting that?\Let's decorate the clubroom with this in commemoration!\Mikuru-chan, you can wear it whenever you feel like it.\I give you my permission!\That night.\My slumber was once again stolen away by none other than a phone call. response:	Damnit.
context: He said hed give it to us because of Mikuru-chan!\You made us do all that work just for the sake of getting that?\Let's decorate the clubroom with this in commemoration!\Mikuru-chan, you can wear it whenever you feel like it.\I give you my permission!\That night.\My slumber was once again stolen away by none other than a phone call.\Damnit. response:	Kyon-kun...
context: You made us do all that work just for the sake of getting that?\Let's decorate the clubroom with this in commemoration!\Mikuru-chan, you can wear it whenever you feel like it.\I give you my permission!\That night.\My slumber was once again stolen away by none other than a phone call.\Damnit.\Kyon-kun... response:	Asahina-san?
context: Let's decorate the clubroom with this in commemoration!\Mikuru-chan, you can wear it whenever you feel like it.\I give you my permission!\That night.\My slumber was once again stolen away by none other than a phone call.\Damnit.\Kyon-kun...\Asahina-san? response:	Yes, it's me.
context: Mikuru-chan, you can wear it whenever you feel like it.\I give you my permission!\That night.\My slumber was once again stolen away by none other than a phone call.\Damnit.\Kyon-kun...\Asahina-san?\Yes, it's me. response:	Something bad has...
context: I give you my permission!\That night.\My slumber was once again stolen away by none other than a phone call.\Damnit.\Kyon-kun...\Asahina-san?\Yes, it's me.\Something bad has... response:	If this goes on... I'll...
context: That night.\My slumber was once again stolen away by none other than a phone call.\Damnit.\Kyon-kun...\Asahina-san?\Yes, it's me.\Something bad has...\If this goes on... I'll... response:	Um...
context: My slumber was once again stolen away by none other than a phone call.\Damnit.\Kyon-kun...\Asahina-san?\Yes, it's me.\Something bad has...\If this goes on... I'll...\Um... response:	Hello. It's me, Koizumi.
context: Damnit.\Kyon-kun...\Asahina-san?\Yes, it's me.\Something bad has...\If this goes on... I'll...\Um...\Hello. It's me, Koizumi. response:	Why are you together with Asahina-san?
context: Kyon-kun...\Asahina-san?\Yes, it's me.\Something bad has...\If this goes on... I'll...\Um...\Hello. It's me, Koizumi.\Why are you together with Asahina-san? response:	A slight problem has occurred.
context: Asahina-san?\Yes, it's me.\Something bad has...\If this goes on... I'll...\Um...\Hello. It's me, Koizumi.\Why are you together with Asahina-san?\A slight problem has occurred. response:	Do you think you could come here right now?
context: Yes, it's me.\Something bad has...\If this goes on... I'll...\Um...\Hello. It's me, Koizumi.\Why are you together with Asahina-san?\A slight problem has occurred.\Do you think you could come here right now? response:	I'll be there immediately.
context: Something bad has...\If this goes on... I'll...\Um...\Hello. It's me, Koizumi.\Why are you together with Asahina-san?\A slight problem has occurred.\Do you think you could come here right now?\I'll be there immediately. response:	Where?
context: If this goes on... I'll...\Um...\Hello. It's me, Koizumi.\Why are you together with Asahina-san?\A slight problem has occurred.\Do you think you could come here right now?\I'll be there immediately.\Where? response:	What exactly happened, Asahina-san?
context: Um...\Hello. It's me, Koizumi.\Why are you together with Asahina-san?\A slight problem has occurred.\Do you think you could come here right now?\I'll be there immediately.\Where?\What exactly happened, Asahina-san? response:	Uuu, Kyon-kun...
context: Hello. It's me, Koizumi.\Why are you together with Asahina-san?\A slight problem has occurred.\Do you think you could come here right now?\I'll be there immediately.\Where?\What exactly happened, Asahina-san?\Uuu, Kyon-kun... response:	I can't go back to the future anymore!
context: Why are you together with Asahina-san?\A slight problem has occurred.\Do you think you could come here right now?\I'll be there immediately.\Where?\What exactly happened, Asahina-san?\Uuu, Kyon-kun...\I can't go back to the future anymore! response:	In short, that's what happened.
context: A slight problem has occurred.\Do you think you could come here right now?\I'll be there immediately.\Where?\What exactly happened, Asahina-san?\Uuu, Kyon-kun...\I can't go back to the future anymore!\In short, that's what happened. response:	We're currently looping through the same period of time over and over again.
context: Do you think you could come here right now?\I'll be there immediately.\Where?\What exactly happened, Asahina-san?\Uuu, Kyon-kun...\I can't go back to the future anymore!\In short, that's what happened.\We're currently looping through the same period of time over and over again. response:	For something so absurdly unrealistic, you said that quite cheerfully.
context: I'll be there immediately.\Where?\What exactly happened, Asahina-san?\Uuu, Kyon-kun...\I can't go back to the future anymore!\In short, that's what happened.\We're currently looping through the same period of time over and over again.\For something so absurdly unrealistic, you said that quite cheerfully. response:	Koizumi, do you have any idea what you're saying?
context: Where?\What exactly happened, Asahina-san?\Uuu, Kyon-kun...\I can't go back to the future anymore!\In short, that's what happened.\We're currently looping through the same period of time over and over again.\For something so absurdly unrealistic, you said that quite cheerfully.\Koizumi, do you have any idea what you're saying? response:	I do.
context: What exactly happened, Asahina-san?\Uuu, Kyon-kun...\I can't go back to the future anymore!\In short, that's what happened.\We're currently looping through the same period of time over and over again.\For something so absurdly unrealistic, you said that quite cheerfully.\Koizumi, do you have any idea what you're saying?\I do. response:	There's nothing more to it.
context: Uuu, Kyon-kun...\I can't go back to the future anymore!\In short, that's what happened.\We're currently looping through the same period of time over and over again.\For something so absurdly unrealistic, you said that quite cheerfully.\Koizumi, do you have any idea what you're saying?\I do.\There's nothing more to it. response:	I was talking to Asahina-san just now.
